"Aaron Becker-Scheidl"	"Marta-Zehetner-Weg 454
8480 Zeltweg" 
"Carina Niederl"	"Lars-Sperl-Gasse 6/8
4565 Rattenberg"
"Karl Brandner"	"Ela-Rieser-Straße 4
2932 Grein"
"Pascal Petz"	"Sascha-Eisl-Gasse 668
4288 Dürnstein"
"Lorenzo Obermayr-Fritz"	"Gritschstr. 4
3769 Allentsteig"
"Emanuel Strasser"	"Marc-Erber-Platz 5/6
3793 Sankt Pölten"
"Leonhard Staudacher"	"Isabell-Neuner-Straße 6/8
5958 Bruck an der Mur"
"Tom Schüller"	"Benedict-Scheer-Weg 6/9
1533 Korneuburg"
"Viktoria Schrempf"	"Bianca-Schweitzer-Weg 0
2664 Leibnitz"
"Simon Eller"	"Joshua-Kappel-Weg 9/1
8880 Traismauer"
"Joshua Hübner"	"Blauensteinerring 70
2135 Zeltweg"
"John Ofner-Schinnerl"	"Heinzlgasse 2
7326 Rohrbach in Oberösterreich"
"Leo Schmuck"	"Andjelina-Haumer-Platz 11
8221 Straßburg"
"Raffaela Heger"	"Rauchring 5
8052 Voitsberg"
"Manuel Hofer"	"Maja-Grabner-Platz 673
8862 Drosendorf-Zissersdorf 1"
"Dennis Kollmann-Uhl"	"Windhagergasse 088
9850 Hall in Tirol"
"Dipl.-Ing. Justus Neugebauer"	"Annalena-Glatz-Platz 2/0
7123 Groß-Gerungs"
"Univ.Prof. Alexander Bachmann"	"Amelie-Farkas-Straße 046
9136 Spittal an der Drau"
"Nela Gruber"	"Nicholas-Oberndorfer-Weg 0/4
8874 Amstetten"
"Aurelia Reinbacher-Zenz"	"Elma-Bartl-Gasse 113
4603 Wilhelmsburg"
"Gloria Seiwald-Scholz"	"Kammererplatz 0/2
1088 Eisenerz"
"Philipp Bäck"	"Lucas-Schöffmann-Ring 0/9
3274 Wieselburg"
"Nikolai Moritz-Plattner"	"Stadlbauerstr. 792
1663 Feldkirch"
"Frau Nele Maringer"	"Bucheggerstr. 172
1758 Bad Sankt Leonhard im Lavanttal"
"Elvira Augustin"	"Josef-Strasser-Weg 99
7066 Gmünd"
"Leonora Ziegler"	"Steinböckstraße 9
1053 Gmunden"
"Viktor Wallner"	"Edlingerring 5/9
4213 Hartberg"
"Univ.Prof. Amanda Fehringer"	"Laimergasse 7/2
4272 Schrattenthal"
"Laetitia Schmölzer"	"Natalia-Wiesinger-Weg 7
1767 Bad Hall"
"Dipl.-Ing. Nathan Prantl"	"Viola-Häusler-Weg 7
8834 Friesach"
"Tobias Hollaus"	"Fercherweg 1/7
9546 Waidhofen an der Ybbs"
"Univ.Prof. Jannik Laimer"	"Nikola-Fleischmann-Weg 33
1173 Wilhelmsburg"
"Hanna Mayer"	"Erina-Fabian-Platz 5/1
6361 Gmünd in Kärnten"
"Mariana Müllner"	"Emely-Steurer-Gasse 1
7515 Salzburg"
"Darius Hollaus-Höller"	"Pflegerstr. 80
1401 Bleiburg"
"Kilian Held"	"Stieglerring 4
7480 Weiz"
"Rosalie Scheiber"	"Arthur-Streicher-Weg 9
7633 Bad Aussee"
"Univ.Prof. Anastasia Reisinger"	"Nicole-Enzinger-Platz 8/3
8621 Sankt Veit an der Glan"
"Mia Reich"	"Schöberlplatz 481
9645 Marchtrenk"
"Nora Hörmann-Leeb"	"Amelie-Reinprecht-Ring 4/7
4378 Bruck an der Mur"
"Michelle Fuhrmann-Kappel"	"Aurora-Nagel-Platz 7
6469 Geras"
"Alexandra Scherer"	"Grossstr. 7
2429 Frauenkirchen"
"Mathilda Löffler"	"Lia-Mayrhofer-Straße 7
5089 Zeltweg"
"Ajna Steurer"	"Jasmina-Schauer-Platz 1
1316 Ferlach"
"Claudia Brenner-Zauner"	"Hebenstreitstraße 7/0
3513 Bad Hall"
"Nikolaus Kappel"	"Leonhard-Anderl-Straße 430
8964 Melk"
"Adrian Engel-Rettenbacher"	"Lucie-Peer-Ring 8/9
2987 Jennersdorf"
"Univ.Prof. Anna-Lena Tiefenbacher"	"Biedermannring 3
3912 Wieselburg"
"Melanie Kirschner"	"Darko-Mair-Platz 42
6297 Bludenz"
"Sofie Sattler"	"Ela-Paier-Weg 254
4970 Amstetten"
"Prof. Manuela Frank"	"Edlingerring 825
5503 Oberpullendorf"
"Dipl.-Ing. Igor Schinnerl"	"Antonius-Lagler-Straße 598
4352 Neunkirchen"
"Jan Kain"	"Scherrring 9
3594 Mattersburg"
"Lilli Probst"	"Katharina-Schindler-Weg 645
4866 Pöchlarn"
"Emilija Plank"	"Zoe-Gruber-Weg 216
4201 Ebenfurth"
"Marie Köhler"	"Frida-Lehner-Ring 23
7375 Linz"
"Heinrich Köhler-Punz"	"Darko-Stangl-Ring 1/1
4306 Eisenerz"
"Univ.Prof. Annabella Wiesner"	"Marlene-Janisch-Ring 5/5
9929 Neumarkt am Wallersee"
"Frau Claudia Feichtenschlager"	"Juna-Kainz-Weg 55
3689 Wörgl"
"Elena Haidinger"	"Metzlerstr. 5
2972 Mureck"
"Matilda Tauber"	"Marissa-Arnold-Ring 84
1717 Imst"
"Igor Kager"	"Taucherstr. 36
9917 Pinkafeld"
"Frau Martina Rieder"	"Mina-Danninger-Weg 9/7
6888 Bleiburg"
"Daniela Stockhammer"	"Lora-Graf-Platz 488
6799 Leoben"
"Paula Pfeiffer"	"Hubert-Neulinger-Platz 49
5928 Güssing"
"Erina Unger"	"Maierring 67
2126 Geras"
"Merlin Fröhlich"	"Voglergasse 739
6916 Mistelbach an der Zaya"
"Univ.Prof. Annika Fankhauser"	"Andjela-Salzmann-Gasse 76
7273 Steyregg"
"Boris Reiter"	"Christina-Koppensteiner-Platz 98
3096 Deutschlandsberg"
"Juliana Füreder"	"Verena-Danner-Weg 8
3560 Weitra"
"Dr. Luisa Haslinger"	"Kristian-Holzer-Ring 0
8758 Hainfeld"
"Heinrich Schütz"	"Yasmina-Heller-Weg 6
3441 Mattighofen"
"Dipl.-Ing. Ronja Lagler"	"Ben-Rottensteiner-Straße 681
1248 Steyregg"
"Nele Steidl"	"Nicole-Kocher-Gasse 0/0
3694 Mürzzuschlag"
"Max Trinkl-Kröll"	"Zieglerplatz 19
9016 Waidhofen an der Thaya"
"Heinrich Guggenberger"	"Ajna-Frey-Straße 445
5412 Berndorf"
"Ariana Klaus"	"Sven-Pokorny-Gasse 9
5038 Leibnitz"
"Univ.Prof. Benedict Neumeister"	"Staudingerplatz 5/1
2379 Landeck"
"Frau Ronja Kaindl"	"Adriana-Kaufmann-Weg 60
4455 Gföhl"
"Angelo Suppan"	"Bräuergasse 5
5999 Hainburg an der Donau"
"Therese Linder"	"Hauerplatz 7/4
6646 Pregarten"
"Prof. Eduard Mühlbacher"	"Jennifer-Rohrmoser-Gasse 498
6507 Haag"
"Kevin Lindinger-Oberleitner"	"Selin-Blum-Gasse 09
3552 Frohnleiten"
"Jannik Lackner"	"Kaufmannplatz 834
5203 Frohnleiten"
"Oscar Leitgeb"	"Prinzring 013
9094 Kindberg"
"Lean Draxler"	"Raphael-Ertl-Weg 0
1809 Grein"
"Lino Suppan"	"Melek-Kreuzer-Weg 12
3736 Köflach"
"Univ.Prof. Benedikt Reiterer"	"Rana-Haderer-Ring 544
9770 Peuerbach"
"Francesca Humer-Engl"	"Neunerstraße 6
9471 Schladming"
"Cristina Foidl-Seidl"	"Tom-Schiestl-Gasse 9/1
1373 Mürzzuschlag"
"Maryam Sulzer"	"Nele-Salzer-Gasse 7/9
5037 Salzburg"
"Prof. Edda Marte"	"Reichgasse 7
6399 Hall in Tirol"
"Amelia Lagler-Kasper"	"Pircherring 0/4
4185 Eferding"
"Christoph Ofner-Mayer"	"Steinböckgasse 20
4104 Heidenreichstein"
"Leah Windisch-Knapp"	"Hammerplatz 8/7
5486 Judenburg"
"Prof. Danilo Krall"	"Erhartstraße 910
6458 Neunkirchen"
"Vincent Ostermann"	"Beerweg 122
1433 Linz"
"Univ.Prof. Beni Rossmann"	"Salma-Streicher-Platz 2
8617 Bad Radkersburg"
"Ruben Puchner"	"Edlingerstr. 270
3852 Wien"
"Richard Kiss"	"Zimmermannring 72
8048 Marchtrenk"
"Amanda Bischof"	"Julian-Rossmann-Straße 50
2880 Geras"
"Justin Geyer-Nemeth"	"Sophia-Martin-Gasse 26
1876 Oberwart"
"Nino Scherer"	"Lora-Reinthaler-Straße 5/1
4092 Schrattenthal"
"Dipl.-Ing. Hugo Ender"	"Kröllweg 5/3
4016 Wien"
"Martina Hörmann-Rosner"	"Leonora-Langer-Ring 425
4978 Krems an der Donau"
"Henri Graf"	"Trummerstraße 4/8
2899 Laakirchen"
"Berra Eichhorn"	"Konradring 9
6222 Voitsberg"
"Univ.Prof. Carlo Steinbauer"	"Ariane-Pühringer-Weg 14
3208 Feldbach"
"Univ.Prof. Juliana Füreder"	"Schwarzingerplatz 1/1
8638 Purbach am Neusiedler See"
"Dipl.-Ing. Anabella Leber"	"Froschauergasse 25
4954 Mank"
"Mona Hollaus"	"Steinbergerweg 7/6
8513 Krems an der Donau"
"Benedikt Schwab"	"Hugo-Riener-Gasse 4
4598 Allentsteig"
"Nele Pühringer"	"Bachmannplatz 582
9457 Bad Aussee"
"Clara Hartmann"	"Holzmannweg 60
8946 Imst"
"Catharina Prager-Nagel"	"Jahnstr. 2
4585 Fehring"
"Leni Zenz"	"Leitnerstr. 5/6
7516 Traun"
"Luca Graf"	"Gschwandtnerstraße 732
1150 Eisenstadt"
"Univ.Prof. Catharina Schmuck"	"Wiesnerring 599
4818 Friedberg"
"Claudia Dangl"	"Ruben-Scharinger-Straße 049
5091 Spittal an der Drau"
"Stephanie Mayerhofer"	"Stadlbauergasse 3
3464 Trieben"
"Florin Bernhard"	"Lina-Gattringer-Ring 7/1
3976 Marchegg"
"Emilian Stadlbauer"	"Viktoria-Santner-Weg 08
9426 Gleisdorf"
"Vivian Gmeiner"	"Cristina-Mayrhofer-Gasse 6/4
6617 Landeck"
"Prof. Marco Huemer"	"Helena-Kratzer-Weg 3
7965 Raabs an der Thaya"
"Elyas Stolz"	"Marie-Bader-Ring 12
2336 Bad Hall"
"Nisa Neuhauser"	"Sascha-Neubauer-Platz 223
1969 Groß-Gerungs"
"Justus Klug-Karl"	"Stützstr. 09
6551 Spittal an der Drau"
"Univ.Prof. Cristiano Singer"	"Neuhauserstr. 48
3271 Zistersdorf"
"Elvira Kronberger"	"Leopold-Pesendorfer-Straße 997
8996 Mistelbach an der Zaya"
"Simon Schinagl"	"Simicplatz 5
2268 Jennersdorf"
"Rita Scherer"	"Natalie-Biedermann-Ring 485
8472 Mödling"
"Thomas Messner"	"Heimweg 300
5026 Oberwart"
"Frederik Forster"	"Maryam-Aigner-Weg 8/1
4813 Mattersburg"
"Ronja Stolz"	"Lennart-Kogler-Ring 90
1587 Wolkersdorf"
"Jasmine Kucera"	"Krallplatz 23
3572 Knittelfeld"
"Frau Sophie Rauscher"	"Schwarzstraße 5/4
6109 Frohnleiten"
"Lucia Hofstätter"	"Pflegerplatz 04
4722 Völkermarkt"
"Univ.Prof. Damian Herbst"	"Kagerring 037
1422 Mannersdorf am Leithagebirge"
"Frau Luana Wechselberger"	"Rottergasse 6
5399 Ried im Innkreis"
"Lilly Griesser"	"Kristina-Lindinger-Platz 34
7180 Hall in Tirol"
"Oscar Feichtner"	"Sofie-Neureiter-Gasse 066
5732 Wolkersdorf"
"Joseph Füreder"	"Strohmeierstraße 5/2
5545 Wolkersdorf"
"Michelle Hödl"	"Elisabeth-Sorger-Platz 6/5
3426 Braunau am Inn"
"Franz Hofinger"	"Hollerplatz 9
7835 Purbach am Neusiedler See"
"Prof. Ajna Lutz"	"Hofingerplatz 0
9431 Wörgl"
"Mika Haider"	"Erina-Seidl-Weg 95
2409 Straßburg"
"Marvin Springer"	"Kesslerplatz 6
9131 Fehring"
"Univ.Prof. Daniel Kolar"	"Mika-Kocher-Straße 5
3097 Purkersdorf"
"Luca Schreiber"	"Tobias-Tanzer-Gasse 8
2539 Fehring"
"Alena Aigner"	"Nathalie-Spitzer-Platz 6
6015 Pöchlarn"
"Prof. Lily Gasser"	"Felderring 5/2
3406 Schladming"
"Sarah Kreidl"	"Dana-Scharf-Straße 16
6445 Eisenerz"
"Juna Scherer-Schaller"	"Pölzlring 9
4443 Rust"
"Prof. Marissa Haas"	"Marta-Sagmeister-Platz 60
5707 Gleisdorf"
"Leonardo Meixner"	"Nora-Göschl-Straße 826
9340 Sankt Johann im Pongau"
"Nika Brandl"	"Mayrhoferstr. 4/1
2567 Heidenreichstein"
"Hanna Schuh"	"Meixnerplatz 2/5
4838 Friesach"
"Univ.Prof. Domenica Buchegger"	"Höferweg 022
1856 Mürzzuschlag"
"Herr Robin Amon"	"Neuwirthplatz 3/2
8407 Groß-Gerungs"
"Stefan Egger"	"Dennis-Hackl-Gasse 1/0
4381 Frohnleiten"
"Anne Burger-Reindl"	"Spieglstr. 147
5172 Leoben"
"Univ.Prof. Norah Ziegler"	"Leandra-Wieland-Straße 8
3577 Pinkafeld"
"Selma Hofstetter"	"Emma-Posch-Platz 820
2834 Schärding"
"Ing. Ben Fröschl"	"Petra-Hörl-Ring 2
2107 Frohnleiten"
"Adriana Karrer"	"Schafferring 02
5048 Deutschlandsberg"
"Lean Hackl"	"Juenplatz 820
6830 Lienz"
"Jakob Fröschl"	"Andjela-Thurner-Weg 2/0
3325 Neunkirchen"
"Univ.Prof. Ella Ritter"	"Rohrerring 251
8006 Wieselburg"
"Nelly Rotter"	"Philippa-Peham-Ring 6
1973 Bleiburg"
"Filip Weidinger-Meister"	"Handlstraße 0
5649 Ybbs an der Donau"
"Marie Glaser-Biedermann"	"Noah-Höfer-Gasse 75
2835 Sankt Pölten"
"Alena Rieser"	"Florentin-Hutter-Gasse 51
9760 Saalfelden am Steinernen Meer"
"Niko Hirschmann"	"Wechselbergerring 279
4113 Zwettl"
"Prof. Elena Grasser"	"Voglstr. 98
5180 Bischofshofen"
"Anita Prenner"	"Karolina-Marx-Platz 8/3
2032 Enns"
"Maximilian Reiter"	"Götzstraße 6/7
4894 Braunau am Inn"
"Fernando Schreiner"	"Aurelio-Koppensteiner-Platz 1
8503 Schrattenthal"
"Univ.Prof. Emilia Pieber"	"Obermayrstr. 89
2388 Hainfeld"
"Carl Schlosser-Krainz"	"Karina-Steininger-Straße 2
5196 Ansfelden"
"Liam Buchegger"	"Elisabeth-Riegler-Straße 862
1846 Oberpullendorf"
"Jasper Hechenberger-Moritz"	"Zöchlingweg 650
3862 Oberwälz"
"Carlo Martin"	"Streicherring 57
4197 Bruck an der Mur"
"Clarissa Steinacher"	"Leo-Wurm-Weg 6/6
6946 Spittal an der Drau"
"Frau Isabel Yilmaz"	"Pragerweg 12
5711 Geras"
"Prof. Natascha Schmidt"	"Bachmanngasse 4
2592 Amstetten"
"William Kurzmann"	"Frida-Rauscher-Platz 1
4314 Krems an der Donau"
"Frau Emanuela Blauensteiner"	"Pühringerstr. 507
7569 Wieselburg"
"Univ.Prof. Emilie Pachler"	"Hannah-Kain-Gasse 10
1606 Schärding"
"Emanuel Fröhlich-Spiegl"	"Vito-Buchberger-Weg 33
5820 Oberpullendorf"
"Johann Parzer"	"Sofija-Zechner-Platz 853
3271 Gmunden"
"Univ.Prof. Sandro Höfer"	"Valentino-Draxler-Weg 14
3101 Trieben"
"Alexandra Frick"	"Ertlstraße 3/5
5327 Radstadt"
"David Macher-Hauer"	"Justin-Wechselberger-Ring 4/8
5331 Bregenz"
"Zoe Lengauer"	"Romy-Petz-Straße 4
4983 Salzburg"
"Ing. Miriam Geiger"	"Alexia-Kollmann-Ring 6/3
2347 Melk"
"Emilia Sattler-Reiterer"	"Ungerweg 8/0
2324 Purbach am Neusiedler See"
"Dominik Haindl"	"Patrick-Schaller-Gasse 652
1055 Mannersdorf am Leithagebirge"
"Univ.Prof. Erina Brandstätter"	"Christina-Steinwender-Gasse 0
8479 Schladming"
"Niko Marx"	"Petzstr. 386
7144 Schwechat"
"Ing. Nino Dittrich"	"Nadia-Danner-Ring 81
6984 Bad Leonfelden"
"Prof. Marcel Altmann"	"Lukas-Hackl-Straße 9/2
4193 Hartberg"
"Petra Schönauer"	"Anja-Keplinger-Gasse 259
1967 Neulengbach"
"Dr. Nele Blümel"	"Adrian-Richter-Ring 8
5656 Haag"
"Dr. Frederik Leithner"	"Selena-Reithofer-Ring 9
2244 Mannersdorf am Leithagebirge"
"Tim Karner"	"Elisabeth-Stockinger-Platz 59
7702 Deutsch-Wagram"
"Filip Blauensteiner"	"Hermannplatz 83
3935 Rust"
"Herr Ruben Margreiter"	"Claire-Herzog-Gasse 2/5
9447 Kindberg"
"Univ.Prof. Estelle Lampl"	"Stella-Kurzmann-Platz 1
4802 Gmunden"
"Jasmina Widmann"	"Madeleine-Schöberl-Straße 19
6101 Braunau am Inn"
"Zoe Reinprecht"	"Kalina-Beer-Gasse 91
4546 Raabs an der Thaya"
"Ela Lang"	"Nageleweg 644
5058 Friedberg"
"Adriano Kessler"	"Violetta-Haiden-Platz 71
9047 Bad Radkersburg"
"Samuel Forster-Scherr"	"Seebacherplatz 7/3
1121 Allentsteig"
"Dora Dobler"	"Elena-Falkner-Straße 258
7528 Fischamend"
"Herr Marius Jöbstl"	"Doblerring 920
4025 Groß-Enzersdorf"
"Maya Gärtner"	"Edlingerring 085
5541 Fehring"
"Samuel Nußbaumer"	"Joseph-Kremser-Gasse 072
5888 Waidhofen an der Ybbs"
"Univ.Prof. Florentina Spindler"	"Elvira-Renner-Platz 28
2834 Retz"
"Ing. Luna Bock"	"Nadia-Pöll-Platz 7
4992 Graz"
"Daniela Keplinger-Himmelbauer"	"Zechnerstraße 223
7222 Kapfenberg"
"Fabian Kugler"	"Justus-Becker-Gasse 2/6
1344 Schrems"
"Kerstin Wieland"	"Leithnerstraße 01
9703 Schladming"
"Jannik Leibetseder"	"Eislring 38
4578 Groß-Siegharts"
"Lino Rohrmoser"	"Krieglstr. 04
2409 Groß-Siegharts"
"Victor Laimer"	"Sieberweg 82
3704 Purbach am Neusiedler See"
"Lorenz Dietl"	"Ella-Schauer-Ring 331
5597 Raabs an der Thaya"
"Soraya Hechenberger"	"Pragergasse 415
7675 Gloggnitz"
"Univ.Prof. Friedrich Meixner"	"Oswaldring 1
2020 Tulln an der Donau"
"Marlene Wagner-Wiesinger"	"Weidingerstraße 858
8214 Bad Hall"
"Lara Adler"	"Julia-Reisner-Straße 81
8029 Pinkafeld"
"Richard Maurer"	"Heinzlweg 5/8
4578 Eferding"
"Dipl.-Ing. Oliver Braun"	"Juliane-Knaus-Weg 358
1775 Rattenberg"
"Laurin Gmeiner"	"Jamie-Schachner-Ring 9
5374 Eggenburg"
"Liliane Peham"	"Fankhauserstraße 4
5682 Eggenburg"
"Finn Kastner"	"Ostermannstr. 2
7339 Althofen"
"Ben Feigl"	"Sophie-Beer-Straße 338
9415 Wiener Neustadt"
"Leon Köberl"	"Denise-Helm-Straße 0
1494 Frohnleiten"
"Univ.Prof. Gloria Dünser"	"Arthur-Schenk-Ring 0/2
8924 Sankt Andrä im Lavanttal"
"Elona Jauk"	"Franz-Heinzl-Straße 20
2083 Innsbruck"
"Milo Stelzer"	"Scharingerstr. 4/5
1688 Attnang-Puchheim"
"Nisa Roth"	"Dominik-Stadler-Straße 231
1785 Trieben"
"Eva Neugebauer"	"Beni-Ortner-Ring 8
9966 Ternitz"
"Prof. Lucas Rabl"	"Julius-Schober-Platz 7/1
5673 Deutsch-Wagram"
"Mike Feichtner-Schachner"	"Strohmaierring 4
7995 Raabs an der Thaya"
"Pia Bichler"	"Luisa-Schubert-Platz 1
6948 Mödling"
"Lotta Hinterberger"	"Moosbruggerstr. 7/4
9750 Dürnstein"
"Maurice Stark"	"Haberlgasse 3
7823 Linz"
"Univ.Prof. Ilias Fink"	"Amanda-Lampl-Straße 92
9237 Traismauer"
"Herr Luka Mayrhofer"	"Rossmannplatz 732
6029 Oberndorf bei Salzburg"
"Sascha Heinrich"	"Darius-Hainzl-Gasse 094
9950 Purkersdorf"
"Nadia Dallinger"	"Emil-Reisinger-Weg 1/5
3534 Groß-Gerungs"
"Isabella Zechner"	"Emilie-Schweiger-Platz 416
2450 Hainburg an der Donau"
"Sandro Kapeller"	"Schöffmannstraße 93
5461 Radstadt"
"Cecilia Pock"	"Niederlstr. 1
8401 Baden"
"Carlotta Feichter"	"Grünwaldweg 48
1751 Mautern an der Donau"
"Nisa Bruckner"	"Ina-Achleitner-Weg 05
6243 Mannersdorf am Leithagebirge"
"James Haumer"	"Gloria-Steinbauer-Straße 5
3748 Bludenz"
"Univ.Prof. Julius Trinkl"	"Schneebergerstraße 1/2
5874 Radenthein"
"Prof. Claire Kofler"	"Feiglgasse 946
7665 Salzburg"
"Fabian Reiner"	"Schachnerring 8/6
3719 Dürnstein"
"Alex Galler-Leutgeb"	"Michaela-Zeiler-Straße 9
5936 Rust"
"Univ.Prof. Fernando Krainz"	"Schatzlplatz 99
3036 Altheim"
"Martha Salzer"	"Handlerstraße 167
1403 Leoben"
"Angelo Wiedner"	"Scheerring 3/9
7295 Traiskirchen"
"Dr. Richard Waldner"	"Laura-Lorenz-Weg 856
3628 Gänserndorf"
"Dr. Eric Haindl"	"Koberring 16
4575 Perg"
"Herr Erik Ullmann"	"Maurice-Klinger-Gasse 72
6747 Oberwart"
"Univ.Prof. Kalina Oberndorfer"	"Josefine-Fröschl-Gasse 9/7
2567 Zwettl"
"Felicitas Galler"	"Natascha-Jungwirth-Gasse 442
6296 Sankt Valentin"
"Stefan Pfeiffer"	"Rana-Bräuer-Weg 339
8415 Wolfsberg"
"Natalia Artner"	"Polzerplatz 19
7866 Wolkersdorf"
"Benjamin Hörmann-Krainz"	"Hechenbergerstraße 977
7054 Schwechat"
"Emmanuel Reitbauer"	"Claire-Mitter-Gasse 406
6329 Leibnitz"
"Tim Vogler"	"Baderplatz 6/3
4268 Neumarkt am Wallersee"
"Cristina Forster"	"Schiestlweg 9/0
5001 Wels"
"Naomi Wiesbauer"	"Dominik-Steindl-Ring 7/9
8455 Gleisdorf"
"Univ.Prof. Lorenz Grill"	"Hubert-Ecker-Straße 5/2
7517 Vils"
"Univ.Prof. Karl Neumayer"	"Matheo-Staudacher-Weg 0
5796 Litschau"
"Edda Eisner"	"Elvira-Windhager-Gasse 65
7749 Marchegg"
"Herr Friedrich Wiesner"	"Christopher-Schäfer-Straße 350
2230 Kindberg"
"Felix Rauch"	"Eberhardgasse 11
6778 Rust"
"Erwin Zöhrer"	"Kaltenböckring 52
7353 Bludenz"
"Angela Heissenberger"	"Florentin-Kohl-Platz 6
7417 Feldbach"
"Frau Larissa Mann"	"Ronya-Grabher-Platz 16
5676 Peuerbach"
"Roman Klingler"	"Lara-Sophie-Zenz-Platz 00
1670 Bad Ischl"
"Joseph Bösch-Frühwirth"	"Liam-Dietrich-Platz 0
2746 Grieskirchen"
"Prof. Leonora Grill"	"Staudingerring 4/4
1627 Wilhelmsburg"
"Univ.Prof. Karoline Erlacher"	"Amanda-Wieland-Straße 1/8
4087 Freistadt"
"Karina Sammer"	"Franziska-Steinacher-Platz 56
2568 Pöchlarn"
"Mia Eibl"	"Richterstraße 638
9378 Kapfenberg"
"Nicolai Radl"	"Kerschbaumgasse 6/6
4157 Bad Sankt Leonhard im Lavanttal"
"Marie Pachler"	"Amanda-Bauer-Platz 558
4492 Wiener Neustadt"
"Sonja Köberl-Kolm"	"Schmuckgasse 7/0
3087 Vils"
"Lean Steiner"	"Elisabeth-Hämmerle-Straße 57
6251 Wolkersdorf"
"Dr. Karla Gratzl"	"Richard-Heissenberger-Platz 1
8691 Wieselburg"
"Danilo Rechberger-Spiegl"	"Lola-Schmid-Gasse 6
5772 Groß-Siegharts"
"Timon Schartner"	"Erberplatz 65
1615 Hall in Tirol"
"Univ.Prof. Kilian Bachinger"	"Eduard-Hörmann-Ring 62
6175 Wilhelmsburg"
"Ing. Stephanie Böhler"	"Reinergasse 0
6797 Bruck an der Leitha"
"Univ.Prof. Robin Waldner"	"Gärtnerstraße 185
7409 Murau"
"Ing. Constanze Ziegler"	"Niko-Leutgeb-Gasse 4
9527 Waidhofen an der Thaya"
"Ing. Jana Stifter"	"Emely-Hofmeister-Gasse 12
6428 Bludenz"
"Ferdinand Dallinger"	"Suppanstr. 944
7878 Gmünd"
"Natan Rieder"	"Anne-Lengauer-Gasse 19
2790 Hainfeld"
"Gabriel Erler"	"Maja-Putz-Weg 0
9609 Imst"
"Fernando Dangl"	"Carina-Schwarzl-Ring 7
5619 Bad Leonfelden"
"Patrick Ostermann"	"Linus-Heller-Gasse 78
6541 Pregarten"
"Univ.Prof. Lea-Sophie Karner"	"Heidi-Köberl-Straße 408
2300 Vöcklabruck"
"Joseph Stöckl"	"Oliver-Berger-Platz 597
3501 Raabs an der Thaya"
"Max Gindl-Danner"	"Lorena-Schatzl-Ring 427
7582 Kindberg"
"Luana Stifter"	"Schuhgasse 7/0
5500 Eisenstadt"
"Lucas Stoiber"	"Florentin-Ferstl-Weg 854
5842 Liezen"
"Sophie Knapp"	"Ariane-Meister-Weg 2
3849 Steyr"
"Valentina Rausch"	"Kai-Muhr-Weg 928
9436 Radstadt"
"Jasper Köberl-Doppler"	"Haindlweg 9/7
6668 Weitra"
"Lisa Riedler"	"Holzmannring 7
6952 Sankt Johann im Pongau"
"Noah Keller"	"Carlo-Lercher-Platz 1/8
5299 Rust"
"Univ.Prof. Lennart Walcher"	"Kucerastr. 286
9403 Wolfsberg"
"Kilian Edlinger-Kloiber"	"Pfeiferstr. 7
4654 Bad Sankt Leonhard im Lavanttal"
"Adam Trattner"	"Adriano-Schilcher-Platz 94
3392 Ebreichsdorf"
"Juliana Neuhold"	"Wurzerstr. 8
5041 Mistelbach an der Zaya"
"Univ.Prof. Leah Mühlberger"	"Florian-Achleitner-Weg 8
5962 Liezen"
"Oliver Altmann"	"Kyra-Albrecht-Platz 091
6602 Sankt Veit an der Glan"
"Herr Friedrich Schwarz"	"Mina-Gattringer-Straße 287
5014 Gänserndorf"
"Sven Bergmann"	"Hörlstr. 4/9
8169 Krems an der Donau"
"Vanessa Mayerhofer"	"Kösslergasse 1/2
7127 Bärnbach"
"Ing. Lilly Schatz"	"Mike-Hahn-Gasse 2
8540 Attnang-Puchheim"
"Univ.Prof. Liliana Pammer"	"Schieferweg 62
2915 Wörgl"
"Marcus Lutz"	"Knollweg 670
9306 Imst"
"Ing. Julian Friedl"	"Lilian-Pöll-Gasse 557
9538 Graz"
"Carlo Moosbrugger"	"Fischerstr. 408
5759 Weiz"
"Isabelle Klaus"	"Martinstraße 91
2447 Hartberg"
"Niko Brandner"	"Karlgasse 0
3734 Bludenz"
"Anja Seebacher"	"Karl-Lampl-Gasse 4/9
2596 Hall in Tirol"
"Annika Peer"	"Scharfgasse 0/5
1683 Mautern an der Donau"
"Andreas Hirsch"	"Natan-Wieland-Weg 34
4400 Vils"
"Ricardo Bruckner-Becker"	"Nino-Adam-Gasse 8/7
6763 Maissau"
"Univ.Prof. Linus Frisch"	"Linderweg 028
3931 Steyr"
"Leon Zimmermann"	"Rechbergergasse 7/0
9772 Groß-Enzersdorf"
"Philipp Kreiner"	"Raffaela-Burgstaller-Weg 6
6528 Sankt Valentin"
"Jasmina Bitschnau"	"Nadine-Stock-Weg 1
6644 Sankt Veit an der Glan"
"Marta Stiegler-Fischer"	"Niklas-Nowak-Weg 36
8722 Enns"
"Dilara Vogl"	"Elma-Tischler-Platz 8/9
6793 Purbach am Neusiedler See"
"Paulina Müller-Steinacher"	"Raffaela-Scherzer-Ring 925
6344 Vils"
"Antonia Neugebauer"	"Manngasse 52
6010 Dürnstein"
"Fiona Wenzl-Harrer"	"Kuhnweg 08
2186 Wieselburg"
"Ella Rainer"	"Wienerweg 2/3
3762 Fehring"
