"Adolf Gorenc"|"Hribarjevo nabrežje 6a
7288 Kobarid" 
"Slobodan Krajnc"|"Smrekarjeva ulica 45
7265 Tržič"
"Jerneja Zorko"|"Cesta Andreja Bitenca 9c
7168 Dravograd"
"Erik Bezjak"|"Cesta na Bokalce 8a
0048 Koper"
"Franci Petek"|"Ob zelenici 134
2636 Hrastnik"
"Adolf Furlan"|"Švabićeva ulica 7c
8244 Litija"
"Ajda Leban"|"Štefančeva ulica 9b
3701 Zagorje ob Savi"
"Katarina Lah"|"Trpinčeva ulica 536
7481 Zagorje ob Savi"
"Sonja Cerar"|"Ulica bratov Učakar 2c
0923 Žiri"
"Daniela Kocjančič"|"Pilonova ulica 446
0637 Mežica"
"Alojzija Eržen"|"Cesta v Gameljne 1c
0169 Medvode"
"Viktor Šuštar"|"Ulica Marije Hvaličeve 1
4877 Laško"
"Adrijana Bevc"|"Šibeniška ulica 02
0642 Slovenska Bistrica"
"Amalija Klemenčič"|"Cesta na Ježah 7a
1038 Domžale"
"Frančišek Filipič"|"Pečarjeva ulica 8a
9229 Vrhnika"
"Maks Hozjan"|"Koseška cesta 1b
3257 Sežana"
"Jakob Božič"|"Berdajsova ulica 4
4541 Ptuj"
"Julijana Krivec"|"Soussenska ulica 4a
1994 Lendava"
"Sonja Jamnik"|"Pipanova pot 26
8440 Postojna"
"Marta Sušnik"|"Baznikova ulica 634
8164 Kočevje"
"Ivo Toplak"|"Cesta v Mestni log 8c
4379 Radeče"
"Nenad Golob"|"Kodrova ulica 4
4750 Škofja Loka"
"Timotej Maček"|"Ulica Angelce Ocepkove 6a
8833 Žiri"
"Jasmina Krivec"|"Pot na mah 7
1340 Cerknica"
"Franc Hrovat"|"Na Žalah 9
5171 Turnišče"
"Lovro Mlinarič"|"Ulica bratov Židan 953
4478 Višnja Gora"
"Jerneja Kocjančič"|"Na cvetači 353
0274 Slovenj Gradec"
"Ladislav Kastelic"|"Kamnogoriška cesta 76
0203 Slovenj Gradec"
"Sonja Majcen"|"Cesta II. grupe odredov 781
4607 Idrija"
"Alen Pavlin"|"Vidičeva ulica 0
0035 Medvode"
"Ivan Lavrič"|"Ulica Ivanke Kožuh 4b
9252 Koper"
"Alja Jovanović"|"Grško 0a
5080 Tržič"
"Marija Železnik"|"Gruberjevo nabrežje 6c
8411 Višnja Gora"
"Jolanda Tomažič"|"Kolmanova ulica 7
2267 Vrhnika"
"Slavica Dolinšek"|"Omahnova ulica 4c
9613 Lendava"
"Željko Dolinšek"|"Pipanova pot 369
7376 Rogaška Slatina"
"Bogdan Čeh"|"Ob Farjevcu 8
2284 Ljubljana"
"Zdravko Leban"|"Marice Kovačeve ulica 9c
8910 Ribnica"
"Sonja Vidmar"|"Postojnska ulica 34
3499 Novo mesto"
"Cvetka Jerič"|"Cesta na Kope 3b
0632 Velenje"
"Urša Zupan"|"Pot na Orle 441
0486 Ljubljana"
"Marinka Kosi"|"Černigojeva ulica 772
5672 Koper"
"Gorazd Kocjančič"|"Gorjančeva ulica 6a
6490 Kamnik"
"Rajko Zorko"|"Kuhljeva cesta 388
1688 Trebnje"
"Dragica Tomažič"|"Stoženska ulica 9
6284 Žalec"
"Saša Leskovar"|"Krivec 4c
6016 Šentjur"
"Blaž Kumer"|"Vinterca 1b
4963 Železniki"
"Tadeja Kokol"|"Židovska ulica 30
7903 Ajdovščina"
"Sonja Žnidaršič"|"Gmajnice 38
6651 Murska Sobota"
"David Blažič"|"Preloge 3b
3556 Vipavski Križ"
"Janko Eržen"|"Colnarjeva ulica 5c
6252 Prevalje"
"Filip Jug"|"Ulica borca Petra 6
5558 Slovenj Gradec"
"Sara Ambrožič"|"Jezerska ulica 1c
3633 Ilirska Bistrica"
"Miroslav Žižek"|"Stegne 046
3912 Sežana"
"Martin Toplak"|"Vojkova cesta 2c
5976 Ljutomer"
"Ljudmila Kolarič"|"Tacenska cesta 897
7868 Kočevje"
"Katja Zorman"|"Murkova ulica 3
8722 Kamnik"
"Andreja Štrukelj"|"Cesta v Prod 23
1562 Vipava"
"Srečko Bergant"|"Medveščkova ulica 176
1283 Hrastnik"
"Tadej Rozman"|"Zakotnikova ulica 229
3708 Trebnje"
"Lara Hozjan"|"Nebotičnikov prehod 8b
2561 Ravne na Koroškem"
"Marijan Golob"|"Vrhovci, cesta III 7
9785 Brežice"
"Darinka Demšar"|"Hotimirova ulica 0
5212 Slovenske Konjice"
"Zdenko Pogačnik"|"Novo Polje, cesta VI 2
5876 Vipavski Križ"
"Darinka Božič"|"Stadionska ulica 7c
8312 Celje"
"Borut Vidovič"|"Kongresni trg 99
3555 Velenje"
"Miloš Kokalj"|"Prušnikova ulica 506
9807 Železniki"
"Ajda Likar"|"Moškričeva ulica 19
9302 Cerknica"
"Srečko Cvetko"|"Kavškova ulica 027
2012 Krško"
"Gorazd Jamnik"|"Pot v Goričico 1b
6820 Piran"
"Nejc Kolar"|"Pšatnik 0a
9953 Maribor"
"Jerneja Janežič"|"Ob Ljubljanici 72
0862 Lenart v Slovenskih goricah"
"Janko Pavlič"|"Lemeževa ulica 389
6564 Železniki"
"Simona Markovič"|"Gallusovo nabrežje 6b
4741 Radovljica"
"Leopold Žagar"|"Krimska ulica 0a
4882 Bovec"
"Žan Gomboc"|"Kettejeva ulica 891
3080 Turnišče"
"Damir Kolar"|"Vrhovci, cesta XIV 88
7011 Ljutomer"
"Nik Vodopivec"|"Prisojna ulica 4c
3503 Koper"
"Srečko Debeljak"|"Zvezda 48
0847 Trebnje"
"Julija Kovačič"|"Artačeva ulica 7a
8734 Lendava"
"Olga Popović"|"Ulica Angelce Ocepkove 3c
3850 Ravne na Koroškem"
"Iris Sušnik"|"Smrtnikova ulica 2b
3317 Medvode"
"Andreja Dolinar"|"Ajdovščina 9a
6876 Ljubljana"
"Natalija Kosi"|"Zbašnikova ulica 9
6951 Domžale"
"Marko Bizjak"|"Podrožniška pot 821
6297 Črnomelj"
"Nika Lazar"|"Fužinska cesta 49
7495 Gornja Radgona"
"Daniela Mrak"|"V Kladeh 8a
6676 Žalec"
"Melita volk"|"Cilenškova ulica 5
2732 Ravne na Koroškem"
"Srečko Jenko"|"Kovačeva ulica 3a
5522 Nova Gorica"
"Ljudmila Pavlin"|"V Zalar 2c
8719 Vipavski Križ"
"Karolina Filipič"|"Marčenkova ulica 17
0155 Železniki"
"Jure Jerman"|"Pot k igrišču 664
5367 Postojna"
"Uroš Demšar"|"Travniška ulica 6b
2396 Ljutomer"
"Dragica Čeh"|"Predjamska cesta 2c
7398 Novo mesto"
"Antonija Babič"|"Nahtigalova ulica 2
6457 Nova Gorica"
"Tadeja Hribar"|"Rutarjeva ulica 11
1191 Medvode"
"Tanja Demšar"|"Levstikov trg 6c
5805 Novo mesto"
"Olga Kastelic"|"Trstenjakova ulica 0c
4029 Kobarid"
"Srečko Kaučič"|"Črna pot 51
3447 Žalec"
"Kristijan Eržen"|"Pod gozdom 8a
6740 Trbovlje"
"Metka Jerman"|"Regentova cesta 3a
8822 Vipavski Križ"
"Anže Jarc"|"Vošnjakova ulica 1b
6256 Celje"
"Frančišek Miklavčič"|"Podgrajska cesta 6a
2750 Radovljica"
"Sandi Dolinšek"|"Rožna dolina, cesta III 87
7269 Žalec"
"Vid Šuštar"|"Krištofova ulica 23
0968 Kamnik"
"Lara Rus"|"Hribarjevo nabrežje 1a
8943 Nova Gorica"
"Bernarda Koželj"|"Kocjanova ulica 105
7297 Ormož"
"Miha Stopar"|"Gornji Rudnik I 9b
1570 Piran"
"Srečko Kos"|"Pot v Goričico 7
7251 Postojna"
"Kristijan ribič"|"Hladnikova cesta 42
5256 Prevalje"
"Matija Kramar"|"Ulica Angelce Ocepkove 009
6713 Slovenj Gradec"
"Alen Sever"|"Ulica Staneta Severja 0
0305 Vipavski Križ"
"Maj Leban"|"Kokaljeva ulica 1a
4921 Črnomelj"
"Irena Likar"|"Rosna pot 0a
5367 Ravne na Koroškem"
"Emil Kos"|"Pahorjeva ulica 550
1295 Piran"
"Jakob petek"|"Cesta Andreja Bitenca 6
5394 Tržič"
"Brigita Ramšak"|"Meškova ulica 924
7140 Zagorje ob Savi"
"Blaž Pirc"|"Ulica Alme Sodnik 106
8323 Slovenj Gradec"
"Srečko Skok"|"Pod gozdom 2a
8995 Lenart v Slovenskih goricah"
"Joško Šmid"|"Štula 5a
5228 Jesenice"
"Stanka Popović"|"Brodarjev trg 9b
4333 Bled"
"Angela Breznik"|"Na cvetači 079
4012 Gornja Radgona"
"Branko Štrukelj"|"Pod lipami 384
7303 Gornja Radgona"
"Klara Janežič"|"Krmeljeva ulica 2b
0869 Litija"
"Damjana Šinkovec"|"Snežniška ulica 4b
1096 Žiri"
"Franjo Žižek"|"Gregorinova ulica 0
2051 Vrhnika"
"Metka Markovič"|"Ulica Angele Ljubičeve 0b
2448 Idrija"
"Lara Ambrožič"|"Tomačevo 6a
2436 Šoštanj"
"Srečko Tavčar"|"Novakova pot 96
9037 Ljutomer"
"Alojzija kuhar"|"Zlatek 061
3636 Nova Gorica"
"Vincenc Potočnik"|"Arkova ulica 0b
1706 Sežana"
"Sandi Jug"|"Bratov Jakopičev ulica 7
5426 Žiri"
"Marjanca Mrak"|"Cesta v Šmartno 2a
3678 Zagorje ob Savi"
"Zora Logar"|"Ulica Angele Ljubičeve 6a
9844 Vipavski Križ"
"Sebastijan Jereb"|"Sketova ulica 28
0236 Ilirska Bistrica"
"Nevenka Pečnik"|"Ovčakova ulica 7c
6937 Ravne na Koroškem"
"Viktorija Hrovat"|"Bratov Kunovarjev ulica 9
1126 Gornji Grad"
"Marjan Pintarič"|"Cesta 25 talcev 101
8026 Trebnje"
"Srečko Zorko"|"Blasov breg 921
2619 Trbovlje"
"Ljubica Kaučič"|"Krimska ulica 0
0231 Laško"
"Tine Jovanović"|"Marinovševa cesta 431
6571 Slovenske Konjice"
"Sanja Žibert"|"Keržičeva ulica 156
7154 Medvode"
"Albert Šmid"|"Pečnik 14
3531 Postojna"
"Tomaž Bajc"|"Žabjak 9b
1777 Zagorje ob Savi"
"Leon Bregar"|"Novo Polje, cesta X 785
9653 Tržič"
"Matjaž Jereb"|"Jarška cesta 2
5732 Nova Gorica"
"Anže Knez"|"Detelova ulica 37
2485 Maribor"
"Uroš Debeljak"|"Ulica Koroškega bataljona 0
2161 Šempeter pri Gorici"
"Srečko Zupančič"|"Na cvetači 8c
3854 Ruše"
"Davor Majcen"|"Ulica Mirka Jurce 7b
2485 Šentjur"
"Taja Pintar"|"Novakova pot 4c
5758 Ravne na Koroškem"
"Sandra Božič"|"Novo Polje, cesta I 710
7217 Šentjur"
"Lana Zorman"|"Podgorska cesta 4c
0155 Domžale"
"Leon Hrovat"|"Mikuževa ulica 9c
9550 Trebnje"
"Suzana Javornik"|"Kekčeva ulica 288
9830 Vipavski Križ"
"Erika Jug"|"Drenikov vrh 8b
9787 Bovec"
"Dragica kuhar"|"Cesta na Ježah 918
4063 Litija"
"Jakob Čeh"|"Zaletelova ulica 4b
5241 Prevalje"
"Srečko čeh"|"Jenkova ulica 8b
8830 Radeče"
"Vanja Korošec"|"Magistrova ulica 5c
8437 Vipavski Križ"
"Branka Primožič"|"Gmajnice 71
1931 Sežana"
"Romana Zajc"|"Spodnji Rudnik V 56
8509 Železniki"
"Veronika Leban"|"Savinškova ulica 67
6005 Celje"
"Emil Tavčar"|"Murkova ulica 9
9510 Trebnje"
"Timotej Lebar"|"Kosovelova ulica 3
0246 Prevalje"
"Davorin Pirc"|"Parmska cesta 6a
4434 Vrhnika"
"Klavdija Bizjak"|"Ulica bratov Jančar 4b
3384 Žiri"
"Ema Logar"|"Trebušakova ulica 2c
0412 Lendava"
"Stanislav Klemenčič"|"Lajovčeva ulica 23
9229 Maribor"
"Alen Pirnat"|"Gallusovo nabrežje 9b
6529 Žalec"
"Ana Jamnik"|"Kozlarjeva pot 1c
8399 Domžale"
"Olga Rus"|"Perčeva ulica 93
6797 Laško"
"Nika Bevc"|"Stara Ježica 00
0057 Cerknica"
"Željko Kramar"|"Puharjeva ulica 271
3713 Kranj"
"Štefka Demšar"|"Kozakova ulica 78
8649 Višnja Gora"
"Miloš Jamnik"|"Zbašnikova ulica 3a
7957 Lendava"
"Pia Mihelič"|"Luize Pesjakove ulica 7c
0539 Postojna"
"Bogomir Kobal"|"Ulica Dušana Kraigherja 1c
6796 Radeče"
"Stanislav Kocjančič"|"Gasilska cesta 343
9457 Piran"
"Pia Stopar"|"Vrhovci, cesta XVII 05
1604 Ribnica"
"Ajda Dolinar"|"Zeljarska ulica 9a
4107 Črnomelj"
"Boštjan Tomšič"|"Križevniška soteska 9b
1643 Piran"
"Izidor Majcen"|"Strossmayerjeva ulica 7
2368 Hrastnik"
"Olga Kolarič"|"Ulica Goce Delčeva 8
0950 Ribnica"
"Stanko Kosi"|"Gunceljska cesta 8
4251 Šempeter pri Gorici"
"Danijela Lavrič"|"Gola Loka 05
8534 Bled"
"Anica Bizjak"|"Glavarjeva ulica 9c
4577 Radeče"
"Gregor Dolinšek"|"Ulica bratov Škofov 8a
0713 Zagorje ob Savi"
"Stanislav Kokol"|"Cesta slov. kmečkih uporov 3a
0013 Rogaška Slatina"
"Luka Eržen"|"Zevnikova ulica 4b
7824 Slovenske Konjice"
"Ljudmila Tavčar"|"Jeranova ulica 29
8666 Litija"
"Dušanka Sitar"|"Rožna dolina, cesta XIII 3
0066 Laško"
"Polona Novak"|"Rakovniška ulica 2b
3722 Prevalje"
"Vanja Babič"|"Ulica bratov Blanč 6b
0520 Metlika"
"Andrejka Marolt"|"Znamenjska ulica 759
8621 Piran"
"Darinka Jarc"|"Gašperšičeva ulica 4b
6710 Ravne na Koroškem"
"Srečko Žnidaršič"|"Rudnik III 3
7691 Železniki"
"Sašo Jug"|"Mesesnelova ulica 6
7551 Zagorje ob Savi"
"Stanislav Kovačič"|"Gradnikova ulica 75
5629 Cerknica"
"Miha ribič"|"Pot heroja Trtnika 813
7655 Trebnje"
"Alen Pirnat"|"Keržičeva ulica 57
9057 Ormož"
"Polona Zorman"|"Komenskega ulica 33
1461 Mengeš"
"Veronika Gorenc"|"Bezenškova ulica 203
2032 Kočevje"
"Metka Nemec"|"Ajdovščina 0c
4998 Ilirska Bistrica"
"Damjana Šmid"|"Vipotnikova ulica 682
0026 Ormož"
"Edin Kosi"|"Sattnerjeva ulica 2a
8780 Murska Sobota"
"Erna Lazar"|"Vrhovci, cesta V 0a
1913 Ptuj"
"Ludvik Jovanović"|"Čebelarska ulica 0a
6317 Postojna"
"Stanislav Mlinar"|"Černivčeva ulica 282
8553 Bled"
"Marjana Hribernik"|"Hribernikova ulica 58
3003 Medvode"
"Iris Kramar"|"Krošljeva ulica 9b
1115 Metlika"
"Milan Hribar"|"Resljeva cesta 053
3773 Bovec"
"Jelka Mihelič"|"Postojnska ulica 6c
5037 Mežica"
"Simon Žnidaršič"|"Mrharjeva ulica 2b
4194 Kostanjevica na Krki"
"Ciril Primožič"|"Chopinov prehod 3
5091 Trbovlje"
"Aleksandar Šinkovec"|"Pot za Brdom 61
4425 Ljubljana"
"Nuša Popović"|"Rudnik III 6a
5844 Logatec"
"Nik Hozjan"|"V Karlovce 9a
2385 Mežica"
"Stanislav Pintar"|"Bohoričeva ulica 19
0401 Črnomelj"
"Jaka Leban"|"Turnsko nabrežje 609
1682 Šempeter pri Gorici"
"Domen Lazar"|"Barjanska cesta 06
1089 Ilirska Bistrica"
"Žan Hribernik"|"Trinkova ulica 238
6408 Piran"
"Danijela Miklavčič"|"V Češnjico 8a
2236 Hrastnik"
"Jožefa Breznik"|"Ulica Andreja Kumarja 16
1973 Šentjur"
"Ludvik Hribernik"|"Ulica talcev 5a
5185 Ilirska Bistrica"
"Jelka Kumer"|"Cesta Dolomitskega odreda 2a
6113 Slovenj Gradec"
"Milka Dolinar"|"Hribovska pot 2a
4617 Šempeter pri Gorici"
"Julijana Tomažič"|"Trpinčeva ulica 7
7425 Žalec"
"Stanislav Šmid"|"Pot na Grič 060
0481 Bled"
"Ladislav Medved"|"Valvasorjeva ulica 9a
1045 Šempeter pri Gorici"
"Neja Zupančič"|"Samova ulica 5
0541 Kamnik"
"Aleksandra Demšar"|"Jarnikova ulica 1
2005 Novo mesto"
"Hasan Filipič"|"Resljeva cesta 4a
4632 Trebnje"
"Stanislava Gorenc"|"Ramovševa ulica 0b
3990 Kobarid"
"Nikolaj Kalan"|"Trpinčeva ulica 590
8433 Nova Gorica"
"Lara Lah"|"Preloge 64
0169 Vipavski Križ"
"Gordana Novak"|"Polje, cesta II 2
9003 Izola"
"Damjana Korošec"|"Gledališka stolba 12
7158 Metlika"
"Stanislav Železnik"|"Pot v Mlake 1b
7281 Vrhnika"
"Darja Fras"|"Šentjakob 744
8583 Ljubljana"
"Sabina Pintarič"|"Devova ulica 3a
9093 Gornja Radgona"
"Jožef Jelen"|"Jesenkova ulica 9c
9928 Ljutomer"
"Radovan Turk"|"Čanžekova ulica 01
2518 Šentjur"
"Valentina Godec"|"Ulica Janeza Pavla II. 870
3332 Dravograd"
"Pia Kovač"|"Selanov trg 62
1004 Vipava"
"Suzana Dolenc"|"Litostrojska cesta 27
5661 Tolmin"
"Sonja Dolenc"|"Pod bresti 5b
5854 Velenje"
"Melita Gregorič"|"Molekova ulica 2c
8709 Žalec"
"Stanislava Jarc"|"Vrhovci, cesta XIX 8b
6319 Novo mesto"
"Breda Erjavec"|"Layerjeva ulica 7c
0583 Jesenice"
"Vlasta Hozjan"|"Torkarjeva ulica 612
4062 Šentjur"
"Daniela Leskovar"|"Polje, cesta XXIV 0c
4843 Metlika"
"Polonca Kuhar"|"Krmeljeva ulica 021
9995 Gornja Radgona"
"Tamara Babič"|"Ulica Malči Beličeve 500
6671 Cerknica"
"Karmen Bajc"|"Strmi pot 0
0800 Višnja Gora"
"Miroslava Tomšič"|"Lipahova ulica 7c
9322 Litija"
"Nuša Kranjc"|"Skapinova ulica 150
4561 Trbovlje"
"Roza Pintarič"|"Hacetova ulica 1b
3699 Tolmin"
"Stanislava Kastelic"|"Pod bresti 0
9680 Medvode"
"Slavka Turk"|"Cesta na Poljane 2b
0412 Turnišče"
"Milica žagar"|"Šišenska cesta 9b
8600 Šempeter pri Gorici"
"Jožica Rupnik"|"Knezov štradon 0
7532 Ruše"
"Pia Dolinar"|"Medarska ulica 7
8923 Radovljica"
"Željko Hodžić"|"Polje, cesta XXXVIII 0b
1828 Celje"
"Gordana Kolar"|"Krmčeva ulica 2
6961 Vipava"
"Milan Vidmar"|"Dajnkova ulica 0c
4951 Trebnje"
"Hana volk"|"Novo Polje, cesta X 0c
6122 Vrhnika"
"Branka Kočevar"|"Zlatek 2
7836 Brežice"
"Stanislava Tratnik"|"Cimermanova ulica 1a
7869 Medvode"
"Vid Pirnat"|"Grablovičeva ulica 3
8072 Novo mesto"
"Dušanka Kosi"|"Janova ulica 0c
1186 Žiri"
"Matija Kolar"|"Trg republike 0c
5680 Slovenska Bistrica"
"Sanja Petrovič"|"Obrežna steza 2b
4304 Črnomelj"
"Hedvika Toplak"|"Perkova ulica 3c
0378 Ptuj"
"Jožica Resnik"|"Pot k sejmišču 258
9872 Ljubljana"
"Tadeja Kaučič"|"Novo Polje, cesta XI 4b
3054 Hrastnik"
"Maja volk"|"Goropečnikova ulica 2a
6603 Murska Sobota"
"Veronika Dolinšek"|"Argentinska ulica 86
6680 Idrija"
"Stanka Ambrožič"|"Vrhovci, cesta XII 70
7294 Hrastnik"
"Mihaela Dolinšek"|"Žabjak 6
6218 Slovenske Konjice"
"Marjan Koren"|"Mačkov kot 733
6909 Metlika"
"Darinka Rožman"|"Nade Ovčakove ulica 0
6089 Velenje"
"Cvetka Kolenc"|"Ocvirkova ulica 695
2639 Idrija"
"Neja Mrak"|"Tometova ulica 8
9186 Trebnje"
"Aleksandar Toplak"|"Zvezna ulica 8c
3730 Mengeš"
"Magda Mrak"|"Polje, cesta XIV 42
2636 Trbovlje"
"Tilen Lavrič"|"Pot za Brdom 0b
3850 Ljutomer"
"Vladimir Kovač"|"Delakova ulica 82
1439 Ruše"
"Stanka Erjavec"|"Strupijevo nabrežje 02
1589 Škofja Loka"
"Vladimir Pavlin"|"Jeranova ulica 8
5528 Trebnje"
"Rafael Demšar"|"Štepanjsko nabrežje 3a
7472 Ormož"
"Vlado Gorjup"|"Cesta v Prod 3
8059 Nova Gorica"
"Miro Leban"|"Bilečanska ulica 8
9883 Velenje"
"Jasmina Jenko"|"Ribji trg 6a
6496 Vipavski Križ"
"Ivana petek"|"Vodmatski trg 0c
4559 Kostanjevica na Krki"
"Drago Debeljak"|"Ruska ulica 1c
1976 Celje"
"Viktor Pogačnik"|"Pot na Grič 1a
0736 Sevnica"
"Mark Fras"|"Žolgerjeva ulica 7c
6099 Šoštanj"
"Stanka Koren"|"Polje, cesta XXVI 1b
4801 Domžale"
"Janez Zakrajšek"|"Parmova ulica 4c
3921 Slovenske Konjice"
"Karolina Žagar"|"Ulica Zore Ragancinove 14
0809 Maribor"
"Urška Kodrič"|"Malenškova ulica 48
1164 Rogaška Slatina"
"Iztok Hribar"|"Za gasilskim domom 531
2747 Domžale"
"Boris Tomšič"|"Žabarjeva ulica 830
8848 Sevnica"
"Kristjan Mavrič"|"Ulica bratov Učakar 41
5841 Tolmin"
"Marko Gorenc"|"Zidarjev štradon 3b
5824 Škofja Loka"
"Nives žagar"|"Jarnikova ulica 17
0066 Prevalje"
"Franc Zorko"|"Vrhovci, cesta XXXII 4a
1312 Brežice"
"Stanka Pečnik"|"Kavčičeva ulica 3a
6860 Maribor"
"Tamara volk"|"Malenškova ulica 0c
2516 Šempeter pri Gorici"
"Bernarda Kodrič"|"Novo Polje, cesta XXIII 4
6562 Šempeter pri Gorici"
"Stanko Medved"|"Kastelčeva ulica 5b
8828 Žalec"
"Damjana Vodopivec"|"Majorja Lavriča ulica 743
7773 Postojna"
"Zvonka Kramberger"|"Ločnikarjeva ulica 0b
0583 Kamnik"
"Marjanca Kolenc"|"Lončarska steza 7c
0359 Medvode"
"Slavka Čuk"|"Rožna dolina, cesta VIII 10
0874 Idrija"
"Martin Ramšak"|"Tominškova ulica 7a
4049 Murska Sobota"
"Nika Kuhar"|"Milčetova pot 3a
4942 Celje"
"Stanka Tomšič"|"Marincljeva ulica 604
1515 Tržič"
"Vera Ambrožič"|"Vidovdanska cesta 15
1788 Sežana"
"Leon Čuk"|"Tacenska cesta 7b
7537 Žalec"
"Andrejka Pavlin"|"Križevniška soteska 5a
0519 Idrija"
"Laura Šmid"|"Kleče 4c
7223 Mengeš"
"Mojca Ramšak"|"Vojkova cesta 31
5488 Bled"
"Klara Kaučič"|"Parmova ulica 6
0309 Postojna"
"Pia Mlinarič"|"Vipavska ulica 2c
2632 Gornja Radgona"
"Marko Šmid"|"Ulica Gubčeve brigade 543
0161 Ljubljana"
"Zofija Čuk"|"Janova ulica 7
2385 Medvode"
"Stanka žagar"|"Novakova pot 1c
5341 Mežica"
"Nina Dolinar"|"V dolini 2a
9062 Domžale"
"Magdalena Kolarič"|"Knezova ulica 463
6273 Logatec"
"David Lešnik"|"Pri malem kamnu 77
5224 Medvode"
"Karmen Jamnik"|"Krošljeva ulica 519
5505 Hrastnik"
"Gal Cerar"|"Čampova ulica 7b
7642 Metlika"
"Emilija Hafner"|"Okiškega ulica 6c
2737 Tržič"
"Ivan Sitar"|"Bobenčkova ulica 118
9720 Mežica"
"Aleksander Markovič"|"Miheličeva cesta 9b
8775 Kostanjevica na Krki"
"Danijela Toplak"|"Grudnovo nabrežje 3b
5772 Medvode"
"Stanko Breznik"|"Vrhovci, cesta IX 1c
2351 Gornja Radgona"
"Saša kuhar"|"Hrvatski trg 0
2077 Idrija"
"Ernest Bergant"|"Gallusovo nabrežje 9b
3539 Murska Sobota"
"Veronika žagar"|"Prijateljeva ulica 5a
2013 Kostanjevica na Krki"
"Samo Janežič"|"Slovenčeva ulica 81
9107 Krško"
"Tjaša Korošec"|"Rožna dolina, cesta III 0a
7155 Višnja Gora"
"Cecilija Lazar"|"Slavčja ulica 4a
1345 Izola"
"Franc Zajc"|"Borštnikov trg 9
5194 Kamnik"
"Bogomir Bergant"|"Zeljarska ulica 88
9685 Tržič"
"Kristijan Eržen"|"Joškov štradon 1a
9091 Vipavski Križ"
"Stanko Gorjup"|"Mrharjeva ulica 0c
9757 Hrastnik"
"Aleksandar Tomažič"|"Pečarjeva ulica 42
5301 Ilirska Bistrica"
"Sabina Jarc"|"Stoženska ulica 3a
4065 Izola"
"Slobodan Kokol"|"Staničeva ulica 27
8173 Velenje"
"Jerneja Kolar"|"Železna cesta 99
0049 Kočevje"
"Zora Horvat"|"Mirna pot 3c
9352 Litija"
"Jani Tratnik"|"Pod bukvami 77
6990 Velenje"
"Lovro Popović"|"Hribovska pot 3b
9850 Hrastnik"
"Ciril Golob"|"Kumerdejeva ulica 1b
5027 Sevnica"
"Samo Toplak"|"Dalmatinova ulica 5b
3008 Ravne na Koroškem"
"Stanko Kaučič"|"Podrožniška pot 1b
6983 Postojna"
"Alen Pečnik"|"Pod topoli 6b
5904 Tolmin"
"Barbara Lazar"|"Dolgi breg 1c
9970 Turnišče"
"Ivan Bregar"|"Vrhovci, cesta I 5c
6134 Brežice"
"Valentina Stopar"|"Zaloška cesta 8c
4065 Kobarid"
"Cvetko Janežič"|"Bolgarska ulica 26
7920 Ljutomer"
"Rozalija Klemenčič"|"Pot na Visoko 396
5036 Vipava"
"Anton Blatnik"|"Kuhljeva cesta 5
2268 Radeče"
"Gal petek"|"Kozlarjeva pot 061
8142 Litija"
"Sašo petek"|"Ulica Vladimirja Trampuža 8b
1797 Železniki"
"Stanko Kosi"|"Zvezda 0
0117 Krško"
"Jožefa Rupnik"|"Ilovški štradon 013
8107 Ruše"
"Edvard Kramberger"|"Ferberjeva ulica 0a
8033 Žalec"
"Aleksandar Mavrič"|"Bavdkova ulica 990
0562 Ajdovščina"
"Jolanda Zajc"|"Lončarska steza 0b
6771 Dravograd"
"Matjaž Simonič"|"Spodnji Rudnik I 8a
4244 Črnomelj"
"Tine Sušnik"|"Škofova ulica 5c
1903 Murska Sobota"
"Branka Kramberger"|"Chopinov prehod 2b
3195 Radovljica"
"Maksimiljan Rozman"|"Stara Ježica 3
9116 Ribnica"
"Maša Zupanc"|"Abramova ulica 4c
3291 Laško"
"Stanko Likar"|"Hotimirova ulica 56
1225 Radeče"
"Nives Kobal"|"Ježa 80
9331 Dravograd"
"Kaja petek"|"Bobrova ulica 36
5096 Mengeš"
"Hedvika Primožič"|"Rotarjeva ulica 9a
7954 Ajdovščina"
"Ema Vidic"|"Polje, cesta XXXVIII 2a
9833 Novo mesto"
"Nataša Pirc"|"Cesta v Dvor 6
0623 Ljutomer"
"Lilijana Pečnik"|"Gasilska cesta 8c
6916 Gornja Radgona"
"Sebastjan Hodžić"|"Cesta Urške Zatlerjeve 1c
3106 Bled"
"Jelka Dolinšek"|"Bežigrad 7c
2890 Metlika"
"David Leban"|"Preglov trg 74
7536 Ribnica"
"Stanko Skok"|"Vrtna ulica 38
6012 Bled"
"Petra Zemljič"|"Židankova ulica 1a
7339 Sežana"
"Pia Šmid"|"Pegamova ulica 6b
7325 Črnomelj"
"Valentina Bevc"|"Gmajnice 1c
6537 Ljutomer"
"Saša Kodrič"|"Pirnatova ulica 6
0933 Piran"
"Milica Bergant"|"Rožna dolina, cesta IV 533
1301 Mežica"
"Iztok Popović"|"Celjska ulica 1b
3706 Vrhnika"
"Damjana Pečnik"|"Ulica Janeza Pavla II. 1c
4840 Turnišče"
"Gregor Skok"|"Orlova ulica 5a
9595 Gornja Radgona"
"Ervin Blatnik"|"Velnarjeva ulica 16
6328 Zagorje ob Savi"
"Stjepan Babič"|"Cimermanova ulica 0b
9898 Maribor"
