"Aaron Allen"	"PO Box 19
Wekanui 5389" 
"Tania Mears-Perry"	"995 Doyle Road
Kowhaikawa 8995"
"David Taylor"	"355 Browne Quay
Motupapapa 1696"
"Grace Goodwin"	"Suite 589
330 Simonsen Drive
Wharenui 5117"
"Shane Brown-Simmons"	"699 Davis Court
Motunui 8267"
"Robert Thompson-Smith"	"21 Pickering-Wood Street
Richardstown 9610"
"Charlotte Forbes"	"Level 6
462 Kawakiwi Street
Rotonui 5809"
"James Rogers-Knight"	"Suite 372
993 Kawarangi Access
Manawawai 2556"
"Edward Turner"	"385 Matanui Avenue
Rangiwai 6911"
"Stephen Muir"	"613 Reader Anchorage
Smithmouth 2337"
"Catherine Butler-Ward"	"7 Rototoa Highway
RD 3
Koromoko 8592"
"Stuart Sutton"	"PO Box 78
Rotonui 5557"
"Charlotte Sinclair"	"Apt. 447
842 Taipuketau Gardens
Wharerangiiti 4965"
"Gail Thompson"	"36 Tangimataweka Alley
Baldicktown 8601"
"Andrew Paul"	"301 Patrick Crescent
RD 5
Ngaurutanga 2012"
"Robert Watt"	"8 Hansen Beach Road
Rongoroa 5791"
"David Fowler"	"PO Box 40
Rotoawa 2035"
"Lachlan Dawick-Dean"	"6 Kawaara Approach
RD 1
Arawai 8614"
"Joanne Ham"	"563 Rayner Access
RD 1
Curriefort 7008"
"Anna Cresswell"	"199 Kelly Drive
Wekaweka 2282"
"Jessica Burton-Currie"	"Flat 61
362 Mason Road
Smithbury 5817"
"Krystal Cameron"	"4 Flood Lane
Manawaterehanga 8134"
"Alexander Pritchard"	"PO Box 198
Manning Flats 8866"
"Cameron Carter"	"944 Hoare Avenue
RD 3
Tiputahi 3365"
"Kelsey Harris"	"6 Lauren Flats
RD 4
Mayside 9020"
"Robin Christie-Rush"	"95 Pukemakau Road
RD 9
Jacksontown 9234"
"Archie Scott"	"35 Julie Street
RD 4
Wakawhitu 2032"
"Elijah Thompson"	"3 Horowhanga Grove
RD 7
Shailerborough 2612"
"Christopher Barr"	"PO Box 987
Whangakiwi 8218"
"Hayley Dalton"	"97 Isabella Line
Waihorotangi 8130"
"Joanne Orr"	"433 Banks Beach Road
Matamoko 2173"
"Rachel Lane"	"PO Box 8
Upper McIntyreborough 6988"
"Charles Perry"	"PO Box 93
Wardborough 9315"
"Mark Wall"	"697 Goodwin Crescent
Upper Bushport 8917"
"Jane Mitchell"	"807 Carter-Nelson Street
RD 1
Andersonstone 9687"
"Robyn Brown-Thomas"	"737 Nicholas Quay
Aramoko 7898"
"Crystal Bailey"	"1 McKay Ridge
RD 4
Simmonsport 5555"
"Scott Boyd-Larsen"	"2 Lancaster Street
Taingauruwaka 9350"
"Christian Thompson-Guard"	"Suite 630
32 Awamakau Street
Kororangirangi 8880"
"Douglas Mitchell-Ellery"	"Unit 97
60 Tipuiti Bypass
MacDonaldmouth 2017"
"Martin McKenna"	"Flat 40
637 Rototanga Approach
Thorntonland 6188"
"James Baker-Wratt"	"37 Rongonuku Street
Popapapa 6057"
"Joanna Little"	"3 Motumotuhope Range Road
Lake Hodsonburn 1711"
"Maddison McKay"	"Level 6
6 Millar Alleyway
Rongonuku 6091"
"Lance Bradley-Carr"	"71 Mann Drive
Whakawaiiti 8983"
"Robyn Gordon"	"Flat 74
921 Holland Quay
Mataawa 8600"
"Ethan Hardie"	"9 Hardie-Montgomery Concourse
RD 9
Wekaawawaka 8250"
"Wendy Wallis"	"PO Box 511
Footeleigh 8430"
"Amelia Priest"	"3 Papapawhakarangi Cutting
Rongokawawhare 9267"
"Louise McMillan"	"1 Perrin Street
Brownport 1429"
"Jared Wood-Brown"	"4 Tina Drive
Matthewsside 0903"
"Ross Hanson-Broughan"	"202 Taitau Street
Gibsonfort 5161"
"Benjamin Douglas"	"3 Tangitoa Avenue
Steeleburn 5234"
"Linda Stevens-Baker"	"Unit 61
677 Graham-Paton Street
Tahiawakawa 2073"
"Emily Law-Coleman"	"440 Papapahanga Crescent
Nicholasleigh 2098"
"Robyn Smith"	"965 Tauwhaka Drive
Waipohope 5500"
"Nicole Funnell"	"906 Allen-Howell Crossing
Jonathanneath 8021"
"Ethan Arnold"	"62 Rogers Drive
Kennyfort 5342"
"Michelle Walsh-Butler"	"Unit 71
464 Prentice Place
Mokotaimanawa 5051"
"Christopher Bishop"	"Suite 436
2 Gray Crescent
Terekoro 9215"
"Jordan Barrett"	"9 Green-Mitchell Cove
Elliottburgh 8044"
"Ryan Gordon"	"35 Stewart Street
Taukorowhare 4436"
"Liam Clarke"	"9 Tiputaiwhare Crescent
Lower Olsenburgh 9403"
"Christine Beard"	"PO Box 62
Wekanui 5199"
"Maria Waller"	"159 Gray-Smith Street
Kowhaikowhai 6141"
"Robyn Webster"	"70 Jones Place
Beardside 2417"
"Maya Newman"	"9 Reed Heights
RD 10
Healeying 8088"
"Glenn Robert"	"41 Pomakau Approach
Wakapo 9509"
"Heather Taylor-Arnott"	"5 Terepapapaiti Drive
Wonggate 5549"
"Shelley Ramsay"	"5 Spelman Avenue
Scott Flats 2440"
"Joanne Jackson"	"40 Wharetangi Avenue
Buicktown 0846"
"Deborah Humphrey"	"PO Box 657
Davisongate 6213"
"Kelly Freeman"	"PO Box 81
Hendersonings 9616"
"Harrison Hodson"	"17 Margaret Quay
Upper Hepburnburn 0722"
"Blair Kennedy-Craw"	"1 Smith Mews
Ngaurunui 8552"
"Rochelle Dalziel"	"Level 3
122 Baldwin Road
Timothying 5748"
"Samantha Hamilton-Kennedy"	"PO Box 341
Awanui 6281"
"Evelyn Short"	"6 Nicholas Way
Humphreytown 5363"
"Tony Jones"	"Apt. 853
24 Stewart-Cooksley Corner
Manawatapu 6043"
"Christopher Cragg"	"4 Papapatanga Track
RD 6
Wharemoko 5338"
"Miriama Kennedy-Bishop"	"974 Taiwaka Keys
RD 6
Russellstone 5198"
"Lisa Burnett-Davidson"	"Level 3
155 Roberts Rise
Manawarotowhaka 9706"
"Joanne Lane-Hubbard"	"Suite 971
75 Elliott Street
Liamton 2514"
"Stephen Lloyd"	"5 Waters Flats
Rangitanginuku 6277"
"Bronwyn Cresswell"	"2 Bishell Approach
Tangitahiwai 9817"
"Rochelle Jackson"	"Suite 729
585 Waiwhitu Terrace
Atkinsonhaven 9625"
"Lynda Smith"	"82 Morris Avenue
Smithborough 8820"
"Brent Lucas"	"939 Kennedy Square
Harperport 5551"
"Jasmine Edmonds-Laurenson"	"Flat 13
23 Street Street
Hudsonside 8893"
"Lisa Hooper"	"5 Rohemaungaweka Highway
Hookburgh 6012"
"Antony Walsh"	"Flat 60
86 Popuke Terrace
Taylortown 9849"
"Ruby Taylor-York"	"72 Price-Sowman Street
RD 9
Wharewhaka 6968"
"Samantha Barnett"	"167 Jennings Street
RD 3
Tahitoa 5337"
"Linda Morton"	"7 Christopher Crescent
Waiwaka 6150"
"Toni Shaw"	"Suite 838
2 Waihoro Street
Tahitaitipu 8956"
"Rochelle Mitchell-Black"	"675 Harris Beach Road
Mokorohe 2116"
"Jordan Sutton"	"34 Susan Trail
MacDonaldtown 2403"
"Kate Hewitt"	"90 Nolan-Foote Keys
Wekawharewhero 7845"
"Mary Sinclair"	"21 Deborah Avenue
Rongotaurohe 6222"
"Michael Lang"	"PO Box 7
Sullivanbury 5217"
"Jessica Russell"	"5 Smith-Jones Pass
Tahiwhakamanawa 5338"
"Nigel Holdaway"	"85 Waiawarua Court
Berrytown 5215"
"Matthew Williams"	"837 Fowler-Dyer Beach Road
Jeffriesland 5745"
"James Kelly-Fletcher"	"985 Tauaramoko Mews
Thompsonfort 5264"
"Jacob Brown"	"9 Wharerohe Street
Araara 9277"
"Rochelle Williamson"	"Flat 69
495 Fox Street
Arapapapatere 0756"
"Nicola Shand-O'Sullivan"	"PO Box 11
Jacksonburn 5867"
"Denise Thompson"	"773 Deborah Avenue
Powellton 8974"
"Paul Phillips-Soper"	"Apt. 135
730 Tautere Avenue
Ngauruiti 2375"
"Tracy Price"	"883 Whyte-Ham Terrace
Tahirangi 9667"
"Huia Scott"	"3 Ryan Arcade
RD 3
Horotere 9777"
"Richard Davies"	"8 Wharetai Parade
Guthriegate 5772"
"Isla Read"	"Unit 16
861 Horohope Beach Road
Ponui 8133"
"James Pollard"	"PO Box 262
Tereiti 6264"
"Sienna Pollard"	"Level 9
839 Poawa Beach Road
Davison Hill 2217"
"Rodney Atkinson-Anderson"	"Suite 437
92 Hemi Terrace
Bellside 9805"
"Jayden Moore-Foote"	"Unit 21
477 Green Avenue
Kawapo 9848"
"Tania Warren"	"9 Manawaiti Street
Korongauru 6006"
"Tony Harrison"	"Level 8
603 Whakatahiiti Place
Websterberg 5297"
"Christine Barrett-Anderson"	"265 Ford Street
Kawarongo 2190"
"Hamish Ball"	"8 Taitoa Plaza
Papapawhero 7458"
"Michael Larsen"	"232 Tangikoro Arcade
RD 5
Papaparohewhaka 2205"
"Emma MacDonald"	"992 Phillip Street
Jenkinsburgh 2344"
"Michael Cumming"	"PO Box 2
Jacobneath 9473"
"Patrick Neal"	"PO Box 22
Harrisoning 8605"
"Rodney McCarthy"	"27 Robb-Soper Avenue
RD 10
Forsythstone 5042"
"Riley Edwards-Wallace"	"Apt. 187
42 Wakawhangakowhai Bypass
Deanfort 8872"
"Janice Baird"	"49 Tangiterewhare Centre
Taitai 9724"
"Belinda Williams"	"10 Tangihanga Amble
Taupuke 5706"
"Ryan Clarke-Findlay"	"Suite 632
9 Kowhaitanga Street
Tahiwhangapo 9048"
"Ella Maxwell"	"3 Rotokiwi Street
RD 6
Motuwhakaweka 9573"
"Jack Cumming"	"PO Box 21
Tererangipapapa 2402"
"Hannah Prouse"	"324 Kororoa Arcade
Whangamoturoa 1674"
"Deborah Smith"	"PO Box 13
Awapohope 8532"
"Ryan Powell"	"45 Kowhaiwhare Way
RD 10
Kowhairohemakau 8587"
"Rodney Watt"	"744 Wharewhare Range Road
Tangitipu 6054"
"James Cooke"	"Suite 770
82 McGill Street
Burgesshaven 6201"
"Karla Jordan-Rowe"	"5 Moody Reserve
RD 2
Pukewhero 2075"
"Samuel McGrath"	"5 Jellyman View
New Smithstone 9056"
"Warren Stewart"	"Level 3
4 Brown Street
Aldridgeland 6452"
"Hannah Gill"	"199 Barr Range Road
RD 4
Bakermouth 2046"
"Mark Alexander"	"Apt. 217
2 Wallace Road
Christophering 5214"
"Daniel Hubbard-Boyce"	"PO Box 1
Tereroa 5284"
"Luke Soper-Fowler"	"Flat 35
9 Whangawhenua Centre
Waiwaka 3447"
"Kim Clarke-Atkinson"	"7 Papapaiti Street
Wharepuke 8212"
"Roger Barnett"	"7 Glen Beach Road
RD 7
Kowhaiwhare 9645"
"Tyler Parker"	"9 Tucker-Adams Street
RD 5
East Hortontown 9573"
"Angela Smith"	"4 Matawhangawhitu Circle
RD 3
Koromakau 7888"
"Leah Smart"	"68 Armstrong-Mann Park
RD 6
Rohehoro 6401"
"Stephen Broughan-Stuart"	"Unit 50
472 Adams-Bond Avenue
West Smithfort 8697"
"Stephen Morrison"	"43 Williams Centre
RD 6
Korotanga 9672"
"Jonathan Saunders"	"157 Perry Centre
Steerburn 2355"
"Robyn Steer"	"44 Mokopo Road
RD 9
Papapamanawa 5575"
"Caroline Hodson"	"54 Maungatipu Crescent
RD 9
West Marfellton 5816"
"Nikau Millar"	"39 Drake Quay
Douglasfort 0982"
"Roger Jones-Phillips"	"Unit 43
7 Papapapapaparongo Street
Danielgate 8661"
"Joanne Lucas"	"2 Rangitipu Avenue
Lower Scottburgh 8568"
"Nicole Hope-Booker"	"173 Read Cutting
Coxborough 8282"
"Derek Evans-Gore"	"PO Box 50
Maungatoa 9695"
"David Fletcher"	"Suite 593
5 Smith Beach Road
Jonesburn 3972"
"Rebecca Green"	"11 Rangitahirangi Avenue
Nicoleside 2453"
"Steven Morris"	"Unit 52
801 Potai Gardens
Grahamville 2689"
"Kay Waugh"	"Suite 678
73 Wharetapu Causeway
Lower Burnettmouth 8114"
"Paul Taylor"	"PO Box 9
Karenburn 8137"
"Matthew McLeod-Jones"	"3 Cox Road
Gardinerburn 2568"
"Roger Wong"	"747 Mason Street
Bartlettgate 2086"
"Paul Cameron-Perry"	"73 Wong Road
Tangiwhanganui 8498"
"Michelle Anderson"	"13 Brent Road
Jefferiesstone 2584"
"Ben Lee"	"53 Thompson Drive
Taylorside 7778"
"David Bell-Woolley"	"24 Horowhaka Drive
Whakanui 5517"
"Sam Anderson-Barnes"	"50 Tamara Anchorage
Upper Jellyman Flats 2454"
"Joshua Taylor"	"2 Sixtus-Lewis Arcade
RD 4
Maungaawanui 6415"
"Amy Wallace-Allen"	"11 McIntyre Street
RD 2
Papapatoa 7717"
"Carl Schwass"	"59 Craven Street
Rogers Hill 3477"
"Jack Banks-Stevens"	"570 Lee Street
Terekawatoa 8149"
"Roman Matthews"	"PO Box 21
Rongowhanga 9022"
"Andrea Kennedy"	"88 Smith Road
Roheiti 2310"
"Gregory Burns"	"55 Browne Road
Barnetttown 9729"
"Manaia Watkins"	"606 Rotokorotipu Road
Mokowai 0764"
"Allan Field"	"PO Box 973
Awatai 6250"
"Jill Parker"	"13 Lang-Hart Crescent
Ngaurumata 2163"
"Benjamin Laing"	"6 Forsyth-Meredith Pass
Hainesneath 9336"
"Julie Aberhart"	"Unit 44
44 McIsaac Arcade
Brianhaven 8997"
"Glenn Miller-Davidson"	"990 Fletcher-Mason Causeway
Wharewhangakiwi 5290"
"Sophie Hart"	"Apt. 723
85 Stokes Avenue
Tereiti 6114"
"Ronald McKay-Anderson"	"93 Evans Causeway
South O'Brien Hill 9654"
"Gregory Sowman"	"4 Smith Street
Wharetainui 5843"
"Matilda Holland"	"Unit 40
350 Jarvis Street
Currieton 5564"
"Sarah Knox"	"1 Papapamaungarohe Street
RD 3
Blakehaven 8021"
"Fiona Roberts"	"64 Horoiti Centre
RD 9
Caldwellleigh 9593"
"David Gillies"	"PO Box 9
Shanefort 9367"
"Warren Smith"	"210 Aberhart Alley
RD 2
Wendybury 2395"
"Nicholas Gee"	"PO Box 6
Mokowaka 9354"
"Keith Rowland"	"716 Pukerohe Avenue
Whangawekatere 9555"
"Donna Watkins"	"421 Rangipapapa Plaza
Stewartmouth 6008"
"Rosemary Coleman"	"59 Rotorua Square
Campbellport 9334"
"Laura Warren"	"Apt. 863
5 Rutherford Parade
Armstrongborough 9098"
"Tamati Smith"	"8 Larsen Avenue
Taingauru 6931"
"Danielle Ball-Small"	"PO Box 223
Mokotoa 8864"
"Robert Jones"	"PO Box 3
Rosemaryburn 9414"
"Rebecca Cresswell-Hope"	"4 Wekamakau Avenue
RD 9
Tiputaiiti 8127"
"Ann Pratt-Ford"	"4 Wakawhanga Circle
Horowhaka 3272"
"Andrew Short"	"11 Rangimoko Place
Popomakau 8008"
"Thomas O'Donnell"	"Level 8
44 Kawawhanga Approach
Rongorotowhaka 6088"
"Maureen Hogg"	"PO Box 9
New Smithbury 8028"
"Ross McIsaac"	"2 Hughes-Reid Street
RD 8
Horotanga 2425"
"Susan Jamieson-Smith"	"82 Waitaunui Concourse
Kawatanga 5010"
"Murray Gordon"	"874 Lisa Access
Stephentown 9334"
"Gavin Blake"	"Unit 86
3 Anderson Parade
Horomotumakau 9852"
"Stephen McNabb"	"Level 3
43 Raymond Centre
Tangingauru 6165"
"Darren Ward-Kennedy"	"Apt. 475
293 Morris Close
East Raynerland 8030"
"Andrew Boyce"	"8 Oliver-Eaton Street
RD 10
Codyberg 6241"
"Scott Cook"	"PO Box 63
Rotongaururoto 5354"
"Stephen Huddleston-Moran"	"5 Ngauruterenui Street
East Turnerhaven 2454"
"Ella Robson"	"986 Tessa Way
Terenui 2509"
"Ross McKinnon"	"PO Box 77
Jamesburgh 5228"
"Joshua Harris"	"3 Cook Way
Araroa 5501"
"Aaron Knowles"	"PO Box 123
Manawarohe 2176"
"Rose Lucas"	"4 Davis-Skinner Circuit
RD 6
Taukiwi 6960"
"Michael Francis"	"Unit 51
7 Manawatau Street
Matatai 5395"
"William Fitzgerald-Waller"	"88 Enright Avenue
Tereawanuku 9761"
"Brett Corlett"	"8 Batchelar Drive
Yorkland 8902"
"Charlotte Waters"	"9 Lee Road
Tangimaungatipu 9800"
"Aaliyah Neal"	"PO Box 7
Tauwhenua 5349"
"David Turner"	"Apt. 589
130 Barnett Street
Ramsayville 4982"
"Ross Wallace"	"923 Mokorangi Access
Wakanuku 5560"
"Joseph York"	"PO Box 81
Nielsenfort 4385"
"Jason Pickering"	"691 Michael Street
RD 1
Peterson Flats 5181"
"Renee Knowles"	"PO Box 1
Hoareville 9898"
"Jared Knight-Williamson"	"22 Rongotapu Amble
RD 6
Stewartland 9267"
"Nicole Hansen"	"9 Adams Flats
RD 1
Tipukoropapapa 8995"
"Alana Middlemiss"	"569 Terekiwi Arcade
Clunies-Rossborough 3789"
"Donald Davison"	"71 Wharenui Street
RD 3
Lake Hendersonmouth 9775"
"Grant Cooksley"	"27 Ngauruhoro Plaza
Papapatoa 2098"
"Raymond Matthews"	"3 Pomanawa Way
Christiansenmouth 8676"
"Ruby Howell"	"95 Mokohanga Arcade
Lower Wiltonings 2130"
"Laura Thomas"	"12 Cameron Street
RD 3
Shawberg 8038"
"David Rees"	"7 Horoiti Bypass
Pomanawa 2474"
"Donald Nelson-Enright"	"PO Box 1
Greigside 2636"
"Olivia Wood"	"7 Korowhero Point
RD 9
Tangimotu 8563"
"Rebecca Guthrie"	"715 Papapatipuhoro Range Road
Knightville 8535"
"Matthew Stace-McLean"	"PO Box 36
Tahingauru 8576"
"Michelle Aitken"	"772 Tipukowhaihanga Street
Jensenmouth 5793"
"Jonathan Thompson"	"9 Browne Terrace
Lake Coleyland 2075"
"Lucas Parkes"	"PO Box 93
Manawarua 6937"
"Ruby Waller-Thomas"	"PO Box 26
Manawapuke 9747"
"Denise Davis"	"Level 7
247 Grant Street
New Herdings 9523"
"Richard Allen"	"397 Taiwhare Track
RD 2
Matakowhaitipu 2037"
"Christopher Rutherford"	"Level 5
55 Gibson-Allan Lane
Logan Flats 9743"
"Hayley Ryan"	"854 David Street
RD 7
Whangamata 9445"
"Sophie Bond"	"690 Maungawhaka Street
McDonald Hill 4353"
"Linda O'Connor"	"Suite 111
94 Rongowhenua Track
Roherotokoro 2044"
"William Twidle-Turner"	"414 Higgins-Guthrie Crescent
Awamakau 6201"
"Lynne Hutchinson"	"Level 2
90 Whangapopo Arcade
Pikeside 8207"
"Jonathan Sullivan"	"Flat 44
4 Vicki Road
Whangarongo 9348"
"Russell Jones"	"Level 9
7 Boyle-Bell Plaza
Hansentown 9655"
"Ian Page"	"Apt. 749
6 Manawawhangawaka Street
Tahipotipu 9333"
"Susan Simpson"	"99 Tania Road
Martinfort 9850"
"Russell Simmons-Baldwin"	"Flat 36
3 Rush Drive
Tipuwai 9360"
"John Smith"	"8 Mark Drive
Manawatoa 2062"
"Kathleen Henderson"	"Flat 29
9 Larsen-Gardner Bypass
Alexanderborough 2172"
"Brian Baldick-Hanson"	"Unit 96
7 Croad Street
Coleing 5591"
"Scott Higgins"	"PO Box 53
Korowhero 2153"
"Rebecca Mayo"	"10 Marshall-Pickering Street
Mokonui 0755"
"Georgia Robson"	"PO Box 4
Horotau 9418"
"Russell Taylor"	"8 Davis Road
Campbellside 8060"
"Marie Cole"	"Suite 740
737 Tahirongo Street
Tangimaungapapapa 2488"
"Jack Lambert"	"41 Rotorongoiti Avenue
Grantborough 8859"
"Kenneth Wallace-Marshall"	"67 Brown-Gibson Terrace
Matawaka 5007"
"David Wilton"	"2 Waiwhare Arcade
Wharetai 6010"
"Michael Duncan"	"8 Leslie Range Road
Fentonside 8216"
"Melissa Jones"	"Apt. 403
635 Jane Terrace
Jacobhaven 2565"
"Andrea Mann"	"Suite 134
663 Bary-Craw Flats
Pollardleigh 5774"
"Robert Williamson"	"20 Gibbs Street
Lewisgate 0433"
"Ella Thompson"	"PO Box 42
Rangihanga 5149"
"Ruth Zimmerman"	"86 Boyce Street
Kellymouth 8012"
"Molly O'Neill"	"965 Simmons-Wallace Beach Road
Phillipsstone 2388"
"Craig Nelson"	"Suite 404
4 Foley Reserve
Pedersenbury 7578"
"Martin Martin-MacKay"	"22 Wheeler-Edwards Terrace
Kirkland 9048"
"Wendy Phillips"	"65 Buchanan-Franklin Street
RD 1
Williamsgate 5310"
"Emily Lloyd"	"PO Box 80
Mokowhero 4501"
"Kane Ball"	"2 Grant Street
Motutahi 8036"
"Louise Watts"	"PO Box 7
Wendyville 2658"
"Jamie Smith"	"PO Box 740
Matapukepuke 5116"
"Paige Pike"	"PO Box 71
Rohetau 5834"
"Ryan Craw"	"Level 6
456 Simpson Street
Williamsport 5801"
"Marcus Hayes"	"Level 3
697 Guthrie Avenue
Boongate 6440"
"Mia Turner"	"PO Box 12
Tahikowhai 9464"
"Jacob McGill-Booker"	"Flat 58
9 Smart Drive
Hamside 2138"
"Matilda Kennedy"	"54 Matatipu Copse
Angelaton 5037"
"Mary Jacques"	"87 Poole Crescent
Casey Flats 8111"
"Michelle Williams"	"50 Hyde Road
Maungawhaka 2431"
"Ian Pickering"	"277 Chapman Court
Barkerland 6934"
"Margaret Shepherd"	"PO Box 691
Greigfort 8606"
"Kate Brown"	"82 Stevenson Terrace
Mitchellland 6045"
"Ryan Harris"	"PO Box 1
Wakarotohanga 9726"
"Christine Holland"	"8 Dalziel Street
RD 5
Bakerton 5791"
"Kelly Scott"	"PO Box 7
Upper Readside 3938"
"Sarah McIntyre-Jones"	"536 Gray Street
Whakapukeroa 8972"
"Scarlett Martin"	"8 McEwen Beach Road
Rototahi 6022"
"Scott Thompson"	"PO Box 63
Websterbury 8657"
"Joshua Taylor"	"PO Box 88
Jones Hill 5866"
"Neil Jones"	"63 Adams Lane
Kowhaiara 5317"
"Russell Wallace"	"223 Hawkins-Jones Mews
RD 2
South Douglasings 2554"
"Aaliyah Wong-Scott"	"Apt. 462
99 Manawakowhai View
Whakatangi 8063"
"Ryan Hayes"	"PO Box 900
Rossitergate 6217"
"Mark Ellery"	"6 Jenkins Park
RD 9
Mount Readneath 1783"
"Shirley Ewart"	"32 Freeman Range Road
Rotokoro 9559"
"William George"	"Suite 261
43 Arahorowai Way
Campbellland 9313"
"Christine Donaldson-Nicholson"	"8 Corbett Centre
Caldwellbury 2496"
"Shannon McDonald"	"Unit 50
99 Goodwin Range Road
Awawharemaunga 5820"
"Jessica Shailer"	"13 Matapoweka Court
RD 9
Larsengate 8560"
"Catherine Smith"	"Suite 929
204 Kevin View
Wakawhitu 9541"
"Kimberley Holdaway"	"81 Murphy-Burr Beach Road
Stevensonstone 2635"
"Grant Curtis-Broughan"	"536 Wekarangi Approach
Olsenside 6141"
"Ryan Hook"	"3 Douglas-Jones Street
Waitau 2485"
"Lesley Phillips"	"649 Taumaunga Place
McLeanmouth 6180"
"Mary McDowall"	"119 Hook-Newman Street
Smithneath 2025"
"Hamish Carter"	"Unit 24
9 Barker Park
Peranobury 2432"
"Aaron Mortimer"	"86 Wratt Track
Greer Hill 5808"
"James Watt"	"Flat 66
930 Taimaunga Street
Owenneath 8105"
"Karl Jones"	"Unit 79
4 Liam Way
Judithneath 2215"
"Marcus Browne"	"3 Carter-Woolley Street
RD 6
High Wall Flats 8833"
"Phoebe Thompson"	"4 Giles View
Awawaiiti 3730"
"Ethan May-Webster"	"PO Box 391
Roheroa 3640"
"Ryan Saunders-Lewis"	"721 Motupuketapu Place
Aimeeport 2606"
"Robert McIntosh-Trask"	"3 Flood Centre
Hydeberg 8554"
"Michael Dalton-Williams"	"162 Hume-Guy Street
Farlandberg 8443"
"Lynette Jellyman-Little"	"2 Jennings-Armstrong Concourse
RD 9
Tahitanga 7106"
"Timothy McIntyre"	"95 Reid Crossing
Tahiwhitu 2439"
"Gary Taylor"	"257 Richard Arcade
Cherylings 4054"
"Bruce Jackson"	"192 Roheroa Avenue
RD 7
Wardmouth 8468"
"Lisa Horton"	"6 Boyce-Carpenter Drive
Fullerhaven 5118"
"Sally Smith-Middlemiss"	"76 Tangiawapo Mews
RD 9
Wooding 9412"
"Jennifer Booth"	"94 Mokomakau Way
Nolantown 4771"
"Ryan Turner-Marfell"	"969 Maungakiwi Street
Smithhaven 2590"
"Kim Clarke"	"PO Box 21
Whangawhare 8023"
"David Smith-Dawson"	"6 Bailey Street
RD 7
Whangarohe 8910"
"John Anderson"	"696 Kemp-George Mews
RD 7
Papaparohetai 5289"
"Ataahua Twidle"	"53 Whareiti Beach Road
East Gledhillside 2672"
"Shane Porter"	"20 Adams Place
Webstertown 9472"
"Carol Knight"	"98 Nicholas-Gardner Keys
High Masonmouth 9649"
"Rose Carter-Thompson"	"311 Price-Jackson Road
Brookeburn 6087"
"Kathryn Thompson"	"Suite 791
68 Wakatapu Corner
Rohekoro 5330"
"Lois Higgins"	"45 Hughes Line
Martinneath 8852"
"Ryan Williams"	"77 Wharewekawhare Rise
Taylorleigh 9328"
"Kevin Dawson-Harper"	"Suite 153
594 Armstrong Street
Barrettleigh 2245"
"Kate Marfell"	"Apt. 223
7 Taipapapa Street
Rongowhakamata 8819"
"Michael Pratt"	"PO Box 1
High Manningleigh 9204"
"Karen Rogers"	"2 Arawhanga Park
RD 6
Aramatamoko 6490"
"Molly Schwass"	"PO Box 979
Pooleside 5702"
"Benjamin Jordan"	"24 Mokorotowhero Crescent
RD 5
Hawkinsside 2057"
"Stephen Lucas-Taylor"	"Flat 54
4 Wakarangiroto Avenue
Simpsonmouth 5282"
"Margaret Southee"	"507 Evans Avenue
Moorehaven 2150"
"Lauren Aitken"	"8 Maungawaka Lane
Kowhaitahipuke 9418"
"Ryder Smith-Carter"	"2 Read Drive
RD 7
Maungawairoa 9447"
"Janine Christiansen-Blair"	"73 Stevenson Street
RD 6
Patchettport 8835"
"James Chapman"	"1 Rotoawa Beach Road
RD 2
Tiputipuiti 6230"
"Leanne Morris"	"311 Chapman-Webb Court
Whakapapapatere 2076"
"Joanne Davenport-Jenkins"	"Level 1
89 Rotomakau Avenue
Mount Hortonneath 5141"
"Paul Joe"	"68 Manawarongomotu Trail
Dianaings 9700"
"Michelle Dean"	"1 Butler-Cook Street
Rohewhitu 2575"
"Jorja Wilkinson"	"5 Ngauruwhanga Broadway
Francisfort 5883"
"Georgia Jones"	"4 Awawaka Crescent
Mount Thomasborough 5168"
"Kerry Ham"	"680 Mokoawamaunga Beach Road
Holmesside 9779"
"Sally Evans"	"423 York-Holland Avenue
Roberts Flats 8824"
"Faith MacDonald"	"41 Sanders Lane
Sullivanside 8965"
"Ryan Douglas"	"65 Ngaurumoko Alley
RD 9
Wiremu Hill 9784"
"Bailey Barker"	"678 Wakamoko Street
RD 6
Oliverville 2478"
"Adrian Lee"	"PO Box 248
Wekatere 2673"
"Joy McCarthy"	"930 Maungamokoawa Circuit
McManawayings 2066"
"Kelly Landon-Lane"	"5 Marilyn Street
Maungamoko 8900"
"Gregory Edwards"	"2 Marshall Street
RD 9
North McLeanburgh 3421"
"Peter Stuart-Lamb"	"357 David Gardens
Shawhaven 2404"
"Anthony Freeman"	"33 Clunies-Ross Avenue
RD 4
Kawawekatahi 8890"
"Sally McMillan-Norman"	"2 Wakapapaparoto Track
Papapatahi 8863"
"Eli Pearce"	"34 Turnbull-Hyde Street
RD 8
Cookburgh 9429"
"Natasha Roberts"	"314 Matamata Place
Wiltonberg 9069"
"Natasha Anderson"	"8 Cole Road
Flemingtown 9004"
"Donna Fox"	"68 Moturangi Road
Jensenfort 6129"
"Hannah Kirk"	"Suite 285
31 Mokotere Place
Rohearaawa 2404"
"Peter Horn"	"PO Box 8
Greenhaven 8853"
"David Page"	"8 Black Flats
Kawaiti 2275"
"Ross Christiansen"	"13 Francis Beach Road
RD 10
Louise Flats 0379"
"Thomas McDonald"	"33 George Broadway
RD 5
Maungaiti 2050"
