"Aaliyah Ritchie"|"467 Korokawa Anchorage
Smithleigh 6493" 
"Renee Middleton-Dean"|"27 Nicola Circuit
RD 10
Duncanstone 2174"
"Darren Dalton-Jenkins"|"75 Wallace Alley
Blairland 9660"
"Shania Edwards"|"99 Terepomanawa Mews
Whakaweka 6214"
"Ian Gillespie"|"6 Whangawhangawai Anchorage
Pukewhenua 4767"
"Aaron Huddleston"|"Suite 363
134 Joseph Alleyway
Rotonui 1318"
"Robert Clarke-Elliott"|"949 Ching-Strawbridge Street
High Bishelling 4178"
"Rachel Campbell"|"Unit 25
7 Motupukewhenua Street
Kawamotu 0918"
"Michael Read"|"4 Adams Keys
West Montgomerying 2591"
"Paul Jefferies"|"586 Tangingaurukowhai Street
Wellsleigh 7857"
"Murray Williamson-Williamson"|"PO Box 661
Awaweka 8276"
"Trevor Satherley"|"36 Catherine Drive
RD 2
Mitchellstone 8286"
"David Pike-Sullivan"|"PO Box 1
Greerhaven 2645"
"Rebecca Smith"|"Level 3
6 Wharetau Square
Fuller Hill 2323"
"Peter Bell"|"423 Pukekawa Street
East Jensenville 8513"
"Ryan Turner-McKay"|"PO Box 6
Martinville 3088"
"Shaun Perrin"|"8 Webster Plaza
Butlergate 8966"
"Sophia Leslie"|"368 Matahope Place
Whareawa 2461"
"James Bell"|"4 Simonsen Street
West Hollandside 5147"
"John Bartlett"|"82 Whakawaka Line
Clarkeberg 9673"
"Nadine Richards-Olsen"|"Flat 46
32 Ethan Way
Whangatipu 5069"
"Max Thompson"|"9 Awatapu Access
Wharewaiwhaka 5340"
"Rex Woolley"|"70 Small Crescent
Wendyland 5882"
"Jennifer Alexander"|"596 Blake Place
Rohewakawaka 5757"
"Olivia Haines-Armstrong"|"2 Rohemaungarongo Keys
Stephanieside 2537"
"Andrew Barrett"|"PO Box 54
Powainui 8087"
"Caitlin Morgan"|"Unit 94
1 Alice Concourse
Coxneath 2200"
"Kylie Owen"|"PO Box 8
Tiputahi 8122"
"Jamie Mitchell"|"21 Olivia Range Road
O'Neillton 7223"
"Tessa Scott"|"PO Box 348
Awawhenua 2654"
"Natalie Burgess"|"8 Thompson Pass
Petersmouth 2405"
"Maria Laurenson-Rasmussen"|"14 Allan Street
Mokoawanuku 2122"
"Sandra McIntyre"|"5 Findlay-Baker Trail
RD 7
Brownbury 9393"
"Anahera Taylor"|"64 Manawawhaka Place
High Morrisonland 5207"
"Christina Russell-Fuller"|"7 Tahikororangi Circuit
Wakarangi 6027"
"Derek Oliver"|"Suite 915
3 Edwards Drive
Upper Cooktown 6177"
"Samuel Woolley"|"719 Fletcher-Smith Corner
Motutere 2194"
"Nikora Laurenson"|"Apt. 143
16 Harper Street
Motuhoro 5876"
"Matthew Davis-Newman"|"367 Papapaterenui Crossing
Motutere 2296"
"Janet Hadfield"|"PO Box 705
East Websterside 2207"
"Natalie Burnett-Woolley"|"8 Matawhenua Avenue
Nelsonland 9232"
"Michael Neal"|"254 Cunningham-Fisher Road
Marshborough 2134"
"James Woolley-Morrison"|"PO Box 927
Rangitere 5595"
"Shane Vercoe"|"190 Norton Avenue
Matawhanga 9498"
"Samantha Bruce"|"410 Horotiputipu Place
Wekatipu 6203"
"Lynne O'Connor"|"6 Moran Crescent
Tiputauwaka 5191"
"Katherine Berry"|"59 Crawford Road
Maxwellgate 2515"
"Matthew Gordon"|"84 Whangarotonui Alley
RD 8
Loweland 1813"
"Stuart Brown"|"PO Box 1
Motukoro 7226"
"Ronald Price"|"Unit 15
8 Stewart-Smith Street
Awatere 9813"
"Natalie Harrison"|"1 Turner Plaza
Rongohoro 9511"
"Charlie Hopkins"|"99 Ngauruhoro Street
Hughes Flats 9492"
"Luke Smith"|"Apt. 470
597 Brown Point
Wharekawa 4176"
"Peter Herd"|"92 Jones Road
RD 4
Pollardburgh 9559"
"Tracy Bull"|"1 Sarah Road
McNabbburn 5819"
"Amber Morgan"|"Apt. 350
9 Webby Bypass
Peterbury 9530"
"Daniel Love"|"PO Box 6
North Campbellhaven 8562"
"Belinda Williams"|"11 Simpson View
RD 5
Wekatipurohe 2423"
"Simon Miller"|"381 Maungatapu Arcade
Kowhaitai 2216"
"Nicole Dillon-Hoare"|"Unit 74
80 Kawawai Crescent
Reesborough 9792"
"Natalie Martin"|"14 Kawaara Crescent
Crawneath 8843"
"Jamie Reardon"|"PO Box 972
Manawawhero 0182"
"Danielle Brown-Morris"|"Unit 30
433 Whangataiiti Amble
Matarongo 4768"
"Brendan Pike-Fulton"|"146 Johnston Gardens
RD 10
Tahiwhero 6949"
"Olivia Neilson"|"PO Box 731
Lucasborough 9566"
"Kirsty Wells"|"270 Blick Heights
Roherohetipu 2652"
"Jonathan Dawson"|"9 Cameron Track
RD 5
Tiputahihanga 7294"
"Taylor Carroll-Herd"|"PO Box 932
Freethside 0954"
"William Browne"|"Flat 30
862 McIntyre Bypass
Hyde Hill 8196"
"Murray Stratford"|"PO Box 77
Pukemanawa 5318"
"Natalie Weston"|"46 Forrest Esplanade
Rongorua 6295"
"Barbara Smith-Bryant"|"PO Box 5
Tangiawakiwi 8808"
"Karen Hope-Osborne"|"84 Tipupapapa Bypass
Mataweka 2453"
"Jack Lucas"|"5 Aratanga Mews
RD 7
Pukemotu 7416"
"Derek Fletcher"|"PO Box 11
Maungawhare 8574"
"Ben Fuller"|"8 Campbell Parade
Kowhainui 8516"
"Justine Waters"|"76 Neal-Green Street
Pedersenbury 7634"
"Helen Robson-Jenkins"|"715 Crawford Track
Kowhaipo 8465"
"Kevin Crawford"|"950 Smith Street
Meredithmouth 6139"
"Samuel Brooks"|"PO Box 5
Sinclairburn 2052"
"Natasha Dunn-Stokes"|"481 Kowhairoto Road
RD 9
Port Simpsonburgh 5165"
"Mark Curtis"|"731 Whangamokotapu Street
RD 1
Bowaterhaven 8026"
"Sandra McFarlane-Wallace"|"Apt. 257
2 Tauarapo Terrace
Whakawhare 2421"
"Robyn Woolley"|"79 George Approach
RD 9
Boydmouth 2230"
"Kelly Hardy"|"765 Davison-Baker Arcade
Baileyside 4314"
"Mya Kerr"|"5 Guard Alleyway
Hansonneath 9304"
"Susan Gibson"|"9 Tiputipu Reserve
Terekoro 8453"
"Caroline Moore"|"7 Emma Broadway
Davisonbury 8869"
"Julie Reid"|"Unit 30
58 Waitanga Rise
Awaara 8938"
"Steven Bell"|"37 Richards Terrace
RD 2
Perryville 8911"
"Natasha Ireland"|"Level 2
2 Pukeiti Mews
Johnstonegate 5213"
"Natasha Harris-Hansen"|"24 Tiputauwhanga Road
RD 8
Lower Evanston 5760"
"Madison O'Connell"|"322 Booker Avenue
Rachaelland 6067"
"Vanessa Booth-Dalton"|"Unit 12
69 Dobson Crescent
Costelloland 5728"
"Jacob Henderson"|"Unit 80
81 Wekaweka Way
Rotowhaka 9004"
"Michael Francis"|"Apt. 326
7 Burr Crest
South Gunnside 3278"
"Maria Phillips"|"Flat 87
1 Jamie Alley
Teretai 8962"
"Rachael Williams"|"PO Box 5
Pukewekaweka 5711"
"Hemi Rodgers"|"Flat 69
8 MacKenzie Arcade
East Foxton 5831"
"Samantha Neal"|"366 Rochelle Avenue
Phillipshaven 5762"
"Natasha Jackson"|"1 Smith Place
Rongorongoiti 3570"
"Robert Guthrie"|"Suite 650
3 Parker Arcade
Johnberg 2384"
"Mark Matthews"|"62 Simpson Crossing
Streettown 2446"
"Malcolm Cameron"|"Apt. 168
9 Matahope Street
Robertsleigh 5358"
"Alexander Jones"|"Flat 95
163 Rangiiti Bypass
Popemouth 5713"
"Shane Webb"|"108 Dyer Flats
Buckleyton 5713"
"Te Koha Smith-McDowall"|"8 Taupuke Place
Upper Wardhaven 2107"
"Kim Griffin"|"6 Davies-Wells Mews
Mount Campbelling 9596"
"Andrew Findlay"|"PO Box 7
Taiiti 2022"
"Robert Cook-Harrison"|"26 Wekarangitau Alleyway
Wakarongomata 6464"
"Natasha Knowles"|"693 Anderson Reserve
Mokomoko 9657"
"Danielle Steele"|"PO Box 174
Gabrielle Hill 6122"
"Samuel Scott-Simpson"|"29 Michael Bypass
Westonleigh 9313"
"Samuel Payne"|"Apt. 442
91 Teretiputere Approach
Aranuku 1495"
"Jane Tapp"|"6 Donaldson-Henderson Plaza
Buchananburn 2276"
"Daniel Roberts"|"8 Hansen Broadway
Nealfort 8115"
"Sandra Gardiner-Gibson"|"9 Taylor-Cameron Street
RD 1
Russellville 2241"
"Andrew Newman"|"127 Gray-Gore Broadway
RD 10
Port Gardnerstone 9535"
"Judith Burke"|"81 Tahiawamanawa Esplanade
Rotohoromata 2208"
"Christina Willis"|"47 Ngaurutahi Street
Millarings 5032"
"Natasha Roberts-Stewart"|"Level 9
72 Williams Cutting
Daymouth 9640"
"Madison Henderson"|"PO Box 191
Chapmanmouth 9873"
"Karl O'Brien"|"Apt. 476
6 Jones Arcade
Mitchellmouth 2176"
"Kerry Douglas"|"144 Kawakowhai View
RD 7
Sowmanton 9676"
"Lisa Boyce"|"7 Harris Place
Murphystone 4842"
"Carol Holdaway"|"52 Russell Court
RD 1
West Carpenterberg 2256"
"Michael Webster"|"508 Elizabeth Road
RD 3
Manawarohewai 5028"
"Caitlin Carr"|"486 Manawatangi Place
Greening 8868"
"Kylie McIsaac"|"8 Pedersen Crescent
Melanieton 9608"
"Patrick Reeves-Lee"|"384 Higgins Avenue
Teretipunui 9649"
"Nathan Davis"|"8 Wharetahi Court
Rotorongotau 4363"
"Steven Cox"|"95 Papapangauru Alleyway
North Bellville 4232"
"Jayden Costello"|"85 Michael Street
Horoawa 9661"
"William Munro"|"Unit 28
9 Lowe-Morris Drive
Motuteremanawa 1000"
"Jason Saunders-Lewis"|"Flat 14
83 Awanui Crescent
Healyville 5068"
"Barbara Landon-Lane"|"Flat 83
92 Lammas-Cook Street
Wardings 2556"
"Charlotte Strawbridge-Perano"|"PO Box 762
Papapangaurumaunga 5166"
"Mark Gardiner"|"357 Butler Track
Scottmouth 9535"
"Danielle Jeffries-Cooke"|"32 Roheara Parade
RD 2
Manawakiwi 6469"
"Mark Jones"|"Unit 38
877 Carson Street
Morrismouth 8097"
"Nathan Guard"|"516 Kowhaiweka Approach
Rotorua 8634"
"Timothy Jamieson-Brown"|"2 Koronuku Road
RD 6
Fordburgh 8812"
"Jared Marshall"|"9 Horoiti Avenue
Weston Hill 5702"
"Joanna Edwards"|"53 Carson Street
Tangimoturongo 5846"
"Michaela Powell"|"PO Box 4
Korokowhai 6008"
"Christine Mitchell"|"6 Hughes Broadway
Brighttown 2147"
"Bridget O'Sullivan"|"PO Box 5
East Reidtown 1819"
"Elizabeth Weston"|"PO Box 8
Madeleineville 6193"
"Tania Wood"|"5 Mokowainui Street
Tayloring 9331"
"Andrew McEwen"|"Level 2
8 Ward Anchorage
Whakaroto 2220"
"Nathan Kennedy"|"PO Box 6
Whangaarawhitu 8905"
"Mark Moody"|"499 Hope Crescent
RD 1
Wharepapapa 2162"
"Angela Gardiner"|"9 Johnston-Anderson Street
Irelandport 2423"
"Richard Gilbert"|"Level 3
12 Ararongo Street
Papapamata 8228"
"Andrea Ritchie"|"51 McKay-Bell Street
Lyonside 7871"
"Jordan Ryan-Black"|"PO Box 46
Maunganui 2381"
"Tane Patchett-Rees"|"62 Chloe Avenue
Tangirongo 9369"
"Lisa Reeves"|"8 Sixtus Avenue
Mokowhanga 9653"
"Richard Healey-Blair"|"PO Box 915
Reidburgh 8930"
"Thomas Dunn"|"6 Banks Drive
RD 9
Bellmouth 9364"
"Nathan Patchett-Knight"|"Unit 38
4 Josephine Way
Aratanga 8094"
"Simon Weston"|"PO Box 4
Pukemoko 8016"
"Jason Williamson"|"347 Matawhanga Cove
Maungarohe 2182"
"Anthony Sutton-Cameron"|"3 Baxter Road
Mataiti 0778"
"Maureen Guard"|"6 Gregory Highway
Wakawakahoro 1183"
"Paul Learmonth"|"682 McIntosh Trail
Morganton 4017"
"Nicola Williams"|"PO Box 863
Deborahside 9828"
"Gavin Shailer"|"611 Gardiner Crescent
Taiwhangarangi 6177"
"Anne Dixon"|"8 Smith Terrace
Waiwhitu 2284"
"Matthew Taylor"|"63 Smith Road
RD 5
Hororua 8917"
"Nathan Wilton"|"501 Ngauruwhare Point
RD 8
Lambport 7046"
"Charlotte Beattie-Morris"|"569 Michael Access
Araara 2576"
"Maria Hills"|"49 Henderson-McKay Street
Tuckerborough 9673"
"Douglas Warren"|"988 Helen Road
Manawatahi 2056"
"Bailey Millar"|"PO Box 3
East Croadton 9321"
"Gregory O'Connor"|"825 Wilkinson Road
Knightmouth 5586"
"Connor Turner"|"76 Gordon Street
Millarland 8909"
"Bailey Hay"|"Level 1
1 Lance Street
Tainuku 9827"
"Sophia Smith"|"1 Webb-Alexander Range Road
High Davidsonmouth 0173"
"Mark Manson"|"Apt. 925
834 Holland-Olsen Street
Kawakiwi 9000"
"Nathaniel Reed"|"31 Neilson Street
RD 5
Kawaroto 8996"
"Levi Williamson-Smith"|"172 Nicola Flats
Bushmouth 5803"
"Jonathon Forbes"|"22 Stace-Green Arcade
Catherineing 5824"
"Jeanette Taylor-Thompson"|"846 Wakawekahope Crescent
Tangimata 4633"
"Stephen Goodwin"|"Suite 476
49 Smith Alleyway
Westland 9802"
"Jillian Turner"|"PO Box 9
Lake Orrburn 4573"
"Elizabeth Wilton-Webster"|"738 Parker-Bull Road
Tereiti 8185"
"Vanessa Boyce"|"4 Boyce Street
RD 6
Manawanui 0763"
"Karen Knight"|"Apt. 444
92 Rangitangiwhero Street
Stevensport 8643"
"Jack Gill-Robb"|"Flat 46
763 Rangiiti Road
Grahamborough 9792"
"Neil Hogg"|"91 Ararongongauru Park
Corlettgate 9001"
"Kylie Haines-Porter"|"170 Glenn Crescent
RD 8
Whangamanawa 7241"
"Sandra Forrest"|"70 Tipunui View
Maungarua 5384"
"Catherine Jacques-Blair"|"9 Brown-Jensen Beach Road
Francising 5172"
"Mia Thomas"|"Apt. 875
696 Duncan Mews
Wendy Hill 6248"
"Lydia Claridge"|"PO Box 170
Barrings 8879"
"Catherine Rutherford"|"8 Hart Point
Waiwhanga 5513"
"Jessica Murphy"|"Unit 93
52 Pokiwi Drive
Jacksontown 8961"
"Justine Reader"|"Apt. 126
4 Fitzgerald-Healy Road
Stevensland 9306"
"Jeffrey Jefferies"|"PO Box 365
Ashleyburn 6084"
"Nevaeh Ward"|"48 Robb Grove
RD 8
Wekatipu 6004"
"Danielle Reid-Marfell"|"2 Hansen Road
Wakapo 9315"
"Dion Payne"|"PO Box 95
Ngauruiti 9802"
"Daniel Hughes"|"75 Ngaurunui Trail
Matawhangapuke 6468"
"Stephanie Henderson"|"PO Box 1
Matthewsside 9279"
"Nigel Richards-Sullivan"|"2 Matahanga Mews
RD 9
Aramakau 2251"
"Kelly Martin-Parker"|"539 John Flats
Wekapotahi 6212"
"Kimberley Healy"|"59 Coleman Range Road
Jensenport 9668"
"Robyn Vercoe"|"85 Justin Road
Hansening 4059"
"John Thompson"|"Suite 969
9 Korowhitu Parade
Greenneath 9619"
"Nicholas Allen"|"Apt. 909
7 Stephen Mews
Teremanawa 6045"
"Sophie Healy"|"PO Box 844
Brentbury 5109"
"Charlie Jones"|"502 Mason Road
Williaming 9518"
"Mark Broughan"|"60 Cooksley Terrace
Olsen Hill 8030"
"John Jones"|"479 Tait Avenue
Kawamotu 5062"
"Ethan Lang"|"22 Maunganui Cross
RD 8
Hughesport 6272"
"Angela Wilton"|"2 Mason Circuit
Motumoko 6032"
"Anita Buchanan"|"Suite 746
69 Wekatoa Corner
Nelsonings 2212"
"Eva Elliott"|"2 Jamieson Road
Hendersonings 5040"
"Richard Shaw"|"5 Jones Road
Lake Hamings 9897"
"Nicholas Anderson"|"58 Gibbons Way
Burrside 9423"
"Joshua Findlay"|"PO Box 3
Burnett Hill 1970"
"David Barr"|"27 Rayner Centre
Douglasville 8030"
"Brooklyn MacPherson"|"4 Howard Avenue
Farlandburgh 9864"
"Jennifer Tanner"|"9 Terewhenua Amble
Bairdbury 2375"
"Sadie Thomas-Aitken"|"718 Waipapapaiti Access
RD 7
Tahiara 5785"
"Hayley Doyle"|"544 Tangitapu Street
Awawhare 5147"
"Fiona Brooks"|"Level 3
60 Pukeawa Avenue
Ngaurutipu 2019"
"Olivia Beard-Cunningham"|"Level 6
67 Aratangi Street
Pukemoturoa 7056"
"Sarah Adams"|"588 Whakatangi Street
Tipukawa 5817"
"Nicholas Barr"|"5 Papapamoturoa Drive
Wekawaka 2383"
"Donna Edmonds"|"8 Whangawai Way
Josephville 8487"
"Jane Hart"|"375 Aaron Track
Cookings 6945"
"Catherine McNabb-Gibbs"|"11 Boniface Grove
Nikitaport 2166"
"Summer Dalton-Stokes"|"47 O'Brien Cutting
Aramotunui 8434"
"Donna Seymour"|"14 Robert Square
Wattside 5063"
"Jayden Taylor"|"PO Box 109
Adrienneside 6026"
"Diane Foley"|"Apt. 994
99 Waitapu Reserve
Matatahi 9625"
"Helen Hodson"|"672 Rangitanga Road
RD 8
Bothamings 2397"
"Mark Ward"|"Apt. 747
32 Ararangi Parade
Koropuke 2563"
"Nicholas Davison"|"18 Webster Street
RD 5
Markmouth 5242"
"Joshua Boyd"|"370 Smith-Campbell Broadway
Holdawayside 5825"
"Philippa Bailey"|"40 Fletcher Mews
Hardieton 9858"
"Ethan MacKay"|"2 Lucas Street
Pomotumaunga 2643"
"Michelle Hook"|"311 Read Way
Awapukerangi 6402"
"Ruth Lang"|"274 Jamieson Crest
Rangiiti 5391"
"Summer Stevens"|"8 Forbes-Jacques Beach Road
Scottport 2645"
"Karen Parker"|"107 Kowhainuku Crossing
East Greenneath 2196"
"Andrew Jordan"|"98 Aitken-Fletcher Street
Brownside 2002"
"Mary Henderson"|"Unit 79
12 Middlemiss Road
Stratton Flats 4384"
"Nicholas Knight-Hamilton"|"5 Wakaroto Terrace
RD 2
Ponui 9290"
"Ann Bright"|"59 Long Mews
Ford Flats 7749"
"Samuel Wong"|"1 Teretangimanawa Street
RD 2
MacKayburgh 2142"
"Dean Oliver"|"964 Donaldson-Caldwell Amble
Michaelport 6201"
"Jack Burton-Fitzgerald"|"PO Box 424
Pukemotupo 5510"
"Stuart Gibbs"|"8 Araiti Street
Edwardston 9255"
"Gregory Jones"|"3 Pukehope Street
Awanui 2445"
"Chelsea Duncan"|"9 Dick Road
Dixonborough 7419"
"Elizabeth Jones"|"PO Box 6
Ngaurutere 9816"
"Michael Edwards-Thompson"|"343 Susan Arcade
Rototipuwhare 2517"
"Nicholas Nash"|"508 Davis Place
Awakowhaiawa 8465"
"Zac Kelly"|"3 Rohewaka Cutting
Harrisberg 2241"
"Toby Phillips"|"350 Knight Court
Tangiwai 8014"
"Victoria Sinclair"|"2 Maungawhero Street
Perrytown 9285"
"Amanda Fowler"|"PO Box 73
Lower Hansenport 2689"
"Kerry Pearson"|"Flat 56
494 Tahiroa Cross
Tiputipuwaka 9496"
"Fiona Thomas"|"PO Box 522
Matapomoko 9601"
"Robin Gray"|"Unit 45
34 Horowhero Crescent
Roheara 8047"
"Patrick Johnstone"|"358 Booth Alley
Rongowakanui 8835"
"Danielle Wood-Bartlett"|"Suite 275
672 Callum Place
Lower Morangate 3199"
"Nicholas O'Leary"|"4 Mataiti Lane
Sandersport 2301"
"Damian Anderson"|"PO Box 20
Pomaunga 8086"
"Lisa Jeffries"|"781 Manawarohetipu Rise
Mokoiti 5304"
"Michael Joe-Webb"|"517 Anderson Bypass
Mount Dillon Hill 8471"
"Suzanne Harrison-Lee"|"4 Bowater Street
Tauwekanui 8861"
"Jacob Meads"|"84 Healy Ridge
Wharerotowhitu 6195"
"Paul Martin-Pedersen"|"91 Cox-Joe Street
Smithville 8087"
"Anthony Hodson-Osborne"|"1 Barbara Cutting
RD 8
Higginsburn 5317"
"Philippa Nicholson"|"1 Jones Centre
RD 1
Smithbury 8572"
"Susan Mason"|"Level 7
9 Little Place
Horotainui 5386"
"Nicholas Russell"|"PO Box 3
Simpsonmouth 8979"
"Leanne Harris"|"471 Burr Avenue
Koroara 7199"
"Ross Blick"|"PO Box 46
Crawfordstone 5899"
"Nathan Bailey"|"6 Spencer Way
RD 4
Mokoterehope 7738"
"Christian Reader"|"7 Craig Street
New Scottside 3363"
"Bruce Dillon"|"Unit 84
62 Kororoa Reserve
Freemanhaven 9790"
"Mia Payne"|"PO Box 4
Rongokawatere 9271"
"Christopher Harris"|"48 Sally Centre
RD 2
Rohetahitapu 2044"
"Kirsty Hughes"|"4 Harper-Reynolds Causeway
Craggville 2024"
"Matthew Lucas-Arnold"|"Suite 421
30 Lambert Crescent
Boylegate 8493"
"Nicholas Warner"|"PO Box 4
Mokowhare 4623"
"Claire Dobson"|"8 Jarvis Plaza
RD 5
Rongonui 9247"
"Phillip Shailer"|"57 Strawbridge Way
Vincentgate 5026"
"Jessica Christie"|"304 Mitchell Street
North Tappneath 8873"
"Sophie Kendall-Boyce"|"PO Box 56
McMillanbury 2690"
"Kate Morris-McCallum"|"93 Roberts-Knowles Drive
RD 4
Terewainui 9608"
"Troy Campbell"|"2 Higgins-Vincent Drive
RD 2
Puketai 8682"
"Te Koha McKay"|"4 Isla Avenue
Jamiesonfort 2387"
"Tony Watkins"|"PO Box 68
Mokomanawamata 9422"
"Craig Higgins"|"57 Smith-Craig Track
Daltonstone 9872"
"Nicola Anderson"|"2 O'Sullivan-Stratton Close
North Smallbury 2437"
"Jennifer Ford"|"90 Powell Access
Mercerbury 6232"
"Christopher Williams-Turner"|"7 David Street
Prenticeborough 9727"
"Nicola Mitchell"|"154 Rodgers Road
Wharearakoro 8892"
"Jack Harris-Fenton"|"830 Black Way
Matangauru 5007"
"Wendy Murphy"|"Suite 896
78 Atkinson Range Road
Horowaikawa 5295"
"Sophie Harris"|"93 Kowhaitanga Street
RD 3
Lake O'Keefe Flats 5012"
"Isaac Hansen"|"22 Roberts Drive
RD 1
Pukerangihanga 5111"
"Luke Newman"|"4 Alexander Bypass
Wharepokiwi 9200"
"Andrew Poole"|"84 Freeman-Mitchell Anchorage
Cunninghamgate 8876"
"Nicola Boyle-Hansen"|"721 Taumaunga Road
Manawamotuwhanga 9408"
"Alan Wall"|"467 Wilton Arcade
Patriciaburgh 9674"
"Russell Carter-Cooksley"|"PO Box 84
Smithhaven 0465"
"Michael Mitchell"|"808 Gary Road
Tangimakau 2246"
"Aaron Freeman"|"9 Manawangaurupo Arcade
Horopuke 8049"
"Stephen Bell"|"6 Pike Amble
Ngauruawawaka 2178"
"Liam Parker"|"499 Waipuke Mews
Upper Perrinbury 6999"
"James Davis"|"9 Davidson Drive
Morrisonmouth 5108"
"Sarah Hart"|"4 Robert Road
Northbury 9722"
"Elizabeth Smith"|"22 Tiputau Park
RD 3
Papapakiwi 9745"
"Nicola Campbell"|"720 Rohemaunga Crescent
Hendersonside 5824"
"Steven Mason"|"PO Box 5
Andersonborough 2165"
"Peter Mason"|"2 Guy Cross
Fergusonmouth 8001"
"Lachlan Farland"|"240 Hunter Arcade
Colebury 7712"
"Carlos Rasmussen-Henderson"|"5 Murphy Street
Matarangi 9467"
"Corey Hart"|"857 Terewai Quay
Grahammouth 9673"
"Thea Gibbons"|"Apt. 963
88 Poiti Road
Jarrodmouth 8952"
"Kimberley Christie"|"Suite 961
6 Dickson Circuit
Rongotaiawa 9414"
"Joanna Owen"|"5 Wekawaiiti Drive
Tangikawa 8145"
"Robyn Hart"|"Suite 566
25 Matamanawamaunga Road
Clarkeburgh 9298"
"Nicola Clunies-Ross"|"97 Rongokawa Mews
Rangipapapapo 8842"
"Joanna McMillan"|"254 McLean Track
RD 4
Waimoko 6971"
"Brooke Flood"|"725 Rotowaihanga Esplanade
RD 3
Mokotere 2249"
"Melissa Long"|"Apt. 943
59 Wallace Avenue
Tereawawhaka 8647"
"Jennifer Davies"|"618 Cameron Drive
RD 9
Tinaside 9882"
"Christopher Waters"|"773 Hooper Street
Healeymouth 2243"
"Jayden Lowe"|"94 Tauwakahoro Line
Jordanberg 6431"
"Christopher Kelly-Richards"|"PO Box 1
Rangipuke 2067"
"Emma Nicol"|"4 Best Beach Road
Wendyton 5037"
"Kaia Reid"|"Suite 230
7 Rohetai Access
Papapatipuwhare 8459"
"Nicola Day"|"44 Rotowhenua Access
Fergusonhaven 9722"
"James Greer"|"7 Funnell-Hart Street
RD 1
Mokoawa 2233"
"David Ching"|"7 Trask Circle
Lower Middleton Flats 8873"
"Donna Boniface"|"9 Rangihanga Street
RD 9
Ireland Flats 1131"
"Charlie Holdaway-Currie"|"5 Wood Street
Manawatai 6983"
"Glen Hayes"|"97 Perry Road
RD 3
Tangitanga 8994"
"Shaun Fuller"|"4 Whakanuku Street
Manawatere 9640"
"Mareikura Reynolds-Fletcher"|"54 Hyde Street
RD 8
Jonesland 6284"
"Sarah Burton"|"2 Manawawekawhare Avenue
Grayside 8631"
"Rochelle Dixon-Sanders"|"49 Moore Esplanade
High Baileyhaven 2334"
"Nicola Doherty-Carr"|"PO Box 608
Brooksville 9375"
"Jan Mason"|"897 Taylor-Botham Street
Michaelborough 6965"
"Edward Smith"|"918 McKinnon Mews
Cunninghamside 8184"
"Robert McGill"|"49 Wekawhakanuku Amble
Patersonburgh 8182"
"Lilly Clarke"|"961 Whangatangi Road
Heatherberg 6188"
"Jeanette Pope-Nolan"|"666 Bush Reserve
Ngaurutapu 5177"
"Ross Bailey"|"4 Simonsen Arcade
Moturangitipu 3886"
"Shaun Butler"|"3 Smith Avenue
Port McIntyreneath 9651"
"Blair Kemp"|"39 Debbie Amble
RD 7
Arangauru 9688"
"Sarah Clunies-Ross"|"PO Box 6
Cartering 5574"
"Nicola Foley"|"PO Box 1
Meganfort 9770"
"Kelly Simonsen"|"54 Wakawhakawai Beach Road
RD 4
Tiputoa 8570"
"Tania Enright"|"86 Wells Road
Taiwekangauru 2561"
"Finn Stewart"|"Unit 11
451 Warren Street
Edening 5067"
"Taylor Thomas-Webb"|"3 Baker Street
RD 5
Horomoko 8927"
"Daniel Harper"|"Unit 54
973 MacKenzie Road
Rosestone 2616"
"Joshua Ford"|"PO Box 82
Landon-Lanegate 5141"
"Michelle Hart"|"77 Freeman Street
RD 4
Tauawa 5755"
"Georgia Anderson"|"1 Parker-Dobson Broadway
Paul Flats 8197"
"Joanne Smith"|"79 Matthews Causeway
RD 9
West Forbesborough 2639"
"Nicola Foley"|"PO Box 592
Samanthaneath 0741"
"Michelle Stewart-Reid"|"2 Rangiwhareawa Beach Road
Teremakau 5233"
"Natalie Mitchell"|"44 Pukehororohe Avenue
Fullerside 7559"
"Taylor Morrison"|"Level 1
972 Harrison Pass
Tiatown 6023"
"Ella Green-Dillon"|"PO Box 424
Wharerongomata 9009"
"David Williams-Wood"|"9 Warren Access
RD 8
Scottstone 8672"
"Quinn Campbell"|"34 Hyde-Chapman Road
Lower Nicholasport 8855"
"Jacob Fisher-Satherley"|"154 Tangiweka Terrace
Jenkinsville 0350"
"Timothy Pedersen"|"6 Bartlett Terrace
Ngauruwhitu 5772"
"Alexandra Guard"|"452 Burnett Terrace
RD 7
Rohekawamata 5243"
"Nicola Francis-Cumming"|"41 Warren Alleyway
Ngaurupapapawai 6466"
"Michael Carter"|"PO Box 3
Tanginui 5027"
"Leah Rossiter"|"PO Box 825
Esson Hill 8023"
"Ashton Smith"|"2 Davidson-McNabb Place
Tipuweka 9744"
"Sharlene Knowles"|"Apt. 221
82 Robert Range Road
Shawgate 0230"
"Sharon Joe-Blake"|"604 Charlotte Close
South Kennymouth 2498"
"Wikitoria Esson"|"8 Tauiti Quay
Brightstone 6141"
"Kauri McLean"|"Unit 31
795 Tipupuke Quay
Taylorberg 9204"
"Archer Hood"|"Unit 36
926 Waiwhanga Street
Ryan Hill 9223"
"Nicholas Mason-Murphy"|"6 Russell Reserve
Whangawhakapo 9272"
