"Albina Begonja"|"Kapucinske 8
75605 Duga Resa" 
"Leon Lisica"|"Kraljevec II. 6c/5
14986 Korčula"
"Roko Žužić"|"Streljačka 4c/3
41802 Lepoglava"
"Ante Plantek"|"Dverce 2a/8
87635 Novigrad"
"Sanja Jurić"|"Vončinina 9c/9
72202 Buje"
"Kate Kupsjak"|"Šumski prečac 6b
53604 Jastrebarsko"
"Ante Herceg"|"Male 5a
99171 Vodice"
"Zdenka Ričko"|"Medveščak 1c
44886 Drniš"
"Nenad Aničić"|"Kožarska 4c
15662 Krapina"
"Maria Vugdelija"|"Dubravkin 6c
17394 Buzet"
"Bara Jasprica"|"Vijenac 9c/0
35541 Vis"
"Katarina Barnaba"|"Perivoj srpanjskih žrtava 425
43315 Beli Manastir"
"Romano Birkić"|"Kurelčeva 1b/2
19341 Pleternica"
"Igor Antić"|"Šestinski vrh 0
86853 Vrlika"
"Valentina Ribičić"|"Kurelčeva 93
97094 Supetar"
"Branko Matahlija"|"Tuškanac 9c
89224 Varaždin"
"Antonio Fabijanić"|"Klesarski put 7b/0
38469 Sveta Nedelja"
"Jure Stančin"|"Magdićeve 6c
79390 Novi Vinodolski"
"Igor Eterović"|"Srebrnjak 4c/2
69589 Orahovica"
"Marica Valjetić"|"Goljak 7b/4
40144 Pakrac"
"Barbara Gotić"|"Krležin gvozd 9a
93214 Popovača"
"Mate Semialjac"|"Krvavi most 52
61355 Vis"
"Romano Carić"|"Ksaver 2a/3
28323 Komiža"
"Ivica Stolnik"|"Vrazovo šetalište 636
61407 Zlatar"
"Aldo Kraljić"|"Jurjeve 6a
40708 Vodnjan"
"Danijela Požega"|"Kamenjak 6a
96154 Pakrac"
"Danica Sirotić"|"Šilobodov put 0b
40013 Kraljevica"
"Lidija Dautović"|"Male 5
92167 Poreč"
"Ankica Vukobratović"|"Zamenhofova 3a/8
95306 Makarska"
"Ema Radinović"|"Zelenjak 3
44694 Ludbreg"
"Kristina Stražičić"|"Dubravkin 31
53082 Krapina"
"Zlatko Šimunović"|"Gračanska 6b
27081 Rovinj"
"Romano Crnković"|"Vitezovićeva 91
44610 Trogir"
"Rudolf Bačić"|"Gornje Prekrižje 8c/4
51948 Ilok"
"Valter Tomičić"|"Jurjeve 3a/7
09804 Sinj"
"Dominik Sabol"|"Tuškanac 15
00501 Kastav"
"Mislav Perak"|"Mesnička 76
87712 Oroslavje"
"Janja Matahlija"|"Davor 9b/3
24740 Prelog"
"Fran Labaš"|"Tkalčićeva 9b
62830 Rovinj"
"Marko Cvetković"|"Horvatovac 1b
79321 Prelog"
"Filip Ćorić"|"Wickerhauserova 8b/0
70802 Velika Gorica"
"Stjepan Zebec"|"Zavojna 3c
77920 Klanjec"
"Romano Ercegović"|"Bosanska 1a
19574 Šibenik"
"Leon Bošnjak"|"Petrova 3a/4
16236 Vrbovsko"
"Antonija Sever"|"Zamenhofova 6a/4
05958 Vodnjan"
"Leon Kukučka"|"Voćarsko naselje 005
43894 Biograd na Moru"
"Vladimir Krznarić"|"Bučarova 0b/2
99450 Pag"
"Aldo Preočanin"|"Bosanska 5c/2
94247 Zabok"
"Tomislav Kevo"|"Vinogradska 4b/4
20788 Orahovica"
"Ruža Andrijević"|"Jabukovac 859
48754 Makarska"
"Lucija Šeparović"|"Dolac 5b
39474 Glina"
"Ljiljana Trnski"|"Kraljevečki ogranak 192
49882 Lepoglava"
"Romano Franić"|"Jurjevska 1c/4
85115 Vinkovci"
"Jozo Kostelac"|"Kamaufova 2b
27580 Daruvar"
"Jozo Derežić"|"Palmotićeva 6a/1
92795 Novi Marof"
"Rozalija Stipanović"|"Mesnička 38
83279 Kastav"
"Maria Grgurovac"|"Vrazovo šetalište 1
24488 Benkovac"
"Davor Lojen"|"Jabukovac 5b
69435 Slavonski Brod"
"Franciska Šuran"|"Mlinarska 0b
14007 Novi Vinodolski"
"Joško Buljan"|"Krvavi most 1
38236 Križevci"
"Dalibor Deže"|"Voćarsko naselje 0a/4
82984 Mali Lošinj"
"Ante Šantić"|"Strossmayerovo šetalište 7c
69977 Vukovar"
"Romano Marjanović"|"Jurkovićeva 739
56238 Kutjevo"
"Anka Močibob"|"Orlovac 7c
46238 Sveta Nedelja"
"Alen Pešić"|"Gupčeva zvijezda 2a/6
44716 Opatija"
"Fuma Ilinović"|"Medvedgradska 5c
15963 Pleternica"
"Mira Zakinja"|"Nova Ves 3a
63268 Vrlika"
"Josip Tuđa"|"Horvatovac 9a
14946 Pleternica"
"Nikolina Hršak"|"Šestinski vrh 6b/7
77570 Opuzen"
"Sara Kostelac"|"Jadranska 7a
85830 Ozalj"
"Josip Šelendić"|"Dvoranski prečac 3
42265 Delnice"
"Dalibor Hrabar"|"Mesnička 77
37714 Zagreb"
"Romano Ozimec"|"Vinogradska 997
23282 Varaždin"
"Siniša Vukobratović"|"Glogovac 8
86066 Knin"
"Ika Šarlija"|"Kozarčev vijenac 2c/2
11910 Delnice"
"Anton Žeželić"|"Mala 1
57160 Split"
"Niko Marijanović"|"Zamenhofova 9a/9
52721 Otočac"
"Marin Blažičko"|"Zamenhofova 0b/9
71145 Krk"
"Đuro Tepeš"|"Nova Ves 346
61971 Ivanec"
"Fran Puškarić"|"Rockefellerova 2b/9
49525 Sisak"
"Lucija Štifanić"|"Dvoranski prečac 2c/9
68402 Kutina"
"Viktor Borojević"|"Nemetova 3c
15816 Trogir"
"Romano Poslon"|"Donje Prekrižje 23
95343 Opatija"
"Anto Čiš"|"Davor 0c/8
46100 Varaždin"
"Petar Ilić"|"Perivoj srpanjskih žrtava 25
14614 Karlovac"
"Erik Božić"|"Paunovac 1a/0
95830 Buzet"
"Zdravko Abramović"|"Ilica 4a/5
54916 Kutina"
"Slavko Stupalo"|"Kraljevec II. 5a
83062 Glina"
"Pavao Gegić"|"Zelengaj 24
67781 Samobor"
"Jakov Tomičić"|"Dolac 0b
49873 Klanjec"
"Fuma Jonjić"|"Kamaufova 74
00990 Knin"
"Draga Kocijančić"|"Jurjeve 4b/0
79916 Koprivnica"
"Romano Tudor"|"Glogovac 2a
51592 Crikvenica"
"Jele Adžijević"|"Bakačeva 4b
40701 Kaštela"
"Lovro Ercegović"|"Mletačka 4c
34490 Kutina"
"Šime Mičetić"|"Medveščak 6b/9
67616 Dubrovnik"
"Kristijan Merkaš"|"Demetrova 9b
09647 Kutjevo"
"Rudolf Grgurević"|"Draškovićeva 7c
23715 Opuzen"
"Rudolf Jakupić"|"Kraljevec II. 8b/7
73346 Sveti Ivan Zelina"
"Mladen Kirinčić"|"Svibovac 4b
40650 Otočac"
"Ankica Tomić"|"Šalata 7b
72317 Novska"
"Božena Miletić"|"Strossmayerovo šetalište 29
23667 Jastrebarsko"
"Romano Tušek"|"Čačkovićeva 28
31247 Hrvatska Kostajnica"
"Mihael Labinjan"|"Srebrnjak 8b/2
71505 Knin"
"Željko Petrović"|"Bosanska 6a
40594 Kastav"
"Mihael Kelečić"|"Lisinskoga 0a
58674 Poreč"
"Ivica Brezjan"|"Jezuitski trg 3c
26794 Ivanec"
"Šime Živković"|"Zmajevac 6a
40592 Slavonski Brod"
"Danijel Plantak"|"Slavujevac 08
81822 Zaprešić"
"Ruža Halapir"|"Davor 3
55611 Klanjec"
"Draga Terzić"|"Dvoranski prečac 2
37361 Ploče"
"Zora Amanović"|"Nova Ves 4a/6
24121 Kutjevo"
"Romano Vučetić"|"Šalata 82
67761 Donji Miholjac"
"Antonio Barušić"|"Bakačeva 3a/3
63806 Novi Marof"
"Mislav Sokol"|"Klesarski put 100
42101 Ivanec"
"Petra Jovanovac"|"Zmajevac 6c
21563 Orahovica"
"Mihael Grbac"|"Novi Goljak 082
49846 Varaždinske Toplice"
"Vedran Abičić"|"Zvonarnička 236
67867 Belišće"
"Lucija Petričević"|"Svibovac 0b
85658 Velika Gorica"
"Matej Žeželić"|"Zeleni dol 4b
92772 Ogulin"
"Milena Mesić"|"Golubovac 0c
78186 Mali Lošinj"
"Mateo Majdenić"|"Jezuitski trg 96
91689 Kaštela"
"Romano Šokčević"|"Slavujevac 934
16361 Slavonski Brod"
"Tatjana Kos"|"Ljubinkovac 8b
03657 Klanjec"
"Biserka Bašnec"|"Gornje Prekrižje 6c/8
28714 Dubrovnik"
"Mara Ban"|"Mlinovi 2b
56415 Prelog"
"Fran Roca"|"Mletačka 4c/0
82150 Pregrada"
"Vlado Andrašek"|"Gupčeva zvijezda 5
44551 Ogulin"
"Anto Radošević"|"Gradec 5a/9
28910 Vodnjan"
"Alen Martinić"|"Kamenita 3
81126 Nin"
"Filip Damjanović"|"Kožarska 21
34611 Glina"
"Matija Solomun"|"Zavojna 0
81508 Osijek"
"Romano Žeželić"|"Bučarova 4b
86367 Sisak"
"Marko Grubišić"|"Golubovac 4b/9
62611 Zlatar"
"Mare Plažanin"|"Srebrnjak 3c
93067 Sveti Ivan Zelina"
"Ivica Hranj"|"Palmotićeva 399
04937 Senj"
"Stana Blažek"|"Kamenjak 5a
07272 Karlovac"
"Lara Galešić"|"Kozarčev vijenac 5b/5
16949 Rab"
"Martin Miklečić"|"Cmrok 2c/0
03180 Velika Gorica"
"Božo Šarić"|"Mesnička 0c
21970 Kutina"
"Filip Lukinić"|"Kamenjak 3c
31789 Daruvar"
"Lana Škrlin"|"Davor 849
61897 Vrgorac"
"Romano Živić"|"Ksaver 0b/7
06506 Zadar"
"Ivka Raljević"|"Vijenac 2b
43839 Petrinja"
"Tomo Bašnec"|"Krvavi most 7a/2
03581 Mali Lošinj"
"Dora Vozila"|"Voćarsko naselje 3c
70372 Vrgorac"
"Antun Bosilj"|"Ksaver 3c
41542 Ivanić-Grad"
"Antonio Bačić"|"Mletačka 1
47034 Grubišno Polje"
"Draga Bradić"|"Goljačke 8a
32170 Glina"
"Romano Filar"|"Mihaljevac 0b/3
32159 Našice"
"Bara Čulina"|"Perivoj srpanjskih žrtava 9a
07984 Grubišno Polje"
"Saša Barbieri"|"Višnjičke 0a/5
37789 Novalja"
"Rozalija Damijanić"|"Palmotićeva 79
52141 Senj"
"Đuro Tomljanović"|"Klesarski put 3a
17019 Delnice"
"Tomislav Bjeliš"|"Rockefellerova 6a
96072 Varaždinske Toplice"
"Jadranka Škrlin"|"Naumovac 577
43611 Glina"
"Ivka Dončević"|"Klanac Grgura Tepečića 7c
92233 Donja Stubica"
"Ivan Petričević"|"Davor 5c/2
34433 Novi Marof"
"Patrik Kresonja"|"Vinogradska 2a
65893 Vrbovsko"
"Bruno Plažanin"|"Jurišićeva 159
12530 Požega"
"Maja Radović"|"Lisinskoga 150
32999 Nova Gradiška"
"Stana Sorić"|"Lobmayerove 5c
56465 Bakar"
"Rozalija Drandić"|"Višnjičke 2b/3
36458 Novi Marof"
"Roko Buzov"|"Zamenhofova 9b/4
07582 Križevci"
"Lana Abičić"|"Mesnička 364
79702 Donji Miholjac"
"Biserka Sokol"|"Vlaška 70
95515 Sisak"
"Kata Bićanić"|"Krvavi most 99
58726 Korčula"
"Joso Petrović"|"Kraljevec 7b/2
53907 Zlatar"
"Petar Čukman"|"Mlinovi 487
94250 Novalja"
"Zorka Miše"|"Gradec 6c/2
13866 Vrbovsko"
"Danica Lučić"|"Naumovac 0c
45084 Vrlika"
"Ljiljana Gržetić"|"Pod zidom 2a/8
37942 Opatija"
"Rozalija Gotić"|"Perivoj biskupa Stjepana II. 844
46176 Zaprešić"
"Zorka Žuvela"|"Jagodnjak 5b
71981 Ozalj"
"Đuro Brletić"|"Golubovac 4a/6
67862 Ozalj"
"Denis Perić"|"Kamaufova 5a
55602 Otočac"
"Marko Surać"|"Višnjičke 420
11406 Krapina"
"Joso Mamić"|"Jabukovac 853
24917 Delnice"
"Luka Bičanić"|"Jurkovićeva 6b/6
57636 Novalja"
"Lovre Tomičić"|"Palmotićeva 6a
66515 Požega"
"Matej Antonić"|"Zmajevac 99
81843 Supetar"
"Kristina Rahija"|"Rokov perivoj 3c/7
10999 Mali Lošinj"
"Rozalija Jagarinec"|"Streljačka 4c/0
32625 Đakovo"
"Boris Pleše"|"Zvonarnička 3c
24483 Pregrada"
"Janja Đurinić"|"Klanac Grgura Tepečića 300
51116 Rab"
"Karlo Šimunić"|"Krležin gvozd 2b/5
78736 Zlatar"
"Mateja Šinković"|"Krvavi most 12
36355 Vodnjan"
"Antun Seršić"|"Novi Goljak 3c/7
32820 Bjelovar"
"Štefanija Blagaić"|"Kraljevec 5c/5
47689 Cres"
"Matea Poslon"|"Vončinina 7b/7
27056 Vodnjan"
"Ivana Grgurić"|"Šestinski vrh 4a
32227 Ozalj"
"Leon Guštin"|"Draškovićeva 5a/0
62549 Zadar"
"Rozalija Moslavac"|"Wickerhauserova 0a/2
40868 Našice"
"Miroslav Kolarec"|"Rockefellerova 8c
08245 Novalja"
"Marijan Rakela"|"Hercegovačka 9a
90364 Rijeka"
"Kristijan Kovačić"|"Vrazovo šetalište 1a
36874 Korčula"
"Ivka Maras"|"Remetska 7b
61417 Umag"
"Lucija Cindrić"|"Kožarska 2
83069 Varaždin"
"Leon Vela"|"Glogovac 3b/7
12983 Cres"
"Terezija Vitasović"|"Davor 74
11328 Jastrebarsko"
"Nevenka Stanić"|"Gupčeva zvijezda 3b/2
85509 Mali Lošinj"
"Kate Jurić"|"Srebrnjak 2c/4
52273 Benkovac"
"Rozalija Radović"|"Mirogojska 728
69157 Koprivnica"
"Filip Špoljarić"|"Strossmayerovo šetalište 0a/2
21589 Vrlika"
"Mislav Oršulić"|"Svibovac 1c/9
70885 Varaždinske Toplice"
"Vesna Jagečić"|"Perivoj biskupa Stjepana II. 3c/6
88299 Virovitica"
"Anka Miklečić"|"Medvedgradska 7a/0
31102 Korčula"
"Eva Božanović"|"Voćarska 0a
82087 Benkovac"
"Matija Šunjić"|"Kamenjak 9a/9
49031 Skradin"
"Mia Prelec"|"Jurkovićeva 9
86994 Novska"
"Biserka Bačak"|"Nemetova 7c/7
52727 Delnice"
"Viktor Kovaček"|"Harmica 0b/5
08881 Hrvatska Kostajnica"
"Rozalija Rakela"|"Mirogojska 4b
47131 Koprivnica"
"Fuma Plantak"|"Perivoj biskupa Stjepana II. 8a/1
49746 Oroslavje"
"Ivana Grgurević"|"Kraljevečki odvojak 8c/6
04522 Orahovica"
"Laura Sirotić"|"Rockefellerova 7c
61417 Pleternica"
"Dragica Guberović"|"Davor 5a
87657 Gospić"
"Joško Puljiz"|"Kraljevečki ogranak 5a
10547 Osijek"
"Aldo Babić"|"Jadranska 8c/3
48235 Imotski"
"Duje Rakuljić"|"Rokova 5c
93457 Opatija"
"Mihael Stojnić"|"Gornje Prekrižje 3b/4
76074 Hvar"
"Stjepan Obratov"|"Mala 3b/4
81537 Buzet"
"Rozalija Sever"|"Vlaška 3b
55106 Nova Gradiška"
"Nada Hranić"|"Zamenhofova 9c/5
80155 Vrgorac"
"Valter Alković"|"Remetska 84
72448 Slatina"
"Danica Matulić"|"Jurkovićeva 0b
37278 Vinkovci"
"Branka Veić"|"Mlinovi 345
60507 Delnice"
"Jelena Merkaš"|"Kapucinske 0c/4
06038 Korčula"
"Branko Puharić"|"Orlovac 6
36250 Jastrebarsko"
"Danijel Leščić"|"Podgaj 5
92125 Križevci"
"Alen Hrabar"|"Rikardove 4c
14408 Otok"
"Vlado Tisaj"|"Mesnička 2a/2
16970 Sinj"
"Rozalija Zakinja"|"Palmotićeva 2
81383 Obrovac"
"Tea Kolarec"|"Grič 929
93967 Grubišno Polje"
"Vlado Amanović"|"Skalinska 5a
73946 Novigrad"
"Slavica Dretvić"|"Ksaverska 998
29343 Trilj"
"Petar Urlić"|"Jurišićeva 62
09123 Novigrad"
"Dora Gegić"|"Kraljevec 5b/5
96452 Čabar"
"Laura Smolić"|"Nemetova 3c/3
50052 Hvar"
"Eva Mardešić"|"Vijenac 48
26052 Vis"
"Manda Karmelić"|"Mlinovi 9
14913 Vinkovci"
"Anđela Vidov"|"Jezuitski trg 76
50207 Nova Gradiška"
"Rozalija Štefanec"|"Splavnica 7
22369 Biograd na Moru"
"Barica Pamić"|"Mašekova 2c/6
91020 Vodnjan"
"Valter Maršić"|"Šestinski vijenac 5a/7
77305 Donji Miholjac"
"Rozalija Miočić"|"Srebrnjak 4a
89805 Šibenik"
"Petar Vranić"|"Tošovac 903
73269 Pag"
"Jele Ritoša"|"Čačkovićeva 2a
50149 Pag"
"Veronika Valentić"|"Vitezovićeva 8a/7
10738 Zadar"
"Mate Grgurić"|"Mlinarska 4
31893 Solin"
"Fran Burić"|"Goljak 7a
36526 Poreč"
"Valentina Škunca"|"Perivoj biskupa Stjepana II. 751
91141 Đakovo"
"Rudolf Boban"|"Kozarčev vijenac 2b
00788 Donja Stubica"
"Nikolina Adžijević"|"Zavojna 0
28710 Buje"
"Ivan Gegić"|"Dvoranski prečac 7a
82533 Otok"
"Manda Božić"|"Šumski prečac 9b
97556 Osijek"
"Dragica Turčinov"|"Tuškanac 8b/0
95668 Senj"
"Vera Tomić"|"Jurjeve 6a
94112 Split"
"Jasminka Škrnički"|"Kamenjak 5
02979 Pregrada"
"Stjepan Borojević"|"Opatička 04
73601 Benkovac"
"Jasminka Mužić"|"Vončinina 5c/8
69906 Omiš"
"Jele Pavković"|"Jurkovićeva 6b/2
29861 Čakovec"
"Rudolf Cvetnić"|"Dubravkin 5c/3
96409 Imotski"
"Niko Sobota"|"Jadranska 333
29027 Hrvatska Kostajnica"
"Hana Guštin"|"Opatička 4a/4
39104 Ivanec"
"Jele Kokorić"|"Magdićeve 3a
65895 Našice"
"Iva Barešić"|"Draškovićeva 7
16099 Našice"
"Ivanka Rakuljić"|"Lisinskoga 5
47017 Petrinja"
"Iva Franić"|"Višnjičke 1a
09559 Opuzen"
"Vladimir Miloslavić"|"Gračanska 0a/4
83662 Pag"
"Branko Karuza"|"Zavojna 44
82232 Bakar"
"Mate Kučić"|"Glogovac 5a
68098 Čazma"
"Rudolf Dragojević"|"Vlaška 2c/5
42980 Osijek"
"Dušan Duvančić"|"Zamenhofove 3c
45249 Ivanić-Grad"
"Dušan Žic"|"Zmajevac 0c/0
37587 Sinj"
"Denis Perić"|"Naumovac 4a/0
50128 Pleternica"
"Antonija Klanac"|"Voćarska 1b/3
55184 Senj"
"Matej Martinović"|"Kraljevec II. 8c/3
53388 Klanjec"
"Draga Štefanec"|"Šestinski vijenac 5c/3
66265 Velika Gorica"
"Ljubica Špišić"|"Orlovac 4b
84232 Makarska"
"Toni Bazjak"|"Arnoldova 041
39325 Buje"
"Mara Pavić"|"Dverce 946
22119 Rab"
"Rudolf Gržetić"|"Rikardove 3a/3
79749 Klanjec"
"Nataša Tudor"|"Gornje Prekrižje 9
17649 Crikvenica"
"Juraj Labinjan"|"Nemetova 1c
46008 Pag"
"Fuma Bingula"|"Mlinovi 31
14992 Kastav"
"Goran Sršen"|"Javorovac 35
15177 Crikvenica"
"Saša Mudronja"|"Opatička 9a
47781 Čazma"
"Ivo Turčinov"|"Pod zidom 1c
29750 Mursko Središće"
"Albina Rumora"|"Skalinska 6b/0
02780 Šibenik"
"Branka Markovac"|"Rokova 4
30375 Đurđevac"
"Tomislav Bogdan"|"Zamenhofove 145
37367 Sinj"
"Rudolf Juretić"|"Magdićeve 8a
57587 Sinj"
"Mia Morić"|"Rokov perivoj 40
57219 Dugo Selo"
"Nika Kuveždić"|"Male 8c
79696 Prelog"
"Alen Horvatić"|"Radnički dol 9c
27291 Đakovo"
"Katarina Bolčević"|"Mesnička 1c
86131 Samobor"
"Antonio Liović"|"Svibovac 5
20987 Makarska"
"Saša Hardi"|"Jezuitski trg 1a/3
08739 Supetar"
"Valentina Mikić"|"Vrazovo šetalište 79
09847 Lipik"
"Slavica Halambek"|"Kraljevec 9a/3
97576 Vinkovci"
"Elizabeta Bjeliš"|"Dolac 99
17829 Senj"
"Rudolf Jurić"|"Mihaljevac 4c
15453 Ludbreg"
"Marijan Forjan"|"Šalata 4b/5
72707 Novska"
"Božo Bačak"|"Kamenita 3a/8
15229 Skradin"
"Patrik Macan"|"Šalata 7c
95732 Kutjevo"
"Veronika Mikulčić"|"Ribnjak 0b/5
11237 Varaždin"
"Ana Radović"|"Bosanska 9b
85692 Buzet"
"Ane Lučić"|"Šestinski vijenac 7b
81696 Imotski"
"Duje Polović"|"Šestinski vijenac 6c
01383 Rab"
"Valter Benić"|"Ksaver 6a/0
45639 Dubrovnik"
"Marica Vladislavić"|"Vrazovo šetalište 348
15736 Krk"
"Rudolf Lukšić"|"Šilobodov put 9
43049 Sisak"
"Kata Vučetić"|"Šestinski vrh 3a
81160 Korčula"
"Juraj Čubrić"|"Opatovina 3a
31199 Vinkovci"
"Anđela Matošević"|"Draškovićeva 3a/0
85023 Kastav"
"Roko Botić"|"Mlinarska 74
92326 Grubišno Polje"
"Jele Lešić"|"Nemetova 6b/6
33639 Prelog"
"Lara Filipčić"|"Voćarska 9a
89971 Koprivnica"
"Janja Jovanović"|"Ružičnjak 1a/8
16228 Vukovar"
"Marin Bašić"|"Gračanska 7
81147 Ogulin"
"Ružica Starčević"|"Ljubinkovac 0c
59490 Novi Marof"
"Rudolf Lučić"|"Medvedgradska 35
59319 Dugo Selo"
"Filip Rađenović"|"Jurišićeva 097
80886 Pakrac"
"Anđela Lenić"|"Ljubinkovac 6b/9
99653 Rab"
"Marijana Boban"|"Višnjica 29
26808 Koprivnica"
"Mijo Barušić"|"Strossmayerovo šetalište 3c/5
98793 Sveti Ivan Zelina"
"Jelena Božičević"|"Grič 44
36529 Bjelovar"
"Dalibor Hrženjak"|"Medveščak 1a/2
72542 Čazma"
"Vera Kresonja"|"Bijenička 6a/8
35252 Rijeka"
"Davor Perišić"|"Svibovac 4a
12167 Poreč"
"Iva Popović"|"Kapucinske 2b/9
37770 Osijek"
"Rudolf Medić"|"Jagodnjak 5a/0
85717 Ozalj"
"Josip Pavičić"|"Bakačeva 1c/0
10761 Valpovo"
"Šime Mesić"|"Bijenička 279
58031 Orahovica"
"Kristina Marijanović"|"Vončinina 307
96689 Novska"
"Tatjana Gržinčić"|"Kurelčeva 5a/3
74212 Hvar"
"Joško Bezić"|"Perivoj srpanjskih žrtava 174
02128 Komiža"
"Franjo Karlović"|"Kraljevec 9a
66028 Dubrovnik"
"Nikola Gredičak"|"Vijenac 49
11524 Bjelovar"
"Manda Žagar"|"Nova Ves 1
78169 Prelog"
"Bruno Marušić"|"Magdićeve 4b/2
31591 Pregrada"
"Rudolf Poslon"|"Slavujevac 992
85123 Novi Vinodolski"
"Marina Bukvić"|"Pantovčak 5
23492 Ozalj"
"Jadranka Radolović"|"Zelengaj 7c/4
89678 Skradin"
"Hrvoje Buzov"|"Zavojna 1c
39214 Novi Marof"
"Nika Benčić"|"Rokova 48
18489 Vodice"
"Dragan Mihelčić"|"Bučarova 321
85002 Imotski"
"Marina Mustapić"|"Vlaška 88
25806 Lepoglava"
"Nada Mišković"|"Zelenjak 7a/6
21738 Metković"
"Patrik Peša"|"Dubravkin 7c
21366 Rijeka"
"Sara Borojević"|"Jurjeve 3c
43445 Stari Grad"
"Rudolf Sardelić"|"Zelengaj 2b/2
36956 Hrvatska Kostajnica"
"Niko Balić"|"Male 3a/7
08796 Nova Gradiška"
"Marin Tuksar"|"Svibovac 8c/8
64288 Vrlika"
"Zora Sorić"|"Gradec 9c
32521 Crikvenica"
"Mira Šitum"|"Perivoj srpanjskih žrtava 9a/0
98945 Oroslavje"
"Nika Lukšić"|"Skalinska 3
13274 Valpovo"
"Renata Krželj"|"Šestinski vrh 2b/8
42078 Novi Marof"
"Martin Terlević"|"Perivoj srpanjskih žrtava 9a/7
48720 Varaždin"
"Lea Leščić"|"Jagodnjak 1c
21062 Vrlika"
"Rozalija Špralja"|"Krvavi most 7b/2
78538 Otočac"
"Rudolf Turudić"|"Rokova 4b/3
12613 Sveta Nedelja"
"Biserka Ilić"|"Bučarova 6a
29637 Stari Grad"
"Jure Božičković"|"Glogovac 0b/0
42791 Oroslavje"
"Nenad Mušćet"|"Goljak 75
31605 Stari Grad"
"Darko Petek"|"Jabukovac 8a/0
62248 Sveta Nedelja"
"Goran Bertoša"|"Kaptol 1
14232 Đurđevac"
"Marija Pedišić"|"Svibovac 667
70833 Metković"
"Mare Batrac"|"Krvavi most 95
73965 Kastav"
"Marijan Seršić"|"Mašekova 3c/2
69172 Đakovo"
"Biserka Frketić"|"Skalinska 4b/2
30242 Ivanec"
"Rudolf Volarević"|"Medvedgradska 5c
63921 Lepoglava"
"Zoran Adžijević"|"Višnjica 55
29912 Valpovo"
"Ivanka Oršoš"|"Jabukovac 24
11875 Gospić"
"Danica Kramarić"|"Goljak 9
87395 Vis"
"Jasminka Bobanović"|"Zelengaj 3b
70945 Komiža"
"Luka Maćešić"|"Grič 9a
26255 Hrvatska Kostajnica"
"Anđa Kirinčić"|"Pod zidom 5c
29788 Korčula"
"Veronika Prskalo"|"Kraljevec II. 8c/7
30498 Dubrovnik"
"Ivan Gotić"|"Kraljevečki odvojak 999
37577 Biograd na Moru"
"Rudolf Vrban"|"Tošovac 606
89143 Pula"
"Ruža Abramović"|"Kraljevec II. 804
94159 Vrbovec"
"Danica Baničević"|"Šestinski vrh 9a
28547 Rovinj"
"Milan Županić"|"Dvoranski prečac 824
44422 Klanjec"
"Ljiljana Božanović"|"Mletačka 6c
38325 Lipik"
"Jozo Obratov"|"Šilobodov put 0
81478 Kutjevo"
"Anica Radić"|"Naumovac 0a/1
15484 Petrinja"
"Marta Matko"|"Remetska 473
77167 Osijek"
"Petar Crnković"|"Zavojna 10
25479 Klanjec"
"Zora Friščić"|"Kapucinske 1a
03531 Sveti Ivan Zelina"
"Danijela Drakulić"|"Gupčeva zvijezda 5b
70499 Cres"
"Ruža Barać"|"Šestinski vijenac 486
00747 Donji Miholjac"
"Zlatko Hinić"|"Paunovac 9a/3
81290 Senj"
"Mare Vladislavić"|"Javorovac 99
14284 Sinj"
"Vesna Martinić"|"Šumski prečac 1
50119 Rijeka"
"Darko Nikolić"|"Rokov perivoj 7a/8
47892 Krapina"
"Dejan Peterlik"|"Klenovac 3b/6
37241 Mali Lošinj"
"Nevenka Liović"|"Glogovac 3
01407 Pag"
"Slavica Šurbek"|"Voćarsko naselje 4c
19354 Stari Grad"
"Vlado Načinović"|"Šumski prečac 93
94902 Buje"
"Mato Hadrović"|"Ružičnjak 1c
28238 Varaždin"
"Ruža Bašnec"|"Ribnjak 3a/8
43472 Zaprešić"
"Željko Mužić"|"Jabukovac 0c
56796 Drniš"
"Tomislav Čižmešija"|"Ksaver 2c
08187 Slatina"
"Petra Pozder"|"Remetska 2a
09307 Delnice"
"Ema Boban"|"Wickerhauserova 9a
31621 Ivanec"
"Marin Knezović"|"Jurjeve 37
33145 Kaštela"
"Elizabeta Ladavac"|"Vijenac 0b/5
14633 Vrbovec"
"Aldo Galešić"|"Mletačka 0b/6
62148 Stari Grad"
"Mateja Plantak"|"Jurjeve 6c/8
41774 Kutjevo"
"Janko Žiković"|"Jezuitski trg 74
83282 Solin"
"Ruža Bjeliš"|"Nemetova 9c/3
38519 Požega"
"Zora Križan"|"Kožarska 7a
49045 Vrbovsko"
"Ruža Klarić"|"Wickerhauserova 7b/1
80215 Supetar"
"Danica Barišić"|"Bakačeva 8b
70822 Poreč"
"Mato Popović"|"Kamenjak 693
71510 Bjelovar"
"Vera Jelić"|"Perivoj biskupa Stjepana II. 4
64478 Hrvatska Kostajnica"
"Aldo Putinja"|"Bučarova 2c
26575 Đakovo"
"Anđela Turina"|"Mesnička 8b
79981 Krapina"
"Manda Novak"|"Vinogradska 0c/7
11121 Ploče"
"Dominik Vučin"|"Horvatovac 470
45461 Split"
"Ruža Božanić"|"Glogovac 0b
70417 Osijek"
"Dragutin Bučanac"|"Ilica 0a
41395 Požega"
"Matea Varga"|"Šestinski vrh 6b/8
22643 Ploče"
