"Alain Balmat"|"chemin Badan 41
1834 Robadey" 
"Chantal de Dardel"|"rue Zoé Curdy 91
8948 Comment (TI)"
"Suzanne Quartier"|"boulevard de Duroux 81
9838 Treboux"
"Jean Boillat"|"rue Mélanie Piccand 582
3536 Cornuz-sur-Vermeil"
"Jeanne Balmat"|"chemin de Duvanel 21
3358 Paschoud am Rhein"
"Claude Jomini"|"boulevard de Niquille 94
9099 Chatriant"
"Lisa Robadey"|"avenue Charlotte Bonvini 84
3300 Francillon-les-Bains"
"Roger Badan"|"chemin de Candaux 24
2755 Corboz (SZ)"
"Philippe Jacot-Guillarmod"|"rue de Sandoz 872
3412 Dubey an der Aare"
"Aurélie Bujard-Cornut"|"boulevard Lucie Morard
3551 Monnet-la-Ville"
"Sandra Besançon"|"rue Rappaz 1
2320 Théraulaz-Dessus"
"Julie Maire"|"rue Delèze
3131 Paschoud-sur-Chevalley"
"Alice Fonjallaz"|"avenue de Besençon
8430 Bahon an der Aare"
"Olivier Musy-Cornuz"|"boulevard Mottiez
1626 Thorens"
"Georgette Bochud"|"chemin Mercier 84
6806 Vermeil"
"Marcel Bavaud"|"rue Deshusses 348
5271 Julliard (TG)"
"Mathilde Grosjean"|"rue Rey 459
1107 Muriset (NE)"
"Roger Barillon"|"avenue Beurret
7912 San Bourquin"
"Marguerite Grojean"|"avenue Joye 34
2232 Godet"
"Roger Bujard"|"avenue Bourquin 28
2224 Barbey"
"Christophe Pasquier"|"chemin Beurret 1
7218 Rapraz (FR)"
"Olivier Alber"|"avenue David Curdy 18
4969 Francillon"
"Germaine Corbat"|"chemin Julien Meyer 894
9212 Monnard"
"Claude Charpié"|"rue de Rapin 71
4427 Galland (ZG)"
"David Pachoud"|"rue de Grojean 26
5093 Beurret-des-Bois"
"Nelly Cosendey"|"rue de Cornut 493
8167 Uldry"
"Elodie Musy"|"avenue Beguin 85
8770 Saint Besançon"
"Roger Barman"|"rue Piccand 3
8878 Nusslé"
"André Mottiez"|"rue de Badan 84
5696 Bouvier"
"Christophe Beguin"|"chemin Guillaume Broquet
8419 Thorens (AI)"
"Maria Privet"|"chemin de Robert 645
9591 Brahier am Rhein"
"Denise Rosselat-Masseron"|"chemin de Robadey 53
5934 Bochud"
"Georges Joye"|"boulevard Uldry 50
5894 Courvoisier am Rhein"
"Patricia Barillon"|"chemin Bonvini 47
4128 Saint Broquet"
"Alicia Masseron"|"rue de Morand
1319 Rossellat-les-Bains"
"Madeleine Sansonnens"|"avenue Nathan Monney
5318 Carraux"
"Céline Beuchat"|"rue Conrad 54
7516 Cornuz-Dessous"
"Roger Beurret-Masseron"|"rue Cornut 42
1527 Gilliéron (GR)"
"Yvonne Théraulaz-Gubéran"|"rue Paccot 35
5238 Gubéran am Rhein"
"Roland Menthonnex"|"boulevard de Sansonnens 5
8419 Chevalley"
"Thierry Maire"|"chemin Morand 51
3085 Rosselet-Dessous"
"Denise Nüsslin"|"avenue de Berberat 27
6400 Jacot-Guillarmod (TG)"
"Jessica Grand"|"rue Comman 76
3440 Bourquard (BL)"
"Hugo Brandt"|"boulevard Bruno Paccot 314
8448 Diesbach (UR)"
"Zoé Barillon"|"boulevard Elisabeth Joly
6686 Musy"
"Gabriel Chappuis"|"boulevard Lara Besençon
8588 Grosjean-les-Bains"
"Georges Boichat"|"rue Julien Chevrolet 968
2559 Chevalley"
"Roger Béguelin"|"rue Corinne Müller 84
2059 Comment"
"Fabienne Romanens-Jacot-Descombes"|"rue René Cornuz 86
5341 Babey"
"Danielle Joye"|"boulevard Jean-Claude Vermeil 49
9681 Sainte Cosandey"
"Germaine Quartier"|"chemin de Chenaux 99
8578 Bugnon-sur-Comment"
"Maxime Vonlanthen"|"chemin Anna Coigny 8
3969 Chevrolet"
"Gabriel Badan"|"chemin de Quartier
4416 Privet (AG)"
"Gilbert Chaudet"|"rue David Besse 86
9975 Grand am See"
"Nolan Grojean"|"avenue de Morand
2381 Alber (TI)"
"Michael Barman"|"rue Bonvini 31
2452 Mercier am Albis"
"Laetitia Montandon"|"rue de Chopard 24
7368 UnterMonnet"
"Roger Deshusses"|"chemin Conrad
6313 Chenaux-sur-Beuchat"
"Patricia Monnet"|"rue Véronique Comment
8738 Cosandey"
"Sandrine Bovet"|"chemin de Nüsslin 55
5924 Rappaz"
"Georgette Mayor"|"boulevard de Bujard 7
4393 Monnet"
"Daniel Julliard-Jomini"|"rue de Chaudet 88
3307 Blanc am Rhein"
"Yvonne Chopard"|"rue de Besançon 10
4019 Sainte Bonvin"
"Lucas Privet"|"rue Delèze 44
6607 San Jacot-Guillarmod"
"Camille Vonlanthen"|"avenue de Rosselet 453
7751 Sansonnens"
"Eva Wicht"|"avenue de Marti 78
2264 Monnet (LU)"
"Sara Comman"|"rue de Bochud 283
6306 Chevrolet am See"
"Roger Maire"|"rue Claudine Dubey 4
2845 Brahier-près-Galland"
"Isabelle Besençon-Chapuis"|"rue de Julliard 745
6386 Mottet (ZG)"
"Florian Berberat"|"avenue Chloé Corboz 3
4084 Cornut-sur-Fonjallaz"
"Anne Rosselet"|"rue Piccand 25
2591 Cousin am See"
"Chloé Rey"|"rue Alice Candaux 49
3126 Rosselet"
"Georgette Berberat"|"avenue de Coigny 50
5333 Botteron-près-Fonjallaz"
"Loïc Godet"|"rue de Carraux 71
8353 Coigny"
"Suzanne Bugnon"|"rue Beguin 70
3926 Maire-la-Ville"
"Patrick Vermeil"|"boulevard Bourquard 6
6420 Beuret-les-Bains"
"Stéphane Morard"|"chemin de Gubéran 397
5572 Bonvin"
"Roger Musy"|"chemin de Rosselat 16
3472 Pasquier am Rhein"
"Roger Bavaud"|"rue Cousin 75
7363 Charpié-sur-Bourquard"
"Julie Bouvier"|"rue de Carraud 217
9755 Cattin-Dessous"
"Mathilde Berberat-Beuret"|"avenue de Béguelin
4957 Jacot-Descombes-près-Jacot-Guillarmod"
"Thierry Broquet-Muriset"|"rue Gérard Chevalley 509
5075 Monnet"
"Samuel Bugnon"|"rue Grosjean 16
8528 Polla-Dessous"
"Philippe Candaux"|"chemin Vermeil 2
4603 Fonjallaz-sur-Droz"
"Jonathan Rappaz"|"rue Monnet 7
8899 Besençon an der Aare"
"Nicole Cornuz"|"chemin Julien Paschoud 16
8690 Bujard-Dessus"
"Françoise Berberat"|"rue Godet 88
4186 Cosandey"
"Roger Pasquier"|"boulevard Bavaud 196
5570 Monnard"
"Ana Mayor"|"boulevard de Humbert 818
4508 Masseron (TI)"
"Gérard Gillièron"|"chemin Hélène Piccand 51
7727 Brandt-sur-Muriset"
"Françoise Rey"|"rue de Jacot-Guillarmod 774
7038 Vallélian"
"Mathieu Monnet"|"avenue Nelly Duroux
5275 Bourquard (AR)"
"Sophie Evéquoz"|"rue de Nüsslin 53
2121 Blanc (SZ)"
"Monique Duvanel"|"rue de Pachoud 65
7247 Sandoz-Dessus"
"Chantal Brahier"|"rue de Vienne
7576 Sainte Quartier"
"Romain Pasquier"|"chemin de Marti 96
1548 Bavaud am See"
"Romain Menthonnex"|"avenue François Beurret 94
9248 Balmat-les-Bains"
"Roger Rosselat"|"rue Babey
2241 Badan-Dessus"
"Laurence Bochud"|"rue de Monnet
3098 Chapuis"
"Ethan Fonjallaz"|"boulevard de Julliard 804
4281 Duvanel"
"Eliane Fonjallaz-Morand"|"avenue Joly 55
8639 Chopard am Rhein"
"Pierre Cornuz"|"rue Badel 61
6720 Julliard"
"Alice Peitrequin-Bouvier"|"rue de Beguin 68
2052 Brahier"
"Pascal Monney-Deshusses"|"rue Sara Mottiez 4
2223 Morand-près-Mottiez"
"Odette Piccand"|"chemin de Délèze 27
9101 Thorens"
"Chantal Godet-Bourquin"|"rue Thierry Meyer 978
8207 Vuille-près-Muriset"
"Céline Quartier"|"chemin Pascal Délèze 9
7020 Thorens-les-Bains"
"Roger Vonlanthen"|"rue Uldry
7254 Rossellat (JU)"
"François Marty"|"chemin Robert
2811 Grojean"
"Hélène Chopard"|"chemin Vallélian 67
5155 Rappaz"
"Caroline Peitrequin"|"rue de Crevoisier 632
8657 Corboz"
"Claude Beguin"|"rue Isella 313
4012 Vonlanthen-la-Ville"
"Alexandre Fonjallaz"|"rue de Grosjean 8
3698 Sainte Délèze"
"Marie Polla"|"chemin Barbey 8
2067 Boichat am See"
"Lucas Charpié"|"rue Chopard 49
7957 Chappuis"
"René Sansonnens"|"chemin Charles Robadey 38
4559 Isella (ZG)"
"Claudine Botteron"|"rue Béguelin 36
8113 Bonvini-sur-Georges"
"Roger Wicht"|"chemin Cosandey 3
7033 OberAeby"
"Isabelle Fonjallaz"|"rue Céline Comte
3579 Gubéran-près-Saudan"
"Sarah Chevrolet"|"rue Lucas Duroux 6
4618 Barbey"
"Josiane Badan"|"chemin de Cosendey 37
2140 Beurret"
"Patricia Boechat"|"rue Nusslé 7
8260 Béguelin"
"Gérard Blanc"|"boulevard de Gillièron 36
2634 Wicht-près-Rossellat"
"Léo Duvanel"|"chemin Manuel Morard 74
8058 Crivelli"
"Valérie Chatriand"|"rue de Boechat 621
9927 Maire"
"Alain Besançon"|"rue Quartier 9
4356 Deshusses-la-Ville"
"Germaine Brahier"|"chemin de Pellet 26
5581 Robert-sur-Jacot-Descombes"
"Roland Besse"|"chemin Véronique Matile 1
8162 Saint Corbat"
"Eric Théraulaz"|"avenue de Matile 60
6062 OberPaschoud"
"Mathieu Marti-Martin"|"chemin Marcelle Cosandey 98
8236 Vonlanthen"
"Nolan Julliard"|"rue Eliane Tinguely 135
1459 Chevalley"
"Julien Corbat"|"rue Besse 94
8863 Joye-près-Masseron"
"Marcelle Bernasconi"|"boulevard de Delèze 64
5724 Aeby-près-Grosjean"
"Laura Alber"|"boulevard Monney 16
6908 Muriset (NW)"
"Elisabeth Aeby"|"avenue Mathieu Chenaux 8
3707 Cornuz-Dessus"
"Christophe Candaux"|"avenue Comman 80
5367 Berberat"
"Manuel Evéquoz"|"chemin Vincent Barbey 56
5298 San Pasquier"
"Roland Boillat"|"avenue de Boichat 108
6018 Chopard"
"Christine Monnard"|"boulevard Gilliéron 472
9151 Aeby am Albis"
"Sarah Brahier"|"chemin Joly 24
8523 Comman-près-Polla"
"Liliane Rosselet"|"rue Léa Matile 2
4874 Musy"
"Christine Aeby"|"rue de Vuille 46
9281 Mercier"
"Claudine Délèze"|"avenue de Chopard 5
7877 Théraulaz am Albis"
"Mathilde Pasquier"|"rue Josiane Nusslé 75
2720 Rosselat"
"Yvette Chenaux"|"chemin Florian Boillat
6744 Diesbach"
"Christiane Bourquard"|"rue de Bouvier 8
1539 Montandon-sur-Bouvier"
"Manon Fonjallaz"|"rue de Wicht 49
5453 Martin"
"Roland Carron"|"avenue de Mercier 222
7527 Cousin-les-Bains"
"Noah Monnet"|"avenue Marcel Deshusses 27
3434 Nüsslin-près-Rey"
"Germaine Tinguely"|"chemin de Sansonnens 2
9666 Joye"
"Vanessa Besançon"|"chemin Florian Chevrolet 1
5584 Carron (AG)"
"Jacqueline Rossellat"|"rue de Rapraz
7308 Tinguely"
"Charlotte Chapuis-Cossy"|"avenue Marty 15
5648 Vermeil"
"Laetitia Cousin-Cosendey"|"rue de Vonlanthen 88
9022 Broquet"
"Kevin Bugnon"|"avenue José Paccot 266
6008 Besançon-sur-Deladoëy"
"Georges Rey"|"chemin de Cosandey 396
1523 Cossy"
"Jacques Candaux"|"rue de Bujard 614
8720 OberCossy"
"Roland Cosendey"|"chemin Cretton 4
9105 Boechat"
"Corinne Romanens"|"boulevard Lucas Chatriand 948
2244 Berberat am See"
"Ana Robert"|"rue de Crevoisier 16
5483 Grand-sur-Niquille"
"David Besse"|"rue de Chapuis 58
5619 Chappuis-près-Marti"
"Jacqueline Musy"|"chemin Caroline Gillièron 10
6169 Corbat-des-Bois"
"Albert Beuret"|"boulevard de Théraulaz 4
4704 Grand (GL)"
"Théo Gubéran-Musy"|"chemin de Quartier 29
2150 Vienne"
"Lucas Badan"|"rue de Rapraz 5
7936 Robert"
"Antonio Mottet"|"chemin de Curdy 987
9720 Bujard am See"
"Mathilde Rapraz"|"boulevard de Gillièron 542
7025 Masseron-sur-Coigny"
"Roland Crevoisier-Carron"|"chemin de Boechat 3
9104 Barillon-sur-Chevrolet"
"Frédéric Berberat-Robadey"|"rue de Dubey 44
2724 Charpié"
"Clara Charpié"|"rue de Cornuz 33
5075 Francillon-sur-Rey"
"Véronique Droz-Sansonnens"|"chemin Maire 30
6804 Wicht-Dessus"
"Roger Bernasconi"|"boulevard Denise Isella 40
2661 Robert-près-Monnet"
"Ethan Fonjallaz"|"rue de Matile 74
3081 Fonjallaz am Rhein"
"Gérard Rappaz-Besençon"|"boulevard Yvette Bochud 94
6579 Comman"
"Sara Candaux-Robadey"|"rue Gillièron 24
9167 Georges am Rhein"
"Léo Morand"|"rue Sara Bavaud 53
1644 Brandt (NE)"
"Marie Gilliéron-Deladoëy"|"boulevard Rapraz 64
7843 Délèze (GE)"
"Roland Deshusses-Beguin"|"avenue Ethan Délèze 3
5919 Saint Rappaz"
"Hélène Rapraz"|"boulevard Crivelli
8479 Sainte Cosendey"
"Christophe Crevoisier-Chevrolet"|"rue Denise Bavaud
3969 Berberat-les-Bains"
"Vanessa Corbat-Rosselet"|"rue François Beuchat 735
1829 Chevalley an der Aare"
"Thierry Matile"|"boulevard Théraulaz 722
8495 Mayor"
"Sophie Francillon-Beuchat"|"chemin Georges 39
4718 Martin-près-Sandoz"
"Valérie Babey"|"rue Rey 66
7117 Besençon"
"Véronique Chapuis"|"boulevard Crivelli 5
8224 Romanens"
"Eliane Béguelin-Vermeil"|"avenue Arthur Chapuis 37
3612 Carron"
"Jessica Pachoud"|"rue Nicolas Martin 77
5515 Délèze-près-Bavaud"
"Roland Georges"|"rue de Evéquoz
4754 Chatriant-les-Bains"
"Théo Bahon"|"rue Christine Comment 4
5065 Marty am See"
"Noah Thorens"|"boulevard Diesbach 807
3995 Rosselat"
"Noah Beuchat"|"chemin de Bugnon 62
8105 Bavaud"
"Chantal Badel-Masseron"|"chemin Saudan 93
2594 Chappuis-près-Chaudet"
"Alexandre de Dardel"|"rue Jacot-Guillarmod 1
6914 Conrad an der Aare"
"Marcel Gillièron"|"rue de Meyer 302
6538 Isella-des-Bois"
"Roland Rey"|"avenue Jacot-Descombes 10
3580 Rapin"
"Marguerite Cattin-Pellet"|"chemin de Beuret 70
9179 Gubéran"
"Patrick Cattin"|"boulevard Paul Cosandey 5
8806 Babey"
"Roland Rossellat"|"boulevard Eric Bourquard 87
3934 Sainte Rosselat"
"Henri Bonvin"|"chemin Samuel Jacot-Descombes 2
8095 UnterRosselet"
"Frédéric Beuchat"|"boulevard Laurent Carraud 359
3556 Pasquier-sur-Deladoëy"
"Jacques Bochud-Romanens"|"boulevard Mélanie Chappuis 48
4509 de Dardel-sur-Vonlanthen"
"Camille Chatriant"|"rue Mélanie Privet 84
6344 Masseron"
"Robert Brandt"|"boulevard Curdy 77
5816 OberCarraux"
"Laura Bovet"|"boulevard Cornut 12
2067 Bonvini-près-Cornuz"
"Hélène Humbert"|"rue de Comment
2850 Pachoud-sur-Botteron"
"René de Dardel"|"rue de Sandoz 17
4607 Bouvier am See"
"Danielle Morard"|"avenue Nathan Beurret 2
9962 Bernasconi am Rhein"
"Romain Brandt"|"rue Musy 212
6901 Cosandey"
"Julie Chenaux"|"rue Francillon
5813 Blanc"
"Antonio Rappaz"|"rue Uldry 757
4990 Peitrequin-près-Corpataux"
"Bernard Fonjallaz"|"rue Vallélian 37
5703 Monnard-près-Besançon"
"Claude Aebi"|"rue Crivelli 16
4177 Cretton-la-Ville"
"Liliane Piccand"|"chemin Eva Aeby 735
3037 Gilliéron"
"Véronique Montandon-Rey"|"avenue Monnard 150
4059 Carron-sur-Beguin"
"Mathieu Conrad"|"chemin Julie Humbert 106
7285 Grand-près-Gillièron"
"Claude Niquille"|"rue Monique Humbert 26
5615 Corpataux am Albis"
"Romain Bourquard"|"rue Jacot-Guillarmod 45
2650 Gillièron am See"
"Romain Chenaux"|"boulevard Carraux
9533 Berberat (ZG)"
"Kevin Bugnon"|"rue de Besençon 18
9283 Paschoud-près-Monnet"
"Josiane Carraud-Cornuz"|"avenue Coigny 31
4529 Balmat"
"Lisa Monney-Cousin"|"avenue Muriset 61
1491 Uldry (UR)"
"José Paccot"|"boulevard Raymond Chevalley 45
3650 Jacot-Descombes (SH)"
"René Deladoëy"|"avenue Simone Rapraz 335
2210 San Chatriant"
"Christophe Comte"|"chemin Nathalie Chapuis 12
4464 Francillon"
"Caroline de Dardel"|"boulevard Droz 27
7501 Vermeil-sur-Aebi"
"Elodie Candaux"|"chemin Rossellat
1365 Rossellat-près-Gubéran"
"Liliane Pasquier"|"rue de Montandon 97
9445 Cousin an der Aare"
"Romain Chevrolet"|"avenue Sébastien Barbey 96
8371 Candaux-sur-Bouvier"
"Laurent Besençon"|"chemin Fonjallaz
6602 Théraulaz-les-Bains"
"Loïc Humbert-Montandon"|"boulevard Pierre Courvoisier 7
3920 Marty"
"Lisa Comte"|"avenue de Bochud 42
6393 Julliard"
"Odette Brandt"|"rue de Polla 2
7223 Botteron-sur-Uldry"
"Zoé Carraux"|"boulevard Cattin 59
5827 Comman-près-Droz"
"Vincent Crivelli-Julliard"|"chemin Conrad 18
5741 Montandon"
"Laura Delèze"|"avenue de Chopard
5167 Julliard an der Aare"
"Valérie Saudan"|"avenue de Duvanel 107
7216 UnterBonvini"
"Christian Mayor"|"rue Frédéric Deladoëy 394
3889 Marty-Dessous"
"Romain Coigny"|"rue de Rey 40
9768 Chapuis am Rhein"
"Léo Délèze"|"rue de Paccot 36
4485 Evéquoz"
"Florian Duroux"|"rue Bujard 646
9615 Jacot-Guillarmod-Dessus"
"Henri Rapin"|"avenue Elisa Chevalley 843
3943 Delèze"
"Claudine Pasquier"|"rue Aurélie Bochud 313
8682 UnterCourvoisier"
"Maurice Charpié"|"boulevard Courvoisier 88
7460 Saint Chatriand"
"René Brandt"|"boulevard Jacques Berberat 32
7640 Comman-des-Bois"
"Roger Pasquier"|"avenue Broquet
6624 Treboux am Rhein"
"Chloé Peitrequin"|"boulevard Morand 77
3788 Chenaux-près-Peitrequin"
"Julien Godet"|"rue Germaine Jacot-Descombes 48
7361 Coigny"
"Romain Cornut"|"rue Piccand
4661 Berberat-les-Bains"
"Jean Muriset"|"rue de Nusslé 74
1807 Botteron (FR)"
"Daniel Uldry"|"avenue Gérard Monnard 31
8632 Carraux"
"Julien Cossy"|"boulevard de Cosendey 7
7493 OberCorboz"
"Hélène Besançon"|"chemin Anne Rosselat 6
7114 Morand-Dessous"
"Louis Monnet-Aebi"|"rue Nüsslin 47
9671 Broquet"
"Mathilde Uldry"|"chemin Vienne 2
2606 Beuchat-Dessus"
"Chantal Rapraz"|"chemin Mottiez 8
8343 Francillon-sur-Corbat"
"Bernard Boechat"|"avenue Chevalley
6660 Mottet-Dessus"
"Sandrine Julliard"|"avenue Véronique Romanens 16
3855 Monnet-la-Ville"
"Romain Diesbach"|"boulevard Gubéran 6
8662 Boichat"
"Alain Müller"|"chemin Corpataux 562
7491 Coigny-les-Bains"
"Guillaume Badan"|"chemin de Aeby 1
8300 Chaudet an der Aare"
"Julie Dubey"|"chemin Catherine Joye
6295 Berberat"
"Eric Jacot-Descombes"|"boulevard Chappuis 18
5764 Bouvier (AR)"
"Jean-Claude Monnet"|"rue Christine Monnet
9141 Nüsslin-sur-Beuchat"
"Maurice Bernasconi"|"rue Mayor 13
6004 Barbey-sur-Cosendey"
"Bruno Grojean"|"chemin Noah Mottet 72
3242 Bujard an der Aare"
"Eric Alber"|"avenue de Blanc 79
3575 Privet"
"Léo Deladoëy"|"rue Godet 74
9487 Mottiez"
"Romain Dubey"|"rue Marie Rapraz 6
1215 Vonlanthen"
"Claudine Carraux-Thorens"|"avenue Pachoud 55
4097 Blanc am Rhein"
"Sarah Besençon"|"avenue de Morand 7
9163 San Mercier"
"Noah Montandon"|"boulevard de Cossy 30
4889 Bonvini"
"Josiane Muriset"|"avenue Sara Besançon 91
1345 Cornuz (UR)"
"François Polla"|"rue de Bavaud 39
1165 Sainte Evéquoz"
"Jean Courvoisier"|"avenue de Sandoz 3
7302 Cattin am Albis"
"Clara Besse-Rappaz"|"rue de Conrad 81
1419 Muriset"
"André Bernasconi"|"rue de Beuchat 40
1574 Beuchat"
"Hélène Grojean"|"rue de Deladoëy 20
2711 Broquet am See"
"Romain Duvanel"|"chemin Aeby 8
2698 Paschoud"
"Claudine Brandt-Grojean"|"boulevard de Béguelin 92
9344 Badan"
"Suzanne Duroux"|"rue Sandra Bujard 4
6914 Morard an der Aare"
"Bernard Vonlanthen"|"rue Coigny 79
1511 Bovet (FR)"
"Ethan Vienne"|"boulevard de Dardel 371
7497 Monnet (ZG)"
"Véronique Grojean"|"rue de Cosandey 26
3870 Thorens-Dessus"
"Laurent Broquet"|"rue Georgette Corboz 6
2896 Musy"
"Thierry Diesbach"|"boulevard de Bonvin 30
8428 Matile"
"Léo Vallélian-Julliard"|"rue de Evéquoz 36
3881 Paschoud"
"Florian Isella"|"rue de Babey 63
2349 Mercier (SO)"
"Romain Grosjean"|"rue de Botteron
8271 Chenaux-Dessus"
"Lucie Musy"|"chemin de Treboux 651
9782 Uldry-sur-Monney"
"Clara Chevalley"|"rue de Duroux 26
5712 Isella"
"Alexandre Quartier"|"rue de Botteron 34
7656 Masseron"
"Véronique Cossy"|"avenue Chappuis 4
2681 Badel"
"Thomas Aeby"|"chemin Philippe Broquet 74
6965 UnterVienne"
"Sara Charpié"|"chemin Jacqueline Saudan 166
1985 Diesbach (GR)"
"Alicia Berberat"|"chemin de Bovet 216
6427 Müller-Dessous"
"Hugo Menthonnex"|"avenue de Chaudet 42
1185 Bovet (ZH)"
"Fabienne Comment"|"rue de Meyer 3
9983 Joly-près-Besse"
"Romain Jacot-Guillarmod"|"rue Sandoz
5599 Blanc-sur-Uldry"
"Alicia Besançon"|"rue Elodie Chaudet 4
3740 Chatriant (TI)"
"Madeleine Théraulaz-Brandt"|"rue Luca Chatriand
3084 UnterVienne"
"Zoé Paccot"|"avenue Nolan Marti
6390 Peitrequin"
"Frédéric Dubey"|"rue Corbat 16
6232 Barillon an der Aare"
"Fabienne Isella-Wicht"|"avenue Sylvie Dubey 515
6988 Rappaz-Dessus"
"Liliane Cattin"|"boulevard Crevoisier 10
2217 Crevoisier-des-Bois"
"Monique Bonvin"|"avenue de Müller
7864 Peitrequin-près-Cossy"
"Céline Jacot-Descombes"|"chemin de Comte 57
2043 Sansonnens"
"Michael Corboz"|"chemin Laura Pellet 36
1663 Bahon-sur-Corpataux"
"Romain Marti"|"rue Deshusses 1
8396 Bavaud (SZ)"
"Jeanne Vuille"|"avenue de Broquet 73
2662 Cattin-près-Joye"
"Michel Meyer"|"rue de Godet 68
4246 Comte"
"Elisabeth Bourquard"|"boulevard Romanens 1
9174 Théraulaz-près-Chevrolet"
"Sarah Bouvier"|"chemin Jacot-Descombes 21
2144 Diesbach"
"Thérèse Aebi"|"chemin de Droz 8
2361 Robert"
"Nicolas Barbey"|"avenue de Duroux 90
9466 Cossy"
"Julien Bernasconi"|"boulevard Broquet 52
9474 Mottiez (SH)"
"Sophie Privet"|"rue Maxime Francillon 42
8865 Thorens-Dessus"
"André Grojean"|"avenue Barman 716
3249 Vallélian-les-Bains"
"Romain Mottet"|"chemin Julie Treboux 84
1866 Beuret"
"Hugo Pasquier"|"rue Diesbach 18
4876 Vienne"
"Jonathan Cattin"|"rue de Rappaz 8
1343 Pachoud (SG)"
"Alice Bouvier"|"boulevard Bourquard 76
2749 Mercier am Albis"
"Lisa Musy-Maire"|"boulevard Chloé Chevrolet 64
1112 Monnard-près-Menthonnex"
"Christian Brandt"|"rue Ethan Bahon
9786 Monnard"
"Manuel Musy"|"chemin Laetitia Alber 748
4321 Joly-les-Bains"
"Clara Bujard"|"rue de Candaux
9630 Droz-près-Gillièron"
"Sylvie Sandoz-Candaux"|"boulevard Berberat 8
3725 Jacot-Guillarmod"
"Pascal Pellet"|"boulevard de Besançon 77
6769 Morand"
"Romain Nüsslin"|"chemin Chevrolet 2
4265 Vonlanthen (OW)"
"Danielle Mottiez"|"rue de Bouvier 233
4240 Grojean (SH)"
"Stéphane Dubey"|"boulevard Luca Besançon 390
2211 Barbey"
"Michel Piccand-Wicht"|"boulevard Danielle Pellet 15
4872 Cossy"
"Alain Mottet"|"boulevard Robert 991
3699 Deladoëy-la-Ville"
"Eva de Dardel"|"chemin de Bochud
2993 Cattin"
"Zoé Curdy"|"boulevard Simone Sansonnens 62
4928 Maire"
"Christophe Peitrequin"|"boulevard Nathalie Chevrolet 83
4947 Carron-près-Marti"
"Chloé Deshusses"|"rue Deshusses
6867 Bourquard-sur-Botteron"
"Vincent Mottiez"|"avenue Bernard Thorens 2
7132 Droz"
"Romain Quartier"|"boulevard Corinne Bernasconi 43
7350 Boillat (NE)"
"Vanessa Boillat"|"boulevard Privet 92
1195 Jacot-Guillarmod (AR)"
"Laura Besançon"|"rue de Barman
8603 Délèze"
"Marguerite Botteron"|"chemin de Paschoud 160
3565 Saint Bovet"
"Jessica Montandon"|"rue Frédéric Alber
9863 Julliard-près-de Dardel"
"Loïc Bourquard"|"rue Lara Rosselet
4558 Balmat-sur-Charpié"
"Alicia Grosjean"|"chemin Broquet 70
6237 UnterBeguin"
"Daniel Bugnon"|"chemin de Rappaz
5119 Cousin-la-Ville"
"Bruno Francillon"|"rue de Evéquoz 68
9200 Saudan"
"Frédéric Menthonnex-Saudan"|"rue de Cossy 59
4489 Bahon-sur-Carraux"
"Romain Saudan-Beurret"|"rue de Romanens 71
1108 Beurret"
"Clara Marti"|"chemin Nelly Chappuis 736
3839 Aebi"
"Elodie Brandt"|"rue Cornuz 3
2684 Grojean"
"Marcel Cornuz"|"chemin Vuille 83
9133 Bovet-les-Bains"
"Laura Comment"|"chemin Jessica Romanens
3390 Corboz an der Aare"
"Laura Pachoud"|"boulevard Mathilde Crevoisier 16
3276 Corboz am See"
"Zoé Badel-Fonjallaz"|"boulevard de Chevrolet 85
2989 Morard-la-Ville"
"Jean-Claude Sansonnens"|"rue Elodie Besançon 337
5055 Saint Conrad"
"Danielle Robert"|"rue Lucas Bochud 62
5911 UnterAebi"
"Jacques Besançon"|"boulevard Chatriand 486
7428 Chevalley (AR)"
"Romain Théraulaz"|"rue Laetitia Cretton 442
7872 Godet-la-Ville"
"Stéphane Barman"|"rue André Courvoisier 82
9005 Jacot-Descombes-Dessous"
"Kevin Rosselat"|"rue de Montandon 4
9901 Barbey"
"Camille Bovet"|"chemin Balmat 37
9740 Cornut-sur-Cornut"
"Roger Alber"|"rue Matile 2
6875 Musy"
"Véronique Corboz"|"boulevard Nusslé 79
4417 Mottet-des-Bois"
"Lucas Bugnon"|"rue Marti 5
9341 Duroux"
"Josiane Mayor"|"chemin Muriset 136
1599 Blanc (NE)"
"Marguerite Chatriand"|"rue Boechat 165
2177 Cornut"
"Samuel Fonjallaz"|"rue de Georges 52
2163 Comment"
"Romain Vonlanthen"|"rue Matile 93
6473 Bavaud am See"
"Louis Menthonnex"|"rue de Cornut 7
2435 Babey"
"Patricia Chappuis"|"chemin Vincent Carraux 1
9250 Mottet (LU)"
"Kevin Joye"|"avenue Monnard 840
8531 Nüsslin"
"Nathan Rossellat-Sandoz"|"boulevard de Vuille 905
3431 Sainte Aebi"
"Christophe Carron"|"chemin Carron 8
1554 Deshusses-sur-Beurret"
"Alain Cornuz"|"rue de Gillièron 3
7812 Beuret-près-Berberat"
"Germaine Pachoud"|"avenue de Matile 70
3777 Pellet"
"Noah Boillat"|"boulevard de Uldry 574
9772 Masseron-les-Bains"
"Pascal Cosendey"|"rue François Galland 7
9936 Carron"
