"அகண்டலன் எட்டப்பன்"|"746 இசைவேந்தன் ஷம்பு
தாவண்கரே 748806" 
"பவானி"|"98/68 தணி;சேரன் நக்கீரர்
அலகாபாத் 888391"
"இந்திராக்ஷி"|"51/4140 கடம்பா
ஜம்சேத்பூர்-190394"
"வசந்த்"|"80/14 சங்குப்பூ
ராஜமுந்திரி 890904"
"தணிகைமுருகு"|"19 ஸ்திரிரத்னா
கடலூர் 403557"
"ஹவினாஷன்"|"4/6 தணிகைவேல் இசைவளவன்
உதகமண்டலம் 803416"
"கண்ணாயிரம்"|"21/786 யாழ்நங்கை
நான்தேட்-537316"
"ஷாலிகா மஞ்சள்"|"25/5767 உலகிறை
வாரங்கல்-865005"
"வள்ளுவர்"|"888 உதயா உதீப்
அகமத்நகர்-890006"
"உன்மைமொழி"|"56 மணிப்பவளன் ஸரிகா
திருப்பூர்-711798"
"யாழரசன்"|"85/02 ஹர்ஷிகா கடற்கோ
லக்னோ-554944"
"ஸங்கரி"|"93/018 சத்யவாணன் சத்தியலிங்கம்
ஜல்கான்-074031"
"இக்ஷிதா"|"4 உத்பல் நச்சினார்க்கினியன்
சண்டிகர்-649406"
"வசந்த்குமார் அகத்தழகி"|"392 தஞ்சைவாணன் அக்ரூர்,
அம்ரித்சர்-332616"
"கண்ணாயிரம்"|"27/37 அக்னிமுகி ஷா
அலகாபாத் 430651"
"இசையேந்தல்"|"9 கண்ணப்பன் இசைத்தம்பி
தன்பாத்-359686"
"ஏகாங்கா கண்ணகி"|"28/85 ஆதிநாதன்
மீரட்-987450"
"ரஞ்சினி"|"732 யோகாநந்தன்
திருவனந்தபுரம் 821333"
"ஏழிசைநேயம்"|"8924 வசந்தா
திருச்சிராப்பள்ளி-709496"
"ஸுரபி ரக்ஷினி"|"99/031 நன்மாறன் தங்கத்தமிழ்
சென்னை 427374"
"அகிலங்கடந்தான் இந்திரகுமார்"|"282 ஸ்ராவந்தி எழிற்குவளை
கடலூர் 622640"
"பத்ரநிதி"|"24/509 ஸ்ரீயா யாழினி
வேலூர் 663123"
"ஹவிஷ்மதி"|"03 கதிரோன்
நாக்பூர்-101744"
"வசந்த்குமார்"|"05/093 கனிமதி
அம்ரித்சர்-143346"
"ஷபீர்"|"17/5185 இந்து
கோயம்புத்தூர் 868658"
"இசைக்கோமகள்"|"0/4 உதாங்கன்
போபால் 433958"
"உன்னத் தன்மானம்"|"2 வஞ்சிமகள் சத்ருகணன்
சாங்கலி-370711"
"நவிதா"|"0/3 சங்குப்பூவழகி
பெங்களூரு 659117"
"அங்கவை"|"28/603 பவளமல்லி
ஜல்கான் 290281"
"கடலிறை பத்மநாபன்"|"274 ரகுராம்
பிகானேர் 147426"
"எழிற்கோ ஆதியரசி"|"41/90 ஒளியவன் எயினி
புனே-078401"
"சசி"|"8/6 ஸ்ரீகமா மங்கையர்க்கரசி
நெல்லூர்-050706"
"சத்ருகணன் ஆதிநாதன்"|"1797 ஏழிசைக்கலை
தூத்துக்குடி 697107"
"வசந்த்குமார்"|"3786 கடலிறை
சிவகாசி-725688"
"பச்சையப்பன்"|"36 உபேந்திரா
நாகர்கோவில் 867637"
"ரஞ்சிதம் தனஸ்ரீ"|"418 சகுந்தன் மணிச்சுடர்
திருப்பூர்-178234"
"இசைத்தேவி"|"46/81 சகீனா இசைமொழி
பாட்னா-589074"
"எழிற்கோ நன்னெறியன்"|"73/168 பவழமொழி
விசாகப்பட்டினம் 632571"
"தங்கமதி"|"41/10 சத்யநாராயணன் வள்ளுவன்
கோரக்பூர்-396021"
"ஸ்மிதா"|"548 யோஹிதா
சேலம்-388262"
"ஹிரண்யா"|"286 ராஜகோபால் வசந்த்
ஓசூர்-955513"
"தங்கவேலு சத்யவாணன்"|"75 சங்குக்கொடி ரதவனி
அம்ரித்சர்-530784"
"பகத்"|"8/2 எழிலரசி எழிலழகி
ஜபல்பூர்-040677"
"வசனா ஷ்னேகல்"|"5 யோகமலர்
மங்களூர்-858771"
"பந்துல் ஆதிசங்கரா"|"13/314 ஷாமினி உத்பல்
சூரத்-086589"
"ஸகஸ்ரா"|"55/4668 மணியன் கங்கைகொண்டான்
குண்டூர் 879492"
"வள்ளல் ஸ்ரீநிவாசன்"|"4 தங்கத்தமிழன்
அமராவதி-513349"
"உலகநங்கை யூவராஐன்"|"30/44 இசைத்தமிழன்
காரைக்குடி 513691"
"வண்ணன் ஸ்ரீசிவநாராயணன்"|"8/4 ராதா ஏழிசைப்பாமகள்
நாகப்பட்டினம்-165313"
"கதிரவன் ஸ்ப்ரிஹா"|"2/6 சத்ருகணன்
ஈரோடு-926795"
"இசை"|"6/6 நல்ல வடிவேல்
அகமதாபாத் 576078"
"தணிகைமுருகன் அகத்தழகி"|"61/87 யேகம்மை வானத்து
மைசூர்-811164"
"மணிமாறன் ஹம்சா"|"7702 யசோதா உபமன்யூ
குடியாத்தம் 919895"
"வசுதா"|"5/6 சகுந்தன் எயினி
பரேலி 789842"
"கதிர்மாமணி"|"96/931 தங்கத்தமிழ் வஞ்சிமகள்
திருப்பூர் 667485"
"ஷைலேந்திரா சகீனா"|"8 நாகமதி
காஜுவாகா 730522"
"ராஜ்குமார் ஷதாக்ஷி"|"42/1469 யாமினி ஹரிதா
தூத்துக்குடி-328288"
"ஒளிவேந்தன் ஒளிவாணி"|"81/345 ரகுராம் ஐயப்பன்
கொல்லம்-131272"
"பந்துல்"|"0716 பத்ரநிதி
ஜாம்நகர்-909501"
"ராஜப்பிரியன்"|"4/9 ஆனந்தகிரி
சோலாப்பூர்-775654"
"மங்கையர்க்கரசி மணிமொழி"|"07/1640 பதுமனார் இசையரசு
புதுக்கோட்டை 876030"
"தனக்கோட்டி"|"51 எழிற்குமரன்
தஞ்சாவூர் 480617"
"ரஜினி"|"16/29 மஞ்சள்
நாக்பூர் 549281"
"வசுதா"|"992 நச்சினார்க்கினியன்
சென்னை 811355"
"அங்கம்மாள்"|"08/19 யோஸ்னிதா
தஞ்சாவூர்-930845"
"யோகராணி"|"30/496 எழினி வடிவேல்
நாசிக் 480625"
"ராமசாமி ஆண்டாள்"|"2/0 ஹர்ஷினி
கொச்சி-372646"
"ஒளிமுகம்"|"4 பவழமொழி ஹன்ஷிகா
கோயம்புத்தூர் 832927"
"இசையமுதம்"|"30 கனகவள்ளி
ஜான்சி-765679"
"வல்லரசு பசந்த்"|"5157 ஷர்வானி ஸுமா
சென்னை பெருநகர் 379226"
"வடிவு உதயவானன்"|"87/8864 இந்திரகுமார் ரவின்
ஜாம்நகர் 166146"
"நளாயினி"|"842 நடராஜன்
கோயம்புத்தூர் 392334"
"ஏகா"|"93/503 ஷர்வானி
ராய்ப்பூர்-728623"
"வசுதாரிணி மணிநிலவன்"|"0126 நன்மாறன் எழில்
திருநெல்வேலி 148871"
"ரஃபி"|"95/21 அக்ஷா
பிகானேர் 497651"
"யாழினி"|"5234 ஸ்டீபன் அகல்யா
கடலூர் 562495"
"ஏகாபரனா"|"848 ஏகாபரனா உன்மேஷ்
வதோதரா-779689"
"அகிரா ஏந்திழை"|"27 அகானா
ஆம்பூர்-521702"
"ஏழிசை இந்திவார்"|"782 ஊர்ஜித்
கான்பூர்-613304"
"உதயபரிதி"|"5 ஹஸினா உதயவானன்
பிரோசாபாத் 512589"
"ஹர்ஷினி அகவழகு"|"1447 ஹஸிதா சசிகுமார்
புதுச்சேரி 713688"
"நவீனா ஏகராஜ்"|"6/1 ஒளியழகன்
குவாலியர் 682763"
"வத்ஸலா"|"69/28 வசந்த்
துர்காபூர்-669065"
"வசுமதி பரிமளம்"|"92/951 அக்னிமுகி மணிமலை
பொகாரோ 296121"
"ஹரிஹரன் பஞ்சாமிர்தம்"|"6 ஆசைத்தம்பி உலகிறை
நாகர்கோவில் 225844"
"ஐயா"|"26/2390 மணிநிலவன் இசைமுரசு
ஜல்கான் 648693"
"ஆதித்தா"|"04 தங்கத்தமிழன் கதிர்க்குமரி
பெங்களூரு-849638"
"ஒளிவாணி"|"75 மணியெழில் நந்திதா
ஹுப்ளி-தர்வாத் 316749"
"மணிக்கொடி"|"03/11 சத்தியலிங்கம்
குல்பர்கா-498913"
"ஏழிசைக்கதிர்"|"84 ஷர்மிளா பகுதானன்
வேலூர்-638958"
"இந்துகா"|"9 ஸ்ரீலக்ஷ்மி
கொல்லம்-243546"
"ஆதிநாதன்"|"689 ராஜகுரு
அஜ்மீர் 676194"
"ஊர்ஜித் சசிதரன்"|"5 ஏழிசைப்புதல்வி
நெய்வேலி-114170"
"வசுமதி"|"31/7647 உண்மைவிளம்பி சசி
நாகப்பட்டினம்-157384"
"மணவழகன்"|"50 மணிமொழியன்
ரூர்கேலா 629814"
"மணிக்கதிர்"|"17/70 கடலிறை பவளம்
கான்பூர்-707510"
"ஆடற்கோமகள்"|"7706 இசைக்கலை
கோயம்புத்தூர் 773751"
"ஹிரண்யா ஆனந்ததேவன்"|"3 ஒளியவன் தங்கக்கதிர்
கோயம்புத்தூர்-111869"
"நன்னன் தங்கச்சுடர்"|"0 ஸத்வரி
சென்னை-565450"
"ஷைல்"|"75/394 நம்பியருள்
சென்னை-130405"
"சகுண்"|"92/4414 யாழினி
திருச்சிராப்பள்ளி 583312"
"எழிலழகன் அகிலேஷ்வரி"|"9 அசிரா ஆனந்த
இந்தோர் 603978"
"இசையரசன் யோகலட்சுமி"|"47/27 ரஞ்சனா
கோலாப்பூர்-079427"
"வசுமதி"|"9/8 பரிமளா எழிலரசன்
ரூர்கேலா-854464"
"கதிரொளி"|"430 ஸத்யா அகிலா
பாவ்நகர்-561143"
"அகானா"|"7/1 ரகுவரன்
காரைக்குடி-590682"
"சஃபியா மணிக்கதிர்"|"22/811 ஷிபானி உதயவன்
கோர்பா-696171"
"இசைக்கலை"|"27/9237 அகுல்,
ஸ்ரீநகர் 613555"
"நாதவேணி இசைவாணி"|"63 ரங்கசாமி மணிக்கதிர்
மைசூர் 367659"
"இசைத்தேவி"|"9 கணைக்கால்
அலகாபாத் 095285"
"பரமேஷ்வரி ஏழிசைக்கனல்"|"09/532 ஹஸினா தனலட்சுமி
திருநெல்வேலி 684415"
"இடைக்காடர்"|"27/9075 ஹம்சவர்த்தினி
மதுரை-282181"
"மணிவண்ணன்"|"313 ஹம்சவானி
சூரத்-791029"
"வஞ்சி"|"0 அசிரா
மொரதாபாத்-756252"
"மகிழினி"|"38 ஏக்ராம்
திருவண்ணாமலை-347751"
"கத்ரினா"|"826 ஆடலரசன்
தூத்துக்குடி 074356"
"ரகுபதி அஜய்"|"4444 ஸ்ரீமயி ஹனிஷா
வேலூர் 179877"
"சங்குமாலை"|"44/8574 ஆதிமூர்த்தி
திருநெல்வேலி 986691"
"தன்சி ஸத்வரி"|"9/5 பகுகுனன் ஸ்துதி
திருச்சிராப்பள்ளி 896810"
"நறுமலர் ஸ்ரீலா"|"6565 இந்துமுகி தணிகைவேல்
காஞ்சிபுரம்-040069"
"மகிழ்வதனி"|"21 அக்மல்,
குவாலியர்-480021"
"எழில்மலை"|"7126 வருனேஷ் அகாத்
இந்தோர் 814063"
"இந்திரஜா"|"2/9 பசவராஜ் ரஞ்சிதா
கும்பகோணம்-702811"
"வஞ்சிக்கொடி"|"4/3 இந்திரா ஏழிசைக்குமரி
வதோதரா-436340"
"மணிமன்றவாணன்"|"77 உஜேஷ் வண்டார்குழலி
லக்னோ 894255"
"ஏழிசைநேயம் உலகோவியம்"|"7563 இசைக்கதிர் பதுமை
பிகானேர்-139000"
"நாகம்மாள்"|"43 உதயசந்திரிகா உபமன்யூ
பிலாய் 435383"
"வள்ளல்"|"97 ஹாருண்
தஞ்சாவூர் 379948"
"உதயா நன்னெறியன்"|"9 ரம்ஜான்
சண்டிகர்-978638"
"மணிகா"|"31/463 நதியா வாகீசன்
ஜோத்பூர் 279796"
"அங்கயர்க்கண்ணி ஆண்ட்ரு"|"25/842 கண்மணி அஜய்
குவாலியர் 609094"
"தணிகையரசு"|"99/3693 கனிரா
குடியாத்தம் 397661"
"ஸுமா ரஞ்சனா"|"9/4 ஷரினி
கரூர் (கரூர் மாவட்டம்)-639645"
"வஞ்சிக்கொடி"|"8964 எழிற்கண் ரகசியா
ஸ்ரீநகர்-799504"
"உதய் அகிலன்"|"13/038 ஸஹிரா
ராய்ப்பூர்-307160"
"அகமதி ஆதர்ஷ்"|"8762 உத்தவ் ஆனந்த
கொச்சி 102416"
"ஆதித்தி ஸ்திரிரத்னா"|"8/2 கண்மதியன் மகிழ்
பாவ்நகர் 247298"
"வடிவுக்கரசி"|"26 ஹாசினி
பொகாரோ 288015"
"நன்னி"|"40 ரமேஷ்கண்ணா ரஞ்சினி
சென்னை-856394"
"ஷாலினி ஸ்ரீநிவாஸ்"|"8622 எழில் தங்கக்கதிர்
விசாகப்பட்டினம் 518341"
"தணிகைமணி"|"68 ஸ்ரீகமா அக்ரோதனன்
குமாரபாளையம்-768299"
"பகலவன் ஆதித்தா"|"89/4868 அகிரா
கயா 000737"
"கதிர்"|"7 இக்ஷூ, ஷிகா
பிகானேர்-611933"
"வஞ்சிமகள்"|"87/47 அங்கையர்க்கரசி
கயா-542279"
"மணிமகள்"|"63/473 யோஹிதா உதயமூர்த்தி
வாணியம்பாடி 385023"
"சக்கரவர்த்தி"|"308 வரதராஐன்
துர்காபூர் 870079"
"அக்னேயி தணிகேவேலன்"|"73/46 ரமணி ஹர்ஷிதா
ராஞ்சி 861139"
"தங்கம்"|"15 ரமணன் உதயவன்
சாங்கலி 329681"
"அகத்தியன் தஞ்சைவாணன்"|"64/96 உமா ஸ்ராவனி
கொல்லம்-588904"
"ரஞ்சிதம் உத்பல்"|"57/613 ரமேஷ் மகிழினி
கொல்லம்-510124"
"அகிலா"|"8433 மகிழ்ச்சிக்கு
புதுக்கோட்டை-457562"
"கணையாழி"|"95/62 தத்தை கணியன்
நான்தேட்-468643"
"ரமணி"|"61/4022 ஷாலினி
ஜபல்பூர்-100158"
"வடிவரசி"|"77/60 ஒளிமதி
குண்டூர் 759345"
"ராஜ்குமார் ரஜினி"|"17 பதுமனார்
பிகானேர் 446165"
"பகுமான்யன்"|"83/341 அகண்டலன்
ஜம்மு-782686"
"ஸ்வப்நில்"|"59/755 ஆண்டாள்
திருநெல்வேலி-859374"
"நக்கீரத்தமிழன்"|"88/82 மகிழ்ச்சிக்கு கணைக்கால்
கோழிக்கோடு 856595"
"ஹர்ஷிதா"|"88/245 அகமதி இந்திரநீல்
கொல்லம்-157835"
"ஷப்னம்"|"36/28 எழிற்கதிர்
பிகானேர்-225165"
"உன்மேஷ் வஞ்சிக்கொடி"|"1 பதுமை
ராஜ்கோட்-639424"
"மகிழ்நன்"|"97/55 அங்கம்மாள் எழிலேந்தி
குமாரபாளையம் 267308"
"ஸன்யுக்தா"|"77 எல்லி கடம்பன்
மும்பை பெருநகர்-857095"
"வடிவு உலகொளி"|"1172 ஆஞ்சனேயா வரதராஐன்
சென்னை-423793"
"வரதராஐன்"|"58/327 யாழ்பாடி
குல்பர்கா-269426"
"கடற்கோ"|"295 யாழ்பாடி
நெல்லூர் 102073"
"இசையரசி மணிச்சுடர்"|"7747 ராமசாமி யமுனா
திருப்பூர் 894122"
"ஆதிதேவா ஏழிசைப்புதல்வி"|"10/95 பகலவன்
ஆசன்சோல் 675063"
"ஷண்சிலாதேவி மணிமேகலை"|"41/669 ஸ்னேஹல் இடைக்காடர்
சிலிகுரி 250625"
"நந்திகா"|"77/787 தங்கபுஷ்பம்
புதுக்கோட்டை 543659"
"வள்ளுவர் ரக்ஷனா"|"9/7 கணியன்
சோலாப்பூர்-977178"
"தங்கவேல்"|"1/7 மணிக்கதிர் உலகோவியம்
கோலாப்பூர்-885703"
"வழுதி தங்கதுரை"|"8/0 மணியெழில்
கடலூர் 435665"
"வடிவு நப்பசலையார்"|"6/5 ஷா நந்தினி
ஜலந்தர் 076847"
"வள்ளுவன்"|"45/5680 ஏழிசைச்செல்வி கடல்வேந்தன்
நாகர்கோவில் 648418"
"ஸௌரா"|"4 வருனேஷ்
திருநெல்வேலி-206544"
"தணிகைச்செல்வி தங்கமுத்து"|"78 உதியன் ரமணன்
பெங்களூரு-760051"
"இந்திரா"|"03/75 இசைவாணன்
நாகப்பட்டினம் 584156"
"மணிவண்ணன் ஸ்ரீமா"|"1/8 தணி;சேரன்
ஹுப்ளி-தர்வாத்-997835"
"ஸ்டீபன் ஹாருண்"|"7/9 வகேஷ்வரி நன்னன்
போபால்-239331"
"சத்யா நன்னி"|"5 சத்யவிரதன் உலகோவியம்
பிகானேர்-657135"
"சங்குப்பூவழகி"|"72/145 கண்மதி கனல்
மங்களூர் 660292"
"உன்னதி"|"6/2 பகுபாலன் அங்கதன்
சென்னை 418668"
"வடிவு"|"4 ஸ்ரீயாதித்யா ராஜகுமாரி
கோட்டா 670943"
"இந்திரநீல் இசையரசு"|"1/9 கண்ணன் ஆசைச்செல்வி
திருப்பூர் 607149"
"தங்கமகன்"|"9/5 பகுப்ரியன் தனுஷ்ரி
அம்ரித்சர்-702876"
"வாசு"|"445 யமுனா இசைநேயம்
தூத்துக்குடி 167286"
"நந்தா"|"95 தங்கபாண்டியன்
காரைக்குடி 529878"
"ஸ்ராவனி இந்துகலா"|"46 கடம்பன் தடாகை
காரைக்குடி 071425"
"நம்பிள்ளை"|"12 சஞ்சய்
திருப்பூர் 211230"
"ஒட்டக்கூத்தர்"|"13 இந்திரஜா
தன்பாத் 096521"
"ஆஞ்சல் எழிலம்மை"|"03/3583 நந்தன்
சென்னை-929339"
"சத்யராஐ;"|"26 வல்லரசு கணியன்
தஞ்சாவூர் 093654"
"வடிவு"|"57/949 அக்னிகா
அஜ்மீர் 438350"
"எட்டப்பன்"|"69/935 ஏழிசைமுரசு
வாரங்கல் 760396"
"ஒளிர்நிலவன் ஐஸ்வர்யா"|"2 ஷாஹ்னா
ஜெய்ப்பூர்-044749"
"ஒளியன் நக்கீரன்"|"8/6 உன்னதி
திருநெல்வேலி 842774"
"மணிக்கதிர்"|"9 சங்குக்கொடி ஹஸ்னா
உதகமண்டலம்-229656"
"யோகேஷ்"|"0/9 உச்சிதா
ராஞ்சி 082316"
"ஆகமா ஐஸ்வர்யா"|"18 தங்கம்
ஜம்மு 710885"
"மணிமொழியன்"|"1807 சங்கன்
பாவ்நகர் 974365"
"பழகுத்தமிழ்"|"7 மணிமலை
மொரதாபாத் 791162"
"ஸ்ரீனா ஹேமலதா"|"82/6795 ஏகாபரனா
கோழிக்கோடு 371591"
"வடிவு"|"570 ஹர்ஷினி யூசுப்
ராமகுண்டம் 479480"
"வடிவேற்கரசன்"|"784 வஞ்சிக்கொடி ஏழிசை
பரேலி-973348"
"ஏகா"|"6 ஏழிசைக்குமரி
நாகர்கோவில்-765927"
"பச்சையப்பன்"|"0/1 யேகம்மை
இராணிப்பேட்டை 396679"
"இந்திராக்ஷி ஆட்டநத்தி"|"48/568 ஷந்தோஷி
குமாரபாளையம் 085645"
"யூசுப் எகாம்பரம்"|"3/8 தனித்தமிழ்
விசாகப்பட்டினம் 152693"
"சங்கவை"|"43/636 எழிலன்பன் ஸுப்ரியா
பொள்ளாச்சி 206483"
"ஷிஷிர்"|"97 ஆடலழகி
மீரட்-000076"
"நாச்சியார்"|"55 கடலிறை
மும்பை பெருநகர்-326255"
"ஆதர்ஷ்,ஆதேஷ்"|"9748 வருண்குமாH ஏகாபரனா
அகமதாபாத்-003559"
"வடிவுக்கரசி அகலன்"|"229 எழில்நிலவு
திண்டுக்கல்-828389"
"அங்கயர்க்கண்ணி"|"9/2 தணிகைவேல் வஞ்சி
திருவனந்தபுரம்-823917"
"ஏழிசைச்செல்வம்"|"97/529 ராஜகுரு
பாவ்நகர் 065092"
"அங்கவை ஏழிசைக்கதிர்"|"51/330 ஸத்வரி உதயவன்
நாகர்கோவில்-003999"
"உயிரோவியம் ரமேஷ்கண்ணா"|"94/9141 யாழ்ப்பாணன்
இராணிப்பேட்டை 217422"
"அங்கதன்"|"82/346 ஷ்வேதங்க் பகவந்த்
சகாரன்பூர் 859649"
"ஷலின்"|"464 யாழைப்போல்
குவஹாத்தி-492382"
"அகவொளி ஷிகா"|"51/75 ஏழிசைக்கொடி அக்மல்,
வதோதரா-762155"
"கதிரழகி"|"4 பகுகுனன்
கரக்பூர் 120532"
"அகல் ஏறுநடை"|"78/71 நல்ல
தூத்துக்குடி 006881"
"வடிவுக்கரசி மணிக்கோ"|"08 ஹன்யா ஷிஷிர்
ஜலந்தர் 313547"
"நன்னி யோகவல்லி"|"49/9706 நச்சினார்க்கினியன்
ராஞ்சி-888007"
"ரஞ்சனா"|"98/6701 கதிரழகி அகில்
அவுரங்கபாத் 406082"
"ஸ்ரீலக்ஷ்மி"|"26/39 ஷகுந்த்
திருவண்ணாமலை-817673"
"எழில் ஆதவன்"|"2 இக்ஷிதா
தில்லி 000998"
"உதயமூர்த்தி வண்டார்குழலி"|"37/1763 ஷா
சோலாப்பூர் 520802"
"வஞ்சிக்கொடி"|"65/5527 யூகேஷ்
இராஜபாளையம், விருதுநகர் மாவட்டம்-073377"
"பவழமொழி ஏழிசைமணி"|"6/4 ஆதிகேசவன்
மதுரா-309481"
"வண்ணக்கதிர்"|"89/4262 கங்கைகொண்டான்
குவாலியர் 451866"
"யூவரானி நன்னூலன்"|"549 ஏந்திழை வசந்த்குமார்
நாசிக் 908402"
"வடிவுக்கரசி"|"3/6 நர்மதா நம்பெருமான்
மதுரை-103355"
"ரமேஷ் யேவான்"|"358 அங்கணன்
ஜாம்நகர் 611767"
"ஏழிசைக்குரிசில் ஸத்யா"|"76/298 ஆதிநாராயணா ஷலின்
பிரோசாபாத் 150757"
"பத்ராகன் சங்கமித்ரா"|"29/978 சகுண் மணிக்கோவன்
இந்தோர் 279004"
"ஷைல் தங்கத்தமிழ்"|"7985 பன்னீர்
ஆம்பூர் 367912"
"நன்மணி"|"43 தணிகையரசு
கோழிக்கோடு 543060"
"உதயச்சல் சக்திவேல"|"36/05 இக்ஷூ,
புனே-876432"
"மகிழ்ச்சிக்கு உட்கர்ஷ்"|"63/69 வதனி எழிலன்பன்
ஈரோடு-177073"
"கடலிறை"|"41 அகலார்சடையன்
புதுக்கோட்டை-694398"
"பத்ரிநாராயணன்"|"72/1577 நறுமலர்
ஆக்ரா 894009"
"வடிவேற்கரசன் தணிகைமுருகு"|"03/2023 இசையாளன்
பரேலி 388036"
"ஸ்ரீவல்லி"|"80/30 பகவந்த்
லூதியானா 318335"
"ஆதர்ஷ்,ஆதேஷ்"|"67/79 சஜனி ஹேமா
கான்பூர்-714615"
"ராஜசேகர்"|"89 சங்கீதா மங்கை
அஜ்மீர்-779251"
"ஹரி"|"6639 இசைச்செல்வம் ஷரணி
திருச்சிராப்பள்ளி 621681"
"பவழமொழி"|"6 பன்னீர்
துர்காபூர்-933682"
"எழிற்கோமகன்"|"659 வடிவுக்கரசி
திருப்பூர்-926099"
"நம்பெருமாள்"|"7/3 கஜ்ரி
பொகாரோ-682691"
"யாழின்"|"94 தணிகைவேலன் சகீனா
கரூர் (கரூர் மாவட்டம்)-878114"
"ஆடலழகி"|"2906 வள்ளிமணாளன் யஷ்வந்த்
திருவனந்தபுரம் 286726"
"வடிவேற்கரசன்"|"47/74 தனுஷா
வேலூர்-961300"
"ஸ்ரீலக்ஷ்மி எழிற்குமரன்"|"4950 பதிரன்
பிகானேர் 338062"
"நன்முத்து"|"4653 ஆதிகேசவன் ராகினி
திருப்பூர் 914584"
"ஒளியவன்"|"14/4482 மணிக்கொடி ஷர்மிதா
கோலாப்பூர் 561606"
"மணிச்சுடர் சதீஷ்"|"7058 ரஞ்சிதம் தனக்கோட்டி
அமராவதி-846782"
"கடலரசி"|"01/22 எழிலேந்தி வல்லவன்
கோலாப்பூர் 756884"
"ஆதி ஸபீனா"|"622 ஆனந்த வாஞ்சினாதன்
பொள்ளாச்சி-670599"
"ஏழிசைநாயகி வடிவேல்"|"67/492 தன்மானம்
இராணிப்பேட்டை-139246"
"சத்யா"|"09/569 கதிர்க்குமரி
ஆம்பூர் 443837"
"இசைக்கதிர்"|"50 வசந்த் மணியம்மை
அம்ரித்சர் 401192"
"வடிவேலன் சங்கு"|"585 ஸ்ரீவித்யா அக்னிமுகி
தாவண்கரே-103974"
"ஏலா"|"002 பகுகுனன் ஷர்மிளா
ஜான்சி 568465"
"ராஜசேகர்"|"200 நல்லிசை
தில்லி 541085"
"எழிற்கதிர்"|"12/878 நாகமதி ரதி
மீரட்-830132"
"அகற்குறி"|"9744 சத்யா
கோயம்புத்தூர்-682245"
"இக்ஷிதா"|"07/416 ஹேமலதா ஊர்ஜித்
ஜெய்ப்பூர்-938821"
"நம்பிகுட்டுவன்"|"075 சஜனி
கோலாப்பூர் 202281"
"சங்குப்பூ ஒளிமுகம்"|"29/1572 ஐராவதி
சகாரன்பூர்-564429"
"ஸ்ரீனா"|"48 உமையரசி
சென்னை-504819"
"ஹரிஹரன்"|"0/0 கண்மலர் தங்கம்மாள்
இராணிப்பேட்டை-290575"
"வடிவேல் ஆதர்ஷா"|"88/157 ஸகஸ்ரா
ஓசூர்-648978"
"மணவழகன்"|"27 அகமதி நம்பி
தன்பாத்-263763"
"கதிர்க்குமரி"|"16/844 இசையறிவன்
கண்ணூர் 817273"
"மணிமுத்து"|"8/0 மணிப்பவளன்
ஜலந்தர்-359806"
"பகுதானன்"|"46/3348 சதிஷ்வரன்
இந்தோர்-027928"
"நாகமதி"|"977 ஷ்ராவண் கடல்வேந்தன்
அகமதாபாத் 147144"
"ஏழிசைப்பாவை ஷாந்தலா"|"65/591 தங்கத்தமிழன்
ஜெய்ப்பூர் 537551"
"இசைவாணி வள்ளிமணாளன்"|"76/183 சஃபியா தங்கமதி
குவாலியர்-031089"
"யாழிசை ராஜதுரை"|"60/937 சத்யராஐ;
பிகானேர் 720428"
"மஞ்சு ஹர்ஷிகா"|"800 பகீரதன்
மைசூர்-084601"
"வடிவேல் சக்கரவர்த்தி"|"3 சசிகுமார் யோஹிதா
காஜுவாகா-682792"
"பஜன் வாசு"|"90/350 இந்திரா
ஆக்ரா 941911"
"எழினி"|"9323 ஸ்ரீராம் கஜோல்
நெல்லூர் 210346"
"இசையரசி"|"86 நடவரசன் பகுபலி
அஜ்மீர் 970942"
"தங்கமுத்து"|"5/2 இந்திரகுமார்
சாங்கலி-802137"
"தங்கவேல்"|"18 பகுதானன் மணிமேகலை
காரைக்குடி 310076"
"பத்மநாபன் வஞ்சிப்பாமகள்"|"58/0239 வண்ணமதி அகரமுதல்வன்
ராமகுண்டம்-983377"
"எழிற்பாவியன்"|"94/0346 ஹிரண்யா
திருப்பூர்-406852"
"எழிலழகன்"|"934 ஷதா
பிரோசாபாத்-609170"
"ஆதிதேவா"|"93/05 இசையரசி
அவுரங்கபாத் 490410"
"வடிவேல் தனக்கோட்டி"|"16/89 இசைமகள்
ஹுப்ளி-தர்வாத் 306542"
"ஷதாக்ஷி"|"29/101 இசைமணி யாளினி
கோழிக்கோடு-862773"
"வர்ஷினி"|"95/7214 சங்குமதி
மாலேகான் 911170"
"நன்னாடன்"|"9 ஹர்ஷிதா தங்கம்மாள்
ஹுப்ளி-தர்வாத்-937828"
"சக்திவேல"|"2/7 தங்கேஷ்வரன்
கரூர் (கரூர் மாவட்டம்) 282558"
"கடலிறை தணிகைச்செல்வி"|"0/7 இந்துஜா
காஜுவாகா-237362"
"கஐலட்சுமி கண்ணப்பன்"|"27/543 நக்கீரர் ஆட்டனத்தி
மும்பை பெருநகர் 130691"
"வணங்காமுடி"|"86 இசைச்செல்வம் பஞ்சாமிர்தம்
பொள்ளாச்சி 981799"
"வரதராஐன்"|"49 தஞ்சைவாணன்
ரூர்கேலா-694648"
"தங்கபுஷ்பம் சங்குப்பூ"|"13/57 வசனா
கடலூர் 403972"
