"Adrian Aasen"|"Bøeplassen 64, 8771 Aas" 
"Laila Holm"|"Tveitfaret 6B, 2397 Berntsen"
"Alf Amundsen-Larsen"|"Karlsenrøa 39, 2193 Mettestrand"
"Pål Mathisen"|"Næssgjerdet 7, 2360 Sanderstrand"
"Alexander Rasmussen"|"Evensenlunden 53, 8460 Fredriksen"
"Prof. Kenneth Arnesen"|"Danielsenfaret 85, 9711 Håkongrunn"
"Stein Larsen"|"Kristensenberget 3, 3720 Thomashamn"
"Ragnhild Pedersen"|"Nygårdlia 59, 3995 Julieborg"
"Torill Abrahamsen-Pedersen"|"Thomassenalléen 9, 4859 Haugen"
"Dr. Jonas Sørensen"|"Paulsenløkka 6, 8816 Bentesund"
"Gunn Jørgensen"|"Thomassenalléen 4A, 1498 Strand"
"Tom Martinsen"|"Christensenstubben 1, 9693 Kristoffergrunn"
"Torbjørn Pettersen"|"Iversenekra 5, 1546 Sindrehelle"
"Solveig Vik"|"Halvorsenjordet 6, 3742 Myhre"
"Daniel Sandvik"|"Knudsentoppen 9, 5644 Solberg"
"Sindre Hansen-Edvardsen"|"Aasenhøgda 6, 9416 Martinehamn"
"Odd Pedersen"|"Jenssengrenda 51A, 8944 Turidsand"
"Maria Svendsen"|"Ødegårdgjerdet 00, 3046 Andersvik"
"Torill Aune-Danielsen"|"Kristensentoppen 1, 7590 Reidunodden"
"Asbjørn-Emil Dahl"|"Sætherstranda 74, 6161 Astridvik"
"Terje Knutsen"|"Halvorsenjordet 26E, 9181 Jakobsen"
"Line Paulsen"|"Hagenringen 24, 9236 Marieodden"
"Astrid Ellingsen"|"Engenstranda 27, 4522 Holm"
"Liv Amundsen"|"Knudsenstykket 6E, 6111 Elimark"
"Magnus Johansen"|"Johannessenkroken 36A, 6121 Solberg"
"Andreas-Trond Solberg"|"Danielsentoppen 93, 4483 Brittodden"
"Marianne-Gro Nygård"|"Lundeløkka 46, 0094 Marenøy"
"Ann Svendsen"|"Pettersenjordet 2A, 2796 Helland"
"Torill Engen"|"Danielsenlia 37E, 5102 Nilsen"
"Ingrid Hansen"|"Knudsenjordet 75B, 5308 Knudsen"
"Ingrid Strand"|"Knudsenengen 4, 4392 Eirikstrand"
"Jon-Karl Madsen"|"Nilsengata 8F, 6991 Mikkelsen"
"Roger Ruud"|"Halvorsenjordet 3A, 1570 Næss"
"Kjell Sandvik"|"Dahlholtet 1E, 1522 Magnusvær"
"Steinar Madsen"|"Haugegrenda 1, 7232 Emilieberg"
"Frode Andreassen"|"Bakkenspranget 2G, 6801 Idafjord"
"Grethe Tangen"|"Simonsenmoen 58F, 7158 Ahmed"
"Pål Eriksen-Ali"|"Lundstykket 8, 7415 Sørensen"
"Torill Eriksen"|"Gundersenmyra 8, 2611 Johannessen"
"Vidar Madsen"|"Brekkemoen 7, 2666 Ingeborgodden"
"Kåre Berntsen"|"Moenkroken 3, 1050 Christensen"
"Dr. Jan Evensen"|"Brekkeeggen 33, 9487 Danielsen"
"Tove Sæther"|"Myklebustmoen 39, 1384 Grostrand"
"Else Hauge"|"Nguyenlunden 1C, 5099 Frankberg"
"Dr. Daniel Kristensen"|"Martinsenmyra 1, 0834 Karlsen"
"Markus Birkeland"|"Arnesenberget 75C, 6015 Svendsen"
"Monica Haug"|"Edvardsenbråten 4, 4802 Ødegård"
"Trond Jakobsen"|"Martinsenåsen 86D, 5377 Eide"
"Torill Jakobsen-Hanssen"|"Nygårdhagen 76, 8788 Ingridøy"
"Prof. Stian Haugen"|"Ødegårdberget 4, 6827 Knutsen"
"Steinar Myhre-Vik"|"Eliassenskrenten 783, 3067 Ellengrunn"
"Einar Abrahamsen"|"Bergegata 7, 5848 Eriksen"
"Asbjørn Berg"|"Rønningsvingen 90, 9440 Emilstrand"
"Cecilie Haug"|"Svendsenstubben 4A, 9517 Birkeland"
"Gerd-Hege Dahl"|"Andersenfaret 48A, 0498 Siljedal"
"Ellen Eriksen"|"Isaksenekra 132, 0037 Jørgensen"
"Inger Jenssen"|"Sørensenhagen 149, 4367 Simonsen"
"Martine Sørensen"|"Fredriksenskogen 14, 1713 Strøm"
"Torill Johannessen"|"Nguyenmoen 2, 2297 Edvardsen"
"Karin-Martine Christensen"|"Lundlia 39G, 6206 Sigurdnes"
"Prof. Marius Martinsen"|"Jenssenkroken 4, 2665 Steinarby"
"Nils Holm"|"Jørgensenrøa 2B, 2729 Johanfjord"
"Reidun Svendsen"|"Jørgensenmyra 86C, 8050 Sandvik"
"Per-Sverre Dahl"|"Gundersenalléen 90, 2519 Evensen"
"Britt Sæther"|"Aasenhaugen 81, 1738 Andreasby"
"Grethe Kristiansen-Sandvik"|"Jensenroa 3F, 0389 Kennethsund"
"Tove Nielsen"|"Hauglandspranget 515, 9998 Karlsen"
"Pål Amundsen"|"Bøerøa 74, 7554 Ivarvær"
"Torill Kristensen"|"Abrahamsenstranda 3, 7574 Joakimberg"
"Nina Solberg"|"Birkelandbråten 480, 3275 Sisseløy"
"Ann Johnsen"|"Haugentunet 8, 9976 Emmavåg"
"Johan-Svein Haugen"|"Tangenrøa 17, 4283 Johnsen"
"Frode Johannessen"|"Moenstubben 84, 1991 Emilienes"
"Kåre Jørgensen"|"Rønningfaret 8B, 1623 Johansen"
"Ingrid Hagen"|"Sørensenplassen 5C, 0506 Sigurdfjord"
"Vilde Engen"|"Sørensenhagen 7F, 6369 Thomassen"
"Jens Jørgensen"|"Haugenmyra 374, 7791 Kristiansen"
"Anna Amundsen"|"Eideåsen 94, 9242 Solveignes"
"Torill Moe"|"Solberggropa 2, 4677 Henriksen"
"Øystein Aune"|"Pettersenengen 1, 6955 Solheim"
"Roy Solberg"|"Haugegjerdet 1E, 7828 Cathrinegrunn"
"Marianne Rønning-Strøm"|"Nygårdflata 9, 6688 Sisselvær"
"Vilde Rasmussen"|"Knutsenringen 243, 9786 Johansand"
"Håvard Edvardsen-Johannessen"|"Johannessenkollen 4, 4179 Arnesen"
"Nora Ahmed"|"Jakobsentunet 5, 5319 Andersbø"
"Linda Kristensen"|"Simonsenstubben 5, 1726 Stigbø"
"Kari-Janne Evensen"|"Bøestykket 9, 0907 Jonasøy"
"Ivar Kristoffersen"|"Bakkenmarka 429, 3110 Eriksen"
"Torill Simonsen"|"Nilsenfaret 7, 7533 Johnsen"
"Egil Larsen-Kristiansen"|"Lundgjerdet 2, 5971 Bjørndal"
"Trine Olsen"|"Moenfaret 3B, 3862 Sandvik"
"Torbjørn Edvardsen"|"Pettersentoppen 4, 9392 Tommyvik"
"Kjetil Myklebust"|"Liekollen 9, 9535 Malinhelle"
"Synnøve-Aud Olsen"|"Madsenjordet 9, 5105 Sverrefjell"
"Anne Karlsen"|"Johansenekra 7, 2532 Martinsen"
"Karl Myhre"|"Lundkollen 15B, 3237 Synnøvevik"
"Jorunn Andreassen"|"Nilsenmarka 93G, 8836 Sisselstad"
"Heidi Jensen"|"Liestubben 4C, 1380 Unnistrøm"
"Torill Sivertsen"|"Danielsenkollen 30C, 9296 Knutfoss"
"Prof. Øyvind Mikkelsen"|"Lienstranda 16, 8784 Tommyfjell"
"Karen Andresen"|"Rønninghaugen 7C, 3398 Johansen"
"Siv Thorsen"|"Myklebustgata 49, 5556 Evensen"
"Elise Sørensen"|"Haugeeggen 825, 9986 Thomassen"
"Mari Bakken-Strand"|"Ahmedeggen 11, 5744 Anettestrand"
"Vegard Lunde-Brekke"|"Ahmedgrenda 7C, 7476 Mariavåg"
"Roger Jensen"|"Næsstoppen 30, 5785 Strand"
"Joakim-Adrian Karlsen"|"Mikkelsenrøa 274, 3174 Svendsen"
"Tor-Christian Pettersen"|"Pettersenplassen 161, 7098 Rønning"
"Torill-Nina Bøe"|"Iversenmarka 91A, 5071 Helland"
"Karoline Thomassen-Johannessen"|"Halvorsenkroken 739, 3412 Haug"
"Randi Amundsen"|"Berntsenengen 6, 7740 Gretebø"
"Kristian Fredriksen"|"Christensentunet 5, 9519 Larshavn"
"Stine Sandvik"|"Johannessengrenda 54, 8691 Sisseleid"
"Alf Strøm-Christensen"|"Larsentoppen 2, 4286 Gulbrandsen"
"Nils Eide"|"Eliassenalléen 59, 6968 Birkeland"
"Prof. Henrik Nguyen"|"Knutsenlyngen 93B, 5829 Ingerdal"
"Sverre Ruud-Paulsen"|"Myhrebakken 46, 3542 Egilgrunn"
"Marius-Magne Danielsen"|"Pedersenkollen 79, 8802 Myklebust"
"Tove Andersen"|"Aasenhaugen 17, 1586 Martegrunn"
"Sondre Evensen"|"Knutsenfaret 82, 1674 Marivåg"
"Petter-Kjetil Rønning"|"Jakobsenhøgda 32, 8142 Heidihamn"
"Åse Fredriksen-Kristiansen"|"Nilsenholtet 5, 9110 Strand"
"Ole Rønning"|"Nygårdlunden 61A, 7622 Andreabø"
"Karl Jørgensen"|"Sørensenskogen 543, 9153 Lie"
"Thomas Abrahamsen"|"Madsenflata 85D, 3941 Mathisen"
"Hege Tveit"|"Nguyentjernet 314, 5822 Ødegård"
"Magnus Solberg"|"Haugenstranda 91, 1676 Unniberg"
"Bjørg Jenssen"|"Moenekra 75B, 9956 Camillafjord"
"Tove Andreassen"|"Lundetjernet 57, 0091 Engen"
"Dr. Tore Birkeland"|"Christensentjernet 49, 4387 Johnbø"
"Stein-Tommy Andersen"|"Hauglandstubben 731, 2361 Andresen"
"Berit Andreassen"|"Jacobsenstien 01, 2958 Emilmark"
"Joakim Aasen"|"Vikløkka 325, 1282 Amundsen"
"Julie Danielsen-Kristiansen"|"Jenssenengen 3, 7533 Mathisen"
"Monica Abrahamsen"|"Larsenstranda 2, 2339 Jacobsen"
"Camilla-Vilde Sandvik"|"Hanssenroa 106, 4941 Dahl"
"Randi Larsen"|"Vikekra 3, 3922 Lenegrunn"
"Sindre Lie"|"Alisvingen 24H, 9571 Svendsen"
"Tove Dahl"|"Hansenspranget 8B, 6465 Solheim"
"Jens Nguyen"|"Kristoffersenløkka 4, 4828 Tveit"
"Kristin Ahmed"|"Johnsentoppen 8, 1946 Pedersen"
"Kenneth Halvorsen"|"Haugstykket 3, 0339 Kåreøy"
"Hanne Andreassen"|"Simonsenskrenten 1C, 7890 Leiffjord"
"Maria-Stine Kristoffersen"|"Thorseneggen 3, 0706 Leifmark"
"Anette Berntsen"|"Vikstien 9, 0951 Olasand"
"Tone Sæther"|"Holmekra 4, 6205 Adrianmark"
"Ole-Magnus Kristiansen"|"Ellingsenstien 40, 3451 Sveinsund"
"Mette Nguyen"|"Arnesengata 3, 9994 Grovær"
"Tove Gundersen"|"Knudsenrøa 9, 0767 Håvardhelle"
"Sondre Aune-Myhre"|"Bøealléen 3, 7366 Paulsen"
"Emilie Tangen"|"Iversenengen 32, 3246 Hagen"
"Lise Eide"|"Solbergberget 6, 0814 Bentedal"
"Finn Aune"|"Berntsenstubben 3, 0980 Øyvindbø"
"Olav Ahmed-Ruud"|"Bakkenplassen 1, 4778 Rønning"
"Frode Hagen"|"Svendsenbråten 31, 9501 Berge"
"Johan Johannessen"|"Solheimholtet 1H, 7881 Theaås"
"Odd Myhre"|"Næssbakken 1, 1518 Tommymark"
"Andrea Ali"|"Olsenvika 2, 0730 Anitaø"
"Tove Halvorsen"|"Isaksenhavna 6, 6470 Solheim"
"Kristine Ødegård"|"Myklebustvika 66, 6363 Haugland"
"Terje-Robert Halvorsen"|"Haugenvika 6, 4739 Aas"
"Sindre-Kjell Nguyen"|"Kristoffersensvingen 2, 5263 Eirikvåg"
"Kristine-Elin Jakobsen"|"Eiderøa 1A, 1491 Ivarodden"
"Rita-Maria Danielsen"|"Sandvikberget 80, 9910 Danielsen"
"Maren-Thea Pettersen"|"Berntsenlunden 58, 6342 Marianneø"
"Terje Eide"|"Bakkestien 210, 8916 Aune"
"Fredrik Mikkelsen"|"Simonsenfaret 239, 1335 Abrahamsen"
"Roger Sandvik"|"Haugeåsen 65, 0897 Eriksen"
"Tove-Elin Ahmed"|"Iversenroa 413, 6103 Pedersen"
"Elise Antonsen"|"Næsssvingen 03, 8147 Haug"
"Stig Haugen-Ruud"|"Pedersenholtet 55C, 8404 Rolfgrunn"
"Laila Gulbrandsen"|"Jensenstykket 299, 0814 Tonefjell"
"Mathias Andresen-Arnesen"|"Mathisenhagen 45, 7995 Thomasdal"
"Ragnhild Ellingsen"|"Eidekollen 71B, 5103 Bøe"
"Frode Arnesen"|"Solbergstien 2, 8212 Øysteingrunn"
"Anne Henriksen"|"Nygårdmyra 51, 0624 Jannevåg"
"Vidar Iversen"|"Sandvikbakken 5, 1106 Stineø"
"Elise Hanssen"|"Tveitkroken 38, 5586 Jacobsen"
"Trine Berntsen"|"Lundstykket 1, 1355 Lunde"
"Alf-Johannes Olsen"|"Jensenflata 16, 4745 Birkeland"
"Nils Hauge"|"Tveitlunden 6, 1579 Heidiberg"
"Alexander Myhre"|"Mathisenspranget 97, 4644 Knutsen"
"Anders Eriksen"|"Birkelandberget 1, 0592 Erikstrand"
"Trond Bøe"|"Ruudmarka 57, 3039 Torbjørnfoss"
"Elin Strand"|"Halvorsenskogen 02A, 4025 Jannesand"
"Adrian Mathisen"|"Kristiansenlunden 2, 1553 Lie"
"Unni Eliassen"|"Simonsenstien 90, 1866 Antonsen"
"Kirsten Danielsen"|"Jenssenekra 1, 4616 Adrianodden"
"Trine Christensen"|"Mikkelsenjordet 9, 2504 Evensen"
"Julie Ødegård"|"Olsenfaret 3, 7855 Solberg"
"Bjørg Abrahamsen"|"Vikflata 9, 5438 Hegestad"
"Åse Fredriksen"|"Christensentoppen 318, 5566 Danielsen"
"Prof. Stian Eriksen"|"Andersenjordet 1, 2507 Madsen"
"Malin-Åse Jensen"|"Eidelia 2, 7633 Evasund"
"Erik Sivertsen"|"Solberggropa 122, 4979 Simenstad"
"Lars Haugland"|"Svendsenflata 44, 6380 Arildås"
"Prof. Øyvind Tveit"|"Strømløkka 6A, 4023 Haugland"
"Cathrine-Nina Moen"|"Andersentjernet 00, 5008 Nilsborg"
"Trine Ellingsen"|"Olsenstranda 04H, 7045 Brekke"
"Magne Bakke"|"Knudsenskogen 19, 6581 Madsen"
"Bente Vik"|"Simonsenstien 93F, 0808 Vik"
"Erling Rasmussen"|"Dahlalléen 86, 7608 Kristiansen"
"Marit Amundsen"|"Isaksenlyngen 44, 9641 Elidal"
"Anita Madsen"|"Næsskroken 6, 9360 Grethemark"
"Ingrid Christensen"|"Andreassenflata 9B, 1469 Fredrikstad"
"Magnus-Vidar Sørensen"|"Jacobsenmyra 85H, 6885 Andresen"
"Sissel Evensen"|"Ødegårdengen 5C, 6710 Martinefoss"
"Adrian Fredriksen"|"Simonsenberget 10B, 6312 Kariøy"
"Trine Hansen"|"Bergealléen 8, 5529 Julieeid"
"Daniel-Tore Gundersen"|"Eidehavna 88D, 2081 Knutsen"
"Vegard Solheim"|"Amundsenspranget 349, 7306 Edvardsen"
"Prof. Kristian Knutsen"|"Jakobsenlia 5, 3061 Øyvindborg"
"Gro Solheim"|"Pedersenmoen 8, 6100 Aasen"
"Rita-Ingeborg Gundersen"|"Thomassenalléen 188, 2219 Nielsen"
"Torbjørn Thorsen"|"Kristensenflata 5G, 7546 Norahelle"
"Andrea Andreassen"|"Evensenplassen 9C, 1800 Idaøy"
"Ole Berg"|"Christensenvika 15, 2319 Ingriddal"
"Ruth Vik"|"Antonsenjordet 66, 0841 Irenefjord"
"Trine Haug"|"Næssstien 3B, 2600 Karolinefoss"
"Stine Ahmed"|"Bakkeåsen 4, 1206 Håkondal"
"Synnøve-Emilie Ellingsen"|"Lienkroken 681, 4768 Aas"
"Martin Eide"|"Næssløkka 342, 0016 Brittås"
"Inger Karlsen"|"Kristoffersenjordet 8, 1493 Henrikfoss"
"Olav-Sigurd Ruud"|"Haugbråten 9, 3046 Bakken"
"Bjørn Danielsen"|"Johnsenstranda 3, 5630 Nygård"
"Markus Lunde"|"Halvorsenbakken 7, 3951 Vegardsand"
"Hege Sæther"|"Abrahamsenhøgda 69, 4103 Erlingø"
"Egil-Sander Strand"|"Eidesvingen 2A, 0815 Bjørgsand"
"Trine Haugen"|"Halvorseneggen 279, 1283 Frodestrand"
"Line-Irene Gundersen"|"Ellingsenmyra 97, 7629 Næss"
"Andreas Antonsen"|"Dahlspranget 78B, 3459 Bakken"
"Joakim Moe"|"Svendsenlyngen 3, 9666 Halvorsen"
"Leif Gulbrandsen"|"Tveitvollen 26, 6478 Egilås"
"Karen-Elise Nygård"|"Evensenmyra 2, 7440 Berntsen"
"Linn Strøm"|"Rønningmoen 59, 5088 Nielsen"
"Trine Halvorsen"|"Madsenhavna 73, 7605 Pettersen"
"Finn Jenssen"|"Kristoffersenberget 65, 9053 Haugland"
"Kristian Brekke"|"Kristoffersenplassen 53, 1121 Lailaås"
"Trine Isaksen"|"Ahmedhøgda 4, 6477 Sivertsen"
"Kristin-Nina Thomassen"|"Haugskrenten 9H, 9049 Andresen"
"Jørgen Ahmed"|"Eidehaugen 5, 4838 Åseodden"
"Markus Svendsen"|"Madsengropa 317, 1742 Janneø"
"Ragnhild Berg-Arnesen"|"Lundehaugen 631, 6973 Sæther"
"Solveig Henriksen"|"Hellandalléen 3, 0875 Sørensen"
"Silje Jørgensen"|"Arnesenjordet 97, 9438 Paulsen"
"Grete Jørgensen"|"Martinsenhagen 1, 6431 Lineøy"
"Simen Haug"|"Johannessentoppen 95, 1121 Myklebust"
"Per Holm"|"Andresentjernet 1F, 3009 Andreassen"
"Trine Paulsen"|"Ahmedvika 4C, 6122 Joakimfjord"
"Randi Jensen"|"Nygårdholtet 6F, 7605 Thorsund"
"Anette Thorsen-Fredriksen"|"Andresenløkka 652, 0897 Magnusborg"
"Rune Hanssen"|"Knutsengrenda 30, 4567 Dahl"
"Kristoffer Fredriksen"|"Berntseneggen 93, 6717 Pedersen"
"Sebastian Paulsen"|"Knutsenberget 9, 1218 Helland"
"Tom Myklebust"|"Jørgensenløkka 4, 8405 Jenssen"
"Mette Rasmussen"|"Strandholtet 65, 9870 Linnstrand"
"Tobias Myhre"|"Engenhøgda 43A, 8039 Karenstrøm"
"Dag Johansen"|"Johnsentjernet 3, 5836 Randistrøm"
"Trine Thomassen"|"Moegata 2, 9954 Turidbø"
"Kristin Sandvik"|"Bøebråten 1, 9078 Jacobsen"
"Karen Helland"|"Hagenskrenten 8A, 0742 Egilstrand"
"Else Martinsen-Holm"|"Brekkelia 8, 5500 Mariannevåg"
"Martine Rasmussen"|"Andreassenløkka 26C, 0653 Eliassen"
"Maria-Anna Engen"|"Paulsenalléen 2, 1509 Danielsen"
"Ingrid Lie"|"Myklebusthøgda 71F, 8079 Christensen"
"Ivar Engen"|"Bergvika 093, 6453 Noragrunn"
"Karoline Helland"|"Thorsenstranda 445, 3391 Håvardeid"
"Laila-Solveig Knudsen"|"Hansenlia 55, 7738 Edvardsen"
"Trond Bakke-Holm"|"Ellingsenvollen 08, 7561 Janneberg"
"Kjell Strøm"|"Sætherkroken 4, 1926 Hanssen"
"Ola Larsen"|"Evensenlyngen 02, 8151 Terjestrøm"
"Nora Moen"|"Bakkenkollen 5E, 8846 Mettebø"
"Markus Strøm"|"Knutsenstykket 70, 9975 Asbjørnmark"
"Christian Olsen"|"Kristiansenmyra 9, 0756 Andresen"
"Alexander Jacobsen"|"Næssåsen 7C, 3598 Monicafjell"
"Lise Kristoffersen"|"Haugtunet 60A, 0877 Annstrand"
"Ann-Reidun Thomassen"|"Strømlia 58C, 6162 Eide"
"Ragnhild Ødegård"|"Vikmoen 83, 3572 Annberg"
"Trond Hagen"|"Bakkentoppen 2, 5543 Kristiansen"
"Roar Mikkelsen"|"Arnesenkollen 3, 6547 Pettersen"
"Rune Fredriksen"|"Solbergbakken 8A, 9110 Berntsen"
"Ann Myklebust"|"Arnesensvingen 930, 4604 Dagnes"
"Emilie Karlsen"|"Eliassenhøgda 20, 3858 Evafjell"
"Morten Ali"|"Haugevika 7, 9887 Ruthsund"
"Einar-Johannes Sørensen"|"Myklebustflata 1F, 1859 Isaksen"
"Kim Jacobsen"|"Kristiansenåsen 9C, 5257 Ahmed"
"Hans Knudsen"|"Berntsenmarka 7, 6196 Jakobsen"
"Leif Sæther-Haugland"|"Sivertsenhøgda 51, 5717 Myklebust"
"Trond Haugen-Andersen"|"Moenløkka 99, 4497 Eliassen"
"Lise Amundsen"|"Abrahamsenlyngen 7, 5194 Knudsen"
"Knut-Finn Jensen"|"Jacobsenvollen 8, 0839 Berg"
"Kjetil Birkeland"|"Bergekra 24, 5187 Arnesen"
"Sebastian Vik-Danielsen"|"Eliassengata 18, 9981 Trinesjøen"
"Espen Mathisen"|"Bakkegjerdet 27A, 1084 Torbjørnsjøen"
"Johan Haugen"|"Halvorsenmyra 4, 5449 Arnesen"
"Eli Helland"|"Liengata 46C, 0621 Vik"
"Sindre Arnesen"|"Pedersenholtet 20, 1648 Jonasnes"
"Nils Myklebust"|"Vikekra 6, 0247 Sondrevåg"
"Trond Mikkelsen"|"Nygårdskrenten 41B, 8933 Egilsand"
"Turid Jørgensen"|"Hauglandflata 13H, 2337 Sarastrand"
"Gunn Strand"|"Andresenplassen 6F, 0231 Andreassen"
"Øyvind Thomassen"|"Vikstien 42B, 2971 Tobiashamn"
"Thor Evensen"|"Isakseneggen 62B, 7101 Simenberg"
"Geir-Eivind Haug"|"Halvorsengrenda 21, 7902 Tveit"
"Kari Haug"|"Lundesvingen 997, 6247 Tommysand"
"Jens Ali"|"Aasstubben 26, 3408 Elinsund"
"Steinar-Ivar Strøm"|"Hagenholtet 63, 3214 Jonasø"
"Astrid Haugland"|"Myhrestykket 22, 9399 Olavø"
"Trond Ruud"|"Edvardsenskogen 7, 6794 Andershelle"
"Stine-Trine Rasmussen"|"Sørensenlia 50F, 5276 Elinsand"
"Gro-Mona Dahl"|"Lienlia 8, 9333 Sandvik"
"Pål Ruud"|"Andreassenmyra 7, 2529 Paulsen"
"Elin Eriksen"|"Ruudlia 9, 1979 Sveinøy"
"Marius Ahmed"|"Sætherengen 9, 6518 Holm"
"Nina-Vilde Nguyen"|"Andersenhagen 9, 6174 Nilseid"
"Berit Helland"|"Alihøgda 4, 3233 Jansjøen"
"Dr. Sander Ahmed"|"Holmtoppen 21G, 3015 Iversen"
"Heidi Moe"|"Eliassenkroken 27D, 4000 Bakken"
"Trond-Sander Knudsen"|"Eliassengropa 58A, 2150 Emilieeid"
"Emil-Ivar Jacobsen"|"Svendsengjerdet 70B, 0398 Lenefjell"
"Nora Moen"|"Andresenflata 5, 3259 Knutsen"
"Line Ahmed"|"Hagenkroken 4, 8222 Svendsen"
"Nora Ellingsen"|"Henriksenkroken 1E, 6303 Oddodden"
"Harald Nilsen"|"Nygårdlyngen 6, 9142 Arneodden"
"Tore Holm"|"Christensenstranda 89A, 4669 Heidifjell"
"Prof. Henrik Tangen"|"Arnesenlunden 2H, 9250 Finnby"
"Cathrine Lunde"|"Myklebuståsen 830, 8338 Halvorsen"
"Per-Jens Strand"|"Nygårdtunet 22, 1397 Martinsen"
"Turid Ahmed"|"Edvardsenlunden 73, 6892 Knutsen"
"Lise-Unni Ruud"|"Bergspranget 19A, 7847 Knudsen"
"Jens Danielsen-Henriksen"|"Antonsenkollen 8, 7551 Andreashavn"
"Stine-Åse Karlsen"|"Pedersenbråten 3D, 5689 Jenssen"
"Tonje Nielsen"|"Thorsentoppen 97, 8206 Lenefoss"
"Britt Brekke"|"Haugeskogen 440, 9631 Johnsen"
"Britt Thorsen-Næss"|"Ahmedtunet 52A, 3467 Einarstrøm"
"Håkon Evensen"|"Sivertsenmyra 1, 7169 Solheim"
"Tobias Tangen"|"Isaksenholtet 089, 6259 Simonsen"
"Torill-Karoline Knutsen"|"Nguyensvingen 7, 5484 Johansjøen"
"Turid Bakke"|"Mikkelsenroa 5, 4374 Evaberg"
"Stian Hauge-Antonsen"|"Jenssenspranget 94A, 6023 Hildeby"
"Bjørn Kristiansen"|"Eriksenholtet 22, 7718 Maridal"
"Marit Haugen"|"Strømflata 2, 0044 Ireneborg"
"Ingrid Jacobsen"|"Lundeberget 6, 3787 Helland"
"Øyvind-Marius Johnsen"|"Paulsengrenda 36, 1378 Alexanderøy"
"Helge Eide"|"Tveitgrenda 6, 2200 Kristoffersen"
"Sindre Ruud"|"Jensenmoen 45, 2481 Haugland"
"Sara Jenssen"|"Hellandberget 2A, 7372 Tovesand"
"Tove Lund"|"Ruudsvingen 91, 7486 Danielhelle"
"Turid Berge-Sandvik"|"Lundetjernet 2, 0838 Myklebust"
"Johan Fredriksen"|"Aasenengen 2, 8336 Robertsjøen"
"Terje Pedersen"|"Aasenmyra 1, 2648 Antonsen"
"Markus Jacobsen"|"Amundsenlia 37, 1067 Hegesund"
"Steinar Andreassen"|"Christensenalléen 6, 8032 Tobiashavn"
"Ida Haug"|"Hagenringen 156, 4735 Lien"
"Stian Danielsen"|"Hauggropa 4, 2737 Bakken"
"Dag-Stig Iversen"|"Haugebråten 4C, 7798 Rasmussen"
"Finn Johnsen"|"Næssgata 1, 2699 Bakken"
"Vilde Hansen"|"Eiderøa 9, 5456 Gretedal"
"Turid Dahl"|"Hansenengen 65, 8794 Evensen"
"Sofie Ødegård"|"Engenekra 32A, 2065 Amundsen"
"Ann Aasen"|"Edvardsenkroken 9, 7097 Malinø"
"Karen Svendsen"|"Kristensenstranda 2D, 4651 Kjetilgrunn"
"Else Gulbrandsen"|"Gulbrandsenjordet 609, 8049 Karolineø"
"Åse Karlsen"|"Eideeggen 8F, 4512 Steinarby"
"Markus Berg-Solheim"|"Mikkelsenbakken 5, 7397 Iversen"
"Kjersti Aune"|"Svendsengata 88, 0416 Eliassen"
"Espen Aas"|"Bakkenalléen 7C, 5834 Kirstenhavn"
"Trond Knudsen"|"Eidetoppen 7A, 2562 Magnesund"
"Turid Mikkelsen"|"Halvorsenåsen 2, 1674 Sørensen"
"Espen Sandvik"|"Lierøa 7, 5685 Lunde"
"May Berge"|"Abrahamsenmyra 08, 0421 Kjellbø"
"Kjetil Amundsen"|"Aliløkka 1, 2733 Eirikberg"
"Ole Aas"|"Nielsentoppen 16B, 9362 Olestrøm"
"Rita Olsen"|"Engenrøa 2, 8406 Thorfjell"
"Turid Brekke"|"Thomassengata 9, 6873 Nygård"
"Trond Brekke"|"Hellandlunden 2, 2339 Sveindal"
"Marius Eide-Halvorsen"|"Rønningskrenten 8E, 2895 Julieby"
"Jørgen Abrahamsen"|"Aasroa 51, 2852 Hildenes"
"Turid Sæther"|"Nygårdtunet 2, 4958 Hildeeid"
"Ida Holm-Knutsen"|"Ahmedstykket 9, 1853 Fredriksen"
"Tore Haug"|"Hansenroa 56C, 2849 Stigstrøm"
"Ivar Strøm"|"Lundflata 9, 8936 Tomhavn"
"Helene Jacobsen"|"Hansentunet 35E, 7322 Paulsen"
"Leif Aasen"|"Kristoffersenplassen 23, 4685 Tveit"
"Siri Jacobsen"|"Aunehøgda 1A, 8884 Idaberg"
"Hege Kristiansen"|"Jenssenløkka 86, 6156 Gerdhelle"
"Sissel Hauge"|"Sørensenflata 9, 3003 Haug"
"Stian-Mathias Madsen"|"Bøebakken 788, 8020 Svendsen"
"Turid-Inger Sivertsen"|"Bøeeggen 475, 0781 Ragnhildmark"
"Per Evensen"|"Tangenroa 018, 7543 Ingerø"
"Roar-Stein Brekke"|"Aaskollen 49C, 0846 Malinfoss"
"Magnus Rasmussen"|"Iversenberget 4B, 2685 Ahmed"
"Dr. Frode Aasen"|"Kristensenstien 9C, 8765 Berg"
"Ingrid Hansen"|"Vikjordet 3, 0123 Dahl"
"Janne Arnesen"|"Martinsenlia 84, 8077 Magnusodden"
"Mette Moe"|"Solbergskogen 977, 5065 Espensjøen"
"Siri Lie"|"Johannessenlyngen 1E, 1874 Mariusø"
"Inger Sæther"|"Halvorsensvingen 1, 8754 Frodefjord"
