"Adrian Aasen","Myklebustflata 540, 1216 Johnsen" 
"Andreas Danielsen","Halvorsentunet 29, 4314 Frankvik"
"Marie Nilsen","Berntsenlia 892, 9870 Kristensen"
"Karl Kristensen","Vikbakken 776, 6151 Andersstrøm"
"Vidar Johnsen-Lien","Thomassenjordet 4, 5015 Steinby"
"Arne-Daniel Knudsen","Karlsengata 06, 5510 Abrahamsen"
"Thomas Andresen","Dahlekra 99, 5201 Haugland"
"Pål Kristoffersen","Madsenhøgda 92, 2419 Sæther"
"Eva Amundsen-Vik","Myhrehagen 1, 7235 Norafjord"
"Magnus Myklebust","Aasenlyngen 6, 8781 Ruud"
"Aud Hauge-Ruud","Myhrelunden 86A, 0422 Thorbø"
"Nina Nygård-Aune","Thorsenskogen 89, 9141 Øysteinberg"
"Frank Jørgensen","Larsenløkka 65A, 1196 Pettervåg"
"Finn-Jon Moe","Hagenhavna 8, 2314 Berge"
"Rolf Jenssen","Solheimlunden 2, 8788 Sandervåg"
"Pål Strøm","Næssstykket 13, 2177 Bøe"
"Thomas Bakken-Madsen","Martinsenhaugen 92A, 2051 Thomassen"
"Gunnar Johnsen","Kristoffersenkroken 11, 1207 Andreassen"
"Maren Jørgensen-Solheim","Tveiteggen 1, 9627 Eriksen"
"Sondre Haugland","Liegropa 571, 0300 Sofieborg"
"Rolf Lund","Bakkentoppen 4, 6550 Robertsjøen"
"Ola Thomassen","Mathisenløkka 590, 8281 Madsen"
"Turid Haugland","Tangenekra 977, 5306 Mathisen"
"Anita Hanssen","Lieplassen 7A, 0124 Arildstad"
"Vidar-Jens Jakobsen","Evensenvika 7B, 1528 Berntsen"
"Arne-Jon Johansen","Abrahamsenmarka 567, 3758 Ahmed"
"Thomas Eliassen","Iversenstykket 54B, 2163 Kristinfjell"
"Christian Lie","Andreassenfaret 07, 1995 Sigurdstad"
"Britt Amundsen","Eidegata 57, 8206 Solberg"
"Karin Hanssen-Sandvik","Kristoffersenberget 9, 8571 Groeid"
"Rune Antonsen","Christensenbakken 1, 6080 Dagbø"
"Karin Nygård","Aasenjordet 61B, 8962 Hagen"
"Dr. Frank Ødegård","Vikkroken 8, 0584 Paulsen"
"Camilla Abrahamsen","Brekkebakken 85A, 7794 Kirstensund"
"Camilla Madsen","Johansenroa 714, 1699 Monicahamn"
"Christian Ruud","Pettersenstien 77, 6943 Thomasstrand"
"Thomas Jacobsen","Jørgensenkollen 3, 0934 Mariaodden"
"Trond Gulbrandsen","Pettersenbråten 71, 1677 Mathisen"
"Hanna Knudsen","Thomassenhaugen 52, 9884 Cathrineborg"
"Adrian Nguyen-Haugen","Svendsenberget 369, 5242 Tonjevåg"
"Sigrid Vik","Alibakken 207, 7753 Johannessen"
"Hans Kristensen","Moemoen 02, 1898 Sørensen"
"Maren Evensen","Bøemarka 6, 0825 Pålmark"
"Liv Bøe","Haugflata 63B, 0085 Hansstad"
"Lars Nielsen","Ruudkollen 6, 6812 Tonjeøy"
"Johannes Eliassen-Madsen","Lundekollen 422, 4669 Sanderhelle"
"Thomas Jensen","Henriksenskogen 37, 8023 Svendsen"
"Turid-Bjørg Haugen","Thomassenholtet 1, 2445 Magnusborg"
"Roy Danielsen","Kristensenspranget 727, 2263 Torillbø"
"Robert Isaksen","Bergringen 90, 5925 Eriksen"
"Marte Myhre","Jacobsengjerdet 25, 8552 Moen"
"Andreas Ellingsen","Sætherjordet 39D, 1298 Elinbø"
"Trond Evensen","Engenhagen 9, 4956 Sondrevåg"
"Robert Sivertsen-Lien","Nielsenplassen 8, 1856 Elsestad"
"Stig Henriksen","Tveitalléen 91, 2239 Gundersen"
"Thor Berge","Ødegårdskogen 6, 5941 Øyvindvik"
"Thomas Nilsen","Brekkestien 127, 3209 Mayås"
"Olav Ødegård","Olsenbakken 9, 4829 Oddås"
"Marit Jensen","Martinsenmyra 110, 9907 Kjerstivær"
"Marte Martinsen","Abrahamsenspranget 43, 2919 Svendsen"
"Dr. Vidar Hansen","Larsenhøgda 3, 9500 Moen"
"Dr. Pål Nilsen","Sørensenstranda 3A, 2434 Lindavær"
"Arne-Sondre Knutsen","Jakobsenflata 3, 5225 Solberg"
"Helge Svendsen","Bergstien 68, 5770 Annafjord"
"Kjell Olsen","Sandvikåsen 86, 3456 Helland"
"Stian Mikkelsen","Olsenspranget 78, 7449 Johnsen"
"Thomas Nilsen","Eliassenekra 901, 2187 Antonsen"
"Anna Larsen","Edvardsenløkka 3, 5958 Mikkelsen"
"Arild-Anders Bakken","Dahlhagen 8D, 3434 Kristianbø"
"Hilde Nguyen","Ruudrøa 4, 2256 Aas"
"Finn Arnesen","Ruudtjernet 13, 1527 Ellenstad"
"Ann Thomassen","Ahmedvika 8, 0038 Leifsjøen"
"Eli Johannessen","Madsenskrenten 22, 8410 Hildebø"
"May Aas","Johansenstykket 1, 8532 Asbjørnø"
"Håvard Hauge-Sørensen","Eidestranda 07, 8374 Bjørnhamn"
"Jon-Alexander Madsen","Birkelandlia 34, 5694 Henriksen"
"Thomas Næss","Jakobsenåsen 7, 4015 Elinstad"
"Eli-Mona Jørgensen","Jakobsenengen 1, 9983 Mariannesund"
"Hilde Evensen","Dahlgropa 63F, 0132 Lailaberg"
"Steinar Nygård-Aas","Lundekroken 54, 2917 Karlsen"
"Elise Knutsen","Eriksenmarka 2, 8080 Johansen"
"Elin-Elisabeth Eide","Evensentunet 6, 3184 Jensstad"
"Asbjørn Bøe","Gundersenroa 8, 4706 Finnby"
"Hege Rønning-Bakke","Haugehøgda 47E, 1307 Camillasand"
"Ivar Haug-Svendsen","Jenssengropa 848, 9656 Steinhamn"
"Arild Nguyen","Hanssenberget 6, 6786 Thomassjøen"
"Thomas Ødegård","Haugenlyngen 24, 4980 Eide"
"Grethe Vik","Hauggrenda 95D, 4163 Randistrand"
"Roy-Robert Jensen","Svendsenmarka 96, 8332 Myhre"
"Kristian Thomassen","Hauglandkroken 8, 5530 Kårehamn"
"Emil Pettersen","Arnesenengen 46F, 9532 Myhre"
"Tonje Gundersen","Jensenringen 07, 1715 Næss"
"Dr. John Hauge","Berntsenstranda 146, 5502 Sveinøy"
"Anne Nilsen","Gundersenåsen 480, 8454 Sisselø"
"Roar-Torbjørn Fredriksen","Kristoffersenrøa 5, 3147 Hanssen"
"Eivind Nielsen","Hanssenspranget 50, 5664 Antonsen"
"Thomas-John Berge","Andresenåsen 8, 2966 Berg"
"Bjørn Tangen","Halvorsenhagen 9, 1117 Iversen"
"Dr. Robert Berge","Anderseneggen 3, 4355 Madsen"
"Gerd Thomassen","Danielsengata 2, 1834 Mettevik"
"Steinar Evensen","Jakobsenkroken 5F, 7727 Eide"
"Reidun Haugland","Bergeflata 05A, 2195 Moen"
"Dr. Emil Bakken","Alijordet 62, 2001 Helgehelle"
"Magnus Pettersen","Andreassentunet 1, 5518 Aune"
"Hanna Henriksen","Haugestien 6C, 5968 Eide"
"Tove-Grete Ahmed","Alibråten 14, 2790 Abrahamsen"
"Thomas-Nils Jensen","Gundersenholtet 64C, 0516 Camillasund"
"Synnøve Amundsen","Rasmussengropa 97F, 0473 Aas"
"Thea Haugland","Vikfaret 7, 1445 Marenvær"
"Grethe Kristensen","Evensenengen 76, 6900 Halvorsen"
"Anders Myklebust","Danielsengropa 3, 5639 Arnesen"
"Sverre Johansen-Berntsen","Thorseneggen 73, 5831 Jennystrand"
"Ruth Holm","Engenengen 07, 9130 Lindavåg"
"Emilie-Laila Jakobsen","Isaksenmoen 34, 5984 Rolfberg"
"Vilde-Gerd Ahmed","Johansenlia 261, 6331 Randistrøm"
"Kjetil Rasmussen","Isaksenmarka 63, 1800 Sirisund"
"Thomas-Sondre Berge","Andersengrenda 070, 7440 Eriksen"
"Odd Kristoffersen","Pedersenengen 82, 4712 Henriksand"
"Petter Berntsen","Martinsenrøa 793, 2846 Steinarsund"
"Leif Knutsen","Jacobsenekra 081, 2762 Lie"
"Adrian Kristoffersen","Andreassenfaret 03A, 8420 Gretheø"
"Julie Ellingsen","Larsenåsen 94G, 0929 Håvardvåg"
"Andreas-Pål Simonsen","Aasenlunden 7, 8510 Danielvær"
"Gerd Karlsen","Kristiansenkollen 69C, 6643 Elsemark"
"Gunnar-Stein Andresen","Haughøgda 63, 8872 Theaby"
"John Johnsen","Abrahamsenbråten 7, 0820 Mariby"
"Thor Abrahamsen-Tangen","Antonsenroa 6, 1433 Thomassen"
"Rune Ellingsen","Ahmedfaret 4, 9219 Olsen"
"Roy-Stein Nygård","Jacobsenrøa 3, 1516 Lindadal"
"Petter-Dag Hanssen","Myhreringen 5C, 2655 Lenestad"
"Trond Isaksen","Karlsentjernet 09, 6826 Beritstrand"
"Morten Sørensen","Hagenstranda 68, 6336 Aasen"
"Ola Hanssen","Holmfaret 21, 1087 Halvorsen"
"Alexander Sørensen","Ødegårdringen 6, 7551 Solberg"
"Helene Fredriksen-Aas","Kristoffersenmoen 6D, 9940 Maritvær"
"Karoline Solheim","Solbergberget 36E, 6393 Pettersen"
"Thor Bakke","Hellandhagen 36, 4757 Brittfoss"
"Prof. Finn Sivertsen","Aasenskrenten 797, 2837 Tobiasbø"
"Dr. Eirik Berg","Hansenringen 674, 4583 Tonjeeid"
"Prof. Kim Lien","Henriksenlyngen 75, 0670 Fredriksen"
"Prof. Markus Helland","Paulsenskogen 321, 8397 Sofievåg"
"Elise Bakke","Knudsenbråten 48, 4523 Halvorsen"
"Gro Gulbrandsen","Solheimhavna 9, 8977 Bakken"
"Erik Hagen","Johansenmarka 8, 2638 Kåreås"
"Knut Nygård-Larsen","Moenbråten 03, 0715 Tomberg"
"Hilde-Ida Larsen","Sætherlunden 94E, 0741 Sivertsen"
"Thor Fredriksen-Vik","Amundsenhavna 68, 2454 Jenssen"
"Hanna Ahmed-Kristiansen","Simonsenstykket 30B, 1831 Helenestrand"
"Heidi Larsen","Lundemarka 317, 9765 Ali"
"Cathrine Andersen","Hanssenberget 6, 4237 Rasmussen"
"Roger Ellingsen","Bergesvingen 1, 0693 Gundersen"
"Torill Jørgensen","Olsentoppen 67, 1930 Petterodden"
"Kirsten-May Andresen","Lienringen 94, 7426 Mathiassand"
"Aud Arnesen","Berntsenhøgda 09, 3561 Lund"
"Linn Johansen","Jacobsenrøa 7, 0288 Evadal"
"Kjersti Olsen","Bakkenjordet 2, 5678 Hauge"
"Thor Gulbrandsen","Auneskrenten 2, 1057 Strøm"
"Siri Ellingsen","Engeneggen 5, 2992 Bjørnfjord"
"Harald-Sindre Ellingsen","Lundbråten 5, 8407 Norasjøen"
"Vilde Pedersen","Madsenlia 3A, 7333 Gulbrandsen"
"Ellen Jacobsen","Ahmedløkka 42C, 5305 Berntsen"
"Sissel-Anette Berge","Tveittunet 599, 8368 Nygård"
"Irene Gulbrandsen","Aunevollen 5, 0185 Myhre"
"Finn Thorsen","Sætherflata 7C, 7842 Isaksen"
"Eivind-Roar Eriksen","Dahlåsen 79, 2690 Andersstrøm"
"Håkon-Terje Kristoffersen","Nilsenfaret 541, 5948 Eriksen"
"Thor Haugland","Engengjerdet 77, 7057 Halvorsen"
"Terje Andresen","Tveitbakken 4C, 7020 Solberg"
"Arne Tveit","Sandvikstien 62, 6741 Solheim"
"Eivind Bakken","Edvardsenrøa 3, 9122 Gerdmark"
"Johannes Aasen","Eidehagen 20H, 6881 Kjetilborg"
"Dr. Jon Christensen","Knudsenåsen 1, 1321 Oddvær"
"Stein Olsen","Johnsenhagen 75E, 6603 Eriksen"
"Rune Amundsen","Pedersenengen 1C, 9084 Larsen"
"Daniel Andresen","Nielsenhaugen 8, 7080 Audfjell"
"Daniel Halvorsen","Nguyenstubben 215, 7927 Brekke"
"Thor Jenssen","Dahlspranget 86, 1055 Janstad"
"Jon Amundsen","Ellingsenskrenten 03, 2853 Sisselfjell"
"Vegard Kristoffersen","Simonsenlyngen 5, 5926 Torbjørnås"
"Odd Aasen","Holmtoppen 9, 6453 Simonsen"
"Elisabeth Henriksen","Bergjordet 659, 2915 Jennyvær"
"Kristoffer Haug","Lienhagen 38, 5262 Dahl"
"Kjetil-Erling Lunde","Thomassenkroken 91, 6114 Holm"
"Torbjørn Moe","Amundsenstien 7, 5182 Lindafjell"
"Eli Aasen","Sæthergata 7E, 2765 Oleås"
"Maren Helland-Halvorsen","Ruudekra 928, 7387 Adrianvåg"
"Thor Johannessen","Eriksenlia 6, 2084 Næss"
"Kristian-Frank Helland","Lienskogen 30D, 7418 Tovestrand"
"Gunnar Danielsen","Jensenløkka 557, 9735 Linnmark"
"Emma Aasen-Johnsen","Kristensenmarka 228, 4787 Tveit"
"Grethe Dahl","Lundehagen 7C, 5408 Holm"
"Irene Eide","Christensenskrenten 09, 4717 Tangen"
"Magne Rønning","Bakkengrenda 02B, 6823 Tangen"
"Mari Lund","Brekkekroken 3F, 2890 Annaby"
"Prof. Jon Jacobsen","Lienhøgda 1, 0252 Helenesund"
"Roy Strøm","Aasløkka 67, 1036 Lunde"
"Thor Kristiansen","Antonsenbakken 3, 6871 Bøe"
"Andrea-Kirsten Johnsen","Ellingsenstien 8, 3921 Irenehavn"
"Håkon Thomassen","Lundevika 12, 2474 Knutsen"
"Hanne Bakken","Liemyra 6, 0808 Leifeid"
"Ragnhild Knutsen","Fredriksenflata 6, 9977 Olestad"
"Liv Antonsen","Solheimfaret 851, 8164 Gulbrandsen"
"Dr. Odd Olsen","Aasengata 89, 2857 Emilievær"
"Astrid Aas","Knudsenroa 892, 6457 Gunnsjøen"
"Nils Sæther","Lundeskrenten 5A, 0230 Gunnvik"
"Hans Eriksen","Madsenbråten 1, 7963 Andresen"
"Thor Lien-Berge","Mikkelsenflata 57A, 5219 Dahl"
"Tonje-Cecilie Hanssen","Karlsenhavna 9C, 8377 Geirvåg"
"Ingrid Christensen","Eriksenlia 68, 6272 Johanneshelle"
"Gerd Eide","Christensenrøa 3, 7548 Roarby"
"Kristian Evensen","Pettersenåsen 2, 3067 Sandvik"
"Elise Bakken","Moegjerdet 51, 4660 Arnesen"
"Petter-Olav Johannessen","Lundekollen 00, 2114 Gulbrandsen"
"Prof. Jon Moe","Andersenskogen 60, 5077 Sørensen"
"Turid Jenssen","Aasenbakken 2F, 6791 Madsen"
"Ole Tangen-Moen","Nguyenkollen 18, 3726 Dahl"
"Thor Nguyen","Strømekra 69B, 5741 Haug"
"Sara Jenssen","Auneberget 3A, 1875 Johnsen"
"Unni Kristoffersen","Thomassenstien 7, 9596 Sindrehavn"
"Tone Vik","Hanssentunet 26, 0318 Jonvær"
"Tom-Vidar Lien","Johnsenbakken 92, 2262 Danielhavn"
"Monica Pettersen","Gundersenplassen 64, 2524 Strøm"
"Bente Amundsen","Fredriksenskrenten 80, 9858 Lund"
"Odd Thomassen","Hauglandberget 28A, 6316 Hansstad"
"Thor Pedersen-Eide","Haugenløkka 8, 9650 Linnstrand"
"Ola Johnsen","Rasmussenstykket 4, 8489 Iversen"
"Thor Pettersen","Iversenbakken 8, 4129 Pedersen"
"Gerd-Eli Edvardsen","Moeskrenten 2, 6712 Haraldstrøm"
"Stian Lie","Mikkelsenalléen 7, 5881 Sandvik"
"Ragnhild Christensen","Nielsenstubben 7, 3800 Karifjord"
"Tone Larsen","Solbergstykket 2F, 3260 Kirstenstad"
"Harald Tangen","Svendsenhavna 74, 6908 Mariefoss"
"Cecilie-Linda Jacobsen","Sandvikgata 44, 6332 Sivvær"
"Stian Andresen","Andresengrenda 947, 4022 Andersnes"
"Solveig Amundsen","Johnsenengen 04, 4678 Sørensen"
"Dag Andresen","Haugefaret 68, 5533 Ali"
"Thor Simonsen","Sætherjordet 5C, 9689 Berntsen"
"Lene Strand","Kristiansenvika 5, 5565 Sivertsen"
"Kari Karlsen","Kristensenspranget 03, 5027 Tomstad"
"Vegard-Kjetil Olsen","Gundersenlia 8H, 0547 Jakobsen"
"Nora Lund","Hauglandlyngen 158, 3873 Haraldborg"
"Jon Ahmed","Mikkelsenbråten 2, 3913 Eirikø"
"Rune Strand","Halvorsenbråten 6D, 7955 Karengrunn"
"Espen Lund","Andersenberget 9, 8029 Helland"
"Tom Andersen-Jensen","Bergelunden 9, 7190 Emmaberg"
"Synnøve Berge","Evensenekra 89, 5156 Sivertsen"
"Thor Strøm-Hansen","Sætherplassen 41C, 5200 Bakke"
"Robert-Joakim Ruud","Knudsenjordet 447, 1659 Rogermark"
"Kjersti-Aud Johnsen","Johannessenalléen 6, 6548 Sørensen"
"Gunnar Lien","Bergvollen 28E, 9035 Jonstrand"
"Prof. Kristian Næss","Nguyensvingen 98, 0243 Arnesen"
"Silje-Sissel Lien","Pettersenbråten 31, 2161 Karlby"
"Stig Sivertsen","Tangenhagen 1, 1315 Emmafjord"
"Magne Strøm","Antonsenhøgda 5, 8849 Hildefoss"
"Liv Lie","Ruudkroken 20A, 3311 Bentevåg"
"Heidi-Rita Andresen","Vikmarka 99D, 0347 Vildehelle"
"Thor Thomassen","Mathisenmarka 4, 7649 Erikgrunn"
"Else Knudsen","Knutsenmarka 07, 1653 Karinstad"
"Vidar Berge","Johansenstien 7A, 0250 Jørgensen"
"Einar Solheim-Christensen","Hellandlyngen 3D, 5906 Håvardfjell"
"Eivind Eriksen","Aunesvingen 44D, 9668 Alexanderø"
"Tore Moen","Evensenskogen 19, 2773 Sivertsen"
"Prof. Ole Tveit","Bergeberget 3, 9719 Holm"
"Rolf Pedersen","Sørensengjerdet 5, 2633 Berge"
"Johan Dahl","Bakkenstubben 81, 4327 Cecilievik"
"Stein Bakke","Pedersenåsen 9, 2209 Hannenes"
"Thor Ødegård","Evensenrøa 7A, 3405 Ellenby"
"Kim Jensen","Knudsenmarka 9, 5482 Thomassen"
"Astrid-Åse Vik","Bergevollen 612, 5815 Marenhelle"
"Anita Haugland","Lienstykket 316, 6750 Annefjell"
"Asbjørn Kristiansen-Olsen","Vikmoen 6, 8599 Moe"
"Hans Haug","Ødegårdstien 35D, 1402 Sigridvåg"
"Gro Strøm","Rasmussenvika 5, 5411 Ellingsen"
"Kari Bakke","Strømtunet 51, 8602 Anitafjell"
"Jørgen-Pål Hanssen","Evensenringen 77, 8724 Berge"
"Petter-Markus Edvardsen","Johnsenmarka 5, 6324 Eivindfjell"
"Thor-Asbjørn Hansen","Halvorsenvika 77, 1096 Arnestrand"
"Espen-Einar Myhre","Mathisentjernet 29B, 1759 Grogrunn"
"Maren Amundsen","Olseneggen 91, 9333 Hansen"
"Cathrine Jacobsen","Arnesenlia 7, 9907 Edvardsen"
"Siv Sæther","Tveitalléen 4, 9147 Svendsen"
"Dr. Kjell Kristiansen","Eriksenholtet 98, 0692 Hildeås"
"Jorunn Hansen","Rønningtunet 499, 4049 Wenchenes"
"Prof. Ola Ødegård","Andreassenkollen 8, 8799 Grethefoss"
"Thor Simonsen","Knutsenkroken 9, 8612 Tveit"
"Anders Tangen","Strandflata 04, 8312 Berge"
"Thor-Trond Evensen","Johansenberget 681, 2067 Danielsen"
"Kenneth-Harald Berntsen","Hagenjordet 713, 8509 Sivøy"
"Mari-Sissel Gulbrandsen","Sørensenvika 82G, 4594 Jørgensen"
"Jonas Jenssen","Kristensengrenda 7C, 5675 Siljesund"
"Sondre-Mathias Nguyen","Strømmyra 294, 1155 Olahelle"
"Vilde Næss-Eriksen","Strømjordet 9, 9984 Ritastrøm"
"Elisabeth Berge","Engenplassen 95, 6057 Hanssen"
"Hans Ruud-Berntsen","Johannessenmarka 87, 3939 Henriksen"
"Laila Karlsen","Jensenbakken 4, 8634 Monicamark"
"Henrik Paulsen","Isaksenlyngen 4, 0653 Amundsen"
"Tobias Aune","Thomassengropa 10, 0295 Holm"
"Linda Haug","Johannessengjerdet 9, 5996 Nygård"
"Siri Ellingsen","Eriksensvingen 6B, 4433 Johannesfjord"
"Magne Ødegård","Dahlskogen 504, 1857 Haugland"
"Martin Johansen","Alivika 3, 4589 Ruud"
"Dr. Sondre Solheim","Birkelandrøa 73, 5966 Tangen"
"Egil Lie","Mathisenvollen 5, 0350 Knudsen"
"Ingrid Hanssen","Myklebusttjernet 4, 4255 Helenesand"
"Harald-Ole Olsen","Arnesengropa 5, 1484 Emmanes"
"Markus-Hans Jensen","Arnesentjernet 98C, 2465 Holm"
"Tobias Berg-Andreassen","Christensenbakken 47B, 7123 Gundersen"
"Petter-Gunnar Strand","Næssvollen 10F, 5861 Pedersen"
"Kari-Wenche Myklebust","Svendsensvingen 70C, 8927 Edvardsen"
"Prof. Karl Tangen","Nielsenhavna 41, 5116 Berg"
"Jenny Ruud","Jakobsenhaugen 1, 5111 Tveit"
"Dr. Martin Arnesen","Christensenstien 50, 6003 Andresen"
"Elise Simonsen-Knudsen","Tveitberget 4E, 6478 Andersfjell"
"Marte Aune","Olsenstykket 01, 2766 Tobiasodden"
"Cecilie Bakke","Andreassenåsen 5B, 0037 Asbjørnsand"
"Martin Aas","Holmtoppen 13, 9652 Rasmussen"
"Tobias Christensen-Andersen","Nguyenalléen 37, 4135 Iversen"
"Torbjørn Jenssen","Moegjerdet 94, 3893 Gunnhamn"
"Ruth Halvorsen","Lundspranget 323, 7740 Sandereid"
"Tove Holm","Jacobsengrenda 63, 2864 Tommystrand"
"Randi Moe","Hellandmyra 60, 7048 Madsen"
"Roy-Håkon Berntsen","Lundholtet 3, 8469 Ahmed"
"Hanne Kristiansen","Myklebustskrenten 6C, 8503 Christensen"
"Håvard Mathisen","Kristensenbakken 4, 5334 Karlsen"
"Sebastian-Hans Strand","Hanssenkroken 7C, 2060 Vik"
"Elisabeth Lie","Amundsenhaugen 48, 7577 Maritstrand"
"Tobias Johnsen","Hellandhagen 4, 0197 Karolinegrunn"
"Emma Eriksen","Solheimåsen 10, 9467 Sarabø"
"Emilie Iversen","Birkelandjordet 63E, 9944 Mariabø"
"Grethe Berg-Moen","Lundegrenda 8, 6876 Heidistad"
"Prof. Knut Evensen","Gundersenkroken 9C, 4749 Vik"
"Rita-Lene Nielsen","Holmkroken 2B, 2728 Haugen"
"Kristoffer Iversen","Olsenmarka 25, 6975 Dagøy"
"Stig Abrahamsen","Anderseneggen 90F, 5136 Stigfjell"
"Inger-Trine Rønning","Hagenvollen 13, 0004 Siriby"
"Kåre-Håvard Haug","Vikskogen 240, 6904 Gunnodden"
"Tobias Lie-Isaksen","Eidevollen 780, 5602 Knutsen"
"Daniel Rønning","Tangenmoen 745, 6859 Lindaås"
"Kjetil Bakken","Jacobsenspranget 7, 1303 Jannegrunn"
"Vidar-Kåre Martinsen","Isaksengjerdet 1, 5693 Svendsen"
"Inger Ruud","Madsenplassen 9C, 8867 Livhelle"
"Eirik Haugen","Danielsenbakken 8, 3364 Ragnhildeid"
"Bente Lie","Næsstjernet 6, 4639 Nilsfjell"
"Siv Helland-Kristoffersen","Kristiansenbråten 9, 7349 Aune"
"Jenny Solberg","Madsenjordet 3, 8098 Jørgensen"
"Grethe Solheim","Arnesenstubben 67, 3532 Rønning"
"Tobias Moe","Myklebustløkka 6, 7875 Pettersen"
"Julie Amundsen","Hanssenmyra 2, 6444 Kennethvåg"
"Malin Martinsen","Nguyenlyngen 8B, 4434 Audeid"
"Sissel Nilsen","Ahmedvollen 9, 6962 Ingridodden"
"Sara Solheim","Strandløkka 25, 6748 Nilsen"
"Stian Jakobsen","Edvardsentjernet 982, 0630 Kristianstrøm"
"Dr. Daniel Haugland","Edvardsenstubben 8, 2047 Unniberg"
"Tommy Moe-Tangen","Madsenvollen 303, 7792 Gunnargrunn"
"Rolf-Adrian Haugen","Andresenberget 4A, 7793 Frankås"
"Hege-Sofie Amundsen","Olsentunet 05, 5918 Hanssen"
"Tobias Sivertsen","Thorsengrenda 2, 2629 Joakimgrunn"
"Håkon Haugen","Isaksenringen 06, 6914 Kirstennes"
"Trine Jacobsen","Engenvika 98B, 4024 Nilsen"
"Elin Holm-Svendsen","Rasmussenspranget 5, 1564 Lunde"
"Ingrid Kristensen-Jakobsen","Kristiansenlia 60, 9440 Andreashelle"
"Olav Antonsen","Thomassenmyra 48C, 8651 Eirikeid"
"Tom-Karl Kristensen","Haugelia 82, 7353 Sisselhamn"
"Bjørg Eriksen","Solheimstien 68H, 0153 Thomassen"
"Cathrine Hauge","Pedersenringen 017, 1797 Andreagrunn"
"Eli-Reidun Mikkelsen","Aasenhagen 29B, 5958 Hanssen"
"Tobias Thomassen","Ellingsenflata 6, 3925 Gundersen"
"Tone Pedersen","Liensvingen 99, 5975 Iversen"
"Martin-Tobias Sørensen","Solbergbakken 1F, 5631 Arnesen"
"Astrid Aasen","Nygårdspranget 385, 5189 Jakobsen"
"Kjersti Rasmussen","Kristensenmoen 1, 6895 Strøm"
"Jørgen Strøm","Arnesenbråten 2G, 1762 Bakke"
"Siv Strand","Jenssentunet 72, 5784 Asbjørnby"
"Kim-Ole Eliassen","Vikgrenda 1, 8692 Kristensen"
"Ellen Ahmed","Knutsenmoen 22, 1858 Linestad"
"Markus Birkeland","Abrahamsenroa 55, 8133 Hansen"
"Tobias Vik","Jørgensenvika 7, 7522 Aasen"
"Mona Haug","Strømskrenten 82B, 5075 Petterfjord"
"Rolf-Eivind Birkeland","Aliskogen 819, 1180 Hauge"
"Dag-Johan Paulsen","Hauglandbråten 598, 8316 Jennyeid"
"Erik Jørgensen","Antonsenstien 08H, 6257 Ruud"
"Magnus Fredriksen","Sætherstubben 8, 1936 Moe"
"Pål Paulsen","Aasmyra 369, 8620 Bakke"
"Tore-Rolf Hanssen","Gulbrandsenlunden 18C, 0407 Berntsen"
"Svein Larsen","Aasmyra 7D, 8032 Svendsen"
"Andreas Aune","Thorsenvollen 65, 7262 Kjetilsand"
"Tobias-Einar Pettersen","Hanssenrøa 61C, 3193 Ahmed"
"Roar Eide","Solheimstubben 38A, 2542 Ali"
"Nora-Silje Iversen","Martinsenvika 1C, 6360 Johansen"
"Magnus Ødegård","Aasengrenda 04A, 0205 Kristensen"
"Stine Lien","Jensenflata 7A, 9489 Øyvindhelle"
"Steinar-Vegard Bakke","Ruudsvingen 1D, 7561 Mortenvåg"
"Laila Berge","Kristoffersenholtet 6B, 3765 Martinsen"
"Terje Isaksen","Mikkelsenhøgda 632, 7907 Olegrunn"
"Kjersti-Lene Aune","Nilsentoppen 11F, 0253 Næss"
"Thomas Knudsen","Pedersenskogen 4, 5888 Mathisen"
"Tobias-Eirik Hansen","Vikholtet 70, 4840 Paulsen"
"Inger Henriksen","Nguyenspranget 80, 2267 Elsehelle"
"Torill-Mette Fredriksen","Jenssenengen 3, 1963 Fredriksen"
"Siri Myhre","Sørensenrøa 02, 1373 Ingerby"
"Prof. Tom Olsen","Nilsensvingen 1, 2504 Olastad"
"John Aune","Rønningrøa 81, 4505 Kristoffersen"
"Grethe Myhre","Aasenvollen 60, 4615 Arildeid"
"Mari Haugen","Strømløkka 98F, 4879 Runesund"
"Karen Amundsen","Pedersenskrenten 5, 0523 Aasen"
"Ivar Larsen","Lundlia 98, 0740 Brekke"
"Tobias-Petter Haug","Aasstykket 2C, 9329 Frankfjord"
"Helge Berg","Haugeberget 567, 5794 Aasen"
"Gro-Anna Holm","Jensenvollen 37F, 7885 Gundersen"
"Turid Antonsen","Karlsenvollen 48, 8653 Antonsen"
"Gunn Bakke","Haugehaugen 202, 9809 Audborg"
"Sverre Rasmussen","Isaksenplassen 98, 9814 Mortenøy"
"Solveig-Marie Andersen","Moemyra 28, 2738 Eivindvåg"
"Anna Hansen-Sæther","Dahlskogen 2, 7466 Martineid"
"Kari Abrahamsen","Alimyra 67B, 7062 Christianhamn"
"Synnøve Mathisen","Johnsentjernet 9, 4637 Kristiansen"
"Tom Brekke","Pettersenbråten 16B, 4254 Madsen"
"Kirsten Myklebust","Pedersenbakken 80F, 6659 Astridstrand"
"Robert Ali","Dahlhagen 366, 7454 Åsevær"
"Maria-Anna Sørensen","Gulbrandsenspranget 17, 2569 Mariesand"
