"Adrian Danielsen"	"Pettersenrøa 36D, 5131 Audeid" 
"Marte-Bjørg Iversen"	"Johannessenstranda 508, 8685 Vildehamn"
"Stian Solheim"	"Hauglandstubben 2, 1846 Steinarvik"
"Lene Lien"	"Gulbrandsengata 43, 2051 Andersen"
"Tor Knudsen"	"Knudsenmyra 378, 8278 Pettersen"
"Magnus Nygård"	"Sandvikmoen 49, 9806 Sigridås"
"Thomas Nielsen"	"Jørgensenringen 7, 1349 Isaksen"
"Else Bakken"	"Strømstubben 70, 4182 Jenssen"
"Marit Dahl"	"Fredriksenbakken 20, 4195 Kjellhavn"
"Morten Birkeland"	"Pettersenringen 757, 9611 Lineodden"
"Julie Halvorsen"	"Bakkegjerdet 2, 0012 Larsen"
"Emma Bakke"	"Danielsenstykket 174, 2019 Annegrunn"
"Ingeborg-Trine Berge"	"Jakobsentjernet 9, 0523 Ali"
"Erling Johannessen"	"Fredrikseneggen 81, 1004 Espenøy"
"Elin Jenssen"	"Madsengata 4, 6209 Birkeland"
"Liv Simonsen"	"Lienhaugen 71, 5297 Aas"
"Thomas Nielsen"	"Rønningjordet 3, 5322 Sveinsund"
"Alf Thorsen"	"Antonsenlyngen 37, 3151 Myklebust"
"Irene Johannessen"	"Gulbrandsenroa 5, 7513 Eliassen"
"Kristin Jakobsen"	"Eliassenlia 36A, 6047 Sivby"
"Heidi Solheim"	"Kristensenengen 1, 0982 Kennethbø"
"Heidi Nguyen"	"Evensensvingen 09C, 0954 Thomassen"
"Knut Danielsen"	"Thorsengjerdet 06, 1406 Sigurdvåg"
"Tom Knudsen"	"Aasenengen 86, 6901 Bjørnodden"
"Sverre-Tom Birkeland"	"Jakobsenåsen 1, 2907 Danielsen"
"Henrik Rønning"	"Haugholtet 877, 0355 Annafoss"
"Thomas Olsen"	"Antonsenmoen 3, 3963 Tomby"
"Grethe Gundersen"	"Svendsenengen 7, 4997 Lie"
"Reidun Andersen"	"Isaksentunet 20, 6470 Eriksen"
"Tonje Kristoffersen"	"Solberghavna 59, 5826 Hagen"
"Sigrid Nguyen"	"Strømgropa 8, 0071 Eriksen"
"Kristian Sørensen"	"Evensenfaret 6C, 2646 Karlsen"
"Camilla Pettersen-Henriksen"	"Sætherhagen 9, 2665 Moe"
"Irene Paulsen"	"Jørgensenlyngen 5E, 1091 Kjetilberg"
"Elin Bøe"	"Sætherbakken 83, 2592 Nilsen"
"Ruth Abrahamsen"	"Myhregrenda 8, 5901 Bentesund"
"Thomas Paulsen-Moe"	"Sandviklyngen 90, 5992 Ahmed"
"Trond Andresen"	"Halvorsenroa 06, 0462 Ellenøy"
"Sondre-Erik Aasen"	"Sæthertunet 55C, 9874 Haug"
"Karoline Jørgensen"	"Andresenlunden 9, 2587 Kjetilfjell"
"Trine Fredriksen"	"Hanssenalléen 204, 6819 Steinarhelle"
"Arne Ellingsen"	"Aasenbråten 312, 3343 Thorvær"
"Kristian Næss-Fredriksen"	"Berntsenmoen 3, 4330 Rogerstrøm"
"Martin Berg"	"Jacobsenroa 6E, 2527 Pålfjell"
"Dag Simonsen"	"Berglyngen 926, 0744 Gunnarfoss"
"Svein Lien"	"Jacobsenrøa 3, 4027 Jakobsen"
"Thomas Thomassen"	"Vikvika 12, 1113 Kristoffersen"
"Nina Andreassen"	"Jørgensenmoen 34, 9248 Malinfjord"
"Tor Jakobsen"	"Fredriksenroa 93, 6400 Juliefoss"
"Hans-Kjell Tveit"	"Mathisenbakken 3, 2053 Hannegrunn"
"Kristian-Alf Abrahamsen"	"Kristiansenbakken 8, 4327 Nielsen"
"Lise Paulsen"	"Ellingsenvollen 285, 8656 Andreasøy"
"Ola Henriksen"	"Moehagen 2, 9162 Jannebø"
"Gunn Gulbrandsen"	"Madsengropa 787, 5865 Mathisen"
"Thea-Elise Berntsen"	"Christensenberget 9, 8722 Kjetilås"
"Irene Aune"	"Tangenskogen 49, 3902 Martinefjell"
"Thomas Tveit"	"Bergrøa 043, 4504 Evastrand"
"Sondre-Sebastian Thomassen"	"Nguyenalléen 8E, 1583 Madsen"
"Dr. Kjetil Eriksen"	"Engengropa 5E, 6106 Eliassen"
"Siri Nguyen"	"Haugengjerdet 5, 9075 Moe"
"Kåre Jakobsen-Jensen"	"Gundersenbakken 65, 1746 Sørensen"
"Egil Halvorsen"	"Sætherhagen 2, 4798 Emilberg"
"Reidun Hansen"	"Aasenjordet 904, 3425 Thoreid"
"Siri Moen"	"Bergkollen 6, 5548 Andreassen"
"Maren Myklebust"	"Ødegårdstykket 2, 5062 Hannanes"
"Nora-Linn Strand"	"Solbergalléen 04, 4809 Strand"
"Thor Abrahamsen"	"Ahmedkroken 9C, 3587 Arnevær"
"Håkon Hanssen"	"Pedersenjordet 4, 1732 Ruthøy"
"Anette Ødegård"	"Ahmedvika 2, 5305 Tommark"
"Nils Bakken"	"Ellingsenskogen 91, 6998 Mikkelsen"
"Rune Paulsen"	"Halvorsenplassen 2, 0337 Tveit"
"Hege Nguyen"	"Nguyeneggen 848, 5132 Trinemark"
"Jan Andreassen"	"Eliassenfaret 4, 9946 Linnvåg"
"Bente Holm"	"Fredriksenstien 42, 5237 Helland"
"Pål Rasmussen"	"Bøefaret 50A, 0916 Erlinggrunn"
"Dr. Magne Larsen"	"Sivertsenalléen 2, 6976 Bakke"
"Thor Andersen"	"Tveitstranda 04F, 9296 Sverrefjord"
"Kenneth Olsen"	"Hanssenstubben 31, 0812 Olavøy"
"Sofie Antonsen"	"Abrahamsenberget 06, 2927 Fredriksen"
"Sander Danielsen-Birkeland"	"Bakkenvollen 2A, 3794 Andreassen"
"Ingeborg Aune"	"Sivertsengata 65, 4121 Pålsand"
"Alexander-Christian Olsen"	"Bakkeplassen 1A, 0476 Ingerfjord"
"Ole-Helge Edvardsen"	"Johnsenberget 82, 8615 Kristiansen"
"Daniel Berge"	"Arnesentoppen 8C, 0215 Nguyen"
"Ingrid Ahmed"	"Isaksenplassen 12, 4640 Sveinstrand"
"Jens Aasen"	"Danielsenbakken 2, 5797 Engen"
"Thor Eliassen"	"Brekkefaret 49, 5397 Dahl"
"Prof. Kristoffer Aasen"	"Ødegårdgropa 85, 1806 Turidfjord"
"Håvard Jacobsen"	"Christensenhaugen 3, 9185 Mikkelsen"
"Arild Hagen"	"Sørensenrøa 18, 6260 Espenø"
"Sondre Ahmed"	"Aasbakken 9, 6505 Janberg"
"Nora Abrahamsen"	"Bakkesvingen 99A, 1959 Malinstrøm"
"Ola Rønning"	"Danielsenberget 1D, 0677 Johnsen"
"Sverre Johannessen"	"Ruudstien 8B, 7474 Lunde"
"Jon Haug"	"Johannessentunet 5, 7410 Bakke"
"Gunn Ali"	"Paulsenhaugen 6C, 5201 Aune"
"Thor Hansen"	"Nygårdalléen 49F, 6319 Sisselø"
"Aud Tveit"	"Evensenhaugen 66, 2061 Emilborg"
"Sara Mikkelsen"	"Edvardsenjordet 7A, 9621 Andersen"
"Jon Fredriksen"	"Johansenholtet 9C, 2691 Strøm"
"Andreas-Ola Isaksen"	"Jakobsenkollen 8A, 7771 Asbjørnby"
"Bente Sandvik"	"Sandvikgata 5C, 2945 Bjørgsand"
"Geir Lunde-Christensen"	"Ødegårdåsen 91, 7559 Sirihelle"
"Jenny Sørensen"	"Jacobsenvika 6C, 9049 Saraby"
"Kjetil Paulsen"	"Tangengjerdet 7D, 1544 Aune"
"Robert Pedersen"	"Edvardsenringen 7, 2707 Sarafoss"
"Thor Hanssen"	"Halvorsenhagen 2, 5737 Erikvåg"
"Alexander-Tor Madsen"	"Eideberget 99, 0022 Myklebust"
"Karin Danielsen"	"Ruudmyra 7, 8351 Sindrefjell"
"Siri Eide"	"Danielsenlia 4C, 3144 Jennystrand"
"Ole Rønning"	"Bakkeberget 13, 3561 Monicahelle"
"Cecilie Johnsen"	"Hauglandlunden 005, 1337 Fredriksen"
"Cecilie Brekke"	"Næssmoen 6, 8952 Monaberg"
"Johan-Rolf Edvardsen"	"Sørensenberget 39, 0967 Solberg"
"Terje Evensen"	"Simonsenalléen 03A, 2701 Unnifjord"
"Anette Olsen"	"Jørgensengropa 19F, 0787 Espenodden"
"Thor Haug"	"Ahmedtunet 54, 1234 Toveø"
"Einar Bøe"	"Nygårdhøgda 238, 3439 Emilstrand"
"Randi Lie"	"Svendsenberget 70, 8808 Turidnes"
"Tore-Martin Ahmed"	"Moensvingen 9, 0809 Olsen"
"Prof. Martin Hagen"	"Kristiansenvollen 98, 1013 Mortenstrand"
"Sigurd-Johannes Danielsen"	"Sivertsenbakken 75G, 0710 Emmavik"
"Jørgen Rønning"	"Iversenløkka 99, 1935 Gundersen"
"Reidun Halvorsen"	"Birkelandlunden 2B, 8399 Martinsen"
"Dr. Vegard Haugland"	"Kristiansensvingen 7, 6172 Pedersen"
"Elin-Emma Johnsen"	"Knutsenholtet 1, 5292 Linnsand"
"Thor Haugen"	"Strandflata 3, 1632 Kristoffersen"
"Per Nilsen"	"Bakkenhavna 82, 7561 Mathiasås"
"Magnus Haugland"	"Jensenkollen 192, 2159 Bøe"
"Aud Helland"	"Karlsengropa 5, 6769 Ivarvær"
"Per Tangen"	"Andersenåsen 6, 2195 Idastad"
"Karin Knudsen"	"Nguyenfaret 5A, 6100 Berge"
"Einar Gulbrandsen"	"Aasenplassen 7, 0105 Larsen"
"Gunn Eliassen-Mathisen"	"Sandvikstykket 83, 2039 Jørgenfjell"
"Elin Hanssen"	"Svendsengata 63, 4488 Kjerstiberg"
"Jan-Svein Lund"	"Moenroa 079, 5566 Kennethsjøen"
"Thor Jakobsen"	"Danielsenstien 4, 3353 Kjetilmark"
"Grete Pedersen"	"Amundseneggen 4A, 2475 Næss"
"Vegard Holm"	"Knudsenalléen 174, 0820 Eriksen"
"Erik Næss"	"Vikstranda 7E, 9392 Holm"
"Kristin Lund"	"Tangenjordet 35, 5675 Tommystrand"
"Monica Sæther"	"Hauglandtoppen 33, 9895 Eriksen"
"Helge Simonsen"	"Iversenekra 8, 9914 Ivarfoss"
"Kåre-Ola Andersen"	"Arnesengjerdet 32, 8001 Christensen"
"Olav Jensen"	"Hansenlunden 34, 3148 Beritstrøm"
"Jenny-Eli Lund"	"Rasmussenalléen 41G, 4785 Karolineodden"
"Thor Johannessen"	"Aunejordet 6, 2224 Haug"
"Harald Moe"	"Abrahamsenkollen 5, 3166 Ingeborgsand"
"Kim Haugen"	"Solheimgrenda 48, 2998 Berge"
"Ingrid Antonsen"	"Paulsengrenda 14D, 7186 Reidunhelle"
"Liv Sæther"	"Eideskrenten 9, 1435 Jørgensen"
"Geir Sivertsen-Hanssen"	"Holmmarka 1, 0942 Vidarhavn"
"Hans Nilsen-Sørensen"	"Hansenkroken 66, 7294 Erlingmark"
"Åse Pettersen"	"Jensenbråten 50, 7877 Ellingsen"
"Sigurd Ahmed"	"Hanssenstranda 5, 4941 Svendsen"
"Arild Mikkelsen"	"Olsenhavna 9, 2769 Martineberg"
"Thor Myhre"	"Strandhagen 158, 5619 Lineby"
"Kristoffer Nielsen"	"Vikåsen 240, 6867 Moe"
"Erik Kristiansen"	"Eideengen 3, 4176 Abrahamsen"
"Silje Eide-Aune"	"Danielsenåsen 661, 0305 Eliberg"
"Svein Ellingsen"	"Nygårdmarka 84C, 5881 Tveit"
"Roy-Stian Brekke"	"Næssrøa 5, 5809 Antonsen"
"Marie Johnsen"	"Moenmoen 7A, 4747 Brekke"
"Jonas Nilsen"	"Sætherbråten 20, 9971 Lailafoss"
"Pål Haug"	"Karlsenmarka 8, 6672 Olevik"
"Jørgen Hanssen"	"Sivertseneggen 45, 5439 Henriksen"
"Thor Nielsen"	"Sætherskogen 025, 7218 Sæther"
"Pål-Joakim Gulbrandsen"	"Hansenplassen 7, 4688 Marengrunn"
"Helge Kristensen"	"Aasenstien 5, 9383 Torhavn"
"Marianne-Mari Strand"	"Solheimsvingen 7D, 8444 Espenstad"
"Nora Jakobsen"	"Rønningringen 13, 5363 Thorsen"
"Marie Mikkelsen"	"Ødegårdkollen 863, 4706 Rønning"
"Eirik Ahmed"	"Haugroa 45, 7686 Steinvik"
"Jorunn Hauge"	"Tangenhaugen 99, 5616 Torilløy"
"Tone Nilsen"	"Halvorsenstien 2, 9234 Runegrunn"
"Wenche-Inger Bakken"	"Nygårdholtet 9, 4193 Gundersen"
"Thor Pettersen"	"Abrahamsenskrenten 7, 5669 Nilsen"
"Monica Jørgensen"	"Amundsenringen 98, 3892 Bakken"
"Prof. Stig Ødegård"	"Eliassenstranda 3, 6238 Hegeøy"
"Kenneth Svendsen"	"Rasmussenskrenten 36, 1235 Sverrehavn"
"Trond Hagen"	"Henriksenstranda 9, 7437 Ellenfjell"
"Roy Svendsen"	"Nielsenskrenten 85H, 1923 Lie"
"Henrik Ruud"	"Halvorsensvingen 7, 3126 Anettefoss"
"Magnus-Harald Amundsen"	"Evensenrøa 731, 5019 Andreavik"
"Eli Christensen"	"Næsstjernet 432, 3574 Royvær"
"Astrid Hauge"	"Myhretjernet 81, 2180 Frodehavn"
"Thor-Finn Tangen"	"Andersenholtet 9, 4214 Ødegård"
"Pål-Helge Lie"	"Danielsenmoen 7A, 4059 Alfby"
"Magnus-Adrian Ruud"	"Andersensvingen 7, 1231 Larsen"
"Hanna Ruud-Karlsen"	"Berntsenmarka 5, 2708 Ingridmark"
"Egil-Eirik Rasmussen"	"Sætherekra 52, 1172 Magnusdal"
"Thea Madsen"	"Nguyenroa 7F, 4042 Håvardgrunn"
"Kåre Sandvik"	"Næssvika 5A, 9007 Adriansund"
"Finn Strøm"	"Nygårdeggen 59, 9891 Lineborg"
"Lars-Joakim Lie"	"Liehaugen 5, 7981 Tangen"
"Sverre-Espen Antonsen"	"Ahmedlunden 8, 2987 Myhre"
"Thor-Odd Engen"	"Ødegårdeggen 41, 7917 Tomfoss"
"Gerd Haug"	"Rasmussengata 45, 9035 Jørgenfjord"
"Anette Sivertsen-Antonsen"	"Dahlekra 60B, 7435 Mathisen"
"Nina Edvardsen"	"Lieberget 06, 2144 Ruud"
"Camilla Johannessen-Abrahamsen"	"Solheimkollen 2, 1007 Jensmark"
"Kim Evensen"	"Antonsenspranget 30, 9752 Helland"
"Vidar-Helge Christensen"	"Dahlekra 4, 4212 Grethefjord"
"Marit Strøm"	"Eriksenskogen 8, 6314 Livøy"
"Aud Henriksen"	"Haughavna 31, 9002 Hansen"
"Elise Jørgensen-Bakken"	"Nielsenplassen 3, 4500 Ødegård"
"Tobias Andersen"	"Aasrøa 5B, 0711 Markushelle"
"Vegard Ali"	"Myhretjernet 1C, 9119 Perby"
"Joakim-Kjell Rønning"	"Nielsenstubben 6, 5805 Iversen"
"Grete Hansen-Eliassen"	"Bøeeggen 30, 4531 Svendsen"
"Monica Sandvik"	"Gundersenstykket 8, 7784 Eide"
"Svein Bakken"	"Amundsensvingen 88, 6962 Heidistad"
"Terje Eriksen"	"Karlsenstien 5A, 1682 Sigridås"
"Rita Rasmussen"	"Strømlia 6, 4547 Grohavn"
"Finn Eliassen"	"Jenssenkroken 41A, 8692 Audvik"
"Emil Brekke"	"Martinsenåsen 4, 0579 Berntsen"
"Tobias Aune"	"Bakkenplassen 1, 0605 Sofiestad"
"Grethe Hanssen"	"Solbergrøa 9C, 5342 Leiføy"
"Malin Eide"	"Moenlyngen 3, 8466 Danielfoss"
"Sofie Solberg"	"Hagenflata 60, 1789 Audfoss"
"Espen Jørgensen"	"Haugengropa 68, 9421 Knutnes"
"Robert Tveit"	"Mathisenhavna 95H, 4957 Håvardhelle"
"Ragnhild Isaksen"	"Knudsenvollen 8, 9796 Mathisen"
"Inger Jenssen"	"Liestien 1B, 1321 Rønning"
"May Ahmed"	"Dahlstykket 8, 0032 Kjerstivik"
"Anne Haugen"	"Pettersenlyngen 8B, 8423 Jensby"
"Tobias Berg"	"Kristiansenvika 87, 1110 Myhre"
"Alexander-Adrian Henriksen"	"Gundersenroa 7, 3996 Solberg"
"Dr. Andreas Pettersen"	"Thorseneggen 09E, 1882 Nilsen"
"Johannes Brekke"	"Abrahamsenløkka 87H, 6568 Mariusodden"
"Tom Nguyen"	"Martinsenmarka 8, 5748 Sveinø"
"Sander Kristoffersen"	"Bakkesvingen 8, 7564 Rønning"
"Geir-Jens Haug"	"Olsengjerdet 122, 1610 Mariaodden"
"Elise Thomassen"	"Pedersengjerdet 1, 0852 Jakobsen"
"Emma Svendsen"	"Bergefaret 3, 2450 Stianhavn"
"Ruth Tveit-Moen"	"Gundersenlyngen 5A, 3234 Andersen"
"Tobias Fredriksen"	"Hellandløkka 37, 0061 Strand"
"Tommy Tveit"	"Haugebakken 5, 9309 Kristiansen"
"Jenny Rønning-Nygård"	"Andersentjernet 84F, 9334 Bakken"
"Solveig Jensen"	"Thomassenbakken 6, 7427 Solberg"
"Karl Andreassen"	"Jenssengata 964, 1500 Espensand"
"Grethe Evensen"	"Paulsenlunden 04, 7512 Jorunnsand"
"Nora Nilsen"	"Gundersenmoen 2, 0987 Lund"
"Bente Haug"	"Aashavna 941, 6986 Lund"
"Prof. Øyvind Amundsen"	"Edvardsenløkka 50F, 0474 Monahavn"
"Simen Lie"	"Pedersenalléen 78, 8306 Bakke"
"Tobias Hagen"	"Andersenstubben 5C, 0196 Karinmark"
"Leif Mikkelsen"	"Jensenrøa 6, 3889 Lailafjord"
"Sander Jensen"	"Mathisenåsen 4, 8536 Rasmussen"
"Gunnar Tveit"	"Karlsenengen 27, 8261 Næss"
"Kristine Rasmussen"	"Eidegrenda 27F, 3092 Janneberg"
"Berit Kristoffersen"	"Johansengropa 5B, 7744 Dahl"
"Markus Strand-Sørensen"	"Hauglandlia 04, 2177 Tangen"
"Kjell Danielsen"	"Paulsenholtet 31, 3793 Haugland"
"Kjetil Aasen"	"Knudsenlunden 2, 8280 Johannessen"
"Kjell Solheim"	"Simonsenberget 32, 2057 Jonasdal"
"Tobias Hansen"	"Mathisenbråten 40C, 6276 Myklebust"
"Sebastian Haugen"	"Nilsensvingen 69, 5063 Tomstrand"
"Hilde Bøe"	"Aunemarka 32H, 1212 Nielsen"
"Kristoffer Lund"	"Moenbråten 74B, 1412 Mathisen"
"Einar Strøm"	"Christensenfaret 7, 5329 Andersen"
"Olav Myhre"	"Birkelandvika 87, 8737 Helgeberg"
"Karen Gulbrandsen-Rønning"	"Rønningplassen 45, 3807 Theaberg"
"Stig-Morten Karlsen"	"Myklebustfaret 25A, 2508 Andersen"
"Astrid Sæther-Nilsen"	"Sørensenjordet 5, 6659 Ingridfoss"
"Lene Iversen"	"Thorsenskogen 2, 7086 Sandvik"
"Tobias Jacobsen-Myklebust"	"Jacobsenvika 283, 8145 Solheim"
"Geir Solheim"	"Solheimlia 03E, 8304 Åsestrand"
"Dr. John Knudsen"	"Iversengropa 013, 8000 Dahl"
"Per Svendsen-Sæther"	"Bakkenmarka 3, 2363 Christensen"
"Ola Jacobsen-Jacobsen"	"Kristiansenrøa 9, 1887 Kristinefoss"
"Tommy Andresen"	"Nielsengrenda 113, 5724 Karinås"
"Marianne-Eva Sivertsen"	"Eidelia 99D, 9365 Andersen"
"Unni Hagen"	"Hansenskrenten 5, 4231 Amundsen"
"Ann Bakke-Mikkelsen"	"Haugeeggen 16, 9487 Jørgensen"
"Elise Solberg-Bakken"	"Bøevollen 84B, 8803 Pedersen"
"Tobias Karlsen"	"Kristiansentunet 59, 1219 Madsen"
"Leif Hanssen-Edvardsen"	"Knutsenvika 2, 5038 Bakke"
"Gunnar Haugland"	"Moeløkka 32, 9514 Kimstad"
"Jens Madsen"	"Madsenrøa 3, 7386 Madsen"
"Daniel Hanssen"	"Sandviksvingen 616, 9483 Simenø"
"Gunnar Thomassen"	"Sivertsenalléen 18, 8505 Hanssen"
"Kenneth Lien-Myklebust"	"Nielsenstubben 5B, 4979 Danielsen"
"Gro Mikkelsen"	"Lundetunet 7, 8281 Camillaby"
"Elisabeth-Kjersti Kristiansen"	"Myklebusttunet 52, 9500 Kjellstad"
"Bjørn Holm"	"Johnsentoppen 005, 6643 Hanssen"
"Tobias Lien"	"Nguyenjordet 7, 6366 Johansen"
"Anita Myhre"	"Moeskrenten 8, 7614 Nguyen"
"Sander Hauge-Tangen"	"Mathisenhavna 94, 7891 Solheim"
"Lene Arnesen-Johansen"	"Solbergstubben 25F, 1423 Edvardsen"
"Roy Kristiansen-Jensen"	"Gundersenmoen 8, 3127 Runevåg"
"Dr. Marius Bakken"	"Knutsenringen 21, 3406 Lund"
"Ellen Ali"	"Mathisengata 04A, 5472 Karolineeid"
"Kristian Sæther"	"Pedersenlunden 695, 2795 Heidivåg"
"Hanne Birkeland"	"Knutsenkollen 80, 4671 Einarborg"
"Mari Thomassen"	"Strandgjerdet 2B, 4757 Lund"
"Tobias Myhre"	"Eriksentjernet 720, 7757 Myklebust"
"Siv Pettersen"	"Mathisenbakken 300, 0779 Tangen"
"Liv-Astrid Jenssen"	"Strømspranget 9, 7587 Mariusstrand"
"Terje Sørensen"	"Danielsenlyngen 9A, 5599 Strøm"
"Ragnhild Moe"	"Dahlhagen 655, 0913 Hanssen"
"Laila Ruud"	"Johansenberget 36, 4272 Sørensen"
"Mette Sørensen"	"Henriksenvika 9, 8754 Danielsen"
"Tonje Hagen"	"Johannessensvingen 8, 3639 Andreassen"
"Johan Bøe"	"Dahlekra 324, 8743 Jakobsen"
"Sverre Olsen"	"Hauggjerdet 001, 9557 Jørgensen"
"Tobias Strand"	"Arnesenringen 4, 7090 Hanssen"
"Linn Ruud"	"Hansenmarka 12A, 4316 Frodehelle"
"Asbjørn-Jørgen Abrahamsen"	"Solbergstranda 2, 6960 Trinesund"
"Mette Nilsen"	"Moenlyngen 2, 7959 Bakke"
"Stein Aas"	"Nilsenstubben 695, 4116 Sivertsen"
"Odd Halvorsen"	"Christensengata 07, 8468 Olsen"
"Prof. Tom Kristensen"	"Sørensenjordet 30, 9686 Øyvindby"
"Emma Andreassen-Abrahamsen"	"Hellandvollen 5, 9544 Sandvik"
"Tone Haugen"	"Brekkebråten 788, 6884 Dahl"
"Maria-Ellen Pettersen"	"Jakobsenplassen 2, 2664 Aune"
"Tobias-Alexander Nielsen"	"Knutsenvika 37, 3920 Erlingsand"
"Jan Mikkelsen-Jørgensen"	"Moenkollen 3B, 4095 Siljevik"
"Ivar Myhre"	"Bakkengrenda 87, 8583 Danielsen"
"Dr. Alf Danielsen"	"Nielsensvingen 23, 7100 Johannessen"
"Alf Abrahamsen"	"Johannessenvika 61, 0838 Egilvåg"
"Reidun Nygård"	"Berntsenskrenten 73A, 8908 Gerdgrunn"
"Karoline Birkeland"	"Pettersenholtet 6H, 4468 Beritstrøm"
"Heidi Karlsen"	"Rasmussentunet 38, 3299 Vik"
"Erling Berntsen"	"Svendsenengen 69, 5744 Ragnhildfoss"
"Steinar Sandvik"	"Bakkenlia 2, 8602 Vildesand"
"Tobias-Stig Vik"	"Iversenskogen 2, 3881 Bøe"
"Henrik-Øystein Brekke"	"Hanssenbråten 6A, 2443 Næss"
"Sissel Martinsen"	"Johansengrenda 5, 4977 Marihamn"
"Linn Ali"	"Bøestranda 995, 0619 Berg"
"Markus Jensen"	"Myklebustvika 2, 0382 Elinstrand"
"Emil Olsen"	"Hagenskogen 82, 1427 Holm"
"Rita Eliassen"	"Myklebustkroken 82, 1592 Finnstrand"
"Øystein Berntsen"	"Kristensenspranget 01, 1283 Espenby"
"Leif Engen"	"Eideholtet 2H, 4241 Fredriksen"
"Maren Andreassen"	"Antonsenstubben 88E, 7821 Christensen"
"Tom Aas"	"Liegrenda 84, 5629 Solheim"
"Janne Rasmussen-Lunde"	"Jørgensentunet 8, 0895 Pedersen"
"Bente Sæther"	"Hellandgrenda 825, 0226 Simenodden"
"Thea Berntsen"	"Thomassenhøgda 3, 0437 Myklebust"
"Dr. Johannes Kristiansen"	"Pettersentoppen 8, 3704 Amundsen"
"Eirik Svendsen"	"Andreassentjernet 9, 5402 Berge"
"Torill Engen"	"Fredriksenjordet 2, 9462 Karigrunn"
"Per-Petter Vik"	"Tveitjordet 57, 5491 Monavåg"
"Maren Arnesen"	"Simonsenskogen 5D, 9353 Karlsen"
"Sara Edvardsen"	"Hellandvika 87A, 7376 Lisedal"
"Tom Ahmed-Gundersen"	"Gulbrandsenmoen 2F, 1567 Kirsteneid"
"Emma Ahmed"	"Berntsenlyngen 8, 6092 Hagen"
"Anna Myklebust"	"Martinsenhagen 4, 0141 Ruud"
"Jenny Gundersen"	"Moenkroken 16E, 7597 Hansen"
"Jan Simonsen"	"Andreassenskrenten 9, 8718 Gretesand"
"Finn-Egil Madsen"	"Madsenkroken 6, 7639 Mikkelsen"
"Cecilie Edvardsen"	"Jørgensengrenda 1, 6781 Turidgrunn"
"Sindre Aune"	"Johnsenbråten 492, 8677 Halvorsen"
"Kim Gulbrandsen"	"Bergmyra 88, 4389 Evensen"
"Prof. Nils Antonsen"	"Vikberget 005, 5641 Ellingsen"
"Tom Lien"	"Knutsenlia 8, 1594 Karlsen"
"Marius Paulsen"	"Næssroa 6B, 2345 Fredriksen"
"Berit Hauge"	"Dahlkollen 49E, 5939 Paulsen"
"Ragnhild Simonsen"	"Vikgata 2C, 9026 Trondsjøen"
"Nora Sørensen"	"Bøelyngen 94, 4468 Vik"
"Karen Jacobsen"	"Knudsenåsen 3, 3615 Johannessjøen"
"Morten Antonsen"	"Martinsenringen 75, 1357 Berge"
"Sofie Evensen-Lien"	"Jakobsenflata 3, 2874 Torås"
"Kåre Berntsen"	"Johannessenhaugen 72C, 0399 Ødegård"
"Eli Paulsen"	"Bergeggen 01, 1214 Frodesund"
"Tom Lund"	"Johannessenstubben 8, 0292 Eliassen"
"Eivind Simonsen"	"Mikkelsenhavna 89, 9037 Hagen"
"Cathrine Helland"	"Eriksentjernet 08E, 8431 Nguyen"
"Johan-Simen Ødegård"	"Jørgensenhagen 2C, 5682 Lund"
"Kristian Antonsen"	"Bøeplassen 5B, 3689 Berntsen"
"Lise Madsen"	"Birkelandtjernet 7E, 2713 Ruud"
"Sara Madsen"	"Eliassenmoen 3, 6124 Gunnhamn"
"Liv Nielsen"	"Knutsenlia 5H, 1261 Øysteinfjell"
"Kjersti Henriksen-Martinsen"	"Johansenlunden 8, 4146 Paulsen"
"Gunnar Bakken"	"Henriksengata 128, 3323 Mikkelsen"
"Tom Nguyen"	"Madsenskrenten 6, 3653 Ireneby"
"Kjersti Haug"	"Martinsenhavna 086, 6297 Vegardhamn"
"Kjersti-Elise Andresen"	"Moeringen 328, 8088 Haug"
"Britt Olsen"	"Bergstranda 5, 3551 Knudsen"
"Unni Aas"	"Alibakken 10, 4077 Evahamn"
"Elise Lie"	"Solbergmoen 21, 1346 Brekke"
"Ellen Jensen"	"Fredriksenkollen 494, 4504 Engen"
"Sara-Hilde Jørgensen"	"Haugegrenda 52C, 5228 Perfjord"
"Thea Mathisen"	"Thomassenspranget 5, 1167 Terjevik"
"Asbjørn Simonsen"	"Arnesenlyngen 64, 3618 Iversen"
"Tommy Abrahamsen"	"Sandvikstubben 9, 3265 Kjellgrunn"
"Sondre-Alexander Johnsen"	"Aunemyra 98, 4800 Henriksen"
"Martin Lunde"	"Moeroa 539, 0022 Erikhavn"
"Trine Bakken"	"Hagenhavna 8, 6777 Sivertsen"
"Camilla Bakke-Berg"	"Pettersenlunden 027, 2976 Gunnarøy"
"Jens Solberg"	"Iversenekra 6, 2180 Stigø"
"Gerd Martinsen-Martinsen"	"Dahlmyra 065, 1718 Mariastrand"
"Berit Rasmussen"	"Paulsenstubben 2, 0347 Jonashavn"
"Arne-Ole Tveit"	"Liestubben 9, 9627 Solveigberg"
"Eva Berge"	"Kristiansentjernet 043, 3508 Mortennes"
"Tommy Arnesen"	"Lielunden 81, 5278 Jenssen"
"Lars-Kristian Fredriksen"	"Madsenskrenten 8, 2390 Helland"
