"अंजली अहेरजी","599 चव्हाण
नवी मुंबई-385520" 
"श्रीमती उमेश आगरकर","85/042 कुलकर्णी
रत्नागिरी-134085"
"अनुष्का कोल्हेजी","321 जाधव
अहमदनगर 866418"
"रेणुका पवारजी","86/0838 गवळी
बीड-149968"
"प्रशांत जगताप","78/6338 कांबळे
उस्मानाबाद-723577"
"गौरव जाधव","338 साळुंखे
धुळे-812354"
"कुमारी हर्षद महाजन","5 माधुरी गवळी
सोलापूर-940118"
"श्रीमती प्रवीण सावंत","52/305 अरुण शिंदे
अकोला 434139"
"श्रीमती गौरव फडके","2781 जाधव
अहमदनगर 509114"
"गणेश माने","938 पवार
अमरावती-823343"
"रीमा कांबळे","2/5 कोल्हे
बीड 521739"
"श्रीमती गौरव सावंत","602 माने
मिरज-359207"
"चेतन साने","05/778 साने
मिरज 173466"
"अमित देशपांडे","80/199 चव्हाण
नांदेड 254059"
"श्री निलेश देशमुख","271 गौरी साने
जळगाव-911069"
"नेहा ठाकूर","6/4 साळुंखे
अकोला 141729"
"उमा भोसले","66/2093 रीमा मोरे
रत्नागिरी-490228"
"श्रीमती स्मिता मोरे","34/8679 आकांक्षा कोल्हे
सांगली 944736"
"श्रीमती गौरव महाजन","12/42 मंगेश गायकवाड
सोलापूर-287093"
"श्रीमती ज्योती देशपांडे","9/9 उमा शिरसाट
उस्मानाबाद-023785"
"श्री स्वाती साळुंखे","22/92 शिरसाट
कोल्हापूर 939957"
"पूजा शिरसाटजी","45 मीनल माने
गोंदिया 503062"
"कैलास ओकजी","265 पंकज चव्हाण
यवतमाळ-697287"
"अपर्णा चौगुले","87 अमित पाटील
कोल्हापूर-748302"
"सचिन आगरकरजी","6 भोसले
चंद्रपूर 485157"
"श्री माधुरी कोल्हे","2434 माने
पुणे 178273"
"अशोक सानेजी","9613 गणेश साळुंखे
चंद्रपूर 473858"
"अमित शिंदे","015 आगरकर
अकोला-988162"
"श्रीमती गौरव शिरसाट","695 गवळी
बीड-393877"
"श्रीमती अमित चव्हाण","40/195 हर्षदा चौगुले
यवतमाळ 770749"
"श्रीमती उमेश ठाकूर","8/4 गौरी साने
सातारा-651189"
"कल्पना सावंत","5710 चव्हाण
सांगली-112183"
"अमित कोल्हे","75 जाधव
हिंगोली 870772"
"कुमारी दीपक सावंत","911 आकाश मोरे
अमरावती-399792"
"कुमारी नेहा कोल्हे","0 कांबळे
मिरज 868857"
"श्रीमती दीपाली ठाकूर","0262 साळुंखे
धुळे 741540"
"अमोल ठाकूरजी","6 अहेर
नांदेड 788876"
"कुमारी पंकज माने","4/3 साने
वसई 590314"
"श्रीमती चेतन कदम","15/6496 जगताप
अहमदनगर-804769"
"धनंजय पवारजी","39 राऊत
पुणे 581726"
"कुमारी पल्लवी देशपांडे","7810 कदम
अहमदनगर-027767"
"दीपक पाटील","223 मेघा गायकवाड
बीड-723234"
"अमोल माने","734 उमा जगताप
उस्मानाबाद-216839"
"दत्तात्रेय देशपांडे","74/6005 पवार
पुणे-343202"
"मंगेश देशपांडेजी","41 सुनील सावंत
रत्नागिरी-978514"
"मकरंद चौगुले","0906 जोशी
नाशिक-408243"
"विवेक शिंदेजी","11/407 ठाकूर
मिरज-173333"
"श्रुती आगरकर","7 कीर्ती जाधव
अकोला 976328"
"श्रीमती चेतन ठाकूर","82/91 शिंदे
कोल्हापूर 569830"
"कुमारी सुरेश सावंत","80/658 चौगुले
रत्नागिरी-631864"
"जितेंद्र मानेजी","2 पाटील
अमरावती-870391"
"कुमारी संदीप शिंदे","76/6912 स्वाती कोल्हे
नांदेड 745004"
"निखिल देशपांडे","0685 मंगेश ठाकूर
लातूर-278345"
"माधव राऊतजी","0/3 ठाकूर
यवतमाळ-007915"
"श्री विवेक देशपांडे","40/1054 चौगुले
लातूर-470487"
"मानसी पाटील","6320 साने
परभणी-220912"
"दीपक शिंदे","95 नेहा शिरसाट
लातूर 318578"
"आकाश चौगुलेजी","01 राऊत
हिंगोली 514411"
"श्रीमती चेतन देशपांडे","55/3536 इशिता ठाकूर
लातूर-345471"
"अभिषेक भोसलेजी","20/142 ईश्वर शिंदे
नाशिक-953211"
"श्रीमती अभिजीत कुलकर्णी","2 मंगेश चौगुले
मुंबई 907947"
"श्री माधव फडके","05/9307 देशमुख
अकोला 584663"
"श्रीमती गौरव आगरकर","3/8 इशिता अहेर
रत्नागिरी-543601"
"श्रीमती कल्पना चव्हाण","08/331 अहेर
लातूर 754706"
"दीपाली पाटील","86 जगताप
लातूर 824558"
"पंकज आगरकर","2/5 पल्लवी कदम
अहमदनगर-101805"
"गौरव पवारजी","9053 देशपांडे
बीड-278054"
"श्री अनिल शिरसाट","74/310 शिंदे
हिंगोली 423445"
"श्रीमती चेतना पवार","2/4 मानसी देशमुख
सातारा 174726"
"कुमारी सुरेश कोल्हे","69 कोल्हे
नवी मुंबई-906919"
"सचिन राऊतजी","85/8367 मेघा भोसले
नांदेड-118960"
"श्री विनायक गायकवाड","91/16 अमित राऊत
जळगाव-778694"
"स्नेहा कोल्हे","1774 स्वाती भोसले
नांदेड-031638"
"स्वाती देशपांडेजी","0411 मोरे
सांगली 758241"
"श्रीमती उमा फडके","59/7429 सचिन माने
पुणे 884943"
"श्रीमती हर्षदा महाजन","3012 प्रिया राऊत
अकोला-190443"
"श्री माधव गायकवाड","79/6814 इशिता मोरे
रत्नागिरी 935488"
"श्रीमती माधव चौगुले","39/4327 विवेक साने
सोलापूर 568155"
"श्रीमती जितेंद्र कांबळे","72/22 अनिल शिरसाट
अहमदनगर-081032"
"रेणुका चव्हाण","04/9254 फडके
गोंदिया-037300"
"श्री वैशाली साळुंखे","38/396 अहेर
सांगली-657024"
"श्री कविता कांबळे","09/2058 अहेर
बीड-593222"
"धनंजय फडके","81/339 गवळी
औरंगाबाद 440210"
"अपर्णा देशपांडे","75 शिल्पा जगताप
नाशिक-037894"
"अमित ओक","4/7 निखिल देशपांडे
नवी मुंबई-230885"
"गणेश जगताप","38/4577 ईश्वर जाधव
उस्मानाबाद 001478"
"गौरी ओकजी","8 कैलास महाजन
सोलापूर 573870"
"प्रिया गवळी","81/723 विकास जाधव
सांगली-116068"
"श्रीमती जितेंद्र जगताप","05 आगरकर
पुणे-817276"
"गौरी कोल्हेजी","2/3 दत्तात्रेय कुलकर्णी
यवतमाळ-268348"
"श्रीमती आकांक्षा देशमुख","6/2 समीर कदम
रत्नागिरी-686691"
"कुमारी चेतन भोसले","50/090 स्वाती कांबळे
चंद्रपूर-719200"
"स्नेहा ओक","1601 धनंजय ओक
नांदेड 706166"
"समीर मोरेजी","901 राहुल जोशी
परभणी-672303"
"सचिन अहेर","47/2580 गौरव जगताप
औरंगाबाद-569467"
"दत्तात्रेय पाटीलजी","0 ईश्वर कांबळे
सातारा-076430"
"आकाश माने","7428 कांबळे
उस्मानाबाद 486231"
"अनिता देशपांडेजी","47 प्रशांत गायकवाड
नाशिक-733879"
"श्रीमती जितेंद्र ठाकूर","5/3 राऊत
पुणे 208194"
"चेतन मोरेजी","88/305 ईश्वर कदम
नांदेड 076561"
"धनंजय देशपांडे","9030 जोशी
सोलापूर-248501"
"दीपाली महाजन","60/484 ठाकूर
नागपूर 234681"
"कुमारी रेणुका देशमुख","30/36 पाटील
धुळे-513490"
"कुमारी सचिन शिरसाट","09 कोल्हे
मुंबई 271574"
"मकरंद माने","7022 मोरे
सोलापूर 661424"
"कुमारी मंगेश कुलकर्णी","04/4664 देशमुख
औरंगाबाद 888488"
"चेतना पाटीलजी","65/441 अहेर
पुणे 853836"
"आकाश सावंतजी","9107 विनायक माने
यवतमाळ 695888"
"श्रीमती ज्योती देशमुख","5/3 राऊत
सांगली 704634"
"अभिजीत शिंदे","76/950 जितेंद्र मोरे
पुणे-486833"
"अनिल आगरकर","56/77 चव्हाण
ठाणे-477774"
"श्री लता फडके","3560 कदम
पिंपरी-चिंचवड-702045"
"रीमा राऊत","685 आगरकर
नागपूर 491346"
"इशिता पाटीलजी","1607 विवेक कदम
अहमदनगर-367615"
"रेणुका चव्हाण","27 फडके
मुंबई 734114"
"मानसी ओक","65/51 दीपाली गवळी
सोलापूर-378064"
"रीमा पवार","05/809 गवळी
सातारा-044521"
"प्रकाश ओकजी","60/94 आगरकर
सोलापूर 029962"
"श्रीमती ज्योती फडके","99/62 आशा देशपांडे
परभणी 960028"
"रेणुका कदम","55/812 चव्हाण
औरंगाबाद-973935"
"भूषण मानेजी","3336 कैलास राऊत
गोंदिया 669347"
"श्री अभिषेक चौगुले","647 अमित कोल्हे
यवतमाळ 270364"
"पूजा कांबळे","43/038 फडके
नवी मुंबई 021410"
"श्री प्रिया ठाकूर","76/0441 अभिजीत शिरसाट
सातारा 606835"
"विकास फडके","4984 लता साळुंखे
उस्मानाबाद-650465"
"श्रीमती कल्पना कांबळे","63/2848 भोसले
चंद्रपूर 256735"
"माधव फडकेजी","09/60 अहेर
परभणी 017909"
"धनंजय जाधव","27/198 आगरकर
नवी मुंबई 233754"
"श्रीमती तन्वी जाधव","13/996 जोशी
लातूर-816698"
"धनंजय चौगुले","0/6 माधुरी चौगुले
कोल्हापूर 822387"
"श्री प्रिया शिंदे","7 माधुरी जगताप
औरंगाबाद-491002"
"शिल्पा मोरे","6817 महाजन
चंद्रपूर-649060"
"मानसी कुलकर्णीजी","87 स्नेहा अहेर
धुळे-895784"
"ईश्वर शिंदेजी","1 भोसले
यवतमाळ 821845"
"कुमारी माधव मोरे","6138 आदित्य जाधव
जळगाव 344532"
"दीपाली कांबळेजी","4225 इशिता कोल्हे
अमरावती-224329"
"प्रिया ओकजी","58/9658 आगरकर
अमरावती-003466"
"आशा ठाकूरजी","0 आकांक्षा गायकवाड
रत्नागिरी 099398"
"श्रीमती तन्वी सावंत","8/1 कांबळे
नागपूर-411669"
"अभिषेक फडकेजी","6/1 हर्षद पाटील
रत्नागिरी-095692"
"अनिता देशमुखजी","292 आगरकर
अहमदनगर-766142"
"कविता पवार","0 आकांक्षा फडके
हिंगोली-532856"
"विकास चव्हाणजी","2 चौगुले
अहमदनगर 536961"
"प्रकाश साने","910 पाटील
मिरज-631164"
"श्रीमती ईश्वर फडके","29/6076 मकरंद सावंत
जळगाव 421378"
"श्री पूजा पवार","4/2 शिंदे
मुंबई-725349"
"श्रीमती मेघा चव्हाण","23/08 साळुंखे
नागपूर 839252"
"कुमारी मंगेश आगरकर","251 गायकवाड
मुंबई 104137"
"श्रीमती दत्तात्रेय अहेर","589 इशिता पाटील
सातारा-793081"
"कुमारी अनुष्का जोशी","30/04 कुलकर्णी
रत्नागिरी 464346"
"रीमा पाटील","128 अमोल चौगुले
परभणी 697606"
"आदित्य जोशीजी","8176 अशोक कांबळे
नागपूर-155175"
"कल्पना चव्हाणजी","9/0 ओक
नांदेड 784601"
"श्रीमती अनिता साळुंखे","0274 मेघा कोल्हे
मिरज-004244"
"श्री भूषण कोल्हे","73 अमित आगरकर
अमरावती 047793"
"श्री राहुल जोशी","9/1 अभिषेक साने
मिरज-310059"
"ज्योती कोल्हेजी","9480 अपर्णा जोशी
उस्मानाबाद-515282"
"कुमारी अशोक पवार","74/777 पवार
ठाणे-124339"
"श्रीमती दत्तात्रेय जगताप","8 मानसी राऊत
सोलापूर-221311"
"माधव सावंतजी","6 जाधव
औरंगाबाद 568973"
"श्री उमेश जाधव","92 प्रकाश कुलकर्णी
लातूर-568501"
"कुमारी विकास शिरसाट","7 शिंदे
सोलापूर 071754"
"आदित्य अहेर","92/8824 इशिता जाधव
सोलापूर 103730"
"तन्वी फडके","7 अहेर
जळगाव-429784"
"अमोल जोशीजी","23/277 कैलास आगरकर
अमरावती 954213"
"श्रीमती गौरव माने","737 कुलकर्णी
अहमदनगर 138968"
"श्रीमती मिलिंद पवार","3/6 ओक
ठाणे 189874"
"हर्षद देशपांडे","8661 कोल्हे
परभणी-895040"
"श्रीमती दत्तात्रेय जाधव","61/04 प्रिया कदम
यवतमाळ 025698"
"श्रीमती स्मिता आगरकर","8 कैलास जाधव
सांगली-527526"
"श्री कविता साने","9979 माने
गोंदिया 360824"
"श्री पल्लवी जाधव","72/8692 मोहन भोसले
सोलापूर-645661"
"माधव चव्हाण","7 उमेश अहेर
बीड 680884"
"श्रीमती उमेश जाधव","09 शिरसाट
सोलापूर 748837"
"श्री अभिषेक अहेर","7/8 संदीप जगताप
बीड 459888"
"वैशाली चव्हाण","47/502 पल्लवी जगताप
रत्नागिरी 053223"
"श्रीमती अमित मोरे","998 ठाकूर
धुळे-659589"
"श्रीमती अमोल पाटील","248 शिंदे
सोलापूर-082940"
"श्रीमती दत्तात्रेय ठाकूर","29/118 ज्योती आगरकर
औरंगाबाद-662941"
"हर्षदा गवळीजी","62/98 भोसले
नागपूर-513878"
"रोहित महाजन","3743 चौगुले
कोल्हापूर-826834"
"श्रीमती धनंजय शिंदे","2/6 माधव महाजन
यवतमाळ 265626"
"उमेश फडके","0 अहेर
हिंगोली-934692"
"उमा जाधवजी","9 निखिल देशमुख
हिंगोली 859153"
"कीर्ती कदम","495 जाधव
हिंगोली 696056"
"श्रीमती अभिषेक ओक","0/7 कुलकर्णी
हिंगोली-366145"
"मिलिंद देशमुख","81/61 साने
मुंबई-029695"
"प्रज्ञा ओकजी","81 पाटील
हिंगोली-564002"
"श्रीमती दत्तात्रेय पाटील","98/707 वैशाली जोशी
कोल्हापूर-005082"
"इशिता साळुंखे","21 फडके
नांदेड-457054"
"श्रुती पवार","25/80 इशिता जगताप
नागपूर-016489"
"अशोक साळुंखे","8 पाटील
औरंगाबाद 415550"
"श्रीमती गौरव कदम","09/812 विवेक ओक
सोलापूर-915702"
"श्रीमती सचिन चव्हाण","42 देशमुख
अमरावती-146321"
"श्रीमती मिलिंद ठाकूर","74 ओक
कोल्हापूर 456834"
"दत्तात्रेय मोरे","92 माने
परभणी-136948"
"मकरंद पवार","17/65 देशमुख
अकोला 815968"
"स्वाती जगतापजी","445 अहेर
लातूर 245927"
"श्रीमती दत्तात्रेय महाजन","13 अरुण जोशी
वसई-069219"
"कोमल कोल्हे","6 चेतना अहेर
लातूर 968301"
"माधव चव्हाणजी","4200 गायकवाड
सोलापूर-057037"
"श्रीमती स्नेहा राऊत","55 भोसले
नांदेड-556804"
"कीर्ती महाजनजी","1996 कुलकर्णी
औरंगाबाद 776103"
"कैलास ओक","877 ओक
रत्नागिरी-198446"
"रीमा कदम","28/16 गौरव पाटील
पिंपरी-चिंचवड 083597"
"श्री अभिजीत देशपांडे","601 गवळी
औरंगाबाद-052579"
"मीनल राऊत","2570 देशमुख
धुळे-607271"
"कीर्ती जाधव","11/969 शिरसाट
कोल्हापूर 223320"
"श्रीमती दत्तात्रेय महाजन","1307 सुरेश अहेर
जळगाव 995458"
"ईश्वर देशपांडे","79/00 मोरे
सांगली 065122"
"श्री कीर्ती आगरकर","99/1557 सुनील शिंदे
बीड-055667"
"रीमा भोसले","306 कोल्हे
वसई-721016"
"मानसी ओकजी","71/53 प्रिया पवार
अहमदनगर-244399"
"वैशाली कोल्हे","72/05 ओक
सांगली 113880"
"स्मिता चौगुले","9/7 पवार
कोल्हापूर-571707"
"आकाश महाजन","4455 आगरकर
नाशिक-960285"
"श्री अरुण शिंदे","07 समीर पाटील
मिरज-726808"
"स्वाती पवार","5/2 कदम
मिरज-850024"
"श्रीमती दत्तात्रेय राऊत","941 आगरकर
वसई 914778"
"अपर्णा भोसलेजी","383 आगरकर
नागपूर 122178"
"अभिजीत सावंत","0902 मंगेश कदम
अहमदनगर 831995"
"राहुल जोशी","01 अहेर
सातारा 229106"
"दत्तात्रेय कुलकर्णीजी","9 पाटील
चंद्रपूर-155037"
"निलेश कदमजी","274 अनुष्का फडके
सांगली 076166"
"आशा महाजन","9 महाजन
नांदेड 254699"
"कल्पना सानेजी","8/9 भोसले
सांगली-630542"
"ज्योती फडकेजी","80/95 स्मिता अहेर
नवी मुंबई 260039"
"कुमारी दीपाली कोल्हे","01/6888 कल्पना पाटील
मुंबई 578023"
"श्रीमती दत्तात्रेय शिंदे","5/9 ठाकूर
नांदेड 843569"
"सुनील पवार","4/0 चव्हाण
चंद्रपूर-266224"
"कीर्ती पवारजी","25/011 राऊत
अकोला 895531"
"श्री मिलिंद देशमुख","36/705 चव्हाण
लातूर 729499"
"कुमारी माधुरी मोरे","44/176 दीपक शिंदे
अकोला-430048"
"उमेश पाटीलजी","7 महाजन
परभणी 588003"
"वैशाली जोशीजी","07/13 गौरी फडके
सांगली-094457"
"कुमारी राहुल शिंदे","376 कदम
हिंगोली 837845"
"श्री शिल्पा माने","7023 समीर गवळी
परभणी-230831"
"दीपक अहेर","05/7551 जितेंद्र फडके
सोलापूर-315475"
"श्रीमती दत्तात्रेय साने","12/0924 आगरकर
धुळे-783496"
"अनुष्का चौगुले","24 कैलास गायकवाड
धुळे-707264"
"प्रज्ञा कोल्हेजी","0/4 स्मिता शिंदे
परभणी-924466"
"कुमारी कैलास गायकवाड","0/7 गायकवाड
धुळे-218761"
"रोहिणी पवारजी","302 जगताप
कोल्हापूर-207227"
"पूजा कोल्हेजी","96 रोहिणी फडके
कोल्हापूर 474980"
"श्रीमती स्नेहा आगरकर","9828 कुलकर्णी
नवी मुंबई 144978"
"अरुण सावंतजी","96/6925 नेहा ठाकूर
अहमदनगर-967159"
"माधव ओकजी","6/3 अरुण साने
रत्नागिरी-859394"
"पूजा ओक","26/8461 नेहा कोल्हे
सातारा 816534"
"श्रीमती दीपक कदम","1 कुलकर्णी
मुंबई-507647"
"रोहित भोसले","31/620 हर्षद अहेर
वसई-099640"
"स्नेहा कोल्हे","0909 अपर्णा जाधव
नागपूर 728626"
"माधुरी सावंतजी","56/44 चव्हाण
पिंपरी-चिंचवड-385296"
"मोहन शिंदेजी","8 पल्लवी साने
पिंपरी-चिंचवड-824718"
"उमा सानेजी","850 मंगेश साळुंखे
नांदेड-916148"
"स्नेहा जगताप","72 फडके
लातूर-725316"
"अभिषेक सानेजी","1078 जगताप
परभणी-200009"
"कुमारी कैलास कोल्हे","3150 ओक
गोंदिया 350387"
"कुमारी आदित्य राऊत","97/239 भोसले
चंद्रपूर 989243"
"श्रीमती दीपक कांबळे","82/14 पवार
नागपूर 027167"
"कुमारी सुनील पवार","7/4 कल्पना मोरे
नांदेड-885309"
"अमित गायकवाड","9 माधुरी साने
मिरज-563140"
"मकरंद मोरेजी","26 दत्तात्रेय कुलकर्णी
पिंपरी-चिंचवड-857136"
"हर्षद गायकवाडजी","92/2407 कुलकर्णी
जळगाव 044736"
"अनिरुद्ध कांबळेजी","12/990 दीपक चव्हाण
ठाणे 318502"
"अपर्णा देशपांडे","06/7515 ओक
मिरज-748568"
"श्रीमती गौरी चव्हाण","4/4 कांबळे
सातारा 335821"
"कुमारी अंजली चौगुले","23/261 महाजन
उस्मानाबाद 084744"
"विनायक कोल्हे","72/176 मेघा गायकवाड
सांगली 777214"
"श्रीमती दीपक कुलकर्णी","2 प्रकाश भोसले
गोंदिया 665683"
"पूजा पाटील","46 मोहन आगरकर
सांगली-341263"
"श्रीमती प्रिया अहेर","56 अनुष्का महाजन
यवतमाळ 995054"
"दीपाली कांबळे","05/803 भूषण देशमुख
ठाणे-491023"
"रीमा कदमजी","934 उमेश पाटील
मिरज-271301"
"सुरेश कुलकर्णी","3 ज्योती गवळी
लातूर 642148"
"श्रीमती कविता ठाकूर","3 इशिता महाजन
अहमदनगर-137893"
"श्रीमती आदित्य राऊत","8019 मकरंद भोसले
कोल्हापूर-370903"
"अंजली कदम","3 चौगुले
नांदेड-318641"
"श्रीमती गौरव पवार","081 पाटील
औरंगाबाद 769813"
"श्रीमती दीपक साळुंखे","4/0 रोहिणी ठाकूर
नांदेड-746759"
"उमा गवळी","1/3 मोरे
पुणे 243499"
"कुमारी वैशाली माने","6 वैशाली राऊत
नवी मुंबई 666142"
"अंजली चव्हाणजी","17/0595 प्रिया गवळी
औरंगाबाद 996208"
"विवेक जगतापजी","2/0 मिलिंद गायकवाड
वसई 725120"
"मानसी पवार","6 समीर गायकवाड
अकोला 674494"
"अनिता चव्हाण","59/7347 चौगुले
गोंदिया 034872"
"ईश्वर गवळी","6827 मोरे
गोंदिया-341226"
"कीर्ती चौगुले","39/52 उमेश जोशी
यवतमाळ 377325"
"श्री पूजा जोशी","90/19 फडके
अहमदनगर-178325"
"श्रीमती दीपक साळुंखे","585 उमेश देशपांडे
नवी मुंबई-558134"
"मकरंद गवळीजी","753 माने
मिरज-184187"
"धनंजय देशपांडे","1/5 पवार
यवतमाळ 908232"
"कुमारी रीमा गवळी","980 कदम
मुंबई 937951"
"दत्तात्रेय चव्हाणजी","1 रीमा भोसले
नाशिक-751537"
"अभिजीत कांबळेजी","3 साळुंखे
ठाणे-448730"
"श्रीमती स्मिता शिंदे","21 प्रिया चव्हाण
गोंदिया-684253"
"स्वाती देशपांडे","4/0 गायकवाड
अहमदनगर-859540"
"कुमारी रीमा चव्हाण","04/879 संदीप गवळी
कोल्हापूर-296707"
"विवेक गायकवाड","891 दत्तात्रेय ओक
पिंपरी-चिंचवड 692522"
"श्रीमती दीपक सावंत","178 गवळी
सांगली 569846"
"आकांक्षा सावंतजी","78/756 शिंदे
बीड-135838"
"संदीप चव्हाणजी","411 इशिता शिंदे
नांदेड-983038"
"अभिजीत देशमुखजी","026 कल्पना ठाकूर
ठाणे 673817"
"गौरी देशमुखजी","6212 कदम
नागपूर-639952"
"कुमारी समीर कदम","0 भूषण साळुंखे
गोंदिया 802367"
"श्री हर्षदा कुलकर्णी","62/79 ईश्वर शिरसाट
अकोला 842228"
"अनिता कुलकर्णी","69 मोरे
नाशिक-572201"
"अभिषेक जाधवजी","9221 शिरसाट
रत्नागिरी 378140"
"श्री रोहित देशमुख","21/9112 माधव शिरसाट
जळगाव 555200"
"श्रीमती दीपाली अहेर","20/6668 शिरसाट
सांगली-011831"
"दीपक गायकवाडजी","8/8 कोल्हे
अमरावती-198341"
"सचिन आगरकरजी","93 मीनल शिरसाट
कोल्हापूर-753711"
"श्रीमती नेहा कुलकर्णी","1920 आगरकर
हिंगोली 584447"
"अरुण जोशी","69/18 कदम
नाशिक 787168"
"नेहा शिंदे","68/8803 महाजन
औरंगाबाद 610768"
"मीनल शिंदे","427 चौगुले
अहमदनगर 821842"
"माधुरी जाधव","0 मोरे
उस्मानाबाद 590406"
"प्रवीण गायकवाडजी","3 अंजली महाजन
औरंगाबाद 098538"
"तन्वी कोल्हे","51/29 गवळी
हिंगोली-637364"
"श्रीमती दीपाली ओक","46/64 ओक
अहमदनगर 440316"
"पल्लवी कुलकर्णीजी","3228 राऊत
पुणे 605441"
"श्रीमती माधव कांबळे","61/1539 भोसले
अकोला-010424"
"रीमा जगताप","38 शिरसाट
कोल्हापूर 019672"
"अरुण ठाकूर","66 विनायक गवळी
सांगली-791796"
"श्री उमा मोरे","3 साने
नवी मुंबई 096892"
"श्रीमती मकरंद गायकवाड","00/4166 कोल्हे
नांदेड 748749"
"पूजा माने","5 चौगुले
सोलापूर-082359"
"कविता आगरकर","47 सावंत
मुंबई-822909"
"ईश्वर भोसलेजी","28 देशपांडे
चंद्रपूर 667133"
"श्रीमती धनंजय साने","7149 सचिन साने
सांगली-154765"
"प्रशांत चव्हाण","9/0 उमेश सावंत
पुणे 087095"
"कुमारी कीर्ती ओक","97/500 पाटील
जळगाव 795645"
"गौरी फडकेजी","1 अहेर
वसई 782959"
"कल्पना कुलकर्णी","3 हर्षदा गवळी
जळगाव 327452"
"प्रज्ञा राऊत","8/0 देशपांडे
परभणी-742353"
"लता शिरसाट","48/6269 गणेश चौगुले
ठाणे 606208"
"आकांक्षा शिरसाटजी","58/66 कांबळे
अहमदनगर 609044"
"रोहिणी फडकेजी","96/99 भोसले
ठाणे 649974"
"आकाश साळुंखेजी","94/00 साळुंखे
उस्मानाबाद-073630"
"श्रीमती धनंजय साळुंखे","31/70 आदित्य जाधव
अकोला-441692"
"कुमारी वैशाली अहेर","55/3159 दीपक जाधव
चंद्रपूर 055742"
"संदीप शिरसाट","0/8 माने
अहमदनगर-602737"
"आदित्य गायकवाडजी","11/53 शिंदे
ठाणे 960434"
"आदित्य राऊत","9 चव्हाण
लातूर-345203"
"आशा चव्हाणजी","214 अमोल साळुंखे
बीड-613334"
"जितेंद्र पाटील","13/5139 कोल्हे
पिंपरी-चिंचवड 751071"
"श्रीमती धनंजय जोशी","50/4036 चव्हाण
कोल्हापूर-767897"
"हर्षदा देशपांडे","98 ज्योती कुलकर्णी
सातारा-971055"
"निखिल शिंदे","3451 गवळी
गोंदिया 891076"
"श्रीमती निखिल अहेर","7 साळुंखे
मुंबई 325852"
"चेतना सावंत","27/789 भोसले
पुणे 031431"
"श्रीमती माधव माने","9 चौगुले
नाशिक 814164"
"शिल्पा गवळी","5009 विकास साळुंखे
अमरावती-291203"
"निलेश पवार","514 कदम
जळगाव 758095"
"श्री पंकज साने","7 कदम
सोलापूर-237154"
"अमोल भोसलेजी","2145 दत्तात्रेय जगताप
अकोला-535277"
"श्री प्रशांत आगरकर","555 मोरे
सोलापूर 013176"
"चेतन कांबळेजी","57 पूजा पवार
सोलापूर 489301"
"अनिता ठाकूर","7 अरुण अहेर
धुळे-137074"
"श्रीमती निखिल ओक","3 ठाकूर
वसई 675973"
"मानसी गायकवाड","46/037 अहेर
रत्नागिरी-403372"
"मेघा भोसले","00/630 अनुष्का महाजन
हिंगोली-384148"
"कल्पना अहेरजी","169 माधुरी कदम
औरंगाबाद 577787"
"उमा साने","8118 सावंत
मिरज 392525"
"रोहिणी मानेजी","41 लता देशपांडे
गोंदिया-573566"
"श्रीमती पल्लवी गायकवाड","89 भोसले
बीड-637844"
"प्रज्ञा गायकवाडजी","198 कोल्हे
वसई 833839"
"कुमारी कविता सावंत","776 आकाश शिंदे
कोल्हापूर 753359"
"धनंजय ओकजी","2 सावंत
अहमदनगर-699984"
"श्रीमती निखिल कदम","322 ज्योती गायकवाड
सोलापूर 167906"
"अनिता चौगुलेजी","77/219 जोशी
लातूर 629222"
"श्रीमती प्रिया राऊत","55/69 ओक
नाशिक 707122"
"गौरव माने","446 आगरकर
ठाणे-667252"
"विनायक ठाकूर","18/488 कल्पना कांबळे
अकोला-401068"
"मोहन साळुंखे","986 चव्हाण
मुंबई 502961"
"कुमारी प्रवीण साळुंखे","64/0624 स्नेहा साने
ठाणे-187928"
"विनायक चव्हाण","8/5 गायकवाड
बीड-656912"
"पल्लवी कदमजी","77/83 जगताप
चंद्रपूर 790973"
"कुमारी अभिषेक आगरकर","69 अनिल साने
नाशिक 313316"
"श्रीमती निखिल देशपांडे","12/24 निलेश महाजन
धुळे-120493"
"चेतना ओक","5986 भोसले
यवतमाळ 314026"
"श्री पल्लवी गवळी","78/595 देशपांडे
वसई-943150"
"मोहन सावंतजी","9255 गवळी
नागपूर 312036"
"हर्षदा माने","436 प्रज्ञा फडके
कोल्हापूर 174025"
"विनायक फडकेजी","204 अशोक आगरकर
नांदेड-610754"
"समीर पवारजी","6306 हर्षद ओक
रत्नागिरी-900605"
"श्री दीपाली माने","60/90 जोशी
बीड 094128"
"गौरव जाधव","14/66 मकरंद मोरे
कोल्हापूर 885071"
"विनायक कदम","965 भोसले
गोंदिया-106708"
"श्रीमती निखिल पाटील","34/3509 अभिषेक जोशी
मुंबई 894913"
"उमा चव्हाणजी","1 जोशी
अमरावती 178769"
"माधव राऊत","2555 चव्हाण
उस्मानाबाद 254050"
"कैलास कोल्हेजी","1128 आकाश पाटील
सोलापूर 037633"
"तन्वी आगरकरजी","2 आकांक्षा सावंत
सोलापूर-541322"
"विकास चौगुलेजी","06/8818 महाजन
अकोला-702544"
"मंगेश गायकवाड","1 मेघा शिरसाट
वसई 703188"
"आदित्य भोसले","97 रीमा साने
मुंबई-001188"
