"अंजली अहेरजी","6/9 अनिल आगरकर
अमरावती-978757" 
"ईश्वर कांबळे","508 जोशी
औरंगाबाद-688900"
"कुमारी उमा गवळी","0062 उमा शिंदे
कोल्हापूर 316589"
"निखिल राऊत","28/187 महाजन
मुंबई-310109"
"श्रीमती मकरंद कांबळे","76/3538 सचिन अहेर
पिंपरी-चिंचवड-586239"
"मकरंद फडकेजी","07 सावंत
अमरावती-965129"
"श्रीमती आदित्य माने","96/328 गौरव देशपांडे
कोल्हापूर-337985"
"कुमारी कैलास मोरे","823 किरण कोल्हे
अकोला 537302"
"मीनल देशपांडे","6/9 आगरकर
अहमदनगर 946753"
"समीर पाटील","8/4 श्रुती कुलकर्णी
पुणे-522256"
"श्री चेतना देशमुख","71/8942 सावंत
पिंपरी-चिंचवड 926388"
"विनायक जाधव","6 पाटील
ठाणे-621671"
"श्रीमती मीनल कुलकर्णी","1 ठाकूर
नागपूर-255898"
"माधव साळुंखेजी","51/939 चव्हाण
सांगली 683313"
"श्री वैशाली आगरकर","579 अहेर
नवी मुंबई 653082"
"निखिल अहेरजी","8506 अनुष्का चव्हाण
सातारा-934271"
"श्रीमती आशा जगताप","6 जाधव
मिरज-011024"
"श्री प्रकाश जोशी","1/2 साने
नांदेड 159491"
"कुमारी अनिता ठाकूर","62/1171 फडके
अहमदनगर-303514"
"कुमारी प्रिया साळुंखे","8/0 राऊत
रत्नागिरी-060100"
"ईश्वर जगतापजी","27/466 इशिता कुलकर्णी
सातारा-048113"
"मेघा साळुंखेजी","36 स्नेहा चौगुले
पुणे 399886"
"अभिजीत महाजन","792 मोरे
हिंगोली-681660"
"गणेश महाजनजी","58/713 अरुण गायकवाड
अकोला 911899"
"मकरंद गवळी","3/1 जगताप
जळगाव-926465"
"पंकज माने","4/6 चेतन आगरकर
अकोला-735110"
"श्रीमती आशा माने","36 अनिता महाजन
लातूर-767400"
"हर्षद शिंदे","461 जाधव
नवी मुंबई 439431"
"सुरेश आगरकर","8/8 भूषण चव्हाण
कोल्हापूर 877550"
"स्नेहा आगरकर","44/0358 शिल्पा जगताप
यवतमाळ-482530"
"अनिता साळुंखेजी","06 शिंदे
औरंगाबाद 467881"
"अरुण चौगुलेजी","66 कुलकर्णी
सोलापूर 628934"
"मानसी गायकवाडजी","494 अनुष्का ओक
सोलापूर-778636"
"विनायक साने","75/61 धनंजय भोसले
नवी मुंबई-720915"
"श्रुती भोसलेजी","80/55 सचिन चौगुले
चंद्रपूर-454781"
"हर्षद कुलकर्णीजी","90/47 स्मिता शिरसाट
नाशिक-066857"
"श्रीमती इशिता आगरकर","33 मोरे
अकोला-624721"
"चेतना अहेर","379 हर्षदा आगरकर
औरंगाबाद-405072"
"स्मिता कोल्हेजी","3 देशमुख
मुंबई 083857"
"कुमारी उमेश देशमुख","2/8 देशपांडे
मिरज-330369"
"श्री माधव चौगुले","4/8 माधुरी फडके
नवी मुंबई-448099"
"कुमारी अनुष्का आगरकर","91/39 साने
लातूर 579566"
"उमेश चव्हाणजी","60/923 सावंत
मिरज-493994"
"कुमारी प्रिया ओक","89/619 साळुंखे
चंद्रपूर-976638"
"अमित भोसले","9/7 महाजन
परभणी-113377"
"श्री मकरंद जोशी","60/0269 हर्षदा कांबळे
अकोला 238297"
"श्रीमती इशिता चव्हाण","38/989 निखिल देशमुख
परभणी-334634"
"श्रीमती सचिन गायकवाड","9/1 प्रकाश पवार
जळगाव-870513"
"धनंजय शिरसाट","062 अनिरुद्ध कांबळे
रत्नागिरी 241457"
"माधव पवार","61/37 जाधव
सातारा-962349"
"श्री उमेश राऊत","7 प्रज्ञा फडके
उस्मानाबाद-575262"
"श्रीमती समीर मोरे","25/993 दीपाली ठाकूर
पिंपरी-चिंचवड-369651"
"किरण पवारजी","66/5807 रेणुका भोसले
वसई-242418"
"मीनल पवारजी","851 अनिता जाधव
सांगली 126059"
"श्रीमती स्नेहा फडके","15/6236 ओक
अहमदनगर-099578"
"श्री अपर्णा पाटील","967 ईश्वर जगताप
नाशिक 505852"
"श्रीमती इशिता ठाकूर","398 गौरव चव्हाण
अकोला-694227"
"उमेश कोल्हे","1005 शिंदे
वसई-154067"
"गौरव गवळीजी","743 स्वाती चव्हाण
पिंपरी-चिंचवड 216171"
"प्रशांत सावंत","7 साने
यवतमाळ 477519"
"कीर्ती जगताप","17/751 अशोक साळुंखे
अहमदनगर-449914"
"अनुष्का देशमुख","6/2 विवेक ओक
मुंबई 257095"
"संदीप कुलकर्णीजी","2 स्नेहा साळुंखे
धुळे 017728"
"उमेश पाटील","0 चव्हाण
सातारा-229771"
"प्रवीण कदमजी","26 इशिता कोल्हे
वसई-690681"
"आकाश सानेजी","02/45 आकांक्षा राऊत
नाशिक 124576"
"श्रीमती इशिता शिरसाट","9 रेणुका देशपांडे
मिरज-573368"
"कुमारी दीपक चौगुले","512 पाटील
उस्मानाबाद 389148"
"कैलास जगतापजी","526 दीपक फडके
सोलापूर 539877"
"कुमारी अरुण राऊत","41/55 कांबळे
सोलापूर-276756"
"कुमारी अमोल फडके","48/54 आकाश मोरे
उस्मानाबाद 420903"
"श्री मीनल फडके","2 स्मिता गायकवाड
यवतमाळ-703831"
"प्रशांत गवळीजी","12 पल्लवी शिंदे
परभणी 855786"
"कुमारी उमेश शिंदे","1 मानसी सावंत
सोलापूर 046799"
"इशिता कुलकर्णीजी","58/7530 देशमुख
लातूर-117021"
"श्रीमती अंजली अहेर","3/1 रेणुका भोसले
जळगाव-171051"
"श्रीमती ईश्वर फडके","16/203 धनंजय गवळी
परभणी-443487"
"संदीप कुलकर्णीजी","7 पवार
नवी मुंबई-693289"
"अनिल शिंदेजी","2 दीपाली माने
अकोला-177960"
"प्रज्ञा जगतापजी","497 हर्षदा पवार
नवी मुंबई-103647"
"श्री अंजली साळुंखे","7/9 शिरसाट
नांदेड 204118"
"कुमारी अनिल भोसले","47/0926 पवार
रत्नागिरी-327609"
"श्री निखिल कुलकर्णी","74/641 भोसले
कोल्हापूर-537473"
"श्रीमती श्रुती देशपांडे","864 निखिल साळुंखे
लातूर 314376"
"हर्षदा भोसले","9/7 जोशी
बीड 874061"
"कुमारी अनिरुद्ध ओक","95/669 फडके
सातारा-660791"
"श्रीमती ईश्वर शिंदे","26/4898 ठाकूर
पुणे-504615"
"श्रीमती इशिता गायकवाड","5 कविता साने
सोलापूर-947371"
"किरण शिंदे","52/4205 मोरे
सांगली-401676"
"आदित्य ठाकूरजी","43 शिल्पा देशपांडे
वसई 367440"
"जितेंद्र जगतापजी","8 जगताप
सातारा-691163"
"प्रशांत ओकजी","78/540 राऊत
लातूर 169463"
"विवेक देशपांडे","60/1036 ईश्वर माने
नाशिक-504026"
"गौरी गायकवाड","8/9 फडके
ठाणे 836046"
"संदीप ओक","2977 राऊत
पुणे 286109"
"श्रीमती प्रज्ञा कोल्हे","5 देशमुख
जळगाव 960730"
"श्रीमती ईश्वर शिंदे","5/1 कैलास पवार
गोंदिया-083641"
"श्रीमती अभिषेक गवळी","19/54 प्रज्ञा ठाकूर
पुणे 755808"
"रेणुका जोशी","2899 जगताप
पिंपरी-चिंचवड-947948"
"रेणुका कुलकर्णी","3 श्रुती चौगुले
वसई-957496"
"धनंजय महाजनजी","54/4328 चव्हाण
कोल्हापूर 572847"
"श्री कल्पना साने","6/9 स्वाती मोरे
लातूर 522766"
"तन्वी साने","52/3362 जगताप
मिरज 331111"
"भूषण कांबळे","04/754 जाधव
चंद्रपूर-259412"
"अरुण कदम","65/7097 आशा साळुंखे
हिंगोली-410782"
"श्री मकरंद साळुंखे","7 कोल्हे
हिंगोली-821440"
"श्रीमती ईश्वर शिरसाट","8 चौगुले
हिंगोली-076356"
"अंजली गायकवाडजी","918 प्रवीण गायकवाड
नवी मुंबई 793842"
"श्री अमित राऊत","25 कल्पना फडके
ठाणे-066686"
"कुमारी विनायक चव्हाण","39/01 रोहिणी आगरकर
सातारा 664288"
"पंकज शिंदेजी","26/00 साळुंखे
नांदेड 212511"
"हर्षदा जाधवजी","1 कदम
अमरावती 045893"
"पंकज सावंत","82 सुनील साळुंखे
यवतमाळ 481192"
"अभिजीत कोल्हे","2927 आगरकर
लातूर-273542"
"गौरव जोशीजी","39/639 ओक
बीड 894622"
"श्रीमती कविता महाजन","6/5 प्रज्ञा जाधव
पुणे 822410"
"श्रीमती उमा जाधव","06/6798 जाधव
नागपूर-225949"
"ईश्वर चौगुले","1/9 गायकवाड
लातूर 428687"
"जितेंद्र ठाकूर","93 निलेश देशमुख
अमरावती 589547"
"आकांक्षा फडकेजी","74/97 दीपाली कांबळे
गोंदिया-634214"
"शिल्पा अहेरजी","56/960 अरुण आगरकर
अकोला 709584"
"सुरेश मोरे","0038 अमोल साळुंखे
यवतमाळ-430810"
"शिल्पा गायकवाड","7 गौरव चौगुले
मिरज 104292"
"श्री प्रशांत महाजन","504 रीमा महाजन
रत्नागिरी-053877"
"मंगेश कोल्हेजी","89/07 देशपांडे
अकोला-509862"
"कल्पना कदमजी","35/438 ठाकूर
नाशिक 293369"
"श्रीमती उमा शिरसाट","12/8079 कीर्ती चौगुले
सातारा 202627"
"श्रीमती कैलास गायकवाड","90 मोरे
अमरावती 506014"
"कुमारी किरण ओक","98/7034 माने
नांदेड 505329"
"कोमल कदमजी","77/081 माने
अमरावती-161238"
"श्रीमती अनिरुद्ध देशमुख","24/301 प्रज्ञा जोशी
नवी मुंबई 224495"
"श्रीमती दत्तात्रेय फडके","6 हर्षदा कदम
सोलापूर-581488"
"मिलिंद महाजनजी","48/03 चव्हाण
अकोला 476882"
"रोहिणी राऊत","3/3 दीपाली जगताप
वसई 019445"
"कुमारी अंजली शिरसाट","5/1 फडके
जळगाव-709867"
"मिलिंद महाजन","61/60 गायकवाड
सांगली 696307"
"श्रीमती उमेश पवार","3/3 श्रुती मोरे
ठाणे 060985"
"कीर्ती जोशीजी","49/0536 देशमुख
पिंपरी-चिंचवड-032992"
"चेतन गायकवाड","38/2505 पवार
सोलापूर 707630"
"हर्षद शिंदे","91 सचिन माने
मुंबई 329638"
"श्री रीमा चौगुले","71/94 जगताप
वसई 502655"
"अभिजीत फडके","10/32 मीनल फडके
जळगाव-433131"
"प्रिया कोल्हेजी","4 आकांक्षा भोसले
वसई-465403"
"प्रशांत पवारजी","23/92 विवेक अहेर
सातारा-239378"
"सुरेश ठाकूरजी","6/6 ओक
सातारा-409064"
"राहुल गवळीजी","7560 राहुल मोरे
लातूर 602570"
"श्रीमती उमेश महाजन","7 भूषण जगताप
अहमदनगर 809369"
"अभिजीत जोशी","671 हर्षद साळुंखे
उस्मानाबाद-886049"
"गौरी चौगुलेजी","5/9 पाटील
सातारा 453061"
"ज्योती कोल्हेजी","59 अनिरुद्ध साने
अहमदनगर 703919"
"आकाश ओक","40/432 पवार
नागपूर 505418"
"विवेक कुलकर्णी","86/446 शिंदे
गोंदिया 599371"
"विनायक सावंतजी","810 वैशाली आगरकर
हिंगोली 025091"
"कुमारी गौरी देशपांडे","830 माने
सांगली-017396"
"अनुष्का शिरसाटजी","9/8 ठाकूर
कोल्हापूर-360193"
"अमोल गवळी","76/760 आकाश अहेर
पिंपरी-चिंचवड-287317"
"श्रीमती कल्पना ओक","1 जोशी
सोलापूर-381074"
"श्री अंजली ठाकूर","5/0 देशमुख
पिंपरी-चिंचवड-175926"
"कीर्ती शिरसाटजी","45/18 कदम
बीड 021763"
"श्री भूषण जगताप","7 दीपक साने
नाशिक-697609"
"किरण देशमुख","44/43 भूषण माने
नागपूर-012758"
"कुमारी स्वाती जोशी","5/1 भूषण मोरे
परभणी 765146"
"गणेश सावंतजी","6 आगरकर
यवतमाळ 231868"
"कैलास कुलकर्णी","12/6970 प्रशांत चौगुले
हिंगोली 547923"
"सुनील कोल्हेजी","92/19 भूषण कदम
औरंगाबाद-357530"
"शिल्पा जाधव","4/2 सावंत
लातूर 153193"
"श्रीमती कल्पना माने","0 स्वाती गायकवाड
उस्मानाबाद-134134"
"अपर्णा कदम","71/2613 रेणुका जगताप
सातारा 611979"
"कुमारी अभिजीत चव्हाण","42/235 जगताप
लातूर-227577"
"गणेश देशमुख","75 हर्षदा राऊत
मुंबई-021932"
"अनिल महाजन","0/3 सचिन चौगुले
नांदेड-633660"
"उमेश जगताप","3/8 कल्पना अहेर
यवतमाळ 513081"
"रोहिणी कुलकर्णी","1/5 मेघा सावंत
गोंदिया-404477"
"पल्लवी फडके","81/18 चेतन देशपांडे
पुणे-727155"
"अमित आगरकरजी","42/4740 चौगुले
रत्नागिरी-971155"
"मानसी राऊतजी","42 माधव राऊत
औरंगाबाद-092428"
"श्रीमती कविता आगरकर","32/742 राऊत
यवतमाळ 188378"
"श्री निलेश कांबळे","296 चेतना भोसले
मिरज-362338"
"कुमारी कीर्ती अहेर","46/464 माने
मिरज-048174"
"कोमल गवळीजी","82/709 आगरकर
अकोला 983161"
"माधुरी कांबळेजी","0 अमोल चौगुले
नाशिक 702019"
"चेतन देशपांडेजी","71/033 चौगुले
अकोला 911708"
"आदित्य जगताप","2757 अंजली पाटील
नागपूर-074315"
"प्रवीण चव्हाणजी","1515 भोसले
जळगाव 693433"
"स्वाती कुलकर्णी","68/0369 गायकवाड
औरंगाबाद 540626"
"निखिल चव्हाण","30 दत्तात्रेय माने
सांगली-215720"
"श्रीमती कविता शिंदे","308 माधुरी महाजन
गोंदिया-636947"
"कोमल पाटीलजी","28/9480 पाटील
सांगली 278372"
"श्रीमती विवेक जोशी","040 भोसले
उस्मानाबाद-743999"
"अभिषेक चव्हाणजी","09/535 गौरव जगताप
बीड-973436"
"श्री चेतना साळुंखे","03 रीमा कदम
धुळे-804431"
"माधव साळुंखेजी","28 मंगेश शिरसाट
अहमदनगर 523148"
"प्रिया जोशीजी","79/711 आगरकर
ठाणे 429358"
"स्मिता ठाकूरजी","80/202 पवार
बीड-166189"
"गणेश गायकवाडजी","80/188 कविता जाधव
लातूर-384504"
"कल्पना पाटीलजी","8 पूजा साळुंखे
वसई-834145"
"श्रीमती किरण आगरकर","8743 अहेर
उस्मानाबाद-052443"
"श्रुती ओक","0740 पवार
औरंगाबाद-090577"
"ईश्वर शिंदेजी","22/534 चव्हाण
गोंदिया 184049"
"अनिरुद्ध राऊत","04 अशोक राऊत
अमरावती-071198"
"राहुल कोल्हे","5 तन्वी जोशी
नवी मुंबई-547421"
"श्रीमती स्मिता देशमुख","79/763 माधुरी देशपांडे
ठाणे-597676"
"अनिल जगतापजी","8364 भोसले
मुंबई 815999"
"स्नेहा देशपांडेजी","49 प्रिया भोसले
सोलापूर 899795"
"अनिता जगतापजी","76 उमेश फडके
गोंदिया 314204"
"श्रीमती हर्षद पाटील","27/121 शिरसाट
धुळे 384988"
"श्रीमती किरण चव्हाण","42 कुलकर्णी
यवतमाळ 173076"
"गौरव शिरसाटजी","44/13 इशिता साळुंखे
नवी मुंबई-360400"
"प्रज्ञा शिंदेजी","7/2 प्रज्ञा देशमुख
अकोला-985408"
"श्रीमती हर्षद जगताप","32 सचिन देशपांडे
जळगाव 518645"
"कुमारी स्वाती अहेर","45/44 मकरंद मोरे
पुणे-444798"
"मंगेश शिरसाटजी","8 आगरकर
नांदेड 664778"
"कोमल अहेर","2370 ईश्वर साने
मुंबई 647663"
"लता गायकवाड","32 रीमा आगरकर
मिरज-639145"
"अनिल सावंत","59/1716 कीर्ती महाजन
नाशिक 611452"
"स्वाती देशमुख","50 अरुण जोशी
नागपूर 979259"
"श्रीमती किरण चव्हाण","5 सुरेश ओक
नागपूर 375195"
"तन्वी चौगुले","71/1634 कोल्हे
जळगाव 698366"
"श्रीमती गौरव ठाकूर","5/4 आगरकर
धुळे 839156"
"माधुरी जगताप","900 चेतना साने
ठाणे 008409"
"आकांक्षा महाजनजी","43/152 दत्तात्रेय चौगुले
कोल्हापूर-353764"
"श्री कल्पना सावंत","69/030 महाजन
अहमदनगर 102268"
"श्रीमती अनिरुद्ध मोरे","80 गायकवाड
वसई-214675"
"विवेक साळुंखेजी","6/0 अपर्णा साळुंखे
यवतमाळ 781161"
"किरण ओक","58 संदीप चव्हाण
अहमदनगर-510939"
"कुमारी मेघा कांबळे","517 पवार
सोलापूर-984106"
"श्रीमती किरण जगताप","34/82 रीमा गायकवाड
ठाणे 217195"
"श्री इशिता कुलकर्णी","87/417 हर्षदा चव्हाण
सातारा-632132"
"श्रीमती नेहा शिरसाट","23/24 अनिल गायकवाड
परभणी-693773"
"अभिषेक शिरसाटजी","8 अनिता महाजन
औरंगाबाद-866867"
"श्रीमती श्रुती शिरसाट","743 ओक
औरंगाबाद 089731"
"प्रशांत गायकवाडजी","82/6691 मोहन महाजन
नागपूर-057218"
"श्रीमती मीनल भोसले","6 आदित्य भोसले
हिंगोली 305297"
"मिलिंद आगरकरजी","360 वैशाली कांबळे
ठाणे 829335"
"अनिल चव्हाण","84/98 जोशी
पिंपरी-चिंचवड-592040"
"श्रीमती हर्षद कदम","8/2 पवार
अकोला 077151"
"श्रीमती कीर्ती देशमुख","5/9 चव्हाण
औरंगाबाद-248964"
"श्रीमती आकांक्षा कोल्हे","0 जोशी
नाशिक 519501"
"वैशाली मोरेजी","43 प्रवीण ठाकूर
मिरज 208057"
"अनिता ओक","6/3 जाधव
उस्मानाबाद-676454"
"आकाश फडके","3 अहेर
वसई 847907"
"धनंजय देशपांडेजी","33/75 शिरसाट
नागपूर-494334"
"माधव फडके","8/8 शिरसाट
अमरावती 432749"
"श्रीमती विनायक आगरकर","31 चेतन देशमुख
नांदेड-267748"
"मेघा सावंतजी","47/480 अमोल साळुंखे
मिरज 506450"
"कुमारी प्रशांत राऊत","1 गवळी
बीड-658302"
"श्रीमती कीर्ती पाटील","4022 कैलास कोल्हे
अमरावती 139774"
"आकाश देशमुखजी","0 माधव चव्हाण
पिंपरी-चिंचवड-402137"
"कुमारी अमोल मोरे","29/57 गवळी
चंद्रपूर-341341"
"अनिता अहेरजी","37/94 जाधव
नाशिक-280868"
"श्रीमती मिलिंद सावंत","51/038 नेहा पवार
गोंदिया 435543"
"चेतन चौगुले","6 पंकज जगताप
अकोला 418842"
"चेतना मोरे","00/05 जोशी
अकोला-375972"
"किरण कदम","34 गणेश महाजन
रत्नागिरी-590083"
"मेघा मोरेजी","2188 कदम
पुणे-193908"
"अभिजीत कांबळे","529 समीर शिरसाट
मुंबई-731970"
"श्रीमती कीर्ती महाजन","7378 आदित्य चौगुले
पिंपरी-चिंचवड 118297"
"निखिल कांबळेजी","9/7 आकांक्षा गवळी
अकोला-905706"
"तन्वी पाटील","1769 आशा आगरकर
उस्मानाबाद 301658"
"श्री कोमल भोसले","1/7 चव्हाण
सोलापूर 363804"
"श्री गौरी आगरकर","09/495 रोहिणी शिरसाट
लातूर 688674"
"पंकज जाधव","72/9785 लता चौगुले
परभणी-277722"
"मंगेश ठाकूरजी","3/5 कैलास पवार
चंद्रपूर 633870"
"ज्योती चव्हाण","11/00 मिलिंद कदम
औरंगाबाद-159702"
"श्रुती साळुंखेजी","28/319 रेणुका पवार
ठाणे 884535"
"कोमल कदमजी","79/05 शिरसाट
चंद्रपूर-866279"
"श्रीमती कीर्ती माने","1 भोसले
लातूर 770038"
"श्रीमती अनिल पाटील","946 साळुंखे
परभणी-302212"
"भूषण कांबळे","78/690 निखिल शिंदे
मिरज-996024"
"माधुरी गवळी","73/872 अहेर
वसई-515228"
"कुमारी माधव शिरसाट","512 अशोक चव्हाण
गोंदिया 722167"
"श्री आकांक्षा साळुंखे","55/734 पाटील
बीड-900362"
"विवेक कांबळे","0575 कुलकर्णी
यवतमाळ 705174"
"कुमारी दीपक गायकवाड","9826 फडके
अहमदनगर-238789"
"रोहिणी गायकवाडजी","961 समीर महाजन
मुंबई 927482"
"श्री स्मिता शिंदे","1 कांबळे
कोल्हापूर-190392"
"श्रीमती कैलास देशपांडे","21 स्मिता महाजन
धुळे-478802"
"श्री कविता गवळी","078 जोशी
नाशिक 659881"
"श्रीमती मीनल देशपांडे","88 समीर साळुंखे
चंद्रपूर-267422"
"श्री अनिरुद्ध चौगुले","69 शिंदे
वसई-014654"
"किरण जगतापजी","4 चेतन राऊत
अहमदनगर-549337"
"माधव पाटीलजी","21/13 आगरकर
सोलापूर-249540"
"जितेंद्र अहेर","3 कुलकर्णी
नांदेड-442605"
"चेतन कदमजी","7/7 माधुरी शिंदे
अमरावती 991759"
"श्री मंगेश चव्हाण","2868 सुनील गायकवाड
सातारा-110022"
"समीर सावंतजी","43 अरुण साळुंखे
चंद्रपूर 609283"
"श्रीमती कैलास माने","795 प्रवीण भोसले
जळगाव-785571"
"अनिरुद्ध गवळीजी","07 साने
पिंपरी-चिंचवड-987029"
"विकास जाधवजी","18/750 माने
सांगली 805520"
"दीपक जाधव","8/3 शिरसाट
अकोला 560469"
"धनंजय फडके","8364 शिरसाट
नाशिक 374950"
"कुमारी चेतन अहेर","7/8 शिरसाट
रत्नागिरी 004679"
"प्रज्ञा मानेजी","4/9 गायकवाड
नाशिक 238212"
"कुमारी मकरंद माने","69/5525 साळुंखे
नवी मुंबई-541895"
"भूषण अहेर","30/251 अपर्णा देशपांडे
अकोला-257890"
"श्रीमती धनंजय देशपांडे","73/41 मोरे
लातूर 547935"
"श्रीमती कोमल जोशी","805 हर्षद चव्हाण
बीड-754833"
"अनिल कांबळेजी","02/1106 ठाकूर
उस्मानाबाद 329702"
"ईश्वर ठाकूरजी","6604 श्रुती महाजन
गोंदिया-293079"
"सचिन मानेजी","2/9 जोशी
धुळे-998740"
"गौरी पाटीलजी","1 जोशी
पुणे-980824"
"आशा साने","2472 चेतन कांबळे
औरंगाबाद-833194"
"सुरेश माने","50/8836 हर्षद माने
औरंगाबाद 771699"
"कुमारी समीर पवार","67 ठाकूर
नागपूर 091832"
"कुमारी आकांक्षा साने","45/2297 पूजा देशपांडे
कोल्हापूर 729676"
"कुमारी राहुल देशमुख","3164 शिल्पा महाजन
बीड-162905"
"श्रीमती कोमल पवार","82/085 प्रशांत साने
औरंगाबाद-643832"
"आकांक्षा देशमुख","3/3 आगरकर
नवी मुंबई 952925"
"कुमारी गौरी जगताप","0 मकरंद कोल्हे
नागपूर-872985"
"कुमारी पूजा साने","61 शिरसाट
कोल्हापूर-907262"
"कुमारी लता माने","5 शिरसाट
सोलापूर-328246"
"अपर्णा जोशी","47 राऊत
अकोला 550493"
"चेतन भोसले","6821 विनायक कुलकर्णी
जळगाव 856242"
"कुमारी माधुरी आगरकर","059 कविता कुलकर्णी
धुळे-242496"
"रोहिणी आगरकरजी","4069 वैशाली सावंत
चंद्रपूर 319366"
"कुमारी अनिता गवळी","9230 शिल्पा शिरसाट
नांदेड-135265"
"श्रीमती गणेश गायकवाड","50/498 पवार
अकोला 836718"
"विकास शिंदेजी","66/19 रेणुका मोरे
यवतमाळ-455350"
"कुमारी ईश्वर चौगुले","96 उमेश शिंदे
लातूर 347575"
"माधुरी राऊतजी","06 कोमल गायकवाड
पुणे-028953"
"कुमारी प्रवीण जगताप","084 जोशी
सांगली-989316"
"श्रीमती अशोक जगताप","65 माने
अकोला 158063"
"श्रीमती निलेश चौगुले","8 लता शिंदे
सोलापूर 869513"
"अरुण फडके","95/4291 ठाकूर
नांदेड-215458"
"वैशाली जगतापजी","57/631 कांबळे
हिंगोली-544313"
"मंगेश ठाकूरजी","58/387 अहेर
उस्मानाबाद 600596"
"श्रीमती गणेश शिरसाट","08/78 देशमुख
अकोला 133505"
"कविता भोसले","96/3593 शिंदे
रत्नागिरी 916355"
"चेतना मोरेजी","16/5069 स्नेहा अहेर
हिंगोली-663994"
"श्री अनुष्का शिंदे","690 चव्हाण
अहमदनगर-884107"
"कीर्ती मानेजी","678 कोल्हे
कोल्हापूर-798390"
"मीनल गायकवाड","49/330 उमा साने
अकोला-969658"
"राहुल चौगुले","2 आगरकर
मुंबई-219216"
"कैलास जगताप","2 जाधव
मुंबई-989102"
"कुमारी मीनल पाटील","28/059 अनिल गवळी
औरंगाबाद-650208"
"अमोल कदमजी","84/7912 रेणुका कुलकर्णी
नांदेड-591723"
"श्रीमती गणेश सावंत","18/162 सुनील भोसले
नाशिक 385691"
"सुनील चव्हाणजी","9/9 शिरसाट
अहमदनगर 277838"
"अभिषेक शिंदेजी","9 कल्पना कदम
पिंपरी-चिंचवड 829588"
"अमित शिरसाट","57/58 अहेर
मिरज 031208"
"श्री कोमल शिंदे","57/025 समीर आगरकर
धुळे 066981"
"स्नेहा मोरे","38/36 ओक
ठाणे-507340"
"रीमा कांबळे","1/7 कदम
मुंबई-438142"
"कुमारी मिलिंद शिरसाट","0 साळुंखे
धुळे-613531"
"विकास कोल्हेजी","47/6727 फडके
औरंगाबाद 677247"
"कविता महाजनजी","10/0132 चेतन मोरे
नागपूर 390070"
"श्रीमती गणेश सावंत","192 जोशी
औरंगाबाद 877718"
"कुमारी सुनील गायकवाड","306 कांबळे
पिंपरी-चिंचवड-513516"
"कुमारी विनायक सावंत","50 पवार
पिंपरी-चिंचवड 115772"
"श्री अंजली साने","92/762 पल्लवी देशपांडे
नांदेड 365782"
"हर्षदा साने","89/70 कांबळे
सांगली-073652"
"कविता आगरकरजी","9 कविता महाजन
हिंगोली 968140"
"श्रुती राऊत","69/0384 महाजन
रत्नागिरी-176952"
"विनायक जाधवजी","05/37 देशपांडे
नागपूर 752745"
"धनंजय कुलकर्णीजी","550 आगरकर
नाशिक 886828"
"स्नेहा मोरे","0045 सावंत
गोंदिया 733352"
"श्रीमती गौरव ठाकूर","2/4 प्रज्ञा चव्हाण
चंद्रपूर 383821"
"लता देशमुखजी","59/199 प्रकाश साळुंखे
मुंबई-606051"
"गणेश कुलकर्णीजी","235 कांबळे
पुणे-592283"
"अरुण जोशी","41 अरुण साळुंखे
उस्मानाबाद 896707"
"आदित्य साळुंखेजी","454 सचिन चौगुले
जळगाव-927420"
"श्रुती चौगुले","6/6 चव्हाण
औरंगाबाद 407319"
"अभिषेक ओक","56 संदीप पवार
अमरावती-873408"
"श्रीमती सुरेश महाजन","62/0492 कोल्हे
अमरावती 625780"
"स्मिता देशपांडेजी","89/6507 कोल्हे
चंद्रपूर 148794"
"सुनील सानेजी","17/3338 मोरे
धुळे-426983"
"श्रीमती गौरव पवार","00 गणेश जाधव
चंद्रपूर-950780"
"आकांक्षा पवार","8580 अनिता साने
वसई 208881"
"श्री रेणुका शिरसाट","33/897 कांबळे
यवतमाळ 621216"
"दीपक देशमुख","045 अभिषेक सावंत
यवतमाळ 657059"
"उमा शिंदेजी","359 स्मिता ठाकूर
रत्नागिरी 818444"
"कुमारी विनायक आगरकर","26/13 आकाश भोसले
अकोला-081526"
"तन्वी साने","5/4 राहुल कदम
चंद्रपूर-479258"
"कविता कांबळे","91 किरण देशपांडे
बीड 420972"
"आकाश देशपांडेजी","45 जगताप
अहमदनगर 312322"
"मानसी राऊतजी","18/137 गौरी महाजन
सातारा 203408"
"श्रीमती गौरव मोरे","068 कोल्हे
औरंगाबाद 046300"
"श्री विकास चव्हाण","99/381 प्रज्ञा कांबळे
जळगाव 814092"
"ईश्वर जगताप","7 शिंदे
मिरज 561353"
"अनिल महाजन","60/72 शिरसाट
वसई 265079"
"उमा ठाकूर","795 कीर्ती गायकवाड
सोलापूर-737360"
"कुमारी अभिजीत माने","70/5619 दीपाली आगरकर
चंद्रपूर-602587"
"श्रीमती राहुल देशपांडे","128 अहेर
बीड 420221"
"चेतन आगरकरजी","97/64 गौरी चव्हाण
अहमदनगर-356839"
"कुमारी मोहन जोशी","10/23 कुलकर्णी
मुंबई 912169"
"अनिरुद्ध कोल्हे","88/50 कदम
बीड 262424"
"श्रीमती गौरी फडके","44/32 दीपाली राऊत
परभणी-510773"
"श्री मकरंद आगरकर","63 भूषण माने
सांगली-589605"
"गणेश आगरकरजी","1/8 ओक
नांदेड-732458"
