"अंजली आगरकर"|"7225 जाधव
नांदेड-416315" 
"कुमारी लता चौगुले"|"60/493 सुनील ओक
औरंगाबाद 478269"
"कुमारी कविता देशपांडे"|"1944 कांबळे
लातूर-321070"
"आदित्य ओकजी"|"881 चेतन पवार
वसई 781970"
"श्रीमती अशोक अहेर"|"508 आकांक्षा कुलकर्णी
मुंबई 717206"
"दीपक देशपांडेजी"|"31/32 आगरकर
नवी मुंबई 744471"
"रोहिणी जाधव"|"56/629 राऊत
चंद्रपूर-843841"
"कुमारी उमेश माने"|"364 ठाकूर
नवी मुंबई 010437"
"सुरेश चव्हाण"|"61 इशिता कुलकर्णी
लातूर-204614"
"स्मिता भोसले"|"408 गौरी कदम
चंद्रपूर 440338"
"सुनील कांबळेजी"|"98/3551 साळुंखे
सातारा-200601"
"श्रीमती अमोल फडके"|"049 समीर साळुंखे
मिरज 516320"
"कुमारी विनायक देशमुख"|"47 प्रवीण आगरकर
चंद्रपूर 168860"
"श्री रेणुका कुलकर्णी"|"68/891 शिंदे
जळगाव 248612"
"कुमारी प्रिया पवार"|"44/023 आगरकर
यवतमाळ 643317"
"श्री इशिता शिरसाट"|"96 महाजन
वसई-189901"
"कुमारी मिलिंद साळुंखे"|"7/1 कुलकर्णी
नागपूर-564863"
"मकरंद साने"|"26/451 ज्योती साने
कोल्हापूर 674867"
"श्रुती जगतापजी"|"13 प्रशांत ठाकूर
उस्मानाबाद 338469"
"कीर्ती मोरे"|"5343 माने
पुणे 220996"
"सुनील कुलकर्णीजी"|"687 साळुंखे
पिंपरी-चिंचवड 244310"
"वैशाली फडके"|"89/06 महाजन
पिंपरी-चिंचवड-739728"
"किरण शिंदेजी"|"0 जाधव
औरंगाबाद 867053"
"धनंजय आगरकरजी"|"69/92 किरण माने
नांदेड 854618"
"श्री रेणुका कांबळे"|"72 अनुष्का पाटील
धुळे 161263"
"गौरी गवळीजी"|"93/87 ठाकूर
सोलापूर-779787"
"रोहित चव्हाण"|"4359 धनंजय सावंत
जळगाव 187270"
"कुमारी राहुल जोशी"|"39/68 कोमल शिंदे
धुळे 561502"
"श्रीमती चेतना देशमुख"|"72/962 अनुष्का चव्हाण
रत्नागिरी 003016"
"श्री मकरंद ठाकूर"|"07 मानसी ओक
नांदेड-679025"
"सुनील गायकवाड"|"17/7671 आकांक्षा शिरसाट
वसई 163859"
"कुमारी रीमा महाजन"|"39 रेणुका जोशी
यवतमाळ-586822"
"दीपाली जगताप"|"14/92 विवेक चव्हाण
धुळे-270955"
"भूषण कोल्हेजी"|"2 कांबळे
पिंपरी-चिंचवड-955361"
"चेतन कोल्हेजी"|"6/7 रोहिणी कदम
ठाणे 034963"
"अशोक साळुंखेजी"|"60/0446 समीर फडके
सातारा 288485"
"निलेश राऊतजी"|"0693 माने
ठाणे-161214"
"मीनल साने"|"15/94 चौगुले
पुणे 674232"
"माधुरी पवारजी"|"55/9357 स्नेहा ओक
कोल्हापूर 453500"
"हर्षदा फडकेजी"|"63/7195 रेणुका सावंत
रत्नागिरी 107248"
"सुनील जाधवजी"|"78 पाटील
सांगली 719789"
"ईश्वर भोसलेजी"|"4521 प्रशांत माने
नाशिक-176838"
"आदित्य साळुंखे"|"50/03 गायकवाड
औरंगाबाद-031117"
"प्रज्ञा जगताप"|"7462 हर्षदा साने
जळगाव 458036"
"कोमल चव्हाण"|"5/8 स्वाती ओक
नवी मुंबई-869912"
"मीनल साने"|"6360 नेहा साळुंखे
पुणे-823878"
"माधव मोरे"|"07 संदीप गायकवाड
ठाणे 578296"
"श्रीमती अनिता देशपांडे"|"86/8527 अंजली कुलकर्णी
जळगाव-002406"
"कल्पना कांबळे"|"1 कुलकर्णी
सातारा-704791"
"श्री अभिजीत शिंदे"|"24/65 पाटील
नांदेड 691603"
"सुनील जोशीजी"|"60/05 कैलास अहेर
अकोला 734469"
"कीर्ती कुलकर्णी"|"6640 आगरकर
नाशिक-693997"
"माधव फडके"|"3/0 लता साळुंखे
अकोला-425927"
"निलेश मोरेजी"|"047 वैशाली चौगुले
मुंबई 527839"
"श्रीमती रोहिणी सावंत"|"6 मोरे
यवतमाळ 076006"
"अनिल कदमजी"|"27/995 गायकवाड
अकोला 553321"
"कुमारी किरण महाजन"|"374 हर्षदा जाधव
अहमदनगर 769743"
"अमित शिंदे"|"30 कुलकर्णी
रत्नागिरी-280485"
"नेहा जाधवजी"|"0/3 जोशी
कोल्हापूर-730137"
"नेहा देशपांडेजी"|"6/2 आदित्य कुलकर्णी
नाशिक 373651"
"सुनील ठाकूरजी"|"80/38 कविता महाजन
पुणे 182243"
"स्नेहा देशमुखजी"|"123 निलेश जाधव
गोंदिया 566983"
"श्री अपर्णा जगताप"|"6333 अपर्णा देशमुख
नांदेड-958518"
"श्री समीर कुलकर्णी"|"1 प्रकाश ठाकूर
नागपूर 173553"
"कुमारी आदित्य कदम"|"2976 अनिल गायकवाड
सांगली-446955"
"नेहा कांबळेजी"|"76 माने
ठाणे 247094"
"माधुरी गायकवाडजी"|"97/02 देशपांडे
यवतमाळ 451871"
"चेतन शिंदेजी"|"43/100 नेहा कोल्हे
नागपूर-378312"
"विवेक ओकजी"|"0 कुलकर्णी
उस्मानाबाद-704312"
"श्री मिलिंद कांबळे"|"56/52 शिंदे
कोल्हापूर-965338"
"सुनील देशमुखजी"|"51/105 ठाकूर
जळगाव-288230"
"अशोक देशमुख"|"83/23 महाजन
बीड-775419"
"श्री मकरंद शिरसाट"|"16/858 मकरंद शिंदे
जळगाव-230179"
"राहुल भोसलेजी"|"7 दीपाली राऊत
कोल्हापूर 089416"
"गौरव शिरसाटजी"|"9072 निखिल जगताप
अकोला-506552"
"संदीप कांबळेजी"|"67/8856 आगरकर
अहमदनगर-476144"
"श्री विवेक शिरसाट"|"87/03 रेणुका कुलकर्णी
सातारा 646597"
"कुमारी कल्पना कदम"|"4252 कदम
अकोला-196208"
"चेतना ठाकूरजी"|"40/32 पूजा कदम
नवी मुंबई 922119"
"अशोक जाधवजी"|"4446 जाधव
नाशिक 116528"
"सुनील पवार"|"178 कुलकर्णी
नाशिक-833276"
"अभिजीत मोरेजी"|"70 कांबळे
मुंबई 044505"
"विवेक साने"|"86/762 कुलकर्णी
नागपूर-382331"
"वैशाली जगतापजी"|"53/177 संदीप चौगुले
गोंदिया 551806"
"कुमारी अपर्णा देशपांडे"|"1/2 वैशाली साने
नाशिक 039090"
"कल्पना कदम"|"4/1 शिरसाट
मिरज-529022"
"प्रशांत जाधवजी"|"61/32 आशा चौगुले
पिंपरी-चिंचवड 233311"
"मोहन पवारजी"|"70/25 कोमल कोल्हे
धुळे 638235"
"हर्षदा जोशी"|"84 चौगुले
जळगाव-872941"
"श्रीमती कविता गवळी"|"02/14 रोहिणी पाटील
सोलापूर 602748"
"सुनील पवारजी"|"4 निखिल भोसले
अहमदनगर 151609"
"कुमारी विकास पाटील"|"10/043 श्रुती ठाकूर
कोल्हापूर-229578"
"कुमारी मकरंद साने"|"38/5458 मिलिंद आगरकर
लातूर 973476"
"श्रीमती कल्पना आगरकर"|"17/92 अभिषेक जगताप
हिंगोली 912210"
"श्री कविता कोल्हे"|"8256 कीर्ती चव्हाण
वसई-552895"
"मानसी देशपांडे"|"3/5 रोहित अहेर
रत्नागिरी-241747"
"उमा चव्हाण"|"227 उमा मोरे
कोल्हापूर-995967"
"हर्षद साळुंखेजी"|"287 निखिल सावंत
उस्मानाबाद-904227"
"अपर्णा सावंतजी"|"825 हर्षदा देशपांडे
जळगाव-975192"
"श्रीमती मिलिंद मोरे"|"16/850 स्मिता जाधव
अकोला 038667"
"सुनील पाटील"|"2 निखिल शिंदे
जळगाव 303586"
"ईश्वर कुलकर्णी"|"439 गायकवाड
हिंगोली 889830"
"उमेश जाधव"|"12 गायकवाड
पिंपरी-चिंचवड 433938"
"राहुल कोल्हेजी"|"40 कांबळे
पिंपरी-चिंचवड 308243"
"श्री सुनील चव्हाण"|"09/883 अरुण गवळी
लातूर-403390"
"विकास सानेजी"|"23/7366 पूजा कदम
नवी मुंबई-912157"
"आकाश सानेजी"|"9 साने
नाशिक-854218"
"स्वाती साने"|"7/1 स्नेहा कोल्हे
वसई 712871"
"कुमारी रोहिणी गायकवाड"|"20/8247 तन्वी जगताप
लातूर 416404"
"स्नेहा जाधव"|"999 कुलकर्णी
अहमदनगर-449462"
"सुनील फडकेजी"|"43/283 चौगुले
मिरज 294069"
"श्री शिल्पा देशमुख"|"5/5 आगरकर
सांगली-281885"
"किरण सावंतजी"|"64/05 निलेश ओक
यवतमाळ 825755"
"कुमारी कविता जगताप"|"12/86 भूषण साने
जळगाव 483107"
"कुमारी श्रुती कोल्हे"|"14/25 महाजन
नवी मुंबई 433987"
"रोहिणी ठाकूर"|"54 अमित साने
उस्मानाबाद-107146"
"कुमारी अशोक पवार"|"95 कांबळे
रत्नागिरी 874188"
"प्रकाश जगताप"|"715 प्रवीण फडके
ठाणे-294547"
"मीनल साळुंखे"|"0084 साळुंखे
सोलापूर-847231"
"रेणुका जाधवजी"|"677 तन्वी चव्हाण
लातूर-311320"
"सुनील फडकेजी"|"52/48 राऊत
रत्नागिरी 473632"
"चेतना सानेजी"|"18/18 शिंदे
गोंदिया-631288"
"अनिता शिरसाट"|"13 प्रज्ञा पवार
पिंपरी-चिंचवड-411829"
"रीमा कदमजी"|"95/48 अभिषेक सावंत
अकोला 577372"
"कीर्ती अहेर"|"2502 जोशी
अहमदनगर-286508"
"मोहन जाधवजी"|"7/7 साळुंखे
ठाणे-502407"
"जितेंद्र साळुंखे"|"25/30 गवळी
औरंगाबाद 213537"
"रोहिणी साळुंखेजी"|"78/1654 ठाकूर
नाशिक-217189"
"रोहित जगताप"|"25/0180 जगताप
मिरज 396577"
"कल्पना गवळीजी"|"10/2798 सावंत
यवतमाळ 295503"
"सुनील फडकेजी"|"64/1439 संदीप गायकवाड
सातारा-241673"
"विकास महाजन"|"9/3 हर्षद भोसले
चंद्रपूर 307420"
"अनुष्का चव्हाण"|"35/0904 जोशी
पिंपरी-चिंचवड 527287"
"मकरंद कोल्हे"|"51/11 दत्तात्रेय पवार
नागपूर 568099"
"मीनल शिंदेजी"|"86/38 जोशी
हिंगोली 401650"
"मीनल भोसलेजी"|"6/5 माने
नाशिक-175155"
"रीमा मोरे"|"37 विकास आगरकर
नवी मुंबई 375762"
"दीपाली जगताप"|"5 हर्षदा देशपांडे
औरंगाबाद 560754"
"उमेश गायकवाड"|"19/517 महाजन
सोलापूर 323226"
"अशोक कांबळे"|"483 अभिषेक सावंत
अकोला 181659"
"सुनील महाजनजी"|"8/7 जितेंद्र चव्हाण
उस्मानाबाद-646853"
"स्वाती अहेर"|"2 वैशाली जगताप
सातारा 015547"
"संदीप चौगुले"|"13/00 आकांक्षा महाजन
मिरज 329314"
"अनिरुद्ध जोशीजी"|"0/2 गौरी मोरे
रत्नागिरी 224510"
"कोमल शिंदे"|"0 अभिषेक गवळी
मुंबई-730591"
"अनिरुद्ध सावंतजी"|"95 कोमल चव्हाण
नागपूर 916251"
"श्री कीर्ती राऊत"|"8/2 शिंदे
अहमदनगर 905764"
"श्री आशा साळुंखे"|"15 कदम
नागपूर 204313"
"मंगेश पाटील"|"2 चौगुले
यवतमाळ-637359"
"अशोक आगरकरजी"|"71/232 दत्तात्रेय जोशी
हिंगोली-439919"
"सुनील माने"|"60/31 शिरसाट
कोल्हापूर 475264"
"श्रीमती स्नेहा जोशी"|"05/1330 मोरे
पुणे-013613"
"श्री दीपाली फडके"|"3 अमित कुलकर्णी
सांगली-026088"
"वैशाली शिरसाटजी"|"61/73 पाटील
पुणे-898086"
"लता फडकेजी"|"731 भोसले
हिंगोली-014966"
"अनिरुद्ध जाधवजी"|"3 फडके
लातूर 892728"
"अभिजीत गवळी"|"5 जगताप
मुंबई-486673"
"श्री इशिता माने"|"32 महाजन
जळगाव 927445"
"ईश्वर ओकजी"|"93/965 चौगुले
ठाणे-958605"
"श्रीमती अमोल फडके"|"3 पूजा चव्हाण
पुणे 052854"
"सुनील मानेजी"|"192 कुलकर्णी
यवतमाळ-194751"
"उमेश कुलकर्णी"|"45/8393 समीर कदम
औरंगाबाद-852604"
"कुमारी दत्तात्रेय देशमुख"|"75/623 अनिल कुलकर्णी
सांगली-414943"
"कुमारी मोहन पवार"|"90/29 लता अहेर
नाशिक-591017"
"मंगेश कोल्हेजी"|"27/965 अनिता ओक
अहमदनगर 786209"
"श्री संदीप कदम"|"03 साळुंखे
कोल्हापूर-674839"
"कुमारी अभिजीत पवार"|"38/16 शिंदे
कोल्हापूर 411253"
"कुमारी स्मिता सावंत"|"0 मिलिंद आगरकर
नांदेड-335596"
"कुमारी अभिषेक कदम"|"730 गौरव कदम
उस्मानाबाद 954980"
"प्रिया देशमुखजी"|"50/7555 मोहन देशमुख
नागपूर 133263"
"सुनील सानेजी"|"71/0793 उमा पवार
रत्नागिरी 613624"
"नेहा शिरसाटजी"|"7472 फडके
सोलापूर 269057"
"कुमारी मानसी जोशी"|"2/5 ठाकूर
परभणी 350771"
"दत्तात्रेय कदम"|"85/3589 स्मिता पवार
अमरावती-779399"
"जितेंद्र कांबळेजी"|"4/5 पवार
पिंपरी-चिंचवड-316302"
"कुमारी पूजा गायकवाड"|"009 मोरे
अकोला 115366"
"निलेश पवारजी"|"5/6 जगताप
सांगली-214817"
"किरण ओकजी"|"51/34 शिरसाट
वसई-807876"
"कीर्ती शिंदे"|"8 शिंदे
पिंपरी-चिंचवड-953511"
"कीर्ती साळुंखेजी"|"210 अनिरुद्ध फडके
जळगाव-677863"
"सुनील साळुंखे"|"4 ठाकूर
सातारा-779124"
"ज्योती फडकेजी"|"7 किरण भोसले
वसई 907274"
"श्री मीनल महाजन"|"84 माधुरी कांबळे
वसई 773396"
"जितेंद्र सावंत"|"61/91 जितेंद्र गायकवाड
नाशिक-192776"
"ईश्वर कांबळे"|"8226 पल्लवी ओक
धुळे-853524"
"कोमल ठाकूर"|"50/304 प्रशांत कदम
परभणी 320258"
"श्री अनिल माने"|"78 साळुंखे
चंद्रपूर-091764"
"रोहिणी अहेर"|"9078 पवार
अकोला-306025"
"श्री वैशाली चौगुले"|"21/4797 मेघा चौगुले
लातूर 635428"
"लता चौगुले"|"32/92 पल्लवी भोसले
कोल्हापूर-410300"
"सुनील सावंतजी"|"7/6 चौगुले
नागपूर 968646"
"धनंजय आगरकरजी"|"6/0 देशमुख
धुळे 114569"
"श्रीमती कल्पना देशमुख"|"83/05 स्वाती कदम
जळगाव-423215"
"शिल्पा फडकेजी"|"9/3 कांबळे
मुंबई-965769"
"श्रीमती मीनल माने"|"1 प्रिया जाधव
मुंबई-901822"
"अमोल चौगुले"|"9023 सावंत
नागपूर 126113"
"श्री ज्योती साने"|"3469 मोरे
अकोला 912343"
"सुरेश साने"|"23/1207 माने
यवतमाळ-247370"
"अनिता सानेजी"|"70/440 भूषण जोशी
पुणे-604289"
"कल्पना कांबळेजी"|"6 ओक
धुळे-466606"
"सुरेश अहेरजी"|"2 पल्लवी ओक
वसई 617160"
"श्री प्रिया आगरकर"|"29/703 माने
बीड-518064"
"चेतना चव्हाण"|"084 दत्तात्रेय माने
बीड-510413"
"गणेश भोसले"|"9 कोमल चव्हाण
नवी मुंबई-605498"
"श्रीमती आदित्य फडके"|"45/418 चेतन आगरकर
हिंगोली-706075"
"मिलिंद जोशीजी"|"28/224 मोरे
लातूर-762836"
"श्री उमेश शिरसाट"|"5141 गायकवाड
नाशिक-669470"
"स्मिता शिरसाट"|"4/5 ओक
ठाणे-475454"
"कुमारी रीमा आगरकर"|"23 भूषण जाधव
पुणे-652146"
"श्री मंगेश महाजन"|"92/836 सावंत
गोंदिया-012450"
"सुरेश आगरकरजी"|"7 किरण चौगुले
रत्नागिरी 807127"
"निखिल राऊतजी"|"24/558 पवार
नांदेड-780661"
"अमोल मोरेजी"|"63/666 सुरेश शिरसाट
वसई 355939"
"स्मिता जगतापजी"|"2/5 मानसी फडके
नागपूर 705514"
"सुनील शिंदे"|"255 माने
गोंदिया-031164"
"तन्वी माने"|"24/2147 जगताप
उस्मानाबाद 052677"
"प्रिया गायकवाड"|"4/4 शिरसाट
पिंपरी-चिंचवड 352387"
"उमेश शिरसाट"|"434 दीपक जाधव
चंद्रपूर-540108"
"हर्षद आगरकरजी"|"4/7 देशमुख
नवी मुंबई 284945"
"अमित देशपांडे"|"75/63 रोहित जगताप
पिंपरी-चिंचवड 443067"
"सुरेश ओक"|"6 अनुष्का चव्हाण
हिंगोली-434766"
"हर्षदा मोरे"|"1 आशा गायकवाड
नाशिक-667711"
"पल्लवी ओक"|"85/58 साने
मिरज-214720"
"मानसी राऊतजी"|"1 प्रकाश जोशी
पुणे-844046"
"श्रीमती इशिता कोल्हे"|"7485 अनिल कुलकर्णी
परभणी 434544"
"प्रिया शिरसाटजी"|"8109 अहेर
सोलापूर 149100"
"संदीप गवळी"|"24/9195 शिंदे
बीड 608071"
"ज्योती ओकजी"|"4 इशिता साने
धुळे-402961"
"कुमारी श्रुती कांबळे"|"3/4 सावंत
मिरज 727752"
"धनंजय माने"|"22/359 स्वाती राऊत
सांगली-679645"
"सुरेश कदम"|"577 धनंजय माने
सातारा 079236"
"लता शिरसाट"|"80 प्रकाश कदम
सांगली-442654"
"आकांक्षा साळुंखे"|"3250 स्वाती कांबळे
ठाणे-947225"
"श्रीमती विनायक शिंदे"|"81/53 चव्हाण
लातूर 754451"
"उमेश कुलकर्णी"|"91 माने
नवी मुंबई 768730"
"श्री मोहन देशपांडे"|"69/69 चेतन अहेर
उस्मानाबाद-057950"
"प्रवीण माने"|"7 वैशाली भोसले
वसई-093939"
"प्रवीण शिंदेजी"|"79/9939 कदम
मिरज 261253"
"कुमारी मंगेश जाधव"|"7 शिंदे
अहमदनगर-107675"
"हर्षदा देशपांडे"|"59 ठाकूर
सोलापूर-851323"
"सुरेश कदम"|"9/6 राऊत
ठाणे-234136"
"आशा कदमजी"|"17 जगताप
वसई-696685"
"श्री पल्लवी साळुंखे"|"13/4501 विनायक ठाकूर
सातारा-613159"
"कुमारी ज्योती मोरे"|"03/42 मंगेश गायकवाड
रत्नागिरी 781225"
"दत्तात्रेय चव्हाणजी"|"1544 मेघा पाटील
यवतमाळ 987340"
"अनिता ठाकूर"|"33/48 माधुरी कांबळे
औरंगाबाद-229013"
"समीर गायकवाडजी"|"4/9 शिरसाट
चंद्रपूर 392675"
"अंजली शिरसाट"|"883 साळुंखे
अमरावती 655305"
"श्री मोहन चौगुले"|"1 भूषण साळुंखे
औरंगाबाद-949972"
"अनुष्का साळुंखेजी"|"19/1324 आगरकर
सोलापूर-879033"
"सुरेश गवळी"|"88/3032 इशिता जाधव
जळगाव 996123"
"अभिजीत महाजनजी"|"946 राऊत
नवी मुंबई 616647"
"अशोक गायकवाडजी"|"38/490 शिंदे
मुंबई 531214"
"अनिता फडकेजी"|"2/9 जोशी
कोल्हापूर-894937"
"तन्वी साळुंखे"|"90 रेणुका माने
धुळे 317737"
"स्मिता शिंदे"|"0/2 चौगुले
बीड 749587"
"मेघा गायकवाड"|"264 प्रिया भोसले
मुंबई-876083"
"अनुष्का चौगुले"|"18/57 मेघा भोसले
वसई-183159"
"प्रिया ठाकूरजी"|"70/24 समीर गायकवाड
अमरावती 574785"
"अभिजीत देशमुख"|"85/00 ओक
सातारा-813279"
"सुरेश जाधव"|"4 राहुल ठाकूर
मुंबई 982390"
"सचिन पवारजी"|"4 मिलिंद साने
चंद्रपूर 162310"
"कुमारी ज्योती पवार"|"0 अहेर
ठाणे-101965"
"चेतन भोसलेजी"|"2 मोहन पवार
औरंगाबाद-679396"
"श्री प्रकाश साळुंखे"|"71/17 मकरंद पवार
बीड 916062"
"आदित्य देशमुखजी"|"6 वैशाली गायकवाड
मुंबई-086240"
"संदीप पवारजी"|"6000 चौगुले
बीड 017500"
"कीर्ती कांबळे"|"76/26 नेहा कदम
नवी मुंबई-264300"
"आदित्य गायकवाडजी"|"39 ज्योती शिंदे
मुंबई 093421"
"आकांक्षा शिंदेजी"|"41/62 अहेर
लातूर 411480"
"सुरेश जाधव"|"9528 दीपक साने
ठाणे 008087"
"हर्षद गवळी"|"58/022 मेघा शिरसाट
ठाणे-037157"
"दीपक जगताप"|"2 मोरे
मिरज-646034"
"नेहा देशपांडे"|"9225 पंकज भोसले
अहमदनगर-921811"
"कुमारी हर्षदा साने"|"470 प्रकाश कदम
पुणे-462542"
"श्री श्रुती देशमुख"|"6 ईश्वर जाधव
धुळे-633202"
"मंगेश अहेरजी"|"49/54 साळुंखे
वसई-459134"
"मानसी पवारजी"|"055 किरण जोशी
गोंदिया 036453"
"श्रुती भोसलेजी"|"0/4 आगरकर
जळगाव-774956"
"दत्तात्रेय जगतापजी"|"4 उमेश साने
ठाणे-235199"
"सुरेश देशमुख"|"6648 राऊत
नांदेड 804901"
"धनंजय पाटीलजी"|"840 वैशाली पाटील
अमरावती 488003"
"आदित्य सावंत"|"9/7 राऊत
अमरावती-827904"
"मकरंद राऊतजी"|"09/98 शिंदे
परभणी-708249"
"रीमा अहेरजी"|"5 पल्लवी कदम
मिरज-815754"
"इशिता मोरे"|"98/152 विवेक फडके
पुणे 974747"
"तन्वी गवळीजी"|"100 अपर्णा आगरकर
वसई-084475"
"प्रवीण शिरसाटजी"|"67/93 सावंत
परभणी 373484"
"ईश्वर जोशीजी"|"23/249 अमित गायकवाड
चंद्रपूर-339877"
"रीमा जगतापजी"|"38 पाटील
अमरावती-540245"
"सुरेश देशमुखजी"|"8 गौरव कदम
अमरावती-680222"
"श्री माधव गवळी"|"79/84 गायकवाड
हिंगोली-704388"
"अनिता कुलकर्णी"|"81 प्रकाश जोशी
परभणी-395766"
"कोमल आगरकर"|"73 शिरसाट
चंद्रपूर-073471"
"श्री श्रुती सावंत"|"1/0 तन्वी कदम
अहमदनगर 164657"
"प्रवीण साळुंखे"|"7423 कदम
रत्नागिरी 267735"
"कीर्ती गवळीजी"|"5606 आगरकर
अमरावती 515701"
"सचिन जाधव"|"10/560 गौरव राऊत
अहमदनगर-754809"
"श्री आदित्य साळुंखे"|"43 चव्हाण
मिरज 916592"
"भूषण राऊत"|"25/57 महाजन
औरंगाबाद-207862"
"सुरेश पवार"|"40 साळुंखे
अहमदनगर-587545"
"ज्योती कांबळे"|"163 राऊत
गोंदिया-766559"
"मंगेश कुलकर्णी"|"024 हर्षदा मोरे
चंद्रपूर 816847"
"कुमारी मानसी पवार"|"7/6 अनिल भोसले
यवतमाळ-292538"
"श्री मीनल चव्हाण"|"46 हर्षदा कदम
मिरज 436349"
"कोमल चव्हाण"|"10/273 गणेश साळुंखे
वसई 663402"
"श्री मकरंद जगताप"|"1875 आगरकर
कोल्हापूर 408414"
"कुमारी गणेश अहेर"|"47/6901 कोल्हे
मिरज-563514"
"श्रीमती उमा फडके"|"1240 विकास ओक
जळगाव 856669"
"हर्षदा फडके"|"4/2 शिरसाट
वसई-481224"
"सुरेश पवारजी"|"733 शिंदे
मुंबई-553515"
"श्रीमती पंकज सावंत"|"880 ठाकूर
नागपूर-917513"
"कुमारी आदित्य शिंदे"|"4 दीपाली गायकवाड
रत्नागिरी-870849"
"प्रज्ञा कुलकर्णी"|"3842 कांबळे
मिरज 933487"
"कुमारी अनिरुद्ध अहेर"|"72/89 सावंत
अहमदनगर-180802"
"निलेश ठाकूर"|"01/78 विनायक चव्हाण
धुळे-209489"
"वैशाली शिरसाटजी"|"2692 अपर्णा माने
लातूर-166667"
"श्री उमेश राऊत"|"89 साळुंखे
वसई-391255"
"सुनील जगतापजी"|"58/6721 मकरंद देशमुख
लातूर 503409"
"रोहित सावंत"|"83/2590 जगताप
सातारा 652319"
"सुरेश पाटीलजी"|"15/620 साळुंखे
अकोला-199423"
"हर्षदा जगतापजी"|"28/5734 जोशी
सांगली-873373"
"कुमारी विकास देशपांडे"|"4/5 महाजन
रत्नागिरी-638661"
"कीर्ती ठाकूर"|"5 ओक
बीड-202522"
"कुमारी अनिरुद्ध आगरकर"|"94 चव्हाण
पुणे-140933"
"श्री जितेंद्र जोशी"|"661 कैलास अहेर
नवी मुंबई 020085"
"अमित जगतापजी"|"6913 नेहा चव्हाण
पिंपरी-चिंचवड 920687"
"श्री स्वाती माने"|"15/3350 तन्वी राऊत
अकोला 185889"
"रीमा कुलकर्णी"|"02/0729 माने
नांदेड-896846"
"कैलास कांबळेजी"|"58/611 तन्वी चव्हाण
गोंदिया-427433"
"सुरेश भोसले"|"29/3207 ज्योती महाजन
रत्नागिरी-917884"
"लता पाटीलजी"|"3 साने
मुंबई 994390"
"मंगेश मोरे"|"64/0035 अंजली जगताप
लातूर-044582"
"श्री भूषण शिंदे"|"08 साने
यवतमाळ-486021"
"अनिल गवळीजी"|"4120 श्रुती देशपांडे
हिंगोली-794687"
"स्नेहा पवारजी"|"1502 पवार
उस्मानाबाद 167156"
"तन्वी शिरसाटजी"|"294 दीपाली सावंत
बीड 408000"
"माधुरी ओकजी"|"13/58 कुलकर्णी
नाशिक 090244"
"अपर्णा जगतापजी"|"5 देशपांडे
सांगली 259600"
"कुमारी कोमल शिंदे"|"7658 कदम
सातारा 860641"
"सुरेश भोसले"|"3570 आदित्य गायकवाड
अहमदनगर-935774"
"आकांक्षा पाटीलजी"|"9 देशपांडे
नाशिक-986046"
"दीपक जोशीजी"|"11/179 कीर्ती ठाकूर
सातारा-233573"
"श्री विकास चव्हाण"|"4264 कविता अहेर
सांगली-050265"
"अमित भोसलेजी"|"19/053 जाधव
सोलापूर 524160"
"धनंजय शिरसाटजी"|"71/83 कोल्हे
लातूर-990207"
"श्रीमती विवेक साने"|"87/6402 मंगेश जोशी
अहमदनगर 423313"
"श्रीमती रोहिणी कोल्हे"|"14/23 उमा शिरसाट
मिरज 127745"
"दत्तात्रेय ओक"|"64/3886 जाधव
सोलापूर 410534"
"श्रीमती मीनल चौगुले"|"07/3093 शिरसाट
यवतमाळ-455445"
"सुरेश महाजनजी"|"20/30 कुलकर्णी
उस्मानाबाद 721598"
"चेतना चव्हाणजी"|"3 किरण मोरे
धुळे-167443"
"आकाश गवळीजी"|"227 कोल्हे
मुंबई 473096"
"कुमारी माधव महाजन"|"25/739 कदम
लातूर-417920"
"अशोक राऊतजी"|"07 शिल्पा कुलकर्णी
लातूर 801388"
"मीनल साने"|"02/01 महाजन
वसई 337830"
"दीपक ओकजी"|"850 माने
नांदेड-997117"
"कविता महाजन"|"5/0 पवार
पिंपरी-चिंचवड 114199"
"प्रज्ञा चव्हाणजी"|"701 मेघा ओक
परभणी 839326"
"लता चव्हाणजी"|"8964 राऊत
सातारा 071392"
"सुरेश शिरसाटजी"|"03/8805 कदम
वसई 671288"
"उमेश जाधवजी"|"4 शिरसाट
सातारा 182338"
"नेहा गवळीजी"|"1 सावंत
नवी मुंबई 335409"
"विवेक कुलकर्णीजी"|"79/6999 हर्षदा पवार
रत्नागिरी-736032"
"श्रीमती कविता देशमुख"|"56/208 कविता चौगुले
नाशिक 290538"
"सचिन जोशी"|"65 देशपांडे
धुळे 939114"
"ज्योती जोशी"|"49/9036 ठाकूर
नवी मुंबई-660450"
"गणेश कदमजी"|"2490 कीर्ती सावंत
सोलापूर 329931"
"विनायक शिरसाटजी"|"93 स्मिता गायकवाड
परभणी-040890"
"श्री मीनल ठाकूर"|"250 अनुष्का शिरसाट
वसई 950318"
"सुरेश शिरसाटजी"|"578 शिल्पा आगरकर
जळगाव 804637"
"श्री हर्षदा पवार"|"1/9 जगताप
वसई-876625"
"उमेश कुलकर्णीजी"|"9 जगताप
कोल्हापूर-010712"
"अमोल मानेजी"|"9 सचिन फडके
कोल्हापूर-797424"
"चेतन देशमुख"|"6/7 नेहा सावंत
लातूर-765344"
"श्री अमित चव्हाण"|"87/04 अहेर
कोल्हापूर 713164"
