"अंकिता जोशी","32 दासगुप्ता
भागलपुर 931548" 
"कुमार भट्टाचार्य","785 कपूर
जिलोंपर 026447"
"देवी भरद्वाज","07/894 सेठ सेनगुप्ता
धर्मापुरी 971277"
"सम्मानसूचक सेठ थापा","00/124 सरल कुमार
अमरावती 254312"
"दुर्गा भटनागरजी","304 गोयल
असम 705207"
"प्रतिमा झादवजी","1/6 गणेश चवन
चक्रधरपुर 265930"
"संजित बुरुाहजी","7 प्रधान
बचेली-424889"
"सम्मानात्मक विजय झा","68/73 सवितृ त्रिवेदी
रानीताल-039138"
"गौहर यादव","3 विशाल अगरवाल
अनन्तपुर-249859"
"सुशील पिल्लई","5/6 चौहान
अलीगढ 559370"
"दिलीप प्रसाद","8 ज्योत्सना शाह
बहादुरगढ-062476"
"रश्मी जोशीजी","162 रंगराजन
अन्तर्गत-073531"
"हरि राव","0399 झा
मुंबई 508961"
"सम्मानसूचक सेठ रंगराजन","51/15 अरोरा
देवगढ़ 243916"
"सुनीता बनर्जीजी","0/3 ऐश्वर्या प्रसाद
पाकाला-412961"
"सम्मानात्मक लाल तमांग","9283 नारायण
धारवाड-802600"
"प्रकाश गोयलजी","434 उमा मित्रा
मुंबई-926959"
"रवि मित्राजी","7 रचना छेत्री
धारवाड 873139"
"धवल रोद्रिगुएसजी","29 कदम
खडगपुर-615952"
"आदरसूचक गीता चटर्जी","7/9 दयाराम घोष
चिपलुन-237775"
"विमल सरीन","8437 बलासुब्रमानियम
आदिलाबाद-086561"
"सूर्य तमांगजी","568 छेत्री
अमरावती-974460"
"पद्मावती चोपराजी","98/050 अंकिता टंडन
मोतिहारी 906449"
"सम्मानसूचक हर्श जेटली","4159 त्रिवेदी
देवास 571407"
"सम्मानसूचक लीना सिंह","15/0940 देवराज जैन
विस्तारण 157336"
"माननीय दर्शना मालिक","0 दर्शना मेहता
बहादुरगढ-229932"
"अनिरुद्ध मैती","42 मंडल
सभापतिने-312431"
"सम्मानात्मक अनिश पवार","6/1 झादव
देवास-948502"
"संमानित मञ्जु आचार्य","2 जैन
बचेली 391831"
"सम्मानात्मक अंकिता बुरुाह","96/04 गोपाल जैन
अम्बाजी-508576"
"सुधीर मेहताजी","202 जयन्त छेत्री
चित्रकूट 213072"
"संमानित ब्रह्मा सिंह","6/0 नारायण झादव
चक्रधरपुर-068501"
"कमल रॉयजी","11/9190 कान्ती टंडन
पाकाला 352489"
"सम्मानसूचक हर्शल झादव","90/9554 त्रिवेदी
आदिलाबाद 890368"
"अनिला जेटलीजी","73/28 गोयल
असम-522123"
"आदरवाचक नीरव सैनी","14/6064 सुमना पटेल
फतहपुर 844041"
"रति जेटली","13/3646 जैन
अन्तर्गत-587417"
"कम्बोज गावडेजी","63 अवनी साहा
इलाहाबाद 690057"
"सम्मानसूचक लक्ष्मण मालिक","64 शक्ति सिन्हा
अमरावती 906623"
"आदरवाचक कान्ती मल्होत्रा","29/0725 नाथ
आदिलाबाद-399670"
"रावण कुमारजी","529 अरोरा
बचेली-073806"
"सीता डी’सोउज़ाजी","86/109 जगन्नाथ राव
अहमदनगर-696334"
"मोहिनी गावडेजी","871 कपूर
सभापतिने-765060"
"सम्मानसूचक हर्शल तिवारी","8861 प्रभात पाटिल
अन्तर्गत 458687"
"सम्मानात्मक मञ्जुनाथ वर्मा","11/0675 मानदीप मेहता
बहादुरगंज-338399"
"तृष्णा कौलजी","74/050 अमला जैन
जिससेबेलारी-292388"
"कुणाल जेटलीजी","71/101 सिंह
अनन्तपुर-789101"
"देवदान थापाजी","35/523 खान
असम-122745"
"कशोर गुहाजी","5 झा
जिलोंपर 605261"
"सम्मानात्मक सीता मित्रा","7416 गोयल
अमरपुर-230391"
"श्यामल अगरवालजी","84/132 देशपांडे
अहमदाबाद 434858"
"सम्मानसूचक कान्ती मल्होत्रा","84/4011 पार्वती सेनगुप्ता
मुंबई 979897"
"अमला बोसजी","5 अनुजा दास
हैदराबाद-336221"
"सम्मानसूचक िकशोरी रेड्डी","04/415 कलिता
अम्बाजी-520790"
"आदरसूचक गुलज़ार चोधरी","48/687 दर्शन भट्टाचार्य
फतेहगढ 207892"
"उमा मेननजी","66/15 सेन
देवास 002932"
"मधुर खत्रीजी","3/1 लीलावती राय
अहमदाबाद 543692"
"माननीय राहुल शर्मा","79 वेंकटएसन
अजमेर-382645"
"कमला यादव","2042 प्रेमा मिश्रा
अहमदाबाद 405054"
"माननीय अणिमा पाटिल","5/6 सक्सेना
बहादुरगंज-792849"
"सती कौलजी","25/4456 गुरुंग
चित्रकूट-091384"
"लता अहलूवालियाजी","542 भटनागर
जिससेबेलारी-409481"
"रामकृष्ण सैनीजी","2/5 रेशमी मुख़र्जी
अहमदाबाद 097251"
"सम्मानात्मक अंकुर वेंकटएसन","42/36 सुब्रमण्यम
रानीताल-317221"
"सम्मानात्मक शशि सिंह","8/6 आशा पवार
दादरा और नगर हवेली-258791"
"रजनी घोषजी","17/2453 पाण्डेय
अलांग-059859"
"सुनील अगरवालजी","9687 सुमती रंगन
चित्रकूट 756332"
"महावीर चोधरीजी","45/516 नित्य द्विवेदी
चिरमिरी 896479"
"सम्मानात्मक शिवाली सक्सेना","5 आनन्द चवन
बहादुरगंज-143765"
"माननीय भरत अहलूवालिया","0/6 नारायण
सभापतिने 166308"
"माननीय मधु बनर्जी","2 बुरुाह
पाकाला-073680"
"आदरवाचक मणि जयरामन","13/24 प्रणव गुप्ता
करना 503150"
"ऋषि भरद्वाज","60/33 मालिक
जिलोंपर-907530"
"सम्मानात्मक अकबर चटर्जी","72 अर्चना पटेल
खडगपुर-815807"
"महेन्द्रा कौलजी","86/90 मंडल
आदिलाबाद 086601"
"सुधीर गुरुंग","308 सुनीती हजारिका
देवगढ़-708073"
"माला कदम","6 शाह
अलांग-536465"
"माननीय प्रेमा प्रधान","23/33 सिंह
चिरमिरी-984784"
"कान्ती कौलजी","0 पाण्डेय
जिससेबेलारी-650703"
"सम्मानसूचक बल रॉय चौधरी","530 हर्शद कलिता
पाकाला-420940"
"इन्दिरा चोधरी","39 प्रधान
धर्मापुरी-217672"
"सुनील कदम","72/77 रञ्जित घोष
अनंतनाग 032076"
"अभय चौहान","089 आशा मिश्रा
अनन्तपुर 445119"
"सम्मानात्मक अकबर चोपरा","6747 राय
देहरा-442325"
"अनिरुद्ध हजारिका","70/518 सिंह
मोकोकचुंग-803252"
"शर्म तमांगजी","83/443 गुरुंग
अनंतनाग 463219"
"माननीय आदित्य रोद्रिगुएस","068 मिस्त्री
जिससेबेलारी-930500"
"संमानित सुभाष वर्मा","7 कर्ण साहा
धर्मापुरी-604434"
"सम्मानात्मक स्वर्ण चतुर्वेदी","131 अवनी नाथ
हैदराबाद 198252"
"सुन्दर रंगराजनजी","4/2 लीला ताम्बे
जिलोंपर 208370"
"लोचन शुक्ला","7/0 श्रीवास्तव
बहादुरगंज 656437"
"आदरसूचक रानी सेनगुप्ता","043 गौतम डी’सोउज़ा
अखनूर 205835"
"सम्मानात्मक रुक्मिणी मुख़र्जी","98/1168 सरकार
असम 804417"
"सम्मानात्मक अनिल सिंह","9/6 रॉय चौधरी
असम 220105"
"कौशल्या सक्सेनाजी","7 सैनी
असम 835102"
"सम्मानसूचक गोपाल यादव","64/49 विशाल पाण्डेय
दादरा और नगर हवेली-917762"
"सम्मानात्मक माया चटर्जी","9351 शनि चोधरी
अलीगढ-958168"
"शक्ति डी’सोउज़ा","83/3400 मालिक
धर्मापुरी 501565"
"अनुज जोशी","7 चतुर्वेदी
अहमदाबाद-143402"
"आदरवाचक उमा खान","759 रानी चक्रवर्ती
अहमदाबाद-308786"
"संमानित कुंती राय","8819 दुत्ता
सभापतिने 786920"
"वासिष्ठ मालिकजी","287 पाण्डेय
मोकोकचुंग 957009"
"सम्मानात्मक अमृत महरा","1/7 कुमार
चंडीगढ-863952"
"सम्मानात्मक अनुजा चतुर्वेदी","0 मीरा जयरामन
देवगढ़-873400"
"माया मिश्राजी","84/677 आहूजा
रानीताल-155139"
"कौशल्या गुप्ता","740 उमा झादव
रानीताल-003282"
"सम्मानसूचक अनुष्का शुक्ला","61 राधा सिंह
लखनऊ-918252"
"आदरसूचक सुरेश सेन","45/154 विष्णु आचार्य
मोकोकचुंग-765368"
"सम्मानसूचक कान्ता साहा","01/23 चतुर्वेदी
इलाहाबाद 362947"
"महेन्द्रा सेन","35 मालती जयरामन
खडगपुर 433511"
"माननीय मोहिनी प्रसाद","69/21 मित्रा
चक्रधरपुर-482885"
"माननीय दामोदर आहूजा","198 कल्पना अरोरा
फतेहगढ-661116"
"माननीय अर्जुन यादव","83/59 चण्ड सुब्रमण्यम
धारवाड-025953"
"सम्मानात्मक अमर आहूजा","174 दामोदर आचार्य
लखनऊ 343188"
"आदरसूचक अमित ताम्बे","1 इन्दिरा भट्टाचार्य
भद्रक-748018"
"संमानित चन्द्रकान्ता शर्मा","70 नारायण
फतेहगढ-171300"
"विशाल सिन्हाजी","06 हजारिका
खडगपुर 512833"
"प्रेमा छेत्री","1 अनुष्का खत्री
अहमदाबाद 499162"
"शनि कुमार","9/6 तारा मिश्रा
इलाहाबाद 737438"
"अखिल सरीनजी","0 पुष्पा सक्सेना
खडगपुर-160224"
"संमानित अरुणा जेटली","4530 ऋषि रंगन
चिराला-169408"
"अनिरुद्ध प्रधानजी","143 मल्होत्रा
अनंतनाग-269088"
"रानी सिन्हाजी","97/397 त्रिवेदी
चक्रधरपुर 760608"
"सम्मानात्मक अर्जुन मिस्त्री","94/5654 कौल
अमरपुर-489669"
"सम्मानसूचक वासिष्ठ हजारिका","46 त्रिवेदी
अखनूर 431557"
"अभिलाषा वर्माजी","8 मंडल
रानीताल-417914"
"कृष्ण सिंहजी","67/9655 महात्मा पिल्लई
अमरावती 700413"
"प्रेमा बलासुब्रमानियमजी","9 अदिती नायर
चित्रदुर्ग 199786"
"माननीय उषा मजूमदार","536 सुदर्शन रंगन
चित्रदुर्ग-450078"
"श्रीपति सेन","29/0048 चक्रवर्ती
खडगपुर 624354"
"ज्योत्स्ना चोधरीजी","62/1690 राम श्रीवास्तव
असम 486424"
"लीला मैतीजी","7/9 हनुमान् बुरुाह
अखनूर 641894"
"शेखर घोषजी","22/889 अंकुर त्रिवेदी
देवास 176483"
"सम्मानात्मक अर्जुन रेड्डी","64 प्रसाद
बहादुरगंज 976357"
"सम्मानात्मक माधवी शुक्ला","32/796 गुप्ता
अन्तर्गत 787545"
"माननीय रिया अगरवाल","61/450 महात्मा चवन
अलीगढ 892393"
"आदरसूचक इन्द्र रेड्डी","38/6939 पद्मावती दास
जिससेबेलारी 096831"
"स्वर्ण आचार्य","1/0 ताम्बे
दादरा और नगर हवेली 508474"
"आदरवाचक पल्लव मैती","23/01 कल्पना पिल्लई
अहमदाबाद 341685"
"लक्ष्मी तिवारी","52/852 हनुमान् लोबो
फतहपुर-334847"
"माननीय आकाङ्क्षा चौहान","31/424 चोधरी
जिलोंपर-789136"
"माननीय शेखर छेत्री","91/1272 इन्द्र बुरुाह
धारवाड 193988"
"आदरसूचक आनन्दा रॉय","0 खत्री
फतेहगढ-721447"
"सम्मानात्मक आकाङ्क्षा बुरुाह","09 सुब्रमण्यम
लखनऊ 405108"
"ऋषि भटनागरजी","2947 प्रदीप रॉय चौधरी
धर्मापुरी-017789"
"विष्णु पाटिल","66/8282 जयरामन
अमरपुर-344208"
"अंकिता शाह","01/7223 सेन
विस्तारण 567608"
"अभिलाषा पिल्लईजी","5 वर्मा
देवगढ़-467132"
"संमानित श्री सरकार","7 शंकर चटर्जी
अखनूर 083528"
"सम्मानात्मक नेहा झा","1047 प्रताप रेड्डी
फतहपुर 747261"
"सम्मानसूचक देवराज मैती","99/9516 मिश्रा
आदिलाबाद-364975"
"शनि देशपांडे","95/6895 भट
चंडीगढ-037808"
"आनन्द द्विवेदी","09 सुरज जेटली
अकोला 958542"
"सम्मानात्मक इन्दिरा पिल्लई","34/732 अनुज बनर्जी
फतेहपुर 801603"
"नित्य द्विवेदी","8311 जैन
खडगपुर 784587"
"सम्मानसूचक लीलावती चटर्जी","9 गुप्ता
जिलोंपर-611280"
"निशा मंडल","5681 भरद्वाज
अहमदाबाद 948531"
"सम्मानात्मक उत्तम रंगराजन","53 सेनगुप्ता
बचेली 423547"
"सम्मानात्मक विमला आहूजा","9/8 कौल
अखनूर 460925"
"कला लोबो","61/079 दीपक द्विवेदी
करना-862465"
"नरेन्द्र द्विवेदी","64/263 लोचन कपूर
खडगपुर-450838"
"माननीय नेहा चोपरा","75/73 कदम
मोकामा-013005"
"नरेन्द्र बोसजी","61/30 बनर्जी
इलाहाबाद-218171"
"सम्मानात्मक इन्द्र पिल्लई","92/9970 पल्लव चोधरी
लखनऊ 284535"
"आदरसूचक शोभा मिश्रा","5 सुनीता शाह
आदिलाबाद 482239"
"दीपाली सरीनजी","75/4630 संजय भटनागर
जिससेबेलारी-383674"
"पुरुषोत्तम डी’सोउज़ा","00/713 सुमती थापा
अन्तर्गत-559913"
"सुलभा पिल्लईजी","6631 बोस
रानीताल 893976"
"रजनी नायर","27/8039 पटेल
देवगढ़ 218532"
"प्रभात मिस्त्रीजी","68/4531 कुमार
अम्बाजी 901319"
"रश्मी नायरजी","6/1 बलासुब्रमानियम
आदिलाबाद-255002"
"सम्मानात्मक प्रमोद अरोरा","60/564 मञ्जूषा नाथ
फतेहपुर 277596"
"आदरवाचक गुलज़ार भट","1 चतुर्वेदी
चक्रधरपुर 520330"
"सम्मानात्मक इन्द्र मिस्त्री","95/7033 रंगन
चिपलुन 566913"
"चण्डा भटजी","6602 पीताम्बर प्रधान
अहमदनगर 253202"
"सम्मानसूचक शंकर शुक्ला","474 लोचन रॉय चौधरी
दालखोला 877947"
"सम्मानसूचक बलराम भट्टाचार्य","58/96 चन्द्रकान्ता अहलूवालिया
देहरा 853311"
"प्रणव लोबो","83/101 विशाल टंडन
मुंबई 856546"
"काली दुत्ता","4003 संजना नायर
फतहपुर-390436"
"शिवाली गुप्ताजी","3 चक्रवर्ती
चक्रधरपुर-372155"
"रोहन दासगुप्ता","84/4608 खत्री
देहरा-811602"
"करिश्मा गुरुंगजी","9503 रंगन
बहादुरगढ 413977"
"ख़ान वर्मा","17/4203 नवीन कुमार
भागलपुर 336132"
"सम्मानात्मक एषा गुहा","34/54 सुधीर बुरुाह
चित्रकूट-899153"
"आदरवाचक राधा बनर्जी","62 एषा मिस्त्री
हैदराबाद 410455"
"इन्दिरा गोयल","26/04 अजित मंडल
चित्रदुर्ग 084770"
"पद्मिनी सिन्हा","4 छेत्री
आदिलाबाद 389447"
"आशा कौल","3497 लाल घोष
अनन्तपुर 308218"
"संजित जेटलीजी","3 मालिक
चित्तूर 638851"
"विजया ताम्बे","2/3 वर्मा
देवगढ़ 809777"
"इन्द्र गावडेजी","3427 मधुकर सेन
अकोला-473184"
"रचना यादव","5 प्रधान
अहमदाबाद 019392"
"शर्म खानजी","1 पाटिल
अकोला 252909"
"सम्मानात्मक ओम कपूर","2744 माधव श्रीवास्तव
अलांग 532638"
"शनि चोपराजी","2/9 लीलावती दास
चित्तूर-353884"
"सम्मानात्मक प्रभाकर रेड्डी","3/9 पूर्णिमा चौहान
अन्तर्गत-314919"
"संमानित रञ्जित जैन","654 शर्मा
अखनूर 278329"
"संमानित प्रसन्न जयरामन","438 नारायण
इलाहाबाद 332079"
"सम्मानसूचक चन्द्रकान्त सरीन","1 दीपाली सरीन
अलीगढ-090031"
"बल मित्राजी","21/0234 सुलभा बोस
भद्रक 507096"
"आदरवाचक रुपिन्द्र आहूजा","79/84 स्वर्ण आहूजा
अमरावती 750575"
"राहुल गुप्ताजी","616 प्रसाद
अहमदनगर 926114"
"आदरसूचक दर्शन खत्री","96/3902 दर्शन तिवारी
भागलपुर-242538"
"सम्मानात्मक कमला मेहता","5999 हरेन्द्र बलासुब्रमानियम
हैदराबाद-065392"
"दिनेश जोशी","13/96 क्षितिज हजारिका
अनन्तपुर-422059"
"सम्मानसूचक लोचन मुख़र्जी","57 दिव्या भटनागर
जिलोंपर 772266"
"कमला ताम्बे","62/15 प्रसाद
खडगपुर 993422"
"लक्ष्मी चोधरी","196 स्वपन डी’सोउज़ा
खडगपुर-245749"
"सुलभा डी’कोस्टाजी","8 त्रिवेदी
फतेहगढ-620224"
"श्रीपति आचार्य","48/071 नायर
अमरावती-496312"
"संमानित दीपक खान","08/869 विजया दासगुप्ता
अलीगढ-660090"
"सम्मानसूचक राज्य सरीन","72/39 अरोरा
धर्मापुरी-385043"
"माननीय नंद श्रीवास्तव","48/426 पवार
खडगपुर-898411"
"सम्मानात्मक कर्ण देशपांडे","20/686 मेनन
मुंबई 746352"
"अरुणा मिस्त्रीजी","12/8688 वेंकटएसन
अकोला 760221"
"आदरवाचक नरेन्द्र सिंह","5704 हरीश तमांग
भागलपुर-821214"
"रतन सक्सेनाजी","197 चवन
अहमदनगर-003959"
"आदरसूचक मणि चतुर्वेदी","90/190 मित्रा
भद्रक 075998"
"कुणाल चोपराजी","9137 मधुर बुरुाह
चंबा 889960"
"सम्मानसूचक रामचन्द्र खान","022 रत्नम दुत्ता
आदिलाबाद 195797"
"विजया चोपरा","65/70 रावण मेनन
देवगढ़ 414834"
"आदरवाचक चन्द्रकान्त रंगराजन","4 सीमा झादव
भद्रक 847848"
"संमानित देवराज मंडल","88 प्रणय मैती
इलाहाबाद-372364"
"सम्मानात्मक कर्ण मंडल","12/8039 लीला झादव
हैदराबाद-781943"
"हर्शद झादव","6 झा
करना 528599"
"राजीव मेहताजी","7/7 जय महरा
आदिलाबाद-657749"
"मधु मित्रा","497 पाण्डेय
मुंबई-080012"
"अरुंधती प्रधान","106 बलासुब्रमानियम
जिलोंपर-876605"
"आदरसूचक प्रसन्न सरकार","378 श्याम मिस्त्री
बहादुरगढ 251141"
"आदरवाचक महावीर मिस्त्री","7/6 डी’कोस्टा
चित्तूर 277501"
"चण्ड पिल्लईजी","8 लता चोपरा
बहादुरगंज 153433"
"आदरसूचक दर्शना मिस्त्री","3 सचिन वर्मा
चित्रकूट-977540"
"श्रेष्ठ बलासुब्रमानियम","99 कलिता
अम्बाजी 908680"
"सम्मानात्मक कशोर अरोरा","9177 सक्सेना
फतेहपुर 798102"
"सम्मानात्मक कैलाश बुरुाह","2740 जय राव
फतेहपुर-964854"
"भारत रोद्रिगुएस","11/393 टंडन
हैदराबाद 341698"
"संमानित मनीश दासगुप्ता","5 रजनीकांत शर्मा
चिरमिरी-017353"
"अमित प्रसादजी","975 पटेल
जिससेबेलारी 308221"
"अरविन्द बोसजी","0474 अहलूवालिया
अगरतला 273603"
"माननीय देवदान सेन","7/6 ख़ान छेत्री
धारवाड-335654"
"रीतिका अगरवालजी","7 अरुणा चतुर्वेदी
बहादुरगढ 924398"
"आदरवाचक राजेन्द्र छेत्री","4/1 झा
मोकामा 247581"
"सम्मानसूचक मधु गुप्ता","6/2 दिलीप दासगुप्ता
हैदराबाद-651547"
"सम्मानात्मक कान्ती चवन","43/919 कपूर
अकोला 958035"
"नवीन नाथजी","6/7 अनिल कलिता
चिपलुन-212559"
"विजय बनर्जीजी","5/1 कदम
मोतिहारी-899852"
"आदरसूचक शिव कलिता","15 गौतम घोष
आदिलाबाद 456202"
"राहुल घोषजी","29 उषा जोशी
चित्तूर 833694"
"मोहन थापा","714 लाल मेहता
लखनऊ-548190"
"जगन्नाथ कदमजी","15/5163 कुमारी मित्रा
चित्रदुर्ग-741344"
"अवन्ती वेंकटएसनजी","00/409 कौल
चिरमिरी 966400"
"संदीप लोबोजी","7/8 रानी भरद्वाज
चंडीगढ 391722"
"कल्पना मेनन","5/8 आकाङ्क्षा डी’कोस्टा
चिराला-910457"
"सम्मानात्मक काली अरोरा","977 प्रधान
फतेहगढ-022454"
"आदरवाचक अनुजा सिन्हा","4557 खत्री
फतहपुर 467239"
"कम्बोज बलासुब्रमानियम","4539 त्रिवेदी
अमरपुर 990449"
"आदरवाचक शक्ति खान","8862 दुर्गा चक्रवर्ती
जिससेबेलारी 486806"
"नित्य रंगराजनजी","19 द्विवेदी
देहरा 727940"
"सम्मानसूचक उषा शुक्ला","3/0 जेटली
हैदराबाद-697200"
"दर्शना अहलूवालियाजी","6857 कुंती सिंह
अलीगढ 942776"
"आदरवाचक अशोक रोद्रिगुएस","91/869 चतुर्वेदी
धर्मापुरी-816148"
"ज्योत्स्ना चोपराजी","41/323 कलिता
देवगढ़ 319997"
"अकबर भट्टाचार्यजी","63/3627 पिल्लई
धारवाड-367341"
"सम्मानात्मक काशी रॉय","1 काम मित्रा
देवगढ़-003867"
"आदरवाचक अनन्‍त गुरुंग","8252 दिलीप कौल
अमरपुर 357383"
"आदरसूचक शान्ता सिंह","6 यश ताम्बे
सभापतिने 872000"
"राज चक्रवर्ती","1/2 दमयंती शुक्ला
अनंतनाग-047238"
"रञ्जित डी’सोउज़ाजी","76/3502 छेत्री
चिराला 292869"
"प्रिया यादवजी","577 शनि सिन्हा
इलाहाबाद 228975"
"सम्मानसूचक प्रिया शाह","6/5 बलासुब्रमानियम
जिलोंपर 058192"
"दीप्ति रॉय","57/427 माया बुरुाह
अलीगढ 424472"
"प्रतिमा मित्रा","35 मेहता
आदिलाबाद-019684"
"अमिता यादव","1 झादव
अलीगढ-580552"
"सम्मानात्मक किरण रॉय","1 नंद जयरामन
अलांग-015523"
"आशा रॉय","49/6357 ज्योत्सना टंडन
चित्रदुर्ग-915944"
"श्याम डी’सोउज़ा","1291 शंकर भटनागर
असम 623595"
"अवन्ती झादवजी","9/8 गुलज़ार गुहा
अमरपुर 064501"
"लाल कदमजी","12/83 जेटली
चक्रधरपुर 369601"
"दर्शन घोष","81/368 रोद्रिगुएस
देवगढ़ 779618"
"लता डी’कोस्टाजी","05/66 गुलज़ार यादव
चित्रकूट-752073"
"संमानित सुशीला सरकार","088 सुनीती चक्रवर्ती
बहादुरगढ 911799"
"सम्मानसूचक जितेन्द्र पाटिल","6 सुमन नाथ
अमरपुर 480195"
"प्रसाद महराजी","6 बोस
चित्रदुर्ग 472738"
"सम्मानात्मक गोतम डी’कोस्टा","14 अरुणा चोपरा
हैदराबाद 700004"
"पुरुषोत्तम खत्रीजी","65 कुमार
बहादुरगढ 872463"
"सुनील कुमारजी","60/38 टंडन
चित्तूर-323997"
"माननीय कर्ण बलासुब्रमानियम","18/620 थापा
अमरोहा-670435"
"माननीय मानदीप गावडे","75/4383 श्यामला पाण्डेय
दालखोला 961242"
"इन्दिरा प्रसाद","39/67 खान
चिराला 274187"
"ऋषि भरद्वाज","70/3238 अखिल नाथ
अहमदाबाद-735797"
"शंतनु नारायण","90/2082 सेठ बुरुाह
चित्तूर-653907"
"अरुण भट्टाचार्य","93/9599 आचार्य
दादरा और नगर हवेली-283015"
"लीला सैनीजी","08/89 जया खत्री
अमरोहा-382892"
"सम्मानात्मक गोतम बुरुाह","103 पाटिल
चित्रदुर्ग-263998"
"कमल थापाजी","69/66 आहूजा
अकोला-281696"
"मनीषा रॉयजी","77/125 रानी छेत्री
फतेहगढ 584744"
"सुदर्शना मेहता","3652 अभिलाषा बलासुब्रमानियम
दादरा और नगर हवेली 703746"
"कैलाश रेड्डीजी","51/6368 गोविंदा चवन
अहमदनगर 634002"
"दीपक चोपराजी","43 रोहना कुमार
अहमदनगर-721292"
"आदरसूचक मुक्ता पवार","2/4 देवदान मिस्त्री
मुंबई 917533"
"िकशोरी रेड्डीजी","38/37 चोपरा
करना 488423"
"भारत सेनजी","05/1218 लोबो
चक्रधरपुर 623214"
"विवेक डी’सोउज़ा","6/3 सती बनर्जी
देवास-242192"
"सम्मानात्मक गोपाल मालिक","3456 राजीव सरीन
आदिलाबाद-455831"
"रीतिका तिवारी","234 मीरा रोद्रिगुएस
चक्रधरपुर 648924"
"निखिला भटजी","430 सैनी
सभापतिने 032782"
"जयन्ती सुब्रमण्यम","390 सिंह
अन्तर्गत-690558"
"माननीय विष्णु मंडल","2408 प्रतिभा डी’सोउज़ा
चिराला-753331"
"रजनीकांत मिस्त्री","38/787 अनिला सेन
मोतिहारी 001478"
"माननीय पद्मिनी मेनन","055 नरेन्द्र डी’कोस्टा
दालखोला 753774"
"माननीय अनिरुद्ध तिवारी","79 पूर्णिमा मंडल
भद्रक-069728"
"शिव चोधरी","2 लाल राय
फतेहगढ-169093"
"प्रभात मालिकजी","0 आचार्य
जिससेबेलारी 512720"
"सम्मानात्मक गोपीनाथ सुब्रमण्यम","390 राजन सेन
दालखोला-757446"
"सम्मानात्मक सुरेन्द्र डी’सोउज़ा","03/206 घोष
अलांग-144907"
"इन्दिरा मजूमदारजी","95/09 मणीन्द्र भरद्वाज
मोतिहारी 747867"
"पूर्णिमा सरकारजी","01 सिन्हा
जिससेबेलारी 376531"
"आदरवाचक देवराज कौल","400 अकबर रोद्रिगुएस
चंडीगढ-086836"
"हर्श गुप्ता","55/572 विष्णु रंगन
अनंतनाग 294761"
"नवीन मेननजी","2 प्रसन्न झा
अम्बाजी 160376"
"कुंती नायर","0/7 आभा लोबो
विस्तारण-788719"
"उमा जयरामन","83/5339 गोयल
बहादुरगढ-719723"
"अणिमा आहूजा","1/9 अनिरुद्ध चतुर्वेदी
चित्तूर-564235"
"सम्मानात्मक चन्दना बलासुब्रमानियम","93 राजीव प्रधान
अमरावती 910385"
"रत्नम प्रधान","09/825 रोद्रिगुएस
धर्मापुरी-600270"
"कुमारी जेटली","55 आहूजा
देवास 369109"
"माननीय हनुमान् चतुर्वेदी","57/74 अहलूवालिया
लखनऊ-122882"
"सम्मानात्मक अदिती शाह","28/266 तिवारी
देवगढ़ 751190"
"अमृत साहा","8/6 मिस्त्री
करना-437751"
"आदरवाचक कैलाश तमांग","50/9075 खान
असम-947773"
"संमानित विष्णु अहलूवालिया","80/77 जयरामन
आदिलाबाद 236435"
"िनशा रंगराजनजी","09/0227 नाथ
चंडीगढ 255261"
"दुर्गा मंडलजी","5/8 चौहान
बचेली-240261"
"सम्मानात्मक जगजीत आहूजा","5/6 दीप्ति झादव
मुंबई 464567"
"गीता घोष","44/896 प्रदीप पटेल
भागलपुर-890785"
"ईश दुत्ताजी","7201 श्रीवास्तव
अजमेर 526915"
"आदरसूचक प्रसन्न सुब्रमण्यम","67 दीप्ति यादव
मुंबई 517946"
"लक्ष्मी प्रसादजी","09 अनुष्का रॉय
विस्तारण 190324"
"शङ्कर गोयलजी","58/0466 शान्ता मिस्त्री
चंडीगढ-885727"
"अंकिता सैनीजी","2/1 पवार
अमरपुर 439737"
"सम्मानसूचक ज़स्विन्देर् मेहता","34/40 त्रिवेदी
धर्मापुरी-389160"
"सम्मानात्मक सेठ राव","45/05 डी’कोस्टा
हैदराबाद 274028"
"माननीय प्रिया जेटली","48/88 अरुणा सुब्रमण्यम
अखनूर-168937"
"सम्मानात्मक जय सैनी","90/3619 असीम मिश्रा
अहमदाबाद-295009"
"धवल मेनन","0342 पुष्पा तिवारी
दादरा और नगर हवेली 603269"
"संमानित सारिका अहलूवालिया","836 संजित झा
अलांग-218733"
"संमानित शोभा मिश्रा","917 अहलूवालिया
धारवाड 698691"
"शङ्कर सरकारजी","5 चण्ड सिंह
अलीगढ-688333"
"आदरवाचक क्षितिज राय","354 कपूर
चंबा-171525"
"आदरवाचक सारिका दुत्ता","01/4819 रामचन्द्र नायर
चंबा 002423"
"आदरवाचक इन्दु मेहता","22/5776 शुक्ला
फतेहगढ-616069"
"माननीय अणिमा गुहा","07/962 दयाराम मजूमदार
बचेली-434589"
"माननीय सचिन मिस्त्री","7768 आचार्य
देवगढ़-114942"
"सम्मानात्मक ज्योतिष अगरवाल","0752 सिंह
बहादुरगढ-291649"
"विनय आहूजा","5 मेनन
करना-715878"
"काम गावडेजी","7/1 बलराम देशपांडे
मोकामा-781481"
