"ავთანდილ აბდულაევი"|"აკურის ქ. 12, ყვარელი" 
"შაქრო ჯოჯუა"|"სუმბატაშვილ-იუჟინსკის ქ. 88, ბაღდათი"
"სულიკო ასანიძე"|"კოტეტიშვილი ვახტანგის ქ. 08, ბორჯომი"
"ელისო გველესიანი"|"ფაბრიკის ქ. 26, ბაღდათი"
"არტურ ნაჭყებია"|"ჯანაშვილის ქ. 88, ლაგოდეხი"
"შოთა შველიძე"|"კვალეთის ქ. 59, ქობულეთი"
"თამარი ჟორჟოლიანი"|"ზედაუბნის ქ. 09, ამბროლაური"
"დალი ჩაჩანიძე"|"ონიაშვილის ქ. 32, დუშეთი"
"გივი მიქაბერიძე"|"ბაღნარის ქ. 64, ამბროლაური"
"ანნა კუბლაშვილი"|"შენგელაიას ქ. 20, მარნეული"
"ხვიჩა მიქელაძე"|"დოესის ქ. 03, ახალქალაქი"
"თამუნა მიქავა"|"გიორგი ბრწყინვალის ქ. 21, ლანჩხუთი"
"ბონდო კუპრაშვილი"|"სურგულაძის ქ. 33, რუსთავი"
"ბორის ნასყიდაშვილი"|"წერეთლის ქ. 36, წალკა"
"რუსუდან კალანდია"|"დაბახანას ქ. 90, საჩხერე"
"იოსებ ჯანიაშვილი"|"გოგებაშვილის იაკობის ქ. 18, წალკა"
"ფატიმა წერეთელი"|"მაჭრის ქ. 75, ბოლნისი"
"მურთაზ ღლონტი"|"მესხეთის ქ. 99, ყვარელი"
"ბორის ხორავა"|"სულიაშვილის ქ. 70, ბაღდათი"
"სოფიო კვირკველია"|"ზაზიშვილი გიგოს ქ. 71, გარდაბანი"
"ხვიჩა ნოზაძე"|"ლერწმის ქ. 82, თბილისი"
"რიმა ფიცხელაური"|"კავსაძის ქ. 17, წყალტუბო"
"რომან ქორიძე"|"ზალდასტანიშვილის ქ. 98, ონი"
"გიგა ბერიაშვილი"|"მტკვრის ქ. 07, კასპი"
"ციური ბოლქვაძე"|"ხვიჩია იპოლიტეს ქ. 09, აბაშა"
"თენგიზ ქამადაძე"|"ჩაისუბნის ქ. 86, ოჩამჩირე"
"პავლე გოგიტიძე"|"ქინძმარაულის ქ. 77, ჯვარი"
"დათო ოთარაშვილი"|"ხუდადოვის ქ. 80, ვალე"
"ანჟელა შუკაკიძე"|"მესხიას ქ. 65, საგარეჯო"
"ჯემალ გიგაური"|"ქინქლაძე ოთარის ქ. 53, ზესტაფონი"
"ხვიჩა ჟვანია"|"არარატის ქ. 35, ქობულეთი"
"ნადია მიქავა"|"ბიჭვინთის ქ. 69, ბაღდათი"
"ანი ჭითანავა"|"გომის ქ. 98, ქუთაისი"
"ანზორ ხოზრევანიძე"|"გუდიაშვილი ლადოს ქ. 92, რუსთავი"
"ზვიად ნადირაძე"|"ჟღენტის ქ. 76, ცაგერი"
"გულიკო ლოლაძე"|"ჟორესის ქ. 70, წყალტუბო"
"როლანდ გოგიტიძე"|"სამგორის ქ. 96, ოზურგეთი"
"კახაბერ ლიპარტელიანი"|"გურიელის ქ. 00, კასპი"
"არტურ ახალაძე"|"კუმისის ქ. 01, ბოლნისი"
"ნუნუ კინწურაშვილი"|"ნოვოროსისკის ქ. 52, ახმეტა"
"ხვიჩა შამათავა"|"გომარეთის ქ. 30, დმანისი"
"ბადრი ხელაძე"|"გუდამაყრის ქ. 99, გარდაბანი"
"ალა გურული"|"სურამის ქ. 14, მცხეთა"
"მარინა ნადირაძე"|"თოდრიას ქ. 74, ოჩამჩირე"
"თამარა ღარიბაშვილი"|"ჯანაშიას ქ. 30, ახალი ათონი"
"ედუარდ ცეცხლაძე"|"პისარევის ქ. 09, ტყვარჩელი"
"ელენე ვალიევა"|"რომის ქ. 98, გარდაბანი"
"ნატო დუმბაძე"|"დელისის ქ. 41, ფოთი"
"მაგდა მელქაძე"|"ლორთქიფანიძე გრიგოლის ქ. 70, მცხეთა"
"გოგი მუსტაფაევა"|"არაგვის ქ. 14, თბილისი"
"ხვიჩა შამუგია"|"ლაღიძე რევაზის ქ. 04, გალი"
"ოთარ გორგილაძე"|"შხეფის ქ. 95, ახალციხე"
"ვეფხვია ლაბაძე"|"თელეთის ქ. 92, კასპი"
"თამაზ ჯღარკავა"|"ქებურიას ქ. 97, დმანისი"
"ნიკა ჩინჩალაძე"|"ქარელის ქ. 12, ფოთი"
"ნაზი გულიაშვილი"|"ანტონ კატალიკოსის ქ. 92, ახალი ათონი"
"ვახტანგ ბურდული"|"ტოლენჯის ქ. 73, ზესტაფონი"
"თამაზ ქაჯაია"|"რაზიკაშვილის ქ. 06, ზესტაფონი"
"მირანდა ლურსმანაშვილი"|"ვარდევანის ქ. 52, საგარეჯო"
"ვალენტინა ხიმშიაშვილი"|"სხულუხიას ქ. 92, სიღნაღი"
"ხვიჩა შარიქაძე"|"კუპრაძის ქ. 68, ამბროლაური"
"მიხეილ კვინიკაძე"|"ფილიას ქ. 33, დმანისი"
"მედეა ლომაძე"|"იალბუზის ქ. 11, თელავი"
"ოლია ასანიძე"|"საყვირის ქ. 95, ლანჩხუთი"
"ელგუჯა გაბუნია"|"ალვანის ქ. 72, ბაღდათი"
"ვენერა გუჯაბიძე"|"წავკისის ქ. 23, სამტრედია"
"ევგენია შავაძე"|"ბესიკის ქ. 62, ტყიბული"
"ზურაბ ფერაძე"|"სავანელის ქ. 66, ყვარელი"
"ეთერ ყურაშვილი"|"თეთნულდის ქ. 48, ცხინვალი"
"ლელა მახათაძე"|"შანშიაშვილის ქ. 49, კასპი"
"ხვიჩა შეყილაძე"|"ვორონინის ქ. 53, აბაშა"
"ეკა გოგიშვილი"|"ოქროყანის ქ. 31, ლაგოდეხი"
"ჟუჟუნა ლატარია"|"იოსელიანის ქ. 92, სოხუმი"
"სონია კაკაურიძე"|"ორბეთის ქ. 47, მცხეთა"
"სერგო შათირიშვილი"|"უმიკაშვილის ქ. 01, ახალი ათონი"
"ვერიკო ვეკუა"|"დიუმა ალექსანდრეს ქ. 98, ახალი ათონი"
"თამთა კუხიანიძე"|"ბექა ოპიზარის ქ. 57, გალი"
"ზინა ვაშაყმაძე"|"ცუცქირიძის ქ. 94, ნინოწმინდა"
"გრიგოლ პეტრიაშვილი"|"კოსტავას ქ. 88, სენაკი"
"რიმა კუბლაშვილი"|"გიორგი ბრწყინვალის ქ. 51, ზესტაფონი"
"ხვიჩა შველიძე"|"ბერიაშვილის ქ. 23, მარტვილი"
"კახა იმნაძე"|"ფურცელაძის ქ. 35, ხაშური"
"ნუკრი შალამბერიძე"|"გულიას ქ. 06, თელავი"
"კახა პატარაია"|"8 მარტის ქ. 74, ჯვარი"
"კონსტანტინე ჯანიაშვილი"|"აფხაზეთის ქ. 99, წალენჯიხა"
"ხვიჩა მელაძე"|"ტყეკულტურის ქ. 98, ბოლნისი"
"ნანა ალიევი"|"საარბრჯუკენის ქ. 71, ტყიბული"
"კონსტანტინე ხარაზიშვილი"|"ლომთათიძის ქ. 81, ხაშური"
"ნანული ნიკოლაიშვილი"|"აბო ტბილელის ქ. 04, საგარეჯო"
"ხვიჩა მელიქიშვილი"|"წერნაკის ქ. 36, ბორჯომი"
"ხვიჩა ცომაია"|"დირსიჭალას ქ. 30, სამტრედია"
"თათია ზარანდია"|"ლაილაშის ქ. 42, ბაღდათი"
"გულიკო ხაჭაპურიძე"|"სამგორის ქ. 04, ბოლნისი"
"ნოდარ ცეცხლაძე"|"მესხიშვილის ქ. 16, კასპი"
"ედუარდ ჟორჟოლიანი"|"დელისის ქ. 36, გალი"
"ილია ჯანაშია"|"ევდოშვილის ქ. 99, საჩხერე"
"ზურაბ ჯანაშია"|"ბოდავის ქ. 11, ტყვარჩელი"
"ჯუმბერ კალანდია"|"ლესია უკრაინკას ქ. 71, ხაშური"
"მარინე ასანიძე"|"გურიის ქ. 50, კასპი"
"გვანცა კარაპეტიანი"|"საყვირის ქ. 06, კასპი"
"ხვიჩა ჭკადუა"|"საბადურის ქ. 34, ახალქალაქი"
"გვანცა გიორგობიანი"|"ბოროდინოს ქ. 35, ქუთაისი"
"ნაზიკო გვასალია"|"ერისთავი კონსტანტინეს ქ. 01, წალკა"
"კარლო თაბაგარი"|"მიჩურინის ქ. 57, ლანჩხუთი"
"მარიამ ბენიძე"|"ზუბალაშვილების ქ. 56, წალკა"
"მედიკო ქორიძე"|"მირზა მეფის ქ. 10, ახალციხე"
"ნუგზარ ნიკოლაიშვილი"|"ონიაშვილის ქ. 31, ახმეტა"
"ბესარიონ შამათავა"|"ტაბიძე ტიციანის ქ. 71, ოზურგეთი"
"იამზე თოლორდავა"|"გვეტაძე რაჟდენის ქ. 73, ვალე"
"ნუკრი ყაველაშვილი"|"ოცხელების ქ. 33, წყალტუბო"
"ჯაბა აბაშიძე"|"საქანელას ქ. 20, ამბროლაური"
"დავით გაბრიჭიძე"|"განთიადის ქ. 73, გურჯაანი"
"გვანცა ბოკუჩავა"|"ალიხანიანის ქ. 87, სოხუმი"
"ქეთევან თაბაგარი"|"გ. სვანიძის ქ. 27, დმანისი"
"ილია არჩვაძე"|"ფოსტის ქ. 75, ზუგდიდი"
"შორენა ნიჟარაძე"|"თამარაშენის ქ. 26, ხობი"
"მირიან გაგუა"|"გვეტაძე რაჟდენის ქ. 81, კასპი"
"გენადი ჟორჟოლიანი"|"ჭოროხის ქ. 57, ქობულეთი"
"ინგა მუსაევი"|"დიდხევის ქ. 19, ბათუმი"
"ნუგზარ ბასილაშვილი"|"ლიხის ქ. 76, ტყვარჩელი"
"ჯაბა ავალიანი"|"როდენის ქ. 50, გორი"
"ავთანდილ კვაჭაძე"|"სევანის ქ. 68, დმანისი"
"აკაკი ფერაძე"|"ხორნაბუჯის ქ. 77, კასპი"
"კარლო დიასამიძე"|"ბოტანიკურის ქ. 14, ლანჩხუთი"
"ირაკლი ჯანჯღავა"|"კვესეთის ქ. 65, დედოფლისწყარო"
"ზინა კვარაცხელია"|"წყაროს ქ. 82, საგარეჯო"
"ლაშა რობაქიძე"|"ნაგომარის ქ. 77, ლანჩხუთი"
"თენგიზ სხირტლაძე"|"მარჯანიშვილი კოტეს ქ. 38, ოჩამჩირე"
"ზაირა პაპუაშვილი"|"ჩარხის ქ. 08, რუსთავი"
"ჯონი თავაძე"|"სააკაძის ქ. 22, ოზურგეთი"
"ჯაბა ასანიძე"|"შავნაბადას ქ. 42, რუსთავი"
"გენადი გოგუაძე"|"იბრაჰიმ ისპაჰანელის ქ. 30, ქარელი"
"მურთაზ კაკაბაძე"|"ცისკრის ქ. 57, ბაღდათი"
"ალექსანდრე საჯაია"|"წმ. ნიკოლოზის ქ. 22, აბაშა"
"ნათია ადუაშვილი"|"ბუაჩიძე თენგიზის ქ. 22, ზესტაფონი"
"მალხაზ ბუკია"|"ინგოროყვა პავლეს ქ. 66, ჭიათურა"
"ცისანა მუმლაძე"|"ტრაქტორის ქ. 46, ახალქალაქი"
"ელმირა ბაკურაძე"|"ზარზმის ქ. 36, თეთრიწყარო"
"ლიკა შარიქაძე"|"დაისის ქ. 31, დედოფლისწყარო"
"ვალენტინა კუხიანიძე"|"სალამის ქ. 07, საჩხერე"
"ჯაბა ბენდელიანი"|"ციხისძირის ქ. 54, ყვარელი"
"თამაზ მიქავა"|"ლერწმის ქ. 02, ქარელი"
"სოფიო ჭელიძე"|"აბაშიძე გრიგოლის ქ. 04, ოჩამჩირე"
"რუსუდან დუმბაძე"|"მელაანის ქ. 31, ბათუმი"
"რომან თოლორდავა"|"მუსხელიშვილის ქ. 32, ცხინვალი"
"ნონა გვაზავა"|"აბაკელიას ქ. 28, დედოფლისწყარო"
"სოფიო ავალიანი"|"კისისხევის ქ. 91, ახმეტა"
"ჯაბა ლაბაძე"|"კონდოლის ქ. 68, ქუთაისი"
"აიდა მუსტაფაევი"|"წერეთლის ქ. 68, გუდაუთა"
"ბადრი ბეგიაშვილი"|"კაპანაძის ქ. 60, სოხუმი"
"ჯაბა გოგსაძე"|"ჩუბინაშვილი გიორგის ქ. 84, ზუგდიდი"
"ვალენტინა ახალაძე"|"მრევლიშვილის ქ. 83, დედოფლისწყარო"
"ლუიზა კოპაძე"|"ალმასიანის ქ. 93, დედოფლისწყარო"
"მირიან ტაკიძე"|"ტყვიავის ქ. 99, ჭიათურა"
"ნაზიკო დევაძე"|"აფანასიევის ქ. 87, მარტვილი"
"ალექს ბურდული"|"სამურზაყანოს ქ. 84, ზუგდიდი"
"კონსტანტინე მამალაძე"|"უზნაძე დიმიტრის ქ. 90, ზესტაფონი"
"რევაზ შუკაკიძე"|"ზუბალაშვილების ქ. 55, გორი"
"დალი ურუშაძე"|"მთავარანგელოზის ქ. 48, აბაშა"
"სუსანა მუშკუდიანი"|"არბოშიკის ქ. 81, რუსთავი"
"ჯაბა გოგუა"|"ფერისცვალების ქ. 33, ზესტაფონი"
"რამაზ სირაძე"|"ცოდნისკარის ქ. 56, ამბროლაური"
"მერაბ ბერაია"|"გოგებაშვილის იაკობის ქ. 60, თბილისი"
"მზია სამუშია"|"აბაშიძე ირაკლის ქ. 54, თეთრიწყარო"
"გივი ფერაძე"|"აგარის ქ. 61, ტყიბული"
"ეკა კალანდია"|"მეუნარგიას ქ. 38, ბორჯომი"
"ედუარდ დოლიძე"|"წერნაკის ქ. 79, აბაშა"
"ზვიად გოგიჩაშვილი"|"კურსკის ქ. 03, საჩხერე"
"მერაბ არაბიძე"|"სართანიას ქ. 59, სიღნაღი"
"ნანა გოგოხია"|"ცაბაძე გიორგის ქ. 83, ჭიათურა"
"ჯაბა ზარანდია"|"ბოტანიკურის ქ. 88, ახალი ათონი"
"ეთერ ჭუმბურიძე"|"ბოლნისის ქ. 43, ბაღდათი"
"მერი კუპატაძე"|"ზარზმის ქ. 51, ზუგდიდი"
"მზია ქურდაძე"|"ლუბლიანას ქ. 68, დედოფლისწყარო"
"ანიკო ჯანიაშვილი"|"მაიაკოვსკის ქ. 04, ლანჩხუთი"
"ბონდო სიხარულიძე"|"ლალიონის ქ. 42, ლანჩხუთი"
"თეა რუხაძე"|"გამცემლიძე შოთას ქ. 90, გალი"
"ზაქარია ქუთათელაძე"|"კაჭრეთის ქ. 60, სენაკი"
"ნორა ჯაიანი"|"ბეთანიის ქ. 47, ბოლნისი"
"თამაზ ქართველიშვილი"|"ფალიაშვილის ქ. 01, ახალციხე"
"ჯაბა ღარიბაშვილი"|"ოძისის ქ. 79, ფოთი"
"ლანა მახათაძე"|"ბააზოვის ქ. 47, ცაგერი"
"უჩა შუბითიძე"|"ჟორესის ქ. 55, წნორი"
"ნარგიზა ჯავახიშვილი"|"გედევანიშვილის ქ. 46, ტყიბული"
"ფატი კობიაშვილი"|"არდონის ქ. 22, აბაშა"
"სიმონ ანთაძე"|"სტამბის ქ. 65, დუშეთი"
"თეა ყიფშიძე"|"დიდი ჯიხაიშის ქ. 48, თელავი"
"ნაზიკო ნემსაძე"|"საყვირის ქ. 58, დედოფლისწყარო"
"ზინა ფხალაძე"|"ტანძიის ქ. 49, ცაგერი"
"ნადეჯდა გელაშვილი"|"ვეძათხევის ქ. 83, გალი"
"ჯაბა ჩაჩუა"|"ჩიკვანიას ქ. 79, სენაკი"
"ვარდო არველაძე"|"გოძიაშვილის ქ. 40, ზესტაფონი"
"ბადრი შაინიძე"|"რუსთაველის ქ. 29, ზუგდიდი"
"ვიქტორ კვანტალიანი"|"არეშიძის ქ. 36, ხაშური"
"ფატი ბენდელიანი"|"კერესელიძე არჩილის ქ. 54, ქარელი"
"ელენა იაშვილი"|"ნუცუბიძის ქ. 30, მარნეული"
"აკაკი კონცელიძე"|"ტრანსპორტის ქ. 80, ტყიბული"
"ლელა შათირიშვილი"|"ლიხის ქ. 50, ხაშური"
"ნორა კონცელიძე"|"ნინიძის ქ. 96, ქუთაისი"
"თათია კარაპეტიანი"|"წუწხვატის ქ. 96, ახალი ათონი"
"ჯაბა ცხადაძე"|"არბოს ქ. 88, თეთრიწყარო"
"ნადეჯდა ჭელიძე"|"ზედაზნის ქ. 65, ვანი"
"გრიგოლ გუჯაბიძე"|"სახოკიას ქ. 07, ლაგოდეხი"
"თამთა ჩუბინიძე"|"ახვლედიანი ელენეს ქ. 64, ბაღდათი"
"სალომე ბერაია"|"სამღერეთის ქ. 78, სოხუმი"
"ხათუნა გოგსაძე"|"ასურეთის ქ. 11, ჯვარი"
"მიხეილ უგრეხელიძე"|"მოლითის ქ. 01, გორი"
"ზინა მიქელაძე"|"ქარელის ქ. 82, გაგრა"
"ქრისტინე სარქისიანი"|"სააკაძე პაატას ქ. 61, ვანი"
"იაგო ადუაშვილი"|"სურგულაძის ქ. 87, გალი"
"ჯაბა ჭანტურია"|"ინანიშვილი რამაზის ქ. 45, დმანისი"
"ვიქტორ ზარიძე"|"დოლიძე გოგის ქ. 13, ქუთაისი"
"ოლია გაბედავა"|"მეგრელაძის ქ. 70, ნინოწმინდა"
"ზაქარია აბესაძე"|"სამამულო ომის გმირების ქ. 64, წყალტუბო"
"ნაზიკო ცომაია"|"შარაშიძის ქ. 57, დედოფლისწყარო"
"მადონა მიქავა"|"დადიანი ცოტნეს ქ. 27, სამტრედია"
"ბესარიონ ღვინჯილია"|"ინგოროყვა პავლეს ქ. 80, თბილისი"
"ნათელა ქუთათელაძე"|"მაღაროს ქ. 76, ფოთი"
"რუსუდან გრძელიშვილი"|"ოჟიოს ქ. 01, ხაშური"
"იზოლდა ტუღუში"|"მოსტკოვის ქ. 84, წნორი"
"ჯაბა ხვიჩია"|"ბზიფის ქ. 25, თბილისი"
"ციცინო ლორთქიფანიძე"|"ჯიქიას ქ. 19, ახალციხე"
"ლანა პაპიძე"|"აბესაძე გიას ქ. 51, გარდაბანი"
"იზა ვალიევა"|"ბულაჩაურის ქ. 74, თეთრიწყარო"
"ანი მათიაშვილი"|"გეგუთის ქ. 72, ნინოწმინდა"
"ნიკა რეხვიაშვილი"|"პალიასტომის ქ. 76, ბათუმი"
"თამარა აბაშიძე"|"გამყრელიძის ქ. 11, ტყიბული"
"მაკა მგელაძე"|"ალიხანიანის ქ. 14, ბოლნისი"
"იაგო იაშვილი"|"მახათას ქ. 25, გორი"
"კლარა ალიევა"|"სახოკიას ქ. 10, ზესტაფონი"
"ჯაბა ხიმშიაშვილი"|"კელაპტრიშვილი ომარის ქ. 05, წალენჯიხა"
"ანნა ღონღაძე"|"ფირდოუსის ქ. 46, ხონი"
"დალი შარაშიძე"|"ტყავის ქ. 58, ჭიათურა"
"მანანა ალიევი"|"ბაქოს ქ. 64, წალკა"
"პაატა ვაშაყმაძე"|"ილორის ქ. 35, წალენჯიხა"
"მირანდა მელაძე"|"ბელიაშვილი აკაკის ქ. 11, ახალციხე"
"ასმათ მჭედლიძე"|"უწერის ქ. 73, ბორჯომი"
"პაატა კიკნაძე"|"ფილიას ქ. 29, კასპი"
"რიტა გოგინაშვილი"|"ინაშვილის ქ. 46, ბაღდათი"
"ნიკა ცხადაძე"|"ფირდოუსის ქ. 20, ოჩამჩირე"
"ჯემალ გრიგალაშვილი"|"საგურამოს ქ. 78, ლაგოდეხი"
"ვიქტორ სვანიძე"|"ჩერნიშევსკის ქ. 02, ოჩამჩირე"
"ლიდა ძნელაძე"|"ბენაშვილის ქ. 52, ვანი"
"ოლია შენგელია"|"აბო ტბილელის ქ. 58, ბოლნისი"
"ქრისტინე მუსტაფაევი"|"საბადურის ქ. 44, წალკა"
"ნაირა ჩადუნელი"|"ადიგენის ქ. 41, ფოთი"
"აკაკი ირემაშვილი"|"ლუსიანინის ქ. 18, ლანჩხუთი"
"თენგიზ ღვინიაშვილი"|"8 მარტის ქ. 16, გარდაბანი"
"ლამარა ლაცაბიძე"|"აბდუშელიშვილი მალხაზის ქ. 96, დუშეთი"
"ნუგზარ ვალიევი"|"კოტეტიშვილი ვახტანგის ქ. 55, თერჯოლა"
"ჯემალ თედორაძე"|"შერვაშიძის ქ. 63, სოხუმი"
"ელენე კიკვაძე"|"ლენტეხის ქ. 38, გალი"
"ეთერ ილურიძე"|"მაღალაშვილის ქ. 89, ბაღდათი"
"შაქრო ოთარაშვილი"|"პლატონის ქ. 33, დედოფლისწყარო"
"შორენა წურწუმია"|"ერისთავი კონსტანტინეს ქ. 84, ბოლნისი"
"ნატო ზედგინიძე"|"რომის ქ. 90, კასპი"
"მერი მაჭარაშვილი"|"ფაღავა ირაკლის ქ. 21, გუდაუთა"
"მირიან ავალიანი"|"დეკაბრისტების ქ. 33, ლანჩხუთი"
"ლუიზა ლეჟავა"|"ვანის ქ. 61, ოჩამჩირე"
"გულიკო დემეტრაშვილი"|"ქინძმარაულის ქ. 84, წყალტუბო"
"ჯემალ თოლორდავა"|"კვესეთის ქ. 32, სიღნაღი"
"ავთანდილ ზარქუა"|"ჩახრუხაძის ქ. 86, მარნეული"
"მალხაზ გორგაძე"|"ჩარხის ქ. 08, რუსთავი"
"თემურ ბიწაძე"|"წერნაკის ქ. 90, ბათუმი"
"გიგლა რევაზიშვილი"|"დირსიჭალას ქ. 63, ბოლნისი"
"ბესიკ გიორგაძე"|"კოშკოვანის ქ. 55, ფოთი"
"ლია ჯავახიშვილი"|"იერუსალიმის ქ. 54, ცაგერი"
"მარი კაზარიანი"|"ლამის ქ. 71, დუშეთი"
"თამთა ჭელიძე"|"ხევძმარის ქ. 35, სამტრედია"
"გოჩა დიასამიძე"|"სვირის ქ. 68, ლაგოდეხი"
"ჯემალ კერესელიძე"|"სათემოს ქ. 17, ბათუმი"
"გოგა ჩხაიძე"|"თაბუკაშვილი რეზოს ქ. 07, თერჯოლა"
"ელენა პეტროსიანი"|"კისისხევის ქ. 15, გორი"
"გიგლა გორგაძე"|"ორხევის ქ. 43, გურჯაანი"
"ნათია კევლიშვილი"|"მორეტის ქ. 83, დედოფლისწყარო"
"ნონა ჯაიანი"|"პიატიგორსკის ქ. 07, სოხუმი"
"სიმონ ბიგვავა"|"დაბახანას ქ. 02, ტყვარჩელი"
"ვახტანგ სულაბერიძე"|"შროშის ქ. 84, ახალი ათონი"
"მურმან მიქავა"|"დირსიჭალას ქ. 11, დედოფლისწყარო"
"ნათელა ჭინჭარაული"|"გოგაშენის ქ. 86, ლანჩხუთი"
"ჯემალ მაჭავარიანი"|"ბეთანიის ქ. 79, ხონი"
"გოგა ხარშილაძე"|"ქუთაისის ქ. 64, ქუთაისი"
"მერი აბრამიშვილი"|"ახმეტის ქ. 95, გარდაბანი"
"ნინელი აბრამიშვილი"|"ქინქლაძე ოთარის ქ. 34, საჩხერე"
"მეგი მაჩიტიძე"|"მექანიზაციის ქ. 07, ახმეტა"
"ეკა სარალიძე"|"ზალდასტანიშვილის ქ. 80, ქარელი"
"ნატო გიორგობიანი"|"ბუხაიძის ქ. 44, ნინოწმინდა"
"ჟანა ჯანაშია"|"გივიშვილის ქ. 11, ბოლნისი"
"არტურ პავლიაშვილი"|"ძოწენიძის ქ. 64, საჩხერე"
"შორენა ლაცაბიძე"|"ახვლედიანი გიორგის ქ. 11, გორი"
"ჯემალ ქარჩავა"|"ლუსიანინის ქ. 47, ოზურგეთი"
"უშანგი მეტრეველი"|"ტიხონოვის ქ. 59, ლაგოდეხი"
"იზოლდა კერესელიძე"|"აბზიანიძის ქ. 44, წყალტუბო"
"გვანცა კანდელაკი"|"აბაშიძე გრიგოლის ქ. 78, მარნეული"
"ცირა გოგუა"|"დაბახანას ქ. 15, ზუგდიდი"
"შორენა ქირია"|"ახტალის ქ. 07, ბორჯომი"
"რეზო შამუგია"|"გურიის ქ. 71, სამტრედია"
"ნინელი ქირია"|"თარხნიშვილის ქ. 71, დედოფლისწყარო"
"კახა ცერცვაძე"|"წინანაურის ქ. 98, მარტვილი"
"რობერტ ქევხიშვილი"|"უჩანეიშვილი ირაკლის ქ. 42, ქობულეთი"
"ჯემალ შავაძე"|"სარაჯიშვილი დავითის ქ. 53, ქუთაისი"
"ფიქრია ალიევა"|"თოფურიას ქ. 93, ნინოწმინდა"
"ნოდარ კობახიძე"|"არგვეთის ქ. 28, გაგრა"
"იზოლდა გაბელია"|"კაკაბაძე პოლიკარპეს ქ. 61, წალენჯიხა"
"მიხეილ გოგიტიძე"|"საგურამოს ქ. 13, ახალციხე"
"ოლია არაბიძე"|"აბაშიძე დოდოს ქ. 38, რუსთავი"
"მზია ბურჯანაძე"|"აბესაძე გიას ქ. 22, ტყიბული"
"ნიკოლოზ ზოიძე"|"ივერიის ქ. 26, მარნეული"
"პაატა ჯოჯუა"|"მგალობლიშვილის ქ. 57, სამტრედია"
"ემზარ ადუაშვილი"|"ტრანსპორტის ქ. 64, სოხუმი"
"ჯემალ ხელაძე"|"ტრაქტორის ქ. 21, ხობი"
"არმენ ონიანი"|"სპარტაკის ქ. 43, სოხუმი"
"ცისანა ცხადაძე"|"კოხრეიძის ქ. 01, თბილისი"
"მანანა პავლიაშვილი"|"ჩაჩავას ქ. 67, საჩხერე"
"ნუკრი ჩიხლაძე"|"ქინძმარაულის ქ. 24, სოხუმი"
"ლარისა გოგოლაძე"|"ხორნაბუჯის ქ. 59, აბაშა"
"ვაჟა მიქაბერიძე"|"ხეჩუაშვილის ქ. 20, ქარელი"
"სოფია ბერძენიშვილი"|"ტყიბულის ქ. 47, აბაშა"
"ანიკო თოლორდავა"|"ზედაზნის ქ. 12, თეთრიწყარო"
"რიტა მელქაძე"|"ბაქრაძე დავითის ქ. 24, თელავი"
"ჯონი ანთაძე"|"ახმეტელის ქ. 78, ქუთაისი"
"ლიზა ახალაია"|"კიკვიძის ქ. 73, აბაშა"
"ნონა ბეჟანიშვილი"|"ბარათაშვილი ნოკოლოზის ქ. 41, რუსთავი"
"იზა დუმბაძე"|"მათიაშვილის ქ. 53, წნორი"
"ლელა ხარებავა"|"ამბროლაურის ქ. 97, ნინოწმინდა"
"ნინელი გაბაიძე"|"სურგულაძის ქ. 11, ხონი"
"თინა რაზმაძე"|"არსენალის ქ. 38, ქობულეთი"
"ლილი მესხი"|"ციხისძირის ქ. 86, დედოფლისწყარო"
"ლაშა ლურსმანაშვილი"|"თხინვალის ქ. 24, რუსთავი"
"ვერა ფიფია"|"ახალდაბის ქ. 18, ტყვარჩელი"
"ჯონი ბალიაშვილი"|"აბასთუმანის ქ. 79, ლაგოდეხი"
"ნათელა გორგოძე"|"ტრაქტორის ქ. 42, დმანისი"
"კახაბერ სამხარაძე"|"კიკვიძის ქ. 51, დუშეთი"
"თემურ არაბული"|"პეტრიაშვილის ქ. 68, ჯვარი"
"ნატო გაფრინდაშვილი"|"წუწხვატის ქ. 23, ონი"
"იამზე ჩხიკვაძე"|"კვესეთის ქ. 35, მცხეთა"
"ბიძინა ფხაკაძე"|"ურბნისის ქ. 23, გორი"
"დოდო ფხაკაძე"|"ლ. ელიავას ქ. 05, ვალე"
"ალექს ჯანელიძე"|"კერესელიძე არჩილის ქ. 28, ვანი"
"ცირა ალანია"|"სარაჯიშვილი დავითის ქ. 32, თბილისი"
"ჯონი გოგია"|"ქიაჩელის ქ. 73, სიღნაღი"
"გიგა ხარაბაძე"|"ფაღავა ირაკლის ქ. 94, ახალი ათონი"
"ნარგიზა ნიჟარაძე"|"ზიჩი მიხაის ქ. 26, წნორი"
"მარო ლომიძე"|"ჯანაშვილის ქ. 79, ფოთი"
"ლალი ჯანელიძე"|"ჩანჩიბაძის ქ. 19, ოჩამჩირე"
"ემა გოგიაშვილი"|"სხვიტორის ქ. 11, ფოთი"
"უშანგი იმერლიშვილი"|"ბაზალეთის ქ. 76, სოხუმი"
"მურმან ჭანტურია"|"უკლება კირილეს ქ. 66, კასპი"
"ვეფხვია მუმლაძე"|"ფოცხიაშვილი მორისის ქ. 70, საგარეჯო"
"ბორის ცერცვაძე"|"რაზიკაშვილის ქ. 03, სენაკი"
"ჯონი გულიაშვილი"|"გუმათჰესის ქ. 15, ახალქალაქი"
