"Aaron Kälin","Staufferstrasse 96
5052 Val-de-Travers" 
"Gerardo Jäggi","Bernasconistrasse 20
1846 Carouge"
"Mirjam Felder","Bättigstrasse 88
6615 Lyss"
"Van Suter","Steigerstrasse 97
5647 Belp"
"Eliane Tanner","Schwabstrasse 19
4026 Sursee"
"Max Tobler","Reystrasse 27
9432 Frauenfeld"
"Steffen Forster-Portmann","Knechtstrasse 2
1614 Arbon"
"Elea Vogel","Schaubstrasse 4
2584 St. Gallen"
"Loïc Suter-Vogt","Häfligerstrasse 19
5659 Uzwil"
"Prof. Gina Jenni","Ernistrasse 4
8783 Arth"
"Matthias Schürch","Schmidtstrasse 3
8759 Lyss"
"Heinz Kaiser","Sigriststrasse 7
6176 Mendrisio"
"Mirko Jenni","Toblerstrasse 1
3282 Schlieren"
"Imelda Tanner","Küngstrasse 4
7444 Münchenbuchsee"
"Emine Scherrer","Hotzstrasse 71
2924 Baar"
"Marcelle Zehnder","Eugsterstrasse 35
6455 Küsnacht"
"Said Häfliger","Bernasconistrasse 127
3478 Arth"
"Antoine Ackermann","Mäderstrasse 23
9786 Steffisburg"
"Niclas Schaller","Winklerstrasse 56
4954 Mendrisio"
"Florent Walter","Fuchsstrasse 50
9937 Crans-Montana"
"Luana Hunziker","Huberstrasse 5
1982 Dietikon"
"Pietro Blaser","Küngstrasse 76
7121 Emmen"
"Miro Fankhauser","Kellerstrasse 50
3797 Zug"
"Nadège Schwarz","Favrestrasse 35
7715 Veyrier"
"Luna Fischer","Mäderstrasse 82
8668 Altstätten"
"Prof. Blerim Wirth","Stockerstrasse 14
2559 Männedorf"
"Holger Steinmann","Leustrasse 500
5853 Einsiedeln"
"Marika Egger","Ernststrasse 29
8539 Monthey"
"Willy Maier","Bianchistrasse 525
4096 Biel/Bienne"
"Altin Widmer","Zollingerstrasse 21
3852 Spreitenbach"
"Tiziana Lehmann Ackermann","Wehrlistrasse 91
3325 Altstätten"
"Albin Roth-Erni","Zinggstrasse 59
7083 Münsingen"
"Miro Frei","Hermannstrasse 921
9952 Glarus"
"Gabriel Schenk","Wirzstrasse 47
2941 Uster"
"Angelina Bär Felder","Wyssstrasse 9
8157 Versoix"
"Carole Giger","Kälinstrasse 99
8638 Schlieren"
"Ali Amrein","Hirtstrasse 113
2309 Wädenswil"
"Laura Schumacher","Knechtstrasse 72
9319 Affoltern"
"Balthasar Brun","Schumacherstrasse 6
8522 Lausanne"
"Juan Blum","Forsterstrasse 25
8991 Yverdon-les-Bains"
"Stephanie Leu","Kohlerstrasse 34
6006 Aarau"
"Rainer Mayer","Felberstrasse 181
3478 Siders"
"Miro Iten","Schallerstrasse 5
4153 Allschwil"
"Raphael Fuchs","Steigerstrasse 69
4147 Weinfelden"
"Metin Ferrari","Meyerstrasse 14
8172 Köniz"
"Dr. Damien Winkler","Eglistrasse 64
3421 Wetzikon"
"Brigitte Küng","Lanzstrasse 540
1740 Baden"
"Danijel Felber","Portmannstrasse 42
1131 Montreux"
"Prof. Alvaro Studer","Ottstrasse 164
1917 Lausanne"
"Eugen Felder","Kellerstrasse 654
7686 Amriswil"
"Cem Aebi-Hirt","Lustenbergerstrasse 6
8553 Muttenz"
"Prof. Zorica Iten","Fischerstrasse 45
4091 Pratteln"
"Mischa Spörri","Schäferstrasse 20
6573 Amriswil"
"Alban Zehnder","Schwabstrasse 34
6014 Münchenstein"
"Annemarie Bucher","Huberstrasse 1
6003 Vernier"
"Boris Maurer","Studerstrasse 99
4986 Thônex"
"Stanislav Benz","Baumannstrasse 911
8117 Lenzburg"
"Gertrud Steinmann-Eugster","Schärstrasse 74
4030 Romanshorn"
"Concetta Meyer","Jennistrasse 76
2948 Locarno"
"Felice Hodel","Bucherstrasse 9
5385 Uster"
"Maurus Fischer","Wengerstrasse 57
3633 Belp"
"Valerie Fehr Baumgartner","Schneiderstrasse 508
8165 Pully"
"Mischa Stucki","Bühlerstrasse 71
8040 Burgdorf"
"Lutz Koch","Blumstrasse 54
7082 Lugano"
"Ute Forster","Bärstrasse 36
7228 Chur"
"Danica Zollinger","Wyssstrasse 51
9530 Wald"
"Jean-Luc Felder-Kunz","Weibelstrasse 45
8667 Wallisellen"
"Eleonore Schaller","Lüscherstrasse 9
8231 Villars-sur-Glâne"
"Eve Ritter-Steiner","Eglistrasse 708
9015 Horw"
"Eleonore Forster","Schmidstrasse 37
6092 Nyon"
"Aida Bär Thommen","Zollingerstrasse 53
7234 Val-de-Travers"
"Natalia Steiner","Lüthistrasse 49
4116 Emmen"
"Mladen Weber","Schallerstrasse 70
9053 Prilly"
"Milka Eugster","Suterstrasse 40
6262 Zürich"
"Margret Berger Lüscher","Gloorstrasse 99
1588 Arth"
"Luisa Jost Ackermann","Lustenbergerstrasse 85
6795 Ittigen"
"Hansueli Merz","Gloorstrasse 51
2234 Carouge"
"Melisa Kuhn","Bättigstrasse 25
2792 Chur"
"Dr. Petra Zimmermann","Zinggstrasse 52
2913 Davos"
"Ylenia Gasser","Käserstrasse 90
4316 Baar"
"Olga Siegrist","Mäderstrasse 145
4679 Arth"
"Tatiana Hofmann","Fuchsstrasse 6
7591 Delsberg"
"Mohamed Frey","Wengerstrasse 59
7810 Richterswil"
"Lily Zollinger Kälin","Wettsteinstrasse 971
1450 Biel/Bienne"
"Luna Kern","Walterstrasse 93
7082 Neuenburg"
"Maurin Wüthrich","Zollingerstrasse 70
4861 Küsnacht"
"Eliza Haas","Michelstrasse 30
7597 Payerne"
"Herbert Stocker","Bianchistrasse 32
6077 Opfikon"
"Mirjam Stutz Kern","Meilistrasse 37
9548 Morges"
"Khaled Schlatter","Kaufmannstrasse 24
2976 Buchs"
"Ana Wirz","Lustenbergerstrasse 881
1926 Risch"
"Emin Michel","Kälinstrasse 49
6839 Zofingen"
"Mohammad Merz","Scheideggerstrasse 69
1208 Aarau"
"Camille Schenk","Fehrstrasse 13
4123 Ittigen"
"Nuria Moser","Siegriststrasse 7
2158 Wald"
"Kamil Kägi","Freystrasse 21
4741 Langenthal"
"Hermann Hartmann-Hasler","Schärstrasse 41
5450 Ebikon"
"Dr. Lucy Steinmann","Suterstrasse 14
9451 Uster"
"Mauro Geiger","Schmidtstrasse 95
2055 Illnau-Effretikon"
"Ronny Schweizer","Wolfstrasse 64
5764 Zürich"
"Dusan Stöckli","Widmerstrasse 837
7013 Pratteln"
"Adeline Stettler Schmid","Burristrasse 21
2829 Frauenfeld"
"Mohammad Rey","Lutzstrasse 87
1817 Aesch"
"Bashkim Rey","Wettsteinstrasse 70
7928 Adliswil"
"Joëlle Gross Wirth","Sutterstrasse 593
3237 Herisau"
"Günther Herzog","Roosstrasse 90
9579 Oftringen"
"Julio Kessler","Stalderstrasse 643
4357 Vernier"
"Vinzenz Egli","Ernststrasse 70
5086 Monthey"
"Dilara Schweizer","Stutzstrasse 87
1633 Monthey"
"Deniz Hirt","Thommenstrasse 1
5860 Zug"
"Monica Maurer","Stalderstrasse 350
1461 Zug"
"Mila Bühlmann","Schenkstrasse 1
6728 Allschwil"
"Mohammad Vogt","Bieristrasse 751
7355 Riehen"
"Annette Siegrist","Hessstrasse 39
3930 Muttenz"
"Bajram Küng","Grossstrasse 71
9587 Münchenbuchsee"
"Cinzia Pfister","Wirthstrasse 753
8896 Le Grand-Saconnex"
"Yasemin Ferrari Iten","Fehrstrasse 63
9382 Opfikon"
"Hussein Felber","Lustenbergerstrasse 89
8956 Bellinzona"
"Péter Rüegg","Wolfstrasse 35
7275 Zug"
"Arlette Hofmann","Mayerstrasse 353
9406 Richterswil"
"Marie-Claude Schär Kaufmann","Kaufmannstrasse 68
3940 Bernex"
"Flavio Gfeller","Meisterstrasse 13
6897 Payerne"
"Mohammed Blum-Studer","Sutterstrasse 81
1043 Affoltern"
"Maurus Stettler","Kohlerstrasse 72
3092 Zollikon"
"Skender Jäggi","Siegriststrasse 8
3717 Einsiedeln"
"Margarete Kälin","Knechtstrasse 4
8479 Montreux"
"Erol Erni","Lüthistrasse 7
7240 Vevey"
"Maël Hirt","Schallerstrasse 3
2048 Bern"
"Vanessa Roos-Betschart","Bucherstrasse 551
7782 Emmen"
"Carmen Lüthi","Wüthrichstrasse 2
4748 Schlieren"
"Milo Mettler","Huberstrasse 96
3780 Meilen"
"Dr. Gil Eichenberger","Zürcherstrasse 542
8108 Schaffhausen"
"Moira Bader-Frei","Aebistrasse 36
3398 Carouge"
"Hassan Weibel","Kaufmannstrasse 84
2476 Le Grand-Saconnex"
"Liridona Favre","Hessstrasse 89
8289 Uzwil"
"Prof. Nuria Steiger","Leunbergerstrasse 855
7236 Meilen"
"Artur Wirth","Fehrstrasse 63
7846 Wald"
"Elisabetta Iten","Steinmannstrasse 74
8384 Zollikofen"
"Camille Zingg","Stadelmannstrasse 88
4315 Biel/Bienne"
"Marlon Lüscher","Hoffmannstrasse 18
7541 Thônex"
"Rainer Favre","Huberstrasse 8
8899 Lutry"
"Claudio Kunz","Albrechtstrasse 94
6410 Kloten"
"Monique Mäder Egli","Walterstrasse 90
1592 Lugano"
"Salome Favre Brun","Thommenstrasse 4
7825 Belp"
"Wendelin Ernst","Kohlerstrasse 93
5420 Chêne-Bougeries"
"Dr. Célia Studer","Stalderstrasse 94
1335 Val-de-Ruz"
"Tara Hunziker","Meyerstrasse 61
1791 Ittigen"
"Theres Erni","Schlatterstrasse 57
1648 Genf"
"Dorothea Flückiger","Lutzstrasse 88
6725 Köniz"
"Kim Stucki","Hartmannstrasse 7
4603 Crans-Montana"
"Shpresa Stocker","Kälinstrasse 7
9321 Münchenbuchsee"
"Giuseppina Gross","Leunbergerstrasse 5
8965 Worb"
"Monique Roth","Zinggstrasse 83
5545 Stäfa"
"Carolina Bader","Freystrasse 75
8786 Val-de-Travers"
"Gilberte Kälin","Ernistrasse 820
5741 Vevey"
"Jasmine Geiger","Friedlistrasse 92
3667 La Tour-de-Peilz"
"Gladys Rüegg Häfliger","Zehnderstrasse 80
9167 Burgdorf"
"Emilia Koch Frey","Schäferstrasse 33
2306 St. Gallen"
"Dr. Noé Siegrist","Bucherstrasse 59
3436 Pfäffikon"
"Damaris Brunner","Lanzstrasse 35
5854 Münchenstein"
"Theodor Bernasconi","Bühlmannstrasse 51
9479 Reinach"
"Matti Albrecht","Hürlimannstrasse 37
1282 Gland"
"Morena Hess Schnyder","Bühlmannstrasse 50
7968 Brig-Glis"
"Rüdiger Probst","Scheideggerstrasse 64
3444 Arth"
"Leona Bieri","Baumannstrasse 97
4950 Urdorf"
"Fernande Felder","Weberstrasse 477
3143 Carouge"
"Ester Tanner Schäfer","Grafstrasse 724
5076 Biel/Bienne"
"Lars Senn","Studerstrasse 99
9833 Regensdorf"
"Deborah Fehr","Benzstrasse 79
2783 Morges"
"Katja Weber","Stadelmannstrasse 60
8520 Genf"
"Margot Kunz","Imhofstrasse 90
6425 Wil"
"Vivian Imhof Bernasconi","Mettlerstrasse 18
3760 Zug"
"Morena Kern","Rothstrasse 16
2406 Monthey"
"Cosimo Wehrli","Schulerstrasse 2
3277 Rüti"
"Andre Leunberger","Huberstrasse 92
9788 Montreux"
"Natasha Schäfer","Reystrasse 864
8812 Uzwil"
"Andrina Keller Stauffer","Blumstrasse 49
2940 Basel"
"Norman Steiger","Schneiderstrasse 5
5396 Wohlen"
"Roy Schenk-Gerber","Eggerstrasse 47
2299 Ittigen"
"Prof. Zeno Müller","Aebistrasse 794
2940 Wald"
"Susan Seiler","Burristrasse 5
7582 Sursee"
"Basil Bolliger","Rüeggstrasse 30
2358 Adliswil"
"Moreno Scheidegger","Kuhnstrasse 8
9196 Pfäffikon"
"Virginie Kaufmann Schaller","Wegmannstrasse 24
6192 Altstätten"
"Mirjana Leu","Martinstrasse 265
2575 Biel/Bienne"
"Rebecca Hürlimann","Toblerstrasse 36
8271 Yverdon-les-Bains"
"Noah Bucher","Forsterstrasse 19
3158 Lausanne"
"Elmar Hartmann-Favre","Schulerstrasse 66
4568 Pratteln"
"Hassan Walder","Lehmannstrasse 67
4979 Muri"
"Vincenza Bader Imhof","Staubstrasse 19
4876 Riehen"
"Luana Bader","Stöcklistrasse 37
4408 Prilly"
"Dr. Blanka Ferrari","Bolligerstrasse 33
6934 Wettingen"
"Morris Schmidt","Wagnerstrasse 868
8161 Stäfa"
"Enya Lutz Kessler","Lüthistrasse 72
2592 Gossau"
"Irene Knecht Blum","Bachmannstrasse 40
2463 Pfäffikon"
"Emil Schlatter-Beck","Bieristrasse 274
3206 Carouge"
"Sylvia Haas","Hoffmannstrasse 8
7075 Luzern"
"Prof. Nadège Arnold","Hotzstrasse 9
8740 Maur"
"Teodora Knecht Wagner","Schaubstrasse 502
5205 Onex"
"Boris Schnyder","Scheideggerstrasse 7
5530 Grenchen"
"Alain Lüthi-Wagner","Siegriststrasse 83
4359 Ostermundigen"
"Volker Winkler","Studerstrasse 25
3084 Frauenfeld"
"Muhamed Hafner","Friedlistrasse 84
5795 Richterswil"
"Marietta Eichenberger","Küngstrasse 43
5690 Neuhausen"
"Andre Jäggi","Huberstrasse 29
5630 Münsingen"
"Susanna Meister","Lustenbergerstrasse 73
3405 Baar"
"Neo Mäder","Kaufmannstrasse 345
4092 Worb"
"Rebecca Stöckli","Rüeggstrasse 707
7093 Vevey"
"Maurus Wirth-Giger","Hunzikerstrasse 90
8094 Küsnacht"
"Susann Wirth","Geigerstrasse 85
9214 Zollikon"
"Arlind Staub","Staufferstrasse 35
2595 Genf"
"Christoph Meier","Blaserstrasse 79
3864 Gossau"
"Muhamed Näf-Wagner","Schochstrasse 751
8017 Olten"
"Timea Wegmann","Fehrstrasse 59
2187 Payerne"
"Armando Walder","Hunzikerstrasse 7
9440 La Tour-de-Peilz"
"Léa Jäggi","Stöcklistrasse 34
7168 Baar"
"Isidor Schweizer-Hafner","Vogelstrasse 972
9576 Glarus"
"Elio Widmer-Schwab","Imhofstrasse 8
5928 Carouge"
"Philip Leu","Fuchsstrasse 284
3792 Münchenstein"
"Vivian Wenger-Studer","Jäggistrasse 5
3207 Münchenbuchsee"
"Michael Zehnder-Schneider","Bolligerstrasse 9
6758 Arth"
"Bekim Bättig","Fehrstrasse 34
8153 Illnau-Effretikon"
"Muhamed Steiger","Blaserstrasse 76
4653 Belp"
"Claudia Bauer Stadelmann","Sigriststrasse 40
3933 Horgen"
"Prof. Antonia Staub","Zbindenstrasse 82
3404 Basel"
"Monica Meili","Flückigerstrasse 58
6143 Hinwil"
"Nicola Koch Müller","Schmidtstrasse 7
5069 Lyss"
"Beate Sigrist","Bernasconistrasse 914
8539 Aesch"
"Mirlinda Ritter","Freistrasse 33
5142 Gossau"
"Mehdi Fehr","Käserstrasse 87
2588 Luzern"
"Timothy Bühler","Wagnerstrasse 8
1485 Freienbach"
"Claire Iten","Wehrlistrasse 73
9892 Möhlin"
"Muhamet Hunziker-Hafner","Moserstrasse 65
2963 Köniz"
"Karin Wagner","Betschartstrasse 72
9184 Versoix"
"Prof. Cynthia Ritter","Hürlimannstrasse 93
4140 Solothurn"
"Helga Studer","Stettlerstrasse 1
6526 Suhr"
"Frank Steiger-Sigrist","Sennstrasse 12
8854 Nyon"
"Alan Burri","Sidlerstrasse 45
3303 Belp"
"Abdul Gasser","Schürchstrasse 31
2123 Lyss"
"Marietta Flückiger","Gigerstrasse 411
1615 Rüti"
"Amélie Lutz Hasler","Rothstrasse 825
4036 Belp"
"Prof. Maryse Wegmann","Lüscherstrasse 637
6046 Baden"
"Muhammad Amrein","Burristrasse 5
1258 Weinfelden"
"Marcela Arnold","Schlatterstrasse 8
4692 Payerne"
"Fabrice Leunberger","Rothstrasse 46
1024 Renens"
"Filippo Merz-Schürch","Ritterstrasse 5
4260 Lancy"
"Dion Eugster","Ottstrasse 61
8649 Nyon"
"Dr. Fridolin Zollinger","Hauserstrasse 6
2530 Richterswil"
"Katarzyna Erni-Blum","Wegmannstrasse 183
8040 Kreuzlingen"
"Noah Kälin","Baderstrasse 25
4608 Männedorf"
"Besarta Stucki","Rüeggstrasse 691
2168 Grenchen"
"Gian-Luca Studer","Weberstrasse 75
9945 Suhr"
"Muhammed Eichenberger","Grossstrasse 456
4770 Sarnen"
"Irène Blaser-Walder","Brunnerstrasse 64
4254 Muri"
"Alina Grob Hotz","Bergerstrasse 73
8019 Pully"
"Chloé Isler","Eichenbergerstrasse 15
6611 Buchs"
"Lino Hug","Flückigerstrasse 28
1935 Steinhausen"
"Can Ferrari","Felberstrasse 12
8137 Bulle"
"Jannis Koch","Blaserstrasse 40
7507 Meilen"
"Vesna Gfeller","Brunnerstrasse 38
8623 Küssnacht"
"Alea Iten","Kaiserstrasse 17
6190 Buchs"
"Ann Leu","Arnoldstrasse 975
2274 Amriswil"
"Muhammed Jenni","Kaiserstrasse 4
7652 Schwyz"
"Joëlle Blum","Fischerstrasse 607
4079 Liestal"
"Dr. Romina Amrein","Gigerstrasse 51
9039 Kriens"
"Marinette Merz","Schochstrasse 15
8036 Horw"
"Albina Schaller Ferrari","Hürlimannstrasse 50
6434 Vernier"
"Flurina Widmer-Hasler","Kälinstrasse 20
2093 Thun"
"Dilara Huber","Betschartstrasse 994
6956 Thônex"
"Mia Grob Hofstetter","Ernistrasse 60
1967 Kloten"
"Serkan Braun","Studerstrasse 825
8775 Ecublens"
"Prof. Zlatko Jäggi","Hürlimannstrasse 566
4251 Wohlen"
"Murat Hess","Bachmannstrasse 67
8273 Richterswil"
"Zora Kaufmann","Scherrerstrasse 38
2482 Weinfelden"
"Christiane Fehr-Beck","Beckstrasse 892
3192 Arth"
"Antonella Furrer-Probst","Lüthistrasse 20
7396 Sitten"
"Nadège Scheidegger Rüegg","Hauserstrasse 53
6476 Gossau"
"Prof. Amalia Aebi","Kunzstrasse 89
1512 Kloten"
"Lisbeth Schär","Islerstrasse 3
6422 Freiburg"
"Mihaela Schnyder","Wüthrichstrasse 69
1936 Neuenburg"
"Diogo Seiler","Roosstrasse 7
8231 Solothurn"
"Priska Keller","Widmerstrasse 22
4061 Ittigen"
"Murielle Bachmann","Schnyderstrasse 15
5296 Weinfelden"
"Anja Zbinden Imhof","Lutzstrasse 90
3574 Mendrisio"
"Lisa Brunner","Jennistrasse 773
4404 Herisau"
"Rosalie Steinmann","Geigerstrasse 69
2327 Frauenfeld"
"Laila Hürlimann Wegmann","Forsterstrasse 394
9558 Naters"
"Dr. Angelica Wirth","Kälinstrasse 58
5769 Yverdon-les-Bains"
"Johanna Roos Wirz","Bergerstrasse 6
4147 Locarno"
"Flurina Friedli","Ritterstrasse 5
7211 Ittigen"
"Raimund Hoffmann","Steigerstrasse 71
3344 Lutry"
"Dr. Antonietta Schmid","Ammannstrasse 78
4341 Illnau-Effretikon"
"Myrta Brunner","Felderstrasse 69
5756 Veyrier"
"Dr. Lirim Scheidegger","Betschartstrasse 4
2616 Payerne"
"Dr. Janik Arnold","Felderstrasse 25
8671 Brig-Glis"
"Piero Häfliger","Furrerstrasse 18
2902 Aigle"
"Ruedi Betschart","Lutzstrasse 61
1710 Davos"
"Valerio Keller-Hofer","Burristrasse 43
2693 Kreuzlingen"
"Magnus Lanz","Kochstrasse 79
8118 Ebikon"
"Tibor Kuhn","Probststrasse 10
3943 Chur"
"Jens Roth","Kochstrasse 18
8407 Küssnacht"
"Romano Ott","Stöcklistrasse 43
7162 Winterthur"
"Mélanie Probst","Lüscherstrasse 81
8653 Birsfelden"
"Lorin Wirz","Schwabstrasse 40
9244 Monthey"
"Angelo Hofstetter","Arnoldstrasse 89
1012 Altstätten"
"Meryem Favre Amrein","Widmerstrasse 2
3592 Val-de-Travers"
"Eduard Schuler","Studerstrasse 5
1754 Carouge"
"Larissa Hoffmann Suter","Brunstrasse 43
7788 Baar"
"Elisabetha Ferrari","Steffenstrasse 84
7004 Val-de-Travers"
"Claude Portmann","Rothstrasse 1
3561 Zollikofen"
"Prof. Lucette Mayer","Imhofstrasse 8
7139 Thun"
"Anna Schoch","Baumgartnerstrasse 66
8170 Sarnen"
"Mélanie Stettler Suter","Vogelstrasse 893
8243 Bulle"
"Cheyenne Müller","Hirtstrasse 382
9794 Arbon"
"Pavel Stalder","Merzstrasse 936
4593 Gossau"
"Marie Schaub","Ritterstrasse 9
9564 Wil"
"Sasa Marti","Leunbergerstrasse 641
2800 Yverdon-les-Bains"
"Katerina Müller","Fehrstrasse 6
9119 Muttenz"
"Remzi Lehmann","Baderstrasse 99
3273 Zofingen"
"Rüdiger Kuhn","Furrerstrasse 25
3208 Luzern"
"Konstantin Ernst","Bieristrasse 8
3537 Veyrier"
"Zoran Frick","Baumgartnerstrasse 975
3349 Sarnen"
"Mélissa Mäder-Favre","Stettlerstrasse 4
6860 Schlieren"
"Evan Schmidt-Haas","Reystrasse 1
4911 Freiburg"
"Tania Meister","Kernstrasse 877
8357 Lyss"
"Luc Wehrli-Müller","Kohlerstrasse 9
4116 Arth"
"Khaled Frey","Lüscherstrasse 79
8000 Amriswil"
"Pierrette Hofmann","Lüscherstrasse 14
9048 Riehen"
"Labinot Ammann","Vogtstrasse 963
1436 Hinwil"
"Florent Keller","Schürchstrasse 6
8315 Martigny"
"Kurt Baumgartner","Wegmannstrasse 55
4610 Lyss"
"Miranda Schoch","Seilerstrasse 82
3566 Kloten"
"Nada Hirt","Brunnerstrasse 1
5953 Sarnen"
"Marvin Haas","Freistrasse 47
6031 Illnau-Effretikon"
"Curdin Schär","Schneiderstrasse 74
8239 Val-de-Travers"
"Cornel Bauer-Schlatter","Mayerstrasse 668
2736 Uzwil"
"Richard Aebi","Stöcklistrasse 323
7562 St. Gallen"
"Marie-José Käser","Reystrasse 68
8067 Biel/Bienne"
"Bernd Kunz-Bader","Huberstrasse 161
6863 Gossau"
"Kathleen Kuhn","Martistrasse 171
6433 Thalwil"
"Line Kaufmann","Albrechtstrasse 121
3829 Bern"
"Axel Marti","Beckstrasse 7
2168 Suhr"
"Nadia Erni","Bianchistrasse 92
2636 Steinhausen"
"Emma Zbinden","Schürchstrasse 8
3022 Dübendorf"
"Raffaella Kälin","Jennistrasse 50
8055 Riehen"
"Tahir Hofmann","Meisterstrasse 486
5405 Genf"
"Arne Moser-Mayer","Lutzstrasse 60
4818 Münchenbuchsee"
"Mirela Benz-Weber","Rothstrasse 67
9386 Oftringen"
"Thea Sigrist","Reystrasse 65
5626 Muttenz"
"Dardan Berger","Wirthstrasse 3
1832 Einsiedeln"
"Wilma Thommen","Hirtstrasse 30
8168 Zürich"
"Prof. Detlef Meili","Islerstrasse 88
5706 Illnau-Effretikon"
"Nadia Wirz","Burristrasse 80
2188 Chêne-Bougeries"
"Kaan Häfliger-Koch","Schmidstrasse 822
2024 Oberwil"
"Marin Wenger","Bättigstrasse 98
9188 Amriswil"
"Hugo Stucki-Herzog","Steinerstrasse 17
8152 Biel/Bienne"
"Damaris Bär","Stutzstrasse 65
2144 Kreuzlingen"
"Levin Grob","Haslerstrasse 7
3799 Aigle"
"Romy Senn","Fehrstrasse 82
4728 Yverdon-les-Bains"
"Merlin Kessler","Mettlerstrasse 246
1317 Locarno"
"Rocco Frick","Bernasconistrasse 39
2847 Bulle"
"Ludwig Graf","Aebistrasse 40
1177 Suhr"
"Nadja Bader","Leunbergerstrasse 21
7249 Worb"
"Suzanne Flückiger Huber","Kellerstrasse 26
7804 Zofingen"
"Giulio Keller","Wyssstrasse 517
2883 Uzwil"
"Prof. Alexa Pfister","Bosshardstrasse 520
2578 Kloten"
"Fernande Sigrist","Leunbergerstrasse 5
7116 Bassersdorf"
"Maxime Ammann","Meisterstrasse 23
4278 Thalwil"
"Audrey Bieri Bucher","Hofstetterstrasse 15
7957 Zofingen"
"Virginie Bieri","Braunstrasse 83
1822 Spreitenbach"
"Jakub Meyer-Weibel","Burristrasse 990
3201 Prilly"
"Dafina Imhof","Wüthrichstrasse 54
6650 Lenzburg"
"Nadja Mayer","Zieglerstrasse 71
8829 Oberwil"
"Besart Lutz","Haasstrasse 35
3597 Schaffhausen"
"Prof. Raymond Sutter","Blaserstrasse 24
6822 Küsnacht"
"Luna Sigrist","Sutterstrasse 65
3522 Bern"
"Brigitta Marti Bär","Furrerstrasse 59
5798 Lenzburg"
"Giuseppe Kälin","Stuckistrasse 72
4230 Weinfelden"
"Fatmire Frei","Hofmannstrasse 20
2427 Oberwil"
"Philip Ritter","Bachmannstrasse 91
9886 Uster"
"Azra Ott Walter","Imhofstrasse 95
2675 Aarau"
"Mandy Brunner","Küngstrasse 695
3997 Onex"
"Nando Ernst","Rüeggstrasse 712
3450 Einsiedeln"
"Egzon Hoffmann","Sutterstrasse 37
2396 Pully"
"Reinhard Moser","Grossstrasse 1
2420 Flawil"
"Jane Wehrli-Gut","Steigerstrasse 54
3794 Ecublens"
"Lilian Bühler","Bianchistrasse 990
3260 Köniz"
"Constantin Hasler","Rüeggstrasse 2
8594 Risch"
"Prof. Valon Hasler","Kunzstrasse 81
3240 Sursee"
"Miran Lanz","Bühlerstrasse 68
8601 La Tour-de-Peilz"
"Anke Furrer Seiler","Islerstrasse 36
8307 Pfäffikon"
"Hansueli Meyer","Bianchistrasse 9
9520 Ebikon"
"Nando Thommen","Staufferstrasse 62
3964 Aesch"
"Lorenz Lanz","Wettsteinstrasse 3
3771 Regensdorf"
"Veronica Müller Isler","Schochstrasse 48
1926 Pully"
"Eren Leu","Thommenstrasse 7
8181 Meilen"
"Antoinette Stutz-Frick","Stettlerstrasse 21
7248 Affoltern"
"Edina Gerber","Knechtstrasse 50
7523 Sursee"
"Margrit Jäggi","Herzogstrasse 71
9766 Pfäffikon"
"Nael Kohler","Käserstrasse 489
9521 Risch"
"Anisa Hess","Herzogstrasse 613
3846 La Tour-de-Peilz"
"Maud Maier-Zehnder","Ferraristrasse 230
4480 Worb"
"Natacha Amrein","Schenkstrasse 96
1379 Aesch"
"Mischa Iten","Haslerstrasse 9
1891 Neuenburg"
"Suzana Ziegler","Schnyderstrasse 55
7158 Davos"
"Flamur Albrecht","Hoferstrasse 17
2194 Bernex"
"Karine Gfeller","Kohlerstrasse 36
2744 Lenzburg"
"Thérèse Gut","Stuckistrasse 6
1190 Aesch"
"Fatime Kohler","Benzstrasse 224
5818 Bassersdorf"
"Janic Kohler","Martistrasse 59
3550 Flawil"
"Edmond Wehrli","Bernasconistrasse 187
2805 Naters"
"Sadik Häfliger-Vogel","Gigerstrasse 8
1526 Cham"
"Natacha Widmer","Flückigerstrasse 2
1260 Rapperswil-Jona"
"Odile Schmidt","Gerberstrasse 738
4783 Lancy"
"Katarzyna Schuler","Seilerstrasse 16
9949 Gossau"
"Prof. Liana Beck","Küngstrasse 69
1059 Payerne"
"Ginette Lanz-Zehnder","Kellerstrasse 52
3247 Herisau"
"Danièle Meyer","Moserstrasse 960
2636 Arth"
"Remzi Kägi","Betschartstrasse 75
3962 Aesch"
"Prof. Vincenza Meili","Schürchstrasse 25
8663 Belp"
"Thea Senn","Bättigstrasse 38
4833 Münsingen"
"Lara Jäggi","Martinstrasse 730
9404 Chêne-Bougeries"
"Natalia Hartmann","Küngstrasse 28
1833 Einsiedeln"
"Mirjana Schwab","Hofmannstrasse 4
2369 Luzern"
"Prof. Naomi Egger","Bachmannstrasse 498
7336 Volketswil"
"Inês Stauffer Wyss","Käserstrasse 99
4443 Ebikon"
"Maurizio Christen","Schmidstrasse 68
3289 Lausanne"
"Gertrude Baumann","Lustenbergerstrasse 96
6601 Münchenstein"
"Béatrice Hafner","Furrerstrasse 6
4459 Allschwil"
"Jill Gut","Herzogstrasse 7
4434 Thun"
"Bruno Jost","Schlatterstrasse 1
7324 Zofingen"
"Dr. Jovan Lutz","Meisterstrasse 559
1090 Neuhausen"
"Natalie Stocker","Walderstrasse 70
3966 Binningen"
"Prof. Curdin Bianchi","Huberstrasse 3
1583 Neuhausen"
"Alfred Bühler","Stuckistrasse 903
7914 Siders"
