"Abdullah Bachmann","Sutterstrasse 86
5460 Arbon" 
"Igor Jäggi","Kellerstrasse 19
7237 Flawil"
"Tania Kälin","Steigerstrasse 3
3419 Wil"
"Amalia Schmidt","Baumgartnerstrasse 23
6738 Luzern"
"Maik Bühler","Peterstrasse 1
9370 Versoix"
"Clara Studer","Kernstrasse 121
2768 Richterswil"
"Lola Hess","Benzstrasse 4
1029 Horw"
"Pasquale Kägi-Ackermann","Käserstrasse 99
1522 Amriswil"
"Filip Egger","Bianchistrasse 67
1756 St. Gallen"
"Rose Scherrer","Steffenstrasse 95
7787 Solothurn"
"Norina Gfeller","Schumacherstrasse 99
6909 Payerne"
"Ralph Hotz","Siegriststrasse 2
9410 Sursee"
"Salome Knecht","Hartmannstrasse 70
2179 Belp"
"Antonio Kuhn-Bühlmann","Meilistrasse 89
9063 Neuenburg"
"Agnieszka Huber Zingg","Burristrasse 58
8542 Lutry"
"Sonja Baumann Kälin","Wüthrichstrasse 6
1460 Vernier"
"Annemarie Wyss","Albrechtstrasse 3
4950 Chur"
"Kai Lehmann","Kellerstrasse 823
5331 Lenzburg"
"Prof. Hans-Jürgen Ammann","Steigerstrasse 2
6495 Martigny"
"Gordana Vogt","Pfisterstrasse 65
5607 Lutry"
"Noémie Hunziker","Schäferstrasse 39
7673 Volketswil"
"Huguette Lüscher","Kaufmannstrasse 182
4369 Wil"
"Dr. Géraldine Maurer","Mettlerstrasse 558
8758 La Tour-de-Peilz"
"Angelika Sidler","Ackermannstrasse 96
9099 Meilen"
"Biagio Schneider-Berger","Freystrasse 58
5637 Einsiedeln"
"José Wegmann","Felderstrasse 29
1743 Lugano"
"Imer Schoch","Müllerstrasse 3
5940 Opfikon"
"Claire-Lise Widmer","Amreinstrasse 600
9448 Maur"
"Helga Rüegg","Stockerstrasse 15
4392 Freiburg"
"Biagio Bader","Staubstrasse 5
7670 Muttenz"
"Noémie Zollinger","Bauerstrasse 61
5005 Biel/Bienne"
"Stefania Aebi","Braunstrasse 3
7104 La Tour-de-Peilz"
"Dr. Loïc Fankhauser","Lüscherstrasse 71
1161 La Chaux-de-Fonds"
"Grazia Maier","Maierstrasse 24
1323 Horgen"
"Diar Schaub","Zieglerstrasse 86
4536 Carouge"
"Erik Beck","Furrerstrasse 60
4062 Dietikon"
"Prof. Angel Kälin","Steinmannstrasse 88
9079 Liestal"
"Dr. Olaf Staub","Steffenstrasse 907
3765 Langenthal"
"Rosaria Schuler Ritter","Haasstrasse 540
7841 Kloten"
"Jaron Forster","Hauserstrasse 41
6004 Wetzikon"
"Noël Schärer","Walderstrasse 3
1642 Brig-Glis"
"Julia Bühlmann","Steigerstrasse 73
5496 Glarus"
"Wendy Bosshard","Wagnerstrasse 21
2363 Zug"
"Jeffrey Schaller","Zollingerstrasse 994
4755 Sitten"
"Prof. Rose Schmid","Bieristrasse 53
5615 La Tour-de-Peilz"
"Ralph Weber","Fuchsstrasse 1
3289 Cham"
"Zeno Albrecht","Joststrasse 6
3451 Münchenstein"
"Lidija Jost Schäfer","Bachmannstrasse 397
6898 Kloten"
"Carlo Bianchi","Seilerstrasse 165
4008 Yverdon-les-Bains"
"Amar Schär","Bättigstrasse 654
4524 Gossau"
"Noëlle Stucki","Lüscherstrasse 7
3673 Weinfelden"
"Heidi Lüthi","Pfisterstrasse 733
7058 Zürich"
"Barbara Bättig","Seilerstrasse 77
1789 Meyrin"
"Arben Frei","Moserstrasse 8
8397 Maur"
"Luljeta Wenger","Lüthistrasse 332
4072 Baden"
"Myriam Favre Schnyder","Spörristrasse 1
8038 Pfäffikon"
"Elisa Brunner Lehmann","Näfstrasse 79
7341 Ittigen"
"Lias Winkler","Wolfstrasse 754
2239 Köniz"
"Sandra Stettler-Koch","Steffenstrasse 26
2602 Köniz"
"Erna Hotz","Meilistrasse 2
2823 Vernier"
"Noëmi Burri","Schnyderstrasse 303
8247 Pully"
"Leonard Stauffer","Weberstrasse 14
2348 Oberwil"
"Kamil Eugster","Scherrerstrasse 38
6189 Schwyz"
"Maude Suter","Siegriststrasse 330
7309 Zürich"
"Admir Egli","Freystrasse 260
1851 Glarus"
"Ramona Meister Furrer","Käserstrasse 300
1132 Pratteln"
"Victoria Kunz","Spörristrasse 445
8961 Steinhausen"
"Georgette Wolf-Ritter","Langstrasse 90
8306 Uzwil"
"Hendrik Küng","Gutstrasse 20
8010 Wetzikon"
"Prof. Jade Leunberger","Moserstrasse 32
5033 Renens"
"Nuria Maier","Näfstrasse 5
4212 Wetzikon"
"Jürgen Baur","Staubstrasse 48
5131 Aesch"
"Levi Senn","Maurerstrasse 65
4555 Meyrin"
"Margaret Schumacher","Ackermannstrasse 25
7793 Wetzikon"
"Prof. Romane Martin","Kohlerstrasse 89
7639 Küssnacht"
"Albert Stöckli","Meierstrasse 34
2749 Siders"
"Desirée Frey-Weibel","Hotzstrasse 7
6106 Spreitenbach"
"Zsolt Kern-Sigrist","Stutzstrasse 86
3256 Payerne"
"Prof. Rayan Favre","Portmannstrasse 634
1871 Münchenbuchsee"
"Ennio Müller","Zollingerstrasse 30
2743 Münchenstein"
"Odette Bachmann","Steffenstrasse 65
9109 Liestal"
"Ricardo Felber","Toblerstrasse 4
1923 Naters"
"Juliana Berger","Lüscherstrasse 9
1451 Steffisburg"
"Marlen Bucher","Merzstrasse 518
9674 Val-de-Ruz"
"Sabri Kägi","Schochstrasse 950
9271 Neuenburg"
"Kristijan Fuchs","Hofstetterstrasse 8
5142 Schlieren"
"Evelyne Walder Keller","Martinstrasse 49
6042 Weinfelden"
"Christina Bucher","Schäferstrasse 569
9111 Emmen"
"Miro Bosshard","Wehrlistrasse 9
7227 Thônex"
"Deborah Kaiser","Fankhauserstrasse 33
1726 Spiez"
"Odette Tanner","Sennstrasse 91
6563 Steffisburg"
"Vittorio Martin-Meyer","Spörristrasse 510
5034 Carouge"
"Mariella Albrecht","Fehrstrasse 461
6324 Gossau"
"Boban Gerber","Steinerstrasse 16
8760 Wohlen"
"Nicholas Baur","Aebistrasse 35
9870 Männedorf"
"Jill Stocker","Reystrasse 88
2753 Lausanne"
"Ismet Scheidegger","Widmerstrasse 60
3914 Wald"
"Dilara Lustenberger","Siegriststrasse 789
9245 Brugg"
"Sabrina Schäfer","Seilerstrasse 6
1658 Horw"
"Judith Gloor","Ammannstrasse 67
2928 Bassersdorf"
"Olaf Schweizer","Haasstrasse 599
1587 Sitten"
"Nicole Lüscher","Bucherstrasse 772
1305 Wallisellen"
"Marie-Jeanne Gerber Wenger","Wirzstrasse 34
9353 Delsberg"
"Léane Jenni","Ernistrasse 79
8873 Belp"
"Marlène Hermann","Kochstrasse 45
2287 Grenchen"
"Toni Bachmann-Stöckli","Walterstrasse 69
5087 Luzern"
"Jacques Albrecht","Käserstrasse 7
8355 Altstätten"
"Isabella Sigrist","Betschartstrasse 51
9837 Wädenswil"
"Priscilla Aebi","Felderstrasse 78
1790 Thônex"
"Marguerite Tobler Widmer","Schaubstrasse 55
2957 Stäfa"
"Olena Lanz","Schärstrasse 184
1578 Reinach"
"Dagmar Bucher","Winklerstrasse 1
1480 Aesch"
"Damien Bühler","Favrestrasse 5
8182 Arbon"
"Ivan Baumgartner","Wegmannstrasse 64
7386 Aesch"
"Aldo Sidler","Langstrasse 97
7124 Val-de-Travers"
"Raffael Stettler","Bernasconistrasse 8
6626 Weinfelden"
"Eileen Bianchi","Schallerstrasse 559
2972 Kreuzlingen"
"Muhammad Friedli","Thommenstrasse 86
4479 Opfikon"
"Prof. Baris Bühler","Siegriststrasse 953
4661 Meyrin"
"Kathleen Sigrist","Jäggistrasse 8
5807 Illnau-Effretikon"
"Olena Wagner","Frickstrasse 89
3513 Solothurn"
"Ulrich Bär","Widmerstrasse 974
1401 Muri"
"Simeon Zürcher","Sigriststrasse 98
9644 Riehen"
"Andrea Lustenberger","Herzogstrasse 546
6091 Binningen"
"Léna Gasser","Grossstrasse 600
3472 Wohlen"
"Pascal Pfister","Suterstrasse 6
7075 Bülach"
"Nils Kälin-Schaller","Schäferstrasse 130
7337 Sitten"
"Concetta Burri Ritter","Kaufmannstrasse 42
1868 Romanshorn"
"Josette Roth","Bergerstrasse 15
1328 Riehen"
"Joël Kägi","Scheideggerstrasse 56
6233 Steinhausen"
"Olivier Fuchs","Bernasconistrasse 77
1388 Belp"
"Bernard Ritter","Leustrasse 10
8735 Bellinzona"
"Vittorio Schnyder","Brunstrasse 795
2447 Biel/Bienne"
"Lidija Gloor","Kesslerstrasse 71
8778 Horgen"
"Noémie Kohler","Staufferstrasse 14
1922 Illnau-Effretikon"
"Kristin Bär","Kohlerstrasse 32
5581 Maur"
"Ömer Ackermann","Meilistrasse 86
1773 Binningen"
"Melissa Baumgartner Vogel","Eugsterstrasse 22
4199 Yverdon-les-Bains"
"Reiner Maier","Hofmannstrasse 5
9088 Crans-Montana"
"Maurizio Ackermann","Kunzstrasse 25
5208 Vevey"
"Omar Lutz","Schmidtstrasse 653
7898 Frauenfeld"
"Arthur Schlatter","Fehrstrasse 3
8022 Steinhausen"
"Dr. Yves Hartmann","Pfisterstrasse 353
1026 Meilen"
"Elvira Hauser","Amreinstrasse 90
6156 Langenthal"
"Tara Kuhn-Christen","Reystrasse 79
2500 Basel"
"Prof. Luca Bieri","Eugsterstrasse 24
8217 Rheinfelden"
"Margreth Kunz","Wirthstrasse 99
3617 Dietikon"
"Emilie Rey Gasser","Widmerstrasse 70
7836 Chur"
"Annette Stettler","Hessstrasse 32
1890 Yverdon-les-Bains"
"Hans-Jürgen Schürch-Ott","Toblerstrasse 21
7557 Zollikofen"
"Onur Hafner","Brunstrasse 2
2272 Küsnacht"
"Paulo Pfister","Geigerstrasse 78
5111 Glarus"
"Fabienne Merz","Brunnerstrasse 50
5010 Rüti"
"Afrim Stucki-Näf","Rothstrasse 43
5799 Freiburg"
"Marinette Schaub Iten","Gloorstrasse 81
5733 Sursee"
"Jürgen Kaufmann","Probststrasse 982
6018 Frauenfeld"
"Derya Hofstetter","Jäggistrasse 780
8490 Altstätten"
"Marjorie Kälin","Fuchsstrasse 84
9593 Thônex"
"Inès Käser","Imhofstrasse 91
9019 Luzern"
"Liv Wegmann","Haasstrasse 735
7802 Carouge"
"Onur Hodel","Kunzstrasse 44
6962 Yverdon-les-Bains"
"Prof. Selma Bachmann","Gutstrasse 89
8516 Ittigen"
"Ilse Fischer Wenger","Maurerstrasse 53
4504 Ittigen"
"Quentin Rey-Spörri","Grossstrasse 44
6305 Biel/Bienne"
"Amira Meier-Kunz","Freistrasse 71
5144 Horw"
"Marcel Hunziker","Stockerstrasse 80
2698 Locarno"
"Kurt Senn","Schweizerstrasse 481
7604 Regensdorf"
"Jean-Pierre Eichenberger-Moser","Ottstrasse 54
2366 Muttenz"
"Lisa Schäfer","Schürchstrasse 8
8349 Buchs"
"Yann Jäggi","Steinerstrasse 87
8019 Steffisburg"
"Ophélie Steinmann","Schwabstrasse 2
5552 Olten"
"Holger Zürcher","Freystrasse 204
6238 Spiez"
"Valentino Leunberger","Meierstrasse 23
6654 Pfäffikon"
"Yasemin Häfliger Isler","Fankhauserstrasse 5
4053 Siders"
"Karin Scherrer","Näfstrasse 71
7938 Bassersdorf"
"Yvonne Felder Wenger","Schulerstrasse 51
9157 Locarno"
"Jost Wegmann","Amreinstrasse 991
3776 Le Grand-Saconnex"
"Enrique Frey","Eglistrasse 59
9508 Lenzburg"
"Volker Spörri","Schumacherstrasse 46
3593 Köniz"
"Mercedes Schaub","Hoferstrasse 7
4314 Wohlen"
"Orlando Frick","Maierstrasse 30
5492 Versoix"
"Zoran Felber","Schmidtstrasse 8
8322 Worb"
"Diane Benz","Schaubstrasse 31
9738 Aigle"
"Astrid Weibel Egli","Steigerstrasse 565
2338 Monthey"
"Julien Näf","Meyerstrasse 574
3248 Yverdon-les-Bains"
"Dragan Zehnder","Wegmannstrasse 90
2566 Pfäffikon"
"Imer Seiler","Walterstrasse 32
3011 Baden"
"Natalia Fuchs","Wegmannstrasse 9
9602 Wohlen"
"Mégane Schwab","Merzstrasse 9
7007 Illnau-Effretikon"
"Margareta Kägi","Blumstrasse 3
6170 Ecublens"
"Orlando Frick","Suterstrasse 94
4564 Villars-sur-Glâne"
"Jeannine Burri","Schwabstrasse 1
6304 Wohlen"
"Julie Betschart","Mäderstrasse 12
5846 Grenchen"
"Prof. Christos Mayer","Knechtstrasse 386
1873 Ecublens"
"Cátia Kälin","Baurstrasse 28
9567 Wettingen"
"Océane Pfister-Frick","Meierstrasse 55
5396 Zofingen"
"Vivienne Braun","Bättigstrasse 96
9032 Romanshorn"
"Tenzin Zimmermann","Müllerstrasse 64
2044 Bülach"
"Marthe Schoch Portmann","Favrestrasse 107
2448 Oftringen"
"Katerina Marti","Meierstrasse 970
2876 Opfikon"
"Ornella Hofmann","Bucherstrasse 9
6573 Luzern"
"Nikolaus Hürlimann","Freystrasse 2
6255 Belp"
"Maya Lanz Schnyder","Itenstrasse 875
5858 Bernex"
"Piotr Pfister","Studerstrasse 9
9723 Aesch"
"Heinz Walter","Mayerstrasse 54
3065 Biel/Bienne"
"Bianca Betschart Schuler","Wirthstrasse 7
2569 Pully"
"Besarta Zollinger Rüegg","Hauserstrasse 449
6374 Dietikon"
"Gottfried Favre","Furrerstrasse 2
4440 Spiez"
"Adis Weber","Ritterstrasse 729
2873 Münchenbuchsee"
"Klara Steinmann Blaser","Sidlerstrasse 95
1371 Meilen"
"Ornella Hotz","Steinerstrasse 962
7696 Rüti"
"Georg Bär","Zieglerstrasse 48
1726 Hinwil"
"Isabella Stucki Wenger","Martinstrasse 3
5412 Veyrier"
"Lauriane Ernst Wirth","Herzogstrasse 52
1161 Adliswil"
"Murat Fehr","Kägistrasse 126
1718 Wil"
"Prof. Sinan Martin","Ottstrasse 92
5800 Muttenz"
"Dr. Ema Gerber","Toblerstrasse 129
6242 Thun"
"Delphine Hartmann Kälin","Eichenbergerstrasse 48
3449 Aarau"
"Prof. Jürgen Bieri","Wagnerstrasse 151
2376 Kriens"
"Debora Steiger","Mayerstrasse 45
7893 Möhlin"
"Ornella Lüscher","Probststrasse 304
9691 Martigny"
"Ina Steiger Zollinger","Sigriststrasse 47
1735 Worb"
"Robert Ackermann","Grafstrasse 4
2942 Zollikon"
"Amin Blaser","Bühlerstrasse 3
2191 Ittigen"
"Dr. Aferdita Hunziker","Schweizerstrasse 726
3891 Spiez"
"Lucie Schlatter","Zbindenstrasse 23
7156 Villars-sur-Glâne"
"James Wyss","Hirtstrasse 9
8108 Nyon"
"Marika Ziegler","Wüthrichstrasse 1
8466 Spiez"
"Franz Ernst","Hürlimannstrasse 45
7341 Oberwil"
"Iris Keller","Schumacherstrasse 56
2360 Emmen"
"Oscar Bosshard","Winklerstrasse 515
5198 Riehen"
"Kay Mäder","Thommenstrasse 72
5380 Gossau"
"Ursina Stettler Bauer","Imhofstrasse 23
8064 Frauenfeld"
"Niklas Spörri","Bärstrasse 1
8216 Horgen"
"Lola Tanner","Hürlimannstrasse 46
2546 Pfäffikon"
"Kristijan Stutz","Schneiderstrasse 63
8581 Thônex"
"Dr. Ralf Pfister","Rüeggstrasse 6
5491 Solothurn"
"Eliza Häfliger","Gigerstrasse 38
1209 Illnau-Effretikon"
"Achim Scheidegger","Hoferstrasse 82
7619 Crans-Montana"
"Bettina Widmer","Mayerstrasse 401
1065 Muttenz"
"Oscar Geiger","Martistrasse 31
3411 Amriswil"
"Jiri Weibel-Beck","Lehmannstrasse 59
2046 Stäfa"
"Roman Kälin","Burristrasse 14
1167 Allschwil"
"Heinz Wolf","Imhofstrasse 2
1871 Prilly"
"Marianne Thommen Berger","Hofmannstrasse 487
4354 Stäfa"
"Agata Rey-Stocker","Weberstrasse 984
2912 Wetzikon"
"Justine Bättig","Eglistrasse 72
9864 Möhlin"
"Dr. Miro Jenni","Zollingerstrasse 86
5595 Gossau"
"Gianna Wenger","Meyerstrasse 3
5672 Spreitenbach"
"Pirmin Benz","Ackermannstrasse 31
5482 Cham"
"Oscar Rey","Bachmannstrasse 45
2055 Lancy"
"Nadja Eugster","Ferraristrasse 50
1862 Burgdorf"
"Snezana Stettler Küng","Stutzstrasse 27
8021 Altstätten"
"Nael Steinmann","Walterstrasse 92
2382 Villars-sur-Glâne"
"Anne-Lise Hoffmann","Bucherstrasse 479
6635 Binningen"
"Therese Herzog Hofmann","Zimmermannstrasse 91
9957 Oftringen"
"Margarita Berger","Schallerstrasse 95
2565 Münchenbuchsee"
"Hanspeter Hasler","Studerstrasse 63
6729 Baar"
"Dr. Aurora Ernst","Knechtstrasse 855
9547 Biel/Bienne"
"Dr. Flamur Friedli","Martistrasse 71
3066 Bulle"
"Osman Gross","Hermannstrasse 19
2685 Delsberg"
"Nina Gasser","Schlatterstrasse 5
2443 Neuhausen"
"Dr. Mladen Schaller","Gfellerstrasse 94
7701 Zollikon"
"Karen Hofstetter","Steigerstrasse 82
5233 Münsingen"
"Dr. Elisabetha Schlatter","Forsterstrasse 16
8653 Bernex"
"Gerlinde Blaser","Kesslerstrasse 48
8887 Flawil"
"Petr Leunberger","Hodelstrasse 31
8751 Steinhausen"
"Vivien Bühlmann","Benzstrasse 50
6743 Münchenbuchsee"
"Marie-Christine Ott","Schnyderstrasse 30
5123 Montreux"
"Gilles Bernasconi","Thommenstrasse 17
6856 Regensdorf"
"Osman Gut","Suterstrasse 90
7429 Wil"
"Dr. László Ziegler","Tannerstrasse 2
2111 Risch"
"Josef Schenk","Schenkstrasse 18
5254 Glarus"
"Prof. Amira Favre","Steinmannstrasse 17
7977 Oberwil"
"Hans Ritter","Beckstrasse 47
8590 Glarus"
"Ruedi Bernasconi","Felderstrasse 477
3789 Thalwil"
"Frieda Kaiser","Meierstrasse 557
7431 Brugg"
"Dr. Boban Roos","Sigriststrasse 32
1006 Küssnacht"
"Pawel Blum","Vogelstrasse 58
5141 Aigle"
"Mary Kaiser","Hartmannstrasse 27
3500 Bern"
"Oswald Fischer","Pfisterstrasse 26
4870 Thun"
"Raffaele Steffen-Tanner","Maierstrasse 45
2400 Neuenburg"
"Kelly Eichenberger","Kaufmannstrasse 2
7453 Carouge"
"Gloria Sigrist","Schaubstrasse 9
4116 Le Grand-Saconnex"
"Prof. Kevin Zbinden","Meilistrasse 92
2429 Nyon"
"Rahel Hodel-Schnyder","Portmannstrasse 63
2528 Bassersdorf"
"Bettina Stalder","Arnoldstrasse 918
2673 Renens"
"Marjorie Hartmann","Siegriststrasse 590
9127 Brig-Glis"
"Sibylle Winkler","Müllerstrasse 52
6596 Flawil"
"Julian Schenk","Probststrasse 98
2444 Chur"
"Oswald Leu","Wagnerstrasse 93
1606 Muri"
"Raffaella Schmidt","Stockerstrasse 790
9152 Romanshorn"
"Fritz Gloor","Häfligerstrasse 5
9177 Lancy"
"Oswald Lutz","Herzogstrasse 521
4099 Romanshorn"
"Prof. Kuno Baumgartner","Scheideggerstrasse 83
4001 Amriswil"
"Klara Stalder","Maierstrasse 65
6195 Schaffhausen"
"Océane Meier","Lüthistrasse 7
4323 Bern"
"David Seiler","Leustrasse 501
2654 Meilen"
"Imelda Flückiger Schärer","Betschartstrasse 31
5768 Altstätten"
"Erna Sutter","Blumstrasse 433
6213 Suhr"
"Othmar Bosshard","Hofstetterstrasse 89
7347 Lutry"
"Lise Albrecht","Kunzstrasse 243
9667 Gland"
"Frida Vogel","Fuchsstrasse 58
5274 Baden"
"Gabriella Hofer-Kaufmann","Hofstetterstrasse 252
1660 Freiburg"
"Liliana Schneider","Zehnderstrasse 95
3032 Zollikon"
"Yvan Bucher","Bolligerstrasse 7
1989 Martigny"
"Tomasz Weber","Hafnerstrasse 22
6513 Chêne-Bougeries"
"Dr. Huguette Schmid","Bieristrasse 97
1311 Rüti"
"Snezana Kaufmann","Gutstrasse 86
4999 Lancy"
"Piotr Thommen","Zinggstrasse 984
9395 Aesch"
"Othmar Meyer","Sennstrasse 1
2716 Volketswil"
"Susana Lüscher","Bernasconistrasse 410
8066 Uster"
"Elke Wolf","Baderstrasse 9
4164 Ittigen"
"Torsten Scheidegger","Michelstrasse 61
6183 Luzern"
"Melanie Walder","Hirtstrasse 9
5028 Glarus"
"Tatiana Imhof","Bernasconistrasse 977
1570 Yverdon-les-Bains"
"Erkan Isler","Schaubstrasse 47
4896 Rüti"
"Jonah Rey","Kuhnstrasse 40
3899 Frauenfeld"
"Gilberte Ernst","Reystrasse 2
9242 Muttenz"
"Giuseppa Schwarz","Ackermannstrasse 989
4965 Rheinfelden"
"Othmar Zollinger","Wolfstrasse 21
1560 Küsnacht"
"Dr. Artur Stöckli","Steffenstrasse 85
4726 Pratteln"
"Til Müller","Steinerstrasse 8
1452 Val-de-Travers"
"Joris Zürcher","Wegmannstrasse 17
8309 Renens"
"Robert Schär","Weberstrasse 2
1774 Thônex"
"Azra Wagner","Maurerstrasse 9
8490 Volketswil"
"Ylenia Walder Roos","Frickstrasse 68
6049 Oftringen"
"María Schärer","Häfligerstrasse 27
4659 Chêne-Bougeries"
"Prof. Justin Frick","Meyerstrasse 85
6699 Meyrin"
"Pius Näf","Hugstrasse 31
3213 Buchs"
"Ottilia Stocker","Tannerstrasse 44
7655 Yverdon-les-Bains"
"Jovana Steiger","Geigerstrasse 973
5723 Zug"
"Driton Schär","Itenstrasse 90
2172 Urdorf"
"Mirko Kägi","Albrechtstrasse 408
8138 Lyss"
"Amin Meili","Moserstrasse 90
4923 Freiburg"
"Paul Grob","Beckstrasse 1
1645 Payerne"
"Irena Ziegler","Rothstrasse 298
8625 Maur"
"Robert Aebi","Zieglerstrasse 67
9044 Kreuzlingen"
"Florim Vogt","Käserstrasse 4
1036 Nyon"
"Khadija Burri-Schwarz","Rüeggstrasse 26
9523 Illnau-Effretikon"
"Otto Jenni","Sennstrasse 47
2291 Rüti"
"Kilian Isler","Wirthstrasse 46
3932 Suhr"
"Michel Bühler","Grossstrasse 2
4688 Baden"
"Prof. Donato Aebi","Gigerstrasse 6
3444 Glarus"
"Liridona Walter","Kaufmannstrasse 16
1627 Delsberg"
"Cristina Wenger","Martistrasse 4
1074 Horw"
"Germaine Hoffmann","Weberstrasse 1
6619 Neuhausen"
"Romina Meili","Wüthrichstrasse 84
7713 Arbon"
"Konrad Leunberger","Leunbergerstrasse 67
5332 Risch"
"Tony Zimmermann","Felberstrasse 310
9274 Gossau"
"Pablo Zimmermann","Kuhnstrasse 2
6652 Luzern"
"Leana Fehr","Sennstrasse 4
2352 Neuhausen"
"Dragana Haas","Friedlistrasse 88
5739 Bellinzona"
"Carl Gloor","Weibelstrasse 454
7723 Carouge"
"Ruben Stöckli-Walder","Zinggstrasse 65
4678 Freienbach"
"Meinrad Lehmann","Furrerstrasse 3
9284 Kriens"
"Edona Favre Fankhauser","Schochstrasse 130
5233 Neuenburg"
"Violeta Amrein","Schärerstrasse 90
8394 Carouge"
"Eduard Giger","Stöcklistrasse 857
7573 Riehen"
"Vivien Stocker","Mayerstrasse 6
3026 Langenthal"
"Pamela Ammann","Siegriststrasse 7
2517 Rapperswil-Jona"
"Liridon Giger","Zieglerstrasse 598
7999 Val-de-Ruz"
"Sarah Meier","Bühlmannstrasse 73
4660 Brugg"
"Biljana Flückiger","Ritterstrasse 1
3744 Wetzikon"
"Donat Bauer","Scheideggerstrasse 20
6772 Lenzburg"
"Francine Wüthrich","Walderstrasse 72
4316 Liestal"
"Arbnor Hug-Eichenberger","Eglistrasse 53
7820 Romanshorn"
"Géraldine Schlatter","Schmidstrasse 34
5060 La Tour-de-Peilz"
"Santiago Brun-Schaub","Felderstrasse 12
5952 Delsberg"
"Marlies Schneider Wüthrich","Albrechtstrasse 95
8040 Lutry"
"Pamela Bachmann","Knechtstrasse 21
1286 Burgdorf"
"Aleksandar Felder-Haas","Bergerstrasse 995
8520 Aesch"
"Emina Ernst-Bachmann","Ernistrasse 11
5877 Mendrisio"
"Alexa Schenk","Bucherstrasse 63
7576 Liestal"
"Noemi Schuler Wyss","Weberstrasse 57
3553 Belp"
"Marcella Bosshard","Zehnderstrasse 20
6898 Chêne-Bougeries"
"Prof. Mehdi Bättig","Küngstrasse 969
4104 Muttenz"
"Avni Weibel","Siegriststrasse 54
4359 Rapperswil-Jona"
"Tania Schürch","Portmannstrasse 88
6458 Frauenfeld"
"Tamara Baumann","Bosshardstrasse 67
6856 Küssnacht"
"Pascale Lang","Huberstrasse 26
2729 Lancy"
"Zuzana Maurer","Eugsterstrasse 79
6075 Küsnacht"
"Shaban Schwarz","Joststrasse 97
8613 Chêne-Bougeries"
"Merlin Wüthrich","Wehrlistrasse 10
9326 Küsnacht"
"Micha Hess","Brunstrasse 54
3129 Baden"
"Wanda Steiner Schenk","Hauserstrasse 29
4586 La Chaux-de-Fonds"
"Kiara Ritter Mayer","Bolligerstrasse 1
2841 Weinfelden"
"Prof. Vinzenz Marti","Hirtstrasse 61
5425 Münsingen"
"Mariam Bär Hotz","Felberstrasse 6
3734 Arth"
"Igor Hafner","Maurerstrasse 30
1826 Meyrin"
"Pascale Mäder","Tannerstrasse 33
2728 Neuhausen"
"Raffaele Wenger","Frickstrasse 88
1347 Lenzburg"
"Giuliana Bosshard","Frickstrasse 3
1950 Freienbach"
"Helene Meili","Blumstrasse 207
3258 Solothurn"
"Robin Christen","Toblerstrasse 4
5002 La Tour-de-Peilz"
"Seraina Friedli","Schmidtstrasse 63
6019 Chur"
"Patrick Kern","Käserstrasse 78
9991 Vevey"
"Paola Bär-Isler","Gfellerstrasse 82
4332 Münsingen"
"Luzia Furrer","Bättigstrasse 542
7060 Bellinzona"
"Roman Schweizer-Seiler","Gasserstrasse 32
9871 Oberwil"
"Pasquale Jäggi","Maierstrasse 856
8463 Prilly"
"Nick Blaser","Steinerstrasse 53
5220 Zollikofen"
"Ivana Weibel","Hermannstrasse 782
2253 Wetzikon"
"Arbnor Schmidt","Maurerstrasse 450
3575 Sarnen"
"Dr. Tomás Meyer","Schärstrasse 989
1635 Sarnen"
"Leon Egli","Fuchsstrasse 473
6819 Baden"
"Kushtrim Hug-Gut","Benzstrasse 7
3814 Aesch"
"Oswald Bolliger","Schärerstrasse 3
3578 Opfikon"
"Eugenia Maurer","Studerstrasse 14
9286 Prilly"
"Elke Mayer","Studerstrasse 31
3262 Flawil"
"Patric Schwab","Bauerstrasse 941
4136 Allschwil"
"Benjamin Schwab","Geigerstrasse 2
5652 Belp"
"Cátia Rüegg","Bernasconistrasse 188
1697 Pratteln"
"Alicia Käser Giger","Frickstrasse 10
1733 St. Gallen"
"Leo Bernasconi","Ferraristrasse 13
3275 Lenzburg"
"Prof. Regula Müller","Felderstrasse 9
5038 Wald"
"Marie-Laure Bühler Kunz","Zollingerstrasse 7
6343 Bellinzona"
"Prof. Marilena Lang","Gloorstrasse 68
1465 Bellinzona"
"Alexandra Hess","Häfligerstrasse 139
3767 Mendrisio"
"Marianne Burri","Studerstrasse 73
9574 Muri"
"Patric Sigrist","Leustrasse 20
7934 Emmen"
"Karl-Heinz Ackermann","Albrechtstrasse 22
4320 Amriswil"
"Hanife Brunner","Eglistrasse 488
1118 Wallisellen"
"Albin Hess","Vogelstrasse 1
7591 Maur"
"Eleonore Wüthrich","Joststrasse 370
3723 Gossau"
"Prof. Léonie Iten","Pfisterstrasse 391
9099 Männedorf"
"Onur Winkler-Frei","Mettlerstrasse 45
8991 Birsfelden"
"Tuana Lanz","Gloorstrasse 81
4945 Aigle"
"Ronny Stadelmann","Stalderstrasse 5
5427 Regensdorf"
"Jérôme Beck","Schneiderstrasse 934
7017 Herisau"
"Patrice Giger","Frickstrasse 223
7113 Villars-sur-Glâne"
"Dr. Zoran Graf","Wyssstrasse 71
2288 Pratteln"
"Romana Wenger","Felderstrasse 54
5387 Arth"
"Malin Braun","Leustrasse 422
7051 Vevey"
