"אביאל אברמוב"|"צוקית 29, ברקת, 9769678" 
"הילה דהן"|"הר כנען 69, רגבה, 1418390"
"אריאל שרון"|"קרית עקרון 97, כפר אחים, 9195945"
"ליבא יהודה"|"כנרת 96, עין אל-אסד, 4901335"
"יונתן פינטו"|"הזיתים 72, בית הלוי, 2234925"
"נועם נחום"|"האלונים 86, ריינה, 5254471"
"גאיה דרורי"|"בילינסון 19, צפרירים, 2533835"
"אביגיל פלדמן"|"גינוסר 40, זוהר, 0196900"
"אליאס כהן"|"אל הודא סמ3 52, זוהר, 7809727"
"עומר אברמוב"|"ע הלל 85, כפר אחים, 7959021"
"מאיר עמרם"|"פרי חדש 55, אביחיל, 4534574"
"טל אבראהים"|"צור 94, נטע, 0848520"
"עדן ביטון"|"זיו 84, תלמי אליהו, 4908917"
"דור גולן"|"החצב 98, גינתון, 6050906"
"רוני יחיא"|"עוגן 54, שדות מיכה, 8335320"
"אופיר זהבי"|"יהודה הלוי 34, נחלה, 0152905"
"איתמר שוויקי"|"וערת סעד 90, משמר העמק, 6676992"
"שילת פז"|"שקד 25, נירן, 9955957"
"נהוראי יחיא"|"טאחונת אלראהיב 46, עמקה, 9174689"
"עומר אלקובי"|"יהודה הלוי 13, אודם, 6901724"
"יעל דוד"|"משואות יצחק 25, טל-אל, 1354606"
"עבד קורן"|"שכ נווה הדקל 38, שדי תרומות, 3197791"
"פריידא קינן"|"גבעת חיים )מאוחד( 86, בית חנן, 8271107"
"רבקה טל"|"אל-ט'הרה סמ7 76, רגבה, 7975827"
"תומר יונס"|"לבקוביץ 03, מכמורת, 2124954"
"שמואל דורון"|"צדוק הכהן 69, סער, 8531929"
"מאיר רז"|"רח 7069 28, לקיה, 6269511"
"אמיר כהן"|"הגפן 06, עין צורים, 7650499"
"אביב בן חמו"|"מיכה 97, רגבה, 6716454"
"עומר אנגל"|"אתגר 80, כפר הנוער הדתי, 5835446"
"מאיה גרוסמן"|"לח""י 91, עמוקה, 1393627"
"תומר סיני"|"רח 6087 56, מסד, 4177488"
"אביב אבו טיר"|"החרובים 01, עצמון שגב, 4317650"
"ליאם כהן"|"עמוס הנביא 71, רימונים, 5971419"
"חיה רותם גרין"|"הנרד 49, ברקאי, 8540107"
"איתי וינברג"|"האדמו""ר מויז'ניץ 81, טל-אל, 1872362"
"עומר זידאן"|"האלונים 59, עמוקה, 8057040"
"צבי אבו עראר"|"אלפג'ר 57, חשמונאים, 4196827"
"אלונה מנצור"|"לכיש 21, העוגן, 0217431"
"עומר בן דוד"|"הורדים 87, מגאר, 3453374"
"רבקה אלבז-אמר"|"קישון אפרים 23, נווה חריף, 6304069"
"ענהאל פישר"|"החלוצים 56, כפר סירקין, 4383599"
"שירה אסתר חסון"|"כנרת 99, גיתית, 0615817"
"רוני גבע"|"יונה 42, גנות הדר, 9178485"
"הילה הררי"|"נורית 10, סער, 7505719"
"טוהר עבדאללה"|"דבורה 31, דוב""ב, 1125607"
"בן שחר"|"המורד 54, גונן, 2379892"
"הלל ברמן"|"משעול הצופית 69, גרופית, 5987203"
"לביא אביטל"|"סמבורסקי דניאל 23, שיטים, 3891409"
"עומר ג'בארין"|"רלב""ג 16, כפר הנוער הדתי, 4341645"
"איילה בן דוד"|"המלאכה 55, מגאר, 1694714"
"נאוה עלי"|"הורדים 51, חצור-אשדוד, 4419815"
"שרה דוד"|"אל-חראיק סמ3 57, בית חשמונאי, 1159284"
"אסתר בן עמי"|"השר ברזילי 53, אטרש )שבט(, 1636911"
"תמר אוחנה"|"רמב""ן 24, שדות מיכה, 2527432"
"אופיר מחאמיד"|"כזיב 98, אור הנר, 4667630"
"אורי אברהמי"|"ש ציונים כלליים 59, באר מילכה, 3726285"
"זינה צרפתי"|"עובדי הנמל 49, גדות, 5973224"
"יואל ביטון"|"צור 03, עצמון שגב, 8543329"
"עומר חורי"|"ברוריה 83, שדה אליהו, 4702549"
"סיון להב"|"המסגר 11, מירון, 0474649"
"עלי רבינוביץ"|"מבוא חמה 58, הסוללים, 7727335"
"חיה שמיר"|"החרוב 22, בית הלוי, 2063295"
"רפאל ביטון"|"המורד 26, זוהר, 7968984"
"גיא אליהו"|"זגגי 59, עצמון שגב, 4659128"
"נבו דהן"|"הר עצמון 59, נטע, 8343892"
"בר כהן"|"הצאלון 14, כסלון, 6586187"
"תאלא אסדי"|"מצדה 01, חיננית, 3083578"
"מרדכי בן הרוש"|"נעמ""ת 22, שתולים, 7178241"
"עומר יפרח"|"זגגי 57, גונן, 3055494"
"איתן אלפסי"|"כפר ילדים נרדים 39, גני מודיעין, 8861606"
"מרים הייב"|"דרך שועפאט סמ4 93, גדות, 6466060"
"איתמר פרץ"|"הפעמון 91, אטרש )שבט(, 6599370"
"שרה גולדשטיין"|"סמ השחף 09, גרופית, 6887804"
"ישראל עובדיה"|"שביל קליפות התפוזים 78, שפר, 3945293"
"מוסא חיים"|"אל-לימון 11, גבעת כ""ח, 1238368"
"נועה הרוש"|"צדוק הכהן 44, בני ציון, 9168154"
"ליהי חזן"|"רח 6020 92, ריינה, 7138389"
"איתן קורן"|"מרגיל מחוור 57, יד רמב""ם, 4877757"
"עומר כהן"|"אימבר 17, בית הלוי, 3885851"
"מיכאל נחמיאס"|"רמת כרמים 93, אטרש )שבט(, 5643525"
"עלמה בנימין"|"ברקת 07, טל-אל, 6484585"
"דפנה זוהר"|"ברזיל 89, גינתון, 5099152"
"גבע שמעוני"|"המלאכה 62, נטע, 1897346"
"לביא סלימאן"|"המשור 42, שדות מיכה, 8186971"
"מג'ד מרציאנו"|"הפרדס 21, גיתית, 1869616"
"תמר מנסור"|"רח רז 87, שיטים, 6801795"
"יהב יאסין"|"צופית 57, עצמון שגב, 6979226"
"חנה עמרם"|"חלמיש 60, חשמונאים, 8302299"
"עומר כהן"|"אלמזדלפה 57, נווה חריף, 5133774"
"בר מחאמיד-לוי"|"גבע 64, מסד, 6497245"
"רבקה לביא"|"הצאלון 60, גני מודיעין, 9356146"
"יובל מטר"|"אל חגאג בן יוסף 04, לוזית, 3753529"
"איליי ביטון"|"רח 124 72, פוריידיס, 7145933"
"הילי מור"|"נחל נחשון 82, מעונה, 8966376"
"עבד גורן"|"אסא המלך 97, אטרש )שבט(, 0039996"
"חסן פינטו"|"דריפוס 22, עספיא, 1543035"
"נגה חסן"|"השחר 11, טל-אל, 6746202"
"משה אליהו"|"מצפה גילה 42, כפר אחים, 2908766"
"עומר לוי"|"הנורית 07, אודם, 0287810"
"מילאן אוזן"|"ביכורים 28, מלאה, 2494639"
"עופרי יונה"|"רבקה אמנו 15, גיתית, 7556415"
"גלעד עאמר"|"שכ עראק אלשבאב 26, כפר הנוער הדתי, 7500829"
"יגל פוגל"|"י""א באדר 51, עספיא, 3741649"
"ליאור לוין"|"מבצע חירם 17, שעב, 6054674"
"אנאל זינגר"|"לסקוב חיים 19, ריינה, 8431346"
"ישראל שוויקי"|"מוסיוף שלמה 01, לוזית, 1583452"
"שי-לי דויטש"|"החותרים 35, אליקים, 0055326"
"סולימאן נסים"|"גרטרוד קראוס 03, מסד, 5627856"
"עומר מזרחי"|"המלכים 55, עמוקה, 6916766"
"יחזקאל מנחם"|"טופז 71, מגאר, 6417989"
"איה מזרחי"|"צדוק הכהן 36, חצור הגלילית, 1835348"
"תמר זועבי-גרבאן"|"רמת כרמים 27, גבעת השלושה, 0763812"
"יעקב גולדברג"|"אימבר 42, עמוקה, 4814535"
"ניקה פריד"|"החצב 16, דוב""ב, 2005235"
"עבד שוורץ"|"אל-מחאג'ר סמ3 14, נתיב השיירה, 8712398"
"סארה פוגל"|"פקוד מרכז 96, שעב, 5078810"
"אלון אשר"|"גבע 47, אטרש )שבט(, 3688572"
"יהונתן שני"|"כרם חמד 01, פקיעין חדשה, 3126373"
"עומר עזאם"|"איילת השחר )מ ק( 15, דוב""ב, 6870328"
"אחינועם כהן"|"כוכב הצפון 57, כסלון, 3896308"
"מרים יפרח"|"מגלן 12, בית הלוי, 7623883"
"ישראל אדרי"|"העבודה 11, לקיה, 9334322"
"זואי ממן"|"ז'בוטינסקי 02, מסד, 6449490"
"תהילה פרנקל"|"סמ בני ברית 37, גני מודיעין, 1168433"
"ינאי גבאי"|"בן ישי 05, בית חנניה, 2727142"
"איתי פרץ"|"שכ הפועל המזרחי ג' 72, בית הלוי, 5317950"
"יעקב אלימלך"|"סמטת השחר 06, לוזית, 3145952"
"ארד מזרחי"|"ש רמת אביב 80, נווה חריף, 4297296"
"עומר פלדמן"|"מבצע עובדה 74, גרופית, 5046988"
"לאון אזולאי"|"אלול 90, סער, 0805017"
"מרדכי טל"|"אל-מחאג'ר סמ4 61, רמות מנשה, 2978907"
"אסתר סלאמה"|"בן צבי יצחק 89, בית חנניה, 7064783"
"אליה סויסה"|"עולש מצוי 56, שיטים, 9886481"
"ישראל אוחיון"|"אולפן 19, עצמון שגב, 4196394"
"שרה אליאס"|"צפת 00, רימונים, 2753108"
"יונתן הלל חיים"|"אלזאבוד 24, עלי זהב, 1411372"
"רותם סעדה"|"מופק דיאב 62, מלאה, 7916137"
"חיים חאג יחיא"|"מזרחי יוסף 76, ברקת, 7530170"
"עומר קליין"|"צוקית 11, אליקים, 9136673"
"רועי מזרחי"|"השחר 45, אודם, 6570337"
"דבורה חדד"|"אלול 43, רימונים, 0826449"
"בארי אביאל ממן"|"משואות יצחק 40, מלאה, 9191583"
"עבד חג'אזי"|"הולצברג שמחה 29, שדה אליהו, 9124321"
"מעיין ביטון"|"לביא אריק 38, גני מודיעין, 3876039"
"מוחמד יוסף"|"שכ נווה הדקל 59, עלי זהב, 0463416"
"אמה פוקס"|"לוטם 65, באר מילכה, 0806998"
"אדל הררי"|"העבודה 10, אבו רובייעה )שבט(, 2281029"
"אגם בן עזרא"|"מנזר המארונים 43, חצור הגלילית, 7358523"
"עומר רוזנפלד"|"אלרשיד 78, אליקים, 6204926"
"רואי יצחק"|"הפרדס 14, בית חנניה, 8565706"
"מוחמד חדד"|"בן יהודה 43, מכמורת, 1513002"
"מעיין אליאס"|"עין שביב 20, אודם, 4491373"
"אור לוי"|"סמ בני ברית 72, אביבים, 3082366"
"חסן אשכנזי"|"רח 12 58, שעב, 7905410"
"עתי ברמן"|"מעונות ים 03, חשמונאים, 7553945"
"מוחמד עמאש"|"החרוב 61, נווה חריף, 2850889"
"יהב שפר"|"נאות אשכול 72, עמיר, 1526283"
"נתנאל דדון"|"מיכה 78, חצור-אשדוד, 6465612"
"עומר שפירא"|"התאנה 17, אורטל, 6090002"
"דניאלה נסים-כהן"|"אל-לימון 25, גבעת השלושה, 3861361"
"אוריאל שני"|"שביל הרקפות 84, גבעת כ""ח, 3859018"
"עמית חן"|"הנקר 38, חשמונאים, 9144508"
"יאסין נסאר"|"לביא אריק 27, בני ציון, 7614223"
"מאיה ברכה"|"לוין שמריהו 03, משמר העמק, 9730002"
"עקיבא סואעד"|"שכ הרכבת 37, עלי זהב, 1307964"
"קוסאי אטיאס"|"סמטת השחר 95, עין צורים, 5100642"
"אלי לוי"|"מעבר לים 23, סגולה, 0221309"
"איילה קאופמן"|"הר סיני 33, מכמורת, 8365739"
"עומרי ביטון"|"התקוה 93, גרופית, 9946820"
"בילא יוסף"|"אל-מחאג'ר סמ3 34, חיננית, 3684986"
"איתמר סלומון"|"החלוצים 46, גיתית, 3609504"
"מיכאל לוין"|"הצאלון 51, נורדיה, 3256166"
"חיים אבו ריא"|"הר סיני 25, צורית, 9938388"
"אלישבע נויה בן יוסף"|"עובדי הנמל 21, גדות, 4360842"
"הראל שור"|"התבור 60, נווה חריף, 9501173"
"אלרואי ליפשיץ"|"צובה 56, עמיר, 0714195"
"חיה אדרי"|"יזרעאל 53, צורית, 4223797"
"אסף משה"|"הקישון 91, חיננית, 1335472"
"עומרי זמיר"|"לוד הצעירה 69, אבו רובייעה )שבט(, 0474868"
"יעקב בדר"|"הורקנוס יוחנן 84, נתיב השיירה, 7818697"
"יאיר גולדברג"|"לוין מיכאל וחנה 54, לוזית, 7076373"
"תולין ברנס"|"בשמת 52, מגן, 0649991"
"נדב פרץ"|"החסידה 60, מגן, 3814313"
"יוסף גרינברג"|"המשור 36, בית הלוי, 6924218"
"כפיר פרידמן"|"בורסת היהלומים 97, הסוללים, 8892274"
"כרים יוסף"|"פרופ' בירק יהודית 99, סער, 5858457"
"אבראהים גרינברג"|"הרדוף 20, מירון, 1597598"
"אורי חורי"|"אגוז 47, טל-אל, 3572143"
"עומרי יעקובוב"|"ש הפועלים 70, כפר יונה, 1150201"
"רות כהן"|"חלמיש 96, בני ציון, 5705299"
"אורי דראושה"|"טאחונת אלראהיב 01, רגבה, 0894256"
"רותם פינקלשטיין"|"משעול המחתרות 52, עצמון שגב, 4029588"
"אגם לוי"|"הממונה 93, אביבים, 0990812"
"עדן אלון"|"עוגן 10, יד רמב""ם, 5661271"
"שרבל אוחיון"|"נוה עוז 11, מרחביה )מושב(, 2278947"
"לירון פרץ"|"בן צבי יצחק 47, גבעת ח""ן, 2499410"
"מאיר יחזקאל"|"החרוב 87, אטרש )שבט(, 2218672"
"אדם שטרית"|"נורית 33, באר מילכה, 3098453"
"עומרי מחאמיד"|"נורית 34, נטע, 0490186"
"אנאבל לביא"|"כהנא 86, אטרש )שבט(, 2146278"
"אדם בן יוסף"|"המגינים 22, ריינה, 8295969"
"אלין שלום"|"יונה 54, גבעת כ""ח, 0986324"
"נועם מסארוה"|"אזור תעשייה 28, בית חנניה, 0350217"
"שמעון שולמן"|"חוחית 21, אור הנר, 1781159"
"נוה רובינשטיין"|"ככר נחשון 94, אטרש )שבט(, 2452583"
"כנרת שור"|"הרב רפאל עבו 84, זוהר, 2600775"
"אוראל הורביץ"|"סמטת השחר 67, עדי, 9855158"
"אברהם יאסין"|"ישועת דוד 15, שומרה, 8384352"
"עומרי ששון"|"השיח 67, רגבה, 2764409"
"דריה פוקס"|"יחזקאל הנביא 23, עלי זהב, 7671868"
"מאור גוטמן-שורץ"|"אורנים 86, אור הנר, 8537001"
"רבקה ג'בארין"|"הרשקו אברהם 30, עין אל-אסד, 2509530"
"מנחם אזולאי"|"חיים וייצמן 09, אליקים, 3505332"
"נעמי דהרי"|"משואות יצחק 87, כפר מסריק, 6282759"
"אגם פדידה"|"דרומית-מג'ד אלכרום 37, מעונה, 5952745"
"אפרת אבו כף"|"הראשונים 50, יד רמב""ם, 9587321"
"יונתן עודה"|"ביכורים 60, מגן, 2526321"
"כרם צור"|"הר עצמון 35, נירן, 1560296"
"עופרי איפרגן"|"הבריגדה 56, רחוב, 5030212"
"אגם דאוד"|"שאר ישוב 30, נווה חריף, 8188623"
"נויה שרף"|"ז'בוטינסקי 40, גדות, 0145290"
"ניתאי ח'טיב"|"הפרדס 12, סער, 3473501"
"ליאן עיסא"|"מרגיל מחוור 88, ריינה, 9049349"
"יוסף אשכנזי"|"שד העצמאות 21, בית חשמונאי, 6894361"
"תבל איסקוב"|"סמ עין גנים 25, כפר יונה, 5245793"
"אביב גרוס"|"צפרירים 75, עמקה, 5983921"
"נוי דיין"|"זכרון יעקב 70, צפרירים, 0560695"
"ירין אליהו"|"הרותם 25, העוגן, 0031107"
"עופרי גורן"|"רח 101 58, שיטים, 9415641"
"מאי רביבו"|"הדייגים 61, גן שורק, 9384545"
"אחמד אגבאריה"|"העצמון 12, לוזית, 5516187"
"מילה חיון"|"לוין מיכאל וחנה 53, מגאר, 1109680"
"עילאי בלום"|"אירוס 15, שעב, 0110020"
"אליאור ברזילי"|"קרית עקרון 12, סגולה, 5297216"
"שמואל עאמר"|"אלסלילמה 47, רמות מנשה, 2941960"
"אורי גמליאל"|"אלכסנדר ינאי 26, כפר אחים, 7197469"
"בר משולם"|"נחל נחשון 72, אור הנר, 9482295"
"רבקה זגורי"|"מיכה 88, אליקים, 9975301"
"עופרי זמיר"|"החמנית 88, גבעת השלושה, 4214443"
"הללי פרידמן"|"צמחי היהודים 66, פקיעין חדשה, 0273390"
"אפרת אסדי-כהן"|"תרס""ח 48, ברקת, 4109256"
"אהרון גולן"|"האילנות 30, גדות, 0648663"
"אלון חג'אזי"|"כהן אלי 83, שתולים, 6156112"
"אברהם ליפשיץ"|"רח 7035 86, שפר, 7223943"
"מריה חדד"|"רמב""ן 93, נטע, 5483162"
"אליהו יחזקאל"|"הנורית 29, תלמי אליהו, 2795404"
"אור אלפסי"|"הראשונים 19, כפר אחים, 8449928"
"איליי אלוש"|"העצמון 75, מגן, 7967522"
"עופרי רבינוביץ"|"עמוס 34, לקיה, 8432480"
"נועם רבינוביץ"|"איילת השחר )מ ק( 23, אביבים, 2273097"
"יהונתן שוויקי"|"האצטדיון 14, גנות הדר, 0225980"
"אמיר ביטון"|"ש רמת אביב 19, חשמונאים, 6115490"
"הדר דהן"|"גוטמכר 45, זוהר, 6400525"
"אליהו ימין"|"התקוה 95, אל סייד, 1924755"
"עבד סלמאן"|"דבורה 59, אטרש )שבט(, 4266450"
"יהודה אוחיון"|"סמטת השחר 45, פוריה - נווה עובד, 0267908"
"בן פרי"|"ז'בוטינסקי 26, דוב""ב, 5381773"
"לביא כהן"|"הראשונים 65, צפרירים, 4252086"
"עידו אברהם"|"לביא אריק 86, כפר הנוער הדתי, 2293103"
"מעיין כהן"|"המלכים 89, הסוללים, 7595900"
"נויה ברנשטיין"|"דרך שועפאט סמ4 90, פוריידיס, 8838229"
"רבקה ששון"|"המסגר 17, גנות הדר, 3605445"
"ליבי עאזם"|"משעול התפוח 97, חיננית, 9141537"
"אביגיל מזרחי"|"רמת האירוסים 58, ריינה, 8636963"
"אור עליאן"|"שבזי 77, מלאה, 3997916"
"ג'נא פינטו"|"החרוב 46, עזר, 5498467"
"הודיה סבח"|"דרך הארץ 30, גבעת ח""ן, 6427661"
"אלונה ניר-גוטמן"|"אלמזדלפה 98, בית הלוי, 9224468"
"עידו אדלר"|"פטדה 57, עלי זהב, 7709987"
"שירה עמאש"|"לבקוביץ 47, אבו רובייעה )שבט(, 3298528"
"יוגב כהן"|"הולצברג שמחה 79, גדות, 2790344"
"ידידיה אליהו"|"משעול מוריה 93, מגאר, 1660412"
"הילה לין כהן"|"אולפן 95, מסד, 0755279"
"חוסין שלבי"|"היקינטון 72, דולב, 0657575"
"דניאל גרין"|"גובר רבקה 89, כפר אחים, 0707988"
"ארי סואעד"|"רמב""ם 01, חיננית, 8723165"
"שליו תורג'מן"|"אירוס 57, מלאה, 0563693"
"עדי נחום"|"אלכרום 87, עמיר, 9067903"
"עידו אדרי"|"ענזה 38, ברקאי, 5451688"
"אילין שפר"|"רמת כרמים 60, פקיעין חדשה, 7811001"
"נועה יאסין"|"המורד 58, הסוללים, 6589945"
"יהונתן אגבאריה"|"בשמת 27, עמוקה, 3224807"
"שי לי אשכנזי-בן דוד"|"הופרט יעקב 37, מעונה, 4785460"
"נויה אוריה סויסה"|"נוה עוז 93, הר אדר, 0641364"
"שיר עמר"|"הופרט יעקב 30, גבעת השלושה, 2590359"
"ליטל ברנס"|"ארבל 47, עין השופט, 0097023"
"רומי וקנין"|"הברדלס 17, צורית, 5240020"
"אסתר מנסור-ממן"|"המלאכה 65, עין אל-אסד, 8619653"
"עידו גורן"|"ש קואפרטיבים 14, עצמון שגב, 3389140"
"שחר עזרא"|"בן צבי יצחק 21, כפר יונה, 3922095"
"זיו שרון"|"אלכסנדר ינאי 45, מירון, 0963331"
"נועם דרורי"|"רח 7038 92, בית חנן, 4989061"
"אייל פריד"|"נחלת צדוק 31, נחלה, 0711568"
"אחמד זילברמן"|"שכ חפצי בה 94, האון, 0903122"
"בתיה סרחאן"|"אסא המלך 33, נירן, 7041066"
"שי-לי ברנס"|"צפת 89, נורדיה, 6085795"
"רן פוגל"|"בילינסון 46, חיננית, 9383577"
"שלום מחאג'נה"|"אל הודא סמ3 60, עין צורים, 8702064"
"עידו גרבאן"|"מבוא חמה 14, בית חנן, 2064864"
"דור חזן"|"אלזאבוד 64, לקיה, 3861246"
"יהונתן הרשקוביץ"|"שני 86, חיננית, 3159684"
"מיכאל פרידמן"|"הרב בידאני עובדיה 73, אל סייד, 3127897"
"שמואל גאנם-שורץ"|"עומר 97, אטרש )שבט(, 2245747"
"אביגיל דהן"|"דיה 11, גיתית, 9329047"
"דניאלה אבו סנינה-עובדיה"|"החליל 60, עצמון שגב, 2314475"
"רומי דראושה"|"השיח 53, הסוללים, 5701971"
"ענבר מחאמיד"|"מרגיל מחוור 12, מסד, 4780562"
"אחמד מאיר"|"ארבל 78, סגולה, 0262332"
"עידו כץ"|"הדגניות 52, מכמורת, 6441148"
"אביגיל חסון"|"שכ היובל 72, פקיעין חדשה, 8124138"
"נועם פולק"|"בועז 79, שומרה, 4188417"
"אדל שפירא"|"ז'בוטינסקי 70, עדי, 1745219"
"בלומה מאיה עמר"|"אל-חראיק סמ3 62, מירון, 9363524"
"לביא כהן"|"רח 6087 41, רימונים, 4509489"
"דוד אגבאריה"|"חיים וייצמן 66, אטרש )שבט(, 0356470"
"יהונתן נחמני"|"שושנת הכרמל 03, פקיעין חדשה, 1379466"
"דימא פלד"|"רח רז 66, העוגן, 1877757"
"נועם יעקובוביץ"|"טאחונת אלראהיב 91, רגבה, 1819623"
"עידו מנדל"|"סמ עין גנים 01, העוגן, 3426271"
"ליבי שוורץ"|"אל-זהרא' 02, ברקת, 6734410"
"הדס צברי"|"שבזי 49, זוהר, 7132823"
"מיכל כהן"|"משעול התפוח 99, תלמי אליהו, 5268889"
"אליה כהן"|"עומר 04, יד רמב""ם, 1169960"
"אוראל בדר"|"עומר 37, אל סייד, 5279050"
"דרור מוסקוביץ"|"תרצ""ו 45, לקיה, 8051867"
"מיכל אמר"|"אזור תעשיה הר יונה 09, כפר סירקין, 5226615"
"דניאל סואעד"|"רח 68 01, נטע, 0880957"
"יהונתן רז"|"הדגניות 37, מגאר, 6644787"
"עידו מנסור"|"האצ""ל 44, הסוללים, 9600882"
"אושרי קאופמן"|"עפולה 57, חצור-אשדוד, 7178810"
"יהודה טייב"|"אייר 13, רגבה, 3294177"
"אריאל מוראד"|"אלכתאב 14, רמות מנשה, 0831154"
"ישי ברק"|"מעבר לים 06, שתולים, 0186222"
"פלג הררי"|"מורן 72, דוב""ב, 7740689"
"אגם אלבז"|"השר ברזילי 44, ריינה, 1245609"
"עתי כהן"|"אתר חפץ חיים 65, כפר אחים, 8837916"
"נאיא הרשקוביץ"|"סנט הלנה 26, בית חנן, 9036469"
"מיכאל רביבו"|"הרב בידאני עובדיה 30, שפר, 8853601"
"עידו נחום"|"סמ מסילה א 00, עמקה, 5100467"
"אליה פינקלשטיין"|"עידו הנביא 25, גבעת כ""ח, 9489817"
"מיקה ביטון"|"הרותם 55, אטרש )שבט(, 6207542"
"כרמל חסן"|"צופית 02, עין צורים, 2464773"
"אבראהים כהן"|"חיים וייצמן 10, מסד, 7247997"
"טל חדד"|"שכ חפצי בה 60, גיתית, 7101199"
"נועה שאול"|"רח 6020 46, אל סייד, 7683329"
"אליהו עודה"|"צור 14, העוגן, 7504955"
"אביאל חאג' יחיא"|"סנט הלנה 92, נווה חריף, 7850688"
"נועם סימן טוב"|"אלתרמן 85, העוגן, 4551765"
"עידו פלד"|"נאות הדקל 89, נווה חריף, 0687235"
"ג'וד גולדנברג"|"ההגנה 21, אטרש )שבט(, 4851388"
"רות יעקבי"|"גבעת חיים )מאוחד( 82, נתיב השיירה, 9511826"
"יוסף מלול"|"י""א באדר 00, אטרש )שבט(, 4438637"
"שרה הודיה גמליאל"|"גרינבוים 41, ריינה, 2069104"
"ליבי תמר יחיא"|"הרקפת 89, רמות מנשה, 8035882"
"מעיין שם טוב"|"ירושלים 72, שפר, 6525045"
"נדב דבש"|"יחזקאל הנביא 93, מרחביה )מושב(, 3168853"
"אלה מרדכי"|"אלחרש 02, אטרש )שבט(, 7852542"
"שני גדיר"|"אברבנאל 85, כפר הנוער הדתי, 5799103"
"עידו רוטמן"|"אביגיל 45, כפר יונה, 3912985"
"כרים רביבו"|"אלרשיד 16, זוהר, 5064176"
"אליאן הופמן"|"עמנואל )רינגלבלום( 37, עמקה, 2015060"
"אברהם דהן"|"החסידה 21, עזר, 3346421"
"חמזה ספיר"|"סמטת השחר 83, גרופית, 5746680"
"מאיה מזור"|"ברגמן אליעזר 64, בית הלוי, 6782299"
"אבראהים ח'טיב"|"אסא המלך 92, אביבים, 2567806"
"רז חמדאן"|"חתוכה יורם 67, שומרה, 1141198"
"משה סרסור"|"עומר 40, עין צורים, 4502687"
"גפן כחלון"|"מוצא 67, שדי תרומות, 9338093"
"עידו שורץ"|"רש""י 75, עין השופט, 4728933"
"רננה ברוך"|"נאות אביבים 74, עמקה, 3092200"
"נגה כהן"|"עבד אל-גני 45, אליקים, 3622728"
"אורי סויסה"|"משעול הסיפן 63, נטע, 0291383"
"ישראל דיאב"|"אולפן 28, פוריידיס, 8567045"
"תאלא גדיר"|"שבטי ישראל 98, לוזית, 0010476"
"יאיר שוקרון"|"בן צבי יצחק 63, פוריה - נווה עובד, 7582086"
"נגה נסאר"|"ויקטור ויוליוס 97, רגבה, 1348644"
"יהודה גורן"|"אח""י אילת 52, עזר, 0299837"
"אדם עובד"|"סמ עינב 11, רחוב, 5841364"
"עידו שטרן"|"מבצע הראל 52, סגולה, 5198381"
"ירין אברמוביץ"|"מנזר המארונים 92, צפרירים, 2061714"
"טוהר מיכאלי"|"היוזם 78, גן שורק, 2311347"
"שליו יונס"|"עובדי הנמל 13, נטע, 0106434"
"יהושע רוזנברג"|"נאות אביבים 15, אליקים, 0915084"
"נועם אוחיון"|"ביכורים 98, שיטים, 0652229"
"תמר יוסף-עמר"|"ידידה 78, בית חנניה, 7229636"
"עלי עיסא"|"אלעמשקה 05, כפר מסריק, 2452582"
"שירה אשר"|"אלמזדלפה 03, עין צורים, 1077664"
"טליה חלבי"|"נאות הדקל 26, פוריה - נווה עובד, 9545009"
"עידן אברמוב"|"רש""י 41, בית ברל, 1844456"
"בילא פולק"|"ברזיל 31, אודם, 3900699"
"נטלי עאמר"|"אלמזדלפה 75, שדי תרומות, 8800085"
"ליבי סופר"|"הצאלון 64, ברקת, 2973603"
"אדם גבאי"|"המפרש 61, גרופית, 1925794"
"דביר ששון"|"רח 14 22, אודם, 7242996"
"זיו גל"|"גובר רבקה 49, שיטים, 7568851"
"מוריה מועלם"|"נחל ערוגות מ""ר 69, בית חנניה, 9863746"
"גלי זועבי"|"האורן 08, נטע, 3230686"
"יהודה טויטו"|"גפן 13, גני מודיעין, 4714887"
"עידן אילוז"|"אל-זהרא' 13, זוהר, 2882071"
"עילאי רובין"|"הצאלון 74, מגן, 7311597"
"מוחמד יפרח"|"המסגר 78, אטרש )שבט(, 6546787"
"יהונתן בדר"|"הרותם 27, ברקאי, 6784067"
"רומי אריאל טל"|"רח ה 11, צורית, 5903364"
"סתיו משה"|"אל-מקפה סמ9 58, ריינה, 6532103"
"עופרי מאיר-יאסין"|"אלפג'ר 31, עספיא, 6540832"
"איתמר שרעבי"|"חצב 85, בני ציון, 7796859"
"נויה זכריה"|"המגינים 51, בית ברל, 0589560"
"נועה כהן"|"טופז 09, גונן, 2316714"
"עידן ידידיה נחום"|"קנין הארץ 77, צפרירים, 3129604"
"ארי פרץ"|"אהרון מאיר מזיא 62, אביחיל, 1405288"
"אורן שוורץ"|"אלכנסת 01, מכמורת, 7151466"
"שלום ממן"|"י""א באדר 51, גיתית, 3610369"
"עבד חאג יחיא"|"הרב חכם שמעון 56, מזכרת בתיה, 4673067"
"אוריה אברמוב"|"ענזה 75, עמקה, 2426556"
"רעות שוורץ"|"משעול הסיפן 81, כפר הנוער הדתי, 8152477"
"שרה אסולין"|"הרב ניסים 21, שעב, 4915697"
"מיקה פינקלשטיין"|"המאה ואחד 42, חצור הגלילית, 5481040"
