"Aada Viitala"|"Fallpakankatu 8
84238 Lohja" 
"Emma Nieminen-Hänninen"|"Fahlanderin puistobulevardi 10
15198 Vesilahti"
"Juha Aalto-Moisio"|"Tahtibulevardi 0
78295 Ylitornio"
"Tuulikki Järvinen-Niemi"|"Elimäenpolku 327
66117 Geta"
"Elsa Lähteenmäki"|"Uussillanbulevardi 987
35563 Lumparland"
"Aurora Kantola-Kuusisto"|"Ahdekaunokintie 640
29133 Laihia"
"Sirpa Pelkonen"|"Waseniuksen puistotie 2
42626 Janakkala"
"Veera Kukkonen"|"Bertha Pauligin katu 6
18670 Punkalaidun"
"Samuel Blomqvist"|"Lautamiehenbulevardi 213
24608 Kurikka"
"Aaron Vesterinen-Lindström"|"Orisaarentie 119
12718 Rautjärvi"
"Antero Puustinen"|"Bergankatu 656
97155 Lestijärvi"
"Pentti Mäkelä"|"Urpukatu 77
78560 Suomussalmi"
"Saara Kettunen"|"Osuuskunnankatu 191
86275 Padasjoki"
"Juha Ojala"|"Fredrikinbulevardi 74
67800 Varkaus"
"Einari Sillanpää"|"Vesakkopolku 840
52508 Pello"
"Marjatta Seppälä"|"Betonipolku 2
40436 Eckerö"
"Hannele Pesonen"|"Ormustie 727
59096 Tyrnävä"
"Irene Pekkala"|"Agroksentie 7
86561 Myrskylä"
"Samuel Rantanen"|"Järkälebulevardi 42
72884 Luhanka"
"Terhi Alatalo"|"Salamakuja 7
54254 Miehikkälä"
"Olavi Karppinen"|"Pohjolankuja 1
50053 Geta"
"Elisabeth Lindqvist"|"Wallininkatu 2
58239 Toivakka"
"Pirjo Mattila-Miettinen"|"Nelikkopolku 73
75748 Orimattila"
"Juhani Lehtonen-Karhu"|"Haagan pappilankuja 631
51890 Pudasjärvi"
"Aino Miettinen"|"Järkälepolku 66
47276 Karijoki"
"Kalevi Raatikainen"|"Louhenpolku 119
35352 Ranua"
"Maarit Heikkilä"|"Rapolantie 359
87233 Muonio"
"Eila Laaksonen"|"Lautamiehenkatu 37
47734 Liperi"
"Samuel Saarinen"|"Böstaksenpolku 518
23018 Myrskylä"
"Aukusti Nykänen"|"Santerlantie 8
08704 Helsinki"
"Kristiina Ikonen"|"Yrjönkatu 18
64557 Kaskinen"
"Matti Lindström"|"Ahdekaunokinkuja 66
04337 Konnevesi"
"Krista Häkkinen"|"Gustav Pauligin bulevardi 257
43316 Hailuoto"
"Benjamin Helin"|"Haaksikuja 92
33290 Paimio"
"Reino Hämäläinen"|"Uunilinnunbulevardi 02
34495 Oulainen"
"Anneli Leinonen"|"Veräjämäenbulevardi 06
35709 Posio"
"Seija Kuosmanen"|"Fastbölenbulevardi 6
63946 Rautjärvi"
"Henrik Järvinen"|"Tyynelänbulevardi 116
09471 Kempele"
"Samuli Heiskanen"|"Yrjö-Koskisen polku 7
29674 Tervola"
"Tuomo Ahola"|"Werner Wirénin kuja 8
53860 Kangasniemi"
"Suvi Suominen"|"Yrjö-Koskisen katu 5
49585 Karijoki"
"Kristina Hänninen-Huttunen"|"Winqvistinkuja 700
03908 Heinola"
"Katariina Immonen"|"Otermankuja 69
75947 Ylitornio"
"Seppo Harju"|"Nervanderinkatu 66
06284 Orivesi"
"Helena Repo"|"Agricolankatu 979
17298 Järvenpää"
"Anja Mäkinen-Viitala"|"Rukokatu 05
19200 Vesanto"
"Katariina Kuronen"|"Gotlannintie 229
32849 Karvia"
"Aino Salonen"|"Kilpolanpolku 52
37146 Luhanka"
"Samuli Kankaanpää-Lehto"|"Chydeniuksenbulevardi 752
49363 Maarianhamina"
"Maija Salo"|"Osmonbulevardi 7
65181 Janakkala"
"Annukka Tolonen-Pietilä"|"Uunilinnunpolku 163
27037 Pyhtää"
"Sakari Savolainen"|"Tyynylaavanbulevardi 495
79304 Lappeenranta"
"Johanna Turunen"|"Bysantinkuja 62
72483 Brändö"
"Marja Salonen"|"Orapihlajatie 2
47929 Kärkölä"
"Marja-Leena Lindgren"|"Gyldéninkatu 4
64090 Loimaa"
"Juhani Pelkonen"|"Vanha Rajabulevardi 82
00185 Mynämäki"
"Miia Sjöblom"|"Hankasuonkuja 7
50716 Kuusamo"
"Heidi Hämäläinen"|"Elisabeth Kochin polku 4
58941 Finström"
"Samuli Niemi-Repo"|"Usvakuja 615
21949 Virolahti"
"Matias Andersson"|"Fabianinpolku 59
35325 Kemi"
"Kristiina Turunen"|"Orvokkikatu 14
60032 Valkeakoski"
"Antero Nieminen"|"Franzéninkatu 86
59759 Kangasniemi"
"Leevi Leppänen"|"Ormusbulevardi 41
81004 Eckerö"
"Ilmari Saari"|"Purjetuulenbulevardi 931
86386 Kemi"
"Eelis Huhtala"|"Runoilijanbulevardi 1
25139 Isokyrö"
"Yrjö Miettinen"|"Birger Kaipiaisen bulevardi 46
73697 Teuva"
"Oliver Karvinen-Räsänen"|"Puuskapolku 8
75558 Loviisa"
"Irene Suominen"|"Gyldéninbulevardi 04
57332 Masku"
"Samuli Saarinen"|"Immolanpolku 146
99117 Ypäjä"
"Jussi Gustafsson"|"Orapihlajabulevardi 31
73815 Pyhtää"
"Benjamin Latvala"|"Agricolanpolku 255
41025 Janakkala"
"Petri Räty"|"Ilotulituskatu 87
27216 Posio"
"Mika Kärkkäinen"|"Jyvätie 705
36457 Kannonkoski"
"Antero Lahti"|"Betonikuja 7
95430 Janakkala"
"Petteri Salo"|"Elonkatu 025
80831 Kaskinen"
"Katariina Rinne-Korhonen"|"Osmonpolku 208
40487 Veteli"
"Kristian Kumpulainen"|"Immolantie 1
79879 Kokemäki"
"Jari Aalto"|"Sahaajanpolku 135
42089 Paltamo"
"Samuli Salmela"|"Yrjö-Koskisen katu 5
78751 Soini"
"Uolevi Hokkanen-Oikarinen"|"Immolankatu 0
32982 Tervo"
"Vilho Virta-Aalto"|"Puusepänpolku 1
90253 Alavus"
"Ilmari Anttonen-Nousiainen"|"Osuuskunnanpolku 84
37004 Kemiönsaari"
"Eveliina Lehto"|"Versokuja 7
64354 Muonio"
"Marjatta Sutinen"|"Jälsikatu 60
56126 Vantaa"
"Hannele Koivisto"|"Iltatähdenkuja 8
36560 Merijärvi"
"Marjatta Koivunen"|"Vesalankuja 50
88958 Ylöjärvi"
"Eemeli Moilanen"|"Vesakkopolku 9
70712 Muhos"
"Antti Sjöblom"|"Agroksenpolku 8
45580 Virolahti"
"Sanna Eklund-Lindberg"|"Veräjämäenpolku 4
55208 Siuntio"
"Sofia Heikkilä-Rantala"|"Ahdekaunokinbulevardi 29
72907 Laitila"
"Irene Hakala"|"Fredrikinpolku 2
91235 Akaa"
"Sisko Ahonen"|"Eerik Pyhän katu 489
77046 Kirkkonummi"
"Tellervo Hiltunen"|"Sadebulevardi 29
10003 Korsnäs"
"Hannele Markkanen"|"Yrjönbulevardi 90
81506 Rusko"
"Helena Juntunen"|"Edelfeltinbulevardi 61
91736 Kalajoki"
"Riku Kosonen"|"Sahaajankuja 02
38457 Lempäälä"
"Iida Repo"|"Walentin Chorellin tie 6
78267 Miehikkälä"
"Heli Gustafsson"|"Nervanderinkatu 693
02401 Hanko"
"Sanna Kivelä"|"Harakkamyllynbulevardi 335
98107 Ilmajoki"
"Helena Määttä"|"Niemipolku 334
25091 Kalajoki"
"Vilhelm Alatalo-Heiskanen"|"Bertha Pauligin katu 0
66339 Merikarvia"
"Markus Kauppinen"|"Jämsänpolku 67
08063 Utajärvi"
"Petri Heikkilä-Mikkonen"|"Katajaharjunkuja 4
78136 Tuusula"
"Helena Laine"|"Maasalonbulevardi 77
79602 Kumlinge"
"Inkeri Heiskanen"|"Lukkarimäenkuja 59
57041 Virolahti"
"Katariina Repo-Kankaanpää"|"Nikonkatu 21
35886 Mikkeli"
"Antero Leinonen"|"Waseniuksen puistokatu 08
87692 Padasjoki"
"Anneli Nousiainen"|"Järkälekatu 598
67442 Haapavesi"
"Sanna Lehtinen-Moilanen"|"Freesenkuja 51
58748 Posio"
"Risto Tuovinen-Koponen"|"Winqvistintie 2
71081 Mustasaari"
"Mari Pitkänen"|"Vesalankuja 472
05674 Multia"
"Ida Oksanen"|"Laakavuorenbulevardi 80
23508 Vimpeli"
"Anita Seppälä"|"Vaarnakuja 893
14242 Inkoo"
"Samuel Peltola"|"Kolsintie 672
79429 Sonkajärvi"
"Aleksandra Savolainen"|"Ilmattarenkuja 424
57954 Hollola"
"Sakari Niskanen"|"Yrjönbulevardi 0
36262 Maalahti"
"Marjatta Rantala"|"Vesakkopolku 37
41061 Hämeenlinna"
"Sakari Järvinen"|"Vesalankuja 4
50015 Ii"
"Sanna Lehtonen"|"Fredrikinbulevardi 6
67474 Espoo"
"Pekka Karlsson"|"Tahtikatu 461
31691 Pyhäjärvi"
"Toivo Mäki"|"Fredrikinbulevardi 518
60064 Isokyrö"
"Jaakko Kähkönen-Laurila"|"Rapolanbulevardi 4
00803 Laihia"
"Marika Mikkonen"|"Rapolanpolku 6
48720 Imatra"
"Veikko Hirvonen"|"Haakoninlahdenkatu 225
99061 Tampere"
"Katri Peltola-Huttunen"|"Elimäenbulevardi 3
75631 Sievi"
"Kristina Järvenpää"|"Elisabeth Kochin katu 072
44272 Hämeenlinna"
"Ritva Berg"|"Gustav Pauligin tie 4
86735 Keuruu"
"Ilmari Koski"|"Jännekatu 59
70614 Suonenjoki"
"Sanna Liimatainen"|"Eerik Pyhän polku 08
17090 Juuka"
"Matti Parviainen"|"Gneissipolku 301
66707 Liminka"
"Ilmari Viljanen"|"Usvabulevardi 54
65942 Kajaani"
"Mikko Lahti"|"Maanmittarinkuja 101
90010 Savonlinna"
"Lauri Tarvainen"|"Niemitie 2
31341 Somero"
"Maria Hietanen-Jalonen"|"Sapilaspolku 21
04504 Vihti"
"Nina Honkanen"|"Veropellonkatu 40
61688 Pihtipudas"
"Vuokko Salonen"|"Kolsinbulevardi 37
71200 Puumala"
"Birgitta Oikarinen"|"Adolf Lindforsin tie 540
75032 Närpiö"
"Eveliina Pirinen"|"Dagmarinkuja 5
03641 Jokioinen"
"Sanni Kemppainen"|"Böstaksentie 68
62763 Ii"
"Juhani Kaikkonen"|"Ylätuvantie 075
88188 Ylivieska"
"Jalmari Kallio-Niemi"|"Uunilinnuntie 726
29607 Haapajärvi"
"Katariina Riikonen"|"Nelikkopolku 4
44387 Kempele"
"Marjatta Heinonen"|"Harbonpolku 23
04855 Kemi"
"Kristina Mustonen-Suominen"|"Saanatunturinbulevardi 9
64822 Mustasaari"
"Erkki Tuomi"|"Rapakivenkuja 93
29721 Ypäjä"
"Veli Hokkanen-Tervo"|"Disanbulevardi 084
71392 Loppi"
"Riitta Lepistö"|"Kimalaisbulevardi 878
76369 Siikainen"
"Anna Leppänen"|"Jägerhorninkuja 4
61491 Jomala"
"Sanni Nieminen"|"Yhteiskoulunkatu 498
81703 Rääkkylä"
"Marja Hakkarainen"|"Puroniitynbulevardi 97
11454 Kuusamo"
"Minna Härkönen"|"Nelikkobulevardi 98
88176 Loppi"
"Pirjo Koski"|"Laakavuorenbulevardi 234
69678 Ikaalinen"
"Marko Marttila"|"Iltatähdenpolku 595
91385 Pyhäranta"
"Olavi Parkkinen"|"Fallkullanbulevardi 90
87225 Pieksämäki"
"Maria Lindholm-Koskela"|"Ilmattarenkuja 539
68397 Jämijärvi"
"Heli Jaakkola"|"Urheilukuja 3
44091 Loimaa"
"Eemil Sipilä"|"Tuulilasintie 917
17313 Posio"
"Seppo Viljanen"|"Yrttimaanpolku 14
78758 Hämeenkyrö"
"Santeri Koskela"|"Lepolanbulevardi 35
67179 Pieksämäki"
"Katariina Salonen"|"Urkurinbulevardi 656
11024 Ii"
"Markku Salminen"|"Louhikkopolku 85
55977 Kurikka"
"Johanna Hakala"|"Tyynylaavanpolku 3
85367 Joroinen"
"Patrik Mäkinen"|"Gunnel Nymanin katu 4
63564 Valtimo"
"Karoliina Timonen"|"Kimmonkatu 900
61071 Teuva"
"Karoliina Lehikoinen-Matikainen"|"Orapihlajatie 83
84321 Vihti"
"Niko Salonen-Saarinen"|"Elonbulevardi 6
33756 Föglö"
"Tuulikki Eriksson"|"Kolvibulevardi 6
11656 Luhanka"
"Jaana Hietala"|"Vellikellonbulevardi 55
83599 Nurmijärvi"
"Santeri Kuusela"|"Usvakuja 88
21534 Muurame"
"Tuulia Heikkilä"|"Malminkartanontie 44
02274 Porvoo"
"Maritta Oksanen"|"Tuomarinkyläntie 4
64349 Sottunga"
"Juulia Rinne"|"Fallpakanpolku 090
55486 Juuka"
"Jyrki Soininen"|"Tuulilasinkatu 4
22402 Nurmijärvi"
"Harri Sipilä-Kuronen"|"Castréninkuja 66
49759 Hamina"
"Veijo Väänänen-Laine"|"Puusepänpolku 6
75156 Sotkamo"
"Marja-Leena Mustonen"|"Dosentintie 1
10397 Virrat"
"Annikki Kuusisto-Kosonen"|"Vesakkobulevardi 12
37162 Ylivieska"
"Kai Kettunen"|"Ylä-Fallin kuja 771
32772 Honkajoki"
"Santeri Suhonen"|"Gneissipolku 872
53365 Ristijärvi"
"Taina Myllymäki-Saari"|"Kimmonkatu 3
87472 Ii"
"Ville Heiskanen"|"Werner Wirénin tie 778
34954 Miehikkälä"
"Satu Kari-Nyman"|"Laakavuorenbulevardi 6
88307 Parainen"
"Kalevi Mäkelä"|"Dunckerinbulevardi 41
92131 Puolanka"
"Tuula Toivonen"|"Urheilukuja 97
65537 Nousiainen"
"Juhani Puustinen"|"Rantavarastonkuja 266
47932 Tuusula"
"Valtteri Ruuskanen"|"Rantavarastonbulevardi 14
13498 Porvoo"
"Sirkka Turunen-Keskinen"|"Kimalaistie 809
24414 Pyhäranta"
"Leila Helin"|"Osuuskunnanbulevardi 53
67150 Sodankylä"
"Sara Heikkinen"|"Niemipolku 7
81385 Siikainen"
"Juha Oikarinen"|"Rapolankatu 527
03877 Ristijärvi"
"Osmo Malinen"|"Werner Wirénin bulevardi 49
70348 Kangasniemi"
"Piia Kokko-Auvinen"|"Veropellonpolku 5
72433 Pello"
"Karl Leinonen"|"Capellan puistokuja 735
88951 Nurmijärvi"
"Hannele Kähkönen"|"Bertha Pauligin bulevardi 623
63902 Heinola"
"Tiina Matilainen"|"Yrjö-Koskisen bulevardi 12
16659 Eura"
"Aleksi Vuorinen"|"Maapadontie 0
55822 Jämsä"
"Anna Suomalainen"|"Freesenbulevardi 02
19543 Juuka"
"Annika Keinänen-Mäkelä"|"Kimmonkuja 31
14366 Saltvik"
"Sara Kauppinen"|"Eljaksenkuja 21
18639 Pori"
"Kristiina Salminen"|"Ylätuvankuja 047
44683 Kärkölä"
"Kalevi Järvinen"|"Wavulinintie 555
72655 Laihia"
"Sisko Laitinen-Lepistö"|"Maapadonkuja 65
12918 Karkkila"
"Kaarina Immonen"|"Rapakivenbulevardi 1
52688 Jämijärvi"
"Mikael Heikkinen-Laitinen"|"Santerlankuja 56
59953 Kaskinen"
"Eeva Paananen-Koskinen"|"Kolvitie 696
55806 Pihtipudas"
"Teemu Pitkänen-Heikkilä"|"Ieskatu 10
45673 Posio"
"Kristian Alanen"|"Uskalikonkatu 511
81103 Vihti"
"Kalevi Kivinen"|"Ilmattarenkuja 03
62596 Mäntsälä"
"Sara Kukkonen"|"Purjetuulenkuja 4
80755 Muonio"
"Martti Nieminen"|"Agnes Sjöbergin tie 85
60001 Hyvinkää"
"Erkki Lindberg"|"Böstaksenkuja 7
21721 Finström"
"Maria Niemi"|"Kilpolankuja 90
05634 Sipoo"
"Juhani Ahola"|"Agnes Sjöbergin polku 841
54517 Siikalatva"
"Timo Saari"|"Ilkanbulevardi 4
98126 Ulvila"
"Anniina Heikkilä"|"Urpupolku 04
20382 Jämsä"
"Eetu Turunen"|"Bysantinkuja 9
87462 Salla"
"Hannele Kinnunen-Niemi"|"Agronominpolku 3
17187 Sodankylä"
"Mika Kolehmainen"|"Graniittitie 006
57289 Joensuu"
"Sari Harju"|"Uudenkaupunginkatu 2
67982 Teuva"
"Maija Hytönen-Kainulainen"|"Winqvistintie 871
53699 Vöyri"
"Eija Hokkanen"|"Eino Leinon katu 462
16009 Rääkkylä"
"Petteri Tähtinen"|"Bertha Pauligin bulevardi 502
75545 Perho"
"Hanna Laiho-Mikkola"|"Dunckerinbulevardi 4
69734 Pietarsaari"
"Antero Eriksson"|"Iltaruskonkatu 836
17234 Kiuruvesi"
"Linda Nieminen"|"Ylänköbulevardi 394
38295 Maalahti"
"Annukka Hänninen"|"Laakavuorenkatu 84
74683 Soini"
"Maire Immonen"|"Bysantinpolku 354
29703 Vihti"
"Rainer Räisänen"|"Ilotulituspolku 94
13504 Lemland"
"Sari Kettunen"|"Vanha Rajakatu 8
49025 Mäntsälä"
"Annikki Hirvonen-Ruotsalainen"|"Kimmonpolku 69
04532 Punkalaidun"
"Sakari Hautala"|"Jänkätie 6
54354 Ylöjärvi"
"Ari Pääkkönen"|"Niittylänpolku 2
43186 Hausjärvi"
"Sanna Jaakkola"|"Niitynperänkuja 781
36121 Asikkala"
"Matti Karlsson"|"Niemitie 929
44442 Lieto"
"Pekka Lehtinen"|"Maapadonpolku 27
99465 Kitee"
"Laura Vuorinen"|"Vanha Rajapolku 095
05115 Rautjärvi"
"Jenni Hämäläinen"|"Fallinkuja 60
00763 Pyhäjoki"
"Tarja Karjalainen"|"Wavulinintie 2
26794 Aura"
"Sari Paavilainen"|"Yrjö-Koskisen tie 125
87861 Kaavi"
"Heikki Laurila"|"Niitynperänkatu 09
00472 Orivesi"
"Ilmari Koskinen"|"Walentin Chorellin polku 342
66469 Sievi"
"Mikael Laurila-Ojala"|"Mamsellimyllynkuja 973
88061 Värdö"
"Oiva Varis"|"Otermanpolku 28
08908 Vihti"
"Iiris Pääkkönen"|"Ilotulituspolku 4
94651 Tervo"
"Annikki Kuusisto"|"Gustav Pauligin bulevardi 04
50573 Kihniö"
"Timo Hannula"|"Agroksenkatu 052
61750 Porvoo"
"Maria Lepistö"|"Fallpakantie 2
80711 Viitasaari"
"Tuulikki Saari"|"Ostostie 6
18702 Siikainen"
"Sari Suominen"|"Saramäenpolku 946
36204 Lapua"
"Riitta Lehtonen"|"Jämsänpolku 50
22059 Asikkala"
"Ilmari Kyllönen"|"Eerik Pyhän kuja 84
06064 Jämijärvi"
"Hannele Koskinen-Sirén"|"Rukkilanbulevardi 7
19242 Perho"
"Eetu Korpela"|"Niittylänkuja 6
11059 Jomala"
"Maria Ikonen"|"Kolvibulevardi 66
13714 Kiuruvesi"
"Tarja Salonen"|"Eino Leinon polku 21
72079 Lieto"
"Katariina Pehkonen"|"Maapadontie 5
72260 Pedersören kunta"
"Markku Holopainen"|"Kukkaniitynpolku 2
39663 Toivakka"
"Kristina Jansson"|"Salakkakatu 425
13803 Luoto"
"Sari Turunen"|"Niemibulevardi 316
81771 Karvia"
"Kyllikki Lindroos-Oksanen"|"Haaksipolku 62
88174 Hausjärvi"
"Kalevi Ojala-Kokko"|"Yrttimaanbulevardi 36
74255 Maarianhamina"
"Iiris Huuskonen"|"Castréninbulevardi 7
33789 Ikaalinen"
"Pirjo Härkönen"|"Agronominpolku 5
98316 Rusko"
"Kyllikki Kangas"|"Rukopolku 2
26834 Geta"
"Hannele Järvinen"|"Niitynperäntie 80
22133 Sotkamo"
"Jarkko Aro"|"Elimäenbulevardi 69
90057 Tervola"
"Ellen Tuominen"|"Niitynperänkuja 366
84484 Hammarland"
"Johan Mattsson"|"Purjetuulenpolku 63
84583 Saarijärvi"
"Satu Eriksson"|"Purjetuulenkuja 318
96768 Pälkäne"
"Ilari Korhonen"|"Ahomäenbulevardi 7
42090 Rusko"
"Sofia Määttä"|"Agronomintie 17
36032 Luumäki"
"Jussi Leinonen"|"Ilotulitustie 8
96102 Pihtipudas"
"Kyllikki Pietilä"|"Tyynelänkatu 1
03311 Pori"
"Susanna Alatalo"|"Tukkisillantie 12
41263 Kotka"
"Sinikka Mikkola"|"Yläkaskenbulevardi 754
63792 Myrskylä"
"Margit Keskinen"|"Urpukatu 281
76930 Lahti"
"Kaarina Toivonen"|"Iltatähdenkatu 7
19311 Kokkola"
"Minna Pitkänen"|"Dunckerinkatu 8
71477 Muhos"
"Satu Karjalainen-Nevala"|"Veropellonbulevardi 328
69759 Masku"
"Marja-Leena Turunen"|"Fabianinbulevardi 285
63798 Saarijärvi"
"Annikki Uusitalo"|"Sapilaskatu 51
69624 Raisio"
"Tuulikki Pennanen"|"Maneesitie 051
50046 Luoto"
"Olavi Sutinen"|"Maasalonbulevardi 20
46182 Pori"
"Lasse Saarela"|"Uudenkaupunginkuja 558
39530 Mänttä-Vilppula"
"Eino Matilainen"|"Haapatie 038
08720 Toivakka"
"Aleksi Karvonen-Helminen"|"Puusepänbulevardi 1
58054 Taivassalo"
"Leena Virtanen-Tuominen"|"Sapilaspolku 7
45662 Pelkosenniemi"
"Pirkko Karvinen"|"Jälsibulevardi 2
58859 Hausjärvi"
"Satu Laakkonen"|"Porinkuja 081
98751 Pyhäjärvi"
"Juhani Rautiainen"|"Maneesipolku 36
78951 Keuruu"
"Kalervo Karjalainen"|"Haahkakuja 8
85155 Lumparland"
"Harri Hytönen"|"Willebrandinkatu 22
08704 Joroinen"
"Martti Heikkinen-Lipponen"|"Bengalinbulevardi 53
16404 Vaasa"
"Mauri Kärkkäinen"|"Fallpakanpolku 7
44449 Utajärvi"
"Juhani Virtanen"|"Salakkakatu 335
07561 Haapavesi"
"Tero Karvonen"|"Osuuskunnankuja 108
70577 Savitaipale"
"Antero Mattila"|"Maapadonpolku 94
89770 Lieksa"
"Aleksandra Laakkonen"|"Pohjolankuja 00
80546 Tornio"
"Satu Pääkkönen"|"Berganbulevardi 931
64179 Hämeenkyrö"
"Hannele Vartiainen"|"Tuomarinkylänkatu 84
96470 Ähtäri"
"Antero Puustinen"|"Järkälebulevardi 0
27288 Tornio"
"Kaarina Kuusela"|"Ehrensvärdinpolku 5
34493 Konnevesi"
"Ari Tanskanen"|"Santerlanpolku 83
36296 Urjala"
"Emilia Malinen"|"Veropellontie 775
31518 Tyrnävä"
"Tanja Kanerva-Nousiainen"|"Böstaksenkuja 7
70346 Porvoo"
"Kai Sainio"|"Puuskapolku 088
04278 Heinävesi"
"Tapani Koskinen"|"Elisabeth Kochin katu 6
09151 Rautalampi"
"Inkeri Perälä"|"Laajasalontie 19
68070 Forssa"
"Satu Rantala"|"Niemikatu 4
02913 Mikkeli"
"Hannele Nevalainen"|"Louhentie 050
20250 Heinävesi"
"Kristiina Pekkala"|"Niitynperänkatu 41
25694 Kustavi"
"Tellervo Nyberg"|"Harakkamyllynkuja 481
32908 Pyhäjärvi"
"Jussi Tiainen"|"Yrjö-Koskisen bulevardi 36
64236 Pello"
"Ilmari Suomalainen"|"Maanmittarintie 94
72965 Eurajoki"
"Kalevi Peltola-Heikkilä"|"Verkkokatu 58
70732 Suonenjoki"
"Jalmari Kolehmainen"|"Lukkarimäenkatu 34
30695 Naantali"
"Elisa Venäläinen"|"Saramäenpolku 678
21910 Suonenjoki"
"Maria Laiho"|"Eino Leinon polku 31
37792 Hamina"
"Satu Uotila"|"Gunillankuja 90
67091 Kaustinen"
"Kaija Laaksonen"|"Jägerhornintie 1
64811 Rautalampi"
"Joonas Karvonen"|"Rukotie 690
23321 Pyhäntä"
"Raimo Pennanen"|"Bertel Jungin kuja 6
97451 Nurmes"
"Tiina Leppänen"|"Bertel Jungin katu 87
60288 Halsua"
"Timo Leinonen"|"Ormuskuja 4
68193 Hanko"
"Maria Heiskanen"|"Santerlanpolku 48
91192 Sodankylä"
"Anna Pirinen"|"Kolsinkuja 07
15160 Pudasjärvi"
"Katri Lindström"|"Vesakkopolku 3
48026 Ähtäri"
"Marianne Rantanen"|"Capellan puistokuja 78
59218 Kolari"
"Sebastian Aalto"|"Runoilijanpolku 176
19061 Kontiolahti"
"Tapio Kauppila-Lindström"|"Oraskatu 065
65987 Pornainen"
"Jarkko Haataja"|"Nelikkotie 46
93886 Kajaani"
"Marja Eriksson"|"Bergankuja 06
68216 Virrat"
"Orvokki Lehtola"|"Uudenkaupungintie 9
68852 Espoo"
"Aleksi Perälä"|"Lepolanpolku 464
30473 Lahti"
"Pertti Anttila"|"Ylä-Fallin katu 075
88617 Pyhäjoki"
"Jarmo Ahonen"|"Bysantinbulevardi 4
69894 Heinola"
"Kaarina Leino"|"Uurtajantie 4
21511 Maalahti"
"Jukka Kainulainen-Pasanen"|"Ilmattarenbulevardi 60
25398 Pielavesi"
"Sebastian Koski"|"Lepolankuja 297
91486 Pyhäntä"
"Olavi Häkkinen"|"Degermosantie 202
89552 Kotka"
"Ensio Rautiainen-Lahtinen"|"Cygnaeuksenkuja 8
67868 Finström"
"Annika Salminen"|"Nils Westermarckin polku 363
88543 Liminka"
"Jarkko Kulmala-Koskela"|"Gunillanpolku 29
87662 Hausjärvi"
"Alexander Malinen"|"Haakoninlahdenbulevardi 9
06595 Ylitornio"
"Tuomas Lehtonen"|"Kimalaisbulevardi 11
21263 Pello"
"Maire Rissanen-Lehtonen"|"Wallininkuja 3
40894 Koski Tl"
"Juhana Partanen"|"Lentokapteenin bulevardi 59
91927 Sastamala"
"Aleksi Rinne-Kallio"|"Vaarnatie 586
52760 Savukoski"
"Seija Erkkilä"|"Louhenkuja 927
54701 Paltamo"
"Päivikki Moilanen-Koponen"|"Jäkälätie 388
88180 Sottunga"
"Oliver Eskola"|"Maapadontie 5
92374 Outokumpu"
"Pia Järvenpää"|"Porepolku 058
42289 Ikaalinen"
"Hannele Leppänen"|"Porkkalankuja 62
82500 Keitele"
"Noora Kanerva"|"Orisaarenpolku 74
50896 Sauvo"
"Johanna Virtanen"|"Gunillankuja 914
75722 Kangasniemi"
"Veikko Kettunen"|"Maasälvänkatu 58
43176 Inari"
"Marja Määttä"|"Immolanpolku 43
52471 Ylivieska"
"Marjaana Asikainen"|"Kimmonkuja 579
65097 Säkylä"
"Seija Korpela"|"Edelfeltintie 146
94245 Raahe"
"Tellervo Kortelainen"|"Bengalinbulevardi 27
15295 Jokioinen"
"Erkki Makkonen-Salminen"|"Laakavuorenkuja 265
85971 Kankaanpää"
"Christian Jokinen"|"Orisaarenkatu 6
82285 Parkano"
"Heikki Koskela-Hakala"|"Eino Leinon kuja 04
12614 Uurainen"
"Matias Huuskonen"|"Agroksenbulevardi 9
20850 Pieksämäki"
"Aapo Hirvonen"|"Ahdekaunokinkatu 65
67081 Sauvo"
"Matias Jaatinen"|"Elontie 84
72899 Honkajoki"
"Marjatta Pulkkinen"|"Gunnel Nymanin tie 238
83443 Kerava"
"Minna Lahtinen"|"Urkurinkatu 391
09425 Kuopio"
"Seija Virtanen"|"Urkurinkatu 3
91142 Hyvinkää"
"Anna Sjöblom"|"Capellan puistotie 0
89529 Lumparland"
"Joonas Partanen"|"Uunilinnunkuja 776
23485 Naantali"
"Matti Piirainen"|"Uussillanbulevardi 76
37169 Alavus"
"Allan Nevalainen-Tuomi"|"Usvabulevardi 226
01611 Pöytyä"
"Hannele Penttilä"|"Taavetti Laitisen kuja 1
82466 Föglö"
"Maarit Koivunen"|"Hannukselantie 98
81603 Miehikkälä"
"Tuulikki Hautala"|"Werner Wirénin tie 6
21641 Turku"
"Marika Laine"|"Chydeniuksenpolku 257
09401 Tervo"
"Minna Nieminen"|"Otermankatu 461
81329 Ulvila"
"Seija Vuori"|"Hankasuonkatu 86
64072 Kalajoki"
"Sinikka Koskinen"|"Orisaarenbulevardi 57
72748 Kalajoki"
"Aino Hytönen"|"Waseniuksen puistokuja 302
87461 Maarianhamina"
"Kalevi Turpeinen-Peltonen"|"Runoilijanpolku 7
01299 Kauniainen"
"Aleksandra Pasanen"|"Vaakalinnunkatu 971
57489 Humppila"
"Susanna Karppinen"|"Kimmonbulevardi 54
27880 Sodankylä"
"Kristina Koponen"|"Jätkäsaarenkatu 335
05615 Kauniainen"
