"Aapo Niemi","Döbelninpolku 9
54183 Närpiö" 
"Katja Rajala","Kolvikuja 13
83852 Kuusamo"
"Toni Lehtimäki","Ilomäenpolku 8
43560 Keuruu"
"Timo Salonen","Hannukselankuja 1
56219 Siikajoki"
"Sinikka Rautio","Tuulilasinkuja 9
60718 Kitee"
"Amanda Backman","Capellan puistobulevardi 740
92692 Imatra"
"Sinikka Eklund","Salakkakatu 4
15489 Ylöjärvi"
"Matias Backman","Uudenkaupunginbulevardi 309
18027 Suonenjoki"
"Mira Raatikainen-Immonen","Runebergintie 697
75393 Lieksa"
"Antero Hokkanen","Biologinbulevardi 874
93384 Mänttä-Vilppula"
"Pauliina Martikainen","Ahvenkoskenkatu 067
64680 Inkoo"
"Kristian Oikarinen","Yrjö-Koskisen katu 9
42499 Oulainen"
"Vesa Räsänen","Ostospolku 604
41936 Askola"
"Petteri Nurmi","Castréninbulevardi 382
80556 Petäjävesi"
"Kaarina Moilanen","Kuhankeittäjänpolku 7
36935 Pyhäranta"
"Timo Rantanen","Lepolankuja 55
31942 Äänekoski"
"Sinikka Hautamäki-Huovinen","Sadepolku 9
18031 Maarianhamina"
"Kalevi Vartiainen","Damaskuksenbulevardi 119
92582 Jyväskylä"
"Uolevi Eronen","Nikonpolku 087
38604 Karijoki"
"Erkki Kärkkäinen","Elimäenbulevardi 4
07012 Heinola"
"Jussi Ahokas","Jyväkuja 4
51931 Heinola"
"Anneli Kärkkäinen","Maasälväntie 1
37478 Luumäki"
"Heikki Karvinen","Dosentintie 07
36108 Pornainen"
"Katri Rissanen","Haaksipolku 748
00570 Eurajoki"
"Minna Mikkonen","Saramäenkatu 47
81321 Muurame"
"Kalevi Lassila-Keinänen","Urkurinkuja 99
37617 Virrat"
"Sinikka Korhonen-Voutilainen","Salamakatu 931
90554 Utsjoki"
"Satu Karjalainen-Pajunen","Purjetuulentie 26
55508 Heinävesi"
"Milla Pitkänen","Laurinniitynkuja 796
38169 Mäntsälä"
"Annikki Kärkkäinen","Eerik Pyhän kuja 1
74445 Hämeenkyrö"
"Maria Eskelinen-Rajala","Gadolinintie 0
41755 Karstula"
"Samuel Pehkonen","Santerlankuja 091
19203 Brändö"
"Ilmari Jokinen","Kimmonkuja 41
38301 Alavus"
"Ilona Korhonen","Disankatu 27
92790 Juuka"
"Pasi Tuominen","Jänkätie 3
07943 Kontiolahti"
"Viljami Virta","Kiitäjäntie 08
22364 Vehmaa"
"Sinikka Lindholm","Agnes Sjöbergin katu 1
28551 Karstula"
"Matias Moilanen","Jätkäsaarenkuja 59
49774 Joroinen"
"Leena Järvinen","Porkkalanbulevardi 5
65433 Brändö"
"Julia Nieminen-Penttilä","Fahlanderin puistopolku 053
87925 Pietarsaari"
"Hannele Heikkilä","Lentokapteenin katu 3
54649 Hartola"
"Matti Tiainen","Malminkartanontie 4
42103 Muhos"
"Benjamin Halonen","Fagottibulevardi 813
35781 Sastamala"
"Aila Tolonen","Eerik Pyhän kuja 9
39733 Ranua"
"Ilona Koskinen","Ilkankuja 893
76759 Naantali"
"Ensio Salo","Iltatähdenbulevardi 21
39323 Raahe"
"Sinikka Manninen","Bertha Pauligin katu 67
55527 Luhanka"
"Johanna Sallinen","Iespolku 92
34278 Kerava"
"Esteri Partanen","Tuulilasinbulevardi 210
09809 Kauhajoki"
"Veikko Aalto","Bertha Pauligin katu 300
45503 Padasjoki"
"Marja Takala","Orisaarenbulevardi 881
88073 Nokia"
"Anneli Kemppainen-Hirvonen","Castréninkuja 587
21875 Humppila"
"Paula Niskanen","Laakavuorentie 707
62736 Heinola"
"Pirkko Laaksonen","Immolanbulevardi 3
07309 Tuusniemi"
"Kristian Kulmala","Yrttimaankatu 46
51390 Kauniainen"
"Olavi Lindholm","Agnetanbulevardi 525
19741 Muhos"
"Sinikka Manninen-Miettinen","Caloniuksenkuja 98
34514 Korsnäs"
"Antero Lepistö","Eerik Pyhän polku 976
35466 Punkalaidun"
"Olavi Karhu","Ahomäenkatu 464
02376 Humppila"
"Susanna Tolonen","Hankasuonpolku 23
17348 Viitasaari"
"Helena Jokinen","Veropellonbulevardi 4
28793 Pertunmaa"
"Kaarina Koivunen-Manninen","Veropellonbulevardi 74
14061 Pori"
"Anneli Linna","Dagmarintie 60
40354 Leppävirta"
"Kaija Haapala","Yläkaskenpolku 8
40335 Petäjävesi"
"Marjaana Kokko","Elisabeth Kochin tie 65
89662 Hirvensalmi"
"Karoliina Räsänen-Gustafsson","Tuulilasinbulevardi 004
02692 Sievi"
"Sinikka Nousiainen-Nyberg","Iltaruskonkatu 989
38363 Juuka"
"Maria Eskola","Wäinö Aaltosen bulevardi 14
91074 Kuusamo"
"Mari Savolainen","Ida Ekmanin polku 133
76029 Valtimo"
"Kim Koivunen","Rukotie 659
03735 Valtimo"
"Valtteri Mäki","Kuhankeittäjänbulevardi 280
92788 Mäntsälä"
"Katri Harju","Purjetuulentie 0
05857 Siikalatva"
"Niko Räty","Bertha Pauligin polku 8
53161 Nokia"
"Onni Hartikainen","Tuulilasintie 99
48340 Mynämäki"
"Helinä Virtanen","Maatullinpolku 920
37324 Salo"
"Juhani Salminen","Runoilijanbulevardi 79
26573 Kärkölä"
"Sinikka Pekkala","Rukokatu 570
17160 Rautavaara"
"Valtteri Hietanen-Lahti","Oravabulevardi 7
32539 Vesanto"
"Marjatta Lehtinen","Haahkakatu 3
47330 Tohmajärvi"
"Eveliina Auvinen","Kuhankeittäjäntie 7
50253 Hollola"
"Tuulia Uusitalo-Holopainen","Poikasaartenpolku 73
27865 Utsjoki"
"Jere Miettinen","Rantavarastonbulevardi 67
44953 Hyvinkää"
"Kristiina Savolainen","Betonikuja 972
41810 Hausjärvi"
"Maaria Korpela","Fabianinpolku 164
11392 Kauniainen"
"Anna-Liisa Miettinen-Heikkinen","Yrttimaanbulevardi 502
66611 Oripää"
"Kaarina Anttila","Ilvesbulevardi 02
53312 Pertunmaa"
"Sinikka Puranen","Eino Leinon bulevardi 51
28627 Kökar"
"Helmi Salo","Tyynylaavanbulevardi 58
25497 Haapavesi"
"Julia Niemi","Katajaharjunpolku 39
44661 Honkajoki"
"Pekka Heinonen","Eduskuntakuja 003
36710 Kauhajoki"
"Toni Honkanen","Rukotie 8
81266 Pyhäjoki"
"Aaro Rantanen","Taavinbulevardi 4
93629 Sastamala"
"Johanna Jokinen","Yhteiskoulunbulevardi 699
65441 Pihtipudas"
"Mauri Kangas","Pyörökiventie 22
92291 Suonenjoki"
"Päivi Huuskonen-Korpi","Puroniityntie 846
26777 Posio"
"Katriina Laitinen","Rantavarastonbulevardi 3
39726 Maalahti"
"Sinikka Saarinen","Fahlanderin puistokatu 60
29526 Halsua"
"Juhani Kanerva","Ilkanbulevardi 36
52676 Suomussalmi"
"Iida Ruotsalainen","Taavetti Laitisen polku 939
31326 Heinävesi"
"Nina Nuutinen-Jokinen","Porepolku 13
11969 Askola"
"Markus Honkanen","Walentin Chorellin tie 517
88775 Kajaani"
"Aila Peltonen","Niemikuja 49
93128 Sonkajärvi"
"Elina Salmi","Disanpolku 594
36703 Pieksämäki"
"Jorma Järvinen-Määttä","Uunisepänbulevardi 7
93053 Ypäjä"
"Matti Niemelä","Bysantinkuja 3
55470 Myrskylä"
"Antero Puhakka","Fastbölentie 3
10661 Pertunmaa"
"Sirkka Heiskanen","Haagan pappilanpolku 99
68167 Hailuoto"
"Eero Hakkarainen","Rukkilantie 97
91167 Mänttä-Vilppula"
"Matti Nieminen","Osmonkuja 624
33025 Kärkölä"
"Kaarina Eriksson-Laitinen","Kolvikatu 1
99095 Merijärvi"
"Jarkko Salmela-Kallio","Pyörökivenkuja 701
31278 Forssa"
"Heikki Rintala","Graniittikuja 45
43538 Eurajoki"
"Kasper Järvinen","Pyörökivenkatu 62
20803 Eura"
"Matti Pasanen","Iesbulevardi 58
19721 Miehikkälä"
"Mira Erkkilä-Hakkarainen","Veropellonpolku 966
43064 Kärkölä"
"Kalevi Mikkonen","Porekatu 38
59199 Raasepori"
"Sirkka Lindholm","Maneesipolku 54
18732 Pirkkala"
"Helena Heikkinen","Aidasmäenkuja 49
54727 Kaskinen"
"Erkki Mäki","Uunisepänkuja 3
28872 Lemi"
"Kaarina Johansson","Vesalankatu 0
32575 Merijärvi"
"Ensio Hakkarainen","Bertel Jungin polku 472
27057 Kuhmo"
"Johanna Järvinen-Henriksson","Granfeltintie 185
71053 Siilinjärvi"
"Kim Martikainen","Veropellonkatu 6
96824 Paimio"
"Alina Tiihonen","Betleheminkuja 7
66314 Oripää"
"Pekka Eskelinen","Cygnaeuksenkuja 3
74431 Kärsämäki"
"Helena Salomaa","Ieskuja 8
81322 Vesanto"
"Sirkka Saarela","Fredrikintie 86
76180 Laitila"
"Sirpa Niemelä","Wecksellinkuja 028
92247 Finström"
"Antero Kauppila-Jaakkola","Uurtajankuja 4
99867 Nivala"
"Heikki Turunen-Vainio","Uudenkaupunginkatu 51
29403 Ähtäri"
"Mari Räty","Agroksenpolku 1
32605 Suonenjoki"
"Petri Pekkala","Maatullintie 55
21331 Taivalkoski"
"Antti Heinonen","Chydeniuksenkuja 891
72666 Nokia"
"Pia Laaksonen-Honkanen","Laajasalonkatu 25
22304 Säkylä"
"Tuula Mäkinen","Kimalaispolku 12
00242 Hamina"
"Markku Salmela","Immolantie 756
54580 Mäntsälä"
"Sirkka Tikkanen","Neulapadonpolku 116
76141 Kaustinen"
"Antero Mustonen","Berganbulevardi 38
08848 Vesilahti"
"Helmi Immonen","Maapadonbulevardi 2
71157 Petäjävesi"
"Olavi Honkanen","Haaksibulevardi 969
30989 Punkalaidun"
"Tapani Rytkönen","Tuulilasinpolku 3
14255 Sund"
"Pertti Kallio","Yhteiskoulunkuja 693
34960 Pudasjärvi"
"Matti Korhonen","Maneesibulevardi 25
94265 Ii"
"Jukka Rauhala","Veräjämäenbulevardi 717
92156 Iisalmi"
"Sami Kokkonen","Taimistontie 8
26830 Hyrynsalmi"
"Anneli Koskinen","Iesbulevardi 7
52573 Mustasaari"
"Sirpa Karjalainen-Pasanen","Katajaharjunpolku 136
21228 Vaasa"
"Hannele Valkama","Lemunbulevardi 79
21274 Hyrynsalmi"
"Raili Salmi-Rautiainen","Niemitie 363
32641 Hyvinkää"
"Jukka Keskinen-Mikkonen","Kukkaniityntie 3
50258 Kuortane"
"Erkki Väänänen","Otermantie 21
47085 Konnevesi"
"Johanna Räsänen","Kolvibulevardi 114
67641 Juva"
"Allan Huttunen","Veräjämäenpolku 0
17131 Oulu"
"Sari Uusitalo","Winqvistinbulevardi 4
13524 Isojoki"
"Marja Virtanen","Ahomäenbulevardi 239
27609 Hollola"
"Raija Koskinen","Jyväkuja 5
45723 Värdö"
"Sirpa Kovanen","Fastbölenbulevardi 12
17990 Ikaalinen"
"Tuula Vuorinen","Kolukuja 9
92766 Pelkosenniemi"
"Heidi Heikkinen","Veräjämäenpolku 7
24362 Tuusula"
"Sonja Kuusela","Dunckerinbulevardi 305
64345 Toholampi"
"Kalevi Kantola","Granfeltinpolku 15
73603 Lohja"
"Kalle Ruuskanen","Iltatähdenkatu 2
79563 Virolahti"
"Leo Taipale","Laurinniitynkatu 774
71285 Perho"
"Anneli Kivinen","Agricolanbulevardi 2
14666 Suomussalmi"
"Robert Nylund","Tyynylaavankuja 2
69551 Rautalampi"
"Pia Vainio","Vaarnabulevardi 587
94696 Savonlinna"
"Sisko Hänninen-Kettunen","Tuohikoivuntie 73
93174 Kyyjärvi"
"Martti Muhonen","Gustav Pauligin bulevardi 3
22654 Lumparland"
"Juhani Harju","Mannerheiminkatu 9
72651 Kuortane"
"Tellervo Malinen-Erkkilä","Adolf Lindforsin tie 200
72013 Paimio"
"Juha Hirvonen","Chydeniuksenpolku 176
85528 Vöyri"
"Raili Lepistö","Sadebulevardi 575
17832 Kittilä"
"Julius Kallio-Aro","Bertha Pauligin polku 8
95060 Teuva"
"Helmi Rintala","Runebergintie 641
44072 Petäjävesi"
"Annika Ahonen","Urheilukatu 3
23375 Pieksämäki"
"Esteri Mikkola","Runokylänkuja 31
41467 Taivassalo"
"Sisko Kivimäki","Ehrensvärdinbulevardi 82
29293 Kuopio"
"Jorma Heikkilä-Tolvanen","Freesenkuja 34
60810 Somero"
"Riikka Turpeinen","Ylänköpolku 1
06220 Viitasaari"
"Anniina Salmi","Winqvistinbulevardi 25
56240 Helsinki"
"Peter Kokkonen-Leskinen","Wallininpolku 12
49684 Pukkila"
"Elisabet Karlsson","Ylipalontie 6
55073 Savukoski"
"Pauliina Silvennoinen","Jyväpolku 57
45543 Honkajoki"
"Juhani Aho","Saanatunturinbulevardi 194
63458 Muhos"
"Elina Markkanen","Maabulevardi 7
94824 Pudasjärvi"
"Kaisa Pekkarinen-Ranta","Rapakivenkatu 8
27244 Parikkala"
"Sisko Kujala","Winqvistinkatu 859
01840 Oulainen"
"Otto Paavola","Fallpakanpolku 73
00287 Ylivieska"
"Kaija Linna","Runoilijantie 15
92243 Raisio"
"Anna Sirén","Rantavarastonbulevardi 8
31992 Kokkola"
"Johannes Hänninen","Harbonpolku 25
31382 Tampere"
"Mikko Suominen","Bysantinbulevardi 854
59042 Ikaalinen"
"Kaarina Rautiainen","Hannukselankuja 30
62315 Ylivieska"
"Marjatta Ruuskanen-Heinonen","Porkkalanpolku 37
97222 Orivesi"
"Essi Hyvärinen","Porekatu 68
91062 Nousiainen"
"Paula Hämäläinen","Kiitäjänkatu 55
27996 Iisalmi"
"Sisko Mäkinen","Lepolantie 88
12198 Utsjoki"
"Mauri Vuorela","Biologinpolku 457
74920 Eura"
"Sofia Jokela","Uunisepänkatu 0
98722 Viitasaari"
"Seija Juvonen","Haaksikuja 482
38014 Säkylä"
"Helena Kari","Gyldéninkatu 6
78056 Kokemäki"
"Henrik Mäkelä","Elimäentie 44
35709 Reisjärvi"
"Annika Karlsson","Jäkäläbulevardi 874
25524 Joutsa"
"Sakari Oikarinen","Järkäletie 3
73240 Hirvensalmi"
"Hannu Airaksinen","Rukotie 199
00945 Varkaus"
"Johanna Väisänen","Malminkartanonkatu 3
43515 Kuortane"
"Sisko Niemi","Eerik Pyhän katu 093
02751 Pukkila"
"Otto Ruotsalainen","Laajasalontie 279
93676 Masku"
"Toni Hartikainen","Dunckerinkatu 1
48924 Ylivieska"
"Virpi Salminen","Fabianintie 74
62181 Siikalatva"
"Tellervo Niemelä","Yrjö-Koskisen tie 315
07607 Utajärvi"
"Sofia Viitala","Osuuskunnankatu 3
43316 Evijärvi"
"Heidi Ranta","Fallpakanpolku 1
48445 Pyhäjoki"
"Ulla Mustonen-Ketola","Elonkuja 17
00543 Kivijärvi"
"Julia Hytönen","Kukkaniitynbulevardi 931
23225 Pyhäranta"
"Anita Pitkänen","Runeberginbulevardi 620
21659 Ähtäri"
"Sisko Räty","Gneissibulevardi 584
68806 Pomarkku"
"Jukka Oikarinen","Granfeltinpolku 701
13298 Helsinki"
"Mari Kangas","Veräjämäenbulevardi 63
64492 Ranua"
"Kalevi Määttä-Hyvönen","Tyynelänkuja 815
96114 Pielavesi"
"Maria Korpela","Capellan puistotie 6
27002 Rauma"
"Sinikka Lindgren","Fredrikinpolku 926
82093 Kitee"
"Lauri Kallio","Uunilinnunpolku 4
91102 Loppi"
"Jan Laakkonen","Yrttimaanpolku 0
49892 Hollola"
"Eino Ruotsalainen","Agronominkuja 440
20496 Keitele"
"Mauri Härkönen","Nikonkuja 964
89157 Parikkala"
"Sofia Hautamäki","Haravakuja 07
21162 Hankasalmi"
"Antero Lappalainen","Urpukuja 613
00409 Karkkila"
"Kalevi Aho","Maatie 443
17567 Nurmes"
"Susanna Ahola","Eduskuntatie 080
25629 Pedersören kunta"
"Pekka Honkanen","Uurtajankatu 563
37580 Kangasala"
"Irene Hänninen","Orasbulevardi 9
77048 Tampere"
"Annikki Tuovinen","Mannerheiminpolku 647
89868 Kuortane"
"Juhani Männistö","Rukkilantie 8
04168 Jomala"
"Roope Niemi-Jaakkola","Harakkamyllynkuja 38
11148 Outokumpu"
"Taina Miettinen","Agricolankatu 0
00223 Joutsa"
"Sofia Huhtala-Heikkilä","Haravapolku 946
19781 Geta"
"Johanna Nieminen","Jägerhornintie 8
19650 Maarianhamina"
"Mika Räisänen","Dagmarinkatu 013
06069 Orivesi"
"Venla Laine","Hankasuonbulevardi 02
00030 Eura"
"Tomi Nieminen","Iestie 097
38080 Virolahti"
"Leena Niemelä","Haaksitie 20
64394 Kaskinen"
"Tuula Karhu","Tuomarinkyläntie 387
74015 Sottunga"
"Antero Airaksinen","Fredrikintie 67
63563 Jämijärvi"
"Terttu Ahola","Malminkartanonpolku 977
28574 Uusikaupunki"
"Jarkko Koskinen","Uudenkaupunginbulevardi 496
37504 Raasepori"
"Sofia Kallio","Dunckerinbulevardi 3
22745 Perho"
"Harri Immonen","Kuhankeittäjänpolku 26
46098 Rusko"
"Marja Vainio","Gadolininbulevardi 453
52322 Kankaanpää"
"Martti Lappalainen-Sallinen","Elontie 767
44841 Nousiainen"
"Erkki Hytönen","Ehrensvärdinkuja 220
86254 Keuruu"
"Juhani Valtonen","Edelfeltinbulevardi 57
35436 Lestijärvi"
"Maria Nousiainen","Tyynylaavantie 1
70174 Pälkäne"
"Anssi Huotari-Hartikainen","Zaidantie 34
18611 Sievi"
"Sirpa Lehtinen","Waseniuksen puistotie 2
07321 Ylitornio"
"Saara Ollila","Iltaruskonkatu 9
26032 Pomarkku"
"Sofia Kauppinen","Zaidantie 37
35229 Virrat"
"Sinikka Hyvärinen","Agricolantie 38
81725 Lapinlahti"
"Olavi Huttunen","Yrjö-Koskisen tie 8
78977 Inkoo"
"Ismo Nyman","Urheilukuja 72
59466 Kökar"
"Reino Kovanen","Verkkotie 66
26681 Keminmaa"
"Ilmari Kuusisto","Agronominkatu 3
99802 Joensuu"
"Veikko Mäkinen","Taavetti Laitisen bulevardi 8
38335 Enonkoski"
"Markus Männistö","Gotlannintie 62
41247 Puumala"
"Emilia Pesonen","Berganpolku 08
86102 Hollola"
"Jyrki Pasanen","Puroniityntie 2
46195 Lapua"
"Sofia Koivisto","Ostospolku 3
67612 Loppi"
"Linnea Koskela-Lehtinen","Maatullinkuja 153
14402 Pello"
"Elisabeth Saarela","Lepolantie 971
50330 Laukaa"
"Outi Makkonen","Rapakivenbulevardi 84
48837 Alavieska"
"Niina Lehtonen","Birger Kaipiaisen katu 2
15217 Nokia"
"Paavo Haverinen","Willebrandinbulevardi 4
73958 Karkkila"
"Raimo Pulkkinen","Sapilasbulevardi 009
78142 Ypäjä"
"Elina Matikainen-Leinonen","Orisaarentie 6
89611 Utajärvi"
"Kyllikki Ketola","Cygnaeuksenkuja 5
51373 Tornio"
"Sari Seppänen","Fallintie 375
73132 Oulainen"
"Sofia Kujala","Fagottitie 7
60961 Mynämäki"
"Esteri Kaikkonen","Elisabeth Kochin tie 171
27317 Kemi"
"Susanna Rantanen","Agronomintie 043
79854 Kaustinen"
"Jenni Korhonen","Jänkäkuja 2
46077 Keminmaa"
"Sirkka Saarinen","Kilpolanbulevardi 16
19911 Alavus"
"Antero Leinonen","Hannukselantie 0
02940 Lappajärvi"
"Juhani Leppänen","Jättiläisentie 1
46513 Joroinen"
"Marjukka Mustonen","Orisaarenkatu 21
62703 Sipoo"
"Hannele Kuusela","Oravatie 462
22713 Juuka"
"Marianne Haapala","Castréninkatu 805
46259 Mynämäki"
"Sofia Kumpulainen","Maatullinkuja 750
57086 Kankaanpää"
"Tarja Pääkkönen","Haakoninlahdenpolku 1
80074 Rautalampi"
"Tapani Järvinen","Franzéninkatu 92
32654 Kruunupyy"
"Kustaa Hannula-Salminen","Katajaharjuntie 3
33640 Siikalatva"
"Aaro Ylönen","Ilmattarenpolku 54
50397 Kouvola"
"Sinikka Jokinen","Puuskapolku 3
71454 Hailuoto"
"Orvokki Lahtinen","Harakkamyllynkuja 842
40106 Pieksämäki"
"Petra Nurminen-Savolainen","Tyynelänpolku 9
33695 Koski Tl"
"Katja Jalonen-Honkanen","Yllästunturinkatu 918
98214 Sodankylä"
"Mika Jauhiainen-Vartiainen","Maasälvänkatu 4
17574 Miehikkälä"
"Sofia Luukkonen","Ahvenkoskenpolku 02
75571 Pieksämäki"
"Maria Rantanen-Lehtonen","Elimäenkuja 17
81525 Nousiainen"
"Väinö Pasanen-Saastamoinen","Rantavarastonkuja 23
97197 Kuhmoinen"
"Maria Moilanen-Mäki","Uskalikonkatu 093
75241 Ähtäri"
"Erik Hänninen","Jyvätie 7
50125 Rovaniemi"
"Paavo Myllymäki","Nordenskiöldinpolku 7
51262 Imatra"
"Riku Jokinen","Maatullinkuja 1
35623 Laitila"
"Liisa Toivonen","Urkurinkuja 516
68251 Liminka"
"Henri Heinonen-Kähkönen","Jämsäntie 889
44532 Kaustinen"
"Jarkko Rintala","Tahtibulevardi 8
01396 Orimattila"
"Sofia Manninen-Saarinen","Ostostie 0
49185 Saarijärvi"
"Einari Parviainen","Jyväbulevardi 716
64676 Pirkkala"
"Marita Nousiainen","Eerik Pyhän katu 03
99722 Mynämäki"
"Antero Lindström","Elonbulevardi 299
17678 Finström"
"Johan Hokkanen","Harbonkatu 0
06443 Saarijärvi"
"Antti Konttinen-Tiainen","Haapatie 0
16637 Lapinjärvi"
"Johanna Hakkarainen","Puusepänkatu 453
77616 Kyyjärvi"
"Niko Häkkinen","Katajaharjunpolku 2
24997 Lappeenranta"
"Oskari Latvala","Runonlaulajankatu 385
52744 Multia"
"Elina Niemi","Elontie 214
06774 Merijärvi"
"Sofia Mononen","Haapatie 505
30511 Merikarvia"
"Sisko Kettunen","Neulapadonbulevardi 8
11308 Hirvensalmi"
"Mari Hiltunen","Poikasaartenbulevardi 070
40654 Hattula"
"Irmeli Karjalainen","Salavatie 64
37736 Alavieska"
"Sirkka Kauppinen","Harbontie 0
75831 Hyrynsalmi"
"Esa Vainio-Juntunen","Vesalankuja 97
71488 Ilmajoki"
"Miro Järvinen","Nelikkokuja 6
45777 Kauniainen"
"Risto Niemi","Haakoninlahdenkuja 8
10458 Jomala"
"Pirkko Penttinen","Caloniuksentie 397
24778 Evijärvi"
"Katriina Huttunen","Porinpolku 5
81030 Sievi"
"Sofia Mäkelä","Bergantie 64
06090 Ilmajoki"
"Sinikka Lassila","Adolf Lindforsin polku 10
26216 Vieremä"
"Kari Kettunen","Lentokapteenin bulevardi 82
99210 Jämsä"
"Esko Liimatainen-Nyman","Freesenbulevardi 4
33098 Lemi"
"Tanja Laaksonen","Birger Kaipiaisen katu 23
32095 Heinola"
"Tapani Hämäläinen","Vesakkopolku 9
44833 Kuortane"
"Sofia Ranta","Neonbulevardi 509
22438 Vantaa"
"Anneli Suhonen","Pyörökivenbulevardi 71
81240 Iitti"
"Elmeri Riikonen","Castréninkuja 344
67782 Riihimäki"
"Petteri Turunen","Bertha Pauligin polku 136
78069 Nivala"
"Sofia Salminen","Lemunkuja 053
69867 Eckerö"
"Jukka Luukkonen","Aidasmäenkuja 5
69833 Jyväskylä"
"Anneli Saastamoinen","Wäinö Aaltosen kuja 40
78082 Keitele"
"Arja Huttunen","Katajaharjunbulevardi 35
68640 Ranua"
"Valtteri Laaksonen","Gneissitie 23
06582 Rusko"
"Tellervo Karhu","Vesakkobulevardi 291
68192 Karstula"
"Veli Kallio","Elimäenkuja 124
13158 Paltamo"
"Kaarina Laine-Moisio","Versobulevardi 3
05861 Haapavesi"
"Emil Tuovinen","Salavapolku 5
24468 Myrskylä"
"Marjaana Rytkönen","Porebulevardi 82
07945 Laitila"
"Sofia Salo","Gotlanninbulevardi 3
57295 Muonio"
"Juha Haapala","Maapadontie 61
50778 Lempäälä"
"Mika Hänninen","Runonlaulajanpolku 49
73015 Keitele"
"Kalervo Salminen","Disanbulevardi 65
49706 Kiuruvesi"
"Mika Rissanen-Nyman","Taimistonkuja 30
14241 Haapavesi"
"Antti Koskinen","Jyväkuja 55
00794 Kemijärvi"
"Jouko Liimatainen","Orasbulevardi 19
31448 Enontekiö"
"Niina Laukkanen","Yhteiskoulunpolku 35
53343 Pieksämäki"
"Anna-Liisa Aho","Agroksentie 879
24439 Tuusula"
"Tapio Halonen","Yrttimaanbulevardi 8
52941 Maalahti"
"Sofia Väyrynen","Järkälekatu 731
45360 Somero"
"Niina Toivanen","Tuomarinkyläntie 717
42547 Pukkila"
"Elmeri Laakso","Maneesikatu 75
25806 Veteli"
"Marja-Leena Lindholm","Harakkamyllynbulevardi 12
61172 Sysmä"
"Nina Oinonen","Bergantie 5
18601 Mänttä-Vilppula"
"Juhani Hämäläinen","Ylipalonkuja 8
75962 Hausjärvi"
"Eeva Mäntylä","Kimalaiskatu 3
21240 Keitele"
"Susanna Soininen","Jätkäsaarenpolku 098
47365 Orivesi"
"Kalevi Ranta","Yrjönpolku 80
03978 Heinola"
"Mikael Mäkelä","Ilmattarenbulevardi 48
80682 Aura"
"Susanna Heikkilä","Biologintie 94
55600 Hämeenlinna"
"Pekka Holmberg","Mannerheimintie 08
61868 Puumala"
"Viivi Ikonen","Caloniuksenbulevardi 73
16926 Kivijärvi"
"Janne Virtanen","Fastbölentie 167
17727 Kumlinge"
"Kristina Koskela","Puroniitynkatu 914
49254 Kotka"
"Lauri Lehtinen","Lautamiehenbulevardi 1
43916 Pornainen"
"Piia Komulainen","Winqvistintie 24
78409 Rovaniemi"
"Juho Heiskanen-Saarela","Uskalikonpolku 6
44777 Taipalsaari"
"Pia Lehtonen","Gotlanninbulevardi 936
62695 Hyrynsalmi"
"Väinö Järvinen","Nikonbulevardi 24
16721 Urjala"
"Susanna Järvelä-Kari","Harakkamyllynkatu 09
34696 Laihia"
"Anneli Mäkinen","Ahomäentie 588
67178 Uusikaarlepyy"
"Kaija Mattila-Nykänen","Tukkisillantie 39
78242 Sonkajärvi"
"Vilma Kanerva","Maasalonkuja 66
73478 Salla"
"Jouni Lindroos","Fredrikinpolku 317
61289 Maarianhamina"
"Riitta Vuorinen","Jäkäläbulevardi 90
81566 Mikkeli"
"Paula Karhunen","Orapihlajatie 62
12651 Lappeenranta"
"Maria Raatikainen","Sadekuja 08
55509 Föglö"
"Emilia Haavisto","Lepolanpolku 40
08521 Inkoo"
"Maria Laine","Yrjönbulevardi 7
03829 Joensuu"
"Susanna Karjalainen-Salo","Poikasaartentie 99
04421 Kouvola"
"Karoliina Viitanen","Ilkantie 765
28696 Kangasniemi"
"Ilmari Rantala-Ojanen","Kiitäjänkuja 21
05965 Lappeenranta"
"Marjut Heinonen","Agnetantie 95
87352 Jämsä"
"Katariina Pitkänen","Adolf Lindforsin katu 8
44753 Luumäki"
"Leena Oinonen-Ahola","Elonkatu 1
83607 Utsjoki"
"Marianne Helin","Kolubulevardi 043
30128 Sund"
"Sirpa Häkkinen-Räsänen","Gadolininpolku 46
00236 Lieksa"
"Juhani Kinnunen","Fabianinkuja 21
81173 Orivesi"
"Sami Koskela-Salminen","Ahdekaunokintie 937
80398 Harjavalta"
"Susanna Kettunen","Nils Westermarckin kuja 12
47955 Pälkäne"
"Juhani Konttinen-Laakso","Kolubulevardi 797
10186 Kemiönsaari"
"Katriina Hirvonen","Graniittibulevardi 729
69043 Kihniö"
"Juhana Nurminen","Maatie 983
72577 Ranua"
"Oskari Ronkainen","Taavetti Laitisen polku 2
37767 Kangasala"
"Hilkka Kyllönen","Ahomäentie 7
71559 Suomussalmi"
"Kirsti Kinnunen","Elimäenbulevardi 90
46950 Oulu"
"Hannele Aaltonen","Taavintie 14
59814 Pälkäne"
"Marjatta Rytkönen-Viitala","Laakavuorenbulevardi 585
43957 Haapajärvi"
"Annikki Niemi","Gunnel Nymanin polku 821
95186 Sulkava"
"Susanna Lindström","Puuskakuja 6
69727 Jomala"
"Marianne Välimäki","Elontie 687
09058 Kangasniemi"
