"Ada Bazydło"|"ul. Jagodowa 52
84-438 Żyrardów" 
"Kacper Daraż"|"ulica Jagiellońska 11
60-424 Giżycko"
"Tola Kremer"|"ul. Storczykowa 92
92-820 Otwock"
"Dorota Krzysiek"|"ulica Glówna 31
87-363 Tarnów"
"Krystian Maruszczyk"|"al. Maja 911
59-956 Piastów"
"pan Artur Wijata"|"ulica Jana 77/32
54-801 Białystok"
"Nela Marciniszyn"|"ul. Jana Sobieskiego 39/32
35-895 Ełk"
"Szymon Ścieszka"|"al. Podgórna 42/95
55-731 Kwidzyn"
"pani Malwina Hartman"|"pl. Powstańców Wielkopolskich 82/22
68-803 Zakopane"
"Sonia Wawrzyczek"|"ul. Kazimierza Wielkiego 81
54-661 Szczytno"
"Wojciech Dankiewicz"|"aleja Konarskiego 106
96-089 Jaworzno"
"Adam Smardz"|"aleja Jagiellońska 514
06-036 Puławy"
"Norbert Nocek"|"pl. Norwida 899
22-860 Czeladź"
"pan Olaf Rolak"|"ulica Osiedlowa 19
88-696 Skawina"
"Nataniel Hynek"|"pl. Konarskiego 97/76
27-424 Żywiec"
"pan Wojciech Młocek"|"aleja Wierzbowa 161
70-539 Kraśnik"
"Anita Ulewicz"|"ulica Grottgera 93/38
43-767 Oława"
"Janina Zdobylak"|"al. Asnyka 770
73-876 Łomża"
"pani Malwina Miros"|"aleja Gałczyńskiego 265
34-300 Łódź"
"Oskar Wika"|"ul. Floriana 81/17
76-536 Łowicz"
"Kalina Jarmuła"|"ulica Wybickiego 304
97-220 Toruń"
"Damian Cegła"|"al. Tuwima 98
49-830 Knurów"
"Tymon Ryguła"|"ulica Głowackiego 502
67-583 Sosnowiec"
"pan Tobiasz Rajczyk"|"al. Orzeszkowej 10/57
81-326 Mikołów"
"Witold Droździk"|"ul. Widok 812
08-472 Lębork"
"pani Ida Świtaj"|"pl. Baczyńskiego 045
28-151 Oleśnica"
"pani Sara Mytych"|"plac Rejtana 588
07-330 Zamość"
"Wojciech Smolorz"|"ulica Wiejska 12
21-927 Zgierz"
"pani Malwina Olszowa"|"ulica Mazowiecka 18
18-076 Łuków"
"Grzegorz Żuchowicz"|"ul. Kusocińskiego 49
12-263 Dębica"
"pan Igor Wisz"|"plac Popiełuszki 532
31-532 Kraków"
"Adrianna Kilar"|"pl. Konarskiego 676
15-499 Konin"
"Szymon Płodzień"|"ulica Słowicza 300
17-361 Chorzów"
"Kajetan Lisak"|"pl. Świerczewskiego 10/16
27-536 Tarnobrzeg"
"Karina Szelest"|"ulica Stawowa 43
79-100 Bolesławiec"
"Alex Tórz"|"plac Fredry 723
52-154 Wyszków"
"Iwo Dyda"|"ulica Dąbrowskiej 76
46-745 Kościerzyna"
"Malwina Woszczak"|"plac Powstańców Śląskich 66
74-176 Chrzanów"
"pani Malwina Tomal"|"ul. Jagodowa 61/18
10-539 Zamość"
"Marcelina Gęsiarz"|"ulica Kreta 86/86
08-396 Wałcz"
"pan Maciej Sierpień"|"ulica Korfantego 45/40
89-911 Sopot"
"Filip Żal"|"ul. Norwida 30
87-040 Stalowa Wola"
"Aleks Sawko"|"plac Sienkiewicza 56/17
42-021 Lubartów"
"Wiktor Szklarek"|"ulica Dąbrowskiej 68
20-463 Łomża"
"Kornel Kazubek"|"al. Klasztorna 204
58-810 Iława"
"Karol Such"|"pl. Kołłątaja 09/43
67-846 Jasło"
"Gustaw Majtczak"|"ul. Krótka 271
56-458 Skawina"
"Aleksander Walkusz"|"pl. Wojciecha 95/30
66-120 Jastrzębie-Zdrój"
"pani Malwina Wielgos"|"plac Traugutta 592
51-527 Jastrzębie-Zdrój"
"Iwo Jezior"|"ulica Listopada 637
06-435 Czerwionka-Leszczyny"
"pan Ryszard Bobrowicz"|"ulica Wieniawskiego 13/61
16-220 Sochaczew"
"Jakub Duc"|"ulica Kolonia 464
89-384 Krotoszyn"
"Lidia Łaszcz"|"aleja Orzeszkowej 85/39
88-944 Czechowice-Dziedzice"
"pani Sandra Zaguła"|"ulica Krasickiego 10
61-032 Nowy Dwór Mazowiecki"
"Stefan Jajko"|"plac Korfantego 76/55
91-732 Krosno"
"Anita Kondej"|"aleja Brzoskwiniowa 82
67-784 Piekary Śląskie"
"pani Sara Bartocha"|"al. Zamkowa 97/80
21-515 Żyrardów"
"Nataniel Działa"|"aleja Rybacka 56
81-842 Będzin"
"pani Marcelina Kudra"|"ul. Kopernika 905
30-855 Lublin"
"Rafał Celuch"|"al. Wiatraczna 673
85-389 Zamość"
"Eryk Ośko"|"al. Grzybowa 34
74-149 Dąbrowa Górnicza"
"pan Norbert Kozok"|"ulica Stawowa 47
40-570 Pszczyna"
"Krystyna Ludwiniak"|"pl. Jana Sobieskiego 66/16
81-088 Skawina"
"pani Urszula Szajna"|"al. Kosynierów 61/47
30-789 Kluczbork"
"Rafał Lepka"|"al. Przemysłowa 70/16
55-561 Dąbrowa Górnicza"
"pan Alan Kapuścik"|"pl. Kraszewskiego 89/88
79-113 Śrem"
"Olaf Kulon"|"plac Witosa 50
64-220 Pruszcz Gdański"
"Artur Armata"|"ulica Floriana 81/27
57-001 Bydgoszcz"
"pani Marcelina Madajczyk"|"aleja Zamkowa 97
21-232 Mikołów"
"Sara Kozdrój"|"aleja Wilcza 92
17-844 Zawiercie"
"Damian Kasznia"|"plac Reja 46/90
56-748 Mińsk Mazowiecki"
"Alex Burkiewicz"|"ul. Traugutta 008
65-652 Kłodzko"
"Arkadiusz Krzyśko"|"al. Sadowa 829
66-769 Rzeszów"
"Sonia Rudowicz"|"ulica Tęczowa 99/52
70-618 Cieszyn"
"Dawid Ośko"|"ul. Cyprysowa 14
60-048 Grodzisk Mazowiecki"
"Bianka Furmankiewicz"|"plac Lelewela 26/18
05-655 Wejherowo"
"Wojciech Seidel"|"plac Wojciecha 550
97-159 Radomsko"
"Olga Stępak"|"plac Drzymały 96
93-630 Biłgoraj"
"pani Marcelina Pacholik"|"ul. Cegielniana 935
27-629 Iława"
"pan Hubert Swatek"|"al. Szewska 95
43-606 Piła"
"Aleksander Pawliczak"|"al. Miłosza 21
44-764 Świętochłowice"
"Agnieszka Wiercigroch"|"ul. Waryńskiego 96
62-359 Żyrardów"
"Oliwier Ciećko"|"ulica Urocza 123
07-714 Rumia"
"pan Daniel Ciesiółka"|"ul. Kołłątaja 92/44
54-149 Sosnowiec"
"Arkadiusz Jezior"|"plac Wojska Polskiego 305
74-953 Żary"
"Kacper Kandziora"|"plac Listopada 36/83
85-169 Żary"
"Tomasz Szmuc"|"ul. Andersa 718
23-661 Tychy"
"Miłosz Wawrzynowicz"|"aleja Gdańska 19
11-067 Sosnowiec"
"pani Marcelina Tabisz"|"ul. Strumykowa 582
66-751 Skarżysko-Kamienna"
"pan Kornel Kupaj"|"ulica Zielona 28/27
57-361 Chorzów"
"Sonia Poczta"|"pl. Sienkiewicza 88
29-549 Tomaszów Mazowiecki"
"Julian Burzec"|"pl. Armii Krajowej 850
44-927 Skarżysko-Kamienna"
"Kamil Plich"|"ulica Jasna 730
89-213 Tychy"
"pan Marcin Lenik"|"ul. Orzeszkowej 572
42-150 Kwidzyn"
"Tola Forma"|"pl. Staszica 77
28-624 Łowicz"
"pan Jerzy Styrna"|"ulica Daszyńskiego 51
35-045 Rzeszów"
"Mateusz Pachowicz"|"plac Rejtana 460
92-296 Ząbki"
"Adam Kurcz"|"al. Sawickiej 752
17-564 Grudziądz"
"pani Marianna Chaberek"|"ulica Moniuszki 77/05
31-921 Kalisz"
"pan Bartek Smagacz"|"ulica Kochanowskiego 59/33
45-326 Ruda Śląska"
"Ignacy Kurda"|"ulica Słowackiego 947
56-243 Zamość"
"Tola Materka"|"al. Sadowa 30/92
59-224 Polkowice"
"Marek Maszczyk"|"pl. Głowackiego 82
29-639 Jawor"
"Julianna Solarczyk"|"ul. Rolnicza 23
37-304 Bydgoszcz"
"pan Aleksander Jankowicz"|"al. Brzoskwiniowa 67/31
68-136 Łuków"
"pani Olga Biesaga"|"al. Staffa 80
33-223 Sandomierz"
"Kornelia Szymańczyk"|"ulica Nadrzeczna 821
16-748 Kościerzyna"
"pani Sara Słysz"|"al. Grottgera 40
47-254 Kluczbork"
"pani Marianna Frycz"|"aleja Wojska Polskiego 009
52-562 Pabianice"
"pani Ada Bartoś"|"al. Przechodnia 75/43
61-779 Kalisz"
"Emil Omiotek"|"aleja Swierkowa 43
26-806 Grodzisk Mazowiecki"
"Rozalia Gronkiewicz"|"ul. Maczka 87
67-552 Zamość"
"Sara Borejko"|"pl. Kołłątaja 37
21-655 Kołobrzeg"
"Maks Rolek"|"ulica Chełmońskiego 193
97-657 Malbork"
"Artur Nikel"|"pl. Kusocińskiego 33/87
55-041 Biłgoraj"
"Ada Wisła"|"ulica Świerczewskiego 34
88-510 Czerwionka-Leszczyny"
"Anna Maria Anders"|"aleja Miodowa 64/71
04-242 Wyszków"
"Ewa Snoch"|"aleja Brzechwy 57
20-114 Zabrze"
"pani Marianna Koterba"|"ul. Waryńskiego 218
16-345 Piaseczno"
"Elżbieta Sadlik"|"pl. Korczaka 99/12
29-837 Tarnów"
"Kornelia Kobak"|"ulica Batalionów Chłopskich 44
31-711 Kościerzyna"
"pan Stefan Bielas"|"plac Krasickiego 47
78-418 Iława"
"Olga Tabiś"|"ul. Gajowa 32/48
98-068 Koszalin"
"Daniel Ofiara"|"al. Batalionów Chłopskich 54/66
62-344 Koszalin"
"Eliza Szwałek"|"aleja Turkusowa 90/57
97-067 Katowice"
"pan Konstanty Cyman"|"ul. Tulipanowa 05/18
21-317 Lublin"
"Daniel Niewiara"|"aleja Traugutta 98
01-786 Poznań"
"Juliusz Zacharewicz"|"ulica Skargi 48
48-339 Nowy Sącz"
"pani Marianna Masiak"|"al. Skargi 35/34
72-901 Kalisz"
"pani Sylwia Szczepaniec"|"al. Maja 27/03
91-609 Śrem"
"Tomasz Popielarczyk"|"ulica Bolesława Krzywoustego 83/33
10-181 Tczew"
"Józef Grzelec"|"ul. Waryńskiego 55
26-507 Zduńska Wola"
"Ryszard Plewnia"|"ul. Kilińskiego 59
21-466 Warszawa"
"pani Justyna Pawełko"|"aleja Sowia 420
98-902 Mielec"
"Stanisław Iwanow"|"pl. Kołłątaja 66
95-305 Czeladź"
"pani Kamila Martynowicz"|"ul. Wyszyńskiego 116
32-422 Kościerzyna"
"Aleksander Jakubaszek"|"ul. Składowa 152
66-596 Zambrów"
"Marek Ciuruś"|"ulica Wyzwolenia 11/66
48-733 Siemianowice Śląskie"
"pani Marianna Nieborak"|"ulica Mostowa 93
26-266 Ostrów Mazowiecka"
"Nela Juraszczyk"|"ulica Ściegiennego 530
81-394 Będzin"
"Melania Czerkies"|"plac Słowicza 54/46
88-957 Głogów"
"Marcel Nikołajuk"|"plac Krasickiego 71/81
74-325 Dębica"
"pan Hubert Orpel"|"pl. Hallera 59/22
14-344 Grodzisk Mazowiecki"
"pani Lidia Zaniewicz"|"pl. Dąbrowskiej 61/15
07-356 Zgierz"
"Albert Cal"|"plac Rejtana 169
45-036 Stalowa Wola"
"Oskar Kazimierczuk"|"pl. Tysiąclecia 49/29
97-377 Goleniów"
"Dawid Bociek"|"al. Torowa 585
48-339 Wieluń"
"pani Krystyna Troć"|"ul. Srebrna 05
83-459 Lubin"
"pani Marianna Pracz"|"plac Czarnieckiego 01
83-400 Koło"
"Agnieszka Stosio"|"pl. Rejtana 413
10-209 Ostrów Mazowiecka"
"pan Franciszek Chochół"|"pl. Asnyka 50
46-140 Starachowice"
"pani Eliza Maciuk"|"ul. Reja 086
35-875 Łódź"
"Alan Klebba"|"plac Jana 651
71-322 Skierniewice"
"Sebastian Humeniuk"|"plac Kopernika 31
59-197 Łowicz"
"Oliwier Apanowicz"|"plac Witosa 73
58-479 Świdnica"
"Dariusz Pasiak"|"plac Jana Pawła II 49
73-889 Chojnice"
"Błażej Mordal"|"plac Piłsudskiego 346
56-381 Brodnica"
"pan Juliusz Uroda"|"aleja Topolowa 647
72-852 Toruń"
"pani Marianna Łabuś"|"ulica Floriana 581
62-488 Piła"
"Dominik Żal"|"ulica Dąbrowskiego 566
64-211 Jarosław"
"Sonia Jagieło"|"ul. Ściegiennego 604
35-212 Szczecin"
"Kacper Wita"|"ul. Wiślana 359
42-822 Września"
"pani Eliza Ludwiniak"|"pl. Narutowicza 627
36-535 Turek"
"Nicole Kopczyk"|"aleja Władysława Łokietka 83/22
71-717 Żory"
"pan Sebastian Grygo"|"ulica Floriana 77
55-390 Konin"
"Tymon Kuryłowicz"|"pl. Kilińskiego 41
74-618 Olsztyn"
"Olga Bernard"|"aleja Wąska 239
38-499 Szczecin"
"pani Kalina Stój"|"ulica Solidarności 74/76
80-398 Lublin"
"pani Marika Kasper"|"plac Kraszewskiego 47
10-666 Bielsko-Biała"
"pan Maksymilian Świgoń"|"ulica Kosynierów 88
40-203 Kutno"
"Cezary Jagiełka"|"al. Brzoskwiniowa 688
85-694 Przemyśl"
"Blanka Woźniczko"|"plac Partyzantów 071
93-039 Bartoszyce"
"Marcin Łuc"|"aleja Tuwima 85/18
17-727 Świdnica"
"pani Melania Greszta"|"al. Poniatowskiego 863
87-847 Gorlice"
"Marcin Cudzich"|"ul. Traugutta 183
36-927 Luboń"
"Inga Smela"|"ulica Ciasna 90
96-835 Elbląg"
"Igor Leśko"|"aleja Piekarska 47
68-278 Wyszków"
"Mieszko Strzępek"|"ul. Rejtana 89
60-401 Sochaczew"
"pani Marika Więcławek"|"ulica Wiązowa 06/30
59-866 Knurów"
"Oskar Byzdra"|"ulica Sosnowa 32/33
47-684 Wrocław"
"pan Mieszko Woronko"|"al. Szarych Szeregów 87/01
53-657 Wałcz"
"pani Sonia Szymała"|"pl. Kossaka 03/45
18-320 Wrocław"
"Aurelia Groth"|"ulica Browarna 24
28-467 Jelenia Góra"
"pani Janina Subocz"|"plac Baczyńskiego 35/40
29-399 Augustów"
"pan Dominik Złotnik"|"aleja Brzoskwiniowa 015
11-804 Zakopane"
"Cezary Sądej"|"plac Plater 62
87-099 Czeladź"
"Witold Kobos"|"ul. Jałowcowa 66/91
16-605 Wejherowo"
"Karina Ziemkiewicz"|"pl. Wieniawskiego 17/72
47-024 Tarnowskie Góry"
"pani Melania Krochmal"|"plac Wieniawskiego 59/31
68-910 Gliwice"
"Apolonia Myrcha"|"aleja Makowa 83
40-115 Ostrów Wielkopolski"
"Kacper Warchał"|"ul. Krakowska 10/25
33-998 Wągrowiec"
"Filip Otremba"|"ulica Prusa 75/26
84-705 Wejherowo"
"pani Kalina Herda"|"aleja Leśna 49/88
45-384 Lubin"
"pani Klara Gąsienica"|"al. Jadwigi 39/50
43-730 Wyszków"
"Anna Maria Sznura"|"aleja Zwycięstwa 11/94
59-779 Grudziądz"
"pan Nataniel Jeżyna"|"ulica Chopina 66/68
56-285 Bełchatów"
"Dawid Dziadowicz"|"ul. Cedrowa 41
67-829 Łuków"
"Juliusz Hadam"|"pl. Chełmońskiego 48
01-922 Toruń"
"pani Melania Mostek"|"aleja Kusocińskiego 858
52-815 Piekary Śląskie"
"Dawid Sadoch"|"al. Starowiejska 49
35-969 Czeladź"
"Jan Kajdas"|"aleja Opolska 12
02-560 Brodnica"
"Ryszard Kabala"|"ulica Cedrowa 241
97-611 Gniezno"
"Karol Moskalik"|"al. Cegielniana 71/85
61-779 Kluczbork"
"Sylwia Fronczek"|"plac Powstańców 23/22
05-984 Toruń"
"Nicole Klepka"|"pl. Solidarności 81
24-887 Nowy Sącz"
"Janina Mały"|"aleja Żwirowa 980
68-648 Iława"
"Józef Pyś"|"ulica Borówkowa 024
03-139 Świebodzice"
"Ksawery Holc"|"aleja Szczęśliwa 85/79
51-036 Radomsko"
"pani Melania Osada"|"plac Fredry 62/46
39-088 Iława"
"pan Tobiasz Penkala"|"plac Słowicza 39/13
40-187 Czeladź"
"Alan Dziarmaga"|"aleja Narutowicza 83/93
97-560 Łowicz"
"Przemysław Grzejszczak"|"aleja Pocztowa 57
01-911 Ostrowiec Świętokrzyski"
"pan Gabriel Majorczyk"|"al. Jeziorna 48/38
02-302 Nowy Sącz"
"Rozalia Seidel"|"al. Prosta 51
57-343 Wołomin"
"Krystian Stasica"|"al. Witosa 25/71
79-759 Ostrów Mazowiecka"
"Malwina Wyrostek"|"ul. Nowowiejska 49
85-980 Świdnik"
"Klara Rutowicz"|"pl. Traugutta 78/47
29-840 Starogard Gdański"
"Gustaw Ludwisiak"|"al. Konwaliowa 79/51
20-337 Rzeszów"
"pani Monika Buśko"|"aleja Strażacka 53/05
37-708 Oleśnica"
"Mieszko Myrcik"|"aleja Pułaskiego 96/85
24-129 Głogów"
"Hubert Apostel"|"ul. Konwaliowa 83
16-813 Śrem"
"pani Tola Terka"|"plac Kasprowicza 726
37-593 Jaworzno"
"pani Justyna Welenc"|"pl. Rejtana 72
49-922 Bielsk Podlaski"
"Andrzej Dziurla"|"al. Przechodnia 79
95-087 Kędzierzyn-Koźle"
"Leonard Wygoda"|"ul. Srebrna 19
94-708 Łomża"
"Stefan Gumienna"|"ul. Skargi 38
16-141 Goleniów"
"pani Lidia Dacko"|"plac Andersa 12/01
80-639 Chrzanów"
"Wiktor Miozga"|"ul. Czarnieckiego 97/20
87-911 Ostrów Wielkopolski"
"pani Monika Dziełak"|"al. Lawendowa 13
71-548 Piaseczno"
"Dagmara Amanowicz"|"aleja Wąska 54/91
31-127 Bydgoszcz"
"Alex Kozień"|"ulica Podgórna 69
25-853 Koło"
"Marek Loba"|"ulica Harcerska 19
36-343 Łuków"
"pani Gaja Domian"|"ulica Pomorska 54/69
60-649 Zawiercie"
"pani Elżbieta Furmankiewicz"|"aleja Kilińskiego 687
15-554 Skierniewice"
"Melania Wojtasiewicz"|"pl. Kruczkowskiego 26
97-377 Poznań"
"pan Wojciech Dobroń"|"aleja Maczka 37
30-176 Żagań"
"pani Nicole Klyszcz"|"ulica Sienkiewicza 44
62-099 Bielsk Podlaski"
"Piotr Koczara"|"ul. Miodowa 98
13-565 Rzeszów"
"pani Monika Juras"|"pl. Prusa 22
92-525 Racibórz"
"Dariusz Choina"|"ul. Młynarska 240
29-044 Gliwice"
"Kamil Kott"|"ul. Malczewskiego 710
54-192 Puławy"
"Maksymilian Panasewicz"|"pl. Prusa 764
96-941 Suwałki"
"Sylwia Minkina"|"al. Lotnicza 16/33
49-012 Zduńska Wola"
"Julianna Golenia"|"aleja Jana Pawła II 81/56
14-641 Świętochłowice"
"Fabian Niemczuk"|"pl. Ściegiennego 149
41-050 Kętrzyn"
"Kornel Smoter"|"aleja Nadbrzeżna 680
27-920 Będzin"
"Karina Kłysz"|"plac Wybickiego 36/28
70-471 Lubin"
"Jędrzej Jarczyk"|"ul. Brzechwy 143
68-406 Gorzów Wielkopolski"
"pani Monika Kalista"|"ul. Wyspiańskiego 79
76-837 Sochaczew"
"Tomasz Orszulik"|"plac Powstańców Wielkopolskich 75
21-019 Świnoujście"
"Ewelina Kubisz"|"pl. Wojciecha 03
85-748 Skierniewice"
"Kaja Majsterek"|"plac Kołłątaja 651
50-344 Chorzów"
"Robert Kukier"|"aleja Słowicza 764
42-154 Słupsk"
"Blanka Fal"|"aleja Orzeszkowej 38
91-725 Krosno"
"Olaf Nitek"|"aleja Maja 97
48-705 Rzeszów"
"Juliusz Grzejszczak"|"al. Fredry 60
01-468 Sopot"
"Nela Rzeźniczak"|"plac Hallera 249
78-956 Wodzisław Śląski"
"Maks Szarzec"|"plac Kossaka 19
86-603 Bolesławiec"
"pani Monika Kornek"|"aleja Lawendowa 347
82-838 Jastrzębie-Zdrój"
"Róża Zadworny"|"pl. Plater 06/96
72-576 Radom"
"pani Kalina Stefankiewicz"|"ul. Leśna 525
51-084 Siemianowice Śląskie"
"Róża Hallmann"|"plac Malczewskiego 90/93
43-542 Bełchatów"
"pan Łukasz Gregorek"|"pl. Konopnickiej 76
52-823 Swarzędz"
"pani Karina Dorynek"|"al. Floriana 474
39-468 Sopot"
"Marianna Bluszcz"|"ulica Wiosenna 00/10
35-864 Koło"
"pani Nela Ciak"|"pl. Kosynierów 24
02-031 Wągrowiec"
"Gaja Madera"|"al. Kosynierów 44
80-426 Kościan"
"Lidia Plizga"|"plac Kossaka 88/84
03-836 Racibórz"
"pani Monika Mizia"|"ulica Kolorowa 49/87
80-424 Opole"
"Sara Pajdak"|"al. Kościuszki 393
87-609 Myszków"
"Angelika Szwiec"|"plac Maja 82/90
55-697 Będzin"
"pan Łukasz Niemira"|"aleja Wyszyńskiego 17/70
98-061 Tarnobrzeg"
"pan Gustaw Wawrzyczek"|"ulica Dworcowa 42
73-894 Pruszków"
"pani Marianna Szykuła"|"ul. Floriana 45/26
36-468 Giżycko"
"Maurycy Koleśnik"|"pl. Słowicza 769
70-604 Warszawa"
"Oskar Mirga"|"al. Żytnia 36
32-781 Warszawa"
"pani Kamila Panasewicz"|"pl. Wojska Polskiego 565
23-246 Wołomin"
"Oskar Sadłocha"|"plac Batalionów Chłopskich 86/30
48-466 Mińsk Mazowiecki"
"pani Monika Palonek"|"aleja Słowackiego 631
21-161 Gniezno"
"pan Igor Gaudyn"|"ul. Korczaka 514
97-733 Oleśnica"
"Michał Rychert"|"al. Strzelecka 30/36
24-572 Zielona Góra"
"pani Janina Gwizdek"|"aleja Witosa 83/48
51-694 Jaworzno"
"Michał Korbut"|"ul. Bolesława Chrobrego 74
91-240 Szczecinek"
"Tadeusz Wyroślak"|"pl. Maja 518
66-201 Świnoujście"
"Ernest Budych"|"ul. Niepodległości 415
04-786 Wodzisław Śląski"
"Anita Makles"|"plac Wyspiańskiego 39
06-417 Sochaczew"
"pani Adrianna Lula"|"pl. Kossaka 086
08-884 Rybnik"
"Mateusz Kośka"|"al. Asnyka 88
76-063 Tomaszów Mazowiecki"
"pani Monika Radzewicz"|"ul. Konarskiego 42
88-944 Lubin"
"Blanka Gierat"|"plac Sawickiej 12/84
21-073 Ostrołęka"
"Witold Plaskota"|"aleja Rumiankowa 81
31-025 Ełk"
"Natasza Teter"|"ul. Gałczyńskiego 21/18
35-800 Nowa Ruda"
"pani Janina Drobek"|"ulica Andersa 93/92
64-397 Opole"
"Jędrzej Kościelak"|"aleja Staszica 31
86-354 Giżycko"
"Adrianna Filiks"|"ul. Kraszewskiego 37/25
95-574 Płock"
"pani Aniela Bobel"|"aleja Konstytucji 3 Maja 28/82
30-357 Nysa"
"pani Elżbieta Wziątek"|"ul. Makuszyńskiego 963
35-088 Kłodzko"
"Anita Kuciel"|"plac Żwirki i Wigury 381
51-853 Marki"
"pani Monika Spólnik"|"aleja Floriana 26
58-327 Kraków"
"Maks Słoka"|"ul. Źródlana 51
80-062 Łaziska Górne"
"Emil Andrearczyk"|"aleja Gałczyńskiego 95
95-418 Swarzędz"
"Olaf Wojnicz"|"aleja Waryńskiego 41
15-195 Gorzów Wielkopolski"
"Borys Sado"|"aleja Orzeszkowej 447
13-090 Łódź"
"Natasza Bortkiewicz"|"ulica Mała 427
57-426 Radom"
"Angelika Samulak"|"ul. Stefana Batorego 96
51-893 Tarnobrzeg"
"pan Andrzej Wosiek"|"plac Kołłątaja 917
01-853 Radomsko"
"pani Adrianna Osial"|"pl. Krasińskiego 06/45
65-404 Rumia"
"Klara Kalista"|"ulica Moniuszki 38
39-026 Malbork"
"pani Monika Szałas"|"ul. Solidarności 144
01-932 Kraków"
"pan Kacper Bejger"|"ul. Daszyńskiego 70/89
78-692 Rumia"
"Konrad Jamroz"|"aleja Zakole 19/87
92-914 Gdynia"
"Klara Macioł"|"pl. Chopina 37
96-188 Dębica"
"pani Urszula Matejczyk"|"aleja Sarnia 28
80-396 Łódź"
"pan Natan Leszcz"|"pl. Listopada 52
33-332 Dębica"
"Elżbieta Węgrzynowicz"|"aleja Ludowa 829
77-763 Piotrków Trybunalski"
"Anita Piekart"|"aleja Stefana Batorego 01/11
11-277 Stargard Szczeciński"
"Kornelia Bieszke"|"pl. Kasprowicza 24/29
18-982 Głogów"
"Gabriel Dziuda"|"al. Kosynierów 99/90
49-862 Jarosław"
"pani Natasza Leśny"|"plac Waryńskiego 29
68-127 Lubartów"
"Mariusz Becker"|"al. Wyszyńskiego 08
68-826 Tarnobrzeg"
"pan Krzysztof Sady"|"aleja Władysława Jagiełły 96/04
88-144 Świnoujście"
"Karol Wujek"|"ul. Konarskiego 58/87
28-651 Polkowice"
"Artur Koczy"|"plac Grottgera 50
84-147 Reda"
"pan Marek Radke"|"ul. Mickiewicza 46/84
45-692 Dąbrowa Górnicza"
"pan Eryk Soroko"|"ul. Jałowcowa 899
57-966 Łaziska Górne"
"Alan Dudziec"|"pl. Konopnickiej 85/38
54-092 Kwidzyn"
"Liwia Kruś"|"al. Powstańców Śląskich 133
90-163 Jastrzębie-Zdrój"
"Mikołaj Bartkowicz"|"pl. Traugutta 17
35-627 Zawiercie"
"pani Natasza Mikołajewicz"|"ulica Diamentowa 07/12
48-798 Nowy Dwór Mazowiecki"
"Leonard Opyrchał"|"aleja Sikorskiego 86/16
94-100 Koszalin"
"Daniel Litewka"|"aleja Magnoliowa 693
24-984 Lębork"
"Marianna Nazar"|"al. Wiejska 87
23-288 Marki"
"Marika Tyniec"|"plac Baczyńskiego 20
78-346 Będzin"
"pan Mateusz Kielczyk"|"al. Lazurowa 084
62-479 Polkowice"
"Błażej Samol"|"ul. Wojciecha 82
73-407 Police"
"Tola Senger"|"plac Głowackiego 76
77-432 Knurów"
"Arkadiusz Pyć"|"plac Wróblewskiego 651
65-850 Nysa"
"pani Kalina Staniaszek"|"ulica Toruńska 245
82-763 Kraśnik"
"pani Natasza Posmyk"|"al. Jałowcowa 069
41-337 Głogów"
"Anastazja Kuczak"|"ulica Poziomkowa 942
18-142 Włocławek"
"Cezary Tlałka"|"ulica Miłosza 31
92-787 Krosno"
"Bruno Margas"|"al. Tęczowa 08
39-030 Tarnobrzeg"
"Kaja Oleksa"|"ulica Lipca 75/15
09-907 Jasło"
"Eryk Pawlaczek"|"plac Władysława Łokietka 15/29
46-548 Iława"
"pani Krystyna Krüger"|"al. Baczyńskiego 90/15
55-642 Knurów"
"Kalina Frelek"|"aleja Krzywa 84/77
68-167 Nysa"
"Jacek Zieniewicz"|"al. Głogowa 73/55
50-157 Żyrardów"
"pani Roksana Kobza"|"aleja Norwida 60
31-263 Gdynia"
"pani Natasza Sura"|"pl. Staffa 985
97-461 Przemyśl"
"Miłosz Patora"|"aleja Głogowa 89/79
65-961 Legnica"
"Adrian Białczyk"|"ul. Szczęśliwa 93
14-012 Chrzanów"
"pan Krzysztof Kolarczyk"|"pl. Sucharskiego 16
35-689 Ełk"
"Tadeusz Kałwak"|"plac Mieszka I 79/27
29-673 Zamość"
"Piotr Potęga"|"al. Sokola 89/43
86-787 Kielce"
"Kamil Markiel"|"ul. Jodłowa 91
89-353 Stargard Szczeciński"
"Antoni Owsiak"|"aleja Swierkowa 67
58-722 Czechowice-Dziedzice"
"Konstanty Humeniuk"|"ulica Jabłoniowa 291
65-478 Nowy Targ"
"Artur Grupa"|"plac Świerczewskiego 75/89
29-338 Będzin"
"pani Nela Barczuk"|"plac Orzeszkowej 85
38-034 Olkusz"
"Marika Krzysiek"|"aleja Orkana 50
94-292 Reda"
"pani Lidia Patora"|"ul. Listopada 03
40-256 Koło"
"Witold Gruchot"|"al. Okrężna 22
87-666 Sochaczew"
"pani Agnieszka Krzempek"|"al. Jesionowa 59
11-695 Radom"
"pan Maks Żołądź"|"al. Wiosenna 72
21-998 Kwidzyn"
"Borys Araszkiewicz"|"aleja Jałowcowa 159
03-231 Pszczyna"
"Dominik Fabiańczyk"|"pl. Władysława Jagiełły 68/99
31-452 Bełchatów"
"Dagmara Pindor"|"pl. Listopada 904
30-156 Ostrowiec Świętokrzyski"
"Monika Jeka"|"ul. Matejki 042
73-194 Białogard"
