"Ada Balcewicz","ul. Miłosza 613
53-927 Chojnice" 
"Róża Denkiewicz","ul. Prusa 712
57-705 Nowy Sącz"
"Michał Chachuła","al. Skargi 00/00
80-923 Nowa Sól"
"pan Olgierd Cichowlas","ulica Kraszewskiego 08
34-796 Radomsko"
"Oliwier Pawliczek","ul. Władysława Jagiełły 168
83-553 Zamość"
"Nataniel Preś","al. Orzeszkowej 44/56
71-031 Bielawa"
"Borys Borczyk","plac Poniatowskiego 623
47-031 Łuków"
"Konstanty Matela","ul. Skłodowskiej-Curie 77/33
68-061 Żyrardów"
"Tobiasz Odrzywołek","al. Młynarska 21/02
46-685 Ząbki"
"Jacek Witka","pl. Żwirki i Wigury 41/08
62-867 Lubartów"
"Sonia Płodzień","al. Okrężna 36
07-036 Chełm"
"pan Jakub Dziełak","aleja Rolnicza 36/21
74-360 Grodzisk Mazowiecki"
"Jędrzej Lisik","ul. Piaskowa 354
03-717 Kętrzyn"
"pan Olgierd Lesiewicz","plac Wojciecha 47
65-591 Konin"
"Nikodem Kut","ul. Floriana 727
19-885 Pabianice"
"Natan Laszuk","ul. Kościuszki 59/90
28-248 Lubartów"
"Paweł Turlej","ul. Chełmońskiego 74
76-649 Warszawa"
"Marcel Lesisz","aleja Kusocińskiego 53
04-028 Stargard Szczeciński"
"Apolonia Łaszczyk","al. Moniuszki 63
51-167 Malbork"
"Marcelina Kasica","al. Kraszewskiego 02/76
47-765 Bełchatów"
"Adam Koloch","plac Jana III Sobieskiego 511
71-620 Wyszków"
"Jędrzej Kurzyna","aleja Konwaliowa 542
79-257 Nowa Sól"
"Konstanty Suchoń","aleja Żwirowa 469
15-432 Gorzów Wielkopolski"
"pan Olgierd Musiolik","al. Widok 47/15
97-215 Kwidzyn"
"pan Dominik Lorenz","ul. Miła 10
67-106 Konin"
"pani Karina Jancewicz","pl. Wybickiego 61
67-528 Skawina"
"Sebastian Malcharek","aleja Krasickiego 89
31-410 Zamość"
"Kacper Koziarz","al. Żabia 91/01
43-847 Przemyśl"
"Borys Borzych","plac Maczka 995
59-400 Konin"
"Rozalia Drobny","plac Moniuszki 148
12-915 Kędzierzyn-Koźle"
"Adrian Ładniak","ul. Łabędzia 10/62
35-696 Tarnobrzeg"
"Cezary Zimniak","aleja Źródlana 40/82
02-011 Kościan"
"Aniela Bobrowicz","ulica Kossaka 356
26-966 Zambrów"
"pan Oskar Naglik","aleja Długosza 05/66
84-707 Zabrze"
"Malwina Gajowiak","al. Gałczyńskiego 80
31-280 Białogard"
"Eliza Czerniakiewicz","pl. Mickiewicza 76
39-084 Kalisz"
"Borys Kuzia","al. Miłosza 704
93-293 Chełm"
"Natan Zysk","plac Stefana Batorego 152
49-651 Świecie"
"Patryk Kuban","plac Powstańców Śląskich 11
57-956 Kędzierzyn-Koźle"
"pan Ernest Gaudyn","ul. Sienkiewicza 62/21
27-919 Tarnowskie Góry"
"Iwo Górnisiewicz","ul. Wojciecha 63
90-183 Świdnik"
"Anita Lula","pl. Rejtana 29/57
25-997 Bochnia"
"Łukasz Frukacz","plac Skłodowskiej-Curie 36
76-261 Katowice"
"pan Patryk Bancerz","plac Sawickiej 15
93-429 Marki"
"Melania Gryciuk","ul. Miodowa 56/52
35-313 Ząbki"
"Bruno Michniak","ul. Wyszyńskiego 361
42-697 Dąbrowa Górnicza"
"Kalina Łuczyk","ulica Kasprowicza 41
50-163 Racibórz"
"Stanisław Kołtuniak","ulica Makuszyńskiego 60
44-248 Toruń"
"Dawid Feliksiak","aleja Rumiankowa 37
46-841 Nowy Dwór Mazowiecki"
"Ewelina Kręcisz","plac Prusa 032
04-131 Kołobrzeg"
"Tadeusz Prażuch","aleja Moniuszki 93
15-173 Jaworzno"
"Marcin Łuszczyk","plac Staszica 159
75-157 Kłodzko"
"Hubert Mitera","pl. Kraszewskiego 547
88-668 Zielona Góra"
"pan Patryk Cetera","aleja Jeżynowa 322
12-861 Piastów"
"Krystian Bondaruk","ulica Mieszka I 21/87
85-671 Bielsk Podlaski"
"pan Hubert Bejger","pl. Kochanowskiego 46
60-317 Zambrów"
"pani Lidia Koterba","ul. Kruczkowskiego 24/97
81-261 Świnoujście"
"Rafał Heba","pl. Miłosza 124
98-972 Skarżysko-Kamienna"
"pan Patryk Chmara","pl. Kusocińskiego 33/82
83-746 Wieluń"
"Borys Sporysz","pl. Batalionów Chłopskich 426
93-496 Jarosław"
"Dagmara Słoboda","ul. Górska 95
27-549 Mielec"
"Kazimierz Wojciech","pl. Głowackiego 88
30-004 Świdnik"
"pani Janina Rząd","plac Kilińskiego 92/85
86-818 Sosnowiec"
"pan Patryk Cięciwa","al. Słowicza 16/13
08-421 Zgierz"
"Kalina Haraburda","aleja Tartaczna 26/62
45-982 Wieluń"
"pan Cezary Kozdrój","ul. Nowowiejska 658
63-073 Inowrocław"
"Jan Giec","aleja Jana 549
65-898 Inowrocław"
"Mateusz Penkala","plac Kasprowicza 77/39
04-491 Kwidzyn"
"Ignacy Natanek","pl. Lelewela 11/07
41-370 Zgorzelec"
"Elżbieta Kunka","plac Popiełuszki 48/03
21-255 Turek"
"Natan Jezior","al. Porzeczkowa 818
92-123 Zabrze"
"Wojciech Krzan","ulica Północna 825
02-337 Oława"
"Anna Maria Wajer","ul. Mazurska 36/39
51-167 Świdnik"
"pan Patryk Roczniak","aleja Chabrowa 00/28
93-046 Świebodzice"
"Dorota Miszkurka","plac Fredry 91
45-286 Cieszyn"
"pani Nicole Szymonik","al. Makuszyńskiego 868
41-285 Jaworzno"
"Stanisław Dorna","al. Orkana 57
88-222 Koszalin"
"Alex Herbut","ul. Zbożowa 55
49-777 Oleśnica"
"Michał Zawodnik","aleja Kolonia 61/00
40-959 Kościerzyna"
"pan Kazimierz Żołądź","aleja Władysława Jagiełły 737
04-442 Szczecinek"
"Róża Bienia","al. Orkana 03/16
28-175 Kraśnik"
"pani Ewelina Tatarek","ul. Szarych Szeregów 77/81
46-035 Słupsk"
"Róża Kolka","al. Zielna 304
74-085 Czeladź"
"pan Paweł Hanke","ul. Harcerska 386
11-897 Łaziska Górne"
"Miłosz Jachimczyk","ulica Brzechwy 684
42-281 Biała Podlaska"
"Jerzy Gromala","al. Mickiewicza 052
66-960 Oleśnica"
"pani Rozalia Polewka","al. Długa 13/26
69-539 Bielsk Podlaski"
"Michał Buś","plac Floriana 511
10-769 Koszalin"
"Natasza Kocurek","ulica Krzywa 53
76-563 Jarosław"
"Sylwia Wiatrak","plac Tuwima 51
32-175 Puławy"
"Damian Dela","al. Ściegiennego 606
62-333 Poznań"
"pani Krystyna Walkusz","plac Drzymały 26
38-554 Świebodzice"
"Kaja Gosek","al. Pocztowa 54
71-182 Zielona Góra"
"pan Paweł Katana","aleja Żwirki i Wigury 135
64-332 Szczecinek"
"pan Stefan Lukas","al. Świerczewskiego 92/49
45-709 Luboń"
"Hubert Fijak","plac Władysława Łokietka 36
72-689 Mysłowice"
"pani Ida Monkiewicz","plac Skargi 620
74-194 Ciechanów"
"Julianna Klęk","aleja Osiedlowa 266
53-500 Radomsko"
"Konstanty Szynkiewicz","ul. Handlowa 191
65-570 Zamość"
"Olgierd Rajtar","plac Powstańców Śląskich 257
43-015 Bytom"
"Sara Jaracz","pl. Batalionów Chłopskich 121
03-227 Lubin"
"pani Blanka Amanowicz","plac Kołłątaja 839
53-372 Kraśnik"
"Jędrzej Materek","ul. Bursztynowa 332
04-732 Suwałki"
"pan Piotr Fit","aleja Morelowa 320
42-807 Radom"
"Marcin Połetek","ulica Nowa 01
61-525 Piekary Śląskie"
"Marcelina Żybura","aleja Kruczkowskiego 92/08
72-709 Kościerzyna"
"Olgierd Hamera","ulica Jodłowa 89
84-832 Częstochowa"
"Lidia Jałowiec","al. Kościuszki 88
17-142 Kielce"
"Leonard Cibor","al. Reja 01/27
64-338 Września"
"Dominik Prokopiak","pl. Krasickiego 14
48-585 Bielsk Podlaski"
"Róża Glanc","al. Niecała 84
53-025 Krosno"
"Tymon Mueller","pl. Maja 292
25-406 Białystok"
"Daniel Gill","aleja Borowa 751
73-810 Starogard Gdański"
"pan Piotr Woszczak","pl. Kasprowicza 33
77-085 Kędzierzyn-Koźle"
"Krzysztof Korpal","al. Lazurowa 21
24-910 Ruda Śląska"
"Bianka Kaczan","aleja Ludowa 15
70-350 Katowice"
"Konrad Nojek","al. Żwirki i Wigury 092
34-195 Stalowa Wola"
"Mieszko Maron","ulica Jaskółcza 90
08-910 Bytom"
"Gabriel Kusik","plac Jana III Sobieskiego 593
49-043 Żary"
"Aurelia Hrynkiewicz","pl. Kościuszki 595
03-159 Białogard"
"pani Klara Tasarz","ul. Rejtana 105
66-969 Nysa"
"pani Aurelia Botor","aleja Jaskółcza 49/13
75-435 Żyrardów"
"Kacper Franc","ul. Paderewskiego 60/69
44-665 Piotrków Trybunalski"
"pan Przemysław Pych","ulica Złota 994
13-078 Katowice"
"pan Nataniel Łapaj","ulica Żytnia 447
66-740 Giżycko"
"Natasza Bernatek","al. Narcyzowa 96
42-865 Siedlce"
"Wojciech Dzienis","al. Rejtana 04/44
21-395 Ełk"
"Gustaw Fronczyk","ul. Piaskowa 400
71-309 Śrem"
"Ernest Organiściak","ul. Ściegiennego 35/73
84-457 Zgorzelec"
"Karol Lula","al. Łabędzia 71
48-508 Świdnik"
"pani Aurelia Gendera","al. Skłodowskiej-Curie 76
09-322 Opole"
"Arkadiusz Kazimierczuk","ul. Władysława Jagiełły 58/58
63-578 Kołobrzeg"
"Stanisław Gemza","ul. Orzechowa 42
96-303 Zambrów"
"pan Radosław Fulara","aleja Wiązowa 90/04
52-577 Reda"
"Tobiasz Nytko","ulica Maja 13
96-144 Siedlce"
"Krzysztof Seta","ul. Urocza 497
89-116 Koło"
"Oskar Kasperczak","ulica Witosa 97/57
83-486 Dzierżoniów"
"Jędrzej Chomiak","plac Hallera 931
75-404 Kalisz"
"Paweł Zubel","al. Wierzbowa 25/92
95-698 Kędzierzyn-Koźle"
"pan Wojciech Madura","pl. Andersa 811
97-164 Bydgoszcz"
"Wiktor Nawrotek","ulica Szafirowa 05/88
53-005 Lubin"
"Ewelina Szmagaj","aleja Koralowa 144
44-806 Tczew"
"pani Liwia Bełz","pl. Kusocińskiego 67/04
27-231 Bielawa"
"pan Rafał Kolonko","aleja Floriana 475
40-339 Zawiercie"
"pani Sonia Szatanik","pl. Niepodległości 15
79-078 Lubliniec"
"Paweł Sarota","ul. Widok 50/88
17-496 Czechowice-Dziedzice"
"Dawid Juras","ul. Jesienna 24
99-423 Sosnowiec"
"Borys Palus","al. Chełmońskiego 28
88-787 Przemyśl"
"Bruno Działa","al. Żwirki i Wigury 65/56
55-473 Nowa Ruda"
"pan Stefan Folga","ul. Sadowa 058
24-192 Szczecinek"
"pan Gabriel Wandzel","ulica Strzelecka 51/13
29-932 Zawiercie"
"Maurycy Bender","pl. Traugutta 440
62-188 Dąbrowa Górnicza"
"Urszula Szlęk","al. Fabryczna 45/07
24-611 Czerwionka-Leszczyny"
"pan Robert Klama","pl. Stycznia 919
81-359 Turek"
"Apolonia Puto","ulica Sienkiewicza 75/81
75-127 Wołomin"
"Aleksander Pitek","al. Zielona 91/59
93-173 Siedlce"
"Tymon Początek","ulica Górska 650
05-108 Świdnica"
"Józef Karsznia","pl. Kusocińskiego 48
08-078 Nowa Ruda"
"Kornelia Potoczek","al. Graniczna 64/06
96-233 Brodnica"
"Andrzej Szpala","ulica Narutowicza 11/21
31-011 Stargard Szczeciński"
"Paweł Myszak","al. Bałtycka 61/64
73-816 Świebodzice"
"Kornelia Jantos","plac Jana III Sobieskiego 925
94-846 Lublin"
"Dawid Blank","plac Andersa 65
58-975 Inowrocław"
"pan Ryszard Trybus","ulica Mostowa 98/61
51-647 Kołobrzeg"
"Sandra Grosz","al. Jana III Sobieskiego 21
70-521 Rumia"
"Kamil Kręcichwost","ulica Chmielna 39
84-748 Września"
"Julian Wosiak","ul. Letnia 11/45
54-281 Myszków"
"Igor Ignatiuk","aleja Gałczyńskiego 41
71-604 Giżycko"
"pan Adrian Mateńko","ul. Miła 89/10
95-545 Kalisz"
"Iwo Pietrusiewicz","al. Północna 107
92-026 Dąbrowa Górnicza"
"Marek Zimoląg","ulica Wróblewskiego 46
17-056 Oświęcim"
"Aleks Huczek","al. Władysława Jagiełły 45/11
72-856 Ostrów Wielkopolski"
"Andrzej Kretowicz","al. Mieszka I 423
60-250 Kościerzyna"
"pan Stanisław Stosio","al. Podmiejska 578
70-779 Otwock"
"Adrian Michalczak","ul. Głowackiego 33/78
61-220 Zgorzelec"
"Kalina Hołota","aleja Piekarska 192
37-902 Czeladź"
"Alan Kyc","ulica Podgórna 58
54-652 Pabianice"
"Dariusz Domka","al. Daszyńskiego 83/68
90-260 Mikołów"
"Przemysław Gałaj","pl. Krasickiego 19
13-760 Chrzanów"
"pani Sandra Olszyna","pl. Wyspiańskiego 26
82-259 Zambrów"
"Mieszko Hass","aleja Korfantego 56
52-332 Ostrów Wielkopolski"
"Artur Maszczyk","ulica Wojciecha 213
43-215 Włocławek"
"Liwia Fabiszak","ul. Korczaka 04
24-735 Chełm"
"pan Stanisław Wołoch","aleja Graniczna 99
34-288 Nowy Sącz"
"Mieszko Wydrych","ul. Popiełuszki 47/84
19-167 Zielona Góra"
"Konstanty Noculak","aleja Żeglarska 289
47-373 Kalisz"
"Antoni Husak","ulica Długosza 172
31-987 Stargard Szczeciński"
"Maksymilian Solich","ulica Popiełuszki 15/53
05-339 Wrocław"
"Krystyna Matusewicz","pl. Batalionów Chłopskich 70
42-503 Kętrzyn"
"pani Kornelia Szkup","aleja Harcerska 04/64
03-636 Świebodzice"
"pan Olgierd Langa","ul. Liliowa 32/48
51-155 Oleśnica"
"Alan Chmara","plac Daszyńskiego 32/91
99-938 Mława"
"Eryk Florian","plac Wieniawskiego 51
76-549 Września"
"pan Stefan Juśkiewicz","al. Wybickiego 576
67-358 Gorzów Wielkopolski"
"Bartek Bosek","aleja Jasna 971
74-821 Nysa"
"Agnieszka Jargieło","ulica Kasprowicza 550
81-743 Czeladź"
"pani Lidia Kudłacz","al. Pogodna 399
22-542 Koszalin"
"Nikodem Zielke","aleja Piłsudskiego 912
01-945 Dąbrowa Górnicza"
"Grzegorz Bejm","ulica Krasickiego 06/61
17-008 Dzierżoniów"
"pan Bartek Matula","ul. Ptasia 18
67-199 Opole"
"Piotr Letkiewicz","aleja Turkusowa 70
41-057 Zgorzelec"
"Kamila Forma","plac Reja 996
63-871 Skarżysko-Kamienna"
"Krzysztof Siewiera","ul. Kopernika 57/92
31-559 Siemianowice Śląskie"
"pan Szymon Cyrulik","al. Podmiejska 40
57-912 Włocławek"
"Ernest Aleksa","plac Chełmońskiego 11/03
60-794 Biała Podlaska"
"Antoni Anders","al. Drzymały 94/13
45-326 Środa Wielkopolska"
"pani Anita Dziduch","pl. Wyszyńskiego 29
68-836 Koło"
"Błażej Żabierek","al. Hallera 947
33-201 Racibórz"
"Tadeusz Wielgos","aleja Partyzantów 22
08-226 Dębica"
"Cyprian Krüger","ul. Floriana 85
54-577 Ełk"
"Szymon Białka","pl. Prusa 67
72-461 Bytom"
"Konstanty Szymała","pl. Wróblewskiego 89
84-283 Knurów"
"pan Radosław Adamów","ulica Wiejska 41/31
63-618 Bolesławiec"
"pan Tadeusz Gawłowicz","pl. Matejki 74
95-290 Piekary Śląskie"
"Ewa Zajko","al. Grottgera 30
08-856 Białystok"
"pan Dominik Fitrzyk","aleja Glówna 39
31-124 Kutno"
"Antoni Ceynowa","aleja Lelewela 22
80-774 Radom"
"Anna Maria Rząca","al. Konopnickiej 103
40-228 Jawor"
"Kamil Obarzanek","aleja Towarowa 22
94-425 Łowicz"
"Andrzej Lemanowicz","ulica Pułaskiego 884
25-116 Zambrów"
"pani Dorota Wasiuk","pl. Miłosza 604
68-122 Siemianowice Śląskie"
"Natasza Haraburda","aleja Wieniawskiego 94
36-165 Piekary Śląskie"
"Marika Dulas","ul. Konstytucji 3 Maja 18/41
45-138 Wejherowo"
"pan Tadeusz Łyczek","al. Drzymały 00
37-751 Lębork"
"pan Damian Słupek","plac Słowicza 46
18-397 Ostrów Wielkopolski"
"Jędrzej Ankiewicz","plac Wyspiańskiego 06
08-431 Pruszków"
"Ada Szyba","aleja Błękitna 331
11-636 Kutno"
"Nikodem Drobniak","plac Kościuszki 136
55-614 Gdańsk"
"Jacek Dyszkiewicz","pl. Gałczyńskiego 401
47-820 Lubin"
"Sonia Zagożdżon","ulica Mieszka I 442
66-084 Lubartów"
"pan Krystian Smal","ulica Kochanowskiego 645
98-380 Oświęcim"
"Jerzy Glica","aleja Spokojna 20
80-243 Kraśnik"
"Marek Pusz","al. Miłosza 35/18
47-805 Luboń"
"pan Tobiasz Drost","pl. Kruczkowskiego 86
06-576 Września"
"Patryk Folga","al. Kościuszki 34
36-478 Otwock"
"pani Sandra Dyja","ul. Stycznia 68
46-554 Koszalin"
"Tobiasz Jałowiec","pl. Kościuszki 02
58-025 Radomsko"
"Antoni Hornik","al. Konstytucji 3 Maja 80
84-717 Chrzanów"
"Hubert Strzała","ulica Żwirowa 31
56-567 Opole"
"pani Anastazja Łabno","al. Poznańska 22/83
46-965 Śrem"
"pan Radosław Jędral","ul. Jesionowa 60/77
23-316 Jastrzębie-Zdrój"
"Jeremi Lulek","plac Staszica 090
97-678 Zgorzelec"
"pani Nicole Wesoły","aleja Brzechwy 968
07-649 Pszczyna"
"pan Tobiasz Lew","ulica Królewska 66
50-395 Płońsk"
"Jerzy Twardosz","al. Żwirowa 66
45-447 Jastrzębie-Zdrój"
"Kornel Bobik","plac Witosa 98
72-543 Siedlce"
"pani Marika Misiuk","al. Kalinowa 97/13
61-953 Chełm"
"Maciej Rohde","plac Słowackiego 18/18
30-140 Świdnik"
"Ksawery Ciuk","plac Waryńskiego 07
16-226 Zgierz"
"Dawid Moskalik","ulica Dąbrowskiego 830
94-038 Sosnowiec"
"Robert Leśko","al. Niepodległości 64/31
79-179 Leszno"
"Malwina Latuszek","plac Powstańców 17/68
61-043 Piła"
"Angelika Janiga","plac Hallera 74
99-639 Chojnice"
"pan Tobiasz Podpora","aleja Ściegiennego 560
17-917 Ostrołęka"
"Iwo Hadaś","ulica Nałkowskiej 599
50-083 Brodnica"
"pani Kamila Kuświk","ul. Sienkiewicza 998
39-080 Luboń"
"Adam Słowiak","ulica Brzechwy 25/98
17-540 Bytom"
"Krystyna Duchnik","ulica Mieszka I 48
56-166 Białystok"
"Ewelina Bubel","plac Nałkowskiej 084
16-336 Łuków"
"pan Kacper Czerniec","plac Grottgera 67
18-461 Ełk"
"Inga Zawiasa","ul. Wspólna 66
27-662 Police"
"pan Łukasz Haraburda","ulica Kossaka 78
49-055 Skawina"
"Norbert Kosno","pl. Brzechwy 48/74
16-452 Iława"
"pan Tobiasz Wojtaszak","pl. Chełmońskiego 21
76-074 Mikołów"
"pan Marek Szyma","ulica Mieszka I 809
91-733 Przemyśl"
"Fabian Jasina","ul. Rajska 74/34
05-153 Zielona Góra"
"pan Witold Nijak","aleja Matejki 75/51
65-145 Jarocin"
"pan Jeremi Wawszczak","ul. Kolorowa 356
94-573 Suwałki"
"Mateusz Tlałka","pl. Kościuszki 79
81-486 Myszków"
"Marcel Blank","al. Wiśniowa 03/98
64-177 Śrem"
"pan Dariusz Kołodziejak","pl. Ściegiennego 796
80-022 Leszno"
"pan Maciej Zubel","aleja Okrężna 576
25-393 Sieradz"
"Anita Gryska","plac Krasińskiego 404
02-006 Kętrzyn"
"pan Tomasz Hornik","plac Wyzwolenia 79/77
15-095 Radom"
"Hubert Wyciszkiewicz","ulica Handlowa 92/27
72-418 Zgierz"
"pani Kalina Oczkowicz","ulica Floriana 45/36
03-213 Krosno"
"Malwina Betlej","al. Strażacka 36
70-218 Bydgoszcz"
"pan Konstanty Strama","aleja Nowowiejska 86
34-372 Malbork"
"Mieszko Duczmal","pl. Nałkowskiej 65
38-045 Świnoujście"
"Łukasz Kozok","ulica Ciasna 27
67-061 Oleśnica"
"Mateusz Naczk","aleja Modrzewiowa 36
07-221 Jastrzębie-Zdrój"
"Monika Kusztal","pl. Gałczyńskiego 52
34-923 Police"
"Leon Marko","pl. Daszyńskiego 05/81
99-288 Bielsko-Biała"
"pan Tomasz Miara","ul. Dworska 25/64
21-238 Kłodzko"
"pan Nataniel Pawliszyn","pl. Grottgera 83/95
03-843 Bełchatów"
"Agnieszka Sapała","aleja Partyzantów 65/75
17-630 Września"
"Tadeusz Moryc","aleja Mała 426
52-430 Gniezno"
"Sandra Hajder","aleja Korczaka 16/16
29-225 Rumia"
"Igor Pietrasz","ul. Jana 26/97
84-844 Wejherowo"
"pani Justyna Miętka","aleja Pułaskiego 276
16-368 Racibórz"
"Inga Osman","ulica Lwowska 193
97-782 Oświęcim"
"Jędrzej Nytko","al. Armii Krajowej 58
26-326 Przemyśl"
"Kornel Skupin","pl. Żeromskiego 815
01-915 Włocławek"
"pan Tymon Błażejewicz","pl. Matejki 78
96-186 Lubin"
"Nela Płodzień","aleja Wojciecha 22/68
44-109 Włocławek"
"Angelika Kościesza","ulica Partyzantów 70/15
74-047 Oleśnica"
"Dagmara Lesner","al. Górska 41
97-295 Goleniów"
"Rafał Zbroszczyk","ulica Bolesława Krzywoustego 63
53-979 Otwock"
"Wojciech Kut","ul. Szmaragdowa 61
85-685 Starachowice"
"Kazimierz Downar","pl. Partyzantów 13/40
95-646 Wejherowo"
"pani Ewelina Leoniak","plac Kopernika 357
99-046 Sanok"
"Aleks Dyjach","pl. Stycznia 415
75-108 Bielawa"
"Jakub Pleban","ulica Ściegiennego 709
36-557 Szczytno"
"pan Tymon Prokopczyk","plac Sienkiewicza 90/39
78-502 Chrzanów"
"Urszula Krasa","ul. Jana III Sobieskiego 30
75-958 Skierniewice"
"Marcelina Adamaszek","ulica Sarnia 104
96-419 Czechowice-Dziedzice"
"Nataniel Szarpak","pl. Baczyńskiego 62/77
22-869 Starogard Gdański"
"Artur Przeniosło","ul. Narcyzowa 424
01-288 Grudziądz"
"Stanisław Bubel","ulica Narcyzowa 53/60
53-455 Tarnowskie Góry"
"pan Tobiasz Mosiołek","pl. Dąbrowskiej 540
21-434 Mława"
"Sara Kożuszek","al. Ptasia 27/64
65-642 Kwidzyn"
"Anastazja Kucab","ulica Konarskiego 346
47-886 Śrem"
"pan Daniel Konsek","pl. Stycznia 25/47
32-995 Bydgoszcz"
"pan Tymon Tylek","plac Długosza 93/39
70-433 Wodzisław Śląski"
"Urszula Rosada","al. Tylna 54
64-284 Knurów"
"pani Sandra Szymała","pl. Lelewela 87/60
22-880 Ostrów Mazowiecka"
"Igor Olszowa","pl. Kasprowicza 47
40-335 Tychy"
"Eryk Siebert","al. Staffa 474
11-389 Ząbki"
"Konrad Wasyluk","pl. Głowackiego 617
10-001 Czechowice-Dziedzice"
"Adrianna Furmankiewicz","pl. Korczaka 35
33-983 Szczecin"
"Marcel Mosur","ul. Moniuszki 267
59-348 Wałcz"
"Ksawery Miechowicz","ulica Lawendowa 35/86
98-297 Słupsk"
"pani Aurelia Krzysztoszek","al. Kwiatowa 645
74-086 Piastów"
"pan Tymon Wojaczek","al. Fredry 72/38
95-954 Kościan"
"Róża Kasperczak","al. Młyńska 10/52
41-433 Chojnice"
"Angelika Pasiak","ulica Wyspiańskiego 761
82-118 Dzierżoniów"
"pan Witold Wesoły","ulica Stolarska 103
94-007 Czeladź"
"Natan Koj","al. Dobra 89/27
33-400 Zamość"
"Janina Klemczak","aleja Mokra 40/14
14-880 Kętrzyn"
"Karol Lenarcik","aleja Kamienna 404
50-335 Ciechanów"
"Bruno Piekacz","ul. Cegielniana 251
03-927 Wyszków"
"Mikołaj Puc","ulica Miłosza 487
75-378 Lubin"
"Kalina Zbrzeźniak","pl. Kościuszki 03
83-368 Poznań"
"pan Tymoteusz Wyroślak","al. Grottgera 78
34-946 Śrem"
"Nicole Spadło","plac Rejtana 655
23-363 Pabianice"
"Kazimierz Fogiel","ul. Pułaskiego 35/91
71-121 Nowy Sącz"
"pan Błażej Zadworny","plac Długosza 21/32
03-703 Goleniów"
"pan Alex Prokurat","ul. Wojciecha 427
97-482 Wrocław"
"Krzysztof Dziurdzia","plac Wojciecha 18
88-384 Warszawa"
"Dagmara Rzeźniczak","al. Asnyka 33/70
71-081 Łuków"
"Eliza Leśny","aleja Popiełuszki 656
89-448 Konin"
"Janina Otremba","aleja Jaworowa 90
24-202 Gliwice"
"pan Ryszard Molka","al. Jałowcowa 17
66-739 Piotrków Trybunalski"
"pan Wiktor Bylina","plac Jana 46
46-026 Gniezno"
"Kornelia Gapys","plac Żeromskiego 471
35-685 Zabrze"
"Juliusz Helak","pl. Daszyńskiego 653
09-559 Jarocin"
"Julita Jeszka","pl. Kusocińskiego 54
82-638 Mikołów"
"pani Klara Kaźmierczyk","aleja Solidarności 01
14-893 Tomaszów Mazowiecki"
"pani Anna Maria Wołoszczuk","pl. Reja 872
56-309 Zielona Góra"
"Melania Halik","ul. Wolności 898
80-677 Dąbrowa Górnicza"
"pan Oliwier Muzyk","plac Mickiewicza 80
86-265 Zawiercie"
"Kacper Faruga","ulica Kruczkowskiego 11/62
58-423 Knurów"
"Szymon Krzyżostaniak","ulica Bolesława Chrobrego 22
37-465 Grudziądz"
"pan Wiktor Szałata","ul. Dąbrowskiego 088
95-553 Bielsk Podlaski"
"Dagmara Doroba","pl. Powstańców Śląskich 344
12-067 Zawiercie"
"Tomasz Ludwiniak","ulica Działkowa 902
99-739 Bolesławiec"
"Anita Drynda","ulica Księżycowa 98
79-304 Zawiercie"
"Nataniel Skrzecz","al. Tuwima 29/41
96-290 Gorlice"
"Gaja Wałęsa","plac Rejtana 24/35
82-284 Gniezno"
"pan Arkadiusz Hendzel","plac Tuwima 68/33
42-721 Łódź"
"Natasza Wawrzyn","ul. Krakowska 32/16
16-565 Żory"
"Tomasz Zaczyk","aleja Borowa 09/91
97-648 Kielce"
"Urszula Sidorczuk","aleja Jabłoniowa 85
09-504 Dąbrowa Górnicza"
"pan Witold Gałęza","ulica Kraszewskiego 57/34
71-178 Brzeg"
"Mateusz Botor","plac Głowackiego 35/57
17-458 Śrem"
"Kacper Związek","plac Długosza 64
09-020 Radom"
"Rozalia Megger","ulica Wypoczynkowa 91/72
42-891 Luboń"
"Hubert Łasica","ulica Krasickiego 69/08
63-199 Kalisz"
"Piotr Kazimierczuk","pl. Długosza 32
09-066 Elbląg"
"Mariusz Plaskota","ulica Łabędzia 470
87-992 Żywiec"
"Karina Bidas","pl. Czarnieckiego 092
52-101 Krosno"
"pani Sandra Lenik","aleja Maczka 10
40-204 Malbork"
"Jerzy Hanc","al. Stefana Batorego 82/43
69-377 Tychy"
"pan Witold Oziębło","ul. Sportowa 35
41-821 Białogard"
"Norbert Wisz","aleja Rubinowa 894
69-834 Pruszcz Gdański"
"Elżbieta Babiuch","ulica Cedrowa 106
35-240 Katowice"
"pan Filip Szpara","plac Skłodowskiej-Curie 488
68-130 Piła"
"Norbert Jakiel","ulica Swierkowa 56
12-510 Żory"
"pani Ida Cuch","al. Wyspiańskiego 95/38
31-887 Kołobrzeg"
"Tymon Cymer","pl. Czarnieckiego 772
14-120 Jarocin"
"Albert Such","plac Szarych Szeregów 35
93-062 Opole"
"pan Julian Zawalich","pl. Traugutta 343
38-937 Nowy Dwór Mazowiecki"
"pan Gabriel Siewiera","plac Żeromskiego 69
35-611 Pruszków"
"pan Wojciech Banek","pl. Konarskiego 66
11-311 Swarzędz"
"Albert Łabuś","plac Korczaka 889
79-233 Bolesławiec"
"Kamil Jarosik","ul. Kossaka 018
31-519 Zielona Góra"
"Karina Petryk","plac Żeromskiego 14/66
56-999 Bydgoszcz"
"Róża Markiel","aleja Paderewskiego 84
62-532 Piła"
