"Abdul Roos"	"Meyerstrasse 916
8900 Val-de-Travers" 
"Tatjana Hotz"	"Hessstrasse 3
8912 Küssnacht"
"Jana Felder-Baur"	"Sigriststrasse 13
5524 Locarno"
"Lukas Roos"	"Schürchstrasse 58
1442 Wald"
"Sami Lanz"	"Reystrasse 37
6482 Zollikon"
"Mandy Bachmann Fischer"	"Herzogstrasse 87
7113 Zürich"
"Elio Bachmann"	"Wettsteinstrasse 13
3909 Bülach"
"Francesco Gasser"	"Vogtstrasse 2
1230 Payerne"
"Joris Wolf"	"Fuchsstrasse 41
6880 Morges"
"Priska Bättig"	"Kochstrasse 70
3927 Chêne-Bougeries"
"Swen Wüthrich"	"Eggerstrasse 36
8950 Crans-Montana"
"Prof. Slavisa Wirth"	"Herzogstrasse 12
5418 Chur"
"Mirjam Egli"	"Hugstrasse 8
8116 Reinach"
"Ladina Portmann"	"Zimmermannstrasse 34
1171 Männedorf"
"Prof. Nicola Felder"	"Häfligerstrasse 10
9366 Martigny"
"Davide Stutz"	"Baurstrasse 34
8144 Maur"
"Hedwig Roos"	"Spörristrasse 825
9359 Nyon"
"Petr Wenger"	"Steigerstrasse 66
6180 Burgdorf"
"Lisa Hermann"	"Ritterstrasse 19
4611 Einsiedeln"
"Sarina Hess"	"Studerstrasse 32
2427 Pully"
"Sylvia Weber Bauer"	"Weibelstrasse 7
2521 Zürich"
"Danijela Mettler Kälin"	"Lüscherstrasse 25
8491 Ittigen"
"Nicoletta Geiger"	"Ackermannstrasse 3
4607 Sursee"
"Serge Giger"	"Blaserstrasse 84
1308 Hinwil"
"Andrina Isler"	"Felderstrasse 441
5416 Lenzburg"
"Aurélie Vogt"	"Gigerstrasse 62
4785 Chur"
"Hansjürg Sidler-Lustenberger"	"Braunstrasse 86
1100 Pratteln"
"Andrej Tobler"	"Hermannstrasse 87
6683 Gland"
"Brian Thommen"	"Hessstrasse 799
8514 Crans-Montana"
"Patrizia Bader"	"Stutzstrasse 6
5097 Versoix"
"Sylviane Gloor"	"Amreinstrasse 87
3834 Arbon"
"Francis Arnold"	"Walterstrasse 476
2306 Carouge"
"Luciano Vogel"	"Blaserstrasse 49
7544 Rüti"
"Nancy Isler"	"Rüeggstrasse 52
4708 Schwyz"
"Teodora Scheidegger-Näf"	"Wengerstrasse 382
4990 Muttenz"
"Christian Bader"	"Jäggistrasse 327
6008 Möhlin"
"Paulette Ziegler-Schumacher"	"Hotzstrasse 74
2394 Winterthur"
"Milorad Baumann"	"Islerstrasse 491
1546 Volketswil"
"Myrta Maier"	"Schwarzstrasse 50
8847 Pfäffikon"
"Ramazan Steiger"	"Lutzstrasse 9
7961 Uzwil"
"Sylviane Hoffmann Stauffer"	"Friedlistrasse 83
8116 Birsfelden"
"Flavia Peter"	"Schlatterstrasse 22
6448 Morges"
"Dominique Kägi-Schäfer"	"Baumannstrasse 86
8616 Wetzikon"
"Arianna Schenk-Wegmann"	"Blumstrasse 43
2813 Frauenfeld"
"Franziska Rüegg"	"Bieristrasse 81
3780 Steffisburg"
"Sergio Kohler"	"Schwarzstrasse 50
6183 Thônex"
"Patrice Keller"	"Seilerstrasse 14
5469 Urdorf"
"Giuliana Seiler"	"Eichenbergerstrasse 503
4455 Thônex"
"Josefine Schaub"	"Bieristrasse 7
3953 Val-de-Ruz"
"Serkan Schlatter"	"Benzstrasse 21
5030 Illnau-Effretikon"
"Sylvie Isler"	"Peterstrasse 65
5629 Zofingen"
"André Näf"	"Steinerstrasse 14
6016 Baden"
"Dan Schmid"	"Bergerstrasse 624
8211 Opfikon"
"Adele Ackermann-Eugster"	"Maierstrasse 30
9039 Monthey"
"Vanesa Schürch"	"Bianchistrasse 994
7477 Frauenfeld"
"Marc Hofstetter"	"Blaserstrasse 15
3737 Meyrin"
"Mirela Fischer"	"Langstrasse 49
9231 Weinfelden"
"Lola Betschart"	"Arnoldstrasse 3
7070 Nyon"
"Vincenzo Häfliger"	"Müllerstrasse 81
7558 Prilly"
"Matteo Walder"	"Gerberstrasse 55
4117 Richterswil"
"Sylvie Probst Portmann"	"Freistrasse 7
4651 Münsingen"
"Dr. Lionel Isler"	"Seilerstrasse 421
9311 Meyrin"
"Prof. Marlies Zollinger"	"Knechtstrasse 75
9974 Naters"
"Theresa Stauffer"	"Kaiserstrasse 12
1292 Zollikofen"
"Prof. Fernanda Braun"	"Hugstrasse 95
2956 Zofingen"
"Khadija Tobler Koch"	"Blaserstrasse 704
3260 Pratteln"
"Eduardo Sigrist"	"Stuckistrasse 5
2965 Zug"
"Danièle Baumann"	"Knechtstrasse 15
1436 Morges"
"Leandro Leunberger"	"Christenstrasse 52
2534 Arbon"
"Elia Hotz"	"Lüscherstrasse 512
1176 Hinwil"
"Sébastien Schaub"	"Jennistrasse 834
6527 Arth"
"Stefania Gut"	"Zürcherstrasse 93
7165 Bellinzona"
"Dr. Cláudia Hürlimann"	"Leunbergerstrasse 11
3528 Arbon"
"Léonie Hermann"	"Leustrasse 36
6628 Schwyz"
"Marcella Marti"	"Walterstrasse 95
2741 Sursee"
"Gemma Meier"	"Walderstrasse 562
9367 Zollikofen"
"Kathrin Eugster"	"Wegmannstrasse 39
7239 Freiburg"
"Prof. Astrid Bosshard"	"Beckstrasse 3
7719 Schwyz"
"Alexis Baumann-Kohler"	"Kochstrasse 30
8980 Chêne-Bougeries"
"Mariette Wegmann"	"Martinstrasse 307
9454 Zollikofen"
"Sérgio Fankhauser-Grob"	"Steinerstrasse 4
6010 Regensdorf"
"Dr. Ernest Maier"	"Kesslerstrasse 38
1870 Herisau"
"Dr. Maria Beck"	"Meierstrasse 12
1118 Sitten"
"Ruedi Bosshard"	"Wüthrichstrasse 17
1293 Ittigen"
"Nick Favre"	"Seilerstrasse 62
3334 Amriswil"
"Prof. Celina Steiner"	"Zürcherstrasse 972
6249 Sarnen"
"Annelies Bauer"	"Knechtstrasse 2
3204 Montreux"
"Ursina Koch"	"Meierstrasse 24
1663 Lugano"
"Dr. Jose Scherrer"	"Ferraristrasse 50
2607 Risch"
"Leon Koch"	"Bergerstrasse 116
2770 Vevey"
"Sérgio Favre"	"Meierstrasse 566
9296 La Chaux-de-Fonds"
"Marguerite Haas"	"Walderstrasse 8
1360 Siders"
"Andri Zehnder"	"Fischerstrasse 48
6671 Winterthur"
"Dejan Meier-Kern"	"Haslerstrasse 1
2155 Kloten"
"Milena Wettstein Wegmann"	"Zollingerstrasse 21
1463 Luzern"
"Marlyse Hofmann"	"Blaserstrasse 1
3070 Köniz"
"Alisha Fankhauser"	"Lüthistrasse 4
9008 Romanshorn"
"Umberto Maurer"	"Hartmannstrasse 9
3830 Gland"
"Léna Mayer"	"Eichenbergerstrasse 68
9026 Crans-Montana"
"Süleyman Bolliger"	"Hermannstrasse 94
5142 Neuhausen"
"Sérgio Grob"	"Joststrasse 39
5210 Yverdon-les-Bains"
"Sónia Forster Martin"	"Sidlerstrasse 67
5085 Carouge"
"Miroslav Ammann"	"Hermannstrasse 18
8456 Arbon"
"Ernst Kuhn"	"Leustrasse 66
6499 Pfäffikon"
"Piero Sutter"	"Scheideggerstrasse 81
5826 La Chaux-de-Fonds"
"Andres Fankhauser"	"Mayerstrasse 88
3750 Arth"
"Dominique Schenk Sigrist"	"Schärstrasse 88
8990 Gland"
"Daniela Wüthrich"	"Vogtstrasse 99
7142 Glarus"
"Melisa Zehnder"	"Schärstrasse 58
6837 Versoix"
"Leander Stauffer"	"Gasserstrasse 80
1936 Val-de-Travers"
"Sérgio Zollinger"	"Schmidtstrasse 578
8498 Glarus"
"Charline Maurer Hofer"	"Moserstrasse 36
8960 Solothurn"
"Beata Weber"	"Schärstrasse 408
2460 Pully"
"Anne-Lise Zollinger"	"Schmidtstrasse 764
2281 Davos"
"Anne-Marie Portmann"	"Stalderstrasse 38
4616 Steinhausen"
"Jozef Bauer"	"Ackermannstrasse 83
8193 Gossau"
"Fabrizio Roos"	"Widmerstrasse 72
5060 Schaffhausen"
"Mike Rey"	"Schochstrasse 67
8401 Lancy"
"Reiner Tanner"	"Ackermannstrasse 170
3775 Urdorf"
"Aurore Stöckli Herzog"	"Pfisterstrasse 490
1222 Lyss"
"Séverine Kaufmann-Lanz"	"Michelstrasse 33
7772 Rheinfelden"
"Bernard Braun-Steiger"	"Meierstrasse 607
9842 Sitten"
"Tanja Frey"	"Rothstrasse 19
6797 Langenthal"
"Hulda Jost"	"Friedlistrasse 490
6000 Neuhausen"
"Dominik Bühler"	"Wirthstrasse 751
6176 Wohlen"
"Maud Schäfer"	"Müllerstrasse 15
1833 Onex"
"William Koch"	"Fischerstrasse 371
1551 Thônex"
"Timon Arnold"	"Jäggistrasse 6
3985 Pfäffikon"
"Maeva Ott"	"Blaserstrasse 24
2632 Chêne-Bougeries"
"Ester Wenger Seiler"	"Grafstrasse 204
9834 Steffisburg"
"Séverine Roth Mettler"	"Hunzikerstrasse 62
1541 Maur"
"Renato Lehmann"	"Steigerstrasse 82
1774 Langenthal"
"Dr. Jasin Wehrli"	"Moserstrasse 52
4049 Pully"
"Sadik Moser"	"Wolfstrasse 777
6147 Zürich"
"Azra Eichenberger"	"Huberstrasse 20
9842 Bassersdorf"
"Amy Roth Isler"	"Bauerstrasse 61
8377 Aarau"
"Kiara Hofstetter"	"Eugsterstrasse 2
5250 Nyon"
"Fatma Marti-Schürch"	"Suterstrasse 1
4385 Urdorf"
"Tania Mäder"	"Wettsteinstrasse 61
3750 Cham"
"Greta Berger"	"Flückigerstrasse 13
7258 Steffisburg"
"Séverine Widmer"	"Hoffmannstrasse 895
4969 Opfikon"
"Besnik Käser-Wettstein"	"Gloorstrasse 94
3980 Meilen"
"Valentina Wyss"	"Frickstrasse 839
6710 Dübendorf"
"Sereina Schürch"	"Stöcklistrasse 4
9306 Affoltern"
"Tânia Forster"	"Widmerstrasse 86
8001 Zofingen"
"Prof. Luise Beck"	"Stadelmannstrasse 18
8226 Burgdorf"
"Leandra Keller"	"Stadelmannstrasse 65
5805 Mendrisio"
"Marlis Flückiger Bauer"	"Müllerstrasse 910
8187 Steinhausen"
"Dietmar Herzog"	"Jennistrasse 3
5404 Zofingen"
"Jaroslav Eichenberger"	"Jäggistrasse 2
9854 Freienbach"
"Tamás Wirth"	"Meisterstrasse 6
9373 Bassersdorf"
"Susan Roos Kaufmann"	"Moserstrasse 27
3312 Monthey"
"Cornelius Stadelmann-Benz"	"Schwarzstrasse 29
4060 Köniz"
"Vivienne Ferrari"	"Bärstrasse 579
2357 Aarau"
"Pius Hirt-Schär"	"Stalderstrasse 60
4719 Hinwil"
"Damir Wirth"	"Wengerstrasse 94
6192 Dietikon"
"Muriel Baumann Wirth"	"Kaiserstrasse 82
8555 Crans-Montana"
"Malika Hermann Brun"	"Blaserstrasse 19
4174 Carouge"
"Lorik Schärer"	"Ottstrasse 30
8443 Zürich"
"Anthony Kohler"	"Langstrasse 43
1677 Lyss"
"Tanya Bolliger Hofer"	"Scherrerstrasse 69
1276 Bulle"
"Eugen Kessler"	"Roosstrasse 65
9050 Muri"
"Agnieszka Hoffmann Probst"	"Bosshardstrasse 74
2142 Kreuzlingen"
"Ada Merz"	"Blumstrasse 117
2149 Val-de-Ruz"
"Mélanie Roth"	"Wolfstrasse 98
7257 Aesch"
"Kira Favre"	"Suterstrasse 556
4080 Martigny"
"Yann Grob"	"Baderstrasse 87
9931 Zug"
"Patrice Aebi"	"Grossstrasse 9
3627 Romanshorn"
"Elia Staub"	"Hotzstrasse 4
6546 Delsberg"
"Prof. Jael Wirz"	"Hugstrasse 575
1871 Locarno"
"Tanya Keller"	"Schlatterstrasse 98
5333 Neuenburg"
"Prof. Abel Ferrari"	"Hunzikerstrasse 578
9618 Nyon"
"Selim Michel"	"Schaubstrasse 999
3628 Brugg"
"Nathalie Scherrer"	"Gasserstrasse 3
4030 Payerne"
"Prof. Labinot Häfliger"	"Kälinstrasse 652
8580 Affoltern"
"Edith Wüthrich Stöckli"	"Hotzstrasse 5
5619 Glarus"
"Lorenz Steinmann-Pfister"	"Bättigstrasse 8
5888 Volketswil"
"Adriana Stettler Wagner"	"Schürchstrasse 352
7435 Rapperswil-Jona"
"Burim Ziegler"	"Bühlerstrasse 51
8372 Allschwil"
"Dr. Soraya Gut"	"Mäderstrasse 16
7692 Arth"
"Tanya Schlatter"	"Wyssstrasse 52
7984 Le Grand-Saconnex"
"Lejla Eichenberger"	"Schenkstrasse 42
5464 Davos"
"Melchior Benz"	"Haslerstrasse 2
5326 Horgen"
"Serkan Ott-Hofstetter"	"Scheideggerstrasse 172
9686 Flawil"
"Alain Wegmann"	"Ritterstrasse 9
8448 Adliswil"
"Kathleen Schär"	"Christenstrasse 51
2354 Chêne-Bougeries"
"Prof. Torsten Giger"	"Jennistrasse 63
6216 Monthey"
"Filippo Wolf"	"Hunzikerstrasse 23
2601 Glarus"
"Jean-Pierre Forster"	"Hugstrasse 925
3649 Münchenstein"
"Charlotte Schnyder"	"Kaufmannstrasse 4
5217 Martigny"
"Tara Sidler"	"Hugstrasse 90
7434 Wädenswil"
"Gil Huber"	"Stutzstrasse 557
6749 Bernex"
"Philip Burri"	"Küngstrasse 389
8913 Versoix"
"Noemi Blaser Widmer"	"Frickstrasse 78
3500 Hinwil"
"Elizabeth Stucki"	"Meilistrasse 73
5364 Wald"
"Krzysztof Kohler"	"Studerstrasse 696
1733 Gland"
"Burim Burri-Lanz"	"Schaubstrasse 31
4496 Siders"
"Radmila Rey-Näf"	"Baumgartnerstrasse 677
3234 Siders"
"Berthe Zürcher"	"Staufferstrasse 754
3451 Riehen"
"Raffaela Lutz"	"Kernstrasse 239
7320 Carouge"
"Tatiana Weber-Martin"	"Kernstrasse 263
4597 Wallisellen"
"Martine Beck"	"Ernistrasse 9
4870 Oftringen"
"Mauro Kunz"	"Weberstrasse 43
9546 Riehen"
"Hans-Jürgen Eichenberger"	"Freistrasse 7
5867 Grenchen"
"Miodrag Hartmann"	"Bolligerstrasse 31
1710 Freienbach"
"Anne-Lise Lüscher"	"Baumannstrasse 4
5506 Oberwil"
"Fabiana Ernst"	"Amreinstrasse 959
4941 Arbon"
"Till Peter"	"Wettsteinstrasse 8
1313 Baar"
"Liana Bühler"	"Albrechtstrasse 61
2546 Köniz"
"Inge Mettler"	"Peterstrasse 63
2826 Thun"
"Tatjana Maier Steiger"	"Steffenstrasse 70
5174 Birsfelden"
"Prof. Kian Maier"	"Meyerstrasse 48
6857 Zollikon"
"Pavel Bolliger"	"Lüscherstrasse 54
9925 Zug"
"Catarina Fankhauser Stocker"	"Schumacherstrasse 83
5553 Lausanne"
"Dalia Stettler-Hoffmann"	"Lüthistrasse 66
5237 Gland"
"Hanna Schoch"	"Schneiderstrasse 82
5124 Bassersdorf"
"Domenic Hauser"	"Kernstrasse 3
3206 Wohlen"
"Violette Bernasconi"	"Zehnderstrasse 27
2922 Pully"
"Magdalena Egger"	"Schumacherstrasse 750
1453 Val-de-Travers"
"Herta Bucher"	"Walterstrasse 50
1168 Horw"
"Tatjana Stadelmann"	"Grossstrasse 660
2330 Horgen"
"Dr. Bilal Kohler"	"Zinggstrasse 83
2282 Rapperswil-Jona"
"Jonah Wirth"	"Grossstrasse 3
4329 Münsingen"
"Océane Benz Weber"	"Zehnderstrasse 96
6384 Lyss"
"Waldemar Hauser"	"Studerstrasse 44
1869 Lugano"
"Alyssa Häfliger"	"Gigerstrasse 12
9646 Wetzikon"
"Amélie Kuhn"	"Bieristrasse 62
7332 Wohlen"
"Georgios Mettler-Fehr"	"Brunnerstrasse 6
5032 Aarau"
"Dr. Norman Bühlmann"	"Kohlerstrasse 38
1295 Monthey"
"Anaïs Ritter"	"Albrechtstrasse 16
1722 Delsberg"
"Tatjana Wolf"	"Fankhauserstrasse 24
2478 Zug"
"Boris Studer"	"Schärerstrasse 85
2538 Maur"
"Reinhold Bauer"	"Steffenstrasse 214
2040 Emmen"
"Cäcilia Bosshard"	"Häfligerstrasse 198
2881 Olten"
"Dr. Odile Favre"	"Kaiserstrasse 460
3994 Aarau"
"Prof. Rosa Stalder"	"Stalderstrasse 396
3112 Glarus"
"Albrecht Meili"	"Fehrstrasse 35
9752 Uzwil"
"Prof. Mohamed Leunberger"	"Bieristrasse 680
1185 Risch"
"Dr. Zoltan Flückiger"	"Amreinstrasse 42
2178 Horw"
"Alena Brunner Rey"	"Knechtstrasse 6
4675 St. Gallen"
"Teodora Gfeller"	"Schäferstrasse 48
4207 Aesch"
"Cäcilia Bühlmann Fankhauser"	"Moserstrasse 65
7911 Ostermundigen"
"Lou Maier Hartmann"	"Huberstrasse 747
3136 Naters"
"Ignaz Senn"	"Hotzstrasse 9
4290 Aesch"
"Domenic Giger"	"Schürchstrasse 1
6752 Ittigen"
"Morgane Leu Felber"	"Fischerstrasse 58
8874 Sitten"
"Rocco Bosshard"	"Mayerstrasse 92
7300 Zofingen"
"Steven Roth"	"Schlatterstrasse 50
3355 Olten"
"Fred Probst"	"Jäggistrasse 94
1457 Münsingen"
"Emmanuel Mettler"	"Sennstrasse 72
3115 Thun"
"Teodora Portmann Furrer"	"Hodelstrasse 30
9400 Le Grand-Saconnex"
"Amina Mettler"	"Fuchsstrasse 26
2070 Köniz"
"Emmanuelle Graf"	"Kägistrasse 68
5517 Illnau-Effretikon"
"Lindita Kuhn"	"Michelstrasse 98
7908 Dietikon"
"Günther Bachmann"	"Peterstrasse 2
7406 Burgdorf"
"Dorothea Moser Lanz"	"Steinerstrasse 28
5015 Kreuzlingen"
"Dr. Osman Schlatter"	"Aebistrasse 140
2979 Uster"
"Massimiliano Moser"	"Ernststrasse 65
9244 Männedorf"
"Anne-Marie Keller"	"Grafstrasse 92
7977 Rapperswil-Jona"
"Jovana Häfliger"	"Kohlerstrasse 875
6003 Renens"
"Teresa Christen"	"Peterstrasse 6
1128 La Tour-de-Peilz"
"Micha Ziegler"	"Meyerstrasse 7
9630 Grenchen"
"Lirim Bernasconi"	"Baurstrasse 680
1040 Schwyz"
"Laurent Amrein-Stöckli"	"Stadelmannstrasse 8
2689 La Tour-de-Peilz"
"Lucia Gasser"	"Kunzstrasse 5
3789 Muttenz"
"Riccardo Fuchs-Kälin"	"Freystrasse 77
5560 Mendrisio"
"Hansjörg Schwarz"	"Seilerstrasse 13
5427 Bern"
"Anisa Thommen"	"Wolfstrasse 87
9951 Maur"
"Leandra Tanner"	"Betschartstrasse 73
5634 Ebikon"
"Solène Roth Studer"	"Müllerstrasse 798
4366 Pfäffikon"
"Teresa Hofmann-Peter"	"Zürcherstrasse 9
2127 Wald"
"Bettina Stalder"	"Blumstrasse 78
7897 Burgdorf"
"Gaëlle Schumacher-Hartmann"	"Müllerstrasse 10
4887 Pfäffikon"
"Adem Knecht"	"Walderstrasse 72
4960 Morges"
"Marija Blaser"	"Ammannstrasse 10
5831 Nyon"
"Ekaterina Koch"	"Arnoldstrasse 8
4617 Montreux"
"Catia Zimmermann"	"Bühlerstrasse 284
5214 Biel/Bienne"
"Luigia Roos"	"Lanzstrasse 56
8409 Amriswil"
"Karl-Heinz Jenni"	"Hartmannstrasse 961
1530 Belp"
"Erik Martin"	"Stalderstrasse 15
6818 Illnau-Effretikon"
"Teresa Schoch"	"Stettlerstrasse 33
9488 Wettingen"
"Laetitia Schenk Frey"	"Stuckistrasse 882
2882 Rapperswil-Jona"
"Noëlle Jost"	"Lehmannstrasse 7
8121 Lyss"
"Prof. Rosetta Kunz"	"Hartmannstrasse 80
8035 Uzwil"
"Désirée Braun"	"Leunbergerstrasse 92
2224 Prilly"
"Annie Amrein"	"Leustrasse 5
6555 Yverdon-les-Bains"
"Manuel Rüegg-Hess"	"Bättigstrasse 2
2036 Payerne"
"Giuliano Widmer"	"Hodelstrasse 1
5351 Küsnacht"
"Kamil Sigrist"	"Amreinstrasse 24
4259 Uzwil"
"Waltraud Lüscher"	"Ernistrasse 91
6921 Aigle"
"Tessa Stadelmann"	"Schwabstrasse 48
4371 Kloten"
"Dr. Giacomo Merz"	"Burristrasse 18
2227 Villars-sur-Glâne"
"Nina Hug"	"Freystrasse 234
9027 Montreux"
"Naim Roos"	"Eichenbergerstrasse 644
2496 Urdorf"
"Danijel Tanner"	"Meilistrasse 2
6510 Amriswil"
"Maurice Jenni"	"Kuhnstrasse 167
1847 Belp"
"Dr. Camilla Flückiger"	"Zimmermannstrasse 60
8224 Baden"
"Dr. Amelie Sidler"	"Schenkstrasse 804
6099 Steffisburg"
"Leonor Schneider"	"Ernistrasse 5
1948 Altstätten"
"Aldo Hasler"	"Haslerstrasse 62
6814 Ostermundigen"
"Thea Baumgartner"	"Steigerstrasse 33
2322 Stäfa"
"Regula Probst"	"Mäderstrasse 515
7625 Schlieren"
"Emine Friedli Giger"	"Steinerstrasse 626
7580 Einsiedeln"
"Bianca Baumann"	"Seilerstrasse 18
6303 Belp"
"Kaan Näf-Bader"	"Staufferstrasse 32
9459 Emmen"
"Dion Suter"	"Brunnerstrasse 266
3653 Herisau"
"Milica Ackermann-Studer"	"Favrestrasse 497
3831 Bulle"
"Gilberte Keller"	"Schenkstrasse 1
1122 Uster"
"Ardian Vogel"	"Stadelmannstrasse 2
8223 Langenthal"
"Jaël Kägi"	"Käserstrasse 1
3502 Dübendorf"
"Thea Schneider"	"Weibelstrasse 52
9633 Renens"
"Matthias Studer"	"Schwarzstrasse 21
8716 Stäfa"
"Mats Egger"	"Scherrerstrasse 25
7051 Davos"
"Eugenia Käser Stadelmann"	"Scherrerstrasse 84
4757 Horw"
"Antoine Blaser-Merz"	"Peterstrasse 88
1683 Sarnen"
"Viviana Kohler"	"Kaiserstrasse 69
5035 Ittigen"
"Dalibor Christen"	"Schürchstrasse 44
8573 Ittigen"
"Sanela Bieri"	"Albrechtstrasse 12
6486 Gland"
"Leila Ziegler"	"Meilistrasse 87
5112 Horgen"
"Laila Christen"	"Bühlmannstrasse 9
8720 Winterthur"
"Theo Keller"	"Zinggstrasse 8
5017 Meyrin"
"Arnold Staub"	"Schneiderstrasse 44
6908 Oberwil"
"Rebekka Bader"	"Kälinstrasse 63
5975 Payerne"
"Kenneth Mayer"	"Wengerstrasse 94
5646 Stäfa"
"Eve Bosshard Fischer"	"Blaserstrasse 15
9105 Thalwil"
"Dr. Federico Wyss"	"Winklerstrasse 49
3343 Lausanne"
"Anne-Laure Häfliger"	"Scheideggerstrasse 299
1941 Thalwil"
"Tom Hirt"	"Bucherstrasse 321
2409 Zürich"
"Metin Arnold"	"Baurstrasse 42
7353 Onex"
"Rudolf Hartmann"	"Flückigerstrasse 66
5398 Payerne"
"Theodor Martin-Felber"	"Ackermannstrasse 9
1655 Riehen"
"Yannik Fischer"	"Geigerstrasse 12
9040 Brugg"
"Esra Vogel"	"Beckstrasse 76
4165 Bulle"
"Leticia Schär"	"Ernststrasse 36
7302 Zollikon"
"Gennaro Lustenberger"	"Blaserstrasse 2
2863 Rapperswil-Jona"
"Ursina Wüthrich"	"Küngstrasse 760
1434 Genf"
"Kaspar Schlatter"	"Schürchstrasse 78
5981 Biel/Bienne"
"László Huber"	"Furrerstrasse 93
6176 Chêne-Bougeries"
"Valentine Berger"	"Häfligerstrasse 70
1885 Münsingen"
"Roger Flückiger"	"Baderstrasse 10
6348 Morges"
"Theophil Schärer"	"Haslerstrasse 67
7591 Chur"
"Lara Wettstein"	"Zbindenstrasse 81
4901 Münsingen"
"Dina Hafner"	"Peterstrasse 71
9209 Muttenz"
"Linda Hofmann"	"Hafnerstrasse 12
1731 Allschwil"
"Cédric Hofmann"	"Häfligerstrasse 95
1505 Thun"
"Almir Eichenberger"	"Probststrasse 60
3053 Emmen"
"Magdalena Spörri"	"Kuhnstrasse 59
9434 Arbon"
"Rina Hess Burri"	"Stadelmannstrasse 197
4887 Uzwil"
"Hilda Felder-Knecht"	"Geigerstrasse 75
2840 Uzwil"
"Micha Ziegler"	"Freystrasse 21
4440 Onex"
"Theresa Siegrist"	"Kuhnstrasse 9
7252 Freiburg"
"Zoé Schwab"	"Favrestrasse 6
6076 Winterthur"
"Anita Friedli"	"Schulerstrasse 66
2934 Köniz"
"Alexia Scheidegger Jäggi"	"Wengerstrasse 3
3511 Altstätten"
"Prof. Dalibor Braun"	"Hirtstrasse 61
6171 Genf"
"Martina Zürcher"	"Stöcklistrasse 89
2269 Davos"
"Eugenia Brun"	"Stadelmannstrasse 604
8600 Burgdorf"
"Morgane Schnyder"	"Bühlmannstrasse 19
1511 Lutry"
"Louise Zürcher"	"Bättigstrasse 87
8151 Regensdorf"
"Jana Koch"	"Steigerstrasse 52
9666 Morges"
"Therese Albrecht"	"Schenkstrasse 91
7820 Luzern"
"Sabina Meili"	"Benzstrasse 89
3243 Wetzikon"
"Milka Hug"	"Widmerstrasse 20
2877 Gland"
"Quentin Egger"	"Gloorstrasse 80
9204 Oberwil"
"Alba Imhof-Scheidegger"	"Peterstrasse 65
2142 Wald"
"Marine Hoffmann-Maier"	"Kochstrasse 4
1906 Nyon"
"Norina Lang"	"Betschartstrasse 87
9824 Baar"
"Evelyn Schoch"	"Hoffmannstrasse 42
6523 Zug"
"Cristiano Lanz-Zehnder"	"Schumacherstrasse 13
7362 Wädenswil"
"Julia Käser"	"Kochstrasse 55
6639 Davos"
"Therese Isler"	"Grafstrasse 664
3313 Bellinzona"
"Slavisa Schwab"	"Gfellerstrasse 48
1630 Uster"
"Domenica Schoch"	"Spörristrasse 73
3481 Zollikon"
"Salih Jäggi"	"Leustrasse 286
6189 Zollikofen"
"Anne-Lise Erni"	"Bühlmannstrasse 45
5473 Mendrisio"
"Leila Christen"	"Hirtstrasse 2
2604 Risch"
"Yolande Roos"	"Hodelstrasse 102
7596 Bernex"
"Stjepan Wyss"	"Freistrasse 82
6338 Ostermundigen"
"Biagio Scherrer"	"Beckstrasse 375
6180 Steffisburg"
"Anke Benz"	"Lüscherstrasse 20
6017 Rüti"
"Theresia Lüthi"	"Kesslerstrasse 65
6099 Ostermundigen"
"Antonia Wüthrich"	"Stettlerstrasse 14
2887 Arbon"
"Ewald Zimmermann"	"Zbindenstrasse 64
2903 Münsingen"
"Prof. Leticia Blum"	"Meisterstrasse 97
3669 Rheinfelden"
"Giancarlo Wolf"	"Leunbergerstrasse 13
9072 Olten"
"Prof. Naim Sigrist"	"Bachmannstrasse 52
1140 Wallisellen"
"Xavier Meili"	"Gerberstrasse 82
9072 Zürich"
"Hans Sutter-Ritter"	"Schulerstrasse 7
8647 Baar"
"Dr. Neo Hauser"	"Hodelstrasse 30
9288 Münsingen"
"Rosa Häfliger"	"Walderstrasse 61
8768 Sursee"
"Theresia Meier"	"Kägistrasse 3
8245 Langenthal"
"Katalin Frick"	"Hofmannstrasse 97
1241 Freiburg"
"Romana Hofmann Steiner"	"Islerstrasse 75
8047 Flawil"
"Alissa Sidler Meyer"	"Kochstrasse 9
8773 Emmen"
"Olivia Stöckli Vogel"	"Schneiderstrasse 88
6272 Rüti"
"Gloria Mayer-Sutter"	"Eggerstrasse 24
2799 Bern"
"Karl-Heinz Brunner"	"Brunnerstrasse 58
1559 Martigny"
"Anja Lüscher"	"Schochstrasse 154
9150 Kloten"
"Gaia Iten"	"Zimmermannstrasse 97
6978 Wallisellen"
"Nadine Weibel"	"Jäggistrasse 59
6971 Ecublens"
"Thiago Hess-Schwarz"	"Kaiserstrasse 458
7832 Plan-les-Ouates"
"Mischa Stutz"	"Felderstrasse 57
7450 Ecublens"
"Luise Tanner Senn"	"Frickstrasse 88
7028 Lutry"
"Naim Schwab"	"Betschartstrasse 18
8581 Wohlen"
"Alissa Meier"	"Grafstrasse 88
5275 Gland"
"Alma Meili"	"Hodelstrasse 47
5703 Mendrisio"
"Margreth Bianchi Widmer"	"Stutzstrasse 55
2511 Wald"
"Hasan Steinmann-Scheidegger"	"Toblerstrasse 45
5307 Münchenbuchsee"
