"Aaron Lercher"|"Anabella-Pilz-Gasse 7
7053 Schwechat" 
"Gloria Walch-Hölzl"|"Clemens-Schmidinger-Ring 17
7690 Knittelfeld"
"Antonio Gschaider"|"Burtschergasse 030
8693 Bad Hall"
"Laetitia Stockinger"|"Fridolin-Salcher-Platz 45
7229 Vils"
"Leonardo Schönauer-Kratzer"|"Wurzerstraße 5/8
5145 Weitra"
"Karim Sieberer-Sommer"|"Bürgerring 3
2322 Zistersdorf"
"Philippa Stadlbauer"|"Haslauerring 0
7170 Krems an der Donau"
"Nils Riepl"|"Antonio-Pauer-Ring 812
1034 Ferlach"
"Jamie Pfleger"|"Marvin-Moritz-Ring 03
7705 Pöchlarn"
"Ing. Anastasia Schenk"|"Ganglring 97
3642 Krems an der Donau"
"Irma Brandner-Brandtner"|"Götzstr. 0/4
7595 Schrattenthal"
"Irina Bruckner"|"Max-Nussbaumer-Ring 9/2
4480 Gmünd"
"Irma Schuh-Kapeller"|"Josef-Hainzl-Weg 3
6430 Oberwart"
"Ing. Aurora Schneider"|"Angelo-Binder-Ring 4/5
2033 Eisenstadt"
"Felix Steinbacher"|"Markus-Tischler-Gasse 2
3194 Sankt Valentin"
"Ruben Kammerer"|"Wenzlstraße 6
8362 Haag"
"Phillip Hammerer"|"Natalia-Stütz-Gasse 87
7106 Braunau am Inn"
"Lola Koch"|"Franz-Augustin-Gasse 26
5372 Pregarten"
"Olivia Mohr"|"Jakob-Gratz-Weg 5
9988 Poysdorf"
"Dipl.-Ing. Teodor Groß"|"Felberring 3/0
9860 Poysdorf"
"Jasmine Wimmer"|"Walchstr. 33
6035 Bad Radkersburg"
"Maurice Krug-Jung"|"Zara-Scherer-Platz 9/2
3178 Geras"
"Fernando Held"|"Rene-Paul-Gasse 6/1
9492 Neusiedl am See"
"Univ.Prof. Darko Hammer"|"Staudacherplatz 6/2
1929 Mürzzuschlag"
"Fabian Neulinger-Hofmann"|"Griesserweg 1/0
5655 Wiener Neustadt"
"Univ.Prof. Peter Staudinger"|"Markus-Hackl-Gasse 86
5670 Hardegg"
"Phillip Obermüller"|"Sturmring 2/4
7627 Traismauer"
"Dr. Nikola Altmann"|"Jennifer-Mayerhofer-Straße 830
8322 Radstadt"
"Therese Fürst"|"Schulzstr. 0
8068 Mistelbach an der Zaya"
"Jamie Hager-Steger"|"Benedikt-Schuh-Gasse 4
6804 Hartberg"
"Karl Sonnleitner"|"Vogelring 09
5545 Steyregg"
"Univ.Prof. Tanja Kirchner"|"Wiesingerstraße 948
5529 Bad Vöslau"
"Marie Groß"|"Ackerlstraße 3/9
4421 Bad Hall"
"Andjelina Kummer"|"Hollausweg 525
3828 Litschau"
"Sofie Hattinger"|"Aignerplatz 6/6
2467 Althofen"
"Nelly Schönberger"|"Schenkplatz 94
2054 Marchtrenk"
"Phillip Walter"|"Reichelstraße 0/7
4407 Zistersdorf"
"Gregor Veit"|"Mina-Zeilinger-Weg 40
8058 Schwechat"
"Nela Lichtenegger-Höfler"|"Joel-Augustin-Platz 198
9245 Fischamend"
"Emely Leopold"|"Stella-Neuner-Gasse 0
5245 Bleiburg"
"Ben Fellinger"|"Kasperweg 30
2015 Lienz"
"Nicola Kapeller"|"Martina-Fuhrmann-Platz 828
6322 Melk"
"Nicola Kaspar-Mitterlehner"|"Elena-Stefan-Weg 2/9
3199 Rottenmann"
"Lora Trummer"|"Marco-Kargl-Weg 319
5514 Sankt Andrä im Lavanttal"
"Raphael Schmidl-Rohrmoser"|"Kalina-Leitgeb-Gasse 25
2527 Voitsberg"
"Rayana Feichter"|"Naomi-Ostermann-Straße 11
9028 Mank"
"Pia Baier"|"Matilda-Zauner-Gasse 05
3568 Knittelfeld"
"Milica Wild"|"Patricia-Reiterer-Straße 54
6115 Korneuburg"
"Valentin Mittermayr"|"Schieferweg 1
1406 Sankt Pölten"
"Nikolas Staudacher"|"Puchnerplatz 916
6665 Sankt Johann im Pongau"
"Leandra Amann"|"Urbanstr. 96
4584 Eisenerz"
"Benjamin Dirnberger"|"Scheucherstr. 10
6320 Vils"
"Laureen Fellinger"|"Nicole-Wegscheider-Weg 9
8427 Heidenreichstein"
"Yasmina Handl"|"Alexandra-Holzknecht-Gasse 9/2
8820 Jennersdorf"
"Josefine Ott"|"Kerstin-Schwaiger-Gasse 460
1374 Frauenkirchen"
"Hanna Wechselberger"|"Rittergasse 3
2759 Purbach am Neusiedler See"
"Pia Bräuer"|"Danglweg 217
8802 Traiskirchen"
"Teodor Schramm-Wiener"|"Tina-Maierhofer-Ring 122
5970 Klosterneuburg"
"Raphael Blauensteiner"|"Schwabplatz 79
8538 Oberpullendorf"
"Herr Lorenzo Pokorny"|"Arda-Wittmann-Ring 5
2129 Dornbirn"
"Univ.Prof. Carlo Peter"|"Niklas-Kammerer-Ring 2
6362 Ansfelden"
"Tom Schrammel"|"Reitererring 46
4952 Geras"
"Dr. Constantin Ferstl"|"Reisingerstr. 379
5860 Retz"
"Marco Krall"|"Ben-Widmann-Gasse 0/1
5057 Krems an der Donau"
"Katja Hahn"|"Maida-Zeiler-Gasse 5/2
5619 Bludenz"
"Sophie-Marie Schwab"|"Fürstweg 6
7294 Maissau"
"Prof. Aleksandra Bachmann"|"Felicitas-Schimpl-Gasse 896
6000 Güssing"
"Andrej Bayer"|"Eberhardstr. 7
7306 Völkermarkt"
"Dr. Valentin Spindler"|"Marvin-Huber-Gasse 6/3
2991 Retz"
"Julia Eberl-Peter"|"Rebecca-Larcher-Gasse 71
3272 Gmünd in Kärnten"
"Univ.Prof. Sahra Nagele"|"Eda-Friedrich-Weg 5/9
6033 Heidenreichstein"
"Lia Metzler"|"Finn-Mathis-Weg 1
9223 Eisenstadt"
"Stella Rauch-Eberhard"|"Macherweg 3
7196 Weiz"
"Prof. Victor Maierhofer"|"Krainerring 43
5062 Grieskirchen"
"Ferdinand Eibl"|"Armin-Kellner-Straße 1/3
8010 Oberwälz"
"Dipl.-Ing. Mona Trinkl"|"Gratzlweg 5/5
5506 Eisenerz"
"Prof. Alex Bergmann"|"Pragerplatz 6/4
4891 Allentsteig"
"Alexa Kreuzer"|"Lehnerplatz 19
3321 Groß-Siegharts"
"Ing. Henri Blümel"|"Ferdinand-Ziegler-Gasse 292
8864 Wolkersdorf"
"Jannik Maringer"|"Viktoria-Reindl-Gasse 900
1955 Bad Radkersburg"
"Marie-Louise Fankhauser"|"Laureen-Dobler-Weg 6/1
1692 Bärnbach"
"Natalia Stückler-Schmuck"|"Amanda-Schwab-Weg 1
4072 Hall in Tirol"
"Berra Haumer"|"Weissgasse 13
2489 Bad Ischl"
"Cristiano Schlögl"|"Wiednergasse 416
7831 Stadtschlaining"
"Ina Farkas"|"Großweg 3/6
6794 Zell am See"
"Marie-Louise Steinböck"|"Fröschlplatz 5/7
3303 Deutschlandsberg"
"Prof. Alexandra Knoll"|"Ertlstr. 4/2
4197 Bärnbach"
"Sofija Höller"|"Lotte-Hinterberger-Weg 2
8128 Perg"
"Leopold Sattler"|"Carolina-Leithner-Platz 1/5
8536 Pulkau"
"Ruben Spitzer"|"Jeneweinstr. 6/2
7004 Enns"
"Dipl.-Ing. Sarah Froschauer"|"Kastnerweg 962
8807 Salzburg"
"Florian Lampert"|"Bindergasse 7/0
8273 Geras"
"Ing. Leticia Sagmeister"|"Sophie-Marie-Engel-Platz 9
3421 Bleiburg"
"Andrea Krainer"|"Bischofgasse 7/0
3636 Zistersdorf"
"Prof. Natalia Sonnleitner"|"Salzmannstr. 1
4656 Bludenz"
"Ismail Knoll-Pertl"|"Lampertstraße 178
7964 Oberwälz"
"Prof. Andreas Berner"|"Köllweg 46
2257 Zwettl"
"Ing. Franz Köck"|"Hebenstreitstraße 0
8058 Laa an der Thaya"
"Jana Pacher"|"Reindlplatz 5/3
5264 Deutsch-Wagram"
"Nikolas Krug"|"Böhlerstr. 5/3
1994 Eisenstadt"
"Erina Ziegler"|"Rayana-Lassnig-Weg 5
9793 Vils"
"Barbara Jank"|"Marta-Schöberl-Gasse 6/0
2859 Klosterneuburg"
"Dr. Helene Steinlechner"|"Jasper-Pröll-Platz 6
9809 Baden"
"Ralph Hauer"|"Baumgartnerweg 916
2397 Gmunden"
"Michelle Heiss"|"Schmidweg 075
4834 Eisenstadt"
"Dipl.-Ing. Philippa Gross"|"Sonja-Pieber-Weg 14
9936 Steyregg"
"Prof. Antonio Riedler"|"Jannik-Mayrhofer-Ring 3/7
5827 Völkermarkt"
"Vera Graf"|"Wiednerstraße 9
9992 Schwechat"
"Florentin Angerer"|"Natascha-Redl-Platz 1/4
7112 Marchtrenk"
"Milo Hebenstreit-Hammerl"|"Edda-Schwaighofer-Ring 8/7
4801 Linz"
"Matheo Wieser"|"Selma-Plattner-Weg 17
8074 Bludenz"
"Isabella Rohrer"|"Schoberstr. 2
9802 Hartberg"
"Naomi Schweitzer"|"Olivia-Schrammel-Ring 984
6934 Hardegg"
"Christine Friedrich"|"Barbara-Mittermayr-Platz 6/8
6304 Mannersdorf am Leithagebirge"
"Frau Berra Juen"|"Wechselbergerstraße 8
8681 Dornbirn"
"Aylin Hofstetter"|"Dario-Mayerhofer-Platz 32
2848 Heidenreichstein"
"Prof. Axel Mühlbacher"|"Löfflerstraße 407
6811 Schrems"
"Isabella Ender"|"Prennerweg 1/9
9978 Raabs an der Thaya"
"Raphael Kummer"|"Maierhoferstraße 3
7636 Köflach"
"Rita Linder-Schmied"|"Elias-Pointner-Ring 227
6818 Vöcklabruck"
"Estelle Paul"|"Ottring 3/0
1579 Deutsch-Wagram"
"Martin Berchtold"|"Sillerstraße 0
8047 Hartberg"
"Gabriel Stückler"|"Köberlstraße 112
1153 Oberndorf bei Salzburg"
"Martina Rettenbacher"|"Laura-Bäck-Ring 6/4
2332 Perg"
"Friedrich Posch"|"Paula-Böhm-Weg 851
1787 Vils"
"Tea Neuhold"|"Melina-Doppler-Gasse 9/6
7444 Purkersdorf"
"Prof. Dario Bodner"|"Lara-Sophie-Weidinger-Straße 1/6
6336 Gföhl"
"Dipl.-Ing. Lia Kaltenböck"|"Victor-Rettenbacher-Straße 978
8777 Bleiburg"
"Niklas Schwarzinger"|"Hofmeisterplatz 457
3432 Wiener Neustadt"
"Carl Hochleitner"|"Höflerstraße 831
9051 Bad Sankt Leonhard im Lavanttal"
"Florentin Weinberger"|"Schmiedweg 155
1048 Krems an der Donau"
"Sam Loidl"|"Daniela-Lindorfer-Platz 5
3005 Heidenreichstein"
"Matthias Lang"|"Ricardo-Gassner-Gasse 6
6511 Bludenz"
"Marina Günther-Steinlechner"|"Stoiberweg 4/5
7709 Bischofshofen"
"Isabel Holzknecht"|"Feichtnerring 9/7
9514 Purkersdorf"
"Prof. Raffaela Binder"|"Artnerstr. 081
4395 Wörgl"
"Prof. Darko Pircher"|"Jankplatz 866
2939 Mattighofen"
"John Hafner-Bartl"|"Oberhauserstr. 8
4465 Hainfeld"
"Claire Schulz"|"Schinaglring 7/5
8604 Mureck"
"Frau Vanessa Rössler"|"Evelyn-Kellner-Straße 4/6
3763 Amstetten"
"Lola Hummer"|"Jankplatz 65
7176 Klagenfurt"
"Anton Brandner-Reindl"|"Nina-Schmidt-Gasse 2/6
5073 Rust"
"Carlotta Bernhard"|"Haidring 3/8
6061 Mureck"
"Helena Buchberger"|"Ungerstraße 7/7
6622 Salzburg"
"Nora Schaffer"|"Hütterstr. 28
7148 Althofen"
"Tanja Heigl"|"Roman-Widhalm-Platz 346
3908 Lilienfeld"
"Prof. Denise Schantl"|"Stegerstraße 40
8507 Bad Leonfelden"
"Philippa Enzinger-Wechselberger"|"Nikolai-Sigl-Gasse 318
7782 Ansfelden"
"Stefan Herbst-Brandstätter"|"Koflerring 190
8562 Waidhofen an der Ybbs"
"Chris Leibetseder"|"Constanze-Käfer-Ring 3/9
8289 Straßburg"
"Dipl.-Ing. Clemens Stöckl"|"Gabriel-Luger-Platz 65
4534 Dornbirn"
"Leoni Schlosser"|"Damian-Reif-Gasse 2
4512 Litschau"
"Claudia Stöger"|"Pointnerstr. 3/0
6404 Gallneukirchen"
"Isa Glück-Sagmeister"|"Bernadette-Aigner-Platz 1/0
2790 Peuerbach"
"Ina Reitbauer-Singer"|"Schöllerstraße 9/6
9658 Gföhl"
"Nino Schöller"|"Marc-Reisner-Straße 03
4106 Bischofshofen"
"Prof. Ela Bucher"|"Fabian-Landl-Weg 1
1216 Hall in Tirol"
"Martha Eichhorn"|"Keplingerplatz 174
6769 Waidhofen an der Thaya"
"Jovana Dallinger"|"Laureen-Bräuer-Ring 48
3480 Allentsteig"
"Ing. Sena Bruckner"|"Carlo-Geisler-Gasse 8/3
7296 Gmünd"
"Valentina Tiefenbacher-Geier"|"Laila-Dobler-Platz 9/7
8861 Frohnleiten"
"Ing. Simon Rauscher"|"Wandlring 914
4831 Feldkirch"
"Damian Eller"|"Aurelio-Haas-Straße 55
4080 Bludenz"
"Herr Nikolaus Gassner"|"Grassergasse 012
7698 Bad Leonfelden"
"Gabriela Leber"|"Leonora-Ofner-Straße 1/1
7288 Frauenkirchen"
"Ing. Berra Kraus"|"Eggerstr. 6
8093 Landeck"
"Prof. Elias Hemetsberger"|"Oberhauserring 792
9461 Imst"
"Sophie-Marie Ackerl"|"Paulina-Lengauer-Straße 13
8880 Leoben"
"Prof. Erik Wegscheider"|"Wurzerstraße 7/1
5075 Oberwart"
"Lukas Schramm"|"Pointnerstr. 42
7169 Gloggnitz"
"Paulina Schweighofer"|"Amelia-Heger-Weg 6/0
1973 Graz"
"Dipl.-Ing. Rebecca Windisch"|"Tristan-Schrempf-Weg 03
8813 Eggenburg"
"Patrik Mark"|"Laureen-Schuh-Platz 3/7
9762 Kapfenberg"
"Prof. Liliane Haslauer"|"Karla-Zöhrer-Platz 2
4808 Neumarkt am Wallersee"
"Laila Steinacher"|"Ylvie-Sonnleitner-Weg 82
6687 Imst"
"Niklas Denk"|"Valentina-Fiedler-Platz 2/1
2139 Litschau"
"Prof. Elma Lutz"|"Melina-Rauscher-Gasse 65
2669 Bad Ischl"
"Univ.Prof. Ferdinand Schöpf"|"Sonnleitnerstraße 0/9
9236 Straßburg"
"Nadja Leithner-Wiener"|"Parzerplatz 3
3136 Graz"
"Dora Schönberger"|"Griessergasse 0
9712 Pregarten"
"Lorena Wögerbauer"|"Lara-Sophie-Fischer-Gasse 670
5095 Köflach"
"Frederik Mandl"|"Hugo-Frick-Straße 7/7
3903 Neumarkt am Wallersee"
"Sabine Schreiber"|"Florin-Pendl-Platz 3/3
2460 Wolfsberg"
"Prof. Madeleine Eichberger"|"Gärtnerweg 6
7472 Scheibbs"
"Lia Pöschl"|"Axel-Kolb-Weg 2
4095 Schwaz"
"Maya Krammer"|"Lutzplatz 2
8635 Mattersburg"
"Prof. Elyas Dorfer"|"Vera-Kral-Ring 01
9532 Saalfelden am Steinernen Meer"
"Constanze Bischof"|"Neugebauerplatz 5
5202 Innsbruck"
"Cristiano Hagen"|"Benjamin-Aichholzer-Ring 40
3058 Dürnstein"
"Siena Pachler-Bruckner"|"Fehringerplatz 0
3854 Güssing"
"Leonard Haller"|"Lukas-Augustin-Weg 3/0
7008 Hallein"
"Dipl.-Ing. Theodor Schauer"|"Fehringerring 169
2920 Bludenz"
"Zoe Schreiber"|"Ackerlstr. 0/8
6061 Ebreichsdorf"
"Simon Schramm"|"Heinrichgasse 846
9049 Baden"
"Philippa Gattringer"|"Thallerstr. 4/9
7484 Frohnleiten"
"Sophie-Marie Grabner"|"Knappplatz 753
4275 Gerasdorf bei Wien"
"Prof. Emilian Geier"|"Laura-Neulinger-Straße 5
1049 Braunau am Inn"
"Felicitas Strasser"|"Levi-Eichberger-Ring 3
6917 Mödling"
"Chris Mair"|"Leonhartsbergerring 859
5373 Imst"
"Lorenz Humer"|"Feiglgasse 60
1150 Ried im Innkreis"
"Dipl.-Ing. Alan Schulz"|"Waldnerstr. 42
7925 Gloggnitz"
"Aaron Schmölzer-Hemetsberger"|"Müllerplatz 54
7712 Hainfeld"
"Mia Brandstetter"|"Zenzstr. 4/8
2377 Deutsch-Wagram"
"Ing. Sarah Lindner"|"Tamara-Sammer-Ring 03
3605 Steyr"
"Alan Kratzer"|"Neumeisterstr. 2
5393 Bischofshofen"
"Leyla Hofmann-Grasser"|"Charlotte-Leitgeb-Platz 4/2
6101 Schärding"
"Prof. Fabian Schenk"|"Natalia-Fink-Platz 4/6
9051 Gmünd"
"Dilara Gutmann-Holzmann"|"Riedmannstr. 154
8050 Salzburg"
"Prof. Christian Gratzer"|"Tamara-Trauner-Gasse 8
4059 Frauenkirchen"
"Isabel Schachinger"|"Schoberweg 0/1
5644 Schrems"
"Arda Salcher"|"Edergasse 7/7
4995 Imst"
"Daniela Eichhorn"|"Meierplatz 19
4187 Laa an der Thaya"
"Isabel Salzmann"|"Alex-Schmidt-Gasse 7/2
1538 Groß-Gerungs"
"Andreas Mayrhofer"|"Viola-Gartner-Gasse 1
1072 Ebenfurth"
"Theresa Böhler"|"Widhalmgasse 933
2983 Hainburg an der Donau"
"Paul Zeiler"|"Leandra-Haiden-Weg 3
8605 Sankt Pölten"
"Prof. Ferdinand Gritsch"|"Mona-Baumann-Gasse 74
8042 Wiener Neustadt"
"Clara Berchtold"|"Ben-Schantl-Straße 0
6393 Oberwart"
"Lara-Sophie Lercher"|"Sonnleitnerweg 9
8102 Eggenburg"
"Lionel Jost"|"Leandra-Spitzer-Straße 7
9810 Langenlois"
"Ing. Helena Eberharter"|"Rene-Seitz-Weg 3
5053 Rohrbach in Oberösterreich"
"James Holl-Sigl"|"Kainplatz 9/2
4846 Zistersdorf"
"Charlotte Dorfer"|"Hauserplatz 589
8271 Voitsberg"
"Matthias Egger"|"Kolarplatz 126
1135 Gmunden"
"Nicolai Bäck"|"Steinkellnergasse 4/8
1343 Sankt Veit an der Glan"
"Dipl.-Ing. Christoph Hofinger"|"Sena-Rauter-Straße 753
3137 Lienz"
"Prof. Finn Pollak"|"Christopher-Mair-Ring 2/0
1085 Gmunden"
"Lora Schachner-Riepl"|"Dennis-Salzmann-Gasse 2/0
3427 Innsbruck"
"Eda Schulz"|"Henrik-Ostermann-Straße 6/9
1369 Leibnitz"
"Dipl.-Ing. Zara Kellner"|"Ben-Beck-Gasse 3
6471 Traun"
"Lana Ender-Schütz"|"Pertlplatz 561
3580 Gmunden"
"Laurin Haslauer"|"Dilara-Schwarzl-Gasse 1/7
2022 Dornbirn"
"Ing. Sophia Pucher"|"Bernadette-Fischer-Straße 985
2786 Marchegg"
"Eduard Schauer"|"Kainplatz 129
7641 Murau"
"Cristiano Grassl-Kaiser"|"Katarina-Holzinger-Weg 967
9760 Bruck an der Mur"
"Ralph Kramer"|"Sulzerplatz 8/9
2536 Litschau"
"Prof. Henrik Bachinger"|"Josefine-Kocher-Gasse 3/7
4333 Mödling"
"Lily Kraft"|"Mühlbacherplatz 3/8
9919 Eisenerz"
"Sandro Dorfer-Bäck"|"Hermannring 3/7
5473 Perg"
"Daniel Blümel-Gmeiner"|"Angela-Löffler-Platz 679
9741 Peuerbach"
"Fabio Koch-Fercher"|"Voglring 4
6510 Feldbach"
"Manuela Windhager"|"Ottgasse 40
5114 Wien"
"Peter Rettenbacher"|"Eiblplatz 0
9044 Retz"
"Theo Schinnerl"|"Zoe-Schüller-Ring 506
5575 Weiz"
"Yvonne Schmied"|"Koglerplatz 8/3
9367 Imst"
"Leandra Dietl-Heissenberger"|"Raffael-Dietl-Platz 9
9597 Gföhl"
"Prof. Hubert Walder"|"Olivia-Stadler-Gasse 326
1246 Zistersdorf"
"Niklas Herbst"|"Hörmannweg 389
7021 Zistersdorf"
"Justin Haderer"|"Gregor-Aichholzer-Ring 4
8930 Attnang-Puchheim"
"Dr. Fiona Haring"|"Schillerstr. 8
3437 Innsbruck"
"Mariam Neumüller"|"Laurin-Metzler-Ring 2/1
1839 Mattersburg"
"Dipl.-Ing. Norah Hacker"|"Schöffmannstr. 3/7
1487 Traismauer"
"Ferdinand Trattner"|"Kristian-Leibetseder-Platz 171
7727 Zell am See"
"Frau Hannah Suppan"|"Springerring 186
5585 Eisenerz"
"Univ.Prof. Carla Ecker"|"Leonie-Polzer-Platz 51
5194 Rust"
"Aaron Dietl"|"Lilli-Leopold-Gasse 638
7437 Kapfenberg"
"Prof. Hugo Hattinger"|"Alexandra-Löffler-Ring 0
6833 Ansfelden"
"Alara Gahleitner"|"Natalie-Guggenberger-Ring 737
4519 Wiener Neustadt"
"Melina Bitschnau-Muhr"|"Matilda-Fitz-Straße 959
7508 Bärnbach"
"Ing. Carina Prager"|"Karglstraße 432
8512 Scheibbs"
"Simon Schweighofer-Kohl"|"Daniela-Meixner-Gasse 7/0
6093 Weiz"
"Frau Marlene Hermann"|"Rieglerstraße 87
9680 Mödling"
"Juliana Biedermann"|"Heidi-Mader-Gasse 899
1958 Rust"
"Univ.Prof. Milo Hofstetter"|"Nikita-Spiegl-Weg 182
5055 Stockerau"
"Frau Catharina Paier"|"Dünserstr. 2/9
6482 Lilienfeld"
"Tea Brugger"|"Richard-Hattinger-Weg 657
6195 Liezen"
"Prof. Irina Hackl"|"Lucie-Polzer-Gasse 608
9112 Friesach"
"Luise Nussbaumer-Dallinger"|"Kronbergergasse 2
3998 Geras"
"Liliana Mandl"|"Reisingerring 4
5277 Bärnbach"
"Elena Bachler"|"Wandlgasse 48
2719 Rattenberg"
"Nora Ladner"|"Helena-Lampert-Gasse 8
7064 Amstetten"
"Ing. Alena Schantl"|"Juliane-Trinkl-Weg 271
7448 Völkermarkt"
"Dennis Heinrich"|"Nikita-Sigl-Ring 6
6737 Mank"
"Jacob Scharf"|"Maida-Winkler-Platz 42
6222 Klosterneuburg"
"Lydia Gutmann"|"Viola-Adam-Gasse 7
5685 Bad Ischl"
"Jasper Pertl"|"Stecherstraße 645
2177 Ansfelden"
"Prof. Isabelle Weiss"|"Angelo-Leeb-Straße 33
8750 Deutsch-Wagram"
"Alexandar Probst"|"Schwarzlplatz 9
5325 Zeltweg"
"Mathilda Sigl"|"Stefanie-Schwab-Straße 049
4534 Saalfelden am Steinernen Meer"
"Mathilda Loibl-Oberleitner"|"Ben-Singer-Weg 80
1988 Köflach"
"Mike Marte"|"Schmiedring 329
6636 Bruck an der Leitha"
"Lino Herrmann-Kurz"|"Edda-Erlacher-Platz 01
1699 Attnang-Puchheim"
"Petra Scharf"|"Pölzlring 027
4283 Linz"
"Irma Rohrer"|"Tea-Landl-Straße 55
7943 Traismauer"
"Milo Bucher"|"Höferplatz 6/5
4439 Mattersburg"
"Aron Schreiner"|"Kopfgasse 333
3441 Straßburg"
"Prof. Josef Holl"|"Anna-Maria-Reithofer-Ring 046
4645 Poysdorf"
"Erina Bodner"|"Hanna-Rainer-Platz 09
8654 Wien"
"Laetitia Kofler-Stiegler"|"Kristina-Holzinger-Weg 1/2
5061 Retz"
"Charlotte Mittermayr"|"Frederik-Mathis-Weg 77
3625 Raabs an der Thaya"
"Ariane Hattinger"|"Klara-Brandtner-Gasse 7/5
9272 Gleisdorf"
"Nora Böhm-Pacher"|"Johannes-Bittner-Gasse 0
9202 Poysdorf"
"Katarina Wallner"|"Klugring 44
1713 Leibnitz"
"Isabella Göschl"|"Leticia-Lichtenegger-Straße 0
5292 Ferlach"
"Mona Aschauer"|"Karim-Gartner-Weg 5
8478 Radenthein"
"Frau Marijana Adler"|"Thalerstraße 098
9689 Klagenfurt"
"Prof. Jovana Adler"|"Nikola-Eibl-Weg 45
7153 Sankt Andrä im Lavanttal"
"Annabell Eisl-Linder"|"Milica-Neumayr-Gasse 4
5655 Rohrbach in Oberösterreich"
"Miriam Loibl"|"Calvin-Marte-Gasse 519
3587 Eisenerz"
"Lionel Draxler"|"Sulzerring 5/8
2462 Laakirchen"
"Selina Götz-Hammerer"|"Plankring 962
5251 Bregenz"
"Ylvie Hochreiter"|"Samuel-Stefan-Ring 36
4280 Pregarten"
"Frida Schalk"|"Scherzerplatz 5
6615 Fischamend"
"Milo Schöller"|"Löfflerring 44
3896 Leoben"
"Sabrina Schröder"|"Juliana-Stockhammer-Ring 7
3842 Oberndorf bei Salzburg"
"Konrad Eichberger"|"Lenzplatz 438
2192 Friedberg"
"Prof. Justin Riegler"|"Jankgasse 92
4699 Gerasdorf bei Wien"
"Prof. Ela Müllner"|"Sam-Gasser-Straße 4/4
4261 Vöcklabruck"
"Jakob Zeiler"|"Goschweg 7/5
5458 Feldkirch"
"Antonia Schimpl-Bichler"|"Markus-Zenz-Ring 62
7667 Traismauer"
"Lena Trauner"|"Güntherplatz 399
4745 Wolfsberg"
"Mona Ullmann-Wachter"|"Hollausstraße 450
9884 Sankt Veit an der Glan"
"Viktor Freitag"|"Waldnergasse 399
7072 Deutschlandsberg"
"Prof. Nikola Rinner"|"Hospweg 1/6
5428 Retz"
"Leonie Berthold"|"Karla-Schmidinger-Gasse 765
7942 Haag"
"Ricardo Rieser"|"Feiglstraße 572
6046 Geras"
"Prof. Lana Zöchling"|"Mühlbacherplatz 6/0
8670 Gerasdorf bei Wien"
"Tristan Seitz-Stöckl"|"Hirschmannplatz 12
6316 Oberpullendorf"
"Dr. Amelia Kappel"|"Laglerstraße 05
7780 Feldkirch"
"Rebecca Arnold"|"Lilian-Gahleitner-Weg 406
4452 Marchegg"
"Tom Mitterlehner-Eller"|"Edergasse 908
5501 Bad Radkersburg"
"Aylin Ulrich"|"Paulweg 731
2766 Feldkirch"
"Heinrich Schlosser"|"Elina-Beer-Gasse 92
8685 Trofaiach"
"Prof. Fabio Heger"|"Danningergasse 4/0
7747 Bischofshofen"
"Sara Haider-Dobler"|"Francesca-Windisch-Weg 7
6366 Mistelbach an der Zaya"
"Vera Niederl"|"Edda-Schachner-Weg 077
4278 Sankt Pölten"
"Prof. Laura Beck"|"Evelyn-Hagen-Ring 241
2956 Stockerau"
"Clemens Krenn-Hauer"|"Antonella-Schrempf-Ring 31
4940 Groß-Enzersdorf"
"Lotta Egger"|"Prinzring 297
5642 Attnang-Puchheim"
"Ing. Maksim Stiegler"|"Adriana-Haindl-Straße 2
3264 Deutschlandsberg"
"Leopold Wurzinger-Kirchner"|"Annalena-Hofmann-Weg 298
6421 Gänserndorf"
"Christopher Taucher-Hainzl"|"Irma-Toth-Straße 866
2358 Zistersdorf"
"Alexa Sorger"|"Martingasse 13
4602 Weitra"
"Laetitia Margreiter"|"Mariella-Hinterleitner-Straße 3/3
9634 Landeck"
"Sara Lengauer"|"Schullerring 6
9834 Mistelbach an der Zaya"
"Fridolin Fritz"|"Schusterstr. 06
2401 Hardegg"
"Prof. Laurin Prenner"|"Grünerring 1
9894 Drosendorf-Zissersdorf 1"
"Miriam Leitgeb"|"Steinböckweg 045
9471 Liezen"
"Patrik Kerschbaum-Kitzler"|"Martha-Becker-Gasse 147
9956 Fürstenfeld"
"Dario Burgstaller"|"Fuhrmanngasse 91
5170 Dornbirn"
"Anastasia Strohmayer"|"Christopher-Mitteregger-Weg 10
4980 Wels"
"Andreas Thaller"|"Katja-Hummel-Platz 99
7634 Sankt Valentin"
"Carolina Barth"|"Kristian-Erler-Straße 895
2681 Jennersdorf"
"Tea Schachner"|"Barbara-Pieber-Platz 440
4635 Eggenburg"
"Maryam Lagler"|"Isabelle-Albrecht-Weg 487
6122 Hartberg"
"Nick Stadler-Reicher"|"Angelina-Eberl-Platz 38
1544 Radstadt"
"Prof. Leon Wimmer"|"Strohmayergasse 624
2067 Laa an der Thaya"
"Selina Guggenberger-Höller"|"Neubacherweg 30
8184 Frohnleiten"
"Filip Schalk"|"Anderlgasse 63
2084 Neunkirchen"
"Rosalie Hinterberger-Schachner"|"Eichhornstraße 760
3136 Rust"
"Ing. Josef Raab"|"Mira-Lercher-Platz 916
1940 Wien"
"Dr. Emanuel Binder"|"Heiglstr. 1
2438 Gleisdorf"
