"अंजली कुलकर्णी"	"861 चव्हाण
मिरज 990346" 
"रोहिणी मोरेजी"	"39/96 चेतना कांबळे
पिंपरी-चिंचवड 848715"
"ज्योती गायकवाड"	"40 माधव ठाकूर
ठाणे-635491"
"सचिन जाधवजी"	"4/7 मेघा कदम
अकोला-708373"
"तन्वी पवार"	"79/5408 विवेक देशपांडे
चंद्रपूर 550854"
"श्रीमती शिल्पा राऊत"	"2/7 अमित महाजन
गोंदिया 856979"
"मिलिंद महाजनजी"	"70/5921 ईश्वर गायकवाड
परभणी-238876"
"नेहा जगतापजी"	"98/601 महाजन
कोल्हापूर 580218"
"आकाश चव्हाण"	"34/29 सावंत
लातूर-834806"
"कुमारी कल्पना सावंत"	"98/82 आकाश अहेर
लातूर-160723"
"प्रशांत फडकेजी"	"3 प्रज्ञा गवळी
अकोला 343116"
"तन्वी देशमुखजी"	"29/8021 कुलकर्णी
पिंपरी-चिंचवड-888841"
"माधव चौगुले"	"9/8 स्वाती पवार
नागपूर 881078"
"श्रीमती प्रज्ञा साने"	"31 जाधव
रत्नागिरी 564462"
"समीर भोसलेजी"	"83/2111 आकांक्षा कांबळे
जळगाव 609477"
"श्रीमती शिल्पा साने"	"21/49 आकाश पाटील
सांगली 243145"
"मकरंद चव्हाण"	"4324 अहेर
कोल्हापूर-358347"
"आकांक्षा राऊत"	"88/159 सुनील ठाकूर
बीड 693824"
"अनिल गवळी"	"29/2161 अपर्णा सावंत
रत्नागिरी-605286"
"विनायक पवार"	"46/62 माधव महाजन
अहमदनगर 550981"
"रोहिणी कुलकर्णी"	"714 समीर कुलकर्णी
बीड 676059"
"आदित्य गवळीजी"	"805 ठाकूर
हिंगोली 948303"
"मीनल सावंत"	"85 अशोक चव्हाण
लातूर-060392"
"प्रकाश जाधवजी"	"23 अनुष्का माने
वसई 352667"
"आशा कुलकर्णी"	"72 देशपांडे
बीड-512411"
"श्रीमती श्रुती गायकवाड"	"8151 अशोक जाधव
बीड 915617"
"स्वाती आगरकर"	"46/8274 जितेंद्र जगताप
वसई 369348"
"श्री चेतन अहेर"	"71 प्रिया सावंत
मिरज-203139"
"प्रशांत भोसले"	"79/949 साने
रत्नागिरी 745962"
"अभिजीत कांबळेजी"	"4001 अमोल कांबळे
चंद्रपूर-880937"
"स्मिता आगरकरजी"	"416 इशिता देशपांडे
उस्मानाबाद-370681"
"पंकज चौगुलेजी"	"0 स्नेहा शिरसाट
मिरज-790858"
"श्री शिल्पा भोसले"	"77 शिल्पा जाधव
यवतमाळ 638084"
"श्रीमती आदित्य ठाकूर"	"66/1951 फडके
यवतमाळ 783027"
"इशिता पवारजी"	"59/94 अभिजीत देशमुख
नवी मुंबई 240039"
"श्रीमती श्रुती चव्हाण"	"8/5 महाजन
कोल्हापूर-732091"
"प्रवीण ठाकूरजी"	"72/15 महाजन
धुळे 560160"
"समीर देशमुखजी"	"08/2021 कोल्हे
हिंगोली-516196"
"उमा सावंतजी"	"73/475 अनुष्का फडके
अकोला 941054"
"अनिता साळुंखे"	"80/5812 देशमुख
नवी मुंबई-093835"
"स्नेहा महाजनजी"	"72/1456 कविता ठाकूर
बीड 064807"
"श्री निलेश कुलकर्णी"	"12/9442 साळुंखे
कोल्हापूर 325775"
"चेतना राऊतजी"	"964 देशमुख
ठाणे 528980"
"श्रीमती अभिजीत देशपांडे"	"58/767 अनिल साने
लातूर 671257"
"श्रीमती निलेश जगताप"	"207 रोहिणी पाटील
सातारा 021733"
"श्रीमती श्रुती पवार"	"27/148 गवळी
अहमदनगर 932636"
"कुमारी अपर्णा गायकवाड"	"603 कांबळे
सांगली 153033"
"इशिता देशपांडेजी"	"41 सुनील जोशी
मिरज 801052"
"कुमारी संदीप साने"	"66/205 अमित साळुंखे
लातूर 190267"
"सुनील शिरसाट"	"3093 अहेर
सातारा 978153"
"कुमारी सुरेश साळुंखे"	"91 माधुरी भोसले
हिंगोली 468019"
"राहुल अहेरजी"	"25 कुलकर्णी
अहमदनगर-038826"
"शिल्पा चौगुलेजी"	"3/9 अरुण सावंत
उस्मानाबाद 613760"
"मीनल गायकवाड"	"56/547 ठाकूर
अमरावती-037120"
"श्री अनुष्का चौगुले"	"7088 फडके
अमरावती 556901"
"श्रीमती श्रुती शिरसाट"	"1 सुनील देशपांडे
नांदेड-282292"
"स्मिता चौगुले"	"09 पंकज देशमुख
पुणे-297360"
"श्रीमती अमोल साने"	"7347 रीमा अहेर
औरंगाबाद 492203"
"शिल्पा जोशीजी"	"389 ज्योती पवार
सातारा 936511"
"लता महाजन"	"81/8178 चेतना चौगुले
हिंगोली 453573"
"माधुरी फडके"	"18/127 आगरकर
मिरज-782571"
"कुमारी अनिरुद्ध कदम"	"4/0 स्वाती शिरसाट
ठाणे 959747"
"हर्षदा कांबळे"	"34 माने
वसई-231168"
"श्रीमती संदीप शिंदे"	"5945 विनायक ठाकूर
पुणे 310225"
"राहुल देशमुख"	"4 सचिन जगताप
जळगाव 491309"
"श्रीमती संदीप गायकवाड"	"17/128 चौगुले
लातूर 838760"
"कुमारी संदीप महाजन"	"0 राहुल गायकवाड
लातूर 682387"
"रेणुका फडके"	"37 साने
चंद्रपूर-638034"
"मेघा कोल्हेजी"	"92/581 गायकवाड
कोल्हापूर-835316"
"अभिषेक जोशी"	"1634 अनिल अहेर
सोलापूर 136713"
"उमा गायकवाडजी"	"2/7 चव्हाण
अकोला-634018"
"हर्षद फडके"	"1/8 कीर्ती ओक
सोलापूर 382340"
"मिलिंद ओक"	"3 कांबळे
उस्मानाबाद 729506"
"श्रीमती शिल्पा ओक"	"8 निखिल पाटील
चंद्रपूर-241646"
"विकास चौगुलेजी"	"0885 निखिल जोशी
बीड-808990"
"श्रीमती संदीप माने"	"1 उमा कोल्हे
अकोला 698093"
"माधव कुलकर्णी"	"10/401 सावंत
नांदेड 158613"
"कीर्ती मोरेजी"	"1 अपर्णा अहेर
कोल्हापूर 476783"
"श्रीमती जितेंद्र कुलकर्णी"	"902 राऊत
अमरावती 945221"
"रोहिणी भोसलेजी"	"1598 मीनल चौगुले
औरंगाबाद 387929"
"श्री प्रज्ञा माने"	"3483 भूषण गायकवाड
यवतमाळ 425772"
"मोहन चव्हाणजी"	"893 मीनल महाजन
औरंगाबाद 501119"
"माधुरी साळुंखेजी"	"447 गौरव ओक
नागपूर-129187"
"ईश्वर कांबळे"	"85/1943 साने
औरंगाबाद 337281"
"संदीप देशमुखजी"	"61/0122 गौरी कुलकर्णी
ठाणे 223050"
"श्रीमती संदीप राऊत"	"980 चौगुले
पुणे-024655"
"श्री अमोल आगरकर"	"49 चौगुले
नाशिक-721809"
"प्रिया महाजनजी"	"73/1099 दत्तात्रेय ओक
गोंदिया-992083"
"दत्तात्रेय महाजन"	"9137 राहुल देशमुख
बीड 424434"
"श्री सचिन देशमुख"	"71/405 मंगेश साळुंखे
ठाणे 393217"
"कुमारी मीनल साळुंखे"	"85/54 फडके
उस्मानाबाद-403461"
"तन्वी पाटीलजी"	"7 मकरंद जाधव
उस्मानाबाद-362737"
"अनिल जाधव"	"8/7 दीपाली जोशी
लातूर-999982"
"श्रीमती तन्वी सावंत"	"54 तन्वी कदम
हिंगोली-546379"
"श्री मानसी शिंदे"	"1680 ओक
सांगली-209105"
"श्रीमती सचिन अहेर"	"1181 साळुंखे
ठाणे 783216"
"माधुरी मानेजी"	"29/3343 अभिषेक देशमुख
गोंदिया-701324"
"शिल्पा अहेरजी"	"5 अमित सावंत
मुंबई 067193"
"श्री अशोक आगरकर"	"27 धनंजय चौगुले
मिरज 500047"
"मीनल सावंतजी"	"2546 साने
गोंदिया 398833"
"आकाश कांबळेजी"	"3 गौरव राऊत
उस्मानाबाद-206714"
"प्रज्ञा देशमुख"	"7/7 कविता गायकवाड
पिंपरी-चिंचवड-395396"
"विवेक सावंतजी"	"49/4003 चौगुले
पुणे 188321"
"सचिन कांबळे"	"31/5060 चौगुले
चंद्रपूर-118725"
"कुमारी अंजली जगताप"	"04/415 अहेर
धुळे 499942"
"श्रीमती सचिन पवार"	"43/421 पवार
नवी मुंबई 374383"
"कुमारी चेतना जगताप"	"64/894 माधुरी गायकवाड
ठाणे 232800"
"कैलास देशमुखजी"	"53/2133 अंजली फडके
नाशिक 232781"
"अभिषेक मोरे"	"1421 पाटील
जळगाव-626279"
"श्री सचिन फडके"	"9 मंगेश ओक
अमरावती 616154"
"श्रीमती हर्षद महाजन"	"0959 रीमा शिंदे
सांगली-390570"
"प्रकाश ठाकूर"	"33/724 ओक
पुणे 839535"
"रोहित मोरेजी"	"8026 पाटील
सातारा-908005"
"रीमा कुलकर्णीजी"	"18/665 रोहित जाधव
धुळे-231496"
"जितेंद्र भोसलेजी"	"36 पवार
कोल्हापूर 486959"
"श्रीमती सचिन भोसले"	"88 मेघा चव्हाण
धुळे 361918"
"श्रीमती विवेक ठाकूर"	"26/33 जाधव
पिंपरी-चिंचवड 229679"
"कुमारी पल्लवी ओक"	"85 कुलकर्णी
नाशिक-462360"
"अपर्णा पवारजी"	"82/3970 जाधव
बीड-999402"
"मोहन साळुंखे"	"9/4 महाजन
यवतमाळ-935808"
"गौरव कांबळे"	"99 कीर्ती मोरे
लातूर-364788"
"कविता सानेजी"	"18/43 राऊत
अकोला-752330"
"मोहन अहेरजी"	"4/5 मिलिंद फडके
ठाणे-637026"
"अमोल महाजनजी"	"8 ठाकूर
अहमदनगर 919563"
"पूजा पाटील"	"7536 उमेश पाटील
नागपूर 814527"
"श्रीमती समीर आगरकर"	"1/8 मोरे
मुंबई-163933"
"श्री प्रिया कदम"	"76 सावंत
नागपूर-881586"
"निलेश देशमुखजी"	"06/43 साने
उस्मानाबाद-602665"
"अशोक साळुंखेजी"	"4470 रीमा शिरसाट
पुणे-428597"
"ईश्वर जोशी"	"8 अहेर
चंद्रपूर-224362"
"श्री अनिल ठाकूर"	"87 हर्षदा आगरकर
जळगाव 839262"
"ईश्वर कदम"	"01/0892 कीर्ती कुलकर्णी
अकोला 233960"
"भूषण आगरकर"	"43/581 संदीप महाजन
परभणी 936732"
"उमा कुलकर्णीजी"	"3/0 अमित आगरकर
कोल्हापूर-934662"
"अनुष्का साने"	"39 कुलकर्णी
बीड 669536"
"श्रीमती समीर भोसले"	"277 देशपांडे
ठाणे-590615"
"अभिषेक कुलकर्णी"	"37 भोसले
औरंगाबाद-638560"
"प्रशांत साने"	"7339 रीमा ठाकूर
नागपूर 662042"
"अभिजीत आगरकर"	"19/147 कीर्ती कदम
नाशिक 462403"
"उमेश गवळीजी"	"65/159 फडके
बीड-429618"
"कुमारी निलेश गायकवाड"	"1578 देशमुख
मिरज 084162"
"श्री हर्षदा कांबळे"	"674 संदीप भोसले
सोलापूर-697197"
"जितेंद्र महाजनजी"	"42/09 कांबळे
ठाणे-861665"
"इशिता माने"	"63/618 श्रुती साने
बीड-666066"
"श्री मंगेश कोल्हे"	"8 महाजन
अकोला-720299"
"श्रीमती सुनील जगताप"	"69/7249 जोशी
परभणी-601728"
"अपर्णा माने"	"21/06 श्रुती आगरकर
वसई-094952"
"कुमारी निलेश शिरसाट"	"83/631 अनिल कोल्हे
वसई 802986"
"भूषण पवार"	"8037 किरण जाधव
पिंपरी-चिंचवड-564257"
"गणेश साळुंखे"	"55/160 संदीप जगताप
वसई 042120"
"कविता कदम"	"03/5625 निखिल जाधव
अहमदनगर 624252"
"लता साने"	"39/09 जाधव
पिंपरी-चिंचवड-260221"
"श्रीमती हर्षदा सावंत"	"72/8098 देशमुख
लातूर 449761"
"मेघा आगरकरजी"	"6/4 आगरकर
उस्मानाबाद-957531"
"दीपाली अहेर"	"2 अरुण कोल्हे
ठाणे-926596"
"श्रीमती सुनील सावंत"	"49/075 प्रिया फडके
धुळे-835002"
"कुमारी जितेंद्र साने"	"52 जाधव
पुणे 218478"
"श्री अभिषेक मोरे"	"13/683 चव्हाण
लातूर-300063"
"कविता मोरेजी"	"6307 स्मिता साळुंखे
नाशिक-872773"
"अनिरुद्ध देशमुखजी"	"9 पवार
अकोला 745193"
"श्री स्मिता पाटील"	"07 कुलकर्णी
नाशिक-161025"
"कुमारी दीपाली ओक"	"3175 अनिल मोरे
धुळे-927500"
"रोहिणी देशपांडेजी"	"6711 किरण फडके
अकोला-784747"
"इशिता जाधव"	"09/12 कोल्हे
नांदेड 826977"
"विनायक जगतापजी"	"5 चव्हाण
अहमदनगर-395150"
"श्रीमती सुरेश अहेर"	"616 कोमल फडके
लातूर-708989"
"श्री कविता मोरे"	"05 देशमुख
अहमदनगर-817824"
"अंजली जोशीजी"	"3/4 पाटील
बीड-904217"
"श्री अंजली मोरे"	"1685 अनुष्का मोरे
अमरावती 235977"
"कोमल फडके"	"2321 भोसले
यवतमाळ-975145"
"कुमारी अमोल कदम"	"1197 पंकज पाटील
मिरज-949197"
"हर्षद सावंत"	"68/1924 प्रशांत माने
धुळे-941521"
"गौरी अहेर"	"2974 साने
पुणे-779998"
"प्रकाश कोल्हे"	"4/8 सचिन कोल्हे
धुळे-312695"
"श्री मेघा कोल्हे"	"5218 पवार
मिरज-153836"
"श्रीमती सुरेश ठाकूर"	"88/81 प्रकाश अहेर
नांदेड 934626"
"पंकज चव्हाणजी"	"6/5 देशपांडे
औरंगाबाद-730284"
"सुनील मानेजी"	"78/273 अंजली गायकवाड
सातारा 430027"
"मकरंद मोरेजी"	"02 देशपांडे
धुळे-749460"
"कुमारी प्रशांत साळुंखे"	"10/642 देशपांडे
पुणे 193348"
"श्री प्रवीण सावंत"	"945 समीर साळुंखे
ठाणे-280027"
"अमित देशपांडेजी"	"595 स्मिता जगताप
औरंगाबाद 502458"
"गणेश मोरेजी"	"4/9 कदम
यवतमाळ-920380"
"चेतन सावंत"	"421 महाजन
अमरावती-277267"
"सचिन कदमजी"	"4797 चौगुले
औरंगाबाद-281487"
"श्रीमती स्नेहा कोल्हे"	"13/35 कोमल महाजन
अहमदनगर-914484"
"दीपाली राऊत"	"200 भोसले
उस्मानाबाद-040445"
"श्री मंगेश कांबळे"	"2 सावंत
उस्मानाबाद-836478"
"अमित पवार"	"34 आदित्य चव्हाण
अमरावती 088469"
"निलेश मानेजी"	"5 कांबळे
औरंगाबाद 427683"
"कुमारी गौरव जगताप"	"26/7085 निलेश कदम
मुंबई 041105"
"श्री आकाश गायकवाड"	"62/970 उमेश भोसले
रत्नागिरी-074991"
"तन्वी कोल्हे"	"89/937 माधुरी मोरे
नाशिक 184514"
"मिलिंद गायकवाड"	"46/82 जगताप
कोल्हापूर 468754"
"माधव सावंतजी"	"23/253 रीमा जगताप
गोंदिया 574489"
"श्रीमती स्नेहा देशमुख"	"6 जोशी
अहमदनगर 917127"
"कुमारी समीर देशमुख"	"0265 शिरसाट
मुंबई 855194"
"मानसी पवारजी"	"5 कदम
मिरज-636476"
"श्रीमती भूषण माने"	"87/48 ठाकूर
सांगली-493218"
"ईश्वर गवळीजी"	"4/4 भोसले
अकोला 388428"
"स्मिता फडके"	"09/69 उमेश गायकवाड
लातूर-809532"
"अमित कुलकर्णीजी"	"28/71 अहेर
औरंगाबाद-210801"
"सचिन कुलकर्णीजी"	"78/649 पवार
गोंदिया-383949"
"श्री चेतना आगरकर"	"64/92 जोशी
उस्मानाबाद 836845"
"अभिजीत कदमजी"	"7/4 दत्तात्रेय गायकवाड
पिंपरी-चिंचवड-189532"
"श्रीमती स्नेहा शिंदे"	"19 राऊत
उस्मानाबाद-926081"
"अनिरुद्ध गवळीजी"	"5 लता भोसले
औरंगाबाद 142526"
"अमोल ओकजी"	"14/34 आगरकर
नागपूर 717787"
"हर्षद राऊतजी"	"029 मानसी कांबळे
रत्नागिरी-811913"
"विकास मोरेजी"	"3 मंगेश भोसले
उस्मानाबाद 997402"
"हर्षदा चौगुलेजी"	"4 मेघा गवळी
नांदेड-619249"
"मोहन कांबळेजी"	"91/107 आदित्य साने
नवी मुंबई 375647"
"श्री हर्षदा कांबळे"	"8/6 जगताप
चंद्रपूर-514557"
"स्मिता जाधवजी"	"98 अमोल कोल्हे
अमरावती-745970"
"श्रीमती ईश्वर सावंत"	"70/6906 चव्हाण
यवतमाळ-230120"
"श्रीमती स्नेहा साने"	"0 सुरेश भोसले
वसई 116145"
"आशा गायकवाडजी"	"386 कांबळे
परभणी 989521"
"हर्षद अहेर"	"4/4 पवार
वसई 796552"
"कुमारी प्रिया देशमुख"	"91 संदीप फडके
परभणी-037627"
"अनिरुद्ध अहेरजी"	"0/2 मीनल पवार
धुळे-610198"
"पंकज पाटीलजी"	"73 जोशी
परभणी-631106"
"अमोल शिंदेजी"	"3044 देशमुख
पुणे-279855"
"भूषण गायकवाड"	"89/3348 दीपक कोल्हे
अहमदनगर 193761"
"श्रीमती आशा महाजन"	"6 आशा फडके
उस्मानाबाद-041976"
"श्रीमती ईश्वर आगरकर"	"29/1069 ठाकूर
परभणी-180706"
"श्रीमती स्वाती गवळी"	"6/5 कदम
जळगाव-593630"
"पंकज माने"	"85/644 संदीप ठाकूर
जळगाव-972716"
"अभिषेक शिरसाटजी"	"74/9979 ओक
अकोला 821289"
"श्री स्नेहा चौगुले"	"2081 मोरे
सांगली-414951"
"श्रीमती स्मिता ओक"	"28/7052 जगताप
सांगली-139540"
"मिलिंद फडके"	"9 आकांक्षा साळुंखे
सातारा-671529"
"श्रीमती चेतना माने"	"25/882 पाटील
हिंगोली-548873"
"कुमारी निखिल अहेर"	"0/1 जितेंद्र देशमुख
परभणी 293837"
"मिलिंद मानेजी"	"6/6 मोरे
धुळे 179119"
"सुनील साळुंखेजी"	"1 नेहा माने
सातारा-975616"
"श्रीमती स्वाती पवार"	"02/73 रोहित अहेर
औरंगाबाद-792292"
"कोमल कुलकर्णी"	"84/66 महाजन
लातूर-995171"
"निलेश चौगुले"	"089 चौगुले
अहमदनगर-512829"
"गौरी कुलकर्णी"	"66/99 अरुण जोशी
अमरावती-739101"
"प्रकाश अहेरजी"	"2 निखिल पवार
अमरावती 695819"
"सुरेश राऊत"	"8 ज्योती पाटील
वसई-380317"
"निलेश शिंदे"	"9447 ठाकूर
पुणे-070326"
"गौरी आगरकरजी"	"52/8862 जितेंद्र साळुंखे
सातारा-303339"
"समीर देशमुखजी"	"605 दीपाली चौगुले
कोल्हापूर 676612"
"आदित्य सावंत"	"9 दत्तात्रेय महाजन
मिरज 953674"
"श्रीमती स्वाती महाजन"	"0570 राहुल गायकवाड
अकोला 903319"
"श्रीमती अभिषेक साळुंखे"	"8936 अभिषेक साळुंखे
पिंपरी-चिंचवड-270493"
"गणेश जगताप"	"44/20 माधव साने
सोलापूर 061605"
"आकांक्षा जगताप"	"40/353 जोशी
ठाणे-233353"
"राहुल मोरे"	"440 ओक
लातूर 061467"
"श्री चेतन जोशी"	"75/385 कदम
नागपूर-514074"
"दीपाली कदम"	"72/8224 शिरसाट
नाशिक 093515"
"श्रीमती स्वाती कोल्हे"	"965 सावंत
नागपूर 478687"
"उमेश मोरे"	"73/0521 आगरकर
नाशिक-219446"
"श्रीमती उमा कदम"	"30/7308 अशोक देशपांडे
चंद्रपूर 576779"
"श्रीमती स्वाती शिरसाट"	"28/47 अनिरुद्ध ओक
ठाणे-494457"
"अनुष्का साळुंखे"	"59/893 भोसले
अमरावती-930022"
"मानसी फडके"	"4/0 प्रकाश राऊत
अहमदनगर-273958"
"श्री अरुण ठाकूर"	"3 सावंत
परभणी 382840"
"श्रीमती दीपाली शिरसाट"	"03/11 प्रिया गायकवाड
कोल्हापूर-536307"
"अमित जाधव"	"29/01 किरण जगताप
नांदेड-158650"
"कुमारी श्रुती जोशी"	"9795 पवार
नाशिक 291493"
"अनिल फडकेजी"	"89 गौरी चौगुले
औरंगाबाद-901257"
"श्रीमती स्वाती पवार"	"173 चेतन अहेर
मुंबई 408381"
"मिलिंद गायकवाडजी"	"0244 जोशी
चंद्रपूर-297298"
"श्रीमती हर्षद पवार"	"89/5789 चौगुले
सोलापूर-847181"
"इशिता आगरकर"	"72/08 ओक
अमरावती 104131"
"श्रीमती माधुरी गवळी"	"8 देशमुख
अहमदनगर 350564"
"जितेंद्र देशमुख"	"46/49 इशिता गायकवाड
नागपूर 859761"
"कविता साळुंखे"	"376 ओक
जळगाव 202723"
"मेघा शिरसाटजी"	"93/7736 ज्योती भोसले
नवी मुंबई 645546"
"गौरी सावंतजी"	"10/55 साने
सोलापूर 194626"
"श्री प्रिया पवार"	"3/6 पंकज जोशी
सांगली 247065"
"पल्लवी महाजन"	"35/882 मोरे
अमरावती-058025"
"उमेश शिंदेजी"	"89/295 देशपांडे
कोल्हापूर-821416"
"श्रीमती हर्षदा चव्हाण"	"4606 मंगेश देशपांडे
नाशिक 350874"
"दीपक पाटीलजी"	"32/9396 गवळी
ठाणे-405911"
"रोहित शिरसाट"	"76/50 कुलकर्णी
मिरज 469877"
"चेतना फडके"	"5/0 साळुंखे
जळगाव-909191"
"समीर पाटीलजी"	"1/0 सुरेश जोशी
लातूर-576338"
"इशिता देशपांडे"	"95/017 कविता चव्हाण
बीड 718492"
"समीर कदम"	"57/825 विनायक माने
अकोला-634038"
"हर्षद कुलकर्णी"	"32/57 जाधव
जळगाव-603738"
"नेहा पाटील"	"9091 साळुंखे
पिंपरी-चिंचवड 272524"
"ईश्वर कुलकर्णीजी"	"10/1936 अनिता गवळी
गोंदिया-151210"
"श्रीमती हर्षदा जाधव"	"30/3547 कांबळे
चंद्रपूर 585285"
"श्रीमती धनंजय सावंत"	"730 चेतना राऊत
नवी मुंबई-665487"
"अंजली ओक"	"64 चेतना गायकवाड
रत्नागिरी-880698"
"कुमारी गणेश कदम"	"679 किरण शिरसाट
गोंदिया 798662"
"श्री मीनल जोशी"	"719 आदित्य चव्हाण
नाशिक 815942"
"कुमारी अनुष्का गवळी"	"7/9 देशमुख
अहमदनगर 523918"
"श्री चेतना सावंत"	"7158 तन्वी कुलकर्णी
धुळे-234975"
"ज्योती अहेर"	"8/1 चौगुले
अमरावती 099783"
"हर्षद पाटीलजी"	"8 निलेश चौगुले
नाशिक-522910"
"सुरेश शिंदे"	"786 जोशी
बीड-348322"
"श्रीमती हर्षदा सावंत"	"82 अनिल महाजन
धुळे 941292"
"आशा मोरेजी"	"96/837 पाटील
अहमदनगर-650751"
"अंजली कोल्हे"	"439 समीर ठाकूर
मुंबई-892746"
"अनुष्का जाधव"	"020 रोहिणी महाजन
औरंगाबाद 791342"
"निलेश पाटीलजी"	"82 भोसले
सांगली 882813"
"तन्वी महाजनजी"	"81/8248 भूषण माने
रत्नागिरी-285521"
"श्री धनंजय पवार"	"55 इशिता ओक
नाशिक-694965"
"सचिन फडकेजी"	"72/40 अरुण देशमुख
बीड 776340"
"कुमारी अमित देशमुख"	"6490 आकांक्षा अहेर
यवतमाळ 516961"
"कुमारी कल्पना फडके"	"67/3019 चौगुले
सोलापूर-998136"
"श्रुती अहेर"	"41/1613 कविता ओक
मुंबई-360050"
"श्रीमती किरण सावंत"	"35 मंगेश सावंत
लातूर 439664"
"प्रज्ञा आगरकरजी"	"295 कैलास पवार
नांदेड 453219"
"श्री तन्वी गायकवाड"	"23/950 मोरे
अहमदनगर-309450"
"श्रीमती मीनल राऊत"	"6/1 माने
ठाणे-828299"
"अनिरुद्ध मोरेजी"	"2932 मोरे
हिंगोली 222871"
"श्रीमती प्रवीण आगरकर"	"17 प्रशांत आगरकर
वसई-790541"
"कोमल मानेजी"	"07/24 नेहा जगताप
पिंपरी-चिंचवड 105379"
"श्री अशोक जाधव"	"8/0 पल्लवी देशपांडे
नवी मुंबई-605188"
"रोहित आगरकर"	"7 अहेर
कोल्हापूर 373815"
"श्रुती आगरकर"	"6/3 गायकवाड
रत्नागिरी-129987"
"अभिजीत महाजनजी"	"27/187 अभिषेक जगताप
उस्मानाबाद-775337"
"कुमारी कैलास जाधव"	"760 साळुंखे
औरंगाबाद-729890"
"श्रीमती ईश्वर पाटील"	"2875 ओक
उस्मानाबाद-509639"
"कुमारी नेहा जगताप"	"98/46 पाटील
परभणी 526129"
"पंकज पाटीलजी"	"7365 ओक
हिंगोली 936329"
"कैलास भोसलेजी"	"24/92 भोसले
उस्मानाबाद-199792"
"श्रीमती विकास जोशी"	"15/365 कुलकर्णी
जळगाव-182577"
"गौरी कोल्हे"	"2 मोरे
नाशिक 814627"
"उमेश पाटील"	"4476 भूषण साळुंखे
हिंगोली 129570"
"श्रुती कांबळेजी"	"9 अभिजीत फडके
सोलापूर-594482"
"शिल्पा गायकवाडजी"	"78/421 कदम
चंद्रपूर 818201"
"श्री विकास जाधव"	"51/82 देशपांडे
गोंदिया 565326"
"माधुरी पवार"	"10/2415 कदम
पुणे-918103"
"श्री दीपक राऊत"	"83 राऊत
यवतमाळ-657710"
"श्री अमित ओक"	"56 धनंजय महाजन
सातारा 303471"
"तन्वी देशपांडे"	"179 साळुंखे
सोलापूर 573887"
"उमेश कांबळेजी"	"428 हर्षदा सावंत
अहमदनगर 649726"
"शिल्पा चौगुले"	"8901 अनिल साळुंखे
धुळे 663468"
"नेहा कुलकर्णी"	"547 गायकवाड
अकोला 262437"
"श्रुती कोल्हेजी"	"61/389 कदम
नागपूर-935150"
"प्रिया जगताप"	"35/08 कांबळे
रत्नागिरी 655477"
"कुमारी प्रशांत कोल्हे"	"9/5 कुलकर्णी
अहमदनगर 327722"
"माधव जाधवजी"	"62/18 राहुल कदम
चंद्रपूर 739232"
"अमित अहेरजी"	"29/24 कुलकर्णी
यवतमाळ 532293"
"गौरी कोल्हेजी"	"36/47 प्रशांत फडके
वसई 003197"
"अमित सावंत"	"50/64 ओक
औरंगाबाद 928263"
"मीनल शिंदेजी"	"40/884 जाधव
गोंदिया-433875"
"कुमारी दीपक चौगुले"	"5/4 चव्हाण
पुणे-683145"
"संदीप चौगुले"	"73/015 शिंदे
नवी मुंबई-343664"
"श्रुती गवळीजी"	"81/4251 विनायक राऊत
सातारा-502384"
"रोहिणी शिरसाटजी"	"9/3 शिंदे
मुंबई-971329"
"श्री धनंजय गायकवाड"	"925 पवार
गोंदिया-270097"
"कुमारी गौरी कोल्हे"	"02/7051 कोल्हे
सांगली-955922"
"वैशाली जाधव"	"97/58 देशपांडे
ठाणे 550436"
"कल्पना कदम"	"821 प्रज्ञा कांबळे
सोलापूर 720983"
"श्री दत्तात्रेय भोसले"	"6471 शिंदे
कोल्हापूर-354195"
"विकास चव्हाणजी"	"29/4086 कुलकर्णी
गोंदिया-991444"
"विनायक भोसलेजी"	"02/7832 विनायक कदम
नागपूर-804902"
"मिलिंद सावंतजी"	"185 कुलकर्णी
नांदेड 551821"
"श्रुती जाधव"	"2/5 राहुल कदम
सोलापूर 870767"
"अमित भोसले"	"5/1 धनंजय चौगुले
मुंबई-816622"
"स्मिता शिंदेजी"	"03 विनायक अहेर
उस्मानाबाद-787846"
"हर्षद देशमुखजी"	"55/46 शिरसाट
उस्मानाबाद-019669"
"विनायक पाटीलजी"	"382 स्मिता महाजन
बीड-436054"
"स्नेहा ओकजी"	"29/4138 कदम
नवी मुंबई 465350"
"कविता जोशीजी"	"61/0777 चव्हाण
नांदेड 530555"
"आकाश साने"	"1400 जाधव
धुळे 542483"
"कैलास देशपांडेजी"	"877 हर्षद ठाकूर
नागपूर 040647"
"आदित्य माने"	"66/3007 गवळी
धुळे 064254"
"श्रुती ठाकूर"	"06/08 शिंदे
अकोला 849075"
"निलेश शिरसाट"	"28/36 प्रज्ञा पवार
बीड-979305"
"भूषण देशमुख"	"69/323 हर्षदा शिरसाट
हिंगोली 234713"
"श्रीमती समीर साळुंखे"	"60/06 गायकवाड
नांदेड-550288"
"श्री अनुष्का आगरकर"	"40/986 फडके
मुंबई 640592"
"रोहिणी सानेजी"	"15/9324 प्रज्ञा शिरसाट
बीड 220198"
"धनंजय ठाकूर"	"46/1415 ईश्वर साने
नागपूर-953559"
