"Aaron Ceulemans","Lisasteeg 10
6043 Tertre" 
"Louis Swinnen","Mariasteeg 6
9668 Romerée"
"Matthias Cornelis","Nielsstraat 7
1911
Aublain"
"Filip Melis Peeters","Jonashof 16
5193 Westouter"
"Carlo Joos","Johanboulevard 951
2310
Petegem-aan-de-Schelde"
"Irène Janssens","Georgetteweg 1
7502
Oelegem"
"Roy Kaya","Lucasring 960
7162
Soulme"
"Kristien Declercq","Maximsteeg 9
5596 Steendorp"
"Luc Van den Bosch","Christineweg 196
8400
Musson"
"Peter Vandendriessche","Frankboulevard 1
8978
Brustem"
"Sebastian Tanghe","Josélei 371
2452 Buzet"
"Beatrijs Peeters","Wouterlaan 6
9390 Neder-over-Heembeek"
"Matthias Meersman","Elisaring 8
5842
Theux"
"Ann Lauwers Verbiest","Wendylei 429
9156 Ressegem"
"Axel Bosmans","Willyboulevard 1
5949
La bouverie"
"Erwin Bertels","Kenbaan 642
2959 Lichtervelde"
"Freddy Van Parys","Karenbaan 42
6518 Forges"
"Elke De Clercq","Charlottelaan 49
9854
Oostende"
"Victor Maes","Jokering 84
3623
Irchonwelz"
"Lieve Sterckx","Ilsebaan 6
1132
Familleureux"
"Bart Sanders","Oliviersingel 764
7391
Walsbets"
"Jean-Pierre Rottiers","Kevindreef 63
7400
Aulnois"
"Matthias Willems","Marleenpad 7
4311 Bohan"
"Kurt De Clerck","Bettysteeg 13
6918 Hamoir"
"Ingrid Dierick","Elzasteeg 6
5479
Welkenraedt"
"Anne Janssens","Deborahbaan 388
3164
Knesselare"
"Annie Willems Pauwels","Carlossteeg 3
7917
Wangenies"
"Niels Van Hoof","Lorenzopad 28
3523 Waterland-Oudeman"
"Kristof De Meyer","Joeripad 806
4322
Melle"
"Louise Claessens","Yusufstraat 6
9167
Hermée"
"Anita Staelens Schoofs","Jeannineweg 6
8483 Kooigem"
"Katrien Van Laer","Alexanderpad 99
8471
Mont-Saint-Guibert"
"Maud Mortier Verheyen","Renésteeg 87
6508 Kluizen"
"Steve Coene","Neledreef 7
5486 Edelare"
"Nicolas De Backer","Ninalei 956
2408 Assent"
"Ian Maes","Gabrielladreef 94
1891 Lanklaar"
"Justine Heylen","Erwinhof 9
8570
Pepinster"
"Pedro Vercauteren","Margaretaboulevard 40
3445 Sint-Agatha-Rode"
"Lisette Van de Walle De Backer","Evelienlaan 605
7730
Kemzeke"
"Sara Degryse","Sennebaan 29
4470 Glabais"
"Jeanine Thomas","Kristofsteeg 8
9576 Russeignies"
"Ignace Proost","Carlhof 8
4840 Steenkerke"
"Maud Simons","Stephaniestraat 464
2195
Hergenrath"
"Kimberley Vermeulen","Jeanninering 749
1526
Fronville"
"Henricus Hanssens","Claraweg 3
3690 Samart"
"Jenny Michiels","Sabineboulevard 40
8485 Melles"
"Arlette Kenis De Ridder","Manuelsteeg 408
3088
Attre"
"Maria Bauwens","Carolineboulevard 8
3095 Bonnert"
"Dirk Janssens","Patriciaring 9
5515 Westerlo"
"Frans Jacobs","Erwinsteeg 977
4688
Furnaux"
"Johan Roels","Johannessteeg 014
9469
Tielt-Winge"
"Nadine De Roeck","Hannepad 1
7081 Dikkelvenne"
"Maurice Daems","Tessastraat 741
7066 Obaix"
"Johannes Desmet","Ömerweg 894
1126
Hogne"
"Linde Vanneste","Yassinering 92
4142
Matagne-la-Grande"
"Mia Troch Somers","Shanabaan 528
6066 Emelgem"
"Pierre François","Driesdreef 497
8763
Kessel"
"Lucienne Van de Walle","Rafaelstraat 9
8995 Biesme"
"Luc Kaya","Ludwigpad 25
1043
Hulshout"
"Katrien Vergauwen","Dirklei 143
5131 Merksem"
"Maria David","Gustaafdreef 429
9954 Nimy"
"Jan Huysmans","Gerdaboulevard 841
5976
Aubel"
"Maurice Hendrickx","Annlei 2
6715
Knesselare"
"David Claes","Eddybaan 42
3508 Schaltin"
"Maria De Cock","Marinadreef 0
7168 Havay"
"Johan Vermeulen","Lexring 520
6821 Freux"
"Sofie Lemmens","Samuelweg 75
7770
Tongre-Saint-Martin"
"Walter Desmet","Charlottesingel 56
1461 Bure"
"Lex Stevens","Rikhof 831
3831 Baal"
"Hélène De Bruycker","Jean-Pierrestraat 55
6011
Hofstade"
"Godelieve Van Dijck","Patrickring 881
2681 Piringen"
"Godelieve Bonte","Gertstraat 17
2536
Zande"
"Maurice Hendrickx","Renéelaan 84
8378
Kampenhout"
"Ibrahim Yilmaz","Brunosingel 89
9974
Maarkedal"
"Magda Daniels","Amberpad 84
8587 Villers-la-Loue"
"Julien Demeyere","Loïcstraat 904
6030
Mozet"
"Marie Van der Linden Van den Broeck","Johanbaan 962
7837
Sluizen"
"Guy Van den Broeck","Agnessteeg 080
7167 Honnelles"
"Franciscus Lambrechts","Franssteeg 5
7697 Romsée"
"Joseph Heremans","Joséweg 48
9067 Poupehan"
"An Driesen","Ingering 211
2095 Bolland"
"Caroline Vercauteren","Ellenlaan 478
1177
Mesnil-Eglise"
"Maurits Van Laer","Hubertlaan 3
7427 Schellebelle"
"Nico Vranckx","Sabinering 81
8329 Ethe"
"Dimitri Decock","Yanapad 74
8751 Kinrooi"
"Ken Martens","Marie-Christinelaan 757
4564 Ortho"
"Daniel Verbiest","Woutlei 2
4334 Villers-Deux-Eglises"
"Maria Boeckx","Victorialaan 917
8531 Bastogne"
"Steve Vermeir","Marielaan 2
6677 Zandvliet"
"Edward Van Looveren","Patriciaweg 2
7136
Baugnies"
"Fatima Joris","Odettesingel 8
8261 Jemappes"
"Filip Dekeyser","Jozeflei 83
7562 Omezée"
"Mauro Claes","Stevenweg 00
9982
Schönberg"
"Marc Reynders","Peterring 83
1254
Cugnon"
"Yasmine Thijs","Yvetteboulevard 8
9856 Serskamp"
"Edwin Verbruggen","Anitastraat 4
7553
Tellin"
"Jenny Lievens Wellens","Leastraat 032
6986
Brakel"
"Sofie Gillis","Johnnydreef 8
4476 Humbeek"
"Carine Poelmans","Mariasingel 2
2881
Cour-sur-Heure"
"Jacques Michiels","Janboulevard 7
4478 Malonne"
"Arthur Segers De Smet","Markboulevard 022
7678 Hainin"
"Nicole Peeters","Jokeboulevard 0
4841 Liezele"
"Mauro Goethals","Juliapad 1
7371
Jamoigne"
"Maxime Verhulst","Jordysingel 48
7645 Lombardsijde"
"Marie Van Loon","Nielssteeg 9
7263
Moresnet"
"Wim Wuyts","Joséering 325
7737
Ohain"
"Godelieva Baert","Wesleyring 70
7327 Hulsonniaux"
"Mieke Christiaens","Annboulevard 790
9024
Wortegem-Petegem"
"Willem Cox Verstraeten","Michaelboulevard 635
1542
Kooigem"
"Stefaan Verelst","Danielledreef 914
2941
Fosse"
"Tim Roelandt Carlier","Chrisstraat 465
5982
Fays-les-Veneurs"
"Patrick Stevens","Martinpad 1
2881
Horpmaal"
"Max Verhaeghe","Chrispad 502
7168 Neuville-en-Condroz"
"Steven De Block","Ingestraat 714
7363
Gerdingen"
"Sarah Moerman","Philippepad 685
1364 Estaimpuis"
"Ellen De Keyser","Charlesstraat 975
3586 De Panne"
"Jean Janssens Willekens","Evapad 03
1441
Gaurain-Ramecroix"
"Henri Peeters","Kristienboulevard 6
4869 Anderlecht"
"Tibe De Smet","Stefaansingel 8
6162 Corswarem"
"Jo Goovaerts","Annysingel 860
2558
Wezembeek-Oppem"
"Sabrina De Boeck","Leensteeg 063
2700
Montignies-sur-Roc"
"Fleur Roels","Briansteeg 807
6294 Gooik"
"Maxim Debruyne Peeters","Larssteeg 884
3122 Louveigné"
"Aicha Van Gestel","Sandrahof 469
9272 Stavele"
"Elke Blommaert","Johanboulevard 08
2637 Barvaux-sur-Ourthe"
"Kevin Willems","Luclaan 36
7283 Vaux-sous-Chèvremont"
"Jana Vereecken","Connylei 0
8995
Buvrinnes"
"Jos Maris De Smet","Estherring 57
5383
Calonne"
"Laura Coenen Eeckhout","Amberpad 959
6710 Desteldonk"
"Sam Verhoeven","Ilsehof 285
9296
Stevoort"
"Jozef Janssen","Catherinesingel 68
5542 Alle"
"Mathias Deprez","Annapad 9
8311 Meeuwen"
"Maxim Van Hoof Cuypers","Stefweg 094
3440 Wellen"
"Annick Leysen","Myriamring 7
9148 Leut"
"Kevin Dierckx","Cécilestraat 01
9044 Autelbas"
"Sonia Huybrechts","Jacquelinehof 7
5118 Saint-Servais"
"Eddy Boonen","Jonasbaan 3
3192
Corroy-le-Grand"
"Daniël De Ryck","Dianebaan 17
3737 Onhaye"
"René Vanhoutte","Guidostraat 25
4884 Ben-Ahin"
"Marie Tanghe","Janahof 60
6004
Ordingen"
"Lieve Matthys","Jochenbaan 4
9385
Haccourt"
"Febe Geerts","Nicksingel 43
5115
Haccourt"
"Maxime Hermans","Myriamlaan 19
7566 Niel-bij-Sint-Truiden"
"Anne De Meyer","Christophestraat 7
9165 Bléharies"
"Myriam Bonte","Jeroenboulevard 7
3063 Erpent"
"Anna Vandevelde","Samiradreef 64
3807
Knokke"
"Wim Adriaensen","Sabinelaan 129
6541 Hombeek"
"Sarah Aerts","Sofiestraat 262
8031
Hingeon"
"Eric Bogaert","Samboulevard 11
4432
Beaumont"
"Ann Debruyne","Daniëlstraat 5
5035
Ramegnies"
"Jeanine Joos","Louisdreef 793
8465 Hanzinelle"
"Maria Callewaert","Jolienstraat 242
5642 Chairière"
"Maxime Heyvaert","Lunabaan 4
2622 Saint-Germain"
"Sara Huysmans","Elenahof 355
8232
Ohey"
"Koen Maes","Ghislainelaan 319
7872
Gérouville"
"Viktor Van Acker","Pieterboulevard 5
5716 Estinnes-au-Val"
"Philippe Vercauteren","Christinedreef 6
6344
Ombret"
"André Delaere","Ericpad 0
7091 Barbençon"
"Bart Van Gestel","Muhammedbaan 83
1400
Trooz"
"Amélie Van Daele","Hildalaan 8
1038 Sommière"
"Marcel Jansen Fierens","Mohamedstraat 120
2413 Filot"
"Camille De Greef","Maudhof 90
2042 Kallo-Kieldrecht"
"Maxime Maes","Arnaudsteeg 368
8703
Lahamaide"
"Michel Vanhove","Rafpad 0
5272
Anzegem"
"Raphaël Claeys","Carladreef 123
6658 Ramegnies"
"Elza Maertens","Eriklaan 72
6642 Samrée"
"Christophe Claus","Kellydreef 8
1579 La Glanerie"
"Christa De Clercq","Brittlei 416
1185 Leest"
"Monique De Groote","Juuldreef 131
3612 Nollevaux"
"Denise Timmermans","Willemboulevard 9
9194
Hombeek"
"Kris Luyten Maes","Mariaring 83
4562
Gages"
"Timothy Adriaenssens","Kobesteeg 96
8590 Mornimont"
"Maxime Peeters","Sophieboulevard 7
6672
Rahier"
"Michel Tack","Véroniquestraat 142
2885
Beveren-Waas"
"Senne Vandeputte","Pietlei 3
8589 Anvaing"
"Lore Boonen Engelen","Driesdreef 9
9175
Braffe"
"Valérie Bertels","Nathansteeg 7
5277 Bossut-Gottechain"
"Kim De Wilde","Stefaanpad 7
5230 Heuvelland"
"Lisa Verhoeven","Kobepad 0
2487 Hemiksem"
"Myriam Verstraete","Ilsesteeg 7
9821
Baillonville"
"Tom Peeters","Nathalielei 3
8476
Souvret"
"Godelieve Jansen","Leopoldsingel 34
3212 Tongre-Saint-Martin"
"Maxime Van Camp","Leonsingel 995
5986
Profondeville"
"Arthur Knockaert","Rosasteeg 52
8136 Conneux"
"Mathijs Vandenbroucke","Leensteeg 468
3341
Rebaix"
"Pieter Goovaerts Huyghe","Patrickdreef 2
8701 Everbeek"
"Sara Desmet Declerck","Magdasingel 6
2336
Toernich"
"Viviane Verwimp","Bartbaan 61
1151 Bléharies"
"Denise De Keyser","Cathybaan 9
4296 Ronsele"
"Arne Hens","Jeanboulevard 49
4273
Graux"
"Stephan Van Impe","Sylviebaan 101
4692
Thulin"
"Jan De Backer","Catherinelaan 5
5492
Attert"
"Maxime Vanneste","Mohamedhof 11
4439
Archennes"
"Bart Jacobs","Yolandastraat 45
7904
Buissenal"
"Edith Van Damme","Hélèneboulevard 3
8073 Mont-Sainte-Aldegonde"
"Guido Rottiers","Tessalei 59
1949
Fumal"
"Maria Vervoort","Jeanring 777
2574
Voort"
"Hilda Coenen","Pietersingel 626
1940
Denderhoutem"
"Rachid Braem","Naomisingel 6
4085 Popuelles"
"Josiane Van Assche","Elenastraat 507
1369 Kaulille"
"Elena Vermeulen","Wilfriedlaan 874
3857 Overhespen"
"Hans Vleugels","Amyweg 8
5230 Forêt"
"Maxime Willems","Mariesingel 2
2993
Erbisoeul"
"Willy Lambrechts","Emielbaan 156
1301
Hodeige"
"Emile Willems","Angelosteeg 434
8840 Virginal-Samme"
"Alex Verstappen","Sandysteeg 45
2066
Froidchapelle"
"Emma Engelen","Taniapad 9
5197
Strépy-Bracquegnies"
"Camille Gielen","Jessicadreef 08
8731
Ivoz-Ramet"
"Kim De Jonghe","Andréstraat 1
7898
Hodeige"
"Monique Janssens","Briekring 66
1763 Erezée"
"Chantal Proost","Lilianehof 01
2176 Sippenaeken"
"Wilfried Pollet","Amberweg 9
6113 Erbaut"
"Mehmet Rottiers","Jolei 50
9111
Straimont"
"Peter Janssen","Juleslei 01
6099 Ellezelles"
"Katrien Nuyts","Anndreef 8
9318
Oostende"
"Maria Raeymaekers","Timsteeg 815
2588 Rollegem-Kapelle"
"Bjorn Hermans","Mohamedsteeg 128
6608
Charneux"
"Kim Verschueren","Lucabaan 461
9388
Thoricourt"
"Françoise Buelens","Ludoring 1
9937
Meerbeke"
"Ellen Luyckx","Martinebaan 62
1621
Landegem"
"Roger Wauters","Victoriasingel 11
6803 Dergneau"
"Kevin Rogiers","Rolandring 970
8074
Gorsem"
"Melissa De Groote","Eddylei 94
3840 Neuville"
"Lucienne Claes","Robinring 4
7446 Wortegem-Petegem"
"Sara Peeters","Olivierlei 232
5682
Daussoulx"
"Louise Bogaert","Evelynering 82
3567 Marilles"
"Yolanda Dekeyser","Lowieweg 1
5263 Berzée"
"Lars Thys","Patrikring 864
5641
Witry"
"Mireille Smets","Cecilebaan 1
3469 Mol"
"Monique Van Loo Timmermans","Fredericweg 97
7156
Moelingen"
"Willem De Wilde","Petersteeg 13
1080
Zonnebeke"
"Jean Verschueren","Pascalsteeg 6
6138 Ambresin"
"Melissa Thijs","Miabaan 986
3343
Comblain-la-Tour"
"Wim De Schepper","Elisaboulevard 577
9936 Molenbeersel"
"Lionel Blondeel","Gittesteeg 90
5594
Hooglede"
"Chris Lievens","Yannickhof 48
4998
Herselt"
"Anna Houben","Lowiering 12
5629
Vaux-sous-Chèvremont"
"Britt Swinnen Colpaert","Annickboulevard 994
7124 Melden"
"Emilie Reynders","Fleurlaan 5
1899
Profondeville"
"Marianne Vandewalle","Verabaan 0
1024
Aarschot"
"Wim Verheyen","Marleensteeg 0
7019 Damme"
"Patrick Casteleyn","Véroniquering 1
4349
Blicquy"
"Merel Van Camp","Andréstraat 30
7524 Sint-Margriete-Houtem"
"Ruben Kerkhofs","Godelievesingel 48
3548 Pepingen"
"Tania Hermans","Mathijssingel 440
9223
Thuin"
"Lucas Roose","Simonlaan 7
4568
Nivelles"
"Jean Buysse","Joannesstraat 1
5319 Genk"
"Kevin Vercammen","Brigittesingel 64
2460
Godveerdegem"
"Eddy Vervaeke","Lydiapad 46
1710 Fexhe-le-Haut-Clocher"
"Jan Joris Coenen","Jordysteeg 588
3961 Hove"
"Carlo Maes","Xavierbaan 11
6675
Morville"
"Nele Maes","Lienboulevard 8
4913
Wijshagen"
"Mia Rogiers","Lucbaan 696
2653 Arville"
"Carl Naessens","Nicolelaan 63
6951 Sint-Huibrechts-Hern"
"Steven Simons","Neledreef 9
1468
Paliseul"
"Marina Claessens","Jeroensteeg 68
3617 Perk"
"Guy Martens","Martinstraat 1
1510 Wortegem"
"John Jacobs","Mariannelaan 69
1836 Villers-Saint-Amand"
"Pascale De Vos","Carinelei 6
8927 Thy-le-Bauduin"
"Kenneth De Witte","Stijnweg 4
3774
Stevoort"
"Marc Wouters","Florentlaan 6
1592
Wasmes"
"Mathilde Boone","Julienstraat 2
6841 Aubange"
"Mia Vercruysse","Camillesingel 4
2414
De Klinge"
"Louis Van den Broeck","Renélaan 787
3805 Hannut"
"Patrick Roels","Hendriklaan 39
3120
Renlies"
"Katty Fierens","Sarahpad 1
5361 Voormezele"
"Gilbert Rosseel","Anjapad 602
7684 Rotheux-Rimière"
"Thomas Dhondt","Barbarabaan 27
7150 Chiny"
"Marleen De Bock","Ericboulevard 524
4870 Deurne"
"Nicole Beyens","Amélieweg 541
3068
Ressegem"
"Kim Moens","Noëlring 4
2072
Gottem"
"Griet Christiaens","Nielslaan 3
2727 Momalle"
"Michael Gielen","Juliesteeg 773
6114
Wieze"
"Lien Malfait","Veerlestraat 278
9365
Louette-Saint-Pierre"
"Ingrid De Meyer","Daanring 586
7359
Saint-Georges-sur-Meuse"
"Cedric Wouters Verstraete","Viktorstraat 968
8600 Jurbise"
"William Decock","Armandsteeg 84
2277
Bohan"
"Annick Ceuppens","Jarneboulevard 79
4619
Crisnée"
"Joppe Janssens Depoorter","Tombaan 49
4475 Saint-Mard"
"Christiana Verheyden","Jolienring 97
7669 Manage"
"Bart Joos","Brigittapad 27
2644
Romsée"
"Ilias Bracke","Alisteeg 64
4153
Oetingen"
"Michael Lambrecht","Antoinettesingel 6
3115 Lanaken"
"Myriam Cools","Annboulevard 39
7732
Oostkamp"
"Pauline Bracke","Floriansteeg 1
7216
Braine-l'Alleud"
"Frans Broeckx","Laurenring 225
9502 Watermaal-Bosvoorde"
"Glenn Van den Bossche","Lilianeboulevard 980
1595
Wonck"
"Rosalia Van Hoof","Patriciastraat 8
9173 Froidchapelle"
"Marie De Pauw Borremans","Lisaboulevard 86
9847
Crombach"
"Peter Moreels","Xandersteeg 633
4698
Pironchamps"
"Koen De Keyser","Anstraat 2
2771
Buvrinnes"
"Rafaël Huysmans","Jacqueslaan 9
2799 Bredene"
"Michael Van Gestel","Ilseweg 86
9227 Essene"
"Marie Meeus","Emiliabaan 14
7470
Schaltin"
"Maryam Smets","Tinaring 6
6783 Daknam"
"Michel Lemmens","Jeanlei 8
4586 Chairière"
"Rudy Pauwels","Liesbethsteeg 9
6242 Sint-Jan-in-Eremo"
"Frederik Van Dessel","Ritadreef 444
9446
Zolder"
"Georges Van Loon","Gilbertpad 59
1314 Genoelselderen"
"Mathias Saelens","Marcellastraat 18
9901
Loupoigne"
"Eddy De Wulf","Sofiesteeg 189
4311 Oudenaken"
"Stefaan Vandenberghe","Emmanuelhof 7
3106 Blehen"
"Michael Van den Bosch","Philippesingel 54
8749
Thines"
"Eline Vandendriessche","Fleurring 11
7205 Sint-Huibrechts-Lille"
"James Bogaert","Evelinelei 6
6411 Reet"
"Willy Hendrickx","Rogerbaan 9
7935 Durnal"
"Carolien Deleu","Erikweg 014
6195 Wambeek"
"Tom Smits","Anstraat 00
2143
Wayaux"
"Kristof Cuypers","Kathleenhof 4
6998 Robechies"
"Kristel De Leeuw","Sofiehof 3
9411
Mehaigne"
"Karen Van Dyck","Karenpad 5
7882 De Klinge"
"Rita Verhaeghe","Mathiaslaan 541
8433
Aiseau-Presles"
"Michaël Roosen","Mariaring 91
4739
Bovekerke"
"Jules Rutten","Ivanpad 194
8148
Jallet"
"Nelly Eeckhout","Milanlaan 6
9976 Zellik"
"Leen Verdonck","Jeannelaan 414
9981
Crisnée"
"Caroline Verhaegen","Moniquelaan 599
2410
Moxhe"
"Mats Thys","Eliassingel 3
5080 Maisières"
"Paul Vervaeke","Roelandhof 535
7252 Bury"
"Barbara Cuyvers","Stefandreef 7
9317 Wambeek"
"Christiane Hens","Jansingel 953
6405
Châtillon"
"Els Cools","Annylei 641
3561
Jallet"
"Michel Andries","Kristiaansteeg 43
1934
Gelbressée"
"Mariette Maes","Henricushof 55
5724
Sart-en-Fagne"
"Joannes De Pauw","Roelring 762
8073 Surice"
"Nicole Van Rompaey","Rosaliastraat 210
8905
Flône"
"Brenda Vermeulen","Auréliesteeg 334
6943 Donstiennes"
"Rafael De Waele","Nicolasdreef 310
2143 Ostiches"
"Ria Timmermans De Graeve","Lutgardeboulevard 241
1454
Neerheylissem"
"Serge De Smet","Rosaliesteeg 5
4482 Rumbeke"
"Liliane Vrancken","Ericpad 668
4843 Herve"
"Febe Callens","Ninasingel 195
8287 Beek"
"Michel De Meyer","Dirkweg 0
6295 Landskouter"
"Hannes Maes","Martineboulevard 123
6028
Silly"
"Tine Verstraeten","Mariastraat 3
9366
Neerheylissem"
"Jeannine Verlinden","Karinsingel 677
3193 Ambresin"
"Robert Vanhoutte Peeters","Tanjahof 628
3721 Krombeke"
"Maxim De Weerdt","Karlpad 036
9764 Kolmont-Tongeren"
"Lise Claes Van Damme","Miguelsteeg 7
1373
Dolembreux"
"Cindy Lemmens","Alainlaan 2
1138
Vlimmeren"
"Anita D'hondt","Guidoring 6
6870 Hingeon"
"Gianni Degryse","Bjornlei 74
1349 Ouwegem"
"Michel Desmedt","Irènehof 497
2454
Oeren"
"Kato Geens","Petersteeg 461
9536 Borlon"
"Jolien Adriaenssens","Jennysteeg 69
4605
Chaudfontaine"
"Gert Vleugels","Ibrahimlei 226
7053
Vivegnis"
"Luc Houben","Williamsteeg 0
1902
Thoricourt"
"Sonia Vanhee","Cindysteeg 92
5787 Middelkerke"
"Silke De Baets","Mariering 41
8599 Borgloon"
"Annie Van den Bossche","Chloësingel 563
4764 Rollegem-Kapelle"
"Céline Michiels","Beatrijslaan 26
3290 Membruggen"
"Maxim De Ridder De Witte","Sarahhof 262
3244 Oeren"
"Michel Joris","Jeanstraat 943
8978 Moorslede"
"James Verstraete Roels","Thibaultsingel 85
2748 Chastre"
"Elif Vervaet","Joannesweg 6
9964 Poperinge"
"Monique Verhulst Smets","Bartbaan 2
9913 Outrijve"
"André Lauwers","Vichof 69
3206 Oizy"
"Yvonne Reynders","Jellebaan 795
4079 Vossem"
"Seppe Vanneste","Elzapad 7
5595 Hulshout"
"Jozef De Wilde","Fransstraat 2
1816 Amel"
"Annie Devriendt","Erwinbaan 2
8090
Omal"
"Glenn Verlinden","Huguettestraat 4
6443
Ellikom"
"Micheline Coenen","Maartenlaan 6
3753 Lissewege"
"Kurt De Groote","Norepad 52
7008 Ham"
"Mohamad Verheyen","Jeroenbaan 37
9743 Saint-Pierre"
"Nancy Van den Berghe","Guyring 69
5167
Cornimont"
"Nicolas Van Hoof","Ingepad 513
1407
Péronnes-lez-Binche"
"Kurt Michiels","Joannalei 7
4080
Ronse"
"Diana Pauwels","Sabrinalei 2
9982 Tarcienne"
"Miguel Casteleyn","Rogerbaan 929
9800 Arc-Ainières"
"Andy Vandewalle","Willybaan 84
8641
Balen"
"Hanna Van Laer Mahieu","Fransweg 236
5326 Meerbeek"
"Micheline Van Dijck","Lottelaan 6
1920
Brugelette"
"Sonia Michielsen","Waltersingel 987
6481
Brecht"
"Marie-Claire Vermeylen","Carinaring 1
9094 Héron"
"Jozef De Backer","Brentweg 13
5123
Sommethonne"
"Sarah Rottiers Lambrecht","Kevinsteeg 81
9135
Chênée"
"Sofie Van Assche","Dianesteeg 5
1343
Trooz"
"Deborah Pauwels","Ingebaan 014
3341
Leut"
"Lina Cornelis","Annpad 46
5514
Messelbroek"
"Vera Segers","Ericweg 878
7331
Moustier"
"Sara Gevaert","Michielhof 1
1882
Kalmthout"
"Michiel De Vos","Klaasboulevard 368
1698 Wervik"
"Lucas Baeten","Lunapad 6
1075
Mollem"
"Kevin Van Genechten","Lucsteeg 87
8040 Péronnes-lez-Binche"
"Emiel Brouwers","Nancystraat 721
7348
Vlissegem"
"Kathleen De Waele","Nicksteeg 1
1841 Ucimont"
"Michael Neyens","Mariaring 544
3653 Wavreille"
"Noëlla Martens","Bennylei 6
8487
Grimminge"
"Victor Bertels","Felixlaan 84
8316 Pousset"
"Annie Van Laer","Sannestraat 579
8986
Idegem"
"Christa Vervaet","Moniquehof 11
7746
Ernonheid"
"Michiel Heymans","Milaboulevard 33
8545 Leupegem"
"Thijs Lemmens","Estellehof 360
8183 Estaimpuis"
"Lisa Vandevelde","Marialaan 4
1589
Wevelgem"
"Serge Geudens","Sofiepad 24
5063
Kanne"
"Marie Stevens","Philippedreef 53
8981 Glabais"
"Monique Colman","Godelievedreef 1
3865 Houdremont"
"Ilse Peeters","Robbehof 6
9563
Herzele"
"Kevin Janssens","Carolineboulevard 684
2799
Arsimont"
"Mark Stevens","Patrickbaan 910
3413
Mazée"
"Ellen Janssens Devos","Ritastraat 356
1300
Oostakker"
"Michiel Maes","Julespad 9
1201
Dentergem"
"Johan Smets","Georgeslei 09
8151
Baelen"
"Alain Verwimp","Ronyboulevard 96
7343
Guignies"
"Monique Van Dijck","Sonjasingel 6
2678 Denée"
"An Peeters","Arthursingel 15
7498 Hodister"
"Maryam Swennen","Lucboulevard 2
8893
Scy"
"Yara Michiels","Lucpad 4
9065 Ransart"
"Wouter Swennen","Dorienweg 726
7707
Waudrez"
"Magda Somers","Jordydreef 970
1986 Harzé"
"Anke Vervaet","Renéboulevard 875
2062
Les Waleffes"
"Michiel Nijs","Hugoboulevard 9
8892 Lodelinsart"
"Noor De Pauw","Mariapad 5
5616
Loncin"
"Josephus Verbeeck","Lilianestraat 46
4275
Souvret"
"Natascha Stevens Janssens","Corneliabaan 0
4469
Oedelem"
"Christiana Thys","Lindalei 5
2078
Cul-des-Sarts"
"André De Clercq","Fleurboulevard 6
3832 Kallo"
"Lars Claes","Franciscushof 750
7991
Péruwelz"
"Rudi Van Dooren","Camillesteeg 3
7388
Koekelberg"
"Elien Colman","Rudilaan 68
7661
Laneffe"
"Hilde Van Hove Gillis","Svenlaan 3
5125 Amonines"
"Michiel Van Goethem","Charlotteweg 58
4067 Opoeteren"
"Sven Op de Beeck","Lauraring 7
6553 Loker"
"Laura Huyghe","Jaydenbaan 248
9910 Tilleur"
"Alice Yildirim","Lauradreef 39
2350
Wondelgem"
"Marleen Verbeeck","Wimring 9
1705
Dour"
"Kurt Van den Berghe","Elzaboulevard 025
9115
Knokke"
"Jan Van Damme","Johanlaan 08
2420 Anlier"
"Justine Neven","Iliasweg 5
7339 Smetlede"
"Jan Jansen","Luciennesingel 0
3463 Zandvliet"
"Stijn Verbeeck","Jonashof 1
4324 Tenneville"
"Michèle Fierens","Nicolesteeg 2
2332 Zulzeke"
"Maria Hens","Henrilaan 2
8187
Godarville"
"Sandra Debruyne Dewaele","Elinering 59
1456
Wilderen"
"Chantal Van Laer","Mohamedhof 655
7661 Sint-Stevens-Woluwe"
"Betty Janssens","Patrickhof 403
5679 Lauwe"
"Margareta De Neve","Ellapad 2
8934
Erondegem"
"Maxime Broeckx","Jandreef 597
6385 Chapelle-lez-Herlaimont"
"Davy De Block","Julienpad 766
3580
Virton"
"Ronald Fransen","Davidsteeg 4
1069
Bouillon"
"Hilde De Ridder","Fridasingel 57
4286
Spalbeek"
"Mieke Aerts","Josephinaring 7
8741
Neerijse"
"Georgette Bekaert","Evelinebaan 854
6029
Athis"
"Beatrice Lippens","Stefaanlaan 5
5612 Attert"
"Florence Vleugels De Paepe","Joannahof 62
2519 Asquillies"
"Paula Joos","Isabelledreef 446
8834
Everberg"
"Eddy Van Belle","Brendabaan 244
3305 Wortegem"
"Aya Christiaens Lemmens","Annadreef 03
6090
Rocourt"
"Jayden Swennen","Inesteeg 64
6765
Beerst"
"Frédéric Gevaert","Peterstraat 896
4498
Büllingen"
"Maryam Put","Kobedreef 537
5612
Drieslinter"
"Mieke Deckers","Annhof 47
5288
Etterbeek"
"Hendrik Pauwels","Marcellaan 1
6703
Oeren"
"Sophie Vandeputte","Marioweg 55
2037 Knokke-Heist"
"Ella Pauwels","Tanialaan 5
3826 Elen"
"Pauline Janssens","Lenahof 14
4782 Jehay"
"Stephan Smets","Borissteeg 04
8064 Huppaye"
"Dimitri De Neve","Emilelei 289
6557 Baugnies"
"Sam Van Hove","Marksteeg 1
9290
Vreren"
