"Aaron Bruneel","Mauricesteeg 94
2260 Rijkhoven" 
"David Geerts","Merelboulevard 1
6020 Monceau-sur-Sambre"
"Lisa Van Damme","Tatianaweg 6
9842 Lantremange"
"Dimitri Claus","Janlaan 07
3490 Wachtebeke"
"Ann Verhulst","Wimpad 56
1270
Thines"
"Josse Polfliet","Guidoweg 178
9536 Callenelle"
"Annick Willekens","Emmanuellei 1
9191
Lustin"
"Michèle Maes","Jean-Pierreweg 797
3028 Piétrain"
"Emma Van Hoof","Ingridstraat 606
8793 Tremelo"
"Regina Vandeputte","Brechtlaan 6
1784 Quartes"
"Eric Meyers","Stefaanhof 598
5614
Robelmont"
"Stephanie Hermans","Kennethsingel 0
2851 Cul-des-Sarts"
"Patrick Sterckx","Mariasteeg 719
2912 Lesterny"
"Marina Put","Kimpad 126
2694 Gellik"
"Tony Depoorter","Mohamedsteeg 01
5552 La Louvière"
"Angela Martens","Ingridweg 7
8116 Vlekkem"
"Laura Van Acker","Ryanweg 59
9186
Jamioulx"
"Mieke Bauwens","Hannabaan 9
7109
Libramont-Chevigny"
"Sabine Engelen Willems","Daniëlweg 36
4358 Ensival"
"Lore Timmermans","Nellystraat 080
3977 Villers-l'Evêque"
"Juliette Cox","Christianeweg 054
1796
Martenslinde"
"Gerry Verhaeghe","Katelijnehof 0
5896
Vottem"
"René Bosmans","Nelelei 1
8365
Gottignies"
"Jozef De Meyer","Biekepad 28
6049 Nives"
"Brent Van Damme","Lindaring 01
7329
Grembergen"
"Marthe Boeckx","Xavierbaan 2
4427 Pommeroeul"
"Sarah Dewilde","Jarnestraat 34
8987 Poederlee"
"Mieke Mariën","Johanbaan 80
1510 Moorsele"
"Erika Mahieu","Erwinlei 77
6503
Lapscheure"
"Vic Verstraeten","Dirkhof 799
7264
Sommière"
"Peter Melis","Sylvieboulevard 3
5036
Samart"
"Maurice Thijs","Georgesweg 84
5452 Froidchapelle"
"Barbara Maes Hellemans","Jeanpad 00
2331
Roselies"
"Cédric De Bruyne","Kevindreef 95
7393 Rhisnes"
"Tamara Vermeire","Freddystraat 9
8687
Thon"
"Georges Verhulst","Sanderlei 448
4969
Hallaar"
"Ilse Heylen","Monadreef 1
1463
Flémalle-Grande"
"Mieke Snauwaert","Wilfriedboulevard 4
8344 Lambusart"
"Gabriël Wuyts","Yvesdreef 18
1366 Glabais"
"Koen De Wit","Kristienstraat 57
8812 Wardin"
"Hans Van den Brande","Kimlei 88
1749 Comblain-la-Tour"
"Thomas De Rycke","Jossehof 6
6689 Bléharies"
"Marcella Dupont","Isabellebaan 480
8397 Marbais"
"Jana Govaerts","Nickbaan 86
1429 Borchtlombeek"
"Henri Engels","Irènepad 336
1298 Mont-Saint-André"
"Femke Heyvaert","Axelweg 6
9716
Rumst"
"André Martens","Annelieslei 7
1744 Muizen"
"Mike Peeters Roosen","Lucring 446
6888
Denderwindeke"
"Lutgart Wouters","Ritaring 52
7604 Mollem"
"Bas Blomme","Denishof 8
6233
Ohain"
"Wouter Pauwels","Dennispad 20
3921
Hachy"
"Bieke Van Nuffel","Martinering 626
5413
Impe"
"Ronny Smeets","Carloslei 09
5384
Riksingen"
"Gustaaf Moens","Annpad 892
7116 Strépy-Bracquegnies"
"Gino Reynaert","Willydreef 628
4548 Hondelange"
"Tom De Moor","Timboulevard 96
8922
Lierde"
"Elena Tielemans","Marinalaan 39
3030
Dohan"
"Milan De Moor","Daanlei 949
3474
Sint-Agatha-Rode"
"Henk Maertens","Valentinalaan 7
3501 Fraiture"
"Mieke Jacobs","Robinhof 778
7294
Morlanwelz-Mariemont"
"Rudi Ceulemans Sterckx","Jennylaan 07
4373
Lennik"
"Mia Jansen","Petersteeg 83
8256
Berlaar"
"Ivo Schepers","Timbaan 82
7687
Grapfontaine"
"Mohamed Lenaerts","Viktorboulevard 4
9584 Pipaix"
"Janne Luyten","Biancalaan 9
2644 Reet"
"Sabine Wouters","Leonhof 9
3856
Marcinelle"
"Nicole Willekens","Chantalboulevard 429
2906
Ransberg"
"Miranda Bossuyt","Jeanstraat 4
3503 Ronse"
"Silke De Muynck","Ronnybaan 5
1302 Vinkt"
"Olga Cools","Polhof 69
2122 Omal"
"Frank Vanderheyden","Leonieweg 14
6614
Grembergen"
"Nathalie Van Laere","Didierbaan 95
7712 Gros-Fays"
"Willem Mertens","Jacquesstraat 2
4859
Sint-Huibrechts-Lille"
"Carlo Van den Eynde Mertens","Jamalpad 9
3618
Nerem"
"Liv Janssens","Bertlaan 85
5612 Bourseigne-Vieille"
"Tim Huysmans","Mariasingel 2
7020
Ormeignies"
"Liliane Schoofs","Sarahdreef 2
4306
Bressoux"
"Miranda De Waele Declerck","Annielaan 631
8441 Boninne"
"Khalid Van den Bosch Van Impe","Stevenring 165
8170 Wavreille"
"Melissa Van der Linden","Elsweg 62
8689 Erneuville"
"Pascale De Winter","Olivierbaan 224
6465 Tillier"
"Christel De Vos","Karldreef 82
2605
Waremme"
"Fran Jacobs","Robinstraat 8
2495
Beveren-aan-den-Ijzer"
"Ronny De Laet","Josephinasteeg 480
8069
Landegem"
"Pol Coenen","Gerdasteeg 50
4238
Mont"
"Filip Van Rompaey","Brunolei 3
3588
Roborst"
"Raf Parmentier","Sannehof 875
2430
Toernich"
"Mireille De Bruyne","Fatimaring 428
3060
Wezeren"
"Paula Buelens","Gerdaring 9
5767
Les Bulles"
"Jan Reynaert","Dannyhof 4
3070
Gits"
"Yassin Michielsen","Charlotteboulevard 179
6176
Halen"
"Yana Claes","Geertlaan 60
1154
Bousval"
"Monique De Bruyn","Carmendreef 105
2154
Kapelle-op-den-Bos"
"Lise Vandaele","Jordyhof 68
6744
Anloy"
"Raf Vandamme","Saskiastraat 8
5398 Begijnendijk"
"Roger Van Hecke","Christophedreef 658
6551
Weerde"
"Patrik Boeckx","Louislei 284
5716
Auvelais"
"Mireille Vanneste","Yvansingel 426
8731
Borchtlombeek"
"Christel Lambrechts","Erikahof 28
3300 Fosses-la-Ville"
"Eveline Vandekerckhove Bruyninckx","Godelievesteeg 26
4948 Hechtel"
"Anna Maes","Tompad 1
4213 Mazée"
"Tom Hoste","Annsingel 244
8017
Jupille-sur-Meuse"
"Maria Kenis","Juliennestraat 09
1735 Leval-Chaudeville"
"Marco Aerts","Mariahof 8
3835 Ben-Ahin"
"Frieda De Winter","Francinering 885
4375
's-Gravenvoeren"
"Kristof Renders","Brendadreef 78
3992 Quevaucamps"
"An De Wilde","Evaweg 503
6360 Spermalie"
"Mohamed Baeyens","Victorlei 8
2486
Lo-Reninge"
"Cédric Claes","Nelesteeg 18
3281 Ellignies-lez-Frasnes"
"Louis Vervoort","Dianalei 01
5067
Opdorp"
"Agnès De Smet","Jürgenring 07
4551
Wodecq"
"Jan Vervaet","Tamarabaan 7
7678
Rumsdorp"
"Lena Willems","Mariastraat 19
9635
Opitter"
"Ellen Devriendt","Stefansingel 5
9970 Saintes"
"Nadine Vandenbussche","Milanlaan 53
8078 Falaën"
"Carolina Nuyts","Liampad 3
7991
Wandre"
"André Bogaert","Christiaandreef 432
6573
Herdersem"
"Mohamed Buelens","Frankboulevard 3
5748
Brasschaat"
"Elisabeth Boone","Elinering 152
4323 Tongeren"
"Rita Deprez","Claudinebaan 7
8405
Ninove"
"Fleur Temmerman","Franciscusboulevard 919
6634 Warquignies"
"Manon Wellens","Godelievelaan 790
2895
Montbliart"
"Robbe Dejonghe Pauwels","Lennpad 29
2778
Jalhay"
"Axel De Vuyst","Maudring 08
1085
Chièvres"
"Kurt Van Herck Dhondt","Katrijnlei 753
1134
Vliermaal"
"Frank Smets","Kennethsteeg 127
2838
Braine-le-Comte"
"Omar Verheyden","Gerdastraat 946
5005 Ingelmunster"
"Mohamed Renders Van den Eynde","Mireilleboulevard 75
2913
Neerheylissem"
"Gilbert Raes","Thijssingel 1
2028 Lorcé"
"Michiel Theys","Bartpad 809
2188
Villers-le-Gambon"
"Frederik Vandewalle","Janalaan 469
3577 Floriffoux"
"Jeroen Verhoeven","Bryansingel 8
8550 Loker"
"Daniel Standaert Moonen","Nancyboulevard 997
9088
Arville"
"Alina Dewilde Neven","Jurgenstraat 63
5195 Dessel"
"Maria Mertens","Miekebaan 512
1091 Schalkhoven"
"Jan Vanderlinden","Jurgenlei 27
6870
Roucourt"
"Mila Claus","Marclaan 493
1811
Zoutleeuw"
"Mohamed Van Looy","Mehdiweg 338
8910 Goesnes"
"Noël De Wit","Frédéricweg 75
9536 Jehonville"
"Rosa Houben","Bernardsteeg 95
8019
Meerbeek"
"Danny Van Laer","Willystraat 51
3379
Malle"
"Juliana Vermeersch","Danielstraat 90
1652 Hognoul"
"Jolien Liekens","Peterboulevard 55
3672 Bolland"
"Toon Ceulemans","Joostpad 237
1620 Steendorp"
"Jason Desmet","Wilfriedsingel 8
8989 Overmere"
"Jan De Cock","Carinedreef 9
6644 Philippeville"
"Laura Janssens","Alexandrastraat 8
5390
Klerken"
"Mohammad Heylen Boone","Bernadettestraat 77
2418
Wanzele"
"Gilbert Van den Bergh Van Damme","Remilaan 466
7992
Jamagne"
"Eddy Verstraete","Timsingel 21
3936 Stoumont"
"Leon Jonckheere","Erwinlei 240
3170 Thoricourt"
"Kelly Houben","Constantbaan 262
2400 Zarren"
"Simone Thijs","Arnosteeg 2
2005 Oetingen"
"Anna De Smet","Marcopad 6
3930 Harre"
"Monique Meert","Mariettesingel 2
3602
Vellereille-les-Brayeux"
"Anouk De Groof","Isabellepad 105
8864
Bellevaux-Ligneuville"
"Angela Stroobants","Frederiklaan 81
5877
Meigem"
"Mohammed Ahmed","Runehof 92
3600
Erps-Kwerps"
"Ilias Wauters","Andypad 841
7886
Jandrain-Jandrenouille"
"Kim Meeus","Dirkdreef 58
3188
Lichtaart"
"Ruben Lambrechts","Mohamedsingel 309
2615 Bellefontaine"
"Niels Van Bogaert","Cyrielweg 065
7279 Villers-aux-Tours"
"Amelia Maes","Toonweg 56
4065 Erezée"
"Marc Vermeulen","Veerlestraat 8
9531
Mormont"
"David Cornelis","Jeanneboulevard 30
4022
Halen"
"Simonne Leemans Aerts","Karensteeg 427
3279
Woesten"
"Camille De Leeuw","Karellei 9
6357
Froyennes"
"Mohammed Boon","Marleensteeg 086
4630 Péruwelz"
"Roger Lemmens","Jefboulevard 0
7348
Opwijk"
"Roland Goethals","Ginoweg 59
6831
Membre"
"Carine Ali","Aichalei 567
6431
Relegem"
"Victor Van Camp","Glennsteeg 162
7714 Desteldonk"
"Stan Demeyere","Mirandalaan 995
7973 Brussel"
"Jens De Bock Colpaert","Mathieupad 16
5860
Sirault"
"Lise Kaya","Patricklei 40
9297
Vierset-Barse"
"Dirk Janssen","Emmasingel 21
7807 Halleux"
"Joke Van Hulle","Jozefhof 0
4772
Sint-Agatha-Berchem"
"Mohammed De Waele","Koenpad 161
9159
Boussoit"
"Kris Van Laere","Antonlei 410
9378
Arbrefontaine"
"Paul Hermans","Renéesteeg 5
9071
Vrasene"
"Yvonne Moens","Maartenring 298
9735
Heurne"
"Jean Martens","Bartsingel 19
9689
Vaux-et-Borset"
"Rudi Hellemans Segers","Frederiksingel 953
1161 Clabecq"
"Monique Mertens","Johnnypad 7
1137
Sint-Lenaarts"
"Luc Wouters","Adamsteeg 911
4956
Mannekensvere"
"Elisa Maes","Dirkweg 80
4889 Kuurne"
"Eric Roelandt","Jeannestraat 6
9758 Hognoul"
"Mohammed Van Roy","Elssingel 409
1345
Vertrijk"
"Monique Maertens","Björnstraat 6
5588 Ogy"
"Kurt Diallo","Runelaan 85
6216 Termes"
"Peggy Stas","Ritabaan 60
2396 Schoonaarde"
"Charlotte Wauters","Ilsepad 6
3552 Engis"
"Florence Wauters Vermeulen","Yarapad 379
5556
Beyne-Heusay"
"Maria Callewaert","Lisapad 04
1694 Evelette"
"Peter Meyers","Dianasingel 074
1768
Blehen"
"Robert Dierckx","Dannysteeg 5
9884
Kruibeke"
"Jozef Van den Broeck","Liesdreef 7
3077
Beez"
"Mona Claessens","Victorialaan 47
6695 Ortho"
"Roger Cuyvers","Jacqueshof 30
9301
Vichte"
"Ayman Verboven","Mariasingel 0
8038 Miécret"
"Jarno De Wolf","Veerlehof 539
6412 Omal"
"Edwin Jonckheere","Daniëlweg 72
6621
Zaffelare"
"Lena Swennen","Hendriklaan 975
4799
Lorcé"
"Gunther Mertens","Ronaldweg 350
8172 Nieuwrode"
"Ludwig Verheyen","Guidoring 8
4688
Pont-à-Celles"
"Fatma Faes","Veerlesteeg 97
5138
Messancy"
"Cindy Van Hove Segers","Rosalielei 30
6957
Testelt"
"Monique Adams","Kristofstraat 73
6912
Damme"
"Peter Vermeersch","Rogerpad 4
5689
Weert"
"Hanne Torfs","Christianring 6
2098 Pipaix"
"Edwin Maes","Deniselaan 419
7013
Estaimpuis"
"Franciscus Vandekerckhove","Kristofbaan 95
4201 Herenthout"
"Ahmad Gillis","Tomhof 4
4102 Bruyelle"
"Koen Van Gorp","Jessehof 8
3943 Harre"
"Stephan Joris","Françoisweg 01
2658 Bevercé"
"Jan De Smedt","Magalihof 67
6244 Wasmes"
"Niels Goris","Jordystraat 3
5243 Bomal-sur-Ourthe"
"Monique Bauwens Meert","Sarahlaan 55
6527
Zoutleeuw"
"Jana Verhaegen","Wilhelmuslaan 95
3592 Tournay"
"Martine Holvoet Claeys","Axelpad 1
9121
Langdorp"
"Jean De Bruycker","Katrienstraat 486
2948 Franière"
"Jo Segers","Seppepad 001
1063
Anthée"
"Margaretha Claeys","Brittstraat 30
2110 Matagne-la-Petite"
"Christian Vervoort","Willemstraat 1
3605
Hooglede"
"Jean Verstraete","Jeffreydreef 200
3576 Poelkapelle"
"Samuel Demeulenaere","Victoriahof 32
1461 Zandvoorde-Oostende"
"Julie Bruggeman","Koendreef 3
3368 Peissant"
"Monique Broeckx","Marlieslaan 786
5199 Grandvoir"
"Daisy Vandewalle","Moniquestraat 24
2613
Merkem"
"Maarten Willems","Glennweg 917
2740 Ghoy"
"Huguette Wouters","Veroniquelaan 050
9435 Maffle"
"Fernand Gevaert","Lindabaan 72
3914 Emelgem"
"Jos Deman","Nickpad 1
6316
Arbre"
"Maria Vandamme","Femkehof 0
8420
Loupoigne"
"Thomas Lenaerts","Fridaring 622
4472
Montleban"
"Jozef Verstraeten Ahmed","Leenpad 91
5587
Erbisoeul"
"François Jacobs","Guylaan 4
6562 Leval-Trahegnies"
"Monique De Coster","Ericlaan 863
3481
Weelde"
"Jade Van Hoecke","Alfredlaan 937
6371 Wayaux"
"Ayse Verbeke","Guidohof 0
7438 Rouvroy"
"Patricia Verbeke","Heidisteeg 8
5900 Widooie"
"Sven Lenaerts","Carolinestraat 147
9284
Ochamps"
"Georgette De Baets","Geertweg 37
3650 Essen"
"Maria Verstraete","Josephushof 579
1798 Rèves"
"Joost De Mulder Vervaet","Ruthbaan 8
6675 Humain"
"Yves De Jonghe Vanbrabant","Jacquelinelei 164
8583 Dion-Valmont"
"Dirk Stroobants","Stijnlei 79
8265 Hantes-Wihéries"
"Monique Lievens","Mariedreef 09
2885 Ronse"
"Ine Vervaeke","Hugostraat 905
1444
Wespelaar"
"Elien Van Hecke","Dianebaan 161
4050
Haren"
"Christel Luyten","Paulweg 79
5489 Bavegem"
"Nancy De Bie","Elisabethdreef 372
2951 Wichelen"
"Ken Vandenbussche","Antoinelei 01
8635
Godveerdegem"
"Kris Vranken","Lukassingel 4
3186
Trivières"
"Peter Van Raemdonck","Nicolebaan 1
8539
Rumes"
"Martijn Hermans","Sannestraat 20
8921 Polleur"
"Ellen Van Landeghem","Juliastraat 5
7871
Zandvoorde-Zonnebeke"
"Monique Moonen","Barthof 222
7513 Brakel"
"Erik Van Damme","Filipboulevard 470
9182
Durbuy"
"Tina Verhaegen","Mariaboulevard 93
5442
Aartselaar"
"Maurice Van Poucke","Mariolaan 2
6339
Châtelet"
"Benjamin Demeyer","Nicoleweg 228
4037 Cour-sur-Heure"
"Marc Tanghe","Monasteeg 1
6124 Archennes"
"Mohammed Dewaele","Matthewhof 9
2454
Les Waleffes"
"Anke De Moor","Sannedreef 2
7441 Blehen"
"Raf Van Laere","Ceciliaboulevard 718
5315
Haasdonk"
"Miranda Hermans","Wesleylei 944
5346 Elewijt"
"Monique Moons","Alainstraat 72
5659
Moortsele"
"Marc Vercammen Geerts","Stephaniestraat 2
8798 Piétrebais"
"Denise Parmentier","Rogerlei 134
2354 Haut-Ittre"
"Elena Geudens","Carolinesingel 46
7014 Poederlee"
"Geert Vereecken","Patrickdreef 98
1370
Saint-Aubin"
"Irma Sterckx","Estellering 6
6195
Flémalle"
"Stefan Thomas","Rogersteeg 441
1500
Braives"
"Diana De Roover","Lindaboulevard 65
3529 Olne"
"Louise De Roeck","Etiennedreef 986
4898
Sint-Gillis-bij-Dendermonde"
"Louis Pauwels","Andreasring 6
4015 Bury"
"Monique Rutten","Abdullaan 57
8226 Poesele"
"Joke De Smet Vandenbussche","Juliettelaan 491
7069 Hensies"
"Sonja De Graeve","Nielssteeg 58
1942 Jambes"
"Jeroen Jacobs","Pieterbaan 9
3452 Lavoir"
"Nina Segers","Guyweg 5
1824 Messancy"
"Patrick Huyghe","Ritasteeg 55
8810 Kerniel"
"Johan De Ridder","Marcelhof 712
7462
Oombergen"
"Lieven Simoens","Marialaan 75
1356 Heffen"
"Dirk Mertens","Leonstraat 22
1240
Dourbes"
"Dirk De Wit","Philippebaan 0
6164
Sint-Kwintens-Lennik"
"Monique Van den Broeck Lenaerts","Sonjalaan 617
4498 Court-Saint-Etienne"
"Erna De Ryck","Auréliesteeg 72
7507
Eupen"
"Steven Geerts Verbruggen","Odettesteeg 964
4413 Battignies"
"Yves De Ryck","Lucboulevard 8
8262
Everberg"
"Christophe Sterckx Nys","Hugopad 221
8500 Schepdaal"
"Simonne Dobbelaere","Juliestraat 1
1442
Buissenal"
"Dries De Groote","Yasminabaan 591
4087 Elsegem"
"Agnes De Smedt","Rogerring 04
2957
Forges-Philippe"
"Ann Martens","Erwinbaan 010
7150
Hermeton-sur-Meuse"
"Kelly Jacobs","Marleenbaan 71
6095
Ere"
"Monique Vandenbussche","Rosettedreef 951
9860 Thieu"
"Alexander Claeys","Kevinlei 389
5659
Rosmeer"
"Stefaan Thys","Pierreweg 6
2118
Wevelgem"
"Emiel Govaerts","Christianehof 18
8851 Wangenies"
"Amy Meersman","Jozefstraat 1
9285 Audregnies"
"Robert Lammens","Ninabaan 42
2331 Voort"
"Julie Vanhoutte","Godelievesingel 4
5061
Saint-Remy-Geest"
"Luc De Neve","Hannahlei 18
2806 Hodeige"
"Freddy De Coster","Elslaan 8
5633
Verviers"
"Melissa Stevens","Pieterstraat 78
7112 Markegem"
"Muhammed Beernaert","Maartenboulevard 57
1353
Kooigem"
"Christine Janssens","Carinasteeg 0
9037 Kortenaken"
"Carine Verstraete","Thomasbaan 90
7881
Baulers"
"Saskia Dupont","Anneliesboulevard 11
3716
Rutten"
"Christiane Leemans","Seppehof 3
2011 Estaimbourg"
"Zeynep Van Herck","Birgitlaan 92
9854 Audregnies"
"Nele Reynaert","Valériesingel 319
1489 Sint-Martens-Leerne"
"Sylvie Baeten","Geertdreef 740
1388 Walhain-Saint-Paul"
"Dirk Tielemans","Biancasteeg 793
6702 Vorselaar"
"Kaat Verwimp","Maximesteeg 23
5893
Groot-Gelmen"
"Murat Kenis","Gretalaan 027
7036 Berlingen"
"Anny De Pauw","Michelsingel 842
9274
Beernem"
"Irène Verbeke","Kristelstraat 609
4956
Melsen"
"Mireille Boone","Joppering 49
3930
Kachtem"
"Warre Seghers","Kathleenhof 16
3100 Dailly"
"Kato Verhelst","Hildestraat 1
6402 Wuustwezel"
"Jack Devos","Katrienlaan 0
6334 Ramskapelle-Nieuwpoort"
"Gustaaf Feys","Constantring 07
5463 Hechtel"
"John Van Loock Vercauteren","Björnpad 9
2457
Heverlee"
"Geert Vandekerckhove","Vivianelei 6
4764
Presles"
"Mustafa Blommaert","Jimmydreef 4
6746
Bauffe"
"Juul Dewaele","Carolinesteeg 273
6726
Nieuwenhove"
"Anke Ooms","Frankring 482
9970
Resteigne"
"Rania Liekens","Luchof 77
6656
Warisoulx"
"Annie Wuyts","Carlosweg 15
6877 Retie"
"Yolande Pattyn","Lukashof 635
6739
Spontin"
"Marina Vandewalle","Annlei 10
6247 Sart-en-Fagne"
"Ferdinand De Wit Christiaens","Johnboulevard 04
4626 Groot-Loon"
"Edgard Somers","Joeripad 42
4804 Bonheiden"
"Hilde Van Parys","Nancysteeg 260
3821 Habay-la-Neuve"
"Mustafa Vandekerckhove","Claudinedreef 82
6522 Mellery"
"Elisabeth Coppens","Raphaëlweg 16
6835
Gotem"
"Lucienne Baert","Rogerhof 066
9021 Saint-Vincent"
"Christiaan Verlinden","Laurabaan 03
9841 Lotenhulle"
"Ella Peeters","Frankypad 3
4731
Onze-Lieve-Vrouw-Waver"
"Ruben Mertens","Laurahof 4
6004 Wanze"
"Milan Voet","Thijsdreef 575
9105
Durnal"
"Daniel De Vuyst Michiels","Kimhof 6
7841
Opprebais"
"Jens Timmermans","Patricksteeg 2
6235 Zétrud-Lumay"
"Joppe Segers","Ingridboulevard 75
8757
Grandhan"
"Myriam Jans","Jonassteeg 7
7056 Emblem"
"Chantal Loos Van Belle","Jacobuslei 8
2219
Florennes"
"Lydie Van Lierde","Thorhof 085
8942 Chênée"
"Ann De Smet","Brittboulevard 3
8158
Retie"
"Maria De Groote","Nelestraat 088
1368
Straimont"
"Sara Reynaert Timmermans","Aurélielaan 017
3233 Finnevaux"
"David Eeckhout","Rikpad 638
4204
Biesme-sous-Thuin"
"Benjamin Van de Velde","Kristaring 0
4987
Waremme"
"Stephanie Herman","Carmensteeg 40
1626
Sugny"
"Ellen Verlinden","Geerthof 009
9612 Oteppe"
"Myriam Loos","Eddyboulevard 3
6172 Saint-Pierre"
"Josepha Neven","Bilalboulevard 1
9919
Horebeke"
"Chloé Vanhoutte","Dirkstraat 35
3365 Temse"
"Alex Daems","Nicolei 873
9205
Heyd"
"Christiane Singh","Renéehof 96
9114
Blankenberge"
"Dieter Van de Velde","Koensteeg 26
8446
Waver"
"Luca Thys","Frederickdreef 9
9377 Hantes-Wihéries"
"Karl Lemmens Van den Berghe","Michielboulevard 55
6304 Herselt"
"Niels Saelens","Emmasteeg 91
9704
Blaregnies"
"Linda Theunis","Raphaëllei 52
6095
Morkhoven"
"Myriam Vercauteren","Cathylei 70
9924 Antheit"
"Jana Baert","Erwinring 471
4412
Hour"
"Pol Van Dooren","Runesingel 984
2991
Willemeau"
"Emmanuel Huybrechts Michiels","Mariettesteeg 6
4394
Vrasene"
"Peter De Ridder","Aaronhof 93
8989
Biercée"
"Godelieve Janssens","Marijkedreef 172
3339
Ottignies"
"Mathieu Beyens","Ilsesingel 8
3679 Zelzate"
"Steven De Groote Yilmaz","Emilyring 0
9528
Stalhille"
"Eveline Engels","Farahbaan 88
2509
Walcourt"
"Silke Lievens Matthijs","Jeanboulevard 0
9883
My"
"Nadia De Meyer","Jacqueshof 65
2731
Grand-Leez"
"Johannes De Bie","Vanessabaan 039
6532
Niverlée"
"Sofie Lievens","Rubenpad 02
4865 Berneau"
"Maria Beernaert","Ellaring 435
8737 Remagne"
"Jimmy Galle","Julialaan 73
3833 Gent"
"Anke Meert","Carlossteeg 379
3858
Evegnée"
"Marleen Hermans","Andyhof 4
6992 Haacht"
"Tine Swinnen","Jasperstraat 28
1506
Naomé"
"Monica Peeters","Stefaanboulevard 744
6833 Rotem"
"Stefanie Huys","Sofiehof 40
6759 Cérexhe-Heuseux"
"Nadia Maes","Jean-Mariebaan 13
6530
Hermalle-sous-Argenteau"
"John Vermeulen Verbruggen","Elisabethsingel 25
7794
Langemark-Poelkapelle"
"Ludwig Schepens","Florebaan 837
3121
Villers-Poterie"
"Stephanie Vos","Franciscusbaan 545
4077
Grand-Hallet"
"Sam Van Dijck","Marcbaan 0
7131
Heindonk"
"Francine Colpaert","Milansingel 282
4503 Erezée"
"Kurt Poelmans","Alexanderbaan 3
4863
Schore"
"Johan Verwimp","Josephboulevard 6
1415
Winksele"
"Alain Cox Vermeulen","Ellenhof 6
9904
Aineffe"
"David Van den Bergh","Christinesteeg 565
7326
Schalkhoven"
"Nadine De Wit","Lucasboulevard 94
2939
Petite-Chapelle"
"Dina Staelens","Stevenlaan 69
7736 Avelgem"
"Anton De Weerdt","Arthurbaan 07
5234
Vresse-sur-Semois"
"Katrien Huys","Ingridweg 680
7537
Horrues"
"John Goossens","Bartsingel 8
1381
Aalst"
"Jacques Lemmens","Wimstraat 827
7246 Eliksem"
"Jacques De Clercq","Johnsteeg 8
1248 Maillen"
"Stephanie Bekaert","Agnèslei 438
4789
Pulderbos"
"Victoria Lauwers","Davylaan 50
2249 Les Waleffes"
"Paula Maes","Koenlaan 1
1872 Lot"
"Nadine Sabbe","Marinastraat 250
2367
Sint-Katelijne-Waver"
"Steve Vermeulen","Suzannebaan 0
1554
Vieux-Genappe"
"Monique Hermans","Erichof 87
5575 Hechtel"
"Lindsay Thys","Johanpad 836
8268 Mesnil-Saint-Blaise"
"Silvia De Cuyper","Laurenssteeg 7
8002
Rotselaar"
"Thijs Van Raemdonck","Gretasteeg 70
8951 Nafraiture"
"Martha De Bie","Arlettesteeg 4
9766 Bray"
"Maya Yilmaz De Bruyn","Anhof 9
2472
Vossem"
"Ann Lippens Troch","Petradreef 54
9746 Chapelle-à-Oie"
"Jan Peeters","Sandraweg 0
4206 Mere"
"Nadine Van den Broeck","Larasteeg 393
3825
Maurage"
"Ilias Meert","Marcweg 9
3913 Dikkebus"
"Marie Govaerts","Waltersingel 143
6487
Bovekerke"
"Anne-Marie Michielsen","Rogersingel 454
5579
Remersdaal"
"Frans Verstraete","Filipstraat 445
3210
Familleureux"
"Nadine Beernaert","Ingridlaan 49
1749
Sart-en-Fagne"
"Patricia Wuyts","Rudyring 168
1653
Rongy"
"Bernard Dillen","Peterpad 31
6961 Wanze"
"Guido Maes","Noahlaan 672
4763
Koersel"
"Ilse Mertens","Patrickstraat 919
9964
Sint-Amandsberg"
"Nadine Vandevelde","Huguettebaan 28
8017 Hamipré"
"Eddy De Roeck","Carinebaan 744
7704
Ohain"
"Dirk Vandeputte","Annlaan 33
4188 Zeveneken"
"Filip Coenen","Jellesingel 920
7736 Borgerhout"
"Hilda Moens","Stienbaan 8
9227 Kooigem"
"Rudi D'hondt","Patricksingel 698
4845 Westouter"
"Suzanna De Smedt","Ludovicusbaan 950
4170 Bierset"
"Petrus Dobbelaere","Anniehof 8
8667 Rupelmonde"
"Boris Bekaert","Evilei 675
6266
Achel"
"Brecht Vos","Laurentboulevard 491
6988
Grobbendonk"
"Nadine Verhoeven","Marcweg 424
7366 Suarlée"
"Gerda Adriaensen","Dannyboulevard 934
2704 Hoogstade"
"Hilde Desmet","Karinweg 60
7986 Stavelot"
"Didier Goris Peeters","Stevensingel 295
1372
Chantemelle"
"Christine Luyckx Hens","Leensingel 649
6283
Tildonk"
"Ivan Hendrickx","Lewisweg 9
8328
Gérouville"
"Karel Leroy","Patriciasingel 59
3286
Nadrin"
"Gert De Graeve","Mariannelei 46
1126 Gellik"
"Ferdinand Fierens","Isabelledreef 5
3823 Bost"
"Wouter Engels","Emieldreef 095
7045 Villers-Saint-Ghislain"
"Nancy Claessens","Alidreef 95
4112
Westmalle"
"Suzanne Cox","Ingesteeg 7
1306 Mettet"
"Mustafa Van Hove","Marleenbaan 134
6895
Mariembourg"
"Monique Janssens","Jorislaan 619
5252
Filot"
"Caroline Goossens","Brigittestraat 68
2828
Mons"
"Armand Verbrugghe","Natasjabaan 694
6180 Braine-le-Château"
"Lorenzo Philips","Sennestraat 04
2091 Jodoigne"
"Willy Moors","Jarnebaan 97
5857 Evrehailles"
