"Ѓорги Јовановски"|"Никола Вапцаров 711
87858 Битола" 
"Весна Заева"|"Луј Пастер 0а/3
36548 Ресен"
"Наташа Глигорова"|"Николај Коперник 6в
75771 Прилеп"
"Г-ѓа Снежана Стефановска"|"Христијан Тодоровски Карпош 195
55856 Богданци"
"Проф. Сања Атанасова"|"Природна 0в
90268 Делчево"
"Проф. Цвета Мојсова"|"Волгоградска 77
40567 Кратово"
"Наташа Митревска"|"Кеј Димитар Влахов 6
87879 Делчево"
"Роза Глигорова"|"Михаило Пупин 3в
00062 Струга"
"Весна Дамјановска"|"Васил Главинов 3а
66974 Ресен"
"Проф. Јасмина Стефановска"|"Наум Охридски 6б
06831 Виница"
"Проф. Митко Дамјановски"|"Гоце Делчев 9а/2
38149 Битола"
"Даниел Климовски"|"Луј Пастер 1а
27495 Дебар"
"Г-ца Кристина Петровска"|"Благој Давков 8б
33741 Македонски Брод"
"Г-н Андреј Николов"|"Скупи 1б/1
15625 Крушево"
"Проф. Цвета Дешановска"|"Благој Давков 1в
67195 Куманово"
"Иван Поповски"|"Луј Пастер 6б
24952 Крушево"
"Др. Даниел Лазаревски"|"Петар Поп Арсов 2б/4
96022 Охрид"
"Роза Дешановска"|"Ибрахим Темо 1
09130 Битола"
"Оливера Димовска"|"Илинденска 5
03556 Македонска Каменица"
"Проф. Коста Мусијановски"|"Питу Гули 375
44869 Струга"
"Нина Ѓоргиева"|"Скупи 329
30644 Делчево"
"Г-ѓа Марина Лазова"|"Аристотел 1
92963 Тетово"
"Игор Шакири"|"Никола Карев 8а/9
38028 Македонска Каменица"
"Др. Димитар Гроздановски"|"Партизански одреди 63
95005 Богданци"
"Тијана Цветковска"|"Букурешка 4б/3
62462 Свети Николе"
"Елизабета Пановска"|"Букурешка 3в
86767 Кичево"
"Др. Тодор Петровски"|"Климент Охридски 47
74853 Прилеп"
"Роза Крстева"|"Кирил Пејчиновиќ 930
64055 Делчево"
"Лина Лазова"|"Николај Коперник 7а
69752 Прилеп"
"Дарија Лазаревска"|"Наум Охридски 131
70781 Кратово"
"Г-н Наум Димовски"|"Булевар Цветан Димов 7б/4
47010 Гевгелија"
"Душан Петковски"|"Наум Охридски 9б
10595 Македонска Каменица"
"Снежана Бојаџиева"|"Радовишка 4в
19371 Ресен"
"Проф. Стојан Марковски"|"Орце Николов 583
04676 Валандово"
"Г-н Петар Мартиновски"|"Варшавска 4а/2
78574 Кочани"
"Проф. Сашо Симоновски"|"Димитар Влахов 8в
02891 Радовиш"
"Анета Алексовска"|"Михаило Пупин 2б
06898 Прилеп"
"Роза Крстеска"|"Георги Димитров 98
45120 Свети Николе"
"Г-ца Надица Мојсова"|"Димитар Влахов 6а/6
30770 Демир Хисар"
"Проф. Димитар Мусијановски"|"Тодор Александров 9б/5
64127 Струга"
"Г-н Трајан Николов"|"Христијан Тодоровски Карпош 05
16461 Гевгелија"
"Стефанија Велјанова"|"Букурешка 9
39637 Крушево"
"Кирил Цветковски"|"Одбранбена 8б/3
26820 Прилеп"
"Томе Зафировски"|"Букурешка 0б
85356 Скопје"
"Др. Сашо Василев"|"Ленинградска 7б
47898 Кратово"
"Лилјана Илиева"|"Михаило Пупин 5б
96638 Берово"
"Ѓорги Велков"|"Булевар Цветан Димов 64
44855 Радовиш"
"Роза Митревска"|"Зелезничка 6в
10088 Демир Капија"
"Проф. Теодора Глигорова"|"Трета македонска бригада 5а
65619 Богданци"
"Наум Заев"|"Стоби 92
68396 Македонска Каменица"
"Г-ца Магдалена Николова"|"Петар Поп Арсов 493
54383 Свети Николе"
"Др. Драгана Глигорова"|"Рибарска 6
82320 Македонска Каменица"
"Јане Донев"|"Волгоградска 0б/7
40476 Велес"
"Др. Антон Митревски"|"Булевар Никола Карев 2а/3
04577 Македонска Каменица"
"Емилија Лазова"|"Јасминска 8б
15888 Богданци"
"Алексеј Илиев"|"Ибрахим Темо 5б/2
25041 Демир Хисар"
"Данче Илиева"|"Славеј Планина 0а
79464 Македонски Брод"
"Роза Николовска"|"Партизански одреди 3
74802 Тетово"
"Иванка Андоновска"|"Виенска 1б/2
16186 Демир Капија"
"Др. Дарко Климовски"|"Варшавска 7б
00813 Валандово"
"Г-ца Емилија Донева"|"Орце Николов 0а/5
93810 Гевгелија"
"Валентина Дешановска"|"Гоце Делчев 8
58906 Крушево"
"Оливера Ристовска"|"Кеј Димитар Влахов 0а/5
02793 Струга"
"Проф. Елена Коцева"|"Булевар Александар Македонски 7в
43318 Ресен"
"Проф. Цветан Гавриловски"|"Варшавска 6
68495 Богданци"
"Др. Јасмина Матевска"|"Булевар Свети Климент Охридски 1б/3
18344 Валандово"
"Димка Арсовска"|"Никола Вапцаров 3
54287 Македонски Брод"
"Роза Петровска"|"Васил Главинов 819
92010 Кавадарци"
"Проф. Симон Ристовски"|"Булевар Блаже Конески 1
84559 Велес"
"Проф. Тодор Ристовски"|"Пролетерска 5б
70864 Берово"
"Проф. Иван Трајковски"|"Глигор Прличев 2а/4
35340 Демир Хисар"
"Гордана Димовска"|"Природна 14
89689 Демир Хисар"
"Јасмина Климовска"|"Булевар Александар Македонски 4а/6
51120 Демир Капија"
"Проф. Чедо Крстев"|"Орце Николов 9
67331 Валандово"
"Драган Петровски"|"Будимпештанска 329
76484 Прилеп"
"Емил Петровски"|"Хелсинки 4в
97013 Крушево"
"Проф. Васка Алексовска"|"Булевар Цветан Димов 3б
75337 Пехчево"
"Сара Бојаџиева"|"Булевар Блаже Конески 16
88449 Пробиштип"
"Г-н Митко Мартиновски"|"Кеј Димитар Влахов 9в
07073 Ресен"
"Симона Јовановска"|"Пролетерска 4
62988 Демир Капија"
"Соња Коцева"|"Николај Коперник 2б/7
96790 Македонски Брод"
"Проф. Мирјана Климовска"|"Наум Охридски 3а/8
23639 Струга"
"Г-ѓа Софија Николова"|"Радовишка 7а
94404 Охрид"
"Г-н Слободан Марковски"|"Илинденска 3а/4
06788 Валандово"
"Крсте Матевски"|"Едвард Кардељ 2б
18884 Крушево"
"Даниел Петковски"|"Букурешка 5а/4
04212 Македонски Брод"
"Софија Иванова"|"Хелсинки 8а/9
37371 Виница"
"Сара Велкова"|"Хелсинки 9в
98113 Куманово"
"Г-н Петре Јанев"|"Луј Пастер 2б
97786 Валандово"
"Проф. Благица Гроздановска"|"Крсте Мисирков 25
48033 Гостивар"
"Г-ѓа Цвета Матевска"|"Васил Главинов 71
25244 Гевгелија"
"Г-н Александар Марковски"|"Гоце Делчев 0б/4
64890 Македонски Брод"
"Сања Климовска"|"Скупи 1а/7
77574 Струмица"
"Нина Зафировска"|"Питу Гули 61
63561 Валандово"
"Стојан Николов"|"Трета македонска бригада 4а
20238 Богданци"
"Александар Спасовски"|"Бриселска 8б
76093 Тетово"
"Проф. Александра Ѓорѓиевска"|"Орце Николов 1а/3
58371 Гостивар"
"Сара Митревска"|"Васил Главинов 0
62544 Струга"
"Тодор Гроздановски"|"Букурешка 8а
10427 Струмица"
"Трајан Михајловски"|"Николај Коперник 277
51767 Неготино"
"Дарија Климовска"|"Букурешка 2
01688 Дебар"
"Проф. Димка Трајковска"|"Волгоградска 1
13991 Валандово"
"Г-н Ѓорги Мојсов"|"Петар Поп Арсов 7б/3
87537 Македонски Брод"
"Ана Арсовска"|"Орце Николов 9в
08040 Кратово"
"Гоце Јовчев"|"Радовишка 1
55778 Кочани"
"Ѓорги Илиев"|"Булевар Цветан Димов 72
99155 Штип"
"Цветанка Дамјановска"|"Трета македонска бригада 5б/7
14391 Дебар"
"Сара Николовска"|"Македонија 5а/9
91122 Свети Николе"
"Др. Михаил Илиев"|"Пролетерска 7в
07690 Струга"
"Г-ца Василка Младеновска"|"Булевар Цветан Димов 6а
21807 Тетово"
"Г-ѓа Мартина Дамјановска"|"Булевар Гоце Делчев 1б/7
47134 Берово"
"Проф. Емилија Алексовска"|"Славеј Планина 9в
89514 Демир Капија"
"Г-н Андреј Јовчев"|"Христијан Тодоровски Карпош 3б/1
19555 Пехчево"
"Чедо Мартиновски"|"Булевар Александар Македонски 6а
62972 Радовиш"
"Проф. Сашо Николов"|"Благој Давков 16
73411 Скопје"
"Момчило Дамјановски"|"Стоби 48
31602 Охрид"
"Г-н Огнен Јовчев"|"Михаило Пупин 7б
77957 Гостивар"
"Сара Петковска"|"Булевар Александар Македонски 5б
74360 Крушево"
"Проф. Андреј Ѓорѓиевски"|"Лазар Личеноски 0
96325 Демир Хисар"
"Лилјана Шакири"|"Македонија 6а/5
11308 Радовиш"
"Г-н Дарко Велков"|"Шарпланинска 1в
38554 Струга"
"Проф. Сузана Ристовска"|"Кеј Димитар Влахов 3б
58995 Дебар"
"Јасмина Андоновска"|"Будимпештанска 6б
22837 Кавадарци"
"Милена Крстева"|"Маршал Тито 0а
57531 Берово"
"Јане Ѓоргиев"|"Кирил Пејчиновиќ 2
63788 Гевгелија"
"Гоце Иванов"|"Шарпланинска 7а
29227 Битола"
"Коста Василев"|"Никола Карев 6а/3
10624 Штип"
"Сара Поповска"|"Свети Климент Охридски 6б
92962 Крива Паланка"
"Анета Велјанова"|"Кеј Македонија 8а
40338 Скопје"
"Митко Димовски"|"Кеј Македонија 5
65054 Демир Хисар"
"Зоран Николов"|"Петар Поп Арсов 9а/9
52574 Струга"
"Др. Јане Крстев"|"Крсте Мисирков 79
83059 Пробиштип"
"Симон Поповски"|"Перо Наков 69
03381 Кичево"
"Гордана Чулева"|"Софиска 7а
13263 Струмица"
"Стефанија Арсовска"|"Аристотел 0в
08314 Тетово"
"Др. Антон Дешановски"|"Зелезничка 8а/0
48278 Дебар"
"Г-ца Марија Гроздановска"|"Булевар Блаже Конески 1в
49218 Пехчево"
"Сара Шакири"|"Перо Наков 0в
97081 Крива Паланка"
"Марјан Заев"|"Свети Климент Охридски 74
00620 Радовиш"
"Димитар Апостолов"|"Благој Давков 6а/5
73846 Охрид"
"Проф. Лазар Ѓорѓиевски"|"Шарпланинска 0б/4
47987 Пехчево"
"Доне Јанев"|"Женевска 2б
85345 Крива Паланка"
"Зоран Андоновски"|"Никола Вапцаров 6а/7
38331 Неготино"
"Катерина Спасовска"|"Востаничка 960
52017 Ресен"
"Бранко Мартиновски"|"Самоилова 2б
67259 Штип"
"Проф. Магдалена Михајловска"|"Ибрахим Темо 1б/9
41064 Радовиш"
"Г-н Михаил Шакири"|"Перо Наков 8
93729 Виница"
"Сашо Атанасов"|"Никола Карев 893
08874 Кочани"
"Г-ѓа Марина Тодоровска"|"Пролетерска 16
73442 Крушево"
"Проф. Анита Велкова"|"Шарпланинска 7
40910 Богданци"
"Г-н Антон Дешановски"|"Наум Охридски 2б
66132 Богданци"
"Јовче Мартиновски"|"Климент Охридски 8б
35701 Дебар"
"Емил Арсовски"|"Наум Охридски 1
05648 Струмица"
"Бојан Апостолов"|"Николај Коперник 83
09314 Дебар"
"Лилјана Пановска"|"Јасминска 89
59136 Радовиш"
"Г-ѓа Наташа Крстеска"|"Стоби 30
83162 Струмица"
"Андреј Бојаџиев"|"Македонија 52
00980 Делчево"
"Сашо Георгиев"|"Илинденска 976
10357 Струмица"
"Филип Заев"|"Варшавска 142
57897 Струга"
"Оливера Трајковска"|"Лондонска 886
64353 Крушево"
"Жарко Атанасов"|"Букурешка 5а/6
29230 Тетово"
"Г-ѓа Виолета Донева"|"Македонија 9
62658 Македонски Брод"
"Стефан Дурловски"|"Лазар Личеноски 243
57640 Прилеп"
"Г-н Ристо Коцев"|"Петар Поп Арсов 0а
87737 Демир Капија"
"Петар Христов"|"Скупи 9а
94492 Делчево"
"Оливера Климовска"|"Женевска 6б/0
91897 Демир Капија"
"Ристо Алексовски"|"Трета македонска бригада 10
54314 Неготино"
"Сашо Заев"|"Виенска 609
24049 Неготино"
"Др. Јане Велјанов"|"Рибарска 3а
75813 Виница"
"Др. Ѓорче Чулев"|"Пролетерска 8б/9
28249 Демир Капија"
"Јане Петровски"|"Одбранбена 004
52471 Гостивар"
"Проф. Димитар Јанев"|"Глигор Прличев 5
79894 Крушево"
"Атанас Димовски"|"Дојранска 4
60458 Делчево"
"Виолета Јанева"|"Булевар Александар Македонски 1в
83941 Гостивар"
"Др. Христо Бојаџиев"|"Скупи 2в
01284 Македонски Брод"
"Чедо Велков"|"Булевар Гоце Делчев 4б
66028 Кочани"
"Лилјана Тодоровска"|"Крсте Мисирков 1б
32339 Ресен"
"Сашо Иванов"|"Лондонска 1б/0
60590 Ресен"
"Катерина Апостолова"|"Кирил Пејчиновиќ 001
56489 Валандово"
"Сара Георгиева"|"Воденска 9в
54692 Неготино"
"Петре Младеновски"|"Природна 149
19917 Прилеп"
"Димитар Велјанов"|"Христијан Тодоровски Карпош 4а/4
40464 Штип"
"Томе Георгиев"|"Рибарска 3б/8
69970 Пробиштип"
"Г-ѓа Анета Заева"|"Јасминска 623
47602 Виница"
"Проф. Мирјана Чулева"|"Благој Давков 9б
65243 Кратово"
"Атанас Шакири"|"Михаило Апостолски 65
01403 Богданци"
"Проф. Томе Димитриев"|"Булевар Блаже Конески 4а
55370 Пехчево"
"Сашо Младеновски"|"Аристотел 0б/3
72059 Велес"
"Виолета Велјанова"|"Самоилова 158
94329 Ресен"
"Билјана Дурловска"|"Булевар Никола Карев 1а/3
07961 Велес"
"Магдалена Андоновска"|"Крсте Мисирков 3а/1
28404 Куманово"
"Проф. Чедо Чулев"|"Булевар Александар Македонски 7
97559 Македонска Каменица"
"Оливера Ристовска"|"Христијан Тодоровски Карпош 6б/5
91027 Македонска Каменица"
"Г-н Борче Марковски"|"Наум Охридски 5а
68802 Битола"
"Драган Ристовски"|"Христијан Тодоровски Карпош 65
88473 Делчево"
"Г-н Ѓорги Петровски"|"Македонија 0в
46723 Прилеп"
"Проф. Илија Стефановски"|"Илинденска 2б
62716 Куманово"
"Сашо Мојсов"|"Радовишка 4а/2
83307 Радовиш"
"Теодора Мојсова"|"Софиска 9в
34407 Штип"
"Проф. Тања Крстеска"|"Свети Климент Охридски 0
92650 Штип"
"Г-ѓа Гордана Василева"|"Кеј Димитар Влахов 0б
28028 Крива Паланка"
"Проф. Василка Крстеска"|"Македонија 8в
18187 Богданци"
"Јована Марковска"|"Глигор Прличев 8а
05242 Македонски Брод"
"Сузана Михајловска"|"Васил Главинов 4в
50343 Велес"
"Сузана Чулева"|"Благој Давков 0в
80734 Македонска Каменица"
"Др. Билјана Стефановска"|"Гоце Делчев 9б
42726 Охрид"
"Проф. Ангела Донева"|"Димитар Влахов 4а
79369 Берово"
"Сашо Спасов"|"Едвард Кардељ 08
25642 Кочани"
"Проф. Јован Поповски"|"Одбранбена 8б
24921 Радовиш"
"Проф. Крсте Лазов"|"Ибрахим Темо 110
50271 Кочани"
"Др. Андреј Николов"|"Глигор Прличев 2а/5
47304 Валандово"
"Г-ца Анета Цветковска"|"Петар Поп Арсов 3
17286 Пехчево"
"Жарко Андоновски"|"Ленинградска 2в
25763 Кавадарци"
"Г-ѓа Маја Спасовска"|"Природна 2а
35795 Струга"
"Лазар Стојановски"|"Скупи 8
85773 Берово"
"Г-ѓа Јасмина Тодоровска"|"Јован Хаџи Константинов Џинот 034
58614 Крива Паланка"
"Филип Јовановски"|"Кеј Македонија 3а
41427 Кавадарци"
"Сашо Христов"|"Јане Сандански 6
96434 Куманово"
"Јане Николов"|"Булевар Гоце Делчев 8
71639 Виница"
"Лина Јовчева"|"Женевска 223
85500 Крива Паланка"
"Иванка Митревска"|"Волгоградска 9а/9
68271 Македонски Брод"
"Проф. Јовче Заев"|"Питу Гули 7а/6
19054 Пехчево"
"Г-н Васил Пановски"|"Одбранбена 5а
47806 Кратово"
"Проф. Крсте Дамјановски"|"Природна 5б/7
19984 Крушево"
"Доне Јанев"|"Маршал Тито 4б/2
66812 Кавадарци"
"Мартина Глигорова"|"Пролетерска 6в
49568 Струга"
"Др. Симон Наумовски"|"Ленинградска 97
22758 Кавадарци"
"Сања Ѓоргиева"|"Воденска 9б
51115 Куманово"
"Проф. Игор Петровски"|"Бриселска 2б/8
41814 Делчево"
"Г-н Момчило Цветковски"|"Јане Сандански 5в
77188 Дебар"
"Др. Атанас Стефановски"|"Аристотел 6в
80524 Берово"
"Доне Георгиев"|"Михаило Пупин 4б/7
02180 Валандово"
"Марко Лазаревски"|"Самоилова 5б
22378 Битола"
"Г-ца Билјана Митревска"|"Природна 3а/2
86336 Велес"
"Цветанка Николовска"|"Орце Николов 32
30539 Виница"
"Бранко Дурловски"|"Булевар Александар Македонски 6б
60214 Богданци"
"Др. Тодор Димовски"|"Зелезничка 0в
08327 Скопје"
"Сања Јанева"|"Женевска 5б/2
43131 Свети Николе"
"Г-ца Марија Николовска"|"Глигор Прличев 1в
03045 Струга"
"Коста Мартиновски"|"Михаило Пупин 76
04810 Куманово"
"Арсен Заев"|"Кирил Пејчиновиќ 9б/3
05248 Кратово"
"Г-ца Анита Јовановска"|"Пролетерска 3а
38919 Прилеп"
"Г-ца Елизабета Ѓорѓиевска"|"Михаило Апостолски 9а
06945 Радовиш"
"Г-ѓа Анита Велкова"|"Лондонска 6а/7
70319 Битола"
"Проф. Димитар Стојановски"|"Васил Главинов 250
48757 Штип"
"Г-ца Данче Лазова"|"Никола Карев 044
03695 Пробиштип"
"Др. Стојан Стојановски"|"Македонија 2б/7
73334 Струмица"
"Сања Апостолова"|"Гоце Делчев 4а
63899 Кратово"
"Проф. Андреј Ѓорѓиевски"|"Крушевска 8б/8
43811 Дебар"
"Симона Спасова"|"Наум Охридски 6в
34930 Куманово"
"Г-н Борче Наумовски"|"Ленинградска 6в
36691 Валандово"
"Данче Димитриева"|"Луј Пастер 9б
33209 Охрид"
"Проф. Марко Коцев"|"Булевар Блаже Конески 0а/3
61972 Струга"
"Г-н Илија Матевски"|"Тодор Александров 9а
72721 Неготино"
"Г-ца Магдалена Пановска"|"Букурешка 1а/4
75720 Струмица"
"Павле Коцев"|"Трета македонска бригада 23
01821 Радовиш"
"Марија Лазаревска"|"Булевар Никола Карев 9б/4
97916 Свети Николе"
"Сања Атанасова"|"Булевар Партизански одреди 7б
72906 Богданци"
"Ангела Андоновска"|"Орце Николов 8а/8
31592 Кратово"
"Др. Ана Петровска"|"Лазар Личеноски 372
10261 Струга"
"Митко Андоновски"|"Одбранбена 0а
81393 Дебар"
"Благој Симоновски"|"Николај Коперник 973
96497 Валандово"
"Др. Петар Коцев"|"Стоби 0
17885 Македонски Брод"
"Ана Младеновска"|"Наум Охридски 2в
90798 Струга"
"Гоце Шакири"|"Наум Охридски 93
95529 Велес"
"Тодор Николов"|"Благој Давков 4а/5
58889 Битола"
"Г-ѓа Емилија Андоновска"|"Ленинградска 8в
60360 Крива Паланка"
"Сања Велкова"|"Ленинградска 8а
62067 Радовиш"
"Василка Трајковска"|"Наум Охридски 5а/8
93921 Струга"
"Г-ца Јасмина Поповска"|"Булевар Никола Карев 3б/0
78057 Кавадарци"
"Андреј Димовски"|"Востаничка 3в
31204 Македонски Брод"
"Наум Димовски"|"Петар Поп Арсов 2а
59763 Ресен"
"Г-н Бојан Ристовски"|"Глигор Прличев 7а
64971 Неготино"
"Проф. Емил Донев"|"Букурешка 469
99313 Дебар"
"Проф. Коста Петковски"|"Кеј Димитар Влахов 2в
26869 Македонска Каменица"
"Гоце Ристовски"|"Булевар Александар Македонски 76
43453 Берово"
"Сања Климовска"|"Даме Груев 9в
89792 Штип"
"Сања Крстева"|"Јасминска 0б/4
49044 Свети Николе"
"Роза Спасова"|"Георги Димитров 5а
66956 Делчево"
"Марјан Велков"|"Јован Хаџи Константинов Џинот 5б/8
43729 Битола"
"Оливера Спасовска"|"Виенска 0а/1
47416 Охрид"
"Проф. Горан Митревски"|"Благој Давков 8а/6
02634 Куманово"
"Катерина Марковска"|"Женевска 4
99824 Пробиштип"
"Ѓорги Симоновски"|"Христијан Тодоровски Карпош 5а
71670 Охрид"
"Билјана Дамјановска"|"Јане Сандански 0
65813 Струмица"
"Др. Стојан Ѓорѓиевски"|"Булевар Никола Карев 4б
29077 Ресен"
"Јована Гавриловска"|"Булевар Александар Македонски 5в
58154 Свети Николе"
"Сања Марковска"|"Гоце Делчев 38
39821 Богданци"
"Др. Томе Мојсов"|"Пролетерска 1
93200 Македонска Каменица"
"Лазар Лазов"|"Петар Поп Арсов 7
71180 Штип"
"Арсен Лазаревски"|"Волгоградска 9в
04899 Куманово"
"Др. Сашо Јанев"|"Гоце Делчев 2
36458 Прилеп"
"Др. Михаил Стефановски"|"Булевар Цветан Димов 3в
96327 Виница"
"Невена Симоновска"|"Воденска 305
41513 Крива Паланка"
"Гоце Атанасов"|"Бриселска 1а
61408 Дебар"
"Симона Јанева"|"Јован Хаџи Константинов Џинот 6б/3
73282 Куманово"
"Др. Бојан Ѓорѓиевски"|"Крсте Мисирков 053
17487 Демир Капија"
"Сања Николова"|"Бриселска 06
78715 Валандово"
"Милена Јовчева"|"Николај Коперник 2б
51727 Кавадарци"
"Г-ѓа Надица Коцева"|"Рибарска 0
35604 Пехчево"
"Марко Зафировски"|"Кирил Пејчиновиќ 5в
39634 Берово"
"Тијана Мартиновска"|"Бриселска 841
98670 Охрид"
"Драган Георгиев"|"Николај Коперник 5в
01038 Делчево"
"Видое Иванов"|"Ибрахим Темо 3а/7
41031 Кичево"
"Г-н Михаил Апостолов"|"Георги Димитров 1а
40690 Кратово"
"Наташа Арсовска"|"Булевар Партизански одреди 643
06066 Неготино"
"Проф. Мирјана Заева"|"Орце Николов 2в
00167 Тетово"
"Сања Николова"|"Виенска 6а/7
66323 Струмица"
"Анета Јовановска"|"Волгоградска 1а/6
09634 Демир Капија"
"Сузана Георгиева"|"Кирил Пејчиновиќ 736
10915 Крива Паланка"
"Проф. Анета Дешановска"|"Булевар Цветан Димов 0в
50146 Тетово"
"Г-ѓа Соња Спасова"|"Македонија 8
16824 Кочани"
"Г-ѓа Јасмина Бојаџиева"|"Булевар Гоце Делчев 7в
10308 Крива Паланка"
"Др. Кристина Ѓорѓиевска"|"Булевар Блаже Конески 1б
72485 Кочани"
"Дарија Петковска"|"Аристотел 5а/1
78256 Крушево"
"Даница Јовановска"|"Петар Поп Арсов 7а/4
71707 Дебар"
"Катерина Донева"|"Рибарска 5б/8
97848 Гостивар"
"Сања Трајковска"|"Шарпланинска 778
29519 Пехчево"
"Др. Слободан Гавриловски"|"Благој Давков 890
97547 Струмица"
"Др. Андреј Иванов"|"Одбранбена 4а
54293 Охрид"
"Оливера Митревска"|"Ленинградска 0
79779 Гевгелија"
"Др. Тијана Димовска"|"Даме Груев 2а/9
38415 Штип"
"Дарко Велјанов"|"Ленинградска 15
15537 Крива Паланка"
"Проф. Жарко Поповски"|"Наум Охридски 5в
46907 Свети Николе"
"Тихомир Стефановски"|"Булевар Никола Карев 083
24223 Богданци"
"Др. Васил Ѓоргиев"|"Булевар Партизански одреди 6в
00504 Македонска Каменица"
"Г-ца Снежана Спасовска"|"Кеј Македонија 5
12316 Валандово"
"Сања Цветковска"|"Шарпланинска 4
33753 Берово"
"Г-ѓа Билјана Цветковска"|"Радовишка 2б
83409 Струмица"
"Иванка Јовчева"|"Димитар Влахов 5б/3
73270 Богданци"
"Проф. Андреј Петковски"|"Воденска 27
80533 Струмица"
"Трајан Дурловски"|"Трета македонска бригада 437
13211 Демир Капија"
"Момчило Наумовски"|"Михаило Пупин 626
45157 Македонски Брод"
"Васил Наумовски"|"Тодор Александров 995
91088 Демир Хисар"
"Др. Емилија Велкова"|"Булевар Партизански одреди 98
23520 Охрид"
"Проф. Христо Спасовски"|"Кеј Македонија 0а/5
87441 Валандово"
"Др. Дарко Марковски"|"Михаило Пупин 632
89456 Штип"
"Симон Бојаџиев"|"Маршал Тито 1б
47002 Гевгелија"
"Проф. Жарко Илиев"|"Самоилова 7б/6
95079 Македонска Каменица"
"Сашо Димовски"|"Хелсинки 6а
95233 Битола"
"Г-ца Снежана Дешановска"|"Македонија 5
12121 Кратово"
"Марија Лазаревска"|"Пролетерска 8
57534 Гевгелија"
"Чедо Стојановски"|"Ленинградска 2
36915 Демир Хисар"
"Г-ѓа Магдалена Трајковска"|"Булевар Цветан Димов 4б
79396 Свети Николе"
"Дамјан Цветковски"|"Булевар Никола Карев 8б
64457 Демир Хисар"
"Др. Елена Алексовска"|"Скупи 0б/4
75172 Демир Хисар"
"Г-ца Виолета Матевска"|"Самоилова 6а/2
36112 Крушево"
"Симон Георгиев"|"Кеј Димитар Влахов 26
22784 Струга"
"Методи Гавриловски"|"Крушевска 811
92859 Свети Николе"
"Павле Стојановски"|"Михаило Пупин 1а/2
22953 Радовиш"
"Дамјан Петровски"|"Хелсинки 1б/1
62848 Кавадарци"
"Др. Сашо Атанасов"|"Перо Наков 0
69605 Пробиштип"
"Наум Атанасов"|"Булевар Гоце Делчев 1а/2
04464 Дебар"
"Г-ца Магдалена Петровска"|"Михаило Пупин 4а/7
45457 Дебар"
"Огнен Симоновски"|"Јане Сандански 8б
27647 Дебар"
"Проф. Влатко Христов"|"Михаило Пупин 5
40168 Велес"
"Г-н Томе Симоновски"|"Македонија 61
42109 Берово"
"Симон Дешановски"|"Лазар Личеноски 697
56052 Свети Николе"
"Магдалена Стефановска"|"Будимпештанска 7б/1
38300 Валандово"
"Јовче Велков"|"Пролетерска 61
83665 Богданци"
"Г-н Бојан Спасов"|"Кеј Македонија 1а/9
32787 Валандово"
"Проф. Марјан Иванов"|"Македонија 0в
95351 Виница"
"Г-ѓа Виолета Велјанова"|"Бриселска 9в
52397 Радовиш"
"Проф. Сара Пановска"|"Михаило Апостолски 0б
92639 Куманово"
"Невена Заева"|"Булевар Свети Климент Охридски 8
89914 Кочани"
"Г-н Филип Димитриев"|"Букурешка 1
92642 Струмица"
"Г-н Крсте Коцев"|"Востаничка 6а/0
67906 Дебар"
"Симон Наумовски"|"Михаило Пупин 1б
54140 Кавадарци"
"Г-ца Василка Митревска"|"Партизански одреди 2б/3
69561 Велес"
"Г-ѓа Нина Георгиева"|"Женевска 1а/2
77086 Охрид"
"Г-ца Катерина Климовска"|"Никола Вапцаров 2
37737 Делчево"
"Г-н Момчило Алексовски"|"Николај Коперник 0в
75036 Битола"
"Г-ѓа Теодора Христова"|"Одбранбена 526
59100 Прилеп"
"Цветанка Петровска"|"Никола Вапцаров 8
57267 Штип"
"Др. Невена Петковска"|"Кеј Македонија 4
88189 Богданци"
"Васил Симоновски"|"Лазар Личеноски 6а
84777 Битола"
"Лилјана Дамјановска"|"Маршал Тито 8б/6
93367 Делчево"
"Симон Трајковски"|"Перо Наков 672
47834 Гевгелија"
"Проф. Цвета Арсовска"|"Орце Николов 3в
28431 Скопје"
"Јована Дешановска"|"Трета македонска бригада 566
29231 Македонска Каменица"
"Васил Ѓоргиев"|"Јасминска 415
60148 Прилеп"
"Г-ца Драгана Андоновска"|"Орце Николов 14
30233 Тетово"
"Проф. Наум Андоновски"|"Луј Пастер 6а
52063 Пехчево"
"Емил Лазаревски"|"Питу Гули 0а
83210 Демир Капија"
"Стефанија Велјанова"|"Никола Русински 0б
94046 Кавадарци"
"Проф. Јасмина Лазова"|"Тодор Александров 8
73608 Гостивар"
"Оливера Јанева"|"Рибарска 0б/0
92036 Виница"
"Симон Цветковски"|"Виенска 9а
03093 Струга"
"Александра Климовска"|"Јован Хаџи Константинов Џинот 0а/9
38276 Радовиш"
"Дарија Бојаџиева"|"Софиска 8б/1
91255 Богданци"
"Др. Методи Алексовски"|"Јован Хаџи Константинов Џинот 15
58043 Велес"
"Г-н Филип Алексовски"|"Скупи 845
07566 Пехчево"
"Г-ѓа Весна Гавриловска"|"Природна 4а
52071 Демир Капија"
"Проф. Јовче Михајловски"|"Климент Охридски 07
54471 Демир Хисар"
"Гордана Василева"|"Ибрахим Темо 3б/7
91459 Демир Капија"
"Проф. Александра Гроздановска"|"Јасминска 2б/1
57539 Струмица"
