"Albina Dolić"	"Mesnička 8c
01290 Šibenik" 
"Martin Markuš"	"Kraljevec 9a
76351 Klanjec"
"Iva Jurčić"	"Svibovac 9a
25870 Šibenik"
"Renata Čižmešija"	"Bučarova 9a
06422 Bjelovar"
"Stjepan Štrbac"	"Harmica 4a/2
38141 Pleternica"
"Iva Benčić"	"Ksaver 79
35738 Samobor"
"Marija Kraljić"	"Male 7c
66480 Vrgorac"
"Nikola Crnković"	"Šumski prečac 3c
56980 Čakovec"
"Terezija Soldo"	"Palmotićeva 1c/2
70244 Pula"
"Mato Tisaj"	"Jurišićeva 2b
32082 Solin"
"Vjekoslav Josipović"	"Zvonarnička 1
17947 Split"
"Jele Mateša"	"Ksaverska 57
00395 Novalja"
"Ljiljana Drandić"	"Kozarčev vijenac 6c
77118 Bjelovar"
"Štefica Batrnek"	"Draškovićeva 36
41536 Pag"
"Kate Ukić"	"Horvatovac 0b/3
23123 Ozalj"
"Lana Jugovac"	"Jurišićeva 6
65059 Imotski"
"Hrvoje Maloča"	"Strossmayerovo šetalište 01
86957 Vrlika"
"Nikola Hršak"	"Ribnjak 19
31594 Novi Vinodolski"
"Mile Radović"	"Paunovac 4c/8
60047 Kastav"
"Elvis Sakač"	"Tkalčićeva 75
93496 Pag"
"Marica Damjanović"	"Šilobodov put 4c/1
94788 Trogir"
"Toni Cik"	"Mirogojska 8
52240 Daruvar"
"Lorena Ilijić"	"Kraljevec II. 2c
31671 Vrlika"
"Karla Križan"	"Demetrova 2
31584 Pazin"
"Nikola Barić"	"Gupčeva zvijezda 4
22666 Petrinja"
"Ivan Barbić"	"Draškovićeva 53
50346 Pazin"
"Božena Predovan"	"Gupčeva zvijezda 9b/4
70175 Ivanec"
"Nikola Jagarinec"	"Šilobodov put 2
03645 Crikvenica"
"Valter Bučanac"	"Kraljevečki ogranak 1
25498 Ozalj"
"Antonija Čiš"	"Jadranska 2a/4
46711 Orahovica"
"Saša Semialjac"	"Ksaverska 6a/9
96287 Komiža"
"Mira Šantić"	"Harmica 652
64028 Drniš"
"Niko Bogović"	"Kraljevec 7b
41287 Orahovica"
"Marica Ribičić"	"Opatovina 554
73904 Petrinja"
"Petar Pandurić"	"Mirogojska 7b
81466 Našice"
"Romano Petrić"	"Jezuitski trg 6c
84984 Makarska"
"Božena Šibalić"	"Kožarska 12
56448 Hrvatska Kostajnica"
"Nikola Krčelić"	"Mlinovi 3c
82972 Lipik"
"Jasna Sinožić"	"Palmotićeva 357
65870 Skradin"
"Dominik Čukman"	"Lisinskoga 2c
02495 Lipik"
"Maria Birtić"	"Strossmayerovo šetalište 9c/0
17100 Pazin"
"Jasminka Orlić"	"Voćarsko naselje 5
43425 Zabok"
"Jasminka Branković"	"Zamenhofove 3b
99386 Delnice"
"Anka Dolinar"	"Voćarska 8b
95660 Poreč"
"Pavao Cik"	"Jurjevska 1a
68787 Vodice"
"Leon Borak"	"Radnički dol 9c/5
99221 Belišće"
"Zvonko Sabol"	"Pantovčak 1a
20868 Supetar"
"Nikola Martić"	"Lisinskoga 5a
13538 Rijeka"
"Nikša Pedišić"	"Zeleni dol 9c/8
99907 Ploče"
"Dino Matijević"	"Nova Ves 11
82548 Otočac"
"Rudolf Milevoj"	"Dolac 2a
64240 Vrbovsko"
"Ante Žic"	"Opatička 402
89748 Dugo Selo"
"Barica Sobota"	"Klanac Grgura Tepečića 7b/8
65856 Kastav"
"Ante Bobanović"	"Jadranska 7b
06117 Makarska"
"Denis Ćosić"	"Kurelčeva 7b
17133 Požega"
"Lorena Maršić"	"Zamenhofove 1a/4
80110 Duga Resa"
"Sandra Šalić"	"Čačkovićeva 197
75524 Slunj"
"Nikola Šimunović"	"Pod zidom 3a/3
43476 Poreč"
"Milena Šarlija"	"Mlinske 6a/1
66637 Opuzen"
"Branko Lukšić"	"Opatovina 7a/9
22474 Beli Manastir"
"Pero Milovac"	"Svibovac 2a
07715 Đakovo"
"Đurđica Vrabelj"	"Opatovina 6c/7
15319 Kraljevica"
"Zora Beraković"	"Jezuitski trg 3b/6
48478 Rab"
"Mira Šipić"	"Šilobodov put 8a/5
68709 Novska"
"Danijela Mikulčić"	"Arnoldova 70
06283 Vrlika"
"Antonija Damjanović"	"Goljak 10
26666 Kastav"
"Zdenka Vugec"	"Kamenjak 64
93526 Vrlika"
"Nikola Štrljić"	"Jadranska 801
62930 Trilj"
"Janko Krpan"	"Vlaška 8
73582 Mali Lošinj"
"Ivanka Pecotić"	"Tkalčićeva 0a
58651 Sveta Nedelja"
"Suzana Jukić"	"Kamenjak 4a
28745 Metković"
"Slavica Jelić"	"Gupčeva zvijezda 1a/5
53953 Supetar"
"Gordana Predovan"	"Kraljevečki ogranak 0
57957 Buje"
"Ilija Terlević"	"Demetrova 2a
04635 Vrlika"
"Ana Ražov"	"Arnoldova 5b
40646 Jastrebarsko"
"Dušan Dolinar"	"Arnoldova 9
76093 Novigrad"
"Stjepan Novak"	"Gupčeva zvijezda 4a/7
92075 Obrovac"
"Nikolina Bertoša"	"Donje Prekrižje 7b
87097 Šibenik"
"Gordana Jagarinec"	"Srebrnjak 8c/1
52500 Pag"
"Zvonko Vugec"	"Kozarčev vijenac 9
31387 Bakar"
"Aldo Čulina"	"Vrazovo šetalište 269
38261 Vrbovsko"
"Mira Šelendić"	"Tuškanac 3c/7
10225 Vinkovci"
"Petra Šimić"	"Tkalčićeva 0
82921 Klanjec"
"Toni Plantak"	"Golubovac 9b/1
97324 Kaštela"
"Sandra Lučić"	"Petrova 550
06671 Vrbovsko"
"Zdenka Simić"	"Kraljevečki ogranak 9a/6
86927 Crikvenica"
"Elvis Mustač"	"Kamenita 9b/1
02033 Komiža"
"Nikolina Jurčić"	"Davor 9b/3
62121 Novska"
"Jadranka Marinović"	"Arnoldova 1b
60805 Obrovac"
"Bruno Pamić"	"Jabukovac 087
33667 Krapina"
"Hana Obradović"	"Kraljevec II. 543
79266 Orahovica"
"Renata Žerjav"	"Tošovac 1c
30390 Sinj"
"Barbara Štrbac"	"Šumski prečac 876
98416 Pula"
"Dora Maretić"	"Golubovac 6c/7
38825 Komiža"
"Anita Huljev"	"Bakačeva 8c/9
12112 Pazin"
"Danijela Stojanov"	"Pantovčak 980
93048 Slatina"
"Anđela Žic"	"Ksaver 667
91440 Klanjec"
"Nikolina Kršanac"	"Golubovac 9
74552 Benkovac"
"Andrija Prpić"	"Arnoldova 1b/4
32252 Vodnjan"
"Ivanka Carić"	"Draškovićeva 9
06686 Novalja"
"Anka Godinić"	"Vlaška 9a
88003 Obrovac"
"Šime Špoljarić"	"Perivoj srpanjskih žrtava 7a/8
06136 Zlatar"
"Zdravko Kuzmić"	"Opatovina 9c
30103 Nin"
"Barbara Veić"	"Splavnica 1
27599 Dubrovnik"
"Dragica Milas"	"Javorovac 2c/2
20682 Dubrovnik"
"Elizabeta Lucić"	"Jurjeve 9c
55057 Omiš"
"Zoran Orešković"	"Jezuitski trg 8c/2
19456 Koprivnica"
"Nikolina Labinjan"	"Jurišićeva 78
75785 Hrvatska Kostajnica"
"Anton Močibob"	"Dolac 7b
65207 Hvar"
"Vesna Kramarić"	"Zvonarnička 8b
84935 Komiža"
"Anita Jakopec"	"Kamenjak 3a
85140 Velika Gorica"
"Rudolf Kauzlarić"	"Ljubinkovac 5a/4
51795 Beli Manastir"
"Božena Polović"	"Šalata 5b
59511 Rab"
"Kate Grgić"	"Tošovac 6b/6
10926 Vodice"
"Janko Đurašević"	"Zelengaj 5
87574 Novigrad"
"Zora Penić"	"Kamenjak 9a/7
35736 Bjelovar"
"Nikolina Topić"	"Nemetova 7c
60268 Ploče"
"Nikolina Lešić"	"Kozarčev vijenac 7b/1
85084 Ploče"
"Hana Barković"	"Vitezovićeva 2a/6
81892 Klanjec"
"Ane Križan"	"Ksaver 4b/0
27749 Vrgorac"
"Roko Rašić"	"Jurjevska 8c/9
01549 Zagreb"
"Dalibor Sorić"	"Zamenhofove 1b/4
74764 Otok"
"Matija Markuš"	"Vitezovićeva 031
68290 Drniš"
"Aldo Urlić"	"Jurjevska 6a
96761 Koprivnica"
"Danijel Plantak"	"Opatička 7a/4
53517 Hvar"
"Stana Franić"	"Horvatovac 00
19114 Komiža"
"Ika Marin"	"Šestinski vijenac 1c/8
48917 Vrgorac"
"Nikolina Maloča"	"Donje Prekrižje 51
37437 Petrinja"
"Anđela Vidaković"	"Istarska 9a/0
87891 Donji Miholjac"
"Tomislav Andrijašević"	"Draškovićeva 5c
54941 Sveti Ivan Zelina"
"Draga Gelemanović"	"Remetska 3c
39967 Samobor"
"Matija Cestarić"	"Vinogradska 8c/8
52066 Krk"
"Antonio Šurbek"	"Rockefellerova 2b/0
21372 Šibenik"
"Pavao Pamić"	"Gradec 382
50990 Zagreb"
"Roko Buljan"	"Jezuitski trg 3c/2
09970 Prelog"
"Joško Pedišić"	"Podgaj 3
78726 Drniš"
"Mate Kramarić"	"Jurkovićeva 1c/6
09442 Metković"
"Nikolina Miletić"	"Orlovac 8
11702 Đakovo"
"Vera Kokanović"	"Strossmayerovo šetalište 3b/0
46816 Čakovec"
"Julijana Radić"	"Kraljevec 355
46733 Ozalj"
"Mateo Oršoš"	"Strossmayerovo šetalište 8c
19888 Knin"
"Elvis Vuković"	"Šalata 07
11874 Ivanec"
"Manda Peruško"	"Tkalčićeva 6b
15777 Pag"
"Maria Rumora"	"Glogovac 6b
58951 Korčula"
"Rozalija Lazar"	"Zamenhofova 5
77500 Korčula"
"Sanja Balić"	"Jagodnjak 1
95636 Rovinj"
"Fran Mirt"	"Vitezovićeva 8c/0
41170 Pag"
"Nikolina Petek"	"Petrova 0b/4
95340 Novi Marof"
"Anto Šimara"	"Grič 30
91511 Čazma"
"Niko Batrac"	"Šestinski vijenac 3
11003 Vodnjan"
"Dušan Radović"	"Medveščak 6b
35173 Rovinj"
"Damir Frketić"	"Šalata 049
04266 Ploče"
"Stana Dukić"	"Mlinske 2b/9
34988 Umag"
"Vesna Rakela"	"Kapucinske 04
86710 Otok"
"Siniša Sinožić"	"Gradec 1c/1
32301 Vrgorac"
"Niko Županić"	"Čačkovićeva 37
69979 Krk"
"Joso Burčul"	"Mesnička 0c/5
00562 Buzet"
"Nikolina Pleše"	"Jabukovac 3a/5
00414 Ozalj"
"Robert Vučin"	"Rikardove 3
85466 Valpovo"
"Suzana Pedišić"	"Jurjevska 5c/7
12102 Poreč"
"Zlatko Vrban"	"Ružičnjak 0a
85874 Cres"
"Vlado Botica"	"Pantovčak 464
56949 Đurđevac"
"Andrea Kovačević"	"Slavujevac 249
49618 Drniš"
"Đuro Čudić"	"Magdićeve 4a/8
81083 Rovinj"
"Nikola Hećimović"	"Mašekova 096
51643 Vrgorac"
"Nenad Matas"	"Jagodnjak 2b/3
54429 Novigrad"
"Josip Čupić"	"Nova Ves 5c/7
95688 Slavonski Brod"
"Nikolina Požega"	"Višnjičke 4b
66709 Vis"
"Eva Halapir"	"Mašekova 0b
26831 Oroslavje"
"Dalibor Gracin"	"Rokov perivoj 249
74527 Pregrada"
"Franciska Ban"	"Male 9c/4
22521 Makarska"
"Damir Bračun"	"Mlinske 4b/7
68173 Ivanić-Grad"
"Rozalija Bukvić"	"Kozarčev vijenac 7a/0
57313 Sinj"
"Antonio Obratov"	"Radnički dol 1
84341 Vukovar"
"Siniša Šimara"	"Krležin gvozd 2a/5
63238 Ploče"
"Suzana Grgurić"	"Streljačka 7a
97583 Supetar"
"Željka Đurašević"	"Medvedgradska 8a
76537 Varaždinske Toplice"
"Nikolina Šuran"	"Perivoj biskupa Stjepana II. 9
66484 Pregrada"
"Ankica Rendulić"	"Šestinski vijenac 3c
29597 Benkovac"
"Josipa Bračun"	"Petrova 1b/4
65123 Garešnica"
"Miroslav Macan"	"Pantovčak 72
45581 Opuzen"
"Snježana Kresonja"	"Lisinskoga 7b
22979 Pag"
"Mateo Golubić"	"Radnički dol 78
76952 Šibenik"
"Zorka Mesić"	"Kaptol 6b
08407 Imotski"
"Valter Ribarić"	"Novi Goljak 8c/2
94377 Crikvenica"
"Ivan Meić"	"Vitezovićeva 9
23733 Karlovac"
"Danijela Maćešić"	"Slavujevac 71
12949 Ogulin"
"Nikša Hećimović"	"Šalata 7c/3
20711 Metković"
"Katica Colić"	"Demetrova 0a/7
38568 Sisak"
"Mato Kralj"	"Kamaufova 0
70807 Dugo Selo"
"Renata Karlović"	"Ksaverska 29
19946 Pazin"
"Katarina Matošević"	"Mlinovi 7c/2
51705 Sinj"
"Branka Pongrac"	"Kaptol 72
06468 Donja Stubica"
"Kata Poljak"	"Kraljevec 5c
92084 Opatija"
"Aldo Šimić"	"Lisinskoga 6
37771 Vrlika"
"Anica Kalanjoš"	"Jurkovićeva 9b/5
06450 Ivanec"
"Zdravko Dominković"	"Mlinovi 8a
19359 Grubišno Polje"
"Nikša Ignac"	"Opatička 8b
65818 Zagreb"
"Josip Knežević"	"Rokova 93
32427 Sveta Nedelja"
"Lucija Baljak"	"Vijenac 5c/3
18383 Zabok"
"Bara Jurković"	"Pantovčak 2b
48683 Kutina"
"Draga Lenić"	"Vrazovo šetalište 3b
75300 Duga Resa"
"Anđa Forjan"	"Nemetova 1b
00245 Pleternica"
"Matej Kokorić"	"Jurkovićeva 8a/1
11486 Trogir"
"Milka Škrtić"	"Jezuitski trg 2c
72616 Vis"
"Jelena Mikulčić"	"Ksaver 08
51586 Mali Lošinj"
"Antun Damijanić"	"Jagodnjak 8b
65654 Vrgorac"
"Nikša Jerković"	"Glogovac 9a/9
32918 Pazin"
"Zdenka Špika"	"Grič 0a
62607 Zagreb"
"Mare Škunca"	"Opatovina 7a/9
51750 Oroslavje"
"Roko Rubinić"	"Davor 1c/9
93757 Pleternica"
"Hana Matko"	"Rokova 8a/2
43093 Rovinj"
"Nika Maraš"	"Horvatovac 8c
56998 Varaždin"
"Stana Ivandić"	"Voćarska 6b/8
21474 Samobor"
"Mate Benić"	"Gradec 6c
67205 Hvar"
"Dragan Lisica"	"Hercegovačka 7a/7
16088 Otok"
"Leon Penić"	"Jurjevska 6a/3
88697 Biograd na Moru"
"Nikša Medved"	"Zelengaj 8b
85612 Krk"
"Mijo Boljkovac"	"Kraljevečki odvojak 5a
33794 Varaždinske Toplice"
"Branko Batrnek"	"Hercegovačka 6
06453 Trilj"
"Josip Bajan"	"Demetrova 4c
15371 Dubrovnik"
"Pero Bučanac"	"Kraljevečki ogranak 5c/2
52505 Jastrebarsko"
"Dragan Nakić"	"Mala 1b/3
80879 Sveta Nedelja"
"Ankica Ćosić"	"Harmica 9b/3
55510 Ivanec"
"Ilija Kovačević"	"Mala 34
08923 Sinj"
"Anita Kaniški"	"Skalinska 8c
99150 Kutina"
"Sandra Vojković"	"Rikardove 8b/1
15045 Vrgorac"
"Nina Damijanić"	"Voćarsko naselje 5c/4
67252 Trogir"
"Marijana Kirinčić"	"Ribnjak 7c/9
31472 Rovinj"
"Milan Ilinović"	"Demetrova 8b
22774 Buje"
"Antonio Ercegović"	"Voćarska 4b/1
83442 Pula"
"Mihael Šurbek"	"Rikardove 748
70011 Požega"
"Vedran Šurbek"	"Kapucinske 1c
56097 Delnice"
"Stana Zeba"	"Naumovac 5a
73224 Garešnica"
"Antonio Ribičić"	"Javorovac 4b/7
18904 Karlovac"
"Katarina Zrilić"	"Bučarova 5b
35259 Sisak"
"Marijana Jovanović"	"Vitezovićeva 1a/0
61482 Novigrad"
"Nina Hrvojić"	"Klanac Grgura Tepečića 90
81303 Glina"
"Mladen Norac"	"Paunovac 3c
77150 Garešnica"
"Juraj Penić"	"Krležin gvozd 9a
93207 Dugo Selo"
"Igor Lukinić"	"Zamenhofove 119
49259 Cres"
"Laura Orešković"	"Krvavi most 0a/2
67766 Čazma"
"Danijel Ričko"	"Jabukovac 447
22306 Karlovac"
"Juraj Sakač"	"Golubovac 3c/8
66999 Slatina"
"Jure Barbieri"	"Perivoj biskupa Stjepana II. 6c/4
84539 Komiža"
"Maja Martinčević"	"Wickerhauserova 7b/7
51286 Čabar"
"Rudolf Sokić"	"Ljubinkovac 0c
74442 Solin"
"Nina Ivančan"	"Splavnica 0c/7
55716 Donja Stubica"
"Fuma Oršoš"	"Cmrok 3c/7
33249 Petrinja"
"Miroslav Terlević"	"Skalinska 82
62850 Čakovec"
"Mateo Kraljić"	"Ljubinkovac 8c
54607 Požega"
"Manda Vrabelj"	"Streljačka 1a/6
27375 Slavonski Brod"
"Mario Babić"	"Zelenjak 099
23665 Kastav"
"Štefanija Valjetić"	"Rockefellerova 0b
15569 Grubišno Polje"
"Vlado Matijević"	"Streljačka 8a/5
55333 Crikvenica"
"Nina Tepeš"	"Medvedgradska 4a
09409 Rab"
"Tomo Klarić"	"Višnjičke 968
20682 Vis"
"Nina Kurtoić"	"Krležin gvozd 0b
03038 Novi Marof"
"Ankica Antonić"	"Dolac 28
34277 Kastav"
"Božena Brezjan"	"Zmajevac 8a
55944 Pag"
"Nikolina Odobašić"	"Svibovac 66
67210 Skradin"
"Mihael Šimić"	"Pantovčak 218
03945 Zabok"
"Katica Hranić"	"Jurjevska 9b/1
91155 Novska"
"Damir Dvojak"	"Horvatovac 9a
40493 Šibenik"
"Elvis Kovačić"	"Dolac 1
11796 Drniš"
"Filip Kokorić"	"Zmajevac 8a/5
68623 Split"
"Vlado Slavica"	"Ksaverska 5b/3
32425 Varaždin"
"Nina Marijanović"	"Magdićeve 7a/1
74129 Solin"
"Anton Kirinčić"	"Srebrnjak 9b
22427 Kastav"
"Lucija Roce"	"Kraljevec II. 5b/3
13324 Vodice"
"Ane Jurković"	"Svibovac 9
08280 Pula"
"Mario Štefanec"	"Rikardove 7c
30468 Dugo Selo"
"Mara Hadžić"	"Bijenička 2a
98403 Varaždin"
"Fuma Šupraha"	"Kamenita 417
58393 Ludbreg"
"Saša Lučić"	"Novi Goljak 1a
39347 Osijek"
"Martina Vladislavić"	"Bijenička 1c/0
89570 Bakar"
"Anto Radman"	"Čačkovićeva 7c
01376 Zagreb"
"Nina Mišak"	"Remetska 1c
30175 Drniš"
"Branka Marinković"	"Mlinovi 7c
58172 Našice"
"Đurđica Bračun"	"Vijenac 839
07354 Cres"
"Lidija Knežević"	"Klenovac 8c/0
66327 Vodnjan"
"Leon Maričević"	"Nova Ves 43
49384 Pakrac"
"Elvis Kraljević"	"Goljačke 747
20779 Split"
"Leon Petek"	"Mala 0a/9
77162 Jastrebarsko"
"Šime Terlević"	"Jurkovićeva 2b
62915 Sinj"
"Laura Žunec"	"Splavnica 6c
11130 Lepoglava"
"Duje Bićanić"	"Vlaška 2b
38881 Sveti Ivan Zelina"
"Nina Priselac"	"Grič 4c/3
66142 Vodice"
"Jozo Galović"	"Jurišićeva 2c
52463 Garešnica"
"Stjepan Ciganović"	"Dubravkin 9c
67434 Ozalj"
"Barica Hranić"	"Krležin gvozd 9c/9
54865 Čabar"
"Kristina Guštin"	"Cmrok 64
23882 Krk"
"Julijana Martinić"	"Vijenac 2b/8
05199 Prelog"
"Dominik Kovaček"	"Kraljevec 3b
25541 Mali Lošinj"
"Draga Matić"	"Ksaverska 21
96664 Čazma"
"Ane Brandić"	"Jadranska 2
90843 Nova Gradiška"
"Marko Bašnec"	"Glogovac 7c/5
29500 Sinj"
"Nina Ukić"	"Arnoldova 6b/8
19004 Zadar"
"Barbara Jerković"	"Skalinska 6a
36967 Otok"
"Matija Vranić"	"Gračanska 228
74347 Vinkovci"
"Marta Erceg"	"Višnjica 208
85536 Ozalj"
"Stjepan Topić"	"Rokova 3
06496 Gospić"
"Ilija Božiković"	"Orlovac 2a
21377 Đurđevac"
"Sandra Hrvojić"	"Rokov perivoj 2b/9
89015 Bakar"
"Vedran Mušćet"	"Jurjeve 1c
79492 Karlovac"
"Zdravko Dautanec"	"Kraljevec II. 15
27238 Krapina"
"Lovre Karuza"	"Vinogradska 005
83433 Oroslavje"
"Nina Vučetić"	"Glogovac 4
94482 Novalja"
"Gordana Mirt"	"Jurjeve 8b/2
38649 Velika Gorica"
"Hrvoje Šegović"	"Bosanska 2
98363 Sisak"
"Aldo Pedišić"	"Mlinarska 7a/6
55866 Opuzen"
"Sanja Šturlan"	"Lisinskoga 5c
39496 Zadar"
"Mijo Krajcar"	"Tošovac 7b/9
72801 Šibenik"
"Stana Trbović"	"Dolac 7b/9
36033 Pleternica"
"Nada Nakić"	"Jurjeve 13
10973 Vrlika"
"Mate Birtić"	"Bakačeva 3a
95024 Buzet"
"Roko Rendulić"	"Medveščak 4c/2
33639 Vukovar"
"Nina Čudić"	"Davor 9c
87653 Velika Gorica"
"Ivka Milovac"	"Tuškanac 5b/2
98407 Solin"
"Božena Stojčević"	"Šilobodov put 96
34949 Ludbreg"
"Tomo Roca"	"Višnjica 9c/3
52898 Varaždin"
"Dora Jović"	"Gradec 6b/2
37189 Senj"
"Lorena Sladonja"	"Bijenička 7c/6
15546 Umag"
"Danica Benić"	"Orlovac 2
07074 Labin"
"Nikša Živković"	"Mletačka 8
43885 Popovača"
"Marko Krpan"	"Vijenac 9a/0
72206 Benkovac"
"Barbara Katić"	"Svibovac 09
23879 Korčula"
"Patrik Špoljarić"	"Bučarova 2
94076 Varaždin"
"Matija Špoljarić"	"Draškovićeva 9c/6
40752 Vukovar"
"Filip Tuđa"	"Splavnica 8a
96655 Duga Resa"
"Željko Pavković"	"Medveščak 9c
25039 Dubrovnik"
"Nataša Ban"	"Pod zidom 8a/1
58547 Nin"
"Nikola Jozić"	"Mlinske 6c
90773 Petrinja"
"Andrija Šimara"	"Gračanska 22
01032 Omiš"
"Matej Vrabelj"	"Ribnjak 1a/2
06785 Kutina"
"Katarina Volarić"	"Davor 5b/0
09116 Novigrad"
"Iva Urlić"	"Vrazovo šetalište 876
45908 Bjelovar"
"Pavao Bašić"	"Wickerhauserova 3c/3
57910 Otočac"
"Martin Milatić"	"Novi Goljak 0a
33910 Zlatar"
"Mladen Milevoj"	"Svibovac 4c
96620 Samobor"
"Marko Stolnik"	"Lobmayerove 9c/1
84018 Lepoglava"
"Jele Dragojević"	"Kraljevec II. 6b
09696 Grubišno Polje"
"Franciska Crevar"	"Vijenac 5c
03915 Hrvatska Kostajnica"
"Šime Eršek"	"Magdićeve 930
45893 Pula"
"Zlatko Kligl"	"Goljak 9b/7
37364 Valpovo"
"Martin Žagar"	"Kozarčev vijenac 0c/5
87924 Bjelovar"
"Lovre Kirinčić"	"Grič 3a/5
68535 Dubrovnik"
"Pavao Kosanović"	"Medveščak 7b
64890 Novalja"
"Matija Solomun"	"Kozarčev vijenac 9c/3
69155 Beli Manastir"
"Kate Božanić"	"Goljak 5c/7
76926 Pakrac"
"Robert Barbieri"	"Rikardove 22
16773 Lipik"
"Dražen Burić"	"Ružičnjak 9a/1
73306 Kraljevica"
"Dejan Dolinar"	"Istarska 182
29470 Križevci"
"Božica Radić"	"Jurkovićeva 3a/5
38702 Kraljevica"
"Đurđica Pavičić"	"Vrazovo šetalište 2b/8
85663 Otočac"
"Mia Makovac"	"Dubravkin 7
22742 Rijeka"
"Viktor Boljkovac"	"Klanac Grgura Tepečića 0b/1
53172 Ilok"
"Pavao Lešić"	"Zavojna 8b/4
88766 Đurđevac"
"Karlo Perčić"	"Šestinski vijenac 2a/3
98682 Sisak"
"Dušan Sorić"	"Mlinarska 2b/6
84252 Obrovac"
"Janja Bučanac"	"Jurišićeva 065
18349 Kraljevica"
"Nada Eterović"	"Lobmayerove 6a/8
91761 Slunj"
"Tomislav Katić"	"Pod zidom 7a
33328 Oroslavje"
"Valter Jović"	"Mlinovi 4
64953 Buzet"
"Mara Kos"	"Kurelčeva 0b
02231 Čakovec"
"Matej Sever"	"Orlovac 2b/3
59307 Makarska"
"Filip Jovanovac"	"Svibovac 8b
65279 Našice"
"Pavao Matovina"	"Zelengaj 8b
80726 Senj"
"Božica Galović"	"Vlaška 912
12012 Garešnica"
"Davor Oršoš"	"Cmrok 2c
18596 Popovača"
"Biljana Stiperski"	"Harmica 4c
85050 Petrinja"
"Ružica Urlić"	"Bosanska 7c
55418 Lepoglava"
"Siniša Blažek"	"Višnjičke 6c/3
04765 Opatija"
"Sandra Kosanović"	"Arnoldova 9c
49813 Drniš"
"Valter Franić"	"Jurkovićeva 4c
36447 Rab"
"Siniša Čagalj"	"Medveščak 6b
76963 Kutjevo"
"Janko Ozimec"	"Kraljevec 2b/6
98892 Novigrad"
"Pavao Nišević"	"Ksaverska 8c
68042 Kraljevica"
"Milan Filar"	"Istarska 63
83969 Čabar"
"Domagoj Komljenović"	"Lisinskoga 730
98147 Krk"
"Slavko Bašnec"	"Zavojna 48
26445 Opatija"
"Zora Galić"	"Golubovac 8a
40690 Vrbovec"
"Pavao Ritoša"	"Goljak 5c/6
75027 Samobor"
"Zdravko Božanović"	"Orlovac 88
13613 Umag"
"Kate Madunić"	"Svibovac 1b/2
71819 Rab"
"Toni Labinjan"	"Grič 449
24333 Novi Vinodolski"
"Željko Radojković"	"Mlinarska 8b/7
53575 Novalja"
"Pavao Vučković"	"Nemetova 927
33756 Koprivnica"
"Draga Kligl"	"Ljubinkovac 91
13306 Benkovac"
"Toni Škrtić"	"Javorovac 9c
91494 Križevci"
"Danijela Čagalj"	"Vlaška 8b/4
91331 Đakovo"
"Mihael Stipanović"	"Svibovac 75
41457 Split"
"Juraj Predovan"	"Klesarski put 3b/9
64097 Pag"
"Maja Hinić"	"Mašekova 8a/9
48118 Nin"
"Siniša Penić"	"Davor 1b
19648 Vrbovsko"
"Anita Popović"	"Splavnica 06
44539 Sinj"
"Hana Kostanić"	"Lobmayerove 16
49776 Slavonski Brod"
"Pero Balić"	"Horvatovac 6b/8
11918 Osijek"
"Anđa Volarić"	"Rockefellerova 0c/2
51652 Čakovec"
"Marija Križan"	"Golubovac 824
01148 Jastrebarsko"
"Elvis Šurbek"	"Čačkovićeva 8a/5
19160 Krapina"
"Ilija Jakovljević"	"Vlaška 3c
18171 Bjelovar"
"Dora Šunjić"	"Zavojna 2c/5
16107 Vinkovci"
"Robert Ercegović"	"Kraljevečki ogranak 5
62220 Vodice"
"Barbara Popović"	"Kraljevečki odvojak 9a/3
16038 Crikvenica"
"Vera Vlašić"	"Glogovac 7a
92647 Kutjevo"
"Vlado Škara"	"Jurjevska 6c
99278 Split"
"Pero Botica"	"Slavujevac 9
37156 Sveti Ivan Zelina"
"Matej Baljak"	"Kamenjak 2c/5
66771 Beli Manastir"
"Romano Kolić"	"Voćarsko naselje 3c
63522 Orahovica"
"Tomo Štefanec"	"Horvatovac 53
97517 Kaštela"
"Draga Bolčević"	"Zamenhofova 67
08845 Poreč"
"Slavica Smoković"	"Krležin gvozd 3a/0
85087 Trogir"
"Tea Oršoš"	"Arnoldova 5b
82748 Đurđevac"
"Franciska Dominiković"	"Javorovac 67
71067 Klanjec"
"Janko Glavan"	"Arnoldova 761
04750 Križevci"
"Jana Lazar"	"Bakačeva 6
11806 Garešnica"
"Pero Buljan"	"Lobmayerove 4c
46003 Slatina"
"Martin Borak"	"Goljak 6b
33347 Bakar"
"Jozo Martinčević"	"Ružičnjak 9
06017 Korčula"
"Andrea Petek"	"Kamenjak 771
76143 Belišće"
"Robert Kuščević"	"Zmajevac 0a/3
89430 Slunj"
"Rudolf Polonijo"	"Bakačeva 6b/6
18497 Rab"
"Lara Orlović"	"Naumovac 8b
47762 Đurđevac"
"Roko Balić"	"Ksaverska 0a
78364 Čazma"
"David Pavin"	"Srebrnjak 6a/0
33724 Belišće"
"Filip Kujundžić"	"Gupčeva zvijezda 6c/9
90832 Poreč"
"Pero Colić"	"Skalinska 4a/3
91870 Novska"
"Stana Damijanić"	"Mala 0b
28740 Oroslavje"
"Branka Debelić"	"Pantovčak 8a/2
50664 Knin"
"Sanja Damijanić"	"Mihaljevac 1c
94388 Mali Lošinj"
