"Albina Barišić","Jurkovićeva 7
44983 Rovinj" 
"Matija Marasović","Zamenhofova 9a
46277 Ogulin"
"Stjepan Katić","Zamenhofova 2a
51755 Beli Manastir"
"Igor Grgurovac","Jagodnjak 7c
73797 Novigrad"
"Marija Lelas","Kraljevečki odvojak 33
54853 Popovača"
"Ankica Gudelj","Šestinski vrh 9c/5
88372 Ilok"
"Goran Čuljak","Jadranska 0b/1
30778 Hvar"
"Mato Bušljeta","Jurjevska 9a/0
90060 Sinj"
"Dora Kramarić","Mlinovi 0b/3
57797 Imotski"
"Elizabeta Žužić","Mala 769
75478 Pag"
"Suzana Pintarić","Rokov perivoj 9b
57987 Karlovac"
"Mislav Varga","Harmica 2a
39967 Zadar"
"Dražen Pintarić","Perivoj srpanjskih žrtava 6a
53685 Gospić"
"Karlo Debelić","Harmica 4b/1
54981 Nin"
"Ana Barbić","Mlinske 8c
24941 Labin"
"Božica Orešković","Mirogojska 6b/9
50969 Ilok"
"Slavko Pandurić","Mesnička 58
09973 Korčula"
"Ivka Vukobratović","Glogovac 978
30392 Duga Resa"
"Petra Matana","Zvonarnička 9c/3
99029 Pregrada"
"Mate Galešić","Zelengaj 0b/9
29804 Prelog"
"Suzana Sladonja","Jezuitski trg 94
87643 Vodnjan"
"Dalibor Lisica","Skalinska 4a/9
92430 Biograd na Moru"
"Leon Kuveždić","Mlinovi 4a
91931 Umag"
"Vlado Peroš","Wickerhauserova 32
36781 Oroslavje"
"Nika Jelavić","Zamenhofova 6c
97113 Vinkovci"
"Sandra Josipović","Mirogojska 3
42355 Zaprešić"
"Jakov Leščić","Perivoj srpanjskih žrtava 4b/0
65170 Vodnjan"
"Tomo Stošić","Gornje Prekrižje 604
93607 Zlatar"
"Dražen Dizdar","Pantovčak 1c/7
03481 Solin"
"Ljiljana Maretić","Ilica 8c/5
39684 Varaždin"
"Suzana Šošić","Rokov perivoj 4a
85325 Pula"
"Nataša Turk","Višnjičke 93
99380 Stari Grad"
"Kristina Ban","Jurišićeva 55
30948 Šibenik"
"Ljiljana Dautanec","Cmrok 61
63044 Trogir"
"Ante Bosilj","Klenovac 93
29850 Klanjec"
"Denis Gregov","Lisinskoga 953
88515 Zadar"
"Mateo Akmačić","Perivoj biskupa Stjepana II. 5c
14565 Imotski"
"Šime Sršen","Zelengaj 2b
55663 Split"
"Jana Tešija","Svibovac 01
29787 Lipik"
"Valter Milatić","Kraljevec II. 1a
81330 Gospić"
"Tatjana Blagaić","Gupčeva zvijezda 50
14645 Vodnjan"
"Kate Pecotić","Kozarčev vijenac 507
64933 Korčula"
"Stjepan Miklečić","Vinogradska 928
31727 Kutjevo"
"Dražen Jakopec","Zelengaj 0a/3
19458 Pleternica"
"Ane Hrabar","Rokova 9c/0
84405 Grubišno Polje"
"Barbara Kupsjak","Voćarsko naselje 6c
54317 Nin"
"Ika Nakić","Jabukovac 52
41862 Pregrada"
"Maria Pamić","Streljačka 8c
75981 Bjelovar"
"Hana Dolić","Gradec 3a/1
29304 Slunj"
"Željka Jurišić","Vlaška 9b
18775 Zabok"
"Tatjana Bogović","Goljak 5a/1
88668 Klanjec"
"Nevenka Dominiković","Medveščak 6a/0
92640 Slatina"
"Antonio Pavlović","Lisinskoga 248
14192 Našice"
"Ivana Kelečić","Petrova 679
64116 Ivanić-Grad"
"Marijan Koški","Ksaver 6c/8
60403 Vrbovec"
"Janko Marić","Horvatovac 8b/5
59181 Hvar"
"Ivan Šurbek","Zelengaj 4c/6
29672 Glina"
"Lidija Krpan","Opatička 5a/6
87877 Stari Grad"
"Fuma Kokanović","Nova Ves 1b/4
04607 Trogir"
"Josip Križan","Voćarska 7b
22629 Pleternica"
"Tatjana Bunčić","Jurišićeva 493
74673 Vinkovci"
"Maria Markanjević","Jurjeve 7a/9
69151 Vodice"
"Marin Lasić","Zelenjak 3b/0
98499 Vrbovsko"
"Nikša Dragojević","Kraljevec II. 377
97065 Zadar"
"Mato Gulan","Svibovac 461
20912 Donja Stubica"
"Dario Adžijević","Goljak 5b
40331 Dubrovnik"
"Anica Eterović","Bakačeva 9b
85249 Obrovac"
"Antonija Rubinić","Gornje Prekrižje 6c
11318 Metković"
"Jele Lakošeljac","Grič 3c
63248 Đakovo"
"Anton Žunec","Zeleni dol 046
47262 Sisak"
"Tatjana Herout","Mletačka 0a
80773 Rijeka"
"Albina Dobrić","Pod zidom 3b/7
34303 Samobor"
"Sanja Plažanin","Jezuitski trg 6c/2
11406 Rovinj"
"Draga Kovaček","Mlinske 5a/3
93355 Sveti Ivan Zelina"
"Goran Šestak","Zavojna 5a
20897 Hvar"
"Đurđica Kolić","Magdićeve 5b
68834 Bakar"
"Luka Ivšić","Svibovac 43
07588 Karlovac"
"Mara Galović","Dvoranski prečac 7c
25313 Pag"
"Nikša Stojnić","Gupčeva zvijezda 5c
87764 Varaždin"
"Vlado Stančin","Kaptol 8b
27212 Petrinja"
"Tatjana Kostanić","Novi Goljak 296
41483 Cres"
"Milica Ljubetić","Zamenhofova 588
24971 Sisak"
"Andrija Raspor","Bučarova 0a/9
40258 Daruvar"
"Marin Kligl","Paunovac 0b
21027 Čabar"
"Dragan Bušljeta","Vitezovićeva 7c/1
00197 Sveta Nedelja"
"Mario Medač","Ružičnjak 7b
47371 Našice"
"Romano Borak","Draškovićeva 4a
12372 Otok"
"Ankica Maršić","Medvedgradska 9
70836 Slunj"
"Joško Sardelić","Perivoj biskupa Stjepana II. 88
65783 Ludbreg"
"Renata Damjanović","Ilica 2c
21815 Pleternica"
"Tatjana Liović","Opatovina 432
03011 Našice"
"Saša Vuljak","Opatička 342
25571 Delnice"
"Valentina Kalanjoš","Palmotićeva 6a/7
59575 Pakrac"
"Eva Mihalić","Kurelčeva 5c
02687 Jastrebarsko"
"Dora Kovačić","Pantovčak 7a/7
78592 Komiža"
"Tea Brajković","Mletačka 9b/5
43229 Pula"
"Anica Kauzlarić","Magdićeve 5b/2
61496 Mali Lošinj"
"Kristijan Norac","Dverce 400
64627 Đakovo"
"Anto Bolčević","Wickerhauserova 9a/2
58895 Vis"
"Erik Martinčević","Kraljevečki odvojak 5a
88581 Lepoglava"
"Tatjana Martinčević","Kraljevec II. 74
55353 Kutjevo"
"Jelena Smolić","Medvedgradska 2c
89268 Vodice"
"Šime Abramović","Visoka 3c/8
75618 Donja Stubica"
"Božena Pavičić","Vinogradska 1b/4
66898 Šibenik"
"Snježana Batrnek","Šestinski vijenac 4
59677 Drniš"
"Dora Miloslavić","Tkalčićeva 9c
52805 Umag"
"Lovro Bošnjaković","Kamenita 5c/7
65810 Rab"
"Manda Akmačić","Harmica 570
54054 Kaštela"
"Manda Marinković","Perivoj biskupa Stjepana II. 5a
38019 Makarska"
"Mira Lorencin","Streljačka 582
34307 Vrlika"
"Tatjana Martić","Ksaverska 04
83020 Rijeka"
"Mate Mesarić","Zeleni dol 13
52727 Ozalj"
"Dalibor Ergotić","Bakačeva 7c/9
33614 Omiš"
"Dragutin Mraović","Kraljevec 8a
91392 Koprivnica"
"Antonija Jurlina","Medvedgradska 8c
46818 Opuzen"
"Alen Brlas","Goljak 1a/9
88756 Sveti Ivan Zelina"
"Eva Barbieri","Jadranska 5a
06249 Ogulin"
"Lidija Brlek","Jurjevska 6a
77070 Metković"
"Anđa Baričević","Mirogojska 0a/0
31893 Solin"
"Anita Hrastinski","Male 3c/8
83489 Poreč"
"Tatjana Pleše","Mašekova 0a/7
10839 Skradin"
"Nikolina Šibalić","Wickerhauserova 68
24827 Vinkovci"
"Damir Vozila","Kraljevec II. 044
02492 Otočac"
"Petra Zubčić","Demetrova 2c
02037 Požega"
"Boris Botić","Šilobodov put 0c/4
50546 Pakrac"
"Jadranka Mamula","Golubovac 62
53778 Đakovo"
"Nika Radović","Vončinina 4b/8
82313 Virovitica"
"Boris Kurtoić","Svibovac 2c/6
64716 Otočac"
"Jozo Kuzmić","Naumovac 132
85381 Imotski"
"Mladen Krželj","Perivoj srpanjskih žrtava 2c/8
94802 Vinkovci"
"Tatjana Priselac","Jabukovac 3
04650 Belišće"
"Ane Pedišić","Podgaj 5a
82925 Novalja"
"David Jovanović","Bakačeva 2
61739 Valpovo"
"Sanja Peša","Streljačka 339
44525 Komiža"
"Lea Ban","Pantovčak 5c
37644 Križevci"
"Nikolina Tudić","Mašekova 1c
93431 Knin"
"Antun Brlek","Vončinina 5a
11101 Mursko Središće"
"Franjo Pecotić","Rokov perivoj 5a/4
82398 Supetar"
"Vjekoslav Kokorić","Vinogradska 8a/0
97006 Lepoglava"
"Matej Branković","Svibovac 2c
66826 Velika Gorica"
"Tatjana Rastija","Krvavi most 4b
53133 Klanjec"
"Rozalija Kostelac","Lobmayerove 0a
12205 Dubrovnik"
"Hrvoje Piljek","Lisinskoga 0
46212 Varaždinske Toplice"
"Duje Sršen","Svibovac 4a/5
48206 Oroslavje"
"Milena Bobanović","Čačkovićeva 8b
52641 Trilj"
"Ljiljana Rubinić","Petrova 2b
79777 Supetar"
"Mara Kramarić","Jurjevska 0b/9
93176 Cres"
"Nikolina Jagečić","Mesnička 5b/8
68476 Pakrac"
"Dino Škunca","Kraljevec II. 6a
84907 Grubišno Polje"
"Anka Burčul","Mihaljevac 9
86316 Petrinja"
"Tatjana Rendulić","Voćarska 3
12728 Zagreb"
"Niko Žiković","Mesnička 0c/2
84343 Vrbovec"
"Toni Žufika","Šestinski vijenac 0c
50702 Zagreb"
"Damir Pečur","Tošovac 6a/3
30274 Poreč"
"Dominik Damijanić","Vijenac 64
27434 Oroslavje"
"Ivan Dautanec","Medveščak 2a
80577 Solin"
"Tea Milas","Dubravkin 6b
84203 Trogir"
"Tatjana Lucić","Šumski prečac 8b/0
83937 Varaždin"
"Siniša Polić","Jagodnjak 3b/0
47776 Makarska"
"Veronika Barnaba","Dubravkin 3
91195 Daruvar"
"Tatjana Tonc","Radnički dol 206
17999 Pregrada"
"Ilija Puharić","Pantovčak 1
16290 Umag"
"Željko Barać","Rokova 8a/4
62983 Samobor"
"Tatjana Rebić","Naumovac 6b/4
28487 Vukovar"
"Katarina Zelić","Tuškanac 0a/1
77933 Grubišno Polje"
"Zorka Prelec","Ilica 1a
67260 Pula"
"Denis Mikulandra","Jurišićeva 8b/1
06229 Orahovica"
"Mijo Pavin","Javorovac 6c
54326 Belišće"
"Milan Trgovčić","Kozarčev vijenac 7c
75988 Dubrovnik"
"Milena Nišević","Strossmayerovo šetalište 3
12188 Ilok"
"Tea Dončević","Čačkovićeva 1b
20493 Donja Stubica"
"Matea Lisica","Gupčeva zvijezda 8b
01263 Otočac"
"Marta Žuvela","Strossmayerovo šetalište 8
25400 Sveti Ivan Zelina"
"Matija Jakuš","Wickerhauserova 6b
67855 Donja Stubica"
"Slavica Turina","Jabukovac 1b
59482 Trilj"
"Bara Žunec","Slavujevac 0b/2
09634 Vis"
"Ane Vitasović","Rokova 1b/1
04958 Bjelovar"
"Eva Radović","Remetska 892
01301 Omiš"
"Mare Hranić","Klanac Grgura Tepečića 9a
94168 Beli Manastir"
"Mile Petrović","Ksaverska 0b
85044 Opatija"
"Tea Hranj","Dubravkin 06
33405 Pleternica"
"Željka Komar","Magdićeve 0a
09162 Kaštela"
"Mile Vaci","Voćarsko naselje 8b/4
92275 Ilok"
"Lea Bošnjaković","Kraljevec II. 1a/5
81308 Novi Marof"
"Dario Valentić","Ksaverska 3a/1
36312 Vrbovec"
"Mario Bralić","Šilobodov put 7c
58134 Šibenik"
"Marica Žeželić","Splavnica 5c/8
38186 Imotski"
"Mia Pavić","Zamenhofove 4c/5
42971 Valpovo"
"Petar Jozić","Demetrova 0c/6
43913 Varaždin"
"Toni Cvetnić","Medveščak 74
66244 Ivanec"
"Tea Klarin","Zamenhofove 1a
29218 Đakovo"
"Suzana Tonc","Mirogojska 4b/9
46587 Zadar"
"Maria Čagalj","Podgaj 5a/6
81002 Požega"
"Antonija Perkov","Jagodnjak 166
54594 Drniš"
"Dino Ribarić","Magdićeve 0a/3
82748 Crikvenica"
"Marijan Maretić","Hercegovačka 6
19664 Supetar"
"Aldo Sokač","Vinogradska 05
31286 Virovitica"
"Jadranka Mirt","Harmica 2b
13310 Vodice"
"Dražen Bušljeta","Kraljevec 4
15379 Solin"
"Manda Medved","Streljačka 95
44157 Vrbovec"
"Tea Krželj","Ksaver 7
58632 Sveta Nedelja"
"Duje Bušljeta","Bijenička 6a
62634 Umag"
"Anto Dončević","Remetska 5c/7
00920 Oroslavje"
"Božo Pavić","Bosanska 3c/3
45067 Vodice"
"Aldo Lešković","Gupčeva zvijezda 92
14330 Ivanić-Grad"
"Mato Matić","Paunovac 4c/7
18208 Rab"
"Vjekoslav Hinić","Svibovac 979
20489 Pazin"
"Maja Franić","Lisinskoga 9a/8
80913 Slavonski Brod"
"Niko Radin","Opatovina 0b/4
97830 Orahovica"
"Rozalija Rebić","Jurjevska 0c/3
62110 Orahovica"
"Tea Lučić","Kozarčev vijenac 9
71168 Hrvatska Kostajnica"
"Mateo Kopjar","Mletačka 9c
17453 Osijek"
"Albina Markovac","Petrova 1b/9
23856 Šibenik"
"Mladen Hadrović","Kožarska 33
02083 Donji Miholjac"
"Zlatko Roca","Ksaverska 9b/2
89320 Vis"
"Pero Magić","Jurišićeva 6c
43001 Metković"
"Barbara Sorić","Horvatovac 740
58238 Poreč"
"Zdenka Martinčević","Kapucinske 0
38142 Skradin"
"Dalibor Tudor","Arnoldova 4b/7
62030 Crikvenica"
"Dino Ilić","Bijenička 3
32476 Obrovac"
"Tea Nimac","Kraljevec 4a/0
54203 Pag"
"Anđa Dolinar","Mlinarska 5c
22887 Čabar"
"Mile Kunac","Skalinska 6b/1
38781 Skradin"
"Dušan Bičak","Gornje Prekrižje 815
37391 Split"
"Dalibor Trbović","Kamenjak 9
04711 Petrinja"
"Mladen Trutanić","Demetrova 787
38097 Šibenik"
"Renata Baljak","Mihaljevac 6b
61977 Beli Manastir"
"Sanja Mičetić","Klanac Grgura Tepečića 5b
85898 Buje"
"Ruža Blažević","Kožarska 140
51494 Beli Manastir"
"Katarina Brletić","Medveščak 3b
74828 Petrinja"
"Tea Stojanov","Gornje Prekrižje 5a
63789 Ploče"
"Marija Tudor","Magdićeve 30
27033 Novi Marof"
"Tatjana Horvatek","Dvoranski prečac 4
13631 Karlovac"
"Dražen Komar","Zamenhofove 16
51603 Petrinja"
"Davor Babić","Ksaverska 93
04632 Donja Stubica"
"Antonio Božiković","Šalata 8a/1
95312 Senj"
"Duje Zmaić","Wickerhauserova 7
15604 Imotski"
"Saša Barac","Gornje Prekrižje 3a
87370 Korčula"
"Jele Buljan","Strossmayerovo šetalište 7c/5
67480 Senj"
"Lucija Madunić","Šumski prečac 2a/5
88251 Čabar"
"Tea Čotić","Skalinska 2a/2
15425 Nin"
"Katarina Matana","Višnjičke 3b
08454 Metković"
"Đuro Seršić","Novi Goljak 7a/7
03360 Klanjec"
"Ilija Rendulić","Mirogojska 9a
54024 Osijek"
"Lorena Šibalić","Visoka 492
36255 Kraljevica"
"Bara Glasnović","Rockefellerova 9c
84607 Popovača"
"Saša Halambek","Kraljevec II. 4
09963 Popovača"
"Vera Šturlan","Javorovac 1
63114 Novigrad"
"Boris Ražov","Visoka 8
23886 Virovitica"
"Vesna Palić","Podgaj 439
31920 Trilj"
"Tea Čulina","Vitezovićeva 0c
21417 Rab"
"Katarina Simić","Petrova 9
96770 Vodnjan"
"Štefanija Koški","Novi Goljak 6a
52417 Kaštela"
"Antonija Zgorelec","Zelengaj 3a/9
62605 Novigrad"
"Elvis Sršen","Mihaljevac 8c/6
37911 Donji Miholjac"
"Draga Knezović","Mašekova 1a
25734 Sveti Ivan Zelina"
"Mladen Tudić","Jurjeve 5c
10188 Oroslavje"
"Iva Kauzlarić","Goljačke 7c/3
23736 Lipik"
"Toni Kostanić","Šilobodov put 0c/3
71132 Slavonski Brod"
"Božica Car","Paunovac 4a
47933 Našice"
"Terezija Bučanac","Kraljevečki ogranak 3a
86412 Orahovica"
"Ivica Penić","Vitezovićeva 7c
91786 Benkovac"
"Franjo Crevar","Hercegovačka 02
48448 Buzet"
"Vesna Martinović","Arnoldova 0c
55636 Samobor"
"Danica Filipčić","Ksaverska 683
39204 Trogir"
"Dino Hren","Šestinski vrh 8c
70775 Požega"
"Ante Jurčić","Ilica 3b
20790 Pakrac"
"Milica Ladavac","Orlovac 2a
17899 Vrbovsko"
"Antonio Vidas","Medveščak 9c
48554 Ivanić-Grad"
"Božena Grubišić","Ilica 88
62000 Pazin"
"Terezija Dizdar","Vončinina 82
71375 Nin"
"Mate Peruško","Mlinovi 82
93218 Ploče"
"Saša Franić","Krležin gvozd 6a
74624 Našice"
"Ivanka Roce","Remetska 9b/2
75076 Šibenik"
"Ivo Rastija","Rikardove 2a
25515 Koprivnica"
"Elvis Jasprica","Mašekova 08
81774 Vodice"
"Ivana Matošević","Horvatovac 8a
73998 Pag"
"Vedran Ražov","Pod zidom 5a/2
20650 Ludbreg"
"Jana Maržić","Ilica 9a
59420 Virovitica"
"Joško Filipović","Opatovina 5b
69290 Daruvar"
"Terezija Dretvić","Kurelčeva 3a
24014 Senj"
"Štefica Kovaček","Podgaj 55
58689 Metković"
"Lana Grubišić","Podgaj 7b
22994 Požega"
"Milena Jakuš","Šalata 5b
13088 Sinj"
"Josip Milas","Jagodnjak 6c
51750 Buje"
"Josipa Cik","Orlovac 458
12311 Kastav"
"Ilija Buljan","Perivoj srpanjskih žrtava 5b
72792 Biograd na Moru"
"Nikolina Baksa","Jurkovićeva 9a/1
62463 Šibenik"
"Mirjana Krželj","Rikardove 3b/7
32178 Benkovac"
"Dora Butković","Novi Goljak 7a
02342 Daruvar"
"Terezija Erceg","Pantovčak 4
61181 Imotski"
"Nikša Sardelić","Šestinski vrh 6
02628 Šibenik"
"Draga Lukić","Gupčeva zvijezda 7a
36821 Solin"
"Denis Vrabelj","Dolac 4b/8
53717 Križevci"
"Lucija Vučković","Bosanska 3b/0
83751 Požega"
"Juraj Ćorić","Ružičnjak 8
39426 Valpovo"
"Zoran Maretić","Bakačeva 6a/0
28826 Pag"
"Lovro Strinavić","Radnički dol 11
45986 Grubišno Polje"
"Đuro Močibob","Kraljevec 4
05212 Opatija"
"Dominik Bertoša","Remetska 7b
81101 Čabar"
"Terezija Filar","Medveščak 528
47568 Nin"
"Milena Bračun","Male 6c
06142 Obrovac"
"Mirko Dragobratović","Vinogradska 1b
60620 Valpovo"
"Toni Šimunić","Zeleni dol 4a/9
41601 Vinkovci"
"Zdenka Viljevac","Kožarska 2a
77681 Karlovac"
"Lara Špišić","Dolac 5a/2
45538 Nin"
"Petar Kuščević","Hercegovačka 800
59066 Požega"
"Nikša Bašnec","Lobmayerove 3c
41792 Buzet"
"Ane Dominiković","Rokova 769
37526 Rab"
"Antun Govorčinović","Splavnica 3b/3
48841 Hrvatska Kostajnica"
"Terezija Jakovac","Srebrnjak 6
35919 Petrinja"
"Jasna Džapo","Javorovac 8a/6
71537 Čabar"
"Nina Fabijanić","Zelengaj 5
61787 Supetar"
"Mirko Dretvić","Demetrova 9a/2
91345 Grubišno Polje"
"Erik Krajcar","Tuškanac 1
43284 Dugo Selo"
"Slavko Bašnec","Vončinina 0a
01325 Beli Manastir"
"Kristina Sobota","Palmotićeva 7a/1
25202 Jastrebarsko"
"Elizabeta Ercegović","Draškovićeva 64
31873 Makarska"
"Maria Poljak","Opatička 0a
26928 Slatina"
"Joso Penić","Gupčeva zvijezda 9c/9
61569 Sveta Nedelja"
"Terezija Kramarić","Kapucinske 6
85423 Prelog"
"Mara Marković","Podgaj 2c
45389 Mali Lošinj"
"Sandra Jagečić","Zmajevac 303
77323 Kaštela"
"Kristijan Krčelić","Jezuitski trg 0b/4
30103 Opuzen"
"Zorka Volarević","Jezuitski trg 1b/1
75690 Ilok"
"Milica Jurković","Mihaljevac 7a/1
91550 Čazma"
"Nenad Pedišić","Višnjičke 74
86189 Supetar"
"Sandra Šoštarić","Jagodnjak 88
43187 Metković"
"Danijel Moslavac","Palmotićeva 5b
75441 Stari Grad"
"Matej Ergotić","Šestinski vijenac 2c/4
23299 Pag"
"Terezija Miloslavić","Rokov perivoj 7a/2
88278 Poreč"
"Nikola Filipčić","Paunovac 3c
65775 Dubrovnik"
"Kristijan Borojević","Tošovac 6b/5
36546 Popovača"
"Filip Šargač","Kozarčev vijenac 3
33569 Ozalj"
"Zdenka Horvat","Jurkovićeva 3b
49739 Vrbovec"
"Zdravko Peterlik","Šestinski vrh 541
18652 Omiš"
"Joško Erceg","Kraljevečki odvojak 0
07729 Stari Grad"
"Igor Brajković","Dolac 1c/1
05015 Kastav"
"Petar Miklečić","Mihaljevac 9
28673 Daruvar"
"Vladimir Požega","Rokov perivoj 1b
38522 Zagreb"
"Terezija Raguž","Lisinskoga 9c
52029 Našice"
"Lea Kuveždić","Lobmayerove 9a/0
64688 Umag"
"Danica Šegović","Gradec 86
95944 Metković"
"Leon Colić","Golubovac 4a
33625 Hrvatska Kostajnica"
"Joso Mikulčić","Klesarski put 0
47476 Zagreb"
"Denis Dujmović","Male 6b
34407 Opatija"
"Željko Jović","Šumski prečac 4a
74927 Makarska"
"Vlado Božanović","Mašekova 1c
17836 Orahovica"
"Denis Lasić","Novi Goljak 1b
69075 Karlovac"
"Đurđica Crneković","Gornje Prekrižje 2a
10437 Jastrebarsko"
"Terezija Čudić","Voćarsko naselje 2a/7
45756 Bakar"
"Dejan Blagaić","Šilobodov put 9a/4
27601 Hvar"
"Jozo Ozimec","Jurkovićeva 80
58475 Biograd na Moru"
"Ljiljana Mustapić","Davor 8c
86811 Labin"
"Nataša Sabol","Srebrnjak 86
41189 Šibenik"
"Pero Matko","Opatička 26
82323 Zaprešić"
"Bara Sardelić","Višnjičke 17
70836 Rovinj"
"Elvis Modrić","Mihaljevac 4c
09739 Popovača"
"Antonio Perak","Palmotićeva 25
02056 Hrvatska Kostajnica"
"Sara Matulin","Vončinina 3
41635 Slunj"
"Tomislav Bašnec","Tošovac 2c
72146 Supetar"
"Božica Ozimec","Medveščak 5c/3
87182 Donja Stubica"
"Barbara Jakupić","Kamenjak 4b/3
09126 Buje"
"Mato Filipčić","Petrova 156
82108 Senj"
"Ruža Franušić","Kožarska 4a/4
29003 Orahovica"
"Đurđica Brezjan","Kamenita 8c/6
47373 Varaždinske Toplice"
"Ante Pleše","Jurjeve 9a
82563 Mali Lošinj"
"Štefica Šestan","Zelenjak 1c/9
78409 Sinj"
"Dora Oršulić","Srebrnjak 7c
04511 Benkovac"
"Fran Grbac","Vrazovo šetalište 2a
22535 Opatija"
"Tomislav Culi","Cmrok 2
64175 Požega"
"Mare Škoda","Mihaljevac 065
63296 Garešnica"
"Julijana Galić","Zelengaj 8a
72697 Krapina"
"Šime Filipčić","Rikardove 8a
60271 Labin"
"Đuro Šturlan","Ljubinkovac 6c
26135 Klanjec"
"Mateo Radolović","Jurjevska 4c/6
67711 Ozalj"
"Ljubica Pavičić","Šalata 2a/6
31072 Senj"
"Željka Perić","Istarska 7c
02032 Hvar"
"Mateja Poslon","Ribnjak 62
03579 Pregrada"
"Kristijan Brletić","Mihaljevac 918
07629 Novi Marof"
"Tomislav Eterović","Kamaufova 7b/9
46202 Vodice"
"Filip Zubčić","Kaptol 1
78426 Oroslavje"
"Hrvoje Cvenić","Splavnica 1a/6
87012 Buje"
"Dora Pamić","Medveščak 1c
86108 Trilj"
"Anita Vranić","Zelenjak 68
02487 Cres"
"Božena Burčul","Krvavi most 6c/7
81424 Virovitica"
"Rudolf Crneković","Kožarska 6a
77926 Ivanić-Grad"
"Janja Jurišić","Svibovac 8a
87792 Duga Resa"
"Nataša Bolčević","Gradec 6b
56036 Sveti Ivan Zelina"
"Dino Krpan","Klesarski put 3
86787 Slunj"
"Tomislav Grba","Klesarski put 9
05082 Makarska"
"Mate Bogović","Mletačka 6b/0
12233 Oroslavje"
"Lea Antić","Šilobodov put 0c
54972 Slatina"
"Ružica Liber","Kožarska 86
60015 Delnice"
"Željko Trbović","Dvoranski prečac 001
75860 Trogir"
"Mate Damijanić","Istarska 4a
09780 Lepoglava"
"Dominik Hranić","Male 0a
63765 Virovitica"
"Marica Horvat","Jadranska 977
45505 Obrovac"
"Nikša Đurinić","Šestinski vijenac 3c/2
49593 Labin"
"Tomo Vlašić","Mirogojska 2
63294 Slatina"
"Tomislav Matošević","Nemetova 2
68433 Drniš"
"Jadranka Jovanović","Ksaver 5a/9
83986 Popovača"
"Dalibor Bračun","Lisinskoga 80
37887 Dubrovnik"
"Ivan Radočaj","Višnjičke 8c/0
64167 Rab"
"Karla Mofardin","Goljak 4a/4
04057 Ilok"
"Milan Čuček","Wickerhauserova 264
57634 Sveti Ivan Zelina"
"Jelena Malnar","Strossmayerovo šetalište 1b
58644 Nin"
"Ivan Mardešić","Mašekova 0b
25618 Biograd na Moru"
"Miroslav Stiperski","Medveščak 6c/4
47833 Labin"
"Lorena Čizmić","Perivoj biskupa Stjepana II. 9b
37965 Zlatar"
"Tomislav Plantak","Mašekova 2b
97549 Kastav"
"Danijel Gegić","Vinogradska 63
18558 Sveta Nedelja"
"Dragica Žunec","Kamaufova 1b/1
17801 Pakrac"
"Mario Golubić","Davor 7c
46971 Pakrac"
"Mare Kahlina","Grič 1a
63109 Sinj"
"Mihael Botić","Strossmayerovo šetalište 2b
87446 Ivanić-Grad"
"Anđela Andrašek","Arnoldova 9b
47305 Pazin"
"Đuro Šturlan","Strossmayerovo šetalište 5c
92749 Trilj"
"Maja Jakovac","Draškovićeva 1a
50569 Slavonski Brod"
"Nikolina Obratov","Pantovčak 9c
15984 Novalja"
"Tomislav Puharić","Davor 7b/1
64749 Vinkovci"
"Ivka Boban","Golubovac 741
35613 Vrbovsko"
"Karlo Deže","Mlinovi 0
39239 Beli Manastir"
"Stana Barnaba","Male 9c
74653 Lepoglava"
"Vedran Beletić","Kamaufova 7a
49914 Garešnica"
"Jozo Cindrić","Mesnička 9a/8
14897 Zadar"
"Toni Zanoški","Tošovac 70
66827 Ivanić-Grad"
"Antun Hranić","Gupčeva zvijezda 3b/9
08610 Komiža"
"Draga Hren","Šilobodov put 5b/2
32477 Prelog"
"Marica Dragičević","Magdićeve 0
87723 Klanjec"
"Tomislav Stolnik","Tošovac 6c
76326 Lipik"
"Ana Frketić","Petrova 6b/4
94370 Supetar"
"Filip Vranić","Medvedgradska 7c
90813 Grubišno Polje"
"Juraj Šinković","Jurkovićeva 5
85601 Vukovar"
"Vesna Stražičić","Mlinovi 7b/2
14461 Valpovo"
"Hana Radočaj","Harmica 7a
73622 Buzet"
"Vera Odobašić","Perivoj biskupa Stjepana II. 4b/6
18359 Zlatar"
"Nika Pavković","Skalinska 1c
29538 Đakovo"
"Vesna Borojević","Klesarski put 1
83015 Komiža"
"Tatjana Vučetić","Klenovac 6b/5
71971 Cres"
"Tomislav Tudić","Jurkovićeva 5b/2
62097 Križevci"
"Zlatko Kelečić","Zamenhofova 8b
41320 Zadar"
"Vladimir Ribić","Dubravkin 1b/9
38229 Grubišno Polje"
"Mato Gregov","Mašekova 6a/3
51032 Križevci"
"Zvonko Rašeta","Perivoj srpanjskih žrtava 7b/1
14985 Požega"
"Rudolf Antolković","Ilica 2c/5
58702 Zaprešić"
"Šime Guštin","Svibovac 5
51435 Vinkovci"
"Lucija Skupnjak","Slavujevac 6b/7
29538 Lipik"
"Pero Lucić","Lisinskoga 5b
09050 Velika Gorica"
"Mare Ivančan","Cmrok 7
52520 Nin"
"Tomislav Šipek","Kamenita 773
00697 Skradin"
"Ruža Benčić","Remetska 8c/2
31569 Rab"
"Elizabeta Kahlina","Jurjeve 38
15563 Samobor"
"Pero Sršen","Opatička 7c
92369 Ploče"
"Josip Seničić","Gradec 1a
97293 Biograd na Moru"
