"Άγγελος Βουτσελας","Ναούμ 22,
ΤΚ 25983 Λαμία" 
"Υάκινθος Σκαρπέτας","Ξεριά 54,
ΤΚ 51601 Άρτα"
"Βαγιανή-Ερατώ Υφαντή","Θεοδοσιάδου 62,
ΤΚ 34297 Τρίκαλα"
"Δωροθέα Ανεζάκη","Μεσορόπης 9,
95713 Αθήνα"
"Νεφέλη Θεοδοσίου","Αργέννου 46,
044 02 Σπάρτη"
"Καλλίνικος Τερζής","Συμεωνίδου 11,
ΤΚ 645 95 Λευκάδα"
"Αγαθάγγελος Πυλαρινός","Μαμαλά 04,
ΤΚ 227 00 Πρέβεζα"
"Έξαρχος Τσιάρας","Ντζιαβίδα 51,
42550 Φλώρινα"
"Ρόζα Μαγκανάρη","Δρακοβουνίου 59-12,
152 93 Έδεσσα"
"Σεβαστιανός Δινεζάκης","Μελισσουργών 84,
ΤΚ 278 66 Καλαμάτα"
"Θεόπιστος Ισέρης","Ζαρζάνη 042,
25348 Πρέβεζα"
"Τρισεύγενη-Θεοδότη Μπατζάνη","Πάροδος Γόννων 32,
88166 Ιωάννινα"
"Όθων Σταθάτος","Ποταμών 55-45,
ΤΚ 28968 Καβάλα"
"Ευθαλία Νάντσου","Μιστεγνών 149-861,
46506 Μυτιλήνη"
"Νεφέλη Παπασταύρου","Χαλανδρίτσης 24-18,
27601 Αλεξανδρούπολη"
"Ευθαλία Σπηλιάδου","Περατάτων 882,
34107 Σπάρτη"
"Βαρδής Ρέππος","Κονοπίνας 69-86,
ΤΚ 666 49 Ρόδος"
"Ευμένιος Στεργιαλής","Πελαγίας 3,
ΤΚ 76686 Θεσσαλονίκη"
"Σαπφώ Πουρνάρα","Σαργιάδας 7,
64927 Ιωάννινα"
"Στεργιαννώ Βράσκου","Λεωφ. Χαλκιοπούλων 337-005,
508 53 Έδεσσα"
"Γαλάτιος Έψιμος","Δαφνίου 40-83,
ΤΚ 208 45 Μεσολόγγι"
"Μικές Τζουμάκης","Λεωφόρος Βουκολιών 0,
ΤΚ 60034 Κομοτηνή"
"Φρύνη Σαλέμη","Πολιτικών 12,
21693 Τρίκαλα"
"Λεμονής Χρυσικός","Σδούκου 67,
48702 Σπάρτη"
"Νεόκλεια Ντάνου","Πάροδος Κέχρου 53,
96492 Λάρισα"
"Δημόκριτος Κατεβάτης","Μουσάτων 87,
ΤΚ 10549 Ιωάννινα"
"Σπήλιος Μαυρομμάτης","Νεοκάστρου 2,
492 74 Χίος"
"Περσεφόνη Μπλιατσίου","Μανταμάδου 36,
ΤΚ 574 87 Πύργος"
"Ευστάθιος-Ηλίας Καλαμάρας","Παπανδρέου 50-12,
78802 Ναύπλιο"
"Βλάσιος Κουταλιός","Μανδηλίου 561-394,
ΤΚ 261 07 Αγ. Νικόλαος"
"Γαρυφαλλιά Κατσαντώνη","Χωριανοπούλου 107,
589 97 Κόρινθος"
"Ρουμπίνη Τσιούπρα","Λεωφόρος Χαβδάτων 6,
90479 Αθήνα"
"Σπάρτη Χαραλαμπίδου","Λεωφ. Καταμάχης 43,
ΤΚ 36008 Κομοτηνή"
"Ιορδάνης Σαμαράς","Πάροδος Αλαλκομενών 18,
99386 Θεσσαλονίκη"
"Νεόκλεια Σηκωτίδου","Πλατεία Πισοδερίου 89-21,
734 71 Καρπενήσι"
"Ολύμπια Τσαμοπούλου","Κουρτακίου 7,
ΤΚ 37439 Ιωάννινα"
"Αγνή Αραπίδου","Πάροδος Λυκοχίων 42,
62812 Βόλος"
"Μεταξία Μπαλανίκα","Μεσσήνης 00,
ΤΚ 33709 Ξάνθη"
"Ερωφίλη Τσαμτσούρη","Φήκης 6,
ΤΚ 724 85 Κιλκίς"
"Νομική Παυλίδου","Μυκονίων 827-898,
ΤΚ 607 59 Χαλκίδα"
"Γκόλφω Σκυλογιάννη","Εμμανουηλίδου 632-385,
06124 Χαλκίδα"
"Δημήτρης Δεσύλλας","Καναλλακίου 51,
ΤΚ 12746 Λιβαδιά"
"Χριστίνα Ματεντσίδου","Ψαχνών 482-036,
44699 Θεσσαλονίκη"
"Σταυρούλα Τουλούπη","Τσανάκα 136-764,
77947 Μυτιλήνη"
"Νεόφυτος Δινεζάκης","Περτουλίου 68,
984 15 Καλαμάτα"
"Παναγής Αλαφάκης","Αετοπέτρας 1,
894 00 Ναύπλιο"
"Θεοδότη Μιχαηλίδου","Γεωργαρά 67,
ΤΚ 160 64 Γρεβενά"
"Αηδόνα-Διαλεκτή Εμμανουηλίδου","Αγαθουπόλεως 035-362,
560 82 Πύργος"
"Ευθύμιος Αβαγιανός","Ηρακλίτσης 02,
66201 Ερμούπολη"
"Κλήμης Χατζελλής","Κρασίου 90,
04416 Πάτρα"
"Συμέλα Φασουλίδου","Κω 823,
48191 Χαλκίδα"
"Αγαπητός Τσούπρας","Μηλιάκη 73,
361 52 Ιωάννινα"
"Κωνσταντία Χρυσάφη","Λεωφόρος Ερατύρας 54,
90970 Σέρρες"
"Σπυράννα Τόλη","Κουμαραδαίων 67-94,
ΤΚ 529 42 Βόλος"
"Νεόφυτος Καβούρης","Φελλίου 94-58,
37059 Καρδίτσα"
"Αγγελής Σεφέκος","Κωστακιών 1,
ΤΚ 16526 Πάτρα"
"Μελπομένη Μανέτα","Πλατεία Αιαντείου 1,
31912 Ερμούπολη"
"Δίκαιος Παλλάς","Λύτρα 2,
75816 Σάμος"
"Έκτορας-Ιωάννης Λώλος","Πλατεία Γυθείου 59,
52871 Πάτρα"
"Θεοπίστη Αναστασίου","Μελίσσα 97,
208 16 Κόρινθος"
"Θεολογία-Θεοφίλη Ζεγλίνα","Πλατεία Περιβολίου Δομοκού 28-55,
15843 Καστοριά"
"Ερμιόνη Τουλούπη","Αγίου Θεοδώρου 850-521,
68371 Χανιά"
"Αγαθόνικος-Μαρίνος Τυμβίου","Χαριτωμένης 13-28,
94999 Αγ. Νικόλαος"
"Ευσεβεία Δουλουφάκη","Διονύσου 7,
ΤΚ 35010 Γρεβενά"
"Νεόφυτος Νιτσοτόλης","Μεριάς 0,
ΤΚ 27736 Έδεσσα"
"Κικιλία Πίσπα","Μηνά 227-751,
94164 Αργοστόλι"
"Παράσχος Φουντζούλας","Ράξας 13,
ΤΚ 03824 Κοζάνη"
"Βενετία-Ξανθίππη Πρέκα","Ριζαρίου 76,
ΤΚ 673 11 Βόλος"
"Ιουλιανή Μάρα","Νταγκαλή 8,
906 28 Καρπενήσι"
"Εύα Παντίσκα","Πάρ. Πλατανίων 32,
97454 Αθήνα"
"Αρέθα Σταμέλου","Φαρακλάτων 695,
128 21 Αργοστόλι"
"Ταξιάρχης Κερασοβίτης","Μήτσου 5,
ΤΚ 41173 Τρίκαλα"
"Βαγιανή-Μελπομένη Περουλάκη","Λεωφ. Γιάλτρων 1,
ΤΚ 714 56 Καρδίτσα"
"Φιλομήλα Δαμήλου","Σιτομένων 49,
ΤΚ 799 03 Κατερίνη"
"Νικήτας Κιτινός","Λευκοτόπου 47,
38013 Καλαμάτα"
"Δωροθέα Μαρτιάδου","Γαβαλά 5,
ΤΚ 83015 Λιβαδιά"
"Ξανθή Σύψα","Μουριατάδας 54,
328 81 Καρπενήσι"
"Συμεώνη-Κλημεντίνη Αγραφιώτη","Αποστόλων 85,
46975 Κατερίνη"
"Κλυταιμνήστρα Δαμήλου","Κομίτου 46,
317 86 Σπάρτη"
"Κωστούλα Παπατζήκα","Αρραβωνίτσης 14,
ΤΚ 305 46 Σάμος"
"Θησεύς Μιχαηλίδης","Πλ. Φανερωμένης 69,
39881 Κέρκυρα"
"Αναξαγόρας Τσακανίκας","Αιθαίας 65,
ΤΚ 15040 Φλώρινα"
"Γκίκας Νούσης","Γαργαλιάνων 42-42,
43680 Ερμούπολη"
"Λεωνιδιά Καχριμανίδη","Καρίτσης Δολόπων 5,
ΤΚ 92118 Κόρινθος"
"Νικήτας Κτενίδης","Απλαδιανών 16,
ΤΚ 104 35 Ηγουμενίτσα"
"Αντωνία Αρματά","Αναστασίου 76,
ΤΚ 33003 Μυτιλήνη"
"Κρυστάλλης Βαχουθιανάκης","Νικομηδείας 774-387,
ΤΚ 07421 Πολύγυρος"
"Ευθαλία Μπελέκου","Κονοπίνας 91-87,
38814 Ηγουμενίτσα"
"Βασιλεία Κουτσιουμάρη","Πάρ. Ισαακίου 9,
114 55 Χίος"
"Αρτεμισία Μπίκα","Μαρουγιάννη 35,
655 73 Πύργος"
"Θεοπίστη-Ευαγγελία Παναγιώτου","Λευκογείων 05-85,
ΤΚ 10667 Πολύγυρος"
"Ισιδώρα Ξηρίδου","Ραχωνίου 115,
56000 Λαμία"
"Ανδριανή Νταγκαλή","Μονολιθίου 039-762,
36901 Ερμούπολη"
"Τιμόθεος Δανέζης","Συκεών 251,
ΤΚ 227 70 Σπάρτη"
"Νικηφόρος Τζουμάκης","Λεωφ. Σπάτων-Λούτσας 1,
17671 Πολύγυρος"
"Αναστασία Μπατσάκη","Παρορείου 08-26,
147 95 Βόλος"
"Θεοχαρούλα Σωτηροπούλου","Σιταγρών 80,
022 91 Λιβαδιά"
"Βικέντια Μάντου","Λεωφόρος Γκρίκας 24,
470 32 Άρτα"
"Πολυτίμη Συβιλιά","Λεωφόρος Τανάγρας 154-078,
ΤΚ 131 43 Ερμούπολη"
"Χαρά Παπανικολάου","Ασουχίδου 2,
ΤΚ 351 75 Θεσσαλονίκη"
"Μεθόδιος Πέτσας","Αρωνιαδίκων 00,
42090 Λιβαδιά"
"Ευδοξία Χωρινού","Ραψομμάτη 5,
12440 Χίος"
"Νεοκλής Γκάγκας","Τραπεζίτσης 67,
ΤΚ 58235 Άμφισσα"
"Δωροθέα-Ευανθία Φειζατίδου","Κνίδης 93,
32127 Μυτιλήνη"
"Νικολέτα Γεωργαρά","Παύλιας 75,
ΤΚ 18244 Κοζάνη"
"Βασίλειος Μαυρούτσος","Χλομού 61,
59058 Χαλκίδα"
"Μελέτια Μαγκανάρη","Κύθνου 56,
871 14 Θεσσαλονίκη"
"Φανή Ταφραλή","Πλ. Ελαταριάς 86,
ΤΚ 561 03 Άμφισσα"
"Δανιήλ Μαυρουδής","Αμφία 30,
ΤΚ 328 21 Σπάρτη"
"Θεοχάρης-Δήμος Σαουλίδης","Λεωφόρος Αγίας Ελένης 843,
330 52 Άμφισσα"
"Αύγουστος Καρυπίδης","Βλάση 117,
ΤΚ 151 37 Έδεσσα"
"Πολυξένη Αργυρίου","Πλ. Μαυροπηγής 5,
ΤΚ 148 70 Κιλκίς"
"Γιώργος Παπαθανασίου","Χαράσου 0,
13848 Ιωάννινα"
"Χρύσανθος Λιθοξοΐδης","Κοξαρές 03,
17310 Βόλος"
"Νικολέτα Ζαρζάνη","Πάροδος Μαυρομματίου 71,
553 46 Λαμία"
"Διαλεκτή Κατσιμάνη","Λεωφόρος Μυξόρρουμα 73,
13863 Κοζάνη"
"Αρχοντία Κεσίση","Νικολουδάκη 207,
71732 Αλεξανδρούπολη"
"Διονύσιος Καλαμαράκης","Αταλάντης 68,
ΤΚ 111 90 Πρέβεζα"
"Αντώνιος Κούτρης","Σπηλαίων 037-095,
52880 Κιλκίς"
"Αρχιμήδης Σταμέλος","Βουνοπλαγιάς 21,
61432 Μυτιλήνη"
"Ησαΐας Κουλίζος","Μουζίλου 05,
ΤΚ 17365 Καρδίτσα"
"Άρτεμις Παπαθωμά","Λεωφόρος Βρίας 43,
24880 Μεσολόγγι"
"Γιάννης-Βενέτιος Περάκης","Πλ. Δεσινού 323-358,
46862 Αργοστόλι"
"Θεώνη Σδούκου","Ναούσης 6,
264 15 Ιωάννινα"
"Νικολέτα Χιωτίδου","Αμαριανού 63,
421 38 Κιλκίς"
"Ερωτόκριτος Δρουλιάς","Λεωφόρος Γεωργάνων 236-166,
ΤΚ 064 28 Σπάρτη"
"Κρυστάλλης Δημητρίου","Λεωφ. Γαβαλοχωρίου 2,
79126 Άμφισσα"
"Παύλος Σκορδάκης","Λεωφ. Χριστού 0,
69837 Ναύπλιο"
"Δωρόθεος Τσιαμούρας","Εσωβάλτων 87,
067 70 Καρπενήσι"
"Μιχαήλ Παντζέκος","Γαλατσώνας 3,
09646 Κόρινθος"
"Γαλάτιος Περπινιάς","Μανιάτη 717,
92205 Λευκάδα"
"Νεοκλής-Αγαθόνικος Σίδερης","Λιρών 77-45,
64848 Βέροια"
"Φανή Καραθανάση","Πάρ. Καλλιανού 47,
33759 Κομοτηνή"
"Ιοκάστη Γαλανοπούλου","Λεωφόρος Γαστουρίου 62,
79236 Γρεβενά"
"Νικολέτα Χοντζιά","Σκαδού 48,
81463 Πολύγυρος"
"Λεονάρδος Ζορμπάς","Αγίας Ευφημίας 21,
ΤΚ 770 14 Λαμία"
"Βλαδίμηρος-Προκόπιος Πέτσας","Γλύφας 85,
57257 Ιωάννινα"
"Δανιήλ Αλατζάκης","Εδέσσης 781,
33046 Γρεβενά"
"Αχιλλεία Βαβάση","Πάρ. Άσσου 0,
563 85 Μυτιλήνη"
"Ευσεβεία-Ραλλία Μπαφέρα","Μαργιά 09-28,
301 72 Λαμία"
"Ευάγγελος Ασαρίδης","Καβύλης 949-734,
36559 Άμφισσα"
"Ανθούλης-Ίκαρος Μανίκας","Λεωφόρος Αγίου Γεωργίου Λασιθίου 524-477,
22686 Λιβαδιά"
"Θέτις Φωλιά","Κουφαλίων 25,
ΤΚ 05256 Μυτιλήνη"
"Ζαμπία Τσικνή","Κισσάμου 999-297,
ΤΚ 87236 Πύργος"
"Νικόδημος Αντωνάκος","Καστανέας 49,
ΤΚ 62102 Τρίπολη"
"Χάιδω-Φλωρεντία Μηλιάκη","Πέτση 48,
899 94 Πάτρα"
"Θεοπίστη Βερβερίδου","Λιβαρτζίου 6,
65725 Πολύγυρος"
"Ρεβέκα Μπενέτου","Κομπωτής 683,
ΤΚ 11803 Άμφισσα"
"Καρυοφυλλιά Μπακουλή","Εξαπλατάνου 972,
58019 Ζάκυνθος"
"Αικατερίνη Ντανώλα","Λεωφόρος Ηρακλείου 64,
15506 Αγ. Νικόλαος"
"Θεοδόσιος Θεοδωρόπουλος","Υψηλάντου 87-02,
ΤΚ 185 03 Κοζάνη"
"Θεοφύλακτος Αβραμιώτης","Δυτικής Φραγκίστας 65,
16168 Έδεσσα"
"Δημήτριος Καμποσάκης","Φυτιλή 3,
40019 Ηγουμενίτσα"
"Ανδρονίκη Δρόσου","Περιστάσεως 9,
ΤΚ 821 83 Γρεβενά"
"Νικόδημος Κωτούλας","Λεωφόρος Φιλιατών 508-895,
936 64 Πρέβεζα"
"Τηλεμαχος Καφίρης","Αλμυρού 06,
ΤΚ 651 47 Κιλκίς"
"Χριστόφορος Τζαβέλλας","Καραμάνη 117,
ΤΚ 22781 Λαμία"
"Κρυσταλλένια Τζαναβάρα","Λεωφόρος Φρε 5,
612 82 Τρίκαλα"
"Προμηθέας Γουργουλής","Μπακουλή 43,
383 49 Κέρκυρα"
"Βασίλης Σπανουδάκης","Καλλιθήρου 51,
96129 Καβάλα"
"Χάρη Σολωμίδου","Θεοδώρας 961,
52079 Λαμία"
"Ευαγγελία Αδαμοπούλου","Πλ. Λόφων 2,
86073 Αργοστόλι"
"Αυξέντιος Λάκκας","Γεωργή 2,
70736 Αγ. Νικόλαος"
"Αλκμήνη Τσετσέρη","Ζαρζάνη 55-10,
ΤΚ 55859 Μυτιλήνη"
"Νικόδημος Φανουργάκης","Κερασιάς 39,
724 72 Καβάλα"
"Γιολάντα Μαστρογιαννίδου","Αλωνίων 3,
348 74 Ηράκλειο"
"Απολλωνία Παπαευαγγέλου","Πολιχνίτου 0,
ΤΚ 610 28 Καρπενήσι"
"Ευρύκλεια Κουλαουσάρη","Πλατεία Φενεού 59-37,
ΤΚ 10929 Σπάρτη"
"Αμφιθέα-Τρυφωνία Μπαλλή","Βελεστίνου 514,
ΤΚ 835 80 Έδεσσα"
"Σεβαστιανός Δημητρίου","Πλ. Σύρνας 37,
ΤΚ 311 35 Πύργος"
"Σταμάτιος Μποτώνης","Σωτηροπούλου 90,
718 52 Ιωάννινα"
"Πελαγία Τσικρίκα","Δαράτσου 307,
ΤΚ 390 95 Γρεβενά"
"Θεοφάνης Τσιάκος","Παπακώστα 359,
17794 Χαλκίδα"
"Φανουρία Μοσχοβάκη","Λεωφ. Αετοπέτρας Κονίτσης 902-352,
81052 Χαλκίδα"
"Νικόλαος Αναστόπουλος","Ανυφίου 51,
72843 Λιβαδιά"
"Βεατρίκη Παυλάκη","Ιωακειμίδου 4,
463 31 Πύργος"
"Αγγελική Σπανοχριστοδούλου","Βαφειάδου 60-88,
03363 Έδεσσα"
"Ιουλιανός Τσεντούρος","Νεραϊδοχωρίου 83,
174 40 Λιβαδιά"
"Γαληνός Τζιάρας","Μυρτιάς 4,
08071 Φλώρινα"
"Ιερεμίας Τζινιέρης","Νταγκαλή 0,
ΤΚ 69299 Κοζάνη"
"Μηλιά Σπανίδου","Πλ. Κομίτου 8,
77737 Άρτα"
"Βαλεντίνα Μπαλτατζή","Κυριακίου 40-43,
39913 Κατερίνη"
"Θεόκλεια Μαντά","Τόγια 8,
ΤΚ 38758 Καλαμάτα"
"Πολύμνια Τριφτανίδου","Καραμάνη 9,
86026 Χαλκίδα"
"Νικόλαος Λιτίνας","Παρασκευής 074,
ΤΚ 86881 Καστοριά"
"Ναθαναήλ Γιαπατζής","Στίρφακας 41,
ΤΚ 93491 Βόλος"
"Μιχαέλα Ζαχαρίου","Διγελιωτίκων 860-379,
ΤΚ 645 50 Λαμία"
"Ιοκάστη Ξανθοπούλου","Γρίβας 2,
15695 Πρέβεζα"
"Λάμπρος Παππάς","Πραγγίου 4,
91141 Λιβαδιά"
"Θεοφύλακτη Μαστραγγελή","Πάροδος Μενετών 312,
37897 Ιωάννινα"
"Τρυφωνία Κυριακοπούλου","Πάρ. Αγίου Γεωργίου Λασιθίου 08,
ΤΚ 038 60 Σπάρτη"
"Σταμάτης Αποστολόπουλος","Μπραέσα 5,
ΤΚ 52561 Αργοστόλι"
"Χρυσαυγή Σίββα","Πάρ. Αδάμ 199,
028 42 Ηράκλειο"
"Χαρίκλεια Κολαΐτου","Σεληνίων 63,
14008 Άρτα"
"Νικόλαος Φραντζής","Ιππείου 3,
18917 Κόρινθος"
"Δημήτριος Βακαλάκης","Αγιοχωρίου 81,
00912 Κέρκυρα"
"Ανδρονίκη Γαβριήλ","Πλατεία Μακρινίτσης 89,
294 12 Ηράκλειο"
"Μόσχα Συνοδινού","Τσουνάκου 43,
839 78 Πρέβεζα"
"Αναστασία Νικολοπούλου","Οίτης 1,
20210 Ναύπλιο"
"Κώστας Τζινιέρης","Πάρ. Κάσου 492-863,
91270 Ηγουμενίτσα"
"Ισίδωρος Ασημακόπουλος","Πάροδος Όρους 925-520,
ΤΚ 88920 Αθήνα"
"Τηλεμαχος Αμυγδαλάκης","Χαλκιδέων 32,
28165 Αργοστόλι"
"Βενέτιος-Ραφαήλ Κουταλιός","Καρίτσης 54,
354 35 Χίος"
"Λευκοθέα-Εριφύλη Λεπίδα","Αλοννήσου 15-60,
772 35 Χίος"
"Νομική Κατσαφάδου","Βιρού 6,
ΤΚ 998 05 Φλώρινα"
"Αίας Λουράντος","Φιλιατών 479-904,
313 78 Αργοστόλι"
"Γιάννης Χατζηγεωργίου","Λεωφόρος Παγώντα 257,
58118 Φλώρινα"
"Τρισεύγενη-Φαίδρα Θωμάκου","Μακρισίων 19,
111 83 Βέροια"
"Παναγιώτα Τζάγκα","Ακροποτάμου 41-06,
ΤΚ 22396 Αλεξανδρούπολη"
"Αριάδνη Παπουτσοπούλου","Πετροβίτσας 61-77,
ΤΚ 749 03 Ζάκυνθος"
"Ποθητή Σόφρα","Γιαννιτσούς 85,
65428 Χανιά"
"Αρτέμιος Περδικάκης","Ωλένης 5,
05941 Λιβαδιά"
"Φίλιππος Μαγκούφης","Πουρίου 0,
ΤΚ 580 73 Κόρινθος"
"Στέφανος Πιπεράκης","Ελαφοχωρίου 594,
12966 Φλώρινα"
"Νομική Κοτσινά","Καλαβάρδα 2,
49096 Κοζάνη"
"Τηλέμαχος Τσιατής","Λεωφ. Τσικκαλιών 37,
ΤΚ 01947 Σάμος"
"Οδύσσεια Μπαλτατζή","Σαμπά 41-81,
783 12 Έδεσσα"
"Ελπίδα Φωλιά","Δοκιμίου 9,
95884 Θεσσαλονίκη"
"Ρωξάνη Χατζημιχαήλ","Νεράιδας 65,
20769 Αγ. Νικόλαος"
"Βλασία Γραμμένου","Σκιλλουντίας 14,
193 34 Κομοτηνή"
"Φραντζέσκα Τσάτη","Πάρ. Σοφικό 04,
075 99 Χαλκίδα"
"Φιλίππα Μενγκ","Επιδαύρου 120,
ΤΚ 23127 Σπάρτη"
"Γαρυφαλλιά Αντωνάκη","Άργους Ορεστικού 9,
ΤΚ 07615 Άρτα"
"Άλκηστις Παναγιώτου","Ξηροποτάμου 5,
65002 Γρεβενά"
"Νομική Πουλιάση","Σελινοπούλου 20-05,
ΤΚ 40791 Δράμα"
"Στυλιανή Νάντσου","Μυρτιάς 40,
ΤΚ 003 87 Αγ. Νικόλαος"
"Δαμιανός Πολυχρονόπουλος","Κολαΐτου 21,
ΤΚ 05612 Άμφισσα"
"Ζηναϊς Τζιρατούδη","Ρετσίνων 416,
411 47 Κέρκυρα"
"Ινώ Παπατζήκα","Κουλούρας 23,
26078 Πρέβεζα"
"Παυσανίας Φουσιέκης","Μουζακαίων 459,
620 14 Βέροια"
"Μακάριος-Μαυρίκιος Ζιώγος","Σκεπαστού 14,
78175 Κιλκίς"
"Πολύκαρπος Γεννηματάς","Λακκωμάτων 254,
ΤΚ 658 89 Ζάκυνθος"
"Χαρίτος Χριστάρας","Πάροδος Ομαλής 411,
ΤΚ 16224 Γρεβενά"
"Βαλάντης Κουτσούρας","Καβαλλαρίου 203-053,
571 93 Καρπενήσι"
"Νταίζη Καραντάνα","Πελεκανάδας 496-584,
312 60 Αγ. Νικόλαος"
"Ανδριανή Αγγελουσοπούλου","Σακκή 75,
ΤΚ 307 03 Κοζάνη"
"Χιονιά Τσαμπαλή","Μιτοπόλεως 6,
44870 Λάρισα"
"Άλκηστις Σιμιτζή","Πλατεία Κατασταρίου 99,
ΤΚ 02720 Σάμος"
"Θέκλα Γιανναρά","Αμφιθέας 71,
094 88 Λαμία"
"Παγώνα Αναστασίου","Πλ. Σκλαβοπούλας 3,
832 36 Πύργος"
"Χρυσοβαλάντου Βαρουτίδου","Πύδνας 75,
ΤΚ 835 66 Πολύγυρος"
"Ιωνάς Καραμάνος","Κασμιρλή 0,
38906 Σάμος"
"Βενιαμίν Κιοσές","Κορφιωτίσσης 48,
ΤΚ 698 01 Κοζάνη"
"Κηρύκος Δουβίκας","Παράνου 0,
132 70 Γρεβενά"
"Ντανιέλα Κουτσούμπη","Βαλανίδας 907,
ΤΚ 843 53 Γρεβενά"
"Αύγουστος Μποτώνης","Λεωφόρος Ψήνας 39,
27732 Ρέθυμνο"
"Καλλιόπη-Παταπία Σακκή","Πλ. Γερακλίου 65,
82374 Κέρκυρα"
"Θησεύς Παρασκευόπουλος","Σταματούκου 5,
ΤΚ 65539 Φλώρινα"
"Κλαίρη Ανανιάδου","Τριανταφυλλέας 417,
193 70 Μυτιλήνη"
"Βασιλική-Συμέλα Πατσουρέα","Κεφαλοβρυσίου 0,
524 30 Καστοριά"
"Νεκτάριος Μανελίδης","Δομνίστης 510-058,
70423 Καρδίτσα"
"Μένανδρος Νικολόπουλος","Τραγανού 6,
61448 Πρέβεζα"
"Δρόσος Λαζαρίδης","Μουρνές 677,
79283 Πάτρα"
"Προκόπιος Γκούσκος","Τσανάκα 8,
13653 Θεσσαλονίκη"
"Ντανιέλα Ποσάντζη","Μηλιάκη 47,
ΤΚ 800 54 Μυτιλήνη"
"Αθηνόδωρος-Τρύφων Σπανουδάκης","Πάροδος Κονιδίτσης 525-608,
21897 Ηγουμενίτσα"
"Συμεώνη Σακκή","Λαμπείας 22,
35650 Αγ. Νικόλαος"
"Ελευθέριος-Αχιλλέας Ισέρης","Ρέππα 9,
ΤΚ 64885 Ρέθυμνο"
"Ματθίλδη Λιναρδάκη","Λεωφόρος Μαρκινιάδας 511,
ΤΚ 73051 Άρτα"
"Ιγνάτιος-Αρίσταρχος Τσικνιάς","Ελευθερών 2,
ΤΚ 832 62 Λευκάδα"
"Ρέα Καμινάρη","Χριστοπούλου 4,
960 34 Άμφισσα"
"Φιλίππα Ναούμ","Σπετσών 8,
32061 Καστοριά"
"Έξαρχος Ακριτίδης","Ασμηνίου 4,
ΤΚ 424 15 Αλεξανδρούπολη"
"Τριαντάφυλλη Τσακαλάκου","Αμμοχωρίου 2,
ΤΚ 00435 Λιβαδιά"
"Ντανιέλα-Προδρομία Πισκοπάνη","Σορωνής 90,
903 69 Καβάλα"
"Αλέξανδρος Ματσούκας","Σφακιανάκη 5,
48810 Χίος"
"Αιμιλία Κατσαντώνη","Λαγυνών 91,
00273 Κατερίνη"
"Μαυρίκιος Αντωνάκος","Αρνίσσης 192,
ΤΚ 81476 Λάρισα"
"Ρωμανός Σιδηρόπουλος","Πεταλείας 1,
58036 Καστοριά"
"Ελένη Φραγκιαδάκη","Παρορείου 756,
192 37 Κατερίνη"
"Ελένη Μανοπούλου","Ποντινής 648-258,
ΤΚ 30410 Αργοστόλι"
"Διομήδης Περιστερόπουλος","Μανδρακίου 86,
79644 Ερμούπολη"
"Απόλλων Γιαννάκης","Μεγαλοπόλεως 1,
ΤΚ 96348 Ηράκλειο"
"Αμβροσία Δαμήλου","Λεωφ. Αγριλιάς Τριφυλίας 11,
15402 Τρίπολη"
"Ξανθή Οικονόμου","Δαμαβόλου 12,
48227 Ρόδος"
"Λάσκαρης Κοττίκας","Κοπάνης 925-190,
864 85 Ναύπλιο"
"Μαργαρίτα Μαυροπούλου","Πάρ. Περβολακίων 86,
819 05 Σπάρτη"
"Παρασκευή Σφακιανάκη","Ορίου 9,
377 52 Πρέβεζα"
"Ισιδώρα Σταύρου","Βαλσαμονέρου 207-340,
525 75 Ηράκλειο"
"Ζαφείρης Συργής","Θερμησίας 1,
ΤΚ 750 19 Χαλκίδα"
"Μαυρίκιος Ανδρουλιδάκης","Ντόβα 23-50,
805 71 Αγ. Νικόλαος"
"Ιωάννης Δημητρόπουλος","Θρυλορίου 25-10,
05691 Ηράκλειο"
"Σωτήρης Σαραφίδης","Ευαγγελισμού Λαρίσης 285-799,
ΤΚ 33786 Θεσσαλονίκη"
"Φραγκίσκος Ντόκος","Κάμπου 69-65,
ΤΚ 24408 Τρίκαλα"
"Ξανθή Χατζημιχαήλ","Πάρ. Κώστου 0,
812 67 Αλεξανδρούπολη"
"Χρυσούλα Μαστρογιαννίδου","Φωλιά 5,
ΤΚ 927 15 Λαμία"
"Θεοδόσης Αρχαυλής","Γεωργούλα 479-887,
81594 Βόλος"
"Βαλεντίνος Γκαλίου","Πλ. Γραμματικού 87,
ΤΚ 509 78 Ρόδος"
"Τερψιχόρη Δελή","Μεσοβούνου 921,
ΤΚ 182 68 Ερμούπολη"
"Σεβαστιανός Σπυρόπουλος","Λεωφόρος Αθαμανίου 5,
ΤΚ 58194 Ρέθυμνο"
"Ρήγας Χατζηγεωργίου","Λεωφόρος Τερόβου 70-18,
ΤΚ 06349 Καβάλα"
"Σωφρονία Σδούκου","Πλατεία Δασυλλίου 01,
573 86 Θεσσαλονίκη"
"Φρίξος Τυράλης","Μηλεών 032-561,
ΤΚ 512 32 Τρίκαλα"
"Γλαύκη Γκαλίου","Πλ. Αγίου Ιωάννου Αγίου Βασιλείου 13,
026 56 Κιλκίς"
"Ξανθίππη-Εμμανουέλα Καράμπη","Τσουκιά 0,
02247 Λαμία"
"Αγαθόνικος Γραμματικόπουλος","Δουλάμη 15,
33953 Αθήνα"
