"丁冠宇","48302 豐原松山巷94號之3" 
"陳美玉","389 連江縣明德街642號之5"
"劉承翰","103 高雄縣關渡街71號0樓"
"楊冠廷","470 頭份小碧潭街9段72號2樓"
"林文雄","548 屏東士林路98號3樓"
"張文祥","956 台東縣淡水街747號之3"
"黃美珍","375 斗六昆陽路7號9樓"
"莊麗珠","347 褒忠市南路9段3號4樓"
"謝明輝","895 卑南博愛路4號之4"
"吳承翰","26573 板橋縣太平路269號2樓"
"程志遠","416 草屯民有街248號6樓"
"林佳穎","43367 北港劍南街4段97號2樓"
"胡雅婷","649 太保縣復興路330號7樓"
"古秀蘭","48191 北港紅樹林巷9號0樓"
"王志豪","56740 汐止縣東湖巷8號之5"
"游玉鳳","28146 楊梅市光華路89號之9"
"邱雅玲","17747 澎湖市正義路10號8樓"
"陳淑娟","35343 汐止北投街12號之2"
"謝柏霖","34499 北竿市土城街76號之8"
"謝秋月","21207 樹林成功巷2號之2"
"姚文祥","36455 樹林永寧路6號2樓"
"李怡君","411 褒忠縣延平路82號之4"
"黃美惠","939 員林市中正路95號0樓"
"歐寶珠","72866 平鎮民富街2段850號3樓"
"張志豪","90126 頭份縣成功巷8號之1"
"饒俊傑","47373 太保古亭路765號之4"
"葉建志","337 三重南路182號7樓"
"黃信宏","983 馬公縣中正街6號之2"
"謝淑惠","963 橫山象山街545號0樓"
"陳淑娟","87456 斗六民生巷17號之8"
"吳義雄","34973 褒忠縣光復路680號之1"
"林子豪","908 南投市中興巷2段38號之3"
"張文章","109 基隆小碧潭巷1段513號3樓"
"陳麗雪","401 豐原大智巷1段2號之9"
"黃冠霖","266 台東和平街93號6樓"
"楊雅婷","57455 新竹市自立街7段920號3樓"
"翁冠霖","93136 蘆洲縣小碧潭街4段5號之0"
"李建良","797 蘆竹縣自由巷2號之6"
"謝淑芬","56135 阿里山新生街132號1樓"
"王玉美","24154 高雄市公園巷1段959號2樓"
"黃玉琴","220 頭份中央街38號7樓"
"謝淑卿","455 卑南縣小碧潭路6號之4"
"呂文彬","78795 永和三民路897號之6"
"張秀英","85180 新北縣仁愛路31號之8"
"傅柏宏","535 太平市新興街31號5樓"
"楊麗卿","339 竹田市大智路685號3樓"
"柯秋香","197 白沙市迴龍街3號之0"
"陳文華","28176 臺中昆陽路523號1樓"
"謝淑貞","17613 嘉義市東興街647號0樓"
"鄭彥廷","962 蘆竹大仁路507號之9"
"林志強","41461 新北縣延平巷781號之4"
"戴宥辰","974 樹林新店街4段9號3樓"
"張簡秀鳳","835 屏東劍南街35號1樓"
"魏金蓮","667 桃園新莊巷32號之1"
"謝美慧","711 台中市東湖巷2號之7"
"翁素貞","490 馬公中正街280號之7"
"王秀霞","308 北斗市民富街71號3樓"
"簡子翔","15684 雲林小碧潭巷9段70號3樓"
"謝玉珍","54248 竹北縣中央巷8段6號8樓"
"陳文雄","243 澎湖忠孝路9號之2"
"許美娟","525 永和市光華路54號之5"
"莊榮華","54663 新營縣萬隆街1號2樓"
"鄞明宏","31729 新竹市大仁街17號1樓"
"張宇軒","783 卑南縣大同巷5段32號1樓"
"洪俊傑","69814 北港中山路2段9號5樓"
"游淑貞","96233 斗六縣新興巷32號之5"
"吳淑惠","86851 永和縣府中巷214號5樓"
"張美玉","21294 澎湖公園路16號之5"
"謝玉蘭","655 關山市新莊路711號6樓"
"葉秀娟","48844 平鎮自立巷7段998號之6"
"陳淑芬","75828 中和市長春路200號之5"
"郭明珠","184 竹北自強巷7號4樓"
"陳秀英","32313 朴子紅樹林路8段860號9樓"
"薛秀英","17240 永和縣中山巷53號之2"
"沈秋月","98670 古坑劍潭巷1段88號6樓"
"林柏翰","39053 基隆龍山寺巷3號之9"
"顧冠宇","54138 桃園平和路89號5樓"
"吳雅玲","131 太平民生路3號之5"
"謝秀娟","23783 新營縣文山路762號之4"
"鄧玉鳳","934 北竿縣國凱八德街1號7樓"
"江美蘭","326 板橋民族巷602號7樓"
"邱月英","90298 褒忠市林森巷5段71號之1"
"邱子翔","597 新竹市民富街454號之1"
"曾俊男","865 嘉義市文昌街306號之5"
"劉志遠","822 平鎮天母巷3號4樓"
"賴秀娟","29178 台東縣天母巷6號0樓"
"邱淑華","459 白沙市成功巷9號4樓"
"蘇宗翰","78541 中和新店路621號8樓"
"謝秀琴","79659 南投縣大仁路53號6樓"
"謝惠珍","337 鳳山市育英街8段951號1樓"
"蘇美珠","995 太保福安路45號之6"
"洪麗美","693 台北縣文昌巷2號5樓"
"梁義雄","200 雲林市石牌路1段72號5樓"
"許文雄","77897 永康公園路8號4樓"
"賴明德","974 北斗縣中興街56號之8"
"林志文","47881 三重縣永和街1號之1"
"許國雄","14045 員林昆陽街44號6樓"
"劉秀梅","445 古坑中山街854號之3"
"謝秀霞","96353 嘉義市芝山街1段61號0樓"
"宋文正","20710 金門西門街29號之0"
"陳宗憲","702 花蓮市長春街367號之0"
"張世昌","39953 太平縣新生街1段10號6樓"
"張麗香","374 馬公五福街70號之8"
"王淑惠","222 新營市民有巷972號9樓"
"陳秀英","47836 永和長春街35號6樓"
"呂文雄","601 彰化龍山寺巷1號之3"
"黃恩碩","55273 太平市平和巷4號3樓"
"廖志雄","387 八德縣民權街75號之8"
"謝秀鳳","40458 南投縣自立巷707號2樓"
"謝建宏","934 台北市國凱八德巷4號3樓"
"洪素貞","70065 關山光華巷70號1樓"
"劉博文","33528 蘆竹永寧街70號之4"
"陳家豪","68027 太保縣士林巷86號之3"
"王秋月","987 桃園建國街691號0樓"
"吳俊宇","528 古坑市信義巷992號8樓"
"林義雄","35117 新竹縣頂福州巷86號9樓"
"杜嘉宏","174 花蓮縣天母巷4號之9"
"許春美","52836 古坑動物園巷6號之5"
"謝秋月","595 草屯忠義路8號9樓"
"黃宇恩","854 白沙民享路468號之9"
"張志銘","631 北港市府中街919號之8"
"呂金鳳","831 橫山中央巷1號之0"
"簡建宏","490 汐止市萬隆巷5段5號之9"
"王詩涵","68910 臺中縣萬隆巷5段66號4樓"
"侯建成","59359 苗栗莒光路2號6樓"
"林柏宏","47382 臺東東湖巷965號6樓"
"徐佳蓉","72123 頭份市東興巷1段74號0樓"
"黎秀琴","195 花蓮縣新生巷162號之1"
"謝美惠","64625 金門縣民富街7號之7"
"林柏霖","72188 板橋古亭路12號3樓"
"張美華","46916 新營公園巷41號之3"
"黃俊傑","91395 斗六縣民族街74號之1"
"李宗翰","731 員林中和路2號6樓"
"楊秀華","377 新北大坪街7段853號之5"
"林文彬","90530 臺中象山路531號之1"
"花建中","33211 褒忠長春巷834號之0"
"劉美娟","586 大里市古亭街29號8樓"
"謝美鳳","10659 牡丹東興路51號3樓"
"謝美慧","173 台北縣福安路478號3樓"
"張惠玲","42001 鳳山縣大仁巷8號之5"
"李秀娟","926 朴子民享路8號之2"
"卓宗翰","534 新營中山街8號0樓"
"康美雲","93788 南投市正義巷9段1號之1"
"林聰明","417 永康大安巷44號8樓"
"黃文正","406 汐止龍山寺路358號7樓"
"薛雅婷","66740 彰化和街巷67號之3"
"蘇淑玲","58411 新營市昆陽路50號7樓"
"陳玉玲","411 宜蘭福安巷94號7樓"
"謝美雲","84417 古坑市長春巷90號3樓"
"游淑芬","20949 台南縣雙連路70號之4"
"胡信宏","140 中壢民族巷89號之8"
"陳雅婷","135 新營頂福州路7段44號8樓"
"王文雄","54659 中壢大智街19號之7"
"游素卿","109 關山大橋頭街1號之3"
"莊志鴻","680 南投景美路78號之8"
"郭子睿","437 白沙縣勝利街886號之4"
"許美蘭","61864 竹北縣文化路359號之0"
"徐美玲","626 新竹縣永和路8段25號之6"
"謝義雄","754 員林松山巷4段42號之8"
"陳博文","604 台北古亭巷9段87號9樓"
"黃明德","424 蘆洲縣廣慈路91號1樓"
"黃子翔","98111 新北市四維路2號之1"
"林秀枝","620 台東市四維路507號7樓"
"高文傑","38458 雲林福德路6段862號之9"
"劉俊男","499 苗栗新埔路943號之8"
"張美惠","842 樹林市文化路8號9樓"
"蘇俊宏","425 高雄建國巷9段9號5樓"
"黃家豪","470 白沙市中央巷93號7樓"
"謝金蓮","663 屏東中興路1號之7"
"陳秀雲","575 北斗自由路7號之2"
"蘇俊雄","866 竹田景美街14號2樓"
"何俊良","997 彰化西門巷23號5樓"
"李麗琴","547 桃園縣新生巷8號之0"
"徐麗琴","349 汐止市昆陽街2段2號之5"
"洪秀琴","64720 中和興路4段2號5樓"
"陳詩涵","303 連江市新北投路3段786號之1"
"林俊佑","565 古坑市長安巷2號之5"
"蕭麗華","901 大里景美巷2段4號1樓"
"謝金龍","185 卑南縣忠義路5號之5"
"謝怡君","90957 連江昆陽路2段71號0樓"
"張家豪","647 南投縣大坪街7號9樓"
"賴秀美","792 太保育英路556號之9"
"夏承恩","722 台北縣奇岩巷24號之6"
"張淑芬","239 南投市天母街1段22號之9"
"沈淑華","319 板橋芝山巷5段521號8樓"
"張怡君","862 八德民族街225號之5"
"張俊賢","42339 花蓮縣古亭巷259號之1"
"黃志雄","30134 橫山市廣慈街8段9號2樓"
"謝金龍","494 台東劍南巷418號4樓"
"江明宏","10779 古坑新北投街655號之2"
"呂淑珍","716 中和民有街5號9樓"
"翁志成","995 八德育英街65號8樓"
"林博文","806 新營新店路15號之9"
"黃玉英","13566 古坑市德路6號4樓"
"劉柏諺","43513 新北縣大同巷463號4樓"
"王淑美","81360 朴子市民權路24號之5"
"黃秀鳳","69329 台中市忠義路6號之9"
"劉素貞","90099 北斗市光華街672號之9"
"謝雅雯","357 台北水源路8號之2"
"陳俊男","391 褒忠縣芝山街55號5樓"
"鄭美玉","78238 台中中華街2號之9"
"陳建成","683 南投市自由街681號3樓"
"邱正義","302 白沙市國凱八德路5號9樓"
"楊美珠","431 彰化民有巷96號8樓"
"林志誠","166 桃園新興街92號4樓"
"朱雅玲","322 中壢廣慈街6段7號之2"
"陳靜怡","979 新竹市育英街6段77號6樓"
"許美慧","99714 馬公市永安巷96號之3"
"謝雅雯","86488 宜蘭忠孝路65號3樓"
"林彥廷","24626 頭份劍南巷3號之7"
"林志忠","707 雲林關渡巷7號6樓"
"宋進發","39877 宜蘭小碧潭巷7號之2"
"鄭志忠","190 八德縣德巷9段7號之9"
"黃秋香","685 草屯市動物園街82號4樓"
"李郁婷","76424 牡丹市福安路5段4號之4"
"李淑娟","21349 古坑市新生巷5號之7"
"林柏諺","969 牡丹縣興路50號之5"
"謝俊豪","47034 褒忠市育英巷1號之9"
"謝靜怡","35387 花蓮市景美街79號8樓"
"李文忠","86648 竹北新莊路4號之7"
"張月娥","979 關山市自由路865號之0"
"吳俊宏","36479 新竹市景美街42號1樓"
"温金蓮","156 鳳山縣長安街9號7樓"
"洪文傑","81573 中和頂福州路2段3號9樓"
"張美惠","25410 豐原市南街9號6樓"
"陳俊銘","862 台北頂福州街284號4樓"
"沈建成","26629 桃園中央街999號之8"
"陳心怡","561 卑南縣景美街4段5號9樓"
"謝麗娟","75468 彰化天母街4號之3"
"黃靜怡","358 彰化縣延平路43號9樓"
"陳月娥","88184 草屯市中正街2號4樓"
"林秀珠","30832 新竹縣府中路233號8樓"
"黃雅惠","676 桃園新北投路40號6樓"
"嚴佳玲","38708 三重縣天母街479號8樓"
"吳俊廷","952 屏東縣延平街47號之0"
"劉俊宇","802 板橋新店路479號8樓"
"楊美雲","585 台北明德巷90號8樓"
"楊建良","21430 中壢永和街185號1樓"
"譚柏宏","42878 花蓮大橋頭路357號之9"
"周淑芬","795 楊梅永安巷6段7號之3"
"黃文傑","76994 彰化縣民族巷48號6樓"
"呂秀美","998 金門縣廣慈街52號6樓"
"陳彥廷","17709 關山市文昌路20號9樓"
"温建宏","971 北斗東湖街8段95號7樓"
"林淑芬","777 連江市新埔巷56號5樓"
"陳淑貞","39733 阿里山和平巷84號之2"
"周秀琴","257 台東縣士林街1段889號之6"
"李志明","438 臺中德路577號之6"
"譚秀玉","661 草屯縣淡水巷15號之2"
"張志明","78984 梅山市大坪路526號之8"
"游冠宇","961 卑南五福街12號9樓"
"陳美玉","954 臺中長春街5號之4"
"李宗霖","82240 雲林民享巷911號2樓"
"林志豪","47785 台南市永寧街5號5樓"
"楊俊傑","57992 北斗華興路410號2樓"
"劉冠霖","500 臺東德街94號4樓"
"楊美雲","29772 褒忠復興巷733號8樓"
"饒美華","12362 金門景美街2號7樓"
"賀碧珠","12510 光復縣府中街1號9樓"
"林品睿","548 基隆國凱八德街7段2號9樓"
"徐思妤","218 嘉義土城街81號之3"
"王志文","28723 台南廣慈街4號之5"
"黃冠宇","63149 花蓮縣林森路321號之7"
"吳建宏","86973 古坑中興巷820號5樓"
"吳玉珍","74771 平鎮象山巷8號9樓"
"鄧秀鳳","567 新北市華興巷4號9樓"
"蘇俊宇","41713 朴子縣民有街7號之9"
"鄭佳蓉","97042 阿里山市永和巷7段12號之5"
"賀麗華","317 牡丹市水源街65號之2"
"林建中","492 中和縣古亭巷21號8樓"
"李家豪","39367 古坑民族路870號之3"
"黃宗霖","52507 褒忠光復巷8號之4"
"王素珍","73421 太保縣成功路14號之7"
"阮麗美","418 永和延平路7號4樓"
"蔡雅婷","278 牡丹興街40號7樓"
"鄭子翔","772 新營市光華街9段973號9樓"
"朱玉玲","859 南投自強街7號0樓"
"吳俊良","22846 三重頂福州路492號5樓"
"賈凱翔","99357 竹田平和街42號9樓"
"何美鳳","48217 北斗縣東湖街3段72號6樓"
"蔡金蓮","225 草屯景美街304號6樓"
"謝秋香","43455 高雄育英路5號6樓"
"楊志豪","53710 梅山新北投路413號0樓"
"翁靜宜","679 牡丹縣大同巷68號之6"
"洪子翔","62324 汐止新生巷5段1號3樓"
"王芯語","212 新北縣和平路1號之1"
"甘志豪","40759 古坑永和路43號之6"
"李素卿","322 宜蘭市大仁巷5號之2"
"賴世昌","77832 嘉義市勝利巷43號1樓"
"黃建宏","499 白沙市水源路4號之6"
"林冠廷","46313 梅山市福德街196號2樓"
"林淑芬","42963 嘉義市大同巷52號3樓"
"趙志豪","40605 斗六市大坪街75號之1"
"黃俊豪","21488 基隆市奇岩街9號6樓"
"呂秀霞","18249 中壢育英街1號之7"
"杜文華","796 台中縣太平巷795號7樓"
"張淑芬","435 阿里山縣大同街1段257號之3"
"呂冠廷","756 嘉義市正義巷174號1樓"
"賴佳蓉","88182 板橋正義巷277號1樓"
"林冠霖","95330 台南市昆陽街1段19號5樓"
"翁柏諺","570 連江縣學府巷820號3樓"
"吳家豪","42953 澎湖市信義街2號3樓"
"洪俊傑","907 屏東縣民富巷5段50號之2"
"蔡淑美","534 新營華興巷426號4樓"
"林雅慧","24383 蘆洲縣北投路127號5樓"
"張淑芳","569 台中縣太平巷6號之6"
"吳彥廷","111 北竿市福安路315號之2"
"江秀珍","826 梅山市自強巷8段311號之7"
"賴冠霖","20593 宜蘭長安路39號之9"
"林志忠","84204 中和自立巷6段1號之6"
"吳美麗","36370 苗栗市松山巷2段419號3樓"
"蔡柏翰","373 花蓮市芝山巷225號之1"
"劉承翰","54202 關山市永寧巷2號8樓"
"顧玉蘭","269 八德市和街街1段6號7樓"
"甘承翰","959 竹北縣光明巷297號之5"
"許淑貞","860 新北市中興巷7號之6"
"邱淑敏","40932 員林新生路30號0樓"
"許俊銘","124 光復自強街3段9號6樓"
"賴哲維","534 平鎮自立街4段1號之2"
"賴麗華","616 嘉義芝山街1段15號4樓"
"楊宜蓁","340 新營市明德巷89號之5"
"陳仁傑","17041 台南新生街7號之8"
"陳宇軒","944 朴子光華巷9段645號之1"
"董文賢","628 三重大安路74號6樓"
"陳麗玉","277 雲林西門巷1號1樓"
"李俊豪","778 褒忠光明路837號之6"
"蔡玉珍","30044 台東石牌街830號之4"
"林宥辰","13236 宜蘭市淡水巷2段50號之6"
"賴威廷","368 台北建國路3號4樓"
"李家宏","71322 汐止市蘆洲街68號3樓"
"王美英","110 中壢新莊巷133號4樓"
"康文忠","26515 澎湖市中興路3號之3"
"李建華","97830 斗六縣自由街4號7樓"
"謝宥辰","35746 新營劍南巷4號3樓"
"鄭秀琴","777 中和市民族街5號之3"
"王俊傑","62667 草屯民生街725號7樓"
"趙秀玲","10114 屏東市府中巷5號之4"
"林俊傑","426 苗栗新生巷9號8樓"
"賴子恩","240 新營西門巷261號之9"
"謝淑惠","72313 蘆竹蘆洲路4號4樓"
"吳雅筑","598 高雄市建國巷4段55號之3"
"洪麗雪","42395 板橋縣象山街6號8樓"
"許美娟","54282 白沙國凱八德巷4段7號8樓"
"倪宇翔","48237 汐止自強街517號之0"
"周志強","56938 新竹市林森路793號之8"
"薛淑美","58969 光復市永安路8段64號之5"
"蔡永昌","44191 白沙市中正巷964號0樓"
"王宥辰","689 太平市新生路5段983號之8"
"賴建宏","22487 太保縣昆陽路8段48號7樓"
"翁宗霖","27662 大里長春路5號之3"
"郭志忠","67034 橫山太平街7號1樓"
"高明哲","420 金門市民權路6號之0"
"彭淑芬","62710 白沙縣東湖街769號之2"
"張美珍","225 臺東市三民街48號之3"
"謝秀美","836 新北中興巷3號2樓"
"張建宏","407 新營仁愛路8段608號9樓"
"王志雄","336 草屯新北投路1號之0"
"蕭明宏","97722 蘆洲天母路88號之5"
"賴志宏","27892 基隆廣慈巷9段3號5樓"
"羅進財","234 蘆竹長安街36號之4"
"萬麗雪","646 褒忠新生街7號之2"
"劉柏宇","426 太保縣育英巷4段81號7樓"
"黃淑娟","144 白沙縣五福街697號7樓"
"黃淑敏","433 蘆竹市正義路8號之1"
"鍾志宏","50501 花蓮縣勝利街64號之6"
"周家宏","990 橫山市民享街4號之3"
"張麗美","314 高雄光明巷75號7樓"
"王明珠","40739 桃園西門街68號8樓"
"賴志宏","59952 中壢文昌街87號之4"
"王美麗","99681 永康國凱八德路1號之4"
"黃冠宇","50008 員林市新店街476號之1"
"施俊豪","28553 朴子新生巷6段4號之7"
"王淑貞","135 北斗仁愛街30號之8"
"林世昌","106 新營長安街8號7樓"
"羅品妍","961 台中太平路1段94號之3"
"胡麗娟","24882 中和市西門路370號0樓"
"黃禹彤","15618 褒忠縣長安路945號9樓"
"吳志宏","59680 草屯永和街6段645號3樓"
"賴志鴻","47361 員林紅樹林街6段9號4樓"
"張家豪","79254 北斗市關渡路612號之2"
"曾永昌","282 北竿大同街3號之0"
"吳武雄","324 新營縣大安街8號之1"
"王雅慧","539 竹北民治街9號之4"
"陳文彬","557 橫山新生路54號之8"
"廖柏宏","85461 梅山自立街9號之1"
"蕭秀琴","286 新營象山巷197號之7"
"陳金龍","47831 豐原市永安街51號2樓"
"趙文正","168 台南平和路250號8樓"
"賴文彬","78017 金門縣四維街444號3樓"
"鍾冠霖","78060 橫山莒光路9號8樓"
"郭麗玲","151 花蓮市三民路75號之4"
"鄭秀美","877 北港土城路7號之8"
"王柏翰","319 關山雙連巷4號之6"
"謝秋香","114 北斗縣新店街812號6樓"
"鄭淑惠","28682 白沙市育英巷1段746號5樓"
"葉志豪","310 中和市光復路8號7樓"
"汪麗卿","63615 北港中山巷38號之1"
"范心怡","55377 八德縣新店巷614號4樓"
"賴文忠","23585 褒忠縣中山巷28號之4"
"王俊宇","52315 平鎮市德巷732號4樓"
"李俊宏","10975 八德新北投路525號之0"
"劉子豪","96269 阿里山縣天母巷3號之1"
"魏碧珠","35956 中和劍潭路529號0樓"
"黃雅萍","54829 太平縣華興巷97號9樓"
"陳淑芳","868 白沙縣萬隆街62號之6"
"陳文彬","719 新北縣象山巷57號8樓"
"褚玉梅","257 桃園市民有巷4段8號0樓"
"廖月娥","826 新營光明路8號3樓"
"賴明輝","752 卑南劍南街595號0樓"
"張義雄","26417 屏東北投路5段7號7樓"
"李麗華","98788 阿里山五福巷32號之0"
"鄭哲維","791 北港中山路910號之1"
"鄭美玉","63754 蘆竹萬隆路70號之6"
"賴怡婷","315 太平三民街3號8樓"
"陳信宏","45308 員林市中央街138號之3"
"林明輝","66335 屏東福德街355號4樓"
"曾哲維","45878 太保新興巷44號之4"
"黃淑惠","24659 馬公莒光路6段917號之7"
"賴月娥","65157 基隆公園巷9段295號6樓"
"黃明珠","53730 金門市廣慈巷902號2樓"
"林家瑋","730 竹北縣自由路469號之5"
"單子翔","47689 南投縣新店巷69號0樓"
"陳宥辰","65175 雲林文山街4段48號之6"
"陳淑華","38875 員林縣文化街4號之7"
"張惠美","778 橫山新生街39號7樓"
"李玉梅","494 雲林南巷23號之1"
"林美玉","183 北斗光明巷95號3樓"
"江文傑","392 嘉義關渡路7段91號之2"
"賴月娥","828 花蓮芝山路3號7樓"
"林麗香","11301 高雄大安街323號2樓"
"陳志忠","531 三重市華興路25號9樓"
"李世昌","633 新竹市淡水街4號之1"
"王博文","301 卑南市雙連街828號6樓"
"陳明哲","32521 褒忠中和巷6段837號4樓"
"羅志賢","543 台南育英巷9號9樓"
"黃俊賢","928 南投縣仁愛街633號0樓"
"何宗翰","64209 平鎮市石牌巷1號之8"
"蔡勝雄","16067 台中永安路2號7樓"
"賴榮華","891 光復縣天母路6段96號之6"
"蔡羽彤","32233 古坑縣中山巷57號之0"
"翁秀霞","86236 員林縣文昌路90號之2"
"邱建宏","36895 彰化動物園街3號4樓"
"梁美華","96454 屏東縣民富路7段5號9樓"
"朱志偉","86360 楊梅市昆陽巷3段39號7樓"
"柯欣妤","619 中壢太平巷7號0樓"
"劉冠廷","63351 嘉義市水源路1號之9"
"王家豪","431 台南大智巷606號2樓"
"崔美雲","549 中壢小碧潭街2號0樓"
"賴永昌","316 北斗光明街77號之5"
"林哲瑋","49303 桃園縣大坪街2號3樓"
"劉文傑","99823 嘉義石牌巷4號8樓"
"翁文賢","182 褒忠縣民富街713號2樓"
"黃仁傑","152 屏東縣新生街54號5樓"
"陳素貞","85127 台中小碧潭路9號6樓"
"胡美慧","95241 連江縣關渡街556號之6"
"陳秋香","321 新營頂福州巷19號1樓"
"李雅婷","19061 員林市民有街892號之9"
"李麗華","298 楊梅市光明路9段1號之1"
"賴淑娟","108 嘉義縣莒光路1號7樓"
"吳文雄","217 北斗關渡路399號之5"
"郭寶珠","573 朴子中和街6段2號7樓"
"朱子翔","710 新營市水源街52號8樓"
"林秀梅","28934 台東松山路9號之0"
"李承翰","42461 平鎮勝利巷787號之1"
"王冠宇","545 草屯市南路6號之5"
"翁美華","108 汐止市新埔街76號5樓"
"吳碧雲","75832 嘉義新生街11號2樓"
"蕭芯語","75304 草屯市延平街5段999號0樓"
"賴淑美","378 台南縣延平街55號之0"
"黃惠玲","546 新營市勝利街8段48號7樓"
"葉鈺婷","11871 臺中民治街212號8樓"
"王正義","940 樹林市永和巷351號之2"
"陳秀美","746 高雄新北投街301號6樓"
"陳秋香","390 彰化大勇路68號之4"
"沈國華","480 中壢縣大同巷5號之9"
"胡俊明","40898 南投市中正路7段7號之0"
"何柏宏","30251 中壢市大同巷53號9樓"
"邱明輝","26376 關山市新莊巷322號0樓"
"賴淑華","489 大里永寧巷456號5樓"
"林建興","97300 宜蘭市古亭街966號9樓"
"張秀英","253 蘆洲縣信義路196號之1"
"吳美雲","71527 八德長春巷1段9號0樓"
"張秋香","43457 員林興路61號7樓"
"陳美玉","71776 台中市光復巷8段4號之9"
"古金蓮","998 褒忠縣正義巷12號9樓"
"陳麗雲","78849 竹北縣中華街5號7樓"
"呂婉婷","42132 苗栗縣紅樹林街64號0樓"
"連明宏","70981 雲林劍潭巷5號之1"
"賴玉珍","36438 永和和平街2號之0"
"陳秀英","183 金門縣民權巷4段76號7樓"
"林志宏","226 白沙福德路31號4樓"
"楊永昌","861 北竿縣明德街7段1號之6"
"饒淑貞","105 太平市中正街2段4號4樓"
"石永昌","917 橫山市大勇路52號1樓"
"周素珍","86867 梅山市明德路497號8樓"
"黃俊良","780 台南古亭巷679號2樓"
"林柏諺","250 南投信義巷553號7樓"
"黃雅玲","331 新營縣天母街867號2樓"
"賴玉蘭","696 北港仁愛路1號4樓"
"黎美珠","21962 屏東福德巷711號7樓"
"張嘉宏","47090 南投育英路17號之4"
"黃玉蘭","79988 太平縣民有街509號0樓"
"王進興","869 太保縣大智路35號1樓"
"黃素珍","16421 白沙市五福路8號之6"
"顏秋香","64274 中和市忠義巷26號之3"
"周怡婷","33677 三重縣華興巷918號之5"
"黃志宏","22945 草屯大仁路886號7樓"
"陳宗憲","435 台中縣學府街3號6樓"
"賴秀玉","924 新竹關渡路686號之4"
"許宇翔","578 宜蘭景美路500號之8"
"賴淑敏","935 員林自強巷5段624號之0"
"洪淑玲","760 八德縣育英巷13號之6"
"蘇柏翰","97448 屏東縣太平巷3號之5"
"林麗美","68664 新竹縣光華路486號之0"
"林素貞","80234 南投中和巷2號之7"
"蔡子恩","431 新北土城街871號之3"
"李建華","76017 金門市自由巷4號之7"
"范春美","437 鳳山劍南巷93號7樓"
"賴秀琴","191 樹林育英街1號之5"
"夏俊男","308 北竿縣自強路390號0樓"
"吳麗香","387 新營光復巷90號之5"
"梁家榮","130 橫山中正路8號之8"
"劉俊明","57547 彰化象山巷3段1號之1"
"王進財","71304 北港縣長安巷699號之2"
"王美雲","600 草屯中正路2號3樓"
"柯志忠","98588 蘆洲新生路837號之6"
"湯麗玉","296 台北廣慈巷97號2樓"
"柳美雲","50259 新營縣民享路4段551號之5"
"賴秀美","18828 頭份市成功街4號0樓"
"陳宗翰","17455 屏東市育英街910號之6"
"楊素珍","936 板橋西門街54號之9"
"林家豪","777 雲林華興巷82號4樓"
"周柏宏","29663 板橋市關渡街4號1樓"
"吳秀蘭","776 北竿雙連巷2號3樓"
"施麗珠","83568 新營東興路5號之6"
"張柏諺","11593 八德新莊街9號之6"
"楊玉梅","711 豐原劍潭巷5號6樓"
"施文忠","85897 楊梅市自強路43號5樓"
"賴秀英","415 褒忠永和路9段56號之8"
"黃月英","239 永康縣民族街4號之9"
"蔡素琴","14275 竹田縣民富街7號之6"
"洪麗娟","627 新北中華街8號之2"
"唐玉美","219 板橋奇岩巷2段8號之5"
"史柏宏","859 板橋市忠義巷41號之7"
"黃建成","51570 頭份大安路4號之8"
"蔡文華","86532 員林府中街402號2樓"
"姚家瑋","129 蘆竹新北投巷68號2樓"
"吳秀華","235 大里東湖路9號之8"
"賴秀鳳","14955 宜蘭縣忠義巷4號之9"
"黃麗美","792 北斗自由街280號之6"
"林聰明","54614 汐止淡水街4號之7"
"徐淑華","414 牡丹長春巷9號之0"
"鄭秀華","77116 彰化市劍潭路346號2樓"
"陳志明","676 三重芝山巷885號9樓"
"張淑芬","71733 台南縣民有路1號之0"
"洪麗香","182 北斗縣信義巷8段5號6樓"
"李志偉","54864 板橋市廣慈巷67號之7"
"莊志明","242 牡丹縣大仁街3段938號之2"
"賴秀鳳","24980 草屯大仁路333號之7"
"王建宏","950 台中四維巷4號0樓"
"陳世明","558 台中東興路1段683號之2"
"吳政宏","45622 澎湖延平街9號之9"
"徐美玉","589 太保市中和街78號9樓"
"謝子翔","125 蘆竹西門街4段780號之5"
"郭淑貞","89257 光復市象山巷7段471號2樓"
"張建中","163 草屯關渡路90號之3"
"鄭怡君","117 朴子士林路2號之9"
"蘇淑惠","17941 台中市大橋頭街9號5樓"
"賴美珠","48232 竹田小碧潭街414號之0"
"凃美華","13926 楊梅關渡街5號4樓"
"鍾寶珠","12581 關山光復街84號9樓"
"蔡美麗","49512 竹田縣育英路48號7樓"
"張麗華","95095 台東市迴龍路342號1樓"
"何俊傑","179 阿里山縣和平街4號5樓"
"陳俊雄","22860 中和縣中央路2號6樓"
"孔美珍","217 連江縣自由巷447號9樓"
"柯志文","60538 楊梅育英街833號之9"
"吳素蘭","516 中和縣松山路5段3號之0"
"賴金龍","770 太平縣古亭街9號2樓"
"許麗卿","88771 新北學府路1段7號7樓"
"唐美珠","14873 新北縣福安街14號之6"
"王金龍","17467 汐止西門路61號3樓"
"吳美英","454 太保縣大同路412號之3"
"陳哲瑋","12811 馬公延平路896號6樓"
