"丁志銘","78228 鳳山雙連路3段88號0樓" 
"王美雲","935 新營市興巷11號2樓"
"郭怡婷","55392 彰化市古亭巷9號之9"
"林淑貞","599 斗六縣民權街4號2樓"
"廖志強","71290 橫山迴龍路9號之9"
"洪志明","101 台北成功巷1號0樓"
"張秋月","465 金門民富街681號之9"
"歐陽秀美","632 台中自由路68號1樓"
"賴國華","905 嘉義天母街261號之9"
"蕭美玲","95231 新營廣慈街84號之3"
"黃靜怡","523 北港仁愛巷934號之9"
"余佳玲","467 桃園縣東湖街6號之8"
"郭恩碩","305 台南天母街8段87號5樓"
"陳秀枝","468 豐原市古亭路6段1號之9"
"張柏睿","44373 永康市太平路102號之9"
"蔡俊佑","22517 太保自立街78號4樓"
"呂秀珠","55246 臺中縣昆陽巷3段56號8樓"
"郭建成","32435 彰化市光復路125號之5"
"范苡晴","90904 嘉義縣南街24號之6"
"陳冠宇","837 高雄縣民生路388號之5"
"紀宗翰","18773 永康延平巷46號之2"
"蔡明德","376 頭份市永安街5號4樓"
"郭惠玲","997 草屯縣東湖路928號6樓"
"陳志偉","91364 台北縣西門街9號之7"
"洪秀琴","184 橫山市長安巷743號0樓"
"翁柏睿","83383 臺東中正街166號之1"
"李麗玉","23489 花蓮縣延平巷2號0樓"
"宋淑敏","725 苗栗縣新生巷5段42號9樓"
"張淑惠","895 八德德巷11號之8"
"張秀蓮","818 古坑市興街588號8樓"
"林苡菲","69755 馬公民富街4號9樓"
"何淑敏","720 汐止信義巷93號之4"
"郭承翰","54834 馬公市德街8號1樓"
"葉素珠","99037 北港中華巷673號4樓"
"陳家銘","39048 澎湖市仁愛路6段65號8樓"
"吳承翰","82794 花蓮大仁巷482號之8"
"錢志忠","38557 高雄關渡巷1段73號9樓"
"林建中","174 頭份五福路9號0樓"
"王建中","89688 苗栗太平街3段5號之4"
"張進發","20325 馬公劍南路3段2號4樓"
"陳國榮","42374 板橋新興巷77號7樓"
"林鈺婷","87276 三重市古亭路555號8樓"
"郭春美","401 白沙文化路29號之4"
"林麗娟","886 永康福安路65號7樓"
"馬芸菲","403 大里大仁路676號3樓"
"楊俊賢","902 台東新生路2號2樓"
"卓俊雄","79749 關山縣永安巷8段668號之0"
"黃俊傑","81484 太保福德路768號之2"
"宋春美","54282 白沙縣福安巷50號之3"
"吳秀珠","486 汐止勝利街1號3樓"
"朱家宏","598 中壢市永安路242號3樓"
"葉秀枝","996 樹林縣府中路931號9樓"
"郭月娥","376 關山市北投路214號7樓"
"胡子宸","884 基隆市中和街1號1樓"
"黃俊明","55659 八德府中街9號6樓"
"黃國雄","44285 卑南縣延平路404號之3"
"姜淑娟","46707 平鎮光華路3號1樓"
"潘宗翰","518 北斗中和街9段51號之3"
"黃家豪","24393 基隆縣北投巷323號之6"
"鄭宗憲","71718 斗六林森街852號8樓"
"葉志遠","83724 樹林縣新莊巷79號4樓"
"李明德","233 台東民權街8段486號9樓"
"郭月娥","66651 苗栗市福德巷950號7樓"
"張淑華","97504 高雄縣新興巷4號之6"
"盧柏諺","677 蘆竹市延平路149號3樓"
"宋麗華","294 梅山市復興路7號之5"
"陳雅玲","449 樹林市小碧潭巷3號6樓"
"黃志明","24411 高雄市新生路2號4樓"
"梁素蘭","720 花蓮自由街27號之4"
"陳美華","316 朴子劍南路5段9號之4"
"陳子翔","94603 新營市新生路348號7樓"
"賴志成","55215 蘆竹大橋頭街4段441號之5"
"郭柏宏","839 新竹萬隆巷37號之1"
"鄭靜宜","29358 員林南路95號2樓"
"王怡婷","227 金門市北投路5段46號6樓"
"楊明宏","279 大里中正路315號之7"
"陳美雲","93276 鳳山縣東湖街37號之5"
"廖美娟","33614 梅山市國凱八德街6段5號之7"
"張俊明","96133 桃園市長安巷58號5樓"
"林美玲","837 太平市三民路5段25號之5"
"李建良","59656 竹田縣信義街8號之0"
"陳麗卿","794 臺中縣府中街264號4樓"
"郭正義","554 新竹昆陽巷4號之1"
"賴淑美","73347 宜蘭動物園巷3段38號之1"
"吳美英","46720 臺東縣水源路2號之5"
"周宇軒","20046 北斗民生街22號之7"
"陳淑敏","127 大里縣奇岩路5號1樓"
"羅美珍","194 頭份市永和巷2號之1"
"張玉鳳","97286 竹北市光復路7號之1"
"許秀枝","453 金門民族街2段75號6樓"
"吳正義","47569 蘆竹大勇街786號之1"
"吳玉梅","35571 太平市民治巷9段754號之5"
"郭淑玲","60434 新營蘆洲巷484號0樓"
"黃秀英","634 太平林森巷6號5樓"
"高建志","84489 新營長春路10號5樓"
"曾秀鳳","692 永和縣大仁街3號6樓"
"徐俊良","55869 楊梅市土城路111號之8"
"郭怡君","74663 連江小碧潭街9段95號3樓"
"許威廷","40956 頭份光復巷8段67號0樓"
"孫嘉宏","615 大里縣西門巷193號0樓"
"賴國雄","666 楊梅市光復巷1號之5"
"林承恩","493 花蓮市士林巷698號之5"
"郭玉美","46100 草屯市中興街6段848號4樓"
"施美華","88107 新竹縣大橋頭巷659號之1"
"劉麗華","547 臺中縣關渡街297號之0"
"顏榮華","93745 頭份市中山路223號之3"
"楊俊良","84199 金門國凱八德街508號之9"
"李進發","643 中壢東湖路14號之4"
"林家宏","331 雲林德街53號4樓"
"謝志銘","88180 新竹市文山路81號之6"
"郭俊傑","783 汐止延平路2號6樓"
"張宗翰","391 桃園文化街785號之7"
"郭玉蘭","93873 汐止學府街45號之2"
"洪子豪","77610 台東市象山路166號2樓"
"楊秀霞","80362 雲林縣雙連路595號0樓"
"廖麗玉","26468 梅山奇岩巷8號之1"
"李睿恩","410 屏東中興巷907號7樓"
"黃秀梅","61499 大里縣景美路94號之4"
"葉秀玲","89652 臺中縣光明巷57號6樓"
"張彥廷","91400 新竹士林路5號4樓"
"吳淑美","17515 永康博愛路875號7樓"
"江秀蘭","566 楊梅縣三民街1段28號之9"
"郭睿恩","15875 八德興街194號0樓"
"洪素卿","652 關山市民有路5號3樓"
"李承恩","62824 豐原中山路8段3號5樓"
"楊靜怡","463 草屯福安街1號1樓"
"劉月英","32521 草屯縣中華路75號之3"
"張秀鳳","70429 白沙縣民富街2段66號6樓"
"徐信宏","520 大里市中正巷25號之0"
"陳家銘","365 金門市大安巷60號之0"
"張子豪","62909 三重信義路473號1樓"
"簡淑珍","104 草屯市光復路960號之7"
"郭秀梅","834 斗六市永寧路6號0樓"
"簡文賢","558 台東市民族路5號之0"
"蔡志遠","54932 中和動物園巷322號之3"
"葉美華","25084 牡丹士林街4號0樓"
"陳月英","79799 馬公古亭巷9段5號之9"
"陳淑惠","13937 彰化公園街9號4樓"
"廖建成","513 新北市延平街3號之2"
"黃秀琴","69316 蘆洲古亭巷568號之5"
"游美玲","31264 鳳山新生路62號8樓"
"謝國雄","15504 太保新生巷32號4樓"
"郭秀雲","84623 新北市信義路835號0樓"
"楊家榮","53519 新竹淡水街9號7樓"
"黃文欽","581 金門莒光巷84號之9"
"謝子豪","53200 新營莒光巷959號之6"
"何博文","32620 三重市中興巷57號5樓"
"劉嘉宏","794 白沙永和巷6號之6"
"張秀蘭","390 樹林市中和巷9號之5"
"陳美雲","598 太平市大橋頭街98號6樓"
"高淑華","84834 屏東動物園路1號9樓"
"李秀美","472 新北縣平和路10號之8"
"郭美惠","455 蘆洲自由路894號5樓"
"朱麗玉","15024 豐原市新莊巷2段5號之9"
"李志強","11634 北斗縣福安巷9號6樓"
"曾淑惠","54094 八德市福德路24號1樓"
"劉麗玲","586 蘆竹信義路6段65號4樓"
"詹淑玲","27218 高雄縣自立街98號0樓"
"陳美珠","32527 彰化市莒光街5號0樓"
"鄭志明","312 桃園縣西門路93號9樓"
"張宜庭","943 蘆洲縣廣慈巷58號0樓"
"張志成","37784 蘆竹市芝山巷7段2號7樓"
"郭美珠","82619 北斗新生巷99號之7"
"許建成","490 臺中象山街870號之8"
"陳金鳳","409 蘆竹關渡巷4號之2"
"黃金鳳","572 汐止市大仁巷830號6樓"
"劉美英","985 八德民權路187號之3"
"涂志豪","59657 八德市民族巷6號6樓"
"蔡子翔","56327 褒忠光復路6段7號4樓"
"蕭怡萱","58372 澎湖市奇岩街417號6樓"
"杜文雄","837 蘆竹土城路3段8號之2"
"蔡宜蓁","925 嘉義縣忠孝巷29號9樓"
"郭美蘭","54385 蘆竹縣復興街743號4樓"
"詹冠宇","661 屏東縣新莊街2段308號0樓"
"藍明德","844 牡丹市文化巷2號5樓"
"蘇雅玲","986 朴子成功路789號3樓"
"宋美玉","407 員林南路7段819號2樓"
"邱雅雯","44560 鳳山縣南巷26號之2"
"陳雅慧","710 宜蘭三民街9號5樓"
"李羽彤","48176 楊梅蘆洲巷43號8樓"
"白國榮","79011 朴子市興巷93號4樓"
"王明珠","776 卑南市民族巷2段3號9樓"
"郭詩涵","52570 草屯市新生路1段74號4樓"
"卓冠宇","886 嘉義林森巷8號之3"
"鄒信宏","21960 新竹市萬隆街4段4號之5"
"蔡秋月","958 樹林縣莒光街1號之9"
"汪文祥","99856 南投大同巷492號之7"
"洪明珠","465 南投大同街41號之5"
"古志豪","599 嘉義縣土城路3段55號7樓"
"邱雅雯","815 三重光明路9號之6"
"施秀琴","112 中和市關渡路23號2樓"
"黃哲維","42213 牡丹縣新莊街663號之9"
"郭雅雯","579 太保縣景美路9號9樓"
"賴宗翰","533 新營市松山路99號之5"
"彭雅惠","691 員林市天母巷208號之0"
"羅麗美","92678 新北萬隆街9號7樓"
"吳聰明","74842 橫山昆陽街68號之7"
"趙淑惠","35968 新營公園街704號之2"
"吳秀珍","270 鳳山奇岩路5號之3"
"黃淑美","927 台中勝利街33號之4"
"林宇翔","72022 新竹土城街457號6樓"
"林春美","301 桃園縣小碧潭路395號之2"
"郭麗雲","933 嘉義忠義街9段12號之4"
"宋美雲","32813 永康文昌街3號之5"
"李秀英","272 嘉義市博愛巷642號之4"
"紀俊宏","74252 板橋平和路85號2樓"
"陳宜蓁","297 中壢縣光華街5段6號4樓"
"白俊銘","570 橫山北投巷25號之7"
"任哲維","333 臺中古亭巷87號之6"
"陳秀蓮","327 竹北關渡街6號之5"
"謝建華","351 金門中央巷72號之1"
"賴玉蘭","511 員林文山巷17號8樓"
"鄒世昌","485 台東縣小碧潭巷939號7樓"
"林志明","41531 苗栗莒光街30號5樓"
"林淑娟","73897 桃園縣公園街6號之3"
"林金鳳","676 八德縣東興街2號之0"
"廖俊男","60385 北港自立巷493號之1"
"林美惠","407 草屯縣成功街3號之4"
"蘇淑卿","715 阿里山市公園路980號之2"
"謝秀琴","22492 新北華興路6號2樓"
"陳俊佑","466 連江縣大橋頭路14號之1"
"李文華","910 光復水源巷5段8號8樓"
"鄒威廷","619 澎湖民生巷9段14號6樓"
"王世明","44821 太保自由巷9段2號8樓"
"陳文正","509 澎湖信義巷53號8樓"
"侯柏宏","86595 北港淡水街7號之0"
"葉冠霖","470 永和縣學府街4號2樓"
"張承翰","661 平鎮光復巷818號7樓"
"陳淑玲","377 阿里山信義路68號之4"
"張宇翔","404 牡丹市中和街616號8樓"
"黃志賢","164 頭份縣景美路7段726號4樓"
"郭美珍","880 頭份松山巷3段69號之6"
"鄒淑芳","444 基隆新生街84號之3"
"潘志宏","84498 台東紅樹林路694號之4"
"陳麗雪","38246 永和市景美巷5號7樓"
"傅秀蘭","35031 關山自由巷6號之9"
"黃慧玲","54570 中和市福安路71號5樓"
"陳文賢","420 汐止縣中和路700號1樓"
"何寶珠","270 關山縣文化巷39號之3"
"賴素珍","50470 新營縣新北投巷16號2樓"
"傅月娥","150 員林東興路84號之9"
"郭秀華","78853 中壢劍潭巷7號之8"
"鄒玉蘭","467 竹北西門路75號之2"
"黃俊良","434 臺中土城巷77號4樓"
"林月娥","74169 古坑文昌路7段7號5樓"
"黃冠宏","665 金門太平路120號之0"
"陳雅婷","53829 宜蘭和平巷81號之0"
"曾志豪","97384 蘆竹新店街7號1樓"
"翁文賢","20964 台北明德巷7段464號8樓"
"劉淑芬","242 臺中民生路2號7樓"
"張美惠","332 橫山古亭路96號之4"
"王淑貞","81522 新營西門巷6段694號之2"
"鄒秀珍","43694 新營新埔巷65號之9"
"施美惠","48724 新營市西門巷3段3號2樓"
"鄭文欽","522 板橋象山巷5段28號之6"
"簡承恩","51764 斗六雙連巷60號1樓"
"黃博文","45249 阿里山市育英街2號之0"
"林秀美","18383 臺中市大智路185號之2"
"卓志銘","603 古坑龍山寺街98號0樓"
"馬秀琴","97991 三重福德路96號之3"
"林麗美","300 阿里山林森路69號5樓"
"羅秀鳳","89034 雲林縣石牌街78號之5"
"鄒麗雪","83582 金門縣學府路46號1樓"
"徐仁傑","474 平鎮市民有巷427號1樓"
"楊雅婷","41758 橫山奇岩路3段146號之5"
"趙麗美","30610 臺東頂福州路374號之2"
"陳素貞","19665 蘆洲縣信義路4段28號之0"
"陳怡君","631 臺中市育英巷87號之1"
"洪淑珍","918 八德四維路793號之1"
"張志強","21243 八德博愛街51號0樓"
"張素蘭","193 草屯縣長安巷484號1樓"
"吳國華","354 嘉義中和街76號5樓"
"鄧佳玲","479 褒忠大橋頭路1號之4"
"邱哲瑋","59556 高雄文化路2號0樓"
"戴美華","684 蘆竹博愛巷142號4樓"
"林欣怡","423 新營縣自由巷33號之9"
"洪冠宇","20197 白沙縣萬隆巷626號1樓"
"何淑華","488 牡丹中央路30號3樓"
"李勝雄","155 花蓮縣民有巷3號之8"
"施文傑","35522 竹田中和街9段10號1樓"
"鄭月英","26213 白沙關渡路98號之3"
"吳玉梅","642 梅山市明德巷4段4號8樓"
"鄧國榮","82744 新營昆陽路9號之0"
"黃子豪","14134 永康市景美巷2號9樓"
"盧世昌","287 北竿勝利街16號6樓"
"楊美珠","724 關山縣新興巷483號之2"
"林義雄","87640 永和縣信義街6號之0"
"許惠玲","341 金門莒光巷14號0樓"
"張俊雄","131 竹田新北投巷90號6樓"
"方麗玲","35426 頭份平和街65號7樓"
"廖國華","922 馬公縣光明巷778號8樓"
"陳嘉宏","452 台南縣新莊巷716號之2"
"鄧心怡","39615 朴子市林森街9段36號之2"
"林志鴻","74844 太平縣正義街935號3樓"
"周玉琴","386 臺東市民有巷7號5樓"
"張文賢","63925 朴子文昌巷354號之6"
"廖威廷","55324 汐止市大安路193號之9"
"彭秋香","89345 斗六縣蘆洲巷240號6樓"
"胡素珠","611 桃園縣松山路3號3樓"
"林品睿","78358 花蓮明德巷3號7樓"
"王秀枝","713 牡丹淡水路485號2樓"
"陳俊宇","217 新竹國凱八德街84號之5"
"鄧志宏","89635 馬公縣天母巷871號5樓"
"邱志偉","847 斗六縣淡水路79號之8"
"張承恩","498 馬公關渡巷4段7號之3"
"邱秀霞","846 永康市關渡路52號之2"
"林美雲","44970 馬公縣自由巷424號5樓"
"張文正","12802 中和景美路17號9樓"
"俞宗霖","908 橫山德路9號0樓"
"王志雄","79830 中壢中央街4號4樓"
"鍾素蘭","639 鳳山長安街683號之0"
"李文賢","217 中和芝山路4號之7"
"鄧政宏","83862 關山民權路9號4樓"
"曹俊傑","566 桃園縣福安巷777號9樓"
"許建宏","571 基隆國凱八德巷441號3樓"
"李淑卿","587 白沙新生路828號0樓"
"陳家豪","783 台中延平街2號之6"
"張俊良","356 嘉義大同巷227號9樓"
"郭秀鳳","561 台中市石牌巷62號之0"
"蔡家榮","506 嘉義市新北投路31號1樓"
"吳建宏","772 新竹大安路21號0樓"
"李文龍","290 北竿大同巷58號3樓"
"鄧文賢","26532 阿里山信義巷5段52號4樓"
"李秀霞","73100 嘉義縣自由街6號之7"
"郭雅惠","812 新營縣自強街1號9樓"
"游美鳳","18773 光復大仁路1號8樓"
"黃秀玲","574 台南市仁愛街1號2樓"
"劉寶珠","92261 員林昆陽街2段9號之1"
"陳慧玲","335 桃園三民街166號之2"
"林麗美","711 澎湖市大坪路401號7樓"
"楊淑娟","87078 台北市國凱八德路96號7樓"
"劉冠廷","992 平鎮縣國凱八德巷3號之9"
"鄧碧霞","46834 平鎮景美街681號6樓"
"黃文華","727 板橋市大勇街989號之3"
"江玉琴","690 連江文化街79號9樓"
"馬志鴻","49469 竹田博愛街617號之3"
"謝冠廷","627 基隆市華興路5號之9"
"黃世昌","67747 竹田市光明路3號之6"
"邱雅雯","231 北斗文化巷4段13號3樓"
"周志賢","714 臺東縣芝山巷2段89號之5"
"簡淑玲","733 北竿縣新北投路62號1樓"
"董義雄","180 花蓮縣和平巷2號之5"
"鄧秋香","962 楊梅縣中山路58號之5"
"王明宏","642 頭份縣光華巷878號7樓"
"黃文龍","57803 中和市文化街9號之2"
"李文彬","85706 雲林市勝利路90號之9"
"范美惠","794 橫山大安街5號8樓"
"蘇家豪","354 斗六土城街941號之7"
"余玉珍","51251 八德市光華巷1號之6"
"蕭進財","25401 鳳山仁愛路14號之0"
"郭淑玲","52982 八德中興街5段60號之2"
"莊美玲","518 北斗民富路304號4樓"
"鄧詩涵","74998 宜蘭博愛路8號之6"
"曾美雲","13819 白沙中央街41號之0"
"黃雅婷","20597 蘆竹縣民享路9段49號之9"
"周欣怡","720 竹田市中山街762號之4"
"楊政宏","994 嘉義民治街6段999號之9"
"黃素珠","790 斗六市建國巷908號之6"
"曾麗珠","468 臺中頂福州路846號5樓"
"江明德","79747 卑南縣自由路656號之7"
"王美華","478 三重平和路8號之8"
"吳彥廷","55315 關山縣育英路112號之8"
"鄧麗琴","523 太保縣和平街5段8號5樓"
"黃宇翔","217 台南文昌巷726號之1"
"涂淑貞","47005 雲林明德巷17號6樓"
"陳秀蘭","485 白沙縣福德巷7段597號3樓"
"陳家豪","16730 太保縣南街4號之9"
"藍麗玲","965 永和新店街8號6樓"
"蔡麗雪","73634 太平動物園街25號0樓"
"曹文華","922 汐止縣大橋頭路8段118號5樓"
"吳子豪","719 白沙中正路280號4樓"
"林美玲","77107 雲林林森路156號之5"
"鄭佳玲","52718 雲林關渡路85號4樓"
"陳永昌","548 彰化縣大智街289號之1"
"馬靜怡","70881 中壢市永寧街9段633號之9"
"葉宥辰","62204 北竿關渡巷472號9樓"
"曾淑貞","945 汐止市東興街2號之6"
"任秀琴","97460 台南市大仁巷4段456號9樓"
"李佳蓉","73121 台中市忠孝巷791號3樓"
"莊明輝","138 蘆竹新生路65號之1"
"陳心怡","16981 臺中市新北投巷375號之9"
"傅文龍","87348 新營景美街647號之8"
"鄭俊宏","51337 牡丹自強路39號之8"
"陳志明","60595 新北四維巷2段168號5樓"
"郭春美","97657 高雄市育英巷24號之8"
"陳承翰","956 蘆洲市大安巷76號之7"
"蕭麗琴","15079 台東縣大智街173號之3"
"楊秀梅","987 馬公蘆洲街11號6樓"
"張家銘","62948 梅山頂福州路8段58號之3"
"莊建志","52844 苗栗西門巷8號之7"
"石冠霖","96534 楊梅迴龍路897號之3"
"賴俊廷","16189 新竹永寧路46號0樓"
"鄭俊廷","64029 豐原大橋頭巷448號之5"
"温冠霖","21239 永和縣五福巷7段5號6樓"
"蔡勝雄","397 新竹大仁巷9號7樓"
"張淑貞","947 新營縣景美路1號之9"
"張柏宇","66376 桃園福德巷380號7樓"
"賴志豪","82038 梅山興巷864號之1"
"蕭淑芬","75603 基隆市蘆洲巷41號2樓"
"劉文龍","982 關山大勇路5段784號之6"
"黃秀蘭","88661 汐止市石牌巷2號7樓"
"杜世明","474 澎湖縣和平街3號1樓"
"鄭俊廷","811 臺中長安路6號之9"
"張國榮","618 屏東忠孝路171號之8"
"賴秀美","70666 樹林延平巷848號之2"
"劉麗卿","38216 梅山永和路1號之5"
"葉美玲","36945 卑南縣信義巷394號1樓"
"李明哲","68615 高雄縣延平路35號5樓"
"丁美珠","477 阿里山光復巷6段2號1樓"
"黃文章","965 馬公市德街29號1樓"
"陳淑慧","570 大里縣光華街3段387號之4"
"丁宗翰","971 三重信義路81號之5"
"鄭俊賢","70618 褒忠市紅樹林街68號之3"
"林麗珍","883 光復縣芝山街92號之5"
"林美玲","258 鳳山大仁巷4號之5"
"吳明德","605 斗六大坪街623號之1"
"葉承恩","87886 基隆大仁巷7段1號之4"
"陳家榮","35432 北港五福街602號之1"
"高素卿","567 卑南市萬隆路643號2樓"
"傅月娥","99839 桃園市博愛街97號9樓"
"吳志強","115 宜蘭永和巷70號5樓"
"廖碧霞","443 高雄淡水巷83號8樓"
"鄭冠宇","726 牡丹縣民族路38號1樓"
"黃正雄","715 八德民有街5號0樓"
"范志偉","13703 北港市平和巷3段1號4樓"
"陳仁傑","44373 古坑市大智街47號1樓"
"吳宸睿","465 高雄市雙連街22號之3"
"余美蘭","33046 褒忠大勇巷6號8樓"
"江淑美","296 梅山信義路8段59號7樓"
"林宇翔","51307 草屯莒光路91號9樓"
"劉承翰","15970 關山縣奇岩巷12號7樓"
"徐信宏","90089 新營市景美街50號4樓"
"鄭冠霖","12560 頭份新埔巷7號之6"
"侯秀鳳","12770 台南縣中山街836號2樓"
"黃嘉宏","65568 梅山勝利巷2號0樓"
"何素卿","87266 鳳山光明巷135號之7"
"徐志誠","388 新北縣紅樹林路9號之6"
"蔡麗雲","38290 斗六縣小碧潭巷2號之3"
"鄭子晴","847 樹林正義巷138號8樓"
"陳俊宏","854 臺東奇岩巷88號之8"
"陳仁傑","29692 屏東縣新北投巷2號8樓"
"謝志明","43763 桃園民族街26號之6"
"鄭冠霖","783 連江市莒光路1段361號6樓"
"游建成","600 雲林市蘆洲巷1段150號8樓"
"吳淑娟","216 台南縣三民巷97號之2"
"王柏宏","192 斗六昆陽路2段2號之8"
"蔡承翰","666 光復民富路4號之1"
"黃冠廷","690 卑南市大坪街4號9樓"
"陳博文","49841 斗六民生路381號之6"
"林世昌","591 永和市福安路9號之3"
"張建宏","375 八德萬隆路4段35號9樓"
"李志忠","434 永和縣水源街7號9樓"
"鄭勝雄","889 樹林縣中山巷1段19號7樓"
"林雅萍","146 台北西門街5號0樓"
"黃志豪","339 朴子縣新生巷49號之3"
"蔡子豪","363 永和縣忠義街485號之9"
"章榮華","22883 台南市平和巷4號3樓"
"陳麗華","164 平鎮縣大橋頭路164號之0"
"陳惠珍","85842 台北和街路215號之5"
"施志偉","982 金門縣新興街46號6樓"
"賴麗華","999 中壢中興街272號之8"
"張秀蘭","43668 雲林市天母巷7段37號8樓"
"鄭嘉宏","16050 永康福安街942號4樓"
"林俊豪","66496 花蓮市紅樹林路26號9樓"
"阮秋月","843 蘆竹大同巷275號之9"
"吳家豪","922 中和太平路2段6號1樓"
"余淑芬","346 卑南縣忠孝路6段12號1樓"
"黃麗雪","609 桃園縣三民街2號5樓"
"林雅萍","79148 北斗市勝利巷9段69號2樓"
"謝美惠","72714 牡丹光復街6段5號之6"
"王冠霖","316 橫山市忠義巷7段42號之4"
"周雅慧","56300 花蓮學府街3號7樓"
"鄭子宸","70590 頭份南街8號5樓"
"陳文章","534 褒忠民權街6段856號9樓"
"蕭家瑋","91532 金門市國凱八德街82號5樓"
"蘇明德","888 八德信義街91號4樓"
"蔡志文","654 楊梅奇岩路522號1樓"
"陳志強","350 澎湖動物園街1號5樓"
"顏美娟","341 彰化市中山街5段240號之4"
"梁麗卿","385 關山民享巷45號4樓"
"陳麗香","65806 花蓮市土城街34號之8"
"鄧明德","267 古坑自由巷8號之4"
"鄭宇翔","242 台中公園街16號7樓"
"劉志誠","23330 竹田東湖巷3段75號0樓"
"林玉蘭","19560 金門縣國凱八德路9號之5"
"劉秀蘭","818 朴子市大坪街302號之2"
"張冠宇","978 南投市自強路5號7樓"
"官志銘","701 卑南公園路7號之3"
"林家瑋","72318 彰化縣昆陽路4號之3"
"林美娟","895 台東縣育英巷1號之8"
"周家銘","959 桃園縣光華街8段17號之3"
"陳明輝","844 蘆竹市西門巷2段7號7樓"
"鄭宇翔","756 台南正義巷548號7樓"
"蔡碧雲","615 朴子忠孝街9段14號6樓"
"許彥廷","31081 基隆動物園路59號2樓"
"楊建中","462 宜蘭市文昌路321號6樓"
"洪俊廷","74915 八德市大智路8段45號6樓"
"林雅萍","259 嘉義市自由街3號之0"
"林金龍","26448 永和奇岩巷7段6號8樓"
"陳睿恩","872 澎湖縣光復街92號6樓"
"林麗卿","90406 北港民治路482號7樓"
"宋明哲","50475 牡丹市民富路20號1樓"
"鄭宗憲","14967 太平市文化街71號之7"
"王勝雄","351 員林縣大勇巷9號之0"
"劉詩涵","87570 白沙大安街53號3樓"
"羅志遠","663 基隆新北投路7段6號之2"
"林家銘","961 新北縣忠孝路5號之0"
"林佳玲","629 關山蘆洲路1段14號1樓"
"吳美鳳","85298 中和水源巷744號之4"
"曾素珍","85578 關山紅樹林街485號4樓"
"黃承恩","403 豐原自由路9號6樓"
"黃正義","58253 太平大坪巷96號9樓"
"鄭宗翰","364 太平縣象山路8段508號之7"
"李哲維","460 竹田東興街9號2樓"
"許雅萍","332 橫山市古亭街9號之9"
"黃建志","17961 桃園縣關渡街749號3樓"
"藍宥辰","880 光復民享路2號5樓"
"趙雅萍","469 新竹市土城路6號之1"
"王志忠","99947 阿里山自由街6段978號之4"
"董宗翰","50442 台中劍南路6號0樓"
"吳博文","131 高雄育英路20號2樓"
"許志偉","415 三重大同路44號6樓"
"鄭宗翰","458 蘆竹縣土城巷5段40號之2"
"林美華","17365 台北雙連街752號之7"
"阮素珠","745 豐原市育英巷8號之8"
"李秀蘭","84979 蘆洲蘆洲街85號8樓"
"陳怡婷","43330 屏東縣松山路49號之7"
"陳惠玲","846 南投和街路98號之4"
"陳政宏","829 新竹市長安巷32號之8"
"鄭雨霏","244 永和市四維路4號之0"
"郭冠廷","92405 永和縣土城路461號7樓"
"劉靜怡","760 苗栗廣慈巷57號5樓"
"鄭宜蓁","674 樹林縣大橋頭巷969號2樓"
"賴文忠","401 北斗市中華街541號5樓"
"蘇家瑋","19668 宜蘭縣國凱八德街391號9樓"
"李恩碩","48735 卑南縣淡水路447號4樓"
"鄭美珍","42908 澎湖市育英巷10號4樓"
"黃玉蘭","44113 三重縣中山街940號6樓"
"顏玉鳳","97719 汐止市福德路940號之6"
"鍾美玲","496 台北市五福巷8段551號之8"
"陳明德","20258 牡丹大仁巷5號之2"
"葉美雲","739 馬公縣永和路607號1樓"
"鄭宥廷","914 台南永寧街5段85號之0"
"彭麗華","275 板橋信義街6號之2"
"王秀美","99207 阿里山縣北投巷6段79號3樓"
"童明輝","273 斗六大智街98號5樓"
"林秀珠","875 新竹建國路4號之4"
"傅美麗","27728 樹林縣中山巷575號9樓"
"黃玉鳳","29442 中壢東興街3號8樓"
"劉秀蘭","749 台東縣關渡路49號之9"
"陳素琴","50179 竹北縣四維巷2號之2"
"歐文傑","735 北竿仁愛街3段28號之5"
"鄭寶珠","63753 鳳山育英巷3段375號之1"
"張淑惠","941 北竿縣福德路86號2樓"
"林聰明","35678 新營縣土城巷17號3樓"
"徐秀霞","19980 八德東湖巷104號之8"
"吳國雄","97590 中和市新埔巷4號7樓"
"李俊宏","104 鳳山莒光路14號3樓"
"施淑卿","93479 臺東市光復巷19號0樓"
"江美蘭","923 汐止紅樹林路5號3樓"
"張志宏","426 永和縣太平巷9段196號之2"
"鄭雅雯","41943 北竿長安巷8段641號之8"
"鄭文彬","94655 馬公府中街33號4樓"
"夏明宗","824 阿里山市中華街534號之6"
"陳明宏","60190 牡丹縣文山街4號之1"
"陳俊宏","53441 朴子縣延平巷58號4樓"
"劉玉珍","675 阿里山縣公園路7段1號之6"
"許美惠","514 褒忠天母路48號2樓"
"盧志賢","82271 澎湖市德路9號0樓"
"盛子豪","99858 台北中和街73號之3"
"呂雅婷","54241 北港文化路5號之2"
"鄭美珠","654 三重民富路48號之3"
"鄭文正","45725 平鎮明德巷739號4樓"
"陳慧玲","58373 草屯大安路64號8樓"
"陳國榮","89488 樹林市光復路3號之3"
"郭苡晴","684 基隆永和巷6段88號4樓"
"林素琴","298 八德縣林森路192號1樓"
"凌美娟","62303 台中莒光街47號3樓"
"林明德","39931 草屯市奇岩路835號0樓"
