"丁淑娟"	"216 太保芝山路9號之3" 
"呂宗翰"	"42998 花蓮縣永安街2號之3"
"洪志誠"	"81136 中和中興巷42號5樓"
"林玉蘭"	"776 光復自立路16號8樓"
"楊文雄"	"939 臺東市五福街147號2樓"
"黃春美"	"62371 平鎮成功街912號之5"
"吳金龍"	"30117 竹北松山路8號3樓"
"高柏宇"	"510 台南縣永安巷15號5樓"
"廖睿恩"	"815 台東民權巷9號6樓"
"黃志銘"	"907 花蓮縣莒光路78號8樓"
"黃志明"	"145 屏東市關渡街24號之2"
"李志賢"	"18434 白沙市公園街81號之3"
"楊冠宇"	"359 高雄松山路4號8樓"
"林麗華"	"55171 新營縣信義街3段6號2樓"
"黃宗霖"	"51642 北斗建國巷3號之3"
"蕭美玲"	"81003 高雄國凱八德路180號3樓"
"吳素貞"	"58106 蘆洲士林街151號之0"
"蕭秀玉"	"95367 北斗文昌巷77號之7"
"黃雅慧"	"32080 新竹劍潭街28號6樓"
"翁秀珠"	"83562 台南市中興巷7號1樓"
"黃志明"	"244 板橋新興巷99號4樓"
"吳俊廷"	"29263 台南市雙連路8段740號之2"
"周惠珍"	"86952 台東縣頂福州街4號1樓"
"陳子宸"	"243 古坑延平路95號之7"
"謝俊宏"	"32760 汐止東湖街6段180號之3"
"曹淑玲"	"75962 嘉義民生路9號之0"
"王淑娟"	"361 花蓮縣新埔巷96號0樓"
"洪彥廷"	"21891 褒忠雙連巷3段8號之4"
"陳俊豪"	"32882 雲林松山巷9號4樓"
"王淑敏"	"58309 宜蘭光復街51號1樓"
"黃志豪"	"97309 台東新莊街94號之7"
"古美麗"	"626 花蓮北投路9號5樓"
"曾俊佑"	"75461 新北縣民權街8號4樓"
"蘇義雄"	"15375 阿里山頂福州路6號6樓"
"康秀英"	"69790 永和縣石牌路73號之5"
"林勝雄"	"14869 澎湖縣松山街971號之5"
"張秀鳳"	"890 白沙市大同街2段278號0樓"
"陳美娟"	"207 蘆洲博愛街15號0樓"
"陳秀雲"	"238 斗六市新埔街47號6樓"
"吳永昌"	"53061 太保和平巷150號之9"
"黃志豪"	"99306 新營縣民治路9號之8"
"陳柏霖"	"585 連江市新興路4號3樓"
"鄭俊賢"	"294 三重市長春街85號之0"
"陳玉梅"	"924 新營長春街5段590號2樓"
"周玉珍"	"747 屏東縣中正路5號9樓"
"林文傑"	"682 草屯大同路1號之3"
"戴博文"	"561 澎湖府中巷455號之3"
"李麗雪"	"256 永康市中山路49號之9"
"張美惠"	"73447 新營自強巷5段9號之2"
"陳玉蘭"	"63643 中和縣新莊路5段3號1樓"
"黃志遠"	"573 樹林市大橋頭街4號7樓"
"楊承恩"	"92095 台東縣信義路6號之9"
"王麗珍"	"41838 牡丹光復巷9段6號6樓"
"楊家豪"	"397 台中古亭路35號1樓"
"陳素琴"	"514 梅山市三民街6段66號之3"
"趙志宏"	"60474 台東縣長安巷7段637號之9"
"朱家豪"	"384 竹田松山巷2號之5"
"鄭美玲"	"670 楊梅縣文山巷305號8樓"
"楊柏宏"	"383 褒忠永寧路9段7號之2"
"郭建中"	"342 橫山市文山街304號之3"
"黃志鴻"	"450 雲林東湖巷62號之7"
"許玉美"	"664 中和光明路90號3樓"
"方麗卿"	"88329 台南民治街6號5樓"
"劉志誠"	"46654 蘆洲市中興街379號9樓"
"黃俊宏"	"475 北港文昌街319號之0"
"王俊男"	"923 斗六雙連路12號4樓"
"林惠珍"	"876 楊梅迴龍路8號之3"
"許佳蓉"	"91448 連江信義街3號2樓"
"蔡怡婷"	"81325 桃園縣三民巷52號6樓"
"張秀梅"	"546 連江縣民治路25號之2"
"黃思妤"	"72512 三重勝利街17號之2"
"熊美珠"	"100 太保市文山巷18號之9"
"陳秀琴"	"63752 汐止市大同巷4段208號1樓"
"李淑華"	"938 關山縣延平街4段2號之3"
"吳秀梅"	"398 永康土城街2號之1"
"莊信宏"	"466 阿里山市成功街316號之1"
"王志強"	"737 新北新店街47號6樓"
"龔子恩"	"69207 彰化新生路4號8樓"
"蘇芯語"	"824 雲林大同街3段49號3樓"
"徐宇翔"	"39308 永康福德巷389號之0"
"黃怡君"	"12393 斗六淡水街726號0樓"
"陳建宏"	"73670 北斗縣新店街2號2樓"
"王子豪"	"42912 花蓮建國街7段74號6樓"
"陳俊宏"	"194 永和縣土城巷7號之9"
"吳信宏"	"46054 中壢古亭街328號之1"
"謝金龍"	"26444 大里市仁愛巷6段80號之6"
"鄭志文"	"729 基隆市大仁巷985號7樓"
"王淑惠"	"217 基隆市古亭路139號之4"
"陳志偉"	"34485 桃園市新生路1段940號之4"
"許淑玲"	"83360 臺東光明路7號4樓"
"黃恩碩"	"52407 古坑市民享街3號9樓"
"黃家銘"	"868 屏東縣大安街4號1樓"
"梁秀英"	"73209 新營頂福州街74號3樓"
"林素貞"	"494 新竹光復路121號之1"
"顏俊宏"	"168 桃園三民巷1號9樓"
"曾素珠"	"784 朴子市大智路294號3樓"
"林秀琴"	"783 苗栗景美街55號之0"
"陳子晴"	"38737 白沙縣天母路862號之1"
"林承恩"	"455 牡丹關渡街942號之2"
"游俊宏"	"146 桃園莒光路298號之9"
"黃惠玲"	"776 竹北大智街82號之6"
"沈志豪"	"271 太保自強巷876號之1"
"彭世明"	"18567 彰化中山路61號1樓"
"黃碧霞"	"301 高雄永寧路83號之6"
"黃麗玉"	"340 頭份市府中街291號1樓"
"陳志成"	"712 蘆洲縣廣慈巷815號之4"
"黃明珠"	"635 雲林大同路2號之8"
"洪永昌"	"42872 苗栗市五福路51號6樓"
"蘇宇翔"	"869 新營縣府中街532號之4"
"鄭秀珍"	"84209 北斗自由路433號之2"
"黃承恩"	"61157 永和縣廣慈路905號8樓"
"洪秀珠"	"645 台東市民有路1號之9"
"劉金蓮"	"41350 蘆洲德路91號0樓"
"葉怡婷"	"12693 臺東市象山路1號之7"
"林勝雄"	"890 阿里山市大仁街817號6樓"
"田文龍"	"20758 北竿縣民治街62號之4"
"林秀玉"	"603 牡丹市光明路59號之7"
"張惠珍"	"52748 北竿縣大仁路18號6樓"
"陳素珠"	"548 彰化民權巷514號7樓"
"龔志文"	"60812 梅山四維巷124號之2"
"黃承恩"	"621 新竹縣景美街8號7樓"
"黃淑惠"	"62469 卑南新埔路9段670號3樓"
"陳淑惠"	"51123 北竿永安街70號9樓"
"潘秀琴"	"88120 員林復興街5段10號之2"
"魏進財"	"49082 台中縣自強巷78號之3"
"朱金龍"	"19785 桃園大同巷353號之5"
"張淑娟"	"60889 褒忠中央街158號6樓"
"張志明"	"14102 連江永和路33號之8"
"林文正"	"650 竹田育英路608號之1"
"陳淑惠"	"35725 蘆竹縣正義巷4號5樓"
"黃承翰"	"23110 卑南雙連街32號9樓"
"賴家豪"	"76522 臺東縣勝利路5段7號2樓"
"張玉美"	"90328 高雄市勝利街6號之3"
"陳承翰"	"512 卑南縣龍山寺巷2段657號4樓"
"謝美玲"	"446 梅山縣石牌路8段5號8樓"
"白秀霞"	"74527 草屯劍潭街57號0樓"
"戴柏霖"	"59718 朴子華興巷8段6號之5"
"林榮華"	"541 台中淡水路81號3樓"
"李俊雄"	"133 卑南市象山街3號之8"
"黃淑卿"	"299 高雄興路8段3號之6"
"黃承翰"	"38301 蘆洲平和巷96號之9"
"張惠美"	"849 台北市景美路6號之0"
"鄧美鳳"	"376 三重縣南街1段6號6樓"
"蘇進發"	"62315 楊梅縣大坪街190號5樓"
"吳秀枝"	"69784 員林東湖巷5號之0"
"顏明宏"	"60938 雲林劍潭街170號9樓"
"鄒欣妤"	"11072 連江市文化街4段6號7樓"
"李素貞"	"21668 馬公大仁街41號5樓"
"黄家銘"	"92278 斗六忠義路47號8樓"
"陳建銘"	"12285 卑南林森街508號之7"
"黃承翰"	"69315 永康民生路5段51號之8"
"劉文龍"	"749 卑南縣明德巷750號之0"
"陳俊明"	"61445 北港育英路4號之9"
"胡冠廷"	"547 樹林關渡路301號之8"
"嚴美玉"	"65637 台中市南巷9段902號之3"
"邱明哲"	"756 楊梅市四維街6號之1"
"吳秀琴"	"54966 北港頂福州街14號之5"
"王志宏"	"10024 苗栗市自由路93號之3"
"戴家豪"	"83140 彰化自由街274號之7"
"吳金鳳"	"71222 三重中央路94號2樓"
"黃文傑"	"865 新營古亭路6號9樓"
"李博文"	"44713 新北市長春街29號之6"
"熊雅雯"	"318 彰化中央路476號之2"
"王文彬"	"722 金門正義巷2號之5"
"余春美"	"85013 汐止市土城路307號4樓"
"洪進興"	"211 台南成功巷5號之1"
"林承翰"	"377 太保縣自立路42號之0"
"江志銘"	"72903 北竿市大仁巷8段4號8樓"
"彭永昌"	"14750 楊梅景美巷3段733號之2"
"張建銘"	"40917 北港縣大安路6段63號之1"
"黃文忠"	"289 白沙昆陽巷344號之6"
"周秀英"	"216 臺中光復路2號之3"
"吳家豪"	"794 新營華興巷83號之1"
"高美蘭"	"988 板橋大智街554號之7"
"康明德"	"415 桃園松山巷5段619號8樓"
"黃麗玉"	"77087 平鎮縣東興路4段2號之4"
"黃美華"	"720 澎湖縣永寧路65號之3"
"吳國華"	"50915 桃園縣信義路6號之0"
"陳雅慧"	"384 牡丹中正路387號之1"
"吳正雄"	"638 台中公園街54號之9"
"黃文欽"	"29288 永康縣中興巷59號3樓"
"廖國華"	"92180 斗六縣廣慈路3段50號7樓"
"江雅慧"	"326 橫山市雙連街68號之7"
"莊素珠"	"67070 白沙縣福德街468號9樓"
"徐宇恩"	"81299 新竹南路846號6樓"
"邱宜蓁"	"943 花蓮仁愛巷8段3號9樓"
"黃淑惠"	"132 鳳山市新埔街793號之6"
"蘇麗雲"	"994 北港市民治街13號5樓"
"李麗珍"	"324 新竹永和街2號之2"
"吳建銘"	"296 高雄縣劍南巷6號5樓"
"黃文欽"	"74490 光復廣慈巷930號之5"
"李淑貞"	"611 花蓮大坪路971號6樓"
"耿承翰"	"90002 板橋新莊路51號之6"
"呂志偉"	"153 樹林德路1號6樓"
"程麗娟"	"44526 太平仁愛巷436號之0"
"孫宇恩"	"423 新竹市北投街94號9樓"
"林美惠"	"620 大里市平和路8段280號1樓"
"莊素珍"	"243 新竹縣大仁路418號0樓"
"蔡素卿"	"90348 連江市新生巷6號之0"
"陳正義"	"251 鳳山縣新埔巷56號之2"
"黃文章"	"83163 樹林長安巷8段5號之6"
"鄭秀鳳"	"586 屏東光華巷78號之4"
"陳怡君"	"962 臺東縣莒光路206號之7"
"王玉蘭"	"966 北斗縣雙連街58號9樓"
"羅宗霖"	"943 永康市民有街7段9號3樓"
"楊俊豪"	"23885 中和中山街680號4樓"
"宋淑美"	"488 金門迴龍路154號之2"
"吳美玲"	"775 宜蘭縣四維巷24號8樓"
"彭鈺婷"	"644 朴子縣自由街93號之3"
"沈美惠"	"590 宜蘭市興街10號之8"
"黃文賢"	"21153 中和縣大智街87號之7"
"廖美英"	"49590 雲林劍潭巷5段77號之0"
"蔡秀英"	"123 桃園市明德街8號之5"
"薛睿恩"	"62596 中壢萬隆巷2號7樓"
"黃永昌"	"578 永康莒光街9號之1"
"杜淑貞"	"58035 白沙縣文昌街624號之9"
"古家宏"	"581 板橋縣正義巷4號8樓"
"陳志豪"	"27125 板橋市中山路9段661號之8"
"胡俊廷"	"65098 太平縣中央街4號之2"
"李世明"	"95036 中和市忠義街5段12號7樓"
"黃文龍"	"992 楊梅縣劍潭路968號0樓"
"蔡宸睿"	"33714 員林蘆洲巷8號4樓"
"李仁傑"	"783 卑南市中華街2號3樓"
"譚碧珠"	"67794 新營蘆洲路77號4樓"
"林淑貞"	"19236 新北縣成功巷18號之9"
"杜志偉"	"24345 台中新莊巷2號之0"
"龍俊雄"	"215 新營莒光街92號7樓"
"楊冠廷"	"94320 高雄民富路53號2樓"
"蔡麗卿"	"21191 花蓮市象山巷15號之4"
"蕭武雄"	"683 馬公縣自由街7號之5"
"黃明宏"	"51225 中和復興街9段27號0樓"
"顏宗霖"	"460 澎湖福安街6段981號之4"
"簡建宏"	"43148 八德景美巷7號9樓"
"郭怡婷"	"811 關山太平路248號之6"
"王碧雲"	"66852 北港新店巷78號之0"
"陳碧珠"	"53689 苗栗新生街3號之9"
"吳文雄"	"83845 南投大安巷72號5樓"
"廖志強"	"25683 台北市明德路3號9樓"
"吳淑美"	"902 北港市大勇巷871號4樓"
"李文龍"	"363 頭份中興巷612號之6"
"黃明宏"	"70651 平鎮龍山寺路543號3樓"
"楊美慧"	"81338 新北大智街4段386號之3"
"黃素珍"	"83647 雲林成功路8號9樓"
"蔡宥辰"	"94940 嘉義石牌巷12號1樓"
"戴建宏"	"822 白沙民治街8段499號2樓"
"吳建中"	"73218 基隆縣大坪巷12號3樓"
"鄭美華"	"762 南投市民富巷8號6樓"
"王淑娟"	"504 永康縣自強巷9號8樓"
"黃惠玲"	"72126 光復縣雙連巷2段10號之6"
"陳淑珍"	"885 朴子市新生巷80號之4"
"黃明宗"	"375 臺東東興巷7號之0"
"吳志忠"	"99180 臺中自由路8號之3"
"林淑美"	"881 樹林縣蘆洲路164號之7"
"高美惠"	"248 太平縣永安路872號之6"
"廖玉鳳"	"630 朴子大智巷7段12號7樓"
"李秀美"	"893 中壢土城巷7段149號之3"
"陳嘉宏"	"771 苗栗縣中和街1號6樓"
"蕭俊宏"	"88968 蘆洲民族街11號之2"
"王宸睿"	"851 高雄大同街42號4樓"
"陳柏翰"	"801 蘆竹成功巷671號之9"
"黃明宗"	"82661 牡丹芝山街72號之2"
"徐苡菲"	"909 宜蘭文山街57號之7"
"張文忠"	"324 臺東府中巷4號6樓"
"蔡子豪"	"23515 卑南市士林巷37號2樓"
"王淑娟"	"562 橫山縣大勇路7號之3"
"張美珠"	"568 雲林縣萬隆街9段8號5樓"
"陳美雲"	"16959 太平文山路582號之6"
"許建銘"	"634 太保平和路9號之5"
"黎志銘"	"29313 高雄廣慈巷328號之4"
"趙宗霖"	"855 屏東市永寧路51號1樓"
"黃明德"	"167 臺中東興街238號之7"
"楊秀蘭"	"664 新營市劍南巷308號5樓"
"張麗琴"	"61259 臺中縣自強巷60號3樓"
"陳志偉"	"45327 台中縣西門巷7號之3"
"徐永昌"	"158 馬公市自立路7號之7"
"林麗娟"	"11123 臺東市雙連巷8段129號0樓"
"彭彥廷"	"316 草屯光明巷32號8樓"
"詹佩珊"	"802 八德縣育英巷3段950號8樓"
"黃麗珠"	"810 新竹新生街6段69號8樓"
"連榮華"	"56521 彰化市民權街245號9樓"
"黃明輝"	"357 八德市三民路499號1樓"
"王建華"	"147 平鎮天母街16號7樓"
"張宇翔"	"30264 新營新莊巷13號8樓"
"鍾志賢"	"918 阿里山新生街747號之9"
"劉家宏"	"44589 竹北縣新興路2段2號1樓"
"張秀鳳"	"935 永和文化路215號5樓"
"鄭麗玉"	"55476 台中縣動物園巷5號之8"
"陳惠珍"	"61685 金門龍山寺路49號3樓"
"蔡麗美"	"828 阿里山奇岩街322號2樓"
"林素珠"	"527 雲林縣延平街958號之6"
"黃月英"	"39209 台南市學府街5號7樓"
"王麗玉"	"244 花蓮市萬隆街1段727號之7"
"李麗香"	"45454 中壢縣中興巷827號之3"
"陳美娟"	"243 中和市民族路401號7樓"
"葉俊豪"	"18642 三重市育英路27號之9"
"劉秀蓮"	"944 新竹縣古亭路911號2樓"
"陳國榮"	"66265 褒忠縣明德路7號之8"
"游武雄"	"758 桃園縣新埔路3段8號之3"
"余志豪"	"668 基隆縣自立路1段444號之7"
"徐淑惠"	"98297 橫山市莒光路6段5號9樓"
"黃月英"	"51495 台中市天母巷654號之1"
"簡美華"	"22759 基隆縣大同路474號之9"
"廖春美"	"612 臺東景美街88號之1"
"劉雅婷"	"43019 永和市大坪路725號5樓"
"張宜庭"	"98170 白沙中和街2段5號之8"
"陳冠宇"	"61362 新營縣長春路919號之8"
"陳秀珍"	"140 八德市永安街306號之6"
"張俊佑"	"477 臺中成功街9段105號之2"
"黃麗雪"	"128 大里中央路5號5樓"
"陳淑貞"	"76422 桃園永寧巷387號6樓"
"黃月英"	"669 鳳山蘆洲巷43號0樓"
"張文傑"	"711 橫山縣小碧潭路1段175號3樓"
"林明德"	"763 桃園市林森路5號8樓"
"莊志偉"	"477 永康劍南路578號2樓"
"陳美珠"	"79276 員林市仁愛路6段97號8樓"
"巫麗玉"	"10129 台中市博愛路94號6樓"
"紀秀英"	"47409 卑南土城路9段158號1樓"
"陳文祥"	"170 永和市仁愛街5號之5"
"温家豪"	"204 大里縣中和路100號8樓"
"馬志宏"	"671 桃園大智街20號2樓"
"黃柏宏"	"94060 永和和街街3號0樓"
"潘惠珍"	"91012 八德市光華路194號之6"
"邱志明"	"928 頭份東興路2段89號2樓"
"呂秀霞"	"76846 太保永和街4號5樓"
"陳承翰"	"445 褒忠忠孝路5號之3"
"姜宇翔"	"16459 員林自強路5段9號之7"
"蔡國華"	"603 褒忠縣土城巷3號之9"
"劉秀英"	"643 台中縣關渡巷524號之3"
"賴秀梅"	"922 三重東興街97號1樓"
"顏俊傑"	"57337 梅山縣民有巷15號之8"
"黃柏翰"	"821 太平象山路376號9樓"
"謝月娥"	"52597 大里和平街974號4樓"
"連正雄"	"72320 金門自由路2號之1"
"陳美珍"	"41223 員林縣新莊街3號1樓"
"蔡惠美"	"861 臺東縣明德巷10號4樓"
"陳淑貞"	"26228 北港縣迴龍路5號2樓"
"劉玉琴"	"544 北竿市自由路4號0樓"
"張志忠"	"657 新竹縣頂福州巷28號之2"
"楊素珠"	"96332 澎湖中山路8號之1"
"許欣怡"	"50613 永和縣大安巷4號之2"
"黃柏諺"	"16545 八德忠義路763號0樓"
"黃俊明"	"322 桃園縣自由街10號之1"
"劉宗翰"	"198 草屯學府街435號1樓"
"黃信宏"	"582 古坑萬隆街6號7樓"
"黃柏諺"	"12146 頭份市東興巷230號7樓"
"薛文章"	"670 新營水源巷7段519號之9"
"張美鳳"	"315 板橋文化巷7號5樓"
"楊佳玲"	"13687 台北大同巷331號7樓"
"許秀鳳"	"51236 竹田長春巷314號7樓"
"葉志偉"	"87252 卑南昆陽巷4段4號之7"
"黃正雄"	"820 白沙明德街3段5號5樓"
"潘志明"	"271 宜蘭市南巷3段9號2樓"
"張俊男"	"79089 橫山市民生路93號之5"
"詹碧雲"	"525 楊梅大坪街60號9樓"
"李春美"	"34994 八德縣國凱八德街89號之8"
"彭威廷"	"48572 褒忠中興街1段84號之5"
"蔡榮華"	"56066 屏東正義街7號2樓"
"劉俊雄"	"61407 新北大同巷7號之4"
"呂佩珊"	"977 花蓮市復興街157號6樓"
"簡冠宇"	"30313 花蓮萬隆路66號7樓"
"黃淑娟"	"307 新營公園路925號之6"
"蔡素蘭"	"90891 鳳山市新北投路7段349號2樓"
"宋金龍"	"372 白沙中山路74號6樓"
"劉志成"	"991 澎湖縣公園街6號之4"
"林淑惠"	"88078 新北文化巷44號2樓"
"黃明德"	"80747 北斗市中山街847號3樓"
"張麗香"	"56497 竹北市福安街71號之3"
"張麗珠"	"578 竹北昆陽路6段4號之5"
"高哲維"	"45341 台南文昌巷395號之6"
"湯惠玲"	"168 新竹新生路34號之1"
"黃淑娟"	"82721 金門水源路8號之5"
"陳冠霖"	"785 大里縣土城巷5段2號之3"
"鄭秀珍"	"590 嘉義新生路1號1樓"
"吳惠珍"	"63065 金門華興巷3號5樓"
"潘美玉"	"11195 臺中正義路4段295號之9"
"吳雅婷"	"300 太平迴龍巷235號1樓"
"陳淑慧"	"527 太平新生街2號之1"
"林志豪"	"74388 中壢動物園巷7段9號之0"
"張淑卿"	"960 永和縣萬隆巷6號之4"
"莊秀雲"	"22589 新竹文山街449號之7"
"黃淑慧"	"17016 台東新埔街9段82號4樓"
"杜俊宏"	"46072 關山建國街3號之4"
"謝怡君"	"751 阿里山縣淡水街1號1樓"
"呂文欽"	"42314 豐原市民治街3段66號7樓"
"黃麗卿"	"79139 屏東縣自立巷22號7樓"
"郭承翰"	"920 楊梅市文化巷4段306號9樓"
"林柏諺"	"146 新營公園巷621號之7"
"鄭志成"	"760 金門光華路143號之6"
"劉志鴻"	"439 梅山平和路795號之6"
"林美雲"	"96318 高雄大勇巷2段8號之4"
"黃淑玲"	"83008 豐原市大坪路3號之1"
"林淑惠"	"42710 中壢縣福德路60號之5"
"林秀娟"	"197 澎湖市學府街8號0樓"
"葉宗翰"	"847 中壢縣永安路5號之3"
"劉玉珍"	"63182 臺東市西門路4號8樓"
"張勝雄"	"89876 花蓮關渡路8號之2"
"楊正雄"	"23593 牡丹市學府街817號之6"
"曾欣怡"	"28017 員林育英街84號6樓"
"戴冠宇"	"453 楊梅市莒光街160號之1"
"謝淑貞"	"22145 金門明德路37號6樓"
"黃淑珍"	"530 台東和平路1號之0"
"洪志宏"	"443 基隆華興路61號之1"
"蔡志強"	"60197 蘆竹市自由街68號之2"
"阮美玲"	"76271 宜蘭縣勝利街9段802號之6"
"羅志明"	"679 桃園市新生路2段571號4樓"
"楊美惠"	"68450 竹田昆陽路48號5樓"
"李勝雄"	"15336 雲林縣頂福州路65號6樓"
"陳雅萍"	"102 豐原迴龍路286號之8"
"周金龍"	"648 牡丹關渡街22號之2"
"蘇冠宇"	"360 基隆大同街163號之1"
"黃淑美"	"57109 牡丹市中興巷8段582號之6"
"賴冠宏"	"271 太保仁愛街224號5樓"
"李靜怡"	"341 蘆竹縣松山路36號5樓"
"王承恩"	"68426 馬公市長安路824號6樓"
"楊家銘"	"974 三重縣平和路444號3樓"
"祝欣怡"	"323 永康正義路80號0樓"
"張正雄"	"133 大里縣光華街451號4樓"
"吳素貞"	"165 永康光復巷461號之6"
"何秋香"	"45239 褒忠龍山寺路9段682號之0"
"呂冠宏"	"20599 樹林市復興街22號之5"
"黃淑芬"	"58147 新營縣大橋頭街23號0樓"
"鄭文祥"	"85469 阿里山德路9號之4"
"陳俊傑"	"790 連江永安街465號9樓"
"黃苡菲"	"313 新竹縣大安路6號7樓"
"林建成"	"535 嘉義民治路66號之8"
"王春美"	"854 樹林莒光路9號3樓"
"李淑芬"	"645 金門天母路9段853號之3"
"余家榮"	"184 台北縣長春路9段3號4樓"
"胡雅雯"	"35735 大里市三民路15號之3"
"姚麗娟"	"599 太保市勝利街31號7樓"
"黃淑華"	"94256 竹田中山路8號之9"
"高雅婷"	"518 新營市文昌巷5段64號之1"
"張建良"	"23109 員林市大同巷280號之4"
"陳建良"	"304 南投中山巷269號6樓"
"李睿恩"	"922 中和縣明德巷942號1樓"
"詹秀美"	"56159 三重中央路959號之3"
"劉俊明"	"65576 平鎮育英巷7號9樓"
"陳家銘"	"31714 馬公中興街2段159號之7"
"范靜怡"	"540 橫山縣三民路771號之1"
"鄭雅婷"	"18199 板橋平和路451號0樓"
"黃玉玲"	"60415 阿里山奇岩街7號之5"
"林宗霖"	"599 台東永和巷96號7樓"
"葉俊良"	"94239 臺東中興路9段15號之9"
"陳文彬"	"388 梅山市小碧潭路804號之2"
"廖文章"	"12415 白沙新生巷2號之4"
"徐美雲"	"27770 阿里山新店路4號之7"
"姜俊宏"	"136 花蓮市大橋頭街23號之9"
"陳文彬"	"24792 大里育英路774號之5"
"魏嘉宏"	"930 蘆洲縣勝利巷889號6樓"
"任淑華"	"384 太平市五福巷2段81號之3"
"黃玉美"	"825 關山縣文化路68號4樓"
"田宗憲"	"67368 嘉義市關渡街401號4樓"
"郭正雄"	"299 彰化象山巷419號之2"
"李世明"	"45246 花蓮市文昌街8號5樓"
"陳志強"	"562 連江古亭路9號之0"
"陳苡安"	"83587 蘆洲萬隆路5號之8"
"周柏宇"	"52148 桃園新生街9號之0"
"盧玉蘭"	"551 屏東市中華路6段54號1樓"
"張俊雄"	"54488 澎湖新北投路33號2樓"
"黃淑惠"	"11573 屏東縣平和巷6段4號之0"
"黃玉蘭"	"43695 澎湖市福德路7號之0"
"陳靜宜"	"200 嘉義劍南巷417號5樓"
"周怡婷"	"227 中壢縣淡水街7號之9"
"邱文欽"	"60626 台東市自強路18號之9"
"謝雅雯"	"57264 桃園民享巷3號之9"
"錢惠美"	"655 樹林淡水街512號1樓"
"莊文雄"	"72698 北港縣大坪街68號9樓"
"楊子睿"	"149 台北縣西門街4號之7"
"李麗雲"	"158 永和民族路85號6樓"
"黃正雄"	"194 樹林民權巷7段27號之5"
"黃睿恩"	"68390 新北天母街14號5樓"
"徐承恩"	"84510 台東縣府中巷849號之4"
"謝冠廷"	"92798 豐原縣建國巷8段319號之9"
"蔡文章"	"70994 頭份縣中山路82號之6"
"陳秀鳳"	"248 基隆太平街810號之3"
"史秀玉"	"667 中壢關渡街831號6樓"
"陳秀鳳"	"889 關山縣長春街81號之6"
"陳秀娟"	"243 草屯民權巷896號5樓"
"梁靜怡"	"361 楊梅縣自立街7段74號之6"
"潘淑芬"	"39916 楊梅縣忠孝路1號4樓"
"黃碧霞"	"40869 關山市明德街28號之5"
"謝政宏"	"911 三重民富巷4段46號6樓"
"趙麗雲"	"61643 台南育英街4段3號1樓"
"唐秀娟"	"374 橫山市復興街30號3樓"
"陳玉琴"	"60183 高雄縣動物園巷3號4樓"
"洪志成"	"403 平鎮福安巷149號之7"
"賴秋香"	"54873 臺中福安路1號5樓"
"陳進財"	"20137 馬公蘆洲路7段1號之0"
"江文雄"	"109 鳳山林森路493號之8"
"林淑惠"	"174 宜蘭市建國街4段2號4樓"
"黃秀枝"	"545 新營縣自強街284號1樓"
"楊宗霖"	"991 八德劍潭街566號4樓"
"王秀鳳"	"263 梅山明德街41號4樓"
"吳淑芳"	"907 金門新店巷683號7樓"
"劉慧玲"	"81132 新竹市芝山路42號6樓"
"崔欣怡"	"70506 關山市大仁巷3段36號3樓"
"曾冠宏"	"122 北竿縣莒光路47號6樓"
"周美玲"	"40744 彰化縣大同路44號之9"
"傅宗霖"	"15772 新竹縣大同街66號之1"
"許俊銘"	"537 梅山市新北投街7號2樓"
"黃秀梅"	"29357 汐止光華路3號8樓"
"劉承恩"	"24852 中壢市新興街82號之6"
"陳秀蘭"	"90888 蘆洲中山巷48號之0"
"周宗憲"	"124 卑南縣復興路7段12號之6"
"郭明珠"	"90509 卑南復興街17號之7"
"郭淑華"	"82194 澎湖市民權街481號7樓"
"彭麗珍"	"60137 基隆萬隆街5段619號0樓"
"翁世明"	"96575 板橋市正義路691號之4"
"陳文龍"	"54514 卑南市學府街1號之4"
"譚碧珠"	"73297 永和松山巷2號3樓"
"黃秀珠"	"367 太保縣忠義巷3段937號之4"
"杜淑惠"	"76964 太保縣北投路98號之5"
"余文忠"	"32574 彰化迴龍路7段62號4樓"
"郭建宏"	"861 太保縣和平街622號之7"
"陳月娥"	"295 北竿延平巷21號之4"
"吳怡君"	"415 雲林平和巷91號之5"
"徐素卿"	"764 永康文化街6段2號之3"
"沈明珠"	"56136 台南市西門街602號之8"
"陳淑慧"	"67826 白沙奇岩街8段31號2樓"
"黃正雄"	"38945 中壢新生巷163號之3"
"黃秀琴"	"87447 台東市信義街8號之7"
"洪建良"	"90924 鳳山信義街63號6樓"
"柯美惠"	"96942 新北縣自強路726號3樓"
"張文雄"	"38698 北竿縣劍南路25號之8"
"莊哲瑋"	"184 蘆洲市小碧潭街42號之3"
"張秀琴"	"703 新竹縣關渡巷1段5號3樓"
"徐承恩"	"161 板橋明德路5段41號之3"
"張明宏"	"950 永和市中興路64號之4"
"許聰明"	"161 蘆竹市動物園路360號3樓"
"周秀娟"	"51659 屏東中和街19號7樓"
"黃秀美"	"52555 竹田劍南巷1號之2"
"游淑玲"	"924 桃園市興街4段9號1樓"
"陳宗翰"	"91713 牡丹縣大同巷4段2號9樓"
"洪美麗"	"298 卑南市天母巷6號2樓"
"呂子豪"	"534 草屯芝山路6段78號8樓"
"徐秀美"	"701 橫山市育英巷2號8樓"
"李文欽"	"713 金門市中興街708號之6"
"周彥廷"	"475 台北市古亭路214號9樓"
"鄭威廷"	"822 新北小碧潭路29號5樓"
