"Adriana Almeida","Av Leal, 59
8518-401 Funchal" 
"Rodrigo Campos","Alameda Bárbara Monteiro, 75
9609-214 Miranda do Douro"
"Emanuel Macedo","Praça Lourenço, 4
1206-829 Oliveira de Azeméis"
"Fábio Leal-Matias","Praça de Tavares, 41
8372-072 Leiria"
"Luciana Oliveira","R. do Parque, 6
9252-870 Reguengos de Monsaraz"
"António Rocha","Largo de Henriques, 18
9030-834 Vila Nova de Santo André"
"Caetana Marques","Alameda de Azevedo, 563
7619-768 Vila do Conde"
"Yara do Cruz","Travessa das Escadas do Monte dos Judeus, 71
5110-869 Lagoa"
"Brian Domingues","Av Assunção, 2
7877-628 Torres Novas"
"Júlia Tavares","Alameda de Garcia, 3
2121-694 Paredes"
"Júlia Sousa","Praça da Vitória, 92
5943-403 Seixal"
"Rodrigo Castro","R. de Barbosa, 40
5726-289 Vila Franca de Xira"
"Ângelo Freitas","R. Correia, 29
3113-653 Almeirim"
"Yara Miranda-Domingues","Largo Mota, 167
1547-542 Póvoa de Varzim"
"Daniel Barbosa","R. Dinis Mota, 958
7733-077 Ílhavo"
"Lucas Machado-Loureiro","Praça Gabriel Leite, 52
7155-797 Montemor-o-Novo"
"Erika Leal","R. Juliana Barbosa, 94
5524-897 Vila Nova de Foz Côa"
"André da Assunção","Travessa Rodrigues, 4
2777-684 Caniço"
"Ricardo Ferreira","Rua Simões, 83
6077-871 Trancoso"
"Joana Nascimento","Avenida dos Rouxinóis, 52
1400-561 Viseu"
"Pedro Lourenço-Monteiro","Travessa Manuel Oliveira, 84
6215-331 Oliveira do Hospital"
"Rodrigo Leal","Alameda Fábio Anjos, 29
1278-389 Moura"
"Nicole Domingues","Rua de Guerreiro, 565
9313-791 Seia"
"Carlota do Domingues","Alameda Samuel Freitas, 48
2253-441 Castelo Branco"
"César da Amorim","Praça de Camilo, 61
6431-557 Gondomar"
"Soraia Marques","Avenida Eduarda Pires, 793
3366-895 Porto Santo"
"Soraia Amaral","Avenida de Aquilino Ribeiro, 6
2724-602 São João da Madeira"
"Kelly-Erika Neto","Praça do Conde de Óbidos, 160
9785-187 Guarda"
"Noah Leite","Avenida Carneiro, 96
6661-699 Estremoz"
"Tiago Macedo","Praça de Leal, S/N
3224-464 Maia"
"Nicole Lopes","Travessa Branco, 67
9083-521 Santo Tirso"
"Rodrigo Leite","Avenida Matos, 308
4202-616 Alverca do Ribatejo"
"Marcos Soares","Alameda Campos, 858
9771-663 Vila Nova de Santo André"
"Miguel Esteves","Avenida do Seabra, S/N
8742-453 Praia da Vitória"
"Andreia Almeida","Rua Araújo, 481
1398-281 Lagoa"
"Francisca da Pereira","Rua do Meiral, 66
7618-571 Almada"
"Salomé Baptista","Praça Matias Marques, 366
1448-495 Montemor-o-Novo"
"André Simões","Avenida do Sodré, S/N
8284-468 Alverca do Ribatejo"
"Ricardo Henriques","Avenida do Penalva, 65
1670-107 Santa Maria da Feira"
"Eva-Luciana Anjos","Av Lorena Loureiro, 20
3953-083 Valongo"
"Anita Gonçalves","Travessa da Praia da Galé, 9
2348-248 Oliveira do Hospital"
"Rodrigo Magalhães","Alameda das Conchas, S/N
1933-905 Vizela"
"Kévim Baptista","Av das Andrezas, 875
7834-032 Tarouca"
"Denis Esteves-Figueiredo","Praça de Cruz, 99
6880-352 Ermesinde"
"Júlia Carneiro-Mendes","Largo da Banda de Ramalde, 1
5497-038 São João da Madeira"
"Emma Figueiredo","Alameda Borges, 10
8256-866 Marco de Canaveses"
"Alexandra Domingues","Praça Luísa Magalhães, 23
9638-093 Quarteira"
"Rita Alves","Largo de Rodrigues, 21
4890-630 Caniço"
"Naiara Assunção","Rua Ivan Batista, 35
7228-248 Sabugal"
"António Fernandes","Rua dos Aventureiros, S/N
2497-497 Lisboa"
"Bernardo Pinho","Largo Mota, 51
1869-496 Guimarães"
"Rodrigo Paiva","Largo das Amoreiras, 50
5783-781 Fafe"
"Beatriz Reis","Alameda Morais, S/N
5954-836 Matosinhos"
"Júlia Magalhães","Alameda Lisandro Neto, S/N
9542-078 Esposende"
"Eduarda Lourenço","Travessa Paiva, 2
5129-064 Moura"
"Vicente Figueiredo","R. Íris Jesus, 56
9491-255 Sabugal"
"Bárbara Lopes","Largo da Encarnação, 29
2411-702 Peso da Régua"
"Simão Neves","Alameda Cristiano Pinheiro, S/N
4581-435 Valbom"
"Daniel Araújo-Sousa","Alameda dos Aventureiros, 70
3726-455 Santa Cruz"
"Eduarda de Gomes","Avenida Miranda, 196
8771-370 Santa Maria da Feira"
"Isaac Soares","Largo de Gonçalo Cristóvão, 40
5817-691 Trofa"
"Rodrigo Torres","Av de Castro, 1
3826-574 Freamunde"
"Érica-Violeta Almeida","Travessa dos Oceanos, 705
9065-949 Almeirim"
"Benjamim Paiva","Largo de Freitas, 56
8463-355 Mirandela"
"Ana Correia","Travessa de Vímara Peres, 85
8144-318 Silves"
"Gil da Pereira","Av de Sousa, 2
1293-752 Ermesinde"
"Fabiana Garcia","Rua André Costa, 94
9075-996 Braga"
"Henrique Sá","Praça Renata Rodrigues, 70
4672-151 Portimão"
"Nuno Moura","Avenida de Araújo, 57
9946-408 Agualva-Cacém"
"Andreia Marques","Praça Amorim, 251
7399-335 Fiães"
"Kyara Leal","Praça Luísa Araújo, 74
6359-607 Esmoriz"
"Rodrigo do Barros","R. César Teixeira, 7
3886-861 Entroncamento"
"Amélia Vaz","R. Carlos Valente, S/N
3887-769 Ourém"
"Manuel Machado","Largo de Barros, 6
8273-101 Freamunde"
"Filipe Vieira","Av Xavier Vicente, 52
4052-565 Lixa"
"Iara Almeida","Praça de Neves, 28
2077-957 Olhão"
"Mia Magalhães","Alameda Fernandes, 781
1609-156 Valbom"
"Amélia Gaspar","R. de Alves, 9
7476-046 Lagoa"
"Gaspar Domingues","Largo de Ramos, 29
7111-177 Seixal"
"Tiago Guerreiro","Rua do Bonjardim, 45
7766-574 Montemor-o-Novo"
"Joel Andrade","Praça do Levante, 5
7780-181 Póvoa de Varzim"
"Rui Baptista","Alameda de Faria, 271
3378-112 Tarouca"
"Martim Valente","Praça Maria Andrade, 469
6559-204 Sacavém"
"Jaime de Moura","Travessa de Estêvão Vasconcelos, 21
1510-845 Vila Nova de Famalicão"
"Nádia Correia","Alameda de Eduardo Soares, 8
2997-363 Setúbal"
"Teresa Nascimento-Vieira","Alameda de Lourenço, 31
3135-982 Cantanhede"
"Duarte Almeida","R. Sá, 26
1718-526 Elvas"
"Bruno Soares","Largo Barros, 28
1295-203 Alverca do Ribatejo"
"Diogo Fonseca","Alameda Castro, 71
9008-641 Sintra"
"Vera Brito","Av Álvaro Barros, S/N
3419-659 Mangualde"
"Ismael Loureiro","Rua Renato Garcia, 968
3759-156 Vila Nova de Foz Côa"
"Rui Baptista","Travessa Vera Lopes, 81
1703-679 Seia"
"Carminho Tavares","Rua Joel Pires, 880
5390-111 Estremoz"
"Carminho Freitas","Avenida de Domingues, 79
7723-556 Sacavém"
"Francisca Araújo","Largo de Figueiredo, 20
6780-643 Rio Tinto"
"Bárbara Anjos-Alves","Travessa de Maia, 476
6856-059 Covilhã"
"Nuno Azevedo","Alameda de Assunção, 20
8520-771 Bragança"
"Gil Faria-Barbosa","Alameda da Ranha, 652
4105-534 Loures"
"Ângelo Cruz","Alameda de Neto, 44
1812-830 Câmara de Lobos"
"Sebastião de Nascimento","Alameda de Monteiro, 709
2805-295 Ílhavo"
"Tatiana Lima-Leite","Avenida Sá, 90
6670-697 Fafe"
"Rui Ferreira","Av Kévim Matias, 242
1842-143 Macedo de Cavaleiros"
"Lara Magalhães","Largo Marta Rocha, 36
5300-330 Gafanha da Nazaré"
"Erica Batista","Praça de Almeida, 76
2954-737 Horta"
"Flor do Jesus","Praça das Gaivotas ao Parque das Nações, 76
3753-786 Almada"
"Nelson Santos","Travessa Simões, 61
6592-582 Fafe"
"Mia-Irina Anjos","Rua Cunha, 98
5746-212 Angra do Heroísmo"
"Luís Miranda","Largo Emma Sá, 191
9209-538 Angra do Heroísmo"
"Luís Matias","Praça da Feiteira, 6
7995-350 Maia"
"Rui Silva","Praça de Matias, 47
7513-046 Horta"
"Vicente Paiva","Av Marcos Rocha, 93
7623-177 São João da Madeira"
"Rui Nogueira","R. do Forno Velho, 42
6705-264 Mealhada"
"Micael Gonçalves","Rua Valente, 3
7226-553 Estarreja"
"Andreia Melo","Avenida Pinheiro, 11
7020-848 Trancoso"
"Clara Pinho","Largo Ribeiro, 80
8393-128 Peniche"
"Kevin Cardoso","Travessa de Loureiro, 23
9282-899 Braga"
"Diana Batista","Travessa Tomé Maia, 37
9496-864 Olhão"
"Naiara Pinheiro","Praça de Abreu, S/N
7716-198 Serpa"
"Henrique da Morais","Largo de Guerreiro, 482
1248-964 Barreiro"
"Mara Freitas","Rua Lopes, S/N
4454-115 Anadia"
"Lara Martins","Alameda Cunha, 572
7930-641 Torres Novas"
"Rui Teixeira","Praça Matias, 634
1629-665 Leiria"
"Dinis Sousa","Praça de Antunes, 43
4685-270 Chaves"
"Amélia-Daniela Branco","R. de Esteves, 245
3031-910 Leiria"
"Fernando Mota","Travessa de Marques, 578
6254-865 Ponte de Sor"
"Isabel da Morais","R. Vicente, 85
8447-985 Coimbra"
"Petra Faria","Avenida Teixeira, 49
9684-581 Guimarães"
"Tiago Almeida","Praça de Torres, 89
1841-972 Entroncamento"
"Adriana Pinheiro","Travessa de Cruz, S/N
1985-606 Freamunde"
"Kyara de Oliveira","R. de Assunção, S/N
7243-245 Pombal"
"Luciana Lopes-Gonçalves","Travessa Soraia Silva, 724
1162-724 Sacavém"
"Rui Valente","Alameda Noa Melo, 793
2233-720 Vila Nova de Famalicão"
"Francisca Amaral","Alameda de Leite, 8
5882-618 Cartaxo"
"César Esteves","Avenida Gaspar, S/N
8176-733 Almada"
"Samuel Machado","Alameda Manuel Soares, 1
7775-400 Setúbal"
"Margarida Cunha","Praça Inês Vicente, 575
8317-342 Amarante"
"Raquel Carneiro-Macedo","Avenida Gomes, 2
2562-072 Fátima"
"Cristiano de Esteves","Alameda do Pinheiro, 35
1373-403 Amora"
"Samuel Domingues","Rua das Torres do Restelo, 2
1829-527 Peniche"
"Letícia Reis","R. de Pacheco, 6
5733-146 Vila Nova de Santo André"
"Rafael Gomes-Barbosa","Praça Santos, 9
3476-491 Fátima"
"Rui Valente-Cruz","Travessa de Moreira, 76
8496-619 Montemor-o-Novo"
"Constança Barbosa","Alameda Bárbara Figueiredo, 243
6206-567 Anadia"
"Bárbara Fonseca","R. da Lingueta, 5
6138-116 Seia"
"Joel de Carneiro","Alameda de Loureiro, 16
7197-933 Macedo de Cavaleiros"
"Victória Pinto","Av de Araújo, 6
2514-498 Paços de Ferreira"
"Mauro Cunha","Praça Renato Vicente, 53
8425-436 Mirandela"
"Soraia do Sousa","Alameda de Garcia, 31
4708-292 Tondela"
"Lorena Sá","Travessa Andrade, 38
8043-961 Vila Nova de Famalicão"
"Emília Lopes","Rua dos Mastros, 302
4406-949 Covilhã"
"Rodrigo Machado","R. Luna Amorim, 65
6740-701 Évora"
"Rui Vieira","Largo de Fernandes, 8
5255-908 Angra do Heroísmo"
"Nelson Nunes","R. Antunes, 435
2800-706 Tavira"
"Íris Jesus","Travessa Paiva, 39
7905-169 Figueira da Foz"
"Íris Lopes","R. Raquel Fonseca, S/N
3604-553 Amarante"
"Vera-Nádia Gonçalves","Largo Patrícia Coelho, S/N
9259-610 Costa da Caparica"
"Diana Castro-Campos","Rua Dinis Moura, 7
4736-746 Trancoso"
"Bruno Araújo","Praça de Caselas, 7
4457-533 Vila Nova de Famalicão"
"Filipa Correia","Av Nádia Mota, 53
1889-310 Loures"
"Luana da Macedo","Travessa Reis, 97
5131-343 Barreiro"
"Gaspar Soares","Av de Vímara Peres, 83
8830-993 Santa Maria da Feira"
"Rui de Baptista","R. de Alves, 584
8845-362 Agualva-Cacém"
"Daniel Maia","Largo de Marques de Oliveira, 94
2268-739 Vila Nova de Gaia"
"Constança da Cunha","Travessa de Loureiro, 393
8974-801 Alverca do Ribatejo"
"Salvador Branco","Alameda Matias, S/N
6875-799 Braga"
"Xavier Mota-Campos","Praça Artur Pinho, S/N
2089-161 São Mamede de Infesta"
"Clara Oliveira","Avenida Borges, 508
7613-005 Vila Nova de Gaia"
"Salvador Barbosa","Av de Gaspar, 9
7149-076 Fundão"
"Eva Morais","Avenida Sandro Vicente, 3
8738-549 Odivelas"
"Manuel Maia","Rua Batista, 63
1005-745 São Salvador de Lordelo"
"Luna Borges","Largo de Matos, 1
9633-225 Montemor-o-Novo"
"Rui de Ribeiro","Largo Alexandre Fernandes, 31
8689-493 Oliveira do Bairro"
"Alexandre Vaz","Av Gabriela Henriques, 77
8056-466 Miranda do Douro"
"José Freitas","Alameda Lara Barros, 63
4506-975 Rio Tinto"
"Mafalda Neto","Alameda de Sousa, 43
9807-806 Rio Tinto"
"Nelson Esteves","Largo da Agra do Amial, 10
6340-751 Ponte de Sor"
"Leandro Fonseca","Rua Alves, 9
6077-913 Estremoz"
"Igor Coelho","Largo Núria Vaz, 3
3288-041 Rebordosa"
"Henrique Sá","Largo Joana Pereira, 794
9906-353 Pinhel"
"Cláudio Jesus","Rua de Simões, 5
1940-659 Amadora"
"Vicente Assunção","Largo de Ferreira, 79
4874-280 Sacavém"
"Rúben Abreu","Largo Andreia Borges, 82
6536-464 Fiães"
"Jaime Barbosa","Travessa de Soares, S/N
4503-535 Odivelas"
"Salomé Matias","Praça de Macedo, 3
3515-491 Elvas"
"Bryan do Baptista","Alameda Íris Maia, 2
7016-621 Praia da Vitória"
"Violeta Soares","Praça do Levante, 5
6262-889 Ermesinde"
"António Coelho-Pires","R. de Teixeira, S/N
4544-675 Tondela"
"Lisandro Gaspar","Travessa de Santo Estêvão, 94
4981-724 Vizela"
"Lia Fernandes","Avenida Pacheco, 81
7216-916 Almada"
"Inês Soares","Praça do Rego Lameiro, 29
5210-323 Vila do Conde"
"Francisco Cardoso","Avenida Amélia Borges, 5
6746-678 Serpa"
"Rúben Almeida","Travessa Débora Guerreiro, 29
8295-194 São Salvador de Lordelo"
"Brian Carvalho","Rua Cruz, 3
5400-305 Vila Nova de Santo André"
"Bruno Garcia","R. da Fonte de Cima, 89
9856-876 Cartaxo"
"Emma Simões","Avenida Bruno Marques, 84
4034-118 Ponta Delgada"
"Paulo Andrade","Rua do Meiral, 12
6027-206 Trancoso"
"Isabela da Neves","Rua Sousa, S/N
6360-656 Gandra"
"Lúcia Leite","Avenida Ema Barros, 563
8247-525 Viseu"
"Henrique Figueiredo","Travessa Sandro Moreira, 26
7779-719 Estremoz"
"Vasco Antunes","R. Visconde de Alvalade, 524
5035-110 Esmoriz"
"Isabela Santos","Av de Nascimento, 13
8408-509 Freamunde"
"Rúben Amaral","Largo do José da Mestra, 20
1594-963 Santarém"
"Luís do Cruz","Praça de Nascimento, 7
9854-905 Caniço"
"Vicente Tavares","Alameda Lopes, 914
6455-325 Rebordosa"
"Diego Coelho","Travessa Flor Anjos, 511
7083-289 Almeirim"
"Mário de Rocha","R. de Morais, S/N
6982-732 Estremoz"
"Madalena Almeida","Travessa Pinheiro, 91
8989-943 Câmara de Lobos"
"Alícia Amorim","Rua José Marques, 9
4511-288 Gandra"
"Cristiano Fonseca","Av Júlia Alves, 2
8866-097 Maia"
"Alexandra Garcia-Loureiro","Avenida Mariana Matos, 3
3416-552 Aveiro"
"Joel Nogueira","Praça de Cláudio Carneiro, 46
4722-271 Alverca do Ribatejo"
"Rúben Anjos","Avenida de Públia Hortênsia, 32
9788-110 Santarém"
"Pedro Abreu","Avenida António Melo, 61
4620-265 Oliveira do Bairro"
"David Matos","Rua Mahatma Gandhi, 88
4776-761 Évora"
"Vítor Andrade","Largo Gaspar, 483
3665-599 Abrantes"
"Laura Pinheiro","Rua Almeida, 9
8396-065 Maia"
"Mafalda da Moreira","Avenida Abreu, 17
4031-095 Alcobaça"
"Sandro do Moura","Travessa Paris (Nascente), 46
4405-867 Castelo Branco"
"Nicole Esteves","Travessa do Campo Alegre, 49
6437-560 Vila do Conde"
"Anita Morais","Alameda Carminho Brito, 89
1104-332 Sacavém"
"Manuel Torres-Abreu","Rua Pinto, 60
5899-948 Cartaxo"
"Rúben Campos","Praça de Vinte e Quatro de Agosto, 195
7678-181 Bragança"
"Marta Jesus","Rua das Conchas, 58
8849-339 Santarém"
"Diogo Batista","Alameda de Santo Eugénio, 837
4302-737 Vila Real"
"Adriana Teixeira","Praça Núria Baptista, S/N
7208-966 Pinhel"
"Patrícia Abreu","R. Araújo, 493
5142-526 Lagos"
"Ivan Cruz","Largo Soares, 61
6329-696 Olhão"
"Tomé Faria","R. João Jayme Faria Affonso, 645
6609-907 Valbom"
"Yara Borges","Largo de Carvalho, 957
1902-316 Almada"
"Vitória Carneiro","Travessa de Simões, 93
9912-991 Vila Real de Santo António"
"Flor-Sofia Morais","Alameda de Pacheco, S/N
4993-419 Rio Tinto"
"Rúben Domingues","Rua de Leite, 57
3295-430 Vendas Novas"
"Alexandre Lima","R. de Antunes, 724
3622-857 Paredes"
"William Carvalho","Alameda Carneiro, 4
3238-913 Alcácer do Sal"
"Ângela-Bianca Leite","R. Pinheiro, S/N
6123-803 Lagoa"
"Carlota da Cruz","Avenida do Bom Sucesso, 440
9293-636 Ourém"
"Cristiano Morais","Rua Alexandre Gonçalves, 62
1634-029 Trancoso"
"Miguel Castro","Av de Assunção, 57
4296-685 Alverca do Ribatejo"
"Luca da Assunção","Alameda das Sereias, 84
5141-682 Pombal"
"Flor Vieira","Praça Ângela Melo, 266
2942-205 Ílhavo"
"Tiago Sousa","Praça Ribeiro, 7
3827-643 Santa Cruz"
"Rúben Fernandes","Rua Andrade, 633
4227-239 Oliveira do Hospital"
"Francisca Brito","Praça Mélanie Henriques, 42
9589-455 Tondela"
"Brian Cardoso","Travessa Fernando Magalhães, S/N
3562-334 Pinhel"
"Vitória Machado","Alameda Júlio Verne, S/N
2263-583 Portimão"
"Rafaela Branco-Lourenço","Praça Iara Leal, 10
4906-935 Amadora"
"Nicole Monteiro","Avenida de Reis, 9
4908-334 Barcelos"
"Ivo Marques","Praça Teresa Costa, S/N
7617-863 Vila Nova de Santo André"
"Bruna Gomes","Alameda Mateus Castro, 79
5077-343 Ponte de Sor"
"Madalena Faria","R. Teófilo Ferreira, 35
8821-350 Cartaxo"
"Isaac Assunção","Travessa Ana Carneiro, 8
9089-230 Esmoriz"
"Rúben Henriques-Fonseca","Travessa da Circunvalação, 474
7879-543 Ourém"
"Valentina Lourenço","Rua Ângelo Garcia, S/N
1434-898 Costa da Caparica"
"Wilson Alves","Avenida de Pinto, 83
3838-418 Peso da Régua"
"Renato de Gomes","Largo Iara Ramos, 8
3289-409 Barreiro"
"Luís Vicente","Alameda de Cunha, 4
1010-180 São Mamede de Infesta"
"Benjamim Gonçalves","Av Oliveira, 63
4304-086 Lagoa"
"Ema-Ariana Cruz","Alameda Constança Baptista, 39
4896-166 Valbom"
"Eduarda Faria-Torres","Avenida Torres, 53
8638-596 Lourosa"
"Bianca Almeida","Rua do Meiral, S/N
4771-937 Macedo de Cavaleiros"
"Luciana Lima","R. de Leite, S/N
4147-226 Montijo"
"Rúben Leal","Largo de Paiva, 36
4901-602 Figueira da Foz"
"Clara Lopes-Tavares","Praça Madalena Rodrigues, S/N
6127-549 Tarouca"
"Diana Lima","Praça Araújo, 96
7432-685 Vila Nova de Gaia"
"Simão Moura-Silva","Av Nuno Cardoso, 50
9210-709 Caniço"
"Leandro Abreu","Rua Prof. Francisco Caldeira Cabral, 32
7734-673 Anadia"
"Mariana-Miriam Vicente","Avenida de Borges, 39
3079-025 Miranda do Douro"
"Isaac Gaspar","Praça Wilson Morais, 5
1727-437 Loulé"
"Ivo Machado","Alameda da Expo 98, 57
4570-945 Ponta Delgada"
"Emma Vicente","Rua João Monteiro, 304
9994-587 Espinho"
"João Matias","Alameda Gaspar Monteiro, 7
5599-482 Montijo"
"Rúben Pires","Largo de Marques de Oliveira, 50
4002-134 Santo Tirso"
"Marcos Pinho","Travessa Nascimento, S/N
9072-779 Tomar"
"Erika Melo","Largo do Preto, S/N
6645-411 Ponte de Sor"
"Lara Batista","Avenida Moreira, S/N
9173-980 Paredes"
"Márcio Rodrigues-Domingues","Praça de Sousa, 2
4565-416 Lourosa"
"Frederico do Borges","R. da Praia da Galé, 80
2504-060 Paredes"
"Marta de Mendes","Av de Antero de Figueiredo, S/N
9776-274 Macedo de Cavaleiros"
"Matilde Neves","Alameda da Quinta de São João Baptista, 30
8374-542 Tomar"
"David do Sousa","R. Rita Neves, 52
6344-880 Oliveira do Hospital"
"Alexandra Lourenço-Batista","Alameda Filipe Baptista, 610
3104-752 Seixal"
"Rúben de Amaral","Avenida Ferreira, 13
7321-625 Ermesinde"
"Renato Costa","Travessa Freitas, 258
9370-482 Estarreja"
"Vasco Fernandes","Praça de Moura, S/N
7774-397 Mêda"
"Bernardo Fonseca","Alameda das Garças, 489
4847-514 Castelo Branco"
"Inês Pinheiro-Nunes","Avenida das Canas, 77
3061-456 Quarteira"
"Daniela Soares","Avenida de Pires, 57
6591-746 Funchal"
"Fernando Correia","Avenida do Sapal, 83
6305-395 Oliveira do Bairro"
"Benjamim Batista","Av Lara Pinho, 49
4752-675 Angra do Heroísmo"
"Marta Batista","Travessa Rúben Gaspar, 24
2862-408 Sintra"
"Camila Pinheiro","Rua das Bolas, 90
7216-870 Amora"
"Rúben de Torres","R. Branco, 847
4809-615 Loulé"
"Gustavo Machado-Valente","Rua Pinho, 37
4137-685 Caldas da Rainha"
"Samuel Cardoso-Branco","Rua da Fonte de Cima, 29
3473-662 Santiago do Cacém"
"Adriana Esteves","Av Monteiro, 4
5896-759 Tarouca"
"Mafalda da Almeida","Rua Edgar Cardoso, 48
9695-161 Montemor-o-Novo"
"Vicente Carvalho","Avenida de Carreiras, 54
3028-503 Paredes"
"Vera Pacheco","Avenida de Rodrigues, S/N
9329-777 Guarda"
"Carolina-Valentina Paiva","Avenida Igor Barros, S/N
5552-153 Câmara de Lobos"
"José Lima","Largo da Expo 98, 10
7148-188 Macedo de Cavaleiros"
"Lucas Sá","R. Pereira, 918
2785-926 Anadia"
"Salomé Araújo","Praça Lisandro Cunha, 767
9029-593 Ermesinde"
"Eduardo Abreu","Avenida Gonçalo Fonseca, S/N
5205-158 Amarante"
"Bruna Almeida","R. Irina Oliveira, S/N
3287-957 Oliveira de Azeméis"
"Sofia Ribeiro","Alameda Cristiano Barros, 39
6257-158 Mealhada"
"Anita Assunção","Largo Mafalda Macedo, 9
9758-278 Alcácer do Sal"
"Madalena Azevedo","Travessa Jorge Amaral, 94
5628-360 Faro"
"Luca Cardoso-Torres","Travessa Morais, 353
7754-841 Santo Tirso"
"Leonardo Mendes","Av Vitória Valente, 26
9299-654 Portimão"
"João Faria","Alameda Fernandes, 114
5135-383 Vila Nova de Famalicão"
"Helena Torres","Avenida de Gonçalves, 22
2678-891 Ourém"
"Salomé Brito","R. Sophia de Mello Breyner Andresen, 11
8989-065 Quarteira"
"Edgar do Carneiro","Rua Amorim, 1
8104-592 Marinha Grande"
"Gonçalo Almeida-Campos","R. Silva, S/N
9733-038 Penafiel"
"Helena Leite","Alameda Rúben Anjos, 790
5573-773 Aveiro"
"Lorena Simões","Travessa Manuel Ricardo Espírito Santo, 6
4456-600 Ermesinde"
"Ismael Melo","Travessa Ariana Anjos, 4
8280-094 Barreiro"
"Gil Pinto","Rua Henriques, 94
2017-611 Rio Maior"
"Jaime da Garcia","Largo Valentina Silva, 1
9610-047 Macedo de Cavaleiros"
"Daniela Mota","Avenida Rita Faria, 53
8017-330 Beja"
"Sebastião Pacheco","R. Luís Maia, 68
6781-364 Macedo de Cavaleiros"
"Salomé Faria","Largo Andreia Faria, 9
8282-410 Vendas Novas"
"Lourenço Pinheiro","Av Neto, 24
1883-982 Ponta Delgada"
"Tomé Assunção-Garcia","Largo Amaral, 235
4674-106 Cartaxo"
"Clara Gaspar","Travessa do Marechal Gomes da Costa, 906
1280-943 Santo Tirso"
"Valentim Sousa-Matos","Praça Rafael Valente, 25
4177-268 Mealhada"
"Alexandra Soares","R. Vieira, 63
6999-313 Mealhada"
"Francisco Nunes","Rua Silva, 71
5609-979 Lagos"
"Rúben Borges","Praça de Esteves, 34
5994-979 Rebordosa"
"Carlota Matias","Avenida dos Combatentes da Grande Guerra, 33
6826-166 Vila Nova de Gaia"
"Cláudio Barbosa-Barbosa","Rua Sebastião Rodrigues, 15
6923-542 São Salvador de Lordelo"
"Salomé Ferreira","Rua David Almeida, 38
5277-234 Beja"
"Gaspar Morais","Av de Lourenço, 3
6762-802 Mealhada"
"Amélia do Costa","Travessa Antunes, 65
4981-823 Sines"
"Noah Azevedo","R. Costa, 472
9794-364 Almeirim"
"Erika-Marta Cruz","Alameda de Santana, S/N
5391-739 Marinha Grande"
"Amélia Leite","Travessa Naiara Reis, S/N
4781-964 Praia da Vitória"
"Alexandre Abreu","Alameda de Barbosa, 2
2108-977 Torres Vedras"
"Rúben Pires-Mota","Travessa Neves, 8
9818-650 Abrantes"
"Eva-Patrícia Morais","Rua Ema Coelho, 210
3785-736 Miranda do Douro"
"Inês Ferreira","Travessa Rodrigo Pires, 17
9911-210 Anadia"
"Salomé Freitas-Moreira","Travessa da Encarnação, 9
8822-008 Santa Comba Dão"
"Ângelo do Jesus","Av da Raposa, 95
9952-324 Angra do Heroísmo"
"Lisandro Maia-Tavares","Av Edgar Moreira, 75
9043-681 Viseu"
"Violeta de Coelho","Alameda Alfredo Keil, 72
4780-179 Odivelas"
"Joana-Valentina Sá","Praça Luciana Barros, 887
7898-619 Estarreja"
"Eva Garcia","Rua Petra Fonseca, 3
6782-523 Macedo de Cavaleiros"
"Marta Rodrigues","Praça da Companhia, 33
3235-977 Elvas"
"Daniela-Matilde Araújo","R. Maestro Ivo Cruz, 12
1225-868 Santa Comba Dão"
"Xavier Soares","Travessa Araújo, 31
4369-892 Paços de Ferreira"
"Rodrigo Campos","Praça Helena Esteves, 443
6864-997 Póvoa de Santa Iria"
"Salomé Guerreiro","Alameda Miranda, 53
4184-846 Oliveira do Bairro"
"Naiara Fonseca","Avenida de Ribeiro, 921
3055-961 Pombal"
"Edgar Amorim","Avenida de Figueiredo, 12
9908-049 Póvoa de Santa Iria"
"Emília Barbosa","Av Leonor Barros, 5
5351-438 Odivelas"
"Manuel Sousa","Largo Lourenço Neto, 16
3856-031 Gouveia"
"Alícia Pinheiro","Av Brito, 607
7803-934 Santarém"
"Victória Assunção","Praça Coronel Vítor Alves, S/N
4941-888 Mealhada"
"Jéssica Cruz","Av Fonseca, 9
2488-833 Lagos"
"Edgar Silva","R. Lima, S/N
5456-504 Santa Cruz"
"Madalena Ramos","Largo de Macedo, S/N
1535-809 Caldas da Rainha"
"Salomé Magalhães","Av Dom Afonso Henriques, 82
9757-196 Lisboa"
"Naiara Mota","Rua de Matias, 75
3837-818 Pinhel"
"Nuno Gomes","Largo de Francos, 28
6793-460 Fafe"
"Cláudio Assunção","Alameda Eduardo VII de Inglaterra, 2
5890-667 Paredes"
"Carlota Matias","Praça Martins, 18
4872-594 Ílhavo"
"Filipa Martins","Avenida de Amorim, 421
8745-373 Seia"
"Leandro Rodrigues","Av Ema Tavares, 2
1283-137 Ermesinde"
"Renato Freitas","Av Santos, S/N
4537-057 Valpaços"
"Núria Abreu-Amaral","Rua Mia Barbosa, 15
4913-846 Cantanhede"
"Marcos Carneiro-Castro","Alameda Daniel Moura, S/N
5513-673 Gandra"
"Salomé Matias","Largo Sabugosa, 23
3607-304 Trofa"
"Luciana Gonçalves","R. de Nascimento, 46
4651-465 Viseu"
"Luciana Carvalho","Alameda de Neto, 592
1134-992 Ponta Delgada"
