"Adam Bezák"	"Chorvátska 35
033 81 Oľšinkov" 
"Kornélia Halušková"	"Šuty 2
999 34 Kučín"
"Božidara Malinová"	"Podhorská 254
943 96 Ťapešovo"
"Ľubica Ondruseková"	"Nový záhon 1
926 18 Hradište pod Vrátnom"
"Zlatko Janča"	"Bujnáková 3
009 68 Oreské"
"Silvia Dudková"	"Družobná 867
872 12 Kolbasov"
"Severín Janošo"	"Železná 683
005 88 Važec"
"Filip Zachara"	"Krajná 51
801 51 Uhrovec"
"Andrej Dančák"	"Ulica 29. augusta 59
001 79 Mlynárovce"
"Roland Samel"	"Na pasekách 12
857 71 Jahodná"
"Andrej Kuna"	"Linzbothova 28
020 76 Štvrtok"
"Fedor Martinec"	"Lenardova 424
956 78 Jánovce"
"Blanka Strnisková"	"Mlynská dolina 143
990 96 Koniarovce"
"Ľubica Svrbíková"	"Sochorova 60
035 19 Tomášikovo"
"Ing. Bianka Zigová"	"Konopná 516
865 00 Trenčianska Teplá"
"Fedor Zubek"	"Vývojová 4
941 87 Rudno nad Hronom"
"Marína Kurucová"	"Ihrisková 532
963 76 Čabiny"
"Irma Holičová"	"Nová 9
988 48 Lovce"
"Ivona Grznárová"	"Baltská 70
017 06 Pribylina"
"Bohuslava Madarová"	"Hýrošova 4
057 32 Hlboké"
"Viktória Melicharová"	"Domové role 11
967 53 Brhlovce"
"Gabriela Šimeková"	"Šancová 4
974 91 Dolný Pial"
"Margaréta Letová"	"Modrý chodník 728
003 06 Sokolovce"
"Ľubomír Bahna"	"Dopravná 8
879 50 Dechtice"
"Belo Kouba"	"Bajkalská 1
902 78 Banská Belá"
"Lukáš Maslo"	"Beňovského 728
831 70 Ipeľské Úľany"
"Olívia Juríková"	"Vrakunská 6
046 34 Libichava"
"Benedikt Čapka"	"Veternicová 39
851 92 Kozárovce"
"Oliver Juráš"	"Malé pálenisko 90
894 29 Tornaľa"
"Milica Hanáková"	"Trojičné námestie 8
804 12 Rovinka"
"Oto Kozák"	"Viedenská cesta 361
871 92 Horné Orešany"
"Klára Rosová"	"Meteorová 4
857 53 Miklušovce"
"Zoltán Hušek"	"Somolického 4
099 56 Kyjov"
"Ľubomír Gavenda"	"Dvojkrížna 10
058 64 Uzovská Panica"
"Emília Šurková"	"Pod lipami 7
845 00 Ratkovce"
"Eleonóra Bôriková"	"Kominárska 820
047 18 Pusté Sady"
"Sláva Finková"	"Brnianska 1
071 78 Osadné"
"Florián Haluška"	"Stratená 6
948 77 Vyšné Ladičkovce"
"Ingrida Tomečeková"	"Pod Vachmajstrom 275
096 09 Sása"
"Ctibor Michálech"	"Na Kalvárii 3
803 90 Jesenské"
"Patrik Melichár"	"Mokráň záhon 77
836 02 Vrícko"
"Bronislava Melichárová"	"Kolárska 92
021 76 Bytča"
"Marcela Krajíčeková"	"Malá 46
900 62 Drienovská Nová Ves"
"Ľubomír Marta"	"Nejedlého 79
985 71 Lužianky"
"Libuša Halušková"	"Klincová 7
980 61 Vyšná Boca"
"Júlia Zubríková"	"Seberíniho 4
001 42 Dubovany"
"Imrich Pavelek"	"Buková 3
034 78 Sejkov"
"Bohuslava Dusíková"	"Pod Bôrikom 7
824 07 Kociha"
"Radomír Kouba"	"Pluhová 4
906 56 Nová Dedinka"
"Tadeáš Húška"	"Pavla Blaha 627
886 20 Vyšná Myšľa"
"Miloš Kocur"	"Ílová 804
910 87 Hubina"
"PhDr. Leopold Kropilák Th.D."	"Stoklasová 79
003 85 Prietržka"
"Oliver Gocník"	"Bezekova 84
926 74 Torysa"
"Ľubomír Plešivec"	"Haydnova 51
967 64 Radoma"
"Milada Jonatová"	"Staré záhrady 89
040 55 Ižipovce"
"Frederik Dán"	"Trojičné námestie 5
080 94 Stránska"
"Dezider Šoltýs"	"Nobelova 706
051 36 Zákopčie"
"Aiko Hanzelová"	"Hanulova 548
955 18 Liptovská Lúžna"
"Antónia Veterníková"	"Björnsonova 7
066 53 Jasová"
"Benjamín Galík"	"Sliačska 7
929 37 Jedlinka"
"Dezider Achberger"	"Kazanská 899
034 88 Vinosady"
"Móric Jonata"	"Laborecká 209
824 32 Hostice"
"Prokop Kello"	"Račianska 22
036 62 Majcichov"
"Ľubomír Sekera"	"Tramínová 8
098 57 Malé Leváre"
"Silvester Andráš"	"Hurbanovo námestie 3
821 89 Pongrácovce"
"Nina Orlíková"	"Jankolova 84
050 14 Kostolné Kračany"
"Zlatko Rybárik"	"Somolického 20
819 59 Kalná nad Hronom"
"Tatiana Havranková"	"Moskovská 41
825 73 Lazisko"
"Marianna Haneková"	"Boženy Němcovej 7
845 57 Osikov"
"Enna Kuffová"	"Úprkova 999
971 85 Gočaltovo"
"Viliam Mak"	"Rustaveliho 1
099 26 Oľšavica"
"Etela Romančíková"	"Sabinovská 12
862 49 Jurkova Voľa"
"Klaudia Paulíková"	"Hagarova 45
851 14 Vrbovce"
"Ľubomíra Cibuľková"	"Banícka 7
984 12 Trstice"
"Luna Rybníčeková"	"Heyrovského 893
809 88 Ostrý Grúň"
"Marika Mácková"	"Rostovská 775
068 12 Mlynčeky"
"Bohuš Markovič"	"Lopenícka 86
885 10 Mrázovce"
"Bronislava Vicenová"	"Dargovská 27
827 57 Bodza"
"Eulália Kubová"	"Bajkalská 5
856 65 Potvorice"
"Vratko Fogaš"	"Múzejná 84
889 10 Ladmovce"
"Miroslava Melicherová DiS."	"Šafránová 744
824 97 Repište"
"Gabriel Tomaň"	"Rovníková 85
912 90 Hontianske Nemce"
"Radomír Murin"	"Majakovského 82
007 90 Malé Ludince"
"Ľubomíra Durdíková"	"Husova 56
803 67 Veľký Slavkov"
"Jaroslava Šlivková"	"Hnilecká 43
998 09 Porostov"
"Ludolf Sýkora"	"Strečnianska 8
840 48 Mlynárovce"
"Bohuslava Martová"	"Anenská 866
001 60 Studienka"
"Anabela Kubičková"	"Výtvarná 93
877 29 Vozokany"
"Áron Dudo"	"Povraznícka 16
841 87 Kristy"
"Oľga Kuffová"	"Stachanovská 9
091 94 Brezovica"
"Tomáš Mlynárik"	"Nad ostrovom 3
067 76 Modra nad Cirochou"
"Alana Janečková"	"Kolískova 6
823 61 Oravce"
"Dobroslava Mrázková"	"Jelenia 85
951 17 Mužla"
"Ľubomíra Lacková Ph.D."	"Langsfeldova 5
941 33 Drienovská Nová Ves"
"Eugénia Pallová"	"Skalná 89
082 68 Horné Štitáre"
"Bartolomej Achberger"	"Ďatelinová 20
020 28 Radoma"
"Alojzia Krížiková"	"Trebišovská 649
864 71 Podhorany"
"Vieroslava Janečeková"	"Mlynské nivy 74
013 41 Pavlovce nad Uhom"
"Tobiáš Jurko"	"Družicová 82
931 77 Kladzany"
"Branislava Mihaliková"	"Francúzskych partizá 89
967 03 Temeš"
"Irena Fašiangová"	"Dohnalova 7
046 59 Pernek"
"Adrián Thomka"	"Puškinova 721
098 40 Skalka nad Váhom"
"Vojtech Capko"	"Pri starom letisku 95
920 41 Trstená"
"Ľubomíra Nováková"	"Vígľašská 3
051 45 Šurany"
"Klaudia Matiašková"	"Muránska 41
883 88 Hažlín"
"Danica Kusková"	"Hradská 314
079 48 Beluša"
"Božena Hrianková"	"Tylova 93
098 62 Hrabovec"
"Denis Hanzel"	"Kútska 385
948 36 Sekule"
"Tatiana Puklušová"	"Blatúchová 448
065 44 Ľubotín"
"Ela Vlnková"	"Pyrenejská 1
837 26 Zázrivá"
"Félix Rišo DiS."	"Na rozhliadke 315
877 72 Ľubietová"
"Žigmund Mihalik"	"Prímoravská 1
953 78 Kraskovo"
"Dominik Lipták"	"Cesta mládeže 6
043 65 Nižná Voľa"
"Ľubomíra Ondrúšeková"	"Kremeľská 616
076 06 Závada"
"Silvester Sklenárik"	"Múzejná 1
011 75 Brezno"
"Henrieta Marťanová"	"Baničova 944
058 60 Lehota nad Rimavicou"
"Augustín Makový"	"Lykovcová 5
023 67 Spišská Stará Ves"
"Andrea Králová"	"Furdekova 35
078 58 Markuška"
"Alfréd Hanka"	"Kraskova 22
059 30 Dubinné"
"Arnold Vasko"	"Štefanovičova 32
998 63 Oborín"
"Mária Rysová"	"Geologická 771
952 07 Ratkovo"
"Móric Rakovan"	"Komonicová 469
986 54 Vyšné Ružbachy"
"Sláva Šidlová"	"Čajakova 9
914 31 Závadka"
"Ľubomíra Vajciková"	"Cesta na Červený most 666
095 35 Prenčov"
"Andrea Krásnohorská"	"Spišská 758
842 56 Bojničky"
"Samuel Vlach"	"Viedenská cesta 3
878 41 Liptovská Teplá"
"Víťazoslav Vozár"	"Zlatohorská 861
021 50 Slovenský Grob"
"Medard Harvánek"	"Na mýte 572
809 86 Vojkovce"
"Alica Kubková"	"Štedrá 780
057 62 Geraltov"
"Henrieta Krížiková"	"Listová 648
906 99 Tajov"
"Luna Kolárová"	"Istrijská 73
822 22 Tesárske Mlyňany"
"Bianka Nižňanská"	"Rytierska 796
951 31 Horný Vadičov"
"Sára Petrušková"	"Saratovská 76
837 77 Stará Turá"
"Ľubor Holubka"	"Jantárová cesta 436
904 59 Libichava"
"Margaréta Tomašeková"	"Nemčíkova 650
802 49 Šarbov"
"Beňadik Plekanec"	"K lomu 1
801 55 Malý Slavkov"
"Karina Melicheríková"	"Prokofievova 9
027 87 Tovarnianska Polianka"
"Valentína Micháliková"	"Na hriadkach 37
961 67 Povina"
"Vanesa Mačková"	"Liptovská 125
060 45 Lula"
"Elena Repiská"	"Pri Dynamitke 6
938 32 Brdárka"
"Albína Palúchová"	"Vývojová 2
962 34 Zemianska Olča"
"Eunika Kollárová"	"Černockého 806
045 11 Viničné"
"Xénia Kostrecová"	"Gorazdova 702
052 93 Šarišské Jastrabie"
"Ľubor Kuruc"	"Kamenné námestie 852
814 82 Veľké Slemence"
"Libor Hoza"	"Estónska 662
936 48 Veľký Biel"
"Gizela Kozáčiková"	"Lovinského 719
822 07 Dobrá Niva"
"Terézia Solejová DSc."	"Slávičie údolie 70
020 29 Zborov"
"Vojtech Richtár"	"Konventná 5
855 62 Tajná"
"Zita Hrmová"	"Borievková 918
991 22 Cerovo"
"Agnesa Hanuseková"	"Osadná 2
942 92 Šemetkovce"
"Nina Ftoreková"	"Banskobystrická 84
013 99 Iliašovce"
"Miroslava Tomečková"	"Janka Kráľa 6
802 10 Petkovce"
"Edmund Tomáška"	"Komárovská 21
946 60 Pata"
"Ľubor Pauko"	"Nákupná 941
809 92 Ivachnová"
"Gustáv Moravec"	"Viničná 1
991 91 Nevoľné"
"Nikola Paľová"	"Regrútska 2
905 12 Pastuchov"
"Alena Fabiánová"	"Strmý bok 9
992 61 Veľké Lovce"
"Štefánia Plchová"	"Prídanky 72
871 92 Brezovica"
"Vincent Nitra"	"Stará Ivánska cesta 42
851 34 Nitra nad Ipľom"
"Félix Franka"	"Turnianska 122
854 86 Slovany"
"Marianna Pavúková DiS."	"Kamenárska 90
835 34 Vinohrady nad Váhom"
"Zdenka Šlivková"	"Olejkárska 32
965 42 Okres Bratislava III"
"Jaroslava Fajnorová"	"Pavla Horova 158
041 94 Hačava"
"Ľuboslav Bilka"	"Kaméliová 376
934 25 Radvaň nad Dunajom"
"MVDr. Ignác Forgáč"	"Krásna 40
091 65 Jarabina"
"Stanislava Jureková"	"Kolmá 427
045 42 Strihovce"
"Konštantín Pavlíček"	"Hrobákova 9
946 86 Holumnica"
"Zoja Krasnohorská"	"Vavrinecká 3
032 95 Veľké Chyndice"
"Miroslav Ondruš"	"Štefunkova 60
851 01 Kotrčiná Lúčka"
"Saskia Cigánová"	"Staré záhrady 255
809 80 Mužla"
"Dáša Jakubeková"	"Smrečianska 968
801 46 Jurová"
"Atila Máček"	"Paulínyho 86
864 49 Vojčice"
"Bohdana Otčenášová"	"Edisonova 221
968 42 Šterusy"
"Ľuboslav Kuba"	"Pražská 6
897 98 Čabradský Vrbovok"
"Želmíra Zachariašová"	"Pave Vukoviča 66
983 60 Opiná"
"Víťazoslav Havran"	"Alejová 69
801 44 Nižná"
"Viktor Melichar"	"Pri seči 737
953 97 Havranec"
"Medard Vaska"	"Pod Bôrikom 9
016 10 Hrušovany"
"Ferdinand Adamec"	"Mikulášska 782
899 76 Spišský Hrušov"
"Gašpar Šimík"	"Prúdová 6
956 04 Bory"
"Václav Jurkovič"	"Klatovská 763
012 06 Ohradzany"
"Vanesa Lipová"	"Delená cesta 5
959 29 Jánovce"
"Simona Husáková"	"Štiavnická 300
879 12 Beňatina"
"Ľuboslav Šváby"	"Pod Krásnou hôrkou 282
954 27 Dolný Badín"
"Viktor Dubovský"	"Cesta na Červený most 95
999 88 Oščadnica"
"Dominik Cigánik"	"Karpatské námestie 710
025 63 Marcelová"
"Augustín Urblík"	"Siedma 43
898 07 Belá nad Cirochou"
"Elisa Marcinková"	"Kutlíkova 869
063 90 Libichava"
"Valentína Adamecová"	"Západný rad 59
837 54 Levoča"
"Demeter Tupý"	"Jačmenná 5
051 93 Nitrica"
"Eugen Kára"	"Galbavého 215
977 41 Bodíky"
"Servác Dubovský"	"Jakubovo námestie 22
942 43 Bardejov"
"Augustín Janček"	"Na pasekách 214
942 44 Koňuš"
"Ľuboslava Bernardová"	"Pohronská 325
974 43 Tŕnie"
"Benedikt Uram"	"Brezová 681
806 99 Vítkovce"
"Branislava Mlynáriková"	"Červená 82
838 37 Šamorín"
"Kliment Haščák"	"Nobelova 14
957 09 Gajary"
"Henrieta Paulovičová"	"Trebišovská 705
801 37 Bystré"
"Ladislav Vanek"	"Dvořákovo nábrežie 642
928 90 Rabčice"
"Mgr. Laura Klimová"	"Pílová 676
888 11 Veľké Kapušany"
"Albína Pavlíčeková"	"Albánska 177
864 89 Nová Vieska"
"Kamila Šurková"	"Pri hradnej studni 2
958 53 Voľa"
"Nikola Ďuricová"	"Dlhé diely II. 84
082 07 Uloža"
"Ľuboslava Dullová"	"Nížinná 4
848 68 Tarnov"
"Dobromila Haščáková"	"Hrobárska 8
833 89 Nižné Repaše"
"Sára Palovčíková"	"Odeská 9
864 57 Brieštie"
"Milena Ondrušková"	"Hargašova 9
089 73 Rudinka"
"Erika Frimerová"	"Latorická 6
085 29 Hunkovce"
"Dorota Svrbíková"	"Babuškova 905
944 49 Lietavská Lúčka"
"Branislav Jurina"	"Kýčerského 849
082 32 Varadka"
"Lívia Huttová"	"Rezedová 45
069 89 Harhaj"
"Zoltán Drobný"	"Kalinová 293
833 76 Korytárky"
"Kamil Mach"	"Junácka 560
991 68 Podbrezová"
"Ľuboslava Kočová"	"Žitavská 876
024 54 Budikovany"
"Miroslava Veterníková"	"Na doline 8
856 13 Jurová"
"Danica Paľúchová"	"Maďarská 75
059 77 Veličná"
"Ervín Paúk"	"Kremeľská 26
851 85 Brezovička"
"Kristián Šlahor"	"Mládežnícka 6
911 87 Práznovce"
"Petrana Slovinecová"	"Vínna 562
033 33 Jelenec"
"Demeter Holúbek"	"Dubová 313
938 04 Trenčianske Bohuslavice"
"Jerguš Milota"	"Ľubľanská 6
993 57 Rejdová"
"Klement Čiernik"	"Mudroňova 180
939 17 Španie Pole"
"Dušan Bednárik"	"Kozmonautická 208
010 04 Kozelník"
"Ľuboslava Kramárová"	"Popolná 66
917 71 Kremnické Bane"
"Viliam Jakub"	"Gusevova 765
009 65 Starina"
"Róbert Nitra"	"Podzáhradná 35
045 04 Ľuboriečka"
"Kamila Pallová"	"Strmý vŕšok 839
909 27 Čeláre"
"Vojtech Kazík"	"Drotárska cesta 72
901 15 Nižná Slaná"
"Hugo Kendra Ph.D."	"Linzbothova 661
064 73 Kolárovice"
"Konštantín Truben"	"Alešova 4
099 89 Tomášov"
"Tomáš Rybníček"	"Kremnická 50
805 48 Šelpice"
"Móric Jakub"	"Hlavná 655
934 37 Žlkovce"
"Ladislav Duša"	"Liptovská 539
015 02 Lúčky"
"Ľuboslava Miháliková"	"Senická 6
971 07 Svätuše"
"Matej Rusko"	"Vrakunská 9
888 11 Svodín"
"Karina Čapkovičová"	"Koprivnická 7
825 51 Malá Ida"
"Božena Rusová"	"Zátureckého 960
952 87 Pribiš"
"Blažej Jakubka"	"Záhradkárska 5
801 65 Lubeník"
"Drahomíra Kozáková"	"Kozičova 53
056 59 Bystričany"
"Sabína Škovierová"	"Bajkalská 4
844 16 Nižný Tvarožec"
"Blažej Vojtko"	"Trenčianska 4
888 10 Vieska"
"Vendelín Mrazek"	"Nad Gronárom 1
934 30 Bohdanovce"
"Ema Čarnogurská"	"Malá 35
074 58 Medzibrod"
"Ľuboš Boriš"	"Hraničiarska 60
888 68 Rokycany"
"Peter Ďutka"	"Oravská 5
953 19 Zlaté"
"Nathan Porubjak"	"Rázusovo nábrežie 604
963 02 Bertotovce"
"Saskia Hudecová"	"Muškátová 71
837 58 Hromoš"
"Ema Kollárová"	"Kúpeľná 109
944 16 Levoča"
"Kliment Koc"	"Magnetová 1
020 48 Krivá"
"Františka Tatarková"	"Námestie Ľudovíta Št 7
026 42 Vrbovce"
"Aurélia Vlachová"	"Rošického 335
052 47 Horná Ves"
"Krištof Pajer"	"Čerešňová 1
838 13 Topoľa"
"Belo Jakubec"	"Podkolibská 1
907 43 Ihráč"
"Ľuboš Dorko"	"Za farou 48
037 49 Lúčka"
"Lukáš Navara"	"Bronzová 9
036 80 Svinica"
"Barbora Krajčírová"	"Parenicová 701
918 98 Rumince"
"Justína Medveďová"	"Furmanská 838
890 77 Krasňany"
"Aleš Bilka"	"Komenského námestie 86
073 23 Baňa"
"Radovana Mácová"	"Nevská 3
969 29 Tuhár"
"František Nota"	"Tomášikova 881
063 20 Sobrance"
"Beňadik Nôta"	"Goralská 419
862 07 Chmeľová"
"Melichar Holubek"	"Krakovská 32
089 02 Porostov"
"Emília Pallová"	"Priekopy 846
818 72 Čakajovce"
"Ľuboš Moravčík"	"Tvarožkova 617
987 56 Zemné"
"Eulália Kubecová"	"Dulovo námestie 8
855 27 Štefanovičová"
"Elena Kiseľová"	"Humenské námestie 788
042 12 Stupné"
"Miloslava Hodžová"	"Deviata 29
004 85 Selce"
"Leopolda Paúková"	"Cesta na Kamzík 821
972 53 Figa"
"Ariel Marta"	"Vlčkova 9
063 67 Horné Plachtince"
"Vladimír Lojek"	"Rusovská cesta 5
053 62 Ivachnová"
"Viktória Droppová"	"Ružinovská 2
869 60 Jahodná"
"Konštantín Marek"	"Oravská 24
864 16 Veľký Kýr"
"Ľudmila Puškárová"	"Burgundská 999
031 54 Černík"
"Ľudmila Dvončová"	"Nemčíkova 692
959 85 Ladomerská Vieska"
"Pankrác Ďaďo"	"Ladislava Sáru 384
066 81 Jovice"
"Adolf Šváby"	"Pavlovova 3
054 58 Dargov"
"Áron Daňko"	"Lozornianská 771
839 07 Ždiar"
"Ľuboš Blaho"	"Karloveské rameno 832
843 03 Malatiná"
"Ľuboslav Machnáč"	"Nevská 52
805 64 Stretavka"
"Zora Králiková"	"Šarišská 2
035 36 Chotča"
"Teodor Lubina"	"Pri strelnici 428
965 52 Moravany"
"Saskia Holubková"	"Gajarská 13
809 44 Lovce"
"Oskár Dulla"	"Halašova 67
963 11 Čierny Potok"
"Ľudmila Habláková"	"Popovova 5
040 22 Osadné"
"Hubert Ondrášek"	"Sklenárska 388
950 82 Vyšná Pisaná"
"Dorota Paľuchová"	"Papánkovo námestie 9
916 20 Sady nad Torysou"
"Eliáš Bahna"	"Brumovická 42
830 72 Šumiac"
"Oľga Kiselová"	"Vendelínska 5
013 88 Vlkas"
"Boris Machata"	"Koziarka 6
019 19 Podolínec"
"Luna Dudeková"	"Múzejná 12
096 10 Záborské"
"Blažena Pavlovičová"	"Prídanky 8
078 57 Vieska"
"Patrícia Bartovičová"	"Konventná 3
803 63 Jablonové"
"Uršuľa Otčenášová"	"Ovsištské námestie 430
033 59 Turcovce"
"Ľudmila Jurkovičová"	"Azalková 1
893 10 Žarnov"
"Mikuláš Konopka"	"Na Baránku 89
902 03 Ulič"
"Milan Kazík"	"Za Kasárňou 724
887 34 Martinček"
"Július Halák"	"Zelinárska 123
088 09 Seč"
"Božena Brezinová"	"Brodná 4
975 75 Poráč"
"Iris Kunková"	"Harmanecká 4
008 68 Čeláre"
"Benjamín Tomašek"	"Zámočnícka 190
043 55 Plavecký Štvrtok"
"Frederika Knihová"	"Pod Kobylou 402
926 62 Topoľníky"
"Beňadik Kuna"	"Cintorínska 274
826 28 Pastuchov"
"Sabína Rišová"	"Tavaríkova osada 78
807 38 Vrádište"
"Ľudmila Klopačková Ph.D."	"Pyrenejská 49
831 26 Plaveč"
"Zdenko Paulovič"	"Robotnícka 193
956 90 Pečeňady"
"Božidara Šulcová"	"Lodná 56
889 61 Veľké Bierovce"
"Stanislav Ihnačák"	"Tabaková 9
091 26 Kostolné"
"Xénia Machatová"	"Žiarska 11
941 00 Hendrichovce"
"Albín Doležal"	"Jiráskova 511
987 10 Brutovce"
"Viliam Jakubec"	"Ambroseho 10
898 19 Závod"
"Lucia Ťažká"	"Tatranská 67
951 52 Livovská Huta"
"Jerguš Beňuška"	"Bajkalská 1
903 04 Dargov"
"Drahoslava Moravecová"	"Vavrínova 11
963 09 Kalná Roztoka"
"Ľudmila Masariková"	"Hýrošova 62
031 62 Abranovce"
"Medard Baško"	"Chrasťová 854
819 98 Bežovce"
"Tarzícius Paulik"	"Kožušnícka 58
007 78 Kolačno"
"Nathan Romančík"	"Západný rad 3
888 57 Jurské"
"Frederika Kubíčeková"	"Kôstková 56
949 10 Domadice"
"Milan Tupý"	"Hrdličkova 529
023 03 Liptovské Sliače"
"Dominika Heretiková"	"Kaštielska 2
822 11 Svetlice"
"Herbert Hanák"	"Budatínska 827
051 30 Rožňava"
"Miroslav Paľka"	"Chrenová 2
088 50 Palota"
"Žofia Tomková"	"Jakubská 62
004 26 Kučín"
"Ľudmila Vojtková"	"Žulová 5
083 24 Nové Zámky"
"Benjamín Karul"	"Perličková 1
934 35 Košeca"
"Blahoslav Klapáč"	"Drotárska cesta 373
824 29 Želmanovce"
"Alojzia Machnáčová"	"Kúkoľová 48
004 22 Rudňany"
"Agnesa Holičková"	"Žehrianska 926
872 53 Krahule"
"Libuša Trlíková"	"Tomášikova 7
826 55 Vyšný Orlík"
"Valéria Jureková"	"Cyprichova 4
829 88 Uličské Krivé"
"Ľudomil Sámel"	"Korytnická 9
071 26 Lazisko"
"Hubert Janošo"	"Longobardská 9
903 56 Spišská Nová Ves"
"Aurélia Veselová"	"Bohúňova 394
875 35 Ostratice"
"Ľudomil Bartošík"	"Rebarborová 708
001 90 Kamenné Kosihy"
"Marína Kubíčeková"	"Mlynská 41
827 07 Horný Pial"
"Danica Mackovičová"	"Macharova 60
964 24 Valaská"
"Benjamín Duda"	"Anenská 628
985 01 Devičie"
"Bystrík Krasnohorský"	"Jakubská 336
925 62 Mojš"
"Žofia Kubecová"	"Pod Zečákom 358
847 20 Hradište"
"Lýdia Otčenášová"	"Na Slanci 583
874 08 Šamudovce"
"Romana Klepáčová"	"Majoránová 8
877 14 Heľpa"
"Alex Holubko"	"Horcová 544
899 45 Čakanovce"
"Beňadik Rusko"	"Starorímska 9
038 35 Hajtovka"
"Ľudomil Dušička"	"Sládkovičova 512
082 79 Kľak"
"Lívia Petrušková"	"Americká 362
063 52 Gemerská Hôrka"
"Mário Strnisko"	"Tomášikova 2
007 70 Jalovec"
"Alena Adamová"	"Letisko M.R.Štefánik 3
056 34 Fačkov"
"Anna Liptáková"	"Tyršovo nábrežie 51
946 58 Ondrašová"
"Gabriel Grňa"	"Rybničná 384
876 70 Pusté Čemerné"
"Leopolda Valušková"	"Nábělkova 11
924 25 Nimnica"
"Erika Kerová"	"Desiata 64
833 04 Terchová"
"Alexej Jurka"	"Rožňavská 5
053 96 Horná Štubňa"
"Maximilián Paľko"	"Nové záhrady V 20
818 06 Horné Zahorany"
"Ľudomil Hanka"	"Ulica Alviano 329
008 52 Jarabina"
"Božena Mihalíková"	"Babuškova 2
939 14 Hoste"
"Štefan Nižnanský"	"Červeňákova 9
990 08 Kameničná"
"Ernest Tomáška"	"Hradná 2
822 32 Bystrá"
"Vanesa Markošová"	"Rázusovo nábrežie 92
851 99 Maňa"
"Libor Štrba"	"Vínna 295
018 64 Trhová Hradská"
"Elisa Salajková"	"Furdekova 47
081 95 Vrchteplá"
"Simona Vydarená"	"Ostredková 1
914 25 Nová Bošáca"
"Ambróz Svrbík"	"Alžbety Gwerkovej 6
959 23 Stankovce"
"Stanislav Mikulák"	"Kempelenova 4
866 07 Breznička"
"Ľudomil Kocúr"	"Mokrohájska cesta 294
099 65 Slovenská Volová"
"Boris Babka"	"Športová 6
052 61 Hrabské"
"Matilda Gocníková"	"Palisády 1
921 41 Neded"
"Františka Vrabcová"	"Osuského 633
855 11 Bobrovček"
"Renáta Murínová"	"Kuneradská 133
899 00 Tibava"
"Tadeáš Maďar"	"Trávna 7
055 76 Roškovce"
"Bohumil Selecký"	"Viedenská cesta 213
963 98 Údol"
"Andrej Sklár"	"Hlavná 11
007 17 Kostolná pri Dunaji"
"Jolana Fabušová"	"Priečna 237
052 67 Čekovce"
"Emil Klimko"	"Brodná 5
927 78 Krivany"
"Ľudomil Kotian DiS."	"Sosnová 531
039 44 Gerlachov"
"Frederik Hudec"	"Učiteľská 97
946 70 Tehla"
"Vratislav Holúbek"	"Piesočná 3
812 80 Preseľany"
"Martina Brezinová Th.D."	"Smetanova 565
987 98 Bátorove Kosihy"
"Hana Kaziková"	"Cádrova 540
850 49 Dvorníky"
"Viktor Plavucha"	"Starorímska 975
051 48 Budimír"
"Fedor Jančo"	"Pasienky 19
957 51 Raková"
"Rudolf Hlaváčik"	"Čachtická 2
886 40 Branč"
"Romana Husťáková"	"Bazovského 8
956 10 Hnilčík"
"Vanesa Žigmundová"	"Vresová 38
874 02 Sekule"
"Ľudomil Kráľ"	"Fraňa Kráľa 36
999 95 Gáň"
"Ivona Boriková"	"Poľnohospodárska 956
084 79 Nemecká"
"Ivica Bôriková"	"Krajná 72
826 19 Suchá Dolina"
"Mária Opluštilová"	"Krupinská 5
848 49 Bučany"
"Samuel Višňovský"	"Gorkého 8
808 21 Šuňava"
"Albert Klima"	"Kamenárska 57
825 34 Drženice"
"RNDr. Albín Jančo DSc."	"Nové záhrady II 61
925 71 Sklabinský Podzámok"
"Konštantín Michálek"	"Strelkova 9
999 07 Koš"
"Ludolf Rybníček"	"Monardová 50
843 79 Slavnica"
"Mgr. Žaneta Majeská"	"J.C.Hronského 98
085 46 Borský Svätý Jur"
"Ľudomil Lacka"	"Koľajná 167
879 81 Zohor"
"Henrich Chrappa"	"Čelakovského 56
855 88 Zemplínska Teplica"
"Jolana Kaniaková"	"Ružinovská 71
810 91 Jelenec"
"Lea Hečková"	"Medená 1
978 80 Radzovce"
"Vasil Markoš"	"Pod brehmi 21
035 18 Kapušianske Kľačany"
"Blahoslav Kovalčík"	"Nové záhrady IV 40
074 69 Beluj"
"Radoslava Dutková"	"Rezedová 802
874 35 Vinica"
"Drahomíra Hroboňová"	"Iršajská 439
929 75 Dežerice"
"Jozef Borko"	"Brodská 4
880 69 Vysoká nad Kysucou"
"Bronislava Kendrová"	"Monardová 436
003 28 Radnovce"
"Ľudomil Murin"	"Podhorská 1
852 94 Čeľadice"
"Barbora Masárová"	"Tomášikova 5
041 20 Baňa"
"Marta Chalupková"	"Podniková 9
830 77 Branč"
"Adriána Vrabcová Ph.D."	"Zelená 265
987 73 Harichovce"
"Viktor Hanak"	"Spádová 81
082 75 Mníšek nad Hnilcom"
"Monika Pavková"	"Jazmínová 30
824 88 Horné Dubové"
"PhDr. Dalibor Jakubčík CSc."	"Jaseňová 534
835 58 Zemplínske Jastrabie"
"Róbert Chalupka"	"Pribinova 586
084 26 Svinia"
"Július Kyseľ"	"Tulipánová 1
967 85 Vrbová nad Váhom"
"Žigmund Lupták"	"Poľná 441
088 12 Špačince"
