"Achim Ababei"	"Intrarea Voinea
Sfantu Gheorghe, 845829" 
"Ionică Dochioiu"	"Bulevardul Albu Nr. 57
Lumina, 194455"
"Ernest Mazilescu"	"Aleea Paraschiva Nistor Nr. 95
Baia Mare, 226433"
"Leontina Preda"	"Soseaua Crenguța Stancu
Zalau, 132708"
"Iosif Nemeș"	"Soseaua Anghelina Barbu
Lumina, 719105"
"Emanuil Ionescu"	"Soseaua Nemeș Nr. 78 Bl. 40  Sc. 74 Ap. 377
Huedin, 354444"
"Marius Pop"	"Intrarea Violeta Pușcașu
Urziceni, 211110"
"Aurora Oprea"	"Bulevardul Iuliu Stancu Nr. 54 Bl. 81  Sc. 81 Ap. 443
Pitesti, 205040"
"Safta Aanei"	"Drumul Pușcașu Nr. 187
Valu lui Traian, 575704"
"Steluța Ardelean"	"Intrarea Nistor Nr. 302 Bl. 85  Sc. 80 Ap. 809
Victoria, 578853"
"Rodica Nemeș"	"Bulevardul Dobre
Roseti, 194407"
"Atena Ardelean"	"Bulevardul Niță
Medgidia, 648535"
"Anghelina Nistor"	"Strada Ardelean Nr. 29 Bl. 80  Sc. 82 Ap. 694
Husi, 957704"
"Eufrosina Cristea"	"Intrarea Eftimie Nr. 12 Bl. 93  Sc. 49 Ap. 402
Otopeni, 596712"
"Timotei Diaconu"	"Drumul Nistor Nr. 68
Sighetu Marmatiei, 311888"
"Alistar Tudor"	"Bulevardul Albertina Popa Nr. 11 Bl. 24  Sc. 29 Ap. 456
Savinesti (Poiana Teiului), 131093"
"Vanesa Pop"	"Drumul Diaconu Nr. 68 Bl. 14  Sc. 14 Ap. 155
Remetea, 729629"
"Semenica Nistor"	"Soseaua Dinu Nr. 39 Bl. 38  Sc. 27 Ap. 215
Huedin, 131753"
"Romanița Ardelean"	"Drumul Diaconescu Nr. 186 Bl. 81  Sc. 17 Ap. 540
Pechea, 830874"
"Steluța Gheorghiu"	"Bulevardul Ioniță Nr. 300 Bl. 46  Sc. 93 Ap. 518
Poiana Mare, 766954"
"Ludovica Aanei"	"Soseaua Dobre Nr. 58
Talmaciu, 950639"
"Mălina Aanei"	"Soseaua Ene
Cugir, 660060"
"Codruța Stoica"	"Soseaua Safta Dobre Nr. 651
Dumbravita, 719679"
"Toma Ababei"	"Strada Tabacu
Zimnicea, 427353"
"Artemisa Stoica"	"Bulevardul Aanei Nr. 322 Bl. 83  Sc. 17 Ap. 643
Ovidiu, 430397"
"Paula Stan"	"Soseaua Suciu Nr. 43 Bl. 89  Sc. 31 Ap. 994
Targu Secuiesc, 640969"
"Narcisa Ardelean"	"Drumul Ardelean Nr. 918
Dragalina, 434195"
"Gelu Gheorghiu"	"Strada Codruța Tomescu
Rasnov, 182268"
"Vera Ioniță"	"Bulevardul Diaconu
Calafat, 369193"
"Steluța Marin"	"Soseaua Nemeș
Oituz, 744486"
"Isabela Cristea"	"Intrarea Ardelean
Horodnic de Sus, 708574"
"Olimpiu Eftimie"	"Bulevardul Visarion Nistor Nr. 11
Corund, 171943"
"Iancu Dumitrescu"	"Intrarea Antoaneta Georgescu Nr. 269 Bl. 25  Sc. 75 Ap. 163
Falticeni, 173091"
"Stana Dima"	"Drumul Ludmila Oprea
Afumati, 426360"
"Letiția Stănescu"	"Soseaua Pop Nr. 722
Topoloveni, 722798"
"Casandra Diaconu"	"Strada Ene
Darmanesti, 689587"
"Laura Diaconescu"	"Intrarea Tomescu Nr. 98 Bl. 50  Sc. 27 Ap. 259
Jimbolia, 530748"
"Petrișor Stan"	"Drumul Popa
Gugesti, 132270"
"Cristobal Pop"	"Intrarea Stan Nr. 95 Bl. 78  Sc. 59 Ap. 916
Sovata, 854072"
"Suzana Dochioiu"	"Soseaua Ene Nr. 463
Sibiu, 572644"
"Alida Nistor"	"Aleea Dobre Nr. 97
Mizil, 211970"
"Gheorghe Barbu"	"Bulevardul Cristea Nr. 30
Rodna, 831592"
"Oana Pop"	"Strada Stancu
Targu Ocna, 558894"
"Izabela Albu"	"Soseaua Titus Ababei
Huedin, 904467"
"Ozana Dochioiu"	"Drumul Dochioiu Nr. 198
Huedin, 145098"
"Radu Stoica"	"Soseaua Ioana Florea
Slatina, 344575"
"Manuela Pop"	"Bulevardul Popescu
Baicoi, 637866"
"Marcel Ardelean"	"Intrarea Gheorghiu Nr. 559 Bl. 76  Sc. 26 Ap. 686
Horodnic de Sus, 238891"
"Oana Manole"	"Aleea Pop
Bumbesti-Jiu, 949009"
"Svetlana Ioniță"	"Bulevardul Ene Nr. 588 Bl. 19  Sc. 95 Ap. 125
Targu Lapus, 276310"
"Laura Diaconescu"	"Strada Celia Manole
Iasi, 373866"
"Atena Dima"	"Drumul Preda Nr. 504
Hateg, 566864"
"Ilarie Ioniță"	"Strada Diaconescu Nr. 58 Bl. 41  Sc. 70 Ap. 244
Cudalbi, 219496"
"Margareta Toma"	"Intrarea Nistor Nr. 337
Tecuci, 747957"
"Voicu Ardelean"	"Drumul Dumitrescu Nr. 43
Hateg, 546080"
"Cosmin Niță"	"Intrarea Diaconescu
Mizil, 114841"
"Matei Ardelean"	"Intrarea Rafael Gheorghiu Nr. 767 Bl. 25  Sc. 71 Ap. 417
Targu Lapus, 389997"
"Albert Nistor"	"Intrarea Octavia Pop Nr. 94 Bl. 12  Sc. 37 Ap. 262
Ineu, 246607"
"Paulina Mazilescu"	"Soseaua Nemeș Nr. 26 Bl. 91  Sc. 30 Ap. 970
Bumbesti-Jiu, 186548"
"Svetlana Nistor"	"Drumul Tomescu Nr. 277
Petrila, 432468"
"Daria Voinea"	"Strada Carmen Ababei Nr. 32 Bl. 32  Sc. 47 Ap. 641
Dumbravita, 873611"
"Sorin Tabacu"	"Soseaua Tudosia Pușcașu Nr. 869 Bl. 72  Sc. 79 Ap. 842
Harlau, 946800"
"Luminița Ioniță"	"Strada Ionescu Nr. 21 Bl. 52  Sc. 43 Ap. 994
Cudalbi, 992779"
"Safta Dinu"	"Intrarea Dumitrescu Nr. 111 Bl. 93  Sc. 79 Ap. 845
Vladimirescu, 826065"
"Iustinian Preda"	"Drumul Popa Nr. 89
Otopeni, 285091"
"Ionuț Pușcașu"	"Soseaua Mitică Georgescu
Negresti, 388339"
"Frusina Manole"	"Strada Popa Nr. 54
Ovidiu, 120132"
"Viviana Dinu"	"Strada Mirabela Popa Nr. 378 Bl. 17  Sc. 33 Ap. 134
Tufesti, 739790"
"Blanduzia Diaconescu"	"Intrarea Nistor Nr. 404
Adjud, 105506"
"Svetlana Toma"	"Intrarea Romina Aanei
Apahida, 504407"
"Alin Diaconescu"	"Soseaua Diaconescu
Sannicolau Mare, 820878"
"Iacob Pop"	"Drumul Ionescu
Miercurea-Ciuc, 225404"
"Nae Cristea"	"Intrarea Niță Nr. 989
Diosig, 315342"
"Teodor Albu"	"Aleea Preda Nr. 28
Petrila, 261270"
"Maximilian Stoica"	"Bulevardul Niță Nr. 23
Savinesti, 136395"
"Paraschiva Dinu"	"Drumul Dochioiu Nr. 33
Zimnicea, 209339"
"Leonard Ardelean"	"Drumul Vlădelina Ionescu
Eforie Nord, 169241"
"Georgiana Marin"	"Bulevardul Popa Nr. 227 Bl. 28  Sc. 72 Ap. 815
Ineu, 977234"
"Ludmila Ionescu"	"Soseaua Francesca Marin Nr. 18 Bl. 81  Sc. 18 Ap. 790
Fieni, 886326"
"Sânziana Ionescu"	"Bulevardul Ardelean Nr. 557
Simeria, 853190"
"Andrian Nistor"	"Bulevardul Stan Nr. 988 Bl. 68  Sc. 15 Ap. 708
Caracal, 687982"
"Petrișor Gheorghiu"	"Soseaua Toma
Resita, 789037"
"Ada Marin"	"Drumul Petruța Tomescu Nr. 473
Turnu Magurele, 127982"
"Larisa Aanei"	"Strada Mazilescu Nr. 443 Bl. 81  Sc. 73 Ap. 340
Balan, 358582"
"Catrina Tomescu"	"Drumul Ducu Popescu Nr. 275
Dumbravita, 241240"
"Remus Dumitrescu"	"Bulevardul Robert Pop Nr. 76 Bl. 81  Sc. 55 Ap. 971
Cajvana, 934449"
"Ada Mocanu"	"Strada Cristea Nr. 136 Bl. 46  Sc. 59 Ap. 324
Sebes, 988534"
"Zenovia Popescu"	"Drumul Stănescu
Modelu, 537571"
"Narcis Stoica"	"Strada Marin
Medias, 238754"
"Tamara Toma"	"Strada Aanei Nr. 30 Bl. 14  Sc. 25 Ap. 268
Rasinari, 740344"
"Demetra Dumitrescu"	"Aleea Mona Eftimie Nr. 971
Fetesti-Gara, 906790"
"Ozana Ababei"	"Aleea Albertina Aanei Nr. 42 Bl. 38  Sc. 65 Ap. 583
Mizil, 641765"
"Rada Ionescu"	"Bulevardul Fiona Nemeș
Sebis, 547432"
"Gabi Stancu"	"Drumul Gheorghiu
Strehaia, 833182"
"Emanuil Marin"	"Drumul Eftimie
Targu Jiu, 546455"
"Ruxandra Florea"	"Soseaua Barbu Nr. 32 Bl. 10  Sc. 27 Ap. 916
Marginea, 335902"
"Iridenta Niță"	"Soseaua Filofteia Dima
Macin, 156960"
"Aristide Stan"	"Soseaua Voinea Nr. 74 Bl. 33  Sc. 57 Ap. 161
Rosiori de Vede, 184910"
"Cristian Ababei"	"Aleea Ianis Ardelean Nr. 75
Dragasani, 383301"
"Tamara Toma"	"Strada Emanuel Dinu Nr. 18 Bl. 86  Sc. 16 Ap. 142
Giarmata, 964929"
"Mirona Manole"	"Soseaua David Aanei Nr. 548
Fagaras, 818756"
"Cezara Dobre"	"Aleea Stanca Stan Nr. 28 Bl. 48  Sc. 57 Ap. 905
Salonta, 683119"
"Anda Ene"	"Soseaua Tudorița Georgescu Nr. 316
Caransebes, 793486"
"Paulina Stan"	"Drumul Popa
Simeria, 400455"
"Adela Ababei"	"Strada Gheorghiu
Agnita, 852523"
"Mitică Aanei"	"Bulevardul Voinea Nr. 296
Glina, 982894"
"Decebal Nistor"	"Aleea Ardelean Nr. 85 Bl. 27  Sc. 54 Ap. 159
Tandarei, 569658"
"Șerban Ababei"	"Strada Dobre
Victoria, 375962"
"Dorina Dima"	"Bulevardul Zaharia Pușcașu
Tarnaveni, 337286"
"Tania Nistor"	"Intrarea Alexandru Stoica Nr. 310
Balan, 853296"
"Sorin Ababei"	"Bulevardul Mocanu
Buzau, 716137"
"Anatolie Dochioiu"	"Soseaua Ababei Nr. 54
Bumbesti-Jiu, 236379"
"Miruna Popa"	"Intrarea Eftimie Nr. 667 Bl. 15  Sc. 58 Ap. 409
Anina, 188849"
"Savina Popa"	"Aleea Pușcașu Nr. 607
Plosca, 133955"
"Claudiu Albu"	"Drumul Vincențiu Ene Nr. 15
Pascani, 365709"
"Simona Niță"	"Intrarea Benone Barbu Nr. 93 Bl. 68  Sc. 21 Ap. 304
Siret, 703158"
"Dora Ardelean"	"Bulevardul Doru Diaconu Nr. 949 Bl. 20  Sc. 84 Ap. 391
Poiana Mare, 793818"
"Anton Manole"	"Soseaua Ilona Tomescu
Dragu-Brad, 275334"
"Paul Ababei"	"Soseaua Nemeș Nr. 708
Filiasi, 424338"
"Tania Suciu"	"Intrarea Ionescu Nr. 21 Bl. 14  Sc. 37 Ap. 530
Campina, 309303"
"Aneta Tomescu"	"Drumul Cristea Nr. 68 Bl. 25  Sc. 83 Ap. 918
Harlau, 687117"
"Raul Stan"	"Aleea Mocanu Nr. 461 Bl. 37  Sc. 82 Ap. 478
Viseu de Sus, 962837"
"Elvira Toma"	"Drumul Nistor Nr. 628
Rodna, 318828"
"Andrian Niță"	"Soseaua Eftimie Barbu
Motatei, 442358"
"Iulia Cristea"	"Strada Barbu Nr. 715
Bals, 878396"
"Dochia Dima"	"Strada Adam Voinea Nr. 61 Bl. 49  Sc. 92 Ap. 224
Baia Mare, 492519"
"Sonia Voinea"	"Aleea Ionescu
Strejnicu, 316882"
"Magdalena Dobre"	"Intrarea Nemeș
Tecuci, 791495"
"Costache Marin"	"Aleea Silvana Dima Nr. 12 Bl. 95  Sc. 93 Ap. 124
Prejmer, 976071"
"Tatiana Manole"	"Intrarea Stancu
Sebis, 424076"
"Andrei Stoica"	"Intrarea Dima Nr. 58 Bl. 31  Sc. 24 Ap. 442
Feldru, 960115"
"Irina Pop"	"Soseaua Oprea Nr. 53
Amara, 715786"
"Dragoș Ababei"	"Drumul Tabacu Nr. 99 Bl. 69  Sc. 43 Ap. 718
Balotesti, 235065"
"Ivona Eftimie"	"Bulevardul Aurica Dumitrescu
Orsova, 557446"
"Jana Oprea"	"Drumul Mazilescu
Siret, 991377"
"Doru Preda"	"Bulevardul Mazilescu Nr. 885 Bl. 59  Sc. 55 Ap. 297
Peris, 164643"
"Darius Mocanu"	"Drumul Tomescu Nr. 524 Bl. 80  Sc. 48 Ap. 107
Ianca, 209633"
"Lorena Ababei"	"Bulevardul Cristea Nr. 282
Buhusi, 672853"
"Tinca Ababei"	"Bulevardul Georgescu Nr. 440
Eforie Nord, 561774"
"Teea Dinu"	"Bulevardul Mazilescu Nr. 475 Bl. 39  Sc. 93 Ap. 295
Targoviste, 816565"
"Andrada Stănescu"	"Drumul Roberta Toma
Timisoara, 659528"
"Svetlana Tomescu"	"Drumul Cristian Stoica
Ocna Mures, 333141"
"Augustin Cristea"	"Strada Aglaia Oprea Nr. 321 Bl. 11  Sc. 70 Ap. 914
Dragu-Brad, 203665"
"Răducu Marin"	"Bulevardul Codruț Ionescu Nr. 39
Drobeta-Turnu Severin, 373727"
"Sever Ene"	"Soseaua Diaconu Nr. 77
Cornetu, 652710"
"Raluca Ardelean"	"Drumul Mazilescu
Gaesti, 609412"
"Oana Ioniță"	"Drumul Manole Nr. 108
Stei, 444145"
"Cristea Florea"	"Drumul Diaconu Nr. 54 Bl. 19  Sc. 76 Ap. 551
Valea Mare (Babeni), 545968"
"Celia Mazilescu"	"Bulevardul Ionescu Nr. 49 Bl. 31  Sc. 83 Ap. 578
Tarnaveni, 974410"
"Teea Pop"	"Bulevardul Pop
Darabani, 775923"
"Carina Dumitrescu"	"Strada Niță Nr. 46
Lupeni, 559460"
"Saveta Nistor"	"Strada Aanei
Resita, 887102"
"Tudosia Ene"	"Strada Alistar Nistor Nr. 41 Bl. 25  Sc. 52 Ap. 567
Cugir, 522321"
"Sânziana Voinea"	"Aleea Ababei Nr. 29 Bl. 84  Sc. 45 Ap. 131
Draganesti-Olt, 309547"
"Gabriel Tomescu"	"Intrarea Dumitrescu
Zalau, 661776"
"Ladislau Diaconu"	"Bulevardul Ioniță Nr. 19
Galati, 116764"
"Leontin Ene"	"Intrarea Arian Oprea Nr. 651 Bl. 56  Sc. 32 Ap. 750
Domnesti, 146784"
"Lascăr Gheorghiu"	"Drumul Ababei Nr. 823
Husi, 645081"
"Horațiu Suciu"	"Soseaua Decebal Nemeș Nr. 76
Fetesti, 274588"
"Teea Preda"	"Strada Voinea
Campulung Moldovenesc, 751674"
"Ariadna Niță"	"Soseaua Lioara Eftimie Nr. 55
Sacueni, 315333"
"Ada Dinu"	"Bulevardul Barbu Nr. 591
Dancu, 448764"
"Daniela Marin"	"Strada Cristea Nr. 804
Fagaras, 225180"
"Aristița Georgescu"	"Bulevardul Dinu Nr. 25
Giroc, 717434"
"Iridenta Georgescu"	"Drumul Mazilescu
Ianca, 502353"
"Sorin Popescu"	"Soseaua Dinu Nr. 431 Bl. 86  Sc. 31 Ap. 830
Ineu, 180803"
"Iuliana Oprea"	"Soseaua Nistor Nr. 59 Bl. 99  Sc. 70 Ap. 411
Breaza de Sus, 945840"
"Livia Pușcașu"	"Drumul Dinu Nr. 239
Cobadin, 389898"
"Aurora Ardelean"	"Intrarea Dinu Nr. 742 Bl. 31  Sc. 58 Ap. 878
Mioveni, 103806"
"Teea Stan"	"Bulevardul Clara Florea Nr. 682 Bl. 92  Sc. 12 Ap. 680
Topoloveni, 579892"
"Gelu Eftimie"	"Soseaua Stănescu
Ocna Mures, 186762"
"Aida Stoica"	"Strada Pop Nr. 97
Uricani, 801415"
"Aglaia Dinu"	"Intrarea Panagachie Ababei
Viseu de Sus, 320148"
"Viorica Gheorghiu"	"Intrarea Giorgiana Stan Nr. 741
Sandominic, 338816"
"Eric Stănescu"	"Bulevardul Caterina Diaconescu Nr. 759
Dumbraveni, 434587"
"Codrin Ioniță"	"Soseaua Stănescu
Mogosoaia, 389883"
"Florin Preda"	"Soseaua Paulina Niță Nr. 31 Bl. 10  Sc. 20 Ap. 759
Timisoara, 579632"
"Tudora Cristea"	"Strada Barbu Nr. 604 Bl. 53  Sc. 74 Ap. 387
Sannicolau Mare, 607853"
"Dorian Dinu"	"Aleea Ene Nr. 804 Bl. 11  Sc. 14 Ap. 282
Negresti, 260832"
"Teodor Dinu"	"Aleea Albu
Bacau, 323286"
"Anemona Tabacu"	"Drumul Dobre Nr. 25 Bl. 68  Sc. 67 Ap. 815
Siria, 594701"
"Safta Cristea"	"Drumul Ioniță Nr. 191
Dancu, 254620"
"Cerasela Ababei"	"Aleea Georgel Dochioiu Nr. 73
Tecuci, 334263"
"Pleșu Tabacu"	"Aleea Dinu
Murfatlar, 782351"
"Emanuela Dinu"	"Strada Voinea
Husi, 786284"
"Andrada Ionescu"	"Drumul Mocanu Nr. 36
Negresti, 432015"
"Steluța Florea"	"Aleea Sergiu Ardelean Nr. 29
Suceava, 989219"
"Rafael Dinu"	"Strada Dorin Ababei
Baile Borsa, 924248"
"Miron Stan"	"Strada Paraschiva Aanei Nr. 625 Bl. 19  Sc. 48 Ap. 562
Valea Mare (Negresti), 492826"
"Teodor Popescu"	"Intrarea Eftimie Nr. 21 Bl. 83  Sc. 51 Ap. 839
Giurgiu, 213045"
"Vanesa Dima"	"Intrarea Evanghelina Pop Nr. 987
Siria, 412154"
"Damian Mazilescu"	"Strada Pușcașu Nr. 330
Vaslui, 188526"
"Voichița Nemeș"	"Soseaua Ababei Nr. 19
Babadag, 468650"
"Adelaida Dobre"	"Strada Darius Gheorghiu Nr. 209 Bl. 95  Sc. 47 Ap. 629
Braila, 720487"
"Georgia Pop"	"Intrarea Crina Ene
Zalau, 646402"
"Sabrina Cristea"	"Soseaua Dinu
Oltenita, 294814"
"Ina Gheorghiu"	"Soseaua Toma
Medias, 292975"
"Ludovic Pop"	"Soseaua Stancu Nr. 495 Bl. 16  Sc. 64 Ap. 782
Jibou, 989220"
"Marcel Gheorghiu"	"Intrarea Agripina Ionescu
Sadova, 792431"
"Teodosia Ababei"	"Strada Dima
Sandominic, 369477"
"Pătru Tabacu"	"Aleea Severina Stan Nr. 60 Bl. 69  Sc. 79 Ap. 281
Bacau, 211630"
"Andrei Popescu"	"Drumul Gheorghiu Nr. 52
Arbore, 701547"
"Răzvan Mocanu"	"Strada Ababei
Roman, 937271"
"Andrada Ioniță"	"Drumul Nidia Dochioiu Nr. 30
Sebis, 165684"
"Vasile Eftimie"	"Bulevardul Theodor Nemeș
Voluntari, 938316"
"Mircea Tabacu"	"Intrarea Tudor
Cudalbi, 449777"
"Crina Nemeș"	"Soseaua Barbu
Miercurea-Ciuc, 786782"
"Anaida Stancu"	"Intrarea Marin Nr. 872
Resita, 917724"
"Paulina Nistor"	"Bulevardul Doru Eftimie
Vaslui, 906445"
"Teofil Niță"	"Intrarea Diaconu Nr. 58
Calafat, 158002"
"Venera Dobre"	"Soseaua Preda
Navodari, 921034"
"Horea Popescu"	"Drumul Doina Manole Nr. 726
Cernavoda, 674050"
"Bucur Nemeș"	"Aleea Dacian Ababei
Pogoanele, 983660"
"Casandra Mazilescu"	"Aleea Stan Nr. 60
Corabia, 390292"
"Olga Dumitrescu"	"Soseaua Iustina Stănescu Nr. 87 Bl. 28  Sc. 93 Ap. 816
Fieni, 580271"
"Zoe Ababei"	"Intrarea Teea Popescu Nr. 16
Deva, 106001"
"Bucur Dobre"	"Bulevardul Tudor Nr. 491 Bl. 26  Sc. 97 Ap. 328
Curtea de Arges, 781946"
"Avram Albu"	"Drumul Dinu Nr. 69
Brasov, 205117"
"Francesca Ene"	"Aleea Dima
Orsova, 693370"
"Teofil Niță"	"Soseaua Dobre
Ludus, 375715"
"Georgian Albu"	"Intrarea Mirela Pușcașu
Cobadin, 948514"
"Pavel Tabacu"	"Soseaua Natalia Suciu
Copsa Mica, 904502"
"Leopoldina Popescu"	"Aleea Mocanu Nr. 324
Odobesti, 125063"
"Vicenția Stănescu"	"Intrarea Mazilescu Nr. 82 Bl. 56  Sc. 44 Ap. 275
Pechea, 586603"
"Rodica Oprea"	"Aleea Toma
Corabia, 779842"
"Caterina Niță"	"Bulevardul Nistor Nr. 737
Jilava, 291848"
"Atena Barbu"	"Drumul Bartolomeu Pop Nr. 78 Bl. 53  Sc. 81 Ap. 829
Mioveni, 670282"
"Marin Nistor"	"Strada Dalia Mazilescu Nr. 36 Bl. 90  Sc. 43 Ap. 262
Fundeni, 530730"
"Petre Tabacu"	"Aleea Achim Ababei
Sebes, 855681"
"Teohari Ene"	"Intrarea Nemeș Nr. 81
Suceava, 659145"
"Arian Dobre"	"Soseaua Barbu Nr. 128
Glina, 762753"
"Camil Dinu"	"Bulevardul Antoaneta Niță Nr. 190
Techirghiol, 238674"
"Laurenția Dinu"	"Bulevardul Tabacu Nr. 17
Agnita, 327748"
"Ancuța Toma"	"Strada Vasile Dinu Nr. 99
Domnesti, 574317"
"Stanca Stancu"	"Drumul Dorian Cristea Nr. 779 Bl. 46  Sc. 56 Ap. 270
Siret, 487894"
"Ariadna Eftimie"	"Strada Manole Nr. 394 Bl. 37  Sc. 40 Ap. 732
Branesti, 708361"
"Alina Popescu"	"Drumul Ariadna Gheorghiu Nr. 366 Bl. 40  Sc. 31 Ap. 401
Gaesti, 654402"
"Lucrețiu Toma"	"Strada Nistor
Baciu, 152614"
"Arsenie Stănescu"	"Bulevardul Popescu
Constanta, 418392"
"Teohari Nistor"	"Aleea Jean Stoica Nr. 51 Bl. 82  Sc. 32 Ap. 536
Baraolt, 986060"
"Horia Mocanu"	"Drumul Popa
Sandominic, 890032"
"Livia Florea"	"Strada Petrișor Dima Nr. 29
Zalau, 275225"
"Cleopatra Suciu"	"Drumul Gina Cristea Nr. 207
Zalau, 346893"
"Ana Oprea"	"Drumul Preda Nr. 240 Bl. 15  Sc. 40 Ap. 376
Lupeni, 310687"
"Lili Preda"	"Aleea Barbu Nr. 352
Draganesti-Olt, 169460"
"Eugen Stancu"	"Soseaua Voinea Nr. 666
Fetesti-Gara, 908525"
"Zeno Georgescu"	"Aleea Tudor Nr. 26
Gherla, 673954"
"Crenguța Stoica"	"Strada Casian Dima Nr. 14
Rasnov, 207298"
"Ivan Manole"	"Drumul Ababei Nr. 46
Valenii de Munte, 101431"
"Teohari Nistor"	"Soseaua Diaconu
Dragalina, 341737"
"Dida Ene"	"Bulevardul Marian Marin
Balotesti, 119947"
"Iolanda Marin"	"Strada Dominic Stancu Nr. 36 Bl. 17  Sc. 40 Ap. 896
Feldru, 631817"
"Sabina Dobre"	"Strada Barbu Stancu
Tandarei, 547374"
"Dan Dobre"	"Soseaua Lili Diaconu Nr. 548
Babadag, 465071"
"Mona Florea"	"Soseaua Nistor Nr. 54 Bl. 75  Sc. 27 Ap. 149
Caracal, 155447"
"Frederic Manole"	"Drumul Costin Dumitrescu
Bosanci, 403257"
"Petre Ababei"	"Intrarea Albu
Buzau, 258252"
"Cezara Ene"	"Intrarea Ababei Nr. 159
Horodnic de Sus, 230117"
"Zina Ionescu"	"Intrarea Luciana Manole Nr. 629 Bl. 63  Sc. 47 Ap. 162
Mioveni, 492117"
"Teohari Popa"	"Bulevardul Dochioiu Nr. 19
Fetesti-Gara, 638116"
"Grațiana Manole"	"Drumul Toma
Vicovu de Sus, 859642"
"Ivona Toma"	"Strada Diaconescu Nr. 462 Bl. 31  Sc. 65 Ap. 977
Siret, 472906"
"Sever Oprea"	"Soseaua Corvin Toma Nr. 54 Bl. 19  Sc. 49 Ap. 150
Sighetu Marmatiei, 482776"
"Lucian Stănescu"	"Drumul Cristea Nr. 129 Bl. 89  Sc. 24 Ap. 546
Modelu, 388825"
"Ancuța Ionescu"	"Intrarea Leontin Preda Nr. 616
Arad, 544880"
"Adelina Aanei"	"Strada Tania Voinea Nr. 70
Sibiu, 179886"
"Norbert Georgescu"	"Aleea Daciana Voinea
Ocna Mures, 927503"
"Larisa Ionescu"	"Soseaua Diaconu Nr. 81 Bl. 54  Sc. 40 Ap. 186
Baraolt, 883531"
"Felix Mazilescu"	"Intrarea Marin Nr. 381 Bl. 63  Sc. 49 Ap. 448
Ovidiu, 147077"
"Teohari Stancu"	"Strada Cristea
Jimbolia, 125422"
"Jana Gheorghiu"	"Soseaua Nistor
Baciu, 181896"
"Daniela Ioniță"	"Strada Ene Nr. 89
Bals, 743136"
"Aleodor Pop"	"Intrarea Larisa Stoica
Targu Secuiesc, 790443"
"Bucur Nistor"	"Bulevardul Barbu Nr. 30 Bl. 68  Sc. 66 Ap. 111
Topoloveni, 123485"
"Oliviu Suciu"	"Bulevardul Tudor Nr. 17
Oravita, 461826"
"Arina Stancu"	"Aleea Mazilescu
Cluj-Napoca, 182096"
"Salomea Pop"	"Soseaua Stănescu Nr. 735 Bl. 71  Sc. 23 Ap. 685
Jibou, 375577"
"Tudor Manole"	"Drumul Nemeș Nr. 785
Sebis, 684116"
"Mugur Nistor"	"Bulevardul Oprea Nr. 39 Bl. 29  Sc. 58 Ap. 357
Stei, 909490"
"Teohari Tudor"	"Bulevardul Nistor Nr. 470 Bl. 77  Sc. 31 Ap. 547
Lipova, 515527"
"Alida Cristea"	"Bulevardul Ardelean
Turda, 343240"
"Costel Tomescu"	"Bulevardul Dumitrescu Nr. 940 Bl. 93  Sc. 38 Ap. 888
Horodnic de Sus, 979476"
"Mihail Aanei"	"Bulevardul Albu Nr. 16
Alexandria, 564804"
"Bartolomeu Suciu"	"Bulevardul Georgian Suciu Nr. 562
Constanta, 623211"
"Natalia Stănescu"	"Bulevardul Sorina Georgescu Nr. 747
Bosanci, 357317"
"Eusebiu Dobre"	"Drumul Dima
Focsani, 180347"
"Axinte Tudor"	"Strada Suciu Nr. 72
Baile Borsa, 963531"
"Aristița Ababei"	"Bulevardul Constantin Ioniță Nr. 672 Bl. 60  Sc. 48 Ap. 553
Pantelimon, 493564"
"Lioara Albu"	"Strada Eduard Tomescu Nr. 28
Avrig, 545783"
"Teona Pușcașu"	"Aleea Diaconu Nr. 16 Bl. 42  Sc. 62 Ap. 836
Dorohoi, 221748"
"Vicenția Ababei"	"Strada Manole Nr. 344 Bl. 92  Sc. 64 Ap. 798
Schela Cladovei, 518116"
"Floarea Nistor"	"Aleea Laura Barbu
Saveni, 365240"
"Sabina Eftimie"	"Soseaua Simona Stancu Nr. 64
Baicoi, 502640"
"Petre Dima"	"Bulevardul Nistor Nr. 314
Odorheiu Secuiesc, 486699"
"Niculiță Barbu"	"Bulevardul Aanei Nr. 37 Bl. 81  Sc. 18 Ap. 381
Remetea, 995426"
"Valeria Ioniță"	"Soseaua Cristea Nr. 412 Bl. 73  Sc. 41 Ap. 240
Moreni, 987973"
"Otilia Nistor"	"Strada Dochioiu
Sancraiu de Mures, 214491"
"Eremia Nemeș"	"Soseaua Eliza Voinea Nr. 271 Bl. 17  Sc. 54 Ap. 428
Pitesti, 901466"
"Sever Popa"	"Aleea Robertina Pop Nr. 36
Resita, 802975"
"Teona Voinea"	"Soseaua Felix Aanei Nr. 391 Bl. 91  Sc. 87 Ap. 794
Peris, 626956"
"Bebe Ardelean"	"Aleea Marcu Stan
Videle, 219229"
"Lăcrămioara Popa"	"Soseaua Marin Nr. 204
Adjud, 666513"
"Jenel Tudor"	"Intrarea Anatolie Diaconu Nr. 226
Pecica, 762084"
"Achim Diaconu"	"Drumul Jan Ioniță
Gheorgheni, 629230"
"Axinte Dinu"	"Intrarea Dumitrescu
Sovata, 705749"
"Carolina Georgescu"	"Soseaua Mihaela Mazilescu
Falticeni, 981406"
