"Ada Hamerla"	"pl. Świerczewskiego 98
76-081 Bielawa" 
"Nela Cherek"	"aleja Skośna 71/19
50-868 Żory"
"pani Sylwia Eckert"	"pl. Kołłątaja 037
08-847 Mława"
"pani Tola Kalota"	"aleja Skośna 43/03
87-083 Oświęcim"
"pan Grzegorz Gajcy"	"plac Poniatowskiego 28/06
16-050 Jastrzębie-Zdrój"
"Damian Gryga"	"plac Lelewela 19
64-650 Bielawa"
"Liwia Zbroszczyk"	"ulica Chmielna 12/33
14-356 Zakopane"
"Ewa Wota"	"pl. Drzymały 80/45
13-459 Chrzanów"
"Fabian Krzyżostaniak"	"plac Witosa 88
69-947 Kielce"
"Alex Wiraszka"	"ul. Słowicza 33/30
10-013 Sandomierz"
"pan Ryszard Stachewicz"	"plac Jana III Sobieskiego 19
99-509 Gorlice"
"Julianna Milcarz"	"plac Baczyńskiego 07/07
38-795 Dąbrowa Górnicza"
"Gaja Piechura"	"ulica Krasińskiego 95/19
75-271 Września"
"Olga Pacyga"	"ulica Przechodnia 03
29-180 Września"
"pan Gustaw Bródka"	"al. Sienkiewicza 942
80-020 Zakopane"
"pan Tymoteusz Świerszcz"	"aleja Głogowa 616
43-594 Zgorzelec"
"Dawid Magier"	"plac Piłsudskiego 37
07-489 Kędzierzyn-Koźle"
"Jakub Matwiejczyk"	"al. Gałczyńskiego 791
69-875 Świdnica"
"Olgierd Olko"	"al. Wiśniowa 86/86
76-168 Kościerzyna"
"pan Jacek Reszke"	"ulica Zacisze 681
48-572 Luboń"
"Rozalia Świerad"	"ul. Brzechwy 74
43-146 Brodnica"
"Kacper Hanc"	"ulica Irysowa 28
56-148 Czerwionka-Leszczyny"
"Olga Stempin"	"pl. Tysiąclecia 88
35-329 Sanok"
"Maciej Delekta"	"pl. Drzymały 853
49-441 Goleniów"
"pan Gustaw Irla"	"ulica Skłodowskiej-Curie 463
69-418 Gdynia"
"pan Łukasz Strawa"	"al. Bydgoska 96/33
60-079 Tarnowskie Góry"
"Dariusz Gregorczuk"	"ulica Kossaka 13
58-579 Jelenia Góra"
"pani Marika Płócienniczak"	"pl. Nałkowskiej 58
04-216 Augustów"
"Monika Andziak"	"plac Wybickiego 17
75-894 Oświęcim"
"pani Angelika Wojtczuk"	"pl. Floriana 482
91-463 Koszalin"
"Franciszek Roskosz"	"pl. Wróblewskiego 69/70
23-516 Kutno"
"pani Eliza Halik"	"al. Skłodowskiej-Curie 31
35-109 Przemyśl"
"Bartek Woda"	"ul. Batalionów Chłopskich 50
47-916 Szczecin"
"pan Tadeusz Gęca"	"al. Cyprysowa 333
34-264 Piaseczno"
"pan Gustaw Łakota"	"aleja Tysiąclecia 90
92-883 Rybnik"
"Anastazja Kozłowicz"	"ul. Kwiatowa 54/60
33-699 Będzin"
"Kaja Bociek"	"plac Bolesława Krzywoustego 354
25-295 Świdnik"
"Marika Ziarno"	"plac Władysława Łokietka 859
92-190 Gniezno"
"Roksana Trzop"	"plac Grottgera 901
38-651 Kłodzko"
"Krzysztof Danilczuk"	"plac Żwirki i Wigury 50
62-831 Leszno"
"pan Leon Tomal"	"ul. Kasztanowa 29/12
30-508 Mińsk Mazowiecki"
"Ksawery Kudłacz"	"aleja Podmiejska 22/90
50-936 Łowicz"
"Urszula Ufnal"	"al. Solidarności 03
49-700 Płońsk"
"pani Anita Siewert"	"al. Norwida 408
87-205 Lębork"
"pan Hubert Dębosz"	"plac Korczaka 95/94
17-865 Chojnice"
"Łukasz Gabara"	"aleja Mickiewicza 946
83-129 Dąbrowa Górnicza"
"Olgierd Kalota"	"ulica Gałczyńskiego 85
96-820 Radom"
"Kalina Laskus"	"ulica Prusa 496
54-819 Jelenia Góra"
"pani Nicole Szmelter"	"aleja Jana Sobieskiego 69
60-873 Starachowice"
"Grzegorz Delikat"	"ulica Kilińskiego 45/74
17-318 Chełm"
"Andrzej Osipowicz"	"ul. Żurawia 55
11-528 Wodzisław Śląski"
"Kalina Dębosz"	"al. Floriana 414
52-137 Grodzisk Mazowiecki"
"Dariusz Pospiech"	"al. Grunwaldzka 589
13-268 Malbork"
"Melania Maraszek"	"plac Kosynierów 65
52-135 Kędzierzyn-Koźle"
"pan Hubert Składanek"	"plac Kościuszki 87/54
36-952 Zamość"
"Antoni Pacyga"	"pl. Solidarności 72
27-714 Łowicz"
"Ignacy Pachołek"	"al. Szpitalna 04
69-205 Knurów"
"Jacek Bartocha"	"ulica Wiosenna 50/53
70-154 Gorzów Wielkopolski"
"Dorota Pacocha"	"al. Sawickiej 94/25
25-417 Rybnik"
"pan Natan Flisek"	"aleja Spacerowa 446
34-477 Świnoujście"
"Sandra Maciuszek"	"al. Klasztorna 009
61-665 Nowa Ruda"
"Franciszek Kopij"	"plac Wyzwolenia 16
90-828 Ełk"
"Tadeusz Okraska"	"ul. Wspólna 91/48
56-177 Grodzisk Mazowiecki"
"pan Nataniel Skutnik"	"plac Kochanowskiego 47
15-417 Jelenia Góra"
"pan Ignacy Bazyluk"	"plac Fredry 00
08-398 Ząbki"
"Józef Przewłoka"	"ul. Listopada 77/80
65-819 Czeladź"
"Hubert Drabczyk"	"plac Popiełuszki 040
71-405 Czerwionka-Leszczyny"
"Igor Poczta"	"pl. Popiełuszki 110
25-153 Jawor"
"Eryk Hałat"	"pl. Wojciecha 55/07
39-146 Bielsk Podlaski"
"pani Natasza Klos"	"ulica Reja 270
14-053 Gdynia"
"Arkadiusz Sośniak"	"al. Paderewskiego 683
24-483 Cieszyn"
"pani Tola Dyrek"	"plac Armii Krajowej 20/65
43-465 Gdynia"
"Szymon Wołkowicz"	"ul. Sawickiej 806
29-521 Ostrowiec Świętokrzyski"
"Inga Kiełbus"	"pl. Kruczkowskiego 32/46
31-610 Tarnowskie Góry"
"pan Ignacy Behrendt"	"ul. Kazimierza Wielkiego 639
28-703 Katowice"
"Grzegorz Kluj"	"ul. Asnyka 39
71-188 Nowa Ruda"
"pani Aniela Krzyśków"	"ul. Wybickiego 008
20-584 Zduńska Wola"
"pan Marek Wilkos"	"plac Tuwima 80/19
62-931 Słupsk"
"Wojciech Jeka"	"al. Kochanowskiego 318
09-838 Łowicz"
"pan Ernest Tłuczek"	"ulica Odrzańska 24
49-474 Toruń"
"Albert Przeniosło"	"ul. Widok 73
20-629 Kościan"
"Janina Pakos"	"plac Makuszyńskiego 72
54-119 Grudziądz"
"pan Julian Igras"	"ulica Diamentowa 90/33
02-789 Mińsk Mazowiecki"
"Julian Waraksa"	"pl. Sienkiewicza 58/81
46-367 Słupsk"
"pan Ignacy Gładka"	"ul. Powstańców Śląskich 272
85-662 Kraków"
"pan Nikodem Opoka"	"pl. Kopernika 59/94
15-482 Żyrardów"
"Maks Kamieniarz"	"plac Sienkiewicza 041
79-384 Mława"
"Marcelina Brząkała"	"plac Rynek 455
29-290 Augustów"
"pani Nela Kudełka"	"pl. Stycznia 988
02-321 Ruda Śląska"
"Jeremi Pastucha"	"pl. Moniuszki 945
67-609 Zamość"
"pani Inga Grzywnowicz"	"aleja Jabłoniowa 876
84-992 Knurów"
"Eryk Ceran"	"ul. Waryńskiego 030
55-124 Wodzisław Śląski"
"Alan Paczos"	"pl. Wojska Polskiego 39/69
24-120 Puławy"
"Fabian Mularz"	"ulica Jana Sobieskiego 51/97
95-439 Siedlce"
"pan Ignacy Matyszczak"	"aleja Rybacka 305
38-417 Pszczyna"
"pan Kacper Zaraś"	"al. Kochanowskiego 047
97-049 Luboń"
"Sylwia Pierzak"	"aleja Lipowa 528
35-829 Łowicz"
"Konstanty Kalinka"	"ulica Sikorskiego 706
27-226 Starogard Gdański"
"Antoni Musiolik"	"ulica Lubelska 63
33-865 Skawina"
"Stefan Wardziak"	"ul. Czereśniowa 660
53-716 Sieradz"
"Karina Świtaj"	"pl. Tuwima 694
75-671 Lubliniec"
"pani Blanka Orpel"	"ulica Matejki 49
06-496 Toruń"
"Eryk Naglik"	"aleja Orla 24
47-184 Cieszyn"
"Agnieszka Stępak"	"aleja Drzymały 56/52
66-788 Mielec"
"pan Ignacy Pajda"	"al. Mała 29/79
01-330 Biłgoraj"
"pani Bianka Żugaj"	"al. Sienkiewicza 26
12-441 Jelenia Góra"
"Adam Kolarczyk"	"pl. Krasickiego 67/30
15-728 Lubin"
"Igor Kliszcz"	"ul. Prusa 980
55-615 Bartoszyce"
"pan Andrzej Glonek"	"ulica Częstochowska 15/05
83-786 Lębork"
"Adrianna Bogaczyk"	"al. Mieszka I 97
59-448 Tarnobrzeg"
"Szymon Sławik"	"ul. Korfantego 80
40-881 Goleniów"
"pani Krystyna Berek"	"aleja Rynek 780
44-713 Bielawa"
"Dorota Sykała"	"plac Władysława Jagiełły 18/26
04-069 Legnica"
"Artur Nazarko"	"aleja Wilcza 86
92-528 Malbork"
"pan Ignacy Pakos"	"plac Długosza 25/22
99-865 Stalowa Wola"
"Bruno Krakowczyk"	"pl. Bema 20
07-883 Kołobrzeg"
"Rozalia Machowiak"	"plac Asnyka 908
19-467 Zgorzelec"
"Ewelina Ludwik"	"plac Miłosza 159
80-574 Brzeg"
"Olaf Głowienka"	"al. Żurawia 41/12
82-108 Tarnowskie Góry"
"Daniel Pałgan"	"ulica Spacerowa 74
12-765 Krotoszyn"
"pani Anita Orwat"	"plac Kasprowicza 58/67
59-557 Oława"
"pani Kaja Jany"	"ul. Kraszewskiego 349
06-478 Łomża"
"Emil Jancewicz"	"ulica Kolonia 76
58-481 Mińsk Mazowiecki"
"Bianka Gałaj"	"plac Korczaka 445
11-484 Piotrków Trybunalski"
"pan Igor Domińczak"	"aleja Storczykowa 449
20-682 Wągrowiec"
"pani Kalina Proć"	"aleja Wojciecha 09/00
49-748 Świętochłowice"
"Ada Jeske"	"ulica Krasińskiego 24/34
47-782 Wieluń"
"Jakub Golda"	"pl. Kusocińskiego 36/85
19-198 Siemianowice Śląskie"
"Leonard Czupryna"	"ul. Kasprowicza 250
33-085 Bartoszyce"
"Ryszard Pacia"	"plac Mieszka I 34
10-474 Zamość"
"Ewelina Herda"	"aleja Jałowcowa 32
55-165 Reda"
"Olaf Kozar"	"al. Urocza 448
05-245 Przemyśl"
"pani Aurelia Broniarek"	"ul. Żeromskiego 00/56
79-185 Sochaczew"
"pan Antoni Knapek"	"plac Mickiewicza 44
55-649 Malbork"
"pan Igor Grymuza"	"ul. Srebrna 394
32-893 Żory"
"Piotr Hadała"	"ul. Żeromskiego 46
28-003 Zgorzelec"
"pani Marcelina Kaźmierczyk"	"aleja Kochanowskiego 817
90-195 Malbork"
"Klara Fidor"	"plac Poniatowskiego 432
31-713 Siemianowice Śląskie"
"Wojciech Zimoląg"	"al. Głogowa 025
43-802 Swarzędz"
"Bianka Frydel"	"plac Maja 834
18-149 Elbląg"
"pan Artur Milcarz"	"ul. Dolna 346
39-252 Chorzów"
"Borys Zys"	"al. Listopada 85/02
52-900 Szczecin"
"Blanka Daraż"	"plac Jana 170
52-117 Bielsko-Biała"
"pan Bruno Pachla"	"plac Rejtana 01/23
62-130 Środa Wielkopolska"
"pan Igor Kusio"	"al. Wyspiańskiego 697
89-576 Czeladź"
"pan Maksymilian Wojniak"	"plac Słowicza 48/20
70-792 Leszno"
"Andrzej Gąbka"	"ulica Rolna 640
96-097 Świdnica"
"Aleks Mielcarz"	"al. Brzechwy 085
25-715 Biała Podlaska"
"Stanisław Bogusiewicz"	"al. Miłosza 30/06
71-571 Kraśnik"
"pan Iwo Tokaj"	"ulica Moniuszki 60/80
30-257 Reda"
"Bianka Łachacz"	"al. Klonowa 82
35-104 Świecie"
"pan Olgierd Dorawa"	"al. Prusa 16/17
87-114 Elbląg"
"Aurelia Osipowicz"	"al. Morcinka 177
21-646 Żagań"
"Ksawery Zieja"	"aleja Spokojna 501
58-501 Świdnica"
"pan Igor Rozumek"	"aleja Średnia 422
83-297 Łowicz"
"Dariusz Szczypiór"	"ul. Norwida 20/24
59-645 Brzeg"
"Krzysztof Garncarz"	"plac Floriana 39
82-011 Ostróda"
"Agnieszka Mak"	"pl. Popiełuszki 06
41-967 Przemyśl"
"Sandra Rycerz"	"aleja Żytnia 97
06-585 Goleniów"
"Ewa Jośko"	"ul. Mieszka I 18
19-447 Ząbki"
"Iwo Leśna"	"aleja Podleśna 79/61
20-158 Grodzisk Mazowiecki"
"pani Aniela Derek"	"ul. Wesoła 31
75-944 Mikołów"
"Witold Pilarek"	"aleja Rejtana 42/00
12-118 Sanok"
"pani Nicole Frydrychowicz"	"al. Głogowa 65/22
84-414 Siedlce"
"pan Iwo Buza"	"aleja Rózana 168
46-267 Olkusz"
"Jan Kaluga"	"pl. Listopada 886
41-531 Piaseczno"
"pani Janina Rogacz"	"al. Makuszyńskiego 271
25-185 Reda"
"Ewa Dering"	"al. Lisia 717
12-252 Jarocin"
"Alex Giel"	"ul. Wojska Polskiego 052
73-392 Chrzanów"
"Jerzy Rawa"	"pl. Konopnickiej 14
31-966 Chorzów"
"Eryk Pyza"	"ul. Powstańców Śląskich 159
30-612 Wieluń"
"Leon Kościesza"	"pl. Piłsudskiego 041
84-244 Nowa Ruda"
"Sebastian Cydzik"	"al. Kopernika 46/48
40-091 Sandomierz"
"pani Sara Parzyszek"	"pl. Staffa 264
31-649 Świecie"
"pan Iwo Miąsik"	"al. Jasna 251
15-644 Katowice"
"pani Apolonia Ryszkiewicz"	"ulica Przechodnia 335
24-229 Chorzów"
"pan Oliwier Świerad"	"al. Długosza 59
28-719 Bolesławiec"
"pan Ignacy Mitek"	"al. Sikorskiego 45
73-215 Zawiercie"
"Stanisław Reszke"	"plac Wybickiego 50/69
93-517 Mikołów"
"Dagmara Podsiedlik"	"ulica Mieszka I 75/66
71-566 Myszków"
"Kalina Dargacz"	"aleja Głowackiego 06
08-103 Radom"
"pani Liwia Zdobylak"	"aleja Poniatowskiego 97/79
98-203 Częstochowa"
"Tymon Mikoda"	"ul. Daszyńskiego 90
17-448 Kołobrzeg"
"pan Przemysław Borysiuk"	"pl. Piłsudskiego 38/88
69-280 Kluczbork"
"pan Iwo Oczko"	"ul. Cisowa 41/23
97-945 Sochaczew"
"pani Nela Sacharczuk"	"ulica Powstańców Śląskich 73
24-942 Biłgoraj"
"Aniela Duszkiewicz"	"ul. Kruczkowskiego 756
52-240 Lubliniec"
"Agnieszka Palej"	"pl. Reja 86/55
34-112 Oświęcim"
"pan Oskar Omiotek"	"pl. Kościuszki 66/94
71-897 Oława"
"Mikołaj Andryszczyk"	"pl. Bema 06
35-746 Zawiercie"
"Patryk Ogłaza"	"ul. Żwirki i Wigury 45/80
63-788 Luboń"
"Cyprian Reszke"	"ul. Czarnieckiego 831
18-833 Rzeszów"
"Ksawery Makosz"	"ulica Kościuszki 96/17
25-794 Świnoujście"
"Natasza Raba"	"pl. Kołłątaja 998
95-975 Sandomierz"
"pan Jacek Machowiak"	"aleja Widok 100
20-829 Gorzów Wielkopolski"
"Rafał Uroda"	"plac Tysiąclecia 449
89-232 Jawor"
"pani Nela Słupik"	"aleja Andersa 07
20-397 Gorlice"
"Radosław Heller"	"ul. Pułaskiego 67/80
27-129 Oława"
"Borys Kałwak"	"ulica Korfantego 956
08-601 Piaseczno"
"Mateusz Ludwisiak"	"aleja Malczewskiego 57/61
03-193 Kutno"
"Krzysztof Karczmarek"	"aleja Solidarności 34/60
26-428 Świnoujście"
"Iwo Puch"	"al. Jesionowa 92
40-093 Ostrowiec Świętokrzyski"
"pan Grzegorz Paździora"	"ulica Poniatowskiego 03/49
63-159 Bełchatów"
"Kamila Superson"	"ul. Słowicza 46/75
31-112 Kraśnik"
"pan Jakub Ciuruś"	"plac Partyzantów 98/17
47-656 Żagań"
"Dagmara Kurzyna"	"ulica Kalinowa 386
77-182 Rumia"
"Klara Paściak"	"plac Słowackiego 14/70
34-700 Szczytno"
"Ada Wylegała"	"pl. Skargi 998
31-467 Reda"
"pan Maks Budzyń"	"aleja Żwirowa 92/10
07-314 Wołomin"
"pani Anastazja Faruga"	"aleja Okrężna 433
64-557 Nowy Sącz"
"Sandra Bartman"	"ulica Drzymały 07/37
95-015 Nowy Sącz"
"pani Marika Cop"	"al. Sienkiewicza 07/63
79-520 Swarzędz"
"Bianka Iwanow"	"pl. Rynek 674
81-343 Wałbrzych"
"Ewelina Sapa"	"pl. Kosynierów 671
36-098 Chojnice"
"pan Jakub Leszczuk"	"pl. Listopada 931
99-207 Olkusz"
"Alan Mitek"	"ulica Wiślana 051
92-635 Kościerzyna"
"Janina Dubik"	"pl. Mieszka I 12
30-738 Wejherowo"
"Tobiasz Ryfa"	"ulica Wojciecha 44
31-533 Jarosław"
"Cyprian Cięciwa"	"pl. Wyzwolenia 09
57-749 Tarnów"
"Tymon Keler"	"ulica Sawickiej 394
99-196 Bartoszyce"
"Tymon Mironiuk"	"ulica Miłosza 57/62
04-375 Gliwice"
"pani Marika Hejna"	"ul. Waryńskiego 46
28-315 Zabrze"
"Monika Bystroń"	"al. Prusa 962
86-412 Mińsk Mazowiecki"
"Dariusz Warych"	"aleja Plażowa 505
81-666 Malbork"
"pan Jakub Stark"	"ul. Wesoła 61
55-967 Nowy Sącz"
"Sandra Zmuda"	"plac Wieniawskiego 25
93-898 Iława"
"Mieszko Gruchot"	"pl. Kusocińskiego 89/41
11-329 Malbork"
"Dorota Janoszek"	"ul. Zacisze 115
52-944 Wągrowiec"
"Nikodem Durlej"	"ul. Dębowa 29/93
01-971 Biłgoraj"
"Melania Nalazek"	"aleja Wieniawskiego 982
34-932 Luboń"
"Malwina Wyrostek"	"ul. Piłsudskiego 71/64
28-036 Pabianice"
"Tymon Maciejuk"	"aleja Wąska 184
70-625 Reda"
"Urszula Orzeszek"	"ulica Fredry 47
26-620 Zgierz"
"Mateusz Pernak"	"al. Spółdzielcza 863
11-567 Wałbrzych"
"pan Jan Botor"	"al. Okrężna 94
48-289 Czeladź"
"pan Alex Żal"	"plac Wojska Polskiego 62
66-332 Pabianice"
"Albert Niesporek"	"pl. Chopina 266
28-421 Ostrów Wielkopolski"
"Maks Wacław"	"al. Popiełuszki 978
14-926 Tarnów"
"Marcelina Wąsala"	"ulica Akacjowa 44
62-292 Koło"
"Witold Uliasz"	"al. Storczykowa 935
06-234 Piotrków Trybunalski"
"pani Aurelia Konrad"	"plac Skargi 44
15-733 Kędzierzyn-Koźle"
"pan Dominik Wesoły"	"ul. Asnyka 808
23-854 Bełchatów"
"Karol Kuczaj"	"aleja Cmentarna 867
65-551 Chrzanów"
"Julita Klupś"	"al. Szarych Szeregów 643
28-065 Koło"
"pan Jan Szymajda"	"ulica Popiełuszki 74
83-607 Legnica"
"Aurelia Glaza"	"pl. Tysiąclecia 347
92-542 Mikołów"
"Tobiasz Bruś"	"ul. Jeziorna 93
71-202 Giżycko"
"Gustaw Nurek"	"pl. Sienkiewicza 11
20-517 Brzeg"
"Iwo Gorgol"	"ulica Bolesława Krzywoustego 07
33-037 Krosno"
"Maurycy Wiercigroch"	"pl. Żeromskiego 52
64-629 Ełk"
"Jan Wojcik"	"plac Asnyka 34/78
95-313 Czerwionka-Leszczyny"
"Fryderyk Bondyra"	"ulica Wybickiego 55/47
11-158 Radomsko"
"pani Anita Sobków"	"ul. Wiązowa 183
01-475 Skawina"
"pan Fabian Mazan"	"plac Poniatowskiego 89/78
57-287 Żywiec"
"pan Jan Wiertel"	"plac Wyszyńskiego 08
29-246 Czeladź"
"Fabian Hapka"	"al. Wieniawskiego 96
12-029 Wałcz"
"Błażej Szczepaniuk"	"aleja Hallera 597
51-435 Police"
"Albert Komisarczyk"	"plac Grottgera 79/19
64-669 Jastrzębie-Zdrój"
"Eliza Pacura"	"pl. Gałczyńskiego 55
88-860 Legnica"
"pani Liwia Dyka"	"pl. Kościuszki 67/84
12-633 Gliwice"
"Krystian Gleba"	"pl. Kochanowskiego 97/99
09-462 Iława"
"Blanka Grzebyk"	"plac Mieszka I 642
43-791 Łuków"
"Maks Cegła"	"plac Listopada 21/87
97-709 Ełk"
"Nikodem Augustynek"	"aleja Słowicza 23/79
66-382 Gorlice"
"pan Jeremi Monkiewicz"	"pl. Rejtana 82/50
57-617 Świnoujście"
"Juliusz Kasica"	"ulica Słowicza 70
83-962 Grudziądz"
"Łukasz Lorens"	"pl. Powstańców Śląskich 81
80-410 Oleśnica"
"Witold Wołoszczuk"	"ul. Lipca 82
73-760 Bartoszyce"
"Maks Wołoszyk"	"ul. Wyspiańskiego 69
11-747 Augustów"
"pani Marianna Joniak"	"ulica Jastrzębia 27/31
30-870 Zawiercie"
"pan Kacper Szachniewicz"	"plac Bolesława Chrobrego 549
19-965 Bełchatów"
"Paweł Raźny"	"ul. Sawickiej 978
12-034 Toruń"
"pan Oliwier Kuśka"	"plac Wojska Polskiego 075
12-396 Stalowa Wola"
"Klara Mirocha"	"al. Pogodna 958
78-434 Cieszyn"
"pan Jeremi Sass"	"pl. Skargi 283
85-291 Ruda Śląska"
"Janina Kiełbus"	"aleja Maja 41
97-377 Świebodzice"
"Karina Fijoł"	"aleja Piłsudskiego 84/32
29-872 Bielawa"
"Marek Tórz"	"al. Popiełuszki 557
60-514 Polkowice"
"pani Elżbieta Krauza"	"al. Jabłoniowa 83/69
74-106 Konin"
"Ewa Tywoniuk"	"ulica Gdańska 99
04-549 Bielsk Podlaski"
"Monika Magier"	"plac Kossaka 40/49
19-312 Brodnica"
"Bartek Karkocha"	"plac Skargi 42
08-203 Nowy Dwór Mazowiecki"
"Jędrzej Faryna"	"plac Wyszyńskiego 656
33-449 Myszków"
"Eliza Kawiak"	"plac Traugutta 114
59-917 Kołobrzeg"
"pan Jerzy Janoszka"	"pl. Miłosza 81/05
38-152 Mikołów"
"pani Ewa Reichel"	"plac Gałczyńskiego 56/92
02-471 Opole"
"pani Elżbieta Ławniczek"	"ulica Pszenna 96/00
53-070 Tarnowskie Góry"
"Leon Pytlarz"	"plac Asnyka 64/24
95-713 Białystok"
"Eryk Dubik"	"aleja Robotnicza 74/47
59-945 Tarnów"
"Anita Pazdan"	"al. Turystyczna 89
98-166 Jawor"
"Adrianna Skubis"	"plac Paderewskiego 72/25
93-931 Sanok"
"Blanka Ambrożewicz"	"pl. Korfantego 07
80-096 Giżycko"
"Julianna Pych"	"aleja Kolonia 754
67-073 Przemyśl"
"Marcin Łabuś"	"al. Dworcowa 58/73
18-218 Kołobrzeg"
"pan Jerzy Sadowy"	"pl. Jana 29
39-300 Oleśnica"
"Piotr Krzysztoszek"	"al. Kowalska 96/38
47-329 Kraśnik"
"Jerzy Zioła"	"ul. Okrężna 997
90-100 Żywiec"
"Karina Białasik"	"pl. Moniuszki 18
67-504 Bydgoszcz"
"pan Hubert Siwczak"	"al. Mickiewicza 223
69-952 Iława"
"Kornelia Trybuś"	"aleja Wrocławska 58
35-065 Żary"
"Witold Paleń"	"ulica Bolesława Chrobrego 86/27
07-487 Bełchatów"
"Maks Kamieniak"	"al. Powstańców Wielkopolskich 253
83-589 Gniezno"
"Szymon Rusiniak"	"plac Żwirki i Wigury 685
96-722 Jawor"
"Dariusz Tarasek"	"pl. Gałczyńskiego 45
22-008 Kwidzyn"
"pan Julian Łapaj"	"pl. Makuszyńskiego 75
75-702 Koszalin"
"Stanisław Graban"	"aleja Skłodowskiej-Curie 87/85
16-720 Radom"
"Jerzy Ogłaza"	"plac Daszyńskiego 402
51-999 Bielsko-Biała"
"Sebastian Gołoś"	"al. Kasprowicza 836
70-076 Łaziska Górne"
"Wiktor Hennig"	"ul. Zdrojowa 742
95-714 Iława"
"Malwina Dulemba"	"al. Bema 06
93-392 Płońsk"
"Łukasz Furgał"	"ul. Jeziorna 48
42-930 Żary"
"Damian Mazik"	"aleja Sybiraków 94/00
99-453 Ciechanów"
"pani Aniela Zadka"	"aleja Krzywa 93
33-143 Krosno"
"Agnieszka Miodek"	"plac Traugutta 14/76
99-504 Ostrów Wielkopolski"
"pan Julian Żabierek"	"pl. Norwida 91
39-350 Bochnia"
"Urszula Salawa"	"ul. Brzozowa 36
29-385 Olsztyn"
"Bruno Trybus"	"ulica Jana Sobieskiego 692
54-106 Kluczbork"
"Mieszko Gwizdek"	"aleja Korfantego 034
91-309 Tychy"
"Artur Ciuruś"	"pl. Krasińskiego 15/00
15-577 Skarżysko-Kamienna"
"Kamila Beśka"	"pl. Batalionów Chłopskich 15/21
89-064 Ciechanów"
"pan Przemysław Orwat"	"ul. Żwirowa 81
23-535 Starachowice"
"Nataniel Durlak"	"al. Broniewskiego 62/58
84-617 Stalowa Wola"
"Igor Mordal"	"ulica Świerczewskiego 77/97
76-659 Dzierżoniów"
"Wiktor Niedośpiał"	"pl. Bolesława Krzywoustego 017
01-463 Sochaczew"
"pan Juliusz Huber"	"ulica Klasztorna 73
01-796 Zgorzelec"
"Melania Durys"	"al. Jana 69/30
25-961 Krosno"
"pan Tymoteusz Trzop"	"al. Starowiejska 04/48
01-749 Tychy"
"pan Kacper Fidura"	"al. Orkana 23
24-652 Leszno"
"Anita Rembisz"	"plac Władysława Łokietka 578
72-045 Krotoszyn"
"Malwina Oczko"	"aleja Paderewskiego 20
85-089 Jawor"
"pani Olga Filusz"	"ul. Długosza 36
19-351 Łomża"
"Apolonia Madzia"	"ul. Mickiewicza 917
75-853 Piastów"
"Antoni Krzeszowiec"	"plac Powstańców Wielkopolskich 988
68-873 Iława"
"Witold Brachman"	"al. Gałczyńskiego 925
28-118 Jarosław"
"pan Juliusz Orawiec"	"ul. Wiosenna 96/87
37-119 Wieluń"
"pan Jeremi Jamroz"	"aleja Górska 75/11
35-096 Kędzierzyn-Koźle"
"Agnieszka Dunal"	"plac Skargi 56/59
05-140 Goleniów"
"Cyprian Krzywonos"	"plac Ściegiennego 49/83
52-298 Nowa Ruda"
"Angelika Deluga"	"aleja Starowiejska 69
44-439 Września"
"pan Igor Wudarczyk"	"aleja Orzeszkowej 289
19-714 Mielec"
"Franciszek Kolendo"	"plac Malczewskiego 06
65-794 Leszno"
"pan Albert Bystrek"	"aleja Wieniawskiego 786
89-494 Wołomin"
"pan Józef Nikel"	"al. Witosa 04/63
15-034 Gorzów Wielkopolski"
"Ida Jarczyk"	"ulica Krótka 420
53-698 Wałcz"
"pan Józef Żabierek"	"al. Orzeszkowej 51/17
08-488 Lublin"
"pan Antoni Getka"	"aleja Nałkowskiej 662
18-423 Legionowo"
"Angelika Opas"	"ul. Szewska 26/70
57-883 Warszawa"
"pani Melania Bródka"	"al. Perłowa 37/01
64-128 Mińsk Mazowiecki"
"pan Michał Hejna"	"al. Kosynierów 15
80-723 Gdynia"
"Dorota Rycerz"	"ul. Wolności 13/06
78-201 Wągrowiec"
"pani Sylwia Kurach"	"aleja Wojska Polskiego 49/03
77-200 Świebodzice"
"Franciszek Rompa"	"ulica Akacjowa 69
44-686 Kościan"
"Marcel Kubów"	"al. Graniczna 74/11
26-820 Jelenia Góra"
"Inga Rosada"	"ulica Górnicza 677
19-510 Dąbrowa Górnicza"
"pan Jędrzej Janiszek"	"al. Lawendowa 973
32-185 Kielce"
"Kacper Grzeszkowiak"	"plac Kopernika 691
02-238 Ostróda"
"pan Radosław Kuban"	"aleja Wybickiego 74/21
55-570 Ostrów Mazowiecka"
"pani Tola Ulrych"	"plac Bolesława Chrobrego 13/95
26-733 Gdańsk"
"Malwina Jędrys"	"al. Ściegiennego 531
48-123 Wyszków"
"Damian Michniak"	"pl. Żeromskiego 38
30-382 Gdańsk"
"Karina Buława"	"ul. Paderewskiego 039
79-193 Inowrocław"
"pan Jeremi Majos"	"plac Jana III Sobieskiego 40
37-732 Ełk"
"Kornelia Matula"	"plac Ściegiennego 27/94
06-491 Skawina"
"Olga Bugno"	"aleja Wieniawskiego 44/22
16-786 Łaziska Górne"
"pan Jędrzej Wenda"	"plac Chełmońskiego 006
42-891 Augustów"
"Tymoteusz Gierak"	"plac Czarnieckiego 274
36-631 Mielec"
