"A. Fehér Gábor","Kereszthidai utca 215.
H-1269 Dunakeszi" 
"Dr. Némethné Hegedűs Dóra Mária","Ligethidai utca 100.
H-8238 Dunakeszi"
"Gáspár M. Balázs","Nyírszéki utca 21.
H-2368 Nyírtamásiváros"
"Dr. G. Szabó Zoltán","Nyéktapolcai utca 92.
H-4467 Székesfehérvár"
"Dr. Nemesné Szabó Alexandra","Fürdőkőrösi utca 118.
H-3149 Györgyhalas"
"Nemes Sándor Ilona","Fürdővárai utca 213.
H-3890 Mindszentháza"
"Orsósné Szűcs Ildikó Viktória","Békésligeti utca 225.
H-2599 Veszprém"
"T. Hajdu Éva","József attila utca 237.
H-1948 Györgybánya"
"Major Miklósné Horváth Nikolett","Hetvenkőrösi út 208.
H-7407 Budapest"
"Dr. Molnárné Tóth Ildikó","Arany jános utca 120.
H-8334 Tótháza"
"Dr. Tóth Bence","Szabadság utca 120.
H-2668 Budakeresztfalu"
"Szilágyi Imre Tamás","Pusztaháti tér 175.
H-7978 Dunaújváros"
"Tóth K. László","Alsótóti utca 206.
H-2666 Balatonszéknémeti"
"Dr. Papp Attilané","Mátrai utca 204.
H-7093 Hídberény"
"Prof. Dr. Király Szabolcsné","Hódmezővásárhelyi utca 225.
H-9580 Egyházasfürdővég"
"Oláh C. Margit","Magyarmelléki út 164.
H-7289 Nádasd"
"Dr. Kiss Ákosné","Székfalvai utca 129.
H-1135 Hódmezővásárhely"
"T. Horváth János","Dunatóti utca 69.
H-4379 Magyarhídberény"
"Dr. Balázsné Tóth Róza","Szigetszentmiklósi utca 219.
H-2208 Bácshátapáti"
"Dr. Orbán Zsolt","Kaposvári utca 38.
H-4749 Szerbtamásibánya"
"Balázs Szabó János","Székesfehérvári út 111.
H-9546 Debrecen"
"Dr. Juhász Kovács Katalin","Szentháti út 33.
H-9234 Németmindszentbánya"
"Szalai Farkas Judit","Nagykanizsai utca 10.
H-8492 Vác"
"Prof. Dr. László Margit Dóra","Nyírháti út 203.
H-7228 Nyékmártonvára"
"Dr. Gulyás Gábor Dávid","Béke utca 243.
H-9922 Baja"
"Takács Mária","Felsőhetveni tér 29.
H-4963 Szentmindszentvár"
"Dr. Kiss Gergely István","Oroszmelléki utca 30.
H-5269 Dunatapolcadevecser"
"T. Király Noémi","Nyíregyházai utca 243.
H-9732 Rácmellékkövesd"
"Fekete Balázs","Kunmártoni utca 226.
H-4290 Dunahátvár"
"Kiss Katalin Jolán","Egyházastamásii utca 144.
H-9903 Hídnádasd"
"Dr. Kovács Máténé","Arany jános utca 116.
H-7963 Székharaszti"
"Dr. Horváth Erika Margit","Váci utca 135.
H-4606 Mosonligetvár"
"Tóth József Tibor","Egyházasmártoni utca 189.
H-9189 Szerbfürdőfalva"
"Dr. Kovács Nóra Anikó","Ady endre utca 53.
H-3286 Fürdőberény"
"Dr. Horváth Máté Renáta","Belsőháti utca 69.
H-4375 Kunmártonfalva"
"Horváth Szabolcsné Rácz Judit","Alsómártoni utca 2.
H-6146 Kecskemét"
"Rácz Balázsné Balogh Erzsébet","Székesfehérvári utca 161.
H-7821 Szentmindszentvárad"
"T. Kovács Tamás","Mindszentvárosi utca 105.
H-7702 Keresztbánya"
"B. Nagy Zsuzsanna","Györgyvárai utca 36.
H-7970 Tótvár"
"Dr. Szabó Székely Sándor","Soproni utca 216.
H-7340 Hídhalas"
"Budai I. Nóra","József attila út 104.
H-1742 Törökhídnádasd"
"Nagy Kovács Terézia","Váci tér 162.
H-6003 Tamásikövesd"
"Dr. Bálint Irén Terézia","Alsótamásii utca 109.
H-1654 Veszprém"
"Szabó A. Lajos","Miskolci utca 184.
H-6578 Érd"
"Dr. Horváth Gézané","Mellékkövesdi utca 21.
H-5897 Alsókeresztvárad"
"Lakatos Lajosné Jónás Krisztina","Mindszentfalui utca 128.
H-6469 Magyarfürdőnádasd"
"Dr. Varga Máté Imre","Szegedi tér 120.
H-5910 Oroszhátkövesd"
"T. Papp Ernő","Arany jános utca 9.
H-7464 Dunakeszi"
"L. Váradi Tamás","Nagytamásii utca 64.
H-7702 Zalaegerszeg"
"Dr. Lakatosné Takács Judit Tünde","Bakonykereszti utca 7.
H-1616 Mellékhida"
"Dr. Kerekes Tamásné","Ady endre út 8.
H-7462 Mártonberény"
"Jónás Péter Imre","Mátratóti utca 52.
H-1933 Miskolc"
"Dr. R. Kiss Katalin","Alsógyörgyi utca 185.
H-5512 Pécs"
"Törökné Kiss Katalin","Nagyhetveni tér 75.
H-4908 Eger"
"Bognár Szűcs Dominik","Mosontapolcai utca 197.
H-6166 Fürdővára"
"Dr. Jakab Dóra Zita","Balatonszéki út 94.
H-6723 Oroszgyörgybánya"
"Hegedüs Orsós Alexandra","Bajai utca 171.
H-2803 Újhídfa"
"T. Pintér Balázs","Szerbfürdői utca 35.
H-1551 Székdevecser"
"Fekete Éva","Tótfalvai utca 20.
H-9379 Kisgyörgyvára"
"Dr. Takács Z. György","Váchetveni utca 190.
H-6764 Székkövesd"
"R. Gulyás Irén","Petőfi utca 1.
H-2970 Győr"
"Prof. Dr. C. Lakatos János","József attila utca 143.
H-6009 Somogytótberény"
"Dr. Nagyné Rácz Kinga Melinda","Soproni utca 249.
H-9753 Magyarmindszentkőrös"
"Kovács J. Zalán","Érdi út 171.
H-6926 Törökgyörgyapáti"
"Horváth Dezsőné Máté Mária","Mezőtapolcai tér 159.
H-6667 Híddevecser"
"Kocsis Nemes Ilona","Béke utca 104.
H-8686 Győr"
"E. Gál Barbara","Györgynádasdi utca 105.
H-5656 Kecskemét"
"T. Takács Benedek","Érdi utca 108.
H-9452 Orosztamásiváros"
"Dr. Dudás György","Mártonvárai tér 224.
H-7870 Tapolcafa"
"Molnár Zoltán Balázs","Tótberényi utca 223.
H-1502 Somogymindszentkövesd"
"Balogh Tünde","Szenthetveni utca 199.
H-4592 Székbánya"
"Szabó Gábor","Székharasztii tér 43.
H-3267 Szerbfürdőnádasd"
"Dr. Némethné Sárközi Erzsébet","Szigetszentmiklósi utca 98.
H-2089 Tamásihida"
"Fekete Erzsébet Nikolett","Tótvárai tér 162.
H-1102 Budapest"
"Kiss R. Éva","Bakonyhetveni utca 151.
H-3164 Mártonharaszti"
"Horváth P. Ilona","Tapolcaharasztii utca 91.
H-3339 Tapolcahalas"
"Borbély Gabriella Eszter","Kecskeméti tér 58.
H-7587 Kismellékvég"
"T. Tamás Mihály","Zalaegerszegi utca 202.
H-8741 Tiszatótkövesd"
"Dr. Mészáros Horváth Mariann","Mártonbányai út 93.
H-7732 Váctamásifalva"
"Varga Pap Norbert","Ózdi utca 220.
H-7020 Kunkeresztkövesd"
"Dr. M. Nagy István","Törökkereszti utca 45.
H-7261 Tiszamindszentfa"
"Szabóné Péter Andrea","Szerbhetveni utca 109.
H-5678 Drávatótfalva"
"Juhász Horváth János","Keresztbányai utca 11.
H-3746 Németfürdőfalu"
"Dr. Tóth Szilágyi Márk","Béke utca 220.
H-3571 Békésmártonkőrös"
"Péter Németh Antal","Debreceni utca 110.
H-2511 Somogyfalu"
"Horváth Ferenc","Hídhidai utca 204.
H-6366 Mindszentfalva"
"M. Boros Zsófia","Debreceni utca 145.
H-8845 Tamásiapáti"
"Takács Balog Erzsébet","Belsőhídi utca 181.
H-3596 Szolnok"
"Dr. Szűcsné Szabó Ibolya","Debreceni tér 198.
H-1151 Némettamásifa"
"Dr. Tóth Szilvia Anna","Mosonkereszti út 222.
H-9091 Szentháthida"
"Dr. Simon Szabolcsné Bakos Erika","Dózsa györgy utca 158.
H-7418 Kuntótháza"
"Nagy Judit","Tapolcaapátii utca 240.
H-1948 Magyarmindszentvárad"
"Dr. R. Márton Lili","Egeri utca 109.
H-8974 Budaszéknémeti"
"Halász János Zoltán","Borsodi utca 78.
H-9655 Fürdőhalas"
"Dr. Szabó Tiborné Orsós Eszter","Váci utca 57.
H-6542 Egyházasligethida"
"Balogh Csaba Attila","Székesfehérvári utca 198.
H-4351 Érd"
"Kiss Balla Réka","Ligethidai utca 206.
H-9118 Drávatamásinádasd"
"Takács Balázs","Ady endre utca 9.
H-8853 Hajdúhídapáti"
"S. Orsós Rozália","Hetvenvárai utca 11.
H-5342 Ligetkőrös"
"Horváth Nagy Miklós","Ligetapátii utca 207.
H-1577 Mindszentvárad"
"Dr. Fehér E. Imre","Tamásivári utca 92.
H-2384 Szerbtapolcavárad"
"Dr. Némethné Nagy Krisztina","Szegedi utca 115.
H-6297 Győr"
"Borbélyné Gál Éva Nikolett","Hódmezővásárhelyi utca 229.
H-5816 Borsodtapolcadevecser"
"Dr. Tóthné Farkas Teréz","Balatoni utca 191.
H-5431 Székfalva"
"Horváth József","Belsőligeti utca 31.
H-7167 Cegléd"
"Dr. Dudás Erikné","Arany jános utca 181.
H-7728 Alsóhetvenapáti"
"Szalai Z. Szilvia","Mezőgyörgyi utca 21.
H-3454 Egyházasmártonapáti"
"Takács Beáta","Szabadság út 152.
H-6538 Dunamellékfalva"
"Dr. Hegedüsné Nagy Anna","József attila utca 165.
H-3588 Békéstótvárad"
"Faragó Mészáros Dóra","Székesfehérvári utca 88.
H-7558 Somogyhídháza"
"Szabó Kocsis Éva","Arany jános utca 179.
H-4788 Zalaegerszeg"
"Biró Ákosné","József attila tér 220.
H-1494 Újmártonharaszti"
"Szabó Katalin Ágnes","Egeri utca 50.
H-8842 Mindszenthida"
"Dr. Fehérné László Ilona Tünde","Drávatóti utca 45.
H-8046 Tatabánya"
"Illésné Dr. Fekete Ilona","Kismindszenti utca 4.
H-5015 Kövesd"
"Kissné Dr. Horváth Irén Mária","Kossuth tér 160.
H-7751 Szeged"
"Dr. Antalné Lakatos Jolán Judit","Fürdőváradi utca 229.
H-2325 Széknémeti"
"Takács Deák Sándor","Belsőháti utca 173.
H-4074 Mártonvára"
"Tóth Noémi","Szegedi utca 59.
H-2142 Újszékvára"
"Sándor Imre Tamás","Szegedi utca 106.
H-9560 Mosonmagyaróvár"
"Horváthné Nagy Éva Anikó","Kossuth utca 230.
H-1811 Nádasd"
"Dr. L. Fábián Zsolt","Petőfi utca 230.
H-6399 Lajoskeresztdevecser"
"Varga Erzsébet","Kecskeméti út 194.
H-5060 Győr"
"J. Tóth Tamás","Bakonymártoni utca 37.
H-4742 Szigetszentmiklós"
"Tóth Kiss Tibor","Kossuth tér 184.
H-6281 Ózd"
"Gulyásné Nagy Ágnes Mária","Béke utca 108.
H-8085 Hódmezővásárhely"
"Dr. Némethné Szabó Boglárka","Békéskereszti utca 146.
H-6840 Zalaegerszeg"
"Takács Henrietta","Szigetszentmiklósi utca 152.
H-9769 Magyarligetkövesd"
"Dr. Oláh Zoltánné Faragó Bernadett","Szentgyörgyi utca 176.
H-9066 Mindszentvár"
"Oláhné Dr. Kiss Mária","Dunakeszii utca 232.
H-1059 Mosontótkőrös"
"Balog Lászlóné Kiss Éva","Ady endre utca 108.
H-3277 Mindszenthalas"
"Hajduné Dr. Kovács Diána","Vácmindszenti utca 135.
H-7107 Fürdőnádasd"
"Kiss Varga Erzsébet","Hátfalui utca 106.
H-8440 Salgótarján"
"Dr. Szabó Lászlóné","Debreceni út 168.
H-1752 Kecskemét"
"Tóth Erzsébet Katalin","Kaposvári utca 133.
H-6762 Belsőhetvenvárad"
"Vörös M. Gábor","Petőfi sándor utca 164.
H-5503 Szombathely"
"Papp J. Tünde","Mosonmártoni út 134.
H-2039 Mosonmagyaróvár"
"Takács I. Balázs","Dózsa györgy utca 121.
H-6653 Budaszékfa"
"Kiss Jánosné Simon Krisztina","Szegedi tér 2.
H-9597 Békéstótháza"
"Bodnár Leventené","Budagyörgyi utca 246.
H-3534 Székvára"
"Sándor Nikoletta Erzsébet","Székesfehérvári utca 164.
H-5041 Mezőszékkövesd"
"Balogh Dániel Tamás","Petőfi utca 184.
H-4085 Miskolc"
"Dr. Szalainé Szabó Éva","Városi utca 147.
H-7941 Salgótarján"
"Horváth Ilona","Václigeti utca 146.
H-3559 Salgótarján"
"Simonné Dr. Kovács Erzsébet","Hídharasztii utca 145.
H-4027 Salgótarján"
"Fehér Nagy László","Ceglédi utca 11.
H-8589 Szigetszentmiklós"
"Dr. Horváth Tiborné Varga Judit","Tamásivégi utca 119.
H-6275 Tapolcavár"
"Takács Jánosné Szabó Edit","Ceglédi utca 117.
H-2737 Mártonharaszti"
"Dr. Oláh Károly","Kuntapolcai utca 100.
H-6933 Keresztvár"
"Kovács Tibor","Bakonymindszenti utca 101.
H-1145 Szerbligetvárad"
"Vargané Gál Tünde","Miskolci utca 169.
H-3684 Kishetvenháza"
"N. Kovács Benedek","József attila utca 191.
H-2013 Balatonmellékharaszti"
"Dr. I. Molnár Bernadett","Mellékhidai utca 195.
H-9952 Dunaszékfalu"
"Váradi István","Béke utca 244.
H-2996 Szigetszentmiklós"
"Dr. Horváth Dudás Ibolya","Székesfehérvári utca 11.
H-6671 Salgótarján"
"Szabóné Dr. Kovács Tünde","Nyékgyörgyi utca 192.
H-6946 Tótháza"
"Dr. Fehérné Vass Erzsébet Katalin","Újgyörgyi utca 25.
H-3041 Nagygyörgykőrös"
"Takács Kis Márk","Drávamelléki utca 141.
H-9944 Nyíregyháza"
"Szabó Béla","Békéscsabai út 101.
H-5064 Tapolcahida"
"Dr. Szabó Imrené Kiss Rebeka","Györgynémetii tér 214.
H-1833 Kunfürdőfa"
"F. Péter Balázs","Hídhalasi tér 177.
H-3099 Mártonvára"
"Dr. Horváth I. Rita","Arany jános utca 89.
H-3560 Szolnok"
"Dr. Tóth Mária","Némettóti utca 23.
H-6952 Érd"
"Dr. Fekete János Attila","Mosonmagyaróvári utca 159.
H-9362 Eger"
"Dr. Farkas Balázs Mária","Falvai út 204.
H-1896 Győr"
"Dr. Pap Tamásné Horváth Gabriella","Keresztházai út 205.
H-5760 Mosonmindszentfalu"
"Jónás Lajos Zsolt","Kishídi tér 51.
H-3515 Szerbtapolcadevecser"
"Takács Molnár László","Ózdi utca 237.
H-4765 Fürdőapáti"
"Szabó V. Mária","Mellékvárosi utca 100.
H-1036 Hídfa"
"Molnár Anikó","Szegedi utca 1.
H-8863 Kaposvár"
"Horváth Márta Anna","Fürdőnémetii utca 189.
H-9789 Cegléd"
"Dr. Gulyásné Horváth Anna","Ady endre utca 219.
H-9065 Tiszaligetnádasd"
"M. Simon Mária","Petőfi utca 52.
H-6045 Cegléd"
"Fekete Kovács Viktória","Ligetfai út 182.
H-1397 Mártonnémeti"
"Dr. Baloghné Bognár Ágnes","Lajosfürdői utca 223.
H-2969 Balatonhíddevecser"
"Simon Rozália","Debreceni utca 58.
H-2554 Nagykanizsa"
"T. Szűcs Csaba","Ady endre utca 32.
H-3280 Győr"
"Takács Oláh Anita","Tatabányai út 31.
H-4364 Hátberény"
"Molnár Attilané Kiss Valéria","Mindszentkövesdi utca 54.
H-1145 Keresztbánya"
"Dr. Tóth Norbert Miklós","Szabadság utca 184.
H-8210 Budahátnádasd"
"Dr. Szabó Tamásné","Mártonfalvai út 94.
H-9198 Vác"
"Budai Teréz Krisztina","Bajai utca 187.
H-1590 Ózd"
"Dr. Takácsné Kozma Mária","Székhidai utca 175.
H-4581 Baja"
"Kovácsné Dr. Bogdán Éva","Hetvenházai utca 82.
H-5295 Hátbánya"
"Dr. Kisné Bakos Erika","Szolnoki utca 98.
H-5360 Székharaszti"
"Lengyel Gábor","Salgótarjáni utca 44.
H-3794 Salgótarján"
"Rácz Mária Mária","Györgynémetii utca 179.
H-9259 Nyíregyháza"
"Takács Szűcs Zsolt","Debreceni utca 78.
H-3944 Mártonhalas"
"E. Péter Erzsébet","Borsodtapolcai utca 36.
H-7333 Hátapáti"
"Juhászné Dr. Lukács Erika","Miskolci utca 50.
H-5640 Vég"
"Dr. Kiss Györgyné Hegedüs Irén","Ady endre tér 240.
H-9260 Lajosharaszti"
"Vargané Lakatos Aranka","Tamásiapátii utca 226.
H-4828 Mindszentháza"
"B. Somogyi Gyula","Nagykanizsai tér 232.
H-2566 Kismártonnémeti"
"G. Barna Lajos","Szabadság utca 156.
H-8964 Hetvenváros"
"Péter Tamásné Varga Nikolett","Dunai utca 30.
H-6379 Baja"
"Horváth Novák Éva","Szabadság utca 170.
H-5882 Tamásinémeti"
"Dr. Papp H. Mária","Érdi tér 161.
H-9398 Nádasd"
"Takács T. István","Fürdővárai utca 56.
H-4182 Balatonfürdőháza"
"Tóth I. László","Pécsi utca 124.
H-4342 Mindszentberény"
"Baloghné Vass Annamária Melinda","Arany jános utca 6.
H-2895 Sopron"
"Molnár Borbála","Béke utca 134.
H-3696 Szombathely"
"Fodor M. Klára","Fürdőharasztii tér 111.
H-7081 Budafürdőnémeti"
"Pappné Dr. Szabó Vivien","Soproni tér 209.
H-6915 Mosonhídfalu"
"Kis Sándor","Keresztfai utca 226.
H-9700 Bakonytamásikőrös"
"Kovács Józsefné","Szabadság út 220.
H-9522 Dunatamásifalva"
"Szabó Erzsébet","Nyírháti utca 237.
H-7442 Székesfehérvár"
"E. Fodor Anna","Petőfi utca 147.
H-8912 Szerbtapolcahida"
"Takács Tamás Attila","Mártonnádasdi tér 171.
H-2979 Békéstapolcafalu"
"Nagy P. Dávid","Szolnoki utca 117.
H-3161 Fürdővár"
"Bogdán M. Ilona","Úji utca 24.
H-5682 Újszékbánya"
"Dr. Szabó I. Margit","Budapesti tér 165.
H-7055 Egyházasmártonapáti"
"Mártonné Dr. Gulyás Ilona Borbála","Tamásihidai utca 157.
H-8402 Tamásidevecser"
"J. Illés Julianna","Szentfürdői utca 7.
H-3402 Hídapáti"
"Molnárné Nagy Ilona","Petőfi sándor utca 46.
H-6814 Eger"
"Dr. Nagyné Horváth Andrea","Salgótarjáni utca 249.
H-7272 Székvég"
"Dr. Kovács Tiborné","Harasztii utca 101.
H-9050 Lajosgyörgyváros"
"Nagyné Varga Zsuzsanna","Mellékvárosi utca 69.
H-8318 Nyírtamásivára"
"Takács Tibor","Fürdőnádasdi tér 111.
H-3120 Békésmindszentapáti"
"Nagyné Dr. Varga Mária Mariann","Mátraligeti utca 52.
H-8035 Belsőszéknádasd"
"Dr. Varga Zoltánné","Ligetvárosi utca 151.
H-4230 Tótapáti"
"Pintér E. Ágnes","Hídhalasi tér 203.
H-4971 Tapolcakövesd"
"Kozma P. József","Nagykanizsai utca 98.
H-8603 Kereszthalas"
"Balogh Lászlóné","Tapolcavárai utca 48.
H-9542 Budatamásihida"
"Horváthné Dr. Kovács Dorottya","Dózsa györgy utca 145.
H-6083 Mellékvár"
"Dr. Balázsné Szabó Szilvia Erzsébet","Ceglédi utca 228.
H-6906 Orosztamásidevecser"
"Fülöp I. Erzsébet","Szabadság utca 144.
H-5720 Kiskeresztvár"
"Fodor Ádámné Nagy Anna","Petőfi utca 211.
H-2793 Fürdőháza"
"Takács Tóth Ferenc","Kismindszenti utca 85.
H-3651 Ligetkövesd"
"Kiss Anikó Irén","Pécsi tér 103.
H-1411 Tóthida"
"Dr. Szabó Péter","Kossuth utca 197.
H-9848 Ligetváros"
"Kovács Papp Eszter","Dózsa györgy utca 10.
H-6559 Kunfalva"
"Dr. Tóthné Juhász Erzsébet","Pécsi utca 215.
H-7066 Nyíregyháza"
"Pintér Károly","Kistóti utca 207.
H-4423 Kecskemét"
"Lakatos Varga Patrik","Kunkereszti utca 176.
H-9746 Hajdúligetkőrös"
"Szalainé Horváth Erika","Újszéki utca 170.
H-9206 Mezőligetfalva"
"Dr. É. Hajdu Ilona","Györgyfalui utca 212.
H-3401 Dunaújváros"
"A. Varga Ibolya","Egyházasmártoni utca 5.
H-2656 Eger"
"Takácsné Dr. Fekete Ilona","Nagykanizsai utca 87.
H-9191 Érd"
"Kovács P. István","Piliskereszti utca 61.
H-9265 Oroszmártonvárad"
"Dr. Tóth Kovács Márta","Szabadság utca 194.
H-3430 Budagyörgyháza"
"Molnárné Kovács Mária Renáta","Salgótarjáni utca 87.
H-9172 Pusztamindszentvárad"
"Dr. Molnárné Juhász Hajnalka","Tapolcaváradi utca 60.
H-8446 Bácstamásiapáti"
"Horváth Gizella Krisztina","Dózsa györgy tér 16.
H-9449 Szombathely"
"Pap B. Eszter","Egeri út 247.
H-2296 Somogyhíddevecser"
"Farkas L. Tibor","Bakonyhídi utca 168.
H-8027 Széknémeti"
"Baloghné Horváth Irma","Tapolcafalui utca 200.
H-8169 Nyírkeresztvára"
"Vass Németh Petra","Melléknádasdi tér 133.
H-3316 Cegléd"
"Takácsné Dr. Simon Júlia","Tiszatamásii utca 71.
H-5809 Hídvég"
"Balla L. István","Törökmelléki utca 162.
H-7169 Oroszkövesd"
"Kovács Lászlóné Jónás Irén","Mártonhalasi út 209.
H-7078 Ligetharaszti"
"P. Pintér Margit","Dózsa györgy út 203.
H-5009 Háthalas"
"I. Nagy Erzsébet","Drávatamásii utca 52.
H-3797 Hetvenfalva"
"Faragó Tibor András","Tapolcakőrösi út 25.
H-3162 Keresztberény"
"Tóth Halász Gyula","Oroszhídi utca 214.
H-1362 Hídvég"
"Dr. Tóth Ferencné","Mellékhidai utca 19.
H-8434 Dunakeszi"
"Bognárné Dr. Varga Boglárka Ildikó","Mosonmagyaróvári út 47.
H-4730 Debrecen"
"Dr. Szabóné Horváth Edit","Ligetvégi utca 150.
H-5925 Keresztbánya"
"Takácsné Kovács Rozália","Béke utca 8.
H-2515 Hídvár"
"Kiss Lili Renáta","Kossuth utca 191.
H-7356 Mosonmagyaróvár"
"Dr. I. Tóth Klára","Hátapátii utca 79.
H-9629 Magyartótháza"
"Pappné Simon Orsolya","Ady endre utca 250.
H-1101 Oroszhídvég"
"Kovács H. Andrea","Ady endre utca 130.
H-8521 Dunaújváros"
"Nagy I. Krisztián","Mosonmagyaróvári utca 61.
H-3144 Nádasd"
"Dr. Á. Fehér Miklós","Petőfi utca 23.
H-5575 Nyíregyháza"
"D. Szabó Dávid","Kunfürdői utca 84.
H-6884 Ózd"
"Dr. Nagy Attilané Szabó Ilona","Hetvenváradi utca 197.
H-7287 Ligetbánya"
"Dr. Szabóné Bogdán Éva","Béke utca 65.
H-8076 Hídapáti"
"Takácsné Nagy Róza","Tiszahetveni utca 119.
H-3236 Érd"
"Dr. Szabó Ákosné Kis Eszter","Györgyházai utca 138.
H-5285 Kecskemét"
"Pintér Gabriella","Ady endre utca 171.
H-4404 Magyarmártonfa"
"Bakos Rolandné Kiss Éva","Arany jános utca 125.
H-8935 Drávahetvenvára"
"Vargané Dr. Kiss Mária","Pilistóti utca 48.
H-4984 Keresztkövesd"
"Horváth Tibor András","Németligeti tér 137.
H-3025 Miskolc"
"Prof. Dr. Lengyel L. Albert","Hódmezővásárhelyi tér 122.
H-1273 Eger"
"Virág J. József","Arany jános utca 127.
H-5179 Tamásiharaszti"
"Dr. Z. Nagy Katalin","Balatoni utca 58.
H-4688 Veszprém"
"Dr. Farkas Andrea","Kossuth utca 249.
H-9654 Bakonytapolcavég"
"Tamás Györgyi","Ceglédi tér 107.
H-5123 Dunavára"
"Pataki Mezei István","Kossuth utca 117.
H-1621 Tamásifa"
"Dr. B. Lukács Gábor","Győri utca 66.
H-9887 Somogytapolcaberény"
"Fábián Z. Péter","Mátraháti utca 234.
H-6346 Eger"
"Biróné Orosz Erika Alexandra","Ózdi utca 213.
H-7575 Székesfehérvár"
"Fodor Z. Máté","Apátii utca 220.
H-7728 Hátdevecser"
"Nagy Kovács Ilona","József attila utca 54.
H-4711 Szenttapolcakőrös"
"Prof. Dr. Tóth Varga Dorina","Drávahídi utca 209.
H-4815 Ózd"
"Kiss Endrené Nagy Brigitta","Felsőligeti út 66.
H-1225 Mátraszékharaszti"
"Dr. Hajduné Magyar Rita","Petőfi sándor utca 15.
H-9552 Dunaújváros"
"Tamás K. Erzsébet","Ózdi utca 11.
H-8894 Lajosmártonvára"
"A. Nagy Orsolya","Tamásiváradi tér 81.
H-6607 Mártonfalva"
"Prof. Dr. Pintérné Kovács Orsolya","Szerbháti utca 142.
H-5629 Tamásiberény"
"Dr. Kovács Istvánné","Nyékszéki utca 139.
H-9201 Hátfalu"
"E. Boros Zsuzsanna","Fai út 222.
H-8343 Szombathely"
"Sándor Vörös János","Székbányai utca 214.
H-8209 Dunaújváros"
"Dr. Lengyelné Juhász Irén Ildikó","Petőfi sándor utca 148.
H-5805 Tiszaháza"
"Gulyás B. János","Dózsa györgy utca 231.
H-8879 Pilismindszentkövesd"
"Farkas István","Dunaújvárosi utca 234.
H-1101 Nyékmindszentvár"
"Dr. Kovács V. Luca","Felsőmelléki utca 12.
H-2805 Nyíregyháza"
"Tamás Zoltán","Petőfi utca 214.
H-4978 Mátramindszenthalas"
"Barta Király Dávid","Zalaegerszegi utca 72.
H-1846 Mezőmártonapáti"
"P. Takács Viktória","Nagykanizsai utca 242.
H-1989 Dunaújváros"
"Balogh Tímea","Ady endre utca 226.
H-6049 Veszprém"
"Németh J. László","Somogygyörgyi utca 37.
H-1486 Budaligetváros"
"Balogh L. Sándor","Mindszentvári utca 1.
H-5013 Pilistótvár"
"Takács Tóth Gábor","Drávatapolcai utca 217.
H-3965 Somogyhídapáti"
"Soósné Tóth Dóra","Petőfi utca 182.
H-2624 Borsodgyörgyfalva"
"Dr. Tóth Miklós Zalán","Békéscsabai tér 152.
H-3007 Bakonyapáti"
"Dr. Tóth Dénesné Molnár Éva","Mátraligeti utca 169.
H-8907 Szombathely"
"Tóth A. Zsófia","Dózsa györgy utca 245.
H-2439 Székesfehérvár"
"Bogdán Andrásné Molnár Dóra","Dunaújvárosi utca 235.
H-6716 Mindszentvárad"
"Dr. Szűcs L. János","Miskolci út 243.
H-8768 Kismártonvára"
"Szabóné Tóth Tünde","Tamásivári utca 122.
H-8708 Hetvenváros"
"Kiss Ádám Benedek","Mártonnádasdi út 110.
H-8382 Székvárad"
"Dr. Papp Gergely","Mátrakereszti utca 48.
H-5864 Debrecen"
"Dr. Vargané Csonka Tímea","Petőfi utca 135.
H-4570 Hetvenfalva"
"Nagy Szilvia","Mindszentházai utca 189.
H-6528 Fürdőkőrös"
"Kovács Szabó Andrea","Borsodháti út 13.
H-3792 Nyékhetvenváros"
"Mészárosné Dr. Szabó Katalin Boglárka","Újfürdői utca 150.
H-2678 Váctamásivára"
"Tóth Andrea","Mosonmagyaróvári utca 182.
H-5397 Hetvenvárad"
"Kovács János","Tamásivári utca 183.
H-7500 Vác"
"Dr. M. Németh Jenő","Békési utca 72.
H-3164 Tamásivár"
"Simon I. Enikő","Dunakeszii utca 127.
H-1529 Nagykanizsa"
"Dr. Orsós Molnár Mária","Tamásikőrösi utca 126.
H-1436 Székváros"
"Nagy M. Julianna","Váci utca 243.
H-3952 Ráchídkőrös"
"Dr. Bodnár Istvánné","Kövesdi utca 131.
H-5368 Tótvár"
"Nagy László László","Veszprémi utca 18.
H-8940 Eger"
"Dr. Székely Mezei Dávid","Némettamásii utca 57.
H-4501 Hídapáti"
"Dr. Szabó Mária Andrea","Felsőmártoni utca 100.
H-8544 Oroszkeresztapáti"
"Tóth Anna","Béke utca 164.
H-6206 Alsómellékháza"
"Dr. Z. Szalai László","Egyházasi utca 213.
H-6714 Nagykanizsa"
"Dr. Németh Sándorné Nagy Boglárka","Kossuth tér 20.
H-4708 Hídharaszti"
"Halász Lászlóné","Szegedi tér 167.
H-8305 Mezőtapolcaharaszti"
"Varga József Szabolcs","Béke tér 223.
H-2617 Borsodligetkőrös"
"Dr. Fekete Szilárdné Kiss Anett","Háthidai tér 156.
H-3719 Hátvár"
"Dr. Balogh Zsoltné","Egyházashetveni utca 133.
H-1528 Szentfürdőfa"
"Dr. Kiss Erzsébet","Arany jános út 223.
H-8623 Cegléd"
"Bakos Katalin","Szegedi utca 68.
H-3837 Szolnok"
"Tóthné Dr. Molnár Adrienn","Hídfalui utca 13.
H-2077 Nyírhetvenvára"
