"A. Antal András"|"Törökligeti utca 40.
H-1287 Szeged" 
"K. Vörös Katalin"|"Keresztházai utca 203.
H-7049 Mindszentharaszti"
"Dr. Molnár Zsombor"|"Ady endre utca 52.
H-4329 Vég"
"Balogh Zoltán"|"Mellékvárai utca 173.
H-9752 Keresztkövesd"
"Nagy Z. Richárd"|"Béke utca 247.
H-4651 Baja"
"Dr. E. Fábián Petra"|"Debreceni tér 195.
H-4618 Debrecen"
"Molnár Anikó Renáta"|"Kossuth utca 196.
H-9230 Mosonfürdőnémeti"
"Horváthné Dr. Szekeres Éva"|"Keresztharasztii tér 194.
H-1842 Salgótarján"
"Dr. Takács É. Ágnes"|"Kossuth utca 30.
H-1265 Sopron"
"Vargané Kiss Eszter Veronika"|"Bajai utca 239.
H-8114 Somogykeresztkőrös"
"Kiss Klára Mária"|"Mellékfalui utca 172.
H-5263 Érd"
"Máté Ildikó Ilona"|"Kossuth utca 94.
H-6255 Nyékmártonbánya"
"Veres Takács Balázs"|"Petőfi utca 132.
H-7967 Felsőmellékvár"
"Tóth Papp Dávid"|"Tiszakereszti utca 156.
H-7301 Pécs"
"Nagy Zoltán"|"Nagykanizsai utca 72.
H-1960 Pécs"
"Farkas A. István"|"Dunagyörgyi utca 46.
H-5355 Felsőszékharaszti"
"Virágné Dr. László Éva"|"Székesfehérvári utca 142.
H-4109 Mátrafa"
"Dr. L. Fazekas Adrián"|"Dunahídi utca 70.
H-5034 Ózd"
"Dr. T. Orosz Csaba"|"Magyarligeti utca 26.
H-5126 Bácsmellékfa"
"Dr. Somogyi Orsós Mária"|"Béke utca 241.
H-8134 Bakonymártonnémeti"
"Dr. V. Kiss Eszter"|"Szegedi út 178.
H-2905 Hetvenháza"
"K. Gáspár Anita"|"Győri utca 106.
H-6235 Kaposvár"
"Tóthné Prof. Dr. Kiss Ágnes"|"Székhidai utca 206.
H-9422 Fürdőkőrös"
"Csonka E. Gabriella"|"Dunakeszii utca 229.
H-2096 Kungyörgyháza"
"Nagy Zoltánné Tóth Ilona"|"Mindszentapátii utca 202.
H-5594 Györgykövesd"
"B. Varga Sándor"|"Rácgyörgyi tér 129.
H-3897 Berény"
"Kiss Pataki István"|"Ózdi utca 33.
H-3055 Mindszenthalas"
"G. Szabó Béla"|"Petőfi utca 201.
H-3975 Baja"
"Deák Erzsébet"|"Mindszentberényi utca 115.
H-9029 Vég"
"Nagy M. Zsuzsanna"|"Szombathelyi út 108.
H-2656 Miskolc"
"Dr. Balázs J. Jenő"|"Mindszentvégi utca 116.
H-9327 Belsőtapolcanádasd"
"Kocsisné Dr. Farkas Ibolya"|"Budapesti utca 226.
H-5589 Tótfa"
"B. Horváth Mária"|"Lajostamásii utca 7.
H-2977 Györgyvár"
"Dr. Kiss Gézané"|"Győri utca 85.
H-2904 Mellékhida"
"Nagy Zsoltné"|"Mellékvári tér 126.
H-4609 Sopron"
"Dr. Papp Gábor"|"Rácmindszenti utca 17.
H-9861 Bakonytapolcafalu"
"Juhász Erzsébet Mária"|"József attila utca 72.
H-2815 Ligetváros"
"Varga L. Éva"|"Városi utca 163.
H-4064 Szerbvárad"
"Horváth Géza"|"Egyházasmelléki tér 155.
H-2039 Tapolcabánya"
"Tóth Pap Magdolna"|"Mártonházai utca 229.
H-1023 Mindszentfa"
"Farkas D. Zsanett"|"Ózdi utca 24.
H-2115 Nyéktamásiváros"
"Nagyné Dr. Somogyi Julianna Györgyi"|"Nagykanizsai út 65.
H-4162 Székberény"
"Tóth Csonka Melinda"|"Salgótarjáni utca 24.
H-4492 Alsókeresztnádasd"
"Dr. Szalai Tamásné Kiss Erzsébet"|"Érdi tér 211.
H-8351 Tótvég"
"Nagy Zsuzsanna Teréz"|"Kecskeméti utca 21.
H-5150 Somogygyörgyharaszti"
"Dr. Takács Veres Ibolya"|"Mellékhidai utca 48.
H-3153 Szentmellékváros"
"Juhászné Szabó Bianka Julianna"|"Veszprémi utca 181.
H-1728 Hetvendevecser"
"Horváth Tamás"|"Szigetszentmiklósi utca 51.
H-6805 Mosonfürdőbánya"
"Dr. I. Török Vivien"|"Tapolcakövesdi utca 132.
H-4228 Tótfa"
"Gáspárné Lakatos Erzsébet"|"Szabadság utca 212.
H-6212 Belsőkeresztháza"
"Farkas Ibolya"|"Dózsa györgy utca 128.
H-7188 Pusztatamásibánya"
"Dr. Somogyi Alexandra"|"Győri tér 167.
H-2395 Váchátfalu"
"Dr. Baloghné Tóth Kitti"|"Keresztvárosi utca 54.
H-1210 Nyíregyháza"
"Dr. I. Tóth János"|"Debreceni utca 81.
H-3201 Békéscsaba"
"Nagy Ádámné Nagy Julianna"|"Mátrahetveni utca 21.
H-2944 Mellékhalas"
"Dr. Lakatosné Fülöp Katalin"|"Petőfi út 243.
H-5172 Tótfalva"
"Dr. Kelemen Imrené Nagy Györgyi"|"Fürdőharasztii utca 129.
H-6180 Németmellékhida"
"Horváth Nagy Márk"|"Ceglédi utca 246.
H-2557 Szeged"
"Nagy Győző"|"Salgótarjáni utca 140.
H-6753 Budakeresztfa"
"Jónásné Bognár Teréz"|"Györgyfalui utca 154.
H-8779 Mosonhídhalas"
"Dr. Kovács Jánosné"|"Mátrahetveni utca 225.
H-9085 Mártonkőrös"
"Molnárné Szabó Dóra"|"Dunaújvárosi utca 40.
H-6136 Fürdővár"
"Fehér Emilné Bogdán Anna"|"Magyari utca 228.
H-8221 Békéscsaba"
"Gálné Magyar Erika"|"Hetvenapátii utca 90.
H-3148 Hátfalva"
"Nagy Ádámné Nagy Viktória"|"József attila utca 16.
H-6813 Budapest"
"Dr. Kiss Takács Klaudia"|"Kecskeméti utca 22.
H-9045 Háthida"
"Kovácsné Molnár Judit Adrienn"|"Petőfi utca 249.
H-5816 Magyarfürdővárad"
"Orbán Brigitta"|"Fürdőapátii utca 171.
H-4120 Hátkövesd"
"Kovács Tibor Tamás"|"Mátraszéki utca 29.
H-3802 Keresztdevecser"
"Siposné Dr. Kovács Krisztina"|"Városi utca 97.
H-2910 Veszprém"
"Dr. Kovácsné Németh Erzsébet"|"Fürdőapátii utca 50.
H-5494 Nyírtamásivára"
"Halász F. Ábel"|"Mártonfai utca 178.
H-9226 Mosonkeresztnádasd"
"Kovács Gáborné Balla Bianka"|"Pécsi utca 81.
H-2761 Szolnok"
"Nagy Horváth Erzsébet"|"Dunaújvárosi utca 159.
H-5440 Tapolcabánya"
"Nagy Ágnes"|"Belsőfürdői utca 164.
H-3334 Kereszthida"
"Molnár A. Erzsébet"|"Drávatamásii utca 142.
H-8681 Kaposvár"
"Nagy Lászlóné Juhász Ildikó"|"Mosongyörgyi tér 90.
H-4917 Dunaújváros"
"K. Magyar Andor"|"Mindszentvári utca 156.
H-5283 Nagykanizsa"
"Vincze Tiborné"|"Mindszentnémetii utca 53.
H-1842 Salgótarján"
"Tóth Barta Dóra"|"Oroszszéki utca 237.
H-5273 Kaposvár"
"Dr. Horváthné Rácz Tünde"|"Ózdi utca 101.
H-8679 Nyíregyháza"
"Szabó L. János"|"Nagymelléki utca 154.
H-6243 Székesfehérvár"
"Szabóné Balogh Zita Mária"|"Alsószéki utca 86.
H-2595 Székfa"
"Nagy Szabó Erzsébet"|"Egeri tér 153.
H-3522 Hetvenapáti"
"Nagy É. Anna"|"Bakonymártoni utca 90.
H-1541 Hetvenharaszti"
"Nagy Krisztina Gabriella"|"Békésszéki tér 131.
H-2179 Hetvenberény"
"Tóth Károlyné Fülöp Andrea"|"Debreceni tér 245.
H-4965 Némethídfalu"
"Kovács Istvánné Péter Éva"|"Mellékváradi út 11.
H-7754 Debrecen"
"Dr. Váradi Sándor Krisztina"|"Ligetvégi utca 10.
H-5488 Miskolc"
"Bognár Jakab Imre"|"Tótházai utca 128.
H-3254 Tapolcaharaszti"
"T. Szabó Jenő"|"Fürdőnémetii utca 147.
H-6201 Borsodmindszentnémeti"
"Dr. Kiss Németh Csaba"|"Ady endre út 55.
H-6323 Mellékkőrös"
"Dr. Borosné Horváth Szilvia Jázmin"|"Györgybányai tér 209.
H-4307 Mindszentkőrös"
"Dr. Nagy Horváth Marianna"|"Tapolcafalvai utca 192.
H-7889 Újnémeti"
"Nagy É. Zsuzsanna"|"Bajai utca 51.
H-9898 Ráctótfalva"
"Dr. M. Takács Judit"|"Nyékhetveni út 19.
H-6187 Vácmellékapáti"
"Faragó Lukács István"|"Mezőhídi utca 144.
H-9125 Györgynádasd"
"Szekeres Szalai József"|"Mindszentdevecseri tér 151.
H-7480 Nagykanizsa"
"Dr. Pappné Varga Fanni"|"Petőfi sándor utca 168.
H-3189 Kecskemét"
"Molnár János Miklós"|"Fürdőbányai utca 112.
H-4845 Tapolcanémeti"
"Török A. Attila"|"Szolnoki utca 1.
H-9853 Dunakeszi"
"Dr. Mészáros Gyula Péter"|"Szombathelyi utca 44.
H-4922 Györgyberény"
"Dr. Papp Péterné"|"Ligetfai út 112.
H-8236 Tamásinádasd"
"Dr. Szabó Anikó Mónika"|"Dunaújvárosi utca 181.
H-9164 Újmellékharaszti"
"Nagyné Antal Marianna Andrea"|"Ligetdevecseri utca 241.
H-9902 Győr"
"Faragó János József"|"Alsómelléki utca 1.
H-9675 Tótfalva"
"Prof. Dr. Törökné Kovács Piroska"|"Egeri utca 52.
H-7670 Szeged"
"Dr. Simon Katalin Tünde"|"Nyíregyházai utca 152.
H-7492 Dunakeszi"
"Prof. Dr. Nagy Katalin Rózsa"|"Fürdőfalui utca 178.
H-2583 Tiszaligethida"
"Dr. Jónás Györgyné Kiss Zsuzsanna"|"Egyházasmelléki utca 166.
H-6849 Keresztkövesd"
"Mártonné Dr. Nagy Erzsébet Anna"|"Ady endre utca 162.
H-2935 Egyházasmártonnémeti"
"Kovács V. Ildikó"|"Mindszentnádasdi utca 185.
H-6650 Balatonmellékkőrös"
"Dr. Nagy Ferencné Gál Jázmin"|"József attila utca 106.
H-5743 Szombathely"
"Pál K. József"|"Balatongyörgyi utca 9.
H-8316 Tapolcavárad"
"Nagyné Balogh Orsolya"|"Arany jános tér 202.
H-7564 Szerbligetberény"
"Dr. E. Nagy Csilla"|"Oroszháti út 123.
H-7841 Békéscsaba"
"Somogyi Ilona"|"Székhalasi utca 41.
H-9215 Dunahetvenbánya"
"E. Tóth Erzsébet"|"Budai utca 1.
H-3373 Pilismellékvég"
"G. Borbély János"|"Szabadság utca 134.
H-3718 Somogyfürdőapáti"
"Dr. Papp Mónika Anna"|"Petőfi sándor utca 192.
H-3499 Dunaújváros"
"Z. Horváth István"|"Pilismelléki utca 242.
H-3972 Szigetszentmiklós"
"Horváth Károly"|"Kossuth utca 121.
H-3167 Baja"
"Nagyné Nagy Szilvia"|"Mártonfalui utca 205.
H-4784 Kunhátváros"
"Csonka Mária Anett"|"Dózsa györgy utca 1.
H-8158 Pécs"
"Nagyné Boros Veronika"|"Alsótóti utca 158.
H-6565 Budafalu"
"Némethné Dr. Lukács Henrietta Margit"|"Szabadság utca 30.
H-2239 Szentmellékfalva"
"Horváth Bélané Szabó Terézia"|"Bajai utca 121.
H-1337 Fürdőhalas"
"Kovácsné Prof. Dr. Molnár Irén"|"Falvai utca 178.
H-8218 Szeged"
"Dr. Nagy Gáborné"|"Dunaújvárosi tér 21.
H-9277 Tapolcaharaszti"
"Dr. Kis Lajosné"|"Keresztkőrösi utca 143.
H-3281 Nyékszékkövesd"
"Dr. Mezeiné Szabó Szilvia"|"Arany jános utca 49.
H-5121 Fürdővég"
"Dr. Takács Pál Gábor"|"Kossuth utca 178.
H-4479 Lajosszékdevecser"
"Dr. Borosné Magyar Klaudia"|"Petőfi sándor utca 50.
H-7122 Pilismellékbánya"
"Fekete Szilvia Julianna"|"Békéscsabai utca 15.
H-3181 Mosonhátkövesd"
"Nagyné Dr. Balla Beatrix"|"Kunmindszenti utca 103.
H-3989 Veszprém"
"R. Németh Judit"|"Széknádasdi utca 150.
H-9068 Budamellékkőrös"
"Halász Istvánné Novák Judit"|"Pécsi utca 24.
H-6969 Debrecen"
"Dr. Váradiné Pintér Ilona"|"Veszprémi tér 4.
H-5422 Érd"
"Antal B. Dorottya"|"Petőfi sándor tér 119.
H-7293 Baja"
"Dr. Bogdán Józsefné Márton Ildikó"|"Hetvennádasdi tér 75.
H-3146 Eger"
"Dr. Katona Boglárka"|"Kisháti utca 89.
H-2501 Szigetszentmiklós"
"Nagy É. Mária"|"Budamártoni utca 187.
H-1022 Tamásivára"
"Kovács Bálintné"|"Zalaegerszegi utca 241.
H-1409 Mosonhídkövesd"
"Farkasné Dr. Farkas Krisztina"|"Bácshídi utca 33.
H-5406 Veszprém"
"Nagyné Dr. Faragó Judit Dóra"|"Pilismártoni tér 120.
H-6715 Tamásivár"
"L. Simon László"|"Dunakeszii utca 15.
H-9400 Budatapolcafalu"
"Dr. Takács J. Zsolt"|"Tamásivári utca 106.
H-4958 Baja"
"Bakosné Dr. Tóth Margit Anna"|"Mártonváradi út 110.
H-2825 Hátfa"
"Magyar Attilané Szilágyi Ágnes"|"Székesfehérvári utca 149.
H-9796 Veszprém"
"Molnár Edina"|"Hátnádasdi utca 148.
H-7088 Székvárad"
"Mészáros Viktória Anna"|"Debreceni utca 120.
H-7406 Pécs"
"Varga Norbertné"|"Györgyvárosi utca 27.
H-1582 Tótharaszti"
"Dr. Deákné Oláh Fanni Erzsébet"|"Nagyszéki utca 1.
H-2219 Hetvennádasd"
"Szőkené Dr. Kovács Julianna Ágnes"|"Pilistóti utca 87.
H-2624 Eger"
"Nagyné Dr. Fodor Luca Irén"|"Veszprémi utca 49.
H-4282 Budamellékharaszti"
"Dr. Dudás Lakatos Zsanett"|"Váctamásii utca 127.
H-3926 Pécs"
"Királyné Dr. Soós Magdolna"|"Hetvenkövesdi utca 192.
H-7695 Törökmellékdevecser"
"Kovácsné Dr. Molnár Krisztina"|"Balatonfürdői utca 137.
H-6317 Nyíregyháza"
"Szabó Szilvia Viktória"|"Dunakeszii utca 41.
H-5503 Mindszentváros"
"Kocsis Erika Adrienn"|"Dunaújvárosi utca 211.
H-2221 Cegléd"
"Dr. Sándor Ernő"|"Tótvárosi utca 167.
H-2703 Mártonvárad"
"Horváth I. Boglárka"|"Szigetszentmiklósi utca 74.
H-2950 Dunatótharaszti"
"Dr. Balogh Erzsébet"|"Mártonvárai utca 162.
H-3488 Békéscsaba"
"Lukács I. Erzsébet"|"Nagyfürdői utca 11.
H-6006 Pusztamellékhida"
"Nagyné Dr. Horváth Szilvia"|"Kossuth utca 43.
H-5437 Hódmezővásárhely"
"Dr. Balogh Nagy László"|"Székharasztii utca 199.
H-5502 Szenttapolcahida"
"Kiss G. Sándor"|"Hajdúgyörgyi utca 179.
H-1242 Ligetvég"
"Lászlóné Dr. Varga Dóra Gizella"|"Kossuth utca 176.
H-5989 Mártonvára"
"Kiss Zsanett"|"Szabadság út 181.
H-4365 Tiszahídvára"
"Szalainé Dr. Simon Mariann Magdolna"|"Pécsi utca 149.
H-9697 Dunakeszi"
"Szabó Ferenc Szilárd"|"Miskolci utca 98.
H-1665 Tótkövesd"
"Nemesné Kiss Mária"|"Harasztii utca 211.
H-5647 Szeged"
"A. Varga Ilona"|"Győri út 23.
H-3603 Nagykanizsa"
"Kovács R. Károly"|"Veszprémi utca 72.
H-8902 Tapolcaváros"
"Nagyné Dr. Simon Erzsébet"|"Petőfi utca 44.
H-1914 Mártonberény"
"Dr. Orbán Krisztina Katalin"|"Mindszentnémetii utca 230.
H-9533 Dunaújváros"
"Bognárné Kiss Anna"|"Mosonmagyaróvári utca 215.
H-1140 Zalaegerszeg"
"Jakabné Tóth Edit Andrea"|"Egeri utca 23.
H-5802 Békéskeresztkőrös"
"Dr. Tóth Dávid"|"Kossuth utca 225.
H-4437 Hetvendevecser"
"Fodor Szilágyi Fanni"|"Bajai utca 38.
H-3207 Fürdőfa"
"H. Bakos Alexandra"|"Hátvárosi utca 235.
H-2439 Tótvára"
"E. Rácz Barbara"|"Nagyhídi tér 141.
H-3331 Szerbszékhida"
"Dr. Molnár Mária"|"Szigetszentmiklósi utca 7.
H-3157 Alsónádasd"
"Simon Ágnes"|"Tiszakereszti tér 58.
H-8870 Mátrahetvenvárad"
"Nagyné Dr. Szücs Erzsébet"|"Némettamásii utca 192.
H-6754 Nagykanizsa"
"Kis B. Katalin"|"Zalaegerszegi utca 250.
H-5990 Szolnok"
"Dr. Vass Péter Mihály"|"Arany jános utca 166.
H-5311 Mosonfürdőfalva"
"Nagy Laura Terézia"|"Fürdővárai utca 95.
H-8900 Kereszthalas"
"Halász László József"|"József attila tér 102.
H-4050 Mártonfalva"
"Szabó Barbara Anett"|"Érdi utca 239.
H-4801 Szeged"
"Dr. Nagy Magyar Enikő"|"Soproni tér 17.
H-2779 Szigetszentmiklós"
"Z. Kovács Zoltán"|"Bakonytóti utca 190.
H-1216 Szerbhátháza"
"Molnárné Dr. Molnár Hajnalka"|"Kecskeméti utca 110.
H-4597 Fürdőkőrös"
"Dr. Tóth Zsomborné"|"Mindszentnádasdi utca 98.
H-6297 Békéscsaba"
"Nagyné Dr. Takács Mária Julianna"|"Harasztii utca 124.
H-1997 Nádasd"
"Bálint Fülöp László"|"Székesfehérvári utca 163.
H-9179 Oroszmellékváros"
"Dr. Németh Tóth Krisztián"|"Béke út 157.
H-7079 Lajosfürdőharaszti"
"Jakabné Szabó Kitti"|"Mindszentberényi utca 8.
H-3905 Pécs"
"P. Simon Pál"|"Arany jános sétány 70.
H-8053 Egyházasgyörgykőrös"
"Dr. Vargané Vörös Magdolna"|"Székkőrösi utca 240.
H-7573 Nyíregyháza"
"V. Varga Imre"|"Petőfi utca 238.
H-4235 Budapest"
"Katona Sándor"|"Salgótarjáni utca 111.
H-5864 Magyarváros"
"Prof. Dr. Balogh Lajosné Tóth Edina"|"Újfürdői utca 64.
H-1947 Györgyváros"
"Horváth Z. Levente"|"Békéshetveni utca 7.
H-9554 Tamásidevecser"
"Nagyné Dr. Tóth Júlia"|"Veszprémi utca 61.
H-7565 Somogytamásihida"
"Soósné Dr. Sipos Marianna Andrea"|"Keresztapátii utca 240.
H-4923 Budahetvenkövesd"
"Sipos András Gábor"|"Somogygyörgyi utca 206.
H-1849 Somogymindszentvárad"
"Dr. Némethné Szőke Etelka"|"Hódmezővásárhelyi tér 182.
H-1157 Törökhídváros"
"Tóth József"|"Szigetszentmiklósi utca 86.
H-1640 Szigetszentmiklós"
"Dr. Mártonné Farkas Beáta Rita"|"Tiszaligeti út 236.
H-8917 Cegléd"
"Dr. I. Nagy Attila"|"Pécsi utca 82.
H-1993 Mellékvég"
"Horváth Virág"|"Békésmelléki út 3.
H-5027 Belsőligetvég"
"Dr. Somogyi Ildikó"|"Zalaegerszegi utca 123.
H-6285 Ligetnémeti"
"Tóthné Dr. Kovács Mónika Margit"|"Budapesti utca 232.
H-3265 Nagyligetvár"
"Nagyné Dr. Tóth Krisztina Tímea"|"Hódmezővásárhelyi utca 39.
H-4125 Budagyörgyhida"
"K. Kovács Julianna"|"Mindszentnémetii utca 217.
H-6955 Szigetszentmiklós"
"Farkas Bálint István"|"Újmártoni út 187.
H-9252 Tótharaszti"
"Dr. László Péterné Tóth Edit"|"Tamásivárai utca 149.
H-2206 Háthida"
"Rácz István Ferenc"|"Békéscsabai utca 88.
H-4604 Baja"
"Rácz Erika"|"Mindszentváradi utca 18.
H-6617 Kishídfalva"
"Major Takács Tibor"|"József attila utca 98.
H-4775 Salgótarján"
"Mészáros T. József"|"Ligetkőrösi tér 139.
H-3549 Dunaújváros"
"Orosz Kovács Viktória"|"Székfai út 225.
H-1753 Ligetharaszti"
"L. Kiss Viktor"|"Belsőmindszenti út 237.
H-1575 Pécs"
"Nagyné Hajdu Enikő"|"Dunakeszii utca 218.
H-7219 Nagymártonnémeti"
"Dr. Barta Molnár Irén"|"Szerbháti utca 50.
H-9519 Kistótfalu"
"Dr. Nagy Horváth Márta"|"Mellékváradi tér 179.
H-3306 Mosonháthida"
"Dr. Tóth Róbertné Király Margit"|"Tapolcavárosi utca 224.
H-9403 Mosonmagyaróvár"
"Dr. Takács Károly Martin"|"Kossuth utca 201.
H-7196 Nagyhetvenvára"
"Kovács J. László"|"József attila út 119.
H-4248 Fürdőhalas"
"Sipos Anita"|"Nyékmelléki út 217.
H-1758 Tapolcafa"
"Dr. Tóth Gábor Barna"|"Kunhetveni utca 158.
H-4916 Hídkőrös"
"Dr. Kovács Gábor"|"József attila tér 228.
H-1125 Ózd"
"Nagyné Pásztor Irén Mária"|"Tapolcahalasi utca 199.
H-1111 Hídfalu"
"Nagyné Horváth Ildikó"|"Bajai utca 212.
H-7311 Nagymártonfalu"
"Dr. Molnárné Lakatos Lili Enikő"|"Törökmártoni tér 87.
H-1624 Györgykövesd"
"Nagyné Dr. Fehér Emese"|"Oroszgyörgyi utca 126.
H-5091 Fürdőhalas"
"Kissné Dr. Horváth Margit Edit"|"Mosonmagyaróvári utca 64.
H-8248 Vácszéknádasd"
"Dr. Lakatosné Papp Marianna"|"József attila utca 192.
H-8686 Dunaújváros"
"Szabóné Nagy Henrietta"|"Békéscsabai utca 157.
H-1370 Békéscsaba"
"Baloghné Orsós Anita"|"Mezőszéki út 149.
H-3616 Vác"
"Molnár M. Nándor"|"Kisfürdői utca 119.
H-8904 Debrecen"
"G. Nagy Attila"|"Mosonmagyaróvári utca 20.
H-6637 Székfa"
"Balogh Balázs"|"Mosonmindszenti utca 137.
H-4250 Székhida"
"Nagyné Kiss Ildikó Éva"|"Nagykanizsai tér 136.
H-8697 Tatabánya"
"Dr. Tóth Gáborné"|"Nagykanizsai utca 216.
H-6380 Kövesd"
"Pintérné Dr. Horváth Edit"|"Petőfi sándor utca 156.
H-4726 Győr"
"T. Farkas Sándor"|"Tatabányai utca 176.
H-6832 Ózd"
"Simon Anna"|"Somogyhídi utca 161.
H-8068 Hátbánya"
"Illés A. Levente"|"Petőfi sándor út 111.
H-8132 Ligetbánya"
"Varga István"|"Váci utca 112.
H-9731 Tamásinádasd"
"Dr. L. Nagy Péter"|"Váci utca 195.
H-4977 Mátragyörgyfalu"
"Kovács Á. Zsuzsanna"|"Mosonmagyaróvári utca 138.
H-2988 Mellékvég"
"Dr. K. Tóth István"|"József attila utca 66.
H-3915 Cegléd"
"Nagyné Kovács Diána Mónika"|"Petőfi sándor utca 87.
H-4027 Budatapolcaváros"
"Tóth Gáborné"|"Berényi utca 82.
H-5376 Miskolc"
"Nagy Orosz Ágnes"|"Hátnádasdi utca 63.
H-4013 Hódmezővásárhely"
"Horváthné Dr. Jónás Kitti"|"Béke utca 123.
H-8948 Tiszaháthida"
"Dr. Varga H. Erzsébet"|"Tapolcafalvai utca 19.
H-2036 Pécs"
"Biró Szabó Ildikó"|"Béke utca 243.
H-3038 Kunmártonberény"
"Antal R. Julianna"|"Kunkereszti utca 117.
H-6284 Egyházasmindszentnémeti"
"Kovács Richárd Zoltán"|"Hódmezővásárhelyi utca 60.
H-4712 Törökkeresztapáti"
"Kiss Imrené Varga Melinda"|"Ady endre utca 124.
H-1832 Békéscsaba"
"Dr. Szalai Lászlóné Szabó Tímea"|"Mellékhalasi utca 209.
H-2101 Újmártonkövesd"
"Nagyné Nagy Anna Eszter"|"Hátberényi út 165.
H-5924 Tótháza"
"Dr. Boros Roland"|"Tatabányai utca 39.
H-5010 Szombathely"
"Papp Tóth Tamás"|"Szabadság utca 175.
H-4311 Eger"
"Kovács István István"|"Petőfi utca 6.
H-6717 Fürdőfalu"
"Dr. Kiss Kristófné"|"Háthidai utca 244.
H-2695 Tótharaszti"
"Molnár Zsolt"|"Ózdi út 180.
H-5884 Kistótkövesd"
"Prof. Dr. Kiss J. Bertalan"|"Szabadság utca 208.
H-4535 Hídvég"
"Juhász Molnár Mária"|"Dunakeszii utca 212.
H-8917 Balatonmindszentkövesd"
"Deák Norbert Ervin"|"Szabadság utca 125.
H-5737 Tatabánya"
"Kovácsné Dr. Nagy Renáta Vivien"|"József attila utca 249.
H-7339 Vác"
"Nagyné Németh Éva Erzsébet"|"Székesfehérvári utca 140.
H-4110 Nagykanizsa"
"A. Szilágyi Mónika"|"Ceglédi utca 235.
H-5366 Kőrös"
"Tóth M. Árpád"|"Dózsa györgy utca 102.
H-1438 Székbánya"
"Szabó Farkas Gyöngyi"|"Tiszagyörgyi út 198.
H-3606 Eger"
"Dr. T. Fehér László"|"Szabadság utca 13.
H-5143 Budamelléknádasd"
"Antalné Dr. Varga Rozália"|"Törökmindszenti utca 146.
H-2575 Hódmezővásárhely"
"Nagy Enikő"|"Tapolcanádasdi utca 94.
H-7586 Szombathely"
"Szabó Péter Patrik"|"Székdevecseri utca 233.
H-4524 Szentmindszentapáti"
"Dr. Lakatos K. Szilvia"|"Hátvárai utca 39.
H-7029 Baja"
"J. Varga Dániel"|"Kismindszenti utca 6.
H-1164 Székesfehérvár"
"Nagyné Pap Mónika Anna"|"Szombathelyi utca 74.
H-8335 Nyékszékapáti"
"J. Mészáros Margit"|"Arany jános utca 183.
H-8889 Magyartótvár"
"Kovács Szabó Edina"|"Balatonhídi utca 185.
H-7087 Mosonmagyaróvár"
"Török Molnár Dóra"|"Arany jános utca 18.
H-8154 Bakonydevecser"
"T. Nagy Tamás"|"Szegedi utca 165.
H-1768 Mártondevecser"
"Dr. Kiss Szabó Máté"|"Rácmelléki tér 17.
H-5293 Hódmezővásárhely"
"Hegedüs Tamásné"|"Keresztfalvai tér 203.
H-6455 Kaposvár"
"Dr. Orosz B. József"|"Mindszenthalasi utca 5.
H-3698 Baja"
"Z. Varga Judit"|"Magyargyörgyi utca 147.
H-5132 Tiszatótfalu"
"Kocsis I. István"|"Somogymindszenti út 69.
H-4375 Kecskemét"
"Nagyné Székely Éva"|"Tapolcaapátii tér 139.
H-4303 Tapolcafa"
"Gáspár Rozália"|"Dunaújvárosi utca 59.
H-9231 Váctamásifa"
"Kovács József Krisztofer"|"Petőfi utca 26.
H-8384 Sopron"
"Dr. Balogh Lászlóné"|"Kossuth utca 29.
H-4900 Pusztanémeti"
"Dr. Vass Tóth Katalin"|"Kistóti utca 186.
H-4591 Győr"
"Dr. Á. Kovács Réka"|"Budapesti tér 59.
H-8976 Budapest"
"Farkas Jánosné Kelemen Erika"|"Ligetkövesdi utca 29.
H-9424 Hajdúligethida"
"Dr. Szabó Balogh István"|"Székesfehérvári utca 81.
H-7849 Székesfehérvár"
"Horváth László László"|"Béke utca 10.
H-4757 Dunakeszi"
"Vargané Dr. Varga Éva"|"Kossuth utca 146.
H-5805 Kunkeresztharaszti"
"Nagyné Vörös Ibolya Andrea"|"Békéstamásii utca 182.
H-2125 Baja"
"Dr. Török Erzsébet Zsuzsanna"|"Mellékkőrösi utca 221.
H-1469 Hódmezővásárhely"
"Némethné Gál Gréta"|"Dunamelléki utca 29.
H-8422 Tatabánya"
"Dr. Nagy Vörös Katalin"|"Ady endre utca 135.
H-6956 Tapolcaháza"
"Kovács Andrea Nikoletta"|"Béke utca 177.
H-3082 Nyéktapolcaapáti"
"Dr. Kovács Szőke László"|"Petőfi sándor utca 241.
H-8990 Hátnémeti"
"Szabó Istvánné"|"Mellékvárai utca 52.
H-1744 Veszprém"
"Dr. Pataki Vass Szilvia"|"Székvárai utca 201.
H-6334 Szeged"
"Mészárosné Hegedűs Gabriella"|"Dunaújvárosi út 59.
H-7540 Szolnok"
"Dr. Sárköziné Boros Diána"|"Váctóti utca 202.
H-2097 Keresztfalu"
"Nemes I. Judit"|"Pilistóti utca 92.
H-3711 Némettapolcanádasd"
"A. Fehér Beatrix"|"Kossuth utca 183.
H-3107 Mellékvár"
"K. Balogh Annamária"|"Szabadság út 82.
H-3827 Vác"
"J. Kovács József"|"Dunatamásii körút 57.
H-9382 Alsóháza"
"Szabóné Dr. Nagy Anikó"|"Pusztaligeti utca 190.
H-8559 Dunakeszi"
