"A. Balog Lajos"	"Tamásiházai utca 81.
H-7599 Tatabánya" 
"Tóth E. Katalin"	"Kossuth utca 150.
H-3269 Töröktótvég"
"Patakiné Prof. Dr. Molnár Petra"	"Kistamásii tér 69.
H-4156 Vác"
"Dr. Mészáros Julianna"	"Mindszentvárai utca 103.
H-4392 Hídhida"
"Horváth A. Mátyás"	"Győri utca 173.
H-7969 Pécs"
"Kovács Benedek"	"Bajai út 16.
H-4681 Fürdőhida"
"Horváth Bernadett Gabriella"	"Fürdőházai utca 31.
H-1034 Érd"
"Szabó Attilané Sándor Mária"	"Veszprémi utca 201.
H-5738 Oroszhídnémeti"
"A. Nagy Zsolt"	"Kaposvári utca 7.
H-8714 Eger"
"Varga Kornél Tamás"	"Petőfi utca 12.
H-6962 Mosonmagyaróvár"
"Szabó Andrásné Horváth Gizella"	"Béke utca 132.
H-5494 Kistamásiberény"
"I. Kovács Margit"	"Dunaújvárosi tér 190.
H-7018 Szenttótapáti"
"Pintér Gáborné Nagy Irén"	"Petőfi utca 81.
H-3349 Baja"
"Mezeiné Dr. László Katalin Katalin"	"Mártonharasztii utca 150.
H-9556 Szigetszentmiklós"
"Dr. Horváth Gyula János"	"Nyékháti tér 197.
H-3241 Oroszhídkőrös"
"Dr. Szabó Szabó Rozália"	"Nyírhídi utca 117.
H-6488 Tamásikőrös"
"Dr. Pál Nagy Mária"	"Györgyfalvai utca 112.
H-9211 Szolnok"
"Juhász S. Imre"	"Dunaújvárosi utca 197.
H-7604 Balatonkeresztkőrös"
"Dr. Horváthné Simon Aranka Aranka"	"Székesfehérvári utca 156.
H-9122 Györgyberény"
"Varga Krisztoferné"	"Mindszentfalvai utca 162.
H-3411 Vác"
"Dr. Gulyás Zsomborné"	"Németmelléki tér 67.
H-1542 Hetvennádasd"
"Dr. Varga A. Erika"	"Tatabányai utca 18.
H-7940 Ligetbánya"
"Szabó Gyula József"	"Ligetnémetii utca 203.
H-6039 Oroszmártonfalva"
"Dr. I. Tóth Márta"	"Mártonvári utca 63.
H-9113 Székvég"
"Farkas K. Irén"	"Arany jános utca 137.
H-4130 Zalaegerszeg"
"Dr. Kerekesné Kozma Csilla Luca"	"Drávahetveni tér 18.
H-6115 Dunakeszi"
"Dr. Pap Z. Nikolett"	"Arany jános utca 83.
H-6037 Tamásiváros"
"Molnár László József"	"Szerbmártoni út 33.
H-6278 Tapolcafa"
"Dr. Tóth Mária Mária"	"Szabadság tér 99.
H-7895 Nyékmellékharaszti"
"Varga L. Béla"	"Hetvenfalvai utca 62.
H-6646 Szeged"
"Dr. Papp Fanni Szilvia"	"Törökmindszenti utca 41.
H-3310 Hetvenháza"
"Dr. Papp Gáborné"	"Arany jános utca 245.
H-4404 Szombathely"
"H. Vörös Szabolcs"	"Ady endre utca 218.
H-6793 Keresztváros"
"Csonka K. Edit"	"Felsőligeti utca 128.
H-9234 Törökmellékvárad"
"Takács István Balázs"	"József attila utca 159.
H-8804 Nyíregyháza"
"Dr. Fehér Vass Hajnalka"	"Mellékbányai tér 95.
H-1626 Oroszmártondevecser"
"R. Horváth Erzsébet"	"Bakonykereszti utca 96.
H-3643 Tapolcavég"
"R. Molnár Zoltán"	"Keresztkőrösi út 72.
H-5452 Szerbszékharaszti"
"Dr. Boros Váradi Mária"	"Székkőrösi tér 49.
H-7359 Magyarmindszentfa"
"Varga Lajos József"	"Tapolcafalui utca 228.
H-2414 Tapolcafalu"
"Barna Kovács Attila"	"Ceglédi tér 46.
H-3611 Baja"
"Somogyi Károlyné Kovács Éva"	"Ady endre út 123.
H-5375 Budagyörgynémeti"
"Borbély Antal"	"Petőfi sándor út 45.
H-7718 Oroszfürdőfalu"
"Dr. Rácz Varga Klaudia"	"Debreceni utca 75.
H-9496 Törökligetapáti"
"Kiss Z. Zsuzsanna"	"Mindszentházai utca 3.
H-6579 Vég"
"Máté Sára Mária"	"Belsőháti tér 137.
H-2054 Eger"
"Prof. Dr. Kissné Fülöp Erzsébet"	"Miskolci utca 115.
H-4201 Mezőmellékberény"
"Dr. Fülöpné Antal Margit Mária"	"Halasi utca 147.
H-1031 Fürdőapáti"
"K. Németh Anita"	"Soproni utca 112.
H-5688 Tamásiváros"
"Varga László Botond"	"Kistóti utca 215.
H-2333 Hajdúgyörgyháza"
"Németh M. Henrietta"	"Györgynémetii utca 38.
H-9888 Hajdúmellékharaszti"
"Dr. Kovácsné Kovács Aranka"	"Petőfi sándor utca 136.
H-6353 Alsókeresztkőrös"
"Nagy R. János"	"Ceglédi utca 78.
H-4372 Cegléd"
"Török Gáborné Mészáros Ágnes"	"Balatonligeti utca 18.
H-1783 Somogytapolcavár"
"Novák Istvánné Tóth Borbála"	"Nagytamásii utca 181.
H-7014 Drávatótfa"
"Dr. Bogdán M. Erika"	"Tamásibányai út 64.
H-6396 Sopron"
"Bognár J. Tibor"	"Hetvenfalvai utca 6.
H-6568 Salgótarján"
"Dr. Horváth Roland József"	"Tamásifalui tér 186.
H-4122 Debrecen"
"Török Patrikné"	"Béke utca 200.
H-3095 Mezőligetfalva"
"Varga M. Piroska"	"Fürdőkőrösi utca 159.
H-9317 Mellékháza"
"Molnárné Dr. Katona Erika"	"Hódmezővásárhelyi út 125.
H-2464 Veszprém"
"Dr. Papp Lajosné"	"Györgyfalui utca 223.
H-4196 Pusztamellékváros"
"Gálné Vörös Erzsébet"	"Pécsi utca 48.
H-5467 Mártonvárad"
"Dr. Kiss Olivérné"	"Szombathelyi tér 214.
H-9566 Mellékapáti"
"Molnár A. Mária"	"Budahetveni tér 113.
H-8321 Salgótarján"
"Dr. Varga V. Zsuzsanna"	"Szabadság utca 1.
H-1315 Balatonmártonvég"
"Fehér Levente Róbert"	"Tapolcavégi utca 138.
H-6886 Fa"
"Horváth Judit Zsófia"	"Miskolci utca 110.
H-6380 Fürdőfalva"
"Lakatos Istvánné Fábián Mária"	"Petőfi utca 181.
H-8739 Magyarligetfa"
"Varga M. Tímea"	"Fürdőfalui tér 50.
H-5048 Mártonháza"
"Feketené Dr. Nagy Piroska"	"Mártonhidai tér 39.
H-6896 Ligethalas"
"Dr. Horváth Borbála Orsolya"	"Dunakeszii utca 132.
H-6100 Mellékfalu"
"Pásztor Noelné"	"Tótváradi utca 49.
H-8535 Nyéktóthalas"
"Dr. Szabó Györgyi Zsuzsanna"	"Dunaháti utca 91.
H-5652 Miskolc"
"Dr. Péterné Szabó Tünde Kinga"	"Szabadság tér 84.
H-4109 Mellékvég"
"Horváth Fülöp Dóra"	"Béke utca 36.
H-2692 Kőrös"
"Dr. Szabó Ildikó Edit"	"Kossuth utca 80.
H-7914 Ligetharaszti"
"Major A. Mónika"	"Dunahetveni utca 242.
H-5089 Tótfalu"
"Faragó Á. Géza"	"Vári utca 36.
H-3137 Mátratótfalva"
"Varga Molnár Imre"	"Mellékhidai utca 172.
H-1962 Györgyfalva"
"Dr. Nagy Klaudia"	"Béke utca 157.
H-4745 Mezőkeresztfalva"
"L. Dudás László"	"Petőfi sándor tér 3.
H-6465 Tatabánya"
"Dr. Á. Balog Attila"	"Balatontapolcai utca 24.
H-8746 Hátváros"
"Dr. Márton J. Sándor"	"Tapolcaapátii utca 97.
H-9559 Györgydevecser"
"Dr. Kovács I. Petra"	"Ózdi utca 103.
H-7878 Érd"
"Tóth Nagy Sándor"	"Dunagyörgyi utca 28.
H-2750 Hódmezővásárhely"
"Balogh Biró Anna"	"József attila utca 4.
H-6957 Ligetháza"
"Tóth Király Zsuzsanna"	"Mártonvári utca 246.
H-9602 Mátrahátharaszti"
"Dr. Kovács Gábor"	"Vári utca 161.
H-4317 Bácsgyörgyfa"
"Varga Mészáros Csaba"	"Petőfi utca 158.
H-7623 Veszprém"
"Pataki Zoltán"	"Bakonyligeti utca 84.
H-5599 Balatonhetvenváros"
"K. Orosz Viktória"	"Szabadság utca 216.
H-1694 Kunmártonvár"
"L. Németh László"	"Petőfi utca 224.
H-9007 Hátfa"
"Dr. Tóth Mónika"	"Ceglédi utca 53.
H-4550 Ózd"
"Székely Balázsné"	"Soproni tér 228.
H-6467 Érd"
"Kissné Jónás Orsolya Anna"	"Dunakeszii utca 225.
H-1847 Város"
"Nagy F. Zsombor"	"Kossuth utca 126.
H-9432 Fürdőhida"
"Fehér Béla László"	"Petőfi sándor utca 39.
H-4760 Szolnok"
"Dr. Kovács Alexandra Éva"	"Fürdővégi utca 133.
H-2679 Tatabánya"
"Varga P. Tamás"	"Dózsa györgy utca 126.
H-1684 Székesfehérvár"
"Németh Szabó Edit"	"Borsodszéki utca 209.
H-4071 Magyarmindszentvár"
"Kovácsné Dr. Takács Mária"	"Béke utca 118.
H-7584 Pécs"
"Varga Farkas Sándor"	"Budapesti utca 144.
H-9619 Dunakeszi"
"Papp S. Zsolt"	"Tótnémetii utca 109.
H-4761 Oroszmártonvárad"
"Bognár Árpád József"	"Hátvári utca 249.
H-9424 Érd"
"Szabóné Dr. Pintér Csilla Mónika"	"Arany jános utca 94.
H-1765 Borsodligetapáti"
"Horváth Adrienn Erzsébet"	"Dózsa györgy utca 91.
H-9907 Székesfehérvár"
"Z. Horváth Dóra"	"Kecskeméti tér 206.
H-6851 Mezőmellékvég"
"Dr. Németh Gáborné"	"Dózsa györgy utca 166.
H-9483 Felsőmártonfalva"
"Varga Pál Zoltán"	"Petőfi út 22.
H-3673 Hetvenfa"
"I. Veres Iván"	"Tamásivégi tér 142.
H-6858 Váchetvenfa"
"Kovács Gyulané Bálint Eszter"	"Felsőmártoni utca 221.
H-5382 Hetvenfalu"
"Dr. L. Biró Attila"	"Ligetvégi utca 187.
H-4310 Dunakeszi"
"Takács Júlia Sára"	"Szabadság utca 114.
H-5973 Dunaújváros"
"Szűcs Katalin Eszter"	"Házai utca 244.
H-9203 Tótapáti"
"Molnár Fábián Dávid"	"Tapolcabányai utca 124.
H-6499 Tamásiváros"
"Dr. Fodor Tóth Lajos"	"Petőfi sándor utca 157.
H-6523 Érd"
"Szilágyi Nagy Máté"	"Székvégi út 4.
H-1823 Budahídvár"
"Fekete Sipos Margit"	"Bajai utca 138.
H-1717 Szeged"
"Varga Péter"	"Drávai út 60.
H-4759 Baja"
"Szabó Kálmán"	"Békési utca 134.
H-8636 Cegléd"
"Fekete Lukács Zsuzsanna"	"Hetvendevecseri tér 30.
H-1273 Szombathely"
"Dr. Szabó Nikoletta"	"Székkőrösi utca 6.
H-9759 Kistamásiváros"
"Tóth Tivadar Gábor"	"Mosongyörgyi utca 149.
H-1849 Tótberény"
"E. Horváth Fanni"	"Kaposvári utca 167.
H-5645 Dunamindszentvárad"
"Dr. Horváth Alexandra Erzsébet"	"Szabadság utca 159.
H-7641 Baja"
"L. Tóth Zalán"	"Szerbtóti út 93.
H-2706 Dunakeszi"
"Szabó Krisztina"	"Tiszahetveni utca 41.
H-6500 Újhátbánya"
"Bognár Éva"	"Magyartóti utca 207.
H-2625 Hátfalu"
"Varga Szilvia"	"Bakonytamásii utca 221.
H-2030 Kungyörgyberény"
"Dr. Nagy Margit Katalin"	"Arany jános tér 111.
H-8174 Németmellékhida"
"Dr. Orbán Sándor Zsófia"	"Egyházasmindszenti utca 169.
H-9930 Hetvenfalu"
"Dr. R. Tóth Károly"	"Törökligeti utca 19.
H-4030 Kunhetvenháza"
"K. Nagy Attila"	"Hajdúmindszenti utca 191.
H-1687 Hetvenharaszti"
"Dr. Molnár Molnár Zoltán"	"Belsői utca 94.
H-7141 Hátbánya"
"Dr. Kovács Gyöngyi Mónika"	"József attila utca 68.
H-7933 Somogytapolcaháza"
"Tóth István András"	"Tiszakereszti utca 212.
H-2353 Somogytótháza"
"Mészáros Mészáros Zoltán"	"Petőfi utca 6.
H-6950 Keresztapáti"
"Dr. Molnár A. Magdolna"	"Dózsa györgy utca 221.
H-4505 Somogytapolcaapáti"
"Varga Sándorné Kovács Anna"	"Mosonmagyaróvári utca 78.
H-5059 Oroszhátnádasd"
"Tóth Róza"	"Tatabányai tér 120.
H-7994 Keresztapáti"
"Kovácsné Dr. Papp Erzsébet"	"Pécsi utca 136.
H-1150 Sopron"
"Nagyné Dr. Tóth Zsuzsanna Györgyi"	"Salgótarjáni utca 153.
H-3741 Mátratamásidevecser"
"E. Farkas Ibolya"	"Mártonkőrösi út 177.
H-4364 Keresztvár"
"Gáspárné Molnár Irén"	"Kunháti út 114.
H-4865 Érd"
"Dr. Németh B. Péter"	"Nyírtapolcai utca 236.
H-3568 Cegléd"
"Vargané Nagy Mária"	"Belsőmelléki utca 72.
H-4540 Szeged"
"Kiss Enikő Enikő"	"Györgyhalasi utca 120.
H-4061 Salgótarján"
"Juhász Alexandra"	"Pusztai utca 5.
H-7936 Mindszentbánya"
"Varga Tamásné Kovács Irén"	"Hetvenvégi utca 178.
H-6260 Nagymellékháza"
"Tóth Ádámné Magyar Judit"	"Mártonberényi út 146.
H-5839 Tapolcaharaszti"
"Kovács Tiborné"	"Nagykanizsai utca 246.
H-1273 Kishetvenvárad"
"Z. Barna Mária"	"Mellékfalvai utca 69.
H-5255 Hátvára"
"Tóthné Dr. Németh Mária"	"Petőfi utca 226.
H-2024 Hajdúhida"
"Tóth Ágnes Anna"	"Dunakeszii tér 215.
H-5045 Tamásinémeti"
"Kiss Eszter Erika"	"Balatonszéki utca 161.
H-8118 Mártonváros"
"Tóth Ádámné Varga Ágnes"	"Tapolcafalui út 119.
H-7966 Kunszéknádasd"
"Hegedűs Kovács András"	"Tatabányai tér 137.
H-7751 Kecskemét"
"Lakatos Istvánné Balog Ilona"	"Mártonváradi utca 219.
H-6980 Felsőmindszentberény"
"Varga Tóth Katalin"	"Györgyharasztii utca 118.
H-7737 Mezőhídfalu"
"Prof. Dr. Sándor János György"	"Hetvenharasztii utca 191.
H-4740 Szigetszentmiklós"
"Somogyi Tiborné Juhász Anna"	"Váci út 13.
H-5228 Hetvenvár"
"F. Takács Tibor"	"Mosonmagyaróvári tér 36.
H-2712 Hajdúhetvenfalva"
"Dr. Tóth Sándorné Lakatos Veronika"	"Mezőgyörgyi utca 106.
H-9137 Hídvárad"
"Dr. Balázs Istvánné"	"Hódmezővásárhelyi út 63.
H-8970 Város"
"Fazekas A. Balázs"	"Székvégi utca 5.
H-8076 Alsómellékváros"
"Simon Virág Gábor"	"Nyíregyházai utca 102.
H-1957 Hajdúháza"
"Szabó Vass Renáta"	"Mellékházai utca 221.
H-2870 Kecskemét"
"Dr. P. Szabó Viktor"	"Béke utca 159.
H-9124 Hetvenfa"
"Varga Varga Csaba"	"Tatabányai utca 179.
H-1532 Székapáti"
"Dr. Nagy Németh Csongor"	"Kaposvári utca 146.
H-1663 Kistamásibánya"
"Papp Erzsébet"	"Hajdúmelléki utca 203.
H-1099 Cegléd"
"Pálné Kovács Zsófia"	"Fürdőapátii tér 106.
H-7637 Nagykanizsa"
"Dr. Magyar M. Zsolt"	"Ózdi utca 93.
H-9837 Székesfehérvár"
"Varga Attila"	"Debreceni utca 173.
H-7321 Mosonmagyaróvár"
"Dr. K. Papp Zoltán"	"Bajai utca 197.
H-7316 Pécs"
"Dr. J. Horváth Zsófia"	"Tatabányai utca 150.
H-1226 Eger"
"E. Szabó Erika"	"Nyírtamásii utca 105.
H-5361 Alsóberény"
"Gáspár Aranka Katalin"	"Váradi utca 241.
H-7327 Mellékapáti"
"Varga Ádámné"	"Mártonnémetii utca 175.
H-6707 Hídnémeti"
"Dr. Kovács Zoltánné"	"Petőfi utca 131.
H-7590 Felsőtapolcaberény"
"Boros M. Zsombor"	"Dózsa györgy utca 41.
H-6212 Mártonapáti"
"Dr. Molnár Varga György"	"Budapesti utca 153.
H-6962 Nagymártonkövesd"
"T. Horváth Judit"	"Mellékkövesdi út 58.
H-3503 Mezőhíddevecser"
"Dr. Nagyné Kovács Katalin Krisztina"	"Hídvárosi utca 35.
H-3222 Hetvennádasd"
"Horváth J. József"	"Hídfalvai utca 150.
H-2403 Nagyligetberény"
"Juhász Anikó Gabriella"	"Hetvenhalasi utca 17.
H-4768 Ózd"
"Horváth Jolán"	"Bakonyfürdői utca 22.
H-8639 Ligetvár"
"Farkasné Dr. Fodor Ildikó Klára"	"Vácgyörgyi utca 131.
H-8436 Ligetbánya"
"Varga Éva Ibolya"	"Szabadság utca 52.
H-8145 Szentkeresztvár"
"Soósné Márton Bianka"	"József attila utca 3.
H-9389 Székbánya"
"Bartané Németh Irma"	"Ceglédi utca 68.
H-5855 Nyéktótnádasd"
"Gáspár Szilvia"	"Németmelléki utca 181.
H-5575 Dunakeszi"
"A. Papp Ádám"	"Fürdőváradi utca 247.
H-5498 Tatabánya"
"Kiss Enikő"	"Székkőrösi utca 5.
H-4402 Tapolcavég"
"Dr. Nagy Dánielné Balogh Andrea"	"Hídfalvai utca 93.
H-3589 Alsódevecser"
"Kozma Éva Margit"	"Hetvenvégi utca 229.
H-5930 Veszprém"
"Dr. G. Szabó Róbert"	"Béke utca 30.
H-1519 Ózd"
"Szűcsné Dr. Kis Katalin Anett"	"Szabadság út 186.
H-3934 Veszprém"
"Varga Éva"	"Kossuth utca 19.
H-3804 Törökszékapáti"
"Kovács István"	"Mosonfürdői utca 89.
H-5290 Tapolcavég"
"M. Varga Gyöngyi"	"Magyarligeti utca 222.
H-5253 Szerbligetharaszti"
"Orsós Mária Sára"	"Debreceni utca 151.
H-9197 Szentszékkövesd"
"Simon R. Tibor"	"Békéscsabai tér 36.
H-8540 Békéscsaba"
"Gulyás Mária Brigitta"	"Kaposvári utca 144.
H-4868 Tótkövesd"
"Á. Lakatos Teréz"	"Kuntapolcai utca 231.
H-3383 Zalaegerszeg"
"Fodor Noémi"	"Györgyvégi utca 227.
H-9977 Pécs"
"Némethné Fülöp Magdolna Róza"	"Magyarszéki út 136.
H-1849 Veszprém"
"I. Pintér Sándor"	"Nagykanizsai utca 76.
H-1507 Híddevecser"
"Vargané Antal Eszter"	"Kossuth utca 143.
H-2759 Ligetnádasd"
"Takácsné Orbán Gizella"	"Fürdőnádasdi utca 230.
H-7479 Salgótarján"
"Nagy Varga Terézia"	"Arany jános utca 145.
H-7245 Dunaújváros"
"Dr. Illés Józsefné"	"Tapolcafalvai utca 146.
H-8178 Veszprém"
"Lakatos Istvánné"	"Bácshídi utca 38.
H-2339 Balatonmindszentfa"
"Szabó Kiss József"	"Kossuth utca 53.
H-2288 Egyházashíddevecser"
"Vörös Horváth Csilla"	"Hídfalui út 155.
H-5741 Oroszhetvenkövesd"
"Fekete Dóra"	"Nagymelléki utca 70.
H-6869 Tatabánya"
"Dr. Oroszné Fodor Tímea"	"Újmelléki utca 158.
H-7541 Balatontapolcaváros"
"Dr. Farkas Németh Nóra"	"Mátragyörgyi utca 168.
H-8061 Felsőhátváros"
"Vargané Dr. Boros Magdolna"	"Dunaújvárosi tér 189.
H-8590 Hetvenhida"
"Dr. Váradi E. Erika"	"Fürdőbányai utca 48.
H-3438 Hódmezővásárhely"
"Dr. Takácsné Kovács Katalin Judit"	"Nagyhetveni utca 218.
H-5566 Hetvenfalva"
"Varga Tóth Antal"	"Arany jános utca 159.
H-4726 Drávafürdőapáti"
"Dr. Fodorné Varga Ágnes"	"Béke tér 167.
H-9956 Kaposvár"
"Dr. Varga Terézia Ilona"	"Keresztnádasdi utca 41.
H-1730 Tatabánya"
"Kis Ilona Irén"	"Bajai utca 166.
H-7472 Tiszahátbánya"
"Takács K. Edit"	"Kishetveni utca 37.
H-1787 Széknémeti"
"B. Nagy Szilvia"	"Fürdőváradi utca 100.
H-9538 Mosonkeresztdevecser"
"Tóth Mihály"	"Hetvenfalvai utca 122.
H-1082 Mellékfa"
"Vargané Dr. Budai Erzsébet"	"Hídvári tér 163.
H-8581 Tótapáti"
"A. Kovács László"	"Egeri utca 228.
H-2978 Mindszentnémeti"
"Horváth J. József"	"Béke utca 250.
H-8093 Hetvenkövesd"
"Dr. Tóthné Szabó Éva"	"Némettapolcai utca 131.
H-5661 Békéscsaba"
"Borosné Dr. Katona Erika Ildikó"	"Petőfi utca 23.
H-7959 Dunakeszi"
"Boros Horváth Ilona"	"Petőfi sándor út 236.
H-6008 Szolnok"
"S. Bakos Margit"	"Petőfi sándor utca 13.
H-8427 Kunmindszentfa"
"Dr. Horváth Sándorné"	"Fürdőberényi utca 189.
H-8131 Bácstamásivárad"
"T. Tóth Árpád"	"Miskolci utca 164.
H-2192 Ligetvárad"
"Borosné Rácz Julianna"	"Mátraligeti tér 202.
H-6380 Lajosdevecser"
"Vargané Dr. Gál Ilona"	"Németgyörgyi utca 224.
H-3096 Baja"
"Dr. Horváth László"	"Dózsa györgy utca 51.
H-9438 Tapolcaberény"
"Dr. Somogyiné Farkas Rozália Anna"	"Bakonytóti utca 142.
H-9128 Hódmezővásárhely"
"Dr. Horváth Tamásné"	"Érdi utca 164.
H-8681 Mindszentfa"
"Németh Ádám"	"Nyíregyházai utca 48.
H-4042 Dunakeszi"
"Z. Gulyás Miklós"	"Szabadság utca 32.
H-1879 Nagyszékdevecser"
"Jakab Zsombor"	"Dunaligeti tér 27.
H-4015 Törökhídfalva"
"A. Rácz Judit"	"Petőfi sándor utca 209.
H-8328 Tótnémeti"
"Pap K. Ágnes"	"Nagykanizsai utca 164.
H-5650 Hídnádasd"
"Dr. Horváth A. Zsuzsanna"	"Mátratamásii utca 176.
H-5991 Tótvárad"
"Vargané Dr. Lukács Ilona"	"Balatontapolcai tér 93.
H-3652 Nagykanizsa"
"Dr. Pintér Antalné"	"Szombathelyi utca 137.
H-3716 Békésmindszentkőrös"
"Dr. Boros B. Ildikó"	"Tamásikőrösi utca 130.
H-2222 Székfalu"
"Orsós Ferenc Dávid"	"Zalaegerszegi utca 210.
H-5670 Hátnádasd"
"Virágné Prof. Dr. Kiss Dorina Katalin"	"Hátberényi utca 137.
H-5955 Újmártonvég"
"Borbély Katalin Magdolna"	"Keresztfalui utca 100.
H-9993 Szerbmindszentkövesd"
"Fehér Lajos Sándor"	"Nagykanizsai utca 73.
H-8639 Szenttótberény"
"Dr. Hegedűs A. Ibolya"	"Kövesdi utca 158.
H-2992 Győr"
"Dr. J. Novák Richárd"	"Kecskeméti utca 157.
H-7975 Székberény"
"Hegedüsné Molnár Erzsébet Mária"	"Balatonmindszenti út 54.
H-6179 Bácstótfalu"
"Vargané Dr. Szabó Petra Erika"	"Ceglédi utca 76.
H-5203 Mosonmagyaróvár"
"Dr. Kis Györgyné"	"Dunafürdői utca 225.
H-8572 Székesfehérvár"
"K. Pap Mária"	"Tatabányai utca 188.
H-1127 Vác"
"Mészáros E. Katalin"	"Petőfi utca 95.
H-7912 Drávamindszentvár"
"Dr. Némethné Papp Ilona Dorina"	"Fürdővári utca 88.
H-2990 Tapolcavár"
"Kerekesné Takács Gizella"	"Pusztagyörgyi utca 131.
H-6514 Tótnádasd"
"K. Tóth József"	"Nagykanizsai utca 246.
H-7538 Tóthalas"
"Dr. Török Balogh András"	"József attila utca 117.
H-2374 Bánya"
"Vargané Molnár Éva"	"Váci tér 108.
H-8255 Hetvenbánya"
"J. Takács Gábor"	"Borsodmelléki út 34.
H-5166 Oroszkeresztbánya"
"Vargané Dr. Tóth Klára"	"Kossuth utca 152.
H-3797 Bácsmindszentkőrös"
"Dr. Némethné Lukács Ilona"	"Kossuth utca 26.
H-7293 Veszprém"
"Horváth Farkas Mónika"	"Györgynádasdi út 221.
H-2110 Hetvenapáti"
"Fábián Erika"	"Ligetvári utca 7.
H-1231 Pusztamártonhida"
"Dr. Faragó Dorottya Mónika"	"Petőfi sándor tér 74.
H-7741 Hetvenvárad"
"Dr. Fekete István János"	"Ligetvárai utca 208.
H-5822 Győr"
"Molnár Orsós Csaba"	"Petőfi sándor utca 58.
H-1544 Sopron"
"Székelyné Dr. Németh Ildikó"	"Mártonfalui utca 97.
H-4585 Budapest"
"Mészáros Ádám"	"Dunai utca 194.
H-4673 Kaposvár"
"Bartané Varga Dóra"	"Zalaegerszegi utca 39.
H-4890 Némettamásifalu"
"Vargané Horváth Judit Gréta"	"Egeri utca 78.
H-1646 Fürdőhalas"
"Dr. Balogh Erzsébet Rozália"	"Székesfehérvári tér 75.
H-4234 Baja"
"Szabó Kiss István"	"Székapátii utca 41.
H-6889 Szombathely"
"Dr. Kis Józsefné Szőke Anna"	"Petőfi út 197.
H-9949 Mellékvár"
"Sándorné Dr. Király Eszter"	"Kossuth út 39.
H-2796 Hetvendevecser"
"Vincze Kiss Géza"	"Újtóti utca 88.
H-5165 Pécs"
"I. Tóth Viktor"	"Nagykanizsai utca 30.
H-9095 Orosznádasd"
"Szücsné Dr. Jakab Margit"	"Kecskeméti tér 85.
H-9959 Nyíregyháza"
"Farkas E. Hajnalka"	"Kossuth utca 50.
H-4188 Hídkövesd"
"T. Szücs János"	"Zalaegerszegi utca 173.
H-8618 Bácstótkőrös"
"Vargané Horváth Julianna Bettina"	"Fürdőbányai utca 215.
H-9725 Felsőtamásihalas"
"Dr. V. Horváth Péter"	"Tamásiberényi utca 148.
H-4279 Szombathely"
"I. Nagy Orsolya"	"Petőfi sándor utca 149.
H-9063 Szentfürdővég"
"Szabó Kovács Erika"	"Szigetszentmiklósi utca 33.
H-6561 Kunhetvenfalu"
"I. Szabó Patrik"	"Hídkőrösi utca 119.
H-1140 Veszprém"
"Dr. Katona Dánielné Tóth Terézia"	"Mátrahídi utca 52.
H-8444 Tatabánya"
"Dr. Varga A. Ilona"	"Alsófürdői utca 100.
H-1231 Berény"
"Hegedüsné Dr. Takács Alexandra"	"Egeri utca 204.
H-1253 Hetvenkövesd"
"Dr. Szilágyiné Hegedűs Erzsébet Mária"	"Mosonfürdői utca 208.
H-6144 Dunaújváros"
"Nagy Zoltán"	"Békésligeti utca 65.
H-3663 Hetvennádasd"
"Vargané Jakab Mária"	"Petőfi tér 47.
H-7451 Keresztvára"
"Kiss Patrik Dezső"	"Ligetvárosi tér 25.
H-8360 Eger"
"Dr. Illésné Tóth Ilona Ilona"	"Szolnoki út 165.
H-3881 Nyírfürdőkövesd"
"Tamás Sándor László"	"Mellékvárosi utca 98.
H-6545 Hetvenvég"
"Magyar Jánosné Lakatos Éva"	"Béke utca 21.
H-5816 Dunaújváros"
"Dr. Kovács Zoltán"	"Nyékgyörgyi utca 213.
H-7589 Hetvenháza"
"Dr. S. Oláh Beáta"	"Ady endre utca 73.
H-2225 Székesfehérvár"
"Némethné Dr. Horváth Mónika Melinda"	"József attila utca 84.
H-8098 Ligetvára"
"Dr. Kissné Horváth Mária"	"Tamásifalvai tér 163.
H-8177 Mindszentfa"
"M. Kis Éva"	"Hajdúmelléki utca 39.
H-1866 Fürdővárad"
"Vargané Kovács Emese Henrietta"	"Mindszentfalvai utca 85.
H-1529 Rácszékdevecser"
"Dr. Kocsis Gyöngyi Edit"	"Nagytamásii utca 83.
H-4848 Pécs"
"Sipos Eszter"	"Dózsa györgy út 4.
H-7109 Dunaújváros"
"Takács Anna Mária"	"Ligetvégi utca 186.
H-9472 Tamásivára"
"Dr. Farkasné Nagy Róza Anna"	"Petőfi sándor utca 74.
H-7045 Vác"
"Dr. Pap Z. László"	"Bakonyszéki utca 247.
H-7066 Nyíregyháza"
"Nagy M. Anett"	"Ligetapátii tér 79.
H-9655 Nagyfürdőháza"
"Soós Szabó Lilla"	"Kishídi tér 61.
H-4790 Mindszentvég"
"Dr. Pap B. Péter"	"Mártonfai tér 242.
H-5040 Pilismártonhida"
"Szekeres Márkné"	"Mátrafürdői utca 107.
H-7355 Ózd"
"Vargané Kovács Noémi Éva"	"Pécsi utca 204.
H-5769 Mártonbánya"
"Farkasné Dr. Katona Zita"	"Tapolcavárosi utca 202.
H-5646 Nagyhátvárad"
"B. Fábián Julianna"	"Ózdi tér 238.
H-2960 Fürdővárad"
"Dr. Tóth Miklós István"	"Béke utca 238.
H-1006 Baja"
