"Aaron Put"	"Petruspad 2
7650 Zerkegem" 
"Nancy Simoens"	"Irmaboulevard 056
3582 Bomal-sur-Ourthe"
"Annick Vandamme"	"Isabellebaan 002
6274
Diksmuide"
"Nicole Van Belle"	"Huguettering 8
7072
Drieslinter"
"Linda Van Herck"	"Inespad 367
4732 Herfelingen"
"Heleen De Laet"	"Pascalsteeg 147
2609 Brustem"
"Arthur Hens"	"Mariesteeg 166
1685
Noville"
"Paul Peters"	"Romyring 63
7968 Couillet"
"Yasmine Vergauwen"	"Katiasteeg 7
3193
Julémont"
"Oscar Lammens Andries"	"Dimitribaan 91
8786
Zandvoorde-Zonnebeke"
"Chantal Timmerman"	"Wesleystraat 0
3165
Wannebecq"
"Aline Maes"	"Janstraat 8
4509
Villers-devant-Orval"
"Paula Boonen"	"Jarnoring 17
4036
Lantremange"
"Nicole Vandeputte"	"Sarahof 8
9373 Rouvreux"
"Delphine De Meyer"	"Freddyhof 74
1413 Wuustwezel"
"Chris Verdonck"	"Kristofsteeg 41
1656
Laplaigne"
"Bart Adriaensen"	"Dannybaan 16
9375
Enines"
"Monique Schoofs"	"Ellasteeg 7
3834
Nederhasselt"
"Gilbert Vercammen"	"Suzanneboulevard 7
2890 Leers-Nord"
"Achiel Roosen"	"Laurencedreef 74
5790
Dohan"
"Sonja Verstraeten"	"Andrédreef 6
5916
Loupoigne"
"Kelly De Smet"	"Henriettering 9
1916
Donk"
"Christophe Neirynck"	"Mohamedboulevard 0
6337
Saint-Gérard"
"Niels Baert"	"Wimpad 73
9060 Essen"
"Kristien Vermeulen"	"Nicolasring 4
5433 Gilly"
"Ilse De Vos"	"Marchof 657
7509
Thirimont"
"Freddy Verhoeven"	"Ritastraat 18
6036
Leopoldsburg"
"Marc Van der Auwera"	"Juliedreef 446
5003
Mortier"
"Yasmine De Cock Devriendt"	"Janbaan 96
6483
Morlanwelz"
"Lily Peeters"	"Seppesingel 565
6291
Spontin"
"Charlotte De Ridder De Clerck"	"Jannestraat 43
3171
La Hestre"
"Sam Peeters"	"Geertring 76
7774 Vivy"
"Barbara Huyghe"	"Jefstraat 477
4083
Graux"
"Niels Rogiers"	"Erwinboulevard 12
1071 Frasnes-lez-Buissenal"
"Monique Eeckhout"	"Cindysingel 552
4453 Saint-Germain"
"Stijn Tanghe"	"Svensingel 84
2466 Oppuurs"
"Carina Philips"	"Sergestraat 939
4481 Ranst"
"Sara Andries"	"Katriensingel 9
1819 Burdinne"
"Bilal Smet Verelst"	"Wendysteeg 06
4953 Elverdinge"
"Jenny Roels"	"Freddypad 430
2299
Rumes"
"Nicole Vermeulen"	"Lowielei 8
7623 Flavion"
"Vera Vercruysse"	"Ayoubboulevard 404
8897 Grâce-Hollogne"
"Sven Depoorter"	"Annielei 0
3378
Graty"
"Niels Van Rompaey"	"Xanderring 88
6508
Petit-Fays"
"Niels Houben"	"Jozefstraat 5
7377 Saint-Vincent"
"Ines Van Parys"	"Glennstraat 658
4173
Duisburg"
"Sabine Bogaerts"	"Marielaan 25
7394 Libramont"
"Walter De Sutter"	"Marcelbaan 661
6341 Groot-Bijgaarden"
"Josse Van Dessel"	"Koendreef 290
3215 Colfontaine"
"Veerle Van den Bosch"	"Monikapad 39
6125 Kobbegem"
"Mauro Verheyden"	"Annyweg 21
6016
Goutroux"
"Naomi Verstraete"	"Martinelaan 6
3625
Castillon"
"Marina Dekeyser Adriaensen"	"Michelboulevard 216
6313
Faimes"
"Niels Verheyden"	"Robertlaan 30
8404
Thy-le-Château"
"Daniel Van den Bergh"	"Tomhof 3
7927 Ulbeek"
"Sabine Roels"	"Marielaan 257
7253
Oostkerke-Diksmuide"
"Maria Verhaeghe"	"Sophielaan 541
4556
Lo-Reninge"
"Herman Sabbe"	"Luclei 84
7361
Mesnil-Eglise"
"Lucia Janssens"	"Kamielstraat 4
9741 Carnières"
"Tim Smeets"	"Benhof 3
5408 Markegem"
"Patrick Bosmans"	"Martinring 752
4915 Piéton"
"Marc Pollet"	"Moniqueweg 34
3581 Grandhan"
"Laurens Neven"	"Lutgardepad 9
6589
Vlamertinge"
"Niels Vinck"	"Pieter-Janlaan 6
2345 Moerbeke-Waas"
"Martine Van Loo"	"Denisepad 8
6933 Ichtegem"
"Nadine Temmerman"	"Sennelaan 4
4116 Boechout"
"Geert Aerts"	"Janabaan 1
9261 Vlimmeren"
"Murat Theunis"	"Françoislei 7
3328 Omal"
"Luc De Waele"	"Frederikhof 95
7377
Pamel"
"Wim Claeys"	"Didierlaan 239
5932
Lissewege"
"Michael Marien"	"Evihof 897
2753
Kalmthout"
"Lars De Smedt"	"Hansbaan 47
6192
Bonsin"
"Marc Goris"	"Brentlei 654
5285
Vissenaken"
"Nina Vandamme"	"Marcelweg 434
7740 Fexhe-Slins"
"Christoph De Ridder"	"Dirkpad 334
4414
Oppuurs"
"Emiel Lammens"	"Dannyboulevard 09
6532
Booischot"
"Dries De Schutter"	"Mikering 4
6036 Beauvoorde"
"Christa Pauwels"	"Maartenstraat 479
6246
Sterrebeek"
"Louisa De Decker"	"Harrylei 9
1986
Warisoulx"
"Walter Hendrickx"	"Mariaring 5
6342 Houffalize"
"El De Bruycker"	"Deniselei 061
1710 Stalhille"
"Serge Van Assche"	"Florbaan 1
5947
Strijpen"
"Eddy Janssen"	"Annalaan 2
8930 Roosbeek"
"Nina Verbist"	"Anoukbaan 9
8038
Honnelles"
"Celine Claus"	"Patrickring 1
6469 Cheratte"
"Pierre Dewaele"	"Luciestraat 975
5629
Saint-Maur"
"Kenneth Van Laer"	"Rubenweg 556
9243
Dion"
"Emiel Van de Voorde Claessens"	"Elinepad 274
6694 Burcht"
"Emma Torfs"	"Julieweg 05
1400
Châtelineau"
"Sandra Claeys"	"Janhof 522
6456
Rognée"
"Arno Claes"	"Suzannadreef 3
6182 Vaulx-lez-Chimay"
"Joris Geens"	"Nancypad 078
7650
Monceau-sur-Sambre"
"Gabrielle Verwimp"	"Samuelhof 6
6259 Roesbrugge-Haringe"
"Nina Vergauwen"	"Ludoring 78
9471 Papignies"
"Danny Martens"	"Jimmysteeg 254
6432
Lommersweiler"
"Inge De Ridder De Baets"	"Peterlei 78
3261 Herchies"
"Guido Verbruggen"	"Michielring 4
8199
Veurne"
"Anja Michielsen"	"Ritaring 677
3901 Tildonk"
"Kenny De Smet"	"Kimberlyring 971
3596
Tillier"
"Jean Smets"	"Gretaring 964
2625 Villers-la-Loue"
"Godelieve Willaert"	"Stevenpad 8
4868
Genk"
"Patrick Peeters"	"Roberthof 707
1131
Herdersem"
"Maria Michielsen"	"Mariastraat 4
6991
Petit-Roeulx-lez-Nivelles"
"Noa Michiels"	"Chantalboulevard 2
5529
Epinois"
"Theodoor Pauwels"	"Norbertlei 18
2906 Rekem"
"An Boon"	"Victoriabaan 04
2178
Huldenberg"
"Michel Bogaerts"	"Yvonnesingel 63
6660 Sambreville"
"Conny Van Gorp"	"Danielleboulevard 8
8251 Nobressart"
"Dorien Van Camp"	"Marchof 142
1165
Herchies"
"Gino Moens"	"Geertboulevard 7
9865 Resteigne"
"Marie Van Dyck"	"Sarahbaan 94
5395 Waillet"
"Christian Dobbelaere"	"Jandreef 7
5619 Bevekom"
"Wendy De Keyser Cornelis"	"Marleensingel 292
2509
Saint-Mard"
"Noah Van Parys"	"Lucdreef 7
8074
Moignelée"
"Hilda De Clercq"	"Heidisingel 40
7675
Melsen"
"Frank Reynaert"	"Ahmadlei 29
4401
Eprave"
"Hilde Janssens"	"Leonalaan 475
3728
Ravels"
"Sylvia Van Hecke"	"Ernalaan 517
1152 Sint-Pieters-Voeren"
"Koen Deckers"	"Daniellei 54
4351
Ciply"
"Rudy Marien"	"Nicopad 1
2207
Ways"
"Jean Van den Bossche"	"Dannylei 556
7625
Maubray"
"Tamara Coene"	"Lottesingel 308
1927 Denderleeuw"
"Peter De Keyser"	"Elisebaan 655
3990 Habay-la-Neuve"
"Noor Peeters"	"Sergelaan 933
4403 Petigny"
"Willy De Graeve"	"Louisstraat 7
8623
Zoerle-Parwijs"
"Hugo Luyten"	"Mariastraat 691
5236
Blaasveld"
"Jacques Govaerts"	"Oliverring 8
5848 Klein-Gelmen"
"Yusuf De Smedt"	"Briansingel 857
1143 Aiseau"
"Finn Janssens"	"Jeanpad 997
3130
Maulde"
"Erwin Van Hove"	"Franslei 15
5787
Anthée"
"Monique Lambrechts Van de Velde"	"Stephaniesteeg 102
6805
Heppignies"
"Vincent Cuypers"	"Ritalaan 3
6553 Koekelare"
"Nicole Van Damme"	"Juliendreef 4
9448
Oudenburg"
"Noor Theunis"	"Catharinahof 919
9002 Houdeng-Aimeries"
"Maurits Van Roy"	"Hannahsteeg 52
7697 Sint-Martens-Latem"
"Tom Desmet"	"Yolandering 3
2330
Bekkerzeel"
"Nico Ooms"	"Mariaweg 608
3878 Villers-le-Temple"
"Raphaël Hendrickx"	"Dirkweg 26
3436 Marneffe"
"Dominique De Roeck"	"Geertlaan 0
9786 Rognée"
"Andrea Segers"	"Hansring 59
9914
Thumaide"
"Jan Nijs"	"Magaliweg 1
6363
Opvelp"
"Flore De Graeve"	"Giuseppedreef 356
6791 Zeveneken"
"Ibrahim Van Gorp"	"Marielaan 5
7296
Moustier"
"Nora Maes"	"Ericweg 130
2144
Sivry-Rance"
"Annelies Nys"	"Jobaan 4
3827
Izel"
"David De Schrijver"	"Marialei 441
7024
Antoing"
"Koen Van Laere"	"Henribaan 164
6056 Pussemange"
"Victoria Singh François"	"Rubensingel 51
6685 Patignies"
"Marco Cuypers"	"Christianepad 19
6782 Bertem"
"Christiane Verstraete"	"Casperdreef 6
9733
Olne"
"Godelieve Herman Jacobs"	"Lindalaan 74
8384 Bailleul"
"Johannes Maes"	"Olivierlei 1
9073
Balegem"
"Josée Desmet"	"Johansteeg 27
7971 Overijse"
"Noël Peters"	"Ilonabaan 805
2469
Grand-Reng"
"Alice Gielen"	"Luciennelaan 130
8127
Anloy"
"Lars Willems"	"Ernapad 319
6509
Nieuwrode"
"Christophe De Mulder"	"Lenalaan 4
9871
Zillebeke"
"Rik Jacobs"	"Samring 335
7394 Schaffen"
"Quinten Van Dyck"	"Yvettering 08
9891 Héron"
"Sarah De Smedt"	"Carlosboulevard 162
6242
Schulen"
"Lien Vaes"	"Thomashof 265
6125
Eksel"
"Maria Slegers Gillis"	"Sanderboulevard 7
4695 Ruette"
"Valerie Janssens"	"Lucbaan 875
1967
Bütgenbach"
"Odette Pauwels"	"Kobeboulevard 4
5892 Adinkerke"
"Kimberley Pieters"	"Guydreef 55
2431
Waasmunster"
"Leon Martens"	"Rikhof 6
3840 Milmort"
"Evy Govaerts"	"Guidolaan 228
1244 Vloesberg"
"Linda Borremans"	"Christasteeg 7
7864
Buissonville"
"Sabrina Verwimp Polfliet"	"Lizebaan 0
7088 Koersel"
"Sandra Sabbe"	"Oliviaweg 8
5184
Leuze-en-Hainaut"
"Ken Baeyens"	"Olivierlei 2
4120
Odeur"
"Eline Vanderheyden"	"Maximedreef 561
8166
Kerniel"
"Mauro De Boeck"	"Guidohof 4
5900 Saint-Germain"
"Olga De Boeck"	"Marnixsteeg 97
2141 Bergilers"
"Lotte Vercammen"	"Moniquering 4
7131
Tielrode"
"Theresia Holvoet"	"Pauldreef 921
4468
Sint-Denijs-Boekel"
"Charlotte Goethals"	"Febebaan 52
8843
Ramillies-Offus"
"Ruth Janssens"	"Jacquelinelaan 31
4710
Tessenderlo"
"Henri Claes"	"Evelinedreef 38
6296 Hechtel-Eksel"
"Gregory Smets"	"Christelhof 50
6841
Harsin"
"Joris Lauwers"	"Emielboulevard 68
4505 Watervliet"
"Veerle Poppe"	"Jellesteeg 817
3779 Cuesmes"
"Monique Malfait"	"Stephaniestraat 2
9557 Harre"
"Olga Verdonck"	"Lorenzolaan 6
8049
Andenne"
"Robbe De Winter"	"Annring 922
6555 Lesterny"
"Maxim Van den Broeck"	"Brentring 6
8233
Basècles"
"Sofia Meeus"	"Raphaëllei 0
5288 Polleur"
"Patricia Dewitte"	"Hannering 1
3595 Ravels"
"Nele De Paepe"	"Dirkweg 7
3265 Forville"
"Rita Laureys"	"Amélielaan 388
5313 Bastogne"
"Marc Jacobs"	"Gerdaring 53
6191
Maillen"
"Conny De Wachter"	"Johannadreef 36
2097
Kortemark"
"Dirk Philips"	"Martineweg 7
6415 Borlon"
"Olivia De Smet"	"Barthof 4
5355 Pepingen"
"Irène Saelens"	"Robinsingel 27
1889
Schendelbeke"
"Christiane De Smet"	"Imaneboulevard 557
3596 Fallais"
"Hans Vermeir"	"Philippeweg 5
1747
Estinnes-au-Val"
"Annie Philips"	"Ingriddreef 4
1749
Izier"
"Maarten Van Damme"	"Nelelei 42
2509 Sainte-Ode"
"Annick Schepers Van Damme"	"Saskiaboulevard 613
9121 Frasnes-lez-Buissenal"
"Raphaël Demuynck"	"Nicolepad 4
1137
Hodister"
"Godelieve Lemmens"	"Lydiepad 528
6507
Charleroi"
"Kamiel Segers"	"Kurtsteeg 186
8332
Bohan"
"Olivia Hermans"	"Mathislaan 8
5289
Remagne"
"Gino De Baets"	"Livdreef 384
2663 Torhout"
"Yasmina Debruyne"	"Danieldreef 8
9309 Hauset"
"Julian Willems"	"Gustbaan 7
4378
Mechelen-aan-de-Maas"
"Jef Lippens"	"Toonweg 741
6259 Grâce-Berleur"
"Marie De Backer"	"Frankweg 6
3163 Evegnée"
"Simon Maes"	"Davidboulevard 1
4737
Sart-en-Fagne"
"Peter Moors"	"Mariannepad 211
6013
Chairière"
"Lisette Dobbelaere"	"Marielei 98
2035
Balâtre"
"Maria Demuynck"	"Stevehof 161
9902 Meerbeek"
"Olivia Pattyn"	"Hubertboulevard 9
2109
Beerst"
"Marie Hermans"	"Ahmedpad 7
3070
Ecaussinnes-d'Enghien"
"Rita Daems"	"Mariebaan 512
7723
Villers-devant-Orval"
"Caroline Thomas"	"Brittboulevard 335
1068 Guigoven"
"José Hendrickx"	"Koenlaan 09
6293 Fraire"
"Dries Adriaenssens"	"Miekestraat 3
7097 Duffel"
"Sandra Vermeire"	"Katrienweg 770
6206
Isières"
"Fatima Govaerts"	"Nathalielei 69
9649
Zolder"
"Bart Bracke"	"Simonnelei 5
6694
Hansbeke"
"Armand Deprez"	"Paullaan 367
7938
Peissant"
"Olivia Temmerman"	"Ellalei 6
1555
Saint-Géry"
"Nancy Willaert"	"Valerielei 8
6921
Dréhance"
"Ellen Peeters"	"Antonsteeg 804
4452
Horebeke"
"Frederik Meeus"	"Stevenbaan 5
7263
Velzeke-Ruddershove"
"Jeannine Hendrickx De Winter"	"Driesbaan 24
6440 Marbehan"
"Annita Willems"	"Valériepad 245
9290 Vliermaalroot"
"Liesbet Roosen"	"Catherinebaan 43
1301 Lembeek"
"José Verstraete"	"Nancydreef 060
7127
Bornem"
"Michel Lemmens"	"Annhof 1
9800 Boëlhe"
"Bieke Raeymaekers"	"Emmahof 64
5144
Tillet"
"Olivia Van Looy"	"Patriciahof 628
8765
Zandbergen"
"Agnès De Winter"	"Simonnebaan 9
2084
Denée"
"Georgette Verstraeten"	"Lydielaan 50
7420 Neerglabbeek"
"Amina Verdonck"	"Ericlei 216
5579 Lommel"
"Maria Wouters"	"Benlei 4
3451 Olne"
"Frida Bosmans"	"Noahhof 54
5550
Hannut"
"Catharina Blondeel"	"Jeanstraat 1
4062
De Haan"
"Jeannette Vandewalle"	"Frankweg 3
8347 Huise"
"Hans Jonckheere"	"Michielsteeg 76
2978
Erneuville"
"Jan D'hondt"	"Krislei 812
1711
Boëlhe"
"Olivier Lambrechts"	"Pieterbaan 67
9551
Lotenhulle"
"Zoë Verhaeghe"	"Philipweg 5
7009 Jodoigne"
"Josiane Declercq"	"Florisstraat 412
2493 Poelkapelle"
"Siebe Pauwels"	"Sabrinadreef 4
4402 Houthalen"
"Louis Mees D'hondt"	"Jeansingel 211
9327
Villers-Sainte-Gertrude"
"Anneleen Seghers Vandenberghe"	"Alfredring 0
2621 Cortil-Noirmont"
"Anna De Ryck"	"Finnsingel 540
2129 Beigem"
"David De Schrijver"	"Peterdreef 79
5862
Maasmechelen"
"Hans Janssens"	"Kevinlei 699
8696
Hechtel"
"Patrick Denys"	"Runering 81
9476
Lavoir"
"Olivier Van Rompaey"	"Jansteeg 83
5007 Villers-sur-Semois"
"Lea De Smedt"	"Maartendreef 42
8079
Pousset"
"Eddy Bruyninckx"	"Annsingel 413
9437
Schaffen"
"Bart Dewulf"	"Karlbaan 295
7511
Viane"
"Mireille Vermeersch Dierick"	"Lorenzolaan 879
2006 Erpe"
"Roel Timmermans"	"Seppeweg 28
3536
Dinant"
"Wendy Vandamme"	"Willylaan 9
8304 Montroeul-au-Bois"
"Franky Moons"	"Jasperweg 31
8136
Habay-la-Neuve"
"Johanna Coppens"	"Anitalei 579
8740 Baisy-Thy"
"Franky Beernaert"	"Rosaring 81
1859 Leisele"
"Omar Ceulemans"	"Nancypad 448
3585 Chièvres"
"Geert Dhondt"	"Jacquelineweg 83
6084 Gentbrugge"
"Marie De Laet"	"Raymondlaan 1
5080 Veerle"
"Mathijs Meeus"	"Ginettepad 94
8148
Lanaken"
"Rosette Janssens"	"Davidweg 740
9812
Assesse"
"Guy De Backer"	"Dylanlaan 393
7974
Veurne"
"Robby Leys"	"Abdullaan 10
6491 Fexhe-le-Haut-Clocher"
"Febe Renders"	"Tibostraat 34
9208
Borgerhout"
"Stijn Stevens"	"Raphaëlboulevard 5
1439 Vellereille-le-Sec"
"Jan Mertens"	"Louissteeg 877
6987
Saint-Amand"
"Omar Decock"	"Mariettesingel 58
4108 Zaffelare"
"Emma De Mulder"	"Vinceboulevard 7
7071 Berneau"
"Nathalie Janssen"	"Jordihof 46
6990
Loksbergen"
"Marc Schepers"	"Kathleenhof 375
6927 Kaster"
"Stephanie Smets"	"Justinedreef 325
8422
Chênée"
"Jacqueline Stroobants"	"Sandrabaan 74
3600
Offagne"
"Danny Reynders"	"Gretasingel 4
4120
Baisieux"
"Lisa Leysen"	"Arnaudring 1
6522 Omezée"
"Wim Tanghe"	"Virginielaan 4
1905
Petite-Chapelle"
"Veerle Dewitte"	"Augustpad 20
7606 Hingene"
"Oona Vermeulen"	"Amirweg 91
5529
Sint-Martens-Leerne"
"Nicolas Verbeke"	"Mathishof 93
2545
Vodelée"
"Marc Tanghe"	"Krissingel 515
8145 Onnezies"
"Niels Rogiers"	"Lindelei 273
1952 Rotem"
"Elke Verbeeck"	"Jannehof 384
6753 Hives"
"Annie Mertens"	"Armandbaan 71
9953 Oevel"
"Janne Cuypers"	"Nancysteeg 343
8856 Mellier"
"Luc De Winter"	"Godelievapad 17
7160 Warcoing"
"Erik Coenen"	"Patricksingel 206
8630 Ardooie"
"Marleen Janssens"	"Mauricestraat 9
9840 Chevetogne"
"Oscar De Wachter"	"Ronyhof 614
5439
Membruggen"
"Nadine Cornelis"	"Nilsdreef 3
5086 Buzet"
"Yves De Maeyer De Bie"	"Yvettering 8
6054 Villers-la-Tour"
"Jonas De Smedt"	"Thierrysingel 593
3954
Tongre-Notre-Dame"
"Aaron Pauwels"	"Irishof 373
7458
Heuvelland"
"Frans Lambert"	"Maartenstraat 55
6603 Ottignies-Louvain-la-Neuve"
"Martine Derycke De Coster"	"Rudyhof 3
3529
Chastre-Villeroux-Blanmont"
"Godelieve Lammens"	"Bartlei 30
1012 Komen-Waasten"
"Melissa Vermeire"	"Ellabaan 7
4306 Huizingen"
"Cédric De Bock"	"Anthonyweg 67
8717 Batsheers"
"Oscar Vranken"	"Johannapad 2
1158
Galmaarden"
"Nancy Martens"	"Emmapad 051
5453 Thorembais-les-Béguines"
"Filip Stroobants"	"Ginetteweg 77
2172 Ooike"
"Ivan Dewaele"	"Ludosingel 541
5955 Helkijn"
"Sven Buelens"	"Baspad 376
2590
Daussois"
"Koen Luyten"	"Lottedreef 319
5822 Zelzate"
"Ludo Van den Brande"	"Lindaring 954
1111 Komen-Waasten"
"Karen David"	"Johnnybaan 09
1227 Opont"
"Agnes Neven"	"Annysingel 380
2645 Hekelgem"
"Dirk Hermans"	"Janring 86
4028
Feluy"
"Owen Carlier"	"Iliasdreef 3
9788
Dorinne"
"Lina Huysmans"	"Annesteeg 7
5007 Howardries"
"Gerrit Hens"	"Kathleenstraat 62
7160
Longchamps"
"Nele Roelandt"	"Marcellaweg 41
5944 Wannegem-Lede"
"Françoise Rottiers"	"Cécilelaan 917
9404
Warnant-Dreye"
"Anke Vanhove"	"Arlettestraat 22
9363
Goetsenhoven"
"Nico Yilmaz"	"Christinesingel 227
7662
Vilvoorde"
"Liesbet Dekeyser"	"Lindaboulevard 1
9085
Wannebecq"
"Luc Willems"	"Marchof 57
6512
Brunehaut"
"Dominique Michiels"	"Stefandreef 1
9650
Oedelem"
"Pascal Daniels"	"Joachimdreef 356
3169 Dave"
"Hendrik Peeters"	"Waltersingel 02
5427 Chapon-Seraing"
"Lodewijk Vervoort"	"Marcweg 093
9412
Büllingen"
"Mireille De Neve"	"Maryamstraat 8
3263 Annevoie-Rouillon"
"Niels Geens"	"Milanweg 6
6471
Antheit"
"Marie-Louise Dupont"	"Leostraat 16
7360 Othée"
"Katrien Janssens"	"Aliceweg 7
3582 Thines"
"Guido Goossens Boon"	"Johanhof 5
3664 Furnaux"
"Geert Peeters Nys"	"Gabrieldreef 752
9074 Walhorn"
"Bruno Van den Bossche"	"Evelynbaan 5
7142
Brye"
"Pascal De Backer"	"Andypad 9
6316 Bierghes"
"Hans Van Dyck Driesen"	"Mehdiring 6
3877 Asse"
"Marc Peeters"	"Georgesdreef 159
6631 Ramegnies-Chin"
"Anna Verhelst"	"Alexboulevard 5
5573
Aisemont"
"Annelies Claeys Torfs"	"Walterboulevard 42
5891
Daussois"
"Johan Schoofs"	"Mohammaddreef 99
5405
Spermalie"
"Maurits Verboven"	"Rialaan 4
5913 Nadrin"
"Georges Heymans"	"Moniquering 9
3821 Marilles"
"Pieter Borremans"	"Didierlaan 052
3805
Zele"
"Emma Melis"	"Moniquebaan 2
9257
Oedelem"
"Pascal De Groote"	"Josephboulevard 49
2439 Astene"
"Chloë Verwimp"	"Stijnweg 377
5368
Vivegnis"
"André Vervaet"	"Thomasstraat 647
3963 Bouvignies"
"Ghislain Tanghe"	"Driesdreef 97
1971
Ronquières"
"Sandy Heyvaert Moens"	"Christinelei 42
1870 Gemmenich"
"Françoise Stas"	"Marleenlei 332
5304
Groot-Gelmen"
"Thomas Vandenbroucke"	"Christophesteeg 2
4859 Chapelle-à-Oie"
"Amber Cools"	"Fabiennehof 001
7723
Beveren-Leie"
"Nick Heyvaert"	"Kristabaan 9
7085
Kolmont-Borgloon"
"Tamara Lambrecht"	"Isabelring 9
1145
Beveren-Waas"
"Pascal De Muynck"	"Anaslaan 9
5435
Beuzet"
"Lowie Vandaele"	"Hassanstraat 7
6449
Boechout"
"Inge Claesen"	"Katostraat 8
9736
Awenne"
"Diego De Bruycker Christiaens"	"Geertstraat 058
4805
Fontenoy"
"Gert Heymans"	"Moniquestraat 03
8495 Mont-Sainte-Aldegonde"
"Nick Thijs"	"Georgeslei 2
7568 Opvelp"
"Jasper Leys"	"Janring 599
2934
Tilleur"
"Jan Sterckx Vranckx"	"Hendriklei 28
5272
Wijchmaal"
"Arne Celis"	"Lindastraat 07
7128 Kooigem"
"Jean De Mey"	"Stefaanpad 189
4712 Oplinter"
"Pascal Maris"	"Eveliensteeg 34
8986 Duisburg"
"Ronny Mertens"	"Noorstraat 4
4428 Wattripont"
"Mustapha Michielsen"	"Annadreef 9
7452 Evergem"
"Jean Lenaerts"	"Carinedreef 555
7440 Duisburg"
"Francine Van Daele"	"Jonathanbaan 171
5737 Bevel"
"Veerle Bouckaert"	"Johannasingel 0
5657
Broekom"
"Luc Vandevelde"	"Luciennehof 5
4059 Ortho"
"Pascale Michiels"	"Mohammedstraat 013
8816
Jamiolle"
"Sander Nuyts Leysen"	"Lottestraat 731
9131
Welle"
"Kris Verwimp"	"Emmasteeg 6
6463
Rahier"
"Pascal Van Hecke"	"Adamweg 8
1339 Paulatem"
"Robbe Demeyere"	"Mathijslaan 70
8094
Vosselare"
"Anton Willems"	"Monikaweg 1
3473 Jamioulx"
"Martine De Paepe"	"Rikweg 7
4713
Beringen"
"Laurens François"	"Paulweg 08
5661 Deinze"
"Noor Peeters"	"Lievestraat 411
6505 Crisnée"
"Anna Van Belle"	"Stefanstraat 682
4778
Neeroeteren"
"Axelle De Block"	"Olivierpad 649
9892
Ramegnies"
"Willem Claus"	"Elinestraat 154
8800 Montroeul-au-Bois"
"Roger Wouters"	"Sofiesteeg 41
4309
Bertogne"
"Patricia Claes"	"Charlottelei 86
2010
Rijkhoven"
"Axel Bervoets"	"Davidsingel 32
1494 Zeebrugge"
"Marleen Peeters"	"Alainstraat 512
4229 Sint-Agatha-Berchem"
"Louis De Moor"	"Kevindreef 2
5801
Russeignies"
"Marie-Jeanne Verhaegen"	"Hermandreef 30
8703
Gestel"
"Lucas Janssens"	"Stijnsteeg 663
6611 Bray"
"Louise Poppe"	"Romainbaan 73
3600
Marche-lez-Ecaussinnes"
"Louisa Van Daele"	"Gerardring 053
8004
Rulles"
"Els De Baere"	"Magdalenalaan 79
6098
Honnelles"
"Margot Verstraeten"	"Wimring 10
7390 Rosoux-Crenwick"
"Patricia Dewilde"	"Petralei 1
4165 Lamontzée"
"Marleen De Vos"	"Gretapad 58
6110 Bourlers"
"Edith Willems"	"Sienhof 40
6614 Hollebeke"
"Georges Verhaeghe"	"Margothof 5
7552 Polleur"
"Marie Hendrickx"	"Petrasteeg 93
7503 Chimay"
"Glenn Verheyden"	"Johanhof 17
3569
Heppignies"
"Aurélie Van Roy Aerts"	"Kristinebaan 8
6953 Duisburg"
"Cathy Adams"	"Chantalboulevard 1
5780
Oorbeek"
"Lotte Vermeulen"	"Patricklei 62
3144
Soumagne"
"Myriam Van der Auwera"	"Annhof 76
4643
Neuville-en-Condroz"
"Patricia Troch"	"Mariahof 391
3736
Vellereille-les-Brayeux"
"Omar D'Hondt"	"Peterlaan 355
9788 Poupehan"
"Tessa Vercauteren"	"Laurensbaan 56
6312
Cortil-Wodon"
"Ingrid Daems"	"Agnessingel 0
5162 Orchimont"
"Gerda Jacobs"	"Amirabaan 68
6484
Grimminge"
"Sabine Matthys"	"Yvespad 58
2610 Ingelmunster"
"Wout De Keyser"	"Alihof 8
5208
Cornesse"
"Ronny Vermeiren"	"Kristofsteeg 4
1399 Crombach"
"Hugo Rutten"	"Lydialaan 9
4243
Baillamont"
"Nils Vergauwen"	"Juliettehof 6
6054
Ambresin"
"Patricia Verbist"	"Emiliesteeg 4
4104
Villance"
"Christophe Rogiers Dockx"	"Delphineweg 109
7987
Halen"
"Ruben Bosmans"	"Juliadreef 358
3918
Archennes"
"Louis Hellemans"	"Josephhof 879
8988 Barchon"
"Liliane Maes"	"Mohamedboulevard 1
2399
Vaux-sous-Chèvremont"
"Stella De Witte Janssens"	"Larspad 020
1161
Membach"
"Natalie De Smet"	"Stephanieweg 99
6791
Kaster"
"Raymond Verhulst"	"Pieterring 47
4385 Opprebais"
"Alice Claes"	"Sienbaan 988
3303
Audregnies"
"Raphaël Desmedt Hendrickx"	"Luciennering 4
3137
Oizy"
"Patricia Verfaillie"	"Brentring 4
7615
Herdersem"
"Steven Lauwers"	"Nadialei 165
4592
Poesele"
"Zita Reynders"	"Ronaldpad 8
6185
Quenast"
"Veerle Janssens"	"Daisylei 5
4807
Fexhe-Slins"
"Kato Smets Michiels"	"Stefaniehof 681
8896
Loyers"
"Fatma Gielen"	"Suzannasingel 22
5945 Ivoz-Ramet"
"Luc Moors"	"Debbieboulevard 1
5684 Vladslo"
"Katty Vandenberghe"	"Stéphanielei 7
4336 Hemelveerdegem"
