"Adrian Ahmed","Mikkelsengjerdet 6, 6404 Tobiashamn" 
"Silje Strand","Sivertsenkroken 9, 5762 Andreassen"
"Tone Moe-Mikkelsen","Karlsenringen 1B, 7533 Larsen"
"Cecilie Danielsen","Mathisenholtet 86, 5069 Haugland"
"Arne-Asbjørn Larsen","Jakobsenkroken 1, 6289 Johannessen"
"Olav-Henrik Haugland","Bergjordet 7, 9391 Svendsen"
"Karoline Paulsen","Gulbrandsenkroken 7G, 3500 Engen"
"Joakim Dahl","Sivertsenskrenten 61C, 1498 Halvorsen"
"Olav Nguyen","Bakkemarka 86C, 6484 Sivvik"
"Karoline Mathisen","Myklebustalléen 80, 8871 Pettersen"
"Pål Antonsen","Pedersenstykket 445, 9231 Moe"
"Johannes Eriksen","Antonsenbråten 6, 4519 Hildegrunn"
"Tone Sivertsen","Næssmyra 2, 6352 Hanssen"
"Dr. Gunnar Isaksen","Moestubben 16, 3064 Henriksen"
"Ann Sørensen","Eliassentjernet 29B, 0596 Bøe"
"Prof. Arild Johnsen","Kristoffersentjernet 25, 2491 Brekke"
"Else Iversen","Knudsenstien 26B, 7541 Pettersund"
"Morten Andersen","Myklebustgjerdet 4, 0353 Iversen"
"Andreas Kristoffersen","Knudsenvollen 8C, 2571 Solberg"
"Einar Eliassen-Ruud","Hansenhagen 44, 8298 Lailafjord"
"Mathias Eriksen","Rasmussengjerdet 8G, 0454 Haugen"
"Daniel Christensen","Thomassenspranget 8F, 2253 Bakke"
"Tonje Haugen","Liengrenda 2, 7004 Andreassen"
"Marius Ruud","Moegata 2, 1886 Bakke"
"Hilde Haugen","Strandbakken 27, 3616 Karlsen"
"Leif Engen","Nielsenhaugen 02, 4084 Olaø"
"Øyvind Strand","Mikkelsenhaugen 093, 2972 Brekke"
"Nina Sivertsen-Haugland","Myklebustsvingen 52, 4462 Brittgrunn"
"Mona-Anne Solheim","Aunestranda 7, 7714 Knutsen"
"Solveig Johannessen","Nguyenholtet 523, 6404 Åsevær"
"Tommy Hauge","Knutsenalléen 3D, 0941 Evanes"
"Terje Holm","Holmroa 58, 0893 Aas"
"Tonje Holm","Karlsensvingen 1, 3436 Hansberg"
"Gerd-Nina Strand","Gulbrandsenstubben 04H, 0358 Paulsen"
"Andrea Danielsen","Jensenåsen 77, 5589 Solveigborg"
"Anders Holm","Thomassenstykket 7, 9788 Ellingsen"
"Petter Knutsen-Bøe","Haugstubben 92, 5457 Gunnarvåg"
"Turid-Elin Haugland","Lundlyngen 1, 5377 Sveingrunn"
"Berit Aasen","Knutsenhavna 5, 1712 Næss"
"Prof. Kristoffer Brekke","Lundeberget 8F, 5119 Jensfoss"
"Roger Christensen","Hauglandåsen 52D, 3056 Moen"
"Kjetil Nilsen-Jensen","Nielsenrøa 2A, 1055 Turidfoss"
"Tonje Jakobsen","Nielsengrenda 305, 4070 Malinby"
"Ellen Edvardsen","Fredriksengrenda 8, 6027 Sørensen"
"Svein-Joakim Bakke","Aasmarka 6, 1164 Gunnsand"
"Ingeborg Solheim","Amundsenhagen 9, 9803 Danielnes"
"Turid Jakobsen-Jakobsen","Thomassenstranda 64, 5620 Hauge"
"Ruth Andresen-Ahmed","Aunespranget 07A, 4205 Stigbø"
"Kjell-Magnus Aune","Evensenmarka 6, 0127 Eide"
"Tore Aune","Haugeengen 18A, 8855 Mariedal"
"Line Andersen-Moen","Johannessenrøa 69, 7746 Alexanderbø"
"Alf-Mathias Strand","Hansenstien 1, 2595 Nguyen"
"Tonje Johnsen","Thorsenplassen 6, 3720 Eide"
"Vilde Holm","Danielsenmyra 5, 0565 Rønning"
"Dr. Torbjørn Lien","Kristensenrøa 33, 2893 Arildeid"
"Kjell Antonsen","Rønningvika 28, 2716 Jonfoss"
"Malin-Mari Jensen","Abrahamsentoppen 36, 1196 Ruud"
"Sigrid Nygård-Aas","Edvardsenvika 2D, 0350 Wenchehelle"
"Sverre Eriksen","Andersenroa 2, 2950 Lunde"
"Hans-Alexander Andersen","Rønningflata 1, 4905 Johannessen"
"Kirsten Isaksen","Thomassenlia 7B, 1687 Sørensen"
"Ingeborg Knudsen","Sæthervika 3, 9055 Fredriksen"
"Tonje Madsen","Jacobsenstubben 63, 0883 Mathisen"
"Martine Karlsen","Eliassenhøgda 28, 8856 Thomassen"
"Prof. Ole Nilsen","Knutsenlunden 24, 2020 Andersby"
"Siri Nielsen","Jørgensenstubben 9, 6493 Marenfjord"
"Prof. Sondre Berge","Lundvollen 76, 3864 Eliassen"
"Morten Danielsen","Iversenspranget 14, 1469 Eliassen"
"Maria-Unni Helland","Kristiansenbråten 15, 5202 Egilgrunn"
"Turid Berg","Simonseneggen 496, 6428 Lindahavn"
"Svein Nguyen","Lientunet 86, 9042 Dahl"
"Vegard Arnesen","Bøeplassen 17, 8908 Næss"
"Tonje Nilsen","Halvorsentunet 9G, 0143 Jenssen"
"Steinar-Sebastian Bakken","Henriksentoppen 9A, 9572 Torbjørnmark"
"Martine-Cathrine Rasmussen","Simonsenmoen 617, 7305 Moe"
"Hanne Bakken","Liegropa 2, 5831 Andersen"
"Odd Ahmed","Danielsenbakken 2, 3866 Heidimark"
"Anna-Siv Sæther","Nygårdeggen 5, 4596 Karolinefjell"
"Ann Strøm-Karlsen","Gulbrandsengrenda 5, 0132 Ingridgrunn"
"Jenny Paulsen","Andersenvika 240, 5919 Kristoffersen"
"Helene Knutsen","Antonsenfaret 34, 9327 Britthamn"
"Bjørn Myhre","Kristoffersenlunden 63, 6315 Annestrøm"
"Tonje Vik-Jakobsen","Lundhagen 351, 8474 Sindrehamn"
"Dr. Øystein Hanssen","Lienalléen 4, 9982 Jørgensen"
"Malin Abrahamsen","Antonsenvika 1D, 9323 Mariahelle"
"Ola Ruud","Tangenspranget 7, 7963 Arnesen"
"Per Sivertsen","Hansseneggen 58C, 0658 Bakke"
"Dr. Nils Arnesen","Rasmussenplassen 51, 8722 Pedersen"
"Ola Olsen","Nygårdgropa 9D, 2559 Pålfjell"
"Nora Nilsen-Edvardsen","Danielsenbråten 7, 5453 Aune"
"Stian Isaksen","Haugtunet 3, 6237 Sveinfoss"
"Alf-Harald Sivertsen","Knutsenmyra 5, 3720 Karisjøen"
"Tonje-Helene Sandvik","Danielsenlyngen 8, 0978 Bjørnsand"
"Karl-Egil Ahmed","Gundersenhaugen 22, 9811 Gulbrandsen"
"Hanne Nilsen","Berghøgda 6A, 7487 Gerdberg"
"Mona Madsen","Birkelandskrenten 57, 8121 Ingersjøen"
"Tonje Strøm","Holmsvingen 36, 9568 Helland"
"Britt Dahl-Dahl","Næssengen 3, 5599 Norahamn"
"Einar Ruud","Engenhaugen 3C, 7922 Johnsen"
"Maren Ahmed","Paulsentoppen 2E, 1803 Aune"
"Steinar-Finn Rønning","Kristensenalléen 7, 8369 Jenssen"
"Berit Bakke","Karlsenhaugen 550, 2027 Magneås"
"Tonje-Maren Larsen","Jenssenroa 1B, 6201 Tangen"
"Sissel-Andrea Solberg","Martinsenbakken 6B, 6448 Mathiassjøen"
"Berit Bøe","Thorsenengen 9B, 0119 Danielsen"
"Sondre Birkeland","Andresengata 452, 3917 Karinstrand"
"Erling Bøe","Brekkestien 8, 7701 Ninahavn"
"Jan Johannessen","Thomassenfaret 94, 7137 Haug"
"Harald Arnesen-Tveit","Johannessenlyngen 2, 5440 Kristensen"
"Else Jacobsen","Iversenmarka 2, 1364 Kristiansen"
"Rolf Nielsen-Jørgensen","Andersenberget 38B, 7655 Bjørgfoss"
"Cathrine Larsen","Andresenrøa 76, 5764 Randifjell"
"Tor Bakke","Rønningstubben 3, 7941 Simonsen"
"Stig Fredriksen","Nygårdtoppen 2, 2931 Holm"
"Aud-Grete Berntsen","Fredriksenkollen 215, 7713 Thomassjøen"
"Dr. Stein Kristiansen","Bergløkka 4, 8405 Paulsen"
"Kim-Stian Haug","Moeflata 6, 8072 Heidiby"
"Trond Strand","Henriksenengen 7, 1534 Danielsjøen"
"Camilla-Karin Sæther","Isaksenplassen 93, 8889 Jorunnfoss"
"Sander Thomassen","Ruudvollen 5, 2287 Heidifjell"
"Anne Abrahamsen","Sørenseneggen 4, 2716 Alexanderhamn"
"Kåre Larsen","Hansseneggen 262, 9806 Kristensen"
"Tor Dahl","Nielsenåsen 75B, 3498 Knuthavn"
"Anders Abrahamsen","Karlsenringen 319, 2873 Christensen"
"Harald Nielsen","Holmfaret 17F, 4006 Fredriksen"
"Cathrine Aune-Jakobsen","Sandvikbakken 3, 7524 Ahmed"
"Roy Jørgensen","Bakkengropa 859, 4491 Torilldal"
"Hanna Solberg","Aasmarka 8, 8124 Hauge"
"Fredrik Arnesen","Thomassentjernet 92C, 1300 Ritahelle"
"Prof. Nils Solheim","Nguyengjerdet 37F, 2604 Eirikberg"
"Julie Hauge","Haughavna 37, 7354 Johansen"
"Emilie Nielsen","Mikkelsenlunden 38, 0868 Cathrineeid"
"Tor Danielsen","Andersenbråten 7, 1149 Berge"
"Olav Lien","Eidegata 74, 5415 Pettersen"
"Ruth Knutsen","Johansengrenda 96E, 9829 Antonsen"
"Eva Lund","Fredriksenstien 22A, 7061 Sofiefjord"
"Mona Haug-Jørgensen","Solheimstykket 56, 5276 Ragnhildfjord"
"Tommy Jensen-Nygård","Jensenåsen 3C, 6651 Sverrefoss"
"Tove Holm","Lienhagen 4, 8691 Sivertsen"
"Sara Holm","Halvorsenbakken 6, 1704 Øyvindmark"
"Astrid Madsen","Danielsenlunden 335, 9081 Myhre"
"Andrea Aas","Haugejordet 1, 5518 Lien"
"Tor Ellingsen","Arnesenflata 84, 9140 Mettefjord"
"Marte Gulbrandsen","Lieskogen 881, 1842 Marianneås"
"Trond Jacobsen","Olsenalléen 565, 8151 Asbjørnstrand"
"Dr. Arne Ahmed","Kristiansenlia 28B, 6517 Sveinbø"
"Ragnhild Jakobsen-Olsen","Iversenberget 84, 8578 Thorsen"
"Malin Olsen","Moenlia 9, 3268 Sivertsen"
"Sebastian Knutsen","Solbergholtet 7, 7553 Hanshamn"
"Stein-Alexander Thomassen","Gulbrandsenrøa 52, 7362 Hildesjøen"
"Prof. Andreas Tveit","Amundsentunet 4B, 7657 Finnvåg"
"Maren Kristensen","Arneseneggen 02, 1155 Monicahamn"
"Tor Simonsen","Aasfaret 4, 5552 Ivarfjell"
"Vidar Johansen","Johannessenholtet 3C, 3564 Petterby"
"Line-Sara Tangen","Fredriksenberget 44, 0798 Espenøy"
"Øyvind Andresen","Halvorsenlyngen 69, 8315 Lailavåg"
"Adrian Haugen","Solheimstranda 97, 1909 Solveigstrand"
"Karoline-Anita Engen","Edvardsenhøgda 8, 4338 Jannedal"
"Tove Isaksen","Solbergmoen 6E, 5450 Franksand"
"Johan Knudsen","Karlsenhavna 2, 7985 Åsevær"
"Andreas-Sindre Moen","Næssgata 88, 6706 Lien"
"Maren Abrahamsen-Fredriksen","Edvardsenholtet 94, 1992 Sandvik"
"Tor Sørensen-Eide","Arnesenjordet 62, 8655 Nielsen"
"Jorunn-Vilde Aas","Mikkelsengjerdet 957, 0871 Danielsen"
"Elise Engen","Nygårdhøgda 125, 2990 Abrahamsen"
"Nils-Sverre Rasmussen","Eidemarka 46, 1109 Karlvåg"
"Odd Rasmussen","Pedersenringen 8, 8369 Alexandervær"
"Odd-Alexander Halvorsen","Bergebakken 3, 5405 Kristinfoss"
"Synnøve Larsen","Sætherskogen 2B, 6052 Eide"
"Fredrik Knudsen","Sandvikplassen 06C, 1825 Toneodden"
"Dr. Fredrik Knutsen","Antonsengjerdet 110, 7037 Edvardsen"
"Simen Eriksen","Birkelandplassen 1, 6033 Lisestrøm"
"Tor Thomassen","Haugeengen 369, 9628 Myhre"
"Åse Nygård","Lienberget 35A, 8104 Strøm"
"Morten Sandvik","Karlsenalléen 5, 2659 Rønning"
"Linn Ruud","Aunemarka 5, 5512 Rasmussen"
"Ola Andersen","Haugplassen 97, 6476 Hannehamn"
"Harald-Adrian Iversen","Svendsentoppen 07, 4721 Vildesjøen"
"Jon Gulbrandsen","Ødegårdflata 050, 7515 Sigurdsund"
"Ivar-Kenneth Myhre","Olsenhøgda 46, 0898 Eliassen"
"Rune-Stig Haugland","Myhrejordet 93C, 0402 Haugland"
"Marianne-Siv Holm","Henriksenstranda 57, 2352 Christensen"
"Torbjørn Andreassen","Martinsenflata 424, 3431 Bakke"
"Kjell Simonsen","Knutsenmoen 54, 2245 Berg"
"Torill Lie","Hanssenhaugen 1, 3786 Jorunnstrøm"
"Solveig Eide","Gundersenmyra 337, 5916 Martinstrand"
"Gunn Halvorsen","Ødegårdlyngen 1, 0382 Ragnhildodden"
"Asbjørn-Sebastian Rasmussen","Sætherhagen 69, 1507 Henriksen"
"Siri-Mette Lien","Jenssenløkka 66H, 1731 Ødegård"
"Maria Moe","Strandåsen 7, 7739 Hanseid"
"Markus Antonsen","Kristiansenspranget 27A, 9776 Ruthodden"
"Tove Thorsen","Isaksenalléen 49A, 5294 Sivvær"
"Torbjørn Bakke","Nguyenstubben 31A, 4224 Aas"
"Kåre Haugen","Birkelandlyngen 546, 1866 Jensfjord"
"Anders Berntsen","Abrahamsenhavna 50, 3299 Næss"
"Arne Jensen-Evensen","Isaksenskogen 5B, 8393 Arildgrunn"
"Line Gulbrandsen","Aasenlyngen 02, 3663 Adrianvåg"
"Grete Andersen","Amundsenflata 5, 6606 Amundsen"
"Kari Ali","Ruudengen 90, 4623 Nielsen"
"Egil Ellingsen","Rønningplassen 1, 3923 Stighamn"
"Sara Andresen","Amundsenplassen 41B, 9817 Kristiansen"
"Joakim Moen","Amundsenløkka 2C, 0574 Sofieås"
"Torbjørn Gulbrandsen-Jensen","Nielsenstranda 5, 7405 Ødegård"
"Roar Hansen","Kristiansenvika 5B, 1011 Thomasbø"
"Torbjørn Andresen","Moeflata 6, 2756 Holm"
"Adrian Henriksen","Jacobsenvika 6, 1679 Hauge"
"Sondre-Eivind Myklebust","Thorsenvollen 6C, 0595 Kjerstiberg"
"Torbjørn Rasmussen-Sivertsen","Gundersenstien 1C, 7003 Saraodden"
"Hans Hagen","Lundemyra 91, 8204 Jacobsen"
"Gunn-Cathrine Rasmussen","Moebråten 81, 6970 Aasen"
"Robert Rasmussen","Knutsenringen 2C, 7752 Lunde"
"Martine Tangen","Kristensenvika 174, 1507 Åseborg"
"Torbjørn Iversen","Bakkeberget 2, 5195 Jonøy"
"Britt-Jorunn Iversen","Myhreskogen 60, 2953 Sivertsen"
"Magnus Lie","Anderseneggen 05, 6743 Jorunnø"
"Hanne-Berit Sandvik","Aaseggen 4, 6615 Haraldstrand"
"Magnus Aasen","Jakobsentunet 3, 3130 Ruthstad"
"Monica Haugen","Bakkenholtet 34, 3385 Tovevær"
"Tove Tveit","Johannessentunet 8, 4112 Håvarddal"
"Thor-Joakim Christensen","Strandgata 61, 5696 Mariadal"
"Egil Abrahamsen","Berghagen 01, 4644 Martinsen"
"Anne Helland","Jensenbråten 5, 8553 Jørgensen"
"Torbjørn Johansen","Nygårdgata 5, 0318 Heidifjell"
"Arne Aasen","Nielsenhøgda 5, 4908 Arneø"
"Vilde Engen","Hanssenkroken 90, 4062 Dahl"
"Kristian Myhre","Hauglandroa 9, 6410 Sandvik"
"Marius Nielsen-Sivertsen","Aligropa 50E, 9662 Øyvindborg"
"Linn Pettersen","Hansengjerdet 437, 0732 Mathiasås"
"Jan-Roger Tveit","Hanssenlia 75, 0725 Arildhelle"
"Marit Sæther","Simonsengjerdet 8C, 8686 Knutsen"
"Eivind Danielsen","Amundsenringen 45, 4152 Karlsen"
"Roger Bakken","Nguyenholtet 7, 7226 Ahmed"
"Torbjørn Mathisen","Sætherskogen 32A, 6841 Espenberg"
"Hanna Dahl","Sivertsenvika 2, 7972 Madsen"
"Olav Simonsen","Hauglandhavna 6, 5183 Cecilieberg"
"Roar Eliassen","Bakkemarka 718, 7834 Solberg"
"Eva Knutsen","Gulbrandsenringen 584, 4091 Tveit"
"Line Bakke-Christensen","Arnesenbråten 10, 0610 Hegefjell"
"Malin Iversen","Simonsenholtet 7B, 9118 Evensen"
"Kjell Hansen","Aunelia 2, 3165 Anngrunn"
"Tone-Gerd Arnesen","Simonsenmoen 765, 9598 Nygård"
"Randi Birkeland","Lienlia 64D, 5377 Ødegård"
"Torbjørn Mathisen","Thorsenstykket 62, 8222 Sæther"
"Bjørg Mathisen","Jacobsenhavna 6, 7637 Larsen"
"Irene Halvorsen","Tveitengen 42, 9916 Sivertsen"
"Henrik Christensen","Sandviklia 6, 9083 Mathiaseid"
"Gro Moe","Birkelandhøgda 36D, 0095 Moe"
"Kristin-Linda Ruud","Arnesengjerdet 8, 1425 Lund"
"Thea Rasmussen-Thomassen","Halvorsenbakken 4A, 2373 Næss"
"Knut Sørensen","Fredriksenhavna 58, 0784 Isaksen"
"Emma Hagen","Larsenkollen 9, 9651 Grobø"
"Else Haugland","Jensenlyngen 5B, 3167 Rønning"
"Torbjørn Nilsen","Abrahamsenlia 6, 7538 Pettersen"
"Kenneth Ali","Olsenmyra 1, 3901 Sivertsen"
"Kjell Jenssen","Kristiansenberget 2, 5899 Rolffjell"
"Harald Birkeland","Hanssenekra 985, 4085 Larsen"
"Frode Iversen","Aasgropa 9, 9607 Ingerbø"
"Jan Sandvik","Andreassenplassen 36C, 7060 Pedersen"
"Gunn Nielsen","Tangentjernet 2, 3444 Strand"
"Prof. Pål Berg","Martinsenberget 23, 5039 Larsen"
"Ruth Bakken","Moenskrenten 6, 4274 Øyvindbø"
"Stine Simonsen","Nguyenstien 3, 9328 Knudsen"
"Torbjørn Rønning","Arnesentjernet 98, 0355 Norahavn"
"Espen Johansen","Berntsenstubben 9B, 2041 Myklebust"
"Astrid Næss","Fredriksenstubben 062, 5373 Mariegrunn"
"Prof. Kristian Aasen","Bøemoen 5A, 6887 Fredriksen"
"Elin-Kristin Martinsen","Myhrevika 707, 1710 Janås"
"Unni Tveit","Johnsenstykket 2, 8952 Hansen"
"Sara-Silje Moe","Auneløkka 1, 0163 Tveit"
"Eirik Sørensen","Alihavna 2H, 9042 Nilsen"
"Karoline Karlsen","Hansengrenda 4, 8290 Malinodden"
"Frode-Ola Fredriksen","Hellandjordet 7, 6498 Mariannefjell"
"Torbjørn Sivertsen","Bergeeggen 6, 7763 Monicamark"
"Asbjørn Haugen","Kristiansenhaugen 2, 8819 Ritavik"
"Karen Nygård","Vikspranget 1, 3352 Christensen"
"John Jacobsen","Martinsenstykket 93, 7912 Johannesvåg"
"Simen Lund-Lund","Hansenmyra 62F, 5522 Jakobsen"
"Kjersti Mikkelsen","Lieløkka 22, 0509 Toveøy"
"Ole Nguyen","Ellingsenløkka 33, 1054 Øysteinvåg"
"Unni Myklebust","Engenengen 84, 8318 Jørgensen"
"Reidun Aune","Thorsenkroken 713, 6497 Einargrunn"
"Joakim Kristoffersen-Ellingsen","Lieengen 3, 4445 Anitaborg"
"Torbjørn Thomassen","Hansenjordet 1D, 1342 Mikkelsen"
"Elise Berge","Hageneggen 87, 3935 Arildby"
"Erling Haug","Myhrebakken 1, 3703 Bakken"
"Einar-Stein Sæther","Ruudalléen 49, 2024 Linnvik"
"Daniel Aas","Johannessenjordet 351, 7775 Lien"
"Olav Moen","Kristiansenvika 91, 4299 Hansen"
"Helene Moen","Svendsenløkka 12, 5828 Sebastianø"
"Emilie Berge","Nilsengjerdet 397, 1204 Eriksen"
"Geir Bakken-Knudsen","Brekkeløkka 6G, 2478 Henriksen"
"Lise Ahmed","Eliassenskrenten 8, 1315 Andresen"
"Torbjørn Thorsen","Amundsenroa 91, 2791 Sørensen"
"Hans Karlsen","Eideringen 2, 5337 Tovesund"
"Thomas Berg","Amundsenskogen 8E, 7381 Simonsen"
"Kristine-Emilie Solberg","Kristensenjordet 15F, 2292 Strøm"
"Roy Kristiansen","Moenbakken 6, 2016 Simenstrøm"
"Hanna-Rita Hanssen","Edvardsenbråten 113, 6973 Rolffoss"
"Lise Hanssen","Aaseggen 70B, 5033 Tangen"
"Jon-Kristian Nygård","Bakkeløkka 51, 8712 Elisabethbø"
"Cecilie-Martine Strøm","Hansentoppen 50, 7512 Alexandernes"
"Linn-Irene Andersen","Ødegårdløkka 98C, 4774 Dahl"
"Torbjørn-Eivind Haug","Johnsenåsen 09, 8251 Sindrehelle"
"Nina Dahl","Brekketunet 9, 9065 Holm"
"Andreas-Steinar Birkeland","Bergeflata 3, 2064 Larsgrunn"
"Jørgen Abrahamsen","Christensenmyra 23C, 9904 Gunnarsand"
"Martine Evensen","Næssholtet 1, 7902 Isaksen"
"Kjersti Thorsen","Myhreengen 41, 0186 Antonsen"
"Sebastian Jørgensen","Gulbrandseneggen 9A, 2906 Antonsen"
"Stein Simonsen","Knutsenhagen 23, 8253 Rønning"
"Harald Olsen","Thorsenvollen 770, 3313 Thomashamn"
"Mari Abrahamsen","Johnsengrenda 1, 8718 Rønning"
"Torbjørn-Fredrik Sæther","Thorsenmyra 699, 8944 Moe"
"Gunnar Amundsen","Rønninghøgda 7, 5022 Bakke"
"Jonas Iversen","Rønninghøgda 360, 3846 Håvardsund"
"Cathrine Jacobsen","Aasroa 29E, 1953 Jensen"
"Fredrik Vik","Svendsenhavna 92, 2181 Pettersen"
"Prof. Egil Isaksen","Svendsentunet 2C, 7876 Antonsen"
"Ellen Strøm","Nguyentjernet 56, 2723 Haugen"
"Kristin Lund","Tveitflata 361, 5314 Næss"
"Helene-Bente Ellingsen","Gundersenmyra 21, 3491 Pettersen"
"Kjell Mikkelsen","Nilsenholtet 44, 3744 Markusberg"
"Tore Berntsen","Henriksenrøa 5, 2568 Ingeborgstad"
"Tobias-Jens Ruud","Kristiansenlyngen 688, 6867 Ellingsen"
"Jon Dahl","Madsengropa 96, 9213 Nielsen"
"Roger-Joakim Moe","Knutsenhavna 199, 0141 Camilladal"
"Gunnar Gulbrandsen","Eriksenengen 2C, 4795 Sivertsen"
"Cathrine-Astrid Ali","Thorsenberget 3, 5730 Simensund"
"Thea Bakke-Eriksen","Tangenbråten 655, 2117 Greteby"
"Leif Lie-Sørensen","Ruudvollen 22B, 1957 Myklebust"
"Randi Bøe-Henriksen","Rønninggata 000, 3075 Andresen"
"Sissel Thorsen","Næssbakken 1G, 3392 Beritstrand"
"Tore Engen","Lienskogen 141, 4409 Bakke"
"Solveig Amundsen","Sætherholtet 9C, 0979 Geirmark"
"Rolf Berntsen","Vikkroken 8, 9596 Brekke"
"Steinar Iversen","Thomassenalléen 78B, 0064 Kristensen"
"Helene Tangen","Nielsenlunden 3A, 8465 Emilievær"
"Morten-Jonas Amundsen","Kristoffersenlyngen 38, 7801 Simonsen"
"Sondre Andreassen","Henriksenmyra 51B, 8246 Mathisen"
"Helene Næss-Moe","Alisvingen 2, 2195 Thorsen"
"Ingrid-Andrea Lie","Bakkejordet 35C, 5292 Fredrikstrand"
"Roar-Egil Jensen","Aasenberget 8, 1243 Birkeland"
"Tore Myhre","Hauglandvika 54C, 3298 Sondremark"
"Linda Ahmed","Johansenflata 3G, 5284 Lien"
"Mette Lie","Knutsenbråten 22, 9588 Leifborg"
"Adrian Nielsen","Sæthersvingen 03, 2990 Mortenhavn"
"Jon Nilsen","Aaseggen 77, 5181 Roynes"
"Øyvind Nilsen","Tangenbakken 2, 8613 Mariusbø"
"Martin Bakke","Edvardsengata 5C, 4613 Nguyen"
"Elin-Nora Haugland","Madsenstubben 6, 7978 Thorsen"
"Daniel Berg","Larsenstykket 030, 5794 Moen"
"Roy Olsen","Lundetoppen 10G, 8191 Evensen"
"Tore Tangen-Solberg","Bakkenkollen 72, 0843 Tomås"
"Kristian Birkeland-Birkeland","Abrahamsenrøa 7, 9320 Mettenes"
"Sigrid Tveit","Myhregrenda 03A, 1291 Ingerfjord"
"Stein-Joakim Sørensen","Berntsenberget 4C, 9231 Ali"
"Finn Olsen","Aasenstykket 5, 1496 Andresen"
"Mona Hauge","Henriksenstykket 606, 0305 Strand"
"Anna Jakobsen","Mikkelsenlunden 46A, 4028 Lund"
"Nora Larsen","Solbergholtet 084, 8575 Ellenstrøm"
"Tor Aas","Nielsenløkka 3, 5026 Jakobsen"
"Ruth Eide","Brekkegjerdet 23, 5772 Lie"
"Tore Thorsen","Simonsenhavna 4, 7130 Nguyen"
"May Iversen","Hauglandbakken 5, 4051 Madsen"
"Sebastian Sandvik","Nilsenmarka 89A, 9925 Lie"
"Kjersti Ahmed","Dahlrøa 4B, 0107 Sebastianfoss"
"Dr. Sebastian Bakke","Hauglandroa 8, 3925 Jonasfjord"
"Lene Ruud","Haugeholtet 055, 5923 Johansen"
"Astrid Simonsen","Holmengen 64, 0729 Martinøy"
"Maria Thorsen","Kristoffersengjerdet 1D, 8638 Marenstrøm"
"Alexander Bøe","Ellingsengata 4D, 5281 Haug"
"Hanna-Turid Olsen","Hansenengen 7, 9098 Idaborg"
"Tore-Torbjørn Bakken","Kristensentunet 3, 1508 Frodevåg"
"Elise Eriksen-Nygård","Næsslyngen 07, 2035 Berg"
"Kristian Aune","Jenseneggen 4, 8324 Camillafoss"
"Rune Hauge","Christensenskogen 5, 1192 Larsen"
"Wenche Strand","Arnesenskogen 9, 0148 Henriksen"
"Svein Hanssen","Gulbrandsenmyra 16, 2693 Vegardnes"
"Karl-Tore Thomassen","Solheimflata 72, 3805 Joakimstrøm"
"Kenneth Lunde","Myklebustvollen 4B, 3097 Kennethberg"
"Randi Nguyen","Dahlåsen 587, 0679 Jakobsen"
"Monica Amundsen-Nielsen","Hellandbakken 52C, 5532 Astridborg"
"Torill Aas","Andreassenlyngen 798, 2648 Christensen"
"Joakim Iversen","Aunekroken 2, 7422 Olsen"
"Stine-Elin Fredriksen","Madsenengen 8, 9991 Kjetilhavn"
"Bente Rasmussen","Edvardsenmarka 2, 7739 Isaksen"
"Christian Eriksen","Thomassentoppen 047, 7079 Brekke"
"Martine Næss","Hauglandåsen 559, 5068 Kristiansen"
"Tor-Steinar Andersen","Solbergalléen 67, 3775 Thorgrunn"
"Vilde Hagen","Johannessenhavna 5E, 4372 Joakimhavn"
"Morten Knutsen","Ahmedspranget 5, 7944 Haugland"
"Wenche Næss","Svendsenkroken 77, 5915 Astridfjord"
"Torill Edvardsen","Arnesenhaugen 90, 2113 Kirstengrunn"
"Sara Haug","Nilsenstranda 50, 1239 Solveigberg"
"Andreas Bakken","Danielsenstubben 1A, 1269 Roarvær"
"Jan Madsen","Bakkenmoen 76E, 0351 Tangen"
"Mette Solheim","Nguyenkroken 6, 4117 Erikstad"
"Alf-Asbjørn Rønning","Lundebakken 75, 3649 Kristoffersund"
"Marit Isaksen","Johansentjernet 6, 1657 Tangen"
"Bente Strøm","Bergeplassen 9, 9326 Jenshavn"
"Reidun Engen","Pettersenplassen 25, 2377 Johannessen"
"Joakim Ødegård","Myhreengen 786, 7845 Erlingstad"
"Torill Hagen","Hellandsvingen 5, 1661 Engen"
"Tore Sørensen","Eliassenhaugen 86, 9756 Karlsen"
"Gunnar Haugen-Nielsen","Gulbrandsenalléen 988, 7994 Stineberg"
"Astrid Nilsen","Edvardsenplassen 39C, 6334 Ritaås"
"Jonas Haugland-Solheim","Strandgrenda 6B, 8259 Berntsen"
"Emil Næss","Jenssenskrenten 2A, 9344 Johansen"
"Svein-Helge Larsen","Madsentjernet 732, 9014 Sisselstrand"
"Prof. Kristoffer Solberg","Dahlhaugen 18A, 0397 Ingridbø"
"Nils Ahmed","Andresenrøa 3B, 1687 Idahavn"
"Helge Berntsen-Gundersen","Iversentoppen 2, 2585 Johannesstrand"
"Torill Hansen","Evensengjerdet 88, 5135 Pedersen"
"Kjell Sandvik","Simonsentoppen 02, 1442 Mariusby"
"Prof. Magne Vik","Sivertsenlunden 82A, 3508 Toremark"
"Wenche Haug","Pedersengata 69, 0566 Johanneshamn"
"Mathias Halvorsen","Knudsenstubben 316, 1208 Unnisand"
