"Abbas Ahmed","Grangatan 060
93689 Mölndal" 
"Hans Åkerlund Pettersson","Järnvägsgatan 36
68268 Luleå"
"Siv Karlsson","Åkergatan 74
16814 Örnsköldsvik"
"Marie Jonsson","Stationsgränd 16
28661 Uddevalla"
"Ingvar Landström","Strandgatan 429
53800 Örnsköldsvik"
"Monika Olsson","Backgatan 543
93608 Lidingö"
"Margareta Eriksson","Skogsstigen 71
87544 Skellefteå"
"Charlie Engberg","Ektorget 9
41205 Malmö"
"Ing-Marie Persson","Kyrkovägen 7
54500 Motala"
"Birgitta Widén","Ekvägen 457
80834 Göteborg"
"Frank Johansson","Industristigen 005
58613 Umeå"
"Erik Franzén","Järnvägstorget 0
34277 Falun"
"Sivert Larsson","Ängsgatan 6
19024 Västerås"
"Mikael Franzén","Ektorget 30
29636 Halmstad"
"Carl Ståhl","Villagränd 552
37865 Piteå"
"Karin Gustafsson-Eriksson","Storgatan 0
47348 Jönköping"
"Adam Hansson","Aspgatan 0
67300 Göteborg"
"Nils Jarl","Idrottstorget 3
31814 Mölndal"
"Lina Andersson","Ringtorget 9
86931 Luleå"
"Johnny Larsson","Furuvägen 89
39706 Mölndal"
"Lars Davidsson","Skolgränd 303
65818 Sandviken"
"Ture Andersson","Backgatan 064
95891 Västerås"
"Sixten Löf","Gentorget 7
42684 Malmö"
"Erik Karlsson","Furugatan 36
41547 Trelleborg"
"Elisabet Jörgensen","Villagatan 2
24555 Karlstad"
"Isak Broberg Karlsson","Björkgränd 84
24499 Nyköping"
"Pär Karlsson","Backgatan 240
56606 Karlskoga"
"Valdemar Andersson","Fabriksgatan 6
92268 Umeå"
"Roger Nilsson","Idrottstorget 940
91133 Gävle"
"Oscar Thorén","Furutorget 58
72093 Linköping"
"Viktoria Lundberg","Aspvägen 58
67295 Ängelholm"
"Irene Carlsson","Kyrkvägen 3
39156 Örebro"
"Sofi Fredriksson","Parkgränd 69
77602 Växjö"
"Edit Sjölander","Backgränd 45
52957 Kristianstad"
"Ossian Hassan","Skogsgatan 81
64827 Landskrona"
"Leif Olausson","Storstigen 81
85246 Karlskrona"
"Samuel Olsson","Parkvägen 97
80469 Sundsvall"
"Kaj Levin","Skolvägen 46
21678 Borås"
"Helena Abrahamsson","Industritorget 802
21712 Norrköping"
"Arthur Robertsson","Parkgatan 1
32867 Skövde"
"Eva Karlsson","Ekvägen 71
79309 Uddevalla"
"Emanuel Olofsson-Nilsson","Idrottstorget 4
80954 Kalmar"
"Sofi Larsson","Aspgränd 5
65791 Uppsala"
"Bella Hassan","Stationsgatan 5
88126 Lund"
"Roland Larsson","Björkstigen 6
72183 Motala"
"George Ekholm","Bäckgränd 21
86299 Helsingborg"
"Anna Nordin","Fabriksgatan 1
26825 Karlskoga"
"Åke Nilsson Persson","Skolstigen 8
13509 Falun"
"Camilla Johansson","Ringgatan 88
14104 Piteå"
"Viveka Hansen","Aspgränd 7
34414 Karlskrona"
"Anders Edlund","Nygränd 44
28195 Karlskoga"
"Cecilia Johansson","Trädgårdsgatan 1
77010 Stockholm"
"Sofia Alm","Storstigen 6
28127 Ängelholm"
"Erland Olsson Larsson","Björkgatan 222
89938 Lidingö"
"Per Nilsson","Storgatan 88
68337 Falun"
"Gertrud Rosenberg","Industrivägen 004
27487 Lidingö"
"Ewa Sköld","Idrottstorget 687
56102 Karlskrona"
"Pontus Gustafsson","Ringgatan 630
93023 Luleå"
"Camilla Bäckström","Ängsgatan 87
68228 Stockholm"
"Emil Bergström","Bäckvägen 069
58529 Ängelholm"
"Georg Gustafsson","Åkervägen 6
84840 Eskilstuna"
"Michelle Nilsson Nilsson","Ekvägen 81
82904 Luleå"
"Sofia Bergman","Åkergatan 987
86912 Växjö"
"Anette Gustafsson","Ektorget 335
42289 Uppsala"
"Marko Andersson","Ringgatan 829
48276 Varberg"
"Kristofer Larsson Dahlin","Stationsvägen 563
87697 Skövde"
"Bo Alm","Industrivägen 9
86276 Malmö"
"Reza Lindvall-Vilhelmsson","Skolstigen 24
79731 Karlstad"
"Carina Petersson","Strandvägen 633
75056 Borås"
"Fanny Forsberg","Industrigränd 40
63705 Skellefteå"
"Karl Larsson","Kyrktorget 140
61984 Lund"
"Adam Olofsson","Industrigatan 030
30438 Lidköping"
"Sofia Bäck","Kyrkogatan 40
63588 Ängelholm"
"Malin Johansson-Sjöberg","Ängstorget 45
82812 Helsingborg"
"Karl Berg","Ekgränd 80
99078 Piteå"
"Eva Lundqvist","Backgatan 5
15582 Borås"
"Stig Blomqvist","Kvarngatan 1
94618 Kristianstad"
"Max Abrahamsson","Furugatan 1
20229 Uppsala"
"Isabelle Wallin","Ekgränd 602
48864 Trelleborg"
"Karin Andersson","Åkerstigen 5
14900 Göteborg"
"Wilhelm Einarsson","Furuvägen 9
35771 Stockholm"
"Astrid Pettersson","Aspstigen 0
24408 Linköping"
"Sofia Carlsson Sjödin","Gentorget 3
25230 Karlskrona"
"Göran Pettersson-Hansson","Kyrkgatan 74
49541 Lund"
"Cecilia Forsberg","Bäckgatan 321
31649 Lidköping"
"Felicia Hussein Fagerström","Skolvägen 968
13425 Karlskoga"
"Eva Ali","Skogsvägen 754
97681 Kristianstad"
"Margareta Eriksson","Strandgatan 5
11780 Eskilstuna"
"Roland Fagerström Johansson","Kvarnstigen 930
79880 Jönköping"
"Berndt Johansson","Bäckvägen 3
52771 Borås"
"Madelene Danielsson","Aspvägen 2
46297 Landskrona"
"Susanne Johansson","Skogsstigen 6
91917 Uppsala"
"Sofia Forsgren","Ringtorget 4
28219 Stockholm"
"Elin Landström","Ängsstigen 7
78267 Trollhättan"
"Ingemar Johansson","Kvarngatan 57
13964 Södertälje"
"Hugo Mårtensson","Granstigen 05
25002 Trollhättan"
"Karin Berglund","Parktorget 905
67695 Lidköping"
"Henning Jonsson","Idrottsgatan 5
12260 Örnsköldsvik"
"Anna Malmström","Industrigatan 0
90495 Trelleborg"
"Ulf Lindh","Strandvägen 923
29607 Sandviken"
"Anders Östberg","Furuvägen 33
14824 Uddevalla"
"Carolina Jonsson","Strandtorget 1
23500 Landskrona"
"Sofia Frisk Karlsson","Bäcktorget 657
40544 Nyköping"
"Linnea Lundin","Ängsvägen 682
70047 Halmstad"
"Malin Landin","Åkergatan 827
26378 Varberg"
"Magdalena Zhang","Nygatan 0
33848 Trollhättan"
"Idun Nilsson","Grantorget 91
30518 Malmö"
"Jerker Persson","Furutorget 058
41028 Uppsala"
"Alfred Eriksson","Skogsgränd 5
86555 Umeå"
"Henrik Jonsson-Stenberg","Skolvägen 9
54640 Jönköping"
"Betty Stark","Kyrkostigen 48
77044 Varberg"
"Ingmar Engvall","Bäckgränd 7
35947 Kalmar"
"Sofia Gustafsson","Skogsstigen 228
73004 Sandviken"
"Sture Persson","Nystigen 670
68079 Falun"
"Johan Åkesson","Skoltorget 58
70014 Göteborg"
"Sven Gunnarsson","Björkgatan 5
97960 Varberg"
"Gustaf Palmqvist","Industrivägen 15
50557 Jönköping"
"Antero Andersson","Industrivägen 72
56537 Piteå"
"Charlotte Kristiansson","Furugatan 4
68342 Ängelholm"
"Ingemar Folkesson Olofsson","Idrottsgatan 5
92442 Kristianstad"
"Gunnel Halvarsson","Furugatan 32
68093 Malmö"
"Jane Johansson","Kyrkgränd 564
52831 Varberg"
"Sofia Johansson","Idrottsstigen 192
10951 Helsingborg"
"Johan Jakobsson","Parkvägen 86
54782 Kristianstad"
"Mikael Alm","Parkgränd 75
62898 Örnsköldsvik"
"Per Löfgren","Storvägen 2
73836 Västerås"
"Elise Svensson","Storgatan 204
57766 Karlstad"
"Maria Danielsson-Bengtsson","Parktorget 92
27530 Ängelholm"
"Marianne Eriksson","Aspgatan 22
91891 Jönköping"
"Carolina Lundqvist","Idrottstorget 9
21157 Borlänge"
"Josef Chen","Furustigen 41
60476 Växjö"
"Ivar Andersson","Bäcktorget 21
26658 Luleå"
"Sofia Jönsson","Fabriksgränd 63
70005 Umeå"
"Linnea Green","Genvägen 72
52953 Skövde"
"Per Hedberg Jonsson","Strandtorget 31
61058 Helsingborg"
"Karin Gustafsson","Åkervägen 58
23039 Stockholm"
"Gerd Larsson","Industrigränd 459
15986 Eskilstuna"
"Olivia Larsson","Skogsgatan 32
74058 Växjö"
"Lena Björklund","Fabriksgatan 91
73932 Sandviken"
"Erik Lindblom","Skolvägen 5
27717 Karlskrona"
"Nadia Lundström","Trädgårdsgränd 3
62818 Kalmar"
"Karin Eriksson","Aspgatan 96
12204 Skellefteå"
"Sofia Karlsson","Ängsvägen 899
10169 Karlskoga"
"Elisabeth Westin","Parkgränd 45
42604 Borlänge"
"Jan Dahlgren","Järnvägsgatan 18
68758 Borlänge"
"Benjamin Ljung","Skolgatan 285
11329 Alingsås"
"Olof Gustavsson","Kyrkgatan 71
85871 Karlstad"
"Louise Sjöström","Nyvägen 78
67490 Borlänge"
"Elisabeth Bergström","Kvarnstigen 098
11711 Örebro"
"Christoffer Salomonsson","Ringtorget 5
42936 Halmstad"
"Ingvar Jafari","Fabriksstigen 552
79824 Borås"
"Kalle Björk","Storvägen 332
52154 Uddevalla"
"Sofia Lindgren","Ringvägen 734
11939 Uddevalla"
"Nellie Magnusson","Industrigatan 2
63281 Mölndal"
"Jenny Bergman","Storgränd 86
35224 Halmstad"
"Margareta Gustafsson","Backgränd 96
54932 Luleå"
"Pär Grönlund","Strandgatan 32
55970 Skövde"
"Yvonne Johansson","Grangatan 901
74037 Sundsvall"
"Britt-Marie Österberg","Kvarngränd 286
22858 Kristianstad"
"Tina Lundin","Skogsgatan 961
12817 Eskilstuna"
"Elin Augustsson","Stationsstigen 44
87360 Växjö"
"Cornelia Carlsson Boström","Åkertorget 329
17192 Sundsvall"
"Sofia Månsson","Björktorget 7
54221 Falun"
"Maximilian Gren","Kyrkvägen 897
88139 Örebro"
"Christina Forsberg","Ängsgatan 066
34817 Lund"
"Jonatan Andersson","Industrigränd 60
18121 Sandviken"
"Paul Persson","Furustigen 64
60611 Borås"
"Bengt Olsson-Svärd","Parkstigen 8
90144 Kalmar"
"Peter Berg","Idrottsgatan 29
33984 Trelleborg"
"Thomas Forsman","Furugatan 36
52569 Halmstad"
"Christina Jansson-Torstensson","Skolgränd 361
63545 Alingsås"
"Åke Svensson","Strandgatan 0
49271 Sundsvall"
"Sofia Olofsson","Ängsgränd 850
34328 Eskilstuna"
"Helena Gustavsson","Idrottsvägen 7
87797 Landskrona"
"Bo Larsson","Fabriksgatan 766
40263 Lidingö"
"Elisabet Jonsson","Fabriksgatan 37
31821 Linköping"
"Kjell Blomgren","Ringstigen 52
77269 Jönköping"
"Maria Granberg","Skolvägen 23
44483 Östersund"
"Richard Norberg","Kvarnvägen 710
26855 Skellefteå"
"Maria Andersson","Bäcktorget 87
15060 Borås"
"Mattias Holm","Järnvägsgatan 3
25386 Malmö"
"Magnus Ahmed Wallin","Ängsstigen 661
74613 Malmö"
"Sofia Olsson-Möller","Strandgatan 0
18543 Växjö"
"Katarina Martinsson","Storgränd 712
89038 Helsingborg"
"Harriet Hussein","Backstigen 05
17708 Kristianstad"
"Jan Carlson","Ekgatan 780
98536 Malmö"
"Marianne Hansen","Strandtorget 04
39260 Växjö"
"Johanna Granberg","Kyrkogränd 042
24747 Trelleborg"
"David Sandberg","Nyvägen 973
49226 Halmstad"
"Anders Hedin","Kyrkogränd 9
16259 Malmö"
"Otto Johansson","Skolvägen 28
50394 Umeå"
"Karl Granberg","Industrigatan 320
65329 Karlskoga"
"Sofia Rosenberg","Backstigen 32
87592 Karlskrona"
"Johan Grönlund","Björkgatan 47
25022 Halmstad"
"Mikael Nordberg","Industrigatan 630
16551 Södertälje"
"Inez Lundmark","Furugränd 282
19430 Mölndal"
"Mikaela Larsson","Åkergatan 41
67696 Borås"
"Khaled Olofsson","Åkergatan 7
41768 Falun"
"Isak Ekberg","Kvarngatan 18
97632 Trelleborg"
"Johan Johansson","Stationstorget 465
41560 Borlänge"
"Anna Bertilsson","Kyrkovägen 625
66272 Lidköping"
"Sam Persson","Aspstigen 68
19153 Kalmar"
"Sofie Carlsson","Idrottsgränd 5
32724 Västerås"
"Aleksandra Johansson","Villatorget 694
62210 Skellefteå"
"Karl Olofsson","Ringvägen 2
87168 Västerås"
"Olof Åkerman","Granvägen 79
63193 Växjö"
"Kerstin Persson","Villavägen 17
78993 Trollhättan"
"Elis Johansson","Strandgatan 3
63010 Ängelholm"
"Malin Forsberg","Järnvägsvägen 3
88793 Jönköping"
"Emma Persson","Ekstigen 422
30006 Sandviken"
"Georg Jansson","Granstigen 1
71322 Norrköping"
"Linda Dahl","Nyvägen 15
26972 Linköping"
"Sofie Eliasson","Björktorget 6
46541 Lidingö"
"Ella Andersson-Johansson","Nytorget 77
54931 Stockholm"
"Margareta Jonasson","Ringstigen 828
62392 Norrköping"
"Frida Östberg","Strandgatan 5
42804 Östersund"
"Fredrika Ohlsson-Eriksson","Strandtorget 3
49677 Uddevalla"
"Rolf Månsson-Johansson","Gengatan 64
18988 Varberg"
"Göran Olsson","Villavägen 834
35408 Karlstad"
"Alice Ivarsson","Skogsgatan 0
47361 Motala"
"Jonas Karlsson","Björkgatan 878
14093 Gävle"
"Katarina Holgersson Nilsson","Furugatan 310
53970 Växjö"
"Sofie Gustavsson-Strömberg","Backgatan 54
56905 Borlänge"
"Sten Johansson","Ängsgränd 2
43540 Alingsås"
"Birgitta Svensson","Kyrkovägen 371
12053 Lidköping"
"Andreas Boström","Villatorget 1
25150 Östersund"
"Felix Jarl","Fabrikstorget 77
54292 Kalmar"
"Robert Nilsson Friberg","Kyrkogränd 967
81703 Stockholm"
"Erik Davidsson","Grangatan 92
17575 Växjö"
"Maria Danielsson","Parkstigen 04
29986 Lund"
"Katarina Isaksson","Bäckgränd 400
64490 Ängelholm"
"Linnéa Eklund","Genstigen 60
95012 Mölndal"
"Sofie Hansson","Skogsvägen 74
27050 Karlskoga"
"Birgit Karlsson-Ottosson","Storgränd 334
63303 Helsingborg"
"Victoria Johansson","Ringgatan 551
98296 Halmstad"
"Greta Svensson Olsson","Nyvägen 86
93346 Östersund"
"Henrik Sjöberg","Kvarnstigen 931
98412 Falun"
"Lennart Wester","Parkstigen 8
59259 Landskrona"
"Kerstin Karlsson","Parkgatan 53
41902 Uddevalla"
"Ida Lindström","Skolgatan 586
26710 Skellefteå"
"Maria Paulsson","Furugränd 52
88988 Umeå"
"Ingeborg Persson","Skolgatan 4
61799 Eskilstuna"
"Sofie Jacobsson","Backvägen 953
81213 Kristianstad"
"My Jönsson Knutsson","Björkgatan 4
63911 Jönköping"
"Jenny Lindqvist Larsson","Parkvägen 312
19097 Skövde"
"Lars Månsson","Idrottsstigen 6
87242 Östersund"
"Henning Karlsson","Backvägen 9
47840 Linköping"
"Ruben Jonasson","Kyrkogränd 16
59010 Göteborg"
"Gisela Hellberg","Stationsvägen 6
74927 Halmstad"
"Rebecca Viklund","Parkvägen 53
25442 Norrköping"
"Christer Lidström","Järnvägsvägen 08
75922 Umeå"
"Hans Eriksson","Idrottsstigen 086
87952 Lidingö"
"Sofie Nilsson","Ringgränd 9
23166 Lidköping"
"Eva Bengtsson","Björkvägen 411
97276 Borlänge"
"Elisabeth Persson","Kyrkovägen 20
30336 Lidköping"
"Kjell Nilsson","Fabrikstorget 6
89673 Linköping"
"Robert Larsson","Idrottsgränd 4
74982 Växjö"
"Elisabet Berg","Gengatan 817
41749 Umeå"
"Linnéa Sjölund","Åkergatan 15
17383 Borlänge"
"Marianne Gustafsson","Industristigen 36
83078 Sundsvall"
"Gertrud Olsson","Björkvägen 576
78880 Malmö"
"Mathilda Lindberg","Björkgatan 0
40607 Nyköping"
"Sofie Nilsson","Skoltorget 513
16780 Alingsås"
"Mikael Sundström Berg","Industrivägen 6
73427 Skellefteå"
"Oscar Malmström","Kyrkgränd 931
43776 Landskrona"
"Sofia Johansson","Trädgårdsgränd 04
98757 Linköping"
"Kenneth Olsson-Eriksson","Parkgränd 091
36170 Stockholm"
"Lennart Hagström","Bäckgränd 5
15513 Göteborg"
"Alexander Mohammadi","Parkgatan 4
25280 Ängelholm"
"Christina Osman","Skogsgatan 39
32375 Örnsköldsvik"
"Håkan Nilsson Nilsson","Stationsgatan 827
43265 Karlskrona"
"Margareta Backman-Werner","Kyrkovägen 47
72377 Karlskrona"
"Solveig Olsson","Kyrkogatan 058
91337 Norrköping"
"Mira Davidsson","Skogsgatan 2
11127 Uddevalla"
"Inga Olsson-Eriksson","Ringgatan 50
72313 Helsingborg"
"Robert Andersson","Kvarngränd 7
96443 Uppsala"
"Sofia Westerberg","Järnvägsvägen 05
33100 Sundsvall"
"Bengt Johansson","Industrivägen 65
50369 Karlskrona"
"Mari Gustafsson","Åkergatan 606
72123 Uppsala"
"John Frid","Genstigen 17
24292 Sundsvall"
"Emma Andersson","Trädgårdsvägen 96
13170 Södertälje"
"Nicole Sjölin-Jonsson","Grangatan 2
99816 Halmstad"
"Sonja Lindquist","Strandstigen 97
29005 Jönköping"
"Vera Blom Höglund","Fabriksvägen 86
55744 Motala"
"Annika Svensson-Byström","Backstigen 5
63986 Linköping"
"Jesper Jonsson","Skogstorget 9
87398 Södertälje"
"Elisabet Lundh","Industrigränd 301
62115 Malmö"
"Erik Jensen-Persson","Skoltorget 4
57762 Östersund"
"Maria Nilsson-Strand","Kvarnstigen 568
54179 Gävle"
"Tanja Lennartsson","Grangatan 1
37233 Örnsköldsvik"
"Erik Olsson","Trädgårdsgatan 1
44946 Varberg"
"Birgitta Gustafsson","Idrottsgränd 9
32623 Norrköping"
"Sonja Persson","Fabriksstigen 53
52023 Karlstad"
"Linnea Pettersson","Idrottstorget 752
14311 Mölndal"
"Ella Hansson","Storvägen 852
22227 Nyköping"
"Celine Ahlström","Nyvägen 72
97657 Lidköping"
"Lydia Olsson","Parkgränd 397
17935 Lund"
"Göte Carlsson","Ringgatan 652
80557 Karlstad"
"William Sjögren","Fabriksvägen 31
98601 Nyköping"
"Alicia Lundberg Persson","Skogsgränd 8
18800 Växjö"
"Emil Larsson","Storgatan 7
49621 Sandviken"
"Alice Andersson","Ringgatan 5
27221 Jönköping"
"Sonja Svensson","Åkervägen 46
92542 Trollhättan"
"Urban Karlsson","Skoltorget 13
93912 Uddevalla"
"Alan Olsson","Björkgränd 926
33814 Örnsköldsvik"
"Ola Lindqvist","Kvarnvägen 824
54642 Östersund"
"Jeanette Löf","Järnvägstorget 8
63495 Jönköping"
"Bo Söderström","Åkergatan 09
18512 Västerås"
"Maja Olsson","Villastigen 603
15622 Falun"
"Birger Westerlund Jonasson","Skolgatan 67
69617 Borlänge"
"Johanna Johansson","Strandgränd 93
42777 Nyköping"
"Margareta Bergqvist","Grangränd 0
19000 Lidköping"
"Sonny Edin","Granvägen 173
76273 Sandviken"
"Peter Andersson-Andersson","Kyrkovägen 1
59567 Kristianstad"
"Edvin Karlsson Rydberg","Gengatan 4
18482 Södertälje"
"Maria Augustsson","Stationsgatan 4
69083 Skövde"
"Melvin Ekman","Industrivägen 63
61828 Motala"
"Mary Pettersson","Genstigen 0
13377 Östersund"
"Hans Nilsson","Åkervägen 597
91844 Växjö"
"Annika Persson","Strandgränd 243
60093 Trollhättan"
"Mikael Paulsson","Björktorget 388
75316 Trelleborg"
"Margaretha Holm","Trädgårdsvägen 5
39916 Jönköping"
"Sophie Gustafsson","Bäckvägen 2
98306 Borlänge"
"Elisabeth Petersson","Industrivägen 840
89819 Norrköping"
"Isak Byström","Industrivägen 037
75382 Kalmar"
"Stefan Nilsson","Skolgatan 638
85861 Karlskrona"
"Cristina Stenlund","Kyrkgatan 358
84932 Östersund"
"Elizabeth Nilsson","Storvägen 32
42965 Skövde"
"Gabriella Åberg Lindqvist","Skolstigen 24
54011 Helsingborg"
"Johan Nilsson","Parkstigen 488
12893 Östersund"
"Kristina Westerberg","Stationsvägen 401
24759 Alingsås"
"Johanna Nyström","Villatorget 68
27347 Mölndal"
"Sophie Wall","Industristigen 995
27235 Sandviken"
"Josef Turesson","Trädgårdsgatan 899
68481 Halmstad"
"Torbjörn Johansson","Järnvägsgatan 308
69356 Sundsvall"
"Per Holmström-Östman","Järnvägstorget 31
45668 Piteå"
"Anna Wilhelmsson Kristiansson","Nygränd 40
53125 Trelleborg"
"Marianne Axelsson","Fabriksgränd 442
63019 Trollhättan"
"William Nyberg","Idrottsvägen 6
61929 Lidingö"
"Erik Johnsson","Trädgårdsgatan 147
13961 Borlänge"
"Ronny Fredriksson","Parkvägen 10
13525 Sandviken"
"Sebastian Linde","Järnvägstorget 6
15039 Halmstad"
"Staffan Friberg","Villagatan 94
47750 Växjö"
"Ellie Gustafsson","Stationsgränd 38
96147 Ängelholm"
"Josef Ohlsson","Trädgårdsvägen 697
50362 Örnsköldsvik"
"Kerstin Bergman","Järnvägsgatan 2
37134 Lidingö"
"Thomas Wikström","Ekvägen 826
58382 Lidköping"
"Marita Johansson","Järnvägsgränd 0
61711 Karlstad"
"Magnus Svensson","Ekstigen 70
36652 Växjö"
"Märta Ljungberg-Haglund","Ekvägen 084
39110 Alingsås"
"Georg Lundberg","Storvägen 5
39021 Umeå"
"Marina Westin","Furutorget 4
62040 Ängelholm"
"Staffan Hassan-Forsberg","Backtorget 64
82256 Falun"
"Alva Sjöholm","Industrivägen 21
16645 Piteå"
"Isabella Olofsson Johansson","Ekgatan 4
54459 Södertälje"
"Roger Pettersson","Ängsvägen 0
73755 Skellefteå"
"Peter Nygren","Åkergatan 982
45377 Stockholm"
"Ella Lindskog Asplund","Industristigen 9
35671 Umeå"
"Elisabet Persson","Bäckvägen 14
41012 Ängelholm"
"Anita Tran","Granvägen 3
84156 Borlänge"
"Lennart Eriksson","Villavägen 62
32546 Borlänge"
"Rose-Marie Dahlberg","Trädgårdsvägen 90
64660 Skövde"
"Stefan Ahlström","Skolgatan 4
56346 Borås"
"Anita Åkerlund","Kyrkgatan 410
52445 Uppsala"
"Margareta Westlund","Parktorget 56
72908 Ängelholm"
"Erik Roos","Industrigränd 19
79533 Stockholm"
"Mattias Olsson","Åkergränd 56
37947 Alingsås"
"Rut Lundqvist","Skolgatan 9
96137 Karlstad"
"Nathalie Hjort Johansson","Ekvägen 831
19760 Halmstad"
"Ludvig Lindblom","Kvarnstigen 5
50113 Varberg"
"Olof Mårtensson","Ängsstigen 72
54486 Jönköping"
"Ingvar Norman","Industristigen 981
13621 Östersund"
"Stefan Andersson","Villagatan 8
42002 Varberg"
"Malin Olofsson","Industrivägen 4
20973 Umeå"
"Lars Jönsson","Aspstigen 44
75535 Västerås"
"Joakim Wang","Bäckgränd 1
34597 Falun"
"Marie-Louise Mohamed","Kyrkostigen 6
45333 Halmstad"
"Anna Svensson","Idrottsgatan 00
25813 Malmö"
"Maria Lilja Nilsson","Skolstigen 48
68200 Eskilstuna"
"Ebbe Lindberg","Björkvägen 99
34015 Alingsås"
"Ulla-Britt Svensson","Genvägen 55
24583 Örnsköldsvik"
"Mikael Axelsson","Åkergatan 7
19989 Linköping"
"Stefan Granberg","Furugatan 6
52070 Umeå"
"Elisabeth Henriksson","Grantorget 7
60894 Nyköping"
"Sven Börjesson","Ringgatan 1
97282 Landskrona"
"Louie Bäckman-Forsberg","Fabriksstigen 4
86828 Kristianstad"
"Birgit Söderlund","Nygränd 405
46336 Mölndal"
"Rebecca Hagberg","Stationsvägen 3
46353 Örebro"
"Veronica Svanberg","Backgatan 5
26707 Uddevalla"
"Gösta Blomqvist Larsson","Skolstigen 5
26483 Kalmar"
"Mattias Mattsson-Johansson","Kyrkogatan 6
28763 Norrköping"
"Maria Gustavsson","Furutorget 3
35007 Trelleborg"
"Stefan Jonsson","Industrigränd 3
17817 Östersund"
"Erland Engström-Eriksson","Skolstigen 22
77072 Uppsala"
"Linn Karlsson","Parkgatan 079
80234 Halmstad"
"Claes Blomqvist-Svensson","Storvägen 43
91078 Södertälje"
"Maria Söderqvist","Åkerstigen 9
98163 Jönköping"
"Elsa Lund","Storvägen 3
23667 Östersund"
"Jill Engvall","Ängsgatan 150
46822 Malmö"
"Susanne Olander Högberg","Kvarngatan 322
50303 Halmstad"
"Inger Andersson","Skolgränd 5
59205 Skellefteå"
"Roger Magnusson","Backgatan 82
31352 Sundsvall"
"Stefan Lindell","Järnvägsgatan 651
39764 Lund"
"Erik Skoog","Villagatan 957
97660 Karlskoga"
"Martin Johansson","Industrigränd 822
67277 Östersund"
"Susanne Larsson-Asplund","Nygatan 838
93706 Göteborg"
"Jacob Hellberg","Gentorget 81
51186 Södertälje"
"Mira Hansson","Kvarngatan 805
13906 Örebro"
"Lars Berglund","Aspgatan 5
45301 Luleå"
"Gösta Andersson","Ekvägen 99
33892 Gävle"
"Bertil Johansson","Stationstorget 483
19335 Växjö"
"Johan Andersson","Furutorget 3
93077 Eskilstuna"
"Stefan Magnusson","Backgatan 8
43476 Varberg"
"Hanna Johansson-Johansson","Trädgårdsstigen 1
26359 Nyköping"
"Richard Nilsson","Ringvägen 8
98594 Kalmar"
"Ulla Andersson","Fabriksgatan 0
27467 Luleå"
"Alexandra Rydberg","Parkgränd 7
95978 Alingsås"
"Mikael Eriksson","Industrivägen 70
56301 Luleå"
"Ingrid Larsson","Kyrkogatan 215
61789 Piteå"
"Lars Rehn","Ängsgränd 59
71819 Lidingö"
"Adam Nilsson Edström","Ängstorget 420
65002 Östersund"
"Åse Lindahl","Skoltorget 488
90810 Piteå"
"Stefan Nguyen","Industrigränd 8
85868 Halmstad"
"Mattias Mustafa Westberg","Backgatan 1
49201 Motala"
"Ronnie Axelsson","Industrigränd 2
46248 Trollhättan"
"Åsa Eliasson","Kyrktorget 8
47754 Skellefteå"
"Jenny Ljunggren","Idrottsvägen 36
14880 Södertälje"
"Sanna Fredriksson","Ringvägen 884
63359 Skövde"
"Linnéa Karlsson","Skolgatan 7
81455 Uddevalla"
"Kristina Andersson Larsson","Skolvägen 49
58354 Trollhättan"
"Ragnar Nylander","Kyrkvägen 712
10570 Mölndal"
"Gustav Johansson","Kvarnvägen 5
65424 Ängelholm"
"Stefan Nordin","Strandgatan 182
77483 Nyköping"
"Karl Söderberg","Björkgatan 024
57534 Örebro"
"Emilia Hall","Ringgatan 091
43278 Södertälje"
"Pontus Eklöf","Bäckvägen 9
63984 Malmö"
"Nils Eklöf","Gentorget 3
18644 Kristianstad"
"Lisbeth Backlund","Trädgårdsgatan 1
36742 Linköping"
"Göran Andersson","Kvarnvägen 08
37432 Luleå"
"Josef Ekholm","Villavägen 168
56837 Luleå"
"Marie Helgesson","Grangatan 9
91847 Skellefteå"
"Kurt Zhang","Genvägen 6
89455 Karlstad"
"Stefan Olofsson","Furugränd 103
18202 Nyköping"
"Jonas Skog","Asptorget 003
23593 Norrköping"
"Jenny Löfgren","Skogsvägen 56
88194 Piteå"
"Sanna Thorén","Bäckvägen 55
14212 Gävle"
"Thomas Jansson-Sahlin","Parkgatan 3
99736 Halmstad"
"Elisabet Kjellberg","Ängsgatan 0
49528 Uddevalla"
"Björn Rosenberg Backlund","Skolstigen 249
83711 Örnsköldsvik"
"Jörgen Söderberg","Kvarngatan 55
21068 Falun"
"Veronica Bergqvist","Ringgränd 0
90526 Norrköping"
"Lena Mohammad","Industristigen 174
89292 Karlskrona"
"Stefan Petersson Magnusson","Villatorget 09
97938 Borås"
"Tage Johansson","Industrigatan 1
59564 Umeå"
"Anna Hammar","Ringtorget 647
63465 Borås"
"Kerstin Jensen","Villavägen 75
46406 Linköping"
"Frida Eriksson","Fabriksvägen 715
26411 Borlänge"
"Håkan Hagman","Grantorget 651
28999 Trollhättan"
"Karl Forsberg","Åkerstigen 91
98871 Lidköping"
"Vilhelmina Svedberg","Industrivägen 30
73478 Gävle"
"Vilhelmina Norling","Grangatan 41
42625 Karlskoga"
"Elias Bengtsson","Trädgårdsvägen 5
48900 Norrköping"
