"Abelone Dahl","Stenløsevej 856
8842 Roskilde" 
"Winni Holm-Iversen","Ebertsgade 550
7543 Tommerup"
"Dr. Mimi Olesen","Persillevej 36
3734 Blåvand"
"Univ.Prof. Carla Klausen","Trekronervej 314
8212 Havdrup"
"Dr. Frode Jacobsen","Christian II's Allé 393
9463 Gadbjerg"
"Borris Karlsen","Fyrtårngade 44
2309 Østermarie"
"Sten Lund","Marstalsstræde 5
9111 Skørping"
"Stephan Ravn","Letlands Allé 91
4500 Glamsbjerg"
"Silje Johansen","Store Søndervoldgade 4
3890 Solrød Strand"
"Dr. Benny Jeppesen","Engskiftegade 10
5333 Vamdrup"
"Ulla Mathiasen","Trondhjemsgade 1
2722 Solbjerg"
"Peter Mathiasen","Ahlmanns Allé 35
9486 Ansager"
"Gurli Nilsson","Sværtevej 444
3448 Skodsborg"
"Ronny Holm","Australiens Allé 76
6662 Tinglev"
"Nick Holst","Krügersvej 62
8278 Væggerløse"
"Stine Andersen","Volosgade 983
7565 Tappernøje"
"Katcha Vestergaard","Wildersvej 894
6044 Dronningmølle"
"Stephan Winther-Østergaard","Haderslevstræde 5
4772 Stoholm"
"Univ.Prof. Gert Thygesen","Falke Allé 74
1053 Brenderup"
"Hr Ib Christiansen","Dragsholmgade 83
6836 Hadsten"
"Joan Nørgaard","Steenbergsstræde 906
4503 Nexø"
"Flemming Dahl","Saltholmsvej 662
4128 Brovst"
"Prof. Jan Jensen","Nyrnbergstræde 96
5526 Karby"
"Jenny Schultz","Helsingborggade 76
5267 Thisted"
"Prof. Nete Brandt","Valhøjvej 7
8135 Sønder Felding"
"Ditte Lind","Verasgade 76
4217 Vestervig"
"Jenny Rasmussen","Mågegade 9
1775 Thyholm"
"Steve Olesen","Agerlandsvej 196
3306 Herfølge"
"Ludvig Larsen-Bech","Offenbachsvej 8
4280 Stokkemarke"
"Sofia Jakobsen","Bjelkesstræde 74
1854 Rynkeby"
"Emily Karlsen","Kampmannsgade 350
9956 Idestrup"
"Prof. Silas Jessen","Sydhavnsgade 3
7492 Frøstrup"
"Benedicte Hermansen","Dieselgade 20
5243 Farum"
"Johnny Søndergaard","Bellahøj Allé 473
7013 Sorø"
"Ragner Paulsen-Kristiansen","Donaugade 35
9839 Spjald"
"Prof. Carsten Bech","Baggesensstræde 50
4423 Lintrup"
"Gunnar Vestergaard","Theklavej 9
8663 Gislev"
"Steven Bruun","Slangerupvej 84
4559 Stensved"
"Prof. Herman Jessen","Købmagervej 49
2600 Ulstrup"
"Prof. Grethe Hansen","Solskifte Allé 7
3569 Ikast"
"Oda Skov-Schmidt","Askøstræde 3
7618 Greve Strand"
"Nadia Mogensen","Nordre Fasanvej 9
6755 Mårslet"
"René Olsen","Calaisgade 38
1455 Hjørring"
"Univ.Prof. Poul Mathiesen","Boyesvej 9
9598 Ejby"
"Connie Bertelsen","Skyttestræde 4
8633 Sorø"
"Bodil Hermansen","Sandbjergvej 9
8840 Uldum"
"Frans Simonsen","Rødelandsstræde 51
7061 Ranum"
"Steven Clausen","Laplandsstræde 828
7864 Gudbjerg"
"Maiken Olsen","Brønshøjgårdgade 4
6442 Løgstrup"
"Univ.Prof. Yasmin Nørgaard","Gullandsstræde 8
7501 Sjølund"
"Ulf Lund","Stokhus Allé 96
3031 Humlebæk"
"Univ.Prof. Nils Brandt","Ravnsborgvej 7
9733 Silkeborg"
"Grete Mathiasen","Nøkkerosestræde 2
2975 Hanstholm"
"Martin Jacobsen","Rørmosegade 710
1477 Roslev"
"Georg Christensen","Kongebrostræde 24
5458 Assens"
"Tonny Jacobsen","Ourøgade 697
8289 Vemb"
"Simon Schou","Spøttrupgade 71
1747 Hvidovre"
"Steven Koch-Schou","Bygårdgade 8
4617 Ølsted"
"Sofia Paulsen","Birkestræde 43
1128 Stenløse"
"Dr. Jan Laursen","Førslevgade 9
4718 Hornsyld"
"Ida Thorsen","Gørtlervej 45
9131 Herfølge"
"Prof. Vivian Lauritsen","Polensvej 549
6392 Bryrup"
"David Mathiasen-Sørensen","Rønnevej 97
8167 Glamsbjerg"
"Robert Nielsen","Vennemindevej 8
2989 Jerslev"
"Jørgen Carlsen","Houmannsvej 118
6679 Hundested"
"Univ.Prof. Birger Dahl","Romsøstræde 89
8527 Viby J"
"Univ.Prof. Niels Østergaard","Containervej 39
3009 Odder"
"Stig Carlsen","Sumatravej 7
6624 Janderup"
"Steven Nørgaard","Ejderstedvej 49
9222 Kolding"
"Dagny Johnsen-Winther","Nordbanegade 964
2082 Faaborg"
"Mark Bech","Engdalsvej 425
5441 Horsens"
"Merethe Pedersen","Slejpnersvej 84
9976 Løgstrup"
"Dr. Ofelia Dahl","Larslejsvej 688
9206 Kolind"
"Marius Danielsen","Hillerødgade 2
4419 Sæby"
"Iben Nørgaard","Bøhmensstræde 5
2005 Horslunde"
"Ingelise Lauritsen","Grønager Allé 264
3768 Slagelse"
"Esben Berg","Mellemtoftegade 58
3820 Måløv"
"Stig Dahl","Orlogsværftvej 292
9463 Hjallerup"
"Emilie Danielsen","Assensgade 8
9730 Sunds"
"Prof. Dorthe Schou","Hollandsvej 432
5717 Askeby"
"Richard Jeppesen-Frederiksen","Vilhelm Thomsensstræde 861
2620 Mesinge"
"Hr Noah Poulsen","Tårnholmsgade 726
1302 Mårslet"
"Katcha Nissen","Møllevej 27
4964 Ulfborg"
"Bertram Paulsen","Aarestrupsgade 4
5529 Terndrup"
"Zacharias Johansen-Dam","Dronningensgade 1
5013 Hornslet"
"Gustav Friis","Lundbyesgade 33
4588 Bækmarksbro"
"Ida Lassen","Hannoverstræde 6
8352 Sejerø"
"Stig Henriksen","Landgildestræde 65
3273 Brædstrup"
"Univ.Prof. Kenneth Holst","Heklasgade 240
6879 Græsted"
"Prof. Steven Larsen","Vasbyvej 545
9602 Esbjerg"
"Filippa Christiansen","Æble Allé 44
8409 Kokkedal"
"Merethe Iversen","Hustoftevej 880
3486 Allingåbro"
"Nils Schultz","Bangsbostræde 225
4015 Hillerød"
"Øivind Johnsen","Brobergsgade 39
1058 Kalvehave"
"Marianne Simonsen","Irmingersgade 90
1350 Tappernøje"
"Villads Jacobsen","Børsvej 874
3402 Haderup"
"Kirstin Lind","Tornsangergade 13
7386 Brønderslev"
"Stig Kristiansen","Lagerstræde 62
5995 Borre"
"Ronja Lauridsen","Valmuevej 630
4166 Bogø By"
"Frederikke Steffensen-Vestergaard","Boltongade 3
7646 Møldrup"
"Sara Knudsen","Gerbrandsgade 9
2460 Vordingborg"
"Paul Vestergaard","Volosgade 27
3416 Mørkøv"
"Univ.Prof. Vivian Lassen","Gavlhus Allé 14
2549 Lundby"
"Fru Marianne Hermansen","Bavnehøjvej 12
2201 Hammel"
"Patricia Christensen","Glentevej 5
6502 Vejers Strand"
"Kim Andresen","Thorupgårdvej 7
5506 Solrød Strand"
"Hr Mikael Kristensen","Haifavej 1
9840 Støvring"
"Stig Schou","Sundbygårdsstræde 9
5092 Trige"
"James Schmidt","Antwerpen Allé 68
8846 Silkeborg"
"Univ.Prof. Merete Poulsen","Stoltenbergsgade 194
1667 Holbæk"
"Prof. Ragner Schou","Rebslagerstræde 10
3334 Bække"
"Winni Mogensen","Metrogade 8
8204 Viby Sjælland"
"Fru Merethe Thorsen","Botoftevej 8
2561 Aakirkeby"
"Fru Daniella Lassen","Lille Colbjørnsens Allé 880
5839 Gørding"
"Marianne Kjeldsen","Nelson Mandelasstræde 589
9219 Gjern"
"Mikkel Thygesen","Bastiongade 893
4223 Viuf"
"Benedikte Jørgensen","Spontinisgade 4
3120 Fejø"
"Stina Kristoffersen","Præstegårdsgade 75
1741 Langå"
"Justina Schmidt","Middelgrundsvej 95
2630 Haderslev"
"René Mathiesen-Sørensen","Tulipanstræde 203
7766 Solrød Strand"
"Univ.Prof. Astrid Holm","Efterslægts Allé 215
9533 Vejle"
"Fru Lea Jeppesen","Ravennavej 6
1179 Snekkersten"
"Prof. Andreas Berg","Nordborg Allé 63
9518 Bælum"
"Natasha Friis-Koch","Værnedamsgade 80
3423 Risskov"
"Åbjørn Rasmussen","Wiedeweltsstræde 3
9982 Kokkedal"
"Kenneth Lind","Sætersdalgade 70
7410 Ry"
"Tammy Thomsen-Larsen","Maltavej 3
4112 Tylstrup"
"Stina Simonsen-Rasmussen","Ulvefodvej 51
1645 Kalvehave"
"Julie Lund","Struenseevej 7
7630 Guldborg"
"Sabine Jakobsen","Danstrupgade 167
8787 Støvring"
"Silas Dahl","Thingvallavej 112
3247 Spenstrup"
"Dr. Nicoline Larsen","Pommernsgade 53
1629 Skærbæk"
"Laurits Clausen","Bygholmvej 386
2244 Daugård"
"Richardt Andresen","Küchlersgade 65
7187 Hillerød"
"Hr Sebastian Rasmussen","Hindevej 19
8079 Rødvig Stevns"
"Univ.Prof. Ove Jepsen","Amager Strandstræde 67
5488 Stakroge"
"Dr. Laust Nissen","Fredenshøjvej 7
4673 Øster Ulslev"
"Stine Christensen","Tersløsegade 89
5789 Blokhus"
"Prof. Kåre Lassen","Mullerupgade 98
1474 Slangerup"
"Dr. Odette Carlsen","Molbechsvej 96
6883 Kerteminde"
"Hr Oskar Bach","Asger Jornsvej 78
4701 Stenderup"
"Marcus Skov","Statholdergade 5
8786 Spenstrup"
"Camilla Sørensen","Skaffer Allé 7
2520 Kongens Lyngby"
"Hr Ragnar Poulsen","Kreta Allé 453
8191 Ulfborg"
"Gunhild Pedersen","Titan Allé 5
8225 Fanø"
"Prof. Christine Rasmussen","Øster Voldvej 429
1162 Bække"
"Asta Kristensen-Holm","Heimdals Allé 65
9363 Harpelunde"
"Stine Dahl","Ottiliagade 4
2656 Brønshøj"
"Viola Hansen","Saabyes Allé 1
5425 Marslev"
"Hr Nicklas Petersen","Hjørringgade 522
8071 Gram"
"Fru Karoline Nielsen","Portugalsvej 12
1024 Hammel"
"Irma Kristiansen-Rasmussen","Enebærgade 640
2608 Tappernøje"
"Hans Svendsen","Blåmunkestræde 896
4936 Holsted"
"Olfert Jespersen","Orlogsværft Allé 162
5247 Skibby"
"Nora Frederiksen","Svogerslevvej 10
8133 Gredstedbro"
"Grete Kristoffersen","Skoubogade 94
4641 Hornsyld"
"Johan Johnsen","Tingskiftevej 7
6150 Hirtshals"
"Stine Olesen","Skibelundstræde 67
5535 Ribe"
"Birte Koch","Molbechsvej 2
2398 Kolind"
"Allan Koch","Boeslundevej 63
9266 Løgumkloster"
"Sussie Madsen","Sønderborggade 292
9215 Allingåbro"
"Mille Frederiksen","Sundholmsvej 37
5903 Glejbjerg"
"Dr. Elsebeth Bruun","Klostermarksgade 4
2485 Viby J"
"Carsten Lauritsen-Poulsen","Magister Allé 529
2437 Holstebro"
"Henrik Jessen","Ejler Billesstræde 3
7436 Ejby"
"Werner Lauridsen-Svendsen","Vangehusgade 1
5700 Daugård"
"Ane Møller-Mathiesen","Flensborgvej 43
4275 Ringkøbing"
"Susanne Iversen","Fiolstræde 583
1849 Østbirk"
"Jarl Thomsen-Schultz","Gørtlervej 6
5778 Skagen"
"Hugo Overgaard","Gasværksgade 243
4590 Humble"
"Rosa Petersen-Eriksen","Kronprinsensvej 43
5413 Vrå"
"Ingelise Nørgaard","Kansasgade 10
3050 Nørreballe"
"Patrick Koch-Klausen","Sigyns Allé 2
7103 Terndrup"
"Lea Kjeldsen","Vardegade 316
1473 Aabybro"
"Nora Jakobsen","Solitude Allé 6
1801 Kjellerup"
"Yda Mathiasen-Christensen","Nyrops Allé 3
6587 Århus"
"Else Svendsen","Bogensestræde 686
3768 Rungsted Kyst"
"Susanne Kjeldsen","Holbækmotorengade 3
3968 Branderup"
"Amalie Schultz","Vestmannavej 863
8544 Hinnerup"
"Abelone Dam","Yderlandsstræde 41
3436 Kongens Lyngby"
"Heidi Carlsen-Mortensen","Fengersstræde 97
5955 Horbelev"
"Agnete Berg-Olesen","Saxhøjgade 688
4538 Gislev"
"Dr. Tanja Simonsen","Dampfærgevej 8
2557 Lille Skensved"
"Univ.Prof. Ebbe Møller","Randers Allé 329
7543 Vesterborg"
"Xenia Møller","Pragtstjernevej 3
1025 Sulsted"
"Dr. Inga Klausen","Skudehavnsstræde 55
3045 Rungsted Kyst"
"Justina Søndergaard","Isafjordsgade 4
2382 Stenløse"
"Susanne Laursen","Stubmøllevej 955
9911 Skagen"
"Filippa Simonsen","Lærkegade 13
5845 Vejle Øst"
"Ellen Nørgaard","Hindustan Allé 58
9057 Vildbjerg"
"Dr. Gerda Lauritsen","Antoinettevej 684
3095 Silkeborg"
"Univ.Prof. Vagn Søndergaard","Blågårdsvej 1
7116 Grindsted"
"Dagmar Olesen","Svalehalegade 524
5119 Frørup"
"Stig Skov","Tranevej 2
2071 Gedved"
"Frode Danielsen","Sionsvej 8
2654 Vandel"
"Hr Einar Schou","Vendsysselvej 8
1561 Øster Vrå"
"Alex Pedersen","Bulgariensgade 85
9783 Gråsten"
"Susanne Lind","Kirkegårdsvej 465
7877 Kerteminde"
"Michael Dahl-Thorsen","Sadelmagergade 3
3877 Hedensted"
"Jesper Danielsen","Elsdyrsvej 4
7016 Eskebjerg"
"Ester Møller","Hallandsstræde 276
6215 Nærum"
"Klaus Holm","Nebraskavej 505
5192 Auning"
"Ragnar Jensen-Vestergaard","Rødkildevej 63
9113 Boeslunde"
"Fru Julie Gregersen","Søllerød Allé 1
6777 Farsø"
"Yan Jessen","Christian II'svej 56
8065 Rødding"
"Frans Kjeldsen","Rostockvej 44
6261 Bjæverskov"
"Merete Hansen","Stenløsegade 8
9046 Værløse"
"Sussanne Thorsen-Simonsen","Bådehavnsvej 28
1931 Thorsø"
"Louise Mikkelsen","Rodos Allé 53
6428 Havdrup"
"Clavs Madsen","Kurlandsgade 7
9802 Hjørring"
"Poul Kjær","Ærtebjerggade 53
2501 Nakskov"
"Martin Johansen-Eriksen","Støberigade 435
1383 Egå"
"August Knudsen-Lind","Masteskursvej 8
9788 Ansager"
"Annemette Sørensen","Gasværksvej 74
9806 Nivå"
"Esmarelda Jepsen","Slesvigsgade 1
1004 Søby Ærø"
"William Kjær","Ocean Allé 3
3922 Ryslinge"
"Patricia Jespersen","Søndervigvej 5
5503 Føvling"
"Sussie Bach","Nybostræde 56
7834 Spøttrup"
"Prof. Frederikke Christensen","Marbjerg Allé 5
5310 Holte"
"Weena Mathiasen","Gullfossgade 7
4146 Allinge"
"Johannes Jessen-Friis","Valhalsgade 76
7518 Brønderslev"
"Janne Jespersen","Gadekærvej 52
5757 Svaneke"
"Univ.Prof. Alberte Mathiasen","Industristræde 24
5716 Ringsted"
"Prof. Richardt Ravn","Stenkløverstræde 7
2037 Tisvildeleje"
"Malene Olsen","Panumsvej 385
1628 Hejls"
"Rasmus Mathiasen","Sigynsvej 84
2764 Lintrup"
"Prof. Lona Jessen","Jernæblestræde 6
6762 Køge"
"Svenning Christiansen","Irmingersstræde 263
8988 Solbjerg"
"Fru Mie Jepsen","Hyldebærvej 20
5518 Sulsted"
"Dr. Curt Kristensen","Colbjørnsens Allé 9
6606 Stenlille"
"Ulf Jørgensen","Storegårds Allé 9
3220 Toreby"
"Martin Iversen","Rosmaringade 36
8941 Stokkemarke"
"Natasja Hansen","Ahlefeldtsgade 27
3065 Nibe"
"Rolf Christensen-Krogh","Ehlersvej 6
2080 Skamby"
"Joakim Bertelsen","Flinterup Allé 18
6390 Brønderslev"
"Pia Kristiansen","Bygmesterstræde 9
3035 Harlev"
"Lona Christoffersen","Ystadstræde 897
6165 Dalby"
"Svenning Henriksen-Thorsen","Hillerød Allé 44
6765 Bagsværd"
"Dr. Elsebeth Gregersen","Kretagade 36
1590 Janderup"
"Berta Steffensen","Obdamsgade 16
7050 Frederikssund"
"Thomas Svendsen","Borneogade 35
6177 Toreby"
"Øvli Steffensen","Jerichausvej 31
9627 Hvalsø"
"Kent Eriksen-Kristensen","Søndre Fasanvej 341
1760 Vesløs"
"Olfert Olsen","Aggervej 50
5928 Fejø"
"Jesper Laursen","Skodsborgvej 3
9648 Stenderup"
"Michael Larsen-Paulsen","Ottilia Allé 576
7832 Stubbekøbing"
"Kirsten Christensen","Livornovej 557
8949 Hanstholm"
"Svenning Kristoffersen","Færgehavnsgade 820
3473 Suldrup"
"Simon Karlsen-Petersen","Broagerstræde 17
9576 Horbelev"
"Katcha Schmidt-Søndergaard","Store Kannikevej 53
9624 Rødby"
"Ebbe Møller-Lind","Guldstjernevej 423
4176 Lundby"
"Solveig Larsen","Dortheavej 92
4510 Jerup"
"Fru Zenia Dam","Nordfeldvej 76
6015 Skævinge"
"Dr. Børge Jørgensen","Kvæsthus Allé 97
1647 Vinderup"
"Ragna Krogh","Spanagervej 613
2876 Vejen"
"Bob Danielsen","Kaprifolievej 73
7234 Rødekro"
"Selma Jensen","Lybækgade 7
5420 Charlottenlund"
"Svenning Kristoffersen","Olymposvej 5
1726 Kolind"
"Hr Kenny Kristensen","Toldskrivervej 901
5621 Kolind"
"Bodil Schou","Serridslevvej 201
3221 Frørup"
"Kirsten Schultz","Krystalstræde 4
9666 Klemensker"
"Selma Larsen","Jyllingevej 1
4827 Marslev"
"Dr. Zacharias Lauritsen","Bogfinke Allé 50
6529 Taastrup"
"Rune Østergaard","Teglholmsgade 9
6537 Ruds Vedby"
"Timmy Petersen","Gammel Jernbanestræde 713
4636 Hammel"
"Asger Jeppesen","Oxfordgade 8
4507 Søborg"
"Univ.Prof. Stefan Madsen","Tøjhusvej 11
1673 Gedved"
"Svenning Olsen-Jeppesen","Laksestræde 8
3937 Brøndby Strand"
"Casper Christoffersen","Bastionvej 8
8387 Rødekro"
"Zacharias Toft-Hermansen","Gullandsvej 81
8657 Grevinge"
"Gyda Svendsen","Bøllemosegårdsgade 414
2209 Grevinge"
"Jon Larsen","Kastrupvej 85
5146 Mørkøv"
"Birgit Kjær","Sneppevej 3
4361 Redsted"
"Astrid Krogh","Kansas Allé 801
1240 Skals"
"Univ.Prof. Nana Lassen","Borneovej 67
2511 Dianalund"
"Poul Lauridsen","Thorsmindevej 97
5950 Vamdrup"
"Tommy Knudsen","Gunhildsvej 79
9202 Højby"
"Sys Petersen-Krogh","Krusemyntegade 2
9629 Ullerslev"
"Fru Ester Bach","Mysundegade 71
8198 Rask Mølle"
"Olivia Jensen","Haregade 8
4907 Charlottenlund"
"Mille Østergaard","Athens Allé 3
9325 Stensved"
"Univ.Prof. Yan Nørgaard","Rugagervej 79
9832 Tim"
"Prof. Pia Bertelsen","Oliefabriksgade 5
9008 Hesselager"
"Kjeld Olsen","Palermogade 820
7942 Asperup"
"Margrethe Nissen-Sørensen","Cylindergade 54
2266 Bogø By"
"Klaus Madsen","Rantzausstræde 67
2032 Jerslev"
"Zara Bertelsen","Dampfærgevej 817
5934 Fjerritslev"
"Sys Thomsen-Svendsen","Greisgade 34
8146 Them"
"Poul Lind","Kyringestræde 274
9248 Gedved"
"Ernst Carlsen-Christoffersen","Agerlandsvej 78
8149 Karlslunde"
"Univ.Prof. Doris Holst","Mantuavej 14
7890 Lem"
"Mathias Christiansen","Grenåvej 280
1736 Bælum"
"Bettina Frederiksen","Sundeveds Allé 9
7155 Strøby"
"Victor Kristoffersen","Teglværksvej 38
5810 Brenderup"
"Dr. Agnes Johnsen","Vesterfælledvej 4
3335 Sønder Felding"
"Uffe Winther-Lassen","Boltonvej 1
6978 Vejers Strand"
"Univ.Prof. Jytte Svendsen","Bogense Allé 1
9582 Fredericia"
"Søren Berg","Southampton Allé 150
5100 Tølløse"
"Adam Christiansen","Spartagade 919
4405 Glesborg"
"Dr. Susanne Paulsen","Reinettegade 127
5952 Saltum"
"Birger Lauritsen-Andresen","Hendongade 3
5906 Karby"
"Univ.Prof. Nete Mortensen","Emblasgade 2
8798 Karrebæksminde"
"Prof. Carina Holm","Nordre Frihavnsstræde 56
2518 Mariager"
"Lone Kristoffersen","Kongovej 6
4157 Haarby"
"Anton Jakobsen-Jørgensen","Fiol Allé 116
6965 Hvidovre"
"Fru Jenny Kjær","Nordsøvej 38
3948 Kokkedal"
"Stig Knudsen","Egelykkegade 2
9633 Skjern"
"Søren Klausen","Korinthvej 130
4317 Langå"
"Dina Mortensen","Hansstedgade 302
2114 Vallensbæk Strand"
"Univ.Prof. Zacharias Toft","Glente Allé 717
9775 Dannemare"
"Børge Jacobsen","Landehjælpvej 965
1863 Ans by"
"Nanni Andersen","Morsøvej 48
4794 Vissenbjerg"
"Ulf Østergaard","Frankrigsstræde 763
9146 Vorbasse"
"Fru Catrine Christiansen","Nøddebovej 91
3887 Engesvang"
"Søren Jepsen","Rubinolastræde 63
6488 Langå"
"Fru Katrine Brandt","Strindbergsstræde 98
9241 Sydals"
"Berit Møller","Bodilsvej 40
2059 Rønde"
"Sørine Holm","Amagerbrovej 18
9880 Sommersted"
"Nanni Andersen","Løgstørgade 9
3546 Skævinge"
"Robin Kjær","Blekingegade 1
4168 Gjern"
"Univ.Prof. Danny Clausen","Reersøvej 82
3337 Stokkemarke"
"Simon Poulsen","Nikolajgade 940
1383 Spøttrup"
"Univ.Prof. Nikolaj Knudsen","Snarestræde 72
6088 Dianalund"
"Sys Lauritsen-Toft","Brolæggerstræde 269
2430 Viby J"
"Fru Mia Møller","Teglholmsgade 36
4341 Holbæk"
"Steen Frandsen","Strickersgade 354
2813 Vesterborg"
"Prof. Beth Holst","Rosen Allé 540
9808 Ørum Djurs"
"Sørine Holst","Højmosevej 26
4315 Spøttrup"
"Fru Erna Hansen","Hørdums Allé 1
1902 Give"
"Bob Jepsen","Vibeke Allé 373
5925 Taastrup"
"Jano Thorsen-Mathiesen","Rubikon Allé 3
9286 Tylstrup"
"Zenia Petersen","Ådalsstræde 98
3775 Bogø By"
"Dr. Kristina Thorsen","Kongsdalgade 896
2163 Hvide Sande"
"Kjeld Vestergaard","Nysted Allé 64
8542 Grindsted"
"Conny Paulsen-Brandt","Montagnevej 63
4293 Sorø"
"Troels Frandsen-Lauritsen","Lyngvigvej 66
5774 Frederiksværk"
"Jonna Jepsen","Skyttestræde 72
8025 Lystrup"
"Sørine Knudsen","Mozartsvej 81
6416 Juelsminde"
"Frida Nissen-Poulsen","Klubiensvej 1
4116 Stoholm"
"Univ.Prof. Laus Mathiesen","Torfagade 88
2400 Rødding"
"Tina Bertelsen-Koch","Cylindervej 201
4451 Bøvlingbjerg"
"Karin Eriksen","Hamlets Allé 362
8892 Gislev"
"Bøje Kristoffersen","Bjergmarksvej 448
5592 Jyllinge"
"Fru Bitten Jessen","Skoubogade 501
3768 Tinglev"
"Inge Vestergaard","Krokodille Allé 984
6592 Flemming"
"Beth Jensen","Tingskiftegade 7
4568 Bindslev"
"Georg Steffensen","Lundingsgade 966
4303 Hesselager"
"Sørine Thorsen-Bech","Nøragervej 46
3583 Ålbæk"
"Preben Andresen","Lundehusvej 896
6951 Herlev"
"Dr. Bob Madsen","Turesensvej 23
6903 Anholt"
"Robin Kristoffersen","Birkestræde 681
8575 Strøby"
"Joan Gregersen","Solsikke Allé 65
8054 Boeslunde"
"Else Østergaard","Sigurdsstræde 8
9575 Fanø"
"Villads Møller","Emdrup Engstræde 7
7828 Egå"
"Dr. Annette Thomsen","Keldsøvej 33
4028 Bolderslev"
"Hr Flemming Christiansen","Georginestræde 68
4716 Årre"
"Solvej Thomsen","Fragtvej 3
9205 Føvling"
"Søs Iversen","Købmagervej 2
4699 Vallensbæk Strand"
"Jacqueline Bruun","Søndermarksgade 51
6565 Aabybro"
"Torben Dahl-Christoffersen","Norgesmindegade 791
1481 Rude"
"Univ.Prof. Yngve Eriksen","Skydebanevej 282
9437 Nørre Nebel"
"Univ.Prof. Lene Iversen","Fensmarkgade 850
2841 Taastrup"
"Astrid Olsen","Rævegade 132
2018 Nørager"
"Fru Jannie Kristensen","Hulgårds Allé 79
8890 Janderup"
"Kim Overgaard","Vestre Kirkegårdsvej 20
2926 Gørløse"
"Jørgen Madsen","Karlstadsvej 7
8651 Spenstrup"
"Laust Kjær","Herfølgevej 12
6262 Hals"
"Søs Mathiesen-Kristoffersen","Bristolgade 57
7791 Glejbjerg"
"Dr. Patrick Olesen","Syvstensvej 99
2121 Bøvlingbjerg"
"Verner Frederiksen","Floras Allé 8
9471 Assens"
"Dr. Laus Toft","Reberbanevej 61
9694 Hellerup"
"Prof. Oda Madsen","Lodistræde 8
6794 Ølgod"
"Jasmin Paulsen","Klosterrisvej 737
7654 Hillerød"
"Yasmin Koch","Bohrsstræde 445
6434 Rude"
"Ebbe Steffensen","Bangsbogade 38
2678 Herlufmagle"
"Prof. Yan Schultz","Slesvigsstræde 23
7122 Bjæverskov"
"Sanne Henriksen","Haldagervej 4
5254 Maribo"
"Søs Nilsson","Storegårdsvej 1
8178 Nordborg"
"Ragnhild Knudsen","James Grievegade 67
1588 Skanderborg"
"Peder Mathiasen","Ahlmannsvej 904
9185 Gudbjerg"
"Prof. Jean Larsen","Svalehalevej 99
5281 Gesten"
"Univ.Prof. Kaspar Olesen","Kielvej 386
9661 Søby Ærø"
"Sine Christiansen-Overgaard","Stockholmsvej 2
3389 Store Fuglede"
"Gunnar Sørensen","Kulvej 321
1906 Nivå"
"Holger Lind","Arne Jacobsensgade 4
3829 Kalundborg"
"Hr Karsten Thorsen","Lautrupsvej 668
2959 Jyderup"
"Dr. Ruben Holst","Sejlklubstræde 32
7625 Stouby"
"Tage Koch-Jacobsen","Vestergårdsstræde 37
1257 Brædstrup"
"Fru Karla Thomsen","Nokken Hovednvej 262
2928 Rudkøbing"
"Elna Bech","Hammerichsvej 28
2883 Aabenraa"
"Esben Lind-Koch","Kaprifoliestræde 53
9729 Allingåbro"
"Dr. Nick Johansen","Nybovej 8
7238 Idestrup"
"Olfert Andreasen-Kristensen","Valnøddevej 630
9646 Sakskøbing"
"Univ.Prof. Simon Laursen","Frederiksgårdsgade 4
4244 Hjallerup"
"Timmy Brandt","Skovstjernevej 1
2292 Morud"
"Dan Kristoffersen","Breslauvej 92
4488 Bække"
"Grete Johnsen","Lynæsvej 930
3350 Gesten"
"Tammy Friis","Slejpnersgade 811
8002 Melby"
"Jacob Ravn","Abrikosvej 496
3838 Fjerritslev"
"Steven Friis","Eskjærvej 499
6029 Kruså"
"Stefan Kristoffersen","Lyonvej 3
4607 Brønderslev"
"James Krogh","Hagestedgade 43
2062 Jerup"
"Prof. Margit Jakobsen","Oliefabriksvej 472
7395 Brovst"
"Robert Kristiansen-Mortensen","Mitchells Allé 6
3593 Gedsted"
"Niels Jakobsen","Javastræde 556
3240 Ruds Vedby"
"Univ.Prof. Ragnhild Eriksen","Basnæsgade 739
1886 Eskilstrup"
"André Laursen","Dronning Elisabethsgade 737
3519 Tappernøje"
"Tammy Gregersen","Korsika Allé 3
7448 Sorø"
"Brian Berg","Küchlers Allé 9
3689 Bælum"
"Jarl Nissen","Mariehamnstræde 833
6348 Møldrup"
"August Christoffersen","Hellebækgade 1
6093 Taastrup"
"Dr. Frode Johansen","Våningsvej 4
8318 Langeskov"
"Zacharias Schmidt-Rasmussen","Valkendorfsgade 24
8157 Hanstholm"
"Peder Rasmussen","Pakkerivej 74
3148 Gislev"
"Rasmus Mathiesen","Formosa Allé 9
4776 Hasle"
"Sonny Olsen","Amagerbrostræde 88
5355 Juelsminde"
"Alvin Laursen-Ravn","Meinungsvej 9
1158 Vandel"
"Tammy Jepsen","Svends Allé 264
9785 Rask Mølle"
"Agnete Lund","Basnæsvej 992
7362 Tisvildeleje"
"Emma Sørensen-Mikkelsen","Dybensstræde 873
7337 Gedved"
"Solvej Lauridsen-Brandt","Kreta Allé 6
5047 Klemensker"
"Søs Petersen-Gregersen","Stenmaglevej 97
8942 Kokkedal"
"Anette Ravn","Ågerupvej 1
8493 Ribe"
"Margit Mathiasen","Rialtostræde 586
8124 Herning"
"Sara Simonsen","Holbækgade 72
3492 Tarm"
