"Aage Christiansen"	"Vognmagervej 581
9515 Flemming" 
"Stina Eriksen"	"Lille Søndervoldvej 64
8673 Jægerspris"
"Simone Jepsen"	"Stavnstrupvej 6
3799 Hornbæk"
"Tejs Skov"	"Ehlersgade 922
2342 Hasle"
"Rolf Skov-Schultz"	"Gyldenløvesvej 43
9825 Tjele"
"Prof. Cathrine Christiansen"	"Islevhusgade 882
1915 Hemmet"
"Fru Sandra Bruun"	"Reykjaviksvej 2
9852 Brørup"
"Joan Thomsen"	"Lønborggade 9
3647 Almind"
"Christopher Christoffersen"	"Hørtoftestræde 12
4298 Skibby"
"Ditte Petersen"	"Vejlandsgade 505
6136 Samsø"
"Minna Brandt"	"Annebergvej 4
5702 Them"
"Cecilie Johansen"	"Krabbesholmvej 84
9767 Gadstrup"
"Richard Jørgensen"	"Ålholmvej 966
2268 Slagelse"
"Dr. Åse Andresen"	"Reventlowsstræde 889
5747 Ejby"
"Ron Jørgensen"	"Odins Tværvej 637
3493 Gadstrup"
"Pete Larsen"	"Ærtevej 44
6829 Viborg"
"Alex Henriksen"	"Rødtjørnegade 494
5188 Store Heddinge"
"Hjalte Lassen"	"Brønshøj Kirkevej 739
8783 Viuf"
"Fru Leonora Mortensen"	"Jenagade 7
6633 Sorring"
"Univ.Prof. Nina Thorsen"	"Hagestedvej 96
1958 Veflinge"
"Helge Danielsen"	"Forbindelsesvej 670
3824 Stenstrup"
"Yrsa Gregersen-Pedersen"	"Sæbyholmsgade 6
8245 Bagenkop"
"Regitse Rasmussen-Henriksen"	"Lukretia Allé 9
7024 Bække"
"Gustav Koch"	"Ålandsvej 582
9423 Bjert"
"Ronja Andresen"	"Lukretiavej 7
3058 Rønne"
"Sten Overgaard"	"Augustagade 930
4090 Hornbæk"
"Fru Benedikte Paulsen"	"Stadfeldts Allé 56
9318 Hornsyld"
"Pete Frederiksen-Thygesen"	"Dybensvej 52
3539 Galten"
"Prof. Frede Olesen"	"Montagnestræde 3
9985 Kalundborg"
"Janni Nilsson"	"Rørholmsgade 9
1676 Jerslev"
"Ron Bertelsen"	"Blekingevej 285
3273 Gandrup"
"Frans Østergaard"	"Marthavej 22
2066 Esbjerg"
"Otto Paulsen"	"Spanteloft Allé 9
8481 Malling"
"Fru Solvej Berg"	"Apollogade 75
6724 Bolderslev"
"Ronja Carlsen-Johnsen"	"C.F. Møllersstræde 32
6719 Rungsted Kyst"
"Hr Nicklas Lind"	"Valby Langstræde 446
9163 Dybvad"
"Hr Morten Steffensen"	"Valby Langvej 2
3112 Bogense"
"Patrick Jakobsen"	"Paduastræde 23
4205 Nyborg"
"Lennarth Eriksen"	"Grækenlandsvej 63
7849 Jystrup"
"Pete Jakobsen"	"Esthersvej 155
7859 Bjæverskov"
"Kim Nilsson"	"Tromsøgade 2
6333 Snedsted"
"Univ.Prof. Frida Kjær"	"Toftøje Allé 70
2461 Løgstør"
"Jonathan Knudsen-Johansen"	"Hellasvej 553
3635 Blommenslyst"
"Nadia Kristoffersen"	"Harwichvej 51
4786 Hejls"
"Ronja Jørgensen"	"Bragesstræde 791
7792 Fakse Ladeplads"
"Bob Larsen"	"Jyllinge Allé 22
7302 Hjørring"
"Winni Andresen"	"Knuthenborgvej 4
4456 Rødvig Stevns"
"Nicoline Dam"	"Haydnsvej 9
5910 Broager"
"Asta Olsen"	"Bandholmvej 79
8112 Ærøskøbing"
"Matthias Jepsen"	"Helsinkivej 249
4971 Randbøl"
"Åbjørn Christiansen"	"Krokodille Allé 279
9827 Millinge"
"Klara Svendsen"	"Fælledgade 9
1510 Stenderup"
"Frida Karlsen"	"Søndervig Allé 243
5934 Klampenborg"
"Ronja Bertelsen"	"Thurebyholm Allé 26
6895 Bjæverskov"
"Ronja Ravn"	"Kanslervej 84
1435 Vestervig"
"Randi Toft"	"Korinthvej 75
4195 Tjele"
"Fru Sofia Holst"	"James Grievegade 78
2602 Munkebo"
"Connie Mathiesen"	"Heibergsvej 5
6432 Bredebro"
"Frida Nissen"	"Trekløverstræde 671
7087 Ørum Djurs"
"Margit Kristensen-Holst"	"Sandbjergvej 9
2891 Hvidovre"
"Nils Jakobsen"	"Derbygade 69
7150 Nexø"
"Dr. Cirkeline Petersen"	"Rostock Allé 8
9415 Toftlund"
"Dr. Joakim Christensen"	"Svankærvej 31
3773 Spøttrup"
"Kirstin Lassen"	"Hvidkildegade 20
2350 Gelsted"
"Ronja Thygesen"	"Telemarksvej 661
9625 Glostrup"
"Yngve Schmidt"	"Kærager Allé 11
8599 Strandby"
"Carla Lind"	"Kalkbrænderihavnsvej 31
1346 Allinge"
"Prof. Gertrud Rasmussen"	"Lundbyes Allé 450
8945 Hasle"
"Kjeld Berg"	"Merløsevej 809
4533 Stouby"
"Kjeld Christensen-Petersen"	"Hornbækvej 35
1307 Rømø"
"Esmarelda Jacobsen"	"Tåsingestræde 8
7577 Fårvang"
"George Christiansen"	"Majrosestræde 790
5107 Nexø"
"Dr. Yvonne Steffensen"	"Morgendug Allé 8
5988 Tjæreborg"
"Mogens Olsen"	"Puggaardsvej 6
2941 Snertinge"
"Ronni Lauridsen-Holm"	"Kyringegade 9
5368 Ranum"
"Univ.Prof. Susanne Overgaard"	"Peiters Allé 5
2904 Knebel"
"Oda Eriksen-Bech"	"Nygade 9
2057 Samsø"
"Fru Dagmar Johansen"	"Mårumgade 71
3281 Bække"
"Univ.Prof. Line Jacobsen"	"Oxfordgade 1
7223 Glamsbjerg"
"Tilde Andreasen"	"Remisegade 4
1486 Præstø"
"Univ.Prof. Klavs Jepsen"	"Tudsemindegade 638
7390 Højer"
"Nikolaj Jørgensen"	"Vejle Allé 765
9860 Flemming"
"Dr. Finn Jessen"	"Elsdyrs Allé 72
8906 Allingåbro"
"Lærke Kristensen"	"Skyttegård Allé 574
2373 Middelfart"
"Ronni Paulsen"	"Lejrevej 6
3142 Brande"
"Univ.Prof. Mike Eriksen"	"Aberdeengade 2
8008 Vesløs"
"Jonathan Nilsson-Søndergaard"	"Amagerbrovej 646
2448 Greve Strand"
"Lene Gregersen-Toft"	"Egemarkevej 21
1157 Stokkemarke"
"Carlo Dam"	"Fåborgvej 4
3822 Sørvad"
"Prof. Sara Nørgaard"	"Vennemindegade 74
7017 Slangerup"
"Michala Møller"	"Kjærstrupvej 88
9158 Sønder Felding"
"Prof. Lærke Dam"	"Ålekistegade 3
7090 Væggerløse"
"Dr. Winnie Winther"	"Gerlevgade 44
5248 Rønne"
"Silje Iversen-Steffensen"	"Hellebækvej 5
8758 Them"
"Ronnie Lauritsen-Lind"	"Toftøjestræde 3
8336 Øster Ulslev"
"Dr. Zahra Kristoffersen"	"Moldaugade 25
7786 Skjern"
"Univ.Prof. Ursula Hermansen"	"Spinderivej 40
1585 Rungsted Kyst"
"Rebecca Thorsen"	"Vagtmestergade 49
3602 Åbyhøj"
"Catrine Nissen"	"Birkedommervej 5
7664 Asnæs"
"Prof. Gerda Mathiasen"	"Gerlevvej 9
1662 Gjerlev"
"Dr. Erling Johansen"	"Sorgenfristræde 89
7339 Svinninge"
"Marie Johnsen"	"Birkholmvej 37
2850 Trustrup"
"Louise Kjær"	"Antoinettevej 6
4366 Gjerlev"
"Laura Bertelsen"	"Egebæksvej 5
9555 Bylderup-Bov"
"Ronny Andresen-Hermansen"	"Krausesgade 240
9776 Vestervig"
"Ruth Winther"	"Harrestrupvej 5
6963 Hejnsvig"
"Astrid Østergaard"	"Syriensvej 1
7144 Bolderslev"
"Prof. Tommy Holst"	"Morgendug Allé 15
4210 Vejstrup"
"Holger Kristoffersen-Rasmussen"	"Borgmester Jensensgade 99
2375 Sønderborg"
"Gunner Friis"	"Landgildevej 5
6730 Farum"
"Julius Lauritsen"	"Thekla Allé 71
4955 Farum"
"Gurli Thygesen"	"Egelykkevej 618
9035 Årslev"
"Dr. Oliver Brandt"	"Orgelbygger Allé 326
9511 Gørding"
"Prof. Zelma Klausen"	"Vallekildevej 7
1116 Juelsminde"
"Ronny Dam"	"Bevtoftvej 7
5340 Nordborg"
"Fru Alma Schultz"	"Tietgens Allé 697
5866 Fakse"
"Emilie Toft"	"Blåmunke Allé 291
5446 Karby"
"Laus Danielsen"	"Mellemtoftegade 605
2721 Roslev"
"Dr. Jarl Andreasen"	"Raffinaderivej 616
6605 Møldrup"
"Gunner Mortensen"	"Gråbynkevej 29
1527 Solrød Strand"
"Clavs Brandt"	"Padua Allé 270
8795 Oure"
"Prof. Annemette Karlsen"	"Lønborgstræde 38
8571 Sæby"
"Univ.Prof. Asger Lauridsen"	"Østersøgade 5
2829 Gentofte"
"Tobias Winther"	"Hestemøllevej 2
8243 Stenstrup"
"Ronny Schou"	"Nordborgstræde 5
4304 Sindal"
"Kjeld Christiansen-Holm"	"Beategade 31
9125 Fejø"
"Regitse Brandt-Christensen"	"Tingskrivergade 1
8280 Tjele"
"Simone Lauritsen"	"Brivej 551
8735 Bøvlingbjerg"
"Josefine Frandsen"	"Tirsbækgade 857
1341 Eskebjerg"
"Hr Kristian Knudsen"	"Klingseyvej 90
5354 Storvorde"
"Johannes Karlsen-Nielsen"	"Valløvej 28
1207 Virum"
"Daniel Christoffersen"	"Rødtjørne Allé 700
2238 Vrå"
"Paul Kjær"	"Javagade 5
6138 Melby"
"Rikke Christoffersen"	"Krudtmøllegårdsvej 320
6559 Vils"
"Rosa Henriksen-Gregersen"	"Landskronavej 356
7763 Spenstrup"
"Ingelise Andreasen"	"Mysundevej 937
2892 Ørbæk"
"Univ.Prof. David Kristiansen"	"Gudenåstræde 929
3851 Tranbjerg J"
"Frank Christensen"	"Sofie Brahesvej 777
6602 Allingåbro"
"Hr Alvin Gregersen"	"Selevej 753
8359 Vojens"
"Agnes Jakobsen"	"Engskiftegade 869
1107 Slangerup"
"Aksel Rasmussen"	"Vesterfælledvej 86
3272 Skørping"
"Annette Lauridsen"	"Engskiftevej 43
3323 Brønderslev"
"Frank Knudsen"	"Kabbelejevej 1
5070 Ruds Vedby"
"Majken Petersen-Friis"	"Odense Allé 558
4139 Gadstrup"
"Rosa Kristiansen"	"Blågårdsvej 99
3119 Ølsted"
"Joakim Pedersen"	"Øresundsgade 382
3333 Ringe"
"Ofelia Schultz"	"Bangertsvej 51
6800 Nibe"
"Univ.Prof. Asta Dahl"	"Lille Fredensvej 747
5150 Bording"
"Fru Regitze Østergaard"	"Frimesterstræde 7
2118 Frederikshavn"
"Univ.Prof. Anna Lauritsen"	"Bellisgade 914
7008 Søborg"
"Steen Schou"	"Solitude Allé 28
1251 Tim"
"Vera Rasmussen"	"Saxovej 108
3824 Mørke"
"Fru Yda Paulsen"	"Klintegade 376
7473 Ryslinge"
"Univ.Prof. Zara Schou"	"Pernillevej 521
6814 Spøttrup"
"Ruben Holst"	"Jernæble Allé 9
3020 Harpelunde"
"Mark Toft"	"Colbjørnsensstræde 642
1008 Fejø"
"Emma Winther"	"Valby Langgade 2
6181 Rask Mølle"
"Christina Poulsen"	"Hambrosstræde 668
4166 Gudme"
"Inga Møller"	"Vordingborg Allé 5
5593 Kastrup"
"Tom Andresen"	"Stadilvej 9
4201 Svinninge"
"Lars Thorsen"	"Dybbøls Allé 364
6565 Jyllinge"
"Søs Jacobsen"	"Lupinstræde 875
2104 Gentofte"
"Pete Rasmussen"	"Støbegodsgade 66
8540 Bredebro"
"Univ.Prof. Ernst Laursen"	"Weimarvej 7
4756 Auning"
"Ruben Kjær"	"Agerlandsvej 11
2912 Hundested"
"Steve Vestergaard"	"Elsdyrsgade 3
2963 Årslev"
"Joachim Bach"	"Danneskiold-Samsøesvej 94
6322 Marslev"
"Verner Hermansen"	"Roskilde Allé 7
8439 Rømø"
"Kirstin Andresen"	"Drejer Allé 754
4906 Fjerritslev"
"Ditte Christoffersen-Holst"	"Siljangade 832
1887 Fredericia"
"Nicoline Lind"	"Rosbæksgade 82
5702 Them"
"Ove Bruun"	"Gerlevvej 625
1871 Balle"
"Prof. Villads Danielsen"	"Valby Lang Allé 49
9598 Løkken"
"Ivan Mikkelsen"	"Burmeisters Allé 82
5154 Spenstrup"
"Ruben Overgaard"	"Norgesmindegade 3
4106 Aabenraa"
"Fru Mille Schultz"	"Rubinolavej 81
5285 Holeby"
"Poul Schou"	"Hellelidenstræde 591
4267 Askeby"
"Univ.Prof. Steven Carlsen"	"Mandelvej 2
8460 Assens"
"Victoria Nissen-Andresen"	"Nannas Allé 916
3443 Klemensker"
"Ingelise Carlsen"	"Krudtmøllegårdsgade 535
5800 Sæby"
"Britta Winther"	"Sokkelunds Allé 637
8479 Sønder Omme"
"Zenia Lund"	"Perlestikkervej 52
4177 Gedser"
"Peder Christiansen"	"Christen Bergsgade 9
5282 Juelsminde"
"Fru Søs Krogh"	"Førslevvej 28
8247 Lunderskov"
"Rune Hansen-Larsen"	"Brigårdenvej 7
5949 Nyborg"
"Dr. Stine Holm"	"Hansstedvej 28
8586 Herlev"
"Tina Kristensen"	"Ilford Allé 26
3956 Hurup Thy"
"Dr. Annette Kristiansen"	"Frederikssunds Allé 18
9751 Toftlund"
"Birger Nilsson-Berg"	"Hastingsgade 7
2058 Hundslund"
"Randi Pedersen"	"Moldaugade 948
6136 Hovborg"
"Bjarne Holm"	"Fælledgade 6
5513 Liseleje"
"Ove Lind"	"Østervej 7
5842 Ølstykke"
"Hr Sonny Nilsson"	"Vigerslevvej 622
3730 Ejstrupholm"
"Stina Jacobsen"	"Grønnevej 39
8042 Greve"
"Rune Henriksen"	"Tømmergravsvej 4
6330 Eskilstrup"
"Prof. Erna Andersen"	"Travemündevej 14
9198 Fredericia"
"Dr. Jørgen Paulsen"	"Tallinngade 5
1963 Vejers Strand"
"Elin Henriksen"	"Egemarkestræde 5
1173 Skagen"
"Helen Pedersen"	"Mellemtoftegade 2
4402 Frederikssund"
"Ronny Jakobsen"	"Mjøsens Allé 3
8223 Tjæreborg"
"Malthe Koch"	"Krausesvej 8
2720 Tølløse"
"Cathrine Olsen"	"Thorshavnsgade 561
6225 Frøstrup"
"Einar Olsen"	"Serbiens Allé 39
2560 Dalmose"
"Zacharias Gregersen"	"Sigbrits Allé 920
4706 Rørvig"
"Rune Karlsen"	"Lodivej 577
1722 Grenaa"
"Kjeld Steffensen"	"Korsikavej 5
6507 Nysted"
"Erna Bach"	"Dunkerque Allé 966
7195 Virum"
"Nicolai Christoffersen"	"Tonemestervej 477
2645 Langeskov"
"Nicolaj Christensen"	"Tromsø Allé 801
2406 Lemvig"
"Birgitte Lauritsen-Kristensen"	"Sternberggade 491
1154 Langebæk"
"Ursula Holm"	"Jellingevej 958
6135 Vils"
"Hr Martin Mortensen"	"Vestre Kirkegårdsstræde 35
9713 Hurup Thy"
"Ingelise Lund"	"Falkevej 160
1141 Tønder"
"Karen Nilsson"	"Jernæblestræde 10
8191 Trige"
"Rune Svendsen"	"Marengostræde 12
7633 Virum"
"Fru Louise Lind"	"Amsterdamvej 827
5447 Ålbæk"
"Bertram Poulsen-Poulsen"	"Hvidbjerggade 792
4961 Bjæverskov"
"Alma Andreasen"	"Smørumgade 92
7306 Nørre Alslev"
"Univ.Prof. Christoffer Schultz"	"Kildebrøndegade 28
5250 Juelsminde"
"Nicoline Lassen"	"Slutteristræde 85
7195 Hvidovre"
"Frank Søndergaard"	"Skelmosevej 46
9795 Egernsund"
"Univ.Prof. Ron Bertelsen"	"Saxovej 8
3606 Ans by"
"Benedikte Jespersen"	"Engdalsgade 71
2933 Gislev"
"Gunner Lund"	"Rønningsvej 4
1294 Askeby"
"Ruth Dahl"	"Oldermandsvej 7
8743 Rødkærsbro"
"Dr. Nils Madsen"	"Høstgildestræde 28
7426 Svendborg"
"Klara Schmidt"	"Koldingstræde 5
6343 Fårevejle"
"Jørgen Knudsen"	"Vigerslev Godsvej 29
9324 Klovborg"
"Tilde Lauridsen"	"Hjortholmsvej 3
6095 Hejnsvig"
"Josefine Lauritsen"	"Næstvedgade 25
4765 Humble"
"Connie Sørensen"	"Ceylongade 1
6665 Asaa"
"Dr. Dina Schultz"	"Birkholm Allé 961
5327 Vejby"
"Prof. Birger Holst"	"Veras Allé 40
1858 Fredensborg"
"Thea Nissen"	"Ekvipagemestervej 6
9468 Strandby"
"Ruth Jakobsen"	"Falkegade 122
2245 Fredericia"
"Thea Kristensen"	"Bulgariensgade 66
4283 Rømø"
"Karina Steffensen"	"Hermodsgade 5
1654 Hvalsø"
"Elisabeth Skov"	"Nøjsomhedsvej 12
9486 Vejen"
"Emil Laursen"	"Saxhøjvej 8
3243 Suldrup"
"Annette Jeppesen"	"Letlands Allé 585
6801 Hirtshals"
"George Henriksen"	"Abildgaardsvej 21
9093 Nørre Alslev"
"Dr. Jacqueline Møller"	"Østre Teglvej 8
6285 Østbirk"
"Maria Petersen"	"Mariehamnvej 293
6378 Bogø By"
"Alf Nilsson"	"Borgmester Jensensvej 244
1313 Rønde"
"Ruth Overgaard"	"Lindegade 834
7857 Vejers Strand"
"Grethe Winther"	"Myggenæsvej 3
2277 Ørbæk"
"Ruben Steffensen"	"Heklasvej 129
4915 Aars"
"Ivan Kjær"	"Kløvermarks Allé 6
4891 Rødding"
"Univ.Prof. Marlene Frandsen"	"Vester Voldvej 774
7433 Aars"
"Asger Thygesen"	"Edel Sauntesvej 73
1737 Dannemare"
"Stefan Jessen"	"Blåmejsestræde 538
6620 Store Heddinge"
"Karla Brandt"	"Ingrid Mariegade 5
9353 Hårlev"
"Univ.Prof. Tina Jeppesen"	"Postholdervej 3
2585 Gedsted"
"Lucas Mathiesen"	"Toftøjevej 1
6471 Gilleleje"
"Ruth Simonsen"	"Morbærvej 908
6480 Ranum"
"Prof. Bob Iversen"	"Skovstjernevej 3
7231 Gram"
"Josefine Friis"	"Bulgariensgade 761
6171 Køge"
"Benjamin Thygesen"	"Torben Oxesgade 1
1874 Skals"
"Jon Andresen"	"Ulvefod Allé 3
1633 Hundslund"
"Verner Christoffersen"	"Kaliforniensvej 488
7407 Nykøbing M"
"Tom Møller-Kjeldsen"	"Øresundsmotorenvej 19
9545 Holme-Olstrup"
"Prof. Jean Kristensen"	"Vestermarksstræde 36
1801 Nørager"
"Fru Dagny Hermansen"	"Messina Allé 189
6349 Tjele"
"Hr Elias Kjeldsen"	"Bernstorffsvej 492
4638 Lemvig"
"Ruth Steffensen"	"Oceanvej 903
7475 Bække"
"Doris Thorsen"	"Kurlandsvej 91
3623 Nimtofte"
"Vivian Mikkelsen-Svendsen"	"Strindbergsstræde 416
7828 Ryomgård"
"Kirstin Olesen"	"Blåmejsevej 5
2226 Videbæk"
"Richardt Thygesen"	"Torben Oxesvej 372
9395 Aars"
"Victor Jørgensen"	"Refshalevej 520
7930 Sjællands Odde"
"Dr. Doris Kristensen"	"Smørumgade 43
4481 Sæby"
"Tommy Jessen"	"Dalbygade 4
1319 Randers"
"Beth Kristiansen"	"Lembergvej 490
3178 Frederikshavn"
"Prof. Line Lauridsen"	"Neapelvej 554
7911 Langeskov"
"Ruth Thomsen"	"Ågerupvej 147
1780 Mørkøv"
"Dr. Lena Jensen"	"Tinggade 207
2317 Branderup"
"Dr. Mille Rasmussen"	"Vagtmestergade 8
9435 Sjællands Odde"
"Dr. Elna Nilsson"	"Australiensvej 685
2614 Ulstrup"
"Andrea Danielsen-Knudsen"	"Belgiensvej 99
4654 Århus"
"Fru Oda Frandsen"	"Gimlesgade 745
4870 Tranekær"
"Erik Bruun"	"Frankrigsgade 61
4426 Egå"
"Prof. Bjarne Schultz"	"Dyvekesvej 557
9551 Ærøskøbing"
"Maren Nielsen"	"Krimsgade 74
1451 Nørreballe"
"Oda Schmidt-Thomsen"	"Moselstræde 7
5889 Stenderup"
"Sabine Holst"	"Nøkkerosevej 473
5975 Svebølle"
"Åbjørn Kristensen"	"Krystalvej 53
5875 Svenstrup"
"Patrick Eriksen"	"Risbyholmvej 20
4691 Østermarie"
"Frederikke Lund"	"Rævestræde 41
5438 Glumsø"
"Pete Schou"	"Mag Allé 173
3952 Ringkøbing"
"Trine Petersen"	"Tietgensvej 430
6798 Skjern"
"Leif Jørgensen-Johnsen"	"Holstebrostræde 3
5284 Aars"
"Tejs Rasmussen"	"Hardenbergvej 274
6993 Harpelunde"
"Paul Bruun"	"Tøndebindervej 799
3363 Højbjerg"
"Fru Nicoline Kristiansen"	"Brynhildevej 65
1681 Brørup"
"Sabine Rasmussen"	"Roshagevej 2
5490 Bording"
"Helen Clausen"	"Grønagervej 646
6563 Skagen"
"Hr Laus Kristiansen"	"Store Strandvej 481
4821 Brønderslev"
"Oscar Lind"	"Lundbyesvej 95
4502 Stouby"
"Univ.Prof. Ove Henriksen"	"Store Strandstræde 560
5904 Gudbjerg"
"Jimmy Bruun"	"Smørumgade 5
1733 Haderup"
"Charlotte Bech"	"Platanvej 285
5114 Ryslinge"
"Otto Olesen"	"Hastingsvej 7
1857 Jerup"
"Ursula Christensen"	"Løngangstræde 413
5728 Jægerspris"
"Merete Sørensen"	"Lundtoftevej 3
1686 Karrebæksminde"
"Sam Clausen"	"Skarøvej 305
6356 Sommersted"
"Fru Susanne Olesen"	"Bygårdvej 626
3854 Vejers Strand"
"Emil Olesen"	"Hvidkildegade 7
4295 Fakse Ladeplads"
"Ivan Nilsson"	"Bavnehøjstræde 87
1384 Fakse"
"Anders Klausen"	"Vanløse By Allé 281
5264 Glostrup"
"Paul Ravn-Karlsen"	"Webers Allé 995
7966 Hinnerup"
"Jim Bach-Toft"	"Gunløgsgade 260
8596 Viby J"
"Lene Bertelsen"	"Slusestræde 513
7868 Ørnhøj"
"Hr Adam Jørgensen"	"Dyvekesstræde 764
7204 Skive"
"Arne Vestergaard"	"Silkevej 472
4438 Bedsted Thy"
"Sam Jespersen"	"Sassnitzvej 9
5333 Vadum"
"Hr Philip Winther"	"Landvindingsvej 485
2377 Tårs"
"Dr. Karlo Simonsen"	"Ejderstedvej 27
8601 Jerslev"
"Univ.Prof. Andrea Kristensen"	"Hammerensstræde 467
5022 Ebberup"
"Hr Johnny Clausen"	"Løgæblestræde 48
9680 Trige"
"Anne Simonsen"	"Brofogedstræde 664
6720 Thorsø"
"Univ.Prof. Frederik Iversen"	"Brøndkærvej 56
9052 Hanstholm"
"Agnes Berg"	"Svankærvej 16
7807 Asaa"
"Dr. Alf Mathiasen"	"Ledagerstræde 4
5962 Toftlund"
"Leonora Friis"	"Rådvadsvej 5
3201 Vejers Strand"
"Sanne Lauridsen"	"Ebbe Rodesvej 94
1125 Bøvlingbjerg"
"Esben Schou"	"Nystræde 4
5331 Vestbjerg"
"Lea Nielsen-Paulsen"	"Vejlevej 2
4570 Bogense"
"Tonny Clausen"	"Stubmøllevej 9
3265 Vallensbæk Strand"
"Frida Kristiansen"	"Vognmagervej 30
7983 Borup"
"Univ.Prof. Stine Lauridsen"	"Bygmestervej 4
9881 Vils"
"Helle Klausen"	"Gullandsstræde 6
2001 Sejerø"
"Carla Lund"	"Wesselsvej 97
1449 Gørding"
"Prof. Tim Koch"	"Holtevej 53
2004 Gørlev"
"Benthe Koch"	"Musholmvej 592
9896 Brønderslev"
"Sanne Overgaard"	"Karensvej 424
1287 Sjællands Odde"
"Gustav Thorsen-Olesen"	"Slotsfogedgade 4
2307 Møldrup"
"Nils Jepsen"	"Hvidkildestræde 5
1509 Hadsund"
"Prof. Lene Skov"	"Indiastræde 932
8039 Tureby"
"Natasja Sørensen"	"Halgreensvej 572
5756 Engesvang"
"Dr. Tilde Carlsen"	"Fælledgade 138
2055 Dannemare"
"John Andersen"	"Svanemøllevej 5
6191 Skælskør"
"Tim Steffensen"	"Rørholmsvej 27
7174 Gjerlev"
"Hr Palle Winther"	"Rosenlundsvej 2
8201 Arden"
"Tanja Andreasen-Rasmussen"	"Stoltenbergs Allé 57
1399 Helsinge"
"Sanne Steffensen"	"Herjedalvej 8
9213 Helsinge"
"Dr. Amalie Eriksen"	"Jollevej 332
1576 Esbjerg"
"Randi Olsen"	"Hjertensfrydsstræde 21
7151 Hanstholm"
"Steve Sørensen-Kristoffersen"	"Hemsedalsstræde 19
8787 Asperup"
"Margrethe Møller"	"Fuglagergade 3
4921 Vanløse"
"Fru Malou Brandt"	"Nebraskastræde 833
2479 Hellebæk"
"Elias Friis"	"Thyras Allé 168
6031 Balle"
"Ronja Poulsen"	"Billesborgvej 7
5845 Haslev"
"Osvald Jensen"	"Krudtmøllegårdsgade 646
1514 Kirke Eskilstrup"
"Univ.Prof. Rebecca Poulsen"	"Ravneholmsvej 467
7839 Sønder Omme"
"Sanne Svendsen"	"Trekløvergade 799
5590 Borup"
"Kirstin Schmidt"	"Belle de Boskoopstræde 3
8270 Regstrup"
"Dr. John Jeppesen"	"Samsø Allé 313
3933 Gentofte"
"Bjarne Jepsen"	"Bredelands Allé 7
3728 Klovborg"
"Prof. Elisabeth Andresen"	"Stubmøllevej 47
4705 Munkebo"
"Grethe Nilsson"	"Egilsvej 6
2263 Nordborg"
"Rune Iversen"	"Mørkhøjvej 4
2563 Gelsted"
"Ragnar Nørgaard-Thomsen"	"Valmuevej 389
7606 Brædstrup"
"Fru Jannie Paulsen"	"Monradsstræde 10
5021 Føvling"
"Bjarne Laursen"	"Teglholmstræde 5
3092 Liseleje"
"Sara Petersen"	"Skaffer Allé 176
3399 Saltum"
"Minna Iversen"	"Eschrichtsstræde 31
4825 Bevtoft"
"Ruth Henriksen"	"Trondhjemsgade 41
6962 Christiansfeld"
"Olfert Dam"	"Rebekkavej 3
3370 Viby Sjælland"
"Søren Jørgensen"	"Nystedgade 1
6133 Lintrup"
"Helge Søndergaard"	"Ribegade 992
3399 Broby"
"Michael Jørgensen"	"Store Kannikestræde 729
1047 Melby"
"Lærke Winther"	"Lundtoftegade 62
5059 Årslev"
"Univ.Prof. Finn Thygesen"	"Emblasvej 6
8136 Gedser"
"Mille Schultz"	"Ulrik Birchsstræde 65
8217 Vestervig"
"Sara Rasmussen"	"Gransangervej 4
2066 Øster Assels"
"Frederik Hermansen"	"Kongelundsvej 152
6597 Jyllinge"
"Edith Clausen"	"Øresund Parkvej 67
2126 Billund"
"Kenny Bach"	"Vestre Kirkegårdsvej 5
8261 Kirke Eskilstrup"
"Prof. Danny Carlsen"	"Lodivej 8
4696 Gilleleje"
"Simone Jacobsen"	"Adel Allé 7
9734 Ansager"
"Joachim Olsen"	"Lerchenborgstræde 36
4326 Glostrup"
"Elna Mathiasen"	"Rumæniensvej 7
1262 Stenstrup"
"Sørine Mathiesen"	"Gåsevej 60
4380 Maribo"
"Univ.Prof. Ludvig Clausen"	"Syriensvej 62
5343 Tommerup"
"Sarah Bach"	"Milosvej 9
2372 Snekkersten"
"Joachim Knudsen"	"Bomhusstræde 3
1225 Dybvad"
"Laust Lind"	"Rysensteensvej 6
7602 Sorring"
"Agnes Johnsen"	"Morbærvej 7
9565 Vejby"
"Ebbe Holst"	"Broksøstræde 593
6917 Vestervig"
"Aksel Pedersen"	"Eriksvej 218
5005 Værløse"
"Laurits Vestergaard"	"Tranevej 25
3632 Ugerløse"
"Pernille Larsen-Jacobsen"	"Ahornsgade 6
8521 Vadum"
"Aage Kjær-Møller"	"Middelgrundsvej 3
9408 Gistrup"
"Univ.Prof. Ofelia Mathiesen"	"Panumsvej 512
4115 Esbjerg"
"Sarah Henriksen"	"Liselundvej 890
6693 Skævinge"
"Stefan Pedersen"	"Skarøvej 93
3576 Måløv"
"Elna Kjeldsen"	"Reinettestræde 1
6167 Harboøre"
"Prof. Kirsten Johnsen"	"Løv Allé 60
7479 Frederiksværk"
"Anders Thorsen"	"Albaniensstræde 474
8594 Spjald"
"Inger Holst"	"Tværagervej 1
2259 Vamdrup"
"Børge Dam"	"Stefansstræde 579
6187 Fur"
"Fru Sandra Skov"	"Lejregade 4
2561 Jerslev"
"Nicolaj Kjeldsen"	"Bangsbovej 1
8099 Svaneke"
