"ავთანდილ გაბელია"	"ლიხაურის ქ. 13, ახალციხე" 
"ევგენია დვალიშვილი"	"მარტყოფის ქ. 52, ხაშური"
"დოდო ნატროშვილი"	"მანგლისის ქ. 96, სიღნაღი"
"გოგი ნუცუბიძე"	"დვალის ქ. 89, ნინოწმინდა"
"ბონდო ზურაბაშვილი"	"ლაგოდეხის ქ. 50, თელავი"
"ომარ ბეჟანიძე"	"ხორნაბუჯის ქ. 97, დუშეთი"
"ზურაბ ქავთარაძე"	"თმოგვის ქ. 99, გალი"
"ოთარ სიჭინავა"	"ჯვარედინის ქ. 24, კასპი"
"თორნიკე კვარაცხელია"	"ჯავახეთის ქ. 54, ახალი ათონი"
"ირაკლი მუმლაძე"	"ბესიკის ქ. 90, თერჯოლა"
"ნატო კაკაურიძე"	"გარიყული მარიამის ქ. 69, ვალე"
"დემურ მესხი"	"ხეთაგუროვის ქ. 44, მცხეთა"
"ნინელი მელქაძე"	"ნიკოლაძე ნიკოს ქ. 91, აბაშა"
"ალექს ნაცვლიშვილი"	"ბოდავის ქ. 36, თელავი"
"გვანცა გოგსაძე"	"ერისთავი კონსტანტინეს ქ. 25, სამტრედია"
"ნელი ჩაჩუა"	"ჭოპორტის ქ. 62, ხონი"
"ქრისტინე ბიბილაშვილი"	"აკეთის ქ. 23, ჯვარი"
"ნინო შამათავა"	"ბარამიძე ალექსანდრეს ქ. 31, ვანი"
"ანი ბერიაშვილი"	"ჭოველიძე თამარის ქ. 78, დმანისი"
"ანი მიქაძე"	"გომბორის ქ. 57, თბილისი"
"ნატო მერაბიშვილი"	"მანაგაძე ალეხსანდეს ქ. 27, სოხუმი"
"როლანდ გოგალაძე"	"ედისის ქ. 55, თბილისი"
"მეგი ხმალაძე"	"ერწოს ქ. 63, ზესტაფონი"
"გულნარა ბერულავა"	"ჩარხის ქ. 59, სენაკი"
"ვენერა სიმონიშვილი"	"ტყის ქ. 67, სოხუმი"
"სოფიკო ბერიძე"	"არაგვის ქ. 82, ქუთაისი"
"დიმიტრი მანაგაძე"	"დიდგორის ქ. 18, ხაშური"
"გიგლა გვასალია"	"თოიძის ქ. 66, ტყიბული"
"ცირა პაპიძე"	"ნუცუბიძის ქ. 77, ტყიბული"
"ბიძინა შამათავა"	"ქიქოძე გერონტის ქ. 24, წალენჯიხა"
"ნატო ნადირაშვილი"	"ოდესის ქ. 88, საჩხერე"
"სოფიო ბერაია"	"ჩეჩელაშვილის ქ. 87, ვალე"
"ირაკლი ბურჯანაძე"	"ტყვიავის ქ. 81, ნინოწმინდა"
"გია გურული"	"ხერგიანის ქ. 50, ახმეტა"
"პაატა პაპუაშვილი"	"გაგარინი იურის ქ. 97, ახალციხე"
"მთვარისა ვაშაკიძე"	"ზაქარიაძე სერგოს ქ. 30, სენაკი"
"აზა სხირტლაძე"	"ახალუბნის ქ. 20, კასპი"
"გოჩა ინასარიძე"	"სუვოროვის ქ. 25, ქობულეთი"
"სვეტლანა წიქარიშვილი"	"კავსაძის ქ. 16, ტყვარჩელი"
"გულნარა გაჯიევა"	"ნიზამის ქ. 46, წნორი"
"ნატო ქირია"	"ჩაქვის ქ. 47, დუშეთი"
"თამთა ტაბატაძე"	"ზარზმის ქ. 43, ოჩამჩირე"
"ალექსანდრე ნიკოლაიშვილი"	"მახათას ქ. 67, ახალქალაქი"
"ეკატერინე ჭანტურიძე"	"უფლისციხის ქ. 82, თეთრიწყარო"
"ასლან ადეიშვილი"	"ფიფიას ქ. 28, ყვარელი"
"არმენ იმერლიშვილი"	"ლიახვის ქ. 64, მარტვილი"
"თამილა ზარანდია"	"ჯიქიას ქ. 89, ქობულეთი"
"ლუიზა ღვინჯილია"	"ჩკალოვის ქ. 15, სენაკი"
"ლუბა ჯღარკავა"	"აბოვიანის ქ. 30, მარტვილი"
"კახა სარალიძე"	"აბანოს ქ. 45, ტყიბული"
"ნატო შენგელია"	"უჯარმის ქ. 44, მცხეთა"
"უშანგი ვალიევა"	"ამირანაშვილი პეტრეს ქ. 90, ვალე"
"ბადრი ზარიძე"	"ავთანდილის ქ. 54, რუსთავი"
"მიხეილ გოგიჩაშვილი"	"კვალის ქ. 68, ქარელი"
"ნარგიზა ფარტენაძე"	"დიდხევის ქ. 21, ახალციხე"
"ფატი მელიქიშვილი"	"ლომთათიძის ქ. 15, გალი"
"უშანგი კერესელიძე"	"ბუღეულის ქ. 89, სოხუმი"
"გენადი ჩიხლაძე"	"ევდოშვილის ქ. 35, ახალციხე"
"სუსანა კოპაძე"	"აგლაძე რაფიელის ქ. 65, ნინოწმინდა"
"გალინა აბდულაევი"	"მარაბდის ქ. 37, თეთრიწყარო"
"ნატო ჯიქია"	"ნინიძის ქ. 14, წალენჯიხა"
"ემზარ ჩაფიძე"	"მახათას ქ. 06, ზუგდიდი"
"გოდერძი ყოლბაია"	"ჭიათურის ქ. 01, ტყიბული"
"დიმიტრი ზედგინიძე"	"წერნაკის ქ. 05, სენაკი"
"ნინო კევლიშვილი"	"სევანის ქ. 70, მცხეთა"
"ჟანა ფუტკარაძე"	"ცაბაძე გიორგის ქ. 13, ქობულეთი"
"თენგიზ ცერცვაძე"	"ლუსიანინის ქ. 48, გუდაუთა"
"სულიკო ჯანაშია"	"ლიბანის ქ. 43, ზუგდიდი"
"მურმან დევაძე"	"ლაზოს ქ. 42, გაგრა"
"ჟანა ლიპარტელიანი"	"ლომონოსოვის ქ. 10, დედოფლისწყარო"
"ნელი ბლიაძე"	"ტყის ქ. 61, გუდაუთა"
"ტარიელ ჩადუნელი"	"ახოსპირელის ქ. 89, სოხუმი"
"უშანგი კიკვაძე"	"ხვანჭკარის ქ. 43, ამბროლაური"
"ედუარდ კაპანაძე"	"კვალეთის ქ. 97, ბათუმი"
"ვახტანგ ალანია"	"ზალდასტანიშვილის ქ. 44, ბაღდათი"
"ეკა ალადაშვილი"	"ქსნის ქ. 34, კასპი"
"ემა კურტანიძე"	"უმიკაშვილის ქ. 80, ხობი"
"როზა მერაბიშვილი"	"წულაძის ქ. 77, ცხინვალი"
"რიტა ჯაიანი"	"განთიადის ქ. 08, გაგრა"
"დიანა მარგველაშვილი"	"ხაბეიშვილის ქ. 43, ტყიბული"
"ნელი გობეჯიშვილი"	"ნასაკირალის ქ. 42, ლაგოდეხი"
"ცისანა ჭანტურიძე"	"ჟორესის ქ. 58, სამტრედია"
"მერი კობახიძე"	"ფერისცვალების ქ. 83, ამბროლაური"
"მარო სიმონიშვილი"	"ბახტრიონის ქ. 69, ოჩამჩირე"
"ასლან კონცელიძე"	"ლიუბოვსკის ქ. 72, გორი"
"ლუდმილა მოსიაშვილი"	"პეტრიაშვილის ქ. 99, წყალტუბო"
"თემურ კვანტალიანი"	"სამშვილდეს ქ. 90, ამბროლაური"
"თეა ყიფშიძე"	"აფხაზეთის ქ. 13, დუშეთი"
"როინ კალანდაძე"	"ურიცკის ქ. 93, მარტვილი"
"ვახტანგ ხარატიშვილი"	"სანდრო ეულის ქ. 85, მცხეთა"
"ნელი გოგოლაძე"	"ფიფიას ქ. 37, სამტრედია"
"გიორგი ბუკია"	"ბაზალეთის ქ. 23, რუსთავი"
"ზოია გურული"	"ხვიჩია იპოლიტეს ქ. 73, ახალქალაქი"
"ელიზა მგალობლიშვილი"	"გოძიაშვილის ქ. 78, თელავი"
"გოგიტა როსტიაშვილი"	"სევანის ქ. 97, სიღნაღი"
"ილია პეტრიაშვილი"	"გოგჩის ქ. 55, სამტრედია"
"უჩა მოსიაშვილი"	"ბაქრაძე დიმიტრის ქ. 10, სიღნაღი"
"გოგი ჯანაშია"	"გრიშაშვილის ქ. 12, სამტრედია"
"პეტრე დარბაიძე"	"ვეძათხევის ქ. 81, ხონი"
"ოთარ სეხნიაშვილი"	"სიხარულიძის ქ. 86, სიღნაღი"
"ნელი გუმბერიძე"	"ბახტრიონის ქ. 28, წყალტუბო"
"ლევან ალიევა"	"კელაპტრიშვილი ომარის ქ. 95, დმანისი"
"შოთა ბახტაძე"	"მარტვილის ქ. 50, ზუგდიდი"
"ჯულიეტა შამუგია"	"ტაბიძე ტიციანის ქ. 92, საგარეჯო"
"სონია ბერიაშვილი"	"ზუგდიდის ქ. 75, ფოთი"
"ანა შათირიშვილი"	"ხივინის ქ. 61, ქუთაისი"
"ალექს ღვინიაშვილი"	"თხინვალის ქ. 80, ახალი ათონი"
"ინგა ახალაია"	"შავთელის ქ. 94, სამტრედია"
"დემურ თავართქილაძე"	"ჰოსპიტალის ქ. 08, გორი"
"ნაზიკო ქართველიშვილი"	"გურიის ქ. 45, ვალე"
"ნელი ზედგინიძე"	"ჩერნიშევსკის ქ. 44, თეთრიწყარო"
"ზურაბ ბასილაშვილი"	"ნასაკირალის ქ. 94, ბოლნისი"
"რობერტ ყიფიანი"	"ახალდაბის ქ. 12, ახალციხე"
"ირინა მუსაევი"	"მორეტის ქ. 79, დედოფლისწყარო"
"ბორის კუპრაშვილი"	"ნარგიზის ქ. 93, სიღნაღი"
"სოფიკო კუპატაძე"	"იოსელიანის ქ. 76, კასპი"
"უჩა ვარდოსანიძე"	"მიმინოშვილი რომანის ქ. 73, ამბროლაური"
"თამუნა რუხაძე"	"ლენტეხის ქ. 98, თეთრიწყარო"
"ანნა დავითაშვილი"	"არდონის ქ. 70, წალენჯიხა"
"მურთაზ გაბედავა"	"ათონელის ქ. 54, საჩხერე"
"ნელი კარაპეტიანი"	"ლარეხის ქ. 05, ბაღდათი"
"ანა გოგალაძე"	"შავნაბადას ქ. 76, კასპი"
"ლენა გიორგაძე"	"პასტერის ქ. 27, წნორი"
"მირიან მოსიაშვილი"	"ჯანჯღავას ქ. 51, ნინოწმინდა"
"მურთაზ პატარაია"	"ნადიკვარის ქ. 47, ჭიათურა"
"იამზე არჩვაძე"	"ქობულეთის ქ. 00, სენაკი"
"ვარდო წულუკიძე"	"შარტავა ჟიულის ქ. 80, გუდაუთა"
"იამზე კაცაძე"	"სპარტაკის ქ. 55, სიღნაღი"
"შაქრო პატარაია"	"სიხარულიძის ქ. 55, ლაგოდეხი"
"ლიკა ჭანტურია"	"სხულუხიას ქ. 66, ვანი"
"ნელი კახაძე"	"ხვამლის ქ. 14, ონი"
"ვაჟა ჩაჩუა"	"დიდი ხეივნის ქ. 69, ნინოწმინდა"
"გენადი ქანთარია"	"ენუქიძის ქ. 88, ვანი"
"თამთა ვაშაკიძე"	"მტკვრის ქ. 17, ზუგდიდი"
"ბორის სეხნიაშვილი"	"დოდაშვილი სოლომონის ქ. 99, წალკა"
"როლანდ კინწურაშვილი"	"ქავთარაძის ქ. 96, ქუთაისი"
"ვიოლეტა ლომსაძე"	"მინდელის ქ. 57, ფოთი"
"აიდა ჯავახიშვილი"	"კობერიძის ქ. 76, ახალქალაქი"
"ჯუმბერ ხურცილავა"	"დობროლიუბოვის ქ. 72, ლაგოდეხი"
"თამარი შუბითიძე"	"ოსეთის ქ. 60, გაგრა"
"ნელი შამათავა"	"პისარევის ქ. 19, ფოთი"
"აკაკი საჯაია"	"რჩეულიშვილის ქ. 80, მარნეული"
"ია ზურაბაშვილი"	"კერესელიძის ქ. 41, ქუთაისი"
"თენგიზ ზურაბაშვილი"	"ანანურის ქ. 84, ჯვარი"
"ჟანა პაპიძე"	"ბოცვაძის ქ. 05, ბორჯომი"
"მირანდა კაზარიანი"	"ევდოშვილის ქ. 44, აბაშა"
"სოფია მეფარიშვილი"	"კოკინაკის ქ. 74, თელავი"
"ბექა გაჯიევი"	"რუსთაველის ქ. 71, დუშეთი"
"კონსტანტინე გოგალაძე"	"ალიხანიანის ქ. 37, თერჯოლა"
"ნიკა ოქროპირიძე"	"სართანიას ქ. 61, რუსთავი"
"ნელი შენგელია"	"უმიკაშვილის ქ. 97, ბაღდათი"
"ავთანდილ ბერიანიძე"	"ექიმის ქ. 17, ლაგოდეხი"
"ვახტანგ არველაძე"	"მშველიძის ქ. 48, დუშეთი"
"გოჩა ლობჟანიძე"	"მიჩურინის ქ. 75, ბოლნისი"
"მეგი ქანთარია"	"ჩიტაძის ქ. 43, გარდაბანი"
"ელენე გაგუა"	"აგარის ქ. 62, მარტვილი"
"ვასილ არაბიძე"	"დუტუ მეგრელის ქ. 03, დუშეთი"
"ლალი ცუცქირიძე"	"გუმათჰესის ქ. 15, ტყიბული"
"იზა ჯანიაშვილი"	"შროშის ქ. 57, რუსთავი"
"რომან ხვედელიძე"	"მაღალაშვილის ქ. 72, ახმეტა"
"ნელი ჩაჩანიძე"	"ნანეიშვილი ვლადიმერის ქ. 86, წალკა"
"ირინა გელაშვილი"	"ვირსალაძის ქ. 55, საგარეჯო"
"ლია ნასყიდაშვილი"	"სუვოროვის ქ. 51, გარდაბანი"
"გოდერძი კაპანაძე"	"ახმეტის ქ. 48, ყვარელი"
"კლარა ყოლბაია"	"ბერბუქის ქ. 54, ოჩამჩირე"
"ვერა გოგია"	"პალიასტომის ქ. 44, ქობულეთი"
"ოლია კოხრეიძე"	"ანტონოვსკაიას ქ. 28, გუდაუთა"
"დათო გულიაშვილი"	"ვაზისუბნის ქ. 65, თეთრიწყარო"
"ვახტანგ კოპაძე"	"ჯანაშვილის ქ. 07, გუდაუთა"
"ნანა გორგაძე"	"გარეჯელი დავითის ქ. 96, ოჩამჩირე"
"ნესტან თოფურია"	"წერნაკის ქ. 35, ზესტაფონი"
"ლევან ნადირაძე"	"წყაროს ქ. 46, გალი"
"ეკა ხურცილავა"	"ქურდიანი ზაქარიას ქ. 30, სამტრედია"
"როზა ნადირაშვილი"	"თეძმის ქ. 86, წალენჯიხა"
"შორენა რაზმაძე"	"ბორბალოს ქ. 27, თეთრიწყარო"
"სონია ხმალაძე"	"შინდისის ქ. 11, საგარეჯო"
"ბესარიონ ჩოხელი"	"ღრმაღელეს ქ. 97, გაგრა"
"დათო გოგუა"	"ნიშნიანიძის ქ. 77, წყალტუბო"
"სვეტლანა მელიქიშვილი"	"ლანჩხუთის ქ. 48, დუშეთი"
"ლილი კერესელიძე"	"ჩიქოვანის ქ. 90, მარნეული"
"ნესტან კოპალიანი"	"შანშიაშვილის ქ. 64, გალი"
"თათია კოპაძე"	"თეძმის ქ. 04, ბათუმი"
"უჩა აფციაური"	"აბანოს ქ. 21, ხაშური"
"ლიკა კონცელიძე"	"ჯვარედინის ქ. 58, სიღნაღი"
"როლანდ ცანავა"	"ხორნაბუჯის ქ. 31, თეთრიწყარო"
"გოგა მაზმიშვილი"	"გორგასლის ქ. 83, ბოლნისი"
"სიმონ ზარქუა"	"იყალთოს ქ. 10, ქუთაისი"
"რატი ელიზბარაშვილი"	"ბზიფის ქ. 26, ზუგდიდი"
"გიორგი ბრეგვაძე"	"მიტინგის ქ. 63, რუსთავი"
"ზაურ სვანიძე"	"მამკოდის ქ. 01, ახმეტა"
"ნესტან ნიქაბაძე"	"გაფრინდაულის ქ. 61, აბაშა"
"ინგა ბერიაშვილი"	"მექანიზაციის ქ. 29, ტყვარჩელი"
"ქეთინო ნატროშვილი"	"ერისთავ-ხოშტარიას ქ. 95, ონი"
"ილია პაპავა"	"პატარძეულის ქ. 77, დუშეთი"
"თეონა შამუგია"	"ბელიაშვილი აკაკის ქ. 53, გარდაბანი"
"ლეილა როსტიაშვილი"	"გოძიაშვილის ქ. 03, კასპი"
"ელგუჯა შონია"	"წერნაკის ქ. 85, წყალტუბო"
"ფიქრია ზარქუა"	"ურეკის ქ. 12, ზესტაფონი"
"ვარდო სხირტლაძე"	"თამარაშვილი მიხეილის ქ. 64, სენაკი"
"კახა ბუჩუკური"	"ზეინკლის ქ. 89, წალკა"
"ნესტან პატარაია"	"ცაბაძე გიორგის ქ. 42, ქუთაისი"
"იზოლდა ახვლედიანი"	"ლომთათიძის ქ. 16, ბათუმი"
"თამუნა ჭიჭინაძე"	"ბაგინეთის ქ. 12, ქუთაისი"
"ნათელა ხარაიშვილი"	"კვანტალიანის ქ. 44, ზუგდიდი"
"გია კონცელიძე"	"თაყაიშვილი სესილიას ქ. 60, ტყიბული"
"ანი ტალახაძე"	"ორპირის ქ. 03, წნორი"
"მერაბ ანთაძე"	"მიტინგის ქ. 35, ჭიათურა"
"გრიგოლ იმერლიშვილი"	"ბახმაროს ქ. 35, ბორჯომი"
"ნაზი ალანია"	"სამღერეთის ქ. 57, ვანი"
"ვლადიმერ კახაძე"	"თოფურიას ქ. 76, ფოთი"
"ნესტან შამუგია"	"წერნაკის ქ. 13, სენაკი"
"ანნა მღებრიშვილი"	"ჩოჩუას ქ. 62, გუდაუთა"
"თამარ გორგოძე"	"მეტეხის ქ. 95, ბათუმი"
"თამარ ნიკოლაიშვილი"	"მოსტკოვის ქ. 35, დედოფლისწყარო"
"ომარ იმერლიშვილი"	"ჭოველიძე თამარის ქ. 51, რუსთავი"
"მალხაზ კანდელაკი"	"წყალსადენის ქ. 06, ფოთი"
"მარინა ოქრუაშვილი"	"ხოშარაულის ქ. 96, ახალქალაქი"
"ციური თაბაგარი"	"ბროლოსანის ქ. 59, ლანჩხუთი"
"მინდია რუხაძე"	"ცაგარელი არჩილის ქ. 25, ზუგდიდი"
"ჟუჟუნა კარაპეტიანი"	"ცისარტკელას ქ. 58, თბილისი"
"ნესტან ხარჩილავა"	"დოესის ქ. 19, ქუთაისი"
"პავლე გიორგობიანი"	"სხვიტორის ქ. 60, ბაღდათი"
"ემზარ მიქავა"	"ლოჭინის ქ. 18, მარნეული"
"ნადია მელიქიძე"	"ბურძგლას ქ. 34, საჩხერე"
"ლიანა ახალაძე"	"უზნაძე დიმიტრის ქ. 72, ჯვარი"
"იური არჩვაძე"	"ზიჩი მიხაის ქ. 29, ტყიბული"
"გურამ შავაძე"	"ხარაბაძის ქ. 38, ოზურგეთი"
"სალომე ღარიბაშვილი"	"როდენის ქ. 67, სიღნაღი"
"ინგა მგალობლიშვილი"	"დეკაბრისტების ქ. 17, სოხუმი"
"ეკატერინე ჭანტურიძე"	"ადიგენის ქ. 81, გორი"
"ნიკა გურეშიძე"	"პეტრიწის ქ. 19, ამბროლაური"
"ლელა ქარცივაძე"	"მტკვრის ქ. 77, მცხეთა"
"ნიკა ილურიძე"	"თმოგველის ქ. 99, ჯვარი"
"სალომე კობაიძე"	"კონსტიტუციის ქ. 41, ახალციხე"
"ხვიჩა ხვედელიძე"	"სულხანიშვილის ქ. 47, ზესტაფონი"
"ვალენტინა ჯანჯღავა"	"ტყეკულტურის ქ. 89, საგარეჯო"
"მირიან ჭიჭინაძე"	"გახოკიძის ქ. 53, ხონი"
"კარინე ქაჯაია"	"იალბუზის ქ. 65, სამტრედია"
"მანანა სარალიძე"	"თიანეთის ქ. 65, თბილისი"
"არჩილ როგავა"	"ლომონოსოვის ქ. 07, ხობი"
"ნიკა იაშვილი"	"ბერიკაშვილის ქ. 96, ფოთი"
"ვაჟა გობეჯიშვილი"	"ანჯაფარიძე ვერიკოს ქ. 36, ამბროლაური"
"ასმათ მეტრეველი"	"ღუდუშაური ოთარის ქ. 57, ახმეტა"
"მიხეილ კილასონია"	"ვეკუა ვოვას ქ. 30, ლანჩხუთი"
"გიგლა ლომიძე"	"ნაგომარის ქ. 15, ამბროლაური"
"ნატალია ბუკია"	"იზაშვილის ქ. 46, გალი"
"ლილი კობიაშვილი"	"ფოსტის ქ. 33, ბორჯომი"
"თამუნა ჩიქოვანი"	"მაჩხაანის ქ. 93, ახალციხე"
"დარეჯან ვაშაყმაძე"	"მახათას ქ. 65, გალი"
"პავლე ტყემალაძე"	"ყვარელის ქ. 78, თბილისი"
"ნიკა კარაპეტიანი"	"პატარიძის ქ. 78, ახალქალაქი"
"მარიამ სირაძე"	"ქართველიშვილი ლევანის ქ. 79, თერჯოლა"
"თეა მელიქიძე"	"ჩაჩავას ქ. 83, მცხეთა"
"ომარ წულაია"	"მაღალაშვილის ქ. 07, ლანჩხუთი"
"ვახტანგ ბარბაქაძე"	"ყიფშიძის ქ. 52, ბაღდათი"
"ნარგიზა გაჯიევა"	"ზედამზის ქ. 44, ხონი"
"ქეთინო ფარტენაძე"	"ანანურის ქ. 71, გაგრა"
"რობერტ შელია"	"აკოფიანის ქ. 04, თელავი"
"პავლე ვაშაყმაძე"	"ავლაბრის ქ. 84, მცხეთა"
"რიმა ფიცხელაური"	"ალექსიძე მერაბის ქ. 87, გალი"
"ნიკა კვინიკაძე"	"შინდისის ქ. 20, ვალე"
"რუსუდან დვალი"	"საბაშვილის ქ. 93, წალკა"
"სუსანა გურეშიძე"	"თეკლათის ქ. 73, გაგრა"
"არჩილ მელიქიშვილი"	"დაისის ქ. 53, ამბროლაური"
"ომარ შუბითიძე"	"მელიქიშვილის ქ. 73, მარტვილი"
"აიდა ჭანტურიძე"	"მარტყოფის ქ. 38, თელავი"
"მადონა ლომთაძე"	"წალენჯიხის ქ. 91, გურჯაანი"
"ლალი წიქარიშვილი"	"სამამულო ომის გმირების ქ. 39, თბილისი"
"რეზო მელიქიშვილი"	"ფოცხიაშვილი მორისის ქ. 64, წყალტუბო"
"თამაზ ცუცქირიძე"	"გოგიბერიძის ქ. 88, სამტრედია"
"ნიკა კოხრეიძე"	"ჩოხელის ქ. 31, გარდაბანი"
"მაია ლომთაძე"	"ხრამჰესის ქ. 41, ბაღდათი"
"ბექა მოსიაშვილი"	"ვეკუა ვოვას ქ. 78, წყალტუბო"
"რევაზ ბაკურაძე"	"კაკაბაძე პოლიკარპეს ქ. 87, ვანი"
"ხვიჩა ჯიშკარიანი"	"ჯამბულის ქ. 52, ჭიათურა"
"ბელა ტაკიძე"	"კვესეთის ქ. 69, სამტრედია"
"ნიკა ჟვანია"	"გოთუას ქ. 24, ბოლნისი"
"გოგიტა ლომთაძე"	"კვალეთის ქ. 90, ბათუმი"
"მაკა მიმინოშვილი"	"სკოლის ქ. 25, ფოთი"
"მამუკა დანელია"	"აფანასიევის ქ. 12, ახალი ათონი"
"ნიკა ჟვანია"	"გუმათის ქ. 29, მცხეთა"
"ზაქარია ფუტკარაძე"	"ტიბაანის ქ. 66, ლაგოდეხი"
"ვასილ გვაზავა"	"წერნაკის ქ. 81, ქარელი"
"ბიძინა პეტროსიანი"	"ქინქლაძე ოთარის ქ. 70, ჭიათურა"
"მაია ავალიანი"	"თაყაიშვილი სესილიას ქ. 04, თეთრიწყარო"
"ელმირა შელია"	"ტიხონოვის ქ. 24, ბოლნისი"
"ბორის თავართქილაძე"	"გუდაურის ქ. 48, ჯვარი"
"ვანო ბრეგვაძე"	"ჯვარედინის ქ. 48, მარტვილი"
"ნესტან შენგელია"	"კომუნის ქ. 30, მარნეული"
"ზაირა მინდიაშვილი"	"ახმეტელის ქ. 82, გაგრა"
"ნიკა ფიცხელაური"	"გ. სვანიძის ქ. 85, ყვარელი"
"სვეტლანა ფოფხაძე"	"ნუცუბიძის ქ. 96, ახალი ათონი"
"ქეთინო კუხიანიძე"	"ჩიქოვანის ქ. 66, მცხეთა"
"კლარა კუჭუხიძე"	"მებაღიშვილის ქ. 97, გურჯაანი"
"ლუდმილა ფხალაძე"	"ურიდიას ქ. 24, ვალე"
"მირანდა ურუშაძე"	"წინამძღვრიშვილის ქ. 92, თერჯოლა"
"ბესიკ ადამია"	"ჭიჭინაძე ზაქარიას ქ. 51, წალენჯიხა"
"თამაზ ჩაკვეტაძე"	"გედევანიშვილის ქ. 91, ბოლნისი"
"მარინე ახალაია"	"ქუმსიაშვილის ქ. 91, ყვარელი"
"ილია მახათაძე"	"როსტომაშვილის ქ. 59, ახალი ათონი"
"ნიკა ღვინჯილია"	"ნათაძის ქ. 65, მცხეთა"
"ნანული მახათაძე"	"ბუღეულის ქ. 91, დმანისი"
"ჟანა სამუშია"	"გორგასლის ქ. 85, სენაკი"
"ნუგზარ ჩიხლაძე"	"წყაროს ქ. 83, საგარეჯო"
"აზა ხმალაძე"	"სანავარდოს ქ. 69, მარტვილი"
"გიორგი მარგველაშვილი"	"ხმელნიცკის ქ. 58, ცხინვალი"
"დიანა სიხარულიძე"	"ბერიკაშვილის ქ. 31, სოხუმი"
"ნიკა გოგსაძე"	"აბაშიძე ჰეიდარის ქ. 43, სიღნაღი"
"ვიქტორ ქამადაძე"	"მამასახლისოვის ქ. 15, ახალი ათონი"
"ლუდმილა ზარანდია"	"უჯარმის ქ. 71, საგარეჯო"
"ნიკა ჯანაშია"	"ბადიაურის ქ. 08, გუდაუთა"
"ილია სხირტლაძე"	"ტყავის ქ. 19, ბორჯომი"
"ვენერა ჯავახიშვილი"	"ზვარეთის ქ. 54, ყვარელი"
"შალვა პაპაშვილი"	"ჩიკვანიას ქ. 92, სამტრედია"
"ვერა შარიქაძე"	"საბაშვილის ქ. 35, ოზურგეთი"
"ნაირა კონცელიძე"	"რკინიგზის ქ. 86, ლანჩხუთი"
"ლალი მღებრიშვილი"	"რადიანი შალვას ქ. 28, ლაგოდეხი"
"რუსუდან გვასალია"	"ბურძგლას ქ. 07, გუდაუთა"
"როლანდ რობაქიძე"	"ზიარის ქ. 15, ფოთი"
"დალი მაღრაძე"	"სამამულო ომის გმირების ქ. 91, აბაშა"
"ნიკოლოზ ბაკურაძე"	"ცხრა აპრილის ქ. 36, თელავი"
"მირიან კაპანაძე"	"ასხინის ქ. 43, ყვარელი"
"დათო ბერიძე"	"ჭიაურელი მიხეილის ქ. 78, ახმეტა"
"იამზე სილაგაძე"	"ცხრა აპრილის ქ. 51, ვალე"
"კარლო გორგოძე"	"ჩიქობავა არნოლდის ქ. 58, აბაშა"
"გოგიტა მჭედლიძე"	"მესხიშვილის ქ. 71, საჩხერე"
"ზაურ ჭელიძე"	"ქერჩის ქ. 53, გორი"
"ქრისტინე ვაშაკიძე"	"შავსოფელის ქ. 17, დუშეთი"
"კლარა გაბუნია"	"მაჩაბელი ივანეს ქ. 91, ცაგერი"
"ელენა აბულაძე"	"დიუმა ალექსანდრეს ქ. 49, წნორი"
"ნიკოლოზ ბარბაქაძე"	"იყალთოს ქ. 00, ოჩამჩირე"
"ილია გულუა"	"შუამთის ქ. 47, ხონი"
"სონია ქათამაძე"	"ონიაშვილის ქ. 44, წალენჯიხა"
"ვეფხვია ნეფარიძე"	"ახალდაბის ქ. 92, დმანისი"
"იოსებ აფციაური"	"ზედაზნის ქ. 05, ბათუმი"
"დიანა ღვინჯილია"	"ჭრებალოს ქ. 71, ბათუმი"
"ლენა გაგნიძე"	"მამკოდის ქ. 90, ჯვარი"
"მედიკო ნებიერიძე"	"ხარაბაძის ქ. 76, თეთრიწყარო"
"პავლე გოგინაშვილი"	"ლალიონის ქ. 10, ახალქალაქი"
"მიხეილ მგალობლიშვილი"	"კოტეტიშვილი ვახტანგის ქ. 62, ახმეტა"
"ნიკოლოზ ბერულავა"	"საგარეჯოს ქ. 45, ყვარელი"
"ფატი ნიკოლეიშვილი"	"ნიორაძის ქ. 86, ხაშური"
"არმენ შველიძე"	"გაფრინდაულის ქ. 92, გაგრა"
"გიგა კუჭავა"	"სათემოს ქ. 79, თელავი"
"ლუბა ბახტაძე"	"ტატიშვილი ერეკლეს ქ. 09, ვანი"
"ჟანა ლომაძე"	"ჩოხელის ქ. 94, ონი"
"კონსტანტინე გურეშიძე"	"ნაქალაქევის ქ. 83, ბაღდათი"
"ირაკლი ჭანტურია"	"კობერიძის ქ. 24, თერჯოლა"
"ვლადიმერ ჯანაშია"	"ირბაქი ნიკიფორეს ქ. 21, ახალციხე"
"ეკა ხორავა"	"კოდალოს ქ. 07, აბაშა"
"ნიკოლოზ გოცირიძე"	"უიარაღოს ქ. 80, ვალე"
"თეიმურაზ მეფარიშვილი"	"ლაგოდეხის ქ. 92, დუშეთი"
"თორნიკე თოფურია"	"ერისთავი თორნიკეს ქ. 91, თერჯოლა"
"ვეფხვია ლორთქიფანიძე"	"ტოლენჯის ქ. 64, გუდაუთა"
