"ავთანდილ დალაქიშვილი","თვალჭრელიძის ქ. 25, ჭიათურა" 
"ჯულიეტა კონცელიძე","ფშავის ქ. 59, გორი"
"ციური მეგრელიშვილი","მარგიანი რევაზის ქ. 59, ხობი"
"თეიმურაზ მამალაძე","ხიმშიაშვილის ქ. 48, ახალი ათონი"
"ნათია ხატიაშვილი","ხიდისთავის ქ. 03, მცხეთა"
"შოთა შელია","რიონჰესის ქ. 75, ამბროლაური"
"ელიზა გელაშვილი","ხონის ქ. 43, აბაშა"
"არჩილ ჩაჩუა","ღამბაშიძის ქ. 72, წალენჯიხა"
"ლევან ფუტკარაძე","ლერმონტოვის ქ. 40, წნორი"
"როინ მინდიაშვილი","სამშვილდეს ქ. 20, სიღნაღი"
"კახა გაფრინდაშვილი","შავთელის ქ. 85, ცაგერი"
"თინა პაპიძე","სკოლის ქ. 28, ამბროლაური"
"რიმა სიხარულიძე","ინგოროყვა პავლეს ქ. 78, ახალქალაქი"
"მიხეილ დოლიძე","ენგურის ქ. 54, რუსთავი"
"ნათელა ურუშაძე","ვეძინის ქ. 84, ტყიბული"
"ნუკრი ნიქაბაძე","გუდაუთის ქ. 67, ტყიბული"
"კობა ჭანტურია","მიტინგის ქ. 24, გუდაუთა"
"ზინა წიქარიშვილი","ხიდისთავის ქ. 14, წნორი"
"ლამარა მჭედლიძე","ნინიძის ქ. 12, სიღნაღი"
"როინ მიქაბერიძე","ბოდავის ქ. 55, ლაგოდეხი"
"ჟუჟუნა სირბილაძე","მიქატაძის ქ. 70, დუშეთი"
"გალინა ნემსაძე","მაჩხაანის ქ. 94, ოზურგეთი"
"ვარდო ხორავა","მოლოკოვის ქ. 65, ტყვარჩელი"
"მარი ჯოხაძე","ყიფშიძის ქ. 28, ფოთი"
"ნუკრი გოგია","არაყიშვილი დიმიტრის ქ. 17, თეთრიწყარო"
"ელზა ქავთარაძე","ზედაზნის ქ. 10, ონი"
"ზაზა წულაია","მელიქიშვილის ქ. 57, ბორჯომი"
"რამაზ პაპიაშვილი","ხევისუბნის ქ. 06, ნინოწმინდა"
"ანიკო მაზმიშვილი","გომარეთის ქ. 96, ჯვარი"
"როინ ჟღენტი","გროზნოს ქ. 89, ახალქალაქი"
"დოდო ნაჭყებია","ტატიშვილის ქ. 11, ახმეტა"
"გოგიტა კოპალიანი","მიჩურინის ქ. 60, თერჯოლა"
"ზაურ ადუაშვილი","ლაითურის ქ. 16, ვანი"
"გიული თავაძე","ტელეგრაფის ქ. 41, მცხეთა"
"ხათუნა ნოზაძე","ჩკალოვის ქ. 56, ბათუმი"
"ზაურ პეტროსიანი","საადის ქ. 90, ზუგდიდი"
"თორნიკე სალუქვაძე","წავკისის ქ. 11, სენაკი"
"გიორგი ადეიშვილი","ახალუბნის ქ. 91, გურჯაანი"
"ხათუნა ბენდელიანი","ქინძმარაულის ქ. 00, კასპი"
"როინ ქათამაძე","ხეთაგუროვის ქ. 08, ჯვარი"
"შაქრო აბრამიშვილი","ქუთათელაძის ქ. 27, ოზურგეთი"
"გიორგი ჩოხელი","კვალის ქ. 36, ქარელი"
"ზაზა გოგსაძე","გ. სვანიძის ქ. 15, თერჯოლა"
"გოგი ხმალაძე","წნორისწყლის ქ. 46, თელავი"
"კარლო საჯაია","ელდარის ქ. 78, თელავი"
"ალექს ბრეგაძე","პისარევის ქ. 14, ონი"
"მედიკო გეგეშიძე","საქარის ქ. 21, წყალტუბო"
"ნიკა კაცაძე","ქართლის ქ. 89, ოჩამჩირე"
"გუგული კვაჭაძე","დიდგორის ქ. 37, ბორჯომი"
"როინ ჩადუნელი","ხიდის ქ. 60, ნინოწმინდა"
"სოსო ცინცაძე","ჩაისუბნის ქ. 06, ჭიათურა"
"მირიან შამუგია","ხევძმარის ქ. 08, ახალციხე"
"ვიქტორ მანაგაძე","ბალადინის ქ. 91, სამტრედია"
"ელგუჯა დავითაძე","ჯორჯაძის ქ. 93, ხაშური"
"არტურ გოგიძე","არაგვის ქ. 87, საგარეჯო"
"თეიმურაზ ბიბილაშვილი","თიანეთის ქ. 61, ზესტაფონი"
"ლამარა გელაძე","ფაბრიკის ქ. 81, ქობულეთი"
"ლიდა დანელია","მახათას ქ. 40, საჩხერე"
"რობერტ ბეგიაშვილი","ბარისახოს ქ. 74, წალენჯიხა"
"როლანდ ბერიძე","შაქრიანის ქ. 35, ქობულეთი"
"კლარა იმნაძე","აბესაძე გიას ქ. 12, ოჩამჩირე"
"გენადი ჯანაშია","ხეჩუაშვილის ქ. 71, ხობი"
"ლიანა ტაკიძე","იეთიმ გურჯის ქ. 92, საგარეჯო"
"ვიქტორ სილაგაძე","რიონჰესის ქ. 78, ახალციხე"
"ჯემალ მელიქიშვილი","კოფცოვის ქ. 26, წალენჯიხა"
"მაყვალა დალაქიშვილი","ფასანაურის ქ. 81, სოხუმი"
"რეზო ახვლედიანი","წრომის ქ. 06, ლაგოდეხი"
"გოგი ტყებუჩავა","გიორგაძის ქ. 27, თეთრიწყარო"
"რუსუდან ბახტაძე","კუმისის ქ. 05, ცხინვალი"
"როლანდ ზარანდია","ფიზკულტურის ქ. 88, ქობულეთი"
"მადონა კობახიძე","სავანელის ქ. 96, გუდაუთა"
"გელა გორგაძე","ლამისყანის ქ. 28, თბილისი"
"ნათელა ბრეგაძე","აბესაძე გიას ქ. 42, ახალციხე"
"ჯუმბერ შავაძე","სხირტლაძის ქ. 81, ვალე"
"გულნარა ბარბაქაძე","ნასაკირალის ქ. 83, ჭიათურა"
"დემურ გურგენიძე","ურეკის ქ. 72, დმანისი"
"შოთა ნიჟარაძე","ბეღლეთის ქ. 10, გურჯაანი"
"დოდო ცარციძე","ჯაბაურის ქ. 72, ოზურგეთი"
"იური კერესელიძე","ალმასიანის ქ. 61, გუდაუთა"
"როლანდ კახაძე","შორაპნის ქ. 94, წყალტუბო"
"ილია ჯანიაშვილი","კობახიძის ქ. 17, მარტვილი"
"ელზა ჭითანავა","ამირეჯიბის ქ. 29, წნორი"
"ნიკოლოზ ჩოხელი","300 არაგველის ქ. 74, ლანჩხუთი"
"არჩილ სეხნიაშვილი","ზემო ვეძისის ქ. 99, ჯვარი"
"პეტრე ადუაშვილი","ჭაბუკიანი ვახტანგის ქ. 26, გუდაუთა"
"ბონდო კობიაშვილი","შავიშვილის ქ. 02, რუსთავი"
"გოდერძი დარბაიძე","დაისის ქ. 68, თერჯოლა"
"ტარიელ ბურჯანაძე","ალმასიანის ქ. 82, ტყიბული"
"ანზორ სილაგაძე","აწყურის ქ. 46, ბათუმი"
"როლანდ კვანტალიანი","ახვლედიანი ელენეს ქ. 06, გორი"
"გენადი თოფურია","ქობულაძის ქ. 70, ბაღდათი"
"ჯაბა მამულაძე","ნაქალაქევის ქ. 22, დუშეთი"
"გულიკო მუსაევი","მესხიშვილის ქ. 87, ტყიბული"
"რევაზ კეკელიძე","ლიხაურის ქ. 82, ყვარელი"
"ნელი მუსტაფაევა","სანკტ-პეტერბურგის ქ. 29, ცაგერი"
"კახაბერ გოგალაძე","გედევანიშვილის ქ. 93, ახალი ათონი"
"ჟუჟუნა ჩუბინიძე","შავი ზღვის ქ. 27, წყალტუბო"
"გიგლა გულუა","საბადურის ქ. 75, ტყვარჩელი"
"ნათელა კევლიშვილი","იოსელიანის ქ. 69, ახალქალაქი"
"როლანდ კობახიძე","ბერბუქის ქ. 56, ოჩამჩირე"
"დიმიტრი ხორავა","ჩიტაიას ქ. 45, სენაკი"
"ვალერი ყურაშვილი","თერგის ქ. 92, გუდაუთა"
"ნელი კიკვაძე","ბეთლემის ქ. 66, თეთრიწყარო"
"მალხაზ ქარჩავა","ტყვიავის ქ. 18, მარტვილი"
"მიხეილ კაჭარავა","გუდიაშვილი ლადოს ქ. 39, ქარელი"
"მარინა ბარამიძე","მამკოდის ქ. 69, საგარეჯო"
"გიგლა ჯოხაძე","დ. ყიფიანის ქ. 23, ლანჩხუთი"
"ლამარა ლორთქიფანიძე","სიხარულიძის ქ. 60, ვალე"
"ლამარა ბექაური","ანტონოვსკაიას ქ. 99, ცხინვალი"
"როლანდ შანიძე","ბერძენიშვილის ქ. 43, თბილისი"
"ელზა ცეცხლაძე","სხულუხიას ქ. 21, სამტრედია"
"მარი პეტროსიანი","გორდის ქ. 20, ახალციხე"
"იზა ლომაძე","ალაზნის ქ. 25, ქუთაისი"
"თამარ რუხაძე","ზემო ვეძისის ქ. 71, ტყიბული"
"სოსო ნუცუბიძე","დოდაშვილი სოლომონის ქ. 30, გურჯაანი"
"გია თოდუა","წყაროს ქ. 64, აბაშა"
"თეიმურაზ ჯანელიძე","ბაგინეთის ქ. 27, ლაგოდეხი"
"ავთანდილ ახალაძე","ხოშარაულის ქ. 31, ლაგოდეხი"
"გენადი კუპატაძე","როსტომაშვილის ქ. 74, თელავი"
"როლანდ ჭიღლაძე","ხივინის ქ. 99, ლანჩხუთი"
"ვანო წერეთელი","ჩარგლის ქ. 95, ჭიათურა"
"პაატა კვარაცხელია","ვორონინის ქ. 51, ხობი"
"არჩილ შავაძე","აბაშიძე დოდოს ქ. 99, მცხეთა"
"რევაზ გაჯიევა","რთველაძის ქ. 64, წალკა"
"ლევან გულუა","გოთუას ქ. 63, გალი"
"გოდერძი ჩაფიძე","ქუთათელაძე აპოლონის ქ. 88, ხობი"
"სერგო არაბული","ბელიაშვილი აკაკის ქ. 76, ოზურგეთი"
"როლანდ გელაშვილი","მ. ლებანიძის ქ. 67, გალი"
"რამაზ ქათამაძე","ჟონეთის ქ. 25, გალი"
"როლანდ ჯალაღონია","კოდორის ქ. 69, ბოლნისი"
"არმენ ბერუაშვილი","ვეძათხევის ქ. 95, გაგრა"
"ნოდარ ბურჯანაძე","მოსე ხონელის ქ. 21, ბოლნისი"
"ციალა მათიაშვილი","ჩერქეზიშვილის ქ. 57, გალი"
"ჯუმბერ ხალვაში","ზაქარიაძე სერგოს ქ. 91, სამტრედია"
"როლანდ გიორგაძე","ბესიკის ქ. 94, გუდაუთა"
"გელა მუსაევი","ზიჩი მიხაის ქ. 30, თერჯოლა"
"ირინე გაბაიძე","ლიბანის ქ. 15, მარტვილი"
"პავლე თოლორდავა","წალკის ქ. 41, მარნეული"
"ზაქარია გრძელიშვილი","აბდუშელიშვილი მალხაზის ქ. 26, ჭიათურა"
"რომან ადეიშვილი","დოღუმბარის ქ. 79, კასპი"
"ნატალია პაპაშვილი","შურდულის ქ. 09, წნორი"
"ლუბა კუხიანიძე","ოდესის ქ. 68, ახალი ათონი"
"ზინა ენუქიძე","მუსხელიშვილის ქ. 20, გურჯაანი"
"ალექსანდრე ქარცივაძე","ტელეგრაფის ქ. 07, მცხეთა"
"მაგდა რობაქიძე","კახიანის ქ. 77, ცხინვალი"
"შალვა თურმანიძე","მინდელის ქ. 39, ქობულეთი"
"იური შუბითიძე","სურამის ქ. 47, ჭიათურა"
"მედიკო კირკიტაძე","ქინძმარაულის ქ. 39, ბორჯომი"
"მალხაზ კობერიძე","გრიშაშვილის ქ. 69, წყალტუბო"
"რომან ბერიშვილი","მეგობრობის ქ. 77, ონი"
"უჩა კუბლაშვილი","ესენინის ქ. 22, წნორი"
"არმენ კევლიშვილი","სანდრო ეულის ქ. 47, ბოლნისი"
"ნიკა ქირია","საჩხერის ქ. 91, დმანისი"
"კონსტანტინე გულუა","წინანდლის ქ. 13, ლაგოდეხი"
"ლიანა მუსტაფაევა","უმიკაშვილის ქ. 97, ქუთაისი"
"მერაბ მელიქიშვილი","კასპის ქ. 02, ტყიბული"
"ლუდმილა ხურციძე","მარჯანიშვილი კოტეს ქ. 24, სიღნაღი"
"ვაჟა სირბილაძე","გუდაურის ქ. 85, ხონი"
"ნინელი ჩოხელი","ხარაგაულის ქ. 70, ლანჩხუთი"
"რომან ბუკია","ასურეთის ქ. 80, სიღნაღი"
"არმენ კუჭუხიძე","ვეზიროვის ქ. 35, თელავი"
"ჯუმბერ ნადირაძე","ახალუბნის ქ. 59, ახალქალაქი"
"ბონდო ცანავა","ბურძგლას ქ. 12, გორი"
"მარი ღლონტი","ანჯაფარიძე ვერიკოს ქ. 90, ლანჩხუთი"
"იზა ურუშაძე","საგურამოს ქ. 01, კასპი"
"ვასილ კახიძე","ჟველაურის ქ. 65, ამბროლაური"
"კახა გოგია","ოჩამჩირის ქ. 55, საგარეჯო"
"ფატიმა ბოჭორიშვილი","გოგებაშვილის იაკობის ქ. 52, ვანი"
"ირინა კიკვაძე","შევჩენკო ტარასის ქ. 70, გურჯაანი"
"რომან კუპატაძე","ხვამლის ქ. 82, ონი"
"მაია კაკულია","კოტეტიშვილი ვახტანგის ქ. 52, თეთრიწყარო"
"ნაირა გულიაშვილი","წყალტუბოს ქ. 17, სოხუმი"
"ვასილ ჩუბინიძე","ამბროლაურის ქ. 54, გორი"
"უჩა ვალიევა","ბაგინეთის ქ. 71, მარნეული"
"ნუგზარ დავითაშვილი","მაცესტის ქ. 34, მცხეთა"
"გელა მოსიაშვილი","დოლიძის ქ. 62, ზესტაფონი"
"ზაურ მელაძე","კოდალოს ქ. 82, ჭიათურა"
"რუსუდან ნადირაშვილი","ბახმაროს ქ. 20, დმანისი"
"ოლია გრძელიშვილი","ბუხაიძის ქ. 90, ჯვარი"
"რომან პატარაია","სოხუმის ქ. 69, მცხეთა"
"თორნიკე ფიფია","ნონეშვილი იოსების ქ. 01, ზესტაფონი"
"მარიამ ნაცვლიშვილი","თაქთაქიშვილის ქ. 82, ცხინვალი"
"ლანა ლაგვილავა","ბალანჩივაძე მელიტონის ქ. 78, სოხუმი"
"სალომე ლომთაძე","ზიარის ქ. 94, ხონი"
"კონსტანტინე მანაგაძე","ფაღავა ირაკლის ქ. 31, ჯვარი"
"ფიქრია ცაავა","დიდგორის ქ. 74, რუსთავი"
"როინ კვერნაძე","ერისთავ-ხოშტარიას ქ. 47, ბაღდათი"
"ირინე მელიქიძე","ზარზმის ქ. 39, დმანისი"
"რევაზ ცერცვაძე","გულისაშვილის ქ. 83, ხობი"
"რომან ურუშაძე","დოქის ქ. 37, წალკა"
"თემურ კაკაბაძე","ბოგვის ქ. 16, ბაღდათი"
"ციცინო ოქროპირიძე","ჯაბაურის ქ. 59, გურჯაანი"
"გელა გოგიტიძე","კერესელიძე არჩილის ქ. 95, თელავი"
"ელგუჯა ცაავა","ცისკრის ქ. 20, ცაგერი"
"გოგიტა მუშკუდიანი","ნიაბის ქ. 10, თეთრიწყარო"
"გოჩა ნებიერიძე","შავსოფელის ქ. 89, ხაშური"
"ასლან პეტროსიანი","რადიანი შალვას ქ. 67, გუდაუთა"
"პეტრე ბექაური","მეგობრობის ქ. 27, თეთრიწყარო"
"სონია მამულაძე","ზედაუბნის ქ. 95, ჭიათურა"
"რომან ცხადაძე","გორკის ქ. 11, ამბროლაური"
"ზინა სიჭინავა","ჩიტაიას ქ. 59, ლანჩხუთი"
"ნანა ნაკაშიძე","ოჟიოს ქ. 08, ცხინვალი"
"ბორის ბენდელიანი","ბერბუქის ქ. 08, თეთრიწყარო"
"გოდერძი ლორთქიფანიძე","რატილის ქ. 91, ვალე"
"ვასილ ადამია","ფოცხვერაშვილის ქ. 86, ბაღდათი"
"მირანდა ნუცუბიძე","ტყის ქ. 46, ბათუმი"
"შალვა შათირიშვილი","ფარავნის ქ. 69, ყვარელი"
"რატი ნოზაძე","მეველეს ქ. 63, ამბროლაური"
"ევგენია ელბაქიძე","ბჟოლეთის ქ. 87, თბილისი"
"რომან ხატიაშვილი","ბაღნარის ქ. 11, ჯვარი"
"ვლადიმერ კაციტაძე","ფურცელაძის ქ. 69, ხობი"
"ციცინო ფიფია","გულუა გიას ქ. 78, ნინოწმინდა"
"უჩა გელაძე","მახინჯაურის ქ. 94, აბაშა"
"გიგლა სიმონიშვილი","კოჯრის ქ. 44, ვალე"
"დალი მერებაშვილი","დიდგორის ქ. 26, წალენჯიხა"
"გელა შანიძე","მუსხელიშვილის ქ. 15, მარტვილი"
"არჩილ მაღლაკელიძე","ზაქარიაძე სერგოს ქ. 61, ჭიათურა"
"კახაბერ მესხი","კლდიაშვილის ქ. 49, ბათუმი"
"ტარიელ ბენდელიანი","ცემის ქ. 49, ფოთი"
"რომან ჯოხაძე","კოდალოს ქ. 40, ხონი"
"ვიქტორ დევაძე","დიდგორის ქ. 70, სამტრედია"
"ნაზი არაბიძე","შანიძე აკაკის ქ. 18, ყვარელი"
"ალექს გორგაძე","გუნიას ქ. 56, ტყვარჩელი"
"სიმონ გოცირიძე","ინტერნატის ქ. 39, ახალი ათონი"
"მარგალიტა ახალაძე","კუპრაძის ქ. 07, საჩხერე"
"ბელა ცეცხლაძე","შავი ზღვის ქ. 31, თერჯოლა"
"სონია ქობალია","ოდესის ქ. 61, სიღნაღი"
"ნაზი ხარაიშვილი","სახოკიას ქ. 01, ცაგერი"
"ნადეჯდა გოგიტიძე","საგურამოს ქ. 54, სენაკი"
"რუსუდან ბაქრაძე","ქვიშხეთის ქ. 77, აბაშა"
"თამარი ნუცუბიძე","რომის ქ. 31, გარდაბანი"
"რუსუდან ჯინჭარაძე","ანაკლიის ქ. 15, დედოფლისწყარო"
"ნაზიკო წულუკიძე","ალადაშვილის ქ. 15, მარნეული"
"შოთა გოგინაშვილი","გვაზაურის ქ. 94, საჩხერე"
"მარია გვასალია","ჩარხის ქ. 48, წალენჯიხა"
"ემა ყიფშიძე","ლიხაურის ქ. 66, ქარელი"
"მზია ბოკუჩავა","შხეფის ქ. 60, სამტრედია"
"მერაბ ახობაძე","პიატიგორსკის ქ. 45, ახალქალაქი"
"რობერტ შათირიშვილი","ლესია უკრაინკას ქ. 29, ჯვარი"
"რუსუდან ბეჟანიძე","ფიროსმანის ქ. 93, ხობი"
"ვახტანგ ქართველიშვილი","ბაგინეთის ქ. 42, გუდაუთა"
"ზვიად გველესიანი","მარტყოფის ქ. 05, სიღნაღი"
"მერაბ კანდელაკი","ვირსალაძის ქ. 79, გურჯაანი"
"დალი ქავთარაძე","მარჯანიშვილი კოტეს ქ. 76, ჭიათურა"
"ჯაბა აფციაური","ხაზინის ქ. 17, მარტვილი"
"იზოლდა ყურაშვილი","რკინიგზის ქ. 53, ქობულეთი"
"გელა სამხარაძე","ძეგამის ქ. 69, წალკა"
"თამარ ლორთქიფანიძე","ლეჩხუმის ქ. 28, ბორჯომი"
"ომარ მესხი","კარალეთის ქ. 57, გარდაბანი"
"რუსუდან გიორგობიანი","ხრამჰესის ქ. 85, ჭიათურა"
"მირიან ჩაჩანიძე","ტყვარჩელის ქ. 62, ცაგერი"
"მურთაზ ჩუბინიძე","მამასახლისოვის ქ. 94, სამტრედია"
"გოჩა მერებაშვილი","ჩაჩავას ქ. 11, ლაგოდეხი"
"ვალერიან მერებაშვილი","ბროლოსანის ქ. 67, კასპი"
"მადონა მჭედლიშვილი","ტყვიავის ქ. 90, ტყიბული"
"მარია ლურსმანაშვილი","მესხიშვილი ალექსის ქ. 21, გურჯაანი"
"რატი ანთაძე","ტეხურის ქ. 78, გალი"
"ნათელა კვირკველია","ხახანაშვილის ქ. 25, გორი"
"ლევან პაპიძე","სხვიტორის ქ. 01, ბაღდათი"
"რუსუდან გოგოხია","ჟორესის ქ. 32, ქარელი"
"ოლია სოფრომაძე","ზეინკლის ქ. 16, რუსთავი"
"ბესიკ მაჭარაშვილი","ურიცკის ქ. 86, სოხუმი"
"ირინა მაღრაძე","ლენტეხის ქ. 13, ონი"
"დავით დავითაძე","ანტონ კატალიკოსის ქ. 79, ბოლნისი"
"გულიკო თოფურია","მესხიშვილი ალექსის ქ. 14, ლანჩხუთი"
"ლიდა ქობალია","მუხრანის ქ. 23, ლანჩხუთი"
"გულიკო გაჯიევა","ქვიშხეთის ქ. 57, წალკა"
"თორნიკე ვარდოსანიძე","კიკვიძის ქ. 95, ხონი"
"სოსო ისაევი","თოიძის ქ. 06, ბათუმი"
"რუსუდან გორგაძე","რატევანის ქ. 67, ტყვარჩელი"
"ვარდო შველიძე","როდენის ქ. 69, თელავი"
"ვეფხვია სიჭინავა","ხაჩატურიანის ქ. 72, ამბროლაური"
"დარეჯან ჯალაღონია","ბროლოსანის ქ. 45, გორი"
"ნიკოლოზ ლეჟავა","გარე კახეთის ქ. 30, აბაშა"
"ოლღა გვაზავა","ზაქარიაძე სერგოს ქ. 63, ბათუმი"
"პავლე ქაჯაია","მებაღიშვილის ქ. 37, საგარეჯო"
"იზოლდა ხარებავა","ვახტანგ VI–ის ქ. 60, ვალე"
"ვერა გვაზავა","მოსიძე ვახტანგის ქ. 72, ბორჯომი"
"გუგული მახარაშვილი","კიკვიძის ქ. 49, თბილისი"
"რუსუდან ვარშანიძე","მიქელაძე ევგენის ქ. 05, კასპი"
"ნიკა კურტანიძე","სიხარულიძის ქ. 32, წყალტუბო"
"კობა მაჭარაშვილი","ჯაბიძის ქ. 48, ზუგდიდი"
"კარინე ადამია","აბოვიანის ქ. 92, გარდაბანი"
"მანანა ცერცვაძე","იამანიძე შოთას ქ. 28, ცხინვალი"
"როლანდ ჩხეიძე","გუნიას ქ. 82, ლანჩხუთი"
"ბესარიონ ბრეგვაძე","იოსელიანის ქ. 27, გაგრა"
"კახა ალადაშვილი","ურეკის ქ. 86, წალკა"
"ომარ მათიაშვილი","მუხაძის ქ. 42, თელავი"
"თინათინ ჯიშკარიანი","ბააზოვის ქ. 93, გორი"
"რუსუდან თედორაძე","წავკისის ქ. 57, ლაგოდეხი"
"ქეთევან გოგალაძე","ოსიაურის ქ. 57, გაგრა"
"სოფიო აბრამიშვილი","თავაძე ფერდინანდის ქ. 64, საჩხერე"
"სერგო მაზმიშვილი","აბაშიძე ირაკლის ქ. 44, ამბროლაური"
"მარგალიტა ზარანდია","მთავარანგელოზის ქ. 72, ხონი"
"ნელი ჩიხლაძე","გარიყული მარიამის ქ. 42, ოჩამჩირე"
"ბიძინა წულაია","წინამძღვრიშვილის ქ. 62, ოზურგეთი"
"მალხაზ ჭანტურია","საჩხერის ქ. 20, ხობი"
"ნუცა სარქისიანი","ჟველაურის ქ. 67, თბილისი"
"დიმიტრი კაკულია","ვაზიანის ქ. 26, ფოთი"
"რუსუდან მუშკუდიანი","ზურაბიშვილი ავლიპის ქ. 20, ტყიბული"
"მარგალიტა ტაბატაძე","ქუთათელაძე აპოლონის ქ. 92, ხობი"
"სიმონ ფანცულაია","საიათნოვას ქ. 74, ყვარელი"
"ბექა ოქრუაშვილი","აკეთის ქ. 55, ქუთაისი"
"ნატალია ჯანელიძე","ჯანაშვილის ქ. 31, ბორჯომი"
"გოჩა ნადირაძე","ფურცელაძის ქ. 44, ხაშური"
"ანა კალანდია","ზიჩი მიხაის ქ. 97, სენაკი"
"კახა კურტანიძე","ლესელიძის ქ. 95, ცაგერი"
"ვახტანგ ასანიძე","აბზიანიძის ქ. 47, ოზურგეთი"
"მედიკო ნადირაშვილი","ტრაქტორის ქ. 08, ლაგოდეხი"
"რუსუდან პაპიძე","სტამბის ქ. 88, ზუგდიდი"
"ლაშა სამუშია","სათემოს ქ. 08, ლაგოდეხი"
"გივი კუპრეიშვილი","ორთაჭალის ქ. 56, ხობი"
"გალინა ხაჩიძე","აკოფიანის ქ. 80, მარნეული"
"იური სიჭინავა","ვირსალაძის ქ. 67, ნინოწმინდა"
"უჩა გრიგალაშვილი","მრევლიშვილის ქ. 08, ბორჯომი"
"თინათინ იმერლიშვილი","ლორთქიფანიძის ქ. 61, წალენჯიხა"
"ომარ აბრამიშვილი","პუშკინი ალექსანდრეს ქ. 97, თელავი"
"რევაზ ხარებავა","მარჯანიშვილი კოტეს ქ. 13, ლაგოდეხი"
"ნადია კარაპეტიანი","ჩიქობავა არნოლდის ქ. 21, ჭიათურა"
"რუსუდან სვანიძე","ტრიკოტაჟის ქ. 81, გარდაბანი"
"მაკა ბოლქვაძე","გულისაშვილის ქ. 39, ცხინვალი"
"ხვიჩა გუმბერიძე","ჩარგლის ქ. 94, დმანისი"
"ალექს არჩვაძე","ბოდბის ქ. 45, გარდაბანი"
"მიხეილ შეყილაძე","ნასიძე სულხანის ქ. 16, ცხინვალი"
"ფიქრია ლიპარტელიანი","ზაზიშვილი გიგოს ქ. 17, ბორჯომი"
"ბონდო ფიფია","ბერიკაშვილის ქ. 46, გუდაუთა"
"ნუგზარ ურუშაძე","ქსოვრელის ქ. 94, გაგრა"
"ჯონი ძიძიგური","ვარდევანის ქ. 11, თერჯოლა"
"გურამ ქარჩავა","ხარაგაულის ქ. 52, ზესტაფონი"
"რუსუდან სიმონიშვილი","ბათუმის ქ. 03, გალი"
"შოთა ცერცვაძე","ჩაილურის ქ. 22, რუსთავი"
"ნიკა მაჭარაშვილი","რაჭის ქ. 69, ჯვარი"
"ნადია ნუცუბიძე","ნიაბის ქ. 89, ყვარელი"
"ნუგზარ ზარანდია","თეთნულდის ქ. 94, თერჯოლა"
"თამარა ბერაძე","პეტრე იბერის ქ. 66, ლაგოდეხი"
"ალექსანდრე გაგნიძე","სურამის ქ. 22, ფოთი"
"ანა ჯალაღონია","წულუკიძის ქ. 32, ბათუმი"
"თამილა თოფურია","ღრმაღელეს ქ. 90, სიღნაღი"
"ინეზა ალანია","ბევრეთის ქ. 35, ლანჩხუთი"
"რუსუდან ქობულაძე","ქებურიას ქ. 51, გორი"
"როინ არაბული","ჩერქეზიშვილის ქ. 76, დუშეთი"
"ციალა ხურციძე","გლინკას ქ. 31, მარტვილი"
"ასლან კანდელაკი","ვახტანგ VI–ის ქ. 54, ონი"
"ელგუჯა თავაძე","არარატის ქ. 51, დუშეთი"
"ანზორ ილურიძე","წიკლაურის ქ. 19, მცხეთა"
"კლარა ჭიჭინაძე","ტუსკიას ქ. 75, ხობი"
"გურამ მუშკუდიანი","აბასთუმანის ქ. 67, გაგრა"
"მამუკა ლაცაბიძე","ირბაქი ნიკიფორეს ქ. 12, თელავი"
"შაქრო მოსიაშვილი","ხანძთელი გრიგოლის ქ. 56, ცხინვალი"
"რუსუდან ჯანიაშვილი","მამრაძის ქ. 12, ოზურგეთი"
"ვანო ასანიძე","ქუთათელაძის ქ. 99, ნინოწმინდა"
"მარგალიტა ელიზბარაშვილი","ტვიშის ქ. 88, თბილისი"
"ბონდო ონიანი","წყაროს ქ. 73, ახმეტა"
"კარლო ასათიანი","განთიადის ქ. 56, მარტვილი"
"დათო ირემაშვილი","პანკისის ქ. 23, ზუგდიდი"
"მიხეილ ჭითანავა","წაღვერის ქ. 24, ოზურგეთი"
"ცისანა შანიძე","პალიასტომის ქ. 55, ცხინვალი"
"მინდია მგელაძე","უბილავას ქ. 64, მცხეთა"
"ქეთინო ღლონტი","გომბორის ქ. 99, ხობი"
"რუსუდან ჯოხაძე","ჭაბუკიანი ვახტანგის ქ. 08, გაგრა"
"ეკატერინე გვენეტაძე","ბოჭორიშვილის ქ. 61, ხონი"
"მთვარისა ბეჟანიშვილი","დარკვეთის ქ. 29, დმანისი"
"პეტრე ირემაძე","პეტრიაშვილის ქ. 54, წალკა"
"ნანი კვანტალიანი","ცაიშის ქ. 84, ცხინვალი"
"ოლღა წიქარიშვილი","ბალანჩივაძე მელიტონის ქ. 34, ახმეტა"
"ბონდო გოგუაძე","სარკინეთის ქ. 77, ლაგოდეხი"
"ვახტანგ ბოლქვაძე","ჩახრუხაძის ქ. 06, ოჩამჩირე"
"გიული არველაძე","ტყვარჩელის ქ. 47, დმანისი"
"ქრისტინე ფხაკაძე","მარი ნიკოს ქ. 87, ქარელი"
"სალომე აბრამიშვილი","აწყურის ქ. 08, ზუგდიდი"
"როლანდ შამუგია","ქართლის ქ. 59, გაგრა"
"თამთა შენგელია","კუპრაძის ქ. 26, მცხეთა"
"მიხეილ ოქრუაშვილი","ჯავის ქ. 38, ქობულეთი"
"არმენ ფირცხალავა","მეუნარგიას ქ. 36, ზესტაფონი"
