ავთანდილ ელიზბარაშვი18 
დიანა ჭანტურია      19 
ვასილ კარაპეტიანი   5  
სალომე ქარცივაძე    4  
დოდო ზარქუა         1  
რიტა ნიქაბაძე       0
ნატო ანთაძე         19 
ომარ მჭედლიშვილი    18 
პაატა ღარიბაშვილი   17 
ნათია ხიმშიაშვილი   20 
ასმათ გაგნიძე       3  
ნელი გელაძე         18 
ნაირა მუსაევი       17 
ზინა ბუჩუკური       20 
კახაბერ გრძელიშვილი 12 
ანი ლომსაძე         6
ნატო ასათიანი       19 
ბესიკ წურწუმია      8  
ბადრი წულუკიძე      0  
ვარდო ლეჟავა        12 
ცირა ძნელაძე        7  
ანზორ ბერიაშვილი    6  
არჩილ ჯანელიძე      0  
მურმან ჭიჭინაძე     9  
ნიკოლოზ დვალი       9  
ლიკა ნადირაძე       16
ნატო ბერულავა       15 
გვანცა ჩინჩალაძე    13 
ელენე ქევხიშვილი    11 
ნაზი ალანია         10 
ჯემალ შათირიშვილი   16 
დემურ მგელაძე       12 
თამუნა ნაცვლიშვილი  17 
თენგიზ ტყემალაძე    10 
რომან შავაძე        5  
იზოლდა მუსაევა      20
ნატო ბოჭორიშვილი    8  
ლიანა კილაძე        5  
გურამ მამულაშვილი   7  
ვენერა ჯღარკავა     15 
გვანცა ფიცხელაური   16 
ოთარ ნიკოლაიშვილი   7  
ვახტანგ მგალობლიშვილ6  
რიმა ზურაბაშვილი    14 
ნანი კუჭუხიძე       8  
ელზა ღვინჯილია      2
ნატო გოგიძე         9  
მაყვალა ნაცვლიშვილი 0  
ფიქრია ხელაძე       15 
როლანდ სურმანიძე    19 
იზა ჭკადუა          17 
გელა ლიპარტელიანი   12 
ბესარიონ ყაველაშვილი11 
როზა ნიქაბაძე       5  
ვალერიან ოთარაშვილი 0  
ნუგზარ მელაძე       13
ნატო დალაქიშვილი    11 
ია ვალიევა          15 
ხატია ქარცივაძე     0  
ხათუნა ბლიაძე       5  
სალომე მგელაძე      2  
დალი მიქაძე         7  
ელენე კერესელიძე    20 
თამილა გიორგობიანი  17 
გელა კობერიძე       11 
რომან ჩხარტიშვილი   17
ნატო მგალობლიშვილი  4  
მზია პატარაია       17 
არტურ სურმანიძე     13 
რუსუდან გაბელია     7  
გელა ლიპარტელიანი   20 
ვაჟა თოლორდავა      3  
როლანდ კერესელიძე   17 
დალი გაჯიევა        19 
რატი გაჯიევი        11 
თამილა პეტრიაშვილი  0
ნატო სიმონიშვილი    13 
პაატა სიმონიშვილი   6  
სონია ჩაკვეტაძე     3  
სოსო ბერიძე         4  
ვალერიან კალანდაძე  4  
ირინა ფოფხაძე       18 
სვეტლანა კურტანიძე  1  
რობერტ ჩხარტიშვილი  18 
ლალი ჭიჭინაძე       6  
ნორა ნეფარიძე       0
ნატო შათირიშვილი    2  
გოჩა გრიგორიანი     3  
მარიკა ოთარაშვილი   18 
გიგლა წიკლაური      2  
მურმან გველესიანი   7  
ავთანდილ იაშვილი    14 
ხვიჩა ღურწკაია      2  
სოფიკო ფარცვანია    11 
მაგდა ქართველიშვილი 16 
მარინა ხაჩიძე       10
ნელი არაბიძე        14 
ვერა ბექაური        4  
მედეა ბერიშვილი     19 
ჟანა შეყილაძე       2  
გოგა ბიგვავა        10 
ჯემალ ჭეიშვილი      20 
ილია ცუცქირიძე      2  
ელგუჯა დიასამიძე    9  
რომან გოგია         15 
ანიკო მიქაძე        15
ნელი დავითაშვილი    19 
მეგი იმერლიშვილი    4  
გიული ზედგინიძე     13 
პეტრე ადამია        9  
ბადრი გოგიშვილი     9  
რობერტ ბიგვავა      17 
გია აბდულაევი       5  
სონია კაზარიანი     12 
კლარა ალანია        19 
თამილა ტყეშელაშვილი 18
ნელი ინასარიძე      10 
მირიან მამულაძე     17 
ცირა შავაძე         18 
გოგა იაშვილი        6  
ზაირა ბერიანიძე     1  
ელგუჯა სურმანიძე    19 
ზურაბ სვანიძე       10 
ზაირა გოგიძე        19 
ბადრი კალანდია      12 
მედიკო შუბითიძე     11
ნელი რობაქიძე       13 
ნინელი გაჯიევა      13 
დარეჯან ფუტკარაძე   8  
ტატიანა რამიშვილი   18 
ვიოლეტა გვასალია    0  
რევაზ იობიძე        14 
მთვარისა ჩიქოვანი   7  
ოთარ ბეგიაშვილი     5  
ვახტანგ მაჭავარიანი 19 
ივანე ფუტკარაძე     2
ნელი რუხაძე         6  
ნუნუ მესხი          20 
ოლია ნეფარიძე       10 
ლეილა გოგინაშვილი   12 
ბადრი ტყეშელაშვილი  13 
ხათუნა პატარაია     15 
გელა ლობჯანიძე      3  
ვიქტორ შავაძე       4  
ნიკოლოზ ჟორჟოლიანი  0  
დიმიტრი ფარტენაძე   19
ნელი ფხალაძე        13 
ლიკა ცინცაძე        17 
ნაირა ახალაია       16 
ნადია ანთაძე        8  
გენადი ქამადაძე     18 
იოსებ თავართქილაძე  11 
ზაქარია ბარბაქაძე   13 
რეზო ქარდავა        6  
ლენა დავითაშვილი    1  
ავთანდილ ალადაშვილი 16
ნელი ხოზრევანიძე    2  
ციური ილურიძე       15 
სერგო ბრეგაძე       3  
ნათია ჯალაღონია     15 
სიმონ ჩხეიძე        0  
პავლე კირთაძე       3  
ბადრი პატარაია      19 
მარიამ მიქაბერიძე   1  
ნაირა ოქროპირიძე    18 
ლამარა ახალაძე      20
ნესტან ნიკოლაიშვილი 19 
ვახტანგ გვასალია    11 
ნონა კვირკველია     7  
მარიკა ბერაძე       16 
ქეთინო მამულაშვილი  7  
გვანცა ლიპარტელიანი 13 
მიხეილ ბალიაშვილი   9  
ქეთინო ლატარია      3  
ზაზა იმნაძე         0  
გვანცა ალიევი       0
ნესტან რეხვიაშვილი  20 
ნუკრი ხიზანიშვილი   1  
ნონა ხაჭაპურიძე     13 
ნელი დალაქიშვილი    9  
გენადი რუხაძე       9  
ბიძინა ხაჩატურიანი  7  
ანა არჩვაძე         11 
ემა ანდღულაძე       9  
მარო ხარჩილავა      20 
ნუგზარ სიმონიშვილი  12
ნესტან ქათამაძე     5  
სოფიო კირვალიძე     7  
ხატია ნაკაშიძე      11 
როინ იობიძე         9  
ნიკა კოპალიანი      19 
სულიკო კიკნაძე      8  
რიტა კვაჭაძე        13 
ნოდარ დოლიძე        18 
თამუნა კაკაურიძე    12 
ლამზირა გოგიჩაიშვილი3
ნესტან ჩიხლაძე      3  
თამარა ბეჟანიშვილი  15 
რამაზ მიქაძე        9  
ლალი ხარაბაძე       15 
ნანა მოდებაძე       9  
ფიქრია აბდულაევი    16 
კობა კონცელიძე      14 
გვანცა ლობჟანიძე    2  
მაგდა ბერიაშვილი    3  
კახა მჭედლიშვილი    12
ნესტან ცაავა        20 
მირანდა ქარცივაძე   18 
ნიკა გაგუა          15 
ასმათ ჩაფიძე        0  
ნატო ცხადაძე        7  
ვალერიან აბრამიშვილი9  
მაია აბდულაევი      14 
ფატიმა ვასაძე       17 
ვალერიან პატარაია   13 
ციცინო მგალობლიშვილი12
ნიკა დალაქიშვილი    20 
დავით ცუცქირიძე     11 
მინდია ყიფშიძე      1  
ხათუნა ბურდული      16 
ნაზი ცუცქირიძე      12 
გოჩა თაბაგარი       6  
გოგი გოგიჩაიშვილი   18 
ალექსანდრე აბულაძე  15 
ალექს მეტრეველი     3  
ზაირა მაღლაკელიძე   20
ნიკა დევაძე         15 
ვალერი სულაბერიძე   19 
ირმა მაჭარაშვილი    20 
ეკა არჩვაძე         5  
კონსტანტინე წიკლაური15 
თამარი მახარაძე     6  
გიგლა ბერუაშვილი    17 
ვასილ ჭითანავა      3  
მინდია ლობჟანიძე    6  
იზოლდა ვაშაკიძე     20
ნიკა კარაპეტიანი    2  
მაყვალა ცეცხლაძე    11 
კონსტანტინე რობაქიძე16 
გენადი ჩაჩანიძე     15 
სიმონ ახალაძე       18 
ალექს ძიძიგური      13 
ნონა ნასყიდაშვილი   7  
ზინა მიქაძე         11 
ემზარ საჯაია        14 
კობა შონია          16
ნიკა მგელაძე        14 
ზინა მიქავა         10 
ანნა წულაია         2  
კარინე ბოჭორიშვილი  17 
სოფიო კირკიტაძე     6  
კარინე ლორთქიფანიძე 0  
ოლია იაშვილი        4  
გელა გაფრინდაშვილი  10 
ვარდო გოგუა         13 
ლევან ტყებუჩავა     9
ნიკა მელაძე         18 
ნიკა ღამბაშიძე      0  
თათია მეგრელიშვილი  15 
თეიმურაზ შარიქაძე   2  
ჟენია ჩიქოვანი      2  
ოთარ მანაგაძე       12 
ნანი გუმბერიძე      18 
ჯულიეტა შუბითიძე    8  
სერგო დევაძე        1  
ნაირა სულაბერიძე    16
ნიკა მიქაძე         14 
ანჟელა ნაკაშიძე     11 
ბიძინა დუმბაძე      20 
მინდია თავართქილაძე 8  
ოლია ნატროშვილი     1  
ლელა ხიმშიაშვილი    5  
ამირან ხარაზიშვილი  9  
მარინე აბრამიშვილი  10 
ცირა შამუგია        8  
დავით იობიძე        4
ნიკა ტურაშვილი      10 
ქეთევან ვასაძე      11 
მედეა ლატარია       6  
მაია კუპრეიშვილი    18 
რატი მელქაძე        5  
ხატია დალაქიშვილი   16 
კობა ცინცაძე        12 
თამილა რეხვიაშვილი  17 
ბექა ჯიქია          17 
ქეთინო პაპიძე       6
ნიკოლოზ გაბელია     0  
ზოია დოლიძე         18 
უშანგი ჯინჭარაძე    9  
ირაკლი არაბიძე      3  
მაგდა გოგუა         5  
ვერა მელაძე         8  
ალექს ენუქიძე       19 
გულიკო კობახიძე     3  
ნონა იმნაძე         5  
ვიოლეტა კალანდია    15
ნიკოლოზ დავითაძე    2  
გვანცა ტყეშელაშვილი 10 
ნათელა ხარშილაძე    17 
დარეჯან ავალიანი    1  
ლიზა ბერაია         14 
სიმონ გორგილაძე     8  
მალხაზ გობეჯიშვილი  6  
როლანდ სირბილაძე    2  
შაქრო ხუციშვილი     3  
ლალი ჩხეიძე         18
ნიკოლოზ კონცელიძე   2  
ნათია მეფარიშვილი   12 
ვალერი დოლიძე       3  
ქეთევან ვარდოსანიძე 0  
ასმათ ჭანტურია      17 
თემურ ჯანაშია       20 
ხვიჩა ქარჩავა       3  
ლიანა ქანთარია      3  
ლია მამულაშვილი     5  
ცისანა ჭეიშვილი     9
ნიკოლოზ ლაბაძე      16 
ლუდმილა ცომაია      9  
გოდერძი ხარაიშვილი  6  
ანჟელა ხაჩიძე       18 
გოგი ბერუაშვილი     20 
მერაბ ვაშაკიძე      1  
ლაშა ქარჩავა        7  
გრიგოლ კირვალიძე    17 
კობა ნაკაშიძე       12 
ლიდა ავალიანი       4
ნიკოლოზ მათიაშვილი  10 
ანნა პაპუაშვილი     3  
კლარა ასანიძე       5  
ზაქარია კუპატაძე    4  
ბესარიონ ქაჯაია     17 
ჟუჟუნა ბიგვავა      20 
ნონა ჭითანავა       16 
შაქრო ჩხიკვაძე      13 
სერგო ბერუაშვილი    1  
ლიკა კვინიკაძე      10
ნიკოლოზ რობაქიძე    8  
ეთერ ხიზანიშვილი    9  
თამთა ქაჯაია        20 
ზაქარია ხარაიშვილი  14 
ალა ნადირაძე        12 
ხვიჩა მამალაძე      6  
პეტრე ხარებავა      14 
ოთარ კოპალიანი      6  
მაია მუმლაძე        0  
ბექა ზოიძე          19
ნიკოლოზ ტალახაძე    4  
ვერა შენგელია       18 
ბელა ბერიაშვილი     18 
ლიკა არჩვაძე        11 
გივი როგავა         19 
თენგიზ ავალიანი     0  
ბიძინა კილასონია    17 
მარგალიტა მაზმიშვილი8  
პეტრე ბეჟანიშვილი   14 
ლენა კობერიძე       1
ნიკოლოზ ღვინჯილია   1  
ეთერ ხმალაძე        19 
ნიკა მამულაძე       15 
ემზარ კაჭარავა      17 
ვალერი ნუცუბიძე     3  
ლაშა ცირეკიძე       10 
მალხაზ დემეტრაშვილი 20 
ნუკრი შავაძე        0  
სვეტლანა ნატროშვილი 16 
ნუკრი მიქავა        13
ნინელი აბრამიშვილი  14 
ნორა ცირეკიძე       15 
სვეტლანა მოსიაშვილი 16 
ნაზიკო თედორაძე     13 
რუსუდან თედორაძე    2  
ცირა ხვედელიძე      3  
სოფიო სიჭინავა      1  
ზურაბ ქათამაძე      1  
ქეთევან შამუგია     2  
მირიან პაპიძე       13
ნინელი ავალიანი     9  
ეკატერინე ბერიაშვილი4  
ტატიანა ვეკუა       12 
კლარა ჟღენტი        18 
გია რობაქიძე        9  
ასლან გოგიშვილი     18 
მირანდა თოლორდავა   11 
ქეთევან ჯანაშია     19 
ნათელა პატარაია     7  
კობა ნაცვლიშვილი    15
ნინელი ბიბილაშვილი  14 
აიდა ჯიშკარიანი     16 
ნუკრი ნაკაშიძე      1  
ცისანა ბერძენიშვილი 7  
მაია გოგოლაძე       19 
ნუკრი ლობჟანიძე     2  
გულიკო ლურსმანაშვილი8  
ფატიმა კირვალიძე    0  
დარეჯან იობიძე      0  
ტატიანა კობაიძე     14
ნინელი დიასამიძე    7  
ია კახაძე           18 
შაქრო გაბედავა      0  
ციალა ღარიბაშვილი   13 
ბიძინა გოცირიძე     18 
დავით ბერიაშვილი    17 
მარია როგავა        9  
სონია მაზმიშვილი    15 
ნელი ფიფია          2  
ზაქარია ცუცქირიძე   18
ნინელი დიასამიძე    8  
ზინა დანელია        16 
ანზორ პაპიძე        14 
ლევან მეგრელიშვილი  11 
ჯაბა ჩხეიძე         19 
ხვიჩა გოგოხია       15 
ტატიანა გაბედავა    17 
ნოდარ ასათიანი      10 
ლელა ქაჯაია         6  
ჯემალ ჩაკვეტაძე     17
ნინელი მელიქიძე     16 
ბესიკ აბულაძე       12 
სოსო ასანიძე        7  
ვალერი სვანიძე      12 
მარიამ კირთაძე      10 
თორნიკე სარალიძე    7  
ჯონი ჭანტურია       15 
მეგი ჟღენტი         10 
ქეთევან მოდებაძე    12 
ზაქარია კვირკველია  2
ნინელი ჭინჭარაული   15 
ილია ხარატიშვილი    12 
გოგი წიქარიშვილი    4  
ედუარდ ყიფიანი      16 
ალექს კოპალიანი     12 
გიგლა ფიფია         17 
მამუკა კობიაშვილი   1  
ზაქარია კახიძე      11 
შაქრო კოხრეიძე      3  
გოჩა ქარცივაძე      17
ნინელი ჯანაშია      12 
იაგო ლაბაძე         8  
ლიდა ნუცუბიძე       2  
იზოლდა ჭიღლაძე      16 
სიმონ ვასაძე        5  
მაგდა ბოლქვაძე      13 
რეზო ხვედელიძე      9  
არმენ შეყილაძე      2  
შალვა ფარცვანია     6  
ილია მაღრაძე        5
ნინო დევიძე         18 
ვენერა სიმონიშვილი  14 
მაყვალა გოგუაძე     14 
მარი ზედგინიძე      16 
ბორის ხიმშიაშვილი   0  
მარი არჩვაძე        11 
ალექს ნაცვლიშვილი   18 
რამაზ ასათიანი      8  
ელისო მიმინოშვილი   14 
ზაზა ვალიევა        17
ნინო ირემაშვილი     0  
ელგუჯა ხიმშიაშვილი  18 
ჯემალ ბოლქვაძე      5  
გელა ხარშილაძე      6  
მაკა გორგილაძე      12 
რამაზ ჯიშკარიანი    2  
ვიქტორ კვარაცხელია  11 
ნორა ფხაკაძე        20 
როზა ქარცივაძე      3  
ეკა გოგიჩაიშვილი    19
ნინო კახიძე         13 
ხვიჩა შუკაკიძე      20 
ელენე ჯიბლაძე       13 
მთვარისა ჩხეიძე     15 
თამილა ძნელაძე      12 
ნარგიზა შავაძე      2  
გურამ კვინიკაძე     0  
ირინა ოთარაშვილი    18 
ნუგზარ როსტიაშვილი  8  
მაკა ვალიევა        19
ნინო მახათაძე       15 
მარინა გრიგალაშვილი 14 
რობერტ წულაია       5  
ედუარდ ბაქრაძე      3  
ცირა კალანდია       1  
ჟანა შარიქაძე       10 
ალა მუშკუდიანი      0  
სოსო პეტროსიანი     3  
შოთა შალამბერიძე    14 
ლამზირა გოგინაშვილი 7
ნინო ქევხიშვილი     0  
ელზა სვანიძე        20 
ტარიელ გაჯიევი      3  
ზაზა ბრეგვაძე       6  
ელზა კაკაბაძე       2  
თენგიზ კაკულია      19 
ვიოლეტა ღარიბაშვილი 17 
ზაზა ხაჩიძე         5  
გიორგი ბარამიძე     11 
მიხეილ შელია        11
ნინო ცერცვაძე       3  
ციალა ნადირაშვილი   1  
ნუკრი რამიშვილი     3  
ჯონი გრიგორიანი     10 
ლამარა ფარცვანია    7  
ტარიელ დევაძე       17 
ჯულიეტა შაინიძე     16 
პეტრე ადამია        6  
ბონდო ყოლბაია       19 
ოთარ ასათიანი       5
ნოდარ ავალიანი      17 
მანანა კევლიშვილი   1  
ხათუნა ჭუმბურიძე    2  
სვეტლანა მესხი      15 
შალვა ცაავა         2  
თეა ჯიქია           19 
თამარ მერაბიშვილი   20 
მედეა კაციტაძე      14 
თორნიკე კვინიკაძე   4  
ნუგზარ ხარაბაძე     6
ნოდარ ბერიშვილი     11 
შალვა ჭაღალიძე      13 
ნორა გოგიჩაიშვილი   14 
ბესიკ კობახიძე      15 
ჯაბა კუპატაძე       3  
ბიძინა შანიძე       13 
პეტრე რუხაძე        12 
კონსტანტინე ფიფია   9  
ქრისტინე ახვლედიანი 14 
ბელა ლომსაძე        8
ნოდარ კობერიძე      3  
ლალი მოსიაშვილი     9  
ვახტანგ ნადირაშვილი 7  
ვერიკო პაპიძე       2  
ილია ხელაძე         14 
ფიქრია კაკაურიძე    6  
მზია გურეშიძე       17 
გვანცა მათიაშვილი   12 
შოთა კუპრაშვილი     20 
მურთაზ შარიქაძე     19
ნოდარ მაჩიტიძე      1  
გოგიტა ნასყიდაშვილი 4  
ნინო ნარიმანიძე     12 
მინდია ტაკიძე       18 
დალი კურტანიძე      2  
როლანდ ფოფხაძე      4  
ნინო მუსაევა        2  
ოლია ქავთარაძე      16 
თორნიკე გურეშიძე    5  
ბესიკ ტუღუში        9
ნოდარ მგალობლიშვილი 17 
ნინელი ბუჩუკური     9  
ნორა კუხიანიძე      6  
ლამზირა გრიგალაშვილი11 
შალვა ლომაძე        12 
ციცინო ახობაძე      9  
ალექს კობაიძე       11 
შალვა ზოიძე         4  
ალექსანდრე ჩაკვეტაძე11 
თამუნა ხარაიშვილი   1
ნოდარ ღამბაშიძე     20 
ნათია აბაშიძე       20 
ციური იმერლიშვილი   11 
ციალა კირვალიძე     6  
ნელი შარიქაძე       4  
ნიკა გოგუაძე        8  
ივანე აბდულაევი     2  
ლიკა ჭიჭინაძე       16 
ქეთინო რუხაძე       3  
გოგა ჯანაშია        14
ნოდარ ხარაბაძე      17 
თამაზ მიქაძე        6  
შოთა ბეგიაშვილი     10 
ელზა გოგიჩაიშვილი   2  
ლიანა რეხვიაშვილი   9  
ანზორ დვალიშვილი    6  
მაყვალა სიჭინავა    1  
თორნიკე სულაბერიძე  14 
თინა კონცელიძე      10 
არჩილ კალანდაძე     5
ნონა არაბული        16 
გოგა ოქრუაშვილი     7  
გიული მახარაძე      19 
პეტრე რობაქიძე      12 
მაგდა ლომსაძე       16 
ვალერი ტყეშელაშვილი 13 
მზია პაპავა         1  
ემზარ მამულაშვილი   6  
ინგა ხაჭაპურიძე     5  
აიდა ბოლქვაძე       17
ნონა პაპაშვილი      7  
ანი ნასყიდაშვილი    1  
ლენა ჯიქია          7  
მირანდა რაზმაძე     20 
მურთაზ გურული       18 
რობერტ ხუციშვილი    20 
არჩილ ყურაშვილი     8  
გიგა ახალაია        10 
ნინელი მელაძე       17 
მურთაზ შენგელია     16
ნონა პაპიძე         6  
ნიკოლოზ ლომთაძე     9  
ბიძინა მელიქიძე     3  
ბონდო მერებაშვილი   17 
ალექს ჭიჭინაძე      2  
სოფია როგავა        16 
ბესიკ ხორავა        10 
გოდერძი ყურაშვილი   20 
პაატა კანდელაკი     7  
ვასილ ელიზბარაშვილი 3
ნონა ჟორჟოლიანი     14 
გოგი ჯავახიშვილი    10 
ზაურ გაჯიევა        19 
ლაშა ლობჟანიძე      9  
ნატო შეყილაძე       4  
მირიან გოგოლაძე     18 
ომარ ქევხიშვილი     20 
რუსუდან ტურაშვილი   3  
შაქრო ასათიანი      16 
ვენერა წიქარიშვილი  1
ნონა ღლონტი         13 
ევგენია ბერიშვილი   1  
ეკატერინე კუპრაშვილი2  
რუსუდან გურგენიძე   16 
თამაზ გოგიძე        8  
არჩილ ჭკადუა        8  
თათია ნიქაბაძე      16 
ნელი ცერცვაძე       9  
სონია შამუგია       15 
როინ ბარამიძე       0
ნონა შველიძე        7  
ოლღა მგელაძე        18 
მიხეილ ნაჭყებია     19 
მირანდა ქათამაძე    2  
ზაქარია ზურაბაშვილი 1  
ლილი ბიგვავა        14 
ლიზა ჟღენტი         12 
თათია ლობჯანიძე     8  
ია ზარქუა           6  
ლამარა შუბითიძე     7
ნონა ჭუმბურიძე      2  
ალექსანდრე ხარაბაძე 4  
ირაკლი მიქაბერიძე   13 
გრიგოლ ჟორჟოლიანი   11 
რატი რეხვიაშვილი    4  
ოლღა ჩაფიძე         20 
მირანდა გაჯიევა     18 
ნატო კიკნაძე        16 
დავით ჭინჭარაული    20 
ზაქარია გაბრიჭიძე   18
ნონა ხატიაშვილი     10 
გია შათირიშვილი     2  
ლენა შენგელია       6  
სერგო იმნაძე        6  
შალვა კურტანიძე     4  
მთვარისა სურმანიძე  20 
გივი ქართველიშვილი  9  
იამზე კოპაძე        6  
მეგი ფუტკარაძე      13 
თამარ შუკაკიძე      10
ნონა ჯავახიშვილი    0  
ჯუმბერ შამუგია      10 
ემზარ ნაჭყებია      9  
კარლო სვანიძე       20 
ელენე ყურაშვილი     16 
ნადეჯდა ცირეკიძე    12 
დიმიტრი ღლონტი      10 
ქეთევან აბაშიძე     16 
ჯონი სიმონიშვილი    7  
კახაბერ გოგიაშვილი  17
ნონა ჯალაღონია      12 
ლიზა ხაჭაპურიძე     2  
თამარი ნუცუბიძე     17 
ნუგზარ ქურდაძე      16 
ბონდო ღონღაძე       1  
კარინე მანაგაძე     3  
მიხეილ ბერიშვილი    14 
ნაზიბროლა ჩაკვეტაძე 15 
ვალერი გუჯაბიძე     10 
მედიკო ბარბაქაძე    13
ნონა ჯოჯუა          8  
ჯონი ვეკუა          10 
ინეზა მაღლაკელიძე   8  
ინეზა ქარცივაძე     8  
ზაქარია აფციაური    14 
ჟუჟუნა შუკაკიძე     9  
ნათია ჩაკვეტაძე     15 
ჯულიეტა ინასარიძე   4  
კობა დიასამიძე      11 
მიხეილ წულუკიძე     5
ნორა ბუკია          16 
თამარა იობიძე       4  
ნაზიკო გვასალია     5  
იური ოქრუაშვილი     9  
ლამზირა დალაქიშვილი 6  
ირმა მიქელაძე       5  
ირმა ჩინჩალაძე      8  
ვიქტორ გოცირიძე     14 
ჟუჟუნა კვარაცხელია  15 
ანი აბულაძე         17
ნორა მაღრაძე        14 
ნარგიზა მახარაშვილი 7  
ილია ქარცივაძე      18 
ზაზა ჯიშკარიანი     7  
იამზე კაპანაძე      15 
ფატიმა შარიქაძე     3  
მარიამ ჭეიშვილი     19 
ვახტანგ კიკვაძე     10 
ნანული გოგალაძე     19 
ვერა ბიწაძე         9
ნორა მუსტაფაევა     17 
ზინა ხურცილავა      13 
შაქრო მახარაშვილი   15 
მადონა ქირია        7  
ილია მელიქიშვილი    20 
ციალა ნიკოლაიშვილი  0  
ნინელი გოგოლაძე     9  
ნუნუ შაინიძე        6  
თამაზ ახობაძე       19 
ნაზიკო კოხრეიძე     0
ნორა რობაქიძე       1  
მურმან მუმლაძე      5  
ავთანდილ ვაშაკიძე   18 
შორენა კიკნაძე      15 
სვეტლანა მესხი      10 
თამარ ხიმშიაშვილი   7  
ანჟელა შავაძე       8  
ბიძინა ნეფარიძე     1  
ალექს ჟღენტი        4  
ბექა ქირია          20
ნორა ჩიხლაძე        1  
მეგი აბაშიძე        13 
ვასილ მამალაძე      15 
მერაბ არველაძე      9  
მურთაზ გურგენიძე    5  
ნოდარ მუსაევი       18 
ბონდო წურწუმია      17 
გოჩა იაშვილი        15 
ოლია ქავთარაძე      10 
არტურ კოპაძე        19
ნორა ხიზანიშვილი    16 
თინა ლიპარტელიანი   20 
გულიკო მუშკუდიანი   15 
კონსტანტინე ბერაია  20 
ჟანა ახობაძე        10 
ზაირა ლეჟავა        19 
ოლია კოპალიანი      11 
ლალი კვინიკაძე      8  
გოგი ჟვანია         19 
იოსებ ბერძენიშვილი  4
ნუგზარ ბერიანიძე    8  
მერაბ კვანტალიანი   3  
თამუნა ცომაია       9  
ლევან ხელაძე        14 
მაია ჯიქია          0  
ნაზიბროლა პატარაია  6  
როლანდ მაჭავარიანი  18 
ედუარდ ვარშანიძე    7  
ჯაბა გოგიტიძე       18 
ნუკრი წიქარიშვილი   15
ნუგზარ გელაძე       2  
დემურ კუხიანიძე     20 
მურთაზ ტაბატაძე     3  
ვასილ ტუღუში        12 
ანნა ჭეიშვილი       19 
როზა გოგიძე         13 
ლიდა ფარტენაძე      14 
თამილა შუბითიძე     20 
ომარ მიქავა         7  
თენგიზ ღვინიაშვილი  6
ნუგზარ თოფურია      18 
მაია შონია          15 
პეტრე გულიაშვილი    0  
ნარგიზა ბურჯანაძე   19 
მინდია გულუა        8  
ავთანდილ ხმალაძე    19 
ინეზა წულუკიძე      16 
ლიზა ძნელაძე        17 
იაგო ბერძენიშვილი   7  
ნათელა შალამბერიძე  1
ნუგზარ ლომსაძე      15 
მზია ფიცხელაური     4  
რამაზ გეგეშიძე      15 
გოდერძი თევზაძე     0  
კლარა ოქროპირიძე    19 
რიმა მაზმიშვილი     9  
ბექა გელაშვილი      16 
რეზო ლაბაძე         13 
ჯულიეტა კანდელაკი   18 
შოთა გოგალაძე       6
ნუგზარ მჟავანაძე    4  
ნანი გოგიშვილი      19 
არტურ ყიფშიძე       20 
თამილა ხმალაძე      7  
ელენა თავართქილაძე  0  
მარიამ ნატროშვილი   9  
ციური კახიძე        6  
ლაშა მახარაშვილი    7  
დარეჯან ნაცვლიშვილი 19 
ჯუმბერ ბახტაძე      17
ნუგზარ ტყემალაძე    17 
როლანდ ცუცქირიძე    3  
ქეთინო სვანიძე      20 
გრიგოლ კოპაძე       10 
ანიკო ქარდავა       6  
როლანდ მოსიაშვილი   1  
ლევან ზოიძე         9  
ციალა ჯიშკარიანი    1  
ჯაბა ღვინიაშვილი    15 
მთვარისა კუპრაშვილი 6
ნუგზარ ხარებავა     14 
გალინა გოგიჩაშვილი  20 
გოგიტა გოცირიძე     18 
ლამზირა ბერუაშვილი  12 
ნატო ხოზრევანიძე    11 
ბადრი შაინიძე       19 
კარლო ფარცვანია     10 
ილია გრძელიშვილი    20 
ვალერიან თურმანიძე  20 
იზა ქობულაძე        6
ნუკრი არაბიძე       0  
ანა ჯღარკავა        8  
თორნიკე ზედგინიძე   0  
ლენა ბოჭორიშვილი    10 
შოთა ხვიჩია         3  
მაგდა რუხაძე        9  
ლანა ბერიაშვილი     19 
მთვარისა შველიძე    8  
რევაზ შელია         17 
ნუგზარ ცანავა       18
ნუკრი არველაძე      11 
მარინე ენუქიძე      18 
ლენა მაზმიშვილი     16 
ვერა ელბაქიძე       18 
ლიზა მიმინოშვილი    14 
ჟუჟუნა გოგიაშვილი   16 
ვაჟა ტურაშვილი      16 
ჯუმბერ ხვიჩია       10 
მურთაზ მეგრელიშვილი 10 
სერგო გოგინაშვილი   0
ნუკრი გობეჯიშვილი   8  
კახა ზარანდია       3  
ოლღა ზედგინიძე      8  
ავთანდილ ღლონტი     20 
კლარა შეყილაძე      10 
ლამარა ბურჯანაძე    11 
ალექს ბენდელიანი    18 
ტატიანა თურმანიძე   10 
ამირან გაბედავა     19 
ირინა ჯოხაძე        16
ნუკრი კაკაბაძე      11 
ბიძინა ბარბაქაძე    13 
ალექს ლოლაძე        13 
უჩა კურტანიძე       6  
ხატია პაპავა        9  
იამზე ნადირაშვილი   15 
ალექს ჟორჟოლიანი    19 
გოგი ქობულაძე       6  
გიგა ბახტაძე        17 
რევაზ ჯაიანი        15
ნუკრი კოხრეიძე      14 
