"Aada Andersson"	"Hannukselankuja 91
81292 Kivijärvi" 
"Elisabeth Johansson"	"Puuskatie 570
12285 Tervola"
"Laura Lappalainen"	"Haakoninlahdenpolku 6
94031 Simo"
"Marjatta Lindroos-Miettinen"	"Ahdekaunokinbulevardi 83
80436 Pyhäjärvi"
"Maria Nieminen-Pöllänen"	"Disankuja 4
29409 Karijoki"
"Seppo Silvennoinen"	"Veropellonkatu 319
64806 Rautjärvi"
"Kristian Marttinen"	"Uussillanpolku 394
19116 Inkoo"
"Juhani Harju"	"Louhenkatu 84
13067 Maalahti"
"Anneli Laitinen"	"Runeberginbulevardi 746
93203 Uusikaupunki"
"Matti Lindström"	"Orisaarenkuja 0
18973 Taivalkoski"
"Anni Jokinen"	"Castréninkatu 3
95578 Alavieska"
"Maria Muhonen-Mattila"	"Bertel Jungin polku 1
90751 Hartola"
"Vilma Pehkonen"	"Ylänkökatu 833
30828 Posio"
"Kaarina Leinonen"	"Betonipolku 85
75941 Tohmajärvi"
"Helena Salmi"	"Fastbölenkatu 9
16202 Rusko"
"Seppo Tuominen"	"Kolukatu 62
31150 Urjala"
"Tapio Mäkelä"	"Bertha Pauligin tie 2
25273 Savonlinna"
"Airi Lankinen"	"Maatullinkatu 27
18472 Ylöjärvi"
"Olavi Laakso"	"Kukkaniitynkuja 03
54744 Lieto"
"Kari Kangas"	"Hannukselanpolku 437
13020 Lieto"
"Tapani Rantanen"	"Uunilinnunkatu 840
33556 Kannonkoski"
"Ensio Kettunen"	"Vaarnakatu 788
40079 Eckerö"
"Kati Niiranen"	"Walentin Chorellin kuja 8
53462 Ulvila"
"Jesse Karjalainen"	"Katajaharjuntie 1
12421 Raahe"
"Anita Nieminen-Kähkönen"	"Biologinbulevardi 250
52082 Vaala"
"Siiri Kulmala-Korhonen"	"Runonlaulajanpolku 664
93288 Kolari"
"Eeva Vuori"	"Ilotulituskatu 46
90902 Hollola"
"Ensio Kärkkäinen"	"Saramäentie 73
34027 Ypäjä"
"Marjatta Lindström"	"Chydeniuksenpolku 18
58785 Eura"
"Elisabeth Karjalainen"	"Kolsintie 176
79228 Huittinen"
"Martti Ylitalo-Puhakka"	"Agnes Sjöbergin tie 36
48872 Sund"
"Juha Kurki"	"Waseniuksen puistotie 744
10951 Oripää"
"Liisa Rytkönen-Henriksson"	"Jättiläisenkuja 12
10924 Kuopio"
"Emilia Rantala"	"Kimmontie 0
56714 Marttila"
"Outi Hakala"	"Graniittitie 41
45067 Isojoki"
"Simo Korhonen"	"Agricolanpolku 264
13090 Kangasala"
"Helena Lampinen"	"Kukkaniitynkatu 51
87076 Jokioinen"
"Tapani Erkkilä"	"Poretie 880
35089 Mikkeli"
"Eila Lipponen-Taipale"	"Mannerheimintie 23
94339 Akaa"
"Irmeli Aalto"	"Yrjönbulevardi 403
08084 Pyhäjoki"
"Tapio Kärki"	"Iltatähdenkuja 90
75957 Toholampi"
"Martti Voutilainen"	"Kiitäjänpolku 01
58349 Ikaalinen"
"Elli Vartiainen"	"Yläkaskenpolku 3
88745 Maarianhamina"
"Aila Mikkola"	"Fagottipolku 616
19208 Kotka"
"Olavi Turunen"	"Ilmattarenpolku 95
49095 Forssa"
"Simo Partanen"	"Elonpolku 705
99869 Tammela"
"Ilari Miettinen"	"Vaarnatie 51
02524 Pyhäntä"
"Tuulikki Manninen-Tikkanen"	"Ahdekaunokinkatu 8
41926 Lappeenranta"
"Johanna Viljanen"	"Hankasuonbulevardi 59
70821 Tuusniemi"
"Annikki Hyvönen"	"Haaksikatu 5
95727 Kärkölä"
"Anniina Lappalainen"	"Kiitäjänbulevardi 33
09844 Kuortane"
"Antero Kangas"	"Agronominkuja 2
85688 Ylöjärvi"
"Inkeri Pehkonen-Pelkonen"	"Jämsänbulevardi 12
97486 Kolari"
"Eveliina Lindgren"	"Vaakalinnunkuja 44
34189 Porvoo"
"Anu Korhonen"	"Graniittibulevardi 92
24217 Lahti"
"Sini Hänninen"	"Böstaksenkuja 472
00849 Teuva"
"Katariina Vuorinen-Salo"	"Iespolku 96
46108 Ylivieska"
"Jaakko Salminen"	"Zaidankuja 588
68582 Kangasala"
"Ismo Pelkonen"	"Iltaruskonkatu 4
87691 Sodankylä"
"Antti Peltola-Rantala"	"Lemunbulevardi 006
00507 Lemland"
"Aino Kärki"	"Louhikkokuja 35
75454 Hailuoto"
"Johanna Korhonen"	"Puuskabulevardi 234
95473 Tuusula"
"Tuula Kantola"	"Orisaarenbulevardi 0
44773 Vesilahti"
"Risto Jussila"	"Ilomäenbulevardi 68
41533 Orivesi"
"Samu Virtanen"	"Ahvenkoskenbulevardi 149
32390 Oulu"
"Sinikka Aho"	"Adolf Lindforsin tie 403
55103 Loviisa"
"Jari Korhonen-Karjalainen"	"Kukkaniitynbulevardi 925
98181 Heinävesi"
"Mikael Lindberg-Manninen"	"Hankasuonkatu 63
08177 Muurame"
"Vesa Salminen"	"Santerlankuja 281
79655 Kärkölä"
"Samu Aalto"	"Osuuskunnankatu 97
57991 Rautalampi"
"Esteri Vainio"	"Usvakatu 260
72685 Ikaalinen"
"Tuomo Sutinen"	"Taavetti Laitisen katu 004
07408 Äänekoski"
"Tellervo Pääkkönen"	"Neulapadonkuja 824
32674 Siikalatva"
"Helmi Mononen-Silvennoinen"	"Versobulevardi 748
23577 Askola"
"Henrik Korhonen-Ollikainen"	"Ida Ekmanin polku 21
27449 Kajaani"
"Sinikka Heikkilä"	"Vaakalinnunkuja 06
59490 Ylivieska"
"Oskari Seppälä-Heikkinen"	"Kimalaisbulevardi 2
02553 Outokumpu"
"Anja Tolonen"	"Haaksitie 162
83567 Miehikkälä"
"Peter Kallio"	"Urkurinkatu 0
03323 Pomarkku"
"Katri Myllymäki"	"Yrttimaankatu 704
05813 Askola"
"Miika Rantanen-Häkkinen"	"Nervanderinpolku 88
66532 Virolahti"
"Juhani Berg"	"Ilotulituskuja 7
54656 Konnevesi"
"Elina Mäkelä"	"Haagan pappilanbulevardi 6
17650 Kemiönsaari"
"Aulikki Kauppinen"	"Laurinniitynkuja 801
32602 Finström"
"Kristiina Nuutinen"	"Orvokkikatu 2
25644 Juuka"
"Sinikka Heikkinen-Karhu"	"Kiitäjänbulevardi 5
26545 Askola"
"Maritta Nevala"	"Yläkaskenkatu 286
92153 Tyrnävä"
"Sinikka Heikkilä"	"Fallinkatu 3
53282 Hartola"
"Esa Miettinen"	"Verkkokatu 782
58057 Nurmes"
"Raimo Ronkainen"	"Runokylänbulevardi 6
51410 Pudasjärvi"
"Heikki Jussila"	"Laurinniitynkatu 0
71834 Kärsämäki"
"Sebastian Asikainen-Haapanen"	"Vellikellonkatu 0
26210 Kontiolahti"
"Juhani Peltoniemi"	"Puroniitynpolku 23
39426 Reisjärvi"
"Pekka Hietanen-Salonen"	"Nervanderintie 5
49814 Kotka"
"Lotta Peltonen-Ahola"	"Maapadontie 2
62474 Juuka"
"Sinikka Lepistö"	"Gneissipolku 1
68854 Hyvinkää"
"Johan Leppänen"	"Niitynperänpolku 1
54028 Honkajoki"
"Katriina Lehtinen"	"Jämsänpolku 942
68270 Pietarsaari"
"Marika Hämäläinen"	"Maasälvänkatu 095
13208 Hämeenkyrö"
"Leila Suhonen"	"Hankasuonkatu 5
61225 Toholampi"
"Eemeli Mäkelä"	"Kolutie 5
41626 Kärsämäki"
"Topias Kärkkäinen"	"Gunillankatu 968
03222 Luoto"
"Sini Aalto"	"Ylipalonkuja 168
26992 Ulvila"
"Tapani Saarinen"	"Orvokkikuja 788
93236 Eckerö"
"Petri Saarinen"	"Kimmonkuja 91
84540 Heinävesi"
"Sinikka Mäkelä-Virtanen"	"Gneissikatu 7
01961 Ilmajoki"
"Helmi Gustafsson"	"Birger Kaipiaisen bulevardi 6
69658 Veteli"
"Samuel Hautamäki"	"Fahlanderin puistokuja 22
53271 Nurmijärvi"
"Mikko Nykänen"	"Tyynelänkatu 08
72711 Puolanka"
"Maarit Laitinen"	"Vaarnabulevardi 5
46239 Pieksämäki"
"Uolevi Eskola"	"Ida Ekmanin kuja 19
52564 Hailuoto"
"Johanna Hakala"	"Kuhankeittäjänkatu 45
58739 Vaasa"
"Maija Vuorinen"	"Agricolankatu 44
00107 Iitti"
"Kimmo Lepistö"	"Ylipalonkatu 3
70328 Orimattila"
"Krista Heikkinen"	"Maasälväntie 3
96851 Raisio"
"Sinikka Mäkinen"	"Lentokapteenin tie 08
23139 Pyhäjärvi"
"Aila Lindberg-Mustonen"	"Harakkamyllynbulevardi 95
72750 Muonio"
"Kaija Juntunen"	"Dunckerinkatu 675
08364 Somero"
"Ilmari Pehkonen"	"Rapakivenkuja 2
23576 Hirvensalmi"
"Pasi Kankaanpää"	"Bertel Jungin katu 7
95501 Parainen"
"Karoliina Karjalainen"	"Uudenkaupunginbulevardi 8
13603 Laitila"
"Akseli Pennanen"	"Eino Leinon tie 043
90166 Pielavesi"
"Marja-Liisa Salminen"	"Nordenskiöldinkatu 14
93024 Vantaa"
"Saara Kantola"	"Fallinkatu 997
45423 Rusko"
"Hannu Salonen"	"Santerlankuja 69
40657 Teuva"
"Sinikka Nieminen-Kainulainen"	"Harbonkuja 8
88671 Kuopio"
"Päivi Heinonen"	"Fallkullankuja 0
73440 Mäntsälä"
"Viivi Karlsson-Lahti"	"Ahvenkoskenpolku 1
90013 Lohja"
"Tapio Myllymäki"	"Fabianinbulevardi 92
71018 Oripää"
"Eila Lilja"	"Taavinkuja 9
54523 Vesanto"
"Aleksi Räsänen"	"Kuhankeittäjäntie 061
23073 Luhanka"
"Petra Järvinen"	"Maneesipolku 117
78888 Sodankylä"
"Jukka Makkonen"	"Jättiläisenkuja 547
61947 Pudasjärvi"
"Juha Lehtonen"	"Ida Ekmanin kuja 669
39807 Liperi"
"Kaarina Harju"	"Elonbulevardi 8
38942 Jämsä"
"Sinikka Nurminen"	"Damaskuksentie 522
95463 Liperi"
"Tapani Hänninen"	"Lentokapteenin tie 2
66103 Inkoo"
"Joel Kinnunen"	"Graniittipolku 62
55670 Ruovesi"
"Pirjo Väisänen-Elo"	"Saanatunturintie 0
50737 Juva"
"Kaarina Kosonen"	"Willebrandinkuja 545
25155 Alavus"
"Laura Nurmi"	"Franzénintie 280
84144 Sonkajärvi"
"Juha Järvinen-Nurmi"	"Capellan puistotie 27
07275 Karkkila"
"Juhani Heino"	"Orvokkibulevardi 890
08763 Ilmajoki"
"Olavi Laine"	"Jättiläisenbulevardi 48
09979 Lapinlahti"
"Martti Heikkinen"	"Fahlanderin puistokatu 45
17934 Nivala"
"Sinikka Nurminen"	"Eino Leinon katu 01
98595 Mikkeli"
"Helena Lehtinen"	"Kukkaniityntie 35
60966 Finström"
"Riikka Penttilä-Lehto"	"Nils Westermarckin katu 333
16187 Liperi"
"Anita Kinnunen"	"Salakkabulevardi 0
41171 Loimaa"
"Jarmo Rönkkö"	"Salakkapolku 31
41649 Joroinen"
"Raili Korhonen-Lindholm"	"Mamsellimyllyntie 237
84710 Hyvinkää"
"Anna-Liisa Keskitalo"	"Tuohikoivunkuja 258
81885 Lapinjärvi"
"Arto Leppänen"	"Fagottipolku 410
74959 Vaala"
"Maarit Ojala"	"Haaksibulevardi 729
51594 Kaskinen"
"Sofia Lipponen"	"Fahlanderin puistopolku 02
45689 Kuhmo"
"Sinikka Peltoniemi"	"Katajaharjunpolku 655
95762 Somero"
"Kalervo Sutinen"	"Haakoninlahdenbulevardi 46
44218 Ristijärvi"
"Eeva Vartiainen-Viitanen"	"Yläkaskenpolku 38
42302 Maarianhamina"
"Petri Heikkinen"	"Wecksellinbulevardi 9
45227 Kalajoki"
"Jukka Nurmi"	"Yhteiskoulunkatu 7
95335 Kangasala"
"Maarit Tamminen-Pietilä"	"Vaakalinnunbulevardi 055
13857 Äänekoski"
"Toivo Myllymäki"	"Eljaksenkatu 69
00890 Muhos"
"Birgitta Lahti-Eklund"	"Aidasmäentie 1
18494 Luoto"
"Johannes Toivonen"	"Cygnaeuksenpolku 3
08386 Muonio"
"Kerttu Pulkkinen"	"Wecksellinkatu 25
70465 Parikkala"
"Sinikka Väyrynen"	"Osmontie 6
07115 Toivakka"
"Helena Puranen"	"Nervanderinbulevardi 52
41425 Alavus"
"Arvo Toivonen"	"Werner Wirénin tie 0
82862 Lappajärvi"
"Tuulikki Aalto"	"Edelfeltinkuja 87
21019 Oripää"
"Jasmin Heikkilä"	"Rantavarastonbulevardi 27
55237 Kitee"
"Juhani Huttunen"	"Ilmattarenkatu 5
09563 Pyhäntä"
"Anneli Mikkola"	"Bertha Pauligin kuja 9
30090 Taivassalo"
"Matias Huttunen"	"Sahaajankatu 291
85596 Lappajärvi"
"Suvi Kovanen"	"Vesalanpolku 53
51146 Hämeenkyrö"
"Anneli Mäkinen-Rantanen"	"Wallinintie 1
06367 Ruokolahti"
"Sirkka Heikkilä"	"Veropellonbulevardi 67
09394 Toivakka"
"Ilmari Kuisma"	"Laajasalonbulevardi 579
43610 Mänttä-Vilppula"
"Eemil Toivanen"	"Kolsintie 208
77684 Padasjoki"
"Ella Räisänen"	"Pohjolantie 609
98001 Pielavesi"
"Annika Helin"	"Salavapolku 5
84701 Isojoki"
"Sebastian Taskinen"	"Wallininbulevardi 35
27755 Pornainen"
"Antero Keränen"	"Porinkuja 178
81028 Varkaus"
"Maarit Koskinen"	"Järkälepolku 03
97781 Pöytyä"
"Annikki Virtanen-Koivisto"	"Maatullintie 309
12866 Kinnula"
"Ossi Asikainen"	"Lautamiehentie 3
13295 Tampere"
"Sirkka Ketola"	"Louhikkopolku 889
79298 Valkeakoski"
"Tuulikki Kokkonen"	"Katajaharjunbulevardi 29
95316 Mustasaari"
"Susanna Salo"	"Castréninpolku 821
35918 Föglö"
"Kaija Lehikoinen"	"Bertel Jungin polku 57
45905 Raahe"
"Jari Koskinen"	"Niitynperäntie 5
39599 Kaustinen"
"Susanna Aalto-Lehtola"	"Runonlaulajankatu 53
21267 Orivesi"
"Hanna Mäkinen-Räsänen"	"Bengalintie 1
13847 Virrat"
"Olavi Keskinen"	"Louhenkuja 56
70797 Konnevesi"
"Lauri Turunen"	"Veräjämäenkatu 36
16720 Siikajoki"
"Marja Vainio"	"Gneissikatu 8
75484 Kangasala"
"Sirkka Ruotsalainen"	"Järkäletie 0
00751 Hirvensalmi"
"Rasmus Nurminen"	"Biologinpolku 7
86217 Brändö"
"Ilmari Virtanen-Mäkinen"	"Ylätuvankatu 80
46975 Asikkala"
"Jenni Saari"	"Kuhankeittäjänbulevardi 73
78702 Tervola"
"Mari Pakarinen-Rantala"	"Malminkartanonbulevardi 152
11418 Valkeakoski"
"Kristian Vainio-Helenius"	"Fallinkuja 1
09839 Lieto"
"Tapani Kuronen-Oksanen"	"Ehrensvärdinpolku 3
64150 Geta"
"Maria Linna-Ahonen"	"Ahvenkoskentie 8
95099 Suonenjoki"
"Joel Andersson"	"Lepolankuja 65
43556 Karvia"
"Jonna Kallio"	"Tukkisillantie 9
51761 Eckerö"
"Sirkka Saarela"	"Dosentinpolku 1
80825 Joutsa"
"Pia Ketola-Kettunen"	"Adolf Lindforsin polku 905
54500 Taivalkoski"
"Mikael Niemi-Kangas"	"Lukkarimäenpolku 90
44212 Pielavesi"
"Jyrki Pietilä"	"Maatullinkuja 6
91252 Kuortane"
"Mikael Lehtola"	"Bengalinbulevardi 346
95094 Geta"
"Laura Salo"	"Ylä-Fallin katu 46
50480 Imatra"
"Liisa Martikainen-Rantala"	"Niittylänkatu 22
30586 Janakkala"
"Oskari Hokkanen"	"Yrttimaanbulevardi 783
42397 Tervo"
"Esteri Ojala"	"Adolf Lindforsin katu 2
29819 Lempäälä"
"Tero Kinnunen-Koivula"	"Eduskuntapolku 87
27898 Pyhäjoki"
"Sirpa Hyvönen-Heinonen"	"Ahvenkoskenkuja 115
64832 Kärkölä"
"Mari Lankinen-Mäkinen"	"Fastbölenkatu 583
05596 Riihimäki"
"Mauri Salminen-Heinonen"	"Agronominkatu 47
87229 Maalahti"
"Keijo Koskinen-Tuominen"	"Maatullintie 090
61506 Jyväskylä"
"Maria Kolehmainen"	"Pyörökiventie 8
75968 Kolari"
"Kauko Makkonen"	"Ilkanbulevardi 7
05323 Tyrnävä"
"Petteri Lehto-Lehtonen"	"Yrjönkatu 533
55498 Rusko"
"Karl Gustafsson"	"Veräjämäentie 83
19115 Pomarkku"
"Olivia Kokko"	"Veräjämäentie 7
49882 Sonkajärvi"
"Toni Kurki"	"Döbelninbulevardi 28
19572 Kouvola"
"Sirpa Kemppainen"	"Zaidankatu 023
59907 Tervo"
"Liisa Helenius"	"Degermosanpolku 1
61210 Punkalaidun"
"Antero Eriksson-Nurmi"	"Ilvesbulevardi 5
46374 Rantasalmi"
"Irma Lahti"	"Yrjöntie 5
94261 Jokioinen"
"Antero Koskinen"	"Tyynylaavanbulevardi 2
68869 Tervo"
"Hannele Mattila"	"Ahdekaunokintie 91
80391 Juupajoki"
"Riikka Hiltunen-Nousiainen"	"Uussillanpolku 2
47795 Pudasjärvi"
"Pia Leskinen"	"Niemikuja 72
65519 Viitasaari"
"Kaija Turunen"	"Disantie 2
94554 Teuva"
"Elisabeth Mäkinen"	"Capellan puistobulevardi 6
22141 Hyrynsalmi"
"Sirpa Lehto-Hämäläinen"	"Eino Leinon polku 88
43997 Ilomantsi"
"Kaarina Häkkinen"	"Louhentie 60
39609 Orivesi"
"Kullervo Aalto-Leppänen"	"Uunilinnunkuja 9
91635 Lemi"
"Tapani Ahola"	"Nikonkatu 155
81844 Kurikka"
"Nina Nieminen"	"Maapadonkuja 193
92071 Kruunupyy"
"Emilia Niiranen"	"Louhikkopolku 2
76192 Ylöjärvi"
"Kyllikki Jokela"	"Werner Wirénin polku 04
26043 Lieto"
"Mirjami Räsänen"	"Ilmattarenkuja 45
24826 Ulvila"
"Marja Laaksonen-Malinen"	"Wavulininpolku 4
87476 Hämeenlinna"
"Maria Soini"	"Nervanderinpolku 7
92476 Somero"
"Sirpa Tolvanen"	"Salakkabulevardi 2
61593 Konnevesi"
"Antero Tolonen"	"Eino Leinon kuja 49
96624 Hollola"
"Juhani Lehtonen"	"Nikonbulevardi 000
50724 Huittinen"
"Nina Mustonen"	"Eljaksentie 90
11889 Ruokolahti"
"Tapani Takala"	"Versokuja 7
19238 Akaa"
"Kalle Järvelä"	"Lepolanbulevardi 2
91142 Merijärvi"
"Tarja Sirén"	"Salavakuja 5
62498 Pietarsaari"
"Aarne Saarinen"	"Yhteiskoulunkatu 3
86439 Kiuruvesi"
"Toni Hämäläinen"	"Puuskapolku 824
09227 Vesanto"
"Olavi Rantala"	"Nervanderintie 7
26549 Geta"
"Sisko Huuskonen"	"Lautamiehenpolku 038
78680 Sotkamo"
"Akseli Lindroos-Suomalainen"	"Orisaarenpolku 038
71030 Lieto"
"Aleksi Anttila"	"Lepolanbulevardi 900
10625 Muhos"
"Kaarina Mikkonen"	"Uunisepänpolku 44
60533 Suonenjoki"
"Elmeri Liimatainen"	"Kolvipolku 5
24982 Kurikka"
"Tuula Palomäki"	"Sadetie 3
05740 Lappeenranta"
"Tapio Häkkinen-Laaksonen"	"Agnetanpolku 944
60262 Sipoo"
"Maria Laaksonen"	"Gunnel Nymanin tie 411
17935 Loviisa"
"Kalevi Aalto"	"Bertha Pauligin bulevardi 576
70994 Kustavi"
"Raimo Kankaanpää"	"Niitynperänkatu 37
58719 Utajärvi"
"Sisko Lindfors"	"Uudenkaupunginpolku 78
14601 Sottunga"
"Sonja Koivisto"	"Purjetuulentie 863
13763 Tornio"
"Ritva Toivonen"	"Tukkisillankatu 3
86293 Karvia"
"Helena Jokinen"	"Taavintie 2
04417 Asikkala"
"Viljami Pöllänen"	"Haaksikatu 901
39555 Pedersören kunta"
"Juhani Ranta"	"Vanha Rajakuja 93
35871 Kivijärvi"
"Toivo Lähteenmäki-Rossi"	"Uudenkaupungintie 60
84790 Humppila"
"Janne Heikkinen"	"Uurtajanpolku 59
05632 Pirkkala"
"Tapio Laitinen"	"Fallinkuja 4
86546 Suonenjoki"
"Alisa Koivula-Salo"	"Degermosankatu 7
93231 Suonenjoki"
"Sisko Pekkala"	"Döbelninbulevardi 277
70655 Kirkkonummi"
"Matias Miettinen"	"Neonkuja 475
31423 Salo"
"Henrikki Heino"	"Maanmittarintie 6
18551 Joroinen"
"Veikko Savolainen-Peltonen"	"Iesbulevardi 446
26045 Honkajoki"
"Leena Peltonen"	"Louhikkopolku 5
61058 Kankaanpää"
"Noora Helenius"	"Sapilastie 329
71201 Hanko"
"Veikko Kosonen-Saarinen"	"Jättiläisenkatu 895
04616 Kemijärvi"
"Kalle Seppälä"	"Cygnaeuksenkatu 7
38470 Kuhmoinen"
"Olavi Lahti-Laitinen"	"Harbonkatu 011
51336 Pieksämäki"
"Juhani Väisänen-Kuisma"	"Lautamiehenkatu 5
33906 Parainen"
"Sisko Savolainen"	"Neonbulevardi 338
53316 Reisjärvi"
"Essi Jaakkola"	"Jänkäpolku 88
50188 Karijoki"
"Antero Vainio"	"Malminkartanonkatu 5
68058 Tohmajärvi"
"Matilda Lindholm"	"Kolsinpolku 4
07237 Raisio"
"Matti Paananen-Jääskeläinen"	"Biologinkuja 319
21504 Saarijärvi"
"Sanna Laaksonen"	"Puuskapolku 15
26197 Sipoo"
"Matti Halme"	"Jäkäläkuja 1
47172 Kemiönsaari"
"Arvo Miettinen"	"Nordenskiöldinbulevardi 320
67754 Lohja"
"Aino Tirkkonen-Mononen"	"Haagan pappilanpolku 08
98839 Lapinjärvi"
"Tapani Kallio"	"Lentokapteenin kuja 173
91790 Rautavaara"
"Sisko Valtonen"	"Laurinniityntie 25
96154 Kärkölä"
"Leevi Markkanen"	"Willebrandinkatu 7
97252 Loppi"
"Marita Koskinen"	"Runeberginkatu 69
35134 Hammarland"
"Väinö Leskinen"	"Benktanpolku 6
81709 Ristijärvi"
"Henrik Mikkonen"	"Kilpolankuja 67
17531 Värdö"
"Marita Miettinen"	"Bergankatu 1
14964 Joutsa"
"Helena Mäkinen"	"Zaidankuja 20
72579 Kivijärvi"
"Väinö Kurki-Laaksonen"	"Orapihlajabulevardi 889
79414 Haapavesi"
"Elias Tolonen"	"Elimäenpolku 3
01318 Orimattila"
"Tellervo Forsman"	"Ilomäenkuja 415
48041 Kristiinankaupunki"
"Sofia Aho"	"Salakkapolku 2
93765 Kontiolahti"
"Satu Niemi"	"Caloniuksenpolku 1
73880 Hausjärvi"
"Vuokko Hämäläinen"	"Wallininbulevardi 854
92456 Keminmaa"
"Kauko Kyllönen-Ketola"	"Hankasuonpolku 6
77770 Siikajoki"
"Liisa Palomäki-Matilainen"	"Freesenbulevardi 27
56553 Hämeenkyrö"
"Laura Kinnunen"	"Kolubulevardi 75
99768 Pälkäne"
"Ahti Ahonen"	"Louhikkokatu 141
27428 Kiuruvesi"
"Olavi Harju"	"Birger Kaipiaisen kuja 6
09480 Helsinki"
"Patrik Mikkola"	"Fallkullanpolku 8
34438 Rautjärvi"
"Jaakko Lipponen-Peltonen"	"Louhikkobulevardi 5
92334 Urjala"
"Sofia Halonen"	"Orisaarenkuja 27
76768 Finström"
"Kaija Nykänen"	"Yhteiskoulunpolku 15
62953 Kouvola"
"Antero Eronen"	"Lentokapteenin bulevardi 992
03834 Pomarkku"
"Johanna Elo"	"Runokylänkatu 96
40069 Lestijärvi"
"Olavi Hänninen"	"Järkäletie 61
98482 Viitasaari"
"Ilkka Salonen"	"Haahkabulevardi 91
00074 Puumala"
"Mika Matilainen"	"Iltatähdenpolku 69
08774 Rautavaara"
"Antero Koskinen"	"Haakoninlahdenkuja 817
63362 Heinävesi"
"Viljo Taskinen"	"Agnetankuja 17
89445 Puolanka"
"Antero Koivunen"	"Runeberginkatu 49
43404 Orimattila"
"Sofia Hiltunen"	"Freesenpolku 699
69213 Uusikaupunki"
"Ensio Lehtinen-Partanen"	"Vaarnakatu 07
54358 Kaustinen"
"Krista Voutilainen"	"Yrttimaankatu 8
50027 Suomussalmi"
"Tapio Valtonen"	"Gotlanninpolku 59
23124 Lempäälä"
"Lauri Jaakkola"	"Lepolankuja 770
77573 Joensuu"
"Raija Järvinen-Rinne"	"Wallininkatu 542
90116 Akaa"
"Lasse Tuominen"	"Porinkuja 321
55383 Juva"
"Jussi Nykänen-Tuominen"	"Orapihlajakatu 0
39039 Äänekoski"
"Helena Mononen"	"Tahtikatu 53
19152 Ähtäri"
"Sakari Airaksinen"	"Saparonbulevardi 622
13446 Kittilä"
"Sofia Huhtala"	"Haagan pappilanbulevardi 61
02360 Nivala"
"Nina Saari"	"Eljaksentie 6
21687 Karkkila"
"Aleksi Saarela"	"Wallininbulevardi 65
47308 Kirkkonummi"
"Tapani Virtanen"	"Franzénintie 80
40768 Kittilä"
"Henry Riikonen"	"Laakavuorentie 3
19620 Viitasaari"
"Eemil Huovinen"	"Yrttimaankatu 50
84986 Turku"
"Anita Koivisto-Lampinen"	"Agnes Sjöbergin bulevardi 51
36055 Sauvo"
"Helmi Toivanen"	"Saramäenkatu 1
23221 Myrskylä"
"Anneli Moisio"	"Runokylänpolku 29
87007 Lestijärvi"
"Merja Koskinen"	"Nervanderinpolku 1
22267 Hausjärvi"
"Sofia Johansson-Virtanen"	"Mannerheiminkuja 0
81034 Iitti"
"Viljo Penttinen-Niemi"	"Fastbölenkatu 641
20803 Haapajärvi"
"Matias Mikkonen"	"Harbonkatu 47
28205 Joensuu"
"Hannele Nissinen-Saari"	"Maanmittarinpolku 02
50476 Petäjävesi"
"Juhani Juvonen"	"Pohjolankuja 6
09814 Taivalkoski"
"Kaarina Tuomi"	"Agronominkuja 588
32881 Lempäälä"
"Sirkka Haataja"	"Otermankatu 06
32971 Kajaani"
"Paula Suomalainen-Vainio"	"Kolvitie 88
05942 Ristijärvi"
"Helena Aalto"	"Tuohikoivunpolku 322
44374 Kajaani"
"Mikael Partanen-Kivistö"	"Salakkakuja 509
12190 Leppävirta"
"Sofia Karhunen"	"Kolsinkatu 9
54326 Loppi"
"Juhani Lehtonen"	"Mannerheiminbulevardi 182
29026 Lohja"
"Sirpa Nylund"	"Kuhankeittäjänbulevardi 641
97554 Kemijärvi"
"Tuomas Laine"	"Haapakuja 6
85400 Karvia"
"Juhani Lehtonen"	"Harbonkatu 215
20356 Sonkajärvi"
"Petteri Lindström-Kuusisto"	"Kilpolanbulevardi 21
10140 Vehmaa"
"Jouni Räsänen-Simola"	"Urpubulevardi 0
63808 Teuva"
"Kristiina Kovanen-Perälä"	"Kimmonpolku 69
93771 Eurajoki"
"Ilkka Nieminen"	"Immolankuja 438
53449 Keuruu"
"Aatos Helin"	"Harbontie 20
52478 Kihniö"
"Sofia Korhonen"	"Tahtipolku 398
81882 Kannonkoski"
"Marjatta Lindroos"	"Nordenskiöldintie 54
25191 Karijoki"
"Maria Pesonen"	"Kimalaistie 9
81488 Helsinki"
"Matti Ihalainen"	"Yrjö-Koskisen tie 74
92573 Savitaipale"
"Mirja Autio"	"Orapihlajabulevardi 13
86739 Rusko"
"Laura Heinonen"	"Rapolankatu 121
83058 Tuusula"
"Aino Leino"	"Birger Kaipiaisen katu 892
71857 Heinävesi"
"Laura Heikkinen"	"Adolf Lindforsin tie 6
53987 Pietarsaari"
"Helena Rautiainen"	"Vaarnapolku 537
90140 Veteli"
"Marja Mäkelä"	"Uskalikonbulevardi 54
21295 Rääkkylä"
"Sofia Koskela"	"Usvakuja 29
47380 Säkylä"
"Anni Lindfors"	"Fallpakankuja 578
25411 Puolanka"
"Katja Lehikoinen"	"Ilomäenpolku 974
65918 Kangasniemi"
"Maria Viljanen"	"Orvokkitie 06
77216 Imatra"
"Lauri Kantola"	"Mamsellimyllyntie 9
68182 Vesilahti"
"Kristian Häkkinen"	"Verkkotie 42
90361 Humppila"
